[00000.00-00007.12] 好的,我们接下来看文说流帮打败了相语,然后结束了处罕之争。
[00118.38-00120.78] 他也负责想去压一部分人
[00120.78-00121.94] 去到另一个地区
[00121.94-00123.22] 结果也是压的
[00123.22-00124.70] 他在压夕的路上
[00124.70-00126.82] 这些人跑了挺漏多的
[00126.82-00128.54] 后来留下一个人都跑了
[00128.54-00130.90] 跑了之后他想人他送不到
[00130.90-00132.38] 他这时候他也在里面
[00132.38-00135.14] 他都把其他的那些人都放了
[00135.14-00137.06] 都放了之后留帮他们说说
[00137.06-00142.06] 行了,大家都散了,反正我也送不到,我没有办法办你们送到地方了
[00142.06-00146.46] 你们感觉跑了,你们跑了这我也跑了,留帮跟他们说的
[00146.46-00150.06] 结果那些人都跑了,留下了十几个人,跟着留帮一起
[00150.06-00155.86] 就觉得留帮我们人挺账意的,就任他做大哥,说你与其这样我们就不如一起吧
[00155.86-00160.46] 然后他们就要一起,然后一起的时候他们就陆过了一个地方
[00160.46-00164.46] 就陆过了一个地方,类属一片,一大片,路也到那个地方
[00164.46-00165.50] 然后他们就往前走
[00165.50-00167.54] 流帮的当时也是喝了点酒
[00167.54-00168.56] 然后在往前走
[00168.56-00170.46] 这个时候他们就看到立陆大白蛇
[00170.46-00172.14] 我超极大的一条大白蛇
[00172.14-00174.70] 所以说跟军描述
[00174.70-00176.74] 当然不同的书的描述不一样
[00176.74-00178.04] 说那个蛇有多大呢
[00178.04-00179.06] 说那个蛇
[00179.82-00181.36] 有水口那么粗
[00182.12-00184.18] 你想想知道那有多大一条蛇了
[00184.18-00185.20] 那么大一条蛇
[00185.20-00186.22] 大家都说繞到走
[00186.22-00186.98] 流帮说
[00186.98-00188.22] 说男子很大丈夫
[00188.22-00189.14] 怕什么呢
[00189.14-00190.06] 说跟我走
[00190.06-00191.34] 然后打出他的剑
[00191.34-00192.10] 把这个蛇
[00192.10-00194.42] 一下子从中斩了两半
[00194.42-00197.14] 就是把这个舌从中就给它砍出来两班了
[00197.14-00198.76] 然后继续往前走
[00198.76-00200.82] 流房长安舌之后在往前走的时候
[00200.82-00201.54] 即帮人
[00201.54-00203.46] 它其实就有看到一个老夫人
[00203.46-00206.66] 就坐在那个舌旁边就在那哭
[00206.66-00207.62] 然后所有人留问
[00207.62-00209.26] 就说老夫人你哭什么呀
[00209.26-00210.34] 老夫人就说
[00210.34-00211.82] 说这是我的孩子
[00211.82-00213.34] 他是白地之子
[00213.34-00215.90] 他只不过说睡觉的时候变成了舌
[00215.90-00217.98] 没想到党住了谁呢
[00217.98-00219.42] 党住了恤地之子
[00219.42-00221.42] 这里面的恤地之子说的是什么呢
[00222.42-00223.62] 恤地之子
[00223.62-00226.44] 说党住的厕地之子就是流光的路
[00226.44-00228.22] 所以怎么就把他给杀了呢
[00228.22-00230.78] 然后大家都觉得说这怎么可能呢
[00230.78-00233.36] 然后那结果就没有理会这个老夫人
[00233.36-00234.88] 结果他往前走在回头看的时候
[00234.88-00236.42] 发现老夫人也没了
[00236.42-00237.70] 然后这个时刻也没了
[00237.70-00238.98] 后来流光到就往前走
[00238.98-00240.50] 走完这时候就睡着了
[00240.50-00241.28] 喝多了嘛
[00241.28-00242.06] 然后就睡着了
[00242.06-00243.34] 说他就做了一个梦
[00243.34-00245.64] 梦理就梦到了这条白蛇
[00245.64-00246.66] 这个白蛇就看到说
[00246.66-00248.46] 我说我是白地之子
[00248.46-00249.66] 你是赤地之子
[00249.66-00252.54] 他说你今天你杀了我了
[00252.54-00253.06] 对吧
[00253.06-00255.46] 你而且是把我从中间砍断了
[00255.46-00256.58] 然后就跟他说
[00256.58-00258.70] 他说你怎么杀的我
[00258.70-00259.90] 我就让你慌命
[00259.90-00260.66] 然后呢
[00260.66-00262.58] 这个当时刘邦就说啥
[00262.58-00263.58] 说你让我慌命
[00263.58-00265.18] 说深山也连的
[00265.18-00266.26] 怎么还你命呢
[00266.26-00267.66] 说带平地慌命
[00267.66-00269.14] 就他们当时是在那个
[00269.14-00270.14] 奴隧当里面
[00270.14-00270.42] 对吧
[00270.42-00273.06] 然后他就说了说带平地慌命吧
[00274.34-00276.34] 然后结果我们都知道平地
[00276.34-00277.66] 就是神话故事嘛
[00277.66-00279.66] 就说了是什么是汉平地吗
[00279.66-00282.06] 这是我们所说的王猛
[00282.06-00283.86] 我们串选的这个故事对吧
[00283.86-00285.70] 所以在这里就有了展待收起一样
[00285.70-00287.86] 当然了这是一个神话传说
[00287.86-00289.54] 这是我们所说的一个故事
[00289.54-00291.34] 然后展待收起一种关的
[00291.34-00293.58] 这是我们所说的第一个大家要知道
[00293.58-00296.14] 那第二个和流帮有关的这个点故事什么呢
[00296.14-00298.30] 就是我们所说的白灯之伟
[00298.30-00304.62] 这个白灯之伟其实是我们所说的在西漢建立之后的这个事情了
[00304.62-00309.06] 其实在西漢建立之前或者说是在我们国家最开始的时候
[00309.06-00314.14] 其实我们在边疆上其实一直受到这个修炉的亲人
[00314.14-00314.64] 对吧
[00314.64-00318.08] 其实我们看到情潮修长城其实也是因为这个原因
[00318.08-00320.40] 正好当时是处汉之中的时候
[00320.40-00322.04] 于是在情潮末年的时候
[00322.04-00324.44] 我们内部的矛盾其实主要矛盾
[00324.44-00326.96] 大家各地放弄水弄冥企业
[00326.96-00329.90] 就没有办法有实际上去管这个少数民族
[00329.90-00333.78] 所以当时在修炉修炉自己就在那边的发展起来了
[00333.78-00335.78] 在修炉的发展过程当中
[00335.78-00338.42] 大家都知道修炉有目民族奇兵
[00338.42-00339.82] 所以打账非常的猛
[00339.82-00340.46] 所以一般情况
[00340.46-00342.76] 对于我们最开始来说呢
[00343.40-00345.26] 国立相对来说比较弱的时候
[00345.26-00346.60] 而且也没有那么多的
[00346.60-00347.08] 比例的时候
[00347.08-00348.26] 其实是和修炉胆
[00348.42-00349.82] 是打不过他们的
[00349.94-00351.30] 而且修炉胆都知道
[00351.30-00352.26] 是在北方
[00352.26-00353.54] 而我们所说的
[00353.54-00355.06] 我们国家其实是偏难
[00355.06-00355.78] 中演地区
[00355.78-00357.78] 其实是偏难方的这样的一个地方
[00357.98-00359.78] 所以修炉的从北往南大
[00359.78-00360.44] 是比较好打的
[00360.44-00361.58] 因为越打越暖和
[00361.58-00363.50] 但是如果你北上去跟他对高尔
[00363.50-00364.38] 你行政是打不过的
[00364.38-00366.58] 因为你从南方北打越来越冷
[00366.58-00368.46] 人家一边打一半光的网上就下来
[00368.46-00369.86] 你一边打一边的棉一都没有
[00369.86-00371.18] 你说你打个人坐这儿的
[00371.18-00373.86] 所以当时那个大概的情况就是这样
[00373.86-00375.34] 而这个白灯之伟是什么呢
[00375.34-00378.06] 就是当时我们所说的这个汉高阻流棒
[00378.06-00379.90] 和当时的修努就刚上了
[00379.90-00381.94] 但是在公园前200年的时候
[00381.94-00384.94] 当时修努有一个非常有名的一个产与
[00384.94-00386.74] 大家都知道是默独产与
[00387.74-00389.06] 是默独产与
[00389.58-00390.42] 大家注意一下
[00390.42-00392.38] 这四个字叫默独产与
[00392.38-00393.66] 不要独成默独与
[00393.66-00397.62] 就叫默奴产与默奴产与最有名的就是名敌是父
[00397.62-00399.86] 然后就让很多人就追随他了
[00399.86-00404.42] 当年就是默奴产与他率领了40万的齐兵难下
[00404.42-00406.90] 而汉高嘴看说真的能行吗
[00406.90-00408.30] 对吧像于我都收拾了
[00408.30-00409.50] 像于利能高女儿
[00409.50-00411.50] 身高一米八八字的我收拾了
[00411.50-00412.22] 那就有行吧
[00412.22-00413.10] 不能怪那些他
[00413.10-00416.46] 于是汉高阻留帮率率32万啥的不兵
[00416.46-00417.70] 被商影战
[00417.70-00420.02] 那这个时候不打咱们也都知道
[00420.02-00420.94] 那不能打贏啊
[00420.94-00421.54] 打不贏
[00421.54-00423.82] 因为我们都知道人家有木名族
[00423.82-00425.38] 这种情况之下
[00425.38-00427.02] 他们其实不需要后显
[00427.02-00428.34] 因为像我们所说胸腿
[00428.34-00429.66] 一般情况下出去的时候
[00429.66-00430.62] 就三批嘛
[00430.62-00432.90] 这三批买了一批就是脱码
[00432.90-00434.98] 就是宰物资的一批战
[00434.98-00437.34] 还有一批日常生活当中用的这个码
[00437.34-00439.46] 那你和我们所说这是奇兵
[00439.46-00442.02] 我们说汉高族流帮的不兵是啥呢
[00442.02-00443.34] 这32万不兵当中
[00443.34-00445.06] 只得还有一些压送良草的
[00445.06-00446.34] 并不是说这些能力
[00446.34-00447.66] 这些人都都能做这
[00447.66-00450.22] 所以结果看想而只要白灯之为
[00450.22-00452.58] 大概是在山西大同这个地方
[00452.58-00454.58] 然后刘帮就打输了
[00454.58-00455.86] 刘帮打输之后没有办法
[00455.86-00456.86] 就开始被迫怎么办
[00456.86-00459.70] 被迫开始和我们所说的虚拪
[00459.70-00460.46] 和轻
[00460.46-00461.90] 被迫开始和虚拪和轻
[00461.90-00463.54] 所以才在我们所说的
[00463.54-00466.34] 变疆地区稍微才稳定了一点
[00466.34-00467.62] 这是我们所说的
[00467.62-00469.42] 有关于刘帮
[00469.42-00471.46] 刘帮能够建股
[00471.46-00472.34] 大家注意一下
[00472.34-00475.54] 它其实也和它身边的人有很多的关系
[00475.54-00477.10] 所以在刘帮身边有很多
[00477.10-00479.18] 我们所说的能人意识
[00479.18-00482.42] 其中最有名就是我们所说的汉出三截了
[00482.42-00486.22] 所以需要从他们掌握的是汉出三截是哪三个
[00486.94-00490.58] 第二个就是他们身上有哪些点顾
[00490.58-00491.38] 有哪些点顾
[00491.38-00493.30] 第一个就是我们所说的汉性
[00493.30-00495.90] 这个汉性的大家最常听过它的点顾
[00495.90-00497.82] 其实应该是跨下之如
[00499.50-00500.82] 是跨下之如
[00500.82-00503.02] 这个故事咱们经常会看到
[00503.02-00504.62] 大家把它从在旁边
[00504.62-00507.82] 第二个点顾就是我们所说的叫做多多一盛
[00507.82-00511.22] 这个读都一善当时就说是典兵点降的时候
[00511.22-00513.42] 然后这个流帮就问
[00513.42-00515.62] 说大家觉得就问这个相语
[00515.62-00517.02] 就就问这个韩信
[00517.02-00520.22] 说那你觉得我能不能
[00520.22-00521.42] 大概的意思就是
[00521.42-00524.02] 我能带领多少这个降领了
[00524.02-00526.02] 这是我们所说的这个韩信说的
[00526.02-00527.02] 然后韩信说说
[00527.02-00528.82] 陛下降不过十万
[00528.82-00530.42] 然后流帮就问他
[00530.42-00531.42] 说那你呢
[00531.42-00533.42] 然后韩信说那读作一善
[00533.42-00535.22] 所以在这里就读作一善
[00535.22-00535.82] 第二个呢
[00535.82-00537.62] 就是我们所说的被水一战
[00537.62-00539.42] 被水一站大家都知道
[00539.42-00540.94] 这个就是我们常说的
[00540.94-00542.22] 被水之站
[00542.22-00544.02] 就是当时他就一万多来一二
[00544.02-00544.78] 这一万多来一二呢
[00544.78-00546.06] 其实打破人家
[00546.06-00547.62] 大军压进过来的
[00547.62-00550.42] 但是他当时选择的注定就是靠在河边
[00550.42-00551.70] 靠在河边的时候
[00551.70-00553.50] 然后就后没想到还打赢了
[00553.50-00554.50] 然后所有人就说
[00554.50-00555.78] 说那你这打扎的时候
[00555.78-00557.34] 我们说了就被水之站
[00557.34-00558.62] 是冰加大机
[00558.62-00560.66] 所以在这里面他就说
[00560.66-00562.46] 被水一站是冰加大机
[00562.46-00564.26] 为什么还把他放在河边呢
[00564.26-00565.94] 就不绝了自己的厚路吗
[00565.94-00567.94] 然后当时这个韩星就说了
[00567.94-00570.70] 叫做制之死地儿厚生
[00570.70-00570.98] 对吧
[00570.98-00572.26] 我虽然知道他是一条举路
[00572.26-00574.38] 但是也能够激发大家的这种球生育
[00574.38-00575.54] 所以有了被水一战
[00575.54-00576.30] 那韩英哥呢
[00576.30-00579.14] 就是我们所说的明修战斗暗度成倉
[00579.14-00580.26] 明战斗成倉
[00580.26-00581.30] 是韩星给
[00581.30-00583.54] 我们所说的流帮的建议
[00583.54-00585.02] 韩星给流帮的建议
[00585.02-00586.46] 那明修战斗呢
[00586.46-00589.18] 其实就是在明明而省向雨
[00589.18-00590.38] 就相信了说
[00590.38-00592.06] 流帮他没有这个
[00592.06-00595.14] 就是想要当黄地的这样的一个心思
[00595.14-00597.14] 实际上暗度成长
[00597.14-00600.26] 对吧 最后是把张寒打败了
[00600.26-00603.26] 所以这是我们所说的明修战斗暗度成长
[00603.26-00606.06] 第二就是我们所说的消核了
[00606.06-00608.94] 消核被称为第一个叫做国事无双
[00608.94-00610.54] 叫做国事无双
[00610.54-00613.06] 因为它这个人比较喜欢选
[00613.06-00614.62] 就是推荐闲门
[00614.62-00616.66] 而含性就是我们所说的
[00616.66-00618.30] 它推越有帮的
[00618.30-00619.46] 而最开始的时候
[00619.46-00622.06] 有帮对含性也没有特别的重视
[00622.06-00623.46] 对吧 后来含习跑了
[00623.46-00624.98] 然后被修合追回来了
[00624.98-00627.46] 所以就被说他当真是国主说
[00627.46-00628.42] 养小和的
[00628.42-00630.42] 第二个就是修为草随了
[00630.42-00632.90] 修为草随是在我们所说的这个
[00632.90-00635.70] 修合他们这批老人都趋势之后
[00635.70-00638.90] 后来又出来一个层下就做草身
[00640.34-00641.38] 这做草身
[00641.38-00643.54] 然后他就开始是严折
[00643.54-00645.46] 修合的他的这些制度
[00645.46-00647.14] 我们所说的去制作这个国家
[00647.14-00651.70] 虽然相对来说他们在制理国家的形状事务上有一些谢带
[00651.70-00655.02] 但是整体上还在那种无味而制的这种政策
[00655.02-00656.88] 实在国家迅速发展繁荣起来了
[00656.88-00659.88] 所以在这里叫做修不一操悔就修不操悔
[00659.88-00662.70] 第三个人物就是我们所说的张梁
[00662.70-00665.14] 张梁第一个点物叫如此可交
[00665.14-00668.60] 如此可交其实是张梁他最开始的时候
[00668.60-00671.08] 我们说他不大的时候
[00671.08-00673.72] 然后在一个桥上碰到一个老人
[00673.72-00675.50] 然后那个老人的鞋就掉了
[00675.50-00677.30] 鞋掉了这后就掉在何边了
[00677.30-00678.58] 然后他就跟那个张梁说
[00678.58-00681.80] 说小婚你过来 然后赵良说干嘛呢
[00681.80-00683.44] 她说你给我把鞋估减过来
[00683.44-00685.24] 然后当时就使喚她就剪鞋
[00685.24-00687.68] 结果这个赵良心里也不大乐意
[00687.68-00689.78] 但一看老头虽然那么大了
[00689.78-00690.48] 行的那就行吧
[00691.28-00692.52] 把鞋给的剪过来了
[00692.68-00693.72] 然后这个老人家跟她说
[00693.72-00695.24] 兰英哥把鞋估穿上
[00695.40-00697.12] 后来这个赵良就想来说剪都剪了
[00697.12-00697.92] 给的穿上嘛
[00697.92-00699.02] 然后这个把鞋穿上了
[00699.02-00700.56] 然后这个老头就笑一下
[00700.56-00702.56] 也没有跟她抱歉就走了
[00702.56-00703.24] 走了之后呢
[00703.24-00705.00] 刚走出几步之后就回头啊
[00705.00-00706.18] 就跟这个赵良说
[00706.18-00708.54] 她说我觉得你这小孩还挺不错的
[00708.58-00712.16] 说明天就五天之后你来这个桥上来等我
[00712.16-00713.70] 就是在来建一面
[00713.70-00714.98] 但是没说时间了
[00714.98-00716.78] 然后来这个老头就走了
[00716.78-00718.56] 老头走了就后呢 五天之后
[00718.56-00719.32] 张良就来了
[00719.32-00721.64] 就会张良来的时候人家老人家走就到了
[00722.66-00724.20] 老人家到了之后呢
[00724.20-00727.26] 然后他在这个地方 那老人家就到了说
[00727.26-00729.56] 你要和老人家见面 你还来个这么晚
[00729.56-00731.62] 然后呢 他就整体上
[00732.38-00735.98] 这个他就跟这个张良就说说你困难他是在来吧
[00735.98-00737.10] 然后又约了一个时间
[00737.10-00738.22] 就约了一个时间之后
[00738.22-00739.34] 老头来的又很早
[00739.34-00740.90] 他就说你在逛了他再来了
[00740.90-00741.94] 后来这个账量就说
[00741.94-00742.94] 我一定要比你来的走
[00742.94-00743.98] 后来他就在半夜
[00743.98-00744.98] 他就在那个强商等
[00744.98-00746.22] 天猛猛亮的时候
[00746.22-00747.34] 老人家就来了
[00747.34-00747.74] 说
[00747.74-00749.06] 按照小孩不错
[00749.06-00749.26] 对吧
[00749.26-00750.46] 叫如子可骄傲
[00750.46-00752.18] 然后就给了他一本书
[00752.18-00753.10] 就是我们所说的
[00753.10-00754.22] 太公平法
[00754.22-00756.10] 然后后来他就严度这种书
[00756.10-00757.10] 而严度这个兵法
[00757.10-00757.70] 这个书
[00757.70-00758.50] 大家都知道
[00758.50-00760.90] 就是他籌谋侧话非常好
[00760.90-00761.82] 所以当时说他
[00761.82-00763.50] 叫做运仇为我之中
[00763.50-00764.40] 绝生育
[00764.40-00765.42] 千里之外
[00765.42-00767.06] 说的就是张梁
[00767.06-00768.30] 但是我们都知道
[00768.30-00771.06] 就是汉口祖留帮打下天下之后
[00771.06-00772.98] 后来张梁就隐退了
[00772.98-00773.70] 就隐退了
[00773.70-00774.70] 所以在这里放的
[00774.70-00776.82] 万年的时候就跟人家去军有思海了
[00776.82-00778.26] 休息黄老之数
[00778.26-00780.78] 所以大家都说他是民哲保身
[00780.78-00782.78] 所以说到民哲保身和谁有关
[00782.78-00784.98] 你要知道是和张梁有关
[00784.98-00786.14] 知道是和张梁有关
[00786.78-00787.34] 好
[00787.34-00790.06] 这是我们所说的关于西汉
[00790.06-00791.78] 西汉最开始的时候
[00791.78-00793.90] 我们所说的第一个汉口祖留帮
[00793.90-00795.06] 和他有关的点顾
[00795.06-00797.78] 第二就是我们所说的汉出三节
[00797.78-00799.54] 来看一下题目
[00799.54-00801.74] 说京通黄老知道万年
[00801.74-00806.42] 冤游四海的名折保身的商量
[00806.42-00808.30] 这是我们所说的
[00808.30-00808.82] 第一个
[00808.82-00810.66] 这是我们所说的汉弟
[00810.66-00811.62] 汉弟
[00811.62-00814.06] 是我们所说的汉高组流帮
[00814.06-00815.06] 汉高组流帮
[00815.06-00816.54] 汉高组流帮之后
[00816.54-00817.34] 大家都知道
[00817.34-00819.38] 流帮它其实是立了一个太子
[00819.38-00822.22] 这个太子就是它的儿子就做流营
[00822.22-00825.62] 但是刘影在位只有七年 然后最后就死了
[00825.62-00826.82] 刘影死了之后
[00826.82-00828.10] 我们所说的就是
[00828.10-00831.18] 刘影后 律制太后干正
[00831.18-00834.62] 太后干正 就是一直在把控着这个炒正
[00834.62-00836.02] 把控炒正的时候
[00836.02-00838.46] 大家知道时间也是比较久的
[00838.46-00842.54] 因为当时我们所说的这个汉汇地刘影
[00842.54-00843.58] 去世之后
[00843.58-00845.94] 然后它其实是立了自己的孙子
[00845.94-00847.14] 这个小太子机位
[00847.14-00849.86] 然后立小太子机位小太子知道是刘影后
[00849.86-00852.16] 是把他的亲生母亲杀掉了
[00852.16-00853.88] 然后小太子就说说
[00853.88-00855.24] 长大林要跟妈抱仇
[00855.24-00857.16] 然后女后就说来说这小孩
[00857.16-00858.64] 对吧 这这么挺话呢
[00858.64-00859.48] 说奶奶对你这么好
[00859.48-00860.50] 还要给你妈抱仇
[00860.50-00862.10] 然后他就把自己的孙子
[00862.10-00863.16] 也杀掉了
[00863.16-00865.60] 杀掉了之后就有女后来掌权
[00865.60-00867.40] 而女后掌权的这个期间
[00867.40-00868.20] 我们都知道
[00868.20-00870.10] 就有一个我们所说的在
[00870.10-00871.68] 汉口族流帮和文警
[00871.68-00873.84] 直尽出现了一个事件
[00873.84-00874.70] 这个事件呢
[00874.70-00876.50] 就是我们所说的叫做
[00876.50-00877.94] 朱律之乱
[00877.94-00880.94] 叫做豬旅
[00880.94-00881.94] 吃亂
[00881.94-00882.94] 整个豬旅住了
[00882.94-00883.94] 也就是我们所说的
[00883.94-00885.94] 律师干证的事情
[00885.94-00888.94] 后来被保留时江山在旅后去是之后
[00888.94-00890.94] 把我们所说的旅家这些人
[00890.94-00891.94] 全部杀掉了
[00891.94-00892.94] 这样杀掉了
[00892.94-00896.94] 后面就是我们所说的豬旅住亂之后
[00896.94-00897.94] 进入到了我们所说的
[00897.94-00899.94] 文地和警地的时期
[00899.94-00900.94] 文地和警地
[00900.94-00901.94] 这个文地期
[00901.94-00903.94] 概念应该熟悉
[00903.94-00905.94] 不知道大家没有看过一个电视剧
[00905.94-00908.46] 就是我们所说的美人心机
[00908.46-00909.34] 美人心机当中
[00909.34-00912.10] 就有一个我们所说的陈建峰
[00912.10-00914.30] 那个角色演的就是文地
[00914.30-00914.70] 就是文地
[00914.70-00916.30] 就是这个
[00916.30-00918.42] 这个就是我们所说的文地
[00918.42-00919.62] 这个就是我们所说的文地
[00919.62-00920.86] 会来大家看那个电视剧
[00920.86-00921.82] 说有钱多少钱
[00921.82-00922.82] 保健峰演了一个吧
[00922.82-00923.58] 就做文地
[00923.58-00923.90] 对吧
[00923.90-00926.02] 其实说的就是文地
[00926.02-00926.86] 这个文地
[00926.86-00928.46] 和警地统治时期
[00928.46-00929.34] 继续推行
[00929.34-00930.42] 我们所说的这种
[00930.42-00932.26] 无味而知的这种政策
[00932.26-00934.02] 就是不过多的去干于它
[00934.02-00935.30] 所以修养生息
[00935.30-00937.46] 然后导致最后我们所说的国家
[00937.46-00940.18] 父亲出现了一个短暂的反正时期
[00940.18-00943.42] 我们把短暂的反正时期的称对为叫做文警之致
[00943.42-00946.94] 那为什么在汉初的时候要继续推行黄漏的政策
[00946.94-00948.34] 原因其实很简单
[00948.34-00950.18] 因为最当时我们都知道
[00950.18-00953.22] 处汉之争以及其他莫年打了很长时间
[00953.22-00955.22] 其实相对来说国力是比较税微的
[00955.22-00958.18] 所以这种情况之下只能让老百姓自行地去工作
[00958.18-00960.66] 不能过多的干预才能激发他的激兴
[00960.66-00963.22] 在汉粗的時候最開始會有什麼樣的景象的
[00963.22-00964.76] 就是窮到什麼程度
[00964.76-00966.80] 就窮到我們所說在汉粗的時候
[00966.80-00968.08] 大成外出
[00968.08-00971.42] 都沒有辦法去成做我們所說的那種馬車
[00971.42-00972.70] 幾批馬的那種
[00972.70-00975.00] 它其實沒有辦法只能成做我們所說的
[00975.00-00975.76] 牛車
[00975.76-00977.30] 只能成做我們的所說的牛車
[00977.30-00980.62] 而這種現象大住一下在考試的時候呢
[00980.62-00982.94] 經常就會考察一個點
[00982.94-00986.00] 這種叫做綜合性的考察歷史現象的這種
[00986.00-00987.80] 我們統稱為
[00987.80-00989.58] 潮帶與現象的對應
[00989.58-00992.80] 那在身份的角度的说比如说你在什么朝代
[00992.80-00995.20] 你能看到的景象或不能看到景象
[00995.20-00997.34] 或者以下可能发生的事
[00997.34-00999.62] 在这里面它其实就考慮一个点
[00999.62-01001.86] 这个点就是说如果你在汉朝
[01001.86-01004.94] 以下可能发生的事情是哪一个
[01004.94-01006.82] 那它其中就给到了一个显向说
[01006.82-01008.54] 在汉朝初年的时候
[01008.54-01011.22] 说要大成要外出要成做牛车
[01011.22-01011.86] 其实是这样的
[01011.86-01012.86] 因为刚打完帳
[01012.86-01014.42] 你这个国家什么都没有
[01014.42-01014.90] 对吧
[01014.90-01017.38] 所以在这里这开始是成牛车
[01017.38-01018.26] 是成牛车
[01018.26-01020.12] 也能看得出来在内容情况之下
[01020.12-01022.22] 这哪是比较宝贵的
[01022.22-01023.90] 所以在这种国力宣为
[01023.90-01025.02] 我们所说的刚刚见过
[01025.02-01026.66] 百费代星的这种情况之下
[01026.66-01028.18] 才实情我们所说的
[01028.18-01028.98] 威儿之下
[01028.98-01030.70] 才有了我们所说的文帝和警惕的
[01030.70-01031.74] 这样的一个事情
[01031.74-01033.50] 这是我们所说的
[01033.50-01035.58] 有关于文警之之
[01035.58-01038.26] 文帝和警惕期间还发生过一个事情
[01038.26-01040.10] 其实是在汉警地的时候
[01040.10-01041.34] 在这种情况之下
[01041.34-01042.82] 就是我们所说的爆发了
[01042.82-01043.90] 七国之论
[01043.90-01045.06] 爆发了七国之论
[01045.06-01046.66] 这个七国之论需要大家掌握
[01046.66-01049.08] 第一個是在哪一個皇帝的這個時期
[01049.08-01051.26] 哪知道是在漢頸地時期
[01051.26-01053.86] 其實我們都知道在西漢的時候
[01053.86-01055.86] 一著流邦他時行的是什麼呢
[01055.86-01057.86] 請國他在最開始的時候
[01057.86-01059.66] 時行的是巨現值
[01059.66-01060.26] 對吧
[01060.26-01061.36] 就是我們所說的
[01061.36-01063.80] 所有的都歸我們所說的這個
[01063.80-01064.86] 千皇館
[01064.86-01067.06] 但是到了我們所說的流邦的時候
[01067.06-01068.16] 他就吸取了
[01068.16-01070.06] 請朝之間的教訓
[01070.06-01071.66] 說請朝為啥面國了呢
[01071.66-01073.86] 在我們所說的這個流邦看來
[01073.86-01076.62] 就是他没有跟他一起帮他的人
[01076.62-01078.34] 所以他就灭亡了
[01078.34-01080.22] 所以这就给刘帮有了一个提醒
[01080.22-01082.26] 说我一定要找一些人能够帮我
[01082.26-01083.42] 在我背那的时候呢
[01083.42-01084.78] 他能够帮到我
[01084.78-01085.94] 那这种情况之下呢
[01085.94-01087.14] 他就搞了一个说
[01087.14-01089.14] 一方面我还要加成这种集权
[01089.14-01091.02] 所以他就搞这种俊限制
[01091.02-01091.90] 但是同时呢
[01091.90-01092.80] 我们也都知道
[01092.80-01094.22] 刘帮他开始风
[01094.22-01096.66] 同性王就是我们所说的搞风风
[01096.66-01097.62] 所以在这种情况是
