[00000.00-00004.90] 那我們看完了社人裡的人間煙火之後我們來看一看
[00157.42-00158.86] 那第2個在這裡
[00158.86-00162.54] 我們要考察什麼的考察的是人物和成就的對應
[00162.54-00164.42] 比如在這裡面我們要知道
[00164.42-00166.30] 具體的某個醫學家
[00166.30-00167.86] 它的醫學成就都那些
[00167.86-00168.82] 比如說思思廟
[00168.82-00170.18] 它的住座是什麼
[00170.18-00171.18] 比如說免確
[00171.18-00172.54] 它開窗了什麼
[00172.54-00175.10] 那这里面会考察着误和成就的对应
[00175.10-00176.12] 那第3一个呢
[00176.12-00178.82] 他会考察的就是我们所说的人物
[00178.82-00180.94] 以及典孤的对应
[00180.94-00183.04] 那在人物和典孤对应当中比如说
[00183.04-00184.78] 脚子和那个人有关呢
[00184.78-00185.34] 对吧
[00185.34-00186.36] 会及基移
[00186.36-00187.74] 他和哪一个人有关呢
[00187.74-00190.46] 那这里面比较长电的就是人物和典孤的对应
[00190.46-00193.02] 所以他无论是考标简单的选择体
[00193.02-00194.62] 还是考标复杂的选择体
[00194.62-00195.84] 我们把他拆解之后
[00195.84-00198.94] 其实会发现他本身考的都是选择题目
[00198.94-00200.70] 而我们在具体考察的时候呢
[00200.70-00204.10] 无非就这三个委育度上的对应
[00204.10-00206.10] 这是我们了解了中一
[00207.10-00208.70] 他具体如何考察
[00208.70-00210.70] 知道了中一怎么考察之后呢
[00210.70-00212.30] 接下来我们就来看一看
[00212.30-00214.70] 我们在中一讲解过程当中
[00214.70-00216.30] 可能会涉及到的内容
[00216.30-00220.70] 那么回微到中一的内容的讲解上来
[00220.70-00222.10] 当然我们讲的是长史
[00222.10-00225.50] 如果同学们是学中了八级我们中一一学的话
[00225.50-00227.10] 我就有一些班门弄复了
[00227.10-00229.50] 我讲的这些指给大家适用在
[00229.50-00233.98] 我们的世界单位考试以及国生考当中的长时的这样的一些内容
[00233.98-00237.46] 那请说到中印的让我们再一次这么时钟以
[00237.46-00238.74] 其实在什么时候呢
[00238.74-00242.42] 这是让全国的老百姓再次去重视中印的这样一个作有
[00242.42-00244.22] 其实是在疫情期间啊
[00244.22-00246.58] 大家知道在疫情期间的其实我们既有
[00246.58-00249.06] 西伊通过我们所说的疫苗啊
[00249.06-00250.82] 我们所说的这种病毒的体骚
[00250.82-00253.06] 然后去搞疫苗的研发制西这方面
[00253.06-00255.46] 另外一方面提到很大做的其实做什么
[00255.46-00258.82] 中意最典型的就是以张博劣院是为代表的
[00258.82-00260.22] 這樣那個中一團隊
[00260.22-00261.78] 所以當時張國裏
[00261.78-00264.66] 原始他在去進行鄉的電視採訪的時候
[00264.66-00265.30] 他說了
[00265.30-00267.98] 說中國有中醫和西醫的時候
[00267.98-00270.78] 那這是國之性使民之福使
[00270.78-00272.70] 所以中醫他也是護衛人民
[00272.70-00274.34] 生命健康非常壯的
[00274.34-00275.34] 這樣的一個
[00275.74-00278.06] 我們所說的非常有效的這樣的一個保護盾
[00278.06-00278.66] 對不對
[00278.66-00280.06] 所以在疫情之後
[00280.06-00281.58] 大家都知道當時的央視
[00281.58-00282.90] 其實出台了很多的
[00282.90-00284.50] 這樣的一個電視節目
[00284.50-00286.26] 我意想最深刻的那個節目
[00286.26-00289.22] 其实就是当时今天有流传当中
[00289.22-00290.82] 三百年说的那一段话
[00290.82-00293.22] 他说经历了那一场战亿之后
[00293.22-00295.46] 我相信所有的人在今天
[00295.46-00297.14] 我们再一次看见他们身上
[00297.14-00298.98] 这身白大观我们会知道
[00298.98-00301.86] 这何只是一个医生的职业装诉
[00301.86-00303.38] 那真的是医生亏讲
[00303.38-00306.02] 他们真的是就人性命的英雄
[00306.02-00307.46] 所以他后面就说了
[00307.46-00311.06] 说抗击疫情让我们认识到了真正的英雄
[00311.06-00314.98] 他们有遥知百战胜定嫂鬼方环的绝绝
[00314.98-00318.52] 他們有為我不愧軍輕扭明單心的池城
[00318.52-00322.82] 他們有持續一世好解相遇即時間的談到
[00322.82-00325.06] 他們有一張不足吸彈遇
[00325.06-00326.68] 但使願無為的執著
[00326.68-00329.18] 他們有風喉飛我意
[00329.18-00331.62] 彈越海波平的吹吹
[00331.62-00334.02] 這個其實就是來自於我們所說的
[00334.02-00336.22] 醫生對人民生命的呼用
[00336.22-00338.62] 我們經常會給大家去提到
[00338.62-00340.58] 到底什麼是醫生呢
[00340.58-00342.42] 到底醫生要做什麼呢
[00342.42-00345.40] 其实在中国最早的一学点击住作当中
[00345.40-00347.30] 在中国最早的文学住作当中
[00347.30-00349.60] 其实都有非常明确的描述
[00349.60-00351.10] 所以一者和来
[00351.10-00352.44] 就是医生这个词
[00352.44-00353.70] 或者是中医这个词
[00353.70-00354.42] 医这个字
[00354.42-00355.48] 他到底从来
[00356.38-00357.80] 在我们的说问解释当中
[00357.80-00358.64] 就说过
[00358.64-00361.56] 但是一致病宫也估计
[00361.82-00362.38] 是什么
[00362.38-00363.98] 是屋膨出作
[00363.98-00365.58] 以野热最开始的时候
[00365.58-00366.92] 说的是屋施
[00366.92-00368.66] 他就是我们所说的什么
[00368.66-00371.42] 就是从当了医生的这样的一个角色
[00371.42-00375.00] 那时候叫制什么呢 制工 百质质给士兵制商的
[00375.00-00378.46] 这是最开始一这个词 他的一个来源
[00378.46-00381.66] 我们知道了医生他从来 医生到底要做什么
[00381.66-00384.74] 你看在国余当中有非常明确的产说
[00384.74-00390.62] 国余说上一国 其次 极人 故 医 国安业
[00390.62-00392.66] 所以医生在本质上就是什么
[00392.66-00395.14] 就是就人性命于微弹
[00395.14-00396.78] 这个就是我们所说的
[00396.78-00400.34] 所以在我们所说的东汉班谷 他的汉书
[00400.34-00403.26] 一文字 方际略当中说了一句话
[00403.26-00404.94] 这句话呢 让我感处良身
[00404.94-00409.06] 他说方际者 接生生之句 网官之一首言
[00409.06-00413.22] 他说的是什么 说中一选是保障生命生存的工具
[00413.22-00416.34] 是天子之职的一种手职
[00416.34-00419.70] 所以我们说了 叫制静生生之职
[00419.70-00423.62] 所以我们都知道 針对于我们的人类生存来说
[00423.62-00425.62] 也像与事春秋当中所说的那样
[00425.62-00428.10] 叫生人生率天下墨位于生
[00428.10-00430.30] 而对于生者最好的守护
[00430.30-00431.82] 其实就在我们所说的什么
[00432.58-00434.82] 就在我们所说的这样一个一学
[00434.82-00435.86] 所以说了这么多的
[00435.86-00437.86] 希望大家能够从我们国家的
[00437.86-00439.46] 历史文化发展的角度
[00439.46-00442.46] 去了解一下我们的这样的一个终于学文化
[00442.46-00443.50] 我们就来看一下
[00443.50-00445.90] 咱们要在终于当中去打讲的内容
[00445.90-00447.06] 我们要在终于当中的
[00447.06-00448.50] 你大家讲两个部分
[00448.50-00450.30] 一个叫诸名一学家
[00450.30-00452.74] 一个是中国的诸名的一学成就
[00452.74-00454.46] 那么先来看一下第一个
[00454.46-00456.18] 就是在诸名一学家当中
[00456.18-00457.54] 我们要讲几个人物
[00457.54-00462.58] 同沒有掌握這些人物十七成就以及他典故的對應
[00462.58-00467.38] 我們先來看一下第一個我們非常著名的醫學家是誰呢?
[00467.38-00468.74] 典趣
[00468.74-00472.82] 典趣叫做情緩緩的緩自願人
[00472.82-00474.78] 所以他也叫做情願人
[00474.78-00476.70] 典趣什麼十七的人物呢?
[00476.70-00477.50] 同沒有畫一下
[00477.50-00480.70] 典趣是春秋戰國十七的名衣
[00480.70-00482.86] 同沒有把春秋戰國畫出來
[00482.86-00484.22] 這是他所在的朝代
[00484.22-00487.50] 所以他說說典趣是什麼漢朝大那種不對了
[00487.50-00490.44] 变确是春秋战国时期的名名
[00490.44-00492.30] 所以同时标注一下春秋战国
[00492.30-00493.20] 只是第一个
[00493.20-00495.10] 那第二个大家知道
[00495.10-00496.70] 我不要注意一下圈一
[00496.70-00498.20] 大家知道什么时期
[00498.20-00499.50] 第二个就大家知道
[00499.50-00502.22] 那他为什么他叫做琴魂
[00502.22-00503.90] 或者叫做琴越人
[00503.90-00505.50] 他为什么就做典区呢
[00506.50-00509.30] 变确这个名字到底是从那儿来的呢
[00509.30-00510.20] 大家注意一下
[00510.20-00512.80] 这典区是他的类似于像一个
[00512.80-00514.80] 别人给他起了一个号影
[00514.80-00518.62] 就是给他起了一个风,不能叫风号给他起了一个外号
[00518.62-00521.12] 为什么会这么说呢?大家都知道
[00521.12-00523.96] 我们在最开始给他讲时间伤送的时候
[00523.96-00526.00] 是不是有给他说过这样的一个故事?
[00526.00-00528.04] 就是我们在伤送当中说了一句话
[00528.04-00530.64] 就是天命选脑酱儿生生
[00530.64-00533.08] 就是当时我们说了这个剪离
[00533.08-00534.88] 他在成立里面洗澡的时候
[00534.88-00536.84] 然后飞过一个验子场的一个蛋
[00536.84-00538.12] 吃了之后他就怀孕了
[00538.12-00539.24] 他生下了一个孩子
[00539.24-00540.92] 大家还记得那个孩子叫什么吗?
[00540.92-00544.24] 大家记得那个孩子叫做气,气缘的那个气
[00544.24-00544.64] 对吧?
[00544.64-00547.84] 然后这个气呢后来在大于之水当中有宫
[00547.84-00550.28] 所以做了商这个不落的手领
[00550.28-00551.94] 而气的14代子
[00551.94-00552.90] 所以就是谁
[00552.90-00555.90] 就是成堂建立了商场
[00555.90-00559.14] 而气的后代叫中演示
[00559.14-00560.54] 中演示是什么呢
[00560.54-00561.88] 是人面扭
[00561.88-00563.84] 也就是气的后代
[00563.84-00564.64] 这么说吧
[00564.64-00566.58] 气它其实是昭示的祖先
[00566.58-00568.32] 而昭示是什么为土堂
[00568.32-00570.24] 是以米导为土堂的
[00570.24-00571.24] 所以那个时候呢
[00571.24-00572.06] 我们就知道了
[00572.06-00574.08] 当时的这个变确
[00574.08-00576.24] 最后期的时候不能让最开始
[00576.24-00578.84] 到后期的时候它是在照国行异的
[00578.84-00581.24] 而照国它的图层是不是扭
[00581.24-00583.04] 所以大家就尊成它为什么
[00583.04-00584.96] 尊成它为辩确
[00584.96-00586.92] 这是于中我们所说的说法
[00586.92-00589.36] 所以这个辩确它的油来
[00589.36-00591.44] 好吧我就把它写成它的油来吧
[00591.44-00592.52] 辩确的油来
[00592.52-00593.88] 同一个在旁边标注一下
[00593.88-00594.96] 就是我们刚才所说的
[00594.96-00597.16] 就是照是先组一扭为图层
[00597.16-00604.72] 照式先組
[00604.72-00606.56] 以尿微圖頭
[00606.56-00607.70] 那時候
[00607.70-00609.84] 編曲這好在照國行醫
[00609.84-00612.40] 行醫就像照式先組
[00612.40-00614.16] 互有當地的照式族人
[00614.16-00615.48] 大家就互他為什麼
[00615.48-00619.04] 當時的人就尊尚他為我們所說的編曲
[00619.04-00620.32] 這是我們所說的編曲
[00620.32-00621.16] 他的名字
[00621.16-00622.08] 他的來源
[00622.08-00624.04] 所以那個時候大家都認為
[00624.04-00626.28] 編曲或者是我們所說的
[00626.28-00628.04] 这个女儿不是他的图桶嘛
[00628.04-00630.48] 而这个图桶就相当于是一个什么响锐
[00630.48-00632.68] 就是一个喜事好事来的
[00632.68-00633.68] 所以那个时候呢
[00633.68-00636.52] 我们就认为我们所说的这个
[00637.80-00638.32] 变确
[00639.16-00640.92] 老百姓就喊他的名字
[00640.92-00643.12] 就像照式先组要护为着他们
[00643.12-00644.52] 所以在这里面就了
[00644.52-00646.36] 变确这一次的油来
[00648.68-00649.68] 照式先组
[00649.68-00652.04] 我刚才花了个块儿把插掉
[00653.40-00655.84] 把它标主在旁边照式先组
[00655.84-00658.36] 以尿尾图層
[00658.36-00660.98] 所以像祖先要护有着它
[00660.98-00662.38] 所以尊尘它为
[00662.38-00663.28] 典区
[00663.28-00666.56] 这是变确这个名字的由来大家知道
[00666.56-00669.04] 这是第二个需要大家明确的点
[00669.04-00671.08] 第三个点就是变确
[00671.08-00672.24] 它被称这位省罢
[00672.24-00674.12] 画一下变确被称这位叫做
[00674.12-00675.32] 卖学之中
[00675.32-00677.40] 也被称这位叫做一组
[00677.40-00679.20] 为什么叫做卖学之中
[00679.20-00680.88] 画一下后面紧知的话
[00680.88-00682.72] 只是因为变确它发明了
[00682.72-00685.32] 望文问切的中一四整法
[00685.32-00688.84] 那这个像帽文问谢大新的去看中一的时候也是要的
[00688.84-00690.44] 来了之后他要先关
[00690.44-00691.88] 然后呢最后的问证
[00691.88-00695.56] 然后问完了之后呢然后在前面后面对吧等等
[00695.56-00697.48] 那这个时候就是我们所说的这个
[00697.48-00699.24] 帮文问谢
[00699.24-00700.84] 所以他被成为卖学之中
[00700.84-00704.36] 那帮文问问却当中有一些考察点消同
[00704.36-00705.24] 你们去注意啊
[00705.24-00706.92] 首先第一个我们要知道
[00706.92-00709.24] 帮文问谢分别代表的是什么
[00709.24-00710.76] 那所以在这里面大家明确
[00710.76-00712.20] 第一个帮指的是什么
[00712.20-00714.00] 忘止的就是看嘛
[00714.00-00716.96] 所以忘一般在中一当中就是关气色
[00716.96-00718.72] 大家都知道我们经常说到什么
[00718.72-00720.96] 什么面色红认白理透红
[00720.96-00723.04] 一个人如果他身体不要健康的话
[00723.04-00724.08] 他的气色很好
[00724.08-00725.76] 但是一个人如果生命的话
[00725.76-00726.80] 我们经常说哎呦
[00726.80-00729.04] 你怎么这样的说小了小白
[00729.04-00729.96] 对方就都没话说
[00729.96-00730.76] 小了小了小白的
[00730.76-00732.60] 或者是我们说他身体不好的脸色
[00732.60-00733.36] 辣黄
[00733.36-00735.72] 所以身体抗见的人和相当来说
[00735.72-00737.36] 身体比较柴弱的人
[00737.36-00738.96] 他的气色就会不一样
[00738.96-00741.00] 所以在中一当中第一个就是忘
[00741.00-00741.80] 就是要干嘛
[00741.80-00745.08] 关气色 关气色 就是看他的脸色
[00745.08-00746.88] 看他整体的大概的样子是什么
[00746.88-00747.68] 这个就叫做
[00747.68-00748.40] 忘
[00748.40-00751.60] 第二个就是文是什么呢 同们注意下
[00751.60-00753.04] 文呢 能不能说
[00753.04-00755.28] 来了 来看中一样的时候
[00755.28-00757.12] 条理一下 发展直上文的你的气味
[00757.12-00757.88] 不行的
[00757.88-00760.00] 所以在确计方文一般指的是什么
[00760.00-00760.80] 是听
[00762.80-00765.16] 听什么呢 听说话的声音
[00765.16-00766.56] 听你的气息
[00766.56-00768.04] 如果一个人身体很健康
[00768.04-00769.04] 中气很足
[00769.04-00771.24] 那他说话的声音相似最重要的对不对
[00771.24-00774.18] 若身体相对而是出力学问题比如说的中气部族
[00774.18-00775.48] 说话声音就很小
[00775.48-00776.54] 气息就很弱
[00776.54-00779.06] 这个就是通过文来看的
[00779.06-00781.16] 这是我们所说的第二个叫做文
[00781.16-00783.34] 第3个就是问问是什么呢
[00783.34-00784.94] 问做是问证
[00784.94-00786.04] 问证
[00786.04-00787.62] 有什么难受的地方啊
[00787.62-00788.82] 这个证状多久
[00788.82-00789.24] 对不对
[00789.24-00790.66] 你敢认哪里不舒服啊
[00790.66-00791.50] 那种找问证
[00791.50-00792.94] 最后就是要切
[00793.24-00794.04] 或者叫切
[00794.04-00794.92] 切实是要满呢
[00794.92-00796.06] 是摸卖
[00796.06-00797.64] 但是这里面大家注意一下
[00797.64-00798.60] 望文问切
[00798.60-00800.90] 这个切他是摸卖摸的是什么
[00801.24-00804.28] 他能不能说 随便找个卖中摸了 不行
[00804.28-00806.48] 他切的是什么卖 是动卖
[00808.84-00810.76] 王传切的是我们所说的动卖
[00810.76-00811.88] 也静卖你摸不到
[00811.88-00813.56] 所以在这里面是我们所说的动卖
[00813.56-00815.60] 那一般情况是如果摸手外的话
[00815.60-00816.80] 然后动卖 对吧
[00816.80-00820.24] 你手外上两村的地方 然后开出摸
[00820.24-00822.56] 这里面就是我们所说的 王传问切
[00822.56-00824.16] 这他考慮一个点
[00824.16-00827.00] 所以一下关于 王传问问切说法正确的是
[00827.00-00829.12] 他这里面就考过具体的内涵
[00829.12-00830.12] 大家注意一下
[00830.12-00832.12] 這是有關於望文問切當中
[00832.12-00834.28] 第一個需要同樣去掌握的電
[00834.28-00835.82] 它的內含是什麼
[00835.82-00837.02] 那第二個就是關於
[00837.02-00838.76] 點缺這個望文問切
[00838.76-00840.44] 它達到了一個非常高的
[00840.44-00841.72] 這樣的一個機水平
[00841.72-00843.08] 這個故事大家應該知道
[00843.08-00845.24] 所以在點缺的望文問切當中
[00845.24-00846.36] 會有一個點故
[00846.36-00848.04] 這個點故就是出自於
[00848.04-00849.96] 函非子、月老當中的一個
[00849.96-00851.48] 就叫做會及記憶
[00851.48-00854.04] 所以我在這裡給大家在旁邊標準一下
[00854.04-00855.64] 就是相用的點故
[00855.64-00857.72] 你可以給它在偏在旁邊
[00857.72-00864.72] 這是蔡环公會及記憶
[00864.72-00867.22] 這是蔡环公會及記憶
[00867.22-00869.72] 蔡环公會及記憶的故事是咋不事
[00869.72-00872.52] 當使這個點編曲
[00872.52-00873.92] 他在去思出行易的時候
[00873.92-00875.92] 他有一次看到了蔡环公
[00875.92-00877.62] 他看到這個蔡环公之後
[00877.62-00878.82] 他是一個醫生
[00878.82-00880.92] 所以他就擅長忘了問協
[00880.92-00883.22] 他這個方的這個信義
[00883.22-00885.42] 就是他的這個光看人的氣色
[00885.42-00887.78] 他零到什麼程度
[00887.78-00889.38] 根據這個故事裡面的描述是這樣
[00889.38-00891.54] 他看到蔡雯公第一次的時候
[00891.54-00892.98] 他跟說說大王右邊
[00892.98-00894.98] 唱公當時就像是罵了的時候
[00894.98-00896.50] 他是尼武病全家都有病
[00896.50-00898.26] 然後當時典篇沒理他
[00898.26-00900.58] 後來第二次典篇看到蔡雯公的時候
[00900.58-00901.66] 他又跟蔡雯公說
[00901.66-00903.02] 他是大王尼武病了
[00903.02-00904.78] 然後大王一天說尼武病
[00904.78-00906.46] 對完總說右邊幹什麼
[00906.46-00908.30] 我看你不是神優走一殺了
[00908.30-00910.82] 所以第二次典篇也沒有
[00910.82-00912.38] 他是大王反駁他們
[00912.38-00914.02] 所以典篇沒有說什麼就走了
[00914.02-00916.26] 第三次他又看到了這個蔡文宫
[00916.26-00917.70] 他苦口國心的蔡文宫
[00917.70-00918.78] 他往心我
[00918.78-00919.82] 你真有病
[00919.82-00921.46] 大王白了他眼瞎沒說
[00921.46-00922.34] 對吧沒理大
[00922.34-00923.22] 第四次
[00923.22-00924.62] 變確抗蔡文宫的時候
[00924.62-00925.66] 轉身就跑了
[00925.66-00927.10] 當然蔡文宫就冒圈了
[00927.10-00928.46] 說這是雜貴事兒的
[00928.46-00928.98] 對吧
[00928.98-00930.50] 說那這之前一段時間
[00930.50-00931.54] 天天看到我都這個
[00931.54-00932.70] 親切的問候我有病
[00932.70-00933.74] 然後現在靠好了
[00933.74-00934.18] 對吧
[00934.18-00935.30] 也不跟我說話了
[00935.30-00936.10] 轉身就跑
[00936.10-00937.98] 所以這個蔡文宫就很耗奇
[00937.98-00938.86] 然後就問
[00938.86-00940.06] 說他被他跑
[00940.06-00940.98] 是不是都不知道
[00940.98-00942.18] 然後他就找一個水熟
[00942.18-00942.98] 他說你跟著他
[00942.98-00944.98] 你跟着他看他去哪儿
[00944.98-00945.80] 然后你问他
[00945.80-00947.60] 手衛他看到我就跑
[00947.84-00949.38] 接着这个随从
[00949.38-00950.92] 然后他就跟着这个
[00950.92-00953.22] 这个变确就回到了变确都住出
[00953.22-00954.32] 回到变确住出之后
[00954.32-00955.26] 变确的干嘛呢
[00955.26-00957.06] 在那着急的收拾行列
[00957.06-00959.12] 然后这个随从就蒙了说
[00959.12-00960.64] 说您为什么要收拾行列
[00960.64-00961.66] 他说我得赶紧跑
[00961.66-00962.70] 他是为什么要跑
[00962.70-00963.80] 他说你们家大王了
[00963.80-00964.90] 马上就没了
[00964.90-00965.70] 马上就要杆了
[00965.70-00965.96] 对吧
[00965.96-00967.14] 人马上就要死掉了
[00967.14-00968.84] 但是那个随从就就下一条
[00968.84-00969.86] 说你不要下说
[00969.86-00971.14] 让别人听到
[00971.14-00972.58] 如果我们大王的政治
[00972.58-00973.50] 撞年 对吧
[00973.50-00974.34] 身体又很好
[00974.34-00976.10] 怎么可能说马上就要没了
[00976.10-00977.30] 她说你还是这样的
[00977.30-00978.62] 我第一次看到她的时候
[00978.62-00979.54] 我就跟她说她有病
[00979.54-00980.82] 她没有听我 对吧
[00980.82-00984.34] 那个时候她是病在皮膚上
[00984.34-00985.26] 就病在外表
[00985.26-00986.66] 这种情况之下很简单
[00986.66-00987.78] 你服役服
[00987.78-00990.02] 什么服役服要什么的就好了
[00990.02-00991.54] 我第二次见到她的时候
[00991.54-00992.82] 她已经病到了怎么呢
[00992.82-00994.02] 她病到激里
[00994.02-00995.22] 那也没有关系
[00995.22-00995.50] 对吧
[00995.50-00996.34] 是要我是神移的
[00996.34-00997.54] 摘开真也就好了
[00997.54-00999.78] 第三次看到她是病入什么呢
[00999.78-01002.02] 是逼入到了我们所说的这个
[01002.54-01003.26] 藏肅
[01003.26-01004.78] 不知逼我不是逼得了
[01004.78-01006.66] 不是逼入到我们所说的细业
[01006.78-01008.14] 这里面没有关系
[01008.14-01008.30] 对吧
[01008.30-01010.42] 给他扎扎扎扎扎扎扎扎扎扎扎
[01010.42-01011.42] 让车扎就好了
[01011.54-01012.46] 我再次看到他
[01012.46-01013.98] 他一只在这一次看到他的时候
[01014.02-01015.54] 他已经逼入藏肅
[01015.54-01016.50] 逼入骨水
[01016.54-01017.54] 没有可能就了
[01017.54-01018.66] 我们常说就要是吧
[01018.66-01019.54] 逼入鸿鸿鸿鸿
[01019.54-01020.26] 也出在这
[01020.26-01021.94] 你看他都逼成这个样子了
[01021.98-01022.94] 我怎么去救他呢
[01022.98-01023.62] 他只能让我救
[01023.66-01024.50] 我就不活
[01024.50-01025.54] 那至少还要杀我嘘
[01025.54-01026.74] 能不能不入我现在怎么样
[01026.74-01027.30] 这跑
[01027.30-01030.06] 所以就有老公所说的叫菜环功会结
[01030.06-01032.88] 即一也就是和他相对的另外一个次
[01032.88-01034.30] 有时候我们尝说的叫什么
[01034.30-01036.46] 做做并若高花
[01039.54-01040.64] 其实都可是有关
[01040.64-01041.84] 都和变确有关
[01041.84-01043.84] 从这儿同样就能够看得出来
[01043.84-01045.44] 他其实什么都没做
[01045.44-01046.64] 他只是通过什么
[01046.64-01047.94] 他只是通过看
[01047.94-01049.74] 他就断定这个人怎么样
[01049.74-01052.54] 他在这个正庄到底达到什么样的程度了
[01052.54-01052.84] 对吧
[01052.84-01055.74] 所以在我们所说的这个望文的问切
[01055.74-01057.98] 我们所说的和他相当的这个点顾
[01057.98-01060.42] 就是蔡文国会议议和并如高黄
[01060.42-01063.22] 那为什么这个典趣的记忆呢 这么高呢
[01063.22-01065.98] 就是他通过看他就一定能够看得出来
[01065.98-01067.22] 这个人并什么样呢
[01067.22-01068.78] 只有一个传说
[01068.78-01071.30] 说传说呢 说最开始的时候这个典趣
[01071.30-01073.06] 他在年少的时候
[01073.06-01076.46] 他当时就是做一个旅电的电脚
[01076.46-01078.82] 就像一个酒店的这样的一个所有人
[01078.82-01080.94] 就是酒店的电脚就列随之中
[01080.94-01082.22] 然后经常有一个人呢
[01082.22-01083.62] 就是在他那个地方去住
[01083.62-01086.28] 那个人叫做藏桑君 藏桑
[01086.28-01088.12] 藏
[01088.12-01088.88] 藏
[01088.88-01092.12] 大藏进的藏桑数的藏桑
[01092.12-01092.84] 然后呢
[01092.84-01094.12] 他们那个藏桑君
[01094.12-01095.62] 就是来回回再看着住了
[01095.62-01097.12] 出了好多年
[01097.12-01098.52] 然后别人都觉得这个藏桑
[01098.52-01099.42] 就是一个很普通的人
[01099.42-01101.08] 只能典去对这个人
[01101.08-01102.08] 领域有家
[01102.08-01104.10] 然后总是非常礼貌的问他说
[01104.10-01105.28] 阿姨回来了
[01105.28-01106.16] 然后出现说说
[01106.16-01106.82] 按你要走了
[01106.82-01107.44] 就是这样的
[01107.44-01108.84] 一直跟这个藏桑君之间的
[01108.84-01110.08] 工通非常的良好
[01110.08-01111.08] 当然那个藏桑君
[01111.08-01113.08] 就觉得典去这个人不错
[01113.08-01115.44] 后来有一次这个人就跟这个典趣
[01115.44-01117.36] 他就说他说我现在年龄大了
[01117.36-01119.20] 但是我手里有一个方子
[01119.20-01121.08] 这个方子是一个镜方
[01121.08-01123.32] 我传给你你不要传给别人
