[00000.00-00004.96] 欢迎来学习经济学当中的第四章内容就是国际经济
[00320.98-00324.18] 就是不想让东西进来,这个就要限制金口
[00324.18-00327.86] 所以在这里面,它说莫一宝户主义主要是限制金出口
[00328.86-00333.78] 主要是在限制金口,而不是金出口,所以大家注意一下,重点是在这个金口上
[00333.78-00337.90] 那莫一宝户主义有两种形式,一种叫关税壁类,一种叫飞关税壁类
[00337.90-00342.62] 对这个措施,大家注意一下,你只需要掌握住,它是一个基本看点就行了
[00342.62-00347.90] 一般情况之下,有地区考察过,但是,它是隔级年才考一次的情况
[00347.90-00352.38] 所以,它考得比较少,我们只把它做一个医心级的,基本概念上我就可以了
[00353.38-00359.42] 那现实进口,它有两种土境,第一种就是增加关税,我们把的车位叫做关税币脸
[00359.42-00364.82] 关税币脸是高额关税作为现实进口,你看它强调都是进口的一种错识
[00364.82-00369.94] 就是东西比如说现在我们把东西出口到德国
[00369.94-00372.46] 德国相对于我们就出口的德国就要什么
[00372.46-00373.82] 德国就叫做进口
[00373.82-00377.10] 我们把东西出口到德国就要什么国家
[00377.10-00378.58] 比如说进口国家的什么呢
[00378.58-00380.06] 进口我们国家的手机
[00380.06-00382.22] 这个时候在口案的时候
[00382.22-00383.50] 他这个时候就要干嘛
[00383.50-00385.06] 他是不是之前要败一个个手续
[00385.06-00387.90] 然后在这个手机当中他就要给我加州关税
[00387.90-00390.78] 如果加州关税的话就意味着原本手机
[00390.78-00392.10] 我要卖100元
[00392.10-00395.28] 这回加松关税之后手机的在他们市场当中的受价
[00395.28-00396.30] 可能变成了两百
[00396.30-00398.10] 就相对来说 加哥就提高了
[00398.10-00400.02] 这个就叫做什么关税币类
[00400.02-00401.62] 那如果有关税币类的话
[00401.62-00402.46] 限制进口
[00402.46-00404.66] 因为加哥提高东西进不去
[00404.66-00406.90] 或者说是我们所说的就认立比较差
[00406.90-00408.66] 那这个东西其实是没有市场的
[00408.66-00410.34] 这个叫关税币类
[00410.34-00412.58] 所以我们在关税这一块我们会发现
[00412.58-00414.86] 它其实不太方便
[00414.86-00415.14] 对吧
[00415.14-00417.74] 所以我们才会签个种这样的合约
[00417.74-00420.14] 比如说之前我们所说的这个什么
[00420.14-00424.74] 而CIP出来之前是没有TPP
[00424.74-00427.50] TPN还太被国家之间去牵属了
[00427.50-00428.90] 互相极与关税于委会
[00428.90-00430.38] 你看关税越低
[00430.38-00432.50] 意味着它的价格会越低
[00432.50-00432.90] 对吧
[00432.90-00434.26] 所以在这里互相税比例
[00434.26-00435.74] 除了增加关税正在的
[00435.74-00437.14] 还一种叫非关税比例
[00437.14-00439.34] 非关税比例就是不加钱
[00439.34-00442.22] 但是除了不加钱以外的其他的这种措施
[00442.22-00443.74] 都叫做非关税比例
[00443.74-00444.98] 非关税比例的
[00444.98-00447.58] 它说是除关税以外的所有措施
[00447.58-00451.68] 这种厕世可以通过法律法令等等来实现
[00451.68-00453.14] 我们来看一下主要有哪些
[00453.14-00454.74] 这几个点同时没有知道
[00454.74-00458.08] 它是飞关水避累的内容就可以了
[00458.08-00461.02] 它说它主要包括第一个叫做绿色避累
[00461.02-00462.68] 第二叫技术避累
[00462.68-00466.26] 进口徐葛正还有什么进口配合制
[00466.26-00468.56] 也认为在这里面所谓的绿色避累
[00468.56-00472.16] 这是我们在有它主要是吵件在实品上
[00472.16-00473.68] 您看这在实品当中呢
[00473.68-00476.38] 它说这个实品经过减测什么东西的喊量
[00476.38-00477.92] 不能超过多少多少
[00477.92-00479.20] 这个东西的检测
[00479.20-00479.96] 什么什么
[00479.96-00480.48] 含量
[00480.48-00481.88] 它要低于多少多少
[00481.88-00483.04] 那这种情况之下
[00483.04-00484.56] 它就会以这个位优秉说
[00484.56-00487.40] 我们在这家地区产的这些产的那个大线
[00487.40-00489.18] 这个大线我们进口的
[00489.18-00490.46] 就是我们出口的
[00490.46-00491.48] 欧盟那边的国家
[00491.48-00492.76] 它就会以这个大线当中
[00492.76-00494.30] 某个东西的含量
[00494.30-00496.86] 超过了0.0.0.0.9
[00496.86-00498.04] 然后这种情况之下说
[00498.04-00499.68] 不符合什么什么历色
[00499.68-00500.44] 标准
[00500.44-00501.72] 把这个东西退毁不要
[00501.72-00503.00] 这个就叫什么
[00503.00-00503.76] 飞过水毕来
[00503.76-00504.54] 那你说同时
[00504.54-00506.24] 它真的是超过了0.0.0.0.0.
[00506.24-00508.08] 这个东西在国内吃的时候
[00508.08-00510.24] 还有我们所说的国内是要当务标受欢迎
[00510.24-00512.44] 但是他没有办法出口到那边
[00512.44-00514.24] 那他其实本身能够看得出来
[00514.24-00515.44] 他其实是故意针对我们
[00515.44-00518.44] 那他这里面给到就要是什么叫做绿色比例
[00518.44-00521.24] 他是根据相当我们所说的准则也好
[00521.24-00523.44] 食品标准也好所去宪定
[00523.44-00525.24] 那还有一些就是我们所说的什么
[00525.24-00526.04] 技术比例
[00526.04-00528.84] 就是说你这个东西他的技术不合格
[00528.84-00532.84] 这种情况之下也会限制我们所说的一些产品的金口
[00532.84-00537.06] 比如說我們出口一些什麼玩具這些東西出口到國外
[00537.06-00538.98] 然後證明說你這個東西哪一個配件
[00538.98-00541.48] 它的技術不達標會造成什麼安全遇恨
[00541.48-00542.92] 以此為由給我們退回來
[00542.92-00544.68] 那這裡面就有什麼技術必須來
[00544.68-00545.90] 那還有進口續合這
[00545.90-00547.18] 那進口續合這更是
[00547.18-00549.34] 進口續合這就是你沒有這個續合這
[00549.34-00552.04] 你的東西是不能進入到這個國家市場當中來的
[00552.04-00555.36] 包括進口配合這限制你進口的數量
[00555.36-00557.92] 那這些都是出關稅以外的其他措施
[00557.92-00560.92] 那這些都叫做貿易保護主義
[00560.92-00561.92] 莫一把户主義
[00562.64-00563.44] 隨大家注意一下
[00563.44-00565.28] 这里的措施有两个
[00565.28-00567.04] 一个是关税,一个是非关税
[00567.04-00568.60] 这些就是第一个问题
[00568.60-00570.08] 就是在国际莫一当中
[00570.08-00572.12] 我们必须掌握的基本概念
[00572.12-00574.12] 那重点是两星期的之点
[00574.12-00574.80] 我们要知道
[00574.80-00576.72] 那如果以上问题都解决了
[00576.72-00579.12] 那国际国之间就要进行买卖
[00579.12-00580.40] 那国际国之间的买卖
[00580.40-00581.36] 就一定会睡到
[00581.36-00583.64] 对外莫一当中的匯率问题
[00583.64-00585.64] 我们来看一下这里的匯率
[00585.64-00587.92] 我们来看什么是匯率
[00587.92-00589.96] 但是會率是要一種貨幣
[00589.96-00591.76] 表示6種貨幣的價格
[00592.78-00593.54] 我們也給到
[00593.54-00596.88] 叫一國貨幣對換6國貨幣的比率
[00596.88-00598.68] 這個能去叫做我們所說的
[00598.68-00599.18] 會率
[00599.18-00601.74] 所以我們先來看一下這個叫做會率的含義
[00603.02-00605.58] 會率的含義其實都是兩個錢之間的什麼
[00605.84-00606.62] 比率關係
[00606.62-00610.04] 比如說我們現在說一美元能對換多少人民幣
[00610.04-00611.48] 對吧 那我們假設
[00611.48-00613.78] 我們國家設置的最高限時期
[00613.78-00616.60] 那一美元假設就是6.5人民幣
[00616.60-00619.68] 这个时候辉率就是1比6.5
[00619.68-00622.08] 这个代表的就是辉率
[00622.08-00625.88] 它其实两种货币之间的价格的比价
[00625.88-00627.32] 这个就是我们所说的辉率
[00627.32-00628.88] 所以辉率是实实变弄的
[00628.88-00631.84] 这个咱们也能看到每一天辉率的价格都不一样
[00631.84-00633.92] 是第一个辉率的含意
[00633.92-00635.36] 那知道的辉率还一只后呢
[00635.36-00636.32] 今天我们来看一下
[00636.32-00638.16] 辉率到底是怎么来的
[00638.16-00641.12] 现在这个辉率为什么每天都会发生相当变动
[00641.12-00642.40] 我们来看一下第二点
[00642.40-00644.96] 就是辉率它的一个演变化分
[00644.96-00649.64] 来看一下灰率的演练花分在这里面他是打说的
[00649.64-00654.88] 它说灰率它其实分成两种一种叫做固定灰率质
[00654.88-00657.12] 一种叫做福动灰率质
[00657.12-00659.60] 什么叫做固定灰率质来看一下
[00659.60-00662.08] 它说固定灰率质这个里面就靠电了
[00662.08-00663.92] 而且是细节上的靠电大主义
[00663.92-00665.76] 它说固定灰率质同标准一下
[00665.76-00668.24] 是由谁来公布的标准
[00668.24-00671.04] 是由政府来制定和公布的
[00671.04-00674.24] 原来这个汇率比较值钱的时候
[00675.00-00676.52] 我们所提到的这个汇率
[00676.52-00678.72] 它到底是一比多少钱
[00678.72-00680.96] 这种情况之下它是由政府来决定的
[00680.96-00681.88] 因为最开始的时候
[00681.88-00684.36] 在布林顿四年体系完成之后
[00684.36-00686.16] 我们其实会发现
[00686.16-00687.56] 它的这个汇率最开始
[00687.56-00688.72] 美元和黄军
[00688.72-00690.16] 就是黄军和美元挂钩
[00690.16-00691.56] 美元和其他货举跨公
[00691.56-00693.56] 就是确定了以美元为中心的这样
[00693.56-00694.68] 那个货与交易体系
[00694.68-00695.08] 对吧
[00695.08-00696.96] 但那个时候美元一家独大
[00696.96-00698.24] 所以在这种情况之下
[00698.24-00699.20] 一般情况之下
[00699.20-00702.44] 每元对货多少日元对货多少人民币
[00702.44-00705.28] 或对货多少我们所说的这种英邦
[00705.28-00706.24] 它都是有什么
[00706.24-00707.84] 它都是由政府来决定的
[00707.84-00708.84] 政府规定了
[00708.84-00710.68] 你吃我们国家的这样的一个货币
[00710.68-00712.24] 那这种情况之下我就跟你订
[00712.24-00717.56] 说我们的美元和日元之间的对货的服度
[00717.56-00719.48] 就是一比八十一比三代
[00719.48-00721.32] 或者是一比一百六等的
[00721.32-00723.04] 我只是举个例子
[00723.04-00725.32] 那这里面你看它的具体的
[00725.32-00727.52] 会律师多少是由政府来制定的
[00727.52-00728.72] 也不是由市场来调控
[00728.72-00730.00] 都是你持有我们国家货币
[00730.00-00730.96] 我就给你规定
[00730.96-00733.08] 你这个时候你的会率应该是多少
[00733.08-00734.16] 那这个情况之下
[00734.16-00735.88] 它是由政府制定的
[00735.88-00737.48] 这个叫固定会率质
[00737.48-00740.32] 但固定固定虽然是有一个去制定的
[00740.32-00744.92] 但是它是不是这个固定会率质就永远是1比7,1比8,1比9不便了呢
[00744.92-00745.44] 不是
[00745.44-00746.16] 大周业
[00746.16-00748.24] 固定会率质也可以产生波动
[00748.24-00750.28] 但是它的波动服务非常小
[00750.28-00751.96] 一般行来就是在百分之一
[00751.96-00753.04] 左右波动
[00753.04-00754.76] 所以在这里固定会率两个点
[00754.76-00756.28] 第一个政府制定
[00756.28-00758.80] 第二个他不是一成不变的
[00758.80-00760.38] 如果在这里给到判个人提说
[00760.38-00762.28] 顾得会率只是一遍不变的不对
[00762.28-00764.32] 他会产生相的活动
[00764.32-00766.52] 主播的活动的服务会比较低
[00766.52-00769.32] 那这是最开始我们所说的这种会率质
[00769.32-00770.60] 那最开始会率质质质质
[00770.60-00772.48] 那为什么会变成服务动会率质呢
[00772.48-00774.48] 这还是要从美国他自身的
[00774.48-00775.64] 这样一个情况说起
[00775.64-00777.28] 咱们说了在二战结束之后
[00777.28-00779.92] 确定了以美元美中心的货币支付体系
[00779.92-00781.12] 对吧
[00781.12-00782.12] 什么叫以美元以中心
[00782.12-00784.72] 因为当时美国的黄金储被量很高
[00784.72-00788.76] 所以他说黄金与什么黄金与美人贯购
[00788.76-00790.64] 也就是他去制定了这个规则
[00790.64-00793.12] 所以游戏规则他就说了
[00793.12-00794.84] 他就说我们国压最强
[00794.84-00795.84] 对吧经济发展又好
[00795.84-00796.88] 黄金属的量又高
[00796.88-00798.68] 我们国家的气率都很高
[00798.68-00799.64] 所以他说说了
[00799.64-00801.56] 这美人和黄金贯购
[00801.56-00803.68] 叫黄金和美人贯购
[00803.68-00803.92] 对吧
[00803.92-00804.92] 这不是贯上了吗
[00804.92-00806.80] 而美人又和其他货举贯购
[00806.80-00807.80] 也就是什么意思
[00807.80-00810.64] 也就是你想要在国际市场到中买卖黄金
[00810.64-00811.96] 你就只能对换成什么
[00811.96-00814.40] 你就只能对换成美元
[00814.40-00817.94] 这个就是我们所说的以美元为中心的货币支付体系
[00817.94-00819.32] 但最开始的时候呢
[00819.32-00822.76] 美元这个美国它的整个的黄金数量
[00822.76-00826.28] 很多它确实是能够一美元代表多少黄金
[00826.28-00827.38] 它就是实质的
[00827.38-00829.46] 但是国际上的其他人不是傻子
[00829.46-00831.12] 黄金种东西是硬通货
[00831.12-00832.34] 所以在这里面怎么样
[00832.34-00834.36] 大家就想去买黄金
[00834.36-00836.36] 那买黄金就要对换成美人
[00836.36-00837.90] 那就会导致两种结果
[00837.90-00838.96] 第一种结果就什么呢
[00838.96-00841.34] 黄金在国际市场当中买卖比较平凡
[00841.34-00844.20] 包括美国它的黄金的土贝量也在渏少
[00844.20-00846.70] 那美国黄金除了点小就越着
[00846.70-00849.58] 原来他会订阴美元代表多少黄金
[00849.58-00850.86] 原本是石指的
[00850.86-00852.14] 现在随着黄金的点小
[00852.14-00854.44] 他订阴美元代表多少样私的黄金
[00854.44-00855.72] 这本身就是一个什么
[00855.72-00857.26] 本身就是一个虚止了
[00857.26-00858.80] 就是他不能像最开始一样说
[00858.80-00860.58] 我这美元就代表了多少黄金
[00860.58-00863.92] 已经没有办法就是按照这种十大十的这个数
[00863.92-00864.68] 来去对应上了
[00864.68-00865.46] 这是第1个
[00865.46-00867.50] 第2个就是他自己给自己跑烤自己
[00867.50-00868.78] 自己买了
[00868.78-00870.82] 自己给自己跑烤买了是啥意思呢
[00870.82-00873.38] 他说你要在国际上买的黄金数
[00873.38-00874.42] 美元呢
[00874.92-00876.44] 这本中会出现一个问题
[00876.44-00878.00] 就是大量的
[00878.24-00880.56] 我们所说的国际上的这种黄金的这种交易
[00880.56-00882.08] 都要转化成美元
[00882.08-00883.62] 但是哪有那么多的美元呢
[00883.62-00884.12] 对吧
[00884.12-00886.44] 在国际上进贸易的说大那么多的美元可以
[00886.70-00887.98] 我们所说的去对坏呢
[00887.98-00888.74] 您比如说
[00888.74-00890.78] 我现在要从国际市场买黄金
[00890.78-00893.60] 那就是我就要把我的钱对坏成美元然后再去买
[00893.60-00895.66] 那欧洲其他的一些国家
[00895.66-00896.68] 美国英国法国
[00896.68-00899.24] 包括亚洲的很多的国家比如说咱们中国
[00899.24-00901.02] 然后就包括日本韩国等等
[00901.02-00902.30] 他们要去买黄金
[00902.30-00903.70] 那就只能对换成美元
[00903.70-00905.70] 那在对换成美元的过程当中
[00905.70-00907.14] 美国哪来那么多钱
[00907.14-00909.10] 所以当他美元不够的手怎么办
[00909.10-00910.94] 他就要开我们所说的这什么
[00910.94-00913.14] 印超级狂狂在那印的元
[00913.14-00914.94] 这个时候导致的一个问题就是什么
[00914.94-00917.14] 你打开印超级开始狂狂一美元的手
[00917.14-00919.02] 美元的攻击处量变多了
[00919.02-00920.22] 两个方面
[00920.22-00921.98] 第一个美元攻击处量变多
[00921.98-00923.18] 导致的结果是什么
[00923.18-00924.66] 导致美元变职
[00924.66-00925.10] 对吧
[00925.10-00928.86] 第二个当美元的攻击处量一旦变多的时候
[00928.86-00929.74] 美元处得变得这外
[00929.74-00931.42] 还又发了国内的通过膨脏
[00931.42-00935.14] 所以你看他在这里面给自己罢了亨与自己给买了
[00935.14-00937.22] 所以就用情况之下原本他说了
[00937.22-00940.26] 说那你看我们现在比如说美国和日本
[00940.26-00942.42] 对吧就是国要狗就看他俩吧
[00942.42-00943.70] 你比如说美国和日本
[00943.70-00947.74] 美国和日本当时日本持有美国的外区处备美元的时候
[00947.74-00949.14] 那就说美国就给的规定
[00949.14-00950.14] 给的规定说什么呢
[00950.14-00952.58] 说我一美元你要对换三百日元
[00952.58-00954.18] 对吧看跟你说我儿子的分享
[00954.18-00956.22] 我就给你固定这么一个区率
[00956.22-00958.30] 那这个就是我们所说的正常的这种
[00959.22-00960.22] 固定区率者
[00960.22-00963.04] 但是随着美元在市场当中
[00963.04-00964.06] 流通的越来越多
[00964.06-00965.98] 在国际市场当中流通的越来越多
[00965.98-00968.42] 原本美国给日本订队的是我们所说的
[00968.42-00969.70] 一比300的这个数
[00969.70-00970.46] 其实呢
[00970.72-00973.80] 没有办法按照我们所说的正常情况下
[00973.80-00975.06] 就是应该打说的这话
[00975.06-00976.10] 就是一比300
[00976.10-00977.88] 其实美元它不值300日元了
[00977.88-00978.90] 就是这个意思
[00978.90-00980.18] 就是市场当中
[00980.18-00981.46] 国际市场当中的美元
[00981.46-00983.00] 会率质变得怎么样
[00983.00-00983.52] 越来越低
[00983.52-00985.56] 因为国际市场当中流通的美元越来越低
[00985.56-00986.58] 美元一定是什么
[00986.58-00988.12] 美元一定是比岸值了
[00988.12-00989.66] 美元在比岸值的这个过程当中
[00989.66-00990.70] 然后他还跟日本人说
[00990.70-00992.34] 你花三百块钱买我的美元
[00992.34-00993.50] 你觉得日本人还愿意吗
[00993.50-00994.74] 也就是在固定区率
[00994.74-00996.14] 只是在国运国之间的时候
[00996.14-00997.10] 还是一里三百
[00997.10-00998.62] 但是在国际市场当中
[00998.62-01000.34] 美元比日元可能就是什么
[01000.34-01001.90] 可能就是一比一百五了
[01001.90-01003.22] 可能就是这样的一个情况
[01003.22-01004.26] 你就是美元
[01004.26-01005.98] 他出现了严重的什么情况
[01005.98-01007.58] 严重的变职情况
[01007.58-01009.82] 那这个时候会出现一个问题
[01009.82-01010.62] 什么问题呢
[01011.50-01012.18] 第一方面
[01012.18-01013.90] 美国日本绝对出贵了
[01013.90-01015.18] 第二方面就是啥
[01015.18-01016.78] 第二方面的就是会出现
[01016.78-01018.14] 导义区率的情况
[01018.14-01019.18] 什么叫导义区率呢
[01019.18-01020.98] 如果他是一个聪明的日本人
[01020.98-01023.98] 而且他就是对于赚钱也没有什么到的底线的话
[01023.98-01025.58] 他就可以在国际市场上
[01025.58-01027.18] 花150块钱去买美元
[01027.18-01029.58] 然后在日本市场当中
[01029.58-01030.26] 在用什么
[01030.26-01031.58] 在用美元去换日员
[01031.58-01032.58] 他这样的话你看
[01032.58-01033.98] 他是不是就翻个两倍
[01033.98-01035.78] 就是你花了150块钱的日员
[01035.78-01036.78] 去买了一张美元
[01036.78-01037.98] 结果到国内之后
[01037.98-01038.78] 你可以拿一张美元
[01038.78-01039.98] 换三个钱日员
[01039.98-01041.58] 那这种情况是下面看
[01041.58-01042.78] 寶貌会率就行啊
[01042.78-01043.58] 就出现了
[01043.58-01044.18] 断套了
[01044.18-01045.78] 那这种情况之下就说来了
[01045.78-01047.38] 原本这种固定会率之
[01047.38-01051.72] 他已经支撑不了现有的这种国际贸易体系的这种需求了
[01051.72-01054.04] 所以原本的固定会订阵不行
[01054.04-01056.48] 后来固定会订阵就被什么所取代了呢
[01056.48-01059.72] 就被市场服动会订阵所取代了
[01059.72-01062.24] 所以在这里就有了我们所说的服动会订阵
[01062.24-01066.02] 说服动会订阵它是由市场共求关系决定的会订阵
[01066.02-01067.86] 由是你这个会订阵是多少
[01067.86-01069.40] 就是看当天的什么
[01069.40-01072.02] 我们所说的具体的货币的数量
[01072.02-01073.18] 它去来确定了
[01073.18-01075.14] 所以你不能说固定不编的确
[01075.14-01077.70] 規定 所以它是由市场供出关系来图定了
[01077.70-01081.02] 说其长落基本自由在这两地一个把市场化出来
[01081.02-01083.86] 基本上原则上没有维持区律水平的意误
[01083.86-01085.38] 但必要是要进行干预
[01085.38-01086.86] 为什么必要是进行干预呢
[01086.86-01089.46] 它其实是美国
[01089.46-01091.54] 它对很多国家下国首
[01091.54-01094.10] 所以很多国家现在就细续
[01094.10-01096.66] 当时美国和日本之间的经验教续
[01096.66-01098.94] 就对我们所说的这个区律进行了干预
[01098.94-01102.10] 比如说我们国家其实就是实行的这个服动区律制
[01102.10-01102.94] 大助一下
[01102.94-01107.54] 我们国家实行的服动规律叫做有管理的服动规律制
[01107.54-01109.08] 把这个点化出来
[01109.08-01110.86] 因为服动规律套两种
[01110.86-01113.70] 一种是完全自由的服动规律
[01113.70-01115.74] 一种是有管理的服动规律
[01115.74-01117.54] 但我们国家实行的是有管理的
[01117.54-01119.74] 如果不能放任我们所说的什么
[01119.74-01121.62] 不能放任我们所说的这种
[01121.62-01124.44] 美元对人民币它是无限制的
[01124.44-01125.98] 这种上展或者下跌的
[01125.98-01127.78] 这样的话会把中国的经济机垮到
[01127.78-01129.56] 所以我们国家要实行有管理的
[01129.56-01130.84] 管理就体现在什么呢
[01130.84-01133.84] 美元对人民币不能破弃
[01133.84-01135.84] 这是我们国家的底线
[01135.84-01137.64] 所以叫管理的服从回去
