[00000.00-00005.40] 我們在前面給大家講了實現中華民族偉大福興的內部條件
[00207.72-00209.40] 但是有人在大木就说了说
[00209.40-00210.68] 哪怕武柱的嘴
[00210.68-00212.84] 我也有对和平的那样的一个像
[00212.84-00213.56] 所以和平
[00213.56-00215.24] 它不是一个国家的追求
[00215.24-00216.84] 它是一个全人类的追求
[00216.84-00218.72] 所以我们说了在世界发展之后
[00218.72-00220.20] 就是12次世界发展之后
[00220.20-00222.76] 我们所说的整个世界区平的发展之后
[00222.76-00225.72] 和平发展就成为了现实戴的主体
[00225.72-00229.30] 并成为我们所说的人类不断的用行的这样的一个追求
[00229.30-00231.52] 我刚才给大家提到了这样一个
[00231.52-00233.28] 湾类这样的一首歌曲
[00233.28-00235.12] 我们就来一起来看一下
[00235.12-00237.60] 就是这首歌他的演艺有多震撼
[00375.72-00394.16] 好,那这个呢,这是这个割起前半的演藥,整割起呢大概四分多中啊
[00394.16-00399.02] 我来这里没有给大家全部都放出来,只是在这里面给大家去看了其中的一段啊
[00399.02-00405.42] 有兴趣的同学呢,可以去听一听啊,这是,笔战上有一个是什么思倨音乐馆呢,还是什么呢
[00405.42-00406.82] 就是他里面是最高清的
[00406.82-00407.82] 是四个的
[00407.82-00409.78] 可以去看一下整个歌曲
[00409.78-00412.22] 演异的还是比较真汗人心的
[00412.22-00415.62] 这个其实就能够看到人们对于和平的这样一个呼类
[00415.62-00418.98] 所以我们都知道整个世界人民在经历了124时
[00418.98-00421.14] 也大概只后尤其是我们所说的
[00421.14-00422.70] 咱们中国人在
[00423.34-00425.62] 第二次世界大战当中所承受的普通
[00425.62-00427.62] 我们就现在越来越发的向往什么
[00427.62-00428.02] 和平
[00428.02-00429.18] 但是一刚才有说了
[00429.18-00431.34] 现阶段局务热点冲突补断
[00431.34-00433.02] 我们经常能够看到新闻上
[00433.02-00435.42] 多少而同在這樣的一個衝突當中
[00435.42-00436.58] 離開了人士
[00436.58-00439.14] 然後我們看到的各種各樣的一些問題
[00439.14-00440.54] 我們真心的呼籲
[00440.54-00441.78] 我們也真心的心話是
[00441.78-00443.02] 也和平能夠走著到來
[00443.02-00445.06] 而在這樣的一個對於和平
[00445.06-00446.42] 不斷的追尋的
[00446.42-00447.26] 腳步當中
[00447.26-00448.98] 中國的這樣的一個力量
[00448.98-00450.70] 就會變得有外重要
[00450.70-00452.30] 用多知道中國自古以來
[00452.30-00454.70] 它就是一個向往和平的這樣的一個國家
[00454.70-00456.14] 我們能夠在古代的向文化
[00456.14-00457.74] 當中提到大同社會
[00457.74-00459.38] 我們也能夠從現在的國家
[00459.38-00460.98] 領導人的這樣的一個政策
[00460.98-00462.22] 理念當中提到了
[00462.22-00463.50] 人民運共同體
[00463.50-00465.94] 而隨著中國力量的不斷強大
[00465.94-00467.82] 我們越來越能夠看到
[00467.82-00469.66] 中國在世界發展過程當中
[00469.66-00470.98] 所起到的這樣的一個作用
[00470.98-00472.74] 所以無論是粗於中國
[00472.74-00474.82] 古代傳統文化的這樣的一個
[00474.82-00476.50] 我們所說的理念的寻討
[00476.50-00478.50] 還是我們從現在的政策裡面
[00478.50-00479.98] 能夠看到中國
[00479.98-00480.78] 現任領導人
[00480.78-00482.70] 它所有的這種世界情緒
[00482.70-00484.66] 我們都能夠看到中國
[00484.66-00486.42] 無論從哪個就層面上來看
[00486.42-00487.42] 走的都是什麼
[00487.42-00488.46] 和平發展道路
[00488.46-00489.62] 所以在這裡面
[00489.62-00491.10] 我們提到的第一個點
[00491.10-00494.18] 就是 和配发展 认识时代的主题
[00494.18-00497.58] 而中国就是顺应时代发展的需要 只是第一个点
[00497.58-00499.86] 那第二个呢 就是在20大当中呢
[00499.86-00503.78] 其实也有新的一些表述 就是有关于当前国际局势的
[00503.78-00506.66] 那在这里面我们来看一下20大里面是怎么说的
[00506.66-00508.18] 特朗普20大报告指出啊
[00508.18-00511.46] 说当前世界之边时代之边 历史之边
[00511.46-00514.30] 正以前所未有的方式展开
[00514.30-00515.94] 这一切都是我们所说的
[00515.94-00518.10] 由于经济的发展时代的进步
[00518.10-00519.90] 经济全球化的这样的一个加深
[00519.90-00522.94] 整个世界变化的局势非常快
[00522.94-00523.30] 对吧
[00523.30-00524.02] 所以他说了
[00524.02-00525.82] 正以前所没有的方式展开
[00525.82-00527.26] 所以在这样的一个
[00527.26-00528.90] 世界发展过程当中
[00528.90-00530.14] 他提到了两个电
[00530.14-00531.14] 为什么要坚持走
[00531.14-00532.06] 和平发展到路
[00532.06-00533.38] 一个方面的主持
[00533.38-00535.42] 和平发展是当今时代的主题
[00535.42-00538.06] 和平发展合作供营的潮流
[00538.06-00539.10] 是不可足党的
[00539.10-00540.34] 这是历史的什么
[00540.34-00542.26] 这是历史发展的大区势
[00542.26-00544.06] 所以在这里面同一标主缺二
[00544.06-00544.62] 他说
[00544.62-00546.58] 和平发展合作供营的历史潮流
[00546.58-00549.22] 不可足党是人心所向大使所区
[00549.22-00550.90] 我为什么要把这个死里来话出来
[00550.90-00553.30] 你在这里面就记一个点同们注意
[00553.30-00555.86] 无论是在中特还是在实正
[00555.86-00557.98] 还是你看到的任何一个文件当中
[00557.98-00559.46] 只要出现这四个词
[00559.46-00561.62] 你就把他当作组合词就行了
[00561.62-00562.66] 明白我的意思吧
[00562.66-00563.86] 比如说在这里说
[00563.86-00567.86] 说和平发展给你挖了两个控的历史潮流
[00567.86-00568.86] 不可足道
[00568.86-00572.10] 或者说我们要购建和平发展挖了两个控
[00572.10-00573.14] 美好未来
[00573.14-00573.86] 都是什么
[00573.86-00574.98] 都是这四个词
[00574.98-00576.46] 你就把他当作一个组合词
[00576.46-00578.34] 他在不同的文件当中
[00578.34-00581.28] 可能有不同的最后的这样后责
[00581.28-00582.94] 比如说这里是歷史朝榴
[00582.94-00584.88] 比如说在一代一路十周年当中
[00584.88-00586.28] 然后我们的国家领导人说
[00586.28-00588.84] 是和平发展合作供应的美好未来
[00588.84-00589.68] 都OK
[00589.68-00590.76] 你只要把我注意一个点
[00590.76-00591.56] 就是这次的子
[00591.56-00593.32] 他是一个组合辞就行了
[00593.32-00594.68] 你就要看到任何一个文件
[00594.68-00596.26] 就知道他是组合自己行了
[00596.26-00597.72] 和平于发展很好理解
[00597.72-00600.00] 因为他是当今时代的主体
[00600.00-00601.52] 你说老是合作供应的
[00601.52-00605.36] 同时应该知道合作供应是新型国际关系
[00605.36-00606.76] 我们国家所提到的
[00606.76-00608.88] 新型国际关系的核心
[00608.88-00612.68] 中国的发展和世界上其他国家的发展都不一样
[00612.68-00614.92] 中国的绝起强大
[00614.92-00617.72] 附形不是以犀生其他国家的立委代价的
[00617.72-00621.12] 你看像当年马斯他在他的资本的联当中写的什么
[00621.12-00622.04] 说资本
[00622.04-00622.72] 纪败
[00622.72-00625.56] 每一个某恐灵都留着按照的线绢
[00625.56-00627.92] 因为他们是通过什么黑暖的冒野
[00627.92-00630.20] 通过去侵略其他建立起来的资本期的
[00630.20-00632.92] 中国的发展从改变快放开始到现在
[00632.92-00635.16] 我们是通过走他们西方国家
[00635.16-00637.16] 看起來那麼惡性的路徑高氣來的嘛
[00637.16-00639.36] 不是中國的發展是什麼
[00639.36-00641.16] 中國的發展是餅成為一個理念
[00641.16-00642.16] 就是我好
[00642.16-00643.46] 我也希望大家多好
[00643.46-00645.36] 所以你看我們不是單邊主義
[00645.36-00646.56] 也不是雙邊主義
[00646.56-00647.26] 我們是什麼
[00647.26-00648.46] 我們是多邊主義
[00648.46-00650.06] 我們希望大家多好
[00650.06-00652.06] 所以中國才會去開展一帶一路
[00652.06-00654.16] 才會去提到人民運共同體
[00654.16-00656.16] 才會對歐洲有很大的幫助
[00656.16-00656.86] 這叫什麼
[00656.86-00659.16] 這叫做共營同門
[00659.16-00660.76] 當今事業任何有國家
[00660.76-00662.36] 目前都沒有提到這個理念
[00662.36-00663.16] 除了我們
[00663.16-00665.16] 你看到咱们国家你这个地方
[00665.16-00666.16] 应该自好
[00666.16-00667.16] 我每次看到这样的
[00667.16-00668.16] 我的感觉
[00668.16-00669.16] 我就是游然而生的
[00669.16-00670.16] 我的自好感
[00670.16-00671.16] 因为这个国家的
[00671.16-00672.16] 我们这个民族
[00672.16-00674.16] 和这个国家的情节和国军
[00674.16-00675.16] 是真的非常大
[00675.16-00676.16] 所以大家不要想看
[00676.16-00677.16] 说合作共云这四字
[00677.16-00680.16] 它继续新行国际关系的核心
[00680.16-00682.16] 当然也是历史潮流当中的
[00682.16-00683.16] 不可获确的一会
[00683.16-00684.16] 所以我们提到的
[00684.16-00686.16] 叫合平发展合作共云
[00686.16-00688.16] 把它当作一个组合子
[00688.16-00690.16] 出现在任何一个文件当中
[00690.16-00691.16] 这四个字
[00691.16-00693.16] 不仅仅统在一块就OK了 找不到这
[00693.16-00695.16] 这是我们所说的
[00695.16-00697.16] 二十大指出来的 记忆的一方面
[00697.16-00699.16] 但是我们说了 还有另外一个方面
[00699.16-00701.16] 就是这个点大家标注一下
[00701.16-00703.16] 就是提到的
[00703.16-00704.16] 还有一些前所谓的挑战
[00704.16-00706.16] 这前所谓的挑战在这里
[00706.16-00707.16] 从本来 它写的旁边
[00707.16-00709.16] 就做四大势字
[00709.16-00711.16] 这个四大势字
[00711.16-00713.16] 它不是在二十大的时候提出来了
[00713.16-00714.16] 早在多年就提出了
[00714.16-00717.16] 所以在这里面同学对于四大势字
[00717.16-00718.16] 有一个了解就行了
[00718.16-00720.16] 这四个势字
[00720.16-00724.72] 不太好毒了,这里面两个平时一个跳神,独一下试试
[00724.72-00727.08] 四大赤子分裂指的是啥呢?
[00727.08-00731.44] 和平赤子,发展赤子,安全赤子,一节治理赤子
[00731.44-00734.24] 这个点立面,大家稍微有个印象就行了
[00734.24-00738.84] 如果说前面的和片与发展,以及和片发展合作过年,大家去被
[00738.84-00743.88] 而到了四大赤子的时候,我需要同学们,不需要原本不动背起来
[00743.88-00745.92] 稍微有个印象,在这就可以了
[00745.92-00747.12] 就看到他不陌生
[00747.12-00748.96] 如果他出现在的文件当中你知道
[00748.96-00750.12] 正说法是有的
[00750.12-00751.96] 你不要觉得没看过的就是错的
[00751.96-00752.96] 明白我的意思
[00752.96-00754.88] 所以在这里这是我们所说的
[00754.88-00756.16] 签所有的挑战
[00756.16-00757.84] 那赤资的话大家都知道
[00757.84-00759.12] 我们学过财政赤资
[00759.12-00760.20] 对吧赤资就啥
[00760.20-00760.84] 就是亏欠
[00760.84-00761.52] 就是不够
[00761.52-00762.32] 就是不足
[00762.96-00764.12] 所以看当年世界发展
[00764.12-00765.12] 所面人挑战是吧
[00765.12-00765.64] 第一个
[00765.64-00766.48] 和平赤资
[00766.48-00768.44] 和平还会受到多方面的什么
[00768.44-00769.12] 威胁
[00769.12-00770.28] 这个不用我多说了
[00770.28-00770.60] 对吧
[00770.60-00771.48] 你看像俄务
[00771.48-00772.12] 像巴翼
[00772.12-00773.20] 等等这一些问题
[00773.20-00774.00] 它的存在
[00774.00-00775.52] 第二个发展赤资
[00775.52-00778.40] 发展赤字体现在发展不平衡上
[00778.40-00780.76] 南南国家南北之间
[00780.76-00781.88] 是我都不一样
[00781.88-00784.36] 发达国家发达国家之间的发展
[00784.36-00787.12] 以及发达国家发展中国家之间的发展
[00787.12-00788.24] 都是不平衡的
[00788.24-00790.00] 所以在这里叫做发展赤字
[00790.00-00791.60] 还有就是安全赤字
[00791.60-00795.28] 安全就是我们所说的国家总体安全的问题
[00795.28-00797.28] 不单单只是传统意义上的比如说
[00797.28-00798.72] 军事冲突的这种安全
[00798.72-00801.56] 我们世界发展当起还面臨很多不确的有行
[00801.56-00804.20] 大家應該知道吧 比如說恐怖主義
[00804.20-00806.64] 比如說生物安全
[00806.64-00808.60] 像新冠病毒的這樣的一個
[00808.60-00809.88] 大的這樣的一個權
[00809.88-00812.36] 世界范囲之內流行的這樣的一個文藝
[00812.36-00813.32] 像這樣的一個情況
[00813.32-00815.92] 它都會威脅到香港的安全發展
[00815.92-00817.28] 比如隨著互聯網的發展
[00817.28-00818.28] 你看還會出現什麼
[00818.28-00819.48] 網絡安全的問題
[00819.48-00820.92] 所以出現安全之子
[00820.92-00822.72] 還有什麼治理之子
[00822.72-00823.52] 大家都知道
[00823.52-00825.12] 有關於世界范囲內的
[00825.12-00825.88] 這樣的一個質疑
[00825.88-00826.92] 我們要通過聯合國
[00826.92-00828.32] 但是走一些國家 對吧
[00829.32-00830.52] 像腳尺寸一樣
[00830.52-00831.68] 就不能说教主过人
[00831.68-00833.76] 在说他们是教主过是我们唱什么了
[00833.76-00835.08] 这是一颗老术史
[00835.08-00835.88] 会了一过周
[00835.88-00837.56] 昨个人的手身就怎么样
[00837.56-00838.08] 特别的场
[00838.08-00839.36] 在整个治理当中
[00839.36-00840.52] 在国际局势上
[00840.52-00841.76] 而开始倒乱
[00841.76-00843.80] 这有时候导致的国际局势很紧张
[00843.80-00845.56] 这个就要做治理词资
[00845.56-00846.92] 这个国家不用我说
[00846.92-00848.32] 代言这要是谁 对不对
[00848.32-00849.68] 所以在这里代言在制度
[00849.68-00850.84] 所以中上所说
[00850.84-00853.28] 无论是从事有大的这样的一个背景产说
[00853.28-00854.96] 而从二十大当中的背景产说
[00854.96-00856.08] 我们都应该制度
[00856.08-00858.12] 我们要坚持贯策的是
[00858.12-00859.56] 坚持大事所区
[00859.56-00862.58] 所以中國一直堅定的失走和平發展道路
[00862.58-00864.04] 所以在這裡面大家知道
[00864.04-00866.04] 這是第一個小們去明確的
[00866.04-00868.48] 我們走和平發展道路所提出來的
[00868.48-00869.62] 背景也好
[00869.62-00871.56] 或者是我們所說的原因
[00871.56-00873.64] 在這裡大家產出了兩個點
[00873.64-00874.60] 那了解了
[00874.60-00876.36] 我們為什麼要走和平發展道路
[00876.36-00877.72] 那第二個我們就要來看看
[00877.72-00880.12] 我們如何走好和平發展道路呢
[00880.12-00881.76] 所以要走好和平發展道路
[00881.76-00883.92] 我們就要堅持的貫徹
[00883.92-00886.76] 獨立自主的和平外交政策
[00886.76-00887.72] 所以在這裡面
[00887.72-00889.32] 第二個點我們就要去看看
[00889.32-00891.12] 如何走好和平犯人道路
[00891.12-00893.48] 那走好和平犯人道路一口独立自主的
[00893.48-00894.52] 可平外交政策
[00894.52-00897.16] 那我們來看一下整個外交政策的具体内容
[00897.16-00898.88] 這個地方它在去考察的时候
[00898.88-00899.56] 大家注意一下
[00899.56-00901.28] 就是考察期间
[00903.12-00905.20] 或者是考察它的具体的内容
[00905.20-00905.84] 就问
[00905.84-00908.32] 和平外交政策的基本立场是什么
[00908.32-00909.92] 它的基本原则是什么
[00909.92-00910.96] 它的综指是什么
[00910.96-00912.60] 你要能够背得出来
[00912.60-00914.12] 所以在这里面它注意
[00914.12-00915.68] 那首先来看一下第一个
[00915.68-00919.08] 就坚持独立自主和平外交政策它的综指
[00919.08-00921.60] 來看一下 宗指是啥呢 外下
[00922.48-00925.72] 叫維護世界和平促進共同發展
[00925.72-00927.92] 那不用說了 我們剛才剛剛提過
[00927.92-00930.00] 當今時代的主題 就是什麼
[00930.00-00931.12] 和平與發展
[00931.12-00933.76] 而中國要做的是順勢而為
[00933.76-00936.16] 我們的宗指也是什麼 和平發展
[00936.16-00939.48] 所以看維護世界和平促進共同發展
[00939.48-00942.04] 所以宗指是和當今時代的主題
[00942.04-00944.40] 相關勾的 這個點 大家要明確
[00944.40-00945.56] 這是第一個問題
[00945.56-00946.72] 第二問題就是
[00946.72-00949.28] 那中国坚持独立自主的和平外交政策
[00949.28-00950.96] 那中国的基本立场是什么
[00950.96-00953.44] 就是你要猜有高国际之里当中
[00953.44-00955.36] 然后国际上总会有一些中端
[00955.36-00956.36] 有总会有一些事
[00956.36-00957.84] 那你战队战里边呢
[00958.56-00960.60] 有很多人总想拉中国战队下水了
[00960.60-00962.00] 那你战队战队那一边
[00962.00-00963.52] 大际下中国没有战队
[00963.52-00965.84] 中国唯一的战队就是战队人命的立场上
[00965.84-00967.24] 中国的立场是什么
[00967.24-00968.92] 不受任何一个国家干扰的
[00968.92-00970.20] 你看基本立场
[00970.20-00971.80] 就是你的战队问题
[00971.80-00973.40] 你的战队立场问题是什么
[00973.40-00975.40] 外下独立自主
[00975.40-00979.80] 我们国家的记得历史上就是以世非区值作为判断标准的
[00979.80-00980.80] 就是独立作主的
[00980.80-00983.08] 我们和热个一个国家怎么样都不一样
[00983.08-00984.68] 我不知道大家有没有看到啊
[00984.68-00986.84] 这是两个让我当时觉得
[00987.84-00989.00] 非常震撼的
[00989.00-00992.52] 一个就是当时现场采访的这样一个景象
[00992.52-00993.76] 第一个景象就是当年
[00994.60-00996.36] 现在之间的这个螺蜜之间
[00996.36-00998.20] 它可能是有一些热脸问题出现
[00998.20-01000.48] 然后当年的时候还出现了也是
[01000.48-01003.00] 就是屋盆兰它有一个地区套工头
[01003.00-01005.16] 然后屋盆兰地区套工头的话
[01005.16-01006.64] 然后当时就说
[01007.04-01008.72] 国际就开始站队了
[01008.72-01010.08] 这说站队的话他也就知道
[01010.08-01011.24] 那个公投那个地区
[01011.24-01012.84] 他就是想公投之后决定
[01012.84-01015.24] 他到底是会烏克兰还是贵那个俄罗斯
[01015.24-01016.96] 然后当时的国际上就开始站队了
[01016.96-01017.84] 有人支持烏克兰说
[01017.84-01019.08] 怎么能够让他们公投呢
[01019.08-01020.20] 说这个地区就说烏克兰
[01020.20-01021.80] 自古以来不可分割的一部分
[01021.80-01023.08] 你这些地方上去公投了
[01023.08-01023.80] 那不行
[01023.80-01024.64] 绝对不同意
[01024.64-01025.40] 站不客来
[01025.40-01026.52] 还不很战谁呢
[01026.52-01027.96] 还一部分是站防俄罗斯的
[01027.96-01029.24] 说那为啥不行呢
[01029.24-01029.72] 原本呢
[01029.72-01031.16] 全苏联结体之前就已经
[01031.16-01032.08] 针对这个地方
[01032.08-01033.28] 然后有了一些说则
[01033.28-01033.88] 战队
[01033.88-01035.88] 这个时候我经常吵得不会开交
[01035.88-01037.88] 那一旦战队问题就容易拉帮解派
[01037.88-01040.12] 当时中国的态度就变得什么
[01040.12-01041.16] 治管重要
[01041.16-01043.28] 中国的态度变得治管重要
[01043.28-01044.68] 当时中国的态度
[01044.68-01046.28] 是什么的就很多人就看出中国
[01046.28-01047.76] 你到底是战务会蓝战务的
[01047.76-01048.80] 所以那个时候
[01048.80-01050.20] 就答案让我看到说
[01050.20-01053.52] 中国和俄罗斯之间的关系比较紧密
[01053.52-01054.16] 就是说
[01054.16-01055.44] 中国一定会怎么怎么样
[01055.44-01057.00] 但是中国当时的发言
[01057.00-01058.80] 可以说是四个字同学们
[01058.80-01060.00] 第一水不漏
[01060.00-01061.48] 当时中国说的说
[01061.48-01066.08] 我们说是尊重双方的这样的一个决定和选择
[01066.08-01066.92] 大概就是这个意思
[01066.92-01070.64] 但是我们希望双方以人民的利益为准
[01070.64-01073.00] 什么什么什么是世非妻子的
[01073.00-01074.00] 为什么标准
[01074.00-01074.80] 然后怎么样
[01074.80-01075.80] 我忘了那个话了
[01075.80-01076.84] 同们可以去看一下
[01076.84-01078.64] 当时那个话真的就是低水不落
[01078.64-01079.76] 我们记不着路看来
[01079.76-01080.68] 我们也不着路了
[01080.68-01083.40] 我们只尊重事实事实就什么
[01083.40-01085.68] 我们不可能同意无可能公投
[01085.68-01087.52] 因为它一旦同意公投的话
[01087.52-01089.28] 中国的问题就会很多
[01089.28-01089.72] 对吧
[01089.72-01091.56] 我们966乘来平方公里
[01091.56-01092.80] 他一代要支持公投
[01092.80-01093.76] 让人家一闹
[01093.76-01094.96] 然后国际上支持公投
[01094.96-01097.08] 我们国家的那些领土怎么办
[01097.08-01097.68] 所以你看
[01097.68-01099.64] 我们说了不战队不战队
[01099.64-01101.08] 但是战队的罗斯
[01101.08-01102.24] 也不战队罗斯
[01102.24-01103.32] 我们说没有办法战队
[01103.32-01105.88] 所以我们要尊重事情的施肺区制
[01105.88-01106.52] 他说了
[01106.52-01108.64] 要以人民的利益为核心的标准
[01108.64-01110.40] 所以你看这是中国的基本立场
[01110.40-01111.20] 独立自主
[01111.20-01112.56] 还以此非常精彩了
[01112.56-01114.96] 这是发生在最近
[01114.96-01117.36] 大家都知道巴以局是非常紧张的
[01117.36-01117.60] 对吧
[01117.60-01121.44] 但具体的局势我不过多讲大家看新闻上也能看到
[01121.44-01127.08] 当时我们所说的其中一方的国家就是想通过下水
[01127.08-01129.88] 我们大家没有看到在发言上给中国施压
[01129.88-01133.92] 然后被中国的网友移动特口大骂就是以方
[01133.92-01136.04] 当时在联合国发言的时候
[01136.04-01140.12] 我们当时联合国发言人说话说的真的就是滴水不漏
[01140.12-01141.44] 突然想到这儿
[01141.44-01142.84] 但我没有办法给它付出出来
[01142.84-01144.56] 我建议大家去看一下
[01144.56-01146.36] 這真的是美一句話
[01146.36-01148.52] 都是把那個話賭的言思合逢了
[01148.52-01149.96] 就是我們不站隊
[01149.96-01153.80] 我們主要尊重的我們心頭就是人民的權益
[01153.80-01155.20] 所以你看他一直站的是
[01155.20-01157.16] 是非區執和人民立場
[01157.16-01158.52] 所以我們的立場叫什麼
[01158.52-01159.56] 獨立自主的
[01159.56-01162.08] 這個才能更加張言出來大國的風度
[01162.08-01164.04] 早知道在今天講課的時候
[01164.04-01165.16] 就把剛才的那一段
[01165.16-01166.16] 接下來給大家看看
[01166.16-01167.76] 大家有興趣的話可以去看一下
[01167.76-01169.64] 真的是美一句話賭言思合逢
[01169.64-01172.24] 這是當時一方就開始針對我們說
[01172.24-01173.60] 你們不是說了說了什麼
[01173.60-01175.76] 然后我们当时说我们之前说了
[01175.76-01178.72] 我们针对于以方的什么问题
[01178.72-01179.96] 但是你们不同意
[01179.96-01182.88] 就是我们想要去投你们说的正确的时候
[01182.88-01184.32] 以方把咱们一票否决了
[01184.32-01185.00] 当时实施
[01185.00-01186.44] 只能说得不对
[01186.44-01188.08] 所以我们当时拿这个事去反过它
[01188.08-01190.24] 所以当时现场的那个谈话局
[01190.24-01191.72] 大家知道在那种场上
[01191.72-01194.28] 你发言的任何一个字都变得直话中
[01194.28-01195.80] 你可能我在这边讲课的时候
[01195.80-01198.12] 可能说过做错一个字两字啥的
[01198.12-01198.44] 对吧
[01198.44-01199.40] 同一文都能够亮起
[01199.40-01201.16] 我但在那种国际局事上
[01201.16-01202.60] 你的独立思义的立场
[01202.60-01204.40] 這是通過你的發言提醒出來的
[01204.40-01207.20] 所以在這裡 你看我們的基本理償是嗎
[01207.20-01211.40] 我們的基本理償是獨立自主 我們不斷對
[01211.40-01213.90] 我們是尊重事情的失配區域
[01213.90-01216.60] 所以在這裡這是第二個叫基本理償
[01216.60-01219.40] 第三一個在這裡他提到了一個叫做基本目標
[01219.40-01221.20] 這個基本目標簡單看一下就行了
[01221.20-01224.20] 叫維護國主權安全發展力 促進世界和片語
