[00000.00-00004.20] 好的,我们看完个试歌体材之后,我们来看一下
[00108.20-00112.96] 它是中国 其实旁边是中国最早的
[00114.16-00116.16] 文人詞的總結
[00118.52-00121.52] 中國最早的文人詞的總結
[00121.52-00124.06] 被預為叫做禁事
[00124.06-00126.86] 我們所說的其生田詞之主
[00126.86-00128.46] 所以你就在旁邊標準一下
[00128.46-00131.86] 就被稱為禁帶或者叫做禁事
[00131.86-00133.56] 田詞之主
[00137.76-00140.86] 那這就是我們所提到的花間詞的地位
[00140.86-00144.98] 所以我们说了花金此派其实就来自于我们所提到花金极
[00144.98-00147.22] 这是第一个小同们去掌握的点
[00147.22-00149.62] 那么说了 既然名字咱们知道从那来了
[00149.62-00153.46] 那第二个我们就要知道这个花金此派它的创始人是谁
[00153.46-00156.74] 在这里面同一标主一下第二个叫做温停云
[00156.74-00160.50] 这个图片给大家展示呢其实是是温停云它的这个形象
[00160.50-00163.70] 温停云首先第一个明确它的仇代它是唐代
[00163.70-00166.50] 而并非我们所说的随朝时期也并非送仇
[00166.50-00168.30] 它是唐代的市人似人
[00168.30-00170.90] 他的代表著作同在旁標注意下
[00170.90-00173.26] 我們說了他會考察人物和著作的對應
[00173.26-00174.70] 所說孟江南
[00174.70-00177.74] 書喜伴還有我們所提到的這個鋪傘門
[00177.74-00180.14] 這鋪傘門頭應該是很熟悉的
[00180.14-00182.26] 你看像溫庭園他的這個人
[00182.26-00184.94] 大家也知道溫庭園他有很多的別稱
[00184.94-00186.46] 他叫做溫中虧
[00186.46-00187.50] 為什麼叫溫中虧呢
[00187.50-00189.06] 這個人長得不再好看
[00189.06-00191.66] 長得其實和中虧不像上下
[00191.66-00194.74] 所以他當時就有人稱他為叫做溫中虧
[00194.74-00196.34] 你看和他有關的中點故
[00196.34-00197.90] 在一場生活當中有比我多
[00197.90-00200.30] 比如說他經常我們提到的一個故事
[00200.30-00203.30] 就是說他在考廠或者叫科廠救人
[00203.30-00204.46] 他那個救人的不說人
[00204.46-00205.46] 有生命威脅
[00205.46-00208.10] 他去跟人家救就給人去做一些其他工作
[00208.10-00210.78] 而說他的這個人相對來說
[00210.78-00214.02] 他的這種做食作詞的天賦非常高
[00214.02-00216.30] 當時在堂朝的考試的時候
[00216.30-00217.82] 他是在考科舉的時候
[00217.82-00219.70] 有一場考試是要做食的
[00219.70-00220.90] 他做食怎麼做
[00220.90-00223.06] 給在場的所有的這些考生們
[00223.06-00224.26] 發三跟辣主
[00224.26-00225.86] 放在这三个大主的要求
[00225.86-00227.42] 他们在大主的烧软之后
[00227.42-00229.18] 做出大运的师傅
[00229.18-00231.70] 大家知道现场服务时代有这么感觉
[00231.70-00232.82] 其实有点难
[00232.82-00234.46] 所有人都抗吃别度的
[00234.46-00235.34] 怎么也搞不出来
[00235.34-00236.46] 但是这个闻停园
[00237.26-00238.02] 非常牛
[00238.02-00239.86] 三条大主软禁之后
[00239.86-00241.06] 他能写出来
[00241.06-00241.86] 不仅能写出来
[00241.86-00243.06] 就是他在现场当中
[00243.06-00244.42] 他随便就引送
[00244.42-00245.46] 而且他引送了
[00245.46-00248.98] 除了把自己的这些要做打的这些东西完成之后
[00248.98-00250.70] 他引送了其他的富裕的这些
[00250.70-00252.02] 旁边人就是他在那儿都脑脑
[00252.02-00253.06] 旁边是在那儿的超
[00253.06-00255.50] 所以到时就有一个说法说他在什么
[00255.50-00256.54] 可长就人啊
[00256.54-00257.90] 从这里能看得出来这个人
[00257.90-00258.62] 他的怎么样
[00258.62-00260.30] 天父其实是非常高的
[00260.30-00261.18] 大家注意一下
[00261.18-00263.06] 这是有关于温庭远
[00263.06-00263.82] 他的第二点
[00263.82-00265.26] 代表知道唐呆的
[00265.26-00266.54] 他的一些代表注作
[00266.54-00267.78] 那这里面需要同一门
[00267.78-00268.66] 掌握的一个点的
[00268.66-00270.94] 就是这里面所提到的这个铺杀盘
[00270.94-00271.94] 它是会给到了
[00271.94-00273.66] 我小山从点机明面
[00273.66-00276.02] 这是他非常有名的一首词
[00276.02-00276.66] 而这首词
[00276.66-00278.14] 同时其实并无诺生
[00278.14-00279.02] 我刚给大家说了
[00279.02-00281.10] 大家如果看过真还赚的话就知道
[00281.10-00283.02] 这其实是真还赚里面的一首
[00283.02-00286.10] 各取 咱們來看一下他在這個地方怎麼提到的
[00286.10-00289.42] 說小山重疊金明滅必緣遇度相篩學
[00289.42-00292.06] 對吧 這句話是要同學們去掌握下來
[00292.06-00296.06] 就是地經常會考察到人物和具體著作內容的對應
[00296.06-00297.94] 那這句話同學就要明確
[00297.94-00299.94] 我說了那他既然是真環當中
[00299.94-00303.78] 不要常見的一個主題曲 咱們來看一下在影視巨當中
[00303.78-00306.58] 把這首詞 它是如何演藝出來的
[00313.02-00315.02] 我去睡了
[00373.02-00388.02] 这就是在这款段章款传当中对于这首词他的演异
[00388.02-00393.02] 所以同学们能够从这样的歌曲当中对这个词他的理解加势他的印象
[00393.02-00399.02] 在这里面最长考的就是第一句话就是小山重疊机明面病人遇度相传选
[00399.02-00401.36] 如果一旦出現這樣的一個失職
[00401.36-00403.08] 大家知道它出自於
[00403.08-00405.76] 溫庭運的花間此派
[00405.76-00407.52] 就能夠對上就可以了
[00407.52-00409.62] 這是我們在碗唐石西當作
[00409.62-00411.36] 小雲帶掌握的第一個點
[00411.36-00412.20] 大家要明確
[00412.20-00414.12] 第二就是在碗唐石西當作
[00414.12-00416.00] 有一個非常著名的一個詞人
[00416.00-00417.10] 這個詞人是誰呢
[00417.10-00420.30] 大家都知道它就是南唐後主李玉
[00420.30-00421.98] 這個李玉
[00421.98-00424.74] 它其實在有時巨當中也出現過
[00424.74-00426.26] 比如在這裡給它展示
[00426.26-00427.62] 無其容眼的角色
[00427.62-00429.50] 当年他就演男彎后主
[00429.50-00430.58] 他就演的是李玉
[00430.58-00431.90] 当时他的一个电视剧
[00431.90-00433.78] 叫签思一江吹水相同留
[00433.78-00435.82] 讲的是他和召唤业
[00435.82-00437.42] 还有我们所说的那个
[00437.42-00438.62] 一个叫什么
[00438.62-00440.66] 黄后他们之间的故事
[00440.66-00441.82] 主要是讲的是这个
[00441.82-00443.62] 当然里面有些历史的变迁
[00443.62-00446.14] 那是很多年前的这样的一个电视剧了
[00446.62-00448.26] 那说到李玉大家都知道
[00448.26-00450.10] 他是舞带男彎时期的
[00450.66-00451.94] 最后一个皇帝
[00451.94-00453.66] 这个人他什么都会
[00453.66-00455.66] 赛歌舞赛美食
[00455.66-00456.66] 反正啥都有
[00456.66-00458.14] 有情境出话样的经通
[00458.14-00460.38] 但是它就是不会做一个皇帝
[00460.38-00461.78] 所以最后的召唤印
[00461.78-00463.78] 就在我们所说的
[00463.78-00467.02] 建立自己的政权统治的时候
[00467.02-00468.62] 其实抓到了这个领域
[00468.62-00470.14] 但是那个时候领域被抓到之后
[00470.14-00471.34] 因为它没有反抗
[00471.34-00472.62] 所以当时召唤印
[00472.62-00474.42] 对它还相对来说的不错
[00474.42-00475.62] 其实没有把它杀掉
[00475.62-00476.82] 而是把它怎么样呢
[00476.82-00477.90] 确计起来了
[00477.90-00479.18] 把它确计起来之后
[00479.18-00481.62] 就是美食 哥五 美女 依旧
[00481.62-00482.82] 只不过只是在领域
[00482.82-00484.02] 它自己的心解当中
[00484.02-00485.18] 还是有点过不去
[00485.18-00487.42] 他以前是由国家的玉国之军
[00487.42-00491.02] 但是现在虽然也是过着和以前之前的一样的日子
[00491.02-00493.90] 但是不是他以前想象中的
[00493.90-00495.42] 他都顾国的那个景象
[00495.42-00496.70] 所以五年孟回的时候
[00496.70-00499.74] 他还是会有私念顾国的这样的一个情感
[00499.74-00501.74] 所以他总会把他的情感
[00501.74-00504.70] 就寄托在他的这些磁浪中
[00504.70-00506.94] 所以他就是总在被求敬的时候
[00506.94-00507.90] 他就写词
[00507.90-00509.82] 想此之后就拿到外面去发
[00509.82-00511.66] 大家都知道只要你写的好外面的人
[00511.66-00513.02] 其实就会特别的喜欢
[00513.02-00514.06] 所以当时呢
[00514.06-00518.02] 他写完了这些辞职后就发到外面让大家去影唱
[00518.02-00520.58] 流传在外闻人都非常的追捧
[00520.58-00521.86] 大主意他这样的话
[00521.86-00523.06] 他其实没有其他的心思
[00523.06-00524.30] 也没有说我想的副国
[00524.30-00525.66] 他只剥就是把他的那种
[00525.66-00528.78] 思国之前计划在他的这种磁力
[00528.78-00530.98] 所以当时谁不太满意
[00530.98-00532.62] 皇帝其实不太满意的
[00532.62-00535.02] 所以说那所以今天我把一个人给他关起来了
[00535.02-00536.46] 我给他怕了无计图形
[00536.46-00537.90] 然后你在这个监狱当中
[00537.90-00539.14] 你给我住书利座
[00539.14-00541.94] 然后来宣揚你自己的这样的一个兴趣心情
[00541.94-00542.30] 对吧
[00542.30-00543.78] 你看咱们之前给拉去想形势
[00543.78-00546.18] 为什么要剥奪成全力中生呢
[00546.18-00547.90] 就有点类似于这样的感觉
[00547.90-00549.38] 对吧 结果你写的这些东西
[00549.38-00551.50] 你还遭到了大家的追捧
[00551.50-00552.90] 不仅遭到大家的追捧呢
[00552.90-00553.50] 这个领域啊
[00553.50-00554.14] 它会有意思
[00554.14-00556.50] 它知道外面的人特别喜欢它的此的时候呢
[00556.50-00557.34] 它不收脸
[00557.34-00558.38] 还能用不乐意了
[00558.38-00559.58] 但是它依旧招救
[00559.58-00561.18] 每天都在写每天都在写
[00561.18-00563.58] 所以它在424的时候又写了一首次
[00563.58-00564.26] 什么此呢
[00564.26-00566.30] 叫做顾国不堪回首
[00566.30-00567.38] 也名中
[00567.38-00569.14] 所以你看它当时写这个此的时候
[00569.14-00570.14] 它没有别的意思
[00570.14-00571.78] 但是皇帝实在是忍不了了
[00571.78-00574.14] 所以就在他42岁生日的时候
[00574.14-00575.62] 他写了这次之后
[00575.62-00577.74] 就给他刺了一杯独久
[00577.74-00579.82] 然后最后就把它送上路了
[00579.82-00582.70] 所以这个就是我们所说的南堂后主理语
[00582.70-00584.62] 所以你看他写的这些磁里面
[00584.62-00585.58] 大多数啊
[00586.22-00587.34] 都是描写
[00587.34-00589.58] 他回顾他自己之前的一声
[00589.58-00591.74] 一些无奈背伤的家人也请去
[00591.74-00593.70] 你比如说像这里的浪桃山
[00593.70-00596.02] 像这里面的于美人等等都是啊
[00596.02-00597.58] 像我们所提到的
[00597.58-00599.98] 我们而出能想到理语的这些此
[00599.98-00602.80] 其实在我们的歌曲当中也总能看到
[00602.80-00605.62] 咱们经常说有人的地方就登律军
[00605.62-00607.86] 所以登律军它其实有自己的一个专辑
[00607.86-00610.22] 就是演唱中国以前的一些此曲
[00610.22-00612.90] 比如说春花秋月和十六 对吧
[00612.90-00615.86] 还有我们所说的无言读上系组 烟之类等等
[00615.86-00618.42] 其中有很多都是来自于我们所说的
[00618.42-00619.86] 李玉的这样的一个词
[00619.86-00622.26] 那么先来看一下有关于它的第一个
[00622.26-00624.14] 就是浪淘沙令
[00624.14-00626.54] 浪淘沙令当中的联练与产产产
[00626.54-00629.18] 在这里面很多内容我们都熟悉
[00629.18-00631.54] 或者大家以前在郭州们时候都被过的
[00631.54-00634.26] 叫联外与传产吹异蓝山
[00634.26-00636.22] 你看 罗清不耐武更好
[00636.22-00638.62] 梦理不知深时刻一省盘婚
[00638.62-00641.02] 它的生活其实没有什么太大的变化
[00641.02-00642.50] 但是怎么样呢
[00642.50-00644.18] 梦理不知深时刻
[00644.18-00645.66] 现在已经不是在什么
[00645.66-00648.22] 不是在自己的以前的顾国当中了
[00648.22-00649.90] 后面他说了
[00649.90-00651.46] 别时容易见识的
[00651.46-00654.02] 你可以前的一些顾国的那些
[00654.02-00655.54] 我们所说的国家
[00655.54-00657.22] 亲人等等都分开了
[00657.22-00658.42] 再见就很难了
[00658.42-00660.42] 後面他輸發出來他的情感
[00660.42-00663.70] 叫做流水花落春去野天上人間
[00663.70-00666.42] 這句話需要同學們給他補充在旁邊
[00666.42-00669.62] 一旦出現了之後要知道他是誰的註做
[00669.62-00671.22] 考任務和註做的對應
[00671.22-00672.82] 要知道是理譽
[00672.82-00675.22] 這個點是要去給他標準清楚的
[00676.26-00677.14] 這是第一個
[00677.14-00678.34] 那第二個就是
[00678.34-00680.26] 還有一首詞也需要同學的學標準
[00680.26-00682.66] 就是我剛才去給同學們去說的
[00682.66-00685.22] 就是在他五夜夢毀的時候
[00685.22-00687.02] 在他42岁过生日的时候
[00687.02-00687.78] 他写出来了
[00687.78-00689.24] 顾国不堪回首
[00689.24-00690.14] 远民中
[00690.14-00690.60] 对吧
[00690.60-00691.50] 这首词
[00691.50-00692.54] 就是第二首词
[00692.54-00694.26] 就是我们需要去掌握了
[00694.26-00695.02] 但这首词
[00695.02-00695.72] 登陵军当年
[00695.72-00696.70] 其实唱过的
[00696.70-00697.50] 咱们来看一下
[00697.50-00698.34] 在歌词当中
[00698.34-00699.54] 他是怎么把他那种
[00699.54-00700.66] 思国的那种
[00700.66-00703.30] 无耐有被上的情绪去给人演识出来的
[00733.30-00760.62] 这个就是他邓音在他的这个专级当中对立律的这样的一个词的演议
[00760.62-00763.50] 咱們來看一下李玉在寫這個詞的原來的內容
[00763.50-00764.18] 它是什麼?
[00764.18-00766.00] 在這裡我們都知道它其實是
[00766.00-00768.30] 與美人稱華修約和事料
[00768.30-00770.94] 你看它後面說小樓左葉又東風
[00770.94-00772.46] 顧國不看回首
[00772.46-00776.14] 月明中顧取的國土就已經停留在過去了
[00776.14-00778.82] 雖然預期應有在指示出言蓋
[00778.82-00781.22] 這是原來的平台樓格還是這個樣子
[00781.22-00782.94] 但是已經換了主人了
[00782.94-00783.98] 後面那句話
[00783.98-00787.30] 大家要標出在旁邊考察人物和著作的對應
[00787.30-00790.50] 文军能有极多仇恰死一江吹吹相冬流
[00790.50-00792.22] 就写出来看棉棉的
[00792.22-00794.86] 只有无奈被痛的死国之情
[00794.86-00797.34] 以及他对于现在生活的这样一个状态
[00797.34-00799.14] 所以这次起来了之后
[00799.14-00800.26] 我们都知道
[00800.26-00802.02] 过生日的时候被刺语独救
[00802.02-00804.02] 结束了他短暂的这样的一生
[00804.02-00806.10] 这个就是我们所说的这个领域
[00806.10-00807.66] 领域是非常典型的
[00807.66-00809.70] 你看看写的东西都是秦一棉棉棉
[00809.70-00810.66] 完全清厉的
[00810.66-00812.54] 他就是很明显的典型的
[00812.54-00813.98] 碗约派词
[00813.98-00815.14] 所以他也是我们所说
[00815.14-00818.22] 在晚堂時期典型的晚約派詞人的代表
[00818.22-00820.18] 所以在這裡面大家要明確
[00820.18-00822.82] 這是我們所說的有關於晚堂時期
[00822.82-00826.14] 我們說到了隧場時期這個詞開始興起
[00826.14-00828.98] 而到了宋朝時期這個詞的體材
[00828.98-00831.30] 才達到了全勝的這樣的一個狀態
[00831.30-00832.90] 所以我們就來典型的來看看
[00832.90-00834.86] 我們所說的這個宋詞
[00834.86-00837.22] 宋詞其實是分成兩派的
[00837.22-00839.70] 在考試的時候經常會考察什麼呢
[00839.70-00840.58] 大家注意一下
[00840.58-00842.94] 在考察的時候經常會考察兩個角度
[00842.94-00845.42] 第一個考察人物與著作的對應
[00845.42-00847.86] 這個是我們在考試當中最常見的
[00847.86-00849.22] 只是給你一道提說
[00849.22-00851.06] 以下關於人物和他們選作品
[00851.06-00854.42] 都要正確或錯誤的是給你人民和他的具體內容
[00854.42-00855.50] 他可能會這麼考
[00855.50-00858.02] 所以在這裡面出現了一些常考的刺具
[00858.02-00859.10] 大家要去掌握
[00859.10-00860.10] 第二考察什麼呢
[00860.10-00862.74] 考察人物他與派疊的對應
[00862.74-00863.90] 這個時候大家注意
[00863.90-00867.82] 因為晚約詞派的人和好方派的詞人都很多
[00867.82-00870.22] 我們沒有辦法注意去給他記得清楚
[00870.22-00871.74] 而且每個句子都被下來
[00871.74-00873.14] 那这种情况怎么办呢
[00873.14-00875.02] 我们还是要的去计风格
[00875.02-00878.14] 我们先来看一下关于晚约此派它的一个特点
[00878.14-00879.54] 晚约此派的话呢
[00879.54-00881.94] 整体上你看在书上标注一下
[00881.94-00882.78] 它的内容呢
[00882.78-00884.46] 测重于儿女之情
[00884.46-00887.10] 它的语言风格不会特别的舒稔
[00887.10-00889.06] 不是让你看着特别的旁边的大企
[00889.06-00889.66] 而是啥呢
[00889.66-00890.50] 后面就就画
[00890.50-00893.10] 叫做语言清新起立
[00893.10-00895.26] 后面有一种柔晚之美
[00895.26-00896.82] 你看到写的那种
[00897.26-00898.62] 请一面的
[00898.62-00902.82] 完全抬提到这种其实都是我们所说的什么 晚约派
[00902.82-00905.66] 所以在这里面 先标注一下 晚约派的特点
[00905.66-00908.66] 因为我们一旦考察 人物和派跌对应的时候
[00908.66-00910.38] 或者是具体内容和派跌对应的时候
[00910.38-00914.18] 你要能够和他对应的上 除了人物还有内容和派跌对应
[00914.18-00916.82] 你看风格 看他的语言的这个写作
[00916.82-00918.94] 其实就能够派更出来
[00918.94-00922.46] 这是晚约派 大家要注意一下 第一个掌握他的风格
[00922.46-00926.86] 第二个 同时包在这里掌握的是 晚约派的词人到底有哪些
[00926.86-00929.46] 玩人派的此人大家来看一下
[00929.46-00930.58] 有这么几个
[00930.58-00932.50] 第一个就是我们常说的这个
[00932.50-00933.46] 流泳啊
[00933.46-00934.82] 大家其实都知道流泳
[00934.82-00936.98] 流泳在影视剧作品当中
[00936.98-00938.02] 也有很多
[00938.02-00938.62] 按照说
[00938.62-00940.02] 不知道大家没有看过一个电视剧
[00940.02-00941.14] 就是林志营严的
[00941.14-00942.82] 把书建请下有三电
[00942.82-00943.94] 那个流三电
[00943.94-00945.82] 就是林志营严严严的那个角色
[00945.82-00946.58] 其实就是
[00946.58-00947.86] 就是流泳
[00947.86-00948.82] 流泳原本
[00948.82-00949.62] 三电
[00949.62-00951.50] 因为在家里排行老齐又称
[00951.50-00952.26] 流齐
[00952.26-00952.90] 这句话
[00952.90-00954.10] 咱们是不是考过
[00954.10-00955.82] 在前面咱们做过一道题的时候
[00955.82-00957.46] 第四个选项说的就是他
[00957.46-00959.10] 所以因为排行老齐
[00959.10-00960.42] 所以又被称职为叫做
[00960.42-00961.22] 劉齐
[00961.22-00962.62] 他是后面接着换
[00962.62-00965.06] 碗约此派的创始人
[00965.06-00966.66] 所以标助一下圈一
[00967.50-00968.50] 这是我们所说的
[00968.50-00969.66] 第一个大家知道
[00969.66-00970.26] 流用
[00970.26-00971.54] 第二个在这个地方
[00971.54-00972.46] 大家要标助一下
[00972.46-00974.02] 就是流用的代表做
[00974.02-00975.02] 流能代表做
[00975.02-00976.26] 是我们所说的
[00976.26-00977.02] 与林林啊
[00977.02-00978.14] 这首常说的韩产
[00978.14-00979.06] 齐气等等
[00979.06-00979.58] 这些
[00979.58-00981.22] 你看看他写的都是相对来说
[00981.22-00982.90] 比较期碗的这些此
[00982.90-00985.02] 所以他就开创了我们所说的什么
[00985.02-00985.98] 晚约此拍
[00985.98-00988.02] 大家现在要去逛微博的时候
[00988.02-00990.66] 你其实经常能逛到有流用的超花
[00990.66-00993.26] 你可以点进去看里面有很多它的此案
[00993.26-00996.34] 流用这个人它也是少年苦毒
[00996.34-00997.70] 参加了科学考试
[00997.70-00999.26] 然后在参加科学考试之后
[00999.26-01001.30] 它在路过苏航的时候
[01001.30-01005.02] 它就没有见过苏航这么繁华修例的这样的一个景象
[01005.02-01008.10] 所以它就是非常喜欢这些地方
[01008.10-01010.38] 然后在第一次考试落绑之后
[01010.38-01011.78] 它就写微手词
[01011.78-01013.22] 叫做赫宇冲剪
[01013.22-01016.30] 叫做赫语 冲天 她喜欢这种词之后
[01016.30-01019.30] 她没写字能引起多大了这样一个反响结果这次
[01019.30-01021.06] 就被黄地看见了
[01021.06-01024.70] 对黄地看了之后后来就黄地就让她去干嘛去填词
[01024.70-01028.34] 所以她后面的时候她也没有更多的是在试途上
[01028.34-01032.26] 是去做了我们所说的这个写词这样一个工作
[01032.26-01033.70] 单白也都知道她写词
[01033.70-01036.50] 就专门的就是给我们所说的这种歌句去写词
[01036.50-01040.38] 所以才有了我们后面传说的流泳到她去试之后
[01040.38-01041.62] 都没有人管她对吧
[01041.62-01043.86] 只有那些割记帮他扯钱把它没账了
[01043.86-01046.46] 这是我们所说的第一个刘佑
[01046.46-01047.70] 两个电代表注意
[01047.70-01050.06] 第一个就是他的具体情况
[01050.06-01051.86] 第二就是他的代表驻作
[01051.86-01053.34] 而刘佑在考试的时候
[01053.34-01054.10] 其实相对来说
[01054.10-01055.98] 考察具体内容的时候考的不多
[01055.98-01057.70] 往往就是通过他的驻作
[01057.70-01059.38] 让判断他是那个派点
[01059.38-01060.58] 这种考察方式
[01060.58-01062.02] 相对来说比较多的
[01062.02-01064.78] 这是把约派的第一个词人叫做刘佑
[01064.78-01066.18] 我来拍的第二个词人
[01066.18-01067.58] 咱们要去实际了
[01067.58-01069.42] 这个人是谁里轻罩
[01069.42-01070.42] 把它标志出来
[01070.42-01072.10] 李清朝是咱幾男人 對吧
[01072.10-01074.22] 所以在這裡 換一下第一個圈衣
[01075.22-01076.90] 叫做李清朝呢
[01076.90-01079.66] 後一安局是被稱為叫做千古
[01079.66-01081.10] 第一 彩女
[01081.10-01082.86] 那說的就是李清朝
[01082.86-01084.34] 李清朝他是幾男人
[01084.34-01086.38] 所以一般前還在考山東省城的時候
[01086.38-01087.82] 很容易考到他
[01087.82-01089.78] 他和心氣級都是幾男人
[01089.78-01091.78] 所以他和心氣級
[01092.70-01094.42] 把他寫在旁邊 寫在旁邊
[01094.42-01096.98] 他與心氣級合稱為什麼呢
[01096.98-01098.98] 合稱為幾男二安
[01100.42-01103.84] 和称为
[01103.84-01105.42] 起南二岸
[01105.42-01106.96] 所以把他标注在旁边
[01106.96-01108.06] 这是第二个
[01108.06-01109.64] 所以大家现在去几年
[01109.64-01110.44] 张秋的时候
[01110.44-01111.92] 你还能看到李清朝
[01111.92-01113.30] 他能去顾居
[01113.30-01114.54] 然后还有我们所说的
[01114.54-01115.22] 和他有关销
[01115.22-01116.04] 吃的一些东西
[01116.04-01117.02] 清朝毛比苏
[01117.02-01118.98] 对了张地的张的一个特色
[01118.98-01120.42] 所以都能够看到
[01120.42-01121.42] 那李清朝呢
[01121.42-01122.42] 他的这一生
[01122.42-01123.72] 其实以难度
[01123.72-01124.58] 为界限的话
[01124.58-01126.08] 可以分成前几后期
[01126.08-01127.66] 李清朝的前期的生活
[01127.66-01128.52] 相对来说是
[01128.52-01129.62] 真的是非常的
[01129.62-01132.02] 令人羡慕像一个小公主一样的收获
[01132.02-01135.42] 所以他在南宋之前就送朝南杜之前
[01135.42-01136.52] 就是他和他的丈夫
[01136.52-01139.82] 南杜之前他一直过的是少女少夫的那种生活
[01139.82-01142.12] 他的家庭条件情是非常的好的
[01142.12-01144.12] 他的父亲叫李格妃
[01144.12-01146.82] 李格妃其实是苏世的学生
[01146.82-01149.62] 那个时候他刚出生的时候他父亲的事图
[01149.62-01151.12] 也是特别特别好的
[01151.12-01153.72] 所以那个时候他可以说是看变了
[01153.72-01155.72] 多成的这样的一个繁缓
[01155.72-01158.42] 小姑娘过的相对来说也非常的不错
[01158.42-01161.02] 从他写的词里面,其实也能够看得出来
[01161.02-01165.82] 比如说像他像他在少女时写的词里面,有一手就叫做如梦令
[01165.82-01170.78] 这如梦令叫做阶语书封重,说的是什么事呢?说这个李称道啊
[01170.78-01173.82] 和他的小姐妹啊,卡到家里
[01173.82-01176.62] 谢谢小姐妹干嘛呢?银石做对银酒
[01176.62-01179.46] 喝多了之后,他就睡在那个海堂树下
[01179.46-01183.06] 结果睡在海堂树下之后,也不知道是他喝多了呀还是他做梦了
[01183.06-01187.22] 结果他晚上睡觉的时候,他就银银语,因为看到那个海堂树所了花了
[01187.22-01189.10] 都落下来了 非常的好看
[01189.10-01190.86] 結果第二天早上起来的时候
[01190.86-01192.86] 他就赶紧跑到那个窗前
[01192.86-01194.14] 打开那个脸字一看
[01194.14-01196.74] 发现那个花儿还在树上没有落下来
[01196.74-01198.54] 于是他就问他这个市女
[01198.54-01199.70] 据来人嘛
[01199.70-01201.18] 这有市分据来人嘛
[01201.18-01202.34] 然后就问市女谁
[01202.34-01204.02] 不对呀 昨天晚上花儿不是批了花儿
[01204.02-01205.10] 都掉了一地嘛
[01205.10-01206.94] 说现在怎么还是这样的一个景象
[01206.94-01208.38] 那个小姑娘就说小姐
[01208.38-01209.50] 昨天喝多了吧
[01209.50-01211.02] 说哪有花落的情况
[01211.02-01212.94] 一直都是这个样子的
[01212.94-01214.54] 所以他就写了一个什么
[01214.54-01216.78] 如梦令 左夜雨树风重
[01216.78-01217.78] 你看到说的什么
[01217.78-01221.62] 说昨夜雨书风重 农税不消 前九
[01221.62-01224.34] 农税不消 残久 喝多了呢
[01224.34-01227.22] 后面叫做室问 据联人却到海长一九
[01227.22-01230.82] 他梦里面记得花半落下 非常地维霉
[01230.82-01232.98] 但是早上起来看是不是这样 不是
[01232.98-01236.78] 叫支否支否 英式 绿肥 红售 对吧
[01236.78-01238.98] 所以在这里面大家把这首词
[01238.98-01241.34] 最后一句话 去给他标注在旁边
[01241.34-01243.78] 其实大家如果记不住 还可以多听听歌曲
[01243.78-01245.90] 大家都知道支否支否 支否那个电视剧
[01245.90-01249.74] 是不是遇口为唱的主题曲其实就这一首次
[01249.74-01252.26] 其实他就是来自于李清朝的
[01252.26-01253.50] 这他少女时期的
[01253.50-01256.26] 你看看他少女时期他除了有这样的此之外
[01256.26-01257.18] 他还有我们所说
