[00000.00-00002.00] 蘇上蘇頂道的第二名確實是什麼
[00090.42-00097.34] 那这里面就会用出现一个问题,什么问题呢?就是我们总任务既然是要实现现代化和中法民族对达服行
[00097.34-00108.62] 我们就要知道第一个什么叫做现代化?中国是的现代化什么样?我们如何能够实现现代化?所以在这里面,你看如何实现现代化分两步走
[00108.62-00111.96] 第2个我们所说的中国的现代化什么样
[00111.96-00114.96] 我们把的称为叫做中国市的现代化
[00114.96-00118.10] 中国市现代化12时代当中非常照的一个点
[00118.10-00122.54] 因为在2020年明明学的提出了首次产数了
[00122.54-00123.80] 中国市现代化什么样
[00123.80-00127.62] 所以你看这是我们所说的总绪的第一个方式和手段
[00127.62-00128.78] 叫做现代化
[00128.78-00133.18] 那么要通过现代化要干嘛实现中华民族的伟达附形
[00133.18-00134.08] 明白这个意思吧
[00134.08-00136.22] 所以整个任务你看就发现了
[00136.22-00138.38] 就分成现代化和附形
[00138.38-00139.86] 那既然我们要去做的
[00139.86-00142.34] 除了把总任务去给他
[00142.34-00143.30] 背下来之外
[00143.30-00145.18] 那第二个我们要去理解的就是
[00145.18-00146.30] 来分别看一看
[00146.30-00147.82] 他所说的现代化和父亲
[00147.82-00148.90] 到底是咋回事
[00148.90-00150.18] 咱们先来看一看第一个吧
[00150.18-00151.30] 就是看一看总任务
[00151.30-00152.50] 我们最重要实现的
[00152.50-00154.94] 就是实现中华民族的美大父亲
[00155.66-00158.02] 其体道中华民族与大夫亲这个事
[00158.02-00159.46] 早在多少年前
[00159.46-00161.82] 其实就已经大海多二书能想了
[00161.82-00162.34] 对吧
[00162.34-00163.78] 你看像中华民族与大夫亲
[00163.78-00164.42] 我们经常提到
[00164.42-00165.86] 把它和什么挂给一块
[00165.86-00168.54] 把他和中国漸款在一起
[00168.54-00168.94] 对吧
[00168.94-00170.94] 所以我们总听了什么父亲之路
[00170.94-00173.10] 然后我们又听中华民族的伟大父亲
[00173.10-00174.30] 我们就听到了很多
[00174.30-00176.70] 到底什么是中华民族伟大父亲
[00176.70-00177.90] 什么是中国漸
[00177.90-00180.58] 他的提出和他的内容到底是怎么回事
[00180.58-00181.58] 咱们来看一下
[00181.58-00183.98] 所以咱们在大家的这个讲议上
[00183.98-00186.02] 大家留了一个考点书里的框架
[00186.02-00189.14] 就实现中华民族伟大父亲的中国漸
[00189.14-00191.78] 大家在这里先把中国漸漸刺画出来
[00191.78-00193.26] 其实中国漸是什么
[00193.26-00197.26] 中国梦就是中华民族的伟大夫型
[00197.26-00198.26] 这他们两个就是一回事
[00198.26-00201.26] 所以我们提到中国梦就会想到什么
[00201.26-00203.26] 就会想到夫型这样的体
[00203.26-00204.26] 所以大家注意一下
[00204.26-00207.26] 我们来看一下 人第一个我们来注意一下
[00207.26-00209.26] 在这 我在多受议罪
[00209.26-00215.26] 大家知道出现哪些此个手你选中华民族的伟大夫型或者是夫型呢
[00215.26-00217.26] 大家注意一下 有这么几个定位此
[00217.26-00219.26] 也就是实现中华民族伟大夫型
[00219.26-00222.26] 他在不同的文件当中 他的表输的地位不一样
[00222.26-00224.50] 比如说第一个表说就是我们所说的什么
[00224.50-00226.46] 出现中国梦按照中国梦说的是
[00226.46-00227.58] 美大福星
[00227.58-00229.94] 我们金卡会提到四个伟大
[00229.94-00231.22] 美大工程
[00231.22-00231.74] 对吧
[00231.74-00232.74] 伟大成就
[00232.74-00233.74] 伟大梦想
[00233.74-00236.46] 还有我们所说的什么伟大建设等等这些
[00236.46-00237.94] 是不是经常会提到四个伟大
[00237.94-00239.66] 这四伟大当中提到了一个什么
[00239.66-00240.66] 伟大梦想
[00243.78-00245.62] 这四伟大当中提到了
[00245.62-00247.06] 伟大梦想
[00247.06-00248.30] 这个伟大梦想
[00248.30-00249.74] 它其实值得也是什么
[00249.74-00251.66] 也是实现中防民族的
[00251.66-00252.94] 偉大福星
[00252.94-00256.78] 第3個就是我們早在多少年前
[00256.78-00259.58] 也不能說多少年前大概是兩年前
[00259.58-00261.02] 我們提到了一個點
[00261.02-00263.18] 當時國家領導人在講話的時候提到了
[00263.18-00268.30] 中國共產黨的一領人民團結和奮鬥的一切主題在於什麼
[00268.30-00271.38] 中國共產黨領鬥我們去奮鬥的一線的主題
[00271.38-00274.46] 就是在於實現中華民族的偉大福星
[00274.46-00276.74] 所以大家注意一下出現哪些此的時候
[00276.74-00279.42] 你選中華民族偉大福星就可以了
[00279.42-00281.74] 这个点在这部也大去做过都对对说
[00281.74-00283.50] 咱们来全面地去看一下
[00283.50-00286.02] 实现中华民族委大附性的中国梦
[00286.02-00287.34] 它的一个具体的内容
[00287.34-00289.34] 实现第一个就是大央明确
[00289.34-00291.66] 实现中华民族委大附性的中国梦
[00291.66-00293.38] 它是在什么时候提出来的
[00293.38-00294.54] 在旁标主一下
[00294.54-00297.86] 它的提出是在2012年的时候提出的
[00297.86-00300.14] 当时国家领导人去参加
[00300.14-00301.54] 附性之路展览的时候
[00301.54-00304.06] 当时就非常的感慨
[00304.06-00305.38] 其实提到中国梦
[00305.66-00308.62] 其实很容易让人感觉到特别的证分人心
[00308.62-00310.86] 在2020年副行之路展覽
[00310.86-00313.02] 他其实是在国家博物馆展出的
[00313.02-00314.46] 大家都知道那个国伯
[00314.46-00316.82] 他其实就在天文广场的天文广场
[00316.82-00317.90] 一共四个边
[00317.90-00319.54] 然后这边是人民大会讨
[00319.54-00322.78] 这边就是我们所说的国家博物馆
[00324.06-00324.86] 然后呢
[00324.86-00326.70] 左边就是人民英雄纪念碑
[00326.70-00327.38] 然后六笔
[00327.38-00327.94] 那边呢
[00327.94-00329.78] 就是我们所说的天文成功
[00329.78-00331.14] 就是这么的一个格局
[00331.14-00333.02] 当时这个国家博物馆
[00333.02-00336.06] 他就在2020年说搞了一个主题的展出
[00336.06-00337.14] 因为那个展厅很大
[00337.14-00338.02] 而且是好几层老
[00338.02-00339.70] 所以他每一个展廷
[00339.70-00341.10] 他可能主题都不一样
[00341.10-00342.38] 所以2020年的时候
[00342.38-00343.62] 他就有一个展廷
[00343.62-00345.26] 就是父兄之路展了
[00345.26-00346.42] 父兄之路展了
[00346.42-00348.14] 但是那个父兄之路展了里面
[00348.14-00349.86] 其实就是去描述了
[00349.86-00352.94] 世界范围针类其他国家的一种发展变化
[00352.94-00355.30] 以及中国在整个我们所说的
[00355.30-00357.46] 这个历史进程当中
[00357.46-00358.34] 他的一个变化
[00358.34-00359.22] 其实刚开始的时候
[00359.22-00360.50] 你再去看那个展覽的时候
[00360.50-00362.94] 你可能心情还是比较交和自好的
[00362.94-00365.14] 因为我们经常看到西方有的
[00365.14-00365.74] 我们都有
[00365.74-00369.94] 比如说同意时期中国有春秋时期的百家争明
[00369.94-00372.86] 对吧 那那个时候西方有什么波拉图等等这些
[00372.86-00374.74] 这些相对来说都是变加起序的
[00374.74-00377.78] 甚至我们在中国的古代要更灰广一些
[00377.78-00380.14] 对吧 那时候我们提到说什么
[00380.14-00382.30] 汉朝的时候我们给大家讲到过朝
[00382.30-00383.94] 翻我天威者虽然闭着
[00383.94-00385.14] 所以我再跟我哥哥哥哥
[00385.14-00386.42] 哥哥曾走到哪儿打到哪儿
[00386.42-00388.70] 那你看这时候国为就能够显现出来
[00388.70-00390.78] 又或者我们在汉朝的时候给大家讲过
[00390.78-00392.50] 就问过一关会场
[00392.50-00394.94] 那是核强反射的这种景象 对吧
[00394.94-00397.14] 我们的唐朝的皇帝在外
[00397.14-00399.26] 美民允允允被称为天可汉
[00399.26-00401.50] 松朝的时候送朝整体的经济
[00401.50-00403.58] 战四季经济的25%
[00403.58-00406.42] 贡献了4%之一的这样一个经济力量
[00406.42-00408.10] 而明清使清我们说了
[00408.10-00410.18] 明清使清为啥使用弊关锁我
[00410.58-00411.66] 天朝上过
[00411.66-00413.62] 不需要你什么
[00413.62-00415.06] 那种满意之方情交往
[00415.06-00417.82] 所以中国的整个古代都会上回黄
[00417.82-00420.06] 是我们可以从某种程度上来看
[00420.06-00421.50] 是成为世界的中心
[00421.50-00422.58] 原来超过亚洲的
[00422.58-00423.90] 但随着这个展达
[00423.90-00426.52] 你不断地去往那個展廳當中深入地去走
[00426.52-00427.76] 你其實會發現
[00427.76-00429.82] 就到了1840年壓騙戰爭之後
[00429.82-00431.46] 就開始有點令人痛心了
[00431.46-00434.48] 原本相欠在亞洲的這個取叉的民主
[00434.48-00436.98] 在英國尖傳力炮之下
[00437.70-00441.18] 可快就進入到了百年沉痛的這樣那個實現
[00441.18-00443.20] 大家又知道當時第一次壓騙戰爭
[00443.20-00444.32] 其實沒有多少人
[00444.32-00444.62] 對吧
[00444.62-00447.94] 他們四千人打開了中國四億人的
[00447.94-00448.84] 這樣一個大門
[00448.84-00451.02] 於是開起了中國人近百年的
[00451.02-00452.36] 去入沉痛的生活
[00452.36-00455.18] 这种生活是我我们这一代人没有办法想象的
[00455.18-00457.74] 大家想一下一百多年的时间
[00457.74-00460.04] 他不是说我逼着眼睛忍忍一忍
[00460.04-00461.32] 说过几年就过去了
[00461.32-00463.12] 那是一个世纪的程度
[00463.12-00466.44] 所以当时国亚联道人看到这样一个景象的时候也非常痛心
[00466.44-00468.48] 但是到1944年新入国成立
[00468.48-00471.82] 我们成立了收入主义国家之后到1978年改革开放
[00471.82-00473.60] 随着改革开放不断的深入
[00473.60-00475.14] 随着我们政策的不断的发展
[00475.14-00476.68] 2012年的时候
[00476.68-00480.00] 我们就发现生活迎来了很多的这样的一个变化
[00480.00-00482.52] 所以那个时候他就说了这样一番话
[00482.52-00484.54] 说我们在现在这样那个时代
[00484.54-00486.40] 比人以往任何一个时代
[00486.40-00487.68] 更能实现
[00487.68-00490.36] 也更接近实现中华民族的伟大夫型
[00490.36-00491.40] 所以在那样的一个
[00491.40-00492.48] 毕竟条件之下
[00492.48-00493.76] 我们就提到了什么
[00493.76-00496.40] 伟大夫型的中国梦长的一个话题
[00496.40-00498.48] 所以在这里面大家要知道
[00498.48-00499.92] 实现中华民族伟大夫型
[00499.92-00501.84] 中国梦的提出是在
[00501.84-00503.08] 2012年
[00503.08-00505.32] 我们比任何一个时代更加接近
[00505.32-00506.92] 我们所说的这样的一个夫型
[00506.92-00508.96] 所以大家知道它的提出的时间
[00508.96-00511.36] 大家要能知道是父親之路斬爛的時候
[00511.36-00513.16] 在2012年的手提出來的
[00513.16-00514.00] 這是第一個
[00514.00-00514.76] 那第二個呢
[00514.76-00515.76] 我們經常說
[00515.76-00518.00] 說實現中華民族的偉大父親
[00518.00-00519.04] 實現中國夢
[00519.04-00521.80] 那到底做到什麼程度叫做父親呢
[00521.80-00523.80] 這個我們所謂的這個中國夢
[00523.80-00525.84] 他和老百姓到底有沒有什麼關係呢
[00525.84-00527.52] 剛開始中國夢的提出的時候
[00527.52-00529.28] 那有很多人其實不能夠理解
[00529.28-00530.12] 說你
[00530.12-00532.84] 覺得中國夢好像是一個數字高個的一個概念
[00532.84-00533.76] 這是放在那裡出
[00533.76-00535.08] 提出中國夢以後我傻關心的
[00535.08-00536.24] 我又譜用老百姓
[00536.24-00538.76] 但是中國夢確實和每個人的生活怎麼樣
[00538.76-00539.76] 細細相關
[00539.76-00542.12] 到底做到什麼樣程度叫做復興
[00542.12-00544.52] 這個中國夢到底怎麼和人民關聯
[00544.52-00547.40] 這個問題其實是由中國文的本質來解決的
[00550.04-00550.92] 大注意
[00550.92-00552.56] 中國夢的本質是什麼呢?
[00552.56-00553.20] 大家知道
[00553.20-00555.40] 中國夢的本質是三個層面
[00555.40-00557.92] 第一個層面的叫做國家復強
[00559.96-00561.16] 國家復強
[00561.16-00563.96] 第二個就叫做民族鄭星
[00563.96-00568.30] 第3 一個最少是什麼?
[00568.30-00570.10] 就叫做人民幸福
[00570.10-00572.92] 這個中國漫漢該的範圍特別的全面
[00572.92-00576.50] 分別從國家社會和人民的角度去採輸了
[00576.50-00579.58] 什麼叫做中國漫漫什麼叫做中華民族的大附性啊
[00579.58-00581.12] 全第一個大家來看一下
[00581.12-00583.66] 對於國家層面他提出來的追求是什麼?
[00583.66-00585.72] 叫做國家附強
[00585.72-00587.50] 大陸一下附強代表的是什麼?
[00587.50-00589.30] 是國附民強
[00589.30-00591.10] 所以國家要進附邪強
[00591.10-00592.62] 這是我們所說的
[00592.62-00596.42] 在現代在2012年之後我們所提出來的什麼 強國夢
[00596.42-00599.94] 隨著第一步要富 讓使中國徹底改變什麼
[00599.94-00601.30] 品弱的這種情況
[00601.30-00604.86] 中國人的品弱 中國人害怕呀 中國人最怕什麼就熱
[00604.86-00608.26] 之前為大家去講過 對吧 你看我們中國人跟別人聊天的時候
[00608.26-00610.54] 在樓下溜溫的老大也什麼大一大嗎
[00610.54-00612.54] 看到互相見面 咱能願問什麼
[00612.54-00614.38] 都願問說愛吃了問您類 對吧
[00614.38-00616.58] 因為中國人遭受過最苦痛的生活
[00616.58-00619.66] 在近半年的尼鬧當中不停地去增長
[00619.66-00622.10] 中國老百姓吃過什麼 品弱的苦
[00622.10-00623.64] 所以我们要摆脱的第一步
[00623.64-00625.58] 想而使国家不断的发展强大
[00625.58-00627.22] 国家第一步必须要实现什么
[00627.22-00629.14] 国家第一步必须要实现富
[00629.14-00632.60] 我们现在所能看到的中国所取得的一系列的成就
[00632.60-00633.62] 我们感觉到
[00633.62-00634.72] 非常地开心
[00634.72-00637.20] 它都是以中国的经济实力作业执政的
[00637.20-00639.26] 所以我们要实现的第一步就是要富
[00639.26-00642.14] 所以我们为了实现国家富与起来
[00642.14-00643.46] 我们做了很多的努力
[00643.46-00645.46] 改要开放这一系列的政策时
[00645.46-00648.06] 我们在2020年去搞托平空间站
[00648.06-00648.34] 对吧
[00648.34-00650.00] 我们实现了那么多的平均人
[00650.00-00651.54] 農村平坤人口拖铭
[00651.54-00652.56] 9.9倍多
[00652.56-00655.88] 将近一个一座2.12年到2020年
[00655.88-00656.40] 你看
[00656.40-00657.04] 原本
[00657.04-00659.48] 这种情况这下改变了中国的什么情况
[00659.48-00660.50] 平日的情况
[00660.50-00661.40] 你看我们说了
[00661.40-00662.54] 这是拖铭
[00662.54-00664.80] 来从我们所说的实际层面上
[00664.80-00665.84] 让国家怎么样
[00665.84-00666.38] 父亲
[00666.38-00667.46] 这是我们所说的
[00667.46-00668.42] 父的第一个体现
[00668.42-00669.96] 又或者我们所看到的
[00669.96-00671.76] 你看像高铁的这样的一个建造
[00671.76-00673.00] 高铁的这个建造
[00673.00-00674.06] 大家应该知道
[00674.06-00674.84] 2.25年
[00674.84-00676.12] 中国高铁里程
[00676.12-00678.42] 将会达到3.8万公里
[00678.42-00679.82] 这是一个超大型国家
[00679.82-00680.82] 才能拥有的
[00680.82-00683.46] 我们所说的强大的这样的一个交通运收能力
[00683.46-00684.62] 一个春运
[00684.62-00686.62] 一个月之内春运的
[00686.62-00689.62] 在整个高铁运输下的流转人刺
[00689.62-00691.74] 达到三十一人刺
[00691.74-00692.38] 大家都知道
[00692.38-00694.70] 这个是超过德国十年火车
[00694.70-00696.62] 车容量的人数和人刺了
[00696.62-00699.14] 所以只是世界最好的记录
[00699.14-00700.10] 没有之一
[00700.10-00701.90] 所以大家能看到说中国的高铁
[00701.90-00702.90] 发展得很好
[00702.90-00704.14] 而且之前的时候
[00704.14-00705.62] 这几年其实还好前进来的时候
[00705.62-00706.90] 中国叫什么
[00706.90-00710.18] 大一个都听过 中国叫做基建狂魔
[00710.18-00711.86] 这个基建狂魔 大家那个在网上
[00711.86-00713.30] 能够看到它发的那个视频
[00713.30-00716.06] 我当时看到那个最开始说中国基建狂魔的时候
[00716.06-00717.14] 我都经择了
[00717.14-00718.74] 中国是世界上
[00718.74-00721.18] 唯一一个拥有十四一人口大骨
[00721.18-00722.26] 十四一人口的国家
[00722.26-00725.14] 且实现全通电的这样一个国家
[00725.14-00727.70] 中国的高铁关在说了预数的人次那么多
[00727.70-00729.78] 你再去看一看我们所说的这个印度
[00729.78-00732.34] 每天早上上班进程都买的那种火车
[00732.34-00733.54] 跟他们小时候看到说
[00733.54-00736.02] 铁到有一队也不知道大家也没有看过这个电视剧
[00736.02-00738.34] 鐵了有一句對於上火車那麼賣之一樣
[00738.34-00741.58] 那倒設車頂上門上倒出都爬著人
[00741.58-00744.86] 對吧而且我們所說的印度的火車明天出現多少事故
[00744.86-00747.14] 在印度還處在這樣的一個交通的
[00747.14-00747.86] 放在之內的時候
[00747.86-00749.70] 我們的高鐵就實現了我們所說的
[00749.70-00753.02] 高速的這樣那個人刺的這樣一個輪轉的情況對吧
[00753.02-00755.02] 我們剛剛提到的這個機箭狂模
[00755.02-00756.42] 我們剛才說了
[00756.42-00758.38] 它可以在九個小時之內
[00758.38-00760.86] 就完成一個火車站的大改造
[00760.86-00763.14] 1500多人開說這個火車帶又開建造的
[00763.14-00764.16] 就开上了
[00764.16-00765.38] 一百多台机器
[00765.38-00766.22] 九小时之内
[00766.22-00767.40] 这个火烦担加了
[00767.40-00769.48] 我们能够实现43个小时
[00769.48-00771.08] 重建一个立角巧
[00771.08-00773.12] 5小时的时候就可以给铁入担加
[00773.12-00774.14] 两个半小时
[00774.14-00775.46] 就拆毁了服录大道
[00775.46-00777.48] 金税税糊糊化现的这样的一个巧
[00777.48-00778.50] 比如相当于
[00778.50-00779.04] 你看
[00779.04-00779.84] 你睡一觉
[00779.84-00781.76] 也就七八个小时醒了之后发现
[00781.76-00782.62] 一个火车在
[00782.62-00783.46] 盖成了
[00783.46-00783.78] 对吧
[00783.78-00784.80] 你开场电影
[00784.80-00786.54] 又可能实现一座巧就没了
[00786.54-00787.70] 这就是中国的什么
[00787.70-00789.10] 基础设施建设能力
[00789.10-00790.50] 这是综合国力的体现
[00790.50-00791.74] 而这一切
[00791.74-00793.78] 都原子有中国必须有一个什么
[00793.78-00795.14] 强大的经济史里
[00795.14-00797.06] 我们为什么年龄追求GDP
[00797.06-00797.90] 年龄要说
[00797.90-00800.38] 国家GDP要不断的实现增长
[00800.38-00803.26] 因为国家实现中华民族为他
[00803.26-00804.86] 父亲的本质上的要求
[00804.86-00806.30] 第一个就只要求什么
[00806.30-00808.46] 国富
[00808.46-00809.26] 这是一方面
[00809.26-00811.30] 同时要强
[00811.30-00812.34] 所以在强内方面
[00812.34-00813.78] 你看我们国家搞了什么
[00813.78-00815.30] 军队见生嘛
[00815.30-00816.70] 所以这是我们所提到的
[00816.70-00817.38] 第一个层面
[00817.38-00818.94] 叫做国家富强
[00818.94-00819.38] 国家富强
[00819.38-00820.74] 国家富强是好事
[00820.74-00823.74] 国家富强的也久了又中国发展很多的麻烦
[00823.74-00825.54] 但是这里面会存在一个问题
[00825.54-00827.54] 就是我们要实现国家富强的同时
[00827.54-00828.74] 我们还要实现什么
[00828.74-00830.14] 还要实现民族政行
[00830.14-00832.54] 大家知道我们政行政兴的事什么
[00832.54-00834.50] 政兴其实更多程度上强的
[00834.50-00836.34] 是要政兴中国的文化
[00836.34-00838.54] 是世界文明再次一律世界
[00838.54-00839.74] 是中国文明
[00839.74-00841.74] 再次一律世界民族之里
[00841.74-00844.54] 那老师他有什么必然的联系
[00844.54-00845.34] 大家应该知道
[00845.34-00847.34] 你看像中国的高铁搞得这么好
[00847.34-00848.14] 最开始的时候
[00848.14-00850.54] 西方对于中国高铁的生意怎么样
[00850.74-00854.42] 不行 看着说中国的高体出现了是国中国的高体这也不行
[00854.42-00854.94] 那也不行
[00854.94-00858.42] 其实本身上你看中国其实默默无稳的做了很多的好事
[00858.42-00862.22] 你盘拿那个手指头 稍微虚弱你先能看到
[00862.22-00865.22] 比如说在疫情防控当中咱们做的特别好 对吧
[00865.22-00866.90] 你看最开始在疫情之处的时候
[00866.90-00868.66] 国家就说停产就停产
[00868.66-00871.14] 那最后那个核酸我都给你去免费做
[00871.14-00873.22] 他真的是停下来我哪怕设夕
[00873.22-00875.94] 经济建设我要保护老百姓的生命安全
[00875.94-00878.22] 于是我们在整个大考过程当中
[00878.22-00880.70] 中国量出了最好的这样的一个成绩单
[00880.70-00882.50] 对吧 但是人国外怎么黑我们的
[00882.50-00884.66] 该还是黑吧 各种各样的小黑子
[00884.66-00886.50] 我这发现中国最大的黑粉
[00886.50-00887.74] 对吧 美国
[00887.74-00889.74] 那这咱都不好意思去评价看
[00889.74-00891.74] 你看他就是开始去抹黑中国
[00891.74-00894.14] 你甚至我们会发现有很多的那种视频
[00894.14-00895.18] 大家能够看到说
[00895.18-00896.70] 宣传中国的发展
[00896.70-00898.38] 比如说我们说了在新疆
[00898.38-00900.34] 我们去搞努力生产的新疆努力生产
[00900.34-00901.66] 大家搞努力生产
[00901.66-00902.78] 七月画生产的说明
[00902.78-00904.18] 就是需要大量的人力
[00904.18-00905.06] 然后他们就说
[00905.06-00907.98] 阿说 让中国老百姓就把这个生产
[00907.98-00909.86] 随便剪辑 一个片段
[00909.86-00912.66] 然后说他们就开始什么就开始要老百姓
[00912.66-00913.86] 什么努力老百姓
[00913.86-00916.10] 就是就在意思和推特上
[00916.10-00917.46] 就这样的一个论掉
[00917.46-00920.66] 甚至我们还能看到很多这类似于这种
[00920.66-00922.42] 我们经常说什么路透社
[00922.42-00923.94] 事叫法新社事叫他们
[00923.94-00925.30] 和中国的一些情况
[00925.30-00926.50] 这是中国
[00926.50-00928.02] 绝起到今天这个地步
[00928.02-00929.06] 已经有很多问题
[00929.06-00930.58] 是我们不能毁灭的
[00930.58-00932.18] 我们要能够毁打
[00932.18-00934.02] 所有国家对我们的这样的一种之意
[00934.02-00936.34] 我们要把中国的事情做好
[00936.34-00937.78] 当然我们也要用自己的话
[00937.78-00939.46] 把中国的事情讲清楚
[00939.46-00942.42] 我们要解决什么 中国爱骂的这样的一个问题
[00942.42-00944.70] 那我们怎么办 怎么解决中国爱骂的问题
[00944.70-00946.06] 他们去怕中国
[00946.70-00949.02] 就是因为他不了解中国
[00949.02-00950.22] 所以在这种情况之下
[00950.22-00950.62] 我们说了
[00950.62-00952.38] 我们要用中国的文化
[00952.38-00954.82] 让他们能够感受到中国是一个合
[00954.82-00956.98] 自古以来就爱好和平的这样一个国家
[00956.98-00959.06] 就像当年中法建交四周年的时候
[00959.06-00960.42] 国家领导人手怎么说
[00960.42-00962.66] 他说原本在法国的
[00962.66-00963.62] 有一任领导人
[00963.62-00964.82] 拿克倫说过 对吧
[00964.82-00967.70] 说中国是一头沉睡的熊师
[00967.70-00969.90] 但是現在這頭蝕子醒了
[00969.90-00972.30] 這個話題出當時所謂的記者文件
[00972.30-00974.30] 現場壓確五聲
[00974.30-00976.30] 好像這裡的靈明靜敲敲
[00976.30-00977.70] 就一點聲音都不敢出
[00977.70-00979.10] 都是停下來
[00979.10-00980.22] 然後演八八的仇
[00980.22-00981.90] 咱們的這個貴安靈敲人在這說
[00981.90-00982.82] 後來的時候怎麼樣
[00982.82-00983.82] 他笑了小說
[00983.82-00985.26] 但是這頭蝕子是一個
[00985.26-00986.54] 愛號和平的
[00986.54-00988.30] 可愛可侵的這樣一個蝕子
[00988.30-00990.18] 所以我們要用自己的文化的力量
[00990.18-00992.30] 讓世界的民族能夠感受到我們
[00992.30-00993.82] 所以在這裡我們才提到怎麼樣
[00993.82-00995.86] 民族鎮行讓中華的文化
[00995.86-00997.86] 在此一例世界民族之臂
[00997.86-00998.94] 那这个中华文化
[00998.94-01001.66] 它可能是包括中国的传统的文化的敌越
[01001.66-01003.54] 包括中华文明的讲讲事
[01003.54-01005.34] 当然也包括中国人的什么
[01005.34-01005.94] 精神
[01005.94-01007.18] 所以在这里面你看
[01007.18-01010.94] 在第二层面上提到的就叫做民族政星
[01010.94-01012.50] 但是无论从国家的角度
[01012.50-01013.78] 还从民族的角度
[01013.78-01015.94] 规则到底它做了这么多都是为了什么
[01016.94-01019.38] 咱们做了这么多都是为了老百姓
[01019.38-01020.82] 所以我们说了中国梦
[01020.82-01022.42] 它规则到底是谁的梦
[01022.42-01023.30] 是人命的梦
[01023.30-01024.50] 所以它在这里面提到的
[01024.50-01026.50] 最后一个点叫人民幸福
[01026.50-01027.48] 大家知道吗
[01027.48-01028.40] 早在多少年前的时候
[01028.40-01029.60] 其实有考过
[01029.60-01031.96] 说在整个实现中华民族委大
[01031.96-01033.58] 父兄的本质当中
[01033.58-01034.94] 人民幸福是什么
[01034.94-01036.48] 同样在旁边标主一下
[01036.48-01039.06] 人民是这个国家实行建设的
[01039.06-01040.90] 根本出发点和落缅点
[01044.58-01047.58] 根本出发点和落缅
[01050.50-01051.40] 这里面
[01052.20-01053.86] 我要给大家去延伸一个点
[01053.86-01056.22] 就是还是一个什么 定位此的问题
[01056.22-01058.30] 我们在前面提到了中国共产党
[01058.30-01059.70] 不知道大家还记不记得
[01059.70-01061.90] 我们在前面提到中国共产党的时候
[01061.90-01062.90] 咋给大家说的
[01062.90-01064.82] 我说中国共产党
[01064.82-01066.58] 它是和方向有关的
[01066.58-01068.34] 和国家的道路有关的
[01068.34-01070.34] 所以你看它往往就起到领导里了
[01070.34-01072.82] 最本质的特征制度的最大优势
[01072.82-01073.82] 根本保障 对吧
[01073.82-01076.18] 这个是党 它起到的这个里了
[01076.18-01076.98] 但是我们说了
[01076.98-01078.82] 中国共产党它无论做什么事
[01078.82-01080.46] 它的底层逻辑是什么
[01080.46-01081.46] 大家一定要知道
[01081.46-01084.54] 我们所有政策的底层落去都在谁的身上
[01084.78-01085.68] 人民的身上
[01085.82-01088.12] 所以我们经常会看到一些文件
[01088.38-01089.90] 经常会提到人民的地位
[01089.90-01090.68] 罢了这些
[01090.94-01092.22] 出现了哪些定位子
[01092.46-01094.78] 我们选一个和人民有关的选项呢
[01096.30-01098.62] 就在考试当中它的体感当中会给到你定位子
[01098.86-01101.42] 然后你在选项当中选一个和人民有关的就行了
[01101.68-01102.46] 那哪些子呢
