[00000.00-00004.48] 我们说了唐师送子还有什么 还有缘曲
[00004.48-00007.76] 那既然我们来看一下有关于原曲的内容
[00187.22-00188.50] 他的这个婆婆
[00188.76-00190.80] 当然了就是他当然也是这个借债
[00190.80-00191.82] 被他父亲卖出去
[00192.08-00194.64] 后来他这个婆婆呢大家都知道是蔡婆
[00194.90-00195.66] 这个婆婆
[00195.92-00197.46] 后来呢其中有一个人
[00197.72-00199.76] 就是欠他家的钱
[00200.02-00200.52] 他婆婆去要钱
[00200.52-00206.32] 然后他们就想在他婆婆身上做点文章
[00206.32-00210.32] 结果当时他去找这个就赛龙衣嘛
[00210.32-00212.12] 他婆婆去找赛龙衣要钱的时候
[00212.12-00213.72] 赛龙衣就傻赛来不给
[00213.72-00216.12] 后来就出现了一个张旅儿负责
[00216.12-00218.72] 当时张旅儿就想取了这个钱
[00218.72-00219.92] 就想取了这个豆饿
[00219.92-00222.52] 所以他们当时就说毒死他的婆婆
[00222.52-00224.12] 然后就是嫁过给谁
[00224.12-00225.92] 然后最后逼迫豆饿就饭
[00225.92-00226.72] 然后嫁给他
[00226.72-00228.52] 结果弄巧成组了
[00228.52-00230.80] 把谁读死呢把张旅儿的父亲读死了
[00230.80-00232.12] 结果他们就约亡说是
[00232.12-00234.40] 都额杀了张旅儿的父亲
[00234.40-00236.00] 结果当时都额就被判了
[00236.00-00236.64] 判了死刑
[00236.64-00238.04] 然后当时都额就说什么
[00238.04-00240.44] 说如果他说他是被约亡的
[00240.44-00242.72] 他说他如果被约亡被杀死了之后
[00242.72-00244.80] 他就许了三个事
[00244.80-00245.72] 对了第一个就是
[00245.72-00248.08] 血健白零血判老高
[00248.08-00249.28] 第二个6月菲血
[00249.28-00250.60] 第三个大汉三天
[00250.60-00251.88] 结果他被杀了之后
[00251.88-00254.44] 果然在上个事怎么样都发生了
[00254.44-00255.96] 后来就派人去查
[00255.96-00257.60] 这个事情到底是怎么回事
[00257.60-00261.18] 结果就知道了一个事情就是谁的事情
[00261.18-00261.80] 斗描的事情
[00261.80-00263.32] 而去查词这个人是谁呢
[00263.32-00265.54] 其实就是当年斗描他的父亲
[00265.54-00267.94] 当时斗描的父亲为什么要把斗描的底出去呢
[00267.94-00269.88] 是因为父亲已经赶考没有钱
[00269.88-00271.48] 其实讲的就是这个故事
[00271.48-00274.02] 故事大家大概都知道它的故事的等概
[00274.02-00275.96] 我需要在这里给大家去补充的是
[00275.96-00278.12] 在斗描员当中有很多的点顾
[00278.12-00279.62] 同时要补充在旁边
[00279.62-00281.16] 斗援当中的点顾呢
[00281.16-00283.26] 我们常见的第一个杜军体血
[00285.36-00286.60] 大家听过一首诗吧
[00286.60-00288.00] 杜坐提血原明
[00288.00-00290.44] 说杜坐提血出自于什么点过
[00290.44-00291.84] 杜坐当中的故事
[00291.84-00293.32] 第2个6月飞血
[00293.32-00296.04] 我们现在经常开玩笑看到冷天下血了
[00296.04-00297.32] 热天下血说说
[00297.32-00298.32] 谁有缘情
[00298.32-00299.68] 其实就是来自于杜坐
[00299.68-00301.88] 又还有一个最终做东海秀复
[00301.88-00303.84] 说的这些杜坐的事
[00303.84-00304.88] 所以大家注意一下
[00304.88-00307.04] 这个就是来自于杜坐
[00307.04-00309.12] 第2个就是巨峰城
[00309.12-00310.20] 巨峰城大业
[00310.20-00311.96] 知道叫赵派儿巨峰城
[00311.96-00314.76] 大家看我那个梦华路那个电视剧吧
[00314.76-00318.16] 照怕就放成就的是谁啊
[00318.16-00320.16] 就的是宋隐章
[00320.16-00321.92] 大家看我那个电视剧
[00321.92-00323.52] 我在这就不多说了好吧
[00323.52-00326.48] 你看这是我们所说的这个梦华录当中
[00326.48-00329.36] 当时林运压的就是宋隐章的这个角色
[00329.36-00329.76] 对吧
[00329.76-00330.92] 然后这里面还有一个呢
[00330.92-00332.20] 是望江庭啊
[00332.20-00334.08] 望江庭讲的是谁的故事呢
[00334.08-00335.36] 大家注意想望江庭啊
[00335.36-00336.96] 讲的是谈劲儿的故事
[00336.96-00338.56] 你记得这个人就可以了
[00340.56-00342.88] 望江庭讲的是谈劲儿的
[00342.88-00344.40] 这样那个故事啊
[00344.40-00346.20] 所以在这里面大家要知道
[00346.20-00351.00] 其实当时有一个洋洋内
[00351.00-00353.48] 然后他们之间发生了一些事
[00353.48-00355.00] 所以这个事望疆停
[00355.00-00356.92] 然后还有败鱼挺和单刀会
[00356.92-00358.76] 这个单刀会大都知道是关于
[00358.76-00360.08] 这里面主要大家知道一下
[00360.08-00361.60] 逻辱和就封城
[00361.60-00363.40] 他们两个的具体内容就行了
[00363.40-00366.40] 这是第一个小团民掌握的光汉清
[00366.40-00367.64] 第二个就是
[00367.64-00370.20] 允许塞加当中的就做正光组
[00370.20-00372.60] 正光组在这里有两个代表做
[00372.60-00373.92] 一个是千女离魂
[00373.92-00376.00] 一个是三战旅步
[00376.00-00377.36] 千女离魂大之下
[00377.36-00379.64] 这里面都主觉叫做张千女
[00379.64-00381.44] 他和我们所说的千女离魂
[00381.44-00383.72] 就是现在我们看到的很多的电影
[00383.72-00385.80] 王祖显他演的这个也好
[00385.80-00387.08] 有一飞演的这个也好
[00387.08-00388.08] 都不太一样
[00388.08-00390.96] 他们两个其实都是来自于这个千女离魂的
[00390.96-00392.72] 这个千女离魂当中说的这个人
[00392.72-00394.32] 叫做张千女
[00394.32-00395.12] 后来呢
[00395.12-00396.48] 就是几庭斩转
[00396.48-00398.28] 然后活过来的张忆故事
[00398.28-00399.44] 所以这个地方
[00399.44-00400.88] 我们所说的这个千女离魂
[00400.88-00402.16] 你知道是正光祖的
[00402.16-00403.80] 这样的一个作品,就OK了
[00403.80-00406.64] 这里面没有其他的,需要同学们去注意的
[00406.64-00408.04] 这是第2个
[00408.04-00409.84] 第3个就是白铺
[00409.84-00412.40] 白铺在这里面有它的住座
[00412.40-00414.00] 都是原代的,我就不说了
[00414.00-00416.04] 在这里面第1个就是无同语
[00416.04-00418.16] 这里面同学需要掌握的第1个点
[00418.16-00419.84] 在无同语旁边,去标注意一下
[00419.84-00421.36] 这是第1个大样明确
[00421.36-00423.64] 无同语写的是谁有谁之间的故事
[00424.92-00426.08] 无同语大家注意一下
[00426.08-00430.48] 无同语写的是阳归飞和旁边黄的故事
[00432.16-00438.96] 这个是杨贵妃和唐明皇之间的故事
[00438.96-00440.16] 这是吴通语
[00440.16-00441.76] 但是我们也都知道
[00441.76-00443.96] 像这个怎么说呢
[00443.96-00447.00] 这是在现实当中杨贵妃和唐明皇之间的这个
[00447.00-00448.72] 解决不是很好 对吧
[00448.72-00450.36] 就是我们看长兰哥也知道了
[00450.36-00452.16] 就是马雷破版很累死了 对吧
[00452.16-00452.76] 然后呢
[00452.76-00453.96] 但是在细续当中
[00453.96-00456.36] 他会在某种程度上把这个去给他美化
[00456.36-00459.96] 所以在这个里面就有了我们所说的这个吴通语
[00459.96-00463.44] 也是表達了楊威飛河旁邊黃之間的這個愛情
[00463.44-00464.36] 所以大家注意一下
[00464.36-00466.60] 這是第一個它的內容是和誰有關
[00466.60-00468.12] 第二一個就大家知道
[00468.12-00470.68] 苗血楊威飛河旁邊黃的註做有很多
[00470.68-00473.72] 所以在這裡我們還要來看一下其他的註做有哪些
[00473.72-00475.72] 經常考試的時候其實考過
[00475.72-00480.36] 所以以下ABCD色選當中哪一個不是苗血的
[00480.36-00481.64] 楊威飛河旁邊黃
[00481.64-00486.20] 在這裡面其實就要我們在所學的一有的這樣的一些專業知識當中
[00486.20-00489.16] 把和楊威飛和旁邊黃有關的註做拿出來
[00489.16-00491.16] 第一个就是白居一些的长恨哥
[00491.16-00492.32] 这个我不用说了吧
[00492.32-00494.28] 我们再讲床朝市的时候
[00494.28-00496.08] 讲过他这是第一个
[00496.08-00499.92] 第二个就是我们在宽取当中
[00499.92-00501.00] 又给大家去讲到
[00501.00-00501.84] 大家有没有印象
[00501.84-00502.68] 就在宽取当中
[00502.68-00504.60] 我们会讲到长生电
[00504.60-00505.96] 这个长生电
[00505.96-00508.72] 就是我现在写写长生电
[00508.72-00509.92] 这个长生电
[00509.92-00511.12] 其实说的就是谁
[00511.12-00511.96] 说的就是
[00511.96-00513.92] 洋规飞会旁边黄都故事
[00513.92-00515.00] 这个长生电
[00515.00-00517.80] 我们在后面还会出现
[00517.80-00520.00] 他只是以昆取的形式呈现出来的
[00520.00-00523.08] 常常念最后他们两个也是见面了
[00523.08-00525.84] 在那里见面在月工当中团聚了
[00525.84-00528.64] 这个就是我们所说的这个常生电
[00528.64-00532.12] 和常歌都是我们所提到的这个
[00532.12-00534.04] 讨明黄和杨规费的故事
[00534.04-00535.16] 在包括了无通语
[00535.16-00536.44] 所以在这儿大家要知道
[00536.44-00539.80] 第二个就是我们所提到的叫做强头马上
[00539.80-00542.00] 这个强头马上大家要注意一下
[00542.00-00543.44] 强头马上第一个你要知道
[00543.44-00545.12] 他说了谁都故事
[00545.12-00550.48] 这个呢 强头马上说的是陪绍聚和一个李家小姐的故事
[00552.48-00553.76] 李家小姐的故事
[00553.76-00555.76] 当时李家小姐套出事我
[00555.76-00557.12] 然后其在那个强头上
[00557.12-00558.80] 突然来了一个俊美少爷
[00558.80-00560.16] 我的天马好好看
[00560.16-00562.16] 对吧 然后当时就疯狂的心动
[00562.16-00564.48] 然后最后两人就撕奔了
[00564.48-00565.60] 不能说撕奔了吧
[00565.60-00567.60] 就是李家小姐的陪着郡快了
[00567.60-00569.60] 就是把李家小姐结回家
[00569.60-00571.52] 后院子
[00571.52-00573.12] 他们两个一起带了好几年
[00573.12-00574.32] 孩子都挺大了
[00574.32-00577.60] 后来被赔上军的家里人知道的事
[00577.60-00580.80] 然后李嘉小姐的父亲知道这个事不同意
[00580.80-00584.04] 后来在李嘉小姐他的父亲是一个高官
[00584.04-00586.16] 这说我的姑娘怎么就能加这样的人
[00586.16-00587.88] 而且没有经过父母的同意
[00587.88-00589.68] 于是就把这个小姐抓去了
[00589.68-00591.28] 赔上军当时就说出不行
[00591.28-00592.96] 因为他太爱女孩了
[00592.96-00595.84] 所以他就说我一定会去年过门的
[00595.84-00596.84] 所以你等我去考试
[00596.84-00598.56] 考完事之后我就上面去提前
[00598.56-00600.64] 结果考试考得非常非常好
[00600.64-00602.32] 我们都知道了
[00602.32-00603.24] 好的相当不错
[00603.24-00606.80] 而且当时那个主好关对于这个培兽剧特别的任可
[00606.80-00607.72] 好巧不巧
[00607.72-00609.16] 当时那个主好关就是
[00609.16-00610.92] 就是这个李嘉小姐的父亲
[00610.92-00612.32] 这他未来的越父
[00612.32-00614.84] 最后就把李嘉小姐见回家
[00614.84-00616.80] 然后一起过着幸福快乐生活
[00616.80-00618.48] 那这个就是培兽剧
[00618.48-00621.16] 而这个强头马上
[00621.16-00623.08] 这一个我们所说的这个原曲
[00623.08-00623.84] 还预出
[00623.84-00626.68] 其实在里面就有了很多的这样的一个失聚
[00626.68-00628.88] 比如说我们现在经常去告白的时候
[00628.88-00630.28] 就是阿姨好喜欢你
[00630.28-00630.76] 对吧
[00630.76-00632.80] 你怎么喜欢我对你一件中情
[00632.80-00634.60] 你看一件中情显得怎么样
[00635.36-00636.52] 显得有一点
[00637.04-00638.56] 太单调了
[00638.56-00640.16] 你要写的稍微文意一点
[00640.16-00641.00] 就是什么呢
[00641.00-00643.16] 我们经常看到的白居意
[00643.16-00646.38] 他的经底也引引引引引引
[00646.38-00647.84] 平方中的一首词
[00647.84-00649.52] 也是在如意转道中
[00649.52-00650.60] 当年如意说
[00650.60-00652.52] 他第一次见到红力的那个情形
[00652.52-00654.12] 不知道大家还记不见那首诗
[00654.12-00655.16] 你可写在旁边
[00655.16-00656.08] 在旁标主一下
[00656.08-00657.68] 他有时候问点顾出处
[00657.68-00659.88] 就要强头马上遥相顾
[00660.76-00664.76] 牆頭馬上搖相固
[00664.76-00666.76] 後面
[00668.76-00672.76] 一件直軍極端場
[00674.76-00676.76] 這個地方也是在形容什麼
[00676.76-00679.76] 也是在形容我們所說的這個一件主情
[00679.76-00680.76] 你看比那種
[00680.76-00681.76] 按我一件主情
[00681.76-00682.76] 我新月於年
[00682.76-00684.76] 還同學們學學這種
[00684.76-00686.76] 好玩意會再看到這種展示一下
[00686.76-00687.76] 對吧
[00687.76-00688.76] 所以在這裡面你看
[00688.76-00689.76] 牆頭馬上搖相固
[00689.76-00692.20] 让邀行故一件之军计断场
[00692.20-00693.44] 这个词写的特别好知
[00693.44-00695.16] 第一次看到你就喜欢上了
[00695.16-00697.32] 就是那种浓烈的那种情感 对吧
[00697.32-00698.16] 后面说了
[00698.16-00702.00] 说之军断场共军与军旨男生松百数
[00702.00-00704.96] 感军松百化 感军松百化
[00704.96-00707.00] 给一些按核双变主军去
[00707.00-00708.20] 写了非常多微微
[00708.20-00710.48] 但是这里面的说强头马上邀行故
[00710.48-00712.08] 强头马上出自于谁
[00712.08-00713.80] 要知道白铺的
[00713.80-00716.00] 我们所说的强头马上这时候
[00716.00-00717.92] 这个原曲
[00717.92-00719.00] 所以大家注意一下
[00719.00-00721.16] 这是我们所说的第三个就白铺
[00721.16-00723.64] 第四个呢就说我们所说的马支元了
[00723.64-00725.36] 马支元在这里大家注意一下
[00725.36-00727.52] 主要第一个他有取装原支撑
[00727.52-00730.00] 其取装也说的是他的天静杀丘丝
[00730.00-00733.88] 但如果有的时候他不说天静杀丘丞要知道对应的是马支元
[00733.88-00735.72] 第二个呢就是他的住座
[00735.72-00738.36] 在这里面大家注意一下主要讲的是汉公秋
[00738.36-00740.88] 这里的汉公秋在旁标主一下写的是
[00740.88-00743.72] 王朝军和汉原地的故事
[00745.36-00747.80] 大家知道现实生活当中是周军
[00747.80-00749.72] 原价到了修诺
[00749.72-00751.28] 然后价有个灌叶参与
[00751.28-00753.40] 然后最后有价有个灌叶参与的孩子
[00753.40-00753.88] 对吧
[00753.88-00754.84] 所以当时呢
[00754.84-00757.64] 为汉朝和修诺之间的这个
[00758.12-00760.00] 幸福平衡的这样的一个生活
[00760.00-00761.72] 做出了很大的一个共线
[00761.72-00762.68] 这是历史
[00762.68-00764.32] 所以我们说了他的共线特别大
[00764.32-00765.96] 我没把的称为叫做名非
[00765.96-00766.28] 对吧
[00766.28-00767.40] 现在还有清楚
[00767.40-00769.56] 但在我们说了就是
[00769.96-00770.88] 细续也好
[00770.88-00771.48] 咋句也好
[00771.48-00772.52] 它的编转的这些东西
[00772.52-00775.56] 其实就是为了迷不很多人的这样的一个遗憾
[00775.56-00781.96] 所以在这里我们在汉宫秋章中没有实现的汉原地和王朝军之间的这样的一个信息
[00781.96-00785.56] 在现实生活中没有实现在汉宫秋的剧作中之实现了
[00785.56-00788.04] 剧作其实还是有一定的改变的
[00788.04-00790.04] 在汉宫秋章中的他描述的说
[00790.04-00792.52] 说这个招节其实不愿意去合情的
[00792.52-00795.40] 招绝也不想远离现有的这个固图
[00795.40-00798.52] 所以他走到了汉江交界地方的时候
[00798.52-00801.48] 这个招绝其实就是想永远的留在汉朝
[00801.48-00802.76] 然后就自杀了
[00802.76-00806.48] 自殺了之後哪兒晚上汗源地做夢的時候就夢到了這個王朝軍
[00806.48-00808.00] 然後他醒了之後
[00808.00-00809.40] 他就聽到那個大驗
[00809.40-00811.80] Amy從他身邊就有愛教過去
[00811.80-00813.60] 後來他就知道朝軍死了
[00813.60-00814.52] 朝軍死了之後
[00814.52-00815.84] 他就把毛爺收給殺了
[00815.84-00817.32] 就講了這麼一個事
[00817.32-00819.72] 所以這是我們所說的有關於喊工球
[00819.72-00821.48] 他跟歷史都是不一樣的
[00821.48-00822.84] 你看身體包括長生電
[00822.84-00824.92] 就是把那種預見不見
[00824.92-00826.40] 上床閉落下旁全
[00826.40-00828.88] 兩處毛毛街不見的遺憾給你補了
[00828.88-00830.36] 這其實就是我們所說的
[00830.36-00832.32] 戲曲他發揮的一部分作用
[00832.32-00834.78] 在漢公秋等中,也是這樣的
[00834.78-00836.76] 打住一下,這是第二個
[00836.76-00838.24] 第三一個,這是馬支援
[00838.24-00839.36] 它為一個非常
[00840.36-00841.56] 狼狼上口
[00841.56-00844.20] 我們所說的,每大家所屬的一個
[00844.84-00848.40] 磁鏈,叫天井沙秋斯,被稱為秋斯之族
[00848.64-00851.24] 它那個磁意出來,你就感覺我的天安
[00851.24-00853.16] 這是光看那個意想
[00853.16-00854.72] 你就已經有畫面了
[00854.72-00859.08] 哭騰,老樹,昏壓,小橋,流水,人家
[00859.08-00863.30] 古道西风受马西洋西下断长人在田
[00863.30-00864.40] 这感觉有点了
[00864.40-00865.92] 没有比这更惨更悲了
[00865.92-00868.52] 所以秋斯之组
[00868.52-00870.80] 它所有的意义相都体乡了没种情感
[00870.80-00871.52] 所以大家注意一下
[00871.52-00873.52] 这是我们所说的招作马之源
[00873.52-00876.88] 所以这四个人观汉清白捧
[00876.88-00878.28] 然后还有我们所说的
[00878.28-00879.80] 这个政光组
[00879.80-00881.00] 还有我们提到的马之源
[00881.00-00881.96] 原曲斯大家
[00881.96-00883.16] 把他的人物住作
[00883.16-00884.28] 就住作的具体内容
[00884.28-00885.40] 要给他对用上
[00885.40-00886.92] 这是原曲当中的
[00886.92-00887.80] 斯大家
[00887.80-00888.92] 这个点要注意
[00888.92-00890.48] 第二个就是在原区当中
[00890.48-00891.72] 不要有名的人是谁呢
[00891.72-00892.72] 是王师傅
[00892.72-00894.04] 把六王师傅化出来
[00894.04-00896.12] 王师傅最有名的是西香记
[00896.12-00898.44] 这个西香记身上有两重考点
[00898.44-00900.20] 第一重考点的这代知道
[00900.20-00902.72] 西香记它表写的是谁有谁之间的故事
[00902.72-00904.04] 就是我给大家说的
[00904.04-00907.00] 表写的是张声和推荣英的故事
[00910.36-00911.76] 张声和推荣英
[00911.76-00914.32] 张声和推荣英的故事的结局是好的
[00914.32-00916.84] 在经济选择红娘选择当中其实有
[00916.84-00918.12] 所以张声推荣
[00918.12-00920.60] 在这个西航记当中还有一个
[00920.60-00922.88] 这是这个推荣美家伙传做红娘
[00922.88-00926.36] 给张声和推荣千条大线的这样的一个人
[00926.36-00929.00] 所以现在有一个职业角色就叫做什么
[00929.00-00930.36] 就叫做红娘
[00930.36-00931.96] 所以在这里也大家知道
[00931.96-00935.60] 这是他经常说红娘这一个职业出自于哪一个剧作
[00935.60-00937.08] 你要知道出自于西航记
[00937.08-00938.92] 当时两个人也是互相爱目
[00938.92-00940.76] 但是见面的人很难
[00940.76-00942.44] 所以大家就听过那个红娘选择
[00942.44-00944.92] 说叫张声你躲在旗盘之下
[00944.92-00946.48] 我不不醒来你不不怕
[00946.48-00948.72] 对吧,以后给大家看一下那个选端了
[00948.72-00951.36] 这第一个大家要知道,这是西香记
[00951.36-00952.68] 西香记,这第一个点
[00952.68-00957.08] 第二个点就是大家要知道,西香记它被称为四大名句之一
[00959.20-00960.68] 四大名句之一
[00960.68-00963.20] 所以大家就要找我四大名句是哪四大名句
[00963.20-00966.68] 第一个就是西香记,我在这里不写了我直接写个习惯
[00966.68-00968.68] 第二个就是桃花善
[00970.88-00972.88] 桃花善,第三个是什么呢?
[00972.88-00975.08] 第三个是朝生电
[00975.08-00979.36] 第四个就是后面我们要说的 母弹挺
[00979.36-00984.80] 这个呢 就是我们所提到的叫做四弹 免剧
[00984.80-00986.08] 它四弹免剧之一
[00986.08-00988.56] 第三个考点 会考察一个什么呢
[00988.56-00990.96] 会考察一个英英转 大家注意一下
[00990.96-00995.56] 英英转呢 它其实也是讲英英的故事
[00995.56-00997.76] 和张声 但是解决不一样
[00997.76-00999.64] 英英转我之前说了谁写的呢
[00999.64-01003.76] 和白军一同搞新越赴运动的这个人写的
[01003.76-01006.00] 他不是有个英英英英版一哭嘛
[01006.00-01007.52] 他白句说他英英怪
[01007.52-01009.76] 他里面写的也是英英
[01009.76-01010.96] 也是和账生的故事
[01010.96-01012.56] 但是结局和相机不一样
[01012.56-01015.12] 相机的结局就是两个人最终在一块了
[01015.12-01016.88] 但是在英英传这一块呢
[01016.88-01019.12] 两个人破予风见理就啊
[01019.12-01021.20] 其实没有得到很好的结局
[01021.20-01023.08] 所以在这里面待会注意一下
[01023.08-01024.48] 这是和他相类似的聚作
[01024.48-01027.28] 把他和刚才的那个考察方式很像
[01027.28-01029.80] 就是写糖明华和杨贵飞的这个
[01029.80-01030.72] 考察方式很像
[01030.72-01032.20] 所以在这里待会注意一下
[01032.20-01035.02] 这是我们所说的具体的
[01035.02-01036.04] 它的内容
[01036.04-01037.06] 我们来看一下
[01037.06-01038.34] 给大家去展示一下
[01038.34-01040.40] 我们在整个西香记当中
[01040.40-01042.44] 红娘选择里面就是教张
[01042.44-01043.46] 你躲在其外之下
[01043.46-01044.22] 这一步
[01044.22-01046.54] 我们来看一下它的剧作当中的表现
[01047.82-01049.36] 我们来个其材
[01049.36-01050.12] 在这里面
[01050.12-01051.40] 在这里面
[01051.40-01052.16] 这里面
[01052.16-01052.68] 在这里面
[01052.68-01053.70] 在上面
[01053.70-01054.72] 我
[01054.72-01056.26] 我怎么当现场
[01056.26-01057.04] 没有
[01057.04-01058.82] 你要拿到这些
[01058.82-01060.10] 你不管理
[01060.10-01062.76] 好 歡迎
[01062.76-01064.76] 我包圍
[01068.10-01070.60] 今天感謝你
[01070.60-01072.64] 我們看來
[01072.64-01074.56] 今天明天是否
[01074.56-01076.08] 我們不幸看你
[01076.08-01078.64] 我們我們還會
[01078.64-01080.00] 我們還會
[01080.00-01082.18] 我們很重要
[01082.18-01083.68] 我們也會
[01083.68-01084.84] 我們還會
[01084.84-01086.20] 我們還會
[01086.20-01087.44] 我們也會
[01087.44-01088.44] 我們還會
[01088.44-01116.40] 这个就是我们所说的这个张声要去见女主推英用的时候这个小红娘在这里给他做了一个扶主放的这样一个故事其实这个经济选断的完整的选断还非常好听呢同学的兴趣的话可以去听一下好
[01116.40-01118.48] 这个就是我们所说的原曲
[01118.48-01119.32] 就原在具
[01119.32-01123.52] 我们说了不同的体材是旁是送此原曲和明天小说
[01123.52-01124.72] 那么讲了原曲之后
[01124.72-01126.32] 咱们来看一下明清小说
[01126.32-01127.76] 明清小说的大部分内容
[01127.76-01129.12] 其实我们都太熟悉了
[01129.12-01131.32] 我们自在这里给同时把这个考点
[01131.32-01132.68] 清清的也大家点出来
[01132.68-01133.76] 又需要补充的地方
[01133.76-01135.12] 然后给大家去说明
[01135.12-01137.56] 首先第一个就是明代小说
[01137.56-01138.96] 明代小说大注意一下
[01138.96-01140.56] 它有明代四二岁书
[01140.56-01141.80] 朋友们要在这里找物的
[01141.80-01142.56] 就是第一个
[01142.56-01144.64] 明代四二岁书和四大明处
[01144.64-01145.52] 它是不一樣的
[01145.52-01148.16] 它們兩個有一些內容是重點的
[01148.16-01149.48] 比如說三名入當中
[01149.48-01151.52] 我們知道三國水火
[01151.52-01154.00] 還有什麼西歐界以及紅樓梦
[01154.00-01155.00] 我簡單寫了
[01155.00-01155.92] 大家注意一下
[01155.92-01157.12] 三名入當中
[01157.12-01159.76] 它其實最後一個是我們所說的紅樓梦
[01159.76-01161.44] 而我們所說的這個
[01161.44-01162.80] 四家起輸
