[00000.00-00005.36] 好的,我们今天来往下看一下第四节,第四节叫做生活城市,
[00344.32-00345.56] 你起不到保险作用
[00345.56-00346.96] 那边都滚汤了
[00346.96-00348.00] 马上就要起火了
[00348.00-00349.80] 这边还有还正行做工了
[00349.80-00350.60] 多可怕
[00350.60-00351.92] 所以在这里面大家注意一下
[00351.92-00353.44] 第一个点 容念第一
[00353.44-00354.56] 第二个就是
[00354.56-00356.04] 保险斯他也怎么办
[00356.04-00358.28] 坏下就保险斯也不能过出
[00358.28-00359.40] 如果保险斯过出
[00359.40-00362.16] 越出通过的电流会越大
[00362.16-00362.84] 这样的话
[00362.84-00363.60] 微险
[00363.60-00365.04] 就会相当述比较微险
[00365.04-00366.96] 这个时候你把电器都烧坏了
[00366.96-00368.12] 所以在这里大家注意一下
[00368.12-00369.68] 保险斯不能过出
[00369.68-00371.24] 那像这样的城市
[00371.24-00374.08] 同学们都掌握得非常好
[00374.08-00375.58] 所以我就在这里给他们去点一下
[00375.58-00376.68] 它的讨点就行了
[00377.58-00379.02] 好这是第二个保险私
[00379.42-00381.72] 第三一个拿带也都知道就是家里的第二个带
[00383.02-00384.82] 北方冬天可能不太会用的
[00385.32-00388.26] 但是南方同学可能会比较用的
[00388.40-00389.60] 第二个带会比较多一点
[00389.60-00390.70] 因为北方通暖气嘛
[00390.70-00392.48] 可能南方有一个问题去不通暖气
[00392.74-00395.04] 我上学的时候是在上海读的书
[00395.04-00396.78] 那个时候就不太適应
[00396.90-00398.72] 我们所说的没有暖气的这种生活
[00398.72-00400.18] 所以在南方的话
[00400.18-00402.10] 可能尤其是不如到秋冬以后
[00402.10-00403.54] 第二坦他先是一个
[00403.54-00404.70] 必备的一个东西
[00404.70-00408.70] 但第二坦使用又自己的这样的一个安全的续织
[00408.70-00410.30] 他的这个使用在于什么呢
[00410.30-00411.18] 大家就注意
[00411.18-00413.54] 第二坦能不能折垫使用
[00413.54-00415.18] 第二坦不能折垫使用
[00415.18-00416.98] 原因就在于第二坦他做工
[00416.98-00418.54] 就是里面有很多的什么
[00418.54-00419.50] 那种丝
[00419.50-00421.74] 他就是通过他产生热
[00421.74-00423.46] 然后让第二坦他会做
[00423.46-00424.54] 但是如果折垫的话
[00424.54-00426.82] 就会导致他的收免会监短
[00426.82-00428.94] 所以在这里第二坦不能折垫使用
[00428.94-00429.42] 到这
[00429.42-00431.42] 同一面就知道
[00431.42-00432.42] 这三个点就可以了
[00432.42-00433.90] 这是加据安全当中
[00433.90-00435.90] 需要同一面给大家讲到的
[00435.90-00436.90] 这是第1个点
[00436.90-00437.66] 那第2个呢
[00437.66-00439.02] 就是我们在安全场上
[00439.02-00439.38] 是当中
[00439.38-00440.90] 会经常提到的另外一个点
[00440.90-00441.58] 就叫做
[00441.58-00442.74] 每期众读
[00442.74-00443.54] 每期众读
[00443.54-00445.38] 咱们之前其实有给大家讲过
[00445.38-00445.86] 我说了
[00445.86-00446.74] 每期众读这个点
[00446.74-00448.38] 它其实测证考一些
[00448.38-00448.94] 细节
[00448.94-00450.98] 咱们是在化学知识这一块
[00450.98-00452.18] 给大家讲过每期众读
[00452.18-00452.58] 对吧
[00452.58-00453.26] 每期众读
[00453.26-00454.14] 首先标诺一下
[00454.14-00455.22] 圈一大注意下
[00455.22-00456.06] 每期众读
[00456.06-00456.70] 也叫做
[00456.70-00457.22] 坏下
[00457.22-00457.62] 叫做
[00457.62-00458.10] 依养
[00458.10-00459.14] 花探中毒
[00459.14-00461.58] 一样花探中毒的原因在什么呢
[00461.58-00462.46] 来标注一下
[00462.46-00463.90] 一样花探中毒的原因
[00463.90-00464.74] 想穿二
[00464.74-00465.94] 这是几亿亿
[00465.94-00467.06] 因为一样花探中
[00467.06-00468.54] 以血红蛋白结合
[00468.54-00469.54] 就蛋白呢
[00469.54-00470.70] 我们在前面
[00470.70-00472.82] 生物只是说给大家讲过
[00472.82-00473.82] 血红蛋白
[00473.82-00475.50] 也就是我们所说的红细包
[00475.50-00477.30] 它负责运说养弃
[00477.30-00478.46] 这是身体
[00478.46-00479.94] 它正常机能的运行
[00479.94-00481.38] 就是我现在跑跳
[00481.38-00483.82] 然后我现在坐在这边给大家讲课
[00483.82-00485.10] 我都是需要养弃的
[00485.10-00486.02] 那我这种养弃
[00486.02-00487.54] 怎么样运送到全身呢
[00487.54-00490.36] 我们是通过红西包运术的全身的
[00490.36-00492.58] 但是问题就在于这个虚红蛋白
[00492.58-00494.26] 也就是我们所说这个红西包
[00494.26-00496.30] 它更喜欢的是一样化它
[00496.30-00498.56] 它可以一样化它的结合能力
[00498.56-00500.26] 比一样气强好几百倍
[00500.26-00503.70] 那如果空气当中有很大农度的一样化它的时候
[00503.70-00505.74] 那虚红蛋白就会抛弃一样气
[00506.38-00509.02] 干嘛呢就会和一样化它结合
[00509.02-00510.98] 和一样化它结合导致的结果是什么
[00510.98-00514.10] 就是运术到你全身的就不再是一样气了
[00514.10-00515.94] 你身体没有一样气你就会怎么样
[00515.94-00521.86] 缺氧就會修刻,就會直習,這種現象就叫做氧化灘中毒
[00521.86-00525.10] 所以大家注意一下,氧化灘中毒的原理
[00526.70-00529.10] 一定要明確,我們說了是使
[00529.42-00532.74] 使用蛋白,與氧化灘結合,從而使使用蛋白
[00532.74-00535.98] 喪失卸的氧的能力造成的組織,缺氧
[00535.98-00539.14] 在這裡面大家注意一下,是不是因為氧化灘有毒啊?
[00539.98-00544.50] 大家注意一下,不是因為氧化灘就毒性才叫做氧化灘中毒的案
[00544.50-00547.58] 这个也是我们在前面给同学们特术强调的
[00547.58-00548.86] 这是第二个点
[00548.86-00550.70] 那第三个点就是在这里
[00550.70-00553.70] 如果一旦发现一样化产重谷这说怎么办
[00553.70-00556.02] 来标助一下首先应该打开窗通风
[00556.02-00557.98] 对了这个大家都知道赶紧把窗打开
[00557.98-00559.42] 这种情况这下能不能说
[00559.42-00560.46] 天哪 妈呀
[00560.46-00562.58] 已经就是一样化产能力就很高了
[00562.58-00564.22] 赶紧打个电话包个景
[00564.22-00565.62] 抽个人烟冷就一下
[00565.62-00567.78] 能不能想开个灯找着法门
[00567.78-00568.82] 只能不行的
[00568.82-00570.10] 所以在这里同学们注意一下
[00570.10-00571.06] 禁止什么
[00571.06-00574.26] 禁止一切能够引起火花的行为
[00574.26-00576.26] 就是禁止一切民火行为
[00576.26-00578.26] 民火行为都不行
[00578.26-00580.76] 禁止一切民火行为
[00580.76-00582.26] 抽回言冷静一下
[00582.26-00583.76] 对吧在这种情况之下
[00583.76-00585.26] 开个灯案找个法门
[00585.26-00586.26] 点个打火机
[00586.26-00587.76] 阿伟一下子也都不行
[00587.76-00589.26] 非常危险的
[00589.26-00590.26] 所以在这里面大家注意一下
[00590.26-00592.26] 这事一样化碳中毒的第三点
[00592.26-00594.76] 我们在前面在这里做一个回顾
[00594.76-00595.76] 咱们在前面说了
[00595.76-00597.26] 一样化碳中毒
[00597.26-00599.26] 它比较容易发生在什么情况
[00599.26-00600.26] 我们说了
[00600.26-00601.76] 一样化碳中毒
[00601.76-00605.24] 他除了是我们日常当中所看到这种媒体
[00605.24-00607.16] 他其实是人气的一种对不对
[00607.16-00609.12] 样化的众组还会发生在什么
[00609.12-00610.72] 还会发生在我们所说的
[00610.72-00613.36] 他不完全燃烧的情况之下
[00613.36-00618.56] 所以在这里在不完全燃烧的情况之下
[00621.04-00622.96] 不完全燃烧的情况下
[00622.96-00625.32] 是不是容易一样化的众组
[00625.32-00626.84] 我简单一些意义
[00626.84-00628.68] 一样化的众组
[00628.68-00631.48] 我用CU这个换个事来代表一样化的
[00631.48-00633.88] 那说老师正不完全然烧了情况
[00633.88-00635.04] 带着的是什么情况呢
[00635.04-00637.68] 咱们在考试当中考过两种情况
[00637.68-00639.68] 利用情况的就是我们所说的
[00639.68-00642.24] 你能不能在车里面开始控条睡觉
[00642.24-00643.08] 不行
[00643.08-00644.48] 就是不能
[00645.08-00647.68] 在你的叫车里面
[00647.68-00649.32] 你的奔持你的宝马
[00649.32-00650.68] 你的马杀拉地里面
[00650.68-00653.32] 不能在车里开控条睡觉
[00658.60-00659.52] 为什么不行
[00659.52-00662.52] 因为这种情况之间你单开空调你的车是不是叫啟动
[00662.52-00664.12] 而你车以单啟动的话
[00664.12-00668.72] 这种情况之下它就汽油就处在不完全人受的状态
[00668.72-00671.92] 那如果说汽油处在不完全人受状态之下的话
[00671.92-00673.12] 导致的结果是什么
[00673.12-00675.12] 导致结果就是你车那还开始循环
[00675.12-00677.32] 你车外的这些影划的都循环进来了
[00677.32-00679.72] 你车内又是分壁的空间
[00679.72-00681.12] 那这个时候就会怎么样
[00681.12-00681.92] 非常危险
[00681.92-00683.32] 好像是一招很影划的众度的
[00683.32-00685.32] 因为车它的不完全人受
[00685.32-00686.12] 就是你开火
[00686.12-00687.52] 就是你应开
[00687.52-00687.92] 对吧
[00687.92-00689.32] 这个车发动了之后
[00689.32-00690.64] 它这种情况之下不像说
[00690.64-00692.04] 你开着走它产生这儿
[00692.04-00693.80] 它的这种情况产生的是一样
[00693.80-00694.40] 你看
[00694.40-00695.96] 所以在这里面这是第一个
[00695.96-00697.92] 第二个就是它还跑过一个点
[00697.92-00700.16] 就是打招火修车
[00700.16-00702.00] 什么叫打着火修车呢
[00702.00-00704.12] 我就写的旁边有写的直白一点
[00705.60-00707.64] 打着火修车
[00707.64-00709.44] 比如说现在我想看一下
[00709.44-00710.72] 这车到底是什么问题
[00710.72-00711.88] 然后把发动机
[00711.88-00713.12] 我把车要是一差
[00713.12-00714.56] 然后车一发动起来发动起来
[00714.56-00716.52] 然后我就转到车底下
[00716.52-00718.52] 那个车不就在那哭通哭通哭通嘛
[00718.52-00720.88] 就是这种就是大家都到打招活那种
[00720.88-00722.28] 那种挣动那种感觉啊
[00722.28-00723.36] 那如果是这种情况之下
[00723.36-00727.16] 你赚到那个车底下去检查这个车发生了什么情况
[00727.16-00729.32] 他也很容易造成什么一样花的种度
[00729.32-00730.28] 还是那句话
[00730.28-00735.44] 就是车他处在Wink出行的就是没有开起来的种状态之下
[00735.44-00737.72] 他就是一直处在这种啟动的状态
[00737.72-00740.28] 但是没有开包括你在懂红栗灯的时候
[00740.28-00741.72] 你看那个车是不是也是在静止
[00741.72-00744.12] 但是你的发动性的车是啟动的
[00744.12-00747.58] 這種情況之下 車的人是要多數於什麼 不完全人是要
[00747.58-00750.00] 他都會產生大量的氧化碳
[00750.00-00752.46] 如果是這種情況之下去輸車的話
[00752.46-00754.92] 也很容易造成氧化很中毒
[00754.92-00756.40] 這兩個點大概注意一下
[00756.40-00757.82] 是在我們的世界單位
[00757.82-00759.82] 其實是有考察過的這種現象
[00759.82-00762.44] 他本質的現象就是大家要理解什麼叫做
[00762.44-00764.70] 不完全人是要的這種情況
[00764.70-00768.06] 所以有關於每期中毒 或者是氧化很中毒的話
[00768.06-00770.84] 大家要把這幾個點去分開
[00770.84-00772.52] 這是我們所說的 每期中毒
[00772.52-00774.06] 一共四个小的细节
[00774.06-00777.00] 这四角细节如果是在国好常时当中
[00777.00-00778.28] 它有可能会考
[00778.28-00779.90] 我们所说的一下关于
[00779.90-00780.60] 相应的
[00780.60-00782.66] 居家安全支持说法正秋错的是
[00782.66-00784.70] 把它变成一个独立的选项
[00784.70-00787.42] 给你把这个选项把这四点都杂入在块
[00787.42-00790.36] 咱们也要能够有分辨的这种能力
[00790.36-00790.72] 好
[00790.72-00792.48] 这是我们所说的有关于
[00792.48-00793.28] 第二个
[00793.28-00795.06] 安全常时当中所提到的
[00795.06-00796.08] 没其中毒
[00796.08-00798.18] 第三个也是非常做的一个点
[00798.18-00799.66] 同时标注一个两星
[00799.66-00800.98] 就是在安全常时当中
[00800.98-00802.62] 怕无论是支于生活
[00802.62-00804.02] 还是支于考试
[00804.02-00805.42] 都是非常赵的一个点
[00805.42-00808.22] 就是如何应对火灾的问题
[00808.22-00810.06] 那在应对火灾当中首先
[00810.06-00810.50] 第一个
[00810.50-00811.22] 咱们先来看一下
[00811.22-00812.06] 书上的点点点点
[00812.06-00813.78] 然后咱们再吃了这个
[00813.78-00815.62] 书的内容往来就脱展
[00815.62-00816.42] 首先第一个呢
[00816.42-00817.34] 火灾的注意事项
[00817.34-00819.86] 就是火灾它的一个书散适许
[00819.86-00822.02] 大注意下火灾在国生靠考试里面
[00822.02-00823.34] 在世界单位考试里面
[00823.34-00825.34] 它都属于高频的考验
[00825.34-00827.82] 就是以这支它可烤的能烤的
[00827.82-00828.82] 已经烤过了
[00828.82-00830.54] 这火灾出现了频率
[00830.54-00831.52] 还是比较高的
[00831.52-00834.30] 所以同们在这个里面要把它做一个重点掌握
[00834.62-00835.72] 那火在当中呢
[00835.72-00838.34] 它说火在发生时同一标证一下圈一
[00839.84-00841.08] 火在发生情况
[00841.08-00843.54] 它的正确的书算数讯是什么
[00843.54-00845.46] 就是你引到人员逃生的数讯
[00845.46-00846.44] 同一标证一下
[00846.44-00848.00] 旋第一个是找火藤
[00848.00-00849.74] 然后是找火藤的上层
[00849.74-00851.54] 然后是找火藤的下层
[00851.54-00853.40] 那找火藤是最紧急的一层
[00853.40-00855.12] 要把找火藏的人也先出算
[00855.12-00856.56] 其字是上头
[00856.56-00858.00] 如果上头没有出算的话
[00858.00-00859.24] 火是往上上上了
[00859.24-00859.68] 对吧
[00859.68-00860.92] 就有情况之下
[00860.92-00862.68] 上头就会更危险
[00862.68-00863.28] 再一个呢
[00863.28-00865.28] 就上层它的头声
[00865.28-00867.52] 相对来说也会更麻烦一些
[00867.52-00868.44] 所以第二个呢
[00868.44-00871.48] 就是把最主要的找火藏毛顿解决之后
[00871.48-00873.04] 就是找火藏上头
[00873.04-00873.80] 然后在我下呢
[00873.80-00876.28] 就是我们所说的找火藏的下层
[00876.28-00877.32] 所以大家注意一下
[00877.32-00879.44] 这是正确的书散数许
[00879.44-00880.40] 但是我们说了
[00880.40-00881.64] 那回来发生之后
[00881.64-00883.40] 要逃离也火灾的现场
[00883.40-00885.48] 那在逃生过程中一个怎么办
[00885.48-00886.36] 我们来看一下
[00886.36-00887.80] 在逃生当中的要求
[00887.80-00888.84] 逃生当中的要求呢
[00888.84-00889.76] 一般情况之下
[00889.76-00890.64] 开门之前
[00890.64-00891.48] 标注意一下
[00891.48-00894.84] 就开门前的要先适它门打手的温度
[00894.84-00896.44] 这是我们不确定
[00896.44-00897.96] 能外面到底是什么情况
[00897.96-00900.92] 所以在这里标先适它门打手的温度
[00900.92-00902.76] 如果温度过温度高的话怎么办呢
[00902.76-00903.64] 就意味着
[00903.64-00906.44] 外面已经相对来说火是比较修梦了
[00906.44-00907.44] 这种情况之下
[00907.44-00909.44] 已经大火风闻已经跑不出去了
[00909.44-00913.08] 这种情况之下怎么办不可以打开房门
[00913.08-00915.16] 也就是说你摸到把手滚汤
[00915.16-00917.84] 就意味着外面火是比是内根的眼中
[00917.84-00921.28] 这种情况之下打住一下就不可打开房门
[00921.28-00923.00] 应该要退手房间
[00923.00-00925.68] 那退手房间就是用失的东西
[00925.68-00926.80] 你把门窗
[00926.80-00929.24] 就是你比如说门把手必要热门
[00929.24-00930.04] 有腌劲来
[00930.04-00932.08] 你要用这种失的东西
[00932.08-00933.44] 把它去封住
[00933.44-00934.92] 所以在这里面打住一下
[00934.92-00936.08] 这是我们所说的
[00936.08-00938.04] 有关于第二个细节
[00938.04-00941.28] 大家注意一下 开门之前 旁日之前是要门巴手的温度
[00941.28-00944.18] 那除此之外呢 就是在高层 标主一下
[00944.18-00946.48] 就是在高层建筑物期火的时候
[00946.48-00949.44] 大家一定要明确 高层建筑物期火的时候
[00949.44-00953.48] 第一个叫物成电梯 叫做不要跳楼
[00953.48-00954.94] 朋友敢说老师
[00954.94-00957.50] 物成电梯这个 我能理解 对吧
[00957.50-00960.56] 就是不要成电梯是因为它如果发生活在的话
[00960.56-00962.88] 电梯运行它很容易断电
[00962.88-00965.12] 一旦断电就会被困导电梯里面
[00965.12-00967.28] 那就是我会有很大的种微显的
[00967.28-00969.96] 不能跳楼的时候是真的会有人跳楼吗
[00969.96-00973.12] 这个其实是在现实生活当中是有的
[00973.12-00975.76] 按摄的时候我们当时在读书的时候
[00975.76-00978.56] 进学校他不会有这种安全教育课
[00978.56-00981.08] 当时就给我们放了一个学校当时
[00981.08-00982.56] 他的一个片段对吧
[00982.56-00984.44] 当时是高层
[00984.44-00987.00] 不能说高层是那个素设的五楼起伙了
[00987.00-00990.00] 当时有一些孩子就没有跑出去
[00990.00-00992.00] 这孩子没跑出去就有汪了
[00992.00-00993.84] 当时他们住在五楼
[00993.84-00994.72] 他一看楼下
[00994.72-00997.92] 大家都知道那个楼下还有很多那种关幕
[00997.92-00999.92] 就是小的学校里简单的那种
[00999.92-01001.36] 就是那个绿化带
[01001.36-01001.68] 对吧
[01001.68-01002.96] 你就是在宿舍下面
[01002.96-01004.44] 其实都能看到绿化带的
[01004.44-01007.40] 然后当时他们就以为那个绿化带能够接住他们
[01007.40-01008.48] 就从五楼跳下去了
[01008.48-01009.40] 结果呢
[01009.40-01011.84] 就发生了很不兴的事情
[01011.84-01013.36] 所以在这里面一定要注意一下
[01013.36-01014.56] 就是不能跳楼
[01014.56-01018.92] 但是如果说家里你被有那种特别接受的那种灯杀成所
[01018.92-01020.40] 就可以顺着这个成所
[01020.40-01021.60] 滑下逃生是可以的
[01021.60-01022.96] 但不能忙碰的跳楼
[01022.96-01024.04] 所以你看到后面说了
[01024.04-01025.52] 但是可利用什么呢
[01025.52-01027.52] 可利用书赛杨海
[01027.52-01029.76] 然后楼梯 然后用生所
[01029.76-01030.60] 还下逃生
[01030.60-01031.72] 这个是可以的
[01031.72-01033.76] 这就是我们所说的第三个
[01033.76-01035.08] 这几个点大家注意一下
[01035.08-01036.84] 考试的时候就容易
[01036.84-01038.72] 考中和行的考察
[01038.72-01040.68] 所以这是第3一个细节
[01040.68-01041.72] 第4个细节呢
[01041.72-01043.36] 就是在逃生过程当中
[01043.36-01044.76] 我们具体应该怎么办
[01045.56-01046.68] 在这他说了
[01046.68-01047.84] 在逃生过程当中
[01047.84-01050.88] 说要穿过充满烟气的楼到逃生
[01050.88-01052.24] 同标助一下第一个
[01052.24-01054.46] 叫尽量降低投赋的高度
[01054.46-01057.16] 用施茂金五柱口铁
[01057.16-01058.24] 同时要求什么呢
[01058.24-01059.24] 你看它后面
[01059.24-01060.96] 我不画的形式你可以不用看
[01060.96-01065.04] 说将比尖靠近强角或者是楼梯角落换气
[01065.04-01067.80] 然后关键此在于谷服彻底
[01067.80-01070.28] 这个地方其实有一个小的细节点
[01070.28-01071.84] 就是为什么在讨生的时候
[01071.84-01074.60] 要尽量拍着或者贴着地面走
[01074.60-01075.68] 原因很简单
[01075.68-01078.32] 就是因为当我们所说的燃烧
[01078.32-01079.84] 或者是火灾发生的时候
[01079.84-01081.64] 它是不是会产生大量的燃烧
[01081.64-01083.38] 如果一带燃烧之后
