[00000.00-00002.54] 那接下來呢 還會面臨另外一個問題 就是
[00002.54-00006.64] 那我們知道了 說勞動創造了價值 對吧
[00006.64-00008.96] 就剛才所說的 具體勞動創造使用價值
[00008.96-00010.68] 創下勞動創造價值
[00489.26-00491.94] 那提到社会标劳动时间还要提到另外一个点
[00491.94-00493.98] 叫做社会劳动生产率
[00493.98-00497.06] 生品的价值量也和社会劳动生产率有关系
[00497.06-00500.26] 但是它和社会劳动生产率之间的变动是什么呢
[00500.26-00502.32] 同一模画一下是繁笔
[00502.32-00503.24] 什么意思呢
[00503.24-00504.48] 几个简单的例子
[00504.48-00505.24] 假设
[00505.76-00508.06] 我现在还是生产率的熟悉笔
[00508.06-00509.60] 咱就是熟悉笔大户
[00509.60-00511.40] 我现在还是生产熟悉笔
[00511.40-00514.00] 那我生產熟悉比我正常情況之下
[00514.72-00516.84] 我在沒有提高毛東小旅之前
[00516.84-00520.96] 我在正常情況之下我一小時能夠生產30隻熟悉比
[00520.96-00524.60] 那同一回看我生產一隻比需要多少時間
[00524.60-00527.32] 我生產一隻比需要2分鐘
[00527.32-00529.16] 60分鐘生產的30個
[00529.16-00531.00] 是不是兩分鐘一隻
[00531.00-00532.92] 按照當時的市場價的話
[00532.92-00535.12] 一分鐘能賣一塊錢
[00535.12-00538.12] 我正常情況之下我生產這隻比
[00538.12-00540.52] 两分钟一直卖多少钱
[00540.52-00541.52] 卖两块
[00541.52-00542.96] 那这是正常情况之下
[00542.96-00545.04] 那现在我如果提高了生产效率呢
[00545.04-00547.64] 我的社会劳动生产率提高了
[00547.64-00549.16] 我就简单写设率了
[00549.16-00551.00] 社会劳动生产率提高了
[00551.00-00553.04] 提多高了还是一个小时
[00553.04-00553.84] 但是呢
[00553.84-00556.64] 就意味着单位时间内我生产的怎么样
[00556.64-00557.48] 更多了
[00557.48-00558.84] 所以在这里面你看
[00558.84-00560.64] 一小时生产60支
[00560.64-00561.92] 我的效率是不是提高了
[00561.92-00563.20] 效率是往上走的
[00563.20-00565.60] 但是你看我一直比花多少时间
[00565.60-00567.32] 我一直比只能花
[00567.32-00580.52] 一分钟,那我一直比花一分钟,按照当时的市场价,之日比只能卖多少钱,只能卖一块钱,所以你看同行们确实,你的效率是上来了,但是你的价格怎么样也下来了。
[00580.52-00596.48] 所以在这里面,一个网上,一个网上,那在这个地方就意味着发生不变,它是反比,那这个达住一下,我这是我们所说的单位商品的价值量,达住一辆明确,我们所说的社会标劳动时间与社会劳动生产股,
[00596.48-00599.36] 他和单位商品价值量有关系
[00599.36-00600.32] 欢迎话说呢
[00600.32-00603.12] 社会调劳动时间和社会劳动生产率
[00603.12-00604.48] 他只影响到什么
[00604.48-00606.32] 他只影响到单价
[00606.32-00608.96] 他只影响到单位商品价值量
[00608.96-00613.12] 而不影响商品在全社会的价值总量
[00613.12-00613.92] 明白了吧
[00613.92-00615.92] 这个点你要现在这儿去搞清楚
[00615.92-00618.16] 你这起码现在这儿过分青三句话
[00618.16-00618.80] 第一句话
[00618.80-00620.80] 社会调劳动时间绝地
[00620.80-00622.08] 单位商品价值量
[00622.08-00622.88] 第二句
[00622.88-00624.48] 他们之间成正比
[00624.48-00627.04] 第3句 和社会勞工生产率超翻臉
[00627.04-00630.88] 这里面我们强调的是单价单位商品的价值
[00630.88-00632.40] 而不是价值总量
[00632.40-00633.12] 明白吧
[00633.12-00634.40] 这个地方大家要注意一下
[00634.40-00636.52] 就是一个商品 它卖多少钱的问题
[00637.04-00639.04] 这是商品的价值量
[00639.04-00641.36] 但是我们竟然提到了单位商品价值料
[00641.36-00642.92] 就会涉及到另外一个问题
[00642.92-00645.08] 就是价值总量的问题
[00645.08-00647.24] 在这个地方同样缺分几个概念
[00647.24-00648.36] 这几个概念是什么呢
[00648.36-00651.16] 第一个我现在上面就要单位商品价值量
[00651.16-00656.52] 就是刚才把他鞋旁边叫单位商品
[00656.52-00659.20] 链链也就是刚才我们所说的
[00659.20-00662.36] 只两个单位这个字可以拿掉也叫做商品链链
[00662.36-00665.20] 商品链它对应的就可以简单去理解
[00665.20-00667.04] 它对应的是商品的单价
[00667.04-00669.84] 就是一只比麦多少钱一步手机麦多少钱
[00669.84-00671.68] 对吧它对应的是商品的单价
[00671.68-00674.16] 这个单价是有社会标准的
[00674.16-00676.92] 还有一个叫做链链
[00676.92-00684.64] 停按到如果特别强调价值总量的时候价值总量是什么?
[00684.64-00694.28] 大家注意一下价值总量,它等于单价称于数量
[00694.28-00699.48] 它等于单价称数量,单价的人来的,单价是有社会标准时间所决定的
[00699.48-00702.96] 明白了吧?所以在这里面先去分出这两个概念
[00702.96-00708.34] 那有了这两个概念之后,咱们就要去进行一个复杂的关系的一个解析和说明
[00708.34-00713.72] 这个地方在一个地区考慮一个体目,那个体目考的相对来说会有一点难度
[00713.72-00717.40] 因为它的体感就是4号,然后这算体案当中有给出了
[00717.40-00722.68] 312圈圈圈圈圈刺的四个色血像,然后让我们就给这个血像排流组合哪些是对的
[00722.68-00730.04] 那像这样一个体,它其实从体感的长度上,从分析的细节的难度上,其实都是偏难的那一道体了
[00730.04-00733.76] 但恰恰就是那道挺了把整个我们所说的商品价值量
[00733.76-00741.10] 它和时间和生产效率之间的关系以及价值总量和时间和生产效率之间的关系分析的很透车
[00741.10-00744.20] 那咱们来看一下他们之间到底成什么样的关系
[00744.20-00747.48] 我们刚才去研究的基本概念其实是有这么几个
[00747.48-00750.00] 一个是我们所说的叫做商品价值量
[00750.00-00753.60] 朋友们注意我只要没有透出墙掉商品价值量
[00754.60-00756.00] 墙掉的就是什么呢?
[00756.00-00759.76] 商品价值量墙掉的就是单类商品价值量的单价
[00759.76-00762.08] 你一定要注意我反覆给你深透了
[00762.08-00762.98] 就是这个电
[00762.98-00766.16] 它有一个就是刚才我们在这里提到的叫做商品的
[00766.16-00767.16] 价值总量
[00767.16-00768.52] 我就不写商品两个字了
[00768.52-00769.88] 这个价值总量
[00773.56-00776.26] 我们来看一下他们之间的变化会是
[00776.26-00777.56] 产生什么样的影响
[00777.56-00779.60] 在整个他们的变化里面呢
[00779.60-00781.68] 其实会出现四个概念
[00781.68-00784.60] 这四个概念分别是社会比较劳动时间
[00787.16-00789.64] 社会比较劳动时间
[00789.64-00795.64] 还有一个呢就是社会劳动生产率
[00795.64-00803.64] 社会劳动时间社会劳动生产率
[00803.64-00807.64] 还有一个呢是个别劳动时间以及个别劳动生产率
[00807.64-00817.64] 各别牢动时间以及各别牢动生产率
[00817.64-00820.04] 那我要判断一下他们之间什么关销
[00820.04-00825.88] 那么首先先来看一下社会比牢动时间和单位商品价值上之间的关系的啥关系
[00825.88-00828.76] 说了,社会比牢动时间越长
[00828.76-00830.76] 单位商品价值量越高
[00830.76-00834.36] 所以他们之间是正比关系,这是我们刚才分析的
[00834.36-00836.36] 同時我們也說了
[00836.36-00837.68] 同時說到另一個點
[00837.68-00840.44] 就是社會勞動生產率越高
[00840.44-00842.80] 單位商品價值量反而越低
[00842.80-00845.16] 倘之間是反比關係
[00845.16-00846.76] 這個是我們所說的
[00846.76-00850.60] 有關商品單價的價值量的決定問題
[00850.60-00852.68] 在這裡面吃和受越勞動時間
[00852.68-00854.08] 受勞動是然而有關係
[00854.08-00855.72] 但是咱們剛才也分析了
[00855.72-00857.20] 它和個別勞動時間
[00857.20-00859.00] 以及個別勞動生產率沒有關係
[00859.00-00860.68] 因為我們剛才說了
[00860.68-00862.44] 如果用個別勞動時間
[00862.44-00864.44] 就好像两单位商品价值量的话
[00864.44-00867.12] 不公平会脱脉社会效率的
[00867.12-00870.96] 所以个别劳动时间大助一下不影响
[00870.96-00874.44] 我们所说的商品价值量就是影响不到
[00874.44-00876.44] 我们所说的产品的单价
[00876.44-00880.04] 个别劳动生产率也影响不到产品的单价
[00880.04-00882.40] 有时候换句话说的你这个产品到底
[00882.40-00885.24] 单价并多少商品价值量到底几合
[00885.24-00888.12] 它是和社会平均的劳动成绿关
[00888.12-00892.68] 和某一个场上某一个公司某一个企业
[00892.68-00894.20] 没有似好的关系
[00894.20-00894.92] 明白了吧
[00894.92-00896.52] 所以在这里面同时不要说了
[00896.52-00897.40] 说了,老师
[00897.40-00898.36] 那你这个时候
[00898.36-00899.60] 你就考虑的很复杂
[00899.60-00900.28] 你说老师呢
[00900.28-00901.68] 这个社会劳动时间
[00901.68-00903.60] 他说是合所的行业都有关呢
[00903.60-00905.20] 是是合所的行业都有关
[00905.20-00906.28] 但是我们在考虑
[00906.28-00907.52] 社会劳动时间的时候
[00907.52-00908.52] 我们就默认为
[00908.52-00910.20] 这种我们所说的这种
[00910.20-00911.12] 个别劳动时间
[00911.12-00912.28] 就不考虑在
[00912.28-00915.12] 它对我们所说的整个这个影响了
[00915.12-00917.64] 也就是我们一般请一下强调的是
[00917.64-00920.46] 如果在这里 个别劳动时间
[00920.46-00923.02] 他影响不到商品价值凉
[00923.02-00925.32] 除非他在提案当中特别给你说
[00925.32-00929.16] 说当某一个行业当中的所有企业的
[00929.16-00930.70] 个别劳动时间全都提高了
[00930.70-00934.16] 你看某行业当中的所有企业的
[00934.16-00935.56] 个别劳动时间提高了
[00935.56-00936.58] 才算是什么
[00936.58-00939.66] 才算是社会比较劳动时间提升了
[00939.66-00941.20] 他如果没有提到说
[00941.20-00943.84] 这个行业当中的所有企业的个别劳动时间
[00943.84-00948.64] 我们就任莫认为个别劳动时间影响不到商品价值量
[00948.64-00950.64] 明白了 比如说一个行业
[00950.64-00952.84] 一个行业当中有20家企业
[00954.44-00957.24] 这种情况之下 其中只有1家企业
[00959.04-00960.84] 他的个别劳动时间提升了
[00960.84-00962.44] 比如说他的劳动效率
[00962.44-00963.84] 怎么呢 各劳时间
[00964.24-00966.04] 个别劳动时间提高了
[00966.04-00968.04] 他这个个别劳动时间提高了
[00968.04-00969.64] 会不会影响到整个行业
[00969.64-00970.64] 不会影响到
[00970.64-00973.44] 在提干当中 我们莫认为他不会影响到
[00973.44-00977.78] 所以在这里面他的时间的变动对商品的单价不会产生影响
[00977.78-00983.28] 除非他说说这一个行业当中的20家所有企业
[00983.28-00987.08] 他的个比的劳动时间都变了
[00987.08-00989.44] 那这种情况之下才莫认为是什么
[00989.44-00992.08] 才莫认为是社会比较劳动时间变了呀
[00992.08-00993.84] 因为平均的所有时间都变了
[00993.84-00997.12] 才会影响到商品单价
[00997.12-00997.76] 明白了了
[00997.76-00999.52] 所以在这里面一定要去分啊
[00999.52-01001.68] 但所以我们莫认的前条件就是
[01001.68-01003.08] 各别劳动时间
[01003.08-01005.52] 他对于商品单价不产生影响
[01005.52-01010.96] 除非是除非是这个行业当中的所有企业都变了才行
[01010.96-01012.80] 但是一般喜欢这些看日子这么烤
[01012.80-01014.80] 提到当中会给你说得很明确的
[01014.80-01016.80] 这是我们所说的单价问题
[01016.80-01018.68] 到这先把单价搞定
[01018.68-01019.84] 那搞定单价之后
[01019.84-01020.96] 我们还要搞定另外一个
[01020.96-01023.32] 就是我们所说的叫做价值总量
[01023.32-01024.16] 价值总量
[01024.16-01027.88] 我们刚才说的是单价成业数量
[01027.88-01029.40] 在这里面大株下
[01029.40-01031.16] 一旦坦到价值总量的时候
[01031.16-01033.76] 在这里面就默认为单价是已经怎么样
[01033.76-01035.20] 是已经确定的了
[01035.20-01036.52] 那如果单价已经确定
[01036.52-01037.84] 我们就考虑什么就可以了
[01037.84-01039.20] 就考虑数量
[01039.20-01040.20] 那我们来看一下
[01040.20-01041.84] 如果单价已经确定
[01041.84-01043.48] 那社会比较劳动时间
[01043.48-01045.24] 和社会劳动收产率的变动
[01045.24-01046.72] 对市价值总量
[01046.72-01048.72] 就默认为不产生印象了
[01048.72-01049.76] 因为这种情况之下
[01049.76-01050.88] 单价已经确定了
[01050.88-01055.12] 就认为比较劳动时间和社会劳动生产率不变了
[01055.12-01055.84] 明白了吧
[01055.84-01057.44] 所以在这里面一定要知道
[01057.44-01058.96] 那我们价值总量等
[01058.96-01060.48] 单价称数量单价不变
[01060.48-01064.28] 那數量和成功關 大致一下 數量就和個別企業的
[01064.28-01069.56] 勞動時間 以及個別企業的勞動生產效率有關了
[01069.56-01072.82] 那你看 如果說對於一個企業來說
[01072.82-01076.24] 它的這個單價 如果是固定不變的 二十塊錢的話
[01076.24-01081.08] 那這個時候它的價值總量 或者是社會生產該商品的價值總量
[01081.08-01083.56] 就隨著它數量的點化而變化 對吧
[01083.56-01085.32] 那它的數量怎麼變呢
[01085.32-01088.68] 如果數量越多 價值總量就會怎麼辦 越高
[01088.68-01090.48] 在这里面我们来看一下
[01090.48-01094.48] 数量它应该和各别牢东时间成正比还是反比
[01095.78-01096.72] 成反比
[01096.72-01098.66] 一个东西你生产的时间越长
[01098.66-01100.60] 你生产的个数就越少
[01100.60-01104.28] 所以数量它和各别牢东时间成反比
[01104.28-01108.00] 这种情况之下数量和各别牢东生产率成正比
[01108.00-01110.12] 就是各别牢东生产率越高
[01110.12-01111.08] 数量越高
[01111.08-01112.24] 数量越多的话
[01112.24-01114.16] 那价值总量就会越大
[01114.16-01115.32] 所以在这里面
[01115.32-01117.60] 咱们就说一下当年考虑到底说的
[01117.60-01118.10] 是什么?
[01118.10-01121.56] 他说在某一个汽车行业当中
[01121.56-01123.20] 某一家汽车
[01123.20-01124.92] 我们所说的企业
[01124.92-01127.60] 他发生了一些生产商的相当的变动
[01127.60-01129.76] 把那个企业的大概描述一下
[01129.76-01130.68] 他是怎么变的
[01130.68-01132.44] 然后在这里面他为什么会发生变动
[01132.44-01134.84] 然后企业大夹差不多就三四行
[01134.84-01136.08] 说完了之后他说
[01136.08-01137.60] 那以下关于
[01137.60-01139.24] 该汽车行业
[01139.24-01140.40] 他的生产效
[01140.40-01141.80] 该汽车产业
[01141.80-01143.36] 他的生产效率变动
[01143.36-01146.24] 可能会引起的影响有那些
[01146.24-01147.64] 那你看他描述了那么多
[01147.64-01149.64] 他不非就是想要你去订阅他
[01149.64-01152.12] 这一家企业发生变动
[01152.12-01153.48] 可能会产生什么影响
[01153.48-01155.84] 如果只是某一家企业产生影响的话
[01155.84-01157.24] 某一家企业
[01157.24-01159.16] 他的生产情况发生变动的话
[01159.16-01160.24] 单价变变变不变
[01160.24-01160.96] 不变
[01160.96-01162.80] 因为这有时候单价是有社会变得了
[01162.80-01164.24] 东时间所决定的
[01164.24-01165.48] 那这种情况之下
[01165.48-01166.56] 我们就知道了
[01166.56-01167.68] 他不会影响单价
[01167.68-01170.44] 所以圈历和圈历当实际的对比选项吗
[01170.44-01172.64] 对单价升高单价不变
[01172.64-01173.56] 那很明显
[01173.56-01174.76] 一个企业的行为
[01174.76-01176.24] 没有办法代表整个好业
[01176.24-01177.52] 那他就因为人单价不便
[01177.52-01179.12] 所以就排除掉了一个对吧
[01179.12-01180.56] 那在第二个考的什么呢
[01180.56-01181.64] 第二考就是
[01181.64-01182.96] 他说如果这个
[01182.96-01185.40] 这个企业的生产发生变动之后
[01185.40-01187.80] 他对于社会商品
[01187.80-01189.88] 价值总量和产生什么样的影响
[01189.88-01191.48] 那你看他提到价值总量的时候
[01191.48-01192.96] 我们就问人来是单价不便
[01192.96-01194.12] 你就看数量吧
[01194.12-01195.84] 你这个时候你就要去看这个企业
[01195.84-01197.56] 他是效率提高了
[01197.56-01199.00] 还是效率降低了的问题
[01199.00-01200.80] 所以在这里面大家注意
[01200.80-01202.40] 我们给大家去讲这个点
[01202.40-01204.68] 就需要大家能够去区份两个概念
[01204.68-01233.56] 一个是单位商品价值量,我们也叫做商品价值量,一个叫做价值总量,分别去搞清楚它用谁用官,这样的话,你做提的时候相对来说就会不混了,不然你就总混,一做提你就说老师,那你看个,较老东时间和社会老东生产率,他俩之间还是从反比呢,那是不是就意味着他不变呢,你不需要考虑那么复杂,因为我们在考虑他是否变的时候,只恩住一个变量,莫认其他变量不变,就OK了啊,所以这个点非常重要,大家一定要注意啊,回去的时候,
