[00000.00-00002.00] 好的 那我们了解了
[00002.00-00003.00] 自然人的名式
[00188.32-00190.88] 所以我们说了父母作为第一设备的兼互人
[00190.88-00191.72] 它就有什么性能
[00191.72-00192.76] 我们标注一下
[00192.76-00198.56] 父母作为第一设备的结婚人,他具有法定性,这是法律强制规定的。
[00198.56-00204.94] 也就是说,如果我们再去进行协议监护或者是我们所说的什么其他的结婚之类的。
[00204.94-00213.50] 父母能不能说,我跟别人签个协议,签了之后说,把小孩的结婚全专给他,然后让自己没有相当的结婚意识,那是不行的。
[00213.50-00222.00] 所以在这里大家注意一下,这是第一个,我们说了,父母结婚具有法定性,同时只要父母在其他人都不行,按钥区的。
[00222.00-00223.28] 所以它具有什么性
[00223.28-00225.84] 手要性和当然性
[00225.84-00229.16] 所以在这里大家注意一下这是第一个我们所说的
[00229.16-00233.00] 父母作为第一兼互设备小达去注意的点这是第一个点
[00233.00-00235.56] 那第二个点就是在这个地方我们要知道
[00235.56-00241.20] 我们经常会在电视剧当中或者日常生活当中总能看到对吧有夫妻离婚的这种情况
[00241.20-00243.76] 那如果夫妻离婚之后这个小孩
[00243.76-00246.56] 它的这个兼互统在旁边标注意下
[00246.56-00251.08] 这个对于孩子的这个兼互不因父母的分居或离婚而消除
[00251.08-00254.68] 关下 写在旁边对于孩子的结婚
[00254.68-00259.58] 就不因父母的分居或者是离婚
[00261.88-00262.88] 而消除
[00267.78-00269.68] 把这个写在旁边
[00269.68-00274.28] 就是比如说对于这个小孩的腐养教育和保护的这个遇物
[00274.28-00278.28] 它父母离婚了 双方当时人都要承担这个责任
[00278.28-00280.38] 所以在这里没有两个靠茶店
[00280.38-00283.38] 而第二考察点经常会考察一个案例
[00283.38-00284.86] 就是给你具体的案例说
[00284.86-00286.26] 小业和小病 对吧
[00286.26-00287.86] 然后离婚了达成协议
[00287.86-00289.02] 但是他们两个呢
[00289.02-00291.06] 有一个小孩这个小孩呢
[00291.06-00292.26] 就有女方来浮养
[00292.26-00293.30] 那在这里面
[00293.30-00295.30] 然后他就会在这个合同当中
[00295.30-00296.30] 有一定有声离婚了吗
[00296.30-00296.70] 对吧
[00296.70-00298.26] 咱好几好塞一边两块卖
[00298.26-00299.42] 但是在离婚当中
[00299.42-00300.86] 双方签了这么一个
[00300.86-00302.26] 是有什么是有呢
[00302.26-00305.58] 说如果离婚的双方任何一方
[00305.58-00306.42] 再婚的话
[00306.42-00308.86] 自由另一方来浮养这个小孩
[00308.86-00310.50] 也就是波躲了我们所说的什么
[00310.50-00311.46] 一方都浮要起
[00311.46-00314.26] 重情话下和里门不合理的
[00314.26-00315.66] 所以在这里我们说了
[00315.66-00317.42] 这对于未成年人的兼互
[00318.42-00321.98] 父母的兼互不因他的分剧或者是离婚而小厨
[00321.98-00322.86] 所以大家注意一下
[00322.86-00324.86] 这是第一身位我们所说的父母
[00324.86-00326.66] 如果在法庭兼互当中
[00326.66-00328.46] 这个第一身位的父母不在了
[00328.46-00329.62] 这种情况之下
[00329.62-00331.78] 那他的第二身位同们注意一下
[00331.78-00335.70] 那他的第二身位就是我们所说的祖父母或者是外祖父母
[00335.70-00339.24] 而第三順位的話就是從成年的兄弟姐妹
[00339.24-00341.40] 如果連成年的兄弟姐妹都沒有的話
[00341.40-00344.52] 這裡面就要有相當的組織來間間戶了
[00344.52-00345.74] 所以大家這裡給到了說
[00345.74-00350.50] 第四順位是其他願意擔負間戶人的個人或者是組織
[00350.50-00352.78] 在這裡面有一個細節的點
[00352.78-00353.78] 大家注意一下
[00353.78-00359.74] 在第四順位當中有一個叫做其他願意擔任間戶人的個人或者是組織
[00359.74-00365.10] 但是其他願意擔任間戶人的個人或者組織去進行間戶的話要經同意
[00365.10-00368.14] 这里面会有几个小的细节大助一下
[00368.14-00372.90] 我们所说的要经同意比如说
[00372.90-00374.54] 现在这个小朋友 对吧
[00374.54-00375.70] 他是一个故儿
[00375.70-00376.94] 只是八万万也没了
[00376.94-00378.18] 祖父们外祖父们没了
[00378.18-00379.46] 也没有成年的凶剑
[00379.46-00381.42] 这里面对于小朋友叫实行
[00381.42-00382.66] 相当的什么监户
[00382.66-00384.58] 在这个监户当中就要有其他愿意
[00384.58-00386.66] 担任监户人的个人或组织
[00386.66-00388.18] 进行监户
[00388.18-00389.54] 你说老是其他愿意
[00389.54-00392.26] 担任监户人的个人和组织监户是什么呢
[00392.26-00393.98] 就是在越订阅的之外的
[00393.98-00394.82] 比如说
[00394.82-00397.06] 他除了在这个地方父母
[00397.06-00398.02] 他的父亲
[00398.02-00399.38] 对吧是个也有兄弟姐妹
[00399.38-00400.78] 比如说他的叔叔
[00400.78-00402.02] 比如说他的大爷
[00402.02-00403.46] 那这个叔叔和大爷
[00403.46-00405.46] 也愿意带任这个孩子的兼互人
[00405.46-00408.10] 那在这种情况之下来看一下
[00408.10-00410.30] 其他愿意带任兼互人的个人
[00410.30-00410.90] 他不能说
[00410.90-00411.74] 我想来就来
[00411.74-00413.58] 因为他不是法律所回订的
[00413.58-00416.46] 必须要经过相应的主持省差
[00416.46-00417.86] 就是他再去查译查
[00417.86-00418.42] 这些人
[00418.42-00420.86] 他是不是真的对这个小孩的成长有意处
[00420.86-00422.98] 他到底是真的想照顾这个孩子
[00422.98-00425.50] 还途这个孩子的钱等等这些问题
[00425.50-00425.90] 对吧
[00425.90-00427.62] 所以他必须要交同一
[00427.62-00428.66] 而这个经同意
[00428.66-00430.18] 他有一些審查主体
[00430.18-00431.34] 同意写的旁边
[00431.34-00432.78] 那经谁都同意呢
[00433.82-00434.58] 标出一下
[00434.58-00436.02] 就是经我们所说的
[00436.02-00436.94] 村委会
[00436.94-00437.62] 据委会
[00437.62-00439.86] 或者是民政部门同意
[00442.02-00442.94] 村委会
[00443.82-00444.74] 据委会
[00446.50-00447.82] 还有我们所说的
[00447.82-00449.02] 民政部门
[00450.94-00452.42] 经他们几个同意
[00452.42-00455.40] 所以在这里面大家注意一下这是第四分位
[00455.40-00457.80] 所以在整个考察当中大家注意一下
[00457.80-00460.54] 这里面的考察就考察两个大的层次
[00460.54-00465.08] 这两个大的层次就是第1个一定要记得它的一个肩部的顺位的问题
[00465.08-00466.86] 第1顺位是谁
[00466.86-00468.14] 第2顺位是谁
[00468.14-00471.80] 所以在这里这是第1个考察顺位的顺序
[00471.80-00475.24] 第2个就是在这里放除了考察顺位的顺序之外
[00475.24-00477.48] 同时还会考察两个细节
[00477.48-00482.02] 这两个细节就是在于第1个我们刚才说了父母作为第一节户人
[00482.02-00483.56] 他在这里面所给到的
[00483.56-00486.22] 他就有法定性不一定会分剧而消除
[00486.22-00488.62] 第二个就是在第四孙里当中
[00488.62-00490.92] 其他愿意担任兼互人的个人和组织
[00490.92-00492.12] 不是你想要
[00492.12-00493.32] 我就能够让你担任的
[00493.32-00495.00] 我要合杀各方面的问题
[00495.00-00497.40] 从而有利于微臭年人的身心健康
[00497.40-00498.76] 所以在这里他要怎么样
[00498.76-00499.94] 他在这里面给到的
[00499.94-00501.56] 他必须经过审查同意
[00501.56-00503.24] 那审查的主体是谁
[00503.24-00504.50] 在这里面就包括
[00504.50-00506.74] 错误会具委会和民政部门
[00506.74-00510.60] 那这是我们所说的对于微臭年人的法定兼互
[00510.60-00510.94] 对吧
[00510.94-00511.98] 这是第一个点
[00511.98-00514.28] 除了对位成年人就反对结婚之外
[00514.28-00517.86] 第二个对于相应的一些承念人有法定结婚
[00517.86-00519.28] 这承念人包括什么呢
[00519.28-00522.10] 第一个就是无名是行为能力人的承念人
[00522.10-00524.48] 这是存脆的那种精神病患者
[00524.48-00525.62] 就是他是全松的
[00525.62-00528.54] 他完全算是了对外界的这种别人能力
[00528.54-00531.18] 这种情况之下我们在安力当中
[00531.18-00532.98] 或者在视频当中
[00532.98-00534.94] 或者在大家看到的故事当中
[00534.94-00536.18] 经常有个看到
[00536.18-00539.10] 像这种无名是行为能力人的这种承念人
[00539.10-00540.66] 他的第一设为是什么呢
[00540.66-00542.20] 或者是现就明是行为能力
[00542.20-00543.32] 在这里标助一下
[00543.32-00546.22] 它的第一设备是它的配用
[00546.22-00547.98] 因为和它生活最近的
[00547.98-00551.02] 然后距离它生活照顾它生活方方的面的
[00551.02-00552.82] 最主要的就是它的配用
[00552.82-00555.70] 所以在这里标助一下它的第一设备是配用
[00555.70-00558.02] 和我们刚才所周的卫程年人分开
[00558.02-00559.86] 第二设备的就是我们所说的
[00559.86-00564.14] 它的父母子女第三设备的就是其他进行数
[00564.14-00567.50] 这个其他进行数在这里面简单看一下就行了
[00567.50-00568.82] 其他进行数是谁呢
[00568.82-00573.16] 就是我们所说的跑去配有父母子女的其他的那些
[00573.16-00575.44] 咱们在前面讲其他精心数的时候
[00575.44-00576.60] 咱们是不是给大家讲过
[00576.60-00577.60] 咱们在哪里讲过
[00577.60-00579.48] 在死者人国利益保护的时候
[00579.48-00582.22] 我说了以死者为中心上下左右
[00582.22-00584.22] 对吧然后上两代下两代
[00584.22-00586.36] 那这里面的其他精心数就是什么呢
[00586.36-00588.80] 就是也这个我们所说的
[00588.80-00591.14] 成月人为中心它的上下左右
[00591.14-00592.54] 它的上下左右都有谁呢
[00592.54-00595.90] 有配偶有我们所说的父母和子女
[00595.90-00598.70] 除了這些之外是否還有重點的鬆解
[00598.70-00601.70] 還有祖父、外祖父、孫子女和外孫子女
[00601.70-00602.70] 在這裡面
[00602.70-00604.62] 其他進去所就是跑去了
[00604.62-00606.54] 第一和第二孫位以外的其他人
[00606.54-00608.10] 所以在這裡帶注意下
[00608.10-00610.10] 其他進去所指的都誰
[00610.10-00611.50] 一般情況之下
[00612.10-00612.90] 大注意
[00612.90-00615.62] 無論是我們所說的成年人的這種監獲
[00615.62-00617.26] 還是未成年人的這種監獲
[00617.26-00618.22] 他在考試的時候
[00618.22-00620.90] 他經常就會考發生了一個什麼事
[00620.90-00622.58] 一下哪些人就有監獲權
[00622.58-00624.38] 而在这里面承认人的结婚
[00624.38-00625.38] 大家一定要注意一下
[00625.38-00626.98] 第一第二稍微的结婚人
[00626.98-00629.38] 他和未成年有一定的差距
[00629.38-00630.58] 所以这是我们所说的
[00630.58-00632.78] 第一个叫做法定结婚
[00632.78-00633.18] 反正讲
[00633.18-00634.38] 我们就是法律规定的
[00634.38-00635.58] 你就必须要这么办
[00635.58-00638.18] 那这是我们所说的这个法定结婚
[00638.18-00640.38] 除了法定结婚之外的大家注意一下
[00640.38-00642.38] 我们来看对法定结婚
[00642.38-00643.98] 或者是这种结婚制度
[00643.98-00645.78] 他有一些其他的结婚形势
[00645.78-00647.58] 第二个他就给到了叫做
[00647.58-00649.38] 移主指定结婚
[00650.38-00652.38] 叫做移主指定结婚
[00652.38-00654.78] 一族指定監護是誰來看一下
[00654.78-00656.62] 說被監護人的父母
[00656.62-00660.78] 但是監護人的可以通過一族指定監護人
[00660.78-00663.46] 這裡面在考試當中有這麼幾個考點
[00663.46-00664.86] 大主義下第一個
[00664.86-00668.10] 就是一族指定監護只有誰能來指定
[00668.10-00668.90] 打住一下
[00668.90-00672.50] 標準圈一一族指定監護他的主體
[00672.50-00673.82] 只能是他的誰
[00673.82-00676.02] 只能是他的父母
[00676.02-00677.98] 所以在這裡面打住一下
[00677.98-00679.62] 就是通過丁利一族指定
[00679.62-00680.62] 只能是他的父母
[00680.62-00681.86] 所以在這裡主體
[00682.38-00683.42] 一定要注意
[00683.42-00685.12] 正情话之下能不能说
[00685.12-00686.86] 他的爷爷奶奶老老老爷
[00686.86-00687.86] 这种情话之下
[00687.86-00689.10] 觉得自己年税大了
[00689.10-00691.22] 然后又特别疼爱自己的小孙子
[00691.22-00691.58] 对吧
[00691.58-00693.30] 或者是自己的孙女等等
[00693.30-00695.26] 然后他就觉得他们走了之后
[00695.26-00696.00] 就害怕
[00696.00-00697.66] 爸爸妈妈不关心这个孩子
[00697.66-00698.26] 于是呢
[00698.26-00701.42] 能不能说爷爷奶奶在一主当中
[00701.42-00702.54] 去指定监控说
[00702.54-00703.94] 说当我走了之后
[00703.94-00706.42] 这个孩子就有我的儿子来服养
[00706.42-00707.42] 不交给他的儿子
[00707.42-00708.98] 也就是孩子的爸爸妈妈呢
[00708.98-00709.74] 不行的
[00709.74-00710.78] 大注意下
[00710.78-00714.82] 因為在這裡一族指定兼負的主體只能是孩子的什麼
[00714.82-00717.14] 只能是孩子的父母
[00717.14-00718.90] 只能是被兼負人的父母
[00718.90-00721.38] 當然了他這種也不單單只是說
[00721.38-00725.50] 包括孩子當然也包括無限之民事行為能令人當中的成立人
[00725.50-00728.58] 但是考試當中最常見的就是孩子
[00728.58-00730.26] 所以我們舉例子就舉孩子了
[00730.26-00730.86] 好吧
[00730.86-00732.42] 所以在這裡大家注意一下第一個
[00732.42-00733.58] 就是他的主體
[00733.58-00735.42] 你明確就是只有父母
[00735.42-00738.54] 可以一族指定兼負其他人都不行
[00738.54-00740.06] 所以這裡出現怕惡體
[00740.06-00740.98] 或者是按例
[00740.98-00743.94] 给你说也买老老爷于主只能结货
[00743.94-00745.38] 那这种情况下指定不行的
[00745.38-00747.62] 所以它的主体只能是父母
[00747.62-00748.46] 所以标注一下
[00748.46-00749.22] 穿衣
[00749.22-00750.42] 这是我们需要掌握的
[00750.42-00751.82] 那第二个就是在这里
[00751.82-00752.66] 大家要明确
[00752.66-00754.26] 那作为于主只能结货
[00754.26-00755.86] 它其实在本身上是什么
[00755.86-00761.70] 它的本身就是父母去世前
[00762.02-00767.06] 就是父母去世前通过一主
[00770.06-00773.06] 给孩子找见护人吗
[00775.56-00777.46] 他是不是类似于这种情况
[00777.46-00779.94] 通过一族给孩子找见护人的话
[00779.94-00781.06] 那同们就要知道
[00781.06-00783.46] 那父母通过一族给孩子
[00783.46-00784.66] 见护人的过程当中
[00784.66-00786.26] 他一定是优先考量了
[00786.26-00788.26] 或者他很良了在生活当中
[00788.26-00790.06] 有哪些人对这个小孩好
[00790.06-00790.66] 对不对
[00790.66-00792.06] 所以在这种情况之下
[00792.06-00792.86] 大家注意
[00792.86-00794.66] 如果是通过一族见护的
[00794.66-00795.86] 在法律上要怎么办呢
[00795.86-00798.46] 要尊重父母他对于一族
[00798.46-00800.82] 接下來安排的這樣一個意思表示
[00800.82-00803.80] 所以一族只能監護同樣在旁邊
[00803.80-00804.82] 標準一下
[00804.82-00809.00] 一族只能監護他只能監護人具有優先地位
[00810.80-00821.00] 現在旁邊就只監護人具有優先地位
[00823.54-00825.06] 同樣在旁邊標準一下
[00825.06-00826.66] 他就有優先地位
[00826.66-00828.36] 这个優先地位是啥意思呢
[00828.36-00829.18] 同时来看一下
[00829.18-00831.10] 咱们刚才在法庭兼互当中说了
[00831.10-00832.26] 第1次是父母
[00832.26-00834.04] 但是在一朵级兵兼互就是
[00834.04-00835.94] 父母要离开忍失了
[00835.94-00838.70] 他对于这个孩子现在怎么样不太放心
[00838.70-00840.90] 所以如果按照正常兼互的情况之下
[00840.90-00843.90] 是父母离开了之后应该是由这个小孩的
[00843.90-00846.98] 也奶奶和老老老也来答任他的兼互人
[00846.98-00847.48] 对吧
[00847.48-00849.06] 但是在这个过程当中
[00849.06-00850.22] 我们刚才所说的
[00850.22-00852.38] 一朵级兼互他的作用是什么呢
[00852.38-00855.18] 是打破了法庭兼互的这样的一个社区
[00855.18-00858.70] 正常情况下是父母祖父母成年兄姐来单任
[00858.70-00861.18] 如果一种指定间会跳脱这个顺序
[00861.18-00861.74] 什么呢?
[00861.74-00865.70] 这父母区日之前通过一组给孩子找见后人的手就说了
[00865.70-00868.02] 让这个孩子由谁来照顾呢?
[00868.02-00869.10] 由谁来看管呢?
[00869.10-00871.74] 由这个孩子的成年的哥哥
[00871.74-00873.58] 或者这个孩子成年的什么?
[00873.58-00874.26] 解解
[00874.26-00875.86] 这种情况之下你看
[00875.86-00876.98] 是不是就出现了
[00876.98-00879.82] 我们所说的监户顺位上的一个冲突
[00879.82-00882.38] 正常情况之下监户顺位上的冲突
[00882.38-00883.34] 我们来看一下
[00883.34-00884.06] 比如说
[00884.06-00885.74] 我把它现在按立旁边
[00885.74-00887.46] 比如说父母小业
[00887.46-00888.86] 比如说小业的父母
[00890.06-00890.94] 小业的父母
[00890.94-00891.74] 去世了
[00891.74-00893.14] 小业的父母去世了之后
[00893.14-00895.46] 如果按照法定兼互来看的话
[00895.46-00896.22] 我们来看
[00896.22-00897.98] 法定兼互小业父母去世了之后
[00897.98-00900.66] 接下来他的兼互人按照设美来的话
[00900.66-00903.90] 应该是祖父母或者是外祖父母
[00903.90-00905.50] 然后是成年的什么
[00905.50-00906.34] 凶剑
[00906.34-00908.38] 这是正常没有一族整理兼互
[00908.38-00910.50] 但是如果父母去世前通过
[00910.50-00912.62] 一族直接兼互人了
[00912.62-00913.90] 通过一族直接兼互
[00913.90-00915.12] 给谁了呢说
[00915.12-00919.52] 我们就让他的哥哥也知道他的胸掌来照顾他
[00919.52-00920.70] 这种情况之下
[00920.70-00921.84] 什么叫做優先地位
[00921.84-00924.40] 就是可以突破现有的结婚顺位
[00924.40-00926.82] 不有他的法定监户当中的祖父
[00926.82-00927.78] 外祖父来监户
[00927.78-00928.82] 而是由他的神
[00928.82-00931.30] 而是由他的成年胸掌来监户
[00931.30-00932.26] 明白这个意思吧
[00932.26-00933.38] 所以在这里大家注意
[00933.38-00935.50] 他所说的一族指定监户
[00935.50-00937.70] 在这里考试的时候考察两个点
[00937.70-00939.82] 第一个就是大家知道他的主体
[00939.82-00941.18] 考实际形容的题目
[00941.18-00942.30] 只能是他的父母
[00942.30-00943.30] 别人不行
[00943.30-00944.90] 第二一个就是在这里面
[00944.90-00945.94] 我们要明确
[00945.94-00947.34] 这个移逐只能先户
[00947.34-00949.06] 它具有我们所说的
[00949.06-00949.98] 优先地位
[00949.98-00953.30] 它可以突破原本的法定兼复的社区
[00953.30-00956.26] 热老师妹想要突破原本的法定兼复的社区
[00956.26-00958.38] 那给它的组父母外组父母不行吗
[00958.38-00959.18] 大家注意
[00959.18-00960.82] 这是在现生活当中
[00960.82-00963.26] 对于孩子兼复的这个问题
[00963.26-00963.82] 父母
[00963.82-00965.38] 它其实处于全面的考量
[00965.38-00966.86] 就是就要考虑到
[00966.86-00968.50] 孩子未来的成长等等
[00968.50-00969.42] 就是这一系列的
[00969.42-00970.46] 朋友在类似于什么的
[00970.46-00971.74] 大家看过那个真还赚
[00971.74-00975.14] 对吧 那看那个真环专就是真环出工之前
[00975.14-00978.78] 对吧 虽然他没有其实真环出工之前再给他的那个
[00978.78-00983.22] 就是第一次出工嘛 就是去出家了当你估了他们生下了罗玉
[00983.22-00985.34] 那你看他在生下罗玉之后
[00985.34-00987.02] 到底把罗玉给谁带
[00987.02-00989.78] 他是不是飞了很多的这种心思
[00989.78-00991.70] 就要考虑到罗玉未来的成长
[00991.70-00993.94] 要考虑到罗玉以后在公中的生活
[00993.94-00996.06] 要找一个对罗玉能够特别好
[00996.06-00997.38] 还能保罗玉平安的
[00997.38-00999.06] 他是不是要综合考量各种元素
[00999.06-01000.74] 最后指定了什么 警飞
[01000.74-01004.58] 那現實是活動中也是父母對於子女之愛身企
[01004.58-01006.74] 所以當他離世之後呢
[01006.74-01008.90] 他就想找一個能夠方方面面
[01008.90-01010.74] 都滿足他的條件的這個人
[01010.74-01014.30] 所以你看他通過一族指定監護給孩子找的這個
[01014.30-01017.06] 監護人一定是他負近西斯靠兩的
[01017.06-01019.70] 那接下來是最有綠綠的一成年成長的
[01019.70-01023.10] 那法律就優先尊重父母的一族監護
[01023.10-01025.22] 一族指定監護的一員
[01025.22-01026.82] 所以在這
[01026.82-01028.74] 大家明確這是第二個叫做
[01028.74-01030.58] 移逐指定兼户
[01030.58-01031.94] 所以这是第二内容
[01031.94-01032.42] 那好
[01032.42-01034.06] 那了解了移逐指定兼户之后
[01034.06-01035.38] 我们再来开一下第三个
[01035.38-01036.74] 第三个的最终做
[01036.74-01038.18] 协议兼户
[01038.18-01039.86] 协议兼户他只得是啥呢
[01039.86-01040.90] 他说是
[01040.90-01043.06] 依法具有兼户人
[01043.06-01045.30] 兼户资格的人之间
[01045.30-01046.10] 把这句话
[01046.10-01049.70] 换下就是具有兼户资格的人之间
[01049.70-01051.30] 他们之间发生的
[01051.30-01052.66] 我们所说的一种情况
[01052.66-01054.90] 说如果是出现了某种特殊的情况
[01054.90-01057.86] 这些人之间的可以协议却定兼户人
[01057.86-01061.54] 協議區內間貨人應當中被監護人的真實意願
[01061.54-01064.98] 你說老師這怎麼還會出現他們之間要協議間貨呢
[01064.98-01068.02] 舉個簡單的例子還是剛才的這個小A
[01068.02-01070.98] 小A呢他的父母確實之後
[01070.98-01073.70] 小A的父母確實
[01073.70-01076.02] 小A的父母確實之後大家注意
[01076.02-01078.34] 平時小A的父母生活特別的地掉
[01078.34-01080.02] 大家也覺得這個小A呢
[01080.02-01081.46] 它沒有什麼特別的
[01081.46-01083.38] 到後來等他父母確實之後
[01083.38-01086.26] 這個小A的前進朋友們才意識到
[01086.26-01089.60] 它的父母趨勢給小爺留下了啥呢?萬貫架財
[01090.88-01092.66] 留下了萬貫架財
[01092.92-01093.94] 這是留下了什麼
[01094.20-01095.74] 四合月二大平草惡?
[01095.74-01096.16] 對吧?
[01096.16-01097.52] 然後萬母兩田等了
[01097.52-01099.58] 這是給小爺留下了萬貫架財
[01099.82-01101.10] 正常情況之下
[01101.36-01103.42] 它的父母可以通過一竹只能結婚
[01103.42-01104.44] 但是因為他父母啊
[01104.44-01105.96] 就比如說是一百趨勢的
[01105.96-01107.76] 這是事情來得太突然了
[01107.76-01109.56] 沒有來得及給他一竹只能結婚
[01109.56-01111.86] 那在這種情況之下我們就能夠發現
[01112.12-01113.40] 在這個過程當中
[01113.40-01115.70] 當他的父母沒有一竹只能結婚父母趨勢的說
[01115.70-01117.22] 说是必要开启法定结货
[01117.50-01118.98] 法定结婚的结婚顺序
[01118.98-01119.66] 大家注意一下
[01119.66-01120.66] 第二顺位是什么
[01121.02-01122.66] 第二顺位是我们所说的
[01123.14-01125.06] 祖父母和外祖父母
[01127.54-01128.62] 咱们反倒促强调
[01128.62-01128.98] 对吧
[01129.14-01130.98] 然后第三顺位
[01133.10-01135.70] 是我们所说的这个成年到什么
[01135.90-01136.94] 兄弟姐妹
[01137.18-01138.22] 那同们来看一下
[01138.46-01139.26] 在这里面
[01139.42-01141.22] 一看到了小爷有家才万关
[01141.26-01142.10] 我们看一下大家
[01142.42-01144.66] 大家是不是都想照顾小爷
[01144.66-01147.16] 因为大家都去照顾小业的话
[01147.16-01149.30] 那就可以监管小业的财产
[01149.30-01150.36] 是不是对他们有力
[01150.36-01151.62] 于是在这种情况之下
[01151.62-01153.26] 大家都想去照顾小业的时候
[01153.26-01155.50] 这些监管人之间他就会怎么办
[01155.50-01156.50] 他就会打起来
[01156.50-01157.34] 他就会恰起来
[01157.34-01158.30] 他就会敲起来
[01158.30-01159.30] 这是一种情况
[01159.30-01160.34] 那还有一种情况就是什么
[01160.34-01162.66] 就是这个小业他实在是太可怜了
[01162.66-01165.26] 父母走得太聪猛了什么都没给他留下
[01165.26-01167.18] 然后亲居们就觉得这个小孩
[01167.18-01169.54] 自己带这些雷贵互相踢扣
[01169.54-01169.90] 对吧
[01169.90-01171.66] 那互相踢扣的这种情况之下
[01171.66-01172.90] 那就是谁都不想带
