[00000.00-00002.82] 那么了解了整个单宝制度的宽价之后
[00189.14-00191.42] 也是多习一直还在你手里
[00191.42-00193.58] 那不转移战友就意味着
[00193.58-00194.30] 什么呀
[00194.30-00195.10] 就意味着
[00195.10-00197.26] 它其实在某种程度上不需要
[00197.26-00197.98] 就复
[00197.98-00198.26] 对吧
[00198.26-00199.54] 所以在这里大家注意下
[00199.54-00201.78] 底下全不转移战友的点物
[00201.78-00204.66] 这是它和这家钱一个非常大的区别
[00204.66-00206.34] 因为我们在后面讲之家钱的时候
[00206.34-00209.18] 或者讲之前的时候是东西要交道理手里
[00209.18-00211.34] 而底下全是不转移战友
[00211.34-00215.02] 也就是你就想想你朝银行败换抽房子
[00215.02-00216.38] 依旧在你手中
[00216.38-00217.94] 这个是底下全的一个特点
[00217.94-00219.78] 通过不转移战友的点物
[00219.78-00221.94] 这个点去给它标注出来
[00221.94-00224.26] 这是第一个底下全的概念
[00224.26-00226.14] 那了解了什么是底下全的话呢
[00226.14-00226.78] 他说了
[00226.78-00229.38] 那雕权的其实就是提供
[00229.38-00231.18] 押物社里的权
[00231.18-00233.78] 那到底哪些东西可以作为雕物呢
[00233.78-00236.74] 那这这里面就可以睡到第二个问题
[00236.74-00238.74] 叫做雕权的标击
[00238.74-00240.86] 就是什么东西可以社里的权
[00240.86-00241.58] 在这里呢
[00241.58-00244.70] 我们在整个雕材产的社里上
[00244.70-00246.06] 或者是雕物的社里上
[00246.06-00247.82] 它采取的一个态度呢
[00247.82-00249.98] 就是法无禁止机可为
[00250.62-00251.90] 法律没有禁止的
[00251.90-00253.50] 你都可以社里雕物
[00253.50-00255.02] 你比如说在这里他说了
[00255.02-00257.74] 比如说建筑物或其他土地的副主物
[00257.74-00259.86] 我介绍用地使用权还于使用权
[00259.86-00260.94] 8.8.0等等
[00260.94-00262.82] 只要是法律没有明文禁止的
[00262.82-00264.18] 你都可以设立点物
[00264.18-00267.34] 比如说你可以把房子点给也好
[00267.34-00268.82] 可以把车点给也好
[00268.82-00271.58] 可以把手机贵入物屁什么的点给也好
[00271.58-00272.38] 都可以的
[00272.38-00274.22] 只要法律没有明文规定禁止的
[00274.22-00275.54] 都可以作为点物
[00275.54-00277.66] 我们再去做这样的题目的时候
[00277.66-00278.26] 就要怎么办
[00278.26-00279.70] 就要做到反相级意
[00279.70-00281.78] 也就是在这个地方我们提到了
[00281.78-00283.98] 说哪些可以设立点物
[00283.98-00285.06] 法務禁止及可危
[00285.06-00286.42] 我們只需要反向
[00286.42-00288.46] 建議法律禁止的都可以
[00288.46-00289.86] 所以在整個
[00289.86-00291.82] 碟牙全的標地動作
[00291.82-00293.02] 需要我們去做一種年長
[00293.02-00293.82] 或者在這
[00293.82-00294.74] 同標注意下
[00295.74-00298.22] 不可以作為碟牙財產的
[00298.22-00299.10] 有那些
[00299.10-00300.34] 大家注意下這個碟
[00300.34-00302.46] 它其實是考察兩個位度
[00302.46-00303.38] 第一個位度
[00303.38-00304.46] 大家就要面確
[00305.26-00305.90] 第一個
[00305.90-00308.62] 不可以設立碟牙財產的有那些
[00308.94-00311.10] 這個其實考察的是
[00311.10-00312.78] 實際型的題目
[00312.78-00318.26] 他这里面有哪些的时候考察实际的时候考察的相对来说会比较明显
[00318.26-00320.02] 这是第一个大家注意一下
[00320.02-00323.54] 第二个就会把这个点进行一个联合考察
[00324.90-00326.42] 进行一个联合考察
[00326.42-00328.10] 联合什么来考察呢
[00328.10-00333.78] 联合咱们在第一张民法盖树当中考察民事法律行为
[00337.50-00338.94] 民事法律行为
[00338.94-00341.22] 咱们在民事法律行为当中
[00341.22-00343.42] 同学们想一下民事法律
[00343.42-00344.20] 行为
[00344.20-00346.34] 咱们在民事法律行为当中讲到了
[00346.34-00348.34] 有效的民事法律行为
[00348.34-00350.38] 可撤销的民事法律行为
[00350.38-00352.24] 销利败定的民事法律行为
[00352.24-00353.74] 以及无效的民事法律行为
[00353.74-00354.20] 对不对
[00354.20-00355.14] 咱们想一下
[00355.14-00357.34] 无效的民事法律行为有机重情况
[00357.34-00357.86] 我们说了
[00357.86-00360.58] 乔公主意义乔
[00360.58-00361.34] 乔
[00361.34-00364.62] 指的是为法律行为法规的强制行规定
[00364.62-00367.34] 公主的是为被公司了组
[00367.34-00368.26] 指的是
[00368.26-00370.46] 无名是行为能力的所事情的
[00370.46-00379.94] 民事法律行为一律无效或者是我们所说的意思表示虚假的恶意穿通鲍还太厉的这些是不是都属于无效的民事法律行为
[00380.18-00385.06] 那在这里面他联合考察民事法律行为当中就是什么无效的民事法律行为
[00385.30-00389.42] 如果是无效的民事法律行为当中违反法律强制性规定的
[00389.66-00393.42] 那这个时候民事法律行为无效合同无效
[00393.42-00395.18] 你说老是你强调这个啥用呢
[00395.18-00398.86] 大家注意一下,不可以作为DR採查的这些内容
[00398.86-00400.50] 它是有法律名文规定的
[00400.50-00403.10] 如果在提案当中,同时注意
[00403.10-00405.18] 如果在提案当中,它说了
[00405.18-00407.86] 把土地的俗权作为DR採查设立
[00407.86-00411.50] 然后设立了DR合同,这个DR合同有没有效
[00412.02-00416.14] 没有效,因为是因为法律强制性规定的无效
[00416.14-00420.78] 如果DR合同无效,DR权能不能设立
[00420.78-00422.38] DR权不能设立
[00422.38-00424.80] 好 那我们知道它怎么考察了之后呢
[00424.80-00427.50] 那进来咱们就来看一下到底是哪些
[00427.50-00429.84] 标地误它不能作为第二的财产
[00429.84-00430.94] 那这些标地误呢
[00430.94-00433.40] 需要同学们有一个大概的了解给的记住
[00433.40-00435.60] 第一个呢就是土地搜权
[00435.60-00437.40] 同学们可以把土权出来
[00437.40-00439.08] 那土地搜权大家也都知道
[00439.08-00441.50] 我们国家是社会主义经济
[00441.50-00443.12] 而社会主义经济的话
[00443.12-00445.08] 我们所受到土地也归
[00445.48-00446.48] 权民所有
[00446.48-00447.98] 也就是纯粹的够置
[00447.98-00449.48] 要么就是归集体所有
[00449.48-00450.38] 也就是在这里
[00450.38-00451.42] 我们国家的土地
[00451.42-00452.58] 他不归个人
[00452.58-00454.94] 那既然东西都是你自己的
[00454.94-00457.06] 你能把不是你的东西
[00457.06-00457.94] 得给别人
[00457.94-00459.46] 那指定是要不可以的
[00459.46-00461.46] 因为这样的话你根本是无权处分
[00461.46-00462.94] 所以在这里大家知道
[00462.94-00466.34] 第一个不可以得的财产就是土地搜权
[00466.34-00468.18] 同一会可以把土权出来
[00468.18-00469.62] 第二个就是
[00469.62-00471.62] 宅基地自由山自流地等
[00471.62-00474.02] 集体所有土地的使用权
[00474.02-00474.94] 大家注意一下
[00474.94-00475.66] 第二个是什么
[00475.66-00478.06] 第二是集体所有土地
[00478.06-00479.70] 集体所有土地也是归
[00479.70-00480.62] 大家所有
[00480.62-00482.86] 你在这个时候比如说你的宅基地
[00482.86-00483.90] 宅基地的话
[00483.90-00486.22] 我们之前给大家再用语全当中讲过
[00486.22-00489.10] 宅基地强调的是一或一宅
[00489.10-00491.26] 只有你是村里面的人
[00491.26-00492.38] 或护击在这
[00492.38-00495.10] 我才会给你分到宅基地
[00495.10-00499.74] 所以在这里面我们会发现集体所土地的使用权
[00499.74-00501.42] 它可不可以做一点
[00501.42-00502.70] 也不可以做一点
[00502.70-00503.18] 对吧
[00503.18-00505.18] 所以这是第二个叫集体土地
[00505.18-00506.54] 那第三个是啥呢
[00506.54-00507.98] 在这里他给到了一个点
[00507.98-00513.62] 他说学校又远一了几个的工艺目的成立的非法人
[00513.62-00515.66] 非有立法人的教育设施
[00516.42-00518.98] 一了位称设施和其他工艺设施
[00518.98-00520.78] 同样把工艺设施划出来
[00520.78-00523.86] 这些工艺设施是不能作为瓶材产的
[00524.10-00526.06] 为什么工艺设施不能作为瓶材产
[00526.06-00526.94] 其实很简单
[00526.94-00530.26] 因为工艺设施是出于工工利益的需要
[00530.26-00531.78] 而在大多数情况这些
[00531.78-00533.74] 它是满足集体力需求的
[00533.74-00536.38] 那从本身上来说这些工艺设施
[00536.38-00537.92] 規模規個人所有
[00538.18-00540.48] 公益設施是不規個人所有的
[00540.48-00543.04] 所以這些公益設施不能做為什麼
[00543.30-00544.32] 不能設裂
[00544.58-00545.34] 抵壓
[00545.60-00546.36] 不能設裂底
[00546.62-00547.90] 所以在這裡面帶來注意一下
[00548.16-00550.46] 如果拿公益設施去設裂底壓的話
[00550.72-00551.74] 我問一下大家
[00552.00-00553.02] 底壓和同一名效
[00553.78-00555.08] 比如說把醫院的
[00555.32-00556.86] 什麼手術牌的設備
[00557.12-00560.96] 然後把學校的就學設備都拿去設裂底壓
[00561.22-00563.00] 然後這時候方便自己的貸款
[00563.26-00566.08] 他以學校或者是醫院的公益設施
[00566.08-00567.12] 最近很抵抬的话
[00567.12-00568.68] 抵抬合同能能成立
[00568.68-00571.04] 抬合同不能成立
[00571.04-00572.32] 所以在这种情况之下
[00572.32-00573.12] 大家要注意一下
[00573.12-00575.00] 这里墙哥的是工艺设施
[00575.00-00577.28] 那他在这个地方墙哥的工艺设施
[00577.28-00578.24] 那我问一下大家
[00578.24-00580.64] 非工艺设施可不可以做为物的单保
[00580.64-00583.44] 比如说不能把学校的教学设备
[00583.44-00585.04] 反医院的相当的设备
[00585.04-00586.60] 然后拿去做一抵抬的话
[00586.60-00589.44] 那接下来我们把什么校长的车
[00589.44-00590.00] 对吧
[00590.00-00592.32] 校长他的一些车或者是我们所说
[00592.32-00593.72] 其他一些非工艺设施
[00593.72-00595.44] 拿去设备抬抬的话
[00595.44-00596.24] 可不可以
[00596.24-00597.24] 是可以的
[00597.24-00598.44] 所以在这里大家注意一下
[00598.44-00600.08] 它针对的是非供业
[00600.08-00600.80] 设施
[00600.80-00602.08] 真是非供设施
[00602.08-00604.72] 比4一个就是有全数争议的
[00604.72-00605.96] 有争议的财产
[00605.96-00607.44] 同时把有争议划出来
[00607.44-00609.36] 有争议的财产全数不明
[00609.36-00611.92] 在这里面如果去设置底下的话
[00611.92-00613.60] 会导致很多问题出现
[00613.60-00614.64] 所以在这里
[00614.64-00618.20] 有争议的财产不能设议底
[00618.20-00619.76] 最后一个就是在这
[00619.76-00623.00] 被依法查封扣压监管的财产
[00623.00-00625.56] 被依法查封扣押兼管的財產
[00625.56-00628.12] 他也不能夠設立底壓
[00628.12-00629.40] 所以在這裡把這個
[00629.40-00631.64] 被依法查封扣押兼管的財產
[00631.64-00632.52] 标注出來
[00632.52-00634.52] 所以在這大概稍有一些印象
[00634.52-00635.24] 就是
[00635.24-00636.52] 出於什麼樣的東西
[00636.52-00638.04] 我們不能拿去做底壓呢
[00638.04-00638.76] 大家要注意一下
[00638.76-00641.40] 第一個就是不是歸你所有的
[00641.40-00642.76] 那就是土地所謂
[00642.76-00644.76] 那就是我們所說的土地所謂前
[00644.76-00646.60] 集體用地的使用權
[00646.60-00648.44] 公益設施以及有爭議的財產
[00648.44-00650.44] 這些東西都不能很明確的說
[00650.44-00652.20] 他的全數到底歸屬於那
[00652.20-00655.92] 那还有最后一个就是被依法查封抠和尖管的财产
[00655.92-00659.12] 这些地方是出于财产保全和其他的一些必须要
[00659.12-00660.46] 也不能接行底啊
[00660.46-00661.32] 因为换一块说呢
[00661.32-00663.04] 它其实就会出现全数
[00663.04-00665.26] 争议或者全数不明的这样的情况
[00665.26-00666.80] 因为我们在整个
[00667.44-00668.96] 单独路权的设立
[00668.96-00671.00] 其实关注的是它的交换价值
[00671.00-00671.32] 对吧
[00671.32-00672.36] 但是这些地方
[00672.36-00674.92] 我们刚才所给到不可以底下这些财产
[00674.92-00676.68] 它的交换价值
[00676.68-00679.08] 其实是有一些争议在的
[00679.08-00681.52] 所以不能用它作为
[00681.52-00683.32] 第1,5,明白了吧
[00683.32-00685.32] 如果以他们做了第1,5的话
[00685.32-00686.64] 第1,合同无效
[00686.64-00688.32] 第2,全部能设定
[00688.32-00689.48] 所以大家注意一下
[00689.48-00690.64] 这是在整体上
[00690.64-00691.20] 不可以设定
[00691.20-00692.36] 第1,才成有哪些
[00692.36-00693.40] 大家要注意一下
[00693.40-00695.68] 这是第1,一个层次的考点
[00695.68-00696.88] 那第2个层次的考点
[00696.88-00698.60] 就是我们前面也来说到的
[00698.60-00699.60] 它联合考察
[00699.60-00701.08] 如果以他们设定的话
[00701.08-00703.08] 那第2,合同无效
[00703.08-00704.84] 那这在这,这第2层次
[00704.84-00706.96] 那这里面还有一个小的细节在哪呢
[00706.96-00707.80] 就是在这
[00707.80-00711.08] 就是被依法查封,抗压和尖管的财产
[00711.08-00714.56] 被依法查封扣压和监管的财产
[00714.56-00715.68] 我们说了
[00715.68-00718.76] 如果是查封扣压监管在前
[00718.76-00720.60] 然后后射力抵押的话
[00720.60-00722.84] 那这个时候监管后的
[00722.84-00724.80] 射力的抵押全到底能不能成立
[00724.80-00727.04] 以及先抵押后查扣的
[00727.04-00728.24] 它的抵押全能不能成立
[00728.24-00730.40] 其实在这里面是有一定说法的
[00730.40-00731.20] 所以第五点
[00731.20-00733.16] 咱们要进行一个具体的分析
[00734.16-00736.48] 我把第五点标注在上面
[00736.48-00737.28] 好吧
[00737.28-00738.72] 为了画个镜头在这
[00738.72-00741.04] 这是查封扣压和监管
[00741.04-00744.26] 这三个行为,它可能存在两种情况
[00744.26-00745.42] 哪两种情况呢?
[00745.42-00746.42] 第一种情况呢?
[00746.42-00749.80] 就是我把我的这个车比较是我现在有两车
[00749.80-00752.04] 然后这个车呢,我底下给了银行
[00752.04-00754.10] 然后让银行给我带狂武士班
[00754.10-00756.84] 那这个时候,我把车底下给银行之后
[00756.84-00758.10] 然后我就开始怎么样呢?
[00758.10-00759.78] 我就开车出门了
[00759.78-00760.94] 开出门了之后呢?
[00760.94-00762.58] 然后出去跑一路嘛
[00762.58-00764.96] 本来是问银行带的这个款项
[00764.96-00768.80] 想去搞一个我们所说的这个场子和实体间階障结果
[00768.80-00769.52] 陪了
[00769.52-00772.92] 陪了之後等到後面的時候我就看這個車就出門了
[00772.92-00774.88] 開車出門了之後就不小心
[00774.88-00775.92] 給人挂蹭了
[00775.92-00778.28] 或者是我就交通照示逃跑了
[00778.28-00780.16] 那這裡們就會睡到一個問題
[00780.16-00782.60] 如果說我交通照示逃跑了之後
[00782.60-00786.52] 我的車他應該被依法查封口壓對吧
[00786.52-00788.76] 他被依法查封口壓
[00788.76-00792.16] 但是我先前這個車又給銀行設立了雕权
[00792.16-00794.56] 那這個雕权到底會被受影響呢
[00794.56-00796.20] 這是一種情況對不對
[00796.20-00797.52] 那第二種情況是什麼呢
[00797.52-00802.16] 第二种情况就是我这个车先被查风扣押动节了之后
[00802.16-00806.60] 然后我又把我的这个车抵押给了银行或者抵押给了第三任
[00806.60-00809.72] 那这个时候第三任的抵押去会被受到影响
[00809.72-00813.88] 那这里面就会出现两个时间点的问题
[00813.88-00815.04] 那两个时间点呢
[00815.04-00817.24] 第一个时间点就是先抵押
[00818.92-00821.20] 大主要是先抵押
[00821.20-00822.44] 后怎么样呢
[00822.44-00823.88] 后查扣
[00823.88-00826.56] 我觉得是先抵押
[00826.56-00827.32] 后查扣
[00827.32-00830.08] 第二种就是先查扣
[00830.08-00831.00] 监管
[00831.00-00832.60] 后我把他怎么样
[00832.60-00833.48] 底押出去
[00833.48-00834.68] 这里面
[00834.68-00836.28] 其实就会出现两种情况
[00836.28-00838.56] 就是我们要讨论就是他的底押权
[00838.56-00840.44] 到底会不会说影响
[00840.44-00841.40] 那么来看一下
[00841.40-00842.60] 如果是低种情况
[00842.60-00843.88] 先底押出去了
[00843.88-00845.68] 那先底押出去的话
[00845.68-00848.84] 我们说了基于成立在先的原子
[00848.84-00850.52] 先底押后查风的
[00850.52-00852.24] 底押权是不受影响的
[00853.52-00855.04] 因为他的行为在先吧
[00855.04-00855.56] 对吧
[00855.56-00858.26] 所以底安全不受影响
[00858.26-00861.16] 也就是我刚才送给到大家的第一个案例里面
[00861.16-00863.72] 如果我先把我的车底给银行贷款
[00863.72-00867.64] 后来我的车出去其他给银被查风扣押了
[00867.64-00872.72] 这个时候最后法院拍卖我的车拍了假设是100万
[00872.72-00878.12] 这个时候其中有50万银行是可以先与其他这些人优先受伤的
[00878.12-00881.08] 所以在这里如果是先底后查扣
[00881.08-00883.32] 底安全是不受影响的
[00883.32-00884.60] 如果是反过来呢
[00884.60-00888.04] 我的彻师先被查风扣押和监管了
[00888.04-00889.84] 然后查风扣押监管之后
[00889.84-00891.52] 我就还是一样的
[00891.52-00893.52] 像第三人借钱,像银行贷款
[00893.52-00894.52] 但第三人和银行
[00894.52-00896.12] 不知道我有这个彻位查扣了
[00896.12-00897.44] 然后我就给他们
[00897.44-00899.44] 我就和他们签订了抵押合同
[00899.44-00901.68] 然后把什么汽车交付
[00901.68-00902.96] 或者是把不动产登记
[00902.96-00905.80] 反正就是我们所说的查扣之后
[00905.80-00906.96] 我在去进行抵押
[00906.96-00908.36] 这时候它的抵押权
[00908.36-00909.64] 会被受影响的
[00909.64-00912.76] 首先我们要分成两个角度来看
[00912.76-00915.48] 首先第一個就是先查扣後底壓
[00915.48-00918.90] 後來我在區合我們所說的這些人去簽訂
[00918.90-00920.26] 抵押合通的時候
[00920.26-00921.72] 那這時候抵押合通
[00921.72-00923.26] 它是效率不受影響了
[00923.26-00925.70] 但是抵押權到底能不能實現呢
[00925.70-00927.88] 就要看查封扣押措施
[00927.88-00930.36] 它在簽訂抵押合通的時候
[00930.36-00931.70] 它有沒有解除
[00931.70-00933.56] 如果在簽訂押合通的時候
[00933.56-00934.90] 它沒有解除的話
[00934.90-00936.16] 那就不於意支持
[00936.16-00938.02] 如果在簽訂押合通的時候
[00938.02-00939.12] 它解除的話
[00939.12-00940.16] 那這個時候就怎麼樣
[00940.16-00941.68] 就於意支持
[00941.68-00946.02] 也就是支持它整体上的杀权優先受承
[00946.02-00948.08] 所以在这个时候大家注意一下
[00948.08-00949.88] 我们就直接看误权好吧
[00949.88-00952.42] 如果说我后色里的杀的时候
[00952.42-00954.88] 它的监管措施一解除
[00957.44-00960.64] 它的监管措施已经解除了
[00962.56-00966.88] 这个时候你的的杀权阴灯于支持
[00966.88-00970.46] 你英当就拍卖的加款優先受伤
[00970.46-00971.34] 我就打个对号
[00971.34-00971.92] 好吧
[00971.92-00974.46] 那如果是措施未解除
[00978.00-00980.86] 那如果是措施未解除的
[00981.66-00982.74] 那措施未解除呢
[00982.74-00984.18] 就意味着东西
[00984.18-00986.00] 是人家先扣着在鞋
[00986.00-00987.00] 你的底下却设立
[00987.00-00987.64] 在后
[00987.64-00988.96] 那这个时候就意味着
[00988.96-00990.90] 你的底下钱在成立上
[00990.90-00992.40] 是往后靠的
[00992.40-00995.10] 那你这个时候你的優先受伤的权力
[00995.10-00997.38] 他就没有办法得到支持
[00997.62-01000.86] 所以在这时候这里面可能会涉到一个细节的点
[01000.86-01004.14] 你倒就是看一下你的底下行为是成立在前
[01004.14-01006.30] 还是底下行为成立在后
[01006.30-01008.14] 这是我们所说的有关于
[01008.14-01010.20] 第二个问题就是不可以
[01010.20-01011.50] 底下的财产
[01011.50-01012.50] 不可以底下财产
[01012.50-01013.60] 所以我们在前面说
[01013.60-01016.10] 底下前我们在最开始给大家讲的时候
[01016.10-01018.60] 说是不转移战友
[01018.60-01019.20] 底下午
[01019.20-01021.30] 我们就从不转移战友
[01021.30-01022.90] 底下午这个点去也生出来了
[01022.90-01024.70] 到底哪些可以做的底下财产
[01024.70-01025.54] 不可以
[01025.54-01027.00] 那这是我们所说的
[01027.00-01027.74] DDR的
[01027.74-01028.50] 标定
[01028.50-01029.30] DDR标定
[01029.30-01030.58] 但这个DDR的标定
[01030.58-01032.74] 只说哪些东西可以设立迪安全
[01032.74-01035.10] 那这个DR全到底怎么设立
[01035.10-01036.86] 我们来看一下第三个问题
[01036.86-01038.90] 就是DR全的设立问题
[01038.90-01040.50] 在书上给到了一句话
[01040.50-01041.50] 同们注意一下
[01041.50-01043.66] 他说设立DR全当时
[01043.66-01046.06] 应当以书面形式定力
[01046.06-01047.46] DR合头
[01047.46-01048.30] 所以在这里
[01048.30-01050.70] 当然还是回味道之前那个点
[01050.70-01053.42] 我们国家的误权变动
[01053.42-01055.22] 是有陰性的武权变动
[01055.22-01058.98] 我们在前面讲到是基于民式法律行为的武权变动
[01058.98-01059.50] 对吧
[01059.50-01060.98] 基于民式法律行为
[01060.98-01062.70] 就是基于合图的武权变动
[01062.70-01064.26] 可以是所有权的武权变动
[01064.26-01066.02] 也可以是谍阿权
[01066.02-01067.98] 所以在谍阿权的设立上首先
[01067.98-01069.42] 第一个要先有什么
[01069.42-01070.34] 首先第一个
[01070.34-01071.34] 也就是我们所说的
[01071.34-01073.06] 无论是动产是不动产
[01073.06-01074.38] 都要先设立
[01074.38-01075.50] 底压合同
[01075.50-01076.78] 那要到些设立底压合同
[01076.78-01079.62] 就是说面前面一个数面的协议
[01079.62-01080.58] 但是我们都知道
[01080.58-01083.92] 底壓河痛他產生的是霧權效力還戰選效力
[01083.92-01085.32] 咱們之前給他說了
[01085.32-01087.82] 就霧戰兩分原則
[01087.82-01089.14] 對吧 交霧戰兩分
[01089.14-01090.20] 所以在這裡面
[01090.20-01091.84] 既然是霧戰兩分的話
[01091.84-01093.30] 那底壓河痛
[01093.30-01095.30] 他產生的是戰選效力
[01097.98-01098.74] 對吧
[01098.74-01100.46] 大家一定要注意一下霧戰兩分
[01100.46-01101.56] 河痛是河痛
[01101.56-01103.38] 河痛只產生戰選效力
[01103.38-01104.98] 但是戰權
[01104.98-01105.78] 他是
[01105.78-01107.42] 是不是我們所說的霧權
[01107.42-01108.90] 他其實不是一個全數的
[01108.90-01112.90] 所以在这里定力节和通只能产生战选
[01112.90-01116.00] 那想要设立点钱成立误权的话
[01116.00-01116.68] 那怎么办
[01116.68-01118.18] 还是要分标地误
[01118.18-01119.30] 在书上画一下
[01119.30-01121.60] 那如果是以不动产作为底压的话
[01121.60-01123.50] 不动产要登记
[01123.50-01126.50] 自登记时设立底压权
[01126.50-01128.30] 自登记时设立底压权
[01128.30-01129.40] 所以大家要注意一下
[01129.40-01132.40] 这是和前面讲的那个感觉是一样的
[01132.40-01135.90] 同们一定要把这个去分原则去给它整清楚
[01135.90-01140.50] 所以这是不动产他用到办理登记当办理登记那一科企业
[01140.50-01146.40] 我们说了 迪阿权 舍利 所以你看一个是战选效率 一个是什么 目前效率
[01147.68-01151.26] 又回味到了我们前面所说的 物战 两分缘责
[01151.52-01154.34] 所以在这个地方之后 不动产迪阿权的舍利
[01154.58-01160.74] 那不动产去办理迪阿的情况还是挺多的 比如说你可以拿你的房屋去办理迪阿
[01160.74-01162.52] 我们拿黄屋去办理底下的时候
[01162.52-01166.32] 大家应该最常见的就是我反而服务给大家面倒的那个例子
[01166.32-01167.78] 就是拿你自己的房子
[01167.78-01169.94] 底下给人好像一行做带款
[01169.94-01171.44] 如果你有土地呢
[01171.44-01172.76] 如果你有土地的话
[01172.76-01176.82] 比如说你有常出让会转让建设用地生选
[01176.82-01177.78] 因为我们前面说了
[01177.78-01179.48] 宅基地使用选是不能转让的
[01179.48-01181.12] 但是建设用地使用选可以
[01181.12-01183.28] 那这时候你把建设用地使用选
[01183.28-01184.48] 设立底下的话
[01184.48-01185.32] 也怎么样
[01185.32-01188.16] 也可以拿土地这种不动产设立底
