[00000.00-00003.72] 大家好,我是杰瑞老师,欢迎大家来学习。
[00263.12-00264.56] 他都是主力性的
[00264.56-00267.60] 或者说我们理想中的状态就认为
[00267.60-00268.96] 市场当中所有的人
[00268.96-00270.00] 我们做出了一个假设
[00270.00-00272.84] 他都是人不被谨诸地面醒的
[00272.84-00274.76] 你比如说在这里对于消费者来说
[00274.76-00277.28] 那消费者在市场当中花钱都图上
[00277.68-00279.12] 他图在钱多吗
[00279.12-00279.96] 他只能不是
[00279.96-00281.28] 他在市场当中消费
[00281.28-00282.68] 他的目的其实只有一个
[00282.68-00285.92] 就是我要花錢 滿足我自己的這種享受
[00285.92-00289.58] 所以對消費者來說 這種核虎理性的假設就是在於
[00289.58-00292.84] 我想要花最少的錢 想測到最大的服務
[00292.84-00295.14] 那如果一分鐘不滑 我在這種情況之下
[00295.14-00298.84] 能想測到低網班的服務 那是消費者 最想要得到的
[00298.84-00301.88] 那這個就叫做什麼 就叫做單個消費者
[00301.88-00303.40] 他核虎理性的人的假設
[00303.40-00307.08] 那對於單個生產者 他也要提出核虎理性的人的假設
[00307.08-00308.52] 生產者去搞生產
[00308.52-00310.68] 我們現在在現實生活當中 總能看到
[00310.68-00314.48] 大家搞生产 有一些很有情怀的一些民族企业
[00314.48-00315.92] 比如说像白相方便面
[00316.64-00319.84] 咱们所说的 之前给大家在哲学当中讲到的红天而破
[00320.08-00321.96] 像这些企业生产者
[00321.96-00323.76] 它其实都是非常有情怀的
[00323.76-00325.48] 但是它的这种情怀呢
[00325.48-00328.36] 不是在我们经济学研究的领域当中
[00328.36-00331.60] 我们认为在整个市场当中的生产者
[00331.60-00333.28] 它的目的就一个就是为了什么
[00333.28-00334.48] 就是为了赚钱
[00334.48-00337.84] 它做的所的行为都是出自于对于绿的需要
[00337.84-00340.08] 这个就叫做合估理性的人的假设
[00340.08-00343.56] 只把他完全看成一个经济行的人
[00343.56-00346.56] 就是他除了本身自身的追逐力
[00346.56-00347.96] 他没有其他的容考量
[00347.96-00350.00] 所以这个叫做李萦恩的假设
[00350.00-00352.48] 其实在这儿呢就给我们买下了一个服彼
[00352.48-00355.00] 同样在许学位关键学院说不要抬高
[00355.00-00356.16] 也说不要在这边说
[00356.16-00358.44] 阿老师有的企业他怎么样
[00358.44-00360.68] 有的企业他在医疗之外的事情
[00360.68-00362.76] 不合护我们李萦恩的假设
[00362.76-00366.12] 所以我们在所有的经学问题碳的当中
[00366.12-00367.56] 这是一个必然前提
[00367.56-00368.96] 所以同时不要把
[00368.96-00373.68] 我們對於上升我當中的一些理解的一些例外的狀況放在這裡面
[00373.68-00375.60] 去干擾我們做體就可以了
[00375.60-00379.40] 這是我們在蓋樹當中給大家去談到的
[00379.40-00380.60] 雷關金女學
[00380.60-00382.44] 他的一個大蓋的一個情況
[00382.44-00384.56] 大家在這裡得出來的一個點就知道
[00384.56-00387.04] 他是李星人假設就可以了
[00387.04-00389.00] 這是我們所說的第一個
[00389.00-00392.32] 我們的蓋樹了解了一下雷關金女學
[00392.32-00394.04] 那了解完蓋樹之後
[00394.04-00397.64] 接下來我們就要深入到供給和需求的學習當中
[00397.64-00401.12] 也就是第一解这个需求和供给理论
[00401.12-00402.88] 在需求和供给理论当中
[00402.88-00404.68] 一个要讲三个方面的问题
[00404.68-00410.56] 第一个讲需求第二讲供给理三个讲供求均衡
[00410.56-00412.76] 我们就来看一下具体的内容
[00412.76-00414.80] 我们首先先来看一下第一个问题
[00414.80-00416.20] 就是需求
[00416.20-00417.60] 在需求这个里面
[00417.60-00419.44] 我们要给大家讲四个方面
[00419.44-00420.44] 这四个方面
[00420.44-00423.32] 同时注意没有不小台去实际的内容
[00423.32-00425.04] 这四个方面分别第一个
[00425.04-00429.52] 我们要去研究经济学上的需求是什么叫做需求的喊一
[00429.52-00435.52] 第二个从喊一当中偷向出来影响需求的因素有哪些因素一共有五个
[00435.52-00438.16] 最两星期之点掌握的是三个
[00438.16-00442.00] 那了解了什么是需求需求会发生变动
[00442.00-00445.44] 那不同的需求对价格变动的反尘度不一样
[00445.44-00447.76] 我们把它称着为叫做价格谈性
[00447.76-00453.20] 那最后一个就是要把这个点用到生活当中会看到需求的应用
[00453.20-00457.20] 所以在这里我们要学习需求四个方面的问题
[00458.00-00459.48] 那么一个一个来看
[00459.48-00462.88] 说来看一下第一个就是需求的很异
[00462.88-00464.08] 什么叫个需求呢
[00464.08-00465.36] 同们在这能看到
[00465.36-00468.68] 说需求它是指消费者在一定时期内
[00468.68-00470.84] 在各种可能的价格水平下
[00470.84-00472.40] 同们把这个次话出来
[00472.40-00476.64] 叫做愿意且能够购买的商品的数量叫做需求
[00476.64-00479.04] 同时要知道经济学当中的需求
[00479.04-00480.84] 和我们日常生活当中的需要
[00480.84-00482.64] 它其实是截然不同的概念
[00482.64-00485.72] 生活当中的需要就是安这个东西我想调
[00485.72-00488.60] 对吧 我想调不代表我能够调的起
[00488.60-00491.76] 所以在经济学当中需求
[00491.76-00494.36] 它和需要和我们所说的这种想调
[00494.36-00495.96] 它是截然不同的概念
[00495.96-00497.72] 经济学当中的需求
[00497.72-00499.80] 也被称对我们写在旁边
[00500.44-00502.04] 叫做有效需求
[00502.04-00503.88] 有的时候它在考试的时候
[00503.88-00504.92] 它就会直接问
[00504.92-00507.40] 说以下属于有效需求的事
[00507.40-00508.84] 它其实更有效需求
[00508.84-00511.24] 就是在问经济学当中的需求
[00511.24-00513.56] 那什么是经济学当中的需求
[00513.56-00515.12] 或者称之为有效需求
[00515.12-00518.68] 或者说这种东西就是咱们再去研究经济学的时候
[00518.68-00520.00] 应该去研究的东西呢
[00520.00-00522.40] 他同时满足两个条件大助一下
[00522.40-00525.52] 想过程需求第一个叫做愿意
[00525.52-00529.72] 第二个叫做切能够购买的上面书量叫做需求
[00529.72-00530.72] 什么叫愿意呢
[00530.72-00532.88] 愿意就是有消费的
[00532.88-00535.84] 我们所说的意愿就是我想买
[00537.60-00538.36] 第二个
[00538.36-00539.60] 我还能够买
[00539.60-00541.08] 这个叫做买得起
[00541.08-00542.92] 所以在这里面大住一下
[00542.92-00545.24] 想够成经济学当认需求
[00545.24-00548.44] 它必须同时满足这两个条件
[00548.44-00549.52] 就是我想买
[00549.52-00552.64] 还能买得起才算做我的需求
[00552.64-00554.96] 这个点它是一个医生级的
[00554.96-00556.32] 理解行动之间
[00556.32-00557.96] 在过去的考试当中
[00557.96-00558.96] 无论是世界单位
[00558.96-00560.48] 军队文质还欺败考试
[00560.48-00561.88] 考过好几遍
[00561.88-00563.96] 大家不要觉得它简单就忽略它
[00563.96-00565.20] 所以在这里它知道
[00565.20-00566.68] 有效需求叫做愿意
[00566.68-00567.24] 显得能够
[00567.24-00568.48] 就是我想买钱
[00568.48-00569.24] 买得起
[00569.24-00570.26] 举个简单的例子
[00570.26-00571.72] 这是我一直有一个梦想
[00571.72-00573.18] 我之前在北京工作
[00573.18-00575.24] 我对北京什么最相往呢
[00575.24-00577.18] 我对北京的4和12是最相往的
[00578.44-00579.48] 我的梦想呢
[00579.48-00581.24] 这是在北京每一套4和12
[00581.24-00582.80] 然后我当时就去循嘉
[00582.80-00583.32] 我说呢
[00583.32-00584.60] 这个4和12咋咋
[00584.86-00585.96] 咱们恰恰2对吧
[00585.96-00587.16] 但是够的暴驾驶
[00587.16-00588.20] 说4月2号
[00588.20-00588.96] 不贵
[00588.96-00591.00] 假设4月2号就20个一
[00591.26-00592.80] 我恰当时我就想怎么样
[00592.80-00594.58] 去去2012一
[00594.84-00596.64] 而我当时的月工资是多少呢
[00596.64-00597.84] 我当时的月工资
[00597.84-00598.94] 3000块钱一个月
[00599.24-00601.74] 朋友们来看一下
[00601.74-00603.24] 我当时想的是什么呢
[00603.24-00605.24] 区区一套21的4和月
[00605.24-00608.24] 我按照我的月工资去买这套4和月
[00608.24-00612.24] 我想要在10年内按照我的公资水平
[00612.24-00614.24] 同们注意按照我的公资水平
[00614.24-00616.24] 拿下这套4和月
[00616.24-00619.24] 那我的10年内按我公资水平去买4和月
[00619.24-00621.24] 的这样的一个想法
[00621.24-00623.24] 它属不属于我的有效需求
[00623.24-00625.24] 或者属不属于经济学生的需求
[00625.24-00626.24] 等会儿叛个一下
[00626.24-00627.24] 我们说了经济学生的需求
[00627.24-00630.06] 上的需求同时买就想买钱买得起
[00630.06-00631.08] 首先第一个
[00631.08-00632.48] 北京一套4月20个亿
[00632.48-00633.90] 对吧 我想不想买我太想
[00633.90-00635.28] 我做梦我都想 对吧
[00635.28-00636.90] 首先第一个我买足了
[00636.90-00638.52] 愿意这样的一个点
[00638.52-00640.56] 第二个我能不能够买得起
[00641.56-00642.36] 可能是老实人
[00642.36-00643.36] 你看到半分
[00643.36-00644.90] 穷的地方想要能买得起吗
[00645.92-00648.56] 同样我按照我线紧的工资水平
[00648.56-00650.10] 10年内拿下4月
[00650.10-00651.88] 我是不是没有消了什么
[00651.88-00652.72] 支付能力
[00652.72-00655.28] 所以我不符合能够这个条件
[00655.28-00658.22] 那这个时候他不能同时满足这样的条件
[00658.22-00661.32] 那北京的最少四个月算算我的有效需求
[00662.32-00664.10] 直接就不算我的有效需求了
[00664.10-00665.64] 只能在梦理想想了
[00665.64-00667.16] 那这是我们所说的叫做
[00667.16-00668.76] 我们满足了一元
[00668.76-00671.04] 但没有满足能够这个点
[00671.04-00671.52] 对吧
[00671.52-00672.96] 那我如果反过来说呢
[00672.96-00674.24] 就是比我这个人
[00674.24-00676.64] 当然大家大家可以有个字的这种喜爱
[00676.64-00679.12] 但是我不太喜欢吃香菜
[00679.12-00680.20] 那比如说你看
[00680.20-00682.04] 我说的这个香菜这个东西
[00682.04-00684.08] 香菜就是有很多同学喜欢
[00684.08-00685.96] 对吧,但是我对相差有点过敏
[00685.96-00687.48] 所以我不喜欢相差
[00687.48-00690.28] 那现差呢,相快时,假设,三个钱一斤
[00690.28-00694.72] 三个钱一斤,我越有工资,三个钱我只能够买的起吧
[00694.72-00696.68] 但是我想不想买,不想买
[00696.68-00698.72] 我一次相差,我就赶紧会忽略过去了
[00698.72-00701.36] 那这个时候有没有过买医院,没有医院
[00701.36-00705.00] 那如果没有我们所说的购买医院的话
[00705.72-00709.48] 那在这种情况之下,我们会发现,有没有同时买做
[00709.48-00710.36] 没有同时买做
[00710.36-00713.88] 那没有同时买做,相差,属于我的有效需求
[00714.08-00716.72] 相差也不属于我都有效需求
[00716.72-00721.44] 所以同一般在这里就判断和微需求的时候就抓住一个此两个此旅可以了
[00721.44-00724.92] 叫做愿意且能够购买的商品数量
[00724.92-00728.32] 所以大家注意一下这是我们所说的第一个叫做需求
[00728.32-00733.20] 既然需求代表是你有购买议员同时捏有购买能力
[00733.20-00737.52] 那哪些概念它会影响到你的购买议员或者是购买能力
[00737.52-00741.10] 影響意愿和能力的这些因素就叫做什么
[00741.10-00744.38] 就叫做影響需求的民育素
[00744.38-00747.24] 咱们来看一下影響需求的因素都打现
[00748.26-00748.98] 同们注意
[00748.98-00750.12] 一共是五个因素
[00750.12-00753.44] 这五个因素当中两星期的支持点是呀 前三个
[00753.44-00755.18] 那么先来看一下第一个
[00755.18-00758.14] 第一个强调的是商品自身的价格
[00758.14-00760.62] 同们注意商品自身价格的地方
[00760.62-00764.22] 它在考试当中一共考证几个点
[00764.22-00767.22] 第一个就是会考察它的变动情况
[00767.22-00770.70] 所以它的辩弄情况分两种去讨论大概注意下
[00770.70-00772.92] 第一个就是一般情况之下
[00774.02-00776.34] 这个点就是书上所给到的
[00776.34-00778.74] 它说一般情况一种消费品的
[00778.74-00780.70] 价格月高需求量就会越小
[00780.70-00783.94] 那这三个日常买东西说是不是也是这样的习惯呢
[00783.94-00786.26] 这是如果它价格月高的话
[00786.26-00790.18] 我用P代表的是价格用Q代表的是数量
[00790.18-00791.54] 如果它的价格月高
[00791.54-00793.42] 这个时候数量就会越低
[00793.42-00796.14] 这时候符合正常人的这样的一种预期的
[00796.14-00804.26] 所以一般情况之下,商品自身的价格对商品需求量的影响是反比或者叫做反向变动的
[00804.26-00806.90] 但这里有一个问题,什么问题呢?
[00806.90-00809.02] 就是同学没有考虑过一个情况
[00809.02-00815.86] 我们都知道这个东西死了贵,后贵我只能不想买,那为啥这个东学死了贵的时候你就不想买呢?
[00816.66-00821.22] 这个点是我们在之前的考试当中考察过的说,为什么?
[00821.22-00824.82] 价格越高需求量法而越低,它的原因是什么?
[00824.82-00827.12] 同的想一下就用最值百的
[00827.12-00829.42] 咱们生活当中你所感受到这个
[00829.42-00832.24] 如果老师我觉得他那么贵我买怎么样
[00832.24-00833.02] 不合适
[00833.02-00835.06] 你没想觉得不合适太贵了呀
[00835.06-00836.60] 对我觉得不值那个家人
[00836.60-00838.64] 我用这么高的钱买回来我怎么样
[00838.64-00839.92] 我心里我也不开心
[00839.92-00841.98] 所以在这里面我们会发现
[00841.98-00843.52] 价格越高
[00843.52-00848.62] 需求量法律越贵的原因就在于你觉得这种消费方式对你来说是呀
[00848.62-00849.66] 不合适的
[00849.66-00850.68] 这个不合适
[00850.68-00851.96] 从某种层度是来说
[00851.96-00856.56] 它没有办法让你自己的这种满意程度达到最大幻
[00856.56-00859.56] 这个没有办法让你自己的满意程度达到最大幻
[00859.56-00862.06] 价格越高你的满意程度法而会怎么样
[00862.06-00866.26] 越低,那就意味着这种商品给你带来的秀柔
[00866.26-00867.46] 不是你想的状态
[00867.46-00869.06] 所以它的原因叫做什么呢
[00869.06-00871.66] 它原因就是叫做边级销用的地坚
[00874.96-00876.56] 团马这个写在旁边
[00876.56-00878.96] 这个地方是我们需要大家注意的
[00878.96-00880.36] 第一個考察點
[00880.36-00881.24] 第一個考點
[00881.24-00882.32] 就是為什麼
[00882.32-00884.12] 一般情況之下會成反避
[00884.12-00886.32] 以為我存在編輯消息地檢的情況
[00886.32-00887.64] 同樣都是一支比
[00887.64-00888.76] 同樣想像
[00888.76-00890.44] 如果同樣都是一支比
[00890.44-00892.56] 實惠錢和一塊錢
[00892.56-00893.04] 對吧
[00893.04-00894.04] 都是同樣的東西
[00894.04-00895.56] 你只能願意花一塊錢去買
[00895.56-00897.44] 因為你花一塊錢去買這支比
[00897.44-00898.92] 你感到很滿意
[00898.92-00901.60] 我們如何很良一個人的滿意程度呢
[00901.60-00902.92] 我們在經濟學當中
[00902.92-00904.92] 認為滿意它代表的就是一種
[00904.92-00905.92] 笑容
[00905.92-00908.04] 一種滿意代表的就是一種笑容
[00908.04-00909.72] 那你每增加一个单位
[00909.72-00911.88] 他给你带来了买一程度就要做
[00911.88-00912.72] 边级效用
[00912.72-00914.12] 那你只能加个月高
[00914.12-00915.60] 那你增加一个消息单位
[00915.60-00917.32] 给你带来的买一程度就是大的
[00917.32-00918.04] 月低
[00918.04-00920.12] 那这种就叫做边级效用
[00920.12-00920.64] 第一件
[00920.64-00922.44] 我们在后面的时候会大家
[00922.44-00923.64] 详细地把边级效用
[00923.64-00925.28] 第一件给大家去讲解清楚
[00925.28-00925.96] 所以在这
[00925.96-00927.76] 你先有个这样的概念
[00928.28-00929.16] 大家要注意
[00929.16-00930.32] 这是第一个
[00930.32-00931.32] 一般情况之下
[00931.32-00932.20] 价格月高
[00932.20-00933.32] 许权了反而会
[00933.32-00934.00] 月低
[00934.00-00935.72] 咱们说了这也是一般情况
[00935.72-00937.00] 那有一般就有什么
[00937.00-00941.90] 有一般就有特殊並不是所有商品
[00941.90-00945.26] 它的價格月高需求量都是越低的
[00945.26-00947.16] 但有一些商品它就會呈現
[00947.16-00952.16] 叫做價格月高需求量反而月高的張主情況
[00952.16-00954.76] 那價格月高需求量反而月高的
[00954.76-00958.64] 這一類商品呈現這樣變動趨勢的商品
[00959.36-00962.08] 我們把它稱之為叫做極分品
[00963.20-00965.48] 或者叫做極分商品都一樣
[00965.48-00966.56] 大家注意一下
[00966.56-00968.40] 我在制留给大家竹正一个概念
[00968.40-00969.28] 一定要明确
[00969.28-00971.68] 这个点是第二个考察的重点
[00971.68-00973.84] 这也喜欢考理解形的题目
[00973.84-00975.16] 大家注意一下所谓的
[00975.16-00977.00] 极分商品或者极分品
[00977.00-00979.56] 它不是某一个特定的产品
[00979.56-00980.40] 明白了吧
[00980.40-00982.68] 它是呈现价格越高
[00982.68-00985.88] 需求量越高这种变动趋势的产品
[00985.88-00988.24] 它只要符合这种变动趋势
[00988.24-00990.68] 你别管它是前了辣椒黄图道
[00990.68-00992.84] 它只要是符合这种变动趋势
[00992.84-00994.12] 它都叫做什么
[00994.12-00995.92] 都叫做急分商品
[00995.92-00997.80] 那除了是这几分品咱来的
[00997.80-00999.48] 它其实和这个人有关
[00999.48-01000.92] 这个人叫谁呢?叫急分
[01002.40-01003.16] 这个急分呢
[01003.16-01006.20] 它原来是我们所说的北二篮的经济学家
[01006.20-01008.96] 它当时就是北二篮闹几宫
[01008.96-01011.08] 大家都知道像那边人都吃啥呢
[01011.08-01013.16] 它的主持一般只有两个
[01013.16-01014.12] 一个是土豆
[01014.12-01015.48] 一个是牛肉
[01015.48-01017.16] 北二篮闹几宫的时候
[01017.16-01019.36] 它发现土豆价格框框框上漲
[01019.36-01020.56] 因为东西不够吃嘛
[01020.56-01021.08] 对吧
[01021.08-01023.32] 牛肉价格也开始框框框上漲
[01023.32-01025.12] 同样价格都在上涨
[01025.12-01027.16] 当时他发现的起外了
[01027.16-01032.08] 价格上涨一般情况下人们正常情况之下应该是需求量反而怎么样
[01032.08-01033.12] 既要下来了
[01033.12-01034.36] 但是他发现
[01034.36-01037.24] 当土豆价格和牛肉价格同日上涨的时候
[01037.24-01040.20] 人们对于土豆的需求量反而是增加的
[01040.20-01041.76] 他这时候就那样的面子说
[01041.76-01042.68] 为啥啊
[01042.68-01044.04] 土豆价格都涨了
[01044.04-01045.52] 人们还在去买土豆呢
[01045.52-01046.52] 后来他发现
[01046.52-01049.52] 就是因为二人就吃这两种主食
[01049.52-01052.32] 价格上涨同比条件之下
[01052.32-01054.12] 牛肉的加个上涂涂会更高
[01054.12-01055.08] 那他们没的选
[01055.08-01055.90] 他们就只能什么
[01056.80-01058.80] 他们就只能去买土豆白
[01058.80-01060.04] 虽然土豆加个也上涂
[01060.04-01061.54] 但是也得活得随在吃
[01061.80-01064.04] 所以在这里面就呈现出了一种
[01064.24-01066.28] 趋势就是土豆加一个上涂
[01066.48-01069.16] 人们对于土豆的需求量反而增加了
[01069.28-01070.32] 所以同没有知道
[01070.32-01073.96] 几分商品他代表的是在特定经济背景之下
[01074.20-01075.20] 呈现出来
[01075.48-01076.32] 价格越高
[01076.32-01079.88] 需求让法律高这种变动趋势的商品
[01080.20-01080.72] 注意
[01080.72-01084.24] 他不是特職某个商品明白了
[01084.24-01085.60] 他不是特職某个
[01086.60-01088.16] 他是某一类
[01088.16-01088.92] 某一类
[01088.92-01091.32] 这是这一个类别就是呈现这种变动趋势的
[01091.52-01093.92] 我为啥会给大家去特别强到这个点
[01093.92-01095.80] 因为他考理解行题目的时候
[01095.80-01096.92] 他就经常会问
[01096.92-01098.64] 给你提案当中去设了一个
[01098.64-01099.04] 说呢
[01099.04-01101.44] 这个商品他属于什么品
[01101.44-01103.12] 或者是这个商品他属于
[01103.12-01104.32] AVC的色彩
[01104.32-01106.12] 用很多同学关系了一个土豆
[01106.12-01106.80] 就认为
[01106.80-01108.32] 几分商品只是土豆
[01108.32-01109.48] 其实不是这样的
[01109.48-01113.12] 像这样的一类东西在我们上生活当中挺常见的
[01113.12-01115.52] 你比如说在疫情期间的口罩
[01115.52-01117.52] 让你还疫情期间的口罩是什么
[01117.52-01119.56] 最开始在疫情来领的时候
[01119.56-01121.20] 打了我们一个错徒不及
[01121.20-01122.80] 所以在最开始的时候
[01122.80-01124.52] 口罩价格上着
[01124.52-01126.92] 我们对于口罩的需求量有没有下降
[01126.92-01127.48] 没有吧
[01127.48-01129.32] 我记得我那个时候还有一个习惯
[01129.32-01130.52] 就是团口罩的习惯
[01130.52-01131.84] 2019年年底的时候
[01131.84-01134.44] 我当时是在白城上课
[01134.44-01135.84] 突然就是说
[01135.84-01139.00] 有一种不明的这样的情况出现了
[01139.00-01140.80] 对吧 我就想着能带赶紧回家
[01140.80-01143.60] 但那个时候没有干净是要带口罩或怎么样
[01143.60-01145.00] 突然大家都带口罩
[01145.00-01146.80] 我说我上了那个口罩回家
[01146.80-01148.60] 因为我价是吉林白山的
[01148.60-01150.80] 所以我当时我就想赶紧去调电没口罩
[01150.80-01151.80] 给我去了调电
[01152.60-01154.00] 和家伙别说口罩
[01154.00-01156.00] 你口罩的包装带都没有了
[01156.00-01157.80] 这个时候就买个口罩了
[01157.80-01158.80] 那买个口罩怎么办
[01158.80-01160.80] 我说那也不能不回家
[01160.80-01163.40] 因为那个时候就就要说要带口罩做防护了
[01163.40-01165.00] 我就开始四处去问
[01165.00-01166.00] 有没有买口罩的
[01166.00-01167.80] 当时给我脱到了一个权利
[01167.80-01169.34] 当时过后卖195口罩
[01169.34-01171.02] 我最练的买了最练的五口罩
[01171.02-01172.00] 就在那个权利买了
[01172.00-01173.28] 50块钱一个
[01173.28-01174.92] 那同什么来看一下50块钱一个
[01174.92-01176.32] 我价格是不是最高
[01176.32-01177.20] 那我买过买
[01177.20-01178.04] 我横量了一下
[01178.04-01178.72] 必须要买
[01178.72-01180.60] 因为生命和金钱
[01180.60-01182.12] 谁更重要的钱
[01182.12-01183.40] 虽然金钱也很重要
[01183.40-01184.36] 但是我更习命
[01184.36-01186.24] 所以我当时就买了6口罩
[01186.24-01187.16] 花了3万块钱
[01187.16-01188.92] 结果后面的说大亚都知道
[01188.92-01189.88] 口罩一度怎么样
[01189.88-01191.32] 出现了短缺的情况
[01191.32-01192.28] 大家是不是都在网上
[01192.28-01193.40] 风狂的同口罩
[01193.40-01196.16] 他哪怕是多长时间以后遇受
[01196.16-01199.74] 你是否也花了好几百再逃往上去买了这些口罩啊
[01199.74-01201.94] 那这个其实就是我们所说的什么
[01201.94-01204.68] 刚才的这种口罩的价格变动趋势
[01204.68-01205.78] 他的价格上升了
[01205.78-01208.90] 但人们的需求量不降反升
[01208.90-01211.26] 那当时的口罩就属于什么片
