[00000.00-00006.32] 那我們來看一下第五個部分就是生意在日常生活當中天天都能夠接觸到
[00430.94-00432.64] 因为在书上给到了非常明显
[00432.64-00433.52] 是在什么下
[00433.52-00434.40] 是在
[00434.40-00435.82] 常温条件下
[00435.82-00437.72] 如果他在选项当中给到说
[00437.72-00438.92] 在任何条件之下
[00438.92-00439.92] 声音的传播
[00439.92-00442.02] 都要尊尋一定的效果
[00442.02-00444.46] 都是固体大于液体大于气体
[00444.46-00445.86] 众说法对还是错
[00445.86-00447.74] 众说法一定是错的
[00447.74-00449.08] 所以他在这里大家注意
[00449.08-00451.70] 这个常温下是一个非常照顶
[00451.70-00453.62] 当年在考考试的时候
[00453.62-00454.48] 出现过
[00454.48-00455.46] 朝温下
[00455.46-00456.54] 这一个选项
[00456.54-00459.36] 一定注意不是任何条件下
[00460.90-00464.26] 这是我们所提到的有关于生意
[00464.26-00465.94] 它的一个传播情况
[00465.94-00468.92] 所以在这里面一共是两个大的这是点
[00468.92-00471.34] 一个就是政动产生伸播
[00471.34-00472.94] 这个伸播我们对它的观测
[00472.94-00474.46] 在不同界的当中不一样
[00474.46-00477.26] 第二个我们都知道生意的传播需要戒指
[00477.26-00479.18] 第一个点就是要明确
[00479.18-00480.74] 在征控中不能传播
[00480.74-00482.58] 第二个就是这个长恩下
[00482.58-00484.14] 它戒指的传播的速度
[00484.14-00485.86] 考两个点大家要明确
[00485.86-00489.82] 這是第一個我們要去掌握的就叫做聲音的傳播
[00489.82-00492.38] 那了解了聲音的產生和傳播之後
[00492.38-00496.02] 接下來我們來看一下第二個叫做聲音的特性
[00496.02-00500.02] 聲音的特性的地方就是考察一個對應和案例
[00500.02-00502.58] 聲音的特性一共是包括三個內容
[00502.58-00504.34] 第一個叫做音色
[00504.34-00505.78] 第二個叫做音調
[00505.78-00507.58] 第三個叫做想度
[00507.58-00511.02] 那這三個概念是我們所說的聲音的特性
[00511.02-00514.26] 那我們需要掌握的就是影響音色的音速
[00514.26-00517.54] 有哪些影响音调的有哪些或者是影响
[00517.54-00519.30] 想度的音速分别是什么
[00519.30-00522.50] 第二个就是在知道它的影响音速之上
[00522.50-00523.98] 去变息按例
[00523.98-00528.34] 它说的这个点到底是考察的是音色音调和想度当中的
[00528.34-00529.18] 哪一个
[00529.18-00531.70] 首先来看一下第一个点就叫做
[00531.70-00532.54] 音色
[00532.54-00534.10] 音色在这里它说了
[00534.10-00537.94] 说不同的人的声音和不同的物体的声响
[00537.94-00539.34] 它其实是可以区分的
[00539.34-00541.50] 我们区分音色主要靠什么呢
[00541.50-00542.02] 大家注意
[00542.02-00544.14] 音色它其实是一个相对来说比较
[00544.14-00548.24] 综合的一个方面,单一般情况之下,我们认为影响因色
[00548.24-00556.94] 他的因素和什么有关呢?是和这个物质他自身的购成有关,或者说是跟这个材料的特性有关
[00556.94-00566.14] 所以,一般情况之下,我们认为是材料不同生因不同,或者是物质的特性不一样,生因不一样
[00567.94-00574.10] 举个简单的例子,比如说如果大家是非常熟悉越起的话,这种情况之下,你是不是就能够
[00574.10-00576.10] 非常明確的去变弊出來
[00576.10-00578.74] 我們所說的這個皮怕的聲音和股前的聲音
[00578.74-00580.98] 如果老師那我不是那種就學閱系的
[00580.98-00582.34] 那你也能分別出來
[00582.34-00583.58] 你這起買一聽的聲音
[00583.58-00585.38] 能分別出來抵赴的聲音
[00585.38-00587.98] 和其他的聲音是不一樣的
[00587.98-00590.22] 原因是為啥你能分別出來呢
[00590.22-00592.18] 那就是在於他們的什麼
[00592.18-00593.30] 物質特性不一樣
[00593.30-00594.66] 換句話說他們的
[00594.66-00596.98] 材料不同導致聲音不一樣
[00596.98-00599.42] 比如說你聽我現在挑擊的聲音
[00599.98-00601.86] 我現在挑擊當當這兩聲
[00601.86-00604.02] 是我挑擊物材的聲音
[00604.02-00606.78] 但是如果在挑几些其他的东西比如说
[00606.78-00608.54] 我现在挑金属
[00609.26-00612.26] 你听金属的声音是不是和我们所说的
[00612.26-00614.94] 这个木材的声音挑几出来不一样
[00614.94-00618.06] 那就是因为材料不同导致的声音像不一样
[00618.06-00621.82] 所以像因色它在考试当中经常考察的案例
[00622.82-00624.14] 就是它的一个应用
[00624.14-00626.58] 最典型的就是文声实器
[00631.30-00632.46] 那就是文声实器
[00632.46-00635.94] 听不同的声音就能变别不同的约期
[00635.94-00637.70] 这是我们所说的有关于
[00637.70-00640.26] 第一个点就是因色因色
[00640.26-00641.90] 声音出了因色之外
[00641.90-00644.26] 第二个就是我们所说的音调
[00644.26-00646.90] 这个音调首先第一个大家要明确
[00646.90-00649.94] 音调的影响因素是震动的频率
[00649.94-00652.62] 所以同样把这个震动频率标出出来
[00652.62-00654.18] 这个是它的影响因素
[00654.18-00655.46] 一般情况之下
[00655.46-00656.70] 频率越高
[00656.70-00658.26] 音调就会越高
[00658.26-00659.14] 举个简单例子
[00659.14-00660.94] 我们经常会听到有人唱歌
[00660.94-00661.86] 人唱歌之后呢
[00661.86-00663.98] 比如说像那个情脑高员
[00663.98-00664.98] 雅娜说
[00664.98-00665.30] 然后呢
[00665.30-00666.30] 就是清清灯灯
[00666.30-00667.58] 然后一下子反上去了
[00667.58-00667.98] 对吧
[00667.98-00668.70] 那这个时候
[00668.70-00670.46] 他的声音是属于什么
[00670.46-00671.18] 我们经常说
[00671.18-00671.58] 哎呀
[00671.58-00672.26] 你太了不起了
[00672.26-00672.54] 对吧
[00672.54-00674.46] 你唱歌你这个第二太狗了
[00674.46-00675.06] 那这个时候
[00675.06-00676.58] 强调他的第二太狗了
[00676.58-00678.26] 那其实就是在强调什么
[00678.26-00679.14] 音调
[00679.14-00680.94] 因为真动频率越快
[00680.94-00683.26] 他的音调就会越高
[00683.26-00684.14] 所以在这里面
[00684.14-00684.70] 我们都知道
[00684.70-00685.42] 音调了一想
[00685.42-00687.42] 因此就在于他的频率
[00687.42-00688.30] 那这个频率
[00688.30-00689.38] 在现实我当中的
[00689.38-00690.70] 应用会最长好的
[00690.70-00695.70] 按立,就是我们经常说唱歌嘛,对吧,女高音和南低音
[00696.90-00706.70] 啊女高音和南低音,那这里的高和低,其实就是在强调什么,就是在强调音调的问题,就是在强调音调的问题
[00706.70-00720.66] 所以这是第二个,我们所说的音调,所以我们一般听起来比较坚热的,相对来说呢,就是我们感觉有一点点词的,在很多情况之下,它其实都是在强调它的音调,它和事务的真正频率有关系
[00720.70-00723.70] 頻率越快,它的音調就會越高
[00723.70-00726.70] 這是我們所說的,第二個點叫做音調
[00726.70-00730.10] 第三個點聲音的特性之在於它的想度上
[00730.10-00737.70] 這個想度,我們一般情況之下,聲音有大游笑,比如說我現在非常大聲的那時候
[00737.70-00741.70] 跟我的朋友說,怕在他兒別喊,他都會跟我說什麼,小的聲音贏死我了
[00741.70-00742.70] 對吧,嘲死了
[00742.70-00747.20] 那這種情況之下,他其實就是在形容我的聲音的大小
[00747.20-00750.12] 生意的大小也叫做生意的強弱
[00750.12-00753.12] 生意的強弱首先大家知道何什麽有關
[00753.12-00756.36] 在這裡就叫做和政府有關
[00756.36-00760.00] 我們所說的事物的政動幅度
[00760.00-00763.28] 政府越大、想度越大
[00763.28-00766.12] 或者是它的生意強度越大
[00766.12-00768.20] 這個就是我們所說的政府
[00768.20-00770.00] 最美形象的例子
[00770.00-00774.20] 其實想一下比如說現在只有一面大股
[00774.20-00778.22] 然后你现在在这个股商放一些我们所说的这个只剩
[00778.62-00779.82] 放一些只剩
[00779.98-00784.26] 放了这只剩之后现在拿着股传来挑击这个股
[00784.42-00787.20] 这个股传挑击这个股的时候股面是会震动
[00787.36-00791.60] 当你挑击股传当你股传挑击股面的时候声音很小的时候
[00791.60-00793.00] 就是轻轻挑击
[00793.00-00795.92] 你会发现这个只它也是一坦一坦的
[00795.92-00798.24] 但是坦的这个股肚是不是特很小
[00798.24-00799.42] 那它坦的股肚小
[00799.42-00801.94] 这个时候你听股发出来的声音就会怎么样
[00801.94-00802.74] 就会很小
[00802.74-00806.94] 那现在你论员了歌本拿这个谷创听抗去挑
[00806.94-00808.94] 连发现在谷面镇动的时候
[00808.94-00812.14] 这个上面的指线它的谈跳书机很高
[00812.14-00814.54] 那这个时候就意味着镇动幅度很大
[00814.54-00816.34] 这个时候谷的声音时候就很大
[00816.34-00817.74] 就可以传出去很远
[00817.74-00818.94] 所以在这里我们都知道
[00818.94-00821.54] 想度就快它的镇动幅度有关
[00821.54-00824.14] 那它经常会考察的一个应用就是在什么呢
[00824.14-00825.54] 刚才就是我们所说的
[00825.54-00828.14] 声音的大小声音的强弱
[00828.14-00829.74] 其实都在强调的想度
[00829.74-00831.84] 或者我们经常听到的叫做
[00831.84-00833.84] 引航高哥和低生细羽
[00835.12-00836.78] 引航高哥
[00839.42-00841.42] 和低生细羽
[00841.42-00843.56] 像这低生细羽
[00843.56-00845.80] 像这两个成月形容的
[00845.80-00846.98] 其实就是在什么
[00846.98-00848.74] 就是在我们所说的这个
[00848.74-00849.82] 想度上
[00849.82-00850.78] 就在想度上
[00850.78-00852.10] 所以在声音的特性里面
[00852.10-00853.54] 同们就掌握住两个维度
[00853.54-00855.94] 影响因素和它的具体应用
[00855.94-00857.50] 这是我们所说的第二个
[00857.50-00859.14] 叫做声音的特性
[00859.14-00860.34] 叫聲音的特性
[00860.94-00862.94] 好,那我們接下來開一下第三個
[00862.94-00865.66] 那聲音的話呢,其實我們經常會聽到
[00865.66-00867.62] 但是人能補著到的聲音呢
[00867.62-00869.90] 是我們能夠聽到的聲音的範圍
[00870.14-00872.58] 在這個範圍當中,太高或者是太低
[00872.58-00875.54] 都沒有辦法讓人能夠聽到這個發聲
[00875.54-00875.98] 對吧?
[00875.98-00877.86] 那在這個裡面我們來看一下
[00877.98-00879.38] 首先第一個我們需要明確
[00879.38-00881.30] 再掌講第三個問題之前
[00881.30-00882.86] 我們需要知道人
[00882.98-00885.06] 它能夠聽到的聲音範圍
[00886.50-00888.10] 人能聽到的
[00889.14-00891.82] 声音范雷是多大呢
[00891.82-00893.82] 其实人能听到的声音范雷
[00893.82-00895.54] 其实是在于我们所说的
[00895.54-00898.74] 20Hz到2万Hz
[00898.74-00903.38] 这个2万Hz也被称为叫做20千克
[00903.38-00908.54] 这个范雷是人能听到的范雷
[00908.54-00910.64] 如果说现在的声音
[00910.64-00912.38] 它比20Hz要低
[00912.38-00913.70] 我们是不是就听不到了
[00913.70-00916.38] 如果现在声音超过了2万Hz
[00916.38-00918.02] 也就是20千赫的话
[00918.02-00919.06] 我也听不到
[00919.06-00924.18] 我们把这个小鱼20赫字的声音成为低声波
[00924.78-00929.50] 我们把这个大鱼两万赫字的声音叫做超声波
[00930.94-00932.78] 所以在这里面就会出现
[00932.78-00935.26] 我们所说的低声波和超声波的问题
[00935.26-00937.42] 所以在这里面一共三个方面的考虑
[00937.42-00938.62] 第一个大家要知道
[00938.62-00940.38] 人生他能听到的范围
[00940.38-00941.38] 去坚是多少
[00941.38-00943.34] 第二个我们要来分别看一下
[00943.34-00944.62] 超声波和低声波
[00944.62-00945.70] 它是怎么合适
[00945.70-00952.06] 首先看一下超声波超声超声就是超过人能够听到声音的上线
[00952.06-00956.42] 对吧超声波它说是高于20千合的声音
[00956.42-00959.78] 这个就叫做超声波所以我们一般情况下是听不了的
[00959.78-00962.94] 但超声波在上声波当中有很多应用
[00962.94-00968.90] 大家注意一下声音它其实产生的一种声波只要有波动就一定会产生能量
[00968.90-00971.50] 我们就可以用这种超生波来进行干嘛呢
[00971.50-00973.06] 来进行相当低一个
[00973.06-00976.46] 特殊或者是侧具根据这个声音
[00976.46-00978.62] 超生波它的发出来进行
[00979.14-00980.42] 侧素或者是侧具
[00980.42-00983.14] 第二个呢就是超生波还可以用来清洗
[00983.14-00985.14] 答应的听过超生波洗呀
[00985.14-00986.30] 超生波洗碗
[00986.30-00986.66] 对吧
[00986.66-00988.74] 那这种情况之下可以用来清洗
[00988.74-00990.54] 超生波还可以用来
[00990.54-00991.62] 随时
[00991.62-00994.26] 那因为生波它会传练能量
[00994.26-00996.02] 那这时候就可以用超生波
[00996.02-00998.34] 它的超高的频率来进行
[00998.34-01009.08] 所以是,还有可以干嘛,超升波还可以用来避超级这个大家也经常能够看到对吧,去提简的时候是不是就会有避超的这种检察的这样效果
[01009.08-01011.40] 那他主要原因就是要超升波
[01011.40-01015.64] 所以在超升波当中的同学要掌握的就是他的一个具体的应用
[01015.64-01018.08] 那这是我们所说的超升波的内容
[01018.08-01025.64] 那这是大鱼20,000和那如果是低于20赫资的话,我们也听不了声音,那这种就叫做低升波
[01025.64-01028.72] 低生活它的应用其实不太会提到
[01028.72-01030.92] 在这里问对于低生活的掌握
[01030.92-01032.60] 只需要长住一个点就行了
[01032.60-01033.68] 在这儿他说过
[01033.68-01036.52] 说刺生博会叫低生活
[01036.52-01038.44] 他准确来生给叫刺生博
[01038.44-01041.00] 他说刺生博是小鱼二十赫资的生活
[01041.00-01042.96] 刺生博大家知道一个点
[01042.96-01045.80] 就是他对人体会产生危害
[01045.80-01047.72] 因为刺生博他的生意
[01047.72-01050.36] 他很容易跟人体的气观产生共争
[01050.36-01053.08] 一旦共争的话就会损上脏气
[01053.08-01056.56] 那在這種情況之下,人可能會導致死亡
[01056.56-01058.12] 所以大家知道這個刺生部
[01058.12-01060.60] 不一定會叫低生部,叫刺生部
[01060.60-01063.48] 它其實本質上是對人身體有害的
[01063.48-01064.72] 所以大家要注意一下
[01064.72-01067.60] 但是這個是我們所說的,對人身體有害
[01067.60-01069.40] 但並不意味著刺生部
[01069.40-01072.28] 它一點作用都沒有,這個點大家要明確
[01072.28-01074.04] 這個刺生部,它的一個應用
[01074.04-01077.48] 咱們其實應該在後面的時候會大家講
[01077.48-01079.64] 刺生部它有刺生的應用
[01079.64-01081.96] 刺生部的應用在那,就是在於
[01081.96-01085.44] 我们在后面会大家去讲到生物学
[01085.44-01087.84] 讲到生物知识的时候它会有这个
[01087.84-01089.72] 房生物的这样的一个技术
[01089.72-01092.20] 房生物技术的时候就是会讲到一个
[01092.20-01093.84] 就是水墨尔风暴一
[01095.84-01098.44] 水墨尔风暴预测一
[01100.76-01102.72] 这个水墨尔风暴预测
[01102.72-01105.04] 它其实就是对于水墨的
[01105.04-01106.48] 这样的一个我们所说的
[01106.48-01108.16] 房生的这样一个生物技术
[01108.16-01111.28] 那这个水墨它其实是能够预测海上风暴的
[01111.28-01116.66] 水母预测海方风暴是提前多少时间能够提前15个小时来预测
[01116.66-01119.94] 那他预测海方风暴的时候其实就是利用什么
[01119.94-01121.38] 四书不水母
[01121.38-01123.78] 大家都知道这个水母长得很可爱 对吧
[01123.78-01125.26] 有长得很好看的
[01125.26-01127.78] 有长得比较下人的
[01127.78-01130.06] 但一般情况之下都发光都很好看
[01130.06-01131.62] 当然我观测到水母的话
[01131.62-01133.94] 你会发现水母它其实是有什么呢
[01133.94-01135.60] 是有这个二十的
[01135.60-01138.48] 就是它的转子上或者它身出来的一些
[01138.48-01140.14] 动上都有一个小圈
[01140.14-01142.14] 那另一個像小腳一樣的東西
[01142.14-01143.62] 其實是20
[01143.62-01146.22] 像他的這種是神經接收器
[01146.22-01147.46] 這個神經接收器
[01147.46-01149.78] 它其實就能夠感受到刺生波
[01149.78-01151.66] 那我們就根據這個原理
[01151.66-01153.02] 就搞出來了我們所說的
[01153.02-01154.58] 這個生物封暴預測於
[01154.58-01157.98] 那它其實就是根據刺生波的應用
[01157.98-01160.46] 那這個就是我們所提到的關於生血
[01160.46-01161.98] 所以生血相對來說
[01161.98-01162.82] 比較簡單
[01162.82-01165.78] 我們就知道生音如何產生如何傳播
[01165.78-01167.58] 知道我們所說的生音的特性
[01167.58-01170.54] 以及人類它能夠感受到的生意的範圍
[01170.54-01173.66] 低於和高於分別產生了什麼就可以了
[01173.66-01175.98] 好,這是整個生學的內容
[01175.98-01177.82] 接下來我們需要了之後
[01177.82-01179.18] 來做一道體壓來看一下
[01179.18-01181.06] 它在考試當中經常會怎麼考
[01181.06-01183.18] 在這裡面它其實就是考的案例
[01183.18-01186.78] 它說你看,下列施此所對應的物理知識
[01186.78-01189.26] 不正確的有哪些物理知識
[01189.26-01191.42] A選項說物同規矩
[01191.66-01196.98] 橫牛威,然後後面是短低五槿、信口吹
[01196.98-01199.66] 就是小孩放牛回来做在那个牛背上
[01199.66-01199.98] 对吧
[01199.98-01200.66] 然后干嘛呢
[01200.86-01201.54] 吹底子
[01201.74-01203.74] 叫做短底无枪性口吹
[01203.74-01205.82] 他说短底发出的声音
[01205.82-01208.46] 是底子本身震动产生的吗
[01208.62-01209.46] 大家注意一下
[01209.46-01211.90] 声音是震动产生的没错
[01211.90-01213.50] 但是短底他发出声音
[01213.50-01214.90] 是因为那个木头折了吗
[01214.90-01215.62] 不是吧
[01215.62-01218.06] 那个底子上上面有一个恐一恐一恐
[01218.06-01219.58] 那个恐就用来干嘛
[01219.58-01222.54] 就用来引起空气震动发生的
[01222.54-01226.02] 所以短底发生不是因为底子折了
[01226.02-01228.38] 你底子震动我们听不到音调
[01228.38-01229.22] 它是由于什么
[01229.22-01231.42] 它是由于空气震动所导致的
[01231.42-01233.94] 所以A显相说法是错误的
[01233.94-01236.22] 并显相估书成外韩山四
[01236.22-01237.58] 夜半中生到客串
[01237.58-01238.06] 对吧
[01238.06-01239.14] 那个思标当中
[01239.14-01240.06] 光光轄中
[01240.06-01241.26] 然后这个时候你言
[01241.26-01242.94] 在传上可以听到
[01242.94-01244.22] 中生到客串说明
[01244.22-01245.74] 声音可以靠空气传播
[01245.74-01246.66] 没问题
[01246.66-01248.06] 声音可以靠空气传播
[01248.06-01249.46] 这是借着问题
[01249.46-01250.26] 所以想想
[01250.26-01251.82] 大型草草如级雨
[01251.82-01253.54] 小型借借如思雨
[01253.54-01254.98] 我们能够听到
[01254.98-01257.58] 大嫌和小嫌生音不同
[01257.58-01260.02] 生音不同的话主要就是因为什么不同
