[00000.00-00007.24] 我们接下来再往后看,看下第三个,这第三个住民的要学家就是张重警
[00275.76-00278.58] 然后有人也把张伦警称为什么
[00278.58-00279.86] 称为叫做
[00279.86-00283.14] 叫做方中之组或者是中方之组
[00283.14-00284.98] 现在旁边
[00284.98-00287.02] 叫方中之组
[00287.02-00288.76] 或者是我们所说的叫做
[00288.76-00292.14] 中方之组
[00292.14-00293.86] 叫做方中之组
[00293.86-00299.06] 或者叫做中方之组
[00299.06-00302.26] 因为他在广苏要方的时候很多整个好的东西
[00302.26-00304.18] 都收集到了他的上海论当中
[00304.18-00306.18] 所以他也被称为叫做方中之组
[00306.18-00309.58] 或者叫做我们所提到的中方之组
[00309.58-00311.98] 所以这个是我们所说对他的一个尊成
[00311.98-00315.18] 而他编写出来的这个剧作呢就叫做伤喊
[00315.18-00316.18] 罩病论
[00316.18-00318.98] 我们就来看一下有关于三喊罩病论的具体的内容
[00318.98-00320.78] 在下面那一段当中
[00320.78-00323.58] 多伤喊罩病论系统的分析了伤喊的原因
[00323.58-00325.38] 正庄发展阶段也就处理方法
[00325.38-00326.58] 这不同的阶段
[00326.58-00328.10] 我们要针对不同的犯法
[00328.10-00329.58] 这是不是对正式要啊
[00329.58-00331.78] 也就是我们所说的变正式制
[00331.78-00333.98] 所以在这里面在伤喊罩病论当庄
[00333.98-00337.86] 对商汉并分6金分类的变政事政
[00337.86-00339.46] 就不同的借段期于不同的方法
[00339.46-00341.54] 你不能说现在一感冒了都得上感冒了
[00341.74-00344.58] 或者现在一感冒了都给它却却却真不是的
[00344.58-00346.54] 不同的借段不同的病因
[00346.54-00347.90] 你要给到的病政不一样
[00347.90-00348.90] 这也是中一
[00348.90-00351.34] 和西最不一样的一点就是变政 对吧
[00351.34-00353.02] 所以在这里面大家先坏下
[00353.02-00354.58] 商汉的大病论当中的第一个点
[00354.58-00355.78] 就是它所提到的
[00355.78-00358.82] 就做6金分类的变政事政
[00358.82-00362.06] 这是第一个小达去掌握的商汉论当中的内容
[00362.06-00364.88] 第二就是商汉论的元素后来十三了
[00364.88-00367.44] 今后人整理把商汉论分成了两边
[00367.44-00370.24] 第一边就叫做商汉论分成了两边
[00370.24-00371.78] 第一个叫商汉论
[00371.78-00374.08] 第二个就叫做金精要率
[00374.08-00376.86] 当然现在有没有吃过一个要
[00376.86-00378.86] 我之前身体不太好的时候中一件
[00378.86-00379.72] 我吃不气的
[00379.72-00381.52] 叫金精剩气玩
[00381.52-00383.30] 金精剩气玩
[00383.30-00384.58] 它其实来最什么
[00384.58-00385.86] 你看像金精
[00385.86-00387.40] 其实就是我们所说的
[00387.40-00389.70] 金精要率的名字
[00389.70-00392.10] 所以像我们所说的这个圣气玩
[00392.10-00394.26] 其实最早就原资于张重警的
[00394.26-00395.34] 警惠要越
[00395.34-00400.70] 所以现在你看你任何你商医区的这种一步圣气的重要
[00400.70-00402.38] 它其实都叫做警惠圣气玩
[00402.38-00404.74] 它无论是哪一个调厂出的
[00404.74-00405.70] 它都叫一个名字
[00405.70-00407.74] 其实就是出自于张重警的什么
[00407.74-00409.98] 商涵 咋并论 商涵咋并论
[00409.98-00410.94] 这是第二点
[00410.94-00411.70] 同瞅注意一下
[00411.70-00413.74] 一会 商涵咋并论 当中的第二期节
[00413.74-00416.18] 商涵咋并论 当中的第三个期节是什么呢
[00416.18-00417.78] 同们标主在旁边
[00417.78-00422.12] 商量的第三个细节就是在于商量的大并论的地位
[00422.12-00427.62] 现在旁边它是我国第一步
[00429.62-00431.36] 第一步零床
[00433.66-00437.50] 它是我国第一步零床治了血方面的注作
[00442.36-00446.44] 被称为后世被后世玉围为了直接写了
[00446.44-00449.44] 被后是预为万事保典
[00451.44-00455.44] 这个伤喊打冰论的地位同学们一定要记得
[00455.44-00460.44] 因为它很容易和理实真的东方要具典的本草刚木稿回想
[00460.44-00462.44] 所以它被称着也叫做万事保典
[00462.44-00466.44] 所以这个是我们所说的有关于伤喊打冰论
[00466.44-00467.44] 它的具体内容
[00467.44-00469.44] 所以在这个地方大家要明确
[00469.44-00472.44] 这是我们所说的有关于张重警
[00472.44-00474.24] 身上的这么几个细节点
[00474.24-00476.28] 第一个东汉莫年第二一圣
[00476.28-00480.44] 那他一圣来自于他的一德和他的一树
[00480.44-00482.92] 那他同时在收集一方的时候
[00482.92-00485.52] 也被称为方中之组和重方之组
[00485.52-00485.92] 对吧
[00485.92-00487.36] 那他和他相当的点顾
[00487.36-00488.80] 我们讲了做唐一
[00488.80-00490.24] 当然还有一个和他的点顾
[00490.24-00491.64] 就是什么吃脚子
[00491.64-00494.52] 这个吃脚子也和张重就有关
[00494.52-00496.32] 脚子权于东汉时期
[00496.32-00498.04] 是张重就用手创的
[00498.04-00501.52] 因为当时他在路过一些地方的时候
[00501.52-00504.24] 政治喊多很多人其实都生病了
[00504.24-00506.48] 很多人都是耳朵都动烂了
[00506.48-00507.60] 她觉得挺难受的
[00507.60-00509.44] 后来她就把羊肉和一些
[00509.44-00512.04] 驱喊的腰踩放在一块放锅里煮
[00512.04-00513.20] 煮完了之后给大家吃
[00513.20-00515.00] 所以那个时候把那个脚子
[00515.00-00517.48] 捏成了耳朵的形状叫做糾而
[00517.48-00520.24] 于是才有了最初的脚子这一说
[00520.24-00520.84] 好吧
[00520.84-00523.88] 这是我们所说的伤喊咋病论
[00523.88-00524.52] 大家注意一下
[00524.52-00526.16] 伤喊咋病论也好
[00526.16-00527.16] 或者医生也好
[00527.16-00528.60] 现在在河南电视台
[00528.60-00531.68] 其实有一个人物具就叫做医圣
[00531.68-00533.84] 大家都知道河南电视台
[00533.84-00537.24] 再去宣传中华文化这一块做的简直是太好了
[00537.24-00540.44] 我建议大家可以去看看是深圳大家门人影业
[00540.44-00543.68] 和重警晚上需要联合拍摄的叫做医圣
[00543.68-00545.84] 这个就是来演张重警的
[00545.84-00550.36] 所以张重警可以说是某种程度而和我们所说的话图是同一个事情
[00550.36-00552.32] 所以在这里会考察一个点
[00552.32-00554.40] 这个点就是经常会在这考察说
[00554.40-00559.26] 以下是很有可能发生的事
[00559.26-00561.30] 这个时候他就会给到说
[00561.30-00562.08] 拿可以发生
[00562.08-00562.84] 可能发生
[00562.84-00564.52] 然后说话图
[00564.52-00566.18] 章种警告商害大并论
[00566.18-00567.20] 可不可以
[00568.48-00569.00] 当然可以
[00569.00-00570.52] 都是东汉莫年
[00570.52-00571.80] 而且人家的话图
[00571.80-00573.08] 真的读过商害大并论
[00573.08-00574.88] 当时给商害大并论给了一个
[00575.38-00576.42] 非常高的评价
[00576.42-00578.60] 说着真活人输演
[00578.60-00579.74] 这活人命的输
[00579.74-00581.54] 所以这个时候可能发生的
[00581.54-00583.84] 所以我说了他考察人物和朝代
[00583.84-00587.06] 只要是同一个朝代的很有可能指揮在块
[00587.06-00588.74] 所以在这个地方打招注意一下
[00588.74-00591.88] 只是第三个我们所说的叫做张重警
[00591.88-00594.20] 大家注意一共四个考点
[00594.20-00597.64] 最后一个有细节就是上韩达冰论当中的三个细节
[00597.64-00598.64] 这第三个
[00598.64-00602.84] 第四个我们所说的诸名的一选价就是个红
[00602.84-00605.76] 大家对于个红的了解应该是来自于图优优
[00605.76-00607.28] 对吧他发现了清好素
[00607.28-00609.16] 或者弄贝尔声明一学讲
[00609.16-00612.56] 那他的这个情号素其实就是根据各红的
[00612.56-00615.56] 我们所提到的走后方它的记载所得的
[00615.56-00617.52] 我们来看一下各红的第一个点
[00617.52-00618.32] 大家注意一下
[00618.32-00621.36] 各红的它属于第一个叫做东汉时期
[00621.36-00622.64] 把东汉时期划出来
[00623.52-00627.08] 各红东汉时期别名的报葡字
[00627.08-00629.32] 这个报葡其实是它的
[00629.32-00630.40] 不是它的名字
[00630.40-00631.80] 而是它出到之后
[00631.80-00634.72] 它的这个类似于像浩一样
[00634.72-00636.12] 这样的一个东西
[00636.12-00638.40] 普南代表的持续就是反普规征
[00638.40-00640.88] 所以在这里面他起来叫做爆菩子
[00640.88-00643.80] 这是第一个大家知道他什么17的人
[00643.80-00646.60] 第二一个就是在这里面大家要注意
[00646.60-00647.60] 不要注意一下圈儿
[00647.60-00648.60] 这是他的注作
[00648.60-00650.60] 我说了考人物和注作的对应版
[00650.60-00654.80] 叫做注油我国第一部零传急就是有车
[00654.80-00655.80] 走后方
[00655.80-00657.20] 把零传话出来
[00657.20-00658.60] 把走后方话出来
[00658.60-00661.80] 这个走后方也叫做走后背急方
[00661.80-00663.60] 他为什么叫做走后方
[00663.60-00664.40] 你先听这个名字
[00664.40-00666.00] 你就知道他其实很方便
[00666.00-00666.80] 什么叫走后
[00666.80-00669.04] 这你哥不着后面你身手就能拿着的
[00669.04-00670.80] 那你就一直走后方
[00670.80-00672.60] 它其实在本身上
[00672.60-00674.72] 对于我们所说的老百姓的使用家
[00674.72-00675.44] 就特别大
[00675.44-00677.56] 那就因为它这个走后方里面
[00677.56-00679.72] 会放很多我们所说的什么
[00679.72-00681.28] 你自己去查了
[00681.28-00682.68] 就能用的这些东西
[00682.68-00685.12] 所以就做零唇急就手策
[00685.12-00686.76] 所以就要走后背击方
[00686.76-00687.96] 你也会哥不走
[00687.96-00688.84] 就能拿到
[00688.84-00690.52] 所以它是起座于这个名字
[00690.52-00691.72] 所以在这里大家注意一下
[00691.72-00693.72] 这它的注作就做走后方
[00693.72-00696.20] 而叔忠是最早对天花等
[00696.20-00698.50] 傳染病做了相當的記載
[00698.50-00699.96] 這個就是我們所說的
[00699.96-00701.90] 有關於他的具體的註做
[00701.90-00703.50] 就是說到這個紅案
[00703.50-00704.12] 大家注意一下
[00704.12-00705.20] 你看他這個報酷子
[00705.20-00706.90] 其實從這就能看得出來
[00706.90-00708.80] 他其實是幹嘛
[00708.80-00711.00] 他其實是輸到的這樣的一個人
[00711.00-00713.50] 個紅案他自自穿
[00713.50-00715.70] 他其實是現在的江蘇人
[00715.70-00717.60] 他是老家是在江蘇的
[00717.60-00720.00] 他的父親從在東武的時候當官
[00720.00-00723.00] 當時是在東武的快機當太守
[00723.00-00724.20] 個紅那從小的時候
[00724.20-00725.20] 就特別的候選
[00725.20-00727.56] 小脑瓜子一通名13歲的時候
[00728.02-00729.30] 直播他附近去世了
[00729.30-00730.44] 就是加道中落
[00730.44-00732.32] 就是生活十分困苦
[00732.32-00733.14] 所以他那個時候呢
[00733.14-00734.30] 因為他比較耗學
[00734.30-00735.44] 所以他想讀書的時候
[00735.44-00737.48] 他就會上山去凯一些拆貨
[00737.74-00738.60] 然後拿回家裏
[00738.60-00740.18] 換成文句用來學習
[00740.18-00742.08] 然後經常也會抽出抽自
[00742.34-00743.12] 抽到半夜
[00743.12-00744.40] 他性格特別的成員
[00744.40-00745.68] 有特別的耗學
[00745.68-00746.44] 所以
[00746.96-00749.14] 最後才成了我們國家歷史上
[00749.14-00750.18] 著名的叫什麼呢
[00750.18-00751.04] 醫學家
[00751.04-00751.78] 到學家
[00751.78-00753.62] 練單家和右學家
[00753.62-00754.64] 那這是在這
[00754.64-00756.18] 这个隔侯他比较有意思
[00756.18-00760.28] 他的修道其实是和他的家学有一定的缘缘
[00760.28-00761.80] 许说是家学缘缘
[00761.80-00764.62] 其实是和他的二大也有一定的关系
[00764.62-00768.96] 这是他的父亲经常会把他的书房的要使
[00768.96-00770.50] 然后就交给这个隔侯
[00770.50-00773.28] 那个侯从小会比较喜欢读书就在父亲去之前
[00773.28-00774.92] 所以读了很多的这种书
[00774.92-00778.16] 然后经常也会问他父亲一些无理侯的一些问题
[00778.16-00781.78] 有一次他在他的父亲的书房道装读了一本书
[00781.78-00783.82] 那本书叫做经业单经
[00784.64-00787.78] 同時你們聽這個名字你覺得他像個什麼
[00787.78-00789.68] 像一個球鮮的屬 對吧
[00789.68-00791.60] 球球球鮮修到了屬
[00791.60-00794.08] 然後他那個狗紅跟他跌說
[00794.08-00795.76] 他如果看咱家有一本說
[00795.76-00797.26] 就跟經驗搬經
[00797.26-00798.32] 他跌這個那說
[00798.32-00800.80] 你跟年齡現在不太適合看
[00800.80-00802.56] 然後狗紅又說說你看
[00802.56-00805.68] 這個書裡面有好多個學人的住解
[00805.68-00807.16] 他跌這個那說說對對
[00807.16-00809.80] 這個書是隔學人他師傅傳給他的
[00809.80-00812.52] 然後這個那個狗紅就問
[00812.52-00814.94] 说呢个选的师傅是谁啊
[00814.94-00816.36] 然后他父亲会说
[00816.36-00817.56] 说个选的师傅说
[00817.56-00820.20] 四三国时期的就做词
[00820.20-00821.24] 这就做词
[00821.24-00822.76] 其实当时是会法术的
[00822.76-00823.92] 然后狗就说话
[00823.92-00826.10] 我听说他会法术
[00826.10-00827.12] 然后他爹就说对
[00827.12-00828.12] 所以当时
[00828.12-00829.68] 个选呢
[00829.68-00830.44] 也做得特别好
[00830.44-00831.72] 就失从个词
[00831.72-00833.24] 所以个选业了很多东西
[00833.24-00833.88] 个选呢
[00833.88-00835.24] 又被称为个线工
[00835.24-00836.04] 然后当时呢
[00836.04-00837.16] 这个个红就说说
[00837.16-00839.08] 这个老家伙对吧
[00839.08-00840.12] 还挺厉害的
[00840.12-00841.00] 结果他爹呢
[00841.00-00842.80] 上女人一个大人瓜的贴了脸了
[00842.80-00843.88] 这个那时候你早说话呢
[00843.88-00845.36] 就是个学是你二大眼
[00845.36-00846.44] 所以那个时候呢
[00846.44-00848.44] 隔红从小的时候就贴成就像
[00848.44-00849.96] 说这二大眼怎么这么厉害呢
[00849.96-00851.36] 就能做到白日飞生
[00851.36-00852.68] 所以他看了那个书之后
[00852.68-00854.56] 天天在家里上村下跳的
[00854.56-00856.04] 人家还没老母积费的高
[00856.04-00856.96] 但是也学
[00856.96-00859.68] 所以从那个时候他其实就有了这种
[00859.68-00861.96] 和道学之间的这样的一个缘缘
[00861.96-00863.76] 后来等他父亲去世以后
[00863.76-00865.32] 他长到16岁的时候
[00865.32-00867.12] 他就开始去到山上
[00867.12-00869.28] 被当时非常有名的
[00869.28-00871.96] 让我们所说的道长没事
[00871.96-00873.48] 当时那个人叫做正义
[00873.48-00874.12] 是去哪儿呢
[00874.12-00875.44] 是去获山
[00875.64-00876.88] 他去获山的时候呢
[00876.88-00879.52] 其实去的时候人家已经过了招生时间了
[00879.52-00881.68] 获山到数直接就学院
[00881.68-00882.40] 当然了
[00882.40-00885.08] 这是现在人的细程
[00885.08-00887.12] 他是去学恋单的结果去的时候
[00887.12-00888.48] 已经不能再招生了
[00888.48-00889.28] 后来呢
[00889.76-00890.80] 他就跟那个门内说
[00890.80-00892.32] 能不能通认一下门内说不呢
[00892.32-00894.64] 他说那个隔红那个门内说
[00894.64-00895.52] 他说你真是这样
[00895.68-00897.12] 说你去告诉正义
[00897.12-00898.48] 隔玄是我二大爷
[00898.48-00900.28] 后来那个门的时候好的烧的
[00900.28-00901.68] 然后后来知道了
[00901.68-00903.08] 就是有这么一个缘缘在
[00903.08-00906.48] 所以他就开始入道开始去练单了
[00906.48-00908.08] 所以在这大家要注意一下
[00908.08-00910.68] 这是我们所说的这个歌后
[00910.68-00912.48] 所以在这里面大家要注意
[00912.48-00914.48] 这是我们所给到的有关于
[00914.48-00916.88] 歌红他的具体的细节
[00916.88-00919.28] 那第三个点就是在这我们要知道
[00919.28-00921.28] 就是图优优
[00921.28-00923.28] 它所搞出来的这个清浩素
[00923.28-00924.48] 其实就是来自于
[00924.48-00927.48] 歌红道之后方当中的一个旗散
[00927.48-00929.02] 那在这大家知道
[00929.02-00930.76] 那这是我们所说的第四个人物
[00930.76-00931.48] 他叫各红
[00931.48-00933.98] 他的身上的细节的点是这三个
[00933.98-00935.04] 他叫掌握
[00935.04-00936.12] 那是第四个
[00936.12-00938.40] 那第五个人物非常照的一个人物
[00938.40-00940.80] 就是大家去掌握的就是孙思庙
[00940.80-00942.36] 首先第一个大家要知道
[00942.36-00943.68] 这个孙思庙
[00943.68-00944.80] 不要注意一下
[00944.80-00945.20] 第一个
[00945.20-00946.04] 不要主缺一
[00946.04-00947.48] 他是什么时期的一学家
[00947.48-00948.60] 大家注意一下是
[00948.60-00950.48] 唐代时期的一学家
[00950.48-00951.48] 这是第一个
[00951.48-00952.68] 第二个就是
[00952.68-00954.80] 他后背后人称之为叫个什么呢
[00954.80-00955.88] 叫做妖王
[00955.88-00957.76] 所以把藥王也化出来
[00957.76-00958.70] 这是他的一个
[00958.70-00959.40] 我们所说的
[00959.40-00960.92] 别人对他的一个尊冲
[00960.92-00962.80] 要把它和前面的化脱了
[00962.80-00964.08] 和张伦警了
[00964.08-00964.64] 对吧
[00964.64-00965.88] 把他们都取捧开
[00965.88-00967.40] 和变确
[00967.40-00968.16] 都取捧开
[00968.16-00969.20] 他被创作人就要藥王
[00969.20-00971.12] 所以我们就要说要王虽思苗对不对
[00971.12-00972.52] 这是第三个
[00972.52-00973.80] 第三个呢就是
[00973.80-00976.72] 虽思苗他住了一个非常有名的书
[00976.72-00979.16] 这个书就叫做千金方
[00980.32-00982.08] 在这里面大家要知道
[00982.08-00984.32] 这个为什么叫做千金方
[00984.32-00986.56] 其实是有一定的说法的
[00986.56-00988.32] 就是他在前进方当中
[00988.32-00990.44] 他认为是认命值前进
[00990.44-00992.96] 所以在这里面才把他命名为叫做
[00992.96-00994.04] 前进方
[00994.04-00995.60] 所以在这里同个在旁边
[00995.60-00997.68] 前进方当中的旁边标助一下
[00997.68-00999.12] 在这个地方标助一下
[00999.12-01000.04] 这是为什么
[01000.04-01001.72] 会把他称之为叫做
[01001.72-01002.60] 前进方
[01002.60-01004.28] 不是说他这个方子很贵
[01004.28-01005.88] 而是因为认命之中
[01005.88-01009.52] 有贵前进一方记者得预与此
[01009.52-01010.42] 顾命名为
[01010.42-01011.32] 前进二次
[01011.32-01012.84] 所以把他标助在旁边
[01012.84-01015.84] 叫做人命之中
[01017.84-01021.84] 人命之中有貴千金
[01021.84-01028.84] 然后一方既之最后得御与此
[01028.84-01032.84] 所以他是一个伊德特别高的人
[01032.84-01035.84] 所以我们就是说大伊金城了
[01035.84-01036.84] 所以说的就是他
[01036.84-01039.84] 所以他在这里面给自己的这个住座
[01039.84-01042.08] 就要做千金二字
[01042.08-01043.48] 所以在有了千金方
[01043.48-01045.72] 所以这是第三一个它的祝作
[01045.72-01047.44] 而它的伊德非常高
[01047.44-01049.04] 所以它经常会说这样的句话
[01049.04-01050.36] 就是咱们说说的
[01050.36-01051.36] 评见
[01051.36-01052.40] 叫做富贵
[01052.40-01053.28] 评见
[01053.28-01054.96] 掌握言词
[01054.96-01057.00] 远其善有华亦语制
[01057.00-01058.56] 他认为人不应该分
[01058.56-01059.84] 亲属贵见
[01059.84-01061.28] 聪明还是极判
[01061.28-01062.88] 还是我们所说的这个笨
[01062.88-01064.04] 他说都应该怎么样
[01064.04-01064.68] 后面说了
[01064.68-01066.20] 一事同人
[01066.20-01067.32] 所以他认为
[01067.32-01070.14] 一声必须要解除病人苦痛
[01070.14-01071.24] 作为唯一的制作
[01071.24-01072.50] 所以给变看变的时候
[01072.50-01073.46] 他提到了怎么样
[01073.46-01074.64] 就无予无求
[01074.64-01078.52] 所以叫接而无制作华于一致普通一的
[01078.52-01080.64] 所以在这里面第四个点
[01080.64-01083.70] 他就把什么写在他的前进方当中
[01083.70-01086.20] 就把大一经成的一得规犯
[01086.20-01088.30] 写到了这个前进方当中
[01088.30-01090.82] 所以他是一个一得特别高尚的人
[01090.82-01092.78] 你看他在前进方当中他怎么说的
[01092.78-01095.48] 说大一经成反大一致病
[01095.48-01099.88] 避刀安省定制无一无求先发大词课演之先
[01099.88-01102.60] 是室院普救寒灵之苦
[01102.60-01104.92] 你看什么样的人能说出这样的话
[01104.92-01107.40] 这是无论是什么样的人来找你看变
[01107.40-01109.56] 一定要先安复他的神志
[01109.56-01114.44] 对不对告诉他你安心无一无求发课演之行就百姓之苦
[01114.44-01115.72] 所以你他后面他说了
[01115.72-01119.40] 说若有吉恶来求救者不得问其评赋
[01119.40-01121.88] 外见评赋仗又言词
[01121.88-01124.88] 愿亲善有怀疑之普同意的
[01124.88-01126.36] 接如至亲之想
[01126.36-01128.24] 都像对你自己的亲人一样去
[01128.24-01128.96] 一是他呢
[01128.96-01129.32] 对吧
[01129.32-01130.16] 一不得粘钱
[01130.16-01132.40] 顾后自律几乎互习身名
[01132.40-01133.40] 所以这是他写在
[01133.40-01134.40] 千金放当中的
[01134.40-01136.16] 所以像一得这么高超的人
[01136.16-01137.24] 简直就是觉得
[01137.24-01137.56] 对吧
[01137.56-01138.68] 所以我们现在经常对
[01138.68-01139.80] 中医有趣形容叫
[01139.80-01141.04] 大医精承
[01141.04-01142.80] 这是来自于我们所说的什么
[01142.80-01143.88] 要往虽思苗
[01143.88-01145.24] 而虽思苗这个人呢
[01145.24-01148.00] 他确实是非常非常的厉害
[01148.00-01149.00] 一个高上
[01149.00-01150.56] 被称为真人要往
[01150.56-01153.06] 他呢 公老爷很大
[01153.06-01155.46] 大家都知道 你看他是唐奈的一学家
[01155.46-01156.36] 他只过谁呢
[01156.36-01158.46] 他其实是从随朝活到杨朝的
[01158.46-01161.86] 他是问过杨广和杨监随朝的两代皇帝
[01161.86-01163.76] 给李原理市民理智
[01164.46-01166.76] 独国皇后长孙皇后五则天
[01166.76-01168.86] 都看过病 更救了很多的百姓
[01168.86-01169.76] 所以这个人啊
[01170.46-01172.76] 格行 就是我们所说的什么功德
[01172.96-01173.76] 也很高
[01173.76-01175.96] 然后他也有很多的住座
[01175.96-01176.96] 他的千金方
[01176.96-01179.06] 机身于中国四大一学经典之列
