[00000.00-00004.90] 好的 那我們在前面的務權變動的基本原理當中給大家講了
[00004.90-00008.40] 務權到底包括哪些我們有了解了務權的客體物
[00098.18-00099.00] 你又给我说
[00099.00-00100.68] 你说按照我们先来看一下所有权
[00100.68-00102.48] 说东西规矩所有我怕了吧
[00102.48-00104.32] 然后你记下来没有给我们去讲了
[00104.32-00105.64] 误权变动的规则
[00105.64-00107.04] 你说你到底想要干啥
[00107.04-00107.92] 其实这样的
[00107.92-00108.68] 同一们
[00108.68-00110.76] 跟用我的这样的一个观察
[00110.76-00113.16] 发现大家对于这个误权变动
[00113.16-00116.96] 它其实会产生一定的怎么说混小
[00116.96-00121.42] 这个混小大家这很容易把这个误权和战权混小
[00121.42-00122.36] 这是第一个点
[00122.36-00123.60] 就是你误和战
[00123.60-00125.40] 你部分他以前合同了
[00125.40-00127.36] 你就觉得这个东西纯天然就是你的了
[00127.36-00130.00] 他在提案当中一给到什么合同总统样
[00130.00-00131.08] 你这个手就给觉得
[00131.08-00132.24] 监谭了合同
[00132.24-00133.92] 那时候就误权了人变弄了
[00133.92-00137.04] 所以这会出现在误权所学习当中的第一个误体
[00137.04-00138.52] 就是误权和战权部分
[00138.52-00140.36] 你分析开这两个东西
[00140.36-00141.56] 那你在做体的时候
[00141.56-00144.24] 其实很容易做错 这是第一个混响
[00144.24-00148.52] 第二个混响就是大家除了我在这里写上大家通病的吧
[00148.52-00150.04] 第一个是物账混
[00150.04-00152.96] 除了物账混之外第二就是物权混
[00152.96-00154.44] 什么叫做物权混呢
[00154.44-00156.56] 也就是同学们经常会法
[00156.56-00158.88] 所有权单导物权
[00158.88-00161.04] 单导权不能超单导物权
[00161.04-00163.36] 就是单导物权当中的第一权
[00163.36-00164.56] 这下权和留这权
[00164.56-00167.24] 是把这几个权都给它搅回再块了
[00167.24-00170.56] 所以大家想要学好这个物权的变弄和物权的问题
[00170.56-00172.10] 一定要能够去修飞
[00172.10-00174.24] 第一個就是物贈要化很清楚
[00174.24-00176.38] 第二個就是物权內部
[00177.18-00179.58] 他的幾個具體的內容你要去給的搞清楚
[00179.58-00180.80] 其實對於頭順的來說
[00180.80-00182.32] 如果是把所有權
[00182.32-00184.68] 用於物權和單寶物權拿出來看的話
[00184.68-00187.96] 同時是很能夠把所有權和用於物權去分開的
[00187.96-00191.80] 因為用於物權就是在剛才那個小的
[00191.80-00194.12] 張結裡面去跟大家講到那些東西
[00194.12-00195.90] 因為它就是和其他的不太一樣
[00195.90-00198.00] 那反而是很容易把所有權
[00198.00-00199.60] 单保权这家权
[00199.60-00200.84] 我们所说的底下
[00200.84-00202.60] 这些和流制权就高会了
[00202.60-00205.04] 所以大家想要把这个整个
[00205.04-00206.64] 我们所说的目前协清出
[00206.64-00211.12] 就要先从红官上能够从大概的原理上去掌握
[00211.12-00212.56] 我们所说的这个误权
[00212.56-00214.20] 它到底是怎么变动的
[00214.20-00217.80] 然后在通过这个误权回归到搜权当中
[00217.80-00221.00] 我在这里要给大家讲到这个误权变动的规则
[00221.00-00223.24] 它其实是用在搜权
[00223.24-00225.12] 我们所说的单保无权
[00225.12-00229.20] 我们所担保权当中的第2权和借钱
[00229.20-00231.60] 是包括流权当中都可能会睡到的
[00231.60-00234.08] 所以我们所说这个入权变动
[00234.08-00237.60] 它其实是所权它的一个原则职业
[00237.60-00239.84] 也是我们把入权变动稿清楚了
[00239.84-00241.92] 那所有权的变动就稿清楚了
[00241.92-00243.60] 甚至包括在之前当中
[00243.60-00246.24] 之前它能不能善意起的也能稿清楚
[00246.24-00247.52] 所以它类似一个什么呢
[00247.52-00249.12] 这个入权变动都能知道
[00249.12-00251.52] 它类似一个咱们在舌线上讲的方法论
[00251.52-00255.54] 就把这个户权变动的大规则搞清楚了之后
[00255.54-00258.08] 你所有权就没有什么问题了
[00258.08-00259.16] 明白我意思吧
[00259.16-00260.52] 所以同时在做体的时候
[00260.52-00262.16] 我发现大家特别容易混小
[00262.16-00265.04] 因为法律员它有一些法言法律
[00265.04-00267.76] 感觉里咱们生活特别的原因
[00267.76-00269.44] 所以大家去搞的时候
[00269.44-00270.68] 就是会平敢军
[00270.68-00272.36] 因为依是民法太多了
[00272.36-00273.36] 对完的民法点
[00273.36-00275.72] 那么多条儿你也不能每条都被下来
[00275.72-00276.76] 就身背下来之后
[00276.76-00277.76] 它每个民法点
[00277.76-00279.36] 像没有什么弹毛无权法解释
[00279.36-00283.84] 各种各样的解释,大家都知道新出了一个草案,大家就会搞混笑。
[00283.84-00290.72] 所以在这里面,我们想要去把内容顺利清楚的话,同时就一定要注意,我们所说的一些支持点,取紛。
[00290.72-00296.80] 所以大家不要对于这个误权,会产生一定的底出或者恐惧训维绩去了,完了,这完全没谁了,对吧。
[00296.80-00304.80] 我们让来绕去我就迷惑了,其实他一点人会约,咱们就一个规则,一个规则来,一定能给他去问清楚。
[00304.80-00307.04] 那我们要讲所有权的取得问题
[00307.04-00308.88] 就是这个东西什么时候归你
[00308.88-00310.88] 所有这个东西什么时候到你手里
[00310.88-00313.40] 那么小把所有权这个问题搞清楚
[00313.40-00315.00] 我们需要搞定的就是
[00315.00-00317.80] 物权变动它的大原则
[00317.80-00320.20] 大方法论大要求是什么
[00320.20-00320.88] 明白了吧
[00320.88-00323.04] 所以我们在所有选项目先讲一下
[00323.04-00324.12] 物权变动
[00324.12-00325.40] 我们刚才给大家说了
[00325.40-00327.36] 说物权变动这是这个物权的
[00327.36-00330.04] 设立从不到有物权的变更
[00330.04-00331.48] 我把这个东西从我
[00331.48-00333.92] 卖给你这叫做物权的变更
[00333.92-00336.44] 是包扣污泉的转让和消灭等等
[00336.44-00338.44] 这个就要不污泉的变动
[00338.44-00339.68] 那污泉的变动呢
[00339.68-00342.44] 我们要对污泉的变动进行一个分类
[00342.44-00344.44] 也就是在学民法的时候
[00344.44-00345.44] 我们也会发现
[00345.44-00347.24] 是在包扣在学形务法的时候
[00347.24-00348.84] 形容法的时候我们都会发现
[00348.84-00351.84] 框架体系对我们来说的重要性
[00351.84-00353.40] 我们先来看一下污泉变动
[00353.40-00355.24] 它整体上的一个大规则
[00355.24-00357.08] 我们刚才说了说污泉变动
[00357.08-00359.64] 按照法定分类体系分成两种
[00359.64-00362.40] 一种叫做一般污泉变动
[00362.40-00369.40] 還有一個叫做特殊武權變動,那我們就以所有權為力,同你們注意我們就以所有權為力
[00369.40-00373.40] 它有兩種一種是一般武權變動,一種是特殊武權變動
[00373.40-00385.40] 那一般武權變動和特殊武權變動,我們在這裡又進一步去華分就是一般武權,它根據這個武權,它發生的原因不同
[00385.40-00387.28] 画分出来两种情况
[00387.28-00388.60] 第一种叫做
[00388.60-00391.00] 基于民式法律行为的无权变动
[00391.00-00394.16] 另外一种是非基于民式法律行为的无权变动
[00394.16-00395.84] 我去个简单例子比如说
[00396.32-00398.52] 我说手表示你的
[00400.16-00401.72] 手表示你的
[00401.72-00406.44] 这个手表示你的代表手表的所有权
[00406.44-00408.00] 是不是归你所有
[00408.00-00409.84] 既然是所有权归你所有
[00409.84-00411.32] 那么我想问一下大家
[00411.32-00414.20] 你是怎么拿到这个手表的所有权的
[00414.20-00416.00] 那这种情况之前说老师
[00416.00-00417.52] 那我生买的呀
[00417.52-00418.96] 我通过去买东西
[00418.96-00421.64] 然后我获得了手标的搜据
[00421.64-00423.16] 我花出去200块钱
[00423.16-00424.84] 我买回来这样一个小米手滑
[00424.84-00426.24] 或者说我花了200块钱
[00426.24-00428.12] 买了一个华为的运动手标回来
[00428.12-00430.52] 那我是通过河痛
[00430.52-00431.88] 签订河痛之后
[00431.88-00433.44] 拿到了这个手标
[00433.44-00433.92] 对吧
[00433.92-00435.84] 你看这里面其实就是什么
[00435.84-00437.40] 这里面你去跟人签河痛
[00437.40-00438.52] 最终拿到这个手标
[00438.52-00440.88] 其实就叫做基于民室法律行为
[00440.88-00442.08] 所产生的什么
[00442.08-00442.92] 武权变动
[00442.92-00444.68] 这里所谓的基于迷士法律行为
[00444.68-00447.76] 你可以简单地去啥地去掌握
[00447.76-00451.12] 就是我们常说的说基于合通
[00451.12-00454.12] 它导致到我们所说的误权会怎么样
[00454.12-00455.60] 发生变动
[00455.60-00457.92] 所以是基于合通的误权品诺
[00457.92-00459.84] 非基于迷士法律行为是啥意思
[00459.84-00461.28] 非基于迷士法律行为就是你
[00461.28-00463.16] 没有去跟人家前面合同
[00463.16-00465.40] 再试也能让手表是你的
[00465.40-00466.96] 你说老师我不跟人前和同
[00466.96-00468.12] 不买人家的手表
[00468.12-00470.08] 这个手表怎么可能是我的
[00470.08-00471.96] 比如说我现在有一个
[00471.96-00473.76] 200块钱都消灭手滑
[00473.76-00475.44] 我这个200块钱消灭手滑
[00475.44-00476.76] 然后呢我还有一个孩子
[00476.76-00478.68] 然后这个人的杆布一下就没了
[00478.68-00480.60] 那我杆一下人美了
[00480.60-00483.08] 但是啥人美了钱没华料
[00483.08-00484.20] 那这种情况之下
[00484.20-00487.64] 我的手表是不就归我的儿子或者是女儿
[00487.64-00488.32] 所以了
[00488.32-00491.16] 那手表归我的儿子或者是我女儿
[00491.16-00494.72] 他是基于合通所产生的所权吗
[00494.72-00495.40] 不是的
[00495.40-00496.80] 那这种就要做什么
[00496.80-00499.52] 就要做非基于迷失法律行为所
[00499.52-00500.44] 产生路全面都
[00500.44-00502.44] 明社法的行为咱们前面给大家说了
[00502.44-00502.84] 对吧
[00502.84-00504.44] 比如常见的买卖和通啊
[00504.44-00505.44] 总于和通啊
[00505.44-00505.94] 对吧
[00505.94-00508.44] 在这里面就是非级与合同
[00508.44-00509.84] 所发生的
[00509.84-00510.84] 武权变动
[00510.84-00513.34] 这个就是武权变动发生的原因
[00513.34-00515.80] 大家知道我们国家所承所强调的
[00515.80-00516.84] 武权变动
[00516.84-00518.54] 它一定是强调有印刑的
[00518.54-00519.84] 要么你就是简单理解
[00519.84-00520.64] 一般情况就是
[00520.64-00522.44] 要么你就是跟人签了某种合同
[00522.44-00523.44] 导致的武权变动
[00523.44-00525.44] 比如说我把东选送给你
[00525.44-00527.44] 你获得了这个东西
[00527.44-00528.84] 这个级与总于和通
[00528.84-00530.04] 或者在前面买卖和通
[00530.04-00531.28] 一手交钱一手交货
[00531.28-00532.80] 我把东西交付给你
[00532.80-00535.12] 然后你获得了这个物的所劝
[00535.12-00535.92] 另外了吧
[00535.92-00537.72] 所以这个叫鸡和痛
[00537.72-00538.36] 所导致的
[00538.36-00539.16] 那还有一些呢
[00539.16-00541.40] 就是你不需要通过合同的切数
[00541.40-00543.44] 你就可以拿到这个东西
[00543.44-00545.72] 这个叫非鸡鱼迷是法律行为的
[00545.72-00546.48] 目前别动
[00546.48-00547.28] 另外了吧
[00547.84-00549.24] 我们这个就叫做
[00549.24-00550.04] 鸡全边动
[00550.04-00551.72] 一般鸡全边动的规则
[00551.72-00553.20] 那么一个一个来看
[00553.20-00554.48] 首先来看一下第一个
[00554.48-00557.00] 叫做鸡鱼迷是法律行为
[00557.00-00558.64] 也就是鸡鱼满卖和痛
[00558.64-00559.92] 或者是终于合同
[00559.92-00562.38] 等等所產生的務權編動
[00562.38-00563.68] 他的基本情況
[00563.68-00567.84] 在這裡他說基於民視法律行為的務權編動分兩種情況
[00567.84-00571.56] 那兩種情況第一種叫做公視生效
[00571.56-00574.80] 也就是說咱俩比如說內部簽了一個合同
[00574.80-00578.40] 我把我200塊錢的小米手華賣給你
[00578.40-00579.84] 那這種情況之下
[00579.84-00582.40] 我把200塊錢的小米手華賣給你
[00582.40-00584.68] 在這裡面我說我給你簽訂了一個合同
[00584.68-00585.76] 買賣合同
[00585.76-00586.68] 但是呢
[00586.68-00588.28] 買賣合同簽了之後
[00588.28-00590.28] 我手表示没有交付给你的
[00590.28-00591.46] 那这种情况之下
[00591.46-00593.66] 你能不能说这个手表示是你的呢
[00593.66-00594.08] 不行
[00594.08-00595.32] 你说老师为啥不行啊
[00595.32-00596.62] 因为外人不知道
[00596.62-00599.44] 也就是说你想要获得所有权
[00599.44-00602.20] 你比如说在这里我们强调的公司生效主言
[00602.20-00604.72] 你想要获得这个所有权
[00604.72-00606.42] 那在这里面你对外
[00606.42-00608.62] 他一定要有一个外在的行为表示
[00608.62-00609.64] 你才能够
[00609.64-00611.14] 让大家给你做见证
[00611.14-00613.00] 说这个东西是你的了
[00613.00-00613.76] 那这种呢
[00613.76-00615.60] 我们就叫做公式
[00615.60-00616.44] 那公式呢
[00616.44-00619.36] 一般情况之下,他由于标地误的不同
[00619.36-00621.36] 他的公式的方法也不同
[00621.36-00623.36] 比如说在这里面来看一下
[00623.36-00626.16] 金明是法律行为所发生的务协订动
[00626.16-00627.88] 第一个叫做公式生效组艺
[00627.88-00628.88] 也就是我们常说的
[00628.88-00630.92] 所有权他要发生变动
[00630.92-00632.16] 他分量这种情况
[00632.16-00634.52] 第一种情况就是由于标地误的不同
[00634.52-00635.56] 大家来看一下
[00635.56-00636.92] 由于标地误的不同
[00636.92-00640.44] 他的公式是不一样的
[00640.44-00643.04] 不动产叫什么呢?登记
[00643.04-00645.76] 动产要怎么样呢?要交付
[00645.76-00648.84] 所以如果说所有钱发生变动,大家一定要知道
[00648.84-00651.64] 所有钱发生变动仅仅仅合同事不醒的
[00651.64-00654.52] 在这里面还有公事生效
[00654.52-00658.52] 如果你不对公事,也就是不动产不登记动产不交付
[00658.52-00660.20] 你没有办法获得这个搜据
[00660.20-00664.32] 在这里面小把这个内容树理清楚,我们需要在这里面
[00664.32-00667.52] 掌握住第一个非常揍的理解的点
[00667.52-00668.96] 就叫做区分原则
[00668.96-00670.08] 啥区分原则呢?
[00670.08-00672.12] 你看一下在这里,它说了一段话
[00672.12-00677.76] 说当时之间定力有关社立变工转让消灭不动产权的合同
[00677.76-00684.40] 这个时候他说了除法律6规定或当时6月6日之外叫自合同成立时生效
[00684.40-00686.96] 未办领悟权登记的不运想合同的效率
[00686.96-00690.04] 那这里面其实考察的就是不动产
[00690.04-00691.08] 他的一个什么
[00691.08-00693.48] 不动产他的一个搜权的转移
[00693.48-00696.20] 还之以刚才那个例子来说比如说我
[00696.20-00698.36] 新英国肯定问到了30年
[00698.36-00702.32] 我终于转下了多少钱,20亿去买北京的4月
[00702.32-00704.28] 这里面现在有一个5
[00705.16-00705.92] 干嘛呢?
[00705.92-00707.12] 我想像
[00708.32-00709.20] 小A
[00709.60-00710.20] 买
[00710.84-00711.60] 4月
[00711.92-00716.92] 那这里面,我要想小A买4月2的话,那在这里面我就会和小A,天6什么?
[00716.92-00719.80] 我就会和小A,天6一个
[00720.08-00721.20] 买卖合同
[00724.08-00727.08] 买卖合同当中,就约定了当时人是我和小A
[00727.08-00729.52] 标击物是什么呢?标击物是4合约
[00729.52-00731.42] 然后这个4月,标价多少钱呢?
[00731.42-00733.22] 也就是我要给他20亿
[00733.22-00735.02] 这个时候20亿
[00735.02-00736.38] 我把钱给他
[00736.38-00738.34] 给他之后呢?我们两个就约定
[00738.34-00742.20] 我把20亿交付给他之后,在给钱之后的两天
[00742.20-00744.24] 他给我去办理过户灯机
[00744.24-00746.54] 那这里面其实就会产生一个问题
[00746.54-00748.58] 就是同学们经常会旅不清的一个问题
[00748.58-00749.62] 就说,浓浪浪是呀
[00749.62-00752.26] 我俩是否千万合同了一位这房子就是我的呢?
[00752.26-00752.92] 其实不是
[00752.92-00753.70] 大家注意一下
[00753.70-00755.38] 买卖合同的签订
[00755.38-00756.46] 同时之一
[00756.46-00758.46] 买卖合同的签训,它就是一个什么?
[00758.46-00759.86] 它是一个战权
[00762.26-00766.86] 它是一个战权,也是买卖合同做一口动,它本身是什么?是战权
[00766.86-00771.46] 而我们现在要给大家讲的说,这个房子到底规规律,所以有它是一个什么?
[00771.46-00781.46] 它是一个物权,有着意味着,当我和小A签训买卖合同,我说给它21,它说把房子给我,我把钱之后给它的时候,
[00781.46-00783.86] 这个时候合同只发生了什么效率
[00783.86-00785.58] 只发生了战犬效率
[00785.58-00787.10] 也就是它是一个什么
[00787.10-00789.86] 它是一个我们所说的双物合同
[00789.86-00791.70] 也就是在这里我给你东西
[00791.70-00792.74] 我把东西给你
[00792.74-00794.58] 你要把钱给你
[00794.58-00795.54] 你要把东西给我
[00795.54-00796.94] 它只是一个战犬
[00796.94-00798.02] 明白这个意思吧
[00798.02-00799.50] 那这个时候
[00799.50-00800.98] 我把21给它
[00800.98-00802.16] 继续这个战
[00802.16-00802.82] 这个合同
[00802.82-00804.18] 它要旅行的应用是什么
[00804.18-00805.54] 是协助我去办理
[00805.54-00806.42] 过扶登记
[00806.42-00808.94] 所以当买卖和从千数完成之后
[00808.94-00810.50] 只产生战犬效率
[00810.50-00814.34] 什么时候发生误权效力呢?什么叫发生误权效力?
[00814.34-00815.62] 一日在这个时候
[00816.12-00821.26] 我写那些啊,有时候什么时候能够标示东西是你的
[00823.04-00828.42] 那,这个时候我们说了买完思考院嘛,那什么时候能发生误权效力来确定东西是你的
[00828.68-00831.74] 那这个时候就要干嘛,就要去登记
[00832.00-00835.34] 只有登记了之后才会发生误权效力
[00835.34-00837.84] 这里面就出现了一个概念叫做什么
[00837.84-00841.54] 叫区分原子或者叫做物质两分
[00841.54-00842.74] 叫做物质两分
[00842.74-00845.06] 也就是在我们所说的不动产的
[00845.06-00846.82] 这样的一个合同设立的时候
[00846.82-00847.74] 你看他说什么
[00847.74-00851.98] 当时之间签订有关设立变工转上
[00851.98-00854.54] 消灭到合同同把合同话出来
[00854.54-00856.34] 说除飞当时六规定
[00856.34-00858.34] 合同自成立时生效
[00858.34-00859.26] 合同生效
[00859.26-00859.94] 同们注意一下
[00859.94-00861.06] 只发生什么效列
[00861.06-00863.10] 只发生战选效列
[00863.10-00866.78] 後面你看,未辦理登記的不影響合同成立
[00866.78-00871.50] 未辦理登記,把立法出來,同門或者是在旁邊標準一下
[00871.50-00875.34] 未辦理登記,同門未辦理登記只是不發生什麼效率
[00875.34-00878.94] 你沒有對外宣布,沒有找外面的人去給你
[00878.94-00881.34] 見證說這個東西是你的
[00881.34-00884.94] 對吧?沒有登記,就因為沒有對外公式
[00884.94-00888.94] 沒有對外公式就不產生什麼?不產生物權效率
[00888.94-00892.22] 你要說這個東西是你的,你紅口白癌,我怎麼相信你
[00892.22-00896.56] 對吧 你必須白指黑字的在你不動產權 登記不上寫上
[00896.56-00898.62] 房子歸截瑞所有
[00898.62-00900.92] 那這種情況之下才能說明說我的
[00900.92-00903.42] 所以登記才發生 霧圈變弄效力
[00903.42-00907.82] 所以你看他說了 霧登記只是不影響霧圈
[00907.82-00909.62] 那在這種情況之下
[00909.62-00912.32] 我和小域之間的買賣合同有沒有效
[00912.32-00914.42] 我和小域之間的買賣合同是有效的
[00914.42-00917.82] 所以你看他說了 叫做不影響合同效力
[00917.82-00920.02] 所以同你們在作體的時候 一定要明確
[00920.02-00921.06] 您却一个什么点呢
[00921.06-00922.62] 物质是两分的
[00922.62-00925.06] 你独体的时候就顺着体干去话
[00925.06-00927.30] 如果说谁有谁签订了一个买卖合头
[00927.30-00928.26] 你要就看一下
[00928.26-00929.26] 这个买卖合头
[00929.26-00930.98] 怕失捕成立并生效
[00930.98-00932.38] 如果老是我如何判断
[00932.38-00933.86] 合同成立并生效
[00933.86-00935.98] 合同它就是一个有效的
[00935.98-00937.10] 民事法律行为
[00937.10-00939.46] 咱们前面讲到了强工主义
[00939.46-00940.74] 只要符合这四点
[00940.74-00941.74] 它就是有效的
[00941.74-00944.10] 所以我们小一签订了这个买卖合头
[00945.10-00947.46] 符合有效的民事法律行为
[00947.46-00949.22] 那就有说合同成立并生效
[00949.22-00951.58] 河通成立变生效产生战选效率
[00951.58-00952.50] 那在这里面
[00952.50-00954.42] 如果没有办理误权东西
[00954.42-00956.82] 它不是河通无效的原因
[00956.82-00958.06] 没有办理误权东西
[00958.06-00958.94] 它只是什么
[00958.94-00960.94] 它只是不发生误权效率而已
[00960.94-00963.14] 反覆强调这里面叫过什么
[00963.70-00964.94] 误杀两分
[00964.94-00966.90] 若老是你说了这么多你想
[00966.90-00969.58] 你说它会怎么考察
[00969.58-00970.26] 我们来看一下
[00970.26-00972.42] 假设我把这个案例做一个变形
[00973.50-00974.78] 把这个案例做个变形
[00974.78-00976.42] 如果我和小案签订了
[00976.42-00978.22] 买完四和月的河通
[00978.22-00981.62] 这个买外四核月不要嫁多少钱 标价是20个1
[00981.62-00983.82] 在这个时候他把四核月给我
[00983.82-00986.62] 我把钱给他
[00986.62-00989.22] 所以我们两个钱就了一个买卖合同
[00989.22-00990.82] 买卖合同当中说了
[00990.82-00993.62] 说我交付钱就是给钱
[00995.62-00997.02] 三天后
[00997.82-01003.62] 然后这个小A要合我去办理
[01005.22-01007.22] 登记 办理过户登记
[01007.22-01010.98] 然后在我等它去办理过湖登记的这一天
[01010.98-01013.02] 这个小一做了一件特别不是人的事
[01013.02-01015.14] 干嘛呢 小A把它的思合院
[01015.14-01016.90] 卖给了
[01019.46-01020.14] 小币
[01020.78-01022.46] 卖给了小币 话多少钱呢
[01022.46-01024.58] 在这个时候卖给了小币花了
[01024.58-01027.62] 31 因为小币给五 给个钱比我多呀
[01027.62-01030.74] 并且给小币办理了过湖登记
[01030.74-01032.22] 那这种情况之下
[01032.22-01033.62] 他提干当中就问说
[01033.62-01035.82] 那五 这个合同当中的五
[01035.82-01040.82] 这是我说呢我应该如何究几字全力呢
[01043.46-01046.02] 这个时候他就会出一个选项
[01046.02-01049.50] 说我要请求小闭把4月2给我
[01049.50-01052.38] 或者我要请求小A给我教父司的院
[01052.38-01053.38] 可不可以
[01053.38-01054.02] 不可以
[01054.02-01054.74] 他们注意一下
[01054.74-01055.90] 我再说一遍
[01055.90-01056.86] 误债两分
[01056.86-01059.10] 或者我们常说的区分原走
[01059.10-01060.06] 在这个地方
[01060.06-01062.10] 你一定要一步一步去分析
[01062.10-01062.94] 怎么分析呢
[01062.94-01063.98] 我会换一个颜色啊
[01063.98-01066.66] 你看先看一下小月和小毕之间的关系
[01066.66-01069.06] 因为这里面有两个名式法律关系
[01069.06-01069.46] 对吧
[01069.46-01071.26] 一个是小月和小毕
[01071.26-01072.82] 那你看小A和小毕
[01072.82-01075.38] 第一个签订了30个亿的买买合同
[01075.38-01076.90] 合同有没有笑同学们
[01076.90-01078.18] 合同有笑
[01078.18-01079.90] 因为没有无笑是有吗
[01079.90-01081.34] 因为他有不为法
[01081.34-01082.10] 对吧
[01082.10-01083.98] 他也不被俗
[01083.98-01085.58] 他也没有故意串通
[01085.58-01087.78] 他也没有隐藏的虚假意思表示
[01087.78-01091.18] 也就是他不符合无笑的名式法律行为的要件
[01091.18-01093.06] 那他没有不符合的因素
[01093.06-01094.08] 那它就是什么
[01094.08-01096.10] 那这有时候就是合同
[01097.10-01098.22] 成立
[01098.70-01100.42] 生效的 对吧
[01100.42-01102.10] 所以合同成立变成效
[01102.10-01103.90] 合同成立变成效并且
[01103.90-01105.86] 合同成立生效发生了什么效力
[01105.86-01106.86] 发生了
[01106.86-01108.10] 战前效率
[01108.10-01109.46] 那同时还给
[01109.46-01111.54] 我们所说的小币办理了过酷登记
[01111.54-01112.78] 我们说了 看一下
[01112.78-01113.86] 不动产
[01113.86-01116.42] 想要发生所有权的转移
[01116.42-01118.06] 要干嘛 要进行登记
[01118.06-01119.86] 那这里登记 登完了
[01119.86-01120.86] 发生了什么效率
[01120.86-01122.78] 发生了 物权效率
[01122.78-01127.70] 发生了误权效力 其实就说明了 说明了什么东西呢 同们注意
[01128.22-01129.22] 说明了
[01131.18-01131.94] 说明了
[01131.94-01134.18] 思河院
[01134.18-01135.38] 思河院
[01135.38-01137.50] 归小币所有了
[01139.86-01140.98] 没有问题吧
[01141.66-01143.54] 记有买外合同
[01143.54-01145.58] 对吧 基于民事法的行为
[01145.58-01147.14] 又搬理了误权登记
[01147.14-01148.82] 所以思河院就归小币所有了
[01148.82-01151.30] 这是小A和小币之前的民事法例关系
[01151.30-01153.60] 那现在小闭就是这个四恒热的什么
[01153.60-01154.50] 搜全人
[01154.50-01156.02] 但现在问题没有解决
[01156.02-01157.18] 什么问题没有解决呢
[01157.18-01160.26] 我和小A之间还有一个官司没有解决
[01160.26-01162.30] 我和小A之间的官司是啥呢
[01162.30-01163.46] 我刚才给大家说了
[01163.46-01165.58] 我和小A之间只签订了一个什么
[01165.58-01166.58] 买卖合同
[01166.58-01169.22] 买卖合同签订有只发生了什么效率
[01169.22-01171.86] 只发生了这一权效率
[01171.86-01172.54] 对不对
[01172.54-01173.98] 有没有发生目前变动
[01173.98-01174.58] 没有
[01174.58-01177.78] 因为在我等它给我办过互动机的时候
[01177.78-01179.30] 它把房子卖组续了
[01179.30-01180.94] 所以物权
[01181.30-01183.30] 未變動
[01185.30-01186.30] 這個沒有問題吧
[01186.30-01187.30] 因為武權變動
[01187.30-01189.30] 他一定要對外釋放的信號
[01189.30-01191.30] 我們把它稱為叫做公式
[01191.30-01192.30] 叫做公式
[01192.30-01193.30] 所以在這裡面
[01193.30-01195.30] 武權沒有去辦理登記
[01195.30-01197.30] 那個登記不少沒有寫節目的名字
[01197.30-01201.30] 就沒有讓大家知道這個房子是規模的
[01201.30-01203.30] 所以他沒有進攻勢
[01203.30-01204.30] 所以武權沒變動
[01204.30-01205.30] 武權沒變動的話
[01205.30-01207.30] 那這時候我和小爺之間只是什麼權
[01207.30-01209.30] 只是债權
[01209.30-01211.58] 小也和小弊小弊
[01211.58-01214.90] 房子归小弊所有小弊
