[00000.00-00002.74] 好的 那我们接给来往下看
[00002.74-00005.58] 咱们前面给大家去讲了什么是高兴技术
[00162.42-00165.14] 他作为我们所说的一个运输工具
[00165.14-00166.66] 他有什么样的分类
[00168.02-00170.66] 像我们掌握的就是运载火箭的分类
[00170.66-00171.58] 运载火箭
[00171.58-00173.50] 他按照不同的分类标者
[00173.50-00175.58] 它其实可以花分出来不同的类型
[00175.58-00176.98] 实际上第一个就是
[00176.98-00178.14] 你这个火箭
[00178.14-00179.62] 它是靠什么动力飞的
[00179.62-00181.70] 我们把它撑着一叫做飞进机
[00181.70-00183.30] 按照飞进机的不同
[00183.30-00184.94] 我们可以把我们所说的
[00184.94-00187.94] 运载火箭分为固体火箭
[00191.10-00192.26] 你这是它的这个人
[00192.26-00193.50] 料主要是什么
[00193.50-00195.30] 它的人料主要是固体的
[00195.30-00196.86] 这个就是我们所说的
[00196.86-00197.78] 叫固体火箭
[00197.78-00200.62] 它的人料主要是HTPB
[00200.62-00203.22] 主要是长终实以后可能比较长线
[00203.22-00206.02] 還有我們所說的叫做葉體火箭
[00209.22-00210.22] 葉體火箭
[00210.22-00210.82] 葉體火箭
[00210.82-00212.38] 大家知道推進記主要是什麼
[00212.38-00213.62] 主要是葉體
[00213.62-00215.22] 比如說葉太的養
[00215.22-00216.22] 葉太的清
[00216.22-00217.42] 這個是葉體火箭
[00217.42-00218.62] 當然還有什麼
[00218.62-00220.38] 還有就是他們兩個混著用的
[00220.38-00222.62] 叫做故意混合火箭
[00223.42-00224.66] 我就不學火箭兩個字
[00224.66-00226.22] 就是故意混合式的
[00226.22-00228.42] 這個實際按照它的推進機的不同
[00228.42-00230.22] 也就是它燃燒的燃料的不同
[00230.22-00232.02] 我們給它畫上出來這三種
[00232.02-00235.54] 那還有一個就是按照火箭的極數不同
[00237.78-00240.54] 按照極數的不同它有單極的火箭
[00241.66-00243.70] 也有我們所說的多極的火箭
[00243.70-00245.46] 我們比較常見的這種多極的火箭
[00245.46-00247.34] 就是你在網上發生空的時候
[00247.34-00250.70] 你不可能只給它一個我們所說的推薦機的染料
[00250.70-00253.54] 對吧那這種情況之下就可能出現我們所說的什麼呢
[00253.54-00254.90] 叫做川聯市的
[00255.78-00257.70] 還有我們所說的病聯市的
[00257.70-00260.82] 病聯市就是我們所給到的那種魁綁的那種
[00260.82-00263.34] 还有一个就是串病连相结合的
[00267.10-00268.54] 这串病连相结合的
[00268.70-00270.82] 这个其实就是我们所说的叫做
[00270.98-00272.10] 按极数来华分
[00272.10-00273.54] 这是比较长见的
[00273.74-00275.14] 在世界范围之内的
[00275.14-00276.82] 我们所说的这个火箭
[00276.82-00277.94] 它的一个分类
[00277.94-00278.82] 这是第一个
[00278.82-00280.14] 需要同一名去掌握的
[00280.34-00282.10] 火箭它的一个分类情况
[00282.26-00283.62] 有了火箭的分类情况
[00283.62-00285.94] 说了这个是整个航空航停技术
[00285.94-00286.98] 在世界范围之内
[00287.10-00288.22] 它可能都是这个样子
[00288.22-00290.18] 那我们主要重要把目光放在哪
[00290.18-00291.34] 放在我们国家
[00291.34-00294.78] 我们国家的运载火箭主要是以什么命名呢
[00294.78-00295.42] 大住一下
[00295.42-00297.54] 我们国家的运载火箭主要在这里
[00297.54-00299.98] 我们标住一下一也长征命名
[00299.98-00302.10] 万里长征就是这个长征
[00302.10-00303.10] 但是大住一下
[00303.10-00304.54] 它是主要以长征命名
[00304.54-00307.10] 而并不是我们国家的火箭只有长征
[00307.10-00308.38] 我们今天看到的说
[00308.38-00311.18] 它是根据长征几号几号发生生空了
[00311.18-00313.26] 这个主要是用在国家的
[00313.26-00315.54] 这样一个航空航天的运输上
[00315.54-00317.70] 但是我们也有商业的火箭运说
[00317.70-00324.18] 这个是在原本的长征系列的研发团的就是上它又搞出来的叫做龙系列
[00324.18-00327.14] 这个龙系列当中有腾龙有结龙等等
[00327.14-00328.38] 这了解一下就行了
[00328.38-00332.38] 这里面主要知道我们国家最主要的是长征系列
[00332.38-00335.06] 长征系列现在一共是经历了四代
[00335.06-00338.66] 一共是17个型号其中有5个是推一了
[00338.66-00343.74] 这里面主要四代对应的就是5号6号7号8号11号
[00343.74-00346.62] 而且运载能力相对来说是提升了很多的
[00346.62-00349.82] 这里面有关于长征4代17个型号
[00349.82-00351.98] 不是我们在考试当中的一个重点
[00351.98-00352.90] 所以同时在这
[00352.90-00354.30] 简单了解一下就行了
[00354.30-00357.22] 就知道我们国家的运载火箭主要是长征
[00357.22-00357.98] 就OK了
[00357.98-00360.42] 这是第一个我们叫做运载气技术
[00360.42-00361.70] 就是在找路东显
[00361.70-00364.42] 把我们小送到台空这种东显运载出气
[00364.42-00365.90] 那主要是一靠火箭
[00365.90-00366.86] 这是第一个
[00366.86-00368.38] 第二个我们也提到了
[00368.38-00369.62] 就是整个航天
[00369.62-00371.78] 或空间技术的三大之处技术的第二个
[00371.78-00373.26] 叫做航天气技术
[00373.26-00375.70] 也叫做空间飞行气技术
[00375.70-00378.10] 那这里面的空间飞用器或者是航天气
[00378.10-00379.70] 它有自己的分类标者
[00379.70-00382.94] 我们来看一下航天气的类型
[00382.94-00384.46] 航天气的类型在这里
[00384.46-00386.66] 他给到说按照航天气师傅
[00386.66-00388.82] 再人困扮它标注出来
[00388.82-00391.54] 按照航天气师傅再人分为两种
[00391.54-00393.78] 一种是无人航天气
[00393.78-00396.14] 还有一种就是再人航天气
[00396.14-00398.90] 这个无人航天气是一个两星期的重点
[00398.90-00401.10] 因为我们在后面会大家详细讲到
[00401.10-00402.62] 有的是不把人送上去
[00402.62-00403.90] 之吧东西送上去的
[00403.90-00405.30] 那这种叫无人航天气
[00405.30-00408.26] 主要就是所说的人造地球卫星
[00408.26-00411.44] 比如说我们所说的什么东方红一号
[00411.44-00413.74] 东方红一号就是非常典型的什么
[00413.74-00414.90] 无人行的体
[00414.90-00416.90] 他就属于人造地球卫星
[00416.90-00417.94] 就是发射了之后
[00417.94-00420.66] 为肉地球赚的这种叫人造地球卫星
[00420.66-00422.70] 还一种就是空间探测器
[00422.70-00425.02] 这种空间探测器主要就是
[00425.02-00426.54] 为肉地球赚了
[00426.54-00428.34] 这种情况之下就是干嘛
[00428.34-00429.62] 去探测其他的行行
[00429.62-00431.94] 这种叫做空间探测器
[00431.94-00433.98] 比如说我们提到的啥呢
[00433.98-00435.94] 我们所提到的天问
[00435.94-00436.18] 对吧
[00436.18-00437.62] 我们后面会与大家去总结
[00437.62-00438.70] 给大家去讲一下
[00438.70-00440.46] 那探测火星的这种
[00440.46-00441.58] 那探测火星的时候
[00441.58-00444.82] 咱们知道送注荣车上去送人上去了吗
[00444.82-00445.38] 没有
[00445.38-00446.58] 咱们现在记住还达不到
[00446.58-00448.70] 所以像这种叫做无人行天气
[00448.70-00451.22] 只要有两种叫做人造地球卫星
[00451.22-00452.46] 以及空间探测器
[00452.46-00454.10] 那还有一些就是在人的
[00454.10-00455.14] 就是装任取的
[00455.14-00457.34] 那比较常见的就是神州
[00457.34-00459.30] 在人飞传还有我们所说的什么
[00459.30-00460.06] 空间战
[00460.06-00462.22] 那这两个我们在后面会大家讲到
[00462.22-00463.62] 所以按照市口再人
[00464.34-00468.10] 我们话分出来了无人和在人这两种重点
[00468.10-00469.14] 同没有注意一下
[00469.14-00470.86] 就是无人的人造地球卫星
[00470.86-00473.70] 还有哪些在人的在人飞船和空间战
[00473.70-00475.70] 后面我会大家系统地去讲解
[00475.70-00477.58] 你在这里,现在我印象就行了
[00477.58-00479.02] 这个是我们所说的
[00479.02-00480.86] 第一个分类,这是否有人
[00480.86-00483.46] 第二就是根据它的运行轨道来看的话
[00483.46-00484.42] 它就分为
[00484.42-00487.86] 第一个就是市府为柔地球专的这些行铁
[00487.86-00490.54] 还有一个就是我们所说的离开地球
[00490.54-00491.66] 以外的去看测气
[00491.66-00492.38] 他的这种
[00492.38-00493.90] 这个就要做空间探索器
[00493.90-00496.14] 比如说西合后 排行卫星
[00496.14-00498.30] 这种就是看车太阳的
[00498.30-00498.70] 对吧
[00498.70-00500.46] 这种就属于空间探索器了
[00500.46-00502.10] 这个点了解一下就行了
[00502.10-00504.06] 我们中点放在第一个分类
[00504.06-00505.42] 我们先来看一下
[00505.42-00506.38] 我们所说的
[00506.38-00507.98] 无人黄天气当中的
[00507.98-00510.30] 人造地球卫星有哪些
[00510.86-00511.66] 来看一下
[00511.66-00513.58] 说人造地球卫星只得是啥呢
[00513.58-00516.06] 同们这个概念需要同学们去掌握
[00516.06-00517.58] 说人造地球卫星是
[00517.58-00520.38] 围绕地球在空间轨道上运行的
[00520.38-00523.38] 同时标注 第1个叫做无人行情器
[00523.38-00524.98] 我们刚才说了不装人的嘛
[00524.98-00525.30] 对吧
[00525.30-00527.34] 这个就是第1个确计货人行情器
[00527.34-00530.74] 第2个人造地球卫星是最先问是
[00530.74-00533.94] 发射数量最多用途最广发展最快的行情器
[00533.94-00538.02] 所以同时标注全2就是四个最
[00538.02-00541.34] 就是最先最多最广最快
[00541.34-00543.30] 所以这是我们所说的人造地球卫星
[00543.30-00546.42] 那他的最先问是和数量最多主要体现在哪里呢
[00546.42-00547.94] 主要体现在各国
[00547.94-00550.30] 最开始都是在发我们所说的什么
[00550.30-00551.42] 人造地球队型
[00551.42-00554.76] 因为你先把这个违热地球专的技术搞定了之后
[00554.76-00557.62] 才有可能从地球卖上其他的行星嘛
[00557.62-00559.14] 所以在这里面大家注意一下
[00559.14-00560.42] 这是人造地球队型
[00560.42-00562.86] 它的一个具体情况
[00562.86-00566.14] 人造地球队型既然是数量最多用途最广
[00566.14-00567.18] 咱们就来看一看
[00567.18-00569.50] 人造地球队型都有哪些用途
[00569.50-00571.46] 我们首先来看一下第一个
[00571.46-00573.26] 人造地球队型当中的第一个
[00573.26-00575.94] 就是我们所说的叫做科学事业的行
[00575.94-00577.74] 同一般在这里需要记得是什么呢
[00577.74-00580.78] 我们在考试的时候考这个地方的对应
[00580.78-00583.14] 若老是什么是考这个地方的对应呢
[00583.14-00584.06] 说它会问
[00584.06-00586.82] 给你一个具体的实正热点
[00586.82-00587.86] 比如说我们说了
[00587.86-00588.86] 墨子好亮的位星
[00588.86-00589.94] 物空化按牧纸
[00589.94-00590.66] 它就会问
[00590.66-00592.58] 它到底关于它的说法
[00592.58-00593.54] 爭救后错的事
[00593.54-00595.14] 它就可能会给到你一个选项
[00595.14-00596.18] 说它是什么呢
[00596.18-00598.54] 说墨子好亮的位星是通训的位星
[00598.54-00599.30] 那种不对了
[00599.30-00601.58] 通训就是我们搞联系的这些
[00601.58-00602.42] 说通训的位星
[00602.42-00603.54] 而它是有什么
[00603.54-00605.14] 他属于科学事严的性
[00605.14-00607.66] 所以这个地方就是考察一个对应
[00607.66-00609.66] 我们在这里面大注意
[00609.66-00611.22] 科学室严内宣积和热点
[00611.22-00613.46] 目前一就有热度的是
[00613.46-00614.90] 莫子好量子微型
[00614.90-00616.02] 还有我们所说的
[00616.02-00618.74] 物红好按物质 例子探测微型
[00618.74-00620.54] 这里面的莫子好量子微型
[00620.54-00622.18] 大家也都知道量子通信
[00622.18-00623.54] 现在经常会提到
[00623.54-00624.38] 找莫了量子
[00624.38-00627.22] 对于一个国家的发展是质观重要的
[00627.22-00629.38] 所以在这里就提到了莫子好量子微型
[00629.38-00631.46] 这是早几年之前的热点
[00631.46-00633.94] 那建築幹的第二個熱點在這裡面
[00633.94-00636.50] 需要同一就去掌握的就是這個烏空號
[00636.50-00637.26] 烏空
[00637.94-00639.30] 大家都知道這個名字吧
[00639.30-00640.50] 烏空烏空就是啊
[00640.50-00642.94] 蘇空碼的蘇空主要就回眼金金金
[00642.94-00644.54] 能看到我們看不到的
[00644.54-00645.94] 我們能看到的是什麼
[00645.94-00648.26] 感知到的比如說書本而作業
[00648.26-00649.94] 我們能夠感知到空氣
[00649.94-00651.58] 然後我們能摸到自己的皮膚
[00651.58-00653.46] 那我們所觸碰到的這一東西
[00653.46-00655.30] 是物理學層面的物質
[00655.30-00657.10] 而這個物理學層面的物質
[00657.10-00660.46] 它僅僅只佔整個宇宙構成的百分之五
[00660.46-00662.52] 那还有90%我试什么
[00662.52-00663.52] 我们不知道
[00663.52-00666.46] 这个不知道的东西看不见也感知不到
[00666.46-00668.22] 但他充确着整个宇宙
[00668.22-00670.20] 我们把这些东西称着为叫做
[00670.20-00671.10] 按误旨
[00671.10-00672.06] 所以我们说了
[00672.06-00673.76] 要判则按误旨到底有没有
[00673.76-00675.36] 我们国家发了一个叫做
[00675.36-00676.00] 误空号
[00676.00-00677.60] 去看一下我们看不到了
[00677.60-00678.60] 这个叫做
[00678.60-00680.02] 误空号按误旨
[00680.02-00681.44] 例子判则为行
[00681.44-00682.34] 这道按误旨呢
[00682.34-00684.02] 它其实被提出来
[00684.52-00685.54] 是这样的
[00685.54-00687.68] 就是我们现在说整个休息
[00687.68-00690.00] 比如说我们看到的先语系
[00690.00-00691.36] 或者是银河系什么样的
[00691.36-00693.08] 整个星期它是不是这种形状的
[00693.60-00696.48] 大家应该还记得我们看到那个图片
[00696.48-00697.48] 它是这样的一个形状
[00697.48-00699.12] 就是它是选择的这种
[00699.12-00699.60] 对吧
[00699.60-00701.36] 但它这个选择的这种
[00701.36-00704.00] 它这个专的这个速度就比较快
[00704.00-00706.00] 根据万一的领利的钓队来看的话
[00706.00-00708.56] 如果像这个星期它的责速特别快的话
[00708.56-00711.20] 它如果原本的按照万一的领利来看的话
[00711.20-00715.24] 它这个速度快到它的离心力是大于其它的
[00715.24-00717.04] 比如说太阳对它的这个领利的
[00717.04-00718.76] 但它为什么没有脱离太阳系
[00718.76-00720.56] 一直在太陽系當中
[00720.56-00723.72] 主要是因為說可能會有一個東西
[00723.72-00725.48] 把我們所說的這個星期
[00725.48-00726.56] 更是在太陽系
[00726.56-00727.76] 沒讓它轉出去
[00727.76-00729.88] 這個按住這個東西是什麼呢
[00729.88-00731.40] 就是我們所說的這個按物質
[00731.40-00734.36] 所以我們在整個物空號當中
[00734.36-00737.00] 就是在去看我們所說的這個按物質的道電
[00737.00-00737.96] 是什麼
[00737.96-00739.16] 這是我們所說的
[00739.16-00740.40] 有關於科學實驗內心
[00740.40-00741.32] 大家知道兩個
[00741.32-00743.28] 第一個是要默子好量子微型
[00743.28-00744.88] 第二物空號是來幹嘛的
[00744.88-00746.24] 是按物質探測微型
[00746.24-00747.28] 他要掌什麼樣呢?
[00747.28-00748.80] 就是圖片上這個樣子
[00748.80-00752.44] 左邊的是亮子微星右邊的就是我們所說的
[00752.44-00754.08] 霧空泊彈彩按摩指的
[00754.08-00755.72] 所以在這裡看他來這樣呢
[00755.72-00756.92] 這位貴克愛的
[00756.92-00760.48] 這是第一個叫科學事業微星大助一下
[00760.48-00763.40] 那第二個叫做通信微星通信通信
[00763.40-00764.16] 那就不用說了
[00764.16-00765.00] 主要就是幹什麼?
[00765.00-00768.24] 這是搞我們所說的這種信號發射的這種外
[00768.24-00769.20] 那這個通信微星
[00769.20-00772.20] 通信微星最常見的就是東方紅系列
[00772.20-00774.20] 當然這裡還有我們所說的心諾
[00774.20-00775.82] 中心愿意太有等的
[00775.82-00777.30] 到我们的重点只长了一个
[00777.30-00778.30] 就是东方红
[00778.30-00779.24] 这个东方红呢
[00779.24-00780.12] 需要同们掌握的
[00780.12-00781.66] 就是不是东方红系列
[00781.66-00782.56] 而是啥呢
[00782.56-00784.30] 而是它的手刻微型
[00785.20-00787.14] 叫做东方红
[00787.14-00787.76] 一号
[00787.76-00788.92] 大家听过那个歌吧
[00788.92-00791.28] 东方红台养生
[00791.28-00791.56] 对吧
[00791.56-00793.80] 这里面其实就是取自于这里面的
[00793.80-00794.96] 那东方红一号
[00794.96-00796.44] 大家要注意一下这么几个点
[00796.44-00797.60] 首先第一个
[00797.60-00798.76] 东方红一号
[00798.76-00800.00] 它的发射时间
[00800.00-00802.64] 其实是4月24日
[00803.64-00804.16] 对吧
[00804.20-00805.96] 是在4月24日这一天发的
[00806.16-00809.76] 而这一天大主义就成了一个标志性的时间
[00809.96-00814.04] 就是中国突破了相的原本的这样的一个技术情况
[00814.04-00816.92] 发射了我们所说的第一科魏星
[00816.92-00821.60] 那这时候其实就意味着我们开始去探索航空航片的这样一个领域了
[00821.60-00823.56] 所以这一天比较有期间意语试
[00823.56-00825.68] 我们国家就把4月24日定为什么呢
[00825.68-00827.28] 定为中国航天日
[00831.12-00832.72] 那定为中国航天日
[00832.72-00834.42] 所以中国好像是这个点
[00834.42-00835.32] 我们一定要注意
[00835.32-00837.46] 它是每年的实正热点
[00837.46-00840.32] 所以每年4月24号都有中国行天日
[00840.32-00842.32] 我们没有自己的中国行天日主题
[00842.32-00843.66] 这就是为什么我说了
[00843.66-00846.64] 这一节他比较喜欢和实正相结合的原因
[00846.64-00847.62] 所以大家注意一下
[00847.62-00850.02] 他们中国行天日是为了纪念东方红一号
[00850.02-00851.04] 正说法对吗
[00851.04-00851.92] 当然是对的
[00851.92-00852.82] 所以这是第一个
[00852.82-00853.62] 大家注意一下
[00853.62-00855.36] 第二个就是东方红一号
[00855.36-00857.62] 是我们国家第一个
[00860.92-00861.92] 发射的
[00862.72-00863.72] 畏行
[00865.72-00867.06] 第一个发生的畏行
[00867.06-00869.36] 直播到了后来他不再往回来发信号了
[00869.36-00871.16] 但他一直在轨到上运行
[00871.16-00873.92] 所以这是我们所说的东方红一号是第一科
[00873.92-00877.72] 所以他其实开起了中国航天的信实代
[00881.72-00884.44] 这是我们所说的这做通信的行
[00884.44-00887.16] 所以大家只要通信畏行的这种主要就是东方红一号
[00887.16-00889.60] 这是人造地球畏行它的第二个应用
[00889.60-00895.40] 第一個就是搞科學試園,搞空間的這樣一些例子,物質探測,第二就是通信,對吧?
[00895.40-00899.50] 所以你看,人造地球微型用圖果,第二點就體驗在它的通信上。
[00899.80-00908.30] 那第三個比較常見的就是,人造地球微型它的用頭還可以用到軍事上,所以軍事微型的最為常見的就是真差微型了。
[00908.30-00915.80] 但這個同學沒違議上就行了,一直也不是我們考試的重點,直至到,人造地球微型可以用在軍事上就OK了,這是第三個。
[00915.80-00917.60] 第4个就是气象微型
[00917.60-00919.00] 这个气象微型同们注意
[00919.00-00920.00] 把它标注意一下
[00920.00-00921.40] 我们国家的气象微型
[00921.40-00923.40] 被称为叫做风云
[00923.40-00925.20] 所以我们这场说风云系列
[00925.20-00927.20] 所以就是观测气象的
[00927.20-00928.60] 我们现在有好多
[00928.60-00929.00] 什么风云
[00929.00-00930.60] 1号2号3号等等
[00930.60-00932.20] 那这些都是我们所说的
[00932.20-00934.80] 这个气象微型
[00934.80-00937.20] 所以在这里面大家一定要注意一下
[00937.20-00939.20] 这是第4个
[00939.40-00940.40] 大家知道气象微型
[00940.40-00941.20] 就要风云就行了
[00941.20-00942.00] 第5个点
[00942.00-00942.80] 同时要注意一下
[00942.80-00944.20] 这个也是一个重点
[00944.20-00947.60] 第五个点就是人造地球卫星还可以用在什么
[00947.60-00949.08] 第五个点是导航的上
[00949.08-00951.60] 这个定位导航用我们国要来说非常重要
[00951.60-00954.44] 需要同时们掌握的是两个角度
[00954.44-00957.56] 第1个就是全球四大秘星导航系统的那些
[00957.56-00962.24] 全球四大秘星导航系统的主要包括第1个叫做美国的GPS
[00962.24-00966.40] 这个其实全世界犯了一当中的第一个全球卫星导航系统
[00966.40-00967.84] 就是美国的GPS
[00967.84-00970.96] 第2个叫做俄罗斯的格罗娜斯
[00970.96-00972.00] 这个是第二个
[00972.00-00973.16] 第三一个是什么
[00973.16-00975.32] 第三一个是中国的北斗
[00975.32-00975.88] 北斗嘛
[00975.88-00976.84] 北地埃似
[00976.84-00977.60] 北地
[00977.60-00978.16] 北北
[00978.16-00978.60] 高斗
[00978.60-00979.08] 埃似
[00979.08-00979.84] 英文单词
[00979.84-00980.48] 随时评
[00980.48-00981.20] 系统
[00981.20-00983.60] 所以这是中国的北斗系统是第三个
[00983.60-00986.08] 其实中国的北斗的这个研发
[00986.08-00986.84] 它也是办碎
[00986.84-00988.60] 中国航空航电史上的
[00989.60-00991.20] 一部新酸史来的
[00991.20-00992.48] 所以它使得大家都知道
[00992.48-00995.40] 中国在改革开放初期其实没有什么钱的
[00995.40-00996.72] 所以我们想去研究
[00996.72-00998.52] 像什么航空航电计刷
[00998.52-00999.72] 北斗这些技术
[00999.72-01001.72] 它其实是要收很多的这个钱的
[01001.72-01003.30] 所以最开始的时候
[01003.94-01004.98] 我们是要干嘛呢
[01004.98-01006.64] 我们最开始的时候是
[01007.14-01009.14] 没有钱去搞这个东西嘛
[01009.14-01010.08] 没有钱去搞的话
[01010.08-01011.88] 当时国家给到左俄球说
[01011.88-01013.16] 那极极压放
[01013.16-01015.72] 也能够我们所说的搞出来
[01015.72-01017.08] 所以在这里面他就说了
[01017.08-01018.68] 我们就金坑能了
[01018.68-01021.24] 极压放把这个东西搞出来之后
[01021.24-01023.18] 然后中国有自己的这个导人系统
[01023.18-01026.52] 但是实在是因为国家的经济方面的限制
[01026.52-01027.62] 他的进度就比较慢
[01027.62-01029.94] 所以这个时候美国他就说
[01029.94-01031.20] 他说那要不你这样的
[01031.20-01032.74] 说你可以租我的
[01032.74-01034.14] 就是你现在不着急
[01034.14-01034.42] 对吧
[01034.42-01035.30] 咱们两个国家
[01035.30-01036.38] 你刚刚见到没多久
[01036.38-01037.58] 我要你是有好
[01037.58-01039.94] 就可以租我的这个全球定位系统
[01039.94-01040.94] 就是这个GPS
[01040.94-01041.78] 然后千约
[01041.78-01043.30] 你又给我付多少钱
[01043.30-01044.78] 然后付了这钱之后
[01044.78-01047.10] 我就把这个服务提供给你
[01047.10-01048.98] 其实听起来相对来说还不错
[01048.98-01049.26] 对吧
[01049.26-01050.18] 就是给我们的感觉
[01050.18-01051.86] 还都OK也比较合理
[01051.86-01052.86] 但是问题
[01052.86-01054.74] 就是这下下出现在这
[01054.74-01057.98] 當時是一個什麼樣的情況呢
[01057.98-01059.78] 當時的情況是這樣的
[01059.78-01063.38] 就是有一次我們國家有一個傳
[01063.38-01065.62] 他在我們所說的這個
[01065.62-01067.18] 咬廟上就是走
[01067.18-01068.42] 其實我們國家有一個軍艦
[01068.42-01071.30] 然後這個時候就是還是在這個租棋福奇艦
[01071.30-01072.66] 然後當時的這個美國
[01072.66-01075.46] 就說什麼中國這個傳上協戴了
[01075.46-01076.90] 我們所說的這種
[01076.90-01079.38] 就是間驢的這種東西
[01079.38-01081.78] 就要燈我們的軍艦上
[01081.78-01082.98] 來進行傳艦上
[01082.98-01084.62] 應該是傳上不能說軍艦
[01084.62-01086.12] 就是要登到這個傳言
[01086.12-01087.72] 傳上來進行這個搜查
[01087.72-01089.66] 但是當然許國憲法也都知道
[01089.66-01091.26] 一個國家的傳播好好的空氣
[01091.26-01092.86] 是一個國家的領土外眼
[01092.86-01095.32] 他來到我們國家的這個傳上就意味著
[01095.32-01096.46] 他其實是想要幹嘛
[01096.46-01098.96] 他其實是想要非法入侵我們國家領土的
[01098.96-01100.70] 這種情況是絕對不允許的
[01100.70-01103.34] 就是眼間絕不讓他
[01103.34-01105.08] 我們所說的登建建查
[01105.08-01106.24] 當時這個美國就說
[01106.24-01106.90] 你要不讓我當
[01106.90-01108.26] 我這半批評還是自己觀體
[01108.26-01110.24] 我們那時候都簽了這個協議
[01110.24-01111.74] 錢也付給你能觀體
[01111.74-01114.54] 然後結果美國就真的把這個批評還是觀體了
[01114.54-01116.34] 同時你們只要那個手的情況就是
[01116.34-01117.74] GPS一旦關停
[01117.74-01119.86] 這一桌船就在這個大洋上
[01119.86-01120.94] 飄了20多天
[01120.94-01122.54] 最後在國外的一個港口
[01122.54-01123.06] 考案了
[01123.06-01124.46] 從那時候我們就知道
[01124.46-01126.34] 一口別人是指定靠不住的
[01126.34-01128.06] 奉多年有為什麼一字要提
[01128.06-01128.90] 科技創新
[01128.90-01130.06] 有沒有搞自主創新
