[00000.00-00005.38] 好的,我们进入到变政法,最后一个板块的学习,就是否定制否定规律。
[00286.52-00289.52] 對吧所以在這裡面我們得出來一個結論
[00289.52-00290.84] 哲學上的否定
[00290.84-00293.80] 他說了是措施性能數滅亡的因素
[00293.80-00297.12] 我們本身會覺得說滅亡它是一個不好的詞
[00297.12-00299.88] 但是其實我們關數的發展
[00299.88-00301.00] 它運行的本質來看
[00301.00-00303.32] 我們發現真正推動數發展的
[00303.32-00305.64] 恰恰是它的肯定方面還否定方面
[00305.64-00307.72] 恰恰是它的否定方面
[00307.72-00311.08] 所以在这里出现了第二个一星期的实际性的点
[00311.08-00314.52] 在旁边标准一下就是推动书发展的
[00315.96-00323.62] 叫做推动是我发展的是否定因素
[00323.62-00325.96] 推动书发展的是否定因素
[00325.96-00329.56] 所以马斯裁没去研究肯定而是研究了什么
[00329.56-00330.92] 否定之否定规定
[00330.92-00334.28] 因为在这里就接受了推动书发展的就是否定因素
[00334.28-00336.04] 而非肯定因素
[00336.04-00337.76] 所以在这里达住一下
[00337.76-00341.52] 这是需要大家从它的基本概念当中推车出来的
[00341.52-00342.92] 第一个考察点
[00342.92-00345.64] 我们到这就把肯定和否定耍完了
[00345.64-00349.08] 那既然否定代表的是厨使是我灭亡
[00349.08-00351.76] 我们一般形容况之下提高灭亡
[00351.76-00353.88] 就觉得灭亡只顶不是杀好事
[00353.88-00354.88] 对吧都没了
[00354.88-00356.16] 咱还能是好事
[00356.16-00359.32] 所以大部分人对于否定的态度是什么
[00359.32-00362.04] 对于哲学上否定的方面或否定于素的态度
[00362.04-00363.68] 這是全盤的不要
[00363.68-00366.44] 就覺得它本身就不是一個考東西
[00366.44-00367.44] 但這種觀點
[00367.44-00369.00] 只看到事務的一個方面
[00369.00-00370.20] 它本身就是一種
[00370.20-00371.44] 顯然上學的觀點
[00371.44-00373.12] 所以馬斯之所以很偉大
[00373.12-00375.36] 就是因為它在觀測事務的時候
[00375.36-00376.72] 看待一個東西的時候
[00376.72-00378.36] 是用什麼樣的眼光去看
[00378.36-00380.36] 是用變正的眼光去看的
[00380.36-00381.96] 所以對待否定因素
[00381.96-00383.12] 馬斯也是一樣
[00383.12-00384.40] 它對待否定
[00384.40-00386.36] 也有自己的變正的看法
[00386.36-00388.08] 這個就叫做馬斯主義的
[00388.08-00390.24] 變正的否定觀
[00390.24-00392.48] 那马斯主义变成的否定官
[00392.48-00393.92] 一共有这么几句话
[00393.92-00394.56] 第一个呢
[00394.56-00398.28] 他说变成的否定是包含肯定的否定
[00398.28-00398.88] 这句话呢
[00398.88-00400.92] 同时们只需要大概有印象机可
[00400.92-00402.44] 不需要再去给他
[00402.44-00404.24] 被送就是了解机可
[00404.24-00407.08] 他不是变成否定官当中考察的重点
[00407.08-00410.24] 他说变成的否定是包含肯定的否定
[00410.24-00412.24] 不如老师他说了个啥呀
[00412.24-00413.84] 肯定就肯定否定
[00413.84-00416.04] 就否定还包含肯定的否定
[00416.04-00417.56] 那我们怎么去理解这句话呢
[00417.56-00419.36] 同位来想想几个简单例子
[00419.36-00420.36] 比如说我心跳
[00422.16-00423.16] 比如说我的心跳
[00423.44-00425.68] 我的心跳我的心脏跳动
[00425.96-00428.76] 对我来说是肯定因素还是否定因素同时吗
[00430.36-00433.96] 我说了肯定因素是维持是我存在对吧
[00434.20-00437.36] 而否定是厨食师物面网
[00437.56-00439.32] 你看我心脏跳动
[00439.32-00441.16] 他对我来说是肯定因素还是否定素
[00441.36-00444.24] 心脏跳动就意味着我还活着
[00444.24-00446.88] 所以他是很明显的肯定因素
[00446.88-00447.90] 这个没有问题吧
[00447.90-00450.64] 但是同时同学没有清晰的认识到一个问题
[00450.64-00452.68] 这是我新藏每跳动一下
[00452.68-00456.10] 就意味着我随时走向摔了和死亡
[00456.10-00458.66] 但从走向摔了和死亡这个角度来看
[00458.66-00460.38] 新跳他对我来说又是什么
[00460.38-00462.06] 又是否定因素
[00462.06-00463.90] 所以同样都是新跳一下
[00463.90-00466.90] 他即表示肯定又表示否定
[00466.90-00470.82] 所以我们所说的这种否定是包含肯定的否定
[00470.82-00471.72] 这个能理解办
[00471.72-00473.72] 这句话有个印象就可以了
[00473.72-00476.62] 就是马斯看问题看到它的双面型
[00476.62-00479.60] 同时数的否定是是我自我的否定
[00479.60-00483.86] 我们刚才说了否定才是推动失误发展的因素吧
[00483.86-00485.98] 而推动失误发展的因素我们说了
[00485.98-00489.90] 那主要是内因还是外因主要是内因
[00489.90-00492.52] 所以在这里它说变政的否定是从
[00492.52-00494.16] 失误内部生成的
[00494.16-00498.26] 所以它在这里说是是我自我的否定
[00498.26-00499.14] 所以大家注意一下
[00499.14-00501.46] 这是变政的否定当中的低距换
[00501.46-00502.98] 这句话一般情况之下
[00502.98-00504.44] 不太会单独设题
[00504.44-00506.96] 偶爾的時候會出現在選像當中
[00506.96-00508.20] 同時們只需要記得
[00508.20-00509.72] 你見過這句話就行了
[00509.72-00512.68] 不需要在這裏把他當做理解形的題目大家理解
[00512.68-00513.84] 所以在這裏
[00513.84-00515.24] 大家知道這是第一句話
[00515.24-00517.20] 馬斯堆變成的看法
[00517.20-00518.88] 那第二點馬斯說了
[00518.88-00520.84] 他說那變成的否定是
[00520.84-00522.92] 聯繫和發展的環節
[00522.92-00523.96] 同時把這句話
[00523.96-00526.72] 標準一個兩星級的理解形的點
[00526.72-00529.24] 這個點的經常會考察案例
[00530.36-00532.08] 他說變成的否定
[00532.08-00533.00] 對數的否定
[00533.00-00534.98] 它是联系和发展的环节
[00534.98-00536.58] 咱们就联系了
[00536.58-00540.04] 联系就是前后产生了影响
[00540.04-00541.14] 这个就联系
[00541.14-00542.40] 发展就体现了什么
[00542.40-00543.64] 发展就体现了
[00543.64-00546.26] 后一个结乱比前一个结乱更好了
[00546.26-00548.62] 因为我们说了发展是一说好的变化
[00548.62-00551.02] 是前进的上升运动
[00551.02-00551.90] 所以在这里面
[00551.90-00554.86] 我们就意味着发展它是变得更好了
[00554.86-00556.92] 这里面怎么去看呢
[00557.80-00558.76] 来看一下
[00558.76-00559.88] 它这里说了
[00559.88-00562.70] 说变重的否定是联系和发展的环节
[00562.70-00565.02] 如果判断他有没有联系
[00565.02-00567.06] 我们刚才说了回微道观念紫上
[00567.06-00569.90] 就看前后有没有产生影响
[00569.90-00572.18] 如果判断他是不是发展
[00572.18-00574.18] 在这个里面我们就要看一下
[00574.18-00576.94] 他是不是后一个阶段更好了
[00578.10-00581.14] 这个就叫做联系和发展的环节
[00581.14-00582.42] 举了简单的例子来说
[00582.42-00585.22] 比如说我们国家的体育品台
[00585.22-00587.90] 体育品台现在在整个市场当中
[00587.90-00590.02] 打得最好的应该大家都知道理凌
[00590.02-00590.34] 对吧
[00590.34-00592.10] 理凌的打出来的概念叫做什么
[00592.10-00593.10] 就做國朝
[00595.30-00595.94] 对吧
[00595.94-00598.24] 在里面有很多我们所说的这个
[00598.24-00599.66] 国风的元素在里面
[00599.66-00602.60] 最开始理念在巴黎时安州上给到了第一个主题
[00602.60-00603.98] 就做霧道系列
[00603.98-00605.42] 当时那个霧道一出来的时候
[00605.42-00608.24] 当时的背景板就是中国的毛笔字的一个霧
[00608.24-00610.02] 然后呢他就把他的这个
[00610.02-00612.82] 体育的这个品牌啊就展示出来了
[00612.82-00617.20] 你看啊 理念的这个国朝或者是我们所说的这些这个元素
[00617.20-00618.72] 在最开始出来的时候
[00618.72-00624.38] 你看一下它的運動品牌有有領器傳統運動服裝的舒適度的追求
[00624.38-00627.28] 比如說透氣性要好比如說延展性要好等等
[00627.28-00628.48] 說沒有領器
[00628.48-00632.24] 只不過是在之前的體育品牌這些因素就職上
[00632.24-00634.80] 加上一些國家自己的元素
[00634.80-00637.32] 加上一些我們所說的文化元素
[00637.32-00639.04] 使得它打出了一系列的
[00639.04-00641.40] 我們所說的和其他體育品牌不一樣的地方
[00641.40-00642.60] 從而在市場上
[00642.60-00645.72] 是說搶戰了很大的這樣的一個市場分析
[00645.72-00647.84] 所以在我們所說的理凝
[00647.84-00649.16] 他的国潮也好
[00649.16-00651.16] 他的国风元素也好
[00651.16-00653.36] 他的内容的加入
[00653.36-00654.80] 其实使这个品牌
[00654.80-00656.48] 有了更长组的进步
[00656.48-00658.08] 所以在这里面他说了
[00658.08-00660.52] 那里年从他的误道系列
[00660.52-00662.08] 在到他的谢有的
[00662.08-00663.52] 我们所说的中国人
[00663.52-00665.52] 说特有的这种运动品牌
[00665.52-00666.48] 来看的话
[00666.48-00668.36] 他体现了什么样的这些问题
[00668.36-00670.04] 在刚才的那个描述当中
[00670.04-00670.92] 我们会发现
[00670.92-00672.12] 他的这个体育品牌
[00672.12-00674.76] 没有并且之前的舒适度元素
[00674.76-00676.32] 以及透气性的要求
[00676.32-00679.24] 所以在这里面是不是前后产生了一定的影响
[00679.24-00680.92] 这个就叫做联系
[00680.92-00683.76] 但是他把原本的那些不好的因素
[00683.76-00687.96] 提出掉了比如说原本的运动服势
[00687.96-00689.04] 只是追求舒适
[00689.04-00690.20] 但是不追求美观
[00690.20-00690.52] 对吧
[00690.52-00692.08] 没有更多的我们所说的
[00692.08-00693.20] 仙明的元素在里面
[00693.20-00695.04] 他把这些不好的地方打掉了
[00695.04-00696.44] 加入了我们所说的
[00696.44-00697.76] 中国文化元素
[00697.76-00699.36] 是不使得他在市场当中
[00699.36-00700.24] 这样的力比较高
[00700.24-00701.44] 那这个时候你看
[00701.44-00702.68] 他是把后一个结段
[00702.68-00704.48] 比前一个结段发展更好了
[00704.48-00708.24] 在这个里面体现就是什么的环节发展的环节
[00708.24-00710.20] 所以这个地方在这出体的时候
[00710.20-00711.84] 同时们不要觉得说爱老师
[00711.84-00713.68] 我觉得这不太好判断
[00713.68-00715.48] 他如果淡反在旋上当中给你
[00715.48-00717.20] 他适合体现了联系的发展
[00717.20-00719.48] 就看前后有没有影响
[00719.48-00720.68] 前后有没有变化
[00720.68-00721.64] 如果都有的话
[00721.64-00724.88] 他就是联系和发展的环节
[00724.88-00726.20] 问题就出在
[00726.20-00727.36] 说那变成的否定
[00727.36-00729.24] 这件事联系和发展的环节
[00729.24-00731.24] 他为什么能够实现发展
[00731.24-00732.76] 为什么在变成的否定的里面
[00732.76-00734.56] 它最后往好的方向去了呢
[00734.56-00735.78] 原因就是在于
[00735.78-00738.56] 变重否定的实质所决定的
[00738.56-00740.32] 变重否定的实质是什么呢
[00740.32-00741.76] 是养弃
[00741.76-00743.16] 同们在这里标注
[00743.16-00746.48] 它是一个两星期的实际型的理解系
[00746.48-00748.24] 题目也是一个理解题目
[00748.24-00751.96] 在这里它之所以能够作为实际型题目出现
[00751.96-00752.92] 我们说了
[00752.92-00755.64] 那是因为它有一个一混小的点案
[00755.64-00756.64] 我们之前说了
[00756.64-00757.84] 是和哪个点相混小
[00757.84-00759.96] 叫做发展的实质
[00759.96-00764.70] 发展的实质是新书的产生和救数的灭亡
[00764.70-00767.32] 我们在整个整个当中一共就两个实质
[00767.32-00768.96] 一个是变成否定的实质
[00768.96-00770.46] 一个是发展的实质
[00770.46-00773.24] 这个地方特别容易高亏小
[00773.24-00774.28] 所以大家注意一下
[00774.28-00775.06] 这是第一个
[00775.06-00777.16] 最实际性的题目它出现
[00777.16-00779.76] 第二个作为理解性的题目它出现的时候
[00779.76-00783.56] 它往往就会考察一些和它相类似的话
[00783.56-00786.36] 如果老师它什么时候体现的是扬棋
[00786.36-00789.44] 那我们就要知道这个阳器本身是什么意思
[00789.44-00791.28] 阳指的是发阳
[00791.28-00794.44] 那你发阳宣传出去的东西能不能是不好的东西呢
[00795.64-00797.92] 指的是你发阳出去的
[00797.92-00800.00] 你保留下来的东西一定是好的
[00800.00-00801.08] 而气是什么
[00801.08-00804.12] 气一定是把不好的给丢掉了
[00804.12-00806.36] 所以在这里面我们所谓的阳器
[00806.36-00807.60] 它发一过来就是
[00807.60-00809.44] 既有克服,又有保留
[00809.44-00811.00] 把保留的是好的地方
[00811.00-00812.72] 克服的是不好的地方
[00812.72-00816.08] 那如果它真的可阳器出现类似的表述
[00816.08-00819.16] 比如說取擊金華 取擊糟迫
[00820.56-00824.08] 我解決了 比如說取出取金
[00827.24-00830.24] 類似於這樣的表述出現的時候
[00830.24-00831.92] 它其實就在考察什麼東西
[00831.92-00833.80] 就在考察氧氣
[00833.80-00834.96] 就在考察氧氣
[00834.96-00838.08] 取擊金華 取擊糟迫就有克服 有保留
[00838.08-00841.20] 等等這系列 這個體現的叫做氧氣
[00841.20-00843.28] 你看剛才李靈靈的這個品牌
[00843.28-00844.82] 也说到了这个点
[00844.82-00846.68] 他克服了传统当中
[00846.68-00847.62] 我们所说的
[00847.62-00848.86] 统一性的这个问题
[00848.86-00850.08] 大家都追求舒适
[00850.08-00851.28] 然后长得差不多
[00851.28-00852.24] 他把这个
[00852.24-00854.88] 个性不鲜明的这样的一个避端克服掉了
[00854.88-00857.12] 那你看在这里面是不是去错
[00857.12-00858.48] 但是保留了之前的
[00858.48-00861.20] 舒适度的要求和对于体育品牌牌
[00861.20-00863.76] 比如说在运动上严甲性透息性的要求
[00863.76-00865.48] 那这个时候是不是取经
[00865.48-00867.60] 把好的留下来不好的
[00867.60-00868.24] 兵器掉
[00868.24-00869.08] 那这个时候
[00869.08-00871.00] 你很难不实现发展
[00871.00-00871.36] 对吧
[00871.36-00872.60] 所以在这里我们说了
[00872.60-00875.12] 联系和发展的环境之所以能够发展
[00875.12-00877.48] 是为它的实质是养弃
[00877.48-00878.76] 所以你只要看到
[00878.76-00880.64] 就克服优宝流着的说法
[00880.64-00882.40] 它就是我们所说的什么
[00883.12-00885.00] 变成否定的使质
[00885.00-00886.36] 变成否定的使质
[00886.36-00887.80] 所以在这里大家注意下
[00887.80-00889.32] 这是变成的否定官
[00889.32-00891.04] 所以变成否定官的重点
[00891.04-00893.56] 可能是在第二个和第三个点上
[00893.56-00894.68] 大家要注意
[00894.68-00898.16] 这是马斯对于否定因素的看法
[00898.16-00899.52] 不同于其他的人
[00899.52-00899.92] 对吧
[00899.92-00902.90] 那我们知道了否定它是有好处的
[00902.90-00906.56] 它是真正促使是我发展的这样的一个因素
[00906.56-00909.90] 那事务到底是如何一步一步实现发展的呢
[00909.90-00911.82] 这个发展的心务立场
[00911.82-00916.30] 我们就可以把的称之为叫做否定之否定规律
[00916.30-00919.06] 那么来看一下这里的否定之否定规律
[00919.06-00922.08] 否定之否定规律首先来看一下它的内容
[00922.08-00926.90] 它说否定之否定规律的内容是经过两次变正的否定
[00926.90-00931.24] 有肯定就斷到否定计斷在否定制否定
[00931.24-00934.26] 三个階段说实现的
[00934.26-00936.64] 从而在这个階段发展当中
[00936.64-00938.42] 使事务表现为
[00938.42-00941.90] 叫做罗选世的商生和波浪市的前进
[00941.90-00945.24] 这里面要充分理解否定制否定的内容
[00945.24-00949.64] 我们就要知道它其实经过两次否定和三个階段
[00951.64-00954.80] 在两次否定和三个階段的基础之上
[00954.80-00958.20] 既而实现了我们所说的在这里给到
[00958.20-00960.90] 叫螺旋式的上升和波浪式的前进
[00960.90-00963.00] 在这里我先给大家说一下他怎么考
[00963.00-00965.80] 他在考的时候他比较在这个地方
[00965.80-00968.20] 他只能做一个一星级的支持点来考察
[00968.20-00970.40] 要么考察一个判断体
[00970.40-00972.80] 要么考察一个判断选项
[00972.80-00975.40] 这个地方最长考的一句话就是这句话
[00975.40-00978.30] 叫螺旋式上升和波浪式的前进
[00978.30-00980.30] 由于对一个事务发展来看的话
[00980.30-00982.80] 他并不可能是一番封顺的
[00982.80-00986.28] 它在发展的过程当中总会遇到获得火少的问题
[00986.28-00989.92] 所以在这里它不能成直现实发展
[00991.44-00993.60] 所以它一点一旦说到说
[00993.60-00997.16] 直现发展直现上升正说话都是错的
[00997.48-00999.16] 因为过程很驱着
[00999.16-01002.52] 所以叫做螺旋是上升和波浪市前进
[01002.52-01005.60] 所以在这里会集中在这个点来考察
[01005.60-01009.96] 那说老师什么叫做经过了两次否定到达了三个阶段
[01009.96-01011.92] 那它怎么去理解这个点呢
[01011.92-01014.08] 咱们几个例子 咱们来看一下
[01016.88-01021.92] 咱们现在以什么违令呢 就以我们所说的人类追求的友喊的主题来看吧
[01021.92-01025.20] 人类追求的友喊的主题是啥呢 就是世界和平
[01025.20-01028.40] 所以我们在政治上又加一个点
[01028.40-01030.64] 就是在中特上实政上经常会提到
[01030.64-01033.68] 说当今时代的主题就是和平越发展
[01033.68-01037.52] 所以和平是人类似会存序永远追求的这样一个命题
[01037.52-01044.76] 我们就以和平为例,我们来看一下我们线我的这种和平状态是自第二次世界大量之后所实现的
[01044.76-01051.88] 我们在第二次世界大量之前还有第一次世界大量,大家都知道第一次世界大量也是以德国为首的
[01051.88-01060.60] 我们所说的这种自治以国家他们之间的这种经济上的经济上的问题,从而演变成了军事上的这样的一种冲突
[01060.60-01062.60] 那我们说第一次世界大战之后
[01062.60-01063.60] 朋友们来看一下
[01063.60-01064.60] 第一次世界大战之后
[01064.60-01066.60] 世界呈现一个和平的状态
[01066.60-01068.60] 就是一战以后
[01068.60-01069.60] 世界呈现一个和平状态
[01069.60-01071.60] 当我们前面说了
[01071.60-01072.60] 说任何事物
[01072.60-01074.60] 他都包含两个方面的因素
[01074.60-01076.60] 一个是肯定方面
[01076.60-01077.60] 一个是否定方面
[01077.60-01080.60] 对于第一次世界大战当中的这种和平状态
[01080.60-01081.60] 也是如此
[01081.60-01082.60] 对吧
[01082.60-01083.60] 第一次世界大战之后
[01083.60-01085.60] 世界存序
[01085.60-01087.60] 以和平状态呈现出来
[01087.60-01091.18] 那对于和平来说
[01091.18-01093.74] 和平的肯定因素是什么
[01093.74-01097.84] 就是依战已经打完了大家不想再打仗了想好好搞经济发展
[01097.84-01102.44] 对吧所以在第一次世界大人当中我们所说的他存在肯定因素
[01102.44-01107.32] 肯定因素就是维持和平状态存在比如说刚所说的大家不想打仗了
[01107.32-01111.16] 想好好发展经济大家都吃过打仗的苦等等对吧
[01111.16-01114.22] 其实在这里面还有很多非常感人的一些故事
[01114.22-01117.30] 那这些呢其实都是想大家向往和平的
[01117.30-01120.66] 我們就把他稱為叫做什麼因素呢 叫做和平因素
[01122.90-01125.70] 但是呢 我們知道 和平狀態
[01125.70-01129.54] 他存須 它除了有肯定因素之外 任何事務都有兩方面
[01129.54-01134.02] 有肯定有否定 除了有肯定因素之外 還有否定因素
[01134.02-01137.22] 那否定因素就是措施我面網的因素
[01137.22-01140.98] 朋友們來看一下 第一次世界大戰打完之後
[01141.30-01144.10] 世界呈現一片和平的狀態
[01144.10-01147.50] 在這種核平狀態之下有沒有國家小在先起戰爭
[01147.90-01151.50] 有的最一點醒的就是我們所說的那脆躲國嘛
[01151.50-01155.10] 所以在這裡面我發現雖然社會呈現出核平的狀態
[01155.10-01157.70] 但是有想要打戰的因素
[01157.70-01159.10] 這些想要打戰的因素
[01159.10-01161.30] 我們可以把他檢測為戰爭因素
[01162.50-01164.30] 比如說剛才我們所說的德國
[01164.30-01167.50] 比如說各國家之間的他的一種經濟發展的這種危機
[01167.50-01168.90] 他要轉壓危機的話
[01168.90-01171.70] 他就一定像其他國家調查中斷
[01171.70-01174.10] 这个我们把它称为叫战争因素
[01174.10-01175.86] 战争因素对于和平来说
[01175.86-01178.50] 它数约否定因素对吧
[01178.50-01180.82] 这里面大家知道这是我们所说的
[01180.82-01181.62] 第一个阶段
[01181.62-01185.38] 第一个阶段之所以能够呈现出来和平状态
[01185.38-01188.30] 那一定是肯定因素发挥的作用是呀
[01188.30-01190.42] 大约否定因素的
[01190.42-01192.74] 肯定因素大约否定因素使得
[01192.74-01196.94] 这个阶段处在的阶段就叫做肯定阶段
[01196.94-01200.74] 那這是我們所說的
[01200.74-01202.54] 第一次是大家當中的核品
[01202.54-01204.34] 他存在兩個方面的因素
[01204.34-01206.34] 而之所以能夠維持核品
[01206.34-01209.14] 是因為這個時候肯定因素的作用
[01209.14-01210.64] 大約俯定因素
[01210.64-01212.84] 那這是我們所說的第一個階段
[01212.84-01214.84] 但是同學沒有發現一個問題
[01214.84-01218.44] 就是他不可能一直都是戰爭因素
[01218.44-01220.34] 比如說德國想打爭的這個心思
[01220.34-01222.34] 他不可能一直處在弱勢地位
[01222.34-01224.04] 當德國發展的差不多了
[01224.04-01227.12] 他准备的差不多之后他一定会调起什么
[01227.12-01228.40] 心意轮的战争
[01228.40-01233.50] 于是在我们所说的这种战争因素越来越扩张的技术之上
[01233.50-01235.82] 发动了第二次世界大战
[01238.38-01239.90] 发动了第二次世界大战
[01239.90-01241.28] 那第二次世界大战呢
[01241.28-01246.68] 我们会发现这里面是否定因素对于肯定阶段的一种什么
[01246.68-01248.12] 否定状态
[01248.12-01250.68] 所以他叫做第一次否定
[01250.68-01251.96] 那叫做第一次否定
[01251.96-01254.36] 而進入到戰爭當中同一美知道
[01254.36-01255.96] 他也存在兩方面因素
[01255.96-01258.60] 又叫肯定因素一個叫做否定因素
[01258.60-01260.72] 肯定因素是維持15存在的
[01260.72-01262.16] 戰爭打起了
[01262.16-01264.04] 那維持他存在的因素
[01264.04-01266.00] 我們就把他存在叫戰爭因素
[01266.00-01268.20] 比如說這個時候的德國
[01268.20-01269.20] 比如說德國之後呢
[01269.20-01270.40] 其他國家加入了
[01270.40-01271.88] 比如說日本對吧
[01271.88-01272.76] 那這些國家
[01272.76-01274.84] 他的這些加入使得戰爭
[01274.84-01276.24] 完全就爆發出來了
[01276.24-01277.64] 爆發了第二次說要戰
[01277.64-01278.92] 但是在這裡面
[01278.92-01281.08] 有沒有說有一些人不想打戰
[01281.08-01282.56] 想让战争评讯下来
[01282.56-01283.40] 当然有
[01283.40-01285.04] 所以在这里面我们把
[01285.04-01287.56] 不想让战争继续下期的这些因素
[01287.56-01289.60] 对于战争来说它是不是否定因素
[01289.60-01292.68] 那这里面我们就把它称这位叫做合评因素
[01292.68-01294.44] 这个合评因素有很多
