[00000.00-00003.08] 好的 那我们讲完了前面的内容
[00003.08-00007.04] 其实我们就把整个世界科技发展使得进程给拿出了
[00118.72-00120.72] 所以你要打碎刀的时候没有人力
[00120.72-00123.76] 第二段是从南口到康装这样一段路
[00123.76-00125.28] 从南口到康装这样一段路
[00125.28-00126.80] 打通这个碎刀一点人没有
[00126.80-00129.40] 于是他就搞一个叫做数警做业法
[00129.40-00130.48] 然后在数警做业法
[00130.48-00131.20] 这个地方呢
[00131.20-00133.52] 从康装打到了张家口
[00133.52-00135.12] 所以在这里面打住一下
[00135.12-00136.12] 这是第二段
[00136.12-00138.28] 那第三段就是我们看到的这个
[00138.28-00139.72] 人字型的修件
[00139.72-00142.04] 这个修件是在四年内完成的
[00142.28-00143.40] 当时你说老师
[00143.56-00144.84] 那像这样一段落
[00144.96-00145.88] 文贵啥当时
[00146.12-00147.64] 我们想修人家就让我们修呢
[00147.72-00149.44] 就是因为这个地方的地理位置
[00149.56-00151.04] 它非常非常特殊
[00151.24-00154.56] 就是当时外国人都觉得说不可能在这个地方打痛一套体路的
[00154.84-00156.88] 中国人家炒放中文是说修不成啊
[00156.88-00158.16] 你既没人又没钱
[00158.40-00158.92] 对吧
[00158.92-00161.48] 而且在这个国陈当中你这又没有技术
[00161.48-00163.00] 你咱能把这套体路修成呢
[00163.16-00164.56] 所以当时外国人说
[00164.56-00166.36] 他没有强章这个地方的原因在这儿
[00166.36-00168.40] 第二个就是这个地方难度太高了
[00168.40-00170.48] 这个地方铁路的修件
[00170.48-00174.28] 当时俄国英国都是看着这个地方
[00174.28-00175.20] 忘而却不
[00175.20-00176.84] 就是他们难道不想打通这条
[00176.84-00178.48] 经济体育路的连接线吗
[00178.48-00179.16] 想
[00179.16-00181.48] 因为如果把这条铁路打通的话
[00181.48-00184.12] 就意味着对于我们所说的国外来说
[00184.12-00186.16] 他就会在这个地方有原因不断的收入
[00186.16-00187.36] 但是为什么没搞
[00187.36-00188.56] 就是因为他做不到
[00188.56-00190.08] 他做不到他有限定的技术
[00190.08-00192.36] 他做不到他觉得中国也做不到
[00192.36-00194.44] 所以就说那你们中了人自己去修吧
[00194.44-00196.72] 结果在针天又他的这样的一个
[00197.20-00198.16] 领导之下
[00198.16-00199.96] 我们修成了这条铁路
[00199.96-00202.00] 只要铁路的修件就把整个西北地区
[00202.00-00203.08] 夸夸夸夸夸地地区
[00203.08-00204.36] 连接成了一片
[00204.36-00206.36] 战略价值非常非常高
[00206.36-00207.88] 所以在这里面大家注意一下
[00207.88-00209.68] 这是我们所说的经章铁路
[00209.68-00211.60] 这经章铁路为什么在这里这么热
[00211.60-00213.76] 就是因为那年都要会的说明都知道
[00213.76-00217.12] 张家口其实就是在这条线上
[00217.12-00218.36] 所以在这里大家注意一下
[00218.36-00220.16] 这是第一个我们所说的叫做
[00220.16-00222.68] 经章铁路甚至是粘天用
[00222.68-00223.76] 但一定要明确
[00223.76-00226.52] 那第二个就是中国的石油的问题
[00226.52-00229.04] 说他明大庆使用提供理论医剧
[00229.04-00231.80] 他明大庆使用提供理论医剧
[00231.80-00234.84] 这个就是我们所说的李斯光
[00234.84-00236.24] 所以在这个点了解下去
[00236.24-00240.16] 想了李斯光老先生是因为非常了不起的人
[00240.16-00242.12] 大家去了解过他就知道
[00242.12-00244.68] 但是这个点由于他在考试当中不是认识
[00244.68-00245.40] 所以在这儿呢
[00245.40-00249.00] 我们就不在想训绝地去讲述李斯光老先生的实际了
[00249.00-00254.60] 大家记得担心他设计的人字行经常体育入就可以了
[00254.60-00255.84] 这是第一个
[00255.84-00258.08] 第二点呢 同时把35块再块
[00258.08-00262.16] 这个35呢 同标主一下是1946年时间在这里了解
[00262.16-00264.84] 有46年呢是第一颗原子弹时报
[00264.84-00269.00] 中国成为世界上第五个拥有核武器和核武装的国家
[00269.00-00272.76] 所以标主一下 第1个就是第一颗原子弹时报的时间
[00272.76-00275.64] 第二个是世界上第五个原子弹时报
[00275.64-00278.44] 在第一颗原子弹时报之后呢 大家注意一下
[00278.44-00279.64] 第二颗原子弹
[00279.64-00280.64] 第二颗原子弹 第二颗原子弹
[00280.64-00282.84] 第二颗原子弹 第二颗我们所说的这个清淡
[00282.84-00285.44] 在1967年的时候时报成功
[00285.44-00294.34] 所以他们两个时间差了三年,一个是1964年,一个是1967年,他们两个分别是原子和清淡,是爆成功的时间。
[00294.34-00299.90] 然后紧粵在1970年的时候,我们发了首科人造卫星冬方红以后。
[00299.90-00306.18] 所以你看,我们就在这个过程中,原子淡,有了清淡,有了人造地球卫星。
[00306.18-00309.02] 这个就是某种意义上的,两蛋一星。
[00310.66-00314.32] 现在旁边,某种意义上的,两蛋一星。
[00315.44-00317.80] 某种意义上的两段一星
[00317.80-00319.44] 两段一星的大助一下
[00319.44-00320.72] 原子弹侵担
[00320.72-00323.04] 和人造地球、未星
[00323.04-00325.04] 原子弹侵担和人造地球、未星
[00325.04-00325.84] 这是一种说法
[00325.84-00327.84] 还要领造说法的两段是什么
[00327.84-00328.84] 导弹
[00328.84-00331.84] 然后还有我们所说的人造地球、未星
[00331.84-00334.04] 然后还有一个是
[00334.04-00336.24] 我忘了这是他有两种说法
[00336.24-00337.56] 但是我们考试当中
[00337.56-00339.32] 这他两种说法都对
[00339.32-00341.16] 当一般球下我们考试就是
[00341.16-00342.64] 原子弹侵担
[00342.64-00344.00] 还有人造地球、未星
[00344.00-00346.00] 这就是我们传说的两单一星
[00346.00-00347.80] 这几个考试大助一下
[00347.80-00348.92] 它的时间节点
[00348.92-00350.92] 有的时候在选项当中也会考察
[00350.92-00351.92] 有会考察
[00351.92-00353.76] 所以在这里面大家一定要明确
[00353.76-00354.84] 这是两单一星
[00354.84-00355.92] 那随道两单一星
[00355.92-00358.12] 它会有一些人物在这里对应
[00358.12-00359.00] 比如说在这里面
[00359.00-00359.92] 它提到原子弹
[00359.92-00360.76] 原子弹
[00360.76-00362.20] 有中国有自己的什么
[00362.20-00364.96] 中国有自己的原子弹支付
[00364.96-00366.72] 或者是我们所说的两单一星的
[00366.72-00368.44] 原许咱们一个来看
[00368.44-00369.40] 我们先把两单一星
[00369.40-00371.20] 它的两种说法先给大家揉掉出来
[00371.20-00373.12] 两单一星的两种说法
[00373.12-00376.84] 這是我們所說的第一個就是原子彈
[00376.84-00378.88] 然後還有我們所說的這個
[00378.88-00381.44] 清蛋
[00386.08-00388.76] 還有我們所說的這個人造
[00388.76-00389.92] 魏星
[00389.92-00391.48] 這是我們所說的兩代星
[00391.48-00393.60] 那兩代星它有很多的人物
[00393.60-00395.52] 這個人物大家要注意一下
[00395.52-00400.92] 那首先就是我們所說的原子彈支付
[00400.92-00402.32] 原子弹支付是谁呢
[00402.32-00403.48] 大家在旁标主一下
[00403.48-00406.04] 原子弹支付是我们所说的前三强
[00409.04-00409.68] 那还有呢
[00409.68-00410.44] 这是除了原子弹
[00410.44-00410.60] 是吧
[00410.60-00411.44] 还有清淡呢
[00411.44-00413.20] 我们都知道清淡支付是谁
[00413.20-00414.36] 清淡支付是共和国
[00414.36-00415.48] 训长的获得着
[00415.48-00416.48] 余明老鲜手
[00416.48-00417.04] 对了
[00417.04-00418.00] 余明老鲜手当年
[00418.00-00419.56] 他的名字都是国家机密
[00419.56-00420.32] 后来他会
[00420.32-00420.96] 他那个
[00420.96-00422.96] 清淡事报成功之后
[00422.96-00424.32] 然后来就有人采访
[00424.32-00425.20] 余明老鲜手的气子
[00425.20-00426.64] 你说你知道余明
[00426.64-00428.44] 老鲜手是做清淡研究的
[00428.44-00429.92] 然后这个他的气子就说
[00429.92-00434.48] 我不知道 说我一直以为老余他是在科研所打早匪生的
[00434.48-00438.32] 对吧 所以在这里面就有了清淡之复 和于米 叫于米
[00438.32-00441.76] 在整个两代一行当中 还有一个人物 大家经常听到的
[00441.76-00444.60] 我发的写在后面 就是两代一行的元宣
[00447.68-00451.28] 两代一行的元宣 就是我们所说的这座 等价先
[00451.28-00456.66] 就做更加先
[00456.66-00457.94] 所以大家注意一下
[00457.94-00459.22] 这是我们所说的观点
[00459.22-00462.04] 两代行当中的一些考察点
[00462.04-00462.54] 快点点
[00462.54-00464.34] 就是这些人它真的是
[00464.34-00465.62] 怎么说呢
[00465.62-00468.44] 我们想像不到的坚苦着
[00468.44-00470.48] 觉得这种困境调整下能够
[00470.48-00472.78] 沿置出中国的我们所说的两代行
[00472.78-00476.12] 能够让中国在整体的军事实定上有个叫大问题
[00476.12-00477.64] 他们这些人的供现
[00477.64-00479.18] 真的是不可模满的
[00479.18-00480.46] 所以在这里大家注意
[00480.46-00484.04] 尤其是在我是演出家当状对于东家鲜老先生
[00484.04-00486.60] 当时有一个清法大学的学生
[00486.60-00488.40] 他做了一个叫我的欧相
[00488.40-00490.20] 当时他说的我的欧相就是
[00490.20-00491.20] 动甲鲜
[00491.20-00495.56] 然后他说他在里面提到他提了三个问题在开片的时候
[00495.56-00497.36] 他说我想问一下在做的各位
[00497.36-00499.14] 如果有这么一件事情
[00499.14-00500.94] 你终其一生去做
[00500.94-00502.48] 你只能获得20块钱
[00502.48-00503.76] 你愿别人去做
[00503.76-00505.54] 说如果有这么一件事情
[00505.54-00508.88] 你终其一生可能甚至要奉先出一个生面去做一件事
[00508.88-00510.16] 你是不是愿意
[00510.16-00512.40] 他又说了,说如果有这么一件事情
[00512.40-00514.12] 你在做这件事情的时候
[00514.12-00516.64] 你不能跟任何人说,甚至包括你
[00516.64-00521.92] 最亲近的人,你都不能说,你的家人,你的跑运的爱人都不能告诉他们你在做什么
[00521.92-00525.76] 而你的家人又不去理解你,这件事情你能否坚持一声
[00525.76-00529.88] 他说,如果在做的能,那我感觉到很焦,如果在做的不能
[00529.88-00532.16] 我就告诉大家,有一个人做到了这样
[00532.16-00533.72] 这个人就是,动价先
[00533.72-00537.08] 当然,先把先生一声参与,原子弹和清单的研究
[00537.08-00539.32] 这一生只获得了20块钱的奖劫
[00539.32-00540.48] 清淡时快
[00540.48-00541.96] 原子淡10块钱
[00541.96-00542.76] 第二个
[00542.76-00545.12] 当家先生在后期的时候
[00545.12-00547.08] 就是因为搞这个研究
[00547.08-00549.24] 身体服势特别疼痛
[00549.24-00550.20] 所以他到后里的时候
[00550.20-00551.24] 他就会打肚冷丁
[00551.24-00552.28] 这个肚冷丁的注射
[00552.28-00554.44] 从原本的一星期一只变成了
[00554.44-00558.32] 三天一只变成了后面的一天一只到后面的一天三只
[00558.32-00559.44] 所以在这里面
[00559.44-00561.12] 他是拿自己的生命去做
[00561.12-00562.84] 但是如果他做的这件事情
[00562.84-00563.80] 但是他也说了这样一个
[00563.80-00565.52] 他如果他做的这件事情
[00565.52-00567.04] 是可以让中国
[00567.04-00571.38] 富強的 或是可以讓中國強大的 那麼他就願意去做
[00571.38-00575.44] 我們所說的這樣那些風險 所以他當時就提到這個動家先生
[00575.44-00578.16] 說非常了不起的一個人物
[00578.16-00580.92] 所以大家注意一下 這是我們所說的關於兩代一星
[00580.92-00582.40] 他身上的考察點
[00582.40-00585.96] 那除了兩代一星 大家注意一下是哪兩代哪一星 他的考察點
[00585.96-00590.28] 之外呢 在這裡面還有一個 就是從這裡面 我們剛才看到了
[00590.28-00592.64] 叫做原子彈支付師 前三項
[00592.64-00594.16] 清彈支付師 魚米
[00594.16-00597.88] 那在这种情况这些还有一个人叫做前理长
[00600.52-00601.20] 前理长
[00601.36-00602.40] 这个前理长呢
[00602.40-00604.56] 他是近代历学之父
[00607.60-00608.88] 近代历学之父
[00608.88-00610.72] 那这个近代历学之父当中
[00610.88-00613.28] 就是刚才我们所说的这三个
[00615.12-00616.16] 等一下 我想想
[00616.40-00617.28] 导弹之父
[00617.28-00618.12] 还有一个
[00618.40-00619.68] 标错了不是鱼面
[00619.68-00621.24] 这个地方讲得有点快了
[00621.24-00621.96] 大家注意一下
[00621.96-00623.88] 我们刚才讲到了一个原子弹之父
[00623.88-00627.28] 前三强 还有一个前位长进带绿血制复
[00627.28-00629.98] 还有一个就是我们所说的导弹制复
[00631.78-00632.58] 前去森
[00636.88-00637.88] 前去森
[00638.08-00640.88] 前去森 台贝称着围叫做导弹制复
[00640.88-00643.68] 这三个人被称着围叫做三强
[00647.38-00648.48] 这不是三强
[00648.48-00650.48] 这个地方经常会考察一个
[00650.48-00653.48] 要知道说三强对人的是哪些人
[00653.48-00657.12] 那知道这是我们所说的两旦一星
[00657.12-00661.68] 这是中国的在改革开放之前的我们所取得的巨大的成就
[00661.68-00664.08] 这里面有一些细节大家一定要注意一下
[00664.08-00666.48] 那这是我们所说的这些内容
[00666.48-00670.32] 除了这个之外我们来看一下在近几年到中所取得的中大成就
[00670.32-00671.40] 首先第一个
[00671.40-00671.92] 话一下
[00671.92-00674.84] 叫中国第一艘航母叫做了尼号
[00674.84-00677.56] 把它标主一下是中国的第一艘航母
[00677.56-00679.64] 但并非中国国产第一艘
[00679.64-00680.84] 所以叫做了尼号
[00680.84-00685.18] 两个地方就是最左边这部图给大家去展示的中国地搜航母
[00685.18-00690.32] 那第二个就是同胭标主一下叫中国地搜国产航母
[00692.62-00695.18] 那地搜国产航母
[00696.46-00698.68] 就是中间这个图给大家展示的
[00698.68-00700.80] 那也都知道是什么山东建
[00703.62-00707.20] 山东建大家也知道是为了今年假五中日山中
[00707.20-00708.74] 所以也是在危害那边
[00708.74-00710.78] 所以显号17对吧
[00710.78-00711.80] 这是三中间
[00711.80-00713.08] 而在我们所说的
[00713.08-00716.42] 近几年的时候还有一个叫中国低收谈设形
[00719.22-00720.52] 低收我简单下
[00720.52-00722.56] 低收谈设形行目
[00722.56-00725.12] 这个低收谈设形行目就是我们所说的
[00725.12-00725.88] 福建建
[00725.88-00727.94] 大家注意下这里的美与收行目
[00727.94-00731.52] 都与中国历史的这样的一次近年
[00731.52-00733.56] 在聊天号当中为什么最开始聊天
[00733.56-00735.88] 因为当时在假大家中战争的时候
[00735.88-00737.52] 爆发了精录海战
[00737.52-00739.00] 后来就了旅顺大图杀
[00739.00-00741.44] 中国在我们所说的军事战争当中
[00741.44-00744.88] 产卖不仅产卖是有无数的同胞的性命被犀生了
[00744.88-00746.88] 后来到了夹古中日战争当中
[00746.88-00748.60] 我们所说的这个危害位战亦
[00748.60-00750.40] 中国的犀生也非常惨烈
[00750.40-00750.72] 对吧
[00750.72-00753.52] 我们都在往上看过夹古海战的这种电影
[00753.52-00755.84] 中国在近代的历史发展当中
[00755.84-00757.84] 遭受到了无数的区物和错摆
[00757.84-00759.20] 所以在这里面我们说了
[00759.20-00760.80] 为了今年危害位战亦
[00760.80-00762.44] 所以在这里面就有了山东建
[00762.44-00765.52] 显号时期也是被洋水时的建立有关
[00765.52-00767.82] 最後一個就是第一艘彈色型的
[00767.82-00770.64] 我們所說的這個航空母艦叫做福建艦
[00770.64-00771.80] 是中法
[00771.80-00773.46] 我們所說的馬維海戰
[00773.46-00775.26] 中法馬維海戰40分鐘
[00775.26-00777.80] 中國就全都打敗了幾百人
[00777.80-00779.86] 全都在這場戰爭當中犧牲了
[00779.86-00782.80] 所以中國在整個海戰當中在之前的時候
[00782.80-00785.08] 我說了吃了很多都苦吃了很多的虧
[00785.08-00787.78] 所以我們再去命名航母的時候
[00787.78-00790.60] 我們發現它其實都是河谋一些戰爭有很大的關係
[00790.60-00791.52] 這是第一個
[00791.52-00794.08] 第二個就大家知道你還想這個航空母艦
[00794.08-00795.78] 它一般都是有什么来密名的
[00795.78-00797.18] 都是有省分密名的
[00797.18-00799.68] 中国的我们所说的军间有航母
[00799.68-00801.48] 有驱逐件有不几件
[00801.48-00802.78] 它的密名都不一样
[00802.78-00804.38] 因为说像这里面我们所说的
[00804.38-00806.88] 聊年号山东山东号和福建号
[00806.88-00807.88] 或者是福建建
[00807.88-00809.28] 它是航空母件
[00809.28-00811.48] 航空母件多一省分来密名
[00811.48-00813.08] 你看还有什么山河
[00813.08-00813.58] 对吧
[00813.58-00815.68] 这种都是我们所说的什么不几件
[00815.68-00816.68] 还有驱逐件
[00816.68-00818.48] 一般情况之下就是一省
[00818.48-00820.68] 就是一市来密名的
[00820.68-00822.28] 所以在这里面大家注意一下
[00822.28-00823.68] 聊一下这个点就OK了
[00823.68-00835.42] 所以在这个里面大家一定要明确我们所说的这个和我们所提到的新闻或者叫做实正新闻相结合的科技新闻相结合的这些内容
[00835.42-00838.48] 所以把这三个好空母件标注在旁边
[00838.48-00840.08] 这是这个点
[00840.08-00845.66] 那在我们来看一下2015年叫物空号按物质例子探测为新闻了解
[00845.66-00849.12] 我们在高新技术里面会大家想起去讲
[00849.12-00851.42] 然后再往下第9个我们标准一下
[00851.42-00855.76] 第9个说2016年中国科学院国家天文台主导建设了
[00855.76-00859.12] 口境无外秘的球面设定望远京法司
[00859.12-00861.02] 然后在贵州地区
[00861.84-00862.88] 我们所说的
[00864.04-00865.00] 落地时时
[00865.00-00868.32] 然后他被语维叫做中国天眼标准一下
[00868.32-00872.32] 说世界上口境单口境最大的设定望远京
[00872.32-00874.84] 所以大家知道我们国家最大的设定望远京
[00874.84-00877.32] 第一个叫做中国天眼
[00877.32-00880.14] 第二个就知道他是在规州
[00880.14-00881.80] 中国天有设计者
[00881.80-00884.28] 大家知道是南人东保先生
[00884.28-00885.44] 中国天的设计者
[00885.44-00888.60] 作为南人东老先生在中国天见成之后
[00888.60-00891.64] 一年之后就趋势了
[00891.64-00894.72] 当时在2021年的时候奉皇王
[00894.72-00896.08] 他其实做了一个节目
[00896.08-00897.80] 节目叫你成就
[00897.80-00901.24] 通过演讲的形式来给大家去介绍
[00901.24-00902.98] 当时大家都知道有一个
[00902.98-00904.74] 我还大学的一个老师
[00904.74-00905.74] 他不叫臣名嘛
[00905.74-00907.14] 就经常会出现在其他说
[00907.14-00908.46] 要会其他节目上
[00908.46-00910.62] 然后他当时在那个你的臣又上讲
[00910.62-00912.42] 就是中国天液
[00912.42-00913.58] 他就讲中国天液
[00913.58-00914.34] 在设计的时候
[00914.34-00915.74] 到底有多难
[00915.74-00916.42] 最开始的时候
[00916.42-00918.26] 我们想要跟人去搞合作
[00918.26-00919.58] 但是最终
[00919.58-00920.30] 合作失败了
[00920.30-00922.06] 那我们就说要自己去见走
[00922.06-00923.82] 在这些见到中国天液的时候
[00923.82-00926.46] 所有人都说要不要把中国天液推迟设计
[00926.46-00928.54] 难道老先生一再坚持说不醒
[00928.54-00930.50] 我们一定要在这种情况
[00930.50-00931.66] 这些搞出自己的
[00931.66-00933.78] 我们所说的这种寻天的设备
[00933.78-00936.78] 所以当时南东老先生就说说我们没有退路
[00936.78-00938.26] 我们的国家也没有退路
[00938.26-00939.94] 我们必须一靠高科技
[00939.94-00941.66] 冲出一条自己的路
[00941.66-00944.02] 于是在22年的时间当中
[00944.02-00945.34] 用十多年的时间
[00945.34-00948.26] 南东老先生亲自去各地去选择
[00948.26-00950.54] 因为那个时候没有太多的钱
[00950.54-00953.74] 所以他去选择做的这个策都是花自己的钱
[00953.74-00956.38] 用了12年的地区时间去选地址
[00956.38-00958.18] 要去做这个中国天眼
[00958.18-00960.78] 最终在贵州这个地方
[00960.78-00962.82] 找到了一个非常合适的天坑
[00962.82-00967.84] 中国天嶼有多大,投入门知道,中国天嶼的直镜是500米
[00967.84-00970.46] 它这个500米相当于什么概念呢?
[00970.46-00977.10] 它的这个500米的直镜相当于我们所说的整体的面解
[00977.10-00979.24] 可以达到25万平方米
[00979.24-00982.36] 让20万平方米相当于把中国天嶼装满水之后
[00982.36-00987.46] 如果安全世界71人口来算的话,每个人能分到4平水
[00987.46-00992.46] 所以当时南洋老先生的坚持,就是使得中国能够看得更远
[00992.46-00994.76] 在整个这个项目推进的过程当中
[00994.76-00997.58] 在我们所说的这个一五年的时候
[00997.58-01000.40] 就是整个中国天的王所合龙的这个期间
[01000.40-01002.90] 因为中国天下不凌七年一项
[01002.90-01006.54] 一一年开工一三年合龙一四年的六座
[01006.54-01009.86] 我们所说的这个集团就建造完成了一五年的时候
[01009.86-01011.26] 就是所有的所谓合龙
[01011.26-01014.06] 就在这一年的时候南东老先生拼到了
[01014.06-01016.38] 他被查出来飞挨万期
[01016.38-01019.78] 他突然之间就从天的工地上就消失了
[01019.78-01022.58] 所有人都不知道南人都老先生去
[01022.58-01024.34] 检查去北京看病了
[01024.34-01026.42] 当时南州老先生检查他的身体状况
[01026.42-01027.34] 医生也进呆了
[01027.34-01030.90] 就说现在为什么还要继续工作呢
[01030.90-01033.06] 南州老先生就说没有时间了
[01033.06-01036.22] 南人都老先生住院生病住院的这段期间
[01036.22-01038.42] 每天还在电子有件去指挥
[01038.42-01040.22] 工地上这些我们所说的
[01040.22-01041.62] 这是工地的实施
[01041.62-01044.18] 南人都老先生住院一半年之后
[01044.18-01045.38] 他又回到了工地
[01045.38-01048.02] 所有人都发现南人都老先生有一些不一样了
[01048.02-01048.98] 不一样在哪呢
[01048.98-01050.76] 這是南洲老先生不吃魚了
[01050.76-01052.38] 他以前特別喜歡吃魚
[01052.38-01053.38] 所有人就說
[01053.38-01054.98] 說為什麼老先生不吃魚了呢
[01054.98-01058.06] 他說沒有多少時間可以跳魚菜了
[01058.06-01060.54] 魚是就不停了又投入到工作當中
[01060.54-01061.90] 所以到老二零一六年
[01061.90-01063.70] 用了二十零年的時間
[01063.70-01065.70] 中國天眼就完成了
[01065.70-01067.94] 他們說中國天眼完成了那一天
[01067.94-01069.50] 落地成功的那一天
[01069.50-01070.86] 滿天的反星
[01070.86-01074.18] 說南洲老先生那一晚上就坐在中國天眼
[01074.18-01077.38] 只想望著天空看也看了一夜
[01077.38-01079.30] 第二天他要生起的时候
[01079.62-01081.74] 男人都老现身体身里去
[01081.74-01083.58] 就再也没有回到工地上
[01083.78-01086.02] 男人都老现身曾经说过这样一段话
[01086.02-01088.02] 他说如果有一天我真的不行了
[01088.02-01089.46] 我就躲得远于二的
[01089.46-01091.02] 让你们都看不到我
[01091.02-01093.90] 所以在中国天然见成之后的一年之后
[01093.90-01098.06] 男人都老现身在遥远的一个地方去世了
[01098.06-01101.86] 这个成名在讲到这个言讲的后面的时候
[01101.86-01102.94] 他也是
[01102.94-01104.70] 语言就已经开始更热了
[01104.70-01106.46] 他说他在飞机上开玩男人
[01106.46-01108.00] 很多老先生的赚机之后
[01108.00-01109.54] 他说到常内不止
[01109.54-01111.26] 他说如果有机会
[01111.26-01112.46] 只要有机会
[01112.46-01114.20] 我就一定会带着我的女儿
[01114.20-01116.54] 在中国天的四周走一走
[01116.54-01117.66] 我要给他去讲
[01117.66-01119.00] 比现在所讲的
[01119.00-01120.40] 男人的老先生更长
[01120.40-01122.60] 更加想象的这样一个故事
[01122.60-01124.80] 他说因为男人的老先生的坚持
[01124.80-01125.94] 让我们相信了
[01125.94-01126.70] 意义
[01126.70-01128.14] 他真的是存在的
[01128.14-01129.74] 他说他想告诉他的女儿
[01129.74-01132.62] 为什么这个世界上最宽网的是海洋
[01132.62-01135.18] 比海洋更宽网的是新空
[01135.18-01137.98] 比新空更用橫的是人的灵魂
[01137.98-01139.98] 就是南洛老先生坚持让我们相信了
[01139.98-01142.22] 这一刻的东西他真的会存在
[01142.22-01143.94] 所以为了今年南人东老先生
[01143.94-01145.38] 我们现在就有一刻心
[01145.38-01148.30] 议为南人东先生叫79编号
[01148.30-01149.82] 7964
[01149.82-01153.10] 所以这就是中国整体科技使得他的一个发展
[01153.10-01155.58] 陪伴中国产业从零起步
[01155.58-01158.94] 发展到今天的是一代科学工作者的痛苦和坚持
[01158.94-01161.42] 过去每一个非常困难的时刻
[01161.42-01163.34] 他总有人能挺身而出
[01163.34-01167.44] 没有在残酷的现实和苦难的环境当中泥沙距下
[01167.44-01171.70] 十几年如一日的不停的接手的这个国家打下产业的根据
[01171.70-01175.64] 就像所长林超他在他的致疾的视频当中说过这样一句话
[01175.64-01179.10] 那一期呢是在描述航空航空航空工程当中所说的
[01179.10-01179.94] 最后一句话
[01179.94-01184.34] 说这些人的一生莫莫无文在他们的成就一一生会
[01184.34-01186.14] 这些人中国现在呢科技
[01186.14-01188.74] 半随着很多的苦难走过来的
[01188.74-01190.74] 那这是我们所说的这个
[01190.74-01193.34] 中国天眼 大家做一个重点掌握
[01193.34-01198.18] 中国天眼呢 除了知道它只在和把它和我们所说另外一个
[01198.18-01200.22] 叫做锅手境外面进去分
[01202.42-01203.98] 叫锅手境往一进
[01203.98-01205.66] 锅手境往一进
[01207.06-01208.70] 它的主要的
[01208.70-01211.22] 我们所说的作用是自主研发的第一台
[01211.22-01213.42] 叫锅光铺巡天往一进
[01213.42-01214.82] 把它写在旁边
[01214.82-01216.98] 这两个点在考试的时候总绿予会
[01218.34-01220.50] 光铺巡天往一进
[01220.74-01225.22] 光普 訊號 已經
[01225.22-01227.22] 這個是我們所提到的
[01227.22-01229.14] 有關於中國天眼
[01229.14-01232.02] 好 到這就把整個中國的
[01232.02-01233.86] 現代科技使給大家說完了
[01233.86-01236.14] 我們就把整個科技使得那種說完了
