[00000.00-00002.52] 我们接着来往下看
[00143.16-00145.68] 接这里就区分出来了我们所说的
[00145.68-00147.04] 根据民事法律事实
[00147.04-00148.08] 我们就画分出来了
[00148.08-00151.48] 叫做民事法律行为和民事法律事件
[00151.48-00153.92] 而这个行为根据它是不是当时
[00153.92-00155.68] 议院双方和议的表达
[00155.68-00158.64] 又在行为当中画分出来了更细的一个点
[00158.64-00161.60] 叫做民事法律行为
[00162.60-00164.60] 叫做民事法律行为
[00164.76-00170.72] 而在整個世界當中大家注意下能夠引起民視法律關係的這個事實
[00170.72-00173.72] 之所以會花分出來行為或者是世界
[00173.72-00177.80] 就看這件事情它是不是以個人的意志為轉移
[00177.80-00179.56] 就是人能不能控制個料塔
[00179.56-00182.80] 如果是以人的合意人的意志為轉移的就叫做行為
[00182.80-00184.72] 如果不是的話就叫做事件
[00184.72-00187.56] 所以事件是在人醫療之外的
[00187.56-00192.32] 而我們把事件又花分成了兩種一種叫做自然事件
[00192.32-00195.54] 一种叫自然事件
[00195.54-00197.54] 自然事件只能是人控制不了的
[00197.54-00198.06] 对吧
[00198.06-00199.90] 比如说人的死亡
[00199.90-00203.82] 或者是我们所说的自然灾害
[00203.82-00205.58] 这种东西人能不能控制不了
[00205.58-00206.68] 人控制不了
[00206.68-00209.62] 但是一旦这些事情发生了
[00209.62-00210.52] 大家就要注意
[00210.52-00212.26] 一旦这些事情发生了之后
[00212.26-00214.86] 它就会引起相应的全力武关系的变动
[00214.86-00216.30] 比如说人的死亡
[00216.30-00219.18] 人的死亡之后会引发什么全力武关系的变动
[00219.18-00220.14] 在这个地方
[00220.14-00221.86] 人一在死了之后我们就说了
[00221.86-00224.02] 七里子三加破人王
[00224.02-00226.86] 那在重情王之下可能是继承关系
[00226.86-00228.34] 可能是婚姻关系
[00228.34-00229.74] 可能是清全关系
[00229.74-00231.14] 他们都会发生变动
[00231.14-00233.34] 所以你看当在世界发生的时候
[00233.34-00234.46] 你看人的死亡
[00234.46-00235.38] 虽然灾害
[00235.38-00236.70] 还有我们所说的经过
[00236.70-00238.18] 一定的诉讼实效之后
[00238.18-00239.78] 那这个时候的权力无关系
[00239.78-00241.30] 可能会受到影响
[00241.30-00244.18] 但是像这种自然世界是人能控制的了的吗
[00244.18-00244.98] 人控制不了
[00244.98-00245.94] 但是他发生了
[00245.94-00248.14] 就会引起权力无关系的变动
[00248.14-00250.50] 就會引起民視法律關係的變動
[00250.50-00253.78] 在這種,我們就把它稱之為叫做自然世界
[00253.78-00255.82] 我們在整個民視法律事實當中
[00255.82-00259.62] 除了有在世界之外,還有一個叫做社會事件
[00259.62-00261.70] 社會上發射了某件事
[00261.70-00265.06] 我們控制不了的,比如說戰爭、對不對
[00265.06-00267.54] 那打仗的這些事情,我可控制不了
[00267.54-00270.42] 一旦戰爭,他就會有傷亡,他就會射一盒
[00270.42-00271.90] 全力無得關係變更
[00271.90-00275.02] 又或者出現了我們所提到的叫做社會的
[00275.02-00276.04] 大工情况
[00276.30-00278.22] 那他像大工这种情况出现了
[00278.22-00281.50] 他也属于民室法律事实当中的事件
[00281.50-00283.86] 或者是社会发生了动乱等等
[00284.22-00288.46] 那这些都是人控制不了的这些东西
[00288.46-00290.58] 我们把的称之为叫做事件
[00290.82-00292.82] 而人能够控制的了的
[00292.82-00295.02] 那我们把他称之为叫做行为
[00295.22-00296.02] 那行为呢
[00296.02-00299.50] 我们又花分出来了叫做表意行为和事实行为
[00299.62-00301.98] 而表意行为当中就提到了叫做
[00301.98-00303.74] 民室法律行为
[00303.74-00305.50] 所以它有照的一个关系在
[00305.50-00308.00] 所以在这个地方有了这个框架
[00308.00-00310.36] 我们就能够画分出来第一层考点
[00310.36-00311.20] 什么考验呢
[00311.20-00316.40] 同样知道民室法律事实能够引起民室法律关系
[00316.40-00317.80] 一是权利物的变动
[00317.80-00319.12] 它必须要有一个依据
[00319.12-00320.20] 这个依据是什么
[00320.20-00322.28] 为什么会发生权利物关系的变动
[00322.28-00324.28] 一定是发生了一个什么狀况
[00324.28-00327.00] 我们把这个称维叫做民室法律事实
[00327.00-00329.90] 所以民室法律事实引起民室法律关系
[00329.90-00332.92] 而民室法律事实里面包括世界
[00332.92-00335.16] 也包括我们所说的行为
[00335.16-00337.40] 在这个地方就会让我们去判断
[00337.40-00339.00] 第一个大注意下
[00339.00-00340.48] 就会让我们去变息
[00340.48-00341.68] 给你个案例问
[00341.68-00344.40] 他属于行为还是属于世界
[00344.40-00345.28] 大家注意下
[00345.28-00347.56] 如果他是迷失法律师傅当中的行为
[00347.56-00349.44] 就意味着人能不能控制的了
[00349.44-00351.88] 就意味着人士可以控制的了的
[00351.88-00353.00] 如果是世界
[00353.00-00353.96] 人就控制不了
[00353.96-00356.12] 所以这里面会考一个具体的案例问
[00356.12-00359.60] 以下属于迷失法律世界的事
[00359.60-00360.60] 那就要看一看
[00360.60-00364.44] 说不所说的自然还是社会人控制不了的这些
[00364.44-00369.12] 那如果他说以下属于民事法律事实当中的行为的是
[00369.12-00371.56] 那你就看一下是不是人能控制不了
[00371.56-00372.96] 有没有表达人的合意
[00372.96-00376.48] 而这个行为又分为表意行为和非表意行为
[00376.48-00380.32] 而表意行为当中就有了民事法律行为
[00380.32-00385.68] 所以在这里面考点就在于你要把这个框架去给他旅顺清楚
[00385.68-00388.76] 你要知道发生了一个什么事也发了民事法律关系
[00388.76-00394.86] 这个事情这个状况分为行为和世界行为当中才有了民事法的行为
[00394.86-00397.50] 才有了我们所说的第三节的这个内容
[00397.50-00400.86] 所以在整个考试当中第一层就是考框架
[00400.86-00404.96] 框架民事法律事实的框架那些属于行为那些属于世界
[00404.96-00408.70] 要能够去去分第二层才是在这个框架之下
[00408.70-00411.94] 才去考察我们所说的民事法律行为
[00411.94-00415.50] 所以在这里面同没有一定要把这个框架去给它属于清楚
[00415.50-00416.00] 好的
[00416.00-00419.30] 这个是我们所说的叫做民事法律行为
[00419.30-00421.80] 我们知道了他大概是一个什么样子
[00421.80-00423.70] 知道了他大概是一个什么样子
[00423.70-00425.80] 接下来我们就详细地去学习一下
[00425.80-00428.70] 民事法律行为他的具体内容
[00428.70-00431.10] 首先到底什么是民事法律行为
[00431.10-00432.90] 在这里面他就给到了一个点
[00432.90-00436.72] 他说民事法律行为是民事主体通过
[00436.72-00440.50] 设立变宫中止民事法律关系的行为
[00440.50-00442.80] 这个就叫做民事法律行为
[00442.80-00444.10] 其实他是一个什么的
[00444.10-00446.26] 同们注意一下 明是法律行为呢
[00446.26-00448.02] 它其实是一个抽象的概念
[00450.10-00451.58] 它其实是一个抽象的概念
[00451.58-00453.82] 这个抽象的概念是从来的呢
[00453.82-00454.86] 这个抽象概念
[00454.86-00456.38] 它就是从我们所说的
[00456.38-00457.38] 比如说合同
[00458.66-00459.70] 还有我们所说的
[00459.70-00461.70] 在迷发点浪中的婚姻编
[00461.70-00462.46] 对吧
[00462.46-00464.70] 或者是我们所说的收养
[00464.70-00466.58] 还有我们常见的移主
[00466.58-00467.26] 等等
[00467.26-00469.18] 它是从这几个方面
[00469.50-00471.30] 这几个方面是不都是具体的
[00471.30-00475.78] 他是从这些具体的行为当中抽象而来的
[00475.78-00476.78] 这是我们去看一下
[00476.78-00477.86] 河通的签训
[00477.86-00479.82] 它有什么样的一个特点
[00479.82-00480.46] 灰音
[00480.46-00481.82] 它的一个设立
[00481.82-00483.38] 它的结婚离婚
[00483.38-00485.30] 对把灰音关系它的发展变化
[00485.30-00487.66] 它的设立变工中只有什么特点
[00487.66-00489.22] 我们去研究河通
[00489.22-00491.02] 灰音收养和一主之后
[00491.02-00492.66] 发现他们的共性问题
[00492.66-00495.26] 从这些具体行为当中抽象出来了
[00495.26-00497.14] 这些行为都可以称热什么
[00497.14-00499.74] 都可以称热一叫做明式法律行为
[00499.74-00503.54] 有就是把合同的設定婚姻關係的辯江收養
[00503.54-00506.66] 關係他的設立辯江中指一組的設立辯江中指
[00506.66-00509.58] 把這些具體行為當中的共性問題抽象出來
[00509.58-00513.54] 我們給他有了一個秘密叫做民視法律行為
[00513.54-00516.50] 所以這個民視法律行為他與民視事實行為事
[00516.50-00517.82] 當然不同的
[00517.82-00520.22] 所以在這個地方大家一定要注意一下
[00520.22-00523.98] 這是民視法律行為當中需要我們去掌握的點
[00523.98-00526.34] 那這個民視法律行為我們去掌握的時候
[00526.34-00527.98] 就知道他大概是一個概念
[00527.98-00531.18] 他就是从红官上去给我们去接定了
[00531.18-00533.68] 到底比如说你签定合同的时候
[00533.68-00535.48] 你在签定合同过程当中
[00535.48-00538.18] 你符合哪些要件你的合同时生效的
[00538.18-00539.98] 你在结婚婚婚关系当中
[00539.98-00543.98] 你符合哪些要件你的婚姻是能够成立的有生效的
[00543.98-00548.28] 所以在这里面民事法律关系就是做了一个什么红官的概括
[00548.28-00551.48] 那么说了民事法律关系和民事法律事实
[00551.48-00552.68] 他其实是什么
[00552.68-00553.88] 他其实是两个概念
[00553.88-00555.36] 行为和事实
[00555.36-00557.20] 它其实不是一个点
[00557.20-00558.36] 所以大家注意一下
[00558.36-00559.52] 所以我们就想说了
[00559.52-00562.08] 民事法律性为何民事事实行为
[00562.08-00563.72] 也就是我们所说的这个事件
[00563.72-00565.44] 它是本身上不同的
[00565.44-00566.84] 咱们刚才是不是在这里给大家
[00566.84-00567.96] 画了这个框架
[00567.96-00569.48] 所以它是第一种
[00569.48-00571.40] 所以在这里我们就知道了
[00571.40-00572.76] 民事法律性为
[00572.76-00574.48] 其实就相当于一个公式
[00574.48-00576.12] 你要看一下你的合同
[00576.12-00577.40] 到底服服要求
[00577.40-00579.64] 那就看一下它服服和民事法律性为
[00579.64-00581.00] 生效要加到我们中的
[00581.00-00582.24] 购成要素就行了
[00582.24-00583.60] 所以在这里我们就知道了
[00583.60-00586.26] 什么叫做明式法律行为
[00586.26-00588.20] 那了解了什么是明式法律行为
[00588.20-00589.96] 我们的重点其实就来了
[00589.96-00592.76] 大家注意一下这一节主要考察啥呢
[00592.76-00595.08] 这一节再考试到中主要去考察
[00595.08-00596.68] 理解行为变形体
[00596.68-00598.16] 也是在考试到中
[00598.16-00599.68] 他给了你一个情况
[00599.68-00601.12] 让你去分析这个情况
[00601.12-00602.24] 他是有效的
[00602.24-00603.24] 是无效的
[00603.24-00604.80] 是效力带定的还是可
[00604.80-00605.68] 撤销的
[00605.68-00607.56] 所以我们需要根据接下来
[00607.56-00609.20] 有关于我们所说的
[00609.20-00611.04] 明式法律行为的分类
[00611.04-00612.20] 来去判断
[00612.20-00613.96] 它的行为的效率
[00613.96-00617.44] 也就是根据我们现在的具体
[00617.44-00618.84] 我们所讲的这些内容
[00618.84-00620.84] 然后你去判断它给你的情况
[00620.84-00622.56] 到底是有效无效还是考车效的
[00622.56-00623.56] 明白这个意思吧
[00623.56-00624.04] 好
[00624.04-00626.00] 这个就是它整体的考察点
[00626.00-00627.20] 而这个考察点
[00627.20-00629.84] 它其实我们在迷法考试中
[00629.84-00632.44] 最常见的一个理解性的重点
[00632.44-00635.08] 和一个理解上稍微有一点难度的点
[00635.08-00635.76] 好
[00635.76-00637.04] 我们接下来往下看
[00637.04-00638.60] 咱们了解了迷事法律行为
[00638.60-00639.28] 是什么之后
[00639.28-00642.22] 我们就来看一下明时法律行为的效力
[00642.22-00644.40] 明时法律行为它的效力
[00644.40-00645.30] 大家注意一下
[00645.30-00647.40] 就是这个明时法律行为
[00647.40-00648.94] 它到底是生效无效的
[00648.94-00650.04] 我们把它称出来效力
[00650.04-00652.08] 它它的明时法律行为的效力
[00652.08-00654.00] 一共有这么激动情况
[00654.00-00657.40] 第一种就叫做有效的明时法律行为
[00657.40-00659.68] 也就是它发生了一个什么状况
[00659.68-00661.28] 它引起的权力无关系
[00661.28-00664.12] 它其实是受法律调整和保护的
[00664.12-00666.28] 这种是有效的明时法律行为
[00666.28-00668.76] 还有一种叫做无效的明时法律行为
[00668.76-00670.80] 就是发生了一个什么样的情况
[00670.80-00671.76] 这个情况呢
[00671.76-00674.24] 它其实被确定为叫做自始无效
[00674.24-00675.56] 就当它没有发生过
[00675.56-00676.76] 那自始无效怎么办
[00676.76-00679.84] 那就让可以让河通恢复原状
[00679.84-00680.20] 对吧
[00680.20-00682.28] 这有叫无效的连示法的行为
[00682.28-00685.08] 那还有就是我们所提到的叫做效力
[00685.08-00687.12] 带电容的连示法律行为
[00687.12-00690.48] 以及可撤销的连示法律行为
[00690.48-00693.20] 在这里面我们去掌握这几个点的时候
[00693.20-00694.48] 大家一定要注意一下
[00694.48-00696.20] 有这么几个考察
[00696.20-00700.30] 那第一个考察就是我们要知道从效率花分上有四种情况
[00700.30-00702.00] 那第二个大家注意一下
[00702.00-00703.70] 第一个考察就是要明确
[00703.70-00706.00] 有效的可撤效的效率带定的
[00706.00-00710.80] 以及我们所说的无效的它的具体的构成为表现是什么
[00713.60-00715.20] 具体的构成为表现是什么
[00715.20-00717.80] 这个地方它容易考察一个实际形容电
[00717.80-00720.70] 第二个就是在这里会考察具体的案例
[00720.70-00723.00] 你就是在这考一个理解形容的电
[00723.00-00725.90] 给你一个让你去判断它属于拿种情况
[00725.90-00729.62] 那同时其实在这我们也能够很明显的发现
[00729.62-00731.90] 我们想要能够清晰的判断出来
[00731.90-00733.78] 它到底是属于哪一种结合案例
[00733.78-00735.78] 还是以背送委屈处的
[00735.78-00738.42] 所以在这我们就从红官上去知道了
[00738.42-00742.38] 明是法律行为以及它的效力的具体情况
[00742.38-00744.02] 我们就来看一下第一种吧
[00744.02-00746.38] 就叫做有效的明是法律行为
[00746.38-00747.94] 有效的明是法律行为
[00747.94-00751.18] 它的含意它说有效的明是法律行为是指
[00751.18-00753.34] 已经成立的明是法律行为
[00753.34-00757.74] 因符合法定生效要件而取得法律人可的效率
[00757.74-00762.62] 就是发生了一个状况或者是当身双方做了一件什么事
[00762.62-00764.90] 它实施了一个什么样的行为
[00764.90-00767.22] 在这个过程当中我们说了
[00767.22-00769.90] 它做了这件事受法律上的保护
[00769.90-00772.82] 这个就叫做有效的迷事法律行为
[00772.82-00774.94] 比如说在这里面我们说了
[00774.94-00778.34] 小 A是一个承念人23岁
[00778.34-00781.34] 小 B也是一个承念人24岁
[00781.34-00783.34] 小银和小壁添定了一个什么呢
[00783.34-00784.74] 手标满满合透
[00784.74-00787.44] 也是小银把自己的手标满给小壁
[00787.44-00788.94] 那这种情况之下你看
[00788.94-00791.04] 这事不是我们所说的双方
[00791.04-00794.44] 当时他实施了一个民事法律行为
[00794.44-00794.84] 对吧
[00794.84-00797.74] 你看在这个地方是否达成和议实是了一个民事法律行为
[00797.74-00799.24] 那这个民事法律行为
[00799.24-00801.14] 因为符合相的生学要叫
[00801.14-00803.14] 那他们这个满满合透
[00803.14-00803.94] 就是什么
[00803.94-00805.34] 就是有效的
[00805.34-00807.24] 所以合透合发有效
[00807.24-00808.74] 所以我们小判断一个东西
[00808.74-00809.94] 他到底是不是合发有效
[00809.94-00814.02] 就看他是不是符合有效的生肖要件
[00814.02-00817.06] 那说老师有效的生肖要件到底包括那些呢
[00817.06-00818.94] 一共是这几个方面内容
[00818.94-00821.54] 这个点是需要大家实际下来的
[00821.54-00824.54] 有效的明视法律行为的共成要件包括第一个
[00824.54-00828.38] 就做不能为反法律或者是行政法规的
[00828.38-00829.66] 强制性规定
[00829.66-00832.98] 因为我们经常说了叫做为法无效
[00832.98-00834.02] 叫做为法无效
[00834.02-00837.06] 比如说你们两个在签订买卖合同过程当中
[00837.06-00839.58] 前天买买核通过程当中
[00839.58-00841.96] 我说了买买核通的标地误
[00841.96-00844.14] 他要么是我们所说的权利
[00844.14-00846.22] 要么是我们所说的有行的无行的
[00846.22-00847.42] 但是买买核通的
[00847.42-00849.66] 你买买的东西我们叫做标地误
[00849.66-00851.10] 这个标地误一定是什么呀
[00851.10-00853.06] 一定是合法的
[00853.06-00853.90] 这种情况之下
[00853.90-00855.94] 核通才能成立兵生效吧
[00855.94-00857.82] 那你能不能说在买买核通当中
[00857.82-00858.58] 你买买什么呢
[00858.58-00859.70] 买买人体器官
[00859.70-00861.50] 甚至在买买核通当中
[00861.50-00863.26] 你去我们所说的
[00863.26-00864.86] 买买什么除了人体器官
[00864.86-00866.26] 这块买买多线
[00866.26-00868.06] 這種情況之下顯不起來不行
[00868.06-00870.06] 能不能說 你在合同當中買賣
[00870.06-00871.26] 人體器官買外毒品
[00871.26-00872.06] 然後這種情況之下
[00872.06-00875.06] 我們要認定這個合同它是有效的
[00875.06-00876.26] 不能問一下
[00876.26-00878.46] 因為你從根源上這個合同
[00878.46-00880.66] 勢力的過程當中就違法了
[00880.66-00883.26] 既然合同違法合同自然無效
[00883.26-00884.66] 所以在這裡我們說了
[00884.66-00886.46] 過程要介紹到中的第一個
[00886.46-00887.26] 大家注意一下
[00887.26-00888.66] 叫做不能違反
[00888.66-00891.06] 法律或行政法規的強制性規定
[00891.06-00892.26] 除了不能違反
[00892.26-00892.86] 還能怎麼樣
[00892.86-00895.26] 還需要不能違背工序兩組
[00895.26-00897.78] 我们说了,叫不能被俗
[00897.78-00899.14] 什么叫不能被俗呢?
[00899.14-00903.78] 就是在整个我们所说的发生世界发生的过程当中,
[00903.78-00907.10] 它必须符合社会道德的标准和要求
[00907.10-00910.26] 也就是它必须要尊重社会运行的传统的什么?
[00910.26-00913.02] 封俗习惯,所以叫做不能被俗
[00913.02-00918.06] 所以在被俗过程当中,比如说我们经常提到的一个
[00918.06-00921.26] 围法的,非常围法的一个问题,就是什么?带运的问题
[00921.26-00924.34] 那你还想之前的兴认的当中经常会提到我们所说的,
[00924.34-00925.26] 这个戴运
[00925.26-00926.94] 那戴运其实他就是一个什么
[00926.94-00928.14] 他就是一个违反
[00928.14-00929.66] 封属的这样的一个情况
[00929.66-00931.74] 也就是我们所说的工序两所
[00931.74-00934.30] 他其实工序代表的是一般社会利益
[00934.30-00935.58] 两所是
[00935.58-00937.26] 聊好的社会道的风上
[00937.26-00939.78] 也就是你在去进行买卖活动签订
[00939.78-00941.42] 你在去进行收养关系
[00941.42-00942.90] 灰暾关系进行的过程当中
[00942.90-00944.06] 你不能违反
[00944.06-00945.50] 一般的社会公务利益
[00945.50-00947.02] 以及两好的社会道的风上
[00947.02-00948.18] 如果违反的话
[00948.18-00950.38] 这件事情就不被法律说
[00950.38-00951.02] 任可
[00951.02-00953.02] 既然不能被法律所保护
[00953.02-00954.30] 所以在这里我们说了
[00954.30-00955.64] 有效的明示法律行为
[00955.64-00956.62] 它不能为贝
[00957.02-00957.94] 工序两属
[00957.94-00959.98] 所以贝属无效
[00959.98-00960.66] 所以在这里
[00960.66-00961.14] 大家注意一下
[00961.14-00962.24] 第一个叫做
[00962.24-00963.14] 为法无效
[00963.14-00964.54] 第二就是贝属无效
[00964.54-00966.14] 所以在这里面想要有效
[00966.14-00967.02] 你记不能为法
[00967.02-00968.74] 也不能为贝工序两属
[00968.74-00969.50] 所以在这里
[00969.50-00970.50] 大家要注意一下
[00970.50-00971.94] 这是第一个点
[00971.94-00972.66] 第二个点
[00972.66-00975.14] 就是除了不能为法不能为属之外
[00975.14-00976.66] 这个事情想要生效
[00976.66-00978.50] 并且获得法律层面的任何
[00978.50-00979.50] 热老师无为法
[00979.50-00980.58] 要让这件事情
[00980.58-00982.74] 一定要获得法律层面的任何
[00982.74-00984.10] 因为法律只有任何你
[00984.10-00985.02] 才能保护你
[00985.02-00986.42] 如果法律不认可你
[00986.42-00987.78] 你签订了这个买卖合同
[00987.78-00989.22] 你把货法给人家了
[00989.22-00990.38] 人家没有给你钱
[00990.38-00992.46] 然后你现在向法院去打官司
[00992.46-00993.98] 你说我把东西卖了他了
[00993.98-00995.10] 他钱没有给我
[00995.10-00996.50] 你让法院判你赢
[00996.50-00998.10] 结果法院也看着合同无效
[00998.10-00999.34] 合同无效
[00999.34-01000.34] 法院会不会保护你
[01000.34-01000.94] 不会
[01000.94-01003.58] 所以想要获得法律的认可和保护
[01003.58-01005.30] 钱体是你这个行为
[01005.30-01006.98] 他必须是有效的
[01006.98-01007.98] 所以这就是为什么
[01007.98-01008.94] 我们要去考虑
[01008.94-01009.58] 这个行为
[01009.58-01010.54] 他是不是有效的
[01010.54-01012.18] 没事法律行为的原因
[01012.18-01013.62] 所以在这里我们说了
[01013.62-01018.38] 给到的第一个点 大家注意一下 叫做不为反法律 不为反共询良数
[01018.38-01019.98] 那只是第一个要讲
[01019.98-01025.66] 那第二个要讲的就是行为人 它要具有相应的民事行为能力
[01025.66-01030.86] 比如说 现在一个七岁的小孩 却和别人去签订合同 行不行啊
[01031.58-01033.74] 不行 七岁的小孩是什么
[01033.74-01036.94] 七岁的小孩是无名是行为能力人
[01036.94-01041.70] 咱们前面讲了 无名是行为能力人所实施的民事法律行为的效率
[01041.70-01045.96] 一律武校,你就跟他切出花了,那他找一個小朋友,他五歲,
[01045.96-01051.16] 如果小朋友來大概千一個一分錢的合同,有沒有小,一分錢的合同也沒有小。
[01051.16-01055.92] 因為我們所說的是吧,他不具備銷的,民事行為能力。
[01055.92-01059.28] 所以在這裡,他說了,不具備銷用的民事能力的。
[01059.28-01064.60] 那這種情況之下,武校,那想要有銷的話,就必須具備銷的,民事行為能力。
[01064.60-01067.28] 這是在前面咱們講過的,對吧,這是第二個。
[01067.28-01070.96] 第3 一個的就是想要構成有效的明式法律行為
[01070.96-01073.92] 叫做意思表示必須是真實的
[01073.92-01076.44] 一般情況之下我們在講明式法律行為的說
[01076.44-01078.36] 我們大多情況下是以合同為例
[01078.36-01080.36] 因為它是更加巨像的
[01080.36-01082.20] 比如說你簽訂一個合同
[01082.20-01086.36] 這個合同它必須是雙方的意思的真實的表達
[01086.36-01088.76] 如果不是雙方意思真實的表達的話
[01088.76-01090.00] 這個合同的效率
[01090.00-01091.40] 它可能是無效的
[01091.40-01093.64] 有可能是什麼效率 帶定的
[01093.64-01095.68] 所以我們說了想要去看
[01095.68-01097.22] 他是不是有效明是反立行为
[01097.22-01098.64] 購乘要界很重要
[01098.64-01099.88] 这个地方考案例
[01099.88-01101.44] 给你感觉我们去变息
[01101.44-01103.68] 他属于有效的还是无效的
[01103.68-01105.32] 你要根据什么来判断
[01105.32-01108.64] 不要根据你的日常的经验感觉来判断
[01108.64-01110.14] 根据日常见感觉来判断
[01110.14-01111.80] 承认是能够判断出来的
[01111.80-01112.96] 但是有一些情况
[01112.96-01114.88] 是我们在日常生活当中不常见的
[01114.88-01115.96] 那这种情况怎么办
[01115.96-01117.72] 就只能根据購乘要界来
[01117.72-01118.88] 所以他一代问你
[01118.88-01120.72] 他是有效的无效来可撤销的
[01120.72-01122.88] 你就往購乘要界上去靠
[01122.88-01123.48] 明白吧
[01123.48-01124.48] 你就消浪于把
[01124.48-01126.60] 有效的明示法律行为的共成效这个过
[01126.60-01128.40] 当成一个公式给他背下来
[01128.40-01129.76] 那说老师那怎么记呢
[01129.76-01130.64] 那怎么记
[01130.64-01132.16] 那老师跟大家分享一下
[01132.16-01132.96] 我在
[01134.16-01134.96] 不公说学习
[01134.96-01136.64] 就是我之前不是参加这个
[01136.64-01138.76] 相应的一系列的资格的这无考试
[01138.76-01140.28] 那在这个考试当中呢
[01140.28-01143.24] 那总会有一些相应的小小的口觉
[01143.24-01144.96] 是和其他老师在交流过程中
[01144.96-01145.72] 思想过来的
[01145.72-01148.84] 或者是我们经常会一起去探討的
[01148.84-01150.84] 那在这里面我们主要去寄四个字
[01150.84-01151.68] 什么字呢
[01151.68-01153.16] 就是要强工主义
[01154.48-01159.56] 这座墙公主义
[01159.56-01162.12] 这里面的墙公主义墙代表的是什么
[01162.12-01163.40] 不能为反强性规定
[01163.40-01166.92] 公主的是工区两所主代表的主体
[01166.92-01168.24] 具备墙公的明师效力
[01168.24-01171.32] 然后义代表的中什么意思表示真实
[01171.32-01172.52] 叫墙公主义
[01172.52-01175.44] 所以符合我们所说的这几个要家的话
[01175.44-01178.80] 大家就要知道了符合这几个购成要素
[01178.80-01181.68] 它就是有效的明师法律行为
[01181.68-01183.16] 它就是有效的明师法律行为
[01183.16-01185.76] 所以在这里大家一定要注意
[01186.48-01188.08] 在这给它标注出来
[01188.08-01189.24] 所以它问你有没有效
[01189.24-01191.48] 你就想冒这四个方面上去靠
[01191.48-01192.44] 这是有效的
[01192.44-01194.16] 有效的连示法律行为
[01194.16-01195.32] 它的反面就是什么
[01195.32-01196.92] 就是无效的连示法律行为
[01196.92-01198.08] 无效的连示法律行为
[01198.08-01200.80] 就是这个事情虽然做了
[01200.80-01201.68] 也就是它所说的
[01201.68-01203.56] 已经成立的连示法律行为
[01203.56-01205.88] 它因为欠缺生效要借
[01205.88-01208.92] 生效要借是刚才我们所说的强光主义
[01208.92-01209.48] 对吧
[01209.48-01210.56] 欠缺生效要借
[01210.56-01212.16] 所导致它不发生效力
[01212.16-01214.40] 那步伐上效率的话就叫做无效
