[00000.00-00006.96] 好了 同学们 讲完了实现中华民族伟大夫星的唯一体和四个全面之后呢
[00006.96-00011.12] 接下来看下第三个部分 就是实现中华民族伟大夫星
[00011.12-00013.12] 需要哪些重要的保障
[00111.60-00114.60] 这现在当今中国老百姓的安全感
[00114.60-00116.66] 其實都是來自於這個國家
[00116.66-00119.08] 套有一個強大的國防和軍隊
[00119.08-00122.20] 這種安全感在日常生活當中能夠體現出來
[00122.20-00123.80] 在影視區居座當中
[00123.80-00125.10] 其實也能夠體現出來
[00125.10-00126.54] 我們先說日常生活
[00126.54-00129.96] 不知道大家有沒有經常在新聞上關注到這樣的一個問題
[00129.96-00131.76] 這個問題其實就是什麼呢
[00131.76-00133.56] 就是我們經常提到的
[00133.56-00135.46] 某個地區發生了局部熱點事件
[00135.46-00137.36] 然後撤橋的這個事情
[00137.36-00138.92] 當年在撤橋上的中國
[00138.92-00140.80] 其實是花了很大的這樣一個心理
[00140.80-00143.20] 我了解到這個撤橋的這個事情
[00143.20-00145.76] 是从一个韩国的一个明星的身上去知道
[00145.76-00146.68] 去看到的
[00146.68-00148.68] 这是那个时候你的对比感
[00148.68-00150.16] 就是非常的强烈
[00150.16-00151.40] 当时那个韩国的明星
[00151.40-00153.16] 说我忘了实在哪个地区了
[00153.16-00154.72] 然后他们的地方爆发了
[00154.72-00156.12] 举部的这种冲突
[00156.12-00157.00] 然后那个韩国明星
[00157.00-00157.56] 他出说
[00157.56-00161.52] 说我就当时给在韩国住在当地的大时观打电话
[00161.52-00162.56] 他就告诉我们说
[00162.56-00164.16] 你们一定要注意安全
[00164.16-00165.16] 一定要注意安全
[00165.16-00166.92] 然后我们这边会及时关注的
[00166.92-00168.56] 他说他打完电话之后就在等
[00168.56-00169.36] 他就在想
[00169.36-00170.36] 韩国什么时候呢
[00170.36-00171.20] 给他们接回家
[00171.20-00172.72] 他等了又等等了又等
[00172.72-00175.64] 结果他再去打韩国大使馆电话的时候发现他不通了
[00175.64-00183.52] 后来他说我就养振振着看着中国公民在他们的主国的帮助之下登上了中国的飞机
[00183.52-00185.26] 然后直接回国了
[00185.26-00188.20] 你看这种情况之下其实就能够形成 pien明的对筆
[00188.20-00194.48] 包括现在我们能够听到海外有子经常在国外说到的一句话
[00194.48-00199.32] 对吧就是他们感觉有一个强大的主国做厚多的他们感到无比的交易和资号
[00199.32-00201.96] 其實從彻角之間事情上就能看到出來
[00201.96-00204.36] 國家給阻了什麼 老百姓的安全感
[00204.36-00211.52] 當時中國專門出飛機去接當地的所說的所在當地的這樣一個公民
[00211.52-00213.08] 就是把機場都包下來了
[00213.08-00215.28] 而把機場周邊的酒店人全都包下來了
[00215.28-00217.84] 持中國中華人民共和國護照
[00217.84-00221.80] 和我們所說的中國身份證的人就可以登記
[00221.80-00225.24] 當然還包括我們的中八有意嘛
[00225.24-00226.56] 還包括我們的八鐵門
[00226.56-00228.68] 也可以是我們所說的登記
[00228.68-00231.88] 所以你看这是在现实生活当中我们通过新闻
[00231.88-00233.88] 能够确实感受的道德 对不对
[00233.88-00235.84] 包括在今天我们看到说
[00235.84-00236.88] 我们生在中国
[00236.88-00238.68] 我们不担心说在发生像以前
[00238.68-00241.36] 中国人出现那种任何其妇的中警向
[00241.36-00243.00] 虽然现在国际局是很紧张
[00243.00-00244.04] 但是中国人
[00244.04-00246.24] 你看我们该土少土少生活
[00246.24-00248.00] 然后该关注这关注这儿
[00248.00-00250.24] 然后该和我们所说的平常样过日
[00250.24-00251.08] 就平常过日子
[00251.08-00252.24] 没什么不担心
[00252.24-00254.52] 我们所说的对中冲突发生在中国
[00254.52-00256.12] 就是因为我们相信国家
[00256.12-00258.12] 它有足够的力量能够保护到我们
[00258.12-00259.92] 那这个就是在现实生活当中
[00260.04-00263.20] 国防和军队现在还几余我们的老百姓男群感
[00263.36-00265.16] 那在也是具作品当中呢
[00265.16-00266.96] 也会把这样的一个点去给他怎么样
[00267.12-00269.32] 因为把这样一个点去给他演一出来
[00269.32-00271.80] 比如说我印象最深刻的
[00271.80-00273.48] 应该就是大家都看过的
[00273.48-00274.84] 无经的那个战狼二
[00274.84-00276.60] 在那个战狼二的那个点人当中
[00276.60-00278.64] 最后一幕他们开始扯出来的时候
[00278.64-00280.12] 无经手臂上插着什么
[00280.12-00282.00] 无心红战 看到无心红去就怎么样
[00282.00-00283.40] 都给我们让开了
[00283.40-00286.12] 然后最后他们回到了这个族国母亲的这回报
[00286.12-00288.36] 那你有这样的一个实力
[00288.36-00291.20] 或者是你在现任生活当中能够感触到的这一切
[00291.20-00294.88] 其实都是来自于我们的国防和军队的建设
[00294.88-00301.16] 而这样一个巧律的互顿能恰恰就是实现中华民族为大幅性不可缺少的一个条件之一
[00301.16-00304.08] 所以现在我们经常能看到各种各样图面当中
[00304.08-00306.08] 或者各样的一个言论当中
[00306.08-00308.32] 大家的这个探考当中就能够感受到
[00308.32-00310.56] 为什么要搞国防和军队现在还建设
[00310.56-00315.16] 这是为了保护制度国家所真实的一切保护住人民所现有的
[00315.16-00323.10] 一切生活,来我们所说的维护助,或者是保护助,先列它通过先学,说换来的这一切。
[00323.10-00340.06] 这张照片其实是我之前在去各地流的的时候,然后拍到的,前两张照片是在那个军事博物馆,上面那张照片是在军事博物馆拍的,因为军博太有很多的展听,希望各位局长有时间去北京的时候,
[00340.06-00343.90] 就是千万一定要去看一看军博和国伯,真的是值得一去的。
[00343.90-00345.58] 然后在那个军博里面
[00345.58-00347.58] 然后就是它这个听说听联机的地方
[00347.58-00349.74] 就这么一个展示的这样一个屏幕
[00349.74-00351.94] 这个屏幕它会轮播播放一些
[00351.94-00353.58] 像记录片一样的东西
[00353.58-00355.86] 然后其中有一我当时去看的时候
[00355.86-00359.46] 它就播到了中国的这个灵土的这个地方
[00359.46-00361.54] 然后呢 自在这个播的这个过程中
[00361.54-00363.54] 一个父亲就灵了它这个儿子
[00363.54-00365.42] 这个小男孩然后就站在那儿
[00365.42-00366.30] 就一直在那看
[00366.30-00368.06] 我当时还是比较感慨的
[00368.06-00370.30] 这是守护的祖国的核山之下
[00370.30-00372.22] 我们我当时的感觉就是
[00372.22-00374.22] 國家後期有人那邊感覺
[00374.22-00376.82] 所以這是父親領著小孩在這看
[00376.82-00382.06] 下面的圖片是當時我在天能廣場的附近拍的
[00382.06-00383.66] 落當時從國伯出來
[00383.66-00385.70] 走到人民英雄紀念碑之下
[00385.70-00387.58] 大家知道人民英雄紀念碑在一邊
[00387.58-00389.02] 人民英雄紀念碑正對面
[00389.02-00391.02] 就是天能廣場生紅奇的地方
[00391.02-00393.74] 能看到掛的那個美人的畫像就在那邊
[00393.74-00395.74] 他們俩是相對的這樣一方向
[00395.74-00399.50] 然後我在去往那個廣場那邊走的時候
[00399.50-00401.54] 當時就看到那個媽媽
[00401.54-00402.94] 或者冒着这个小孩
[00402.94-00404.36] 那天千气也特别地寝啊
[00404.36-00406.14] 在那罐产当中有派照
[00406.40-00407.94] 有陆下有聊天
[00407.94-00411.08] 然后有那人在那个地方南来来回归的那个走
[00411.26-00413.50] 然后就在人民英雄泄点为什么支下
[00413.50-00414.98] 我当时看着我的英雄泄点点点
[00414.98-00416.54] 按照这个文西通道
[00416.54-00418.10] 然后看着那天洗着
[00418.10-00419.94] 人民英雄用吹不曉眼这个字
[00419.94-00421.44] 我当时也是非常的感慨
[00421.78-00422.22] 就是
[00422.86-00425.70] 转手护支下的国态民安的镜项
[00425.70-00427.24] 当时在我的印象当着
[00427.24-00428.92] 其实就是这样的一番镜项
[00429.02-00430.62] 就是不需要我们这场生活当中
[00430.62-00431.90] 看到每天都发生什么
[00431.90-00433.18] 今天动地的大事
[00433.18-00434.94] 我们只要能够在国家的保护之下
[00434.94-00435.74] 评问的
[00435.74-00437.10] 过我们自己的小日子
[00437.10-00439.66] 这真的就是我们想追求的这样的生活
[00439.66-00441.62] 这是我们看到的
[00441.62-00443.82] 在现实生活中所能见到的
[00443.82-00445.18] 这一系列的景象
[00445.18-00445.98] 所以我们说了
[00445.98-00447.50] 国防也好军队也好
[00447.50-00448.62] 它的一系列的发展
[00448.62-00449.74] 其实都是为了
[00450.14-00452.14] 互有人民的安全
[00452.14-00454.94] 这个就是我们现在能够看到的国防军队
[00454.94-00455.98] 现在还建设
[00455.98-00459.26] 它给我们的生活所带来的装益
[00459.26-00462.28] 那既然說到國防軍的線化建設無論是之餘
[00462.28-00464.78] 你我的生活還是之餘國家的發展
[00464.78-00466.22] 其實都是非常重要的
[00466.22-00468.82] 所以針對於國家的這樣的一個建設
[00468.82-00470.38] 我們的現任領導人
[00470.38-00472.66] 他就提到了一系列的強軍思想
[00472.66-00473.98] 在這個強軍思想當中
[00473.98-00474.98] 首先第一個
[00474.98-00476.78] 我們需要大家去明確的就是
[00476.78-00477.94] 這個強軍思想
[00477.94-00480.22] 他回答了一個什麼樣的基本問題
[00480.22-00482.30] 因為我們都知道任何一個理論的提出
[00482.30-00484.26] 他必然要解決一個問題
[00484.26-00486.46] 比如說我們前面強調的到平理論
[00486.46-00488.34] 他解決什麼是社會主義怎樣
[00488.34-00489.82] 建设社会主义 对吧
[00489.82-00491.16] 因为或者我们所说的
[00491.16-00492.34] 三个代表照思想
[00492.34-00493.06] 他解决的是
[00493.06-00494.10] 建设什么样的党
[00494.10-00495.54] 这样建设党的问题
[00495.54-00497.78] 所以任何一个思想理论的提出
[00497.78-00499.86] 他必然要解决一个现实问题
[00499.86-00502.06] 这个时候我们需要大家掌握的就是
[00502.06-00504.26] 我们所提到的这个强军思想
[00504.26-00505.58] 他要解决的问题是什么
[00505.58-00506.70] 来看一下在这里
[00506.70-00509.38] 我们标注一下第一个小达去实际的电
[00509.38-00512.54] 强军思想必然要解决的就是什么问题
[00512.54-00514.70] 就是人民军队的建设问题
[00514.70-00515.62] 所以在这里你看
[00515.62-00516.34] 他說了
[00516.34-00519.62] 說心實在建設一隻什麼樣的強大人民軍隊
[00519.62-00522.42] 以及怎樣建設強大人民軍隊的問題
[00522.42-00523.54] 我們前面也答說了
[00523.54-00524.98] 據事都一樣
[00524.98-00526.50] 都是是什麼和怎麼做
[00526.50-00528.38] 關鍵就在於他的核心策
[00528.38-00530.62] 所以在這裡需要大家掌握的第一個點
[00530.62-00532.26] 就是有關於強軍思想
[00532.26-00533.46] 他解決的基本問題
[00533.46-00536.02] 就是有關於強大人民軍隊
[00536.02-00537.22] 建立的問題
[00537.22-00539.26] 所以這是第一個大家要明確
[00539.26-00539.86] 那麼說了
[00539.86-00542.02] 竟然強軍思想要回答的是
[00542.02-00543.78] 建設強大人民軍隊
[00543.78-00546.02] 那这个强大人民军队的建设
[00546.02-00547.62] 它要哪些具体的要求呢
[00547.62-00550.90] 所以在这里我们需要同一们来看一下第2个点
[00551.14-00552.78] 就是人民军队建设
[00552.78-00554.70] 它所提到的主要内容
[00554.70-00556.50] 也可以称着为它的具体要求
[00556.50-00557.54] 在它的主要内容
[00557.54-00558.70] 或在具体要求当中
[00558.70-00559.98] 它提到了这么几个点
[00559.98-00560.98] 第一个我们说了
[00560.98-00563.06] 既然要建设强大人民军队
[00563.06-00564.42] 那什么样的军队
[00564.42-00566.58] 算是强大的人民军队呢
[00566.58-00568.62] 不能我们只是红获牌的去说
[00568.62-00570.62] 我们必须要能够看得见莫得着
[00570.62-00572.10] 有一个箱的好像标准
[00572.10-00573.82] 去定义到底是什么
[00573.82-00576.06] 什么样的军队才算是强大的
[00576.06-00577.98] 所以在这里面我们就看到了
[00577.98-00579.30] 它提到的第一个点
[00579.30-00580.50] 这是明确
[00580.50-00582.74] 当在先时代的强军目标
[00582.74-00584.26] 什么样的军队算是强大的
[00584.26-00586.18] 什么样的军队算是强军
[00586.18-00587.26] 在这里面它提到了
[00587.26-00590.98] 我们要介绍一支听党指挥能打胜胜
[00590.98-00593.30] 做风凹凉的人民军队
[00593.30-00594.98] 把这句话却给它画出来
[00594.98-00597.62] 这是强军目标当中的第一个
[00597.62-00600.30] 叫听党指挥能打胜胜做风凹凉
[00600.30-00602.10] 这里面 大家应该听过那首歌吧
[00602.10-00603.98] 我记得我在上大学军序的时候
[00603.98-00606.18] 就我关当时令我们唱的就是这个歌
[00606.18-00608.34] 就将是听到指挥
[00608.34-00610.54] 能大声张作风有两
[00610.54-00612.38] 然后等等等等的后面了
[00612.38-00613.98] 我就被拉唱了
[00613.98-00615.50] 在这里面我们经常就能看到
[00615.50-00618.42] 甚至我们会看到有些大家看到的
[00618.42-00619.38] 一些在路边
[00619.38-00620.22] 总能看到
[00620.22-00621.54] 和军队有关的
[00621.54-00623.46] 对吧 或者是军序管理的这些地方
[00623.46-00624.82] 它那个小楼上上写了
[00624.82-00625.38] 8-1
[00625.38-00627.38] 然后下面一定会印象这几个字
[00627.38-00630.26] 叫听到指挥能大声张作风有两
[00630.26-00631.54] 那这里面大家注意一下
[00631.54-00634.18] 首先我们说了要创建一个这样的人民军队
[00634.18-00636.54] 那听浪指挥能打胜胜作风有两
[00636.54-00638.46] 在人民军队的创建当中
[00638.46-00640.82] 它分别是单人了不同的角色
[00640.82-00642.62] 那首先第一个听浪指挥是啥呢
[00642.62-00643.58] 同时标助一下
[00643.58-00644.58] 听浪指挥
[00645.38-00647.74] 现在旁边是灵魂
[00647.74-00649.82] 一会还会在这里的大家去重生
[00649.82-00653.50] 听浪指挥就是要保证党队军队的绝对灵道
[00653.50-00656.22] 这就快大家熟悉我们在讲党时的时候
[00656.22-00659.90] 给大家讲过巴姨南昌起也见讲到三文改变
[00659.90-00661.14] 講到古前會議
[00661.14-00663.58] 我說了通過這三個事件
[00663.58-00666.38] 確立了黨對軍隊的絕對領導
[00666.38-00667.50] 所以在這裡們說了
[00667.50-00669.74] 聽黨指揮黨指揮項
[00669.74-00672.58] 一定是一個最為重要最核心的內容
[00672.58-00674.82] 所以他屬於強軍目標黨中的什麼
[00674.82-00675.58] 領火
[00675.58-00678.78] 有了黨的政卻的指揮
[00678.78-00680.70] 就能保證人民軍隊是什麼
[00680.70-00681.74] 占無不聲的
[00681.74-00683.66] 所以在這裡面
[00683.66-00686.18] 他提到的第一點叫聽黨指揮
[00686.18-00687.98] 第二個就是能打聲張
[00687.98-00689.74] 我們說了軍隊就從來幹嘛
[00689.74-00693.32] 按照老師我們今天想能看到軍隊康空強險
[00693.32-00697.42] 軍隊的本質是什麼?軍隊的本質就是互惠國家的安全
[00697.42-00699.98] 所以軍隊的本質就在於什麼?打仗
[00699.98-00701.52] 所以在這裡我們要求幹嘛
[00701.52-00704.20] 心時代的強軍目標強大的人民軍隊
[00704.20-00707.14] 它的本質上就是要能夠打勝贈
[00707.14-00710.22] 所以在這裡我們說能打勝贈是核心
[00710.22-00711.76] 我們今天想聽到一句話
[00711.76-00713.28] 叫軍隊強不強
[00713.28-00714.58] 關鍵看打仗
[00714.58-00715.78] 戰爭打不贏
[00715.78-00716.88] 一切等於領
[00716.88-00720.08] 所以衡量軍隊的唯一的標準只有一個
[00720.08-00721.96] 就是看他的什麼戰鬥力
[00721.96-00724.48] 所以你看我們經常會搞各種高的改革
[00724.48-00727.08] 從原來的期大戰區改成了五大軍區
[00727.08-00729.36] 然後軍委管總軍總主建
[00729.36-00733.52] 然後軍委管總站區主戰軍總主建
[00733.52-00733.88] 對吧
[00733.88-00734.56] 那你看
[00734.56-00736.32] 為什麼站區主戰
[00736.32-00738.24] 就是模幣被戰
[00738.24-00740.68] 把原來的軍總建設
[00740.68-00742.60] 等其他的一些問題話出來了
[00742.60-00744.12] 戰區就直管什麼
[00744.12-00748.16] 摩刀 背站 对吧 目的就是为了增强他的什么 战斗力
[00748.16-00751.44] 所以在这里面大家注意一下 能到胜胜胜的 核心
[00751.44-00754.80] 那这点除了要知道能到胜胜的核心之外
[00754.80-00757.60] 从他身上眼神出来的一个点 就是他要明确
[00757.60-00760.44] 红狼军队的唯一的标准 直入什么
[00761.80-00766.04] 红狼军队的唯一的标准 就只有我们所说的战斗力
[00768.32-00769.04] 战斗力
[00769.04-00772.12] 所以这个点 他也是一个眼神出来的考虑
[00772.12-00775.20] 反正给你说红亮军队的唯一的标准是傻就是打仗
[00775.20-00778.92] 就是军队强面看观点看打仗就是看他的战斗力
[00778.92-00780.28] 但是我们会发现
[00780.28-00782.36] 你看我们经常有的时候在火车战的时候
[00782.36-00785.20] 不知道大家能不能看到我们总能看到一些军人
[00785.20-00785.56] 对吧
[00785.56-00789.64] 然后他们带着这种大呼花应该就是光荣退舞的这样的一些军人
[00789.64-00791.84] 我们看他整齐的坐在那儿背个包儿
[00791.84-00792.88] 然后立着东西
[00792.88-00794.92] 然后就在那我们就会对他怎么样
[00794.92-00795.80] 素然起床
[00795.80-00797.44] 虽然我们对他素然起床
[00797.44-00799.56] 但是我们也会觉得他很亲切
[00799.56-00801.92] 之前在網上有一個 app 它就剪了一個視頻
[00801.92-00805.12] 他說這可能就是來自於中國的居民之間的關係
[00805.12-00807.72] 說著就啥呢說一個解放軍的戰士
[00807.72-00810.24] 它在後車的時候看到了一個老奶奶
[00810.24-00812.84] 然後那個老奶奶提著比我中的這個東西
[00812.84-00815.96] 然後結果那個解放軍戰士就過去幫老奶奶去浪漏
[00815.96-00818.50] 浪漏 浪漏 浪漏就浪漏了 浪漏了就浪漏了就浪漏了就浪漏了就浪漏了就浪漏了就浪漏了
[00818.50-00819.68] 浪漏了開還行
[00819.68-00822.92] 然後給它浪漏了呢 還緊張了一下 回頭看了一下
[00822.92-00825.36] 一看是解放軍 它就把它的手怎麼樣
[00825.36-00826.16] 松開了
[00826.16-00830.60] 你看这个时候就能够看到我们非常亲切的这种军民的这种感性
[00830.60-00834.28] 甚至包括在今年我们说了桌桌那边发红水的时候
[00834.28-00838.40] 然后解放军去帮忙去抗强显抗强显之后
[00838.40-00840.60] 然后搭焦给解放军们送东西对吧
[00840.60-00842.64] 这都能够体现出来我们所说的什么
[00842.64-00843.68] 军民意下期
[00843.68-00847.64] 那为什么能够老百姓和军队之间的关系能够这么近
[00847.64-00849.36] 我们为什么那么细人他
[00849.36-00853.60] 为什么看到他就看到了我们感觉安全感就来了
[00853.60-00856.04] 就是因为它的作风有两
[00856.04-00857.96] 不拿老百姓的一针一线
[00857.96-00859.88] 对吧不对老百姓造成一定的困扰
[00859.88-00861.28] 甚至包括军事演习的时候
[00861.28-00862.84] 是问也有这样的一个标准
[00862.84-00863.92] 大家看过什么
[00863.92-00864.88] 我是特种兵
[00864.88-00865.88] 这一个系列的电视剧
[00865.88-00868.60] 应该对这个观念有一个感觉吧
[00868.60-00870.88] 我当时记得什么特种兵
[00870.88-00871.80] 第一步
[00871.80-00873.40] 就是我是特种兵当中的第一步
[00873.40-00874.56] 里面说有个小装
[00874.56-00876.44] 然后他们是红方和兰方演习的时候
[00876.44-00878.44] 当时有非常明确的要求
[00878.44-00880.04] 就是不能打扰当地的百姓
[00880.04-00882.64] 这是非常眼革的这样一个继续作风
[00882.64-00886.04] 而這樣的一個延命的紀錄要求就保證了黨有一個什麼
[00886.04-00887.24] 良好的優良做風
[00887.24-00888.78] 所以做風優良是什麼
[00889.56-00890.22] 是
[00890.22-00891.04] 保證
[00891.04-00892.44] 所以在這裡沒有說了
[00892.44-00894.28] 強軍目標當中的第一個部分
[00894.28-00895.18] 大家注意一下
[00895.18-00896.98] 你可以在這裡標注A
[00896.98-00898.68] 強軍目標當中的第一個部分就是
[00898.68-00900.88] 聽到指揮能打聲張做風優良
[00900.88-00901.64] 那第二個呢
[00901.64-00902.52] 這是我們所說的
[00902.52-00903.52] 在強軍目標當中
[00903.52-00905.08] 我們在前面使得明確裡面
[00905.08-00906.84] 其實有給大家去講過
[00906.84-00908.24] 在強軍目標當中說了
[00908.24-00911.56] 後面那半個就是把人民軍隊建設成世界
[00911.56-00913.56] 依留軍隊
[00914.84-00918.20] 把人民軍隊建設成世界依留軍隊
[00918.20-00922.04] 這使我們所提到的有關於強軍目標的內容
[00922.04-00923.88] 我們就對於強大的人民軍隊
[00923.88-00925.24] 有了一個相對來說
[00925.24-00927.16] 比較明確的這個概念
[00927.16-00928.84] 大家注意一下這是強軍目標
[00928.84-00933.40] 那麼說了我們最終目標是把我們的軍隊建設成為世界依留軍隊
[00933.40-00936.28] 問題是如何建立世界依留軍隊呢
[00936.28-00938.68] 這裡面我們就必須要有一個什麼
[00938.68-00942.94] 在这里同时标助一下,我们必须就一个强军的战略安排
[00946.98-00950.48] 其实我们的强军的战略安排也是分三部走的
[00952.88-00954.48] 这三部走分别是什么呢?
[00954.48-00958.58] 如果就以前来看的话呢,我们的这个强军的战略安排是这三部
[00958.58-00961.08] 第一部是到2020年
[00961.08-00966.38] 我们要到2020年就把国防和军队建设要基本实现机写化
[00968.68-00974.06] 现在旁边
[00974.06-00978.08] 直到2020年我们要把国防和军队的建设
[00978.08-00980.88] 在这里同们注意下叫基本实现机械换
[00980.88-00983.14] 这是在最开始的时候所提到的
[00983.14-00984.30] 然后在2020年之后
[00984.30-00985.84] 我们就到了2020年3无年
[00985.84-00987.56] 2035年就成绩书上的
[00987.56-00990.88] 就是国防军队建设叫基本实现现代换
[00994.88-00996.68] 然后到了本事机的中业
[00996.68-00997.98] 我就解决军业了
[00997.98-00999.74] 這是我們完成強軍目標
[00999.74-01001.78] 配合實現中華民族偽大幅性
[01001.78-01004.50] 國家都實現復興冷的軍隊必須什麼軍隊
[01004.50-01006.90] 必須是世界一流軍隊
[01010.62-01013.50] 這是最開始的戰略安排三步走
[01013.50-01016.34] 但是問題住在於2020年已經怎麼樣
[01016.34-01017.18] 已經實現了
[01017.18-01018.74] 就是2020年已經結束了
[01018.74-01021.02] 因為我們都只2020年全面經濟小方社會
[01021.02-01023.58] 和小方社會有一部分的配套的經常
[01023.58-01025.74] 很多人都說說2020年基本實現
[01025.74-01027.30] 激起化的目標已經實現了
[01027.30-01029.10] 接下来战略安排收不两步了
[01029.10-01030.30] 不是三步
[01030.30-01032.94] 那三步从2020年就过渡到哪一年
[01032.94-01034.54] 就过渡到2017年
[01034.54-01036.70] 大家都知道2017年是什么年
[01036.70-01038.58] 建军百年
[01038.58-01039.34] 很快了
[01039.34-01039.70] 对吧
[01039.70-01040.98] 所以在建军百年的时候
[01040.98-01042.74] 我们有一个建军百年的
[01042.74-01044.70] 这样的一个强军目标
[01044.70-01045.74] 或者是战略安排
[01045.74-01047.58] 在建军百年我就写在这
[01047.58-01048.18] 好吧
[01050.66-01051.62] 在建军百年的
[01051.62-01052.38] 这样的一个战略安排
[01052.38-01053.82] 到那种他提到了是什么的
[01053.82-01054.94] 说加快机器的话
[01054.94-01056.34] 進去化智能化
[01056.34-01061.58] 如何發展提高漢位國家主權安全發展利益的戰略能力
[01061.58-01063.02] 在這裡就簡單記吧
[01063.02-01065.42] 就徹底方我們就簡單記
[01065.42-01069.58] 就是提高漢位國家主權安全
[01070.58-01072.10] 你先寫上我們再解釋
[01072.10-01073.82] 就提高漢位
[01075.82-01082.14] 國家主權安全
[01082.14-01085.90] 发展力的战略能力
[01090.62-01094.06] 发展力的战略能力
[01095.70-01097.50] 这个是我们所提到的
[01097.50-01100.66] 有关于2017年他要达到的一些基本要求
[01100.66-01101.82] 但是问题在于说
[01101.82-01104.22] 你说老师到2017年实现建军百年的
[01104.22-01105.34] 这样一个分动目标
[01105.34-01106.54] 他的具体目标是什么
[01106.54-01107.62] 目前没有说
[01107.62-01110.30] 因为我们在已经市场上
[01110.30-01113.24] 不能说市场就已经公开了政策文件当中
[01113.24-01115.04] 没有办法去看到它有关于
[01115.04-01116.84] 建军百年的具体的目标是什么
[01116.84-01118.56] 所以我们就知道现在的三部走
[01118.56-01119.40] 就是哪三部
[01119.40-01120.72] 建军百年的分动目标
[01120.72-01123.50] 2035年基本实现现代化
[01123.50-01126.96] 到了本世纪中也叫世界一流军队
[01126.96-01128.86] 2020年在2017年之前
[01128.86-01130.38] 叫基本实现什么化
[01130.38-01131.12] 机械化
[01131.12-01132.78] 能够把它去区登开
[01132.78-01134.94] 那我们主意来看一下它的这个演辩
[01134.94-01136.06] 大概是怎么回事
[01136.06-01137.50] 实现第一个就是在这里面
[01137.50-01139.50] 我们提到的叫做2020年
[01139.50-01141.50] 所使現的強軍目標當中的第一個
[01141.50-01142.98] 叫基本實現機械化
[01142.98-01144.62] 這個實現機械化呢
[01144.62-01146.90] 它其實這麼說吧
[01146.90-01149.14] 它其實是給整個軍隊的作戰能力
[01149.14-01151.94] 就提升了一個相當大的這樣一個水平
[01151.94-01155.14] 不知道大家有沒有看過很多那種靠日的這種戰變影
[01156.34-01158.14] 這位點形的就是那個
[01158.82-01160.74] 張韓娛演的叫做機械號
[01160.74-01161.90] 這個變影也很好看
[01161.90-01162.94] 推進大家去看一下
[01162.94-01164.14] 如果沒有看過的同學
[01164.14-01165.18] 那機械號大概知道
[01165.18-01166.54] 機械號的那個一吹
[01166.54-01168.14] 然後大概就知道準備開始做戰了
[01168.14-01169.62] 那个时候在以前打仗的时候
[01169.62-01171.46] 就是一个作战单位就是一个什么
[01171.46-01172.42] 就是一个视频
[01172.42-01174.46] 一个视频就是一个单位的作战单位
[01174.46-01176.66] 但是你看这个视频把它去做战的时候
[01176.66-01178.26] 它要翻山越领
[01178.26-01179.34] 那这种情况之下
[01179.34-01181.34] 它其实就会受到一系列的阻礼
