[00000.00-00002.82] 大家好 我是接触青年的解瑞
[00002.82-00005.88] 今天我们要进入法律知识的学习
[00548.50-00551.82] 因为他就是来自于我们对于生活厂式的一些规范
[00551.82-00553.86] 所以大家经常说民法就是厂式
[00553.86-00555.42] 民法就是靠门散司
[00555.42-00555.82] 对吧
[00555.82-00557.26] 所以在这里大家注意下
[00557.26-00560.14] 学义民法的第一个方法就是一定要具体的案例
[00560.14-00561.90] 用案例去理解知识点
[00561.90-00563.50] 所以我们的第一个要求
[00563.50-00566.78] 就是要在这里要做到案例具体患
[00566.78-00569.10] 这是学校民法的第一个不种
[00569.10-00570.90] 那学校民法的第二步驻是什么
[00570.90-00573.18] 除了要阿林劃之外,还要能够干什么呢?
[00573.18-00575.82] 还要能够拆解我们所说的提干
[00575.82-00578.34] 那么拆解提干呢?就是图示拆解了
[00581.22-00582.66] 图示拆解
[00582.66-00586.70] 这个图示拆解呢?大家注意一下,就是我们要能够学会画图
[00586.70-00588.58] 老师这个画图特有什么用呢?
[00588.58-00589.78] 这个画图的用处啊
[00589.78-00593.78] 它其实就是能够帮助我们更好的去了解法律关系
[00593.78-00597.78] 我们在整个设计单位考试的时候,它出现的法律关系不会特别的复杂
[00597.78-00599.70] 其实我们一眼就能够判断出来
[00599.70-00601.74] 但是如果说他给你一些负乡的案例
[00601.74-00603.28] 比如说你考军的文质
[00603.28-00605.84] 涉一到你的法律战友考试的时候
[00605.84-00607.64] 他这个手就会考得很难
[00607.64-00609.34] 我们一般喜欢在买卖合同当中
[00609.34-00611.98] 不会就给大家讲到什么融资租练
[00611.98-00614.56] 也不会去给大家讲到我们所谓在保证合同当中
[00614.56-00616.86] 他涉一到的混合单宝的相当的一些问题
[00616.86-00617.36] 对吧
[00617.36-00619.16] 那如果你涉及到的
[00619.16-00621.20] 比如说现在有同学就想在
[00621.20-00623.76] 我们所说的这个战业课程所提升的话
[00623.76-00626.06] 那这里面就要能够把负乡的
[00626.06-00628.62] 我们所说的法律关系去给他拆解
[00628.62-00631.84] 只有把法律官去拆解了之后
[00631.84-00634.08] 你才能够一层一层的去分析
[00634.08-00635.46] 怕到底是什么样子的
[00635.46-00636.88] 这个图是讲解
[00636.88-00638.28] 就是我们所说的图是话
[00638.28-00639.62] 它其实在哪就有用呢
[00639.62-00641.74] 在误权变动这一块自由用
[00641.74-00644.46] 因为误权变动我们要讲一个区分原则
[00644.46-00645.82] 战券是战券效率
[00645.82-00647.98] 误权变动那需要公示
[00647.98-00648.34] 对吧
[00648.34-00649.38] 所以在这个地方
[00649.38-00650.70] 我们要能够去画图
[00650.70-00651.50] 换一画说呢
[00651.50-00652.98] 如果这个提表简单
[00652.98-00654.58] 或者这个提干比较短
[00654.58-00655.70] 你也能够看出来
[00655.70-00656.70] 那不用画图
[00656.70-00663.22] 如果它给你的提干,有个提干好净行,6行欺行,然后让你去选,如果画出6行欺行,就是怎么办
[00663.22-00669.30] 就要拆解它的法律关系,在这里面把这6欺行当中的所有的法律主体给我找出来
[00669.30-00673.62] 法律主体之间的法律关系找出来,然后再用我们的支持点往里对
[00673.62-00679.94] 所以在学校民法当中,我们就一定要做到什么,图示幻,你要能够有拆解法律关系的能力
[00679.94-00685.30] 所以在这里面,大家注意一下,这是第2个点,我们要做到图示拆解
[00685.30-00688.70] 第三个就是要有什么要有反律体系
[00691.10-00692.20] 要有反律体系
[00692.20-00696.78] 这个法律体系它就是一个红关的一个知识框架
[00696.78-00698.86] 我在前面给大家去讲非法的时候
[00698.86-00701.26] 我其实都已经给大家滲透过很多次了
[00701.26-00703.06] 我说小学好一个科目
[00703.06-00705.10] 要把这个科目从原本的
[00705.10-00707.26] 只有单纯的我们所说的理论
[00707.26-00710.58] 给它丰富到我们所说的案例
[00710.58-00713.54] 在从案例当中抽象出来的打提的技巧
[00713.54-00717.06] 也是最后让大家形成一个自己的思维道土
[00717.06-00719.10] 所以你想要学好民法
[00719.10-00721.90] 在我们所说的法律体系这一块也是不可少的
[00721.90-00725.06] 就是你也要在这个过程中形成自己的思维道土
[00725.06-00727.30] 因为你单纯的去看一些这是点的时候
[00727.30-00728.66] 你会发现它很索所以
[00728.66-00731.78] 而且在这里会出现一些支点的混同
[00731.78-00733.86] 那我们怎么样能够让它更清晰呢
[00733.86-00737.26] 就是把它定位在特定的框下之下
[00737.26-00738.98] 你有的时候搞混了是因为什么呢
[00738.98-00740.58] 是因为它的法律定位混了
[00740.58-00742.34] 它有一些内容就特别的像
[00742.34-00744.82] 然后你发现这两东西怎么这么像的
[00744.82-00747.02] 那就是体系框架没有找我好
[00747.02-00748.94] 尤其是相似的知识点
[00748.94-00750.74] 一定要有它的体系框架
[00750.74-00752.30] 最于我们所说的民法
[00752.30-00753.70] 其实也是这个样子
[00753.70-00754.98] 所以在学习方法上
[00754.98-00757.26] 同时计量的做到要有安立的学习
[00757.26-00758.90] 要能够有拆解的能力
[00758.90-00760.78] 同时在这里要有一个红观框架
[00760.78-00762.34] 有一个明确的导徒
[00762.34-00763.50] 所以在这里面
[00763.50-00765.62] 给大家介绍一下民法的学习方法
[00765.62-00768.14] 如果你把这几个学习方法找我透了之后
[00768.14-00769.18] 你会发现学习民法
[00769.18-00771.34] 相对来说是很轻松的
[00771.34-00774.06] 這是比3個給大家介紹學一方法
[00774.06-00776.44] 第1個就要給大家去講解一下
[00776.44-00781.40] 我們這一套就是今天要給大家去分享的民法的科目
[00782.24-00784.50] 我們主要學習拿幾個部分
[00784.50-00786.82] 民法是一道的內容其實很多
[00786.82-00789.58] 因為考慮到大家的一個背考的需求
[00789.58-00792.98] 也考慮到大家的整體的一個負席的情況
[00792.98-00793.86] 我在這裡
[00793.86-00796.62] 直接大家去講解法律當中的四個部分
[00796.62-00798.98] 四個部分分別是我們第一個
[00798.98-00801.34] 这是有关于民法的基本情况
[00801.34-00804.02] 我们就估计称他还迷法的概数
[00804.02-00805.26] 去了解一下民法
[00805.26-00806.54] 他到底调整什么
[00806.54-00807.98] 他的内容有哪些
[00807.98-00808.70] 第二个讲了
[00808.70-00809.54] 民法之后回答
[00809.54-00811.26] 讲一下误权
[00811.26-00812.18] 那误权当中
[00812.18-00813.70] 主要是给大家讲解误权
[00813.70-00814.70] 变动
[00814.70-00815.62] 除了误权之外
[00815.62-00816.70] 还有给大家讲到
[00816.70-00818.50] 相当的合同法的内容
[00818.50-00819.54] 以及我们所说的
[00819.54-00820.82] 亲权的内容
[00820.82-00821.82] 在这里没有回答
[00821.82-00822.90] 家的处理方式
[00822.90-00824.14] 主要是给大家去讲
[00824.14-00825.22] 这么四个部分
[00825.22-00826.78] 跟他说说老师那不对
[00826.78-00827.98] 在整个民法典到中
[00827.98-00829.38] 他除了我們所說的
[00829.38-00830.54] 目前邊和同邊
[00830.54-00831.38] 侵權之外
[00831.38-00832.38] 他還設一道
[00832.38-00834.06] 昏音繼承的問題
[00834.06-00836.50] 還會設一道人格權的問題
[00836.50-00837.02] 對吧
[00837.02-00837.98] 那這些內容
[00837.98-00840.62] 不在我們整個主幹的講語當中
[00840.62-00841.74] 今天給大家講的
[00841.74-00842.54] 這一套內容
[00842.54-00843.62] 就是非常適合
[00843.62-00844.74] 你有一定的基礎
[00844.74-00845.98] 但是你的支持相對來說
[00845.98-00846.98] 娃娃的不深
[00846.98-00848.70] 那他很適合
[00848.70-00850.54] 大家在基礎階段的提升
[00850.54-00851.18] 那說老師
[00851.18-00852.74] 我想學習一個全面的法律
[00852.74-00854.02] 那全面的法律
[00854.02-00856.02] 比如說我就像從
[00856.02-00857.42] 棉法蓋書開始學
[00857.42-00862.78] 旋名海蓋數,學物權,把物權當中的每一個點都學得很詳細,合同化當中也是一樣
[00862.78-00865.26] 然後我要把人格恢驚繼承
[00865.26-00868.30] 是包括支持產權等等,相當內容都給他學透
[00868.30-00870.94] 因為在個別地區考試,尤其想山東
[00870.94-00876.38] 對吧,像我們所說的考,法律考得相當來說比較多的這些切靠的表男的這些地區
[00876.38-00878.70] 它可能會睡到這樣的一方面的訴求
[00878.70-00881.74] 那那個呢,就是要我們在強化階段再去有了
[00881.74-00884.94] 有在现在这个阶段同学们一定要做到的是
[00884.94-00886.34] 我讲了那些支持
[00886.34-00888.86] 你就一定要把这些支持去给它吃透
[00888.86-00892.90] 所以在这里面我们给大家在法律这一块设计的
[00892.90-00896.10] 就是需要大家在学习的时候有一个循序间接的过程
[00896.10-00897.54] 你掌握了这个四个部分
[00897.54-00901.18] 其实相对来说民法当中最核心的支持区域
[00901.18-00902.54] 最核心的支持股干
[00902.54-00904.30] 其实掌握得就差不多了
[00904.30-00906.38] 所以我们的整个民法的设置
[00906.38-00908.06] 要从四个方面给大家讲解
[00908.06-00910.18] 所以在有关于婚姻编
[00910.18-00913.26] 繼承 還有所說的人格問題
[00913.26-00915.54] 就沒有加入到裡面去
[00915.54-00918.54] 這個是我們整個學習民法之前
[00918.54-00920.62] 給同能做了一個簡單的課程介紹
[00920.62-00922.26] 以及它的考察的方法
[00922.26-00924.10] 同一個在學習這個地方的時候
[00924.10-00927.42] 一定要按照我們所說的方法來進學習
[00927.42-00928.94] 民法他並不難
[00928.94-00932.06] 我們就說了民法位聲明力命
[00932.06-00933.46] 我們掌握了一定的法律
[00933.46-00935.42] 這是一方面可以保護自己的權益
[00935.42-00936.86] 另外一方面可以避免
[00936.86-00939.18] 讓我們走很多的玩路
[00939.18-00942.18] 好 那这个呢 都是民法的 钱也不分案
