[00000.00-00004.60] 前面我们给大家讲到了我们所说的这个误权
[00241.62-00244.30] 可能會考法律考的相對來說會比較深
[00244.30-00248.58] 那這個裡面它可能就會順利到我們所說的單寶制度
[00248.58-00253.22] 但某制度它其实本身是整个民法内容的一个综合
[00253.22-00256.98] 也就是把和单薄有关的所有内容都拿出来了
[00256.98-00259.42] 但我们今天主要给大家讲的是单薄误权
[00259.42-00261.94] 而其他内容我们会在后续的
[00261.94-00263.82] 课程当中去给大家去完善
[00263.82-00267.06] 或者是后续在做体当中遇到了之后再去给大家去完善
[00267.06-00269.18] 但是这个内容没有办法说
[00269.18-00272.22] 你说老师那你就给我们把单薄制度从头到尾讲清楚呗
[00272.22-00274.58] 这样的话大家就会猛了
[00274.58-00276.50] 特朗普的话来说就是麻转了
[00276.50-00278.02] 因为它的内容太复杂了
[00278.02-00280.02] 它计设到误权又是一道
[00280.02-00281.86] 我们所说的这个债的
[00281.86-00283.58] 我们所说的这个形式
[00283.58-00286.38] 它还设到我们提到的河通的问题
[00286.38-00288.54] 所以它的内容就非常的旁载
[00288.54-00289.98] 所以我们在里大家讲解的时候
[00289.98-00291.94] 只能一块儿去讲解
[00291.94-00293.62] 但是虽然是一块儿讲解
[00293.62-00296.26] 单同门必须有一个红观框下的概念
[00296.26-00297.26] 大家要知道
[00297.26-00300.50] 单寶误权它其实是单寶制度的一种
[00300.50-00302.50] 而我们整体上的单寶制度
[00302.50-00304.30] 它分成这么集中形式
[00304.30-00306.10] 一种是法定的单寶
[00306.10-00308.66] 什么叫法定南网这是有法律规定的
[00308.66-00310.14] 我们所说的一些单磨制度
[00310.14-00311.34] 正叫法定单磅
[00311.34-00313.22] 还一种就是一定单磅
[00313.22-00314.70] 一定单磅是当时
[00314.70-00317.34] 或者是根据当时合一所达成的
[00317.34-00320.02] 而一定单磅一般情况下在哪里比较多呢
[00320.02-00322.90] 一般情况下在合同当中会比较多
[00322.90-00325.22] 那么来看一下在整个单磅制度当中的
[00325.22-00326.78] 第一个就是我们提到的
[00327.42-00328.62] 法定单磅
[00328.62-00330.42] 法定单磅太有两种
[00330.42-00332.22] 第一个就是在的单磅
[00332.22-00333.98] 这个在的单磅指的是啥呢
[00333.98-00335.66] 就是你把钱借给我
[00335.66-00337.96] 那我在旅行债務之前
[00337.96-00339.36] 我必須給你提供弹保護
[00339.36-00342.16] 比如說你向銀行债款賣房子
[00342.16-00344.06] 你也债款200萬
[00344.06-00345.76] 銀行怕你還不上錢
[00345.76-00348.36] 就會把你這個房子拿來抵壓
[00348.36-00350.16] 所以這個叫债的弹保
[00350.16-00353.16] 它是在债務旅行之前
[00353.16-00354.56] 你要去設立的
[00354.56-00356.66] 就是它擔心你還不上
[00356.66-00357.86] 那這個時候你雜正
[00357.86-00359.56] 那這個時候你就給它一個保障
[00359.56-00360.86] 然後它新安一點
[00360.86-00361.26] 對吧
[00361.26-00363.36] 那這個時候就叫做债的弹保
[00363.36-00372.50] 这一段包,它其实有三种形式,第一种叫做入宝,大家经常会听说过,对吧,这个物宝其实提到的是什么,就是单宝物权。
[00373.90-00377.58] 就是单宝物权,这个就叫做物宝。
[00377.58-00384.18] 而这个单宝物权我们提到了,在这里面就分成在后面的讲究当中,会大家讲解三种。
[00384.18-00387.66] 那這三種分別是比亞全之前和劉志全
[00387.66-00389.22] 那這個就叫做物寶
[00389.22-00390.66] 我們說的是單寶物全
[00390.66-00392.70] 就是以你的特定的物
[00392.70-00394.78] 或者是我們所說的權利
[00394.78-00397.30] 給它提供一個倔的旅行的保障
[00397.30-00398.50] 那這個就叫做物寶
[00398.50-00401.58] 後面同時沒有去掌握的就是物寶
[00401.58-00403.90] 它的比亞全之前和劉志全
[00403.90-00405.54] 它的規則已經入火
[00405.54-00408.98] 在這個物品上設立了我們所說的權利進合的時候
[00408.98-00410.10] 應該怎麼辦
[00410.10-00411.46] 那這個叫做物寶
[00411.46-00413.06] 那物寶一般請完之下
[00413.06-00416.04] 他是提供单宝 但是提供的单宝是有限的
[00416.04-00418.44] 也就是说你提供什么物
[00418.44-00421.26] 这时候就就这个物和这个债务
[00421.26-00422.60] 来进行相当的保障
[00422.60-00424.94] 所以在这里面一般提供物宝的
[00424.94-00426.38] 就是对于单宝人来说
[00426.38-00429.26] 他提他承担的往往是有限责任
[00431.62-00432.52] 有限责任
[00432.52-00434.24] 比如说我举个简单的例子
[00434.24-00434.98] 我呢
[00435.78-00436.88] 现在没有钱了
[00436.88-00438.62] 你是我的好朋友 对吧
[00438.62-00439.98] 我就闯你借款
[00439.98-00441.16] 借款多少钱呢
[00441.16-00442.76] 我闯你借款呢
[00442.76-00445.58] 就借了假設是200萬
[00446.60-00448.90] 咱們要借借大一點,讓我算就別借
[00449.16-00451.20] 我超你借款了,借了200萬錢
[00451.46-00455.06] 但200萬畢竟不是少說,於是你跟我說你提供一個什麼單寶吧
[00455.30-00459.40] 那這時候我說我都超你借錢了,我還能跟你提供啥單寶啊,我只定是
[00459.66-00464.00] 連飯都吃不上了,對吧,我才超你借錢了,我現在沒有什麼單寶,我說這
[00464.26-00470.40] 我找別人來幫我提供一個單寶,你說你找誰呀,我說我除了你這麼個朋友之外呢,我還有一個朋友
[00470.40-00473.22] 这个朋友就是我们村的是谁呢 木荣广场
[00474.50-00476.30] 我们的木荣广场在此登场了
[00476.54-00478.08] 我们村的木荣广场
[00478.34-00481.14] 我们村村之书的独子
[00481.40-00483.70] 未来也是要基层家业的人
[00483.96-00485.76] 我说我找木荣广场来给你做单宝吧
[00486.02-00488.06] 木荣广场的什么呢 他有一辆三樓车
[00489.86-00493.70] 大家不要小看这个三樓车 他不是普通的三樓车
[00493.94-00495.74] 这个三樓车是杜金的三樓车
[00496.00-00497.80] 反正这个三樓车就贼拉之前
[00497.80-00501.16] 我說我讓他以這個三樓車給你做單寶
[00501.16-00504.96] 你說這三樓車能到時候市場變價多少錢
[00504.96-00507.36] 我說也差不多就100萬左右吧
[00507.36-00508.80] 那這種情況之下你看
[00508.80-00510.28] 這裡面是夢容廣場
[00510.28-00512.04] 第三人以他特定物
[00512.04-00514.00] 像你提供單寶寶價多少
[00514.00-00514.56] 100萬
[00514.56-00516.92] 如果到期我還不上同門注意
[00516.92-00518.76] 到期我如果還不上的話
[00518.76-00519.48] 怎麼辦
[00519.88-00521.56] 就他了這個三樓車
[00521.56-00524.20] 你可以拍賣以後優先受成100萬
[00524.20-00525.72] 那你能不能說老師
[00525.72-00527.08] 那你看我見你200萬
[00527.08-00528.68] 他的三樓车只保一百万
[00528.68-00529.68] 我剩下一百万
[00529.68-00531.68] 在找木荣光场去要行不行
[00531.68-00532.20] 不行
[00532.20-00534.00] 因为物宝承担的是什么
[00534.00-00535.20] 有线索人
[00535.20-00536.80] 也就是单宝物多少钱
[00536.80-00538.20] 那他就是陪你多少钱
[00538.20-00539.52] 而且单宝的价值
[00539.52-00541.92] 不能突破主债物的上线
[00541.92-00544.60] 所以大家在这里知道这个意思就行了
[00544.60-00547.28] 这个就是第一个叫做物宝
[00547.28-00550.32] 就是给你提供一个底压物做保障
[00550.32-00551.72] 这是第一种情况
[00551.72-00552.68] 就叫做物宝
[00552.68-00553.88] 也是单宝物权
[00553.88-00555.20] 那第二种就是
[00555.20-00557.00] 當我沒有戶報給你的時候
[00557.00-00558.00] 我說你說你找的人
[00558.00-00560.08] 你說你把你那個房子撤什麼三樓撤
[00560.08-00561.84] 給我說這些東西我都沒有
[00561.84-00564.16] 我說有了就賣了我還至於問你接錢嗎
[00564.16-00566.20] 你說那不顯你要拿走這兩百萬
[00566.20-00567.80] 你給提供一個保證
[00567.80-00568.96] 我說那你這樣吧
[00568.96-00571.60] 我說我找不著誤我給你找個人嗎
[00571.60-00572.44] 找個人的話
[00572.44-00573.92] 我讓他給你提供人報
[00573.92-00575.36] 那這個就叫做什麼
[00575.36-00576.68] 這個就叫做人報
[00576.68-00578.20] 而人報是什麼內容呢
[00578.20-00580.28] 這是我們常見的保證合同
[00580.28-00581.68] 在保證很痛當中
[00581.68-00583.08] 我們就會提到
[00583.08-00584.80] 就要做連代保證
[00584.80-00585.30] 对吧
[00585.30-00587.12] 所以在这里面就会提到保证合同
[00587.12-00589.78] 它其实是合同编当中的内容
[00589.78-00590.40] 所以我说了
[00590.40-00591.76] 单保制度很复杂
[00591.76-00593.12] 这是复杂在这里
[00593.12-00595.48] 但是我们现在这里要有一个框架
[00595.48-00596.88] 如果这个框架没有
[00596.88-00599.08] 你在后面的时候想要再进一步的
[00599.08-00600.96] 再拔的更高再就冲刺
[00600.96-00602.32] 这个时候就不行了
[00602.32-00603.16] 有很多同学
[00603.16-00604.76] 就拔心说老师
[00604.76-00606.44] 我如果参加世界单位考试
[00606.44-00608.32] 咱们这一套可能就够了吗
[00608.32-00610.64] 因为我在给大家去路这个课程的时候
[00610.64-00612.60] 支持点都是金挑细选的
[00612.60-00614.84] 我会把很多的支持点省略掉
[00614.84-00616.40] 因为我们如果说在这里
[00616.40-00618.76] 大家陆制的课程特别的全的话
[00618.76-00621.60] 那没有1560个小时
[00621.60-00623.96] 其实很难把它做到全面的覆盖的
[00623.96-00625.36] 但是我已经尽量在这里
[00625.36-00628.08] 给大家覆盖到了80-90左右的
[00628.08-00629.24] 就是这个区间的考点
[00629.24-00630.64] 尽量都给大家覆盖到了
[00630.64-00632.92] 那还升起来20%左右
[00632.92-00634.68] 或者是10%左右的支持点
[00634.68-00635.60] 咱们怎么办呢
[00635.60-00636.60] 咱们尽量呢
[00636.60-00639.36] 就是以作体的形式去掌握它
[00639.36-00640.84] 那如果是作体当中
[00640.84-00642.64] 遇到了我没有讲到的支持点
[00642.64-00645.20] 我们就在原有的框架旧之上
[00645.20-00646.48] 再去记忆不生话
[00646.48-00650.24] 这种是对于大家来听这种免费的课程的学习效果
[00650.24-00651.28] 是最好的
[00651.28-00653.44] 所以我在这里面有很多的内容
[00653.44-00655.84] 我们没有办法在课堂当中再记忆不去训话
[00655.84-00658.04] 因为第一个它的难度是不要难的
[00658.04-00660.80] 第二个就是对于全国大部分地区
[00660.80-00663.24] 是也单位三支一幅考试来看的话
[00663.24-00664.28] 它也不会考的
[00664.28-00665.40] 那么那么的是
[00665.40-00668.28] 所以我们尽量就给大家覆蓋到8%左右
[00668.28-00670.28] 这样对于大家应该来说
[00670.28-00673.34] 就是相对来说就理论课程去听的话
[00673.34-00675.00] 性价比是比较高的
[00675.00-00676.04] 所以在这里面
[00676.04-00678.72] 你说了声动我有一些知识点我就这么遇到过
[00678.72-00680.72] 同们如果没有遇到过的话
[00680.72-00684.88] 咱们就在原有旧上通过作体去进一步细化或者深化
[00684.88-00687.20] 这样的话你的时间成本
[00687.20-00689.92] 会更就是效率更高一点
[00689.92-00692.24] 大家都知道听课其实是相对来说
[00692.88-00694.28] 比较轻松的一件事
[00694.28-00697.56] 我在去以前考试背考或者说以前
[00697.56-00700.38] 就是马上就要有考试的时候
[00700.38-00701.78] 我是比较喜欢听课了
[00701.78-00702.94] 因为我发现听课呢
[00702.94-00704.20] 他不只要轻松
[00704.20-00706.20] 而且就很多的内容那比如说
[00706.20-00707.42] 我讲的端子也好
[00707.42-00708.40] 我讲的故事也好
[00708.40-00708.78] 对吧
[00708.78-00710.22] 或者我讲的一些轻松经历
[00710.22-00711.68] 其实和大家是气合的
[00711.68-00712.92] 只是听这种
[00712.92-00714.22] 课 听理论的话
[00714.22-00715.32] 其实对于大家来说
[00715.32-00716.46] 他就是轻松的事情
[00716.46-00719.08] 就好比两个朋友之间在聊天一样
[00719.08-00720.80] 前一天有个小伙伴来给我
[00720.80-00722.78] 发这个私信吹弓我
[00722.78-00724.18] 说老师 你快点讲妈
[00724.18-00724.56] 对吧
[00724.56-00726.30] 其实在等我我也很感谢他
[00726.30-00729.38] 他觉得听我讲客就这样听我在跟他聊天一样
[00729.38-00733.62] 那就是因为我们之间其实有很多的这种共鸣其实是在的
[00733.62-00736.74] 但这种方式对我们来说是比较轻松的小办门
[00736.74-00738.78] 怎么对我们来说是痛苦的
[00738.78-00740.90] 做体对我们来说是痛苦的
[00740.90-00742.62] 因为第一个就是有很多同学
[00742.62-00744.22] 他其实是没有理论基础的
[00744.22-00746.74] 那他如果没有基础他在听这一套体的时候
[00746.74-00748.06] 他就会无比的痛苦
[00748.06-00749.86] 因为他没有基础
[00749.86-00751.62] 然后听完了之后他就忘了
[00751.62-00753.62] 因为咱们的整个这一套客人下来
[00753.62-00756.10] 咱们少说也差不多待有100个小时吧
[00756.10-00757.98] 那这个时候他就听的时候
[00757.98-00760.38] 那就忘了前面听后面可能就不记得了
[00760.38-00763.62] 所以他做提的时候还是梁眼一模黑就蒙圈了
[00763.62-00765.86] 所以在这里面他是一个很痛苦的过程
[00765.86-00767.62] 同学们为了检緩这个痛苦
[00767.62-00770.46] 大家就会反而夫妇地去听这个理论课
[00770.46-00770.98] 对吧
[00770.98-00772.58] 而忽略了刷体的过程
[00772.58-00773.62] 但是刷体呢
[00773.62-00776.70] 他其实是第一个检验你之间有没有掌握
[00776.70-00778.58] 也就是熟练之之点的过程
[00778.58-00779.78] 第二个刷体呢
[00779.78-00782.82] 他本身也是一个查却补浪和提升的一个过程
[00782.82-00785.74] 所以很多同学就喜欢做轻松的事情
[00785.74-00787.62] 而不愿意做正确的事情
[00787.62-00789.94] 但是学习是要做正确的事
[00789.94-00791.54] 而不是做轻松的事
[00791.54-00793.10] 听客确实很轻松
[00793.10-00795.98] 同时如果真的成功大家的喜爱
[00795.98-00797.70] 如果比较喜欢听我听客的话
[00797.70-00798.82] 你这套客听完了之后
[00798.82-00800.86] 你可以而打开来听一听
[00800.86-00803.70] 对吧 或者中午的时候放一段晚上的时候放一段
[00803.70-00805.70] 但是如果到后期复写了的话
[00805.70-00808.06] 同时门就一定还是要通过作体
[00808.06-00809.46] 如果不做体的话
[00810.18-00813.66] 你在考察上打体的实验程度是不高的
[00813.66-00817.14] 所以在这里面就给大家去分享一下这个点
[00817.14-00818.62] 好吧 就是给大家说一下
[00818.62-00822.02] 在这里再次给大家说一下咱们这套课程到底怎么用
[00822.02-00825.38] 我已经是尽量的把全国放在考试内
[00825.38-00826.78] 它能够试一道一些考点
[00826.78-00829.74] 作为了一些篩选就咱们的奖欲进行了设置
[00829.74-00831.46] 但是它很难做到秘民去到
[00831.46-00834.38] 因为它还有很多的科目是咱们在这套里面
[00834.38-00836.46] 能课程当中没有给大家去讲解的
[00836.46-00837.86] 比如说山东什么省情
[00837.86-00840.18] 那像这样的科目的只能放在之后
[00840.18-00843.42] 因为山东省成是想它只針对于山东山东省
[00843.42-00845.06] 对吧 他不太释用全国
[00845.06-00847.50] 所以我们就把全国考察比较多的
[00847.50-00849.34] 现在这里给大家做了一个讲解
[00849.34-00854.46] 这一套课程的运用以及同学们在学习过程当中
[00854.46-00857.38] 是一道正确的这种学习的方式
[00857.38-00858.86] 我建议同学们还是
[00858.86-00862.38] 如果你的时间冲足的话就按照我给大家提到这个建议来
[00862.38-00866.38] 那如果同学们现在马上很多同学看可能会面臨一些考试
[00866.38-00866.78] 对吧
[00866.78-00870.26] 然后可能你的背考时间就20天10天左右
[00870.26-00872.66] 你看到我这么一老些的这个课程
[00872.66-00872.98] 对吧
[00872.98-00874.46] 你说老师我可从哪儿看也听
[00874.46-00876.30] 有很多头月就反了这个问题
[00876.30-00877.30] 那这种情况
[00877.30-00879.10] 这想起想要在短期
[00879.10-00881.46] 我们所说的这个短期内有一个
[00881.46-00883.18] 叫大了这样的一个提升
[00883.18-00885.38] 那你其实要么就是跟那种
[00885.38-00886.62] 素成课去听
[00886.62-00887.82] 但是那个东西
[00887.82-00889.62] 我们目前正在研发当中
[00889.62-00891.26] 还是要先把理论课程
[00891.26-00893.30] 这个全面一点东西跟大家去讲
[00893.30-00894.70] 你要么去听素成课
[00894.70-00895.22] 要么呢
[00895.22-00896.22] 同学们我真的建议
[00896.22-00897.94] 你如果你有一定理论清楚
[00897.94-00900.52] 而且你马上交由考试的话
[00900.52-00904.02] 我建议同时买是刷爱刷你所参加地区考试的真体
[00904.02-00906.30] 因为它有很大的这样的一种借建议
[00906.30-00907.22] 你刷真体的时候
[00907.22-00908.90] 第一个就简线出来了自己的
[00908.90-00910.02] 薄肉坑木在哪
[00910.02-00912.66] 那就可以就薄肉坑木
[00913.38-00914.90] 来听我的理论课
[00914.90-00916.50] 你就是不用在这个理论课
[00916.50-00918.18] 咱们放在必战上这一套
[00918.18-00919.46] 跟你每个都去听
[00919.46-00921.06] 那其实就没有这个必要了
[00921.06-00922.58] 你就去做真体
[00922.58-00923.38] 然后你就知道
[00923.38-00924.82] 我这个薄肉坑木在哪里
[00924.82-00928.40] 那你就听这个你之前不行了这个客户就行了
[00928.40-00929.68] 第二个你做整体呢
[00929.68-00932.38] 你一定要把你整体当中的错题吃透
[00932.38-00935.70] 我反复给大家在无论是在在咱们的答应权里面
[00935.70-00938.40] 还是在咱们的这个学习当中
[00938.40-00939.74] 我反复给大家去强调
[00939.74-00941.20] 这是做提的重要的性
[00941.20-00941.72] 对吧
[00941.72-00943.76] 你要么就是再去做一做那个整体
[00943.76-00945.92] 你把整体当中你错的这一点
[00945.92-00949.40] 以体带点去做么透这道题它考的啥
[00949.40-00950.62] 你哲学知道提错了
[00950.62-00951.52] 你不要知道说
[00951.52-00952.72] 我就知道它选弊
[00952.72-00954.34] 我把地选选顶选顶
[00954.34-00955.18] 看懂就行了
[00955.18-00957.86] 你要知道 ABCD色選像都考什么
[00957.86-00959.46] 他考的什么知识点
[00959.46-00962.54] 这个知识点背后还隐藏了什么样的出体角度
[00962.54-00965.82] 这个是我们在短期内有效刷体当中
[00965.82-00968.66] 比较对我们来说比较有利的一个方法
[00968.66-00970.46] 天海战术他有用的同学
[00970.46-00972.30] 但是天海战术要求很高
[00972.30-00973.74] 这天海战术他要求你
[00973.74-00974.98] 花费大量的时间
[00974.98-00977.50] 那你这有时候如果短期内有考试的话
[00977.50-00981.10] 那你就要去在学习方法上去下一下功夫
[00981.10-00983.38] 那如果有刷真体有的学习方法
[00983.38-00987.30] 你在通过无数的题目去总结相用的做题的技巧
[00987.30-00988.94] 那对我们来说上案
[00988.94-00990.50] 它其实不是一个男生
[00990.50-00994.34] 所以学习就是在反反夫妇的这样的一个不断的
[00994.34-00995.58] 从文的当中
[00995.58-00997.70] 不断的痛苦当中去提升的
[00997.70-01001.30] 所以需要同学们做到的就是对于这一套课的这个应用
[01001.30-01003.50] 大家可以放心地去听
[01003.50-01005.22] 一定是进行给大家去讲的
[01005.22-01006.74] 但是听了之语
[01006.74-01010.10] 我还是建议同学们一定要去在甩刷题目
[01010.10-01010.82] 好吧
[01010.82-01012.82] 廢話說了一大堆
[01012.82-01015.58] 在這裡面就給大家去分享一下學習的方法
[01015.58-01017.46] 我們回到這個框架當中來
[01018.18-01019.58] 咱們在這裡面給大家說了
[01019.58-01020.90] 這的單寶第一個是物寶
[01020.90-01022.70] 成在有些人把特定的物底
[01022.70-01024.10] 給你的房子我的車
[01024.10-01024.70] 對吧
[01024.70-01025.82] 你的房子你的車
[01025.82-01027.38] 給我的債券人
[01027.38-01029.22] 這個時候就要設計物寶
[01029.22-01030.38] 那如果不提供物
[01030.38-01031.58] 你給我提供人也行
[01031.58-01033.18] 提供人就叫做人寶
[01033.18-01036.18] 人寶是在合同邊當中的保證合同
[01036.18-01037.18] 為大家去講的
[01037.18-01038.54] 因為在保證合同當中
[01038.54-01039.50] 還要去欺負
[01039.50-01041.38] 他到底属于哪一种保证
[01041.38-01042.78] 那这个叫做人报
[01042.78-01045.38] 那还有一种报就叫做金钱报
[01045.38-01048.38] 金钱报就是我们所说的定金合同
[01048.38-01050.98] 定金合同特别好常见
[01050.98-01052.54] 我们在讲债的时候
[01052.54-01054.86] 我们也会给大家讲的维月则
[01054.86-01056.58] 而里面会替到定金合同
[01056.58-01058.58] 定金合同是用定金法则
[01058.58-01059.78] 这个点也是一个重点
[01059.78-01061.58] 我们再后面会大家去讲解
[01061.58-01065.30] 这个定金合同最常见就是咱俩签订了一个满满合同
[01065.30-01066.94] 又或者现在马上双实意了
[01066.94-01068.94] 不知道大家有没有去那个跑寶之国家
[01069.50-01076.44] 跑了直播间当中,你现在去买东西的话,买什么护服品啊美装,它是不是都是玉玉,就这怎么说呢?
[01076.44-01089.46] 这是你护的是玉护款,它能跟玉护款,你典型购护撤里面,它正常请按咱们购护撤是成色的,但是你典型去双实音里面,它是不是会有一个紫色的这个框框,然后上面写着什么定金?
[01089.46-01099.26] 20块钱啊?对吧,那这个时候它要定期给你发货,那如果说到了10月31号,把什么八点,你没有护卫款的话,这20块钱退不退,不退
[01099.26-01101.66] 同樣這個使用的是什麼 定金發責
[01101.66-01104.02] 這個就叫個什麼合同 定金合同
[01104.02-01107.18] 這個定金合同就是保證合同的旅行
[01107.18-01109.86] 他你這20塊錢給你收走
[01109.86-01113.58] 那他就是為了保證你能夠如期支付相的款項
[01113.58-01114.58] 他給你發貨吧
[01114.58-01117.58] 所以這個其實就是定金合同的一種
[01117.58-01119.26] 所以在這裡面我們在後面
[01119.26-01121.62] 還有給大家去詳細的講一下
[01121.62-01123.98] 人寶和金錢寶這兩種
[01123.98-01127.06] 那這兩個地方都是在合同邊給大家去人詳借的
[01127.06-01130.26] 这个是在你的债道期旅行之前
[01130.26-01132.80] 我为了心里能够踏实一点
[01132.80-01135.46] 我在这个地方设置的
[01135.46-01138.66] 我们所说的这个债的单宝
[01138.66-01140.26] 但是如果到期了
[01140.26-01142.72] 比如说咱俩签这个可能到期了
[01142.72-01145.42] 2020-23年的12月30日好到期
[01145.42-01147.70] 这个可能到期你就应该把钱还给我了吧
[01147.70-01148.02] 对吧
[01148.02-01149.14] 但这个时候你还不上
[01149.14-01150.86] 这个时候你还不上怎么办
[01150.86-01152.78] 这个时候就可以有什么
[01152.78-01155.38] 就可以有之后
[01155.38-01159.10] 就是在旅行期间满之后我就可以怎么样
[01159.10-01160.78] 可以提出债的保全
[01160.78-01163.90] 就是已经暴了你该我华为钱的时候你还不上了
[01163.90-01165.46] 这个时候唯一待有什么
[01165.46-01167.46] 唯一待有方法保证质的钱一
[01167.46-01169.62] 这个就叫做债的保全
[01169.62-01170.50] 这个保全
