[00000.00-00004.90] 國民革命時期講完之後我們來看一下第二個階段
[00121.30-00124.00] 為什麼之前的國共合作會破裂會失敗
[00124.00-00126.90] 要去反思一下到底是出了哪些問題
[00126.90-00128.80] 我們黨一個優良的傳統
[00128.80-00130.90] 三大優良的作風批評與作批評
[00130.90-00133.40] 所以能夠及時反思及是反思問題
[00133.40-00136.60] 所以在巴伊南昌旗之後的一個一個星期
[00136.60-00137.80] 只照開了什麼
[00137.80-00140.30] 巴七會議在巴伊七號開始反思
[00140.30-00143.70] 但是巴七會議是第一次國內革命戰爭失敗以後
[00143.70-00146.70] 在關係黨和革命實驗全除當中的關鍵時刻
[00146.70-00147.80] 照開了一次會議
[00147.80-00148.30] 干嘛呢
[00148.30-00150.10] 這次會議同意標準一下他的意義
[00150.10-00151.10] 想拳一
[00151.10-00151.90] 這次會議呢
[00151.90-00153.10] 是大革命失敗
[00153.10-00154.70] 咱們也知道國共合作破裂了
[00154.70-00155.80] 這大革命失敗
[00155.80-00158.60] 到土地革命戰爭失敗
[00158.60-00162.20] 因為我們現在開始要探索自己的革命道路
[00162.20-00164.40] 就是我們經常說的農村包圍城市
[00164.40-00165.60] 五裝多須中前
[00165.60-00168.40] 中國共產黨要從又年獨自發展狀大
[00168.40-00168.90] 對吧
[00168.90-00170.00] 所以在這裡面
[00170.00-00172.30] 從大革命失敗到土地革命
[00172.30-00174.10] 心起的轉折
[00174.10-00176.50] 而這次我們所說的這個巴七會議
[00176.50-00177.50] 也被稱為什麼呢
[00177.50-00179.30] 在旁邊標準一下
[00179.30-00180.50] 在這裡面
[00180.50-00183.00] 他也他的意義在某種程度上也說了
[00183.00-00185.10] 他是萬修了血上
[00185.10-00187.30] 叫萬修了
[00187.80-00188.90] 革命
[00188.90-00190.90] 叫萬修了中國革命
[00190.90-00192.90] 或者是萬修了黨
[00194.90-00196.70] 萬修了中國革命
[00196.70-00197.70] 萬修了黨
[00197.70-00199.10] 這個點大家注意
[00199.10-00200.70] 一定要山區分
[00200.70-00203.10] 這裡面是萬修了革命
[00203.10-00204.60] 萬修了黨是這兩個
[00204.60-00206.30] 因為和他特別容易緩小的
[00206.30-00207.30] 另外一個點
[00207.30-00209.00] 叫做萬修了
[00209.00-00210.10] 現在旁邊
[00210.10-00212.50] 叫萬修了中國革命
[00215.70-00217.10] 萬修了中國革命
[00217.10-00218.70] 萬修了紅軍
[00218.70-00220.30] 還有一個萬修了黨
[00220.30-00221.90] 說這個三個萬修
[00221.90-00222.70] 對於的是哪回憶
[00222.70-00224.60] 我們在後面會大家講到
[00224.60-00226.30] 它對於的是我們所說的
[00226.30-00227.50] 最意義會議
[00227.50-00229.10] 所以在這裡面多了一個什麼
[00229.10-00230.70] 多了一個紅軍
[00230.70-00231.70] 所以在這裡面
[00231.70-00233.30] 大家要把這兩個會議去分開
[00233.30-00234.50] 再考試的時候
[00234.50-00236.00] 經常會在選項裡面
[00236.00-00237.90] 去搞這兩個的混小
[00237.90-00238.90] 所以這是8期回憶
[00238.90-00239.70] 大主意下
[00239.70-00241.30] 是一次轉折性的回憶
[00241.30-00242.30] 因為通過這次回憶
[00242.30-00244.30] 我們開始反思之前的問題
[00244.30-00246.30] 開始不局以後的道路
[00246.30-00247.70] 所以在這裡面大主意下
[00247.70-00249.10] 這是8期回憶
[00249.10-00250.30] 那既然是開會
[00250.30-00252.10] 那他總要說了什麼
[00252.10-00253.90] 咱們來看一下8期回憶的內容
[00253.90-00254.90] 旋下第一個
[00254.90-00256.50] 我們所說的要反思過去
[00256.50-00257.90] 之前為什麼會失敗
[00257.90-00259.50] 就是因為放棄了什麼
[00259.50-00261.30] 放棄了我們所說的領導權
[00261.30-00262.50] 以個人身份加入國民黨
[00262.50-00263.70] 說的也啥都沒有
[00263.70-00266.30] 所以在這裡面就丟種了之前的錯誤
[00266.30-00268.50] 那第二個在這裡面他提到了
[00268.50-00269.50] 同學標誦一下
[00269.50-00272.50] 叫確立了實行土地革命和
[00272.50-00275.30] 武裝反抗國民黨反動派的
[00275.30-00276.10] 總方針
[00276.10-00277.30] 所以在這種情況之下
[00277.30-00278.90] 就確定了我們所說的
[00278.90-00281.30] 路線第一個要搞土地革命
[00281.30-00281.70] 對吧
[00281.70-00283.90] 第二個就是武裝反抗國民黨
[00283.90-00284.70] 反動派
[00284.70-00286.30] 那武裝反抗國民黨反動派
[00286.30-00287.90] 我們也想要跟著我們所說的
[00287.90-00289.10] 所以我們所說的
[00289.10-00290.30] 毛東統治進入提出了
[00290.30-00293.30] 叫虛擔感子裡面出政權
[00293.30-00294.90] 這句話非常重要
[00294.90-00296.90] 經常會問槍感子裡出政權
[00296.90-00299.10] 是在哪一次會議當中提出來的
[00299.10-00301.30] 要知道是8期回憶
[00301.30-00302.70] 所以在這裡面我們知道
[00302.70-00305.30] 那高國民國民國民國想要搞土地革命
[00305.30-00306.30] 探索自己的道路
[00306.30-00307.30] 對吧
[00307.30-00308.30] 那高土地革命
[00308.30-00309.30] 就要做什麼
[00309.30-00310.30] 所以我們就要做什麼
[00310.30-00311.30] 所以我們就要做什麼
[00311.30-00312.30] 所以我們就要做什麼
[00312.30-00313.30] 所以我們就要做什麼
[00313.30-00314.30] 所以我們就要做什麼
[00315.30-00316.30] 那高土地革命
[00316.30-00317.30] 農村包圍城市
[00317.30-00318.30] 武裝奪取政權
[00318.30-00320.30] 那在武裝奪的政權當中
[00320.30-00321.30] 手裡必須要有槍
[00321.30-00323.30] 所以提到叫槍感子裡
[00323.30-00324.30] 出政權
[00324.30-00325.30] 槍感的出政權
[00325.30-00327.30] 這樣的一個思想被提出來之後
[00327.30-00329.30] 它總歸還是要去實踐的
[00329.30-00330.30] 所以在這裡面
[00330.30-00331.30] 它又提到了另外一件事
[00331.30-00332.30] 只是巴西會說
[00332.30-00333.30] 那接下來咱們要怎麼辦
[00333.30-00335.30] 就提到要發動求收起憶
[00335.30-00337.30] 所以第四件事
[00337.30-00338.30] 就是提到了
[00338.30-00339.30] 所以要把求收起憶
[00339.30-00341.30] 作為當前黨的什麼
[00341.30-00342.30] 主要任務
[00342.30-00343.30] 所以在這裡面就提到了
[00343.30-00344.30] 求收起憶
[00344.30-00346.30] 那今天提到發動求收起憶
[00346.30-00347.30] 咱們就要來看看
[00347.30-00348.30] 這個求收起憶
[00348.30-00349.30] 到底是怎麼個算
[00349.30-00351.30] 也就是在巴西會議結束
[00351.30-00352.30] 一個月之後
[00352.30-00353.30] 求收起憶就發動了
[00353.30-00353.90] 你看
[00353.90-00355.30] 求收起憶是在湖南東部
[00355.30-00357.30] 和江西西部領導的
[00357.30-00359.30] 公龍革命軍舉行的
[00359.30-00360.30] 武裝起憶
[00360.30-00362.30] 那這個就是我們所說的這個
[00362.30-00363.30] 求收起憶
[00363.30-00364.30] 那求收起憶當中
[00365.30-00366.30] 有這麼幾個內容
[00366.30-00367.30] 大家需要注意
[00367.30-00368.30] 求收起憶
[00368.30-00369.30] 首先第一個大注意
[00369.30-00371.30] 求收起憶主要是公打的是
[00371.30-00374.30] 或者說當時主要是還是要公打什麼
[00374.30-00375.30] 城市
[00375.30-00376.30] 但是當時公打的時候
[00376.30-00377.30] 打贏了打贏了
[00377.30-00378.30] 打贏了
[00378.30-00379.30] 所以打贏了之後
[00379.30-00380.30] 推回到那兒
[00380.30-00381.30] 推回到了文家市
[00381.30-00382.30] 推到了文家市之後
[00382.30-00384.30] 就做出來了一個戰略決定
[00384.30-00385.30] 什麼決定
[00385.30-00387.30] 在求收起憶當中
[00387.30-00388.30] 提到了我們所說的
[00388.30-00390.30] 進行戰略重新的轉移
[00390.30-00392.30] 戰略重新轉移轉到那兒
[00392.30-00393.30] 打住一下
[00393.30-00396.30] 從城市轉移到農村
[00396.30-00398.30] 以前我們的革命戰略是什麼
[00398.30-00399.30] 就是公打城市
[00399.30-00400.30] 為什麼要不停的公打城市
[00400.30-00402.30] 因為我們當時跟誰學
[00402.30-00404.30] 我們當時是跟蘇聯學的
[00404.30-00405.30] 因為當時蘇聯嗎
[00405.30-00407.30] 我們就是以城市為主
[00407.30-00408.30] 最後公戰城市
[00408.30-00410.30] 然後建立了蘇聯共和國
[00410.30-00411.30] 對吧
[00411.30-00412.30] 蘇聯愛國家
[00412.30-00413.30] 所以當時我們就跟蘇聯學
[00413.30-00415.30] 但這種召單召超的路線
[00415.30-00417.30] 其實並不是和中國
[00417.30-00419.30] 因為在中國整體上的城市當中
[00419.30-00420.30] 我們可以發現
[00420.30-00422.30] 國民黨也好據他也好
[00422.30-00424.30] 他其實不覺得是非常的怎麼樣
[00424.30-00425.30] 非常的思議案
[00425.30-00427.30] 換句話說就是鐵洪一塊
[00427.30-00428.30] 你從城市打
[00428.30-00429.30] 你根本打不過人家
[00429.30-00431.30] 那反而是在中國
[00431.30-00432.30] 哪裡比較薄弱呢
[00432.30-00433.30] 大家注意一下
[00433.30-00435.30] 反而是在中國的農村比較薄弱
[00435.30-00437.30] 所以在這裡站住中去轉移的時候
[00437.30-00438.30] 我們不能跟人家硬碰硬
[00438.30-00439.30] 在碰不過人家
[00439.30-00441.30] 所以這種情況之下去去
[00441.30-00443.30] 去敵人比較薄弱的地方
[00443.30-00444.30] 律師就提到了
[00444.30-00445.30] 像山區進軍
[00445.30-00446.30] 像山區進軍的話
[00446.30-00447.30] 就要轉移到哪裡去
[00447.30-00449.30] 轉移到農村當中去
[00449.30-00450.30] 所以在這裡面第一個
[00450.30-00452.30] 再能加持做出了一個站略決策
[00452.30-00455.30] 從城市轉移到農村
[00455.30-00457.30] 那從城市轉移到農村的這個
[00457.30-00458.30] 過程當中
[00458.30-00460.30] 大家知道就是要進山
[00460.30-00462.30] 那一進入到山區
[00462.30-00464.30] 已經是到我們所說的這個農村
[00464.30-00465.30] 進山的過程當中
[00465.30-00466.30] 人就容易怎麼樣
[00466.30-00468.30] 人就容易跑
[00468.30-00470.30] 那當時公農革命軍第一軍
[00470.30-00471.30] 第一時四團
[00471.30-00472.30] 五千人
[00472.30-00474.30] 打到四團成
[00474.30-00475.30] 打到長沙的時候
[00475.30-00476.30] 四團就判電了
[00476.30-00477.30] 四團判電之後
[00477.30-00479.30] 你看當時總共四團是五千人
[00479.30-00481.30] 四團判電的還剩一些人
[00481.30-00482.30] 但進山以後
[00482.30-00483.30] 整個
[00483.30-00486.30] 我們所說的公民公農革命軍第一軍裡面
[00486.30-00487.30] 就剩下了八百多人
[00487.30-00488.30] 人都跑光了
[00488.30-00489.30] 所以在這麼走下去
[00489.30-00490.30] 軍隊就沒了
[00490.30-00491.30] 所以到了三輪村的時候
[00491.30-00492.30] 猛猛同就說了
[00492.30-00494.30] 我們要必須要進行整改
[00494.30-00495.30] 怎麼整改呢
[00495.30-00496.30] 提到另外一個點
[00496.30-00498.30] 就說要進行
[00498.30-00499.30] 三輪改編
[00499.30-00500.30] 同把三輪改編化出來
[00500.30-00501.30] 打住一下
[00501.30-00503.30] 三輪改編提到了這麼幾個點
[00503.30-00504.30] 第一個就說
[00504.30-00506.30] 確立了黨對軍隊的絕對領導
[00506.30-00507.30] 黨對軍隊的領導
[00507.30-00509.30] 在哪上打住一下
[00509.30-00510.30] 同樣標住一下
[00510.30-00512.30] 第一個是在政治上
[00512.30-00513.30] 這種事實上
[00513.30-00515.30] 就是要確保絕對要幹嘛
[00515.30-00516.30] 聽黨指揮
[00516.30-00518.30] 所以黨對軍隊的絕對領導
[00518.30-00519.30] 第一個是在政治上
[00519.30-00520.30] 也是必須要聽
[00520.30-00522.30] 我們所說的這個黨的話
[00522.30-00524.30] 在這裡面叫政治上的絕對領導
[00524.30-00525.30] 第二確定了叫
[00525.30-00527.30] 組織上的政治領導
[00527.30-00529.30] 在組織上對軍隊的絕對領導
[00529.30-00530.30] 提現在點
[00530.30-00531.30] 同樣寫在
[00531.30-00532.30] 旁邊一句話叫做
[00532.30-00533.30] 直部
[00533.30-00534.30] 見在臉上
[00536.30-00537.30] 叫做直部
[00537.30-00539.30] 見在臉上
[00539.30-00540.30] 所以在這裡面
[00540.30-00542.30] 這是我們所說的三輪改編
[00542.30-00543.30] 大家要知道
[00543.30-00544.30] 如果到了三輪村
[00544.30-00545.30] 這個地方進行改編的話
[00545.30-00546.30] 其實就是要跟他們去幹嘛
[00546.30-00548.30] 就是要跟他們去聊一聊
[00548.30-00549.30] 就跟他們去聊聊
[00549.30-00550.30] 你為什麼要刑軍
[00550.30-00551.30] 為什麼要打仗
[00551.30-00552.30] 當時在整個
[00552.30-00553.30] 我們所說的軍隊當中
[00553.30-00555.30] 他們的成分其實是非常多的
[00555.30-00556.30] 軍隊當中
[00556.30-00557.30] 可能有功能
[00557.30-00558.30] 有農民
[00558.30-00559.30] 可能有山在流扣
[00559.30-00560.30] 對吧
[00560.30-00561.30] 等等這些
[00561.30-00562.30] 你問他們為什麼
[00562.30-00563.30] 打仗每個人說的都不一樣
[00563.30-00564.30] 一個軍隊如果
[00564.30-00566.30] 一個沒有明確的照思想
[00566.30-00567.30] 沒有一個明確的目標
[00567.30-00568.30] 他不可能
[00568.30-00569.30] 站不不生
[00569.30-00570.30] 所以才在這裡面
[00570.30-00571.30] 沒有事情
[00571.30-00572.30] 什麼
[00572.30-00573.30] 三輪改編
[00573.30-00574.30] 必須明確黨對軍隊的絕對領導
[00574.30-00575.30] 兩個方面
[00575.30-00576.30] 第一個
[00576.30-00578.30] 這個軍隊必須是聽黨指揮的
[00578.30-00579.30] 所以在政治上
[00579.30-00580.30] 絕對服從一黨
[00580.30-00581.30] 第二個
[00581.30-00582.30] 他在思想當中
[00582.30-00583.30] 或者是我們所說的
[00583.30-00584.30] 組織建設當中
[00584.30-00585.30] 也是一樣的
[00585.30-00586.30] 如何聽黨的呢
[00586.30-00587.30] 支付現在臉上
[00587.30-00588.30] 所以這是我們所說的
[00588.30-00589.30] 三輪改編
[00589.30-00590.30] 所以在整個
[00590.30-00591.30] 秋洲起當中
[00591.30-00593.30] 兩個非常著的內容
[00593.30-00594.30] 一個就是
[00594.30-00595.30] 打待了退回到文家
[00595.30-00596.30] 事進行戰略轉移
[00596.30-00597.30] 就去到農村
[00597.30-00598.30] 去到農村
[00598.30-00599.30] 人一進山人就跑丟了
[00599.30-00600.30] 對吧
[00600.30-00601.30] 咱們說了四個團五千人
[00601.30-00603.30] 最後進山以後還上八百個人
[00603.30-00604.30] 那這裡面
[00604.30-00606.02] 怎麼樣能夠讓軍隊的
[00606.02-00607.30] 領軍隊更強行
[00607.30-00609.30] 這時候就要發揮黨的作用了
[00609.30-00610.30] 所以事情了三輪改編
[00610.30-00611.30] 那這是土
[00611.30-00612.30] 我們所說的
[00612.30-00613.30] 秋洲起當中的第二件事
[00613.30-00615.30] 秋洲起當中的第三件事
[00615.30-00616.30] 其實就是說了
[00616.30-00618.30] 既然我們要去到農村
[00618.30-00619.30] 那去到農村
[00619.30-00620.30] 咱們幹啥
[00620.30-00621.30] 我們要把農村
[00621.30-00623.30] 作為自己的地盤
[00623.30-00625.30] 去發展壯大自己的力量
[00625.30-00626.30] 所以在這裡面
[00626.30-00627.30] 就開始去探索
[00627.30-00628.30] 幹嘛去探索建立
[00628.30-00630.30] 革命根據地
[00630.30-00631.30] 於是就了我們所說的
[00631.30-00632.30] 緊張聲革命根據地的建立
[00632.30-00634.30] 所以進到農村要幹嘛
[00634.30-00636.30] 大致到進到農村要建根據地
[00636.30-00637.30] 根據地如何建
[00637.30-00638.30] 我們後面會大家想去說
[00638.30-00640.30] 所以在秋洲起當中
[00640.30-00642.30] 我們注意一下這兩個時間
[00642.30-00643.30] 這是我們所說的
[00643.30-00644.30] 秋洲起意
[00644.30-00646.30] 這個秋洲起意
[00646.30-00649.30] 其實他到了三輪改編的時候
[00649.30-00651.30] 他其實讓軍隊
[00651.30-00652.30] 稍微明白了一點
[00652.30-00654.30] 原來軍隊裡面的成分比
[00654.30-00655.30] 多
[00655.30-00657.30] 對吧我們說了有可能有三輩流控
[00657.30-00658.30] 可能有農民
[00658.30-00659.30] 可能有流律師所的人
[00659.30-00660.30] 可能有工人
[00660.30-00661.80] 也可能有資產界界
[00661.80-00662.30] 你問他們為什麼打仗
[00662.30-00664.30] 他們都目標絕對不是一致的
[00664.30-00666.30] 所以一個沒有民選目標
[00666.30-00667.30] 沒有一致目標的軍隊
[00667.30-00668.30] 不可能這樣不勝
[00668.30-00670.30] 這是我們剛才所說的
[00670.30-00670.80] 對吧
[00670.80-00672.30] 我們所說的這樣
[00672.30-00673.30] 一個軍隊
[00673.30-00674.30] 他根本就沒有辦法
[00674.30-00675.30] 或者他根本就不明白
[00675.30-00676.30] 他為什麼要打仗
[00676.30-00677.30] 所以提到
[00677.30-00678.30] 為誰抗強
[00678.30-00679.30] 為誰打仗的時候
[00679.30-00681.30] 最開始這個軍隊是不清楚的
[00681.30-00682.30] 後來直播
[00682.30-00683.30] 現在臉上
[00683.30-00684.30] 確定了黨隊軍隊的絕對腦子
[00684.30-00685.30] 之後我們說了
[00685.30-00687.30] 中國共產黨的目的
[00687.30-00689.30] 就是要老百姓過少好的生活
[00689.30-00691.30] 想想要剛剛才看的那個片段
[00691.30-00691.80] 對吧
[00691.80-00692.80] 程度就有和李大朝
[00692.80-00694.30] 先生說我不未別的
[00694.30-00696.30] 我就希望他們能夠活著
[00696.30-00698.30] 享有人的權利人的尊嚴
[00698.30-00699.30] 很人的快樂
[00699.30-00701.30] 所以軍隊未誰抗強
[00701.30-00703.30] 軍隊未人民抗強
[00703.30-00705.30] 軍隊未誰打仗
[00705.30-00706.30] 軍隊未人民打仗
[00706.30-00707.30] 所以為什麼說
[00707.30-00709.30] 我們的軍隊叫做人命軍隊
[00709.30-00711.30] 到了三岸改變之後
[00711.30-00712.30] 這個軍隊的儲型
[00712.30-00714.30] 就已經開始形成了
[00714.30-00716.30] 這個軍隊就已經開始通過
[00716.30-00717.30] 黨的不斷領導明確
[00717.30-00719.30] 他要未誰抗強
[00719.30-00720.30] 未誰打仗了
[00720.30-00722.30] 那是我們所說的三分改變
[00722.30-00723.30] 人民軍隊的正式確立
[00723.30-00724.30] 是在什麼時候
[00724.30-00725.30] 大家來看一下
[00725.30-00727.30] 人民軍隊的正式建立
[00727.30-00728.30] 是在股田會議上
[00728.30-00729.30] 股田會議的時間
[00729.30-00730.30] 同時稍微標準一下
[00730.30-00732.30] 是在1922年
[00732.30-00734.30] 股田會議是紅四軍
[00734.30-00736.30] 在1920年12月28號
[00736.30-00737.30] 在19號的時候
[00737.30-00739.30] 福建省龍沿市
[00739.30-00740.30] 上航線的股田村
[00740.30-00742.30] 造開的股田會議
[00742.30-00744.30] 股田會議說了些什麼
[00744.30-00745.30] 就要注意一下
[00745.30-00746.30] 有兩個點
[00746.30-00747.30] 小朋友去記
[00747.30-00749.30] 第一個叫股田會議提出
[00749.30-00751.30] 建設新型人命軍隊
[00751.30-00752.30] 什麼叫新型人命軍隊
[00752.30-00754.30] 創建人命軍隊
[00754.30-00756.30] 就是新型人命軍隊
[00756.30-00757.30] 以前的軍隊
[00757.30-00759.30] 被誰打被軍法打張
[00759.30-00760.30] 以前軍隊都是私有的
[00760.30-00761.30] 我們的軍隊是為了神
[00761.30-00762.30] 為了人民
[00762.30-00764.30] 所以在這裡創建新型人命軍隊
[00764.30-00765.30] 就是人命軍隊
[00765.30-00767.30] 所以在這裡面就提出了
[00767.30-00768.30] 什麼叫做思想
[00768.30-00770.30] 監擋政治
[00770.30-00771.30] 建軍把這個點
[00771.30-00772.30] 標準出來
[00772.30-00774.30] 剛才三恩改編的時候
[00774.30-00775.30] 是什麼
[00775.30-00777.30] 政治上組織上
[00777.30-00779.30] 讓軍隊服從黨
[00779.30-00781.30] 那你想而人軍隊服從黨的話
[00781.30-00783.30] 這個軍隊走到那
[00783.30-00784.30] 打到那只像那
[00784.30-00785.30] 為了誰
[00785.30-00786.30] 是不是還要看誰的
[00786.30-00787.30] 看到的
[00787.30-00788.30] 所以想要把人民軍隊創建
[00788.30-00789.30] 好源頭在誰上
[00789.30-00790.30] 源頭在黨上
[00790.30-00791.30] 所以在這裡面
[00791.30-00792.30] 必須要在思想上
[00792.30-00794.30] 幹嘛先見到
[00794.30-00796.30] 之後才能在政治上
[00796.30-00798.30] 什麼建軍呢
[00798.30-00800.30] 因為黨指揮槍
[00800.30-00801.30] 同學們
[00801.30-00803.30] 所以叫政治監軍
[00803.30-00804.30] 所以要在思想上
[00804.30-00805.30] 監擋在政治上
[00805.30-00806.30] 在監軍
[00806.30-00807.30] 所以心情人民軍隊
[00807.30-00808.30] 如何去建立
[00808.30-00809.30] 現在源頭是思想上的
[00809.30-00811.30] 這個政黨必須就是為人民的
[00811.30-00812.30] 必須就是無思的
[00812.30-00813.30] 對吧
[00813.30-00814.30] 這個叫思想監擋
[00814.30-00815.30] 第二個黨指揮槍
[00815.30-00816.30] 這叫政治監軍
[00816.30-00818.30] 所以在這裡面
[00818.30-00820.30] 心情人民軍隊提到了思想監擋
[00820.30-00821.30] 政治監軍
[00821.30-00822.30] 這是第一個點
[00822.30-00823.30] 第二個點
[00823.30-00824.30] 就是
[00824.30-00825.30] 骨田會議
[00825.30-00826.30] 我們注意一下
[00826.30-00827.30] 骨田會議在這裡面
[00827.30-00828.30] 形成了一個決議
[00828.30-00831.30] 這個決議就做骨田會議決議
[00831.30-00832.30] 以前的時候
[00832.30-00833.30] 我們對於骨田會議決議
[00833.30-00834.30] 考察很少
[00834.30-00835.30] 近年的時候
[00835.30-00837.30] 考察骨田會議的決議
[00837.30-00838.30] 同學來看一下
[00838.30-00840.30] 說骨田會議決議是啥呢
[00840.30-00841.30] 下面這句話
[00841.30-00842.30] 同標準一下
[00842.30-00843.30] 說骨田會議首次議
[00843.30-00844.30] 壞下
[00844.30-00846.30] 首次議黨的決議的形式
[00846.30-00847.30] 從身和發展的
[00847.30-00848.30] 三個改變確定的
[00848.30-00849.30] 壞下叫
[00849.30-00852.30] 黨對軍隊的絕對領導原則
[00852.30-00854.30] 也就是在骨田會議當中
[00854.30-00856.30] 首次議正式決議
[00856.30-00857.30] 文件的形式
[00857.30-00859.30] 總統的決定的決定領導
[00859.30-00860.30] 當年考試的時候
[00860.30-00861.30] 在這怎麼考的呢
[00861.30-00863.30] 以下關於人民軍隊的
[00863.30-00865.30] 創建、創辦、政確或者錯誤的事
[00865.30-00867.30] 其中就一個給到了
[00867.30-00868.30] 說
[00868.30-00869.30] 三個改變
[00869.30-00870.30] 首次議黨的決議的形式
[00870.30-00872.30] 確定了黨對軍隊的決定領導
[00872.30-00873.30] 同學們當時一看
[00873.30-00875.30] 黨對軍隊的決定導
[00875.30-00876.30] 學過
[00876.30-00877.30] 政治上組織上
[00877.30-00878.30] 三個改變
[00878.30-00879.30] 上去就選對了
[00879.30-00880.30] 這個時候
[00880.30-00881.30] 剛才的那個
[00881.30-00882.30] 選想當中的那句話
[00882.30-00885.30] 在那首次議黨的決議的形式
[00885.30-00886.30] 三個改變
[00886.30-00888.30] 沒有什麼時候才有
[00888.30-00889.30] 五天會議才有
[00889.30-00890.30] 所以在這裡
[00890.30-00892.30] 人民軍隊才算是我們做說的什麼
[00892.30-00895.30] 正式建場或者是正式形成了
[00895.30-00896.30] 所以人民軍隊的形成
[00896.30-00897.30] 我們做一個總結
[00897.30-00899.30] 同學現在旁邊
[00899.30-00901.30] 人民軍隊
[00901.30-00902.30] 他的一個創建
[00903.30-00905.30] 叫做什麼呢
[00905.30-00907.30] 叫做發端語、南昌奇異
[00911.30-00912.30] 寫在旁邊
[00912.30-00914.30] 叫做發端語、南昌奇異
[00914.30-00915.30] 長期一
[00915.30-00916.30] 電機與
[00916.30-00918.30] 三個改變
[00921.30-00922.30] 最後一個叫做
[00922.30-00923.30] 定行與
[00923.30-00924.30] 五天會議
[00930.30-00931.30] 在這裡
[00931.30-00932.30] 發端語、南昌奇異
[00932.30-00933.30] 南昌奇異
[00933.30-00936.30] 打小五中反抗國民黨的第一條
[00936.30-00937.30] 說白了
[00937.30-00938.30] 人民軍隊怎麼樣
[00938.30-00939.30] 開始創建
[00939.30-00940.30] 但是這個軍隊
[00940.30-00941.30] 最開始的時候
[00941.30-00942.30] 知道
[00942.30-00945.30] 所以到了三個改變的時候
[00945.30-00946.30] 軍隊開始逐漸領去
[00946.30-00948.30] 為人民抗槍、為人民打招
[00948.30-00950.30] 那想要軍隊為人民
[00950.30-00951.30] 就在聽誰的
[00951.30-00952.30] 就在聽黨的
[00952.30-00953.30] 所以在三個改變的時候
[00953.30-00954.30] 確立了
[00954.30-00956.30] 黨對軍隊的絕對領導元責
[00956.30-00958.30] 黨對軍隊的絕對領導
[00958.30-00959.30] 體現在兩個方面
[00959.30-00961.30] 一個是在政治上
[00961.30-00962.30] 一個是在組織上
[00962.30-00963.30] 組織上怎麼辦
[00963.30-00965.30] 直部現在臉上
[00965.30-00967.30] 那最終黨對軍隊絕對領導的
