[00000.00-00006.36] 我们还剩第一章的最后一节就叫做诉讼实效
[00348.94-00350.74] 也是24年10月11日
[00350.74-00352.84] 也就是你知道我亲爱你全力
[00352.84-00354.96] 知日起你的权力受到所还之前
[00354.96-00356.62] 多少时间3年
[00356.62-00359.42] 你会在这里享有3年的诉讼时效
[00361.42-00363.26] 3年诉讼时效
[00363.26-00365.06] 起间3年诉讼时效
[00365.06-00366.66] 在3年诉讼时效起间
[00366.66-00368.06] 你就可以要求法律
[00368.06-00370.18] 抢质5月5月5月
[00370.18-00371.46] 也就是有抢质
[00371.46-00374.50] 要求我旅行一物的这样的一个时间对吧
[00374.50-00378.86] 这个时间三年送时要是到2017年的10月11号
[00378.86-00379.26] 对吧
[00379.26-00381.06] 到2017年的10月11号
[00381.06-00382.94] 如果在这个形权期间
[00382.94-00384.34] 你没有形权的话
[00384.34-00385.94] 那这个时候不好意思
[00385.94-00389.14] 超过10月11号到10月12号那天开始
[00389.14-00391.42] 你的这笔再款他就成为了什么
[00391.42-00393.30] 他就成为了自然之战
[00393.30-00394.54] 什么叫个自然之战呢
[00394.54-00396.74] 就是你已经喪失了
[00396.74-00397.58] 大助一下
[00397.58-00400.46] 你已经喪失了强行我还款的这样子相权力
[00400.46-00401.74] 有時你去法院告我
[00401.74-00403.28] 我可以向法院提出
[00403.28-00405.06] 訴訟史銷的抗病權
[00405.06-00408.86] 有時你在2020年到10月12號
[00408.86-00411.06] 一組書狀把我告上罰停
[00411.06-00411.94] 剛是法庭之後
[00411.94-00413.78] 你就說天哪法官大人對吧
[00413.78-00414.22] 這個人
[00414.22-00415.10] 他也不要臉了
[00415.10-00416.06] 我把他當老師
[00416.06-00417.22] 他居然想當老爛
[00417.22-00418.46] 然後你就哭著跟他說
[00418.46-00419.26] 你多少時間
[00419.26-00419.90] 然後
[00419.90-00421.90] 把一半塊錢
[00421.90-00422.54] 借給了我
[00422.54-00423.74] 然後到了特定期限
[00423.74-00424.54] 我也沒有懷念
[00424.54-00426.54] 你說你實在是脫不下去了對吧
[00426.54-00427.38] 你說過年了
[00427.38-00428.70] 這地主家都沒有預良了
[00428.70-00429.34] 而且這都過了
[00429.34-00430.66] 好几个年了 她都没还
[00430.66-00432.52] 说要给我求求你了 法官大人
[00432.52-00434.26] 对不对 你让她把钱还给我吧
[00434.26-00435.70] 那在这种情况之下 你看
[00435.70-00438.78] 你是在10月12号的这一天把我高上讨听到
[00438.78-00440.22] 我当时就是怎么样
[00440.22-00442.94] 我看到你连哭带好的在那个法庭上
[00442.94-00444.58] 对吧 当时一看太草了
[00444.58-00445.74] 我可是太开心了
[00445.74-00447.26] 然后法官就问我说
[00447.58-00449.18] 你们他借钱了吗 我说借了呀
[00449.18-00450.70] 他是你还了吗 我说没还呀
[00450.70-00452.90] 那法官说你居然没还还还钱
[00452.90-00453.78] 你没什么还有
[00453.78-00455.14] 就是你没什么不还人钱
[00455.14-00456.46] 你怎么还这么理智系传
[00456.46-00457.50] 我说法官大人呢
[00457.50-00462.06] 我说你看他的这个接款的7线是在2024年10月11号
[00462.06-00463.50] 我应该还款对不对
[00463.50-00465.02] 我在这一天没有还款
[00465.02-00467.06] 他一送三年送十条保护
[00467.06-00469.66] 有到2027年10月11号之前
[00469.66-00471.06] 他都可以把我高升法庭
[00471.06-00472.74] 但是他没有够我呀
[00472.74-00475.78] 他在10月11号2027年10月11号之后
[00475.78-00477.90] 在12号这一天把我高升法庭了
[00477.90-00479.54] 那么法官那人不好意思
[00479.54-00481.74] 以过素种史教保护期
[00481.74-00483.90] 我就想有素种史教抗变权
[00483.90-00485.42] 我就可以不还看见
[00485.42-00487.62] 这时候法院能不能说阿尼好标李
[00487.62-00488.70] 我在这种情况之下
[00488.70-00489.78] 强行让我换钱
[00489.78-00490.38] 不可以了
[00490.38-00492.30] 同们什么叫诉讼实际上的抗变
[00492.30-00494.14] 所以诉讼实际上的抗变就是
[00494.14-00496.94] 当他超过三年诉讼实际上保护七千之后
[00496.94-00498.22] 那在这种情况之下
[00498.22-00499.18] 自然之在
[00499.18-00501.30] 计划合动就变成了自然之在
[00501.30-00502.94] 没有办法要求我强之之行了
[00502.94-00504.14] 你说老师这钱怎么办
[00504.14-00504.78] 那这钱
[00504.78-00505.50] 当时也漂亮了
[00505.50-00507.42] 我不还你也一点办法都没有了
[00507.42-00509.10] 老师这不是不合理吗
[00509.10-00510.14] 怎么能够不合理呢
[00510.14-00510.50] 同学
[00510.50-00511.86] 我保护了你三年
[00511.86-00513.22] 这三年任何期间
[00513.22-00514.70] 你都可以像他怎么样
[00515.42-00517.42] 你一推作送食料中断
[00517.42-00519.42] 你一推作送食料之外
[00519.42-00521.42] 或者你一遇到什么偷刺情况
[00521.42-00522.42] 送食料可以重新計算
[00522.42-00526.42] 你有很多的时间去延长你的送食料
[00526.42-00527.42] 对不对
[00527.42-00528.42] 或者是在这个过程当中
[00528.42-00529.42] 把那一万块钱掉回来
[00529.42-00531.42] 但是你看你过去三年
[00531.42-00533.42] 你躺在全力上呼呼睡大觉
[00533.42-00534.42] 你这样呼呼睡觉就会这样
[00534.42-00536.42] 你不开耳去去一万块钱而已
[00536.42-00537.42] 那这种情况是想不好意思
[00537.42-00539.42] 法律不包括你
[00539.42-00540.42] 没卖了吧
[00540.42-00541.42] 所以在这里面你看
[00541.42-00543.42] 他送食料普通送食料即现实
[00543.42-00544.42] 三年
[00544.42-00545.14] 这里一定要知道
[00545.14-00546.46] 那它的旗算期间是
[00546.86-00548.02] 知道或者是阴囊
[00548.02-00549.46] 知道全力送送还支持
[00549.46-00549.98] 开始
[00550.82-00552.02] 所以这是我们所说的
[00552.02-00553.38] 万语第一个普通
[00553.38-00554.18] 送送十校
[00554.18-00554.90] 以后在这里
[00554.90-00556.74] 你想有送十校的抗变
[00556.74-00558.58] 那这是第一个普通送十校
[00558.58-00560.18] 那普通送十校
[00560.18-00560.98] 这是第一个
[00560.98-00561.78] 那有普通
[00561.78-00562.90] 它其实就有例外
[00562.90-00563.94] 这个例外送十校
[00563.94-00565.14] 一般情况之下
[00565.14-00566.18] 它不会考了
[00566.50-00567.62] 我们所说的特别难
[00567.62-00568.26] 你就知道
[00568.26-00569.06] 不能叫例外
[00569.06-00570.50] 看有特殊的送十校
[00570.50-00571.86] 特殊的送十校
[00571.86-00572.98] 我简单写
[00572.98-00578.58] 特殊的宿送十小 他的宿送十小 七 二十四年
[00578.58-00581.58] 这个四年是从什么时候开始算的
[00581.58-00583.58] 有两种情况 第一种是四年
[00583.58-00587.98] 这个四年是国际 乎乌乌买买河痛和技术金处会合同
[00587.98-00591.78] 你就写上国际 货物
[00593.38-00594.78] 买买河痛
[00595.38-00599.18] 或者是我们所说的 技术金处口
[00599.18-00604.18] 技术近出口它的账云和统
[00604.18-00606.78] 它的期限是多少 它的期限是4年
[00606.78-00609.08] 特术期限除了有4年的5年
[00609.08-00611.08] 5年的就是什么 人受保陷的
[00611.08-00614.78] 被保陷人或者受一人像保陷人请求支付保陷金的宿舍时效
[00614.78-00616.78] 有时大家经常会买受限 对吧
[00616.78-00621.58] 这个宿舷被保陷人 它其实有请求保陷公司支付
[00621.58-00624.38] 我们所说的保陷金的这样的一个权利
[00624.38-00626.30] 如果他不知负的话就可以
[00626.30-00629.94] 在五年之内,想法院起诉,要求抢制之想,对吧
[00629.94-00633.02] 这个时候就是我们所说的人受保险
[00638.22-00639.50] 那怎么记这个时间呢?
[00639.50-00643.42] 大家就知道,宋宋实现是3453普通4
[00643.42-00647.18] 我们所说的国际记住,然后五就是人受,就是345
[00647.18-00648.18] 然后怎么样呢?
[00648.18-00650.50] 就是普国既然
[00650.50-00654.46] 那35 普國既人
[00654.46-00657.90] 那3代表的是普通45代表的是國際
[00657.90-00659.50] 55代表的是人手
[00659.50-00661.50] 你就簡單進35 普國既人
[00661.50-00663.30] 但是一般比較長好的是
[00663.30-00665.78] 普通送室校3年大助一下
[00665.78-00667.90] 這是第一個普通送室校
[00667.90-00670.06] 那這是第一個點大家知道
[00670.06-00672.02] 這數字是要的起算
[00672.02-00674.30] 那我說了法律會不會無限制
[00674.30-00676.10] 保護你到永遠呢
[00676.10-00677.90] 我們剛才說了其實不會的
[00677.90-00679.30] 也就是剛才我們提到說
[00679.30-00681.34] 你如果你一开始推出行权的话
[00681.34-00683.14] 你就可以诉讼实际上中断
[00683.14-00685.78] 那宋使要中断他会无限的延长下去呢
[00685.78-00687.50] 其实不会无限的延长下去
[00687.50-00689.78] 宋使效的最长保护期限是多少呢
[00689.78-00693.06] 宋使效的最长期限疼不坏下是20年
[00693.06-00696.66] 那他的起算是自己权力受到損害之企业
[00696.66-00697.94] 开始计算
[00697.94-00700.18] 有些刚才我们在这里能看到啊
[00700.18-00702.86] 在2024年10月11号这一天
[00702.86-00704.38] 我不还你钱对吧
[00704.38-00706.18] 这时候你的权力受到侵害
[00706.18-00708.42] 那法律最长保护的当时间呢
[00708.42-00710.30] 我不能说在三年孙十要期
[00710.30-00713.60] 我一月行权孙十要就中断和重新起算
[00713.60-00714.84] 一行权 对吧
[00714.84-00716.58] 什么要行权就吹出他方法
[00716.58-00718.14] 你吹出他方法你可以给他打电话
[00718.14-00719.18] 你留有证据
[00719.18-00720.18] 或者你给他发
[00720.18-00721.88] 微信发微信的就是A
[00721.88-00722.84] 最近干嘛呢
[00722.84-00724.10] 生活过得好不好
[00724.10-00724.64] 你看
[00724.64-00725.38] 你在嘛
[00725.38-00726.34] 这儿商量份
[00726.34-00727.18] 在嘛
[00727.18-00727.94] 干嘛呢
[00727.94-00728.58] 好不好
[00728.58-00729.74] 家人身体好嘛
[00729.74-00730.82] 然后再跟他说
[00730.82-00731.94] 阿米哈我之前问
[00731.94-00733.32] 借给你的那一万块钱
[00733.32-00734.92] 你看你什么时候方便还给我
[00734.92-00736.36] 你看你留有这个底
[00736.36-00737.88] 你如果有这样的一个文字
[00737.88-00739.68] 说明的话就意味着你已经开始怎么样
[00739.68-00740.64] 吹速兴趣了
[00740.64-00742.68] 你吹个情绪的宿舍校就中断
[00742.68-00744.28] 或者遇到特主情况
[00744.28-00745.80] 宿舍校有可能怎么样
[00745.80-00746.92] 重新开击算
[00746.92-00748.64] 那他中断了这种情况之下
[00748.64-00749.92] 能不能说他一中断
[00749.92-00751.80] 然后在重新开再继续
[00751.80-00753.28] 击算或重新开击算说
[00753.28-00755.56] 他的这个时间是不是会无限延长下去
[00755.56-00759.12] 那法律会不会让你这个宿舍校期限无限延长的
[00759.12-00759.60] 不会
[00759.60-00761.68] 所以在这里他就给你规定了一个什么
[00761.68-00763.16] 最长期限20年
[00763.16-00764.24] 有谁在这里面
[00764.24-00767.12] 2024年10月11号这天开始
[00767.12-00767.64] 对吧
[00767.64-00770.78] 一直到20年至2044年至最常保护器
[00770.78-00772.24] 那这个时候我们说了
[00772.24-00774.68] 全力受到損害之籍还是要起算
[00774.68-00776.80] 一直算到2044年
[00776.80-00778.00] 那这种情况之下
[00778.00-00778.96] 你的什么
[00778.96-00780.28] 你如果不行全的话
[00780.28-00782.76] 那这种情况之下也没有办法了
[00782.76-00784.76] 如果是他和刚才无所说的
[00784.76-00787.36] 知道或应当知道的这种普通做事要起算
[00787.36-00788.32] 有什么不一样的
[00788.32-00789.36] 不一样就在于啊
[00789.36-00791.00] 这个普通做事是要的起算
[00791.00-00793.12] 其实你知道了你的全力受到亲爱
[00793.12-00794.84] 但是有的人他的全力受到亲爱
[00794.84-00795.68] 他是什么样
[00795.68-00796.32] 不知道的
[00796.32-00799.00] 在他不知道的情况之下法律最长保护他多少年
[00799.00-00799.80] 20年
[00799.80-00800.80] 最长保护他20年
[00800.80-00802.68] 所以在这里这个20大就知道
[00802.68-00806.16] 他是最长诉讼实校的时期就可以了
[00806.16-00807.56] 最长诉讼实校的时期
[00807.56-00808.24] 打药注意
[00808.24-00810.08] 这是诉讼实校
[00810.08-00810.96] 这是第二个
[00810.96-00812.28] 所以在这里面的重点
[00812.28-00813.76] 大家注意一下普通诉讼实校
[00813.76-00815.00] 他的一个起算
[00815.00-00815.78] 以及
[00815.78-00817.44] 诉讼期间一旦过了的话
[00817.44-00818.80] 他想有什么样的权力
[00818.80-00820.40] 就是诉讼实校抗变
[00820.40-00823.16] 然后其他的两个就借时间就行了
[00823.16-00824.22] 这是我们所说的
[00824.22-00827.04] 宋容十校的期间送十二期间
[00827.04-00829.92] 宋容十校它的一个起算规则怎么起算呢
[00829.92-00833.62] 它这里面有一些比较特殊的宋容十校起算的这样算法
[00833.62-00834.62] 实在第一个呢
[00834.62-00838.22] 它说当时人冤定同意债务分析旅行的
[00838.22-00840.42] 比如说分析富款的合同
[00840.42-00841.62] 对吧
[00841.62-00843.42] 你买房 按机 分析富款
[00843.42-00845.22] 但是分析富款的合同
[00845.22-00848.72] 或分析旅行的宋容十校从什么时候开算
[00848.72-00851.34] 从最后一起旅行期限
[00851.34-00852.74] 借满之日開算
[00852.74-00854.30] 比如說問你借了一萬塊錢
[00854.30-00856.46] 我分17萬給你
[00856.46-00857.34] 那這個時候
[00857.34-00858.58] 你到訴訟實校
[00858.58-00859.62] 從什麼時候起算呢
[00859.62-00861.58] 是不是從我還這樣你第一筆錢
[00861.58-00862.86] 那一天開啟算不是
[00862.86-00864.54] 是還最後一筆錢
[00864.54-00865.74] 我應該還你最後一筆錢
[00865.74-00866.70] 到我沒還
[00866.70-00868.10] 從最後一筆錢
[00868.10-00869.86] 旅行七線借满之日起
[00869.86-00870.34] 開始了
[00870.34-00871.74] 計算這分七的
[00871.74-00872.58] 那下面這個呢
[00872.58-00873.18] 大家注意一下
[00873.18-00873.74] 如果說
[00873.74-00875.62] 未成年人遭受到信心害
[00875.62-00876.38] 這也是為什麼
[00876.38-00877.26] 侵權了
[00877.26-00879.46] 如果說未成年人遭到信心害
[00879.46-00881.62] 那就时候他有赔常全球选
[00881.62-00884.22] 这个赔常全球选一直爆流到什么时候呢
[00884.22-00886.26] 爆流到他18周岁
[00886.26-00887.02] 知识起
[00887.02-00889.10] 这个诉讼时效才开始怎么办
[00889.10-00890.22] 才开始
[00890.22-00891.70] 起算 才开始起算
[00891.70-00892.50] 所以大家注意一下
[00892.50-00894.62] 这两个起算的时间节点
[00894.62-00897.10] 他相对来说是在考上中标常见的
[00897.10-00898.30] 大家要注意一下
[00898.30-00900.30] 有关于未成年人造续新亲爱的
[00900.30-00901.50] 让那个案例
[00901.50-00903.06] 我们其实是经常会在
[00903.06-00904.90] 有时剧作品当中能够看到
[00904.90-00906.38] 当然在现实生活当中
[00906.38-00908.30] 也有对完的碰到中人
[00908.30-00909.98] 那真的是脸处成都不如
[00909.98-00912.06] 那你看像这种对小孩子造成
[00912.06-00913.78] 心里相用的伤害的
[00913.78-00915.74] 能不能说当这个小孩子
[00915.74-00916.42] 这个未成年人
[00916.42-00917.74] 他受到亲爱之际
[00917.74-00919.58] 然后法院就追着他让他寻选
[00919.58-00921.10] 或者是国家宫区的机关
[00921.10-00922.14] 就追上的寻选
[00922.14-00924.46] 不可能为什么不利于他的身体健康
[00924.46-00925.46] 一个未成年人
[00925.46-00927.90] 他其实身心本来就还没有
[00927.90-00929.78] 树立非常强大的这样的一个
[00929.78-00931.42] 我们所说的自我的这种防禦
[00931.42-00932.34] 和保护机制
[00932.34-00935.06] 这就是相当于他的伤发和人生愿意
[00935.06-00936.26] 你吹吐他行钱
[00936.26-00937.58] 其实就是变相的算是吗
[00937.58-00940.10] 在街上在街上的商拔和商口
[00940.10-00941.86] 不利于这个小孩的深星健康
[00941.86-00943.22] 你要等到什么时候呢
[00943.22-00946.26] 他受到亲爱的这个水害配上请求权
[00946.26-00948.42] 你要等等他长大了之后
[00948.42-00949.42] 让他再去请权
[00949.42-00952.58] 也就是比如说他在12岁的时候受到了亲爱
[00952.58-00954.58] 那这个时候中间停6年
[00954.58-00958.22] 从他18岁生日满了第二天开始
[00958.22-00959.50] 计算他的肃同时效
[00959.50-00961.06] 这是对他的一种保护机制
[00961.06-00963.18] 所以这个相对来说会比较特殊
[00963.18-00964.22] 所以大家注意一下
[00964.22-00967.70] 这是它的一个特殊的体算规则,特殊权规则
[00967.70-00971.26] 这个就是数送十校期间,它的一个期算时间
[00971.26-00977.10] 这是第一个我们知道了,数送十校,它的一个期间的整体情况
[00977.10-00978.18] 期间整体情况
[00978.18-00982.14] 我们说了数送十校,它不会一直走下去
[00982.14-00985.98] 数十校,5说了,它有三年,有四年,有五年,最长二十年
[00985.98-00990.34] 数都十校,或者说什么那些因素会影响到数送十校
[00990.34-00992.14] 这里面就会睡到另外几个问题
[00992.14-00993.54] 就叫做诉讼实效的
[00993.54-00996.54] 终止或者叫做诉讼实效的中断
[00996.54-00998.54] 神叫做诉讼实效的终止
[00998.54-01000.14] 你看一下书上有一句话
[01000.14-01002.34] 它是诉讼实效的终止
[01002.34-01003.24] 是指
[01003.24-01005.54] 诉讼实效进行期间的
[01005.74-01007.24] 最后六个元内
[01007.24-01010.34] 由于某种法定失有的出现
[01010.34-01013.54] 而暂停诉讼实效的进行
[01013.54-01014.74] 这个就叫做
[01014.74-01016.24] 诉讼实效的终止
[01016.24-01017.34] 终止就是什么
[01017.34-01018.74] 本来这个诉讼实效
[01018.74-01022.90] 按照时间一直还缓的往前流涂
[01022.90-01025.86] 因为我们假设还是一刚才的借款案例为利
[01026.86-01028.34] 还是一刚才的借款案例为利
[01028.34-01029.82] 我在前面换不醒
[01029.82-01030.82] 我在这儿再换一个吧
[01030.82-01032.54] 要往前分比较费进
[01032.54-01034.02] 咱们还以刚才那个为利
[01034.02-01037.62] 假设2023年的10月11号我穿借钱
[01037.62-01041.54] 然后借款期限约定为借款期
[01042.26-01044.94] 借款期限约定为1年
[01044.94-01050.06] 也就是到2023年的24年的10月11号
[01050.06-01052.14] 然后在这一天开始我没有还你钱
[01052.14-01054.34] 是不是你的权力开始受到侵害了
[01054.34-01057.26] 那你的权力受到侵害这一天开始
[01057.26-01059.02] 是不是开始起算速度实效
[01059.02-01060.10] 起算多少时间呢
[01060.10-01063.58] 起算三年也就是到2027年的10月11号
[01063.58-01067.02] 那这个呢是3年的速度实效期间
[01068.54-01070.98] 如果超过3年从10月12号开始
[01070.98-01073.38] 你的债就成为了自然之债
[01073.38-01076.58] 我们说了自然之在善失了强制之情的权力
[01076.58-01079.18] 这个时候你就想有诉讼实销的抗变
[01079.18-01081.38] 也就是他让你强制环坛的说明说
[01081.38-01082.38] 你咋不早要呢
[01082.38-01083.78] 一中过了诉讽销了
[01083.78-01085.78] 这个时候打住一下
[01085.78-01088.18] 当然我不喜欢大家成为这样的人
[01088.18-01089.78] 所以在这里我们来看一下
[01089.78-01091.18] 什么叫做宗纸呢
[01091.18-01094.18] 正常请问之下从这一天开始
[01094.18-01096.78] 诉讼实销是不是随着分真秒针
[01096.78-01098.38] 不挺到环环的流涛
[01098.38-01100.58] 这是环环的向前不挺的流动
[01100.58-01102.18] 那流动到什么情况呢
[01102.18-01103.18] 流动到你看
[01103.18-01103.98] 说
[01103.98-01107.10] 速送十小进行期限的最后六个月内
[01107.10-01110.82] 也就是马上就要到2027年10月11号了
[01110.82-01113.18] 也就是2027年10月11号往前数
[01113.18-01117.98] 六个月那应该是2027年的4月11号
[01117.98-01123.50] 那你看 从4月11号开始到2027年的10月11号
[01123.50-01125.38] 这中间是吧 还有六个月的时间
[01125.38-01126.82] 他们来看一下 对吧
[01126.82-01128.30] 那这六个月的时间
