[00000.00-00003.06] 好了 那我们接着来往下看
[00003.06-00004.80] 咱们先做一个減转的回顾
[00176.04-00177.08] 所以在解放战争
[00177.08-00178.92] 咱们就会快速地给同一圈
[00178.92-00179.96] 讲清楚
[00179.96-00181.00] 考点讲出来就行了
[00181.00-00183.56] 不会像土地革命和全面抗战
[00183.56-00184.44] 讲得这么细
[00184.44-00186.44] 因为他本身的考察性
[00186.44-00188.44] 就比前面的要弱很多了
[00188.44-00190.44] 然后我们就进入到最后一个时期
[00190.44-00192.68] 就心里日主一个命的作语时期
[00192.68-00194.12] 解放战争实际
[00194.12-00196.44] 那么来看一下这解放战争实际
[00196.44-00199.16] 他在正式打想解放战争之前
[00199.16-00201.88] 其实是有一个核病谈判在的
[00201.88-00202.20] 对吧
[00202.20-00204.92] 这个就被称为了做重庆谈判
[00204.92-00205.64] 这个点呢
[00205.64-00207.24] 其实我们前面说的
[00207.24-00208.92] 就抗战勢力之后
[00208.92-00211.32] 其实当时打还不打
[00211.32-00214.36] 他其实是一个必须要去讨论的一个问题
[00214.36-00215.32] 因为大家都知道
[00215.32-00217.48] 中国其实已经打了很多年了
[00217.48-00219.24] 如果严格亿上来讲的话
[00219.24-00220.28] 是从1840年
[00220.28-00221.80] 我们就开始分析放抗
[00221.80-00223.72] 日达到1945年
[00223.72-00225.00] 就将近100年的时间
[00225.00-00227.00] 中国其实一直处在相当来说
[00227.00-00228.76] 国力率若民生的要必
[00228.76-00230.68] 百姓努力失所的战那个情况
[00230.68-00233.00] 所以好不容易把外部问题都解决了
[00233.00-00234.60] 能尽量地不打就不打
[00234.60-00236.44] 而同时在扣人战争当中
[00236.44-00238.36] 其实随时也非常的严重
[00238.36-00240.76] 整个扣人战争的直接经济損失
[00240.76-00243.32] 同时们五千多亿美元
[00243.32-00245.16] 真的在当时来看数千多亿美元
[00245.16-00246.52] 这个钱不继续说
[00246.52-00247.72] 死亡人数
[00247.72-00249.40] 一千八百个多万人
[00249.40-00251.64] 所以在整个扣人战争当中
[00251.64-00253.32] 整个打完了扣人战争
[00253.32-00255.72] 真的是后见了中国很多的
[00255.72-00257.32] 我们所说的这样的一个国力
[00257.32-00259.96] 后见了很多中国的这样的一个
[00259.96-00261.08] 新学也在好啊
[00261.08-00262.52] 经历好就浩了很多
[00262.52-00263.56] 所以接下来呢
[00263.56-00264.92] 其实尽可能的
[00264.92-00266.76] 最佳的选择就是能不打
[00266.76-00267.32] 就不打
[00267.32-00267.64] 对吧
[00267.64-00268.92] 孙子铯法当中还说呢
[00268.92-00269.88] 就冰者
[00269.88-00272.36] 国之大是死生之地
[00272.36-00274.12] 存亡之道不可不差
[00274.12-00275.48] 也只要是打仗
[00275.48-00276.84] 必须要甚至有身
[00276.84-00277.80] 所以这也是张氏
[00277.80-00279.56] 中国共产党的这样的一个考量
[00279.56-00280.20] 所以尽量呢
[00280.20-00282.36] 我们想一想能不能去合联见过
[00282.36-00285.08] 所以当时在扣人战争结束之后呢
[00285.96-00287.08] 我们就接受了
[00287.08-00289.16] 讲解使他的这样的一个邀请
[00289.16-00292.20] 中国共产党就和国民党去进行了一个谈判
[00292.20-00294.04] 这个谈判就被称入了一叫做
[00294.04-00295.16] 重庆谈判判
[00295.16-00296.52] 重庆谈判同们注意一下
[00296.52-00299.16] 是1945年10月10日
[00299.16-00300.92] 我们所说的重庆谈判结束
[00300.92-00302.44] 你看他说上怎么说的说
[00302.44-00303.80] 建设大级
[00303.80-00305.16] 什么发展前途
[00305.16-00307.56] 在重庆进行的一次历史性的会谈
[00307.56-00307.96] 对吧
[00307.96-00309.40] 经过43天谈判
[00309.40-00311.08] 双方达成了一个机药
[00311.08-00312.76] 同把这个机药标出来了
[00312.76-00314.76] 在重庆谈判当中达成了一个机药
[00314.76-00317.64] 叫做政府与中文代表会谈机药
[00317.64-00320.28] 我们一把他称就为了叫做双实写定
[00320.28-00322.04] 这个双实写定的主要就是说
[00322.04-00323.24] 如何去
[00323.24-00326.20] 和平地去讨论两党共同建国的这样的一个问题
[00326.20-00327.16] 但是大约也都知道
[00327.16-00328.92] 这个双实写定也好
[00328.92-00330.28] 这个重庆谈谈那一号
[00330.28-00331.56] 他只不过是
[00331.56-00333.88] 讲解使他打出的一个谎子
[00333.88-00334.12] 对吧
[00334.12-00336.44] 讲解使他其实是想发动内战的
[00336.44-00337.40] 就是他想
[00337.40-00338.36] 他想做
[00338.36-00340.92] 我们所说的这个专政的这样的一个政党
[00340.92-00343.16] 但是由于他的准备时间不足
[00343.16-00345.40] 所以他才搞了这个重庆谈谈
[00345.40-00347.64] 是给自己争取了这样的一个时间对吧
[00347.64-00350.28] 当他自己已经开始纯被的差不多了之后
[00350.28-00351.40] 讲解使就怎么样
[00351.40-00354.52] 讲解使就思毁了双实写定
[00354.52-00355.96] 思毁双实写定之后
[00355.96-00357.32] 内战就开始爆发了
[00357.32-00358.84] 其实在谈判期间的时候
[00358.84-00361.16] 其实冲突就有冲突不断
[00361.16-00362.20] 所以在这种情况之下
[00362.20-00363.80] 讲解使思毁双实写定
[00363.80-00365.16] 全面内战爆发
[00365.16-00366.44] 也是解放战争打响
[00366.44-00368.44] 那解放战争也分成三个解断
[00368.44-00371.00] 第一个解断就是战略防御战断
[00371.00-00375.08] 战略防御战断是1949年6月到1947年3月
[00375.08-00378.92] 我们来看一下在战略防御战断内战爆发的一个标志是什么
[00379.48-00380.52] 同时来看一下
[00380.52-00383.40] 说讲解使思毁双实写定和停车协议
[00383.40-00387.16] 华下后面就一会儿就大局进攻中原解放区
[00387.16-00389.16] 然后说对中原解放区
[00389.16-00391.48] 以他为七点发动了对解放区的什么
[00391.48-00392.20] 全面警告
[00392.20-00394.60] 就是我们所说的大局进攻中原解放区
[00394.60-00396.28] 这时候就标志着什么
[00396.28-00397.40] 内战爆发
[00397.40-00399.40] 所以在这里同们只需要记一个点
[00399.40-00401.32] 这内战爆发的标志是什么
[00401.32-00403.72] 就是进攻中原解放区
[00403.72-00404.92] 进攻中原解放区
[00404.92-00406.60] 所以在这里大家要注意一下
[00406.60-00409.40] 这是我们所说的内战爆发的一个标志
[00409.40-00410.44] 大家要注意
[00410.44-00411.88] 那内战爆发之后呢
[00411.88-00415.32] 这是我们需要在这里需要给大家去掌握的
[00415.32-00417.16] 那在内战爆发之后
[00417.16-00418.20] 其实华东的确
[00418.20-00421.32] 一直是整个内战的一个主任场
[00421.32-00423.00] 在内战主任场当中
[00423.00-00424.84] 主要就是在我们所说的山东
[00424.84-00426.84] 因为我们后面还会要给大家去讲到
[00426.84-00429.32] 这是第一个叫战略防御解断
[00429.32-00431.80] 第二个就是战略反攻解断
[00431.80-00433.24] 战略反攻解断的时间
[00433.24-00436.44] 是在1947年的3月到1948年的9月
[00436.44-00437.80] 战略反攻解断
[00437.80-00439.24] 就是在这个战断当中
[00439.24-00441.48] 国民党已经不在全面的
[00441.48-00442.52] 我们所说的进攻了
[00442.52-00444.36] 而在国民党这有时候就有了什么
[00444.36-00445.32] 重点进攻
[00445.32-00447.08] 所以在这里面同一来看一下
[00447.08-00448.92] 在战略防御解断的国民党
[00448.92-00452.76] 它实行的是重点进攻战略
[00452.76-00453.80] 那重点进攻战略
[00453.80-00454.92] 主要重点进攻在哪
[00454.92-00456.28] 主要进攻在两个地方
[00456.28-00459.40] 一个是山东一个就是我们所说的山北地区
[00459.40-00460.92] 咱们刚才说了
[00460.92-00464.92] 山东它其实一直是华东地区的主战场
[00464.92-00467.96] 所以在这里它的重点进攻主要是进攻我们所说的
[00467.96-00471.24] 山东以及山北这两个地区
[00471.24-00472.52] 山东和山北这两地区
[00472.52-00473.32] 大家就一下
[00473.32-00475.56] 就是国民党它的进攻战略调整
[00475.56-00477.32] 那在整个战略反攻解断
[00477.32-00479.32] 是在国民党它就进攻
[00479.32-00480.28] 山东和山北地区
[00480.28-00481.88] 我们是如何粉碎
[00481.88-00483.32] 他们的战略协进攻
[00483.32-00485.16] 在这样的一个战略反攻阶段
[00485.16-00486.68] 其实是粉碎国民党的
[00486.68-00488.92] 这样我们所说的这种
[00488.92-00490.92] 进攻有一些重要的战略
[00490.92-00491.96] 这些重要的战略
[00491.96-00493.16] 同一来注意一下
[00493.16-00494.76] 第一个同一话一下
[00494.76-00495.80] 就是粉碎
[00495.80-00498.92] 文明党对解放山东解放去的主点战工
[00498.92-00501.72] 大家注意一下把这个山东画出来
[00501.72-00503.80] 这里面主要强定的是一个战略
[00503.80-00505.40] 同一话它标注在旁边
[00505.40-00507.40] 这个战略就是我们所说的
[00507.40-00508.76] 梦两顾战略
[00508.76-00509.80] 这梦两顾战略
[00509.80-00511.80] 所以梦两顾战略是粉碎
[00512.28-00514.76] 对山东解放去重点进攻的一个
[00514.76-00516.04] 非常重要的一个战略
[00516.04-00518.12] 主要是因为什么的主要是因为当时
[00518.12-00519.64] 在进行战略反攻阶段
[00519.64-00521.32] 在这个战略的时候
[00521.32-00523.00] 在整个战略当中
[00523.00-00524.92] 我们所说的山东
[00524.92-00526.12] 就是它在攻打山东
[00526.12-00527.16] 国民党攻打山东的时候
[00527.16-00528.76] 就先入到了一个将军当中
[00528.76-00529.96] 当时是汤博
[00529.96-00531.32] 它急于立功逃上
[00531.32-00533.16] 对我们所说的这些地区
[00533.16-00534.76] 发动了梦染进攻
[00534.76-00537.08] 然后只会滑动野战军
[00537.08-00538.44] 然后就开始去打
[00538.44-00541.72] 当时它的那个有一个在这个
[00541.72-00543.48] 它的这个国民党的军队当中
[00543.48-00545.24] 有一个74时
[00545.24-00546.28] 我不知道大家有没有听过
[00546.28-00547.72] 这个74时
[00547.72-00550.52] 当时可以说是国民党内部非常经历的一个部队
[00550.52-00552.44] 就是全美装备
[00552.44-00554.04] 然后做战很梦
[00554.04-00555.08] 机动性很强
[00555.08-00557.00] 就是我们所说的这样的一个情况
[00557.00-00558.92] 而当时市长是谁
[00558.92-00560.52] 市长是张林府
[00560.52-00561.44] 张林府是谁呢
[00561.44-00563.24] 张林府是讲解时的亲信
[00563.24-00565.16] 但当时张林府
[00565.16-00566.28] 所以讲解时的亲信
[00566.28-00569.08] 然后他和那个他弹国一块一样
[00569.08-00570.76] 就是想赶快
[00570.76-00571.72] 供下来之后
[00571.72-00572.44] 然后立功
[00572.44-00573.48] 然后逃上 对吧
[00573.48-00574.92] 所以他在打上这过程当中
[00574.92-00575.72] 就容易怎么样了
[00575.72-00576.52] 清敌了
[00576.52-00577.80] 所以在清敌当中
[00577.80-00578.84] 我军
[00578.84-00579.64] 就是中国共产党
[00579.64-00580.52] 领导下的军队
[00580.52-00582.68] 就开始集中兵力来对抗
[00582.68-00584.36] 我们所说的这个74时
[00584.36-00585.48] 因为当时说了
[00585.48-00586.60] 富贵显中球
[00586.60-00587.40] 对吧
[00587.80-00590.84] 所以野战全现进行进攻74时
[00590.84-00592.92] 就在梦染固这个地方
[00592.92-00594.20] 就被合围了
[00594.20-00595.80] 也是被人包了脚子了
[00595.80-00597.00] 讲解时一看对吧
[00597.00-00598.60] 自以最精督的这个部队
[00598.60-00600.36] 就是最先进的状辈
[00600.36-00601.24] 都在这个地方
[00601.24-00602.84] 而自己的亲信也在这
[00602.84-00605.96] 所以讲解时当时派了493架飞机
[00605.96-00606.84] 就是在空袁
[00606.84-00608.12] 掃射这个地方
[00608.12-00609.08] 无计于是
[00609.08-00610.12] 所以当时
[00610.12-00611.56] 这是我们所说的
[00611.56-00613.88] 我们发动的梦染固这个战仰
[00613.88-00615.48] 就是哪怕是飞机
[00615.48-00616.44] 来进行掃射
[00616.44-00617.96] 都没有什么太大的作用
[00617.96-00618.76] 华东野战军
[00618.76-00620.92] 当时是以外人对国民党的
[00620.92-00622.60] 三万人取得了胜利
[00622.60-00623.72] 那这个就是我们所说的
[00623.72-00625.32] 这个梦染固战仰
[00625.32-00626.12] 大家注意一下
[00626.12-00626.84] 所以在这里面
[00626.84-00627.96] 它经常会考察到
[00627.96-00628.44] 这个点
[00628.44-00629.32] 它在考察的时候
[00629.32-00631.72] 一方面是四岁单位的时候会考察
[00631.72-00634.52] 另一方面就是山东岁单位考察
[00634.52-00635.08] 一定要注意
[00635.08-00636.68] 它会结合咱们当地的胜性
[00636.68-00637.96] 咱们在整个抗战当中
[00637.96-00639.08] 如果有山东的小伙伴
[00639.08-00639.88] 大家一定要注意
[00639.88-00642.28] 咱们在整个抗战
[00642.28-00644.12] 我人当中讲到和山东有关的
[00644.12-00645.16] 事情
[00645.16-00645.96] 其实是不少
[00645.96-00647.56] 对吧前面咱们讲了一个台上
[00647.56-00648.36] 说
[00648.36-00649.80] 还讲到了那个灵影
[00649.80-00650.60] 然后这个地方
[00650.60-00651.88] 咱们又讲到了梦染固
[00651.88-00652.84] 它如果放在胜性
[00652.84-00654.36] 大家一定要注意
[00654.36-00656.36] 这是我们所说的有关于
[00656.36-00658.20] 第一个就是山东
[00658.20-00659.80] 解放去重点经工作粉碎
[00659.80-00661.08] 梦染固战仰
[00661.08-00663.08] 第二个就是在这里面
[00663.08-00665.88] 就是正式开启战略反攻阶段
[00665.88-00667.88] 就是流灯大军签理
[00667.88-00669.32] 挺接大别身
[00669.32-00670.52] 所以同时把这个地方
[00670.52-00671.48] 就给它标出了
[00671.48-00672.76] 就是流灯大军签理
[00672.76-00673.80] 挺接大别身
[00673.80-00676.60] 它是我们所说的战略反攻阶段
[00676.60-00678.04] 正式拉开虚目
[00678.04-00679.48] 把这两个点去的记住
[00679.48-00681.00] 这个地方主要考察
[00681.00-00682.20] 没有太多的细节
[00682.20-00684.68] 主要就是考察世界和意义的对应
[00684.68-00687.40] 这是我们所说的战略反攻阶段
[00687.40-00689.96] 第三个阶段就是战略绝战阶段
[00689.96-00691.96] 战略绝战阶段就是最后有结段了
[00691.96-00693.72] 可以说是三局地震负
[00693.72-00695.48] 那战略战略战阶段这三局
[00695.48-00697.48] 也就是我们常说的三大战略
[00697.48-00699.96] 那我们所说的绝战阶段
[00699.96-00701.16] 它拉开虚目是什么
[00701.16-00702.28] 同时标准一下
[00702.28-00704.28] 绝战阶段拉开虚目的战略是
[00704.28-00705.48] 技南战略
[00705.48-00706.92] 同时把它标出来了
[00707.64-00710.36] 技南战略是绝战阶段的开始
[00710.36-00711.64] 绝战阶段的开始
[00711.64-00712.80] 在考试当中
[00712.80-00713.56] 考量个点
[00713.56-00715.64] 第一个就是技南战略的意义
[00715.64-00718.52] 大家知道是拉开了绝战阶段的虚目
[00718.52-00720.84] 第二个就是考察对应
[00720.84-00723.32] 对于技南战略它的一个形容
[00723.32-00724.44] 在这里没有一句话叫
[00724.44-00726.04] 今日习近战略
[00726.04-00728.20] 究竟全程活着
[00728.20-00728.92] 网要物
[00728.92-00731.96] 在这里全程全程是哪
[00731.96-00732.68] 山东的小伙伴
[00732.68-00733.72] 第一个一个动了
[00733.72-00734.84] 就是技南
[00734.84-00736.52] 它考试的时候就会把这个
[00736.52-00738.60] 适歌拿出来拿出来之后
[00738.60-00739.64] 然后问
[00739.64-00741.40] 和这个适歌和战略
[00741.40-00742.04] 对应正确的
[00742.04-00743.32] 首先我们在做体的时候
[00743.32-00745.08] 会做到类似于这样的体制
[00745.08-00746.76] 它会考描述
[00746.76-00747.24] 和人
[00747.24-00748.36] 事件的对应
[00748.36-00749.56] 在这里大家要知道
[00749.56-00750.76] 技南战略全程
[00750.76-00752.36] 所以出现全程大家知道
[00752.36-00754.04] 对应的是这一场战略
[00754.04-00756.12] 那技南战略拉开了战略绝战
[00756.12-00757.32] 那三战定生復
[00757.32-00758.92] 那这三战分别就是
[00758.92-00759.80] 撩审战略
[00759.80-00760.44] 灌害战略
[00760.44-00761.24] 以及平均战略
[00761.24-00762.60] 我们把它称着为叫做
[00762.60-00763.80] 三大战略
[00763.80-00765.08] 那同学们首先第一个
[00765.08-00765.72] 标出一下
[00765.72-00766.76] 撩审战略
[00766.76-00770.28] 标审战略定动贝
[00770.28-00771.48] 所以在这里面
[00771.48-00773.00] 看一下标审战略的时间
[00773.00-00775.16] 1948年9月到11号
[00775.16-00776.12] 到11月
[00776.12-00777.08] 历史52天
[00777.08-00778.76] 坚滅国民党477点
[00778.76-00780.76] 二万人全境都到解放
[00780.76-00782.52] 所以标审定动贝
[00782.52-00783.48] 怎么形容呢
[00783.48-00784.12] 旁边注意一下
[00784.12-00785.64] 长征不是难开日
[00785.64-00787.24] 战级方为大问题
[00787.24-00788.20] 战级
[00790.20-00791.16] 战阳
[00791.16-00792.52] 就是战阳去了
[00792.52-00793.56] 标宁
[00793.56-00794.44] 不是战阳
[00794.44-00795.40] 标宁省
[00795.40-00795.96] 标宁省
[00795.96-00796.84] 所以在这里面
[00796.84-00798.52] 我们要知道战级紧周
[00798.52-00799.80] 那这里面只能是什么呢
[00799.80-00801.24] 聊省战略
[00801.24-00803.00] 这地方就考一个对应
[00803.00-00804.36] 这是第一个聊省战略
[00804.36-00806.20] 第二个就是怀害战略
[00806.20-00807.80] 怀害战略大助理下
[00807.80-00808.68] 怀害战略
[00808.68-00809.32] 在这里面
[00809.32-00811.16] 他说是长江一北的
[00811.16-00813.32] 华东中演地区得到解放
[00813.32-00813.88] 所以
[00813.88-00815.00] 怀害战略
[00815.00-00817.48] 解放华东和中演解放区
[00817.48-00818.28] 所以在这里
[00818.28-00819.56] 怀害战略同学标助一下
[00819.56-00821.88] 他说是解放军西声最重
[00821.88-00822.84] 标出来了
[00823.40-00824.84] 解放军西声最重
[00824.84-00826.04] 间谍数量最多
[00826.04-00827.24] 正的影响最大
[00827.24-00829.88] 战争要是最复甲的战略
[00829.88-00831.48] 所以间谍国民脑多人
[00831.48-00833.80] 55.5万人
[00833.80-00835.08] 所以在这里大家一则
[00835.08-00835.80] 注意下
[00835.80-00837.40] 历时65天
[00837.40-00838.60] 又说66天
[00838.60-00840.20] 当时中国共产脑头入
[00840.20-00841.08] 60万人
[00841.08-00842.28] 国民脑出兵
[00842.28-00843.08] 80万人
[00843.08-00844.60] 所以你看为什么叫做
[00844.60-00845.64] 我们所说的
[00847.56-00849.08] 解放军西声人数最多
[00849.08-00850.04] 间谍数量最多
[00850.04-00850.60] 原来就在这
[00850.60-00851.88] 就是因为头入的兵力
[00851.88-00853.48] 当时也特别大
[00853.48-00854.92] 所以在这里面大家注意下
[00854.92-00855.96] 而这个战亿
[00855.96-00856.68] 结婚是把
[00856.68-00857.80] 奖劫时的经历
[00857.80-00859.48] 部队全部都打光了
[00859.48-00860.12] 你看在这里
[00860.12-00861.80] 兼灭地均55.5万人
[00861.80-00863.08] 他一共投入了80万人
[00863.08-00864.84] 一万人以上都打没了
[00864.84-00865.64] 所以在这里面
[00865.64-00867.96] 叫解放军西声最重
[00867.96-00869.40] 间谍数量最多
[00869.40-00870.68] 这是我们所说的
[00870.68-00871.16] 叫做
[00871.16-00871.96] 灌害战亿
[00871.96-00872.28] 灌害战亿
[00872.28-00873.00] 大家注意下
[00873.00-00874.28] 第一个要知道他的意义
[00874.28-00875.88] 第二个大家应该看过
[00875.88-00876.68] 电视剧里面
[00876.68-00877.88] 其实有很多
[00877.88-00879.08] 演为灌害战亿的
[00879.08-00880.20] 所以在这里面
[00880.20-00880.84] 灌害战亿
[00880.84-00881.64] 当时也被称率
[00881.64-00882.68] 叫做用
[00882.68-00883.48] 要做出来
[00883.48-00884.60] 用小推车
[00887.32-00889.32] 用小推车推出来的战亿
[00893.88-00895.96] 用小推车推出来的战争
[00895.96-00897.48] 什么叫用小推车推出来战争
[00897.48-00898.28] 就是
[00898.28-00899.08] 周固工程党
[00899.08-00900.28] 机器领导下的军队
[00900.28-00901.88] 要在前线做战
[00901.88-00903.08] 在前线做战后方
[00903.08-00905.08] 就要给前线运送补济
[00905.08-00906.28] 怎么去运送补济
[00906.28-00908.20] 那真是居民意条件
[00908.20-00910.44] 前面在打后面老百姓推着小推车
[00910.44-00912.04] 就给我们所说的这个
[00912.68-00914.68] 中国共产党和他的军队
[00914.68-00915.88] 就开始去送补济
[00915.88-00916.76] 送两十
[00916.76-00917.64] 因为当时
[00917.64-00918.68] 我们都知道国民党
[00918.68-00919.32] 手里的两十
[00919.32-00921.24] 被我挚军强了
[00921.24-00921.48] 对吧
[00921.48-00922.04] 我们强完了
[00922.04-00924.04] 就他要拿这个两十怎么办
[00924.04-00925.24] 他就要再去强我们的
[00925.24-00926.76] 当时就是在空中
[00926.76-00928.04] 就飞机飞来飞去
[00928.04-00930.12] 真的就推着小推车
[00930.12-00931.16] 在往全线运东西的
[00931.16-00932.68] 就是炸弹就炸在旁边
[00932.68-00934.60] 当时在小说里面
[00934.60-00935.48] 其实还有
[00935.48-00938.28] 书上其实还有写到这样的一个场景
[00938.28-00941.08] 就是一个老父姐和他的儿子
[00941.08-00941.88] 一起推着车
[00941.88-00943.72] 就给前线去送补济
[00943.72-00945.16] 去送两十
[00945.16-00947.24] 国民党军队的飞机飞过
[00947.24-00948.44] 扔下炮弹之后
[00948.44-00950.12] 他眼睁人们看着自己的儿子
[00950.12-00951.64] 就炸死在他的旁边
[00951.64-00953.24] 实体都来不及买
[00953.24-00955.64] 擦干眼泪继续往前向去予奴显
[00955.64-00957.56] 那时候就是军民一条形
[00957.56-00958.52] 所以在这里叫做
[00958.52-00961.00] 用小推车推出来的战争
[00961.00-00961.88] 所以大家注意一下
[00961.88-00963.08] 这是我们所说的叫做
[00963.08-00963.96] 伯海战云
[00963.96-00965.88] 第三一个就是我们所说的
[00965.88-00966.92] 平均战云
[00966.92-00967.72] 平均战云
[00967.72-00969.16] 北平和平
[00969.16-00970.04] 解放
[00970.04-00971.80] 也就是北平天津张亚口
[00971.80-00973.40] 那这是我们所说的三大战云
[00973.40-00974.60] 三大战云同学们
[00974.60-00975.72] 大概的知道
[00975.72-00977.08] 他大概是什么情况
[00977.08-00977.96] 解放了哪儿
[00977.96-00979.40] 这三大战云当中的重点
[00979.40-00980.28] 就放在那儿呢
[00980.28-00982.04] 就放在平津战云
[00982.04-00983.40] 海海战云当中
[00983.40-00984.52] 放在海海战云当中
[00984.52-00985.96] 那这是三大战云
[00985.96-00986.92] 那三大战云
[00986.92-00987.96] 三局定胜负
[00987.96-00988.36] 对吧
[00988.36-00989.64] 那定完胜负之后
[00989.64-00990.04] 我们都知道
[00990.04-00991.32] 三大战云的几乎把
[00991.32-00993.16] 讲究是所有的经质部队打光了
[00993.16-00994.04] 那最后怎么办
[00994.04-00995.08] 最后搞决战
[00995.08-00995.96] 那最后搞决战
[00995.96-00997.96] 还有一个同们在旁边标注一下
[00997.96-00999.64] 就是决定胜负的战云
[00999.64-01001.00] 那就是杜江战云
[01002.04-01003.56] 我们就在这讲了
[01003.56-01005.08] 就叫做杜江战云
[01005.08-01007.08] 杜江战云是最后一战
[01007.08-01008.28] 杜江战云最后一战
[01008.28-01009.16] 杜江战云
[01009.16-01012.28] 我们称略叫用小传
[01014.68-01015.72] 滑出来的
[01018.68-01019.32] 战云
[01020.36-01021.16] 杜江
[01021.16-01022.04] 同们注意
[01022.04-01022.92] 最后一战
[01022.92-01023.80] 决战胜负
[01023.80-01024.60] 杜江战云
[01024.60-01025.40] 用小传换
[01025.40-01026.84] 中央小传往
[01026.84-01027.80] 长江令人
[01027.80-01028.60] 运缩
[01028.60-01030.60] 解放军运缩物资
[01030.60-01031.96] 这个就是杜江战云
[01031.96-01033.32] 但应该还记得
[01033.32-01034.68] 我们所说的这个
[01035.72-01037.00] 那个我想想
[01037.00-01038.44] 中国的五章一部之前是
[01038.44-01040.12] 拍个给了一个七寻章
[01040.12-01040.52] 对吧
[01040.52-01041.64] 七寻章
[01042.20-01043.72] 搬给党内有修人员的
[01043.72-01045.00] 在七寻章的获得的
[01045.00-01045.88] 获得者当中
[01045.88-01047.16] 不知道大家有一个印象
[01047.16-01049.16] 就是有一个人
[01049.16-01050.68] 他叫做骂毛姐
[01050.68-01051.56] 这骂毛姐呢
[01051.56-01053.08] 就是七寻章的获得者
