[00000.00-00003.00] 那我们了解完了合通的解除呢
[00163.84-00166.32] 这个是我们在考试当中的一个重点
[00166.32-00167.36] 我们来看一下
[00167.36-00168.24] 首先第一个
[00168.24-00169.28] 就是委员金
[00169.28-00171.44] 每约金他说是当时人
[00172.16-00173.24] 在这之一下
[00173.24-00177.20] 他说是当时可以约定一方委约时根据为约情况下
[00177.20-00179.20] 另一方支付一定数项的
[00179.20-00179.92] 为约金就是
[00179.92-00182.96] 如果你没有旅行合同咱们提前越好你陪我点钱
[00182.96-00185.80] 也可以约定一约为约产生的损失
[00185.80-00187.48] 赔伤数项的集算方法
[00187.48-00189.36] 那我们都知道为约金是要给钱的嘛
[00189.36-00191.56] 我们这里的每约金主要强调的是什么
[00191.56-00193.08] 是赔伤性的
[00193.08-00193.92] 为约金
[00193.92-00196.04] 赔伤性为约金要么就是法律规定的
[00196.04-00197.36] 要么就是当时约定的
[00197.36-00198.56] 具体陪多少
[00198.56-00200.16] 这是一个问题
[00200.16-00200.64] 对不对
[00200.64-00201.96] 我们都关心这个维育金到
[00201.96-00202.88] 能够陪多少
[00202.88-00204.56] 这个数顿的计算方法
[00204.56-00205.72] 是一个比较重要的点
[00205.72-00206.84] 而考试的时候
[00206.84-00208.56] 也比较喜欢考维育金
[00208.56-00210.40] 它到底陪多少钱的问题
[00210.40-00211.72] 维育金它的赔承
[00211.72-00214.88] 其实它是可以进行司法调整的
[00214.88-00216.44] 维育金进了四二调整
[00216.44-00217.84] 它分三种情况
[00217.84-00220.72] 这三种情况需要同学们去记一下
[00221.68-00223.96] 当时如果维育金的话
[00223.96-00225.32] 维育金可以调高一点
[00225.32-00226.32] 可以调低一点
[00226.32-00229.14] 那这是可高可 过高 过低都是可调的
[00229.14-00232.72] 那他这三种情况是哪三种呢 同时标准一下 写上
[00232.72-00233.50] 圈一
[00233.50-00235.02] 第一种情况就是
[00235.02-00238.60] 你的这个维约金数是低于实际随时的
[00239.88-00241.94] 那是低于实际
[00241.94-00246.12] 損失的 咱们先把整个规则记下来 我再给大家举例子 这个小一号
[00246.12-00248.34] 不用说了吧 这低于实际随时的
[00248.34-00249.88] 那这个时候可以怎么办
[00249.88-00251.66] 这个时候如果低于实际随时
[00251.66-00254.22] 你就可以要求司法机构或重才机构
[00254.22-00257.04] 根据你的要求于怎么样,于也增加
[00257.04-00258.90] 我就简单给大家洗好不好
[00258.90-00262.48] 就是我用家号简号,然后上升会下降来
[00262.48-00262.98] 可以吧
[00262.98-00266.60] 如果是小意思,就随时的,那就可以怎么样,可以上条
[00269.22-00270.28] 可以上条
[00270.28-00272.08] 但这个上条太有说过现实
[00272.08-00272.86] 能不能说
[00272.86-00275.74] 实际随时,第一随时你问它慢天要加
[00275.74-00276.30] 不行的
[00276.30-00278.54] 第一随时可以上条
[00278.54-00280.64] 但是不得超过实际随时
[00280.64-00282.26] 就上条它有一个借线
[00282.26-00287.26] 就是不超过实际損失
[00290.26-00291.46] 这是我们所说的什么
[00291.46-00292.66] 这是第一的
[00292.66-00295.46] 但如果说我们所提到的这个位月间
[00295.46-00297.46] 它是高于实际損失的
[00298.46-00300.86] 就是大于实际損失
[00300.86-00302.46] 但是它虽然高了
[00302.46-00303.86] 但是它没有高的怎么样
[00303.86-00305.26] 没有高的太离谱
[00305.46-00306.86] 也就是不过分
[00306.86-00309.66] 只是它 我现在这个方向的怎么写
[00309.66-00312.74] 是大雨时起损失的但不过分的
[00315.74-00317.22] 那这种情况之下怎么办
[00317.22-00318.94] 直接四种维园进就可以了
[00321.74-00323.94] 直接室用维园进就可以了
[00323.94-00325.02] 这是第二种情况
[00325.34-00327.02] 那第三种情况是什么呢
[00327.14-00330.18] 就是你的维园进确实是大雨时起损失的
[00330.62-00332.74] 而且这个时候高得有点离普
[00332.74-00334.46] 这个维园进的那这个额度
[00334.46-00336.26] 没必而如果说它很过分
[00336.26-00337.82] 我就写但过分
[00339.66-00343.38] 这种情况之下可以怎么办呢?
[00343.38-00344.76] 可以下条
[00344.76-00347.78] 也就是在法律当中说可以预施当的渏少
[00347.78-00349.10] 我就直接写下条了
[00349.10-00349.90] 就可以了
[00349.90-00352.26] 这是我们所说的三种情况
[00352.26-00354.70] 你说老实这里面出现了两个问题
[00354.70-00355.98] 就是他这里说
[00355.98-00358.10] 如果说实际随时过高
[00358.10-00359.50] 如果说别经过高的话
[00359.50-00360.34] 他出现了
[00360.34-00361.74] 可以说不过分的话
[00361.74-00363.50] 就让我们一句来太过分的话
[00363.50-00364.38] 你就要下条
[00364.38-00365.66] 这里面到底过不过分
[00365.66-00366.82] 咱们总去判断呢?
[00366.82-00367.74] 大家注意一下
[00367.74-00369.50] 什么认为过分过高呢?
[00369.50-00371.08] 如果是過分過高的話
[00371.08-00372.44] 我們這裡有一個標準
[00372.44-00373.60] 就是它的這個
[00373.60-00376.14] 維月金超過損失的30%
[00376.64-00377.48] 我現在這好吧
[00377.48-00385.30] 就是它的月金超過實際損失的
[00387.18-00388.28] 30%
[00388.28-00390.36] 這種情況下我們就認為是什麼
[00390.36-00392.36] 我們就認為是過高了
[00392.36-00393.30] 30%
[00393.30-00394.96] 我們就認為過分高於
[00399.50-00401.30] 这里面的关键词就在这
[00401.30-00403.20] 这个本来是31个关键电
[00403.20-00405.64] 这是我们所说的调整的三种情况
[00405.64-00407.94] 那么就举个简单的例子来看吧
[00407.94-00410.24] 我把它这个例子用另外一个颜色来表示
[00410.24-00411.52] 就是三种情况
[00411.52-00413.48] 第一种情况就是我们所说的
[00413.48-00414.86] 穿一的这种清醒
[00414.86-00416.22] 如果穿一种清醒的话
[00416.22-00418.90] 你的实际損失
[00418.90-00419.94] 假设
[00419.94-00421.26] 实际損失是多少呢
[00421.26-00423.46] 实际損失是10万元
[00423.46-00424.70] 实际損失10万
[00424.70-00427.14] 那就时候你约定的纹约金
[00429.50-00431.50] 约定了一件事多少呢
[00431.50-00433.50] 约定了一件事五万
[00433.50-00434.50] 这有时候是不是就出现了
[00434.50-00437.50] 你的维约金小于实际損失的
[00437.50-00438.50] 那这个时候你可以怎么办
[00438.50-00440.50] 那这个时候就可以上条
[00440.50-00442.50] 我在这里写上条整
[00442.50-00444.50] 那这个时候就可以
[00444.50-00445.50] 条整
[00445.50-00446.50] 怎么办
[00446.50-00447.50] 上条多少钱
[00447.50-00449.50] 上条道和实际总是吃平就可以了
[00449.50-00451.50] 所以可以上条这样
[00451.50-00453.50] 我们所说的五万
[00453.50-00454.50] 可以上条五万块钱
[00454.50-00455.50] 这个就是
[00455.50-00457.50] 维约金小于实际損失的
[00457.50-00460.30] 那如果現在這種情況是什麼呢
[00460.30-00463.06] 是實際損失了依舊使我們所提到的
[00463.06-00464.14] 十萬塊錢
[00464.14-00465.66] 但是在這個時候呢
[00465.66-00467.26] 它的委員經預定的是多少呢
[00467.26-00468.86] 委員經預定的是12萬
[00468.86-00469.70] 那同們來看一下
[00469.70-00471.02] 這裡數就出現了
[00471.02-00473.74] 委員經高於實際損失的這種情況
[00473.74-00475.42] 但是有沒有超過30%呢
[00475.42-00476.70] 這個時候你看
[00476.70-00478.58] 實際損失是10萬
[00478.58-00480.02] 實際損失的
[00480.02-00482.06] 實際損失的30%
[00482.06-00483.06] 就是
[00483.06-00485.42] 實成一百分之30%
[00485.42-00486.62] 是不是三萬元呢
[00486.62-00487.94] 也就是微约金的
[00487.94-00489.86] 我们所说的上线是多少
[00489.86-00494.02] 微纪的上线应该是10加3等约13代元
[00494.02-00495.14] 但现在是多少
[00495.14-00496.86] 现在是12万
[00498.30-00499.38] 我有一点强迫症了
[00499.38-00500.94] 我这箱给它画的整齐一点
[00500.94-00501.98] 现在是12万
[00501.98-00504.98] 12万有没有突破超过30过分过高
[00504.98-00505.38] 没有
[00505.38-00506.42] 那如果是这样的话
[00506.42-00507.02] 你就怎么办
[00507.02-00508.58] 是因为约金就算多少来
[00508.58-00510.62] 就算13代来就可以了
[00510.62-00512.22] 那如果是第三种情况
[00512.22-00514.06] 实际損失失15万元
[00514.06-00514.98] 而你要了多少钱
[00514.98-00516.26] 你要了16万
[00516.26-00518.06] 你的北约金约定是16万
[00518.06-00520.46] 是不过分高于已经高于13万了
[00520.46-00521.38] 这个时候就怎么样
[00521.38-00522.54] 就是过高了
[00524.06-00525.54] 如果是过高的情况
[00525.54-00526.58] 这个时候应该杂账呢
[00526.58-00528.58] 这个时候应该下条了
[00528.58-00530.02] 那你下条到多少
[00530.02-00531.10] 你下条到
[00531.10-00533.62] 我们所说的实际損失到13万之间
[00533.62-00536.86] 也是调到13万这个区间就可以了
[00536.86-00537.90] 明白这个意思吧
[00537.90-00539.02] 所以我们在这里
[00539.02-00539.98] 这个北约金
[00539.98-00541.02] 我们再去约定的时候
[00541.02-00541.74] 不能过高
[00541.74-00542.62] 不能过低
[00542.62-00544.42] 它在这里面所给到了就是
[00544.42-00548.10] 30 阿伴 这30 这个情况比较好理解
[00548.10-00549.38] 对吧 相反说比较简单
[00549.38-00550.78] 同时只要几乎这个规则
[00550.78-00551.90] 对我们来说难度不大
[00551.90-00553.90] 这是维军他的一个设定
[00554.90-00555.94] 只是第一种情况
[00555.94-00557.98] 维军责任除了维军之外
[00557.98-00559.14] 还有第二种情况
[00559.14-00560.86] 我们把的称之维叫做定金
[00560.86-00561.78] 搭买东西的时候
[00561.78-00563.34] 是不是都有预付款下
[00563.34-00564.42] 这个预付款呢
[00564.42-00566.14] 其实就是我们所说的这种
[00566.14-00568.38] 定金 我前面给大家举过例子
[00568.38-00569.10] 我说
[00569.10-00570.62] 双实一马上就要来了
[00570.62-00570.82] 对吧
[00570.82-00572.94] 大家都先这去抢够那个东西
[00572.94-00575.24] 比如说我今天看到那个精华
[00575.24-00577.04] 他预付是40块钱
[00577.04-00578.58] 然后预付40块钱之后
[00578.58-00582.14] 他说在10月31号晚上18点之前
[00582.14-00583.94] 是8点还是20点之前
[00583.94-00585.48] 然后完成这个付款
[00585.48-00586.64] 然后就可以给我发货
[00586.64-00588.30] 那你看他是不是预先说了钱了
[00588.30-00589.84] 那这个时候他预先说了钱了
[00589.84-00592.14] 到了10月31号那天晚上
[00592.14-00593.68] 只可能存在两种情况
[00593.68-00595.98] 第一种情况就是我没有付钱
[00595.98-00598.28] 没有付钱的话我数是每月了
[00598.28-00599.30] 这个情况之下
[00599.30-00601.36] 我的定金能不能要回来的问题
[00601.36-00603.24] 第二任情况是我付了钱了
[00603.24-00604.76] 但是他持成六个月我发货
[00604.76-00607.28] 一直到了明年双时一的时候还没有过发货
[00607.28-00608.48] 那这种情况之下
[00608.48-00609.52] 他是不是为约了
[00609.52-00611.40] 那他这个时候怎么配上我的问题
[00611.40-00613.08] 那这个时候就涉一道什么
[00613.08-00614.48] 定金的事用
[00614.48-00615.36] 定金事用
[00615.36-00617.16] 那我们来看一下什么是定金
[00617.16-00619.72] 所以定金是当时人可以约定
[00619.72-00620.56] 一定
[00620.56-00622.08] 约定一方向另一方
[00622.08-00623.84] 几幅定金作为债权的单宝
[00623.84-00624.96] 所以咱们在前面讲
[00624.96-00625.80] 单宝之度的时候
[00625.80-00627.28] 我们说了定金他属于什么
[00628.08-00630.16] 定金他属于金钱宝
[00630.16-00631.40] 它是保證的一種
[00631.40-00633.68] 所以它說約定一定進俄作為單暴
[00633.68-00637.12] 它說定機合同自實際交付實成立
[00637.12-00638.32] 同樣把這個話出來
[00638.32-00639.32] 把定定合同
[00639.32-00640.16] 全出來
[00640.16-00641.12] 然後寫上
[00641.12-00645.72] 然後話出來叫實際交付定金實合同成立
[00645.72-00647.92] 我們再講到大部分的合同
[00647.92-00649.68] 大部分的合同都是諾成合同
[00649.68-00650.68] 諾成合同就是
[00650.68-00652.92] 收放達成合一之後合同就成立
[00652.92-00654.12] 比如說买白合同
[00654.12-00655.24] 縱雨合同
[00655.24-00656.80] 那我們在合同當中
[00656.80-00658.32] 除了有諾成合同之外
[00658.32-00659.76] 還有實件合同
[00659.76-00661.52] 而我们所说的定金合同
[00661.52-00662.64] 我们在旁边标注一下
[00662.64-00664.72] 它是典型的实件合同
[00664.72-00666.56] 我们在迷法当中的实件合同
[00666.56-00667.44] 一共就四个
[00667.44-00668.84] 一个是定金
[00668.84-00670.00] 一个是我们所说的
[00670.00-00672.24] 像什么在人之间的计划合同等等
[00672.24-00673.84] 这些都是实件合同
[00673.84-00675.28] 实件合同就是
[00675.28-00678.08] 你一定要做一定行为之后
[00678.08-00679.92] 它才能够合同成立的
[00679.92-00681.44] 这个就叫做实件合同
[00681.44-00682.28] 定金
[00682.28-00683.84] 它就是典型的实件合同
[00683.84-00684.76] 定金合同
[00684.76-00686.04] 在人之间的借代合同
[00686.04-00686.84] 保管合同
[00686.84-00688.00] 以及借用合同
[00688.00-00689.08] 它都随实件合同
[00689.08-00691.32] 都是你要做出一定的行为才可以
[00691.32-00692.16] 这是第一个
[00692.16-00692.92] 那第二个呢
[00692.92-00693.76] 就大家知道
[00693.76-00694.60] 定金合同呢
[00694.60-00696.04] 它是什么时候成立
[00696.04-00700.36] 我在双实一逃宝天包上去买东西的时候
[00700.36-00702.40] 我一定是复了定金之后
[00702.40-00704.44] 这个定金合同才成立的
[00704.44-00705.32] 明白这个意思吧
[00705.32-00706.52] 所以在这里大家注意一下
[00706.52-00707.36] 它是实际合同
[00707.36-00709.28] 交付定金是合同
[00709.28-00710.44] 定金合同成立
[00710.44-00712.52] 但是在这里面它有一个问题
[00712.52-00713.48] 这是大家注意的
[00713.48-00714.64] 这是这个定金合同
[00714.64-00715.80] 它不能口头
[00715.80-00718.04] 定金合同只能是疏面合同
[00719.08-00723.64] 你说老师 我交付那个
[00723.64-00728.04] 我在那个逃宝会天帮去买这个双实机的这个东西的时候
[00728.04-00730.68] 我怎么没看到他给我你订了一个合同说
[00730.68-00732.76] 咱们说是一定要有合同说吗
[00732.76-00736.32] 我们说的说明合同是不是也以数据电门的形式出现
[00736.32-00739.20] 你不知道大家有没有去紫区越多那个规则
[00739.20-00741.08] 你典军去那个逃宝
[00741.08-00742.92] 就是 双实机也就是你
[00742.92-00744.40] 要预复款的那个东西
[00744.40-00745.76] 你去副订兵的时候
[00745.76-00747.40] 他那个上面说明明白给你写了
[00747.40-00751.76] 到那天每月每日那点去付剩余的款项
[00751.76-00753.80] 然后如果你没有付剩余款项之后
[00753.80-00754.76] 他会怎么办
[00754.76-00756.36] 然后你的定定要不去了
[00756.36-00757.52] 然后你付了剩余款了
[00757.52-00758.92] 这后他程度段子给你发货
[00758.92-00761.48] 这事故事有记载的
[00761.48-00762.76] 有形的
[00762.76-00763.52] 在体
[00763.52-00764.04] 是的
[00764.04-00765.56] 那如果是的话他就一定是什么
[00765.56-00766.16] 收面合同
[00766.16-00767.24] 所以他不能是
[00767.24-00768.12] 扣头的
[00768.12-00768.84] 所以大家注意一下
[00768.84-00770.12] 这是定阶合同当中的
[00770.12-00771.04] 第一个点
[00771.04-00773.76] 大家知道他是实现合同是收面合同
[00773.76-00774.40] 第二个呢
[00774.40-00775.32] 他必须是
[00775.32-00779.66] 我們所說的交付之後才能成立的
[00779.66-00780.96] 其實這個福的是一個意思
[00780.96-00783.00] 好吧所以在這裡大家知道這是第一個點
[00783.26-00786.32] 第二點的這個定金它有一定的要求
[00786.32-00787.60] 這個定金的要求是什麼呢
[00787.60-00789.14] 同一標注意下 圈二
[00789.40-00792.92] 定金它也有限額的這樣一個限制
[00792.92-00794.02] 它這個限制是什麼呢
[00794.26-00797.34] 不得超過組合同標第五多少呢
[00797.60-00800.92] 20% 不得超過組合同標第的20%
[00801.18-00804.24] 也就是說如果這個東西賣100塊錢
[00804.24-00806.66] 大家可以去看一下这一个标有意思现象
[00806.66-00808.40] 但是我买东西我从没注意的
[00808.40-00810.40] 生活是生活法律
[00810.40-00813.00] 如果说这个东西它是100块钱
[00813.00-00816.28] 那它的定金怎么办呢
[00816.28-00818.44] 不超过20块
[00818.44-00819.48] 明白这个意思吧
[00819.48-00821.60] 也就是你在天摩逃跑
[00821.60-00822.88] 你在这些平台买东西的时候
[00822.88-00823.80] 你可以看一下
[00823.80-00825.60] 你大家最练就可以去留意一下
[00825.60-00826.44] 你在去买
[00826.44-00828.88] 这个东西有它收你定金收你的
[00828.88-00829.64] 这个预付款象
[00829.64-00831.36] 也没有超过20%
[00831.36-00832.92] 它的上限是20%
[00832.92-00836.00] 所以在这里面一把第二个点标出来
[00836.00-00839.28] 就是它的定金楼度是不得超过20%
[00839.28-00842.24] 这是它的线额性
[00842.24-00844.84] 那这里面的第三个点就是大家要知道
[00844.84-00847.04] 如果它超过20%是怎么办呢
[00847.04-00850.56] 后面给到了说超过部分不产生定金的效率
[00850.56-00852.64] 也就是它在这里面给你说了
[00852.64-00855.64] 所以100块钱都东西你定金给我就要30块钱
[00855.64-00857.44] 这时候是超过20%
[00858.44-00859.60] 30元定金
[00859.60-00863.76] 那这个时候你叫分其中的20%是定解
[00863.76-00865.76] 那你说老师那生意的实话前呢
[00865.76-00868.60] 剩下的实缘不算做定解
[00868.60-00871.76] 你说老师他不算做定解我把钱也给拿了呀
[00871.76-00875.44] 那这个时候你就可以把这10万元算到主合同家伙当中去
[00875.44-00879.24] 或者说让这10万元变成不当得令了他反反给你就行了
[00879.24-00882.40] 也就是说如果他在这里面合同当中月定
[00882.40-00885.72] 说一个东西他的标假是30元
[00885.72-00888.20] 然后约定定金是30块钱
[00888.20-00889.00] 然后他讀问
[00889.00-00891.60] 说以下关于这个合同说法正就错的事
[00891.60-00892.64] 然后他就会给到你
[00892.64-00893.40] A选项
[00893.40-00896.64] 说我们要将这个30块钱作为定金
[00896.64-00897.52] 对不对不对
[00897.52-00900.28] 因为定金只能是不超过性格的20%
[00900.28-00902.28] 你别管他约定了10多少
[00902.28-00903.28] 小班门
[00903.28-00904.92] 别管他约定了10多少
[00904.92-00907.80] 他只要是给你约定超过20%
[00907.80-00908.32] 那就不对
[00908.32-00909.88] 你就记得上线20%就行了
[00910.92-00913.48] 超过不反不产生定金的效力
[00913.48-00917.32] 这是第二个点 小达就注意的 他的现额性
[00917.32-00920.08] 第三个点 就是在定金这一块 冷错了
[00920.08-00923.28] 定金他其实是维约责任的一种
[00923.28-00925.72] 所以在这个时候 如果你真的维约了的话
[00925.72-00926.68] 应该怎么办
[00926.68-00931.84] 如果你真的维约了 比如说 双11 11 10 月31号晚上几点
[00931.84-00933.20] 我没有交易付款向
[00933.20-00935.96] 那这个时候 我的这个钱 怎么办呢
[00935.96-00937.20] 能不能退回给我呢
[00937.20-00940.60] 那毕竟是我维约了 那到底我到底是用什么样的
[00940.60-00943.42] 归者来去规定这个的月责任
[00943.42-00945.20] 这个时候是一到第三个问题
[00945.20-00948.02] 就要做定金法责的问题
[00948.02-00949.04] 定金法责呢
[00949.04-00950.84] 它其实强调的是这么一个事
[00950.84-00953.52] 就是如果说我们在双方
[00953.52-00955.70] 冤定的核通旅行机制内
[00955.70-00959.54] 如果有一方没有按照核通要求去旅行的话
[00959.54-00961.34] 这个时候就会是要定金法责
[00961.34-00962.36] 定金法责呢
[00962.36-00963.38] 他就分成两方
[00963.38-00965.94] 同时来看一下我在天猫去买东西的时候
[00965.94-00967.22] 一共就两方吧
[00967.22-00969.02] 一方是给钱的那一方
[00969.02-00970.56] 另一方是收钱的那一方
[00970.56-00972.56] 我们就可以分成是几副方
[00974.56-00975.84] 还有我们所说的什么
[00975.84-00977.12] 还有一个是收收方
[00978.96-00981.04] 我在田冒上买那个金环
[00981.04-00985.04] 我在淘宝会其他的平台上去买那个面膜
[00985.04-00987.44] 这个时候我就是给钱的那一方
[00987.44-00988.08] 我就是什么
[00988.08-00989.92] 我就是几副定经的那方
[00989.92-00991.44] 而商家就是什么
[00991.44-00993.12] 就是收收定经的这一方
[00993.12-00994.40] 所以在定经法制当中
[00994.40-00997.44] 对于几副方和我们所说的这个收收方
[00997.44-00998.40] 他规则不一样
[00998.40-01000.16] 如果是几副方美元了
[01000.16-01001.52] 也就是5位月的话
[01001.52-01004.00] 你就是几副定境的一方不旅行
[01004.00-01007.32] 到期的这个战务或者是旅行战务符合规定的话
[01007.32-01008.56] 那这个时候我怎么办
[01008.56-01010.20] 我是无权
[01011.44-01012.40] 请求
[01013.96-01015.08] 反环定境的
[01016.16-01017.76] 也是到了点了
[01017.76-01018.80] 我没有去干嘛
[01018.80-01021.60] 我没有去付生育的一副管线
[01021.60-01023.60] 我能不能朝人家商家把这个钱要回来
[01023.60-01024.04] 不行
[01024.04-01025.84] 几副经济的这一方你是无权
[01026.12-01028.20] 反环定无权要求反环定境的
[01028.20-01030.60] 但是如果是另一方 我把钱给他了
[01030.60-01034.84] 然后我最后呢 我也是其他的款项
[01034.84-01036.96] 如实的就已经支付过去了
[01036.96-01038.80] 那他最终没有给我发货
[01038.80-01040.60] 又或者说我把定金给他了
[01040.60-01042.32] 结果定金给他了刚把定金给他
[01042.32-01043.88] 第二句的告诉我 艾叔抱一散
[01043.88-01046.00] 由于我们店固要进行产业升级
[01046.00-01046.88] 要进行调整
[01046.88-01049.36] 然后呢 已经负定进了这些东西呢
[01049.36-01050.60] 我们就不生产了
[01050.60-01052.24] 抱一死没有办法给你发货了
[01052.24-01053.40] 那他是不是少了呀
[01053.40-01054.88] 这个时候是谁委员了
[01054.88-01056.84] 是收受定金的一方委员了
[01056.84-01059.24] 如果收入定性一放的每月怎麼辦呢?
[01059.24-01061.20] 就是雙倍反環定性
[01065.80-01068.28] 雙倍反環定性
[01068.28-01069.28] 明白這個意思吧
[01069.28-01070.96] 所以同學們經常會聽到什麼?
[01070.96-01071.88] 雙倍反環
[01071.88-01073.64] 雙倍反環其實說的是誰?
[01073.64-01075.48] 雙倍反環其實是收錢的那一方
[01075.48-01078.08] 他要把原本有說100塊錢的東西
[01078.08-01078.60] 對吧?
[01078.60-01080.40] 20塊錢的定性
[01082.96-01084.44] 如果是給錢的那一方
[01084.44-01088.68] 我去买东西我最后没有按腰球去复款下
[01088.68-01090.04] 这20块钱我腰不回来了
[01090.04-01091.56] 那如果是收钱那一方呢
[01091.56-01093.28] 如果是电家电家的月的话
[01093.28-01094.84] 他不几要把这20块钱推给我
[01094.84-01096.20] 他要再给我20
[01096.20-01097.48] 也就是我一个礼拜礼
[01097.48-01098.64] 电家那一方每个月的话
[01098.64-01100.44] 我都拿多少钱40块钱
[01100.44-01101.64] 那这个就叫做什么
[01102.36-01103.64] 这只跑点去了
[01103.64-01106.52] 这时候这个时候就叫做双备反环定金
[01106.52-01107.56] 明白这个意思吧
[01107.56-01109.24] 所以在这里面大家要注意一下
[01109.24-01111.00] 这是第三个细节
[01111.00-01114.34] 第三期解了 最後咱們在這裡還有一個細節
[01114.34-01116.80] 這個細節是第四個點
[01116.80-01118.30] 第四個點是啥呢
[01118.30-01120.54] 就是這裡面出現了一個問題
[01120.54-01125.62] 就是委約金他是委約總人要重擔的這個相用的損失
[01125.62-01129.62] 對吧 而定金也是委約所適用的相用的損失
[01129.62-01131.98] 那委約金和定金之間是什麼關係呢
[01131.98-01139.98] 这就是每月金和定金的使用
[01139.98-01144.98] 我能不能记主张他承担每月责任
