[00000.00-00002.32] 同一番好 我是杰瑞老师
[00002.32-00005.64] 今天我们就要进入到文学知识的学习了
[00234.94-00239.02] 把很多我们所说的可以描会出来的这样的一个意想
[00239.02-00241.06] 通过文字通过适合展现之后
[00241.06-00243.54] 就会给你带来无限的这样的一种想象
[00243.54-00245.10] 那他那个作者呢
[00245.10-00247.42] 他其实在整个事情当中两本住座
[00247.42-00248.30] 这两本住座呢
[00248.30-00250.26] 一本叫做越古老越美好
[00250.26-00253.18] 好一本叫做秦道深处市中优
[00253.18-00254.22] 那这两本书呢
[00254.22-00258.54] 其实大部分内容都在去产数这样的一个时间的住座
[00258.54-00261.14] 它在这个续眼当中是这么写道的
[00261.14-00262.98] 我还是想跟同朋友去分享一下啊
[00263.82-00264.98] 它选当中说
[00265.22-00265.74] 它说
[00265.74-00270.02] 若是把周异放在全京之手世界便是无虑的
[00270.02-00273.94] 若是把时间至于全京之手世界便是美的
[00273.94-00277.78] 在时间当中有甜原之美有山水之美
[00277.78-00279.22] 有逃之要有
[00279.22-00280.26] 有间加藏藏
[00280.26-00284.34] 有百州饭留,有喝飞于天,造化于心,
[00284.34-00285.82] 师情任于比较,
[00285.82-00288.22] 智慧而有凝静,智园混后,
[00288.22-00289.70] 而有不理不弃。
[00289.70-00291.94] 这才是传统文化的精髓,
[00291.94-00295.46] 所以我们常说的师傅也好1300以后,
[00295.46-00297.22] 通过不同的体材,
[00297.22-00298.46] 描写不同,
[00298.46-00301.10] 我们所说的阶层人这样的一个生活,
[00301.10-00303.34] 然后把我们所说的这种生活,
[00303.34-00306.22] 通过文字的方式去给它记录下来之后,
[00306.22-00309.54] 就变成了我们所说的中国独具一格的,
[00309.54-00313.06] 非常具有代表性的文化特色的偏招
[00313.06-00314.66] 这个就是我们所说的
[00314.66-00315.38] 时间
[00315.38-00317.62] 我们来看一下时间它的具体内容
[00317.62-00319.62] 需要同你们在这里做一个标注
[00319.62-00322.66] 实际了一个时间被约中国适歌的源头
[00322.66-00324.90] 所以我们画一下在旁边标注一下
[00324.90-00327.78] 说适应是我国第一步适歌总级
[00327.78-00330.58] 又成为适金或者是13倍
[00330.58-00332.18] 同标注却一
[00332.90-00333.62] 这是第一个
[00333.62-00334.90] 叫第一步适歌总级
[00334.90-00337.30] 又成为适金或者是13倍
[00337.30-00339.70] 大家知道 其实当年周天子
[00339.70-00341.46] 他其实在实现统治之后
[00341.46-00344.78] 他想了解各地的民情小共顾统治
[00344.78-00346.06] 想教画子弟
[00346.06-00349.50] 还有在这过程中还要有公平的这样的娱乐
[00349.50-00351.82] 于是他就会分批组之人
[00351.82-00354.10] 当时周天子派出去的人叫做什么人
[00354.10-00355.06] 叫做行人
[00355.06-00357.06] 你看像习惊当中是外有行者
[00357.06-00358.78] 派出去这一批行人
[00358.78-00360.98] 就是让他们前往各个助后谷
[00360.98-00362.58] 去采集各种各样的什么
[00362.58-00364.14] 各有喜怒哀乐
[00364.14-00366.42] 从側面去反应老百姓的生活
[00366.42-00369.82] 那在這些他們收集的施格當中的最後會走
[00369.82-00371.54] 就形成了我們所說的什麼
[00371.54-00373.86] 施經 那就形成我們所說的施經
[00373.86-00375.74] 那在施經當中 我們就知道了
[00375.74-00377.94] 第一個他的目的其實就是我們所說的
[00377.94-00379.98] 為了艾滾骨鴿之教化
[00379.98-00382.06] 擺性就化子 地等都所形成了
[00382.06-00382.94] 那就是流程了
[00382.94-00384.62] 而形成了我們所說的這個施經
[00384.62-00386.14] 打壓住一下去 第一個點
[00386.14-00389.30] 所以施經可以說是中國施格的源頭開端
[00389.30-00391.38] 所以它也被稱為叫第一步施格
[00391.38-00393.42] 總級 第一個點 大家要知道
[00393.42-00395.22] 那第二個就是我們說了
[00395.22-00398.72] 時間它是從周天子那個時候派人去怎麼樣
[00398.72-00401.32] 到各地去採集民風所形成的
[00401.32-00405.42] 所以時間收錄了自春秋初期
[00405.42-00408.62] 自西州初期只春秋中夜
[00408.62-00411.12] 五百多年間的十個共三百六五片
[00411.12-00413.22] 第二個它所收錄的
[00413.22-00414.76] 我們所說的這個
[00414.76-00416.72] 十個的範圍同樣知道
[00416.72-00419.72] 就是從西州開始一直到春秋中夜
[00419.72-00422.22] 如果是威廈到春秋到後面沒有了
[00422.22-00425.90] 大家都知道這個時間或是我們所說的這個13代
[00425.90-00428.14] 它其實是誰編算整理的
[00428.14-00429.78] 是我們所說的這個
[00430.42-00431.86] 孔子因為孔子啦
[00431.86-00433.58] 我們說了四叔五經
[00433.58-00435.66] 師叔李翼春秋
[00435.66-00437.22] 而這個我們所說的
[00437.22-00438.58] 五經當中的師
[00438.58-00440.22] 其實就是我們所說的什麼
[00440.22-00441.82] 就是我們所說的時間
[00441.82-00444.86] 而孔子他其實春秋時期的人物
[00444.86-00448.18] 所以到了春秋收集編輯整理到這就沒有了
[00448.18-00449.86] 就沒有戰國時期的了
[00449.86-00453.44] 大家知道在网年事业当给考试的时候考察过一道真体
[00453.44-00456.90] 说以下关于时间说法正确或者错误的是
[00456.90-00458.56] 然后在那个里面就考到了
[00458.56-00462.16] 说 恐子之所以没有收入照国的事故
[00462.16-00464.46] 是因为恐子不是照国人
[00464.46-00465.98] 大家都知道恐子路过人
[00465.98-00468.04] 当时很多同学就把这个选项选上了
[00468.04-00469.06] 同学想一下
[00469.06-00471.62] 说恐子没有收落照国的事故
[00471.62-00473.36] 是因为恐子不是照国人
[00473.36-00474.70] 正说法对不对呢
[00475.20-00477.26] 大家注意一下 正说法本身是不对的
[00477.26-00478.22] 超老是村哪儿
[00478.22-00479.26] 他不是路过人吗
[00479.26-00480.34] 因为照顾
[00480.34-00482.38] 叫韩照位处严起
[00482.38-00483.90] 照顾他是什么事情
[00483.90-00485.58] 照顾他是战国世界
[00485.58-00487.74] 而孔子是春秋时期的人
[00487.74-00489.42] 整个施经收入的内容
[00489.42-00491.58] 就是从西州出席到春秋中夜
[00491.58-00492.46] 就没了
[00492.46-00494.42] 一直没有延续到哪儿战国
[00494.42-00496.22] 所以当年考得闹铁
[00496.22-00497.98] 他本身上想要是考的是什么
[00497.98-00499.26] 考的是施经
[00499.26-00501.34] 他整体上的一个收入范围
[00501.34-00502.22] 所以大家注意一下
[00502.22-00502.86] 第二个点
[00502.86-00504.06] 就是同学没有知道
[00504.06-00505.74] 他是从哪儿收入到哪儿
[00505.74-00507.78] 这个要明确这是第2个电
[00507.78-00509.26] 第3个点就是在这
[00509.26-00510.54] 我们总体上去了解
[00510.54-00511.62] 时间该跨的时候
[00511.62-00512.66] 从没有知道
[00512.66-00514.46] 这时间开闯了中国
[00514.46-00518.26] 是个现实主义的源头
[00518.26-00519.02] 因为同时说
[00519.02-00519.58] 老师我觉得
[00519.58-00520.78] 时间挺浪漫的
[00520.78-00521.10] 对吧
[00521.10-00523.18] 因为经常被的那种
[00523.18-00524.94] 监家倘倘白路为
[00524.94-00526.78] 说所谓医人在水一放
[00526.78-00527.50] 还好美
[00527.50-00527.86] 对吧
[00527.86-00529.74] 对于那种美女的那种追求
[00529.74-00530.82] 而我现在想一下
[00530.82-00532.38] 我的心脏都碰刺碰刺的
[00532.38-00533.66] 但是同时没想一下
[00533.66-00535.34] 我们刚才其实有给大家说过
[00535.34-00539.54] 就是 施经他收集各个地方的各取的目的是为什么
[00539.54-00541.74] 是不是为了了解老百姓的生活
[00541.74-00545.08] 所以当时才派了我们所说的专门的行人
[00545.08-00546.34] 走到各个中国
[00546.34-00548.62] 然后去听一听 民间的这个各个要
[00548.62-00551.14] 听一听老百姓他们在田间地头上
[00551.14-00553.90] 在施警上怎么去了他们现在的生活
[00553.90-00557.54] 所以他大部分其实都是来自于我们现实生活的这样一个写造
[00557.54-00561.18] 而把这些行走的这种行人走访之后的东西
[00561.18-00564.22] 拿回到国度交给专门长管音乐和机构的人
[00564.22-00567.04] 編转整理之后才留下了相的东西
[00567.04-00569.72] 所以时间它的大部分都是反应我们所说的
[00569.72-00571.26] 老百姓的生活
[00571.26-00572.54] 所以在这里面说了
[00572.54-00575.70] 时间它属于现实主义原头
[00575.70-00577.42] 所以在这里面大家注意
[00577.42-00579.82] 这个时间我们从红官上去了解它
[00579.82-00581.58] 大家知道是这三个点
[00581.58-00583.94] 而时间整体在考察的时候
[00583.94-00585.42] 大家要明确
[00585.42-00587.58] 就是测重在两个方向的考察
[00587.58-00589.74] 第一个就是我们会考察
[00589.74-00592.18] 我先把时间的考察方式标准在旁边吧
[00592.18-00594.18] 第一個就是考察綜合性的
[00594.18-00598.18] 以下關於施經說法正確或者錯誤的是
[00598.18-00599.68] 這種就是綜合考察
[00599.68-00603.18] 在國生考當中這種考察是最常見的
[00603.18-00605.18] 第二種考察就是考什麼呢
[00605.18-00608.18] 考施經他具體內容的內含
[00609.18-00612.18] 比如說我們一會兒要講到施經6億
[00612.18-00614.18] 那這施經6億分別是什麼
[00614.18-00616.18] 這有時候會考到他的內含
[00616.18-00618.18] 除了考這個之外大家注意一下
[00618.18-00620.18] 除了考察的具體內含之後
[00620.18-00621.50] 考察一些对应
[00621.50-00623.56] 以下属于施经的
[00623.56-00625.30] 是以下不属于施经的
[00625.30-00625.66] 是
[00625.66-00627.54] 这时候会考察一些对应的
[00627.54-00628.34] 施聚
[00628.34-00630.14] 所以施经在整个考察上
[00630.14-00631.90] 其实是三个伟度的
[00631.90-00633.38] 我们刚才给大家介绍的
[00633.38-00635.66] 其实就是在红官上去了解了
[00635.66-00636.78] 我们所说的施经
[00636.78-00637.98] 它大概是什么样
[00637.98-00639.30] 那了解了施经
[00639.30-00641.82] 它大概是我们所说的一个具体的情况
[00641.82-00642.82] 接下来看一下
[00642.82-00644.22] 施经的具体内容
[00644.22-00646.22] 无说了施经又叫做
[00646.22-00647.42] 施三百
[00647.42-00649.10] 这个时候还一般情况里面
[00649.10-00650.42] 是有300.5偏
[00650.42-00651.66] 那我们把它称为叫做
[00651.66-00653.42] 是或者叫做施山的
[00653.42-00655.30] 那这个是300所施
[00655.30-00657.34] 或者300.5偏的这种事歌
[00657.34-00659.74] 它都描灰了哪些具体的内容呢
[00659.74-00660.82] 我们来看一下时间
[00660.82-00662.54] 它所包含的具体内容
[00662.54-00664.10] 都是时间可以分成
[00664.10-00665.34] 3个大的部分
[00665.34-00668.94] 这3个大的部分分别是风、鸟、素
[00668.94-00670.98] 而这3个大的部分无论怎么写
[00670.98-00672.54] 它都会运用大量的
[00672.54-00673.46] 树写方法
[00673.46-00676.02] 这个方法就叫做副比星
[00676.02-00677.54] 而这里面大住一下
[00677.54-00678.82] 第四个点就在于
[00678.82-00682.66] 封鸟送和付比星被称为叫做时间6亿
[00682.66-00686.74] 所以同时在这需要对时间掌握的第四个点就是在宇宙知道
[00686.74-00689.06] 时间6亿是哪6亿
[00689.70-00692.78] 在这个地方大家要明确是封鸟送和付比星
[00692.78-00695.22] 只包括它的描写的内容
[00695.22-00697.78] 具体内容也包括它的表现手法
[00697.78-00701.14] 问题就是在宇宙这里的封鸟送和付比星
[00701.14-00702.62] 到底是什么意思
[00702.62-00704.94] 接下来我们会有一个相对来说
[00704.94-00705.94] 比较大的考点
[00705.94-00707.22] 这个头一会展开
[00707.22-00710.54] 我在大外讲于当中也给大家去劉白了这样一个部分
[00710.54-00713.86] 然后同学们就去把我们补充的内容放在这个讲印尚
[00713.86-00717.06] 有很多同学可能对此会产生一会儿说老是你既然要讲
[00717.06-00719.70] 那种为什么你不把他设置在讲印里面呢
[00719.70-00722.06] 主要还是因为大家动比去写一些
[00722.06-00723.70] 印象会逛生课一些
[00723.70-00726.42] 如果我把它全部都留在讲一当中的话
[00726.42-00729.62] 那你这个时候我在去讲你会订人文字去看
[00729.62-00733.42] 你没有办法主集中注意力来听我去讲解这个内容了
[00733.42-00736.78] 一方面去听另一方面通过自己的实际
[00736.78-00738.90] 就是笔记去记忆
[00738.90-00740.14] 去把它记下来
[00740.14-00742.94] 其实相对来说会加深大家的印象
[00742.94-00745.58] 我们就分点聊聊实行六亿当中的内容
[00745.58-00747.54] 首先第一个我们来看一看风
[00747.54-00749.54] 风的话我们也知道风
[00749.54-00750.54] 它强调的是啥
[00750.54-00751.62] 同的在这里要明确
[00751.62-00752.98] 第一个在旁标注一下
[00752.98-00756.18] 风它实施强调的是地方的名歌
[00756.18-00757.62] 所以在这里快
[00757.62-00759.02] 在旁边标注一下
[00759.02-00760.90] 就是写在你的笔记上写上
[00760.90-00762.86] 风它带指的是名歌
[00762.86-00769.00] 封,其实是包含15个方玉的名格,这15个方玉的名格,也被称着为15国风
[00769.26-00773.36] 因为当时是有15个珠口果的,所以在当时的时候
[00774.12-00781.54] 我们就说了,这个封,这15个地区是我珠口果,它的一个名格,所以第一个大家要封代表的是,名格
[00781.80-00783.86] 封一共是有160片
[00784.88-00790.76] 是施经当中最余核心的内容,因为它是最直观的反映,老百姓的生活的
[00790.76-00793.12] 所以在这里面同样记得就是两个点
[00793.12-00795.12] 第一个他是地方的名歌
[00795.12-00797.12] 也是珠口国当中的名耀
[00797.12-00799.52] 反应各个地区老百姓生活情况的
[00799.52-00801.08] 第二个就是大家要知道
[00801.08-00802.12] 我们所说的风
[00802.12-00804.52] 他是师经当中的核心内容
[00804.52-00807.20] 那既然整个地方的名歌包含了15%
[00807.20-00809.00] 珠口国一共是160片
[00809.00-00811.60] 我们大概看一下这160片的分布
[00811.60-00813.60] 在这里面他提到了这么几个点
[00813.60-00814.16] 第一个呢
[00814.16-00816.04] 他说了是周南11片
[00816.04-00817.36] 少南14片
[00817.36-00820.72] 大主要你看这是15个地区的名歌
[00820.72-00822.48] 以及15个地区的国风
[00822.48-00824.16] 所以每个地区有一他的
[00824.96-00826.44] 身风的属地不一样
[00826.72-00828.56] 地理风情不一样
[00828.56-00830.40] 他的人权特性不一样
[00830.40-00831.68] 所以他写出来的
[00832.16-00833.60] 我们所说的师哥
[00833.60-00834.68] 也就是我们所说的
[00834.68-00836.68] 这15个地区的名歌
[00836.68-00838.52] 他也有很大的差距
[00838.52-00840.00] 那方在最开始的
[00840.00-00842.28] 其实我们所说的叫做周南
[00842.28-00844.48] 周南一共是11片
[00844.48-00846.40] 大主要这里面的南
[00846.40-00848.48] 他其实不代表的是地区
[00848.48-00849.64] 这里面的男
[00849.64-00852.80] 他原来是一种很古老的月气的名称
[00852.80-00855.48] 后来演变成一种地方取掉的专名
[00855.48-00856.64] 所以太有了男
[00856.64-00858.32] 我为什么要瞧那些点呢
[00858.32-00859.32] 原因很简单
[00859.32-00859.92] 大家注意啊
[00859.92-00862.52] 因为我们在国口当中考规到底
[00862.52-00865.08] 所以下官与什么音乐还是什么说法
[00865.08-00866.12] 正确的是
[00866.12-00867.40] 他里面考规一个点
[00867.40-00868.20] 就考了一个点
[00868.20-00869.76] 叫做什么叫做男音
[00871.12-00873.24] 说一下官与什么说法正确的时候
[00873.24-00876.00] 他在一个选项当中给了一个叫做男音
[00876.00-00877.92] 这个难音他说发言音的
[00877.92-00879.22] 难音在这里面
[00879.22-00882.16] 他其实强调是在我们所说的广州逛州去了
[00882.16-00883.68] 是在福建那一边
[00883.68-00884.90] 所以才有这个难音
[00884.90-00886.36] 但最开始这个难
[00886.36-00887.48] 或者是这个难音
[00887.48-00890.08] 他其实是出自在我们所说的什么当中
[00890.08-00892.56] 是出自在我们所说的时间当中的
[00892.56-00893.52] 这个难
[00893.52-00895.84] 他最开始是流行在长江留运
[00895.84-00897.84] 后来才影响到了北方
[00897.84-00898.96] 所以我们经常说
[00898.96-00900.08] 二难二难
[00900.08-00901.40] 二难纸的是难二难
[00901.40-00902.12] 但注意一下
[00902.12-00905.20] 就是我们所说的周难和受难
[00905.20-00907.28] 它是用南音去演唱的
[00907.28-00908.30] 所以在这里面
[00908.30-00911.92] 大家把周南和这个瘦南把它标注出来
[00911.92-00913.88] 它就是事情当中所长掉的
[00913.88-00914.64] 二南
[00914.64-00917.44] 而这个二南的经常会用南音演唱
[00917.44-00920.52] 而这个南音的其实是以前在国口当中考过的一个点
[00920.52-00921.36] 大家知道
[00921.36-00923.12] 我就把它相的考点拉出来
[00923.12-00923.76] 好吧
[00923.76-00924.92] 我就直接写了
[00924.92-00926.72] 这个南音大家注意一下
[00926.72-00929.24] 它其实是发言于我们所说的福建
[00929.24-00931.08] 就是我们经常说的
[00931.08-00932.96] 宁南这样的系列的地区
[00932.96-00933.24] 对吧
[00933.24-00935.08] 所以在这个地方
[00935.08-00938.68] 我只是把这裂 连通的烤点给大家去标注出来了
[00938.68-00939.68] 大家要知道
[00939.94-00941.22] 这一个内容
[00941.22-00944.56] 好吧 那这个是我我们所说的有关于周南和少南
[00944.56-00945.76] 那为什么叫少南呢
[00945.76-00948.64] 因为我们都知道当时在西州的时候是为有个少功
[00948.64-00949.54] 所以呢
[00949.54-00950.70] 我们所说的少南
[00950.70-00953.52] 它其实就是少功统治的南方领域
[00953.52-00956.84] 所以它那个地方的名歌呢就被秘民为叫做
[00956.84-00957.60] 少南
[00957.60-00959.86] 所以我们经常说说周南怎么样呢
[00959.86-00962.84] 周南叫做温柔 温柔 温柔 温柔 正施风
[00962.84-00964.08] 就是每个地区
[00964.08-00965.24] 他封铺民俗都不一样
[00965.24-00966.96] 所以他也面出来了东西都不一样
[00966.96-00968.80] 所以周南温柔炖后
[00968.80-00970.40] 而少难的制普
[00970.40-00971.68] 而不忘申请
[00971.68-00973.80] 所以这是我们所说的周南和少南
[00973.80-00975.16] 那当然了后面还有什么呢
[00975.16-00975.96] 还有被风啊
[00975.96-00976.84] 还有被风啊
[00976.84-00977.40] 正风啊
[00977.40-00978.04] 还有被风啊
[00978.04-00979.04] 等等这一系列
[00979.04-00979.84] 大家知道
[00979.84-00980.96] 所以在封当中
[00980.96-00982.56] 给大家去解身出来的
[00982.56-00983.60] 一些关于
[00983.60-00985.20] 这一个部分的细节的考虑
[00985.20-00985.92] 大家知道
[00985.92-00986.32] 第一个
[00986.32-00987.60] 它是地方的名歌
[00987.60-00988.64] 不同的地区
[00988.64-00989.60] 那名歌不一样
[00989.60-00990.48] 所以一共十五
[00990.48-00991.36] 周福珠后果
[00991.36-00992.24] 所以被称为
[00992.24-00994.24] 比较15我国风
[00994.24-00996.84] 那他一共16时便是核心内容
[00996.84-00998.32] 这16时便当中
[00998.32-00999.84] 使我地区我们需要注意
[00999.84-01002.20] 我们经常在适应当中提到二男
[01002.20-01004.44] 你要知道这二男是哪两个
[01004.44-01005.48] 一个是周男
[01005.48-01006.80] 一个是少男
[01006.80-01007.80] 大家注意一下
[01007.80-01010.44] 这是整个在有关于风总体上
[01010.44-01011.72] 需要他们去掌握的
[01011.72-01013.32] 那第二个就是他也知道
[01013.32-01015.68] 我们经常在去背一些失聚
[01015.68-01017.60] 或考一些文学的内容的时候
[01017.60-01020.32] 他总会考到一些常见的失聚
[01020.32-01024.32] 那今天呢需要同学们补充的第二地方就是在于我们要知道
[01024.96-01028.16] 我们经常看到的风衍送当中的风
[01028.16-01030.24] 它在失去在失经当中
[01030.24-01032.56] 我们最余常见的失去有哪些
[01032.56-01034.40] 旋第1个呢我们来看一下
[01034.40-01036.72] 我们需要打起掌握的第一个内容
[01036.72-01038.96] 就是背风叫做鸡骨
[01038.96-01041.28] 这个背风呢大家知道这个背
[01041.28-01042.56] 这个所在这个地区
[01042.56-01044.16] 我们称对为叫做背骨
[01044.16-01046.16] 它其实是河南省汤银线
[01046.16-01050.52] 我们所说的一个被成的村在那个地方
[01050.52-01054.60] 有我们所说的就是原本的这个被国所在的地区
[01055.12-01056.92] 那像这样的一个地区大家都知道
[01056.92-01058.96] 既然是在河南那这会咱说的
[01058.96-01061.76] 河呢那就是咱们所说的种缘了对吧
[01061.76-01063.32] 你看像在中原这个地方
[01063.32-01065.36] 它水土相对来说比较怎么样
[01065.36-01067.40] 比较疯后收回条件比较好
[01067.40-01069.72] 你看像我们所说的下商周时期
[01069.72-01073.04] 尤其是我们所说的商的发言地
[01073.04-01075.04] 阴伤其实就在我们所说的呢
[01075.04-01075.88] 就在河呢
[01075.88-01078.70] 所以河南的水土峰后生活条件好
[01078.70-01082.54] 那同时来看一下像这种生活条件比较好的地方
[01082.54-01086.24] 他培养出来的地区的老百姓能够写出来的东西
[01086.24-01088.16] 就能够体现他地区的特色
[01088.16-01090.16] 被风罪明显的特色是什么呢
[01090.16-01092.08] 是刚柔并计
[01092.08-01094.56] 所以你看他写的东西
[01094.56-01095.60] 比较意思
[01095.60-01096.60] 咱来看一看
[01096.60-01099.32] 他所给到的这个被风当中的机谷
[01099.32-01100.40] 他在机谷当中
[01100.40-01101.24] 他给到了
[01101.24-01102.20] 有一句话
[01102.20-01103.52] 是我们经常会说的
[01103.52-01108.24] 这其实是一个相对来说 比较长那张一首诗
[01108.24-01111.88] 从在这里面咱们不说 咱们不哪一句都说
[01111.88-01115.56] 咱们直接大家去讲一下 因为咱不是文学课嘛
[01115.56-01118.56] 咱们只是说 给大家去拖展一下这个厂试
[01118.56-01122.84] 这个整个这个备风机果 它分成五张 也就是五个小段落
[01122.84-01124.56] 你看一下 它其实是五句话
[01124.56-01128.72] 这五个小段落呢 分别去描述了我们所说的相的内容
[01128.72-01131.92] 第一个部分 它描述了就是 占是李嘉 你看了
[01131.92-01135.12] 叫做土國城草我讀男性
[01135.12-01135.68] 為什麼呢?
[01135.68-01138.56] 因為我讀男性就意味著我要出去打仗了
[01138.56-01140.56] 暫時李嘉沒有歸土
[01140.56-01142.00] 他瞄會的事這樣了
[01142.00-01143.04] 那第二個部分呢?
[01143.04-01146.40] 你看他後面說了說不我以歸優心有充
[01146.40-01148.08] 就是我也想回家
[01148.08-01149.36] 但是我能不能回去
[01149.36-01150.24] 回不去
[01150.24-01151.92] 你看他優心有充
[01151.92-01153.20] 體現他就是怎麼樣
[01153.20-01154.32] 可望回家
[01154.32-01155.68] 而他去做一個
[01155.68-01157.28] 帶國出兵打仗的這樣
[01157.28-01157.92] 那個士兵
[01157.92-01159.12] 到了我們所說的
[01159.12-01161.28] 第三個部分的時候就出現了問題
[01161.28-01164.10] 说于以求之于林之下
[01164.10-01165.38] 于以求之于林之下
[01165.38-01167.64] 就是他出去走的时候你看
[01167.64-01169.68] 我们所说的马去哪儿呢
