[00000.00-00002.82] 好的 同学们 刚刚看完了
[00002.82-00005.38] 我们所说的新思想他提出来的背景
[00259.46-00260.48] 我们来看一下
[00260.48-00262.48] 新思想他用对的时代客题
[00262.48-00263.30] 是什么
[00263.30-00266.76] 在这里面同时把这个时代客题给他标注出来
[00266.76-00268.66] 这个地方在整体的考试上
[00268.66-00269.44] 大家注意一下
[00269.44-00271.36] 他是一个非常重要的
[00271.36-00273.28] 两星期的实际性的知识点
[00273.28-00275.02] 一般情况之下就会问你
[00275.02-00278.08] 以下属于新思想要解决的时代客题的事
[00278.08-00279.48] 或者是在这里面
[00279.48-00283.14] 以下关于各个思想他对应正确或错误的事
[00283.14-00285.06] 所以在这里面大家一定要知道
[00285.06-00287.12] 那么先来从红官上来看一下
[00287.12-00289.44] 西思想套解決的時代客廳是什麼
[00289.44-00291.08] 在書上頭們來看
[00291.08-00293.76] 說18大以來叫美肉換下
[00294.16-00296.92] 叫美肉心時代堅持和發展
[00296.92-00299.32] 什麼樣的中國特色收主義
[00299.32-00302.32] 以及怎樣堅持和發展中國特色收主義
[00302.32-00304.12] 這個重大的時代客廳
[00304.12-00307.72] 形成了我們所說的這樣一個心思想的體系
[00307.72-00311.96] 這裡面我們發現所有的時代客廳的巨石都是一樣的
[00311.96-00314.12] 都市是什麼和怎麼做
[00314.12-00316.52] 我們把核心關鍵詞提亮出來就行了
[00316.52-00318.52] 在这里面核心关键刺激在什么
[00319.52-00321.32] 就在于新时代
[00322.72-00326.12] 坚持和发展
[00326.32-00328.00] 我简单写中特主义了
[00328.00-00330.32] 坚持和发展中特主义
[00330.32-00332.52] 因为这里面咱们前面提到过
[00332.52-00335.32] 我们说了新思想提出来的时代背景就是什么
[00335.32-00338.92] 新思想提出来的时代背景就是新时代
[00338.92-00342.32] 因为到2020年我们的生活和之前有了一个很大的变化
[00342.32-00343.12] 所以我们才说了
[00343.12-00344.72] 我们不入到了一个新时代
[00344.72-00347.54] 這是中國發展新的歷史方面
[00347.54-00350.54] 那在心時代條件之下如何走好中國的路
[00350.54-00354.74] 那就要明確堅持和發展中國特色收主義了
[00354.74-00356.50] 所以在這裡就是心時代條件
[00356.50-00357.78] 如何走好事的路
[00357.78-00359.32] 所以整個心思想
[00359.32-00361.10] 他偉繞的也是什麼
[00361.10-00363.92] 他偉繞的也是怎麼樣走
[00363.92-00367.26] 我們要搞一個什麼樣的心時代的收主義堅持的問題
[00367.26-00367.70] 對吧
[00367.70-00369.04] 所以我在前面跟大家說過
[00369.04-00369.56] 我說
[00369.56-00370.58] 被這樣的內容呢
[00370.58-00372.88] 你不需要把所有的具事都給他背下來
[00372.88-00374.16] 你只需要把握著他
[00374.16-00375.64] 是什么和怎么做
[00375.64-00376.72] 就OK了
[00376.72-00379.00] 把屋主他的核心关键子就可以了
[00379.00-00379.76] 所以在这里面
[00379.76-00380.28] 大家注意
[00380.28-00381.72] 这是10万大一来
[00382.36-00383.12] 我们所说的
[00383.12-00384.28] 最开始的时候
[00384.28-00385.12] 听出来的
[00385.12-00386.64] 信思想要解决的问题
[00386.64-00389.72] 但是我刚才有给大家去明确的去讲道过
[00389.72-00391.08] 我之前给大家说过
[00391.08-00394.08] 我说整个信思想的理论体系
[00394.08-00396.00] 他自2012年提出来之后
[00396.00-00398.08] 他可不可能是一程不便的
[00398.08-00399.96] 他指定不可能是一程不便的
[00399.96-00400.84] 大家想一想
[00400.84-00402.32] 你看从2012年到现在
[00402.32-00405.08] 我们身边发生了很多的这样一个变化
[00405.08-00406.00] 对吧 比如说
[00406.00-00408.80] 你看我们国家迎来了新的体制改革
[00408.80-00410.96] 我们去进行我们所说的国家
[00410.96-00412.80] 只能机构的这样的一个调整
[00412.80-00414.80] 我们调整了很多的民生政策
[00414.80-00417.24] 我们现在甚至是面臨了很多
[00417.24-00419.56] 来自社会的新的什么挑战
[00419.56-00421.52] 来自国际局势上新的挑战
[00421.52-00423.68] 那这些新的挑战 新的诉求
[00423.68-00425.92] 就要求整个新思想的体系
[00425.92-00430.16] 自示娜以来它是不断的风服变化和发展的
[00430.16-00432.28] 所以它回答的这个时代课题
[00432.28-00434.28] 也随着时代背景的变化
[00434.28-00436.44] 有了一些新的内容
[00436.44-00437.52] 所以大家注意
[00437.52-00439.24] 我们在这里要明确两个点
[00439.24-00440.32] 第一个点就是
[00440.32-00442.16] 自10万大一来的时候
[00442.16-00443.04] 也就是最开始
[00443.04-00444.16] 新思想提出的时候
[00444.16-00446.20] 它确实是要解决
[00446.20-00447.72] 中国特色收货主义
[00447.72-00450.04] 在西时代条件之下发展的问题
[00450.04-00452.28] 但是随着时代的不断变化
[00452.28-00453.80] 它回答的时代客题
[00453.80-00455.32] 也得到了不到的风服
[00455.32-00456.32] 一直到什么时候
[00456.32-00457.64] 有了一个明确的定论
[00457.64-00458.88] 大家旁标准一下
[00458.88-00460.32] 就是在19届
[00460.32-00462.00] 六中全会的时候
[00462.00-00467.80] 1916中全会再次去论数西斯想的时候
[00467.80-00471.08] 他就给到了其他的一些重大理论内容
[00471.08-00472.92] 所以到了166中全会的时候
[00472.92-00474.96] 大家要知道整个西斯想
[00474.96-00476.92] 他要回答重大课题的内容
[00476.92-00478.56] 就有了一个丰富和发展
[00478.56-00481.48] 具体从原来回答一个时代课题
[00481.48-00484.20] 变成现在要回答几个时代课题
[00484.20-00485.16] 我们来看一下
[00485.16-00487.60] 我给大家在这做了一个考点不充
[00487.60-00491.44] 他說對於新時代黨和國家
[00491.44-00494.52] 失業發展一系列重大理論和實驗問題進行了
[00494.52-00496.28] 深碎的思考和科學判斷
[00496.28-00497.06] 誰判斷的
[00497.06-00498.56] 這就是國家領導人判斷的
[00498.56-00500.14] 在這種情況之下
[00500.14-00504.44] 就以下問題後面在這就以下
[00504.44-00506.24] 重大時代科體
[00506.24-00509.32] 提出了一系列圓創新的治國理論
[00509.32-00511.48] 我們所說的這個心理和心思想
[00511.48-00513.56] 也就是在這裡同一門在旁邊寫上
[00513.56-00517.72] 這是在19屆六中全會的時候提出來的
[00517.72-00520.28] 隨著心思想的不斷來上和發展
[00520.28-00522.04] 它從原本回答一個問題
[00522.04-00523.92] 現在擴展到了回答幾個問題
[00523.92-00524.76] 三個問題
[00524.76-00527.08] 那這三個問題需要同樣去的背住
[00527.08-00528.72] 來看一下是哪三個問題呢
[00528.72-00530.12] 第一個還是一樣的
[00530.12-00532.12] 就是心思在堅持和發展
[00532.12-00534.20] 什麼樣的中國特色社會主義
[00534.20-00537.32] 以及怎樣堅持了發展中國特色社會主義的問題
[00537.32-00540.16] 這裡面心思在堅持和發展中特主義
[00540.16-00541.00] 這個點每邊
[00541.00-00543.36] 因為無論在任何時代挑戰之下
[00543.36-00546.88] 中國發展的前進方向是不能變的
[00546.88-00548.84] 因為我們在前面給大家講過
[00548.84-00551.12] 中國只有一條路可以走
[00551.12-00552.24] 這條路就是什麼
[00552.24-00553.92] 就是社會主義道路
[00553.92-00556.52] 因為這是歷史和人民的選擇
[00556.52-00558.16] 所以我們經常會聽到一句話
[00558.16-00561.24] 就是我們既不能走風逼交換的老路
[00561.24-00563.84] 也不能走改其一支的邪路
[00563.84-00566.16] 中國唯一的康裝大道
[00566.16-00568.64] 就只有社會主義這一條路
[00568.64-00570.28] 而我們的社會主義和其他不一樣
[00570.28-00571.20] 我們叫做什麼
[00571.20-00572.52] 中國特色的社會主義
[00572.52-00574.16] 所以你无论搞什么建设
[00574.16-00575.40] 你的方向不能丢
[00575.40-00577.64] 所以它在时代客题当中的第一刻
[00578.52-00579.44] 和前面一样
[00579.44-00580.28] 依舅明确了
[00580.28-00583.52] 歇时代坚持的发展中国特色社会主义的问题
[00583.80-00585.60] 但是有了这个方向
[00585.60-00586.72] 我们今天只知道说
[00586.72-00588.44] 我们要走好社会主义这条路
[00588.44-00591.28] 但是我们要把属于中国的社会主义
[00591.44-00593.36] 打造成什么程度呢
[00593.52-00595.96] 到了今天我们必须有一个明确了什么
[00595.96-00597.16] 目标和院解
[00597.16-00598.72] 这个明确的目标和院解
[00598.72-00601.24] 也就是在西思想当中回答的第二个问题
[00601.24-00604.70] 就是建设什么样的收购主义现代化墙国
[00604.70-00607.48] 怎样建设收质性的话墙国的问题
[00607.48-00610.20] 于是在新的时代调查一下
[00610.20-00613.92] 我们要严着收质主义的这条道路实现什么发展
[00613.92-00616.60] 实现现代化墙国的发展
[00616.60-00619.40] 那建设什么样的收质性的话墙国
[00619.40-00621.72] 我们天天说要建设基本实现现代化
[00621.72-00623.52] 要稿收质性的话墙国
[00623.52-00625.04] 现在还墙国要什么样
[00625.04-00626.84] 这是新思想要解决问题
[00626.84-00628.64] 第二个如何搞好
[00628.64-00632.30] 現代化強國的建設我們天天體戰略安排幾步走
[00632.30-00633.24] 兩步走
[00633.24-00634.48] 所以你看他的邏輯
[00634.48-00635.68] 那在的邏輯是什麼呢
[00635.68-00638.60] 就是沿著中國特色收主義方向
[00638.60-00640.54] 實現一個什麼樣的目標
[00640.54-00643.10] 就是現代化強國的目標
[00643.10-00646.24] 所以他的問題就在於建設什麼樣的收主義
[00646.24-00648.34] 現代化強國怎樣建設
[00648.34-00651.12] 但是我們要在這裡清晰的明確一個點
[00651.12-00653.28] 就是無論你走收回主義道路
[00653.28-00655.30] 還是搞現代化強國的建設
[00655.30-00657.06] 你都離不開誰的領導
[00657.06-00660.54] 同時因為你想想我淡凡提到離不開誰的領導領導的問題
[00660.54-00663.78] 就都離不開中國共產黨的領導
[00663.78-00664.82] 同時你要知道
[00664.82-00666.90] 我們在學政治和學實證的時候
[00666.90-00669.66] 你必須有幾個底層羅計時老老把握住的
[00669.66-00671.98] 這個國家引令國家發展的
[00671.98-00673.50] 我們所說的領導力量
[00673.50-00675.50] 引領中國未來發展方向的
[00675.50-00677.22] 那就只有中國共產黨
[00677.22-00678.86] 因為它是我們所說的什麼
[00678.86-00681.14] 實證黨它是中國的領導力量
[00681.14-00683.18] 至這條底線是必須把握住的
[00683.18-00684.10] 所以我們剛才說了
[00684.10-00686.14] 無論是嚴著事務主義道路方向
[00686.14-00689.86] 還是藉設收主性的話 牆果都離不開正黨的領導
[00689.86-00691.70] 而我們國家的正黨是什麼正黨
[00692.70-00694.22] 馬克思主義執政黨
[00694.22-00695.90] 所以你看他第三個問題是
[00695.90-00699.62] 藉設什麼樣的長期執政的馬克思主義政黨
[00699.62-00703.06] 怎樣藉設長期執政的馬克思主義政黨的問題
[00703.06-00704.94] 所以在這裡面 我們會發現
[00704.94-00707.30] 19接六中全會當中
[00707.30-00711.18] 他回答的問題就從原本的一個擴展到幾個三個
[00711.18-00714.06] 那這三句話 同學們都需要去寫嗎
[00714.06-00716.64] 不需要 我前面说过 巨师都一样的
[00716.64-00718.02] 你只把什么记下来
[00718.02-00722.02] 来在你的书上 在旁边把关键词标注出来就行了
[00722.02-00724.30] 在旁边写上 196中全会冒号
[00724.30-00725.54] 写三个关键词
[00725.54-00728.34] 中国特色收入主义你就解写中特主义
[00728.34-00732.26] 第二个 现代化强国 第三个 马斯主义之争的
[00732.26-00734.94] 明白吧 他的内赛的罗教刚才已经说过了
[00734.94-00736.90] 无论是收入中特主义
[00736.90-00739.98] 这个方向的坚持还是在收入主义条件之下
[00739.98-00741.98] 是先現的話強國這個目標
[00741.98-00744.08] 它都離不開中國共產黨的領導
[00744.08-00746.38] 而中國共產黨是馬克斯主義之政黨
[00746.38-00748.18] 所以最後一個問題解決的就是
[00748.18-00752.02] 建設什麼樣的長期執政的馬克斯主義
[00752.02-00756.38] 政黨以及怎樣建設長期執政的馬克斯主義政黨的問題
[00756.38-00758.68] 所以這是我們所說的整個心思想
[00758.68-00760.58] 它要回答的時代課題
[00760.58-00763.28] 所以在這裡面我們就會發現總結下來
[00763.28-00766.68] 心思想的時代課題如果它問說18拉以來
[00766.68-00768.28] 它要解決的問題是什麼
[00768.28-00770.84] 那这种情况这些他如果只给你一个选项
[00770.84-00772.62] 那这里面就去选什么
[00772.62-00775.40] 新时代坚持和发展中国特色收主义
[00775.40-00777.64] 如果他给你的是多选题
[00777.64-00779.10] 你这个时候你就要把什么
[00779.10-00783.76] 19届三种19届六中全会的这三个全都选上
[00783.76-00784.92] 也就是我们所说的
[00784.92-00786.58] 终特主义
[00787.84-00789.18] 我们所提到的
[00789.18-00791.18] 现代化强国
[00792.52-00794.84] 还有最后一个就是我们所说的
[00794.84-00797.00] 马斯主义只政党
[00798.28-00802.44] 馬斯主義之政的
[00802.44-00805.96] 或者是按照他所給
[00805.96-00807.50] 按照我們書上所給到的
[00807.50-00809.28] 長期之政的馬斯主義政的
[00809.28-00811.04] 我們就簡單寫馬斯主義政黨
[00811.04-00811.60] 好吧
[00811.60-00814.40] 就這三個問題
[00814.40-00816.44] 所以同時會發現他難嗎
[00816.44-00817.28] 他其實不難
[00817.28-00821.44] 我們覺得有的時候像這樣內容我們背起來比較復甲的一個主要原因
[00821.44-00823.96] 就是沒有辦法把握住他的內在裸介
[00823.96-00826.96] 甚至我們不太能夠理解他解決什麼樣的問題
[00826.96-00828.72] 如果说把它拆开了
[00828.72-00830.16] 去内话它的逻辑的话
[00830.16-00831.44] 很多内容对不对
[00831.44-00833.32] 说其实是非常简单的
[00833.32-00834.76] 这个就是我们所说的
[00834.76-00838.04] 整个心思想套解决的时代客题
[00838.04-00839.32] 你看它要解决的时代客题
[00839.32-00840.48] 其实都特别大
[00840.48-00841.52] 而这个时代客题
[00841.52-00842.80] 它本身上就是什么
[00842.80-00844.32] 中国未来发展
[00844.32-00846.36] 何去和从了这样的一个问题
[00846.36-00847.48] 这是我们所说的
[00847.48-00848.88] 第一个要明确
[00848.88-00851.28] 马斯主义它所解决的时代客题
[00851.28-00853.20] 这个地方在整体的考察上
[00853.20-00854.48] 我把它考察角度
[00854.48-00856.48] 也在这里与同分做一个说明
[00856.48-00860.32] 第一個它會考察到思想
[00860.32-00863.34] 與客體的對應
[00863.34-00866.38] 思想與時代客體的對應
[00866.38-00869.88] 這時候它如果考察思想與時代客體的對應的話
[00869.88-00873.00] 這個時候就要把燈三顆
[00873.00-00874.22] 還有我們的心思想
[00874.22-00875.52] 動動給它去去分開
[00875.52-00877.08] 因為我們都知道任何一個理論
[00877.08-00879.68] 它其實都有特定的時代客體要解決
[00879.68-00881.32] 第二個它會考察
[00881.32-00885.60] 心思想它的時代客體變化
[00885.60-00889.56] 實在客題的變化
[00889.56-00891.72] 最開始的時候是只有一個
[00891.72-00892.96] 這一個是什麼
[00892.96-00894.12] 我就不用給大家說了
[00894.12-00895.32] 大家都能夠被住
[00895.32-00896.52] 但是問題就在於
[00896.52-00898.28] 當它變成三個的時候
[00898.28-00899.76] 它是要解決的
[00899.76-00900.96] 考察的問題就兩個
[00900.96-00902.36] 當它從一個變成三個的時候
[00902.36-00904.68] 第一個是哪次會議題的
[00904.68-00906.44] 那大家要知道是石油街
[00906.44-00907.44] 六中全會
[00907.44-00910.04] 第二個這三個是哪些內容
[00910.04-00911.56] 這個大家也要知道
[00911.56-00916.08] 所以这是它的考察的角度
[00916.08-00919.28] 而它出体无非就是单选多选和判断
[00919.28-00922.20] 因为我们在中特这个地方讲解
[00922.20-00923.96] 或者是我们大部分的一种给大家讲解的
[00923.96-00926.48] 大家都做客观体来去掌握就行了
[00926.48-00928.20] 像咱们的广东的小伙伴
[00928.20-00931.88] 或者是像干素或个位体去考主观体的这种特别少
[00931.88-00933.88] 所以如果时间元取的话
[00933.88-00935.48] 我们后面会针对于主观体
[00935.48-00937.80] 针能再给大家去讲解一下怎么去做打
[00937.80-00940.52] 以及它的另一版的这个中特
[00940.52-00943.84] 好吧,现在我们大部分又与全国同好的
[00943.84-00946.16] 或者全国是业单位的这些小伙伴
[00946.16-00948.92] 咱们就把他全都当作客观题掌握就行了
[00948.92-00951.40] 把握住他的出一角度就OK了
[00951.40-00953.56] 这个就是我们所说的第一个
[00953.56-00956.52] 大家明确了,新思想套解决的问题
[00956.52-00960.08] 我们要知道,说新思想套解决这些问题
[00960.08-00963.24] 咱们就来看一下,他提出了哪些具体的内容
[00963.24-00965.16] 来主意解决这些问题
[00965.16-00968.56] 所以我们明白了,在这里面了解了他的时代客题之后
[00968.56-00970.96] 接下来第二个我们就要去看一看
[00970.96-00972.68] 他到底说了哪些内容
[00972.68-00974.72] 也认识在这个时代课题之下
[00974.72-00976.96] 他提出来哪些具体的内容
[00976.96-00980.28] 这个就叫做新思想的科学体系
[00980.28-00983.56] 那就来看一下他的科学体系具体的内含吧
[00983.56-00986.16] 他的科学体系其实从总体上来看
[00986.16-00988.08] 我先把框架给到大家
[00988.08-00990.52] 他的新思想的科学体系
[00990.52-00992.16] 其实在我们的教材当中
[00992.16-00993.96] 去给大家去设置的标题
[00993.96-00995.92] 其实是包括我们所说的啥呢
[00995.92-01000.20] 包括我们所说的第一个整个科学体系的核心要议是什么
[01000.20-01002.44] 也是它是围绕哪些内容展开的
[01002.44-01005.32] 这是原来10%的时候我们要去明确的
[01005.32-01008.64] 第二个就是在书上给到的说现在的西思想
[01008.64-01012.64] 它的科学体系可能包括我们所说的10个明确
[01014.36-01017.24] 然后还有14个坚持
[01019.16-01023.44] 以及书上所给到的13方面成就
[01023.44-01025.84] 但这13方面成就没有给大家去检展
[01025.84-01026.44] 还说
[01026.44-01027.84] 但是到战士的大主义
[01027.84-01032.08] 它的内容可不单单只有10个明确14个坚持和13方面成就
[01032.08-01033.94] 如果连通到20大的话
[01033.94-01034.70] 大主义下
[01034.70-01035.94] 连通到20大的话
[01035.94-01041.64] 现在我们在20大当中提到的是16个方面的成就和变隔
[01041.64-01042.56] 所以在这里面
[01042.56-01045.64] 它的科学体序如果只从红官上来发分的话
[01045.64-01050.14] 就是10个明确14个坚持13方面或16方面成就
[01050.14-01052.84] 要看一下它具体说的是哪一次会议
[01052.84-01053.92] 这个都没有关系
[01053.92-01057.04] 所以我们现在红官上了解这几个点
[01057.04-01058.00] 了解这一个点
[01058.00-01060.40] 但是在这里面它难究难在什么
[01060.40-01063.16] 在它考试的角度上特别的细节
[01063.16-01065.92] 我在这里先把整个科学体系的考察角度
[01065.92-01067.56] 给大家在旁边做一个说明
[01067.56-01069.04] 你也可以在10个明确
[01069.04-01070.76] 旁边写上它的考察角度
[01070.76-01073.44] 它的考察角度可能是有这么几个点
[01073.44-01076.00] 第一个就是考察它的科学体系
[01076.00-01078.64] 它的内容的发展变化
[01078.64-01082.68] 那种的发展电话
[01082.68-01084.78] 这个那种的发展电话的考察
[01084.78-01086.84] 它的内容与愿会议的对应
[01086.84-01088.32] 如果老师有点抽象
[01088.32-01089.64] 我比如说跟举个例子
[01089.64-01090.62] 他经常说
[01090.62-01093.48] 以下关于新思想说法正确和错误的事
[01093.48-01094.26] 他就说了
[01094.26-01096.00] 说在党的18大
[01096.00-01098.86] 提出了8个明确和14个坚持
[01098.86-01100.32] 听明白了
[01100.32-01102.32] 他说在党的18大提出了
[01102.32-01103.86] 8个明确和14个坚持
[01103.86-01105.00] 正确对不对
[01105.00-01105.72] 不对
[01105.72-01109.80] 因为8个明确和14个坚持内容体系拿出来
[01109.80-01111.20] 是在10个大的时候
[01111.20-01113.28] 或者他经常说
[01113.28-01115.52] 说19届6种权会明确了
[01115.52-01118.92] 新思想的内容包括10个明确
[01118.92-01122.12] 16方面成就和14个坚持
[01122.12-01123.08] 对不对呢
[01123.08-01124.08] 也不对
[01124.08-01124.84] 因为什么呢
[01124.84-01127.92] 因为19届6种权会提到的是13方面成就
[01127.92-01129.68] 你说老师我现在判断不出来
[01129.68-01130.16] 没关系
[01130.16-01131.32] 一会我们会搭去讲
[01131.32-01132.80] 所以你要知道他考察呢
[01132.80-01134.44] 第一个角度他会考察什么
[01134.44-01136.80] 它的内容变化的这样的一个过程
[01136.80-01138.78] 考察它以会议的这样的一个对应
[01138.78-01139.70] 大家要知道
[01139.70-01142.22] 那第二个买就是在这里面它会考察
[01142.22-01144.88] 10个明确的内容
[01144.88-01147.16] 这10个明确有两个初提角度
[01147.16-01149.16] 第一个初提角度比较红观
[01149.16-01149.82] 就是考
[01149.82-01151.92] 说10个明确有哪些
[01151.92-01153.76] 你下属于10个明确的事
[01153.76-01157.16] 这个点其实早在多少年前还考得比较多
[01157.16-01159.80] 但是这一年考的说议实话不是很多了
[01159.80-01161.78] 但是个别地区依旧再考
[01161.78-01162.90] 咱们要稍微注意一下
[01162.90-01164.58] 要知道10個明確有那些
[01164.58-01166.10] 第二個就是在這裡面
[01166.10-01168.10] 它會考察一些微觀的內容
[01168.10-01169.30] 這些微觀的內容
[01169.30-01171.02] 就是把10個明確當中
[01171.02-01174.30] 比如說明確堅持中國共產黨的領導
[01174.30-01176.66] 然後在這一段話裡面給你挖個扣
[01176.66-01177.50] 就會考察
[01177.50-01179.78] 這10個明確當中個別的細節
[01179.78-01182.10] 但是達至到並不是10個明確
[01182.10-01183.30] 所有的細節都會考到
[01183.30-01184.26] 它有幾個點
[01184.26-01185.26] 它不太會考
[01185.26-01186.26] 所以我們在這裡面
[01186.26-01188.14] 會為大家考細節的地方
[01188.14-01190.10] 大家展開去說一說
[01190.10-01191.22] 這是第二個
[01191.22-01193.82] 第3個角度就是大家應該聽過
[01193.82-01196.54] 我們整個幾個明確
[01196.54-01197.82] 它其實是有一個變化的
[01197.82-01200.94] 它是原本從8個明確變成了10個明確
[01200.94-01201.30] 對吧
[01201.30-01202.30] 它有的時候呢
[01202.94-01207.74] 也會考察到說19屆6中全會新增的兩個明確有哪些
[01207.74-01208.58] 也就是在這裡面
[01208.58-01211.58] 大家知道10個明確當中有兩個
