[00000.00-00004.38] 今天我们就从考试的角度来聊聊整个明天时期
[00280.32-00282.88] 当时主带上就说它反与不反
[00282.88-00284.60] 都是死了一条的怎么办呢
[00284.60-00286.24] 他就早人给他算了一罐
[00286.24-00288.26] 结果说反还有可能没事
[00288.26-00290.04] 于是主任章去找了谁呢
[00290.04-00291.32] 就去找了汤河了
[00291.32-00292.72] 而找汤河的时候呢
[00292.72-00294.28] 就是投拘
[00294.28-00295.72] 谁的军人当中呢
[00295.72-00296.56] 当着那个人呢
[00296.56-00298.00] 就做过子心
[00298.96-00300.28] 就投到他这边
[00300.28-00302.12] 那当然去投到过子心中
[00302.12-00303.32] 这个军当中的手
[00303.32-00304.96] 人家以为他是个兼细
[00304.96-00307.32] 就过子心去炸主任章的这番主任章
[00307.32-00308.28] 没害怕
[00308.28-00310.08] 所以当时对主任章格外相
[00310.08-00312.00] 就是另眼相看
[00312.00-00314.42] 而自然章也在郭子星的军队当转
[00314.42-00315.96] 昏得是风声水弃
[00315.96-00317.96] 甚至取了郭子星的一女
[00317.96-00319.32] 信马星的一个姑娘
[00319.32-00321.36] 一人他后来的马皇后
[00321.36-00324.28] 然后既然就记住郭子星的这个势力
[00324.28-00325.92] 逐步的做大做强了
[00325.92-00327.36] 那在后面的
[00327.36-00328.48] 我们所说的朱恩章
[00328.48-00329.36] 他的这个
[00329.36-00331.24] 我们所说刑军被战的过程当转
[00331.24-00332.52] 他的这个军事才呢
[00332.52-00334.00] 就完全突显出来了
[00334.00-00336.28] 他很明显是一个不安套路出牌的人
[00336.28-00336.64] 对吧
[00336.64-00339.32] 我们也知道農民起一家出身的
[00339.32-00340.76] 所以也是一个非常明显的
[00340.76-00342.64] 把10件派
[00342.64-00344.58] 这是我们所说的这个出员张
[00344.58-00345.68] 那出员张呢
[00345.68-00350.20] 我们也知道它推翻了原炒建立了我们所说的明炒
[00350.20-00354.84] 所以在这里我们来看一下明炒的建立与它的制式
[00354.84-00356.40] 在明炒的建立当中
[00356.40-00358.48] 首先第一个出员张称地建立明炒
[00358.48-00361.04] 第二个考点就是同没有知道定度在哪
[00361.04-00361.76] 第一个点
[00361.76-00361.84] 第一个点
[00361.84-00364.32] 第一个点是定度在硬天服
[00364.32-00366.56] 也就是我们所说的南京
[00366.56-00368.32] 这个点为什么要去实际呢
[00368.32-00370.52] 因为后面一会儿在讲到朱地的时候
[00370.52-00374.88] 我们都知道朱地把朱城从南京牵到了北京
[00374.88-00376.44] 为什么要牵到北京呢
[00376.44-00378.72] 其实会有一个师词考到这儿
[00378.72-00380.68] 叫天子守国门
[00380.68-00382.32] 也是到了朱地那个时候呢
[00382.32-00385.40] 把朱城牵到北京守住北方
[00385.40-00385.72] 对吧
[00385.72-00388.32] 在这里面其实是有一个朱城的变牵的
[00388.32-00390.28] 所以在朱言章这个时期
[00390.28-00391.52] 同时要注意一下
[00391.52-00393.84] 朱城其实是在南京
[00393.84-00394.68] 这是第一个点
[00394.68-00395.56] 大家要注意一下
[00395.56-00396.28] 那第二个点呢
[00396.28-00397.56] 在这里大家知道
[00397.82-00399.76] 中央张马特从南王北打
[00399.76-00401.40] 所以明朝是我国
[00401.40-00404.40] 第一个由南方向北方统一的全国性政权
[00404.40-00405.50] 而中央张
[00406.00-00407.84] 他的年号叫做红武
[00407.84-00409.34] 所以在他时期的之里
[00409.34-00411.64] 被称入一叫做红武之制
[00411.64-00413.68] 红武之制的点考察的时候
[00413.68-00414.72] 一般考察什么呢
[00414.72-00415.48] 同们注意一下
[00415.48-00418.28] 一般在这里考察圣识的排序
[00420.20-00422.40] 考察圣识的排序
[00422.40-00424.96] 咱们从先行时期开始讲
[00424.96-00426.50] 一直讲到了明清
[00426.50-00428.60] 我们所涉及到的圣识有很多
[00428.60-00432.60] 在这里面就会把它做一个点来考察圣识的排序
[00432.60-00434.96] 这是第二稍同秘密注意的
[00434.96-00436.08] 我们所说的
[00436.08-00438.48] 主任长统治时期出现的致施
[00438.48-00440.04] 除了这两点之外
[00440.04-00442.76] 我在这里还给同们补充了第三个考察点
[00442.76-00443.60] 就在这
[00443.60-00445.24] 就是经常会考察
[00445.24-00446.40] 出现了一件事
[00446.40-00447.60] 它和实际有关系
[00447.60-00448.92] 在这里没有两件事
[00448.92-00450.20] 是个主任长的关的
[00450.20-00452.92] 第一点事就是我们经常在电视剧当中
[00452.92-00453.92] 听到这样一话
[00453.92-00456.20] 叫鳳天成月皇帝照约
[00456.20-00458.20] 你比如说我这两天还在看真环转
[00458.20-00460.04] 看到西非回宫了
[00460.04-00460.36] 对吧
[00460.36-00461.44] 当时那个太简
[00461.44-00462.68] 咱宣读的胜质
[00463.56-00464.44] 当说的是
[00464.44-00466.92] 鳳天成月皇帝照约
[00466.92-00469.12] 叫维赞公平而眼庆
[00469.12-00470.24] 端赖柔家
[00470.24-00471.64] 女乎录真环
[00471.64-00473.00] 遇着名门
[00473.00-00474.28] 温公帽住
[00474.28-00475.44] 养成皇太后
[00475.44-00478.44] 辞运侧为西非亲子
[00478.44-00480.00] 大师为总能听到这种
[00480.00-00480.20] 对吧
[00480.20-00481.36] 这是我这两天看念事的
[00481.36-00482.32] 我的卡的好几遍了
[00482.32-00483.24] 都给得记住了
[00483.24-00485.54] 那一开在这个圣子宣告之前
[00485.54-00486.32] 出现了一句话
[00486.32-00488.28] 叫鳳天城院皇帝照约
[00488.28-00488.88] 对吧
[00488.88-00490.58] 其实这句话都断句
[00490.58-00491.76] 它是错的
[00491.76-00493.42] 这个里面大家注意一下
[00493.42-00495.24] 它的原本的断军该怎么断
[00495.24-00496.00] 应该这么断
[00496.00-00498.28] 叫鳳天城院皇帝
[00498.28-00499.48] 照约
[00499.48-00500.56] 就在这里
[00500.56-00502.24] 皇帝风程上天的指引
[00502.24-00503.36] 下了照数说
[00503.36-00505.96] 叫鳳天城院皇帝照约
[00505.96-00508.08] 原本制造的时候
[00508.08-00510.68] 是按照我刚才断军的形式写的
[00510.68-00513.20] 但当时呢 这家长就说说那能行吗
[00513.20-00514.40] 对吧 我是皇帝
[00514.40-00517.04] 我买天子天子与天起
[00517.04-00518.04] 所以他当时说
[00518.04-00520.04] 你给我把这个我的这个位置对起了
[00520.04-00520.92] 要和天起
[00520.92-00522.44] 所以他都对承了交什么呢
[00522.44-00524.48] 说 奉天成月皇帝
[00524.48-00525.60] 赵月
[00526.88-00529.48] 你看 终于皇帝要和天子平起嘛
[00529.48-00530.40] 所以在这里面
[00530.40-00532.52] 我们经常就看到电视剧当中就开始读了
[00532.52-00534.88] 叫奉天成月皇帝绕月其实不是的
[00534.88-00536.80] 叫奉天成月皇帝
[00536.80-00539.08] 赵月 强调我的这个位子
[00539.08-00540.32] 我买天子与
[00540.32-00541.80] 所以同们注意一下
[00541.80-00543.28] 这个鳳铁成运皇帝
[00543.28-00545.52] 照约从谁开始使用的
[00545.52-00548.16] 其实从主缘章这个时候才有的
[00548.16-00550.72] 在主缘章之前其实没有这样的一个说法
[00550.72-00552.64] 大家要注意一下第一个点
[00552.64-00554.20] 那这个点出现了之后
[00554.20-00555.64] 同时要做到两步
[00555.64-00556.84] 第一个要知道
[00556.84-00560.32] 这件事情它其实是和主缘章对应在一起的
[00560.32-00563.72] 第二个就是如果它考察历史现象
[00563.72-00565.24] 说那在送朝的时候
[00565.24-00566.68] 皇上下照书约
[00566.68-00569.20] 鳳铁成运皇帝照约
[00569.20-00570.24] 重測法对不对
[00570.24-00570.84] 不对
[00570.84-00572.12] 因为这个说法
[00572.12-00575.40] 只在明朝专章的时候才开始用
[00575.40-00576.20] 所以这个点
[00576.20-00577.12] 大家要注意
[00577.12-00578.04] 这是第一个
[00578.04-00579.56] 我们需要给大家捕充的
[00579.56-00581.56] 第二个和专章有关的时间
[00581.56-00582.68] 就是它说过一句话
[00582.68-00584.60] 就要区处湖魯恢复中华
[00584.60-00585.92] 立刚成绩
[00585.92-00587.76] 叫做救祭司名
[00587.76-00590.44] 就是要把原朝的同志的赶走
[00590.44-00592.64] 然后在这里建立自己的同志
[00592.64-00593.08] 对吧
[00593.08-00595.68] 在这里就给到了区处湖魯恢复中华
[00595.68-00596.44] 这个点
[00596.44-00597.24] 同学们有的时候
[00597.24-00598.32] 就会把他搞混
[00598.32-00601.64] 和谁搞换呢,把它和孙中山先生搞换
[00604.46-00608.56] 孙先生说过一句相类似的话吧,那就话叫驱出达罗
[00608.82-00609.84] 恢复中环
[00612.14-00614.44] 达住一下,叫做驱出达罗
[00614.96-00627.50] 恢复中环,建立民国平均地权,这两个地方可不是一样的哦,一字之差,人物就不一样了,所以在这里大家注意下这两个点是很容易搞换的
[00627.50-00631.08] 这次我们所说的关于主源章当中
[00631.08-00631.84] 这两个点
[00631.84-00632.62] 大家注意一下
[00632.62-00634.42] 一共是三个考察点
[00634.42-00634.92] 三考察点
[00634.92-00637.22] 这第一个主源章建立了明朝
[00637.22-00639.28] 那主源章建立了明朝之后呢
[00639.28-00640.56] 第二节是什么呢
[00640.56-00643.38] 在明朝发展当中的第二节时间就在这里
[00643.38-00644.66] 需要同们去实际的
[00644.66-00646.44] 叫做竟难之一
[00646.44-00649.52] 竟难之一呢是发生在谁和谁之间的事呢
[00649.52-00652.14] 是发生在朱运门和他的叔叔
[00652.14-00653.86] 朱迪之间的事情
[00653.86-00656.94] 所以同时们在竟难之一旁边写上两个人
[00656.94-00658.94] 一个是注意文
[00663.42-00665.90] 一个是我们所说的租地
[00665.90-00667.90] 发生在他们两个之间
[00667.90-00670.90] 为什么这件事情会发生在租文和租地之间
[00670.90-00673.26] 其实这个事和谁脱不了关系
[00673.26-00675.58] 其实这个事是和租文章脱不了关系的
[00675.58-00678.46] 租文章当时非常喜欢他的孙子
[00678.46-00679.42] 叫做租文
[00679.42-00682.78] 所以他当时就想把这个黄位传给租文
[00682.78-00685.94] 而他也知道租文是他的小孙子
[00685.94-00690.86] 所以主言招手下的大臣不一定能听出远文的话
[00690.86-00692.42] 所以当时主言上干嘛呢
[00692.42-00696.38] 当时就主言上就把他一起和他开国的这个兄弟
[00696.38-00698.74] 也就是我们所说的开国的这几个大臣
[00698.74-00700.26] 想法是把都给弄死了
[00700.26-00701.78] 比如说这刀是弄死了谁呢
[00701.78-00704.70] 回忆用对我们都知道回忆用是明朝的最后
[00704.70-00708.34] 或者是中国风见历史上最后一个宰象
[00708.34-00711.54] 又接着我们所说的这种谋反之名
[00711.54-00714.58] 又把李山长和我们所说的虚达都弄死了
[00714.58-00716.62] 他当时的目的其实很简单
[00716.62-00718.16] 这是他知道开国的工程
[00718.16-00719.70] 很容易彼此到他的地位
[00719.70-00722.40] 而他的孙子朱雨文也不见得
[00722.40-00724.10] 就能够拿您主这些老臣
[00724.10-00726.74] 所以就把这些老臣全都产出掉了
[00726.74-00727.54] 全产出掉了
[00727.54-00729.70] 所以这是我们所说的这个朱雨昌
[00729.70-00730.70] 也能够看得出来
[00730.70-00732.10] 他这个人的心性
[00732.10-00733.46] 其实是深不可测的
[00733.46-00735.62] 而当时朱雨昌非常喜欢朱雨文
[00735.62-00737.42] 李朱雨文去到出去参观
[00737.42-00738.48] 跟这大体看
[00738.48-00739.62] 李朱雨文就去看
[00739.62-00741.42] 说你小子以后
[00741.42-00742.66] 就是要当皇帝的
[00742.66-00744.46] 按记得这些爷爷跟你说的话
[00744.46-00746.54] 你不要害怕 你看一下
[00746.54-00748.30] 这都是我们所说的这些大臣
[00748.30-00749.70] 对吧 爷东都帮你拿你
[00749.70-00751.34] 如果在他们之外
[00751.34-00752.58] 还有其他人造反
[00752.58-00753.30] 你也别怕
[00753.30-00755.38] 你不是还有很多叔叔和大爷吗
[00755.38-00757.26] 那你就让你的叔叔大爷
[00757.26-00759.02] 帮着你来平反就行了
[00759.02-00761.06] 因为主人张把这些大臣拿掉之后
[00761.06-00761.86] 他认为
[00761.86-00763.06] 我天下的是
[00763.06-00764.90] 应该是他们老朱家自己的事情
[00764.90-00766.42] 所以他就把他的儿子
[00766.42-00767.94] 都封了分王
[00767.94-00769.38] 当时就一个
[00769.38-00770.38] 我们所说的阴王
[00770.38-00771.78] 就是谁呢 就是朱弟
[00771.78-00773.14] 当时他跟朱爷爷说
[00773.14-00775.54] 这个话的时候呢 这文当时年纪还小
[00775.54-00777.06] 他就发出了这样一个疑问
[00777.06-00779.70] 他说 那如果大成分挺反
[00779.70-00781.46] 有叔叔和大爷们帮我
[00781.46-00783.14] 那如果叔叔和大爷们反了
[00783.14-00784.10] 谁来帮我呢
[00784.10-00785.54] 当时这个话疑问的时候
[00785.54-00786.66] 这件事要嫩了一下
[00786.66-00788.02] 当然想得说没事
[00788.02-00789.06] 这个问题呢
[00789.06-00790.26] 主任长就没有管
[00790.26-00791.62] 结果到了后面的时候
[00791.62-00794.50] 果真就竞担之一就发生了
[00794.50-00797.06] 竞担之一发生在这文和租地之间
[00797.06-00798.50] 主要就是为了我们所说的
[00798.50-00799.94] 中国皇位
[00799.94-00801.30] 这文就是我们所说的
[00801.30-00805.40] 民会中当时坐在那装确实之后把王位传给追文之后
[00805.40-00808.10] 朱地其实是很不乐意这件事的
[00808.10-00811.80] 因为朱地这么多年一直数手在我们所说的北方
[00811.80-00814.60] 就是没有功劳有苦了
[00814.60-00818.00] 论刑军打仗论才能他一点不举追文差
[00818.00-00821.60] 所以在这里面他就发难干嘛
[00821.60-00825.30] 小成为皇帝于是发生了我们所说的竞难之一
[00825.30-00827.70] 而竞难之一发生之后在这里面
[00827.70-00829.34] 其实在打仗的时候很明显
[00829.34-00831.82] 最后军队是打不过朱地的军队
[00831.82-00834.54] 因为朱地朝年在边塞利冰沫嘛
[00834.54-00835.64] 对吧 在边塞
[00835.64-00837.32] 就是针刀针枪的硬皮
[00837.32-00841.26] 而军队的手下这些人是原本的老臣的孩子们
[00841.26-00842.62] 可以说是不私进去
[00842.62-00845.34] 也没有什么治国的这样的一个大的才能
[00845.34-00846.66] 所以在整体上
[00846.66-00850.10] 军队的主在我们所说的历史这样一个地位的
[00850.10-00851.30] 而打到后面的时候
[00851.30-00852.26] 打到我们所说的
[00852.26-00854.78] 黄龙当中去大家都知道出现了
[00854.78-00855.78] 黄龙着火
[00855.78-00857.34] 最后这位闻不知去向
[00857.34-00860.22] 然后朱地就成为了我们所说的
[00860.62-00862.94] 皇帝就是民城族
[00862.94-00863.94] 就是民城族
[00863.94-00866.14] 所以这两个人之间发生的事情
[00866.14-00867.78] 主要就是我们刚才所说的
[00867.78-00869.02] 静难之一了
[00871.50-00872.38] 静难之一
[00872.38-00874.70] 而我们所说的朱地成为民城族
[00874.70-00875.70] 当了皇上之后
[00875.70-00877.78] 也是一个非常秦政的皇上
[00877.78-00879.54] 所以在朱地治理期间
[00879.54-00881.98] 就出现了民朝的第二个生事
[00881.98-00883.90] 民朝的第二个生事造的杀
[00883.90-00885.14] 民朝的第二个生事
[00885.14-00886.90] 就做用乐生事
[00886.90-00889.10] 同样这个影乐生事要给的记住
[00889.10-00890.10] 首先第一个要知道
[00890.10-00892.02] 影乐生事在谁期间
[00892.02-00893.74] 民成组组地期间
[00893.74-00894.82] 这个影乐生事
[00894.82-00896.26] 一样的会考察
[00896.26-00897.30] 圣识
[00897.30-00898.94] 或者是我们常说的
[00898.94-00901.26] 就做事件的排序
[00904.42-00906.46] 这是第一个大家要注意一下
[00906.46-00907.74] 而在我们所说的
[00907.74-00908.66] 影乐生事期间
[00908.66-00909.62] 组地成为环体间
[00909.62-00910.18] 千路点
[00910.18-00911.62] 千路北京
[00911.62-00912.42] 大家注意一下
[00912.42-00912.94] 第二个
[00912.94-00914.18] 千路北京
[00914.18-00915.42] 千路北京当中
[00915.42-00916.42] 就是我刚刚所说的
[00916.42-00917.94] 牵路北京都主要的原因
[00917.94-00919.78] 就是数手在哪个地方
[00919.78-00920.26] 对吧
[00920.26-00921.54] 所以在这里牵路北京
[00921.54-00924.50] 经常会出现一句话叫天子守国门呢
[00925.50-00926.06] 问
[00926.06-00928.34] 说天子守国门说的是谁
[00928.34-00931.42] 那你就知道说的是名成组主帝
[00931.42-00933.42] 最后还有一句话叫君王死涉及
[00933.42-00934.78] 君王死涉及说的是
[00934.78-00937.06] 最后我们要讲的重争黄底
[00937.06-00938.62] 所以在这里牵路北京
[00938.62-00940.58] 讲的就是名成组主帝这个事
[00940.58-00942.90] 而在名成组的勇乐生日期间
[00942.90-00946.66] 第三个就是编转了我们所说的勇乐大点
[00946.66-00950.82] 勇乐大点 勇乐大点所涵干的那种非常非常的风附
[00950.82-00954.74] 包括军事政治文化 什么手工业等等
[00954.74-00957.46] 这都是我们所说的勇乐大点的那种
[00957.46-00960.26] 可以说是一本综合性的 百克全书
[00960.26-00964.34] 所以同学们把这个勇乐大点去给它标注出来
[00964.34-00966.58] 同学们最起码了 知道这个勇乐大点
[00966.58-00970.10] 它是我们所说的在什么时期成书的
[00970.10-00971.42] 在什么时期重书的
[00971.42-00972.38] 所以大家注意一下
[00972.38-00973.30] 这是这个点
[00973.30-00975.58] 而有乐大点它有自己的地位
[00975.58-00979.50] 它的地位就是中国古代最大的一部类数
[00979.50-00981.06] 把它写在旁边
[00981.06-00989.82] 叫中国古代最大的类数
[00991.02-00994.74] 叫中国古代最大的类数
[00994.74-00995.74] 也就是在这里面
[00995.74-00997.70] 它其实是按照我们所说的
[00997.70-01003.18] 今時子節,等等,就是按照這個,來進行分類和編轉的。
[01003.18-01006.60] 所以同學沒有知道,這是我們所說的最大的類書。
[01006.60-01010.38] 它也被稱為,叫做世界,由是以來最大的擺刻全書,
[01010.38-01024.06] 把它的地位邪在旁邊,這個點經常是文學上的考察點,叫做世界,由是以來最大的擺刻全書。
[01024.06-01029.18] 这个就是我们所说的
[01029.18-01031.10] 有乐大体,但是很遗憾的是
[01031.10-01033.26] 有乐大点在后面的我们所说的
[01033.26-01035.86] 西方帝国对中国发起清华
[01035.86-01038.62] 战争之后,这个有乐大点就稍微了
[01038.62-01039.82] 这很可惜的一件事
[01039.82-01042.10] 所以这是第三个,大家要注意一下
[01042.10-01045.58] 而我们知道明成组,朱地成为皇帝之后
[01045.58-01049.30] 它其实也知道自己的这个皇位会有一些购病
[01049.30-01052.34] 所以它在这里面,它其实做了几方面的打算
[01052.34-01053.62] 第一個方面的打算就是
[01053.62-01055.02] 他牽怒北京的一方也原因
[01055.02-01056.34] 就是要守國門
[01056.34-01058.38] 對吧把都成住拉蓋這
[01058.38-01061.10] 和我們所說的北方的擁民族進抗衡
[01061.10-01062.42] 另外一方面的就是
[01062.42-01064.98] 他必須和我們前面講到的一樣
[01064.98-01066.30] 就是立朝立代
[01066.30-01067.70] 只要是政權根諜
[01067.70-01070.78] 他其實都需要給自己一個民政延須的借口
[01070.78-01072.90] 對吧所以他實現了這個牽怒
[01072.90-01074.10] 那除了牽怒之外
[01074.10-01076.06] 他想而自己的政權得到
[01076.06-01078.26] 相應的大家的圖邊的認同
[01078.26-01079.34] 他還搞了一個事情
[01079.34-01080.70] 就是在這裡需要投門去
[01080.70-01085.04] 记得第四个就要做派政核先后七次下降
[01085.04-01089.06] 这个就是我们所说的政核下降
[01089.06-01091.70] 这下降其实有两个方面的
[01091.70-01093.76] 传说是有两方面原因的
[01093.76-01096.66] 一个方面就是刚才我们所说的宣纯阳国威了
[01096.66-01098.62] 另外一方面其实就是说
[01098.62-01101.70] 当时和罪文打完了之后的罪文不见了
[01101.70-01104.50] 听说在国外然后到处就去找他
[01104.50-01106.18] 但无论是出于什么原因
[01106.18-01109.50] 政核下降确实是起到了宣纯阳国威的一个作用
[01109.50-01111.02] 不知道大家有用了听过
[01111.02-01112.90] 就任何他有一个外号
[01112.90-01114.10] 任何外号叫啥呢
[01114.58-01115.70] 散财同主
[01115.90-01117.10] 任何先后
[01117.10-01118.86] 妻子下星要花了多少钱
[01119.02-01121.38] 花了600万两百亿
[01121.38-01122.42] 同时什么概念
[01122.42-01123.94] 600万两百亿
[01123.94-01125.82] 换在今天不计期数
[01126.02-01127.58] 那出去之后就少了
[01127.58-01127.98] 对吧
[01127.98-01129.58] 所以大家都亲戚的成任
[01129.58-01130.74] 任何为散财同主
[01131.02-01132.54] 而任何先后妻子下星
[01132.54-01134.34] 在这里给大家标准出来说
[01134.34-01135.86] 最远到达非洲红海
[01135.86-01137.18] 被称为中国最早的
[01137.34-01138.02] 好海家
[01138.02-01141.98] 但这个不重要 同能记得正合是消息次下降就可以了
[01141.98-01143.82] 这是在这里和正合有关的
[01143.82-01147.42] 正合也为称这位叫个什么叫做三宝胎件
[01147.42-01148.54] 大家要注意一下
