[00000.00-00006.00] 好的,我们接着上次客的内容来往下看,咱们再上一期看到中,其实给大家讲完了。
[00124.32-00127.20] 它的每一个点到底该如何考察
[00127.20-00128.28] 而且特别考察的时候
[00128.28-00130.56] 和稍稍靠查实际性的题目
[00130.56-00133.04] 机构考察都是理解性的题目
[00133.04-00135.68] 这是这一节大家要明确它的重点
[00135.68-00138.08] 咱们就一步一步主意来看
[00138.08-00141.64] 那么先来看一下第一个对立统一规律
[00141.64-00142.92] 这对立统一规律
[00142.92-00145.44] 接受发展的圆圈和动力
[00145.44-00147.04] 来统能标注这个点
[00147.04-00148.68] 把圆圈和动力化出来
[00148.68-00151.72] 它是一个医生级的实际性的题目
[00151.72-00153.08] 就算会在这里考
[00153.08-00156.48] 一个选择体或者在这里考一个判断体
[00156.48-00159.08] 因为在这里面我们所说的三大规律
[00159.08-00161.32] 他其实分别都有自己的地位
[00161.32-00163.60] 所以在这里面他所提到了这个
[00163.60-00165.72] 对立统一规律大家要知道
[00165.72-00169.28] 他是看就是我为什么会发展
[00169.28-00172.20] 所以在这里叫做圆圈和动力
[00172.20-00173.48] 但是对立统一规律
[00173.48-00175.76] 他其实是挖掘了数发展的原因
[00175.76-00178.76] 在这里面产出了一个概念叫做某顿
[00178.76-00180.52] 所以他是三个问题当中
[00180.52-00181.96] 最为核心的一个
[00181.96-00184.24] 所以大家在旁边在标注一下
[00184.24-00188.24] 就是对于维绿它也是变政法的核心
[00189.04-00194.84] 现在旁边它也是变政法的核心
[00196.04-00198.64] 是维吾变政法的核心内容
[00198.64-00202.44] 所以在这里对于维绿其实是有两个地位
[00202.44-00206.04] 大家知道这是第一个我们要去明确的考虑
[00206.04-00208.34] 对于维绿接受说发展
[00208.34-00209.64] 原权和动力
[00209.64-00211.32] 那只要了他的地位之后呢
[00211.32-00212.68] 今天我们就来看一下
[00212.68-00214.56] 那到底什么才叫做
[00214.56-00216.12] 对立统医规律呢
[00216.12-00217.80] 怎么来看一下他的概念啊
[00217.80-00219.12] 他对立统医规律啊
[00219.12-00220.64] 又成矛盾规律
[00220.64-00222.04] 那这里面完了
[00222.04-00223.00] 对立统医规律
[00223.00-00224.04] 咱还没有搞清楚
[00224.04-00225.48] 矛盾规律又出来了
[00225.48-00227.08] 那到底啥是矛盾呢
[00227.08-00228.08] 他后没有说了
[00228.08-00228.96] 说矛盾啊
[00228.96-00232.68] 是反应事务客观内部和不同事务之间的
[00232.68-00235.48] 对立统医关系的哲学饭仇
[00235.48-00236.80] 所以在这里面他说了
[00236.80-00238.52] 对立统医就是矛盾
[00238.52-00239.52] 矛盾是啥呢
[00239.52-00243.60] 矛盾代表是事物内部和不同事物之间的对立统一关系
[00243.60-00245.46] 你说老师是不是有编吗 对吧
[00245.46-00248.04] 说来说去又给热回去了
[00248.04-00248.34] 对吧
[00248.34-00250.26] 我们在这里解决的就是对立统一
[00250.26-00251.90] 结果他告诉对立统一叫矛盾
[00251.90-00253.50] 然后结果他说矛盾是啥呢
[00253.50-00256.24] 矛盾就是对立统一关系
[00256.24-00258.08] 在这个地方大家要明去
[00258.08-00260.12] 我们在这里所强调的矛盾
[00260.12-00261.60] 他结合日常生活当中
[00261.60-00263.58] 我们所去理解的矛盾不太一样
[00263.58-00266.32] 我们在日常生活当中在习惯的位置上
[00266.32-00267.56] 我们认为矛盾是什么
[00267.56-00269.76] 我們認為矛盾代表的是衝突
[00269.76-00272.32] 比如說咱俩會產生獲得多少矛盾
[00272.32-00274.88] 因為咱俩之間指定是不合的
[00274.88-00275.96] 有衝突的
[00275.96-00277.40] 而在哲學上的矛盾
[00277.40-00280.20] 它其實和生活當中的衝突不一樣
[00280.20-00282.28] 哲學上的矛盾代表的是一種
[00282.28-00284.08] 看問題的角度
[00284.08-00286.40] 代表的是看問題的思維方式
[00286.40-00288.52] 這是你對一個樹的判斷
[00288.52-00290.44] 和你對一個樹的解讀
[00290.44-00292.76] 你到底是從什麼角度去解讀他
[00292.76-00294.20] 這個就叫做什麼
[00294.20-00296.04] 就叫做哲學上的矛盾
[00296.04-00297.58] 而哲學上的矛盾
[00297.58-00299.36] 他在整個定義當中
[00299.36-00301.10] 他給到說哲學上的矛盾
[00301.10-00302.58] 代表的是一種關係
[00302.58-00303.82] 什麼樣的關係呢
[00303.82-00306.54] 叫做對立統一關係
[00306.54-00308.84] 那只有解決了什麼叫做對立
[00308.84-00310.04] 什麼叫做統一
[00310.04-00311.88] 我們才能真正的實現解決
[00311.88-00314.08] 什麼叫做哲學上的矛盾
[00314.08-00315.60] 那說老師說了半天
[00315.60-00318.32] 到底什麼樣的關係代表的是對立關係
[00318.32-00320.68] 什麼樣的關係代表是統一關係呢
[00320.68-00323.04] 那單純的用我們現在
[00323.04-00325.08] 我們所說的直接給大家去解釋
[00325.08-00327.12] 咱们没有办法解释的非常地全面
[00327.12-00328.80] 所以小解决什么是对立
[00328.80-00329.64] 什么是统一
[00329.64-00330.84] 要借助啥呢
[00330.84-00333.40] 要借助矛盾的机本属性
[00335.00-00336.56] 大家可以看一下说
[00336.56-00338.84] 矛盾的机本属性有几个呢
[00338.84-00339.68] 两个
[00339.68-00340.44] 一个是
[00340.44-00341.40] 斗争性
[00341.40-00342.24] 一个是
[00342.24-00343.00] 统一性
[00343.00-00344.44] 那矛盾的斗争性
[00344.44-00346.04] 其实就是在说什么
[00346.04-00347.72] 就是在说我们所说的
[00347.72-00348.60] 对立
[00348.60-00349.72] 而矛盾的
[00349.72-00350.60] 统一性
[00350.60-00352.72] 其实就是在说矛盾的哪一方面
[00352.72-00355.02] 之后再说矛盾的统一
[00355.02-00356.04] 所以在这里
[00356.04-00357.34] 细节点就出来了
[00357.34-00363.08] 为什么矛盾的斗争性和统音性是矛盾的基本首先
[00363.08-00367.00] 因为他们就在去产出矛盾斗底是什么
[00367.00-00368.52] 所以在这里大家知道
[00368.52-00370.48] 我们想要搞清楚对立
[00370.48-00373.62] 想搞清楚统音就要去从基本首先下手
[00373.62-00375.96] 因为斗争性代表的是对立关系
[00375.96-00377.96] 统音性代表是统音关系
[00377.96-00382.38] 所以他们两个就是在解释矛盾到底是什么
[00382.38-00387.34] 那我们来看一下到底什么是斗争性,到底什么是同一性呢?
[00387.34-00389.94] 咱们主意来看一下啊,首先在这里
[00390.66-00392.38] 来看一下,书上所说的
[00392.62-00396.74] 说毛度的同一性只得是啥,书上有一块,同一给的话出来啊
[00397.02-00402.50] 说毛度的同一性,只得是毛度说方,相互一纯相互冠通
[00402.70-00410.22] 然后面说,在一定条件下,相互转化的一种性质和趋势,这个就叫做毛度的同一性
[00410.22-00416.10] 所以在这里大家注意一下 毛巑的同一性本身是一个两星期的理解形的考察点
[00416.10-00420.46] 它一般出体的时候 往往回合按立结合再一块考察
[00420.46-00424.82] 同一性的第一种表现就叫做相互一存
[00425.82-00430.06] 如果它问说有没有体现同一性 你就看 有没有体现相互一存就可以了
[00430.06-00438.38] 什么叫做相互一存呢 相互一存发一成我们日常生活的话来说就叫做有A才有B的这种形式
[00438.38-00442.54] 或者叫我們場說的油膩才有我
[00442.54-00445.82] 在提幹中往往體現在兩個方面
[00445.82-00449.90] 拿兩方面就是A的存在是為了撐脫臂
[00449.90-00451.70] 所以你如果能看到出來
[00451.70-00454.86] 提案刀中兩東西是互相撐脫的
[00454.86-00458.38] 那這種情況之下就叫做相互一存
[00458.38-00461.38] 又或者從來說說老師我對於這個撐脫
[00461.38-00463.82] 我還是沒有辦法特別好的幹著到他的點
[00463.82-00469.70] 那你就看提案当中它所描繪的这两个事务是不是互为存在基础的
[00472.52-00479.44] 一方存在以立方存在为前体会一方存在以立方存在为基础
[00479.44-00483.02] 那只要符合这种关系才叫做相互一存
[00483.02-00490.96] 几个简单的例子来说比如说我们在经常生活当中我们去平坦一个人的外贸的时候我们经常会用到没丑这样的一段概念
[00490.96-00493.32] 那没丑这样的一段概念
[00493.32-00494.48] 它其实就是什么
[00494.48-00496.08] 它其实就是相互一吋
[00496.08-00497.24] 如果没有丑
[00497.24-00499.04] 我们能不能判断什么是美呢
[00499.04-00499.92] 其实不能
[00499.92-00501.52] 这个就是在电影当中
[00501.52-00503.04] 表现得特别的明显
[00503.04-00506.00] 大家不知道有看过真实验的淘寞蜀点出乡
[00506.00-00507.04] 但应该还记得吧
[00507.04-00508.76] 他在那里面演淘寞蜀 对吧
[00508.76-00509.92] 家裁万万
[00509.92-00511.40] 但是没有人能够读动他
[00511.40-00512.56] 他家里有八个老婆
[00512.56-00514.76] 但这个八个老婆天在家里打马调
[00514.76-00516.00] 然后那里面去理他
[00516.00-00517.00] 所以他就觉得
[00517.00-00518.40] 别人修我太风捏
[00518.40-00519.60] 我需要太人看不穿
[00519.60-00522.04] 对吧 于是他就要去找一个他的红颜之级
[00522.04-00524.16] 那在这个时候他恰恰就遇到了谁呢
[00524.16-00525.84] 恰恰就遇到了秋香
[00525.84-00528.00] 也就是恐慮所演的那个角色
[00528.00-00529.12] 后来他遇到秋香之后
[00529.12-00531.12] 他觉得秋香就是他此生所爱
[00531.12-00532.64] 他就必须要去追秋秋香
[00532.64-00533.96] 他就跟他的几个朋友说
[00533.96-00535.60] 说我遇到了一个女子
[00535.60-00536.96] 记忆众了我的心吧
[00536.96-00538.48] 对吧 长的实验是太均了
[00538.48-00539.32] 我太爱了
[00539.32-00540.96] 然后长得像天仙一样
[00540.96-00543.48] 那当时江南的其他的几个才子怎么跟他说的
[00543.48-00544.60] 说到这长什么样子
[00544.60-00545.64] 咱去看一看
[00545.64-00547.24] 那正好感想这个时候
[00547.24-00550.64] 画书的这个胶子是不是从那个
[00550.64-00553.12] 就是它那个福里当中出来
[00553.12-00556.24] 然后要去思庙去给群人发满头
[00556.24-00558.08] 然后在这里面他们四个人就走
[00558.08-00559.08] 然后当时那个胶子
[00559.08-00561.04] 当然应该还记得电人当中长久
[00561.04-00562.52] 画了一个胶子在前面
[00562.52-00563.80] 画上的胶子在后面
[00563.80-00566.40] 然后这两个胶子后面的跟了两拍人
[00566.40-00568.28] 一拍压管一拍小丝
[00568.28-00570.44] 然后当时这个征持压的角色
[00570.44-00572.80] 就一下子在人群当中看到的秋香
[00572.80-00573.72] 他带好了一声
[00573.72-00576.14] 她说秋香这个时候鼓励回头
[00576.14-00577.30] 残然一笑
[00577.30-00579.30] 当时那一笑把我的心都笑话了
[00579.30-00580.58] 但她的朋友总说
[00580.58-00581.98] 然而这就是秋香
[00581.98-00583.14] 说长得很一般
[00583.14-00584.74] 没有经为天人的感觉
[00584.74-00585.88] 唐独独独当什么说的
[00585.88-00586.78] 唐独独狄说
[00586.78-00587.62] 说你懂什么
[00587.62-00589.08] 叫红花还要
[00589.08-00589.82] 绿叶称
[00589.82-00591.16] 这个时候大了一句
[00591.16-00591.90] 没女月
[00591.90-00592.68] 然后接过这个店
[00592.68-00593.82] 当中创了一下
[00593.82-00595.34] 那所有人都回头了
[00595.34-00595.74] 对吧
[00595.74-00597.42] 有吹下秋东四星
[00597.42-00598.02] 然后呢
[00598.02-00599.52] 有在那个人群当中
[00599.52-00600.48] 有天的红脸
[00600.48-00601.54] 带回来楼尺的
[00601.54-00602.52] 有女官男装的
[00602.52-00603.92] 在这一种人里面
[00603.92-00605.80] 我求向一下变得特别好看
[00605.80-00606.48] 他的朋友说
[00606.48-00606.72] 哇
[00606.72-00607.36] 果然
[00607.36-00608.72] 精未天人
[00608.72-00610.64] 那你看在这个变化里面
[00610.64-00612.96] 他从秋香觉得很一般
[00612.96-00614.56] 没有特别经验的感觉
[00614.56-00616.92] 一直到秋香变得精未天人
[00616.92-00618.04] 他其实是因为什么
[00618.04-00619.76] 就是因为秋香的这种
[00619.76-00620.52] 美
[00620.52-00623.12] 他是由其他人的普通作为撑脱的
[00623.12-00625.04] 或者说可以用其他人的丑
[00625.04-00626.00] 作为撑脱
[00626.00-00628.32] 那这种朋友抓住这里的官司
[00628.32-00629.96] 只要你在天安当中能看到
[00629.96-00632.12] 所以有A才有B的这种感觉
[00632.12-00634.92] 或者說互相撐脫的這種關係
[00634.92-00637.48] 那這裡面其實就能夠體現什麼呢
[00637.48-00640.52] 這裡面就能夠體現相互依存
[00640.52-00642.36] 那這個就叫做消互依存
[00642.36-00645.88] 那在日常生活當中這樣的例子實在是太多了
[00645.88-00647.24] 比如說同學們
[00647.24-00648.88] 咱們在流浪地球二裡面
[00649.60-00651.08] 看到那個電人裡面他去
[00651.08-00652.20] 描述了一個場景
[00652.20-00654.68] 其實在那裡面提到了一個話題
[00654.68-00657.80] 就是如何能夠讓人類得到擁聲
[00657.80-00659.44] 是不是提到了數字生命
[00659.44-00662.84] 有声这个话题其实是人类一直所追求的
[00662.84-00664.68] 为什么人类会追求用声啊
[00664.68-00666.68] 因为人类未据死亡
[00666.68-00668.88] 所以大家说永远活着是特别好的
[00668.88-00669.48] 对吧
[00669.48-00672.36] 所以人人都会恐惧死亡
[00672.36-00673.80] 这个时候死亡
[00673.80-00676.36] 他恰恰的存在的意义就在这
[00676.36-00678.32] 就是因为死亡的可怕
[00678.32-00681.16] 才趁脱出了生的可贵
[00681.16-00682.96] 所以你看死和生
[00682.96-00684.40] 其实就是一段什么
[00684.40-00686.00] 就是一段矛盾
[00686.00-00688.80] 有死才有生有生才有死
[00688.80-00691.62] 对吧 那这个过程当中有A-Type B
[00691.62-00694.18] 那我们所说的所谓的恐惧
[00694.18-00696.98] 趁脱出来了生命的可贵
[00696.98-00698.98] 那这里面是否体现了趁脱
[00698.98-00700.06] 那这种情况之下
[00700.06-00701.86] 他如果给到消得描述
[00701.86-00704.42] 那死和生之间应该是什么关系
[00704.42-00705.96] 相互一存的关系
[00705.96-00708.26] 如果是相互一存 那他就是什么
[00708.26-00709.96] 就是同一性
[00709.96-00711.00] 那就是同一性
[00711.00-00712.62] 所以这是相互一存
[00712.62-00714.40] 那相互一存除了刚才我说的
[00714.40-00715.68] 他考案例之外
[00715.68-00717.22] 他还会结合什么来考呢
[00717.22-00720.04] 他会结合我们所说的古文来考察
[00720.04-00721.58] 一旦考古文的时候
[00721.58-00724.26] 下开是同学们再去学这个支持点里面
[00724.26-00725.80] 最投投的一个地方
[00725.80-00726.96] 同学们投通在哪儿呢
[00726.96-00727.86] 这是老师
[00727.86-00728.86] 我突不动
[00728.86-00730.10] 所以他出体的时候
[00730.10-00732.14] 我感觉为一理解烧一有骗他
[00732.14-00734.24] 然后就做错了
[00734.24-00736.14] 这是同学们做错的第一种情况
[00736.14-00738.58] 同学们做错的第二种情况在哪里呢
[00738.58-00740.14] 第二种情况就是在于
[00740.14-00741.86] 大多数的同学
[00741.86-00743.92] 他其实走了一个极端
[00743.92-00746.14] 就是我们说了某多的双方
[00746.14-00749.82] 同學認為毛動的雙方一定是對立非常明顯
[00749.82-00753.02] 非好疾惠 非黑疾白的這種
[00753.02-00755.42] 比如說就一定要是一段反役詞
[00755.42-00757.66] 如果他在體感中沒有找到反役詞的話
[00757.66-00758.62] 他就覺得說
[00758.62-00759.98] 他就沒有提下毛頓
[00759.98-00761.98] 這個就屬於什麼 走擊端了
[00761.98-00763.58] 你如果是這樣走擊端的話
[00763.58-00765.34] 你做股文體做案例體
[00765.34-00767.50] 都很有可能出差頭
[00767.50-00768.54] 因為我們說了
[00768.54-00771.34] 毛動雙方是相互一存的關係
[00771.34-00772.94] 他只要是相互一存的
[00772.94-00775.02] 他就能代表毛頓的同意性
[00775.02-00778.54] 他不一定是一段反疫则才能是
[00778.54-00780.26] 我们所说的矛盾的双方
[00780.26-00781.66] 你说老生举个例子吧
[00781.66-00782.70] 我在这里给大家说
[00782.70-00785.54] 你比如说老师和学生的身份
[00785.54-00788.14] 老师和学生是一段反疫则吗
[00788.14-00788.82] 不是吧
[00788.82-00790.62] 他只是两个不同的职业
[00790.62-00792.26] 但是老师和学生
[00792.26-00794.50] 他是不是矛盾双方呢
[00794.50-00796.38] 他其实也能体下矛盾双方
[00796.38-00797.18] 你看
[00797.18-00799.22] 没有老师这个职业
[00799.22-00801.22] 就不会有学生
[00801.22-00801.66] 对吧
[00801.66-00803.30] 因为没有老师去教学生
[00803.30-00804.46] 但反了也是
[00804.46-00808.04] 没有学生这个群体会不会有老师这个职业呢
[00808.04-00808.94] 也不会
[00808.94-00809.84] 所以你看
[00809.84-00812.66] 他们两个直接是不是有A才有变
[00812.66-00815.46] 或者是就是因为学生的存在
[00815.46-00819.00] 才称多出了老师在教育当中的照信是不是也行
[00819.00-00822.38] 那你看老师和学生是不是非常明显的反映此呢
[00822.38-00823.14] 不是的
[00823.14-00825.96] 但是他们能不能体现有A才有必能可以
[00825.96-00829.18] 能不能说他们直接就是矛盾说帮相互一存呢
[00829.18-00830.38] 也收OK的
[00830.38-00831.66] 所以在这里面
[00831.66-00833.34] 同学们必须去明确
[00833.34-00835.42] 并信念以前的那种观念
[00835.42-00837.34] 并信念那种非常极端的
[00837.34-00839.62] 非挟弊非好几块的这种
[00839.62-00840.94] 反义此的概念
[00840.94-00842.62] 你要扩大去理解
[00842.62-00843.90] 你要理解到
[00843.90-00845.42] 只要是相互一团
[00845.42-00846.62] 只要是称托
[00846.62-00847.86] 只要是有A才有B
[00847.86-00849.26] 那就叫做什么
[00849.26-00850.66] 同意性的体现
[00850.66-00852.06] 我举个简单的例子来说
[00852.06-00852.82] 我在这里面
[00852.82-00853.26] 比如说
[00853.26-00855.26] 咱们经常在古时此当中
[00855.26-00856.30] 听到这样句话
[00856.30-00858.54] 叫恰是未成了琢磨处
[00859.58-00860.86] 叫恰是
[00860.86-00863.42] 位层主墓處
[00866.24-00870.24] 後面還有一塊叫做煙波後苗滿目前
[00875.04-00876.14] 啥意思呢?
[00876.14-00877.24] 翻一邊
[00877.24-00879.80] 說古人在去畫畫的時候
[00879.80-00882.62] 現在像是沒有畫墓的地方
[00882.62-00883.84] 沒有畫的地方
[00883.84-00887.32] 就是在那個畫質上留白的地方叫衛层主墓處
[00887.32-00889.18] 煙波後苗滿目前
[00889.18-00890.98] 越是劉白的地方
[00890.98-00894.06] 越能提醒出江水的了口
[00894.06-00895.58] 你想花一幅水
[00895.58-00897.54] 把水化成水贴一色的感覺
[00897.54-00899.18] 你觉得你是多花几个很少
[00899.18-00899.82] 它几个好
[00899.82-00901.66] 如果花了越少越好
[00901.66-00902.66] 花了越少
[00902.66-00904.02] 就劉白越多
[00904.02-00906.58] 受就越提醒这个花的疫情了越呢
[00906.58-00907.46] 所以你看
[00907.46-00908.34] 这里面的
[00908.34-00910.38] 烟波后苗满目前
[00910.38-00912.74] 这种花的这种了越的疫情
[00912.74-00915.02] 是通过谁来称托的
[00915.02-00917.86] 是未曾主摸的地方
[00917.86-00921.06] 下一次这些非常琢磨的地方才称拖了
[00921.06-00923.34] 沿播后秒这样的情形
[00923.34-00923.78] 对吧
[00923.78-00926.78] 所以你看正是因为A称拖了B
[00926.78-00928.22] 或者是有A才有B
[00928.22-00929.26] 这部话问
[00929.26-00931.34] 它体现的什么样的哲学院里
[00931.34-00933.82] A矛盾的同一性
[00933.82-00935.70] B矛盾的斗争性
[00935.70-00937.42] C矛盾的普遍性
[00937.42-00938.90] B矛盾的扣出性
[00938.90-00940.34] 很明显学纳个
[00940.34-00942.78] 很明显要学我们所说的
[00943.54-00944.54] 同一性
[00944.54-00945.46] 所以在这里面
[00945.46-00949.00] 大家一定要比起反一词的这种打提的种数复
[00949.00-00949.62] 好吧
[00949.62-00953.50] 这个就叫做相互一纯
[00954.30-00955.90] 说完了相互一纯之后
[00955.90-00957.88] 咱们来看一下第二个
[00957.88-00958.66] 第二个呢
[00958.66-00963.66] 它体现的另一个方面叫做相互冠通
[00963.66-00965.26] 叫做相互冠通
[00965.26-00966.82] 那这里面相互冠通
[00966.82-00968.86] 它其实是有两个方面的
[00968.86-00973.26] 一个叫做相互滲透
[00973.26-00976.66] 還有一個叫做香褲轉換
[00976.66-00978.60] 在這裡面香褲滲透
[00978.60-00981.40] 在考試過程當中很少考察
[00981.40-00983.86] 香褲滲透就是A包含B
[00983.86-00985.38] B包含A的重形式
[00985.38-00987.82] 比如我們常見的叫動中有境
[00987.82-00988.70] 境中有動
[00988.70-00991.10] 這個叫做香褲滲透
[00991.10-00992.62] 但是重點在哪呢
[00992.62-00994.90] 重點在於香褲轉換上
[00994.90-00998.10] A和B代表是失誤的不同的方面
[00998.10-01000.22] 或者是代表失誤的兩方問題
[01000.22-01002.46] 反正它代表是矛盾的雙方
[01002.46-01006.04] 某个的双方它在一定条件下就可以相互转化
[01006.04-01009.88] 在这个消货转化当中其实有两层条件的大助一下
[01009.88-01012.44] 第一层条件就是考一个实际型的点
[01012.44-01014.74] 要么是判断 要么是选项
[01014.74-01015.66] 在这里说
[01015.66-01018.32] A和B 必然能够实现转化
[01018.32-01019.36] 重说就错了
[01019.36-01021.66] 因为小要神转化 输上给了一句话
[01021.66-01022.94] 要求是在
[01022.94-01026.02] 一定条件之下才可以
[01026.02-01029.86] 所以在这里面如果它的选项当中会判断体面
[01029.86-01032.42] 少了一定条件就要稍微注意一下
[01032.42-01034.98] 这句说法可能就是错的
[01034.98-01037.42] 第二就是在这考理节形的题目
[01037.42-01040.22] 叫做相互转化叫什么叫做A
[01040.22-01041.74] 辩成弊
[01043.14-01045.34] 叫做A辩成弊
[01045.34-01047.94] 在A辩成弊当中辩成弊当中辩成弊
[01047.94-01050.30] 就是我们所说的实现了转化
[01050.30-01053.30] 我们经常听到的一个案例叫做
[01053.30-01055.98] 在翁师马延知非福
[01058.02-01059.62] 叫做在翁师马
[01059.86-01060.90] 煙汁肥腐
[01060.90-01062.68] 这个里面就很好的
[01063.44-01065.24] 说明了啥呢
[01065.50-01068.56] 就很好的就说明了毛东双方的转化
[01068.82-01070.86] 肥萌师马煙汁肥腐
[01071.12-01073.44] 大家都知道有一个老头对吧
[01073.44-01074.96] 他家有一个
[01075.22-01075.98] 有一匹码
[01075.98-01078.04] 然后突然有一天的这匹码就丢了
[01078.04-01080.08] 然后大家就说爱说你好可怜呢
[01080.34-01081.88] 说你看家就这么一匹码
[01082.14-01082.90] 还跑丢了
[01083.16-01086.48] 当时肥营一笑表示说这都小三人对吧
[01086.48-01089.04] 你打知道我家妈跑丢了
[01089.04-01090.56] 他就是一个坏身
[01090.56-01091.44] 果然没几天
[01091.44-01093.40] 他在这个码带了一个女朋友回来
[01093.40-01094.80] 所以零女就说来说
[01094.80-01096.00] 你这老小子
[01096.00-01096.84] 你这运气简直了
[01096.84-01097.72] 没随了对吧
[01097.72-01098.72] 太好了这些
[01098.72-01099.76] 那三文当时呢
[01099.76-01101.84] 就是说你们怎么知道
[01101.84-01104.00] 我们家的码带回来另外一屏
[01104.00-01105.52] 他就一定是个好事
[01105.52-01106.80] 果然没几天
[01106.80-01107.84] 他的儿子
[01107.84-01110.24] 提着那一屏铃回来的码
[01110.24-01111.68] 出去跑的时候
[01111.68-01112.60] 一不小心
[01112.60-01113.92] 从码上掉下来
[01113.92-01115.04] 把腿摔断了
[01115.04-01121.90] 所有人都说,哎你就这么一个儿子,接下好了,腿摔断了,大家都在那,为他同行帮他表示被痛,那三公道就说,
[01121.90-01125.94] 哎,说你们怎么知道,我儿子腿摔断就一定是一件惠事呢,
[01125.94-01129.50] 果然没多长时间突然来干嘛呢,来中明的人来了,
[01129.50-01133.40] 中明人来了,就因为他儿子腿摔了,去不了,躲过一件,
[01133.40-01138.42] 故事到这儿是家人还是止了,没有在赶往后血,在赶往后血就会变成,所有人都说,
[01138.42-01141.16] 哎呀,你儿子都好,对吧,你看都没有去当兵,
[01141.16-01144.70] 那你咋这儿子腿摔断了没其当兵是一件好事呢,
[01144.70-01146.30] 你看在这个里面
[01146.30-01147.98] 它其实就是体现了什么
[01147.98-01152.46] 符合货之间不停的来回更点
[01152.46-01155.94] 那从好变成坏又从坏变成好
[01155.94-01158.30] 你看从一方面变成绿方面
[01158.30-01159.94] 说从变成毕变成毕变
[01159.94-01161.78] 那从一变成毕变就叫做什么
[01161.78-01163.58] 就叫做相互转换
[01163.58-01164.18] 三个是吗?
[01164.18-01165.46] 验之非服势
[01165.46-01167.42] 或者我们所说的脾击
[01167.42-01168.42] 太来
[01168.42-01169.94] 表辈到没随了
[01169.94-01170.22] 对吧
[01170.22-01172.62] 这时候一定会好运来
[01172.62-01173.14] 对吧
[01173.14-01175.94] 又或者我们所说的什么 乐集生悲呀
[01177.54-01181.14] 乐集生悲 然后天呢 太开心了 对吧 开心死了
[01181.14-01183.74] 但这时候一旦狂欢停下来
[01183.74-01187.74] 一旦这种快乐停下来 你会感觉到空前的落幕和悲励了
[01187.74-01191.14] 这就是大家为什么说 在人人多里面
[01191.14-01195.54] 我们扎多去狂欢的时候就发现越狂欢越落幕 原就在这
[01195.54-01201.14] 一旦人走查了 人去楼空之后这种留下的落幕和悲励是比之前
[01201.14-01203.70] 所平时自己一个人所忍受的
[01203.70-01205.10] 各样放大好几倍
[01205.10-01205.46] 对吧
[01205.46-01206.26] 你看像这种
[01206.26-01208.10] 乐级身悲的中感觉
[01208.10-01209.78] 它其实也是毛顿的什么
