[00000.00-00004.48] 那我们还用高星技术的最后一节就是其他高星技术
[00213.96-00215.40] 一个叫做父亲号
[00215.40-00217.24] 我们需要注意的就是
[00217.24-00218.84] 这里面的核几号父亲号
[00218.84-00220.96] 怕了自己不同的自古代稱
[00220.96-00223.76] 和寫後在這裡叫做 C-R-A-T
[00223.76-00226.28] 而父親號在這裡叫做 C-R
[00226.28-00230.32] 這個點在考察高鐵內容的時候考過
[00230.32-00231.48] 當時考的是啥呢?
[00231.48-00232.44] 張觀理戴
[00232.44-00234.40] 所以在這裡面大家一定要注意
[00234.40-00236.64] 這是我們所說的第三個小的細節
[00236.64-00238.96] 我們就知道了高鐵到底是咋回事
[00238.96-00240.84] 整個鐵路剛現實上
[00240.84-00242.84] 我們經常會看到列車
[00242.84-00244.64] 跑鐵路時會列車
[00244.64-00245.72] 不同的列車
[00245.72-00246.92] 它有不同的字幕
[00246.92-00248.20] 除了剛才我們所說的
[00248.20-00249.60] 这种成绩高铁
[00249.60-00252.36] 我们所说的地开头的这种动车
[00252.36-00254.76] 还有我们所说的这个鸡开头的这种
[00254.76-00257.48] 我们所说的就是湿大石的这种高铁的车组之外
[00257.48-00259.08] 我们还有一些其他的资母
[00259.08-00260.36] 大家应该还记得
[00260.36-00262.76] 在这里第四个点就是让我们去掌握
[00262.76-00264.28] 它的不同资母的含意
[00264.28-00266.12] 我们经常会看得有可以开头的
[00266.12-00266.44] 对吧
[00266.44-00267.40] 可以久了久
[00267.40-00268.44] 还有最开头的
[00268.44-00269.16] 最72
[00269.16-00269.40] 对吧
[00269.40-00270.60] 那像这种可以
[00270.60-00271.64] 它代表的是什么
[00271.64-00272.52] 是普快
[00273.40-00274.84] 这是快速列车
[00274.84-00276.84] 而最大也知道代表的是
[00276.84-00278.48] 值得,代表是值得
[00278.48-00280.44] 所以我们经常去测诊的时候就
[00280.44-00282.28] 这几种是不是都能看到
[00282.28-00284.08] 所以这是我们所说的关于
[00284.08-00288.04] 高铁,它盖述里面需要同学们掌握的三个细节
[00288.04-00290.60] 这是第一个,我们了解了什么是,高铁
[00290.60-00292.40] 那了解了什么是高铁之后呢
[00292.40-00294.04] 我们就来看一下有关于高铁
[00294.04-00295.48] 还有一些其他的细节一点
[00295.48-00296.80] 需要我们去找握
[00296.80-00298.44] 首先第一个大家也都知道
[00298.44-00299.76] 大家来看一下第一个土
[00299.76-00301.60] 就是我给大家标注的这部土
[00301.60-00303.56] 你看一下这是一条铁路
[00303.56-00306.08] 对吧,就是我们经常坐那种绿皮火车
[00306.08-00309.22] 或者是比较慢的这种可以或者最开口之后
[00309.22-00310.46] 或者它跑的路
[00310.46-00312.58] 你看的时候你都能看到到
[00312.58-00314.02] 就是你虽然那个车窗
[00314.02-00315.52] 我来看你是不是能看到路上
[00315.52-00316.92] 铺满了这种石头
[00316.92-00319.14] 然后它这个路只要是由我们所说的
[00319.14-00320.52] 下面这个地方
[00320.52-00321.94] 有这样的一个
[00321.94-00323.24] 只是石头打造的
[00323.24-00324.12] 然后有铁鬼
[00324.12-00325.24] 然后这边有整目
[00325.24-00325.64] 对吧
[00325.64-00327.56] 这是我们所说的普通的这个铁路
[00327.56-00328.72] 那普通的铁路下面
[00328.72-00330.28] 大家能看到像有这种地方
[00330.28-00332.28] 它有很多的碎石头
[00332.28-00333.76] 或者有很多的我们所说的
[00333.76-00335.80] 这种洗小的这种石头扎子
[00335.80-00339.92] 这种东西叫做什么呢?大家注意一下,再跑一步,标注意一下,它就说到咋啊
[00341.92-00349.36] 这个东西就做到咋,所以到咋一般情况之下,就是大多使用于我们所说的普通的,这种快速列车,它就跑的时候
[00349.60-00356.04] 到咋一般情况之下,我们都看到了很多的都是什么,都是这种石头,所以它常用的是随时
[00356.04-00357.44] 那爆炸它有什么用呢
[00357.44-00360.40] 我们只要做火车就能看能找做的是比较慢的这种车
[00360.40-00361.60] 你几乎都能看到
[00361.60-00364.56] 我们所说的它有很多的这种随时铺在那个地方
[00364.56-00365.52] 这个石头啊
[00365.52-00366.80] 作用非常大
[00366.80-00368.00] 首先第一个大家想一下
[00368.00-00371.16] 如果是纯粹的血泥的这样的一个路的话
[00371.16-00374.28] 那这时候下雨的时候它的甚水效果是不是不是很好
[00374.28-00376.04] 所以当它有爆炸的随时的时候
[00376.04-00378.56] 你下大雨它这个水就会顺到地下
[00378.56-00380.08] 所以它有利于第一个
[00380.08-00382.40] 同标注意下叫做娱水下圣
[00382.40-00386.12] 可以有利于水下升
[00386.12-00389.20] 提高我们所说的整条体路的排水能力
[00389.20-00391.64] 第二个就是它有这些碎石
[00391.64-00393.76] 你看一到碰到碎石当火车
[00393.76-00396.52] 它一下子过来大家都这么车特别成员
[00396.52-00398.20] 当车一下子过来的时候
[00398.20-00399.40] 如果没有这些碎石
[00399.40-00400.32] 帮它分单力的话
[00400.32-00401.96] 这个路面儿车就很容易压坏
[00401.96-00402.84] 所以第二个呢
[00402.84-00403.48] 大家注意一下
[00403.48-00405.92] 它可以防止我们所说的路
[00405.92-00406.56] 被压坏
[00406.56-00408.76] 也就是防止路接下程
[00408.76-00414.16] 这种防止路机下层
[00414.16-00418.60] 第三个就是有了这些小时透
[00418.60-00419.80] 你火车跑起来的时候
[00419.80-00421.68] 它的声音就没有听到的
[00421.68-00422.82] 狂狂狂狂狂狂狂狂狂狂
[00422.82-00424.02] 那种声音很大
[00424.02-00426.08] 但这种随时有一台很多的口
[00426.08-00428.22] 所以它在某种程度上能够减少
[00428.22-00428.88] 走音
[00431.32-00432.48] 能够减少走音
[00432.48-00433.88] 所以在这里面大家注意一下
[00433.88-00435.60] 这是我们所说的道杂
[00435.60-00436.76] 它的一个作用
[00436.76-00438.08] 但是我们会发现
[00438.08-00440.82] 这是我们刚才随时的跑可以或者跑罪
[00440.82-00445.16] 这样的车是最多能够看到这种带小时头的这种体路了
[00445.16-00445.52] 对吧
[00445.52-00447.80] 但是你看我们现在看到的这种高体啊
[00447.80-00450.16] 高体大部分它的这个体路
[00450.16-00451.00] 你看都是什么样的
[00451.00-00451.96] 都是很干净的
[00451.96-00454.20] 它要么就是那种架桥的这种形式
[00454.20-00454.60] 对吧
[00454.60-00457.20] 你看它是没有很多的这种什么杂食的
[00457.20-00459.28] 它的这里面所有的这些轨度
[00459.28-00461.84] 轨到都是钢筋铺上整默
[00461.84-00463.40] 然后是水泥的这种形式
[00463.40-00463.72] 对吧
[00463.72-00464.52] 所以高体啊
[00464.52-00465.28] 大家注意一下
[00466.00-00467.48] 我把这个到达鞋旁边
[00467.48-00470.16] 他比较常见的是最后可以中普通快速列车
[00470.16-00471.96] 而我们所说的正高体
[00472.96-00473.88] 同标注意一下
[00473.88-00475.16] 他一般情况之下
[00475.16-00476.60] 或者是多数情况
[00478.60-00479.76] 他多数情况
[00479.76-00481.16] 就是我们所说的这种
[00481.40-00483.12] 无咋的这种体路
[00483.12-00484.04] 所以高体
[00484.04-00485.68] 他往往都是正无咋的
[00485.68-00487.80] 这是他没有很多的这种随时的
[00487.80-00489.68] 如果你说老师那不对
[00489.68-00490.84] 说我也看到
[00490.84-00491.68] 我也很多高体
[00491.68-00492.24] 跟他跑的时候
[00492.24-00493.52] 旁边也有一些小随时
[00493.52-00494.24] 大注意
[00494.24-00495.04] 这种情况之下
[00495.04-00496.84] 是出于经济的考量
[00496.84-00499.52] 我们所说的高体在大公署情况之下
[00499.52-00500.72] 都是无咋的整体路
[00500.72-00502.20] 就是我给大家展示的这种
[00502.20-00503.44] 这四周特别干净
[00503.44-00505.68] 它为什么没有我们所说的在这里面
[00505.68-00506.64] 用到到咋呢
[00506.64-00507.28] 原来很简单
[00507.28-00510.32] 因为高体它的速度是原来超过普通列车
[00510.32-00511.76] 大家要刷一下就过去了
[00511.76-00513.00] 若它很多到咋的
[00513.00-00514.84] 那十字只会崩的可大东西
[00514.84-00515.56] 这种情况之下
[00515.56-00516.80] 第一个对体路
[00516.80-00517.76] 会有一定的損害
[00517.76-00519.24] 第二个对行人安全
[00519.24-00520.80] 是会造成危险
[00520.80-00522.44] 万一敷流減东西
[00522.44-00523.48] 有減修的
[00523.48-00524.76] 这种很容易咋上别人
[00524.76-00526.16] 所以大多数情况之下
[00526.16-00529.80] 它都是这种无咋的这种我们所说的这种轨道
[00529.80-00531.48] 但是也有一些有道咋的
[00531.48-00534.68] 但是如果说高体它有我们所说的这种道咋
[00534.68-00536.04] 但是情况很少
[00536.04-00537.88] 而是我说了它如果涉道咋的话
[00537.88-00540.08] 它是出于经济考量
[00540.08-00541.52] 说这个地方现在在修的话
[00541.52-00542.48] 成了非常地高
[00542.48-00544.60] 我们在路过这些地区的时候
[00544.60-00547.16] 也有一些有高体的
[00547.16-00549.36] 就是体路它是有一些道咋的
[00549.36-00551.00] 但是它的道咋就不是碎尺了
[00551.00-00551.76] 同标注意下
[00551.76-00553.16] 如果是有道咋的话
[00553.16-00555.48] 它砰就体路的这些就不是碎尺
[00555.48-00556.88] 而是混泌土和麗清
[00559.16-00560.12] 那现在旁边
[00560.28-00563.80] 如果有道歉的话就是混泌土和麗清
[00563.80-00565.72] 是这样的情况会比较多一点
[00565.72-00566.96] 那你看相对于石头
[00566.96-00570.32] 这两个东西的重量其实相对来说就小了很多
[00570.32-00571.80] 这是第2个大家注意一下
[00571.80-00574.24] 这是高铁它的一个运行和普通铁路不一样
[00574.24-00575.72] 第3个就是高铁运行的时候
[00575.72-00579.32] 大家看一下它如果是加起来的这种高铁的这种铁贵
[00579.32-00581.24] 那你或者是刚出战的时候
[00581.24-00583.04] 你总能看到各种各样的天线吧
[00583.04-00584.64] 就是在这里给它标注的这些
[00584.64-00586.68] 你能看到各种各样的这种电线
[00586.68-00589.00] 它为什么要在这里给我们提供电线呢
[00589.00-00589.84] 原因很简单
[00589.84-00593.40] 就是高体它其实是要通过工电来运行的
[00593.40-00594.80] 而这个工电来运行的
[00594.80-00596.84] 车车是680收就给它提供电
[00596.84-00597.88] 那这种怎么办呢
[00597.88-00601.80] 要通过价期这种电线来给高体实现充电
[00601.80-00604.52] 让周围的电厂来给高体提供什么
[00604.52-00606.00] 相用的运行电力
[00606.00-00607.36] 所以在这里面大家注意一下
[00607.36-00610.28] 高体运行它是由电厂工电的
[00610.28-00615.28] 同位没想到 老师这居然是公电的 那在厚多少电呢
[00615.28-00618.28] 那大家也能看到它电量消耗其实也是非常大的
[00618.28-00625.28] 所以在这里大家注意一下 它主要它的运行能量来源来自于我们所说的电厂公电 大家注意下这第三个
[00625.28-00632.28] 第四个不知道大家有没有在路过或跑的时候 就是往那个高体 它那个车头的价视力去看看
[00632.28-00635.86] 这是高铁它其实本身是没有方向盘的
[00635.86-00637.92] 它就有点上什么 有点像地铁
[00637.92-00642.26] 我之前做地铁是我以前没有见过地铁最把头什么样
[00642.26-00645.96] 后来有一天是做那个15号线的时候北京15号线
[00645.96-00647.64] 然后我就做的最把头上
[00647.64-00649.80] 然后它当时它也没有把那个铁是隔离开
[00649.80-00654.54] 只是拿了一个红服给它蓝猪楼第一次看到铁是什么样子
[00654.54-00656.72] 铁是上的就很多操作的红索纽
[00656.72-00657.94] 它没有方向盘
[00657.94-00660.60] 然后它就是直接按照那些扭操作
[00660.60-00662.20] 然后沿着那条轨道
[00662.20-00663.80] 然后不断地去往前切行的
[00663.80-00665.44] 那这是我们所说的这种地铁
[00665.44-00667.24] 那高铁和他也很类似
[00667.24-00669.64] 高铁他的运行也没有方向盘
[00669.64-00671.44] 那除了是他没有方向盘的载转弯
[00671.44-00673.04] 他就顺着这个铁路转弯
[00673.04-00676.68] 我们把这种运行称度也叫做动车族重脸
[00680.68-00682.28] 这个点除了老师特斗的事
[00682.28-00684.04] 啥意思不需要我们知道是啥意思
[00684.04-00685.92] 就是在印象当中你都知道
[00685.92-00687.48] 就是高铁他是没有方向盘
[00687.48-00690.56] 他只能通过轨道变行
[00690.56-00692.04] 重脸这些车组
[00692.04-00694.40] 然后改变它运行的种方向
[00694.40-00696.72] 然后让它能够适着铁铁跑就行了
[00696.72-00699.00] 这种就要做动车组重脸
[00699.00-00699.84] 这个点呢
[00699.84-00700.92] 尤其是第四个点
[00700.92-00701.84] 不需要同学们说
[00701.84-00704.24] 阿老师我就是把他理解的特别稻味
[00704.24-00705.48] 他是如何重脸的
[00705.48-00707.96] 然后他在这个过程当中回到变形
[00707.96-00709.44] 他到底是外圈
[00709.44-00711.56] 零台我们所说的那个轮子大一点
[00711.56-00712.84] 还是那一川轮子小一点
[00712.84-00713.64] 这个都不用管
[00713.64-00714.56] 你就只需要知道
[00714.56-00715.76] 他的运行改变方向
[00715.76-00716.88] 由于他没有方向判
[00716.88-00718.76] 就是要通过铁路
[00718.76-00719.76] 回到擠压
[00719.76-00722.84] 然后在这里面实现动车组的重脸让它能够
[00722.84-00724.12] 稀再提供上去想
[00724.12-00726.56] 在这里面就知道有一个概念是OK了
[00726.56-00728.52] 这是我们所说的有关高体运行
[00728.52-00730.96] 它在考试当中可能会考察的一些点
[00730.96-00733.72] 而这些点在个别地区已经考察过了
[00733.72-00735.08] 所以同时没一定要注意下
[00735.08-00736.84] 这是我们所说的
[00736.84-00738.72] 第一个后我们生活比较记得这个技术
[00738.72-00739.84] 就是高速体路
[00739.84-00742.28] 我们对于它有这样的一个了解
[00742.28-00745.16] 因为它对我们生活来说实在是太熟悉了
[00745.16-00748.96] 中国的高体可以说是中国发展上的一张王牌
[00748.96-00753.06] 这以前的时候我们在提到中国的高速体育率发展的时候
[00753.06-00754.60] 我们可能最开始感觉没有什么
[00754.60-00758.44] 但是越到这几年的时候发现尤其是一代一路的不断的发展
[00758.44-00759.70] 中国的高体
[00759.70-00761.50] 正在不断的向国外去
[00761.50-00763.04] 我们所说的发展
[00763.04-00766.12] 而且在我们所说的欧洲这国家法国得国
[00766.12-00768.92] 他们很多的这种高体都是由中国推进的
[00768.92-00770.98] 所以当时我们也能看到很多
[00770.98-00773.28] 这种来中国居住很久的外国人
[00773.28-00775.32] 当他们回到本地的时候去的不施免
[00775.32-00776.60] 因为有很多地区没有高体
[00776.60-00777.88] 他就表示很困惑
[00777.88-00778.14] 对吧
[00778.14-00780.28] 所以大家能夠看到這是中國的
[00780.28-00781.28] 鐵路運輸能力
[00781.28-00785.16] 而高鐵它的運載成刻能量也是非常大
[00785.16-00786.64] 我覺得簡單的例子比如說
[00786.64-00788.58] 我們所說的春節時期
[00788.58-00790.82] 春節時期整個中國
[00790.82-00791.98] 告訴鐵路的運載
[00791.98-00795.12] 人士人數可以達到31億人次
[00795.12-00796.06] 同時什麼概念
[00796.06-00798.42] 就是整個歐洲10年鐵路
[00798.42-00799.32] 運人都總量
[00799.32-00800.78] 我們一個春節就運出來了
[00800.78-00802.34] 這麼大的運輸能力
[00802.34-00803.84] 那就得獄我們所說的
[00803.84-00804.76] 高速鐵路
[00804.76-00806.54] 一是高鐵它的一個發展
[00806.54-00810.22] 所以这是我们所说的关于第一个收火当中的科技
[00810.86-00812.06] 就是要告诉体路
[00812.22-00814.22] 第二个就是我们比较长线
[00814.22-00816.38] 我们出行除了做高体制外还要做什么
[00816.38-00817.42] 还要做飞机
[00817.42-00819.62] 那条飞机就有很多的空刻了
[00819.62-00822.14] 这里没有给大家介绍的就是大飞机
[00822.14-00823.78] 那大飞机是什么呢
[00823.78-00824.66] 在这里他说了
[00824.66-00826.70] 说大飞机是几个飞机的
[00826.70-00829.30] 总中量超过100多元的运输的飞机
[00829.30-00832.74] 包括大型运辞机和民用大型的运辞机
[00832.74-00833.86] 那这个大飞机
[00833.86-00835.74] 这个点概念他不会考察
[00835.74-00836.78] 他会考察是什么呢
[00836.78-00837.34] 同们注意一下
[00837.34-00838.42] 他会考察的是这个
[00838.42-00839.46] 给他标注出来
[00839.46-00841.82] 就是中国驻名的大飞机
[00841.82-00844.90] 我们把它称率叫中国飞机三件克
[00844.90-00846.18] 中国飞机三件克
[00846.18-00847.14] 同们标注出来
[00847.14-00850.14] 第一个就是大型运输机运二零
[00850.14-00851.66] 大家都知道叫蒙美
[00851.66-00853.66] 现在在网上有很多视频
[00853.66-00855.38] 我把它称率叫检素带
[00855.38-00856.86] 那个检素带不就是会检一下
[00856.86-00857.74] 爱国的视频吗
[00857.74-00859.58] 我记得这开始应该是
[00859.58-00860.94] 这将共青团检的
[00860.94-00862.62] 现在大家都看到各地的关号
[00862.62-00863.34] 是共青团
[00863.34-00865.58] 都是简的非常的可爱的吧
[00865.58-00867.18] 当时我记得他讲的一个就约20
[00867.18-00869.26] 就是我们都是蒙妹蒙妹蒙妹
[00869.26-00870.46] 这类似于这种的吧
[00870.46-00872.10] 当时说的就是什么呢
[00872.10-00873.06] 就是约20
[00873.06-00874.54] 大家特别可爱很后
[00874.54-00878.06] 这个就是我们所说的这种大型的运输机
[00878.06-00879.30] 他在军用上
[00879.30-00882.30] 其实我们所说的对于这种约20的需求
[00882.30-00884.18] 在我国的军队发展的需要上
[00884.18-00887.98] 其实是需要的数量还是非常多的
[00887.98-00889.70] 因为他整体的运输的能力
[00889.70-00890.98] 非常非常大
[00890.98-00892.02] 所以在这里面
[00892.02-00894.70] 預計即處需要的大概是3美多價
[00894.70-00896.58] 但是你要知道造一家約200
[00896.58-00898.86] 其實要好費很長時間的
[00898.86-00900.46] 中國原本的運輸距
[00900.46-00903.02] 大家應該知道吃來自於蘇聯和俄羅斯
[00903.02-00904.18] 就是那個業人系列
[00904.18-00907.86] 但是約200出現它其實從某種程度上
[00907.86-00909.66] 就預示中國可以自主研發
[00909.66-00911.22] 我們所說的大型的運輸距了
[00911.22-00913.86] 它其實對於這種大型運輸距
[00913.86-00914.86] 這種約200的研發
[00914.86-00917.46] 對於我們所說的空中各種各樣的技術
[00917.46-00919.66] 發展有一個很大的推動作用
[00919.66-00920.66] 這是約200
[00920.66-00922.54] 第二个就是水路两期飞机
[00922.54-00924.36] 叫昆龙AG60
[00925.14-00927.46] 这是第二个叫昆龙AG60
[00927.46-00931.18] 它其实是我们所说的用于就缘的这种
[00931.18-00935.02] 主要从是于海上就缘和大型灭火的这样的一个行动
[00935.02-00936.42] 那这个昆龙AG60
[00936.42-00938.86] 但昆龙AG60虑然说
[00938.86-00942.14] 它主要是用于就缘或者说灭火
[00942.14-00943.66] 对吧是用于这样的用途的
[00943.66-00947.86] 但是它厉害就厉害在它可以在海上实现选停
[00947.86-00949.78] 它这种选停就厉害着
[00949.78-00952.54] 它可以当作一个小导来用
[00952.54-00954.26] 这种情况之下就意味着
[00954.26-00958.22] 它不单单是在于我们刚才所说的就原上有作用
[00958.22-00962.50] 它其实它的均实战于以原源是大于它的就原意的
[00962.50-00965.90] 这时我们所说的水路27飞机AG600
[00965.90-00968.34] 已经实现了我们所说的好几次飞行了
[00968.34-00970.26] 那还有一个就是今年热点
[00970.26-00972.22] 就是大型客积C919
[00972.22-00975.62] 这是我们所说的民好或者是民用大型飞机
[00975.62-00977.70] 以前的民用大型飞机或者是我们所说的
[00977.70-00981.52] 中运输主要是为美国那边他们的一些技术所隆断
[00981.52-00983.08] 但现在中国也搞出来了
[00983.08-00984.06] 1919
[00984.06-00988.82] 您就能够看到他的名称就很中国
[00988.82-00990.62] 前面的CN代表的是中国
[00990.62-00992.50] 纠纠代表的是天常地球
[00992.50-00995.98] 要求就代表的是他的运载的人数
[00995.98-00998.70] 当然不是19人是白9
[00998.70-01000.66] 所以在这里面这是大型科技
[01000.66-01002.98] 也是今年非常重要的一个热点
[01002.98-01004.94] 那么来看一下他们都长什么样的
[01004.94-01009.28] 第一架在这里中国空军的写着8E 贴着小空期的
[01009.28-01011.46] 我们所说的120对吧
[01011.46-01012.58] 就是泡牛嘛
[01012.58-01014.86] 121就是昆龙AG60
[01014.86-01016.06] 昆龙AG60
[01016.06-01018.06] 在这里写的是中航工业
[01018.06-01019.66] 我们刚才所说的水路两期
[01019.66-01021.06] 可以用于大型灭火
[01021.06-01023.30] 我们经常看到大型的这种火灾
[01023.30-01025.78] 可以用它去实行灭火的任务
[01025.78-01027.18] 第二个就是海上救援
[01027.18-01028.94] 海上救援也可以用它
[01028.94-01030.86] 大作刀一旦是在海面上
[01030.86-01032.30] 就是四下五元
[01032.30-01034.26] 这时候就需要一个可以实现
[01034.26-01036.14] 我们所说的大型的不几就原
[01036.14-01038.22] 也可以实现选庭的这种大飞机
[01038.22-01039.50] 这是昆怒AG
[01039.50-01040.66] 非常非常牛
[01040.66-01042.46] 第三个这种绿色小伟吧
[01042.46-01043.98] 就是C919
[01043.98-01044.86] 大家都在说
[01044.86-01046.22] 赶紧想票去试试
[01046.22-01047.46] 到底什么感觉
[01047.46-01048.50] 大家要注意一下
[01048.50-01049.10] 这个被称为
[01049.10-01050.82] 叫做中国飞机分线客
[01050.82-01052.02] 同样把这三个
[01052.02-01053.14] 去立法记住
[01053.14-01055.38] 这是有关于大飞机当中
[01055.38-01056.90] 第一个需要大家实际的点
[01056.90-01059.42] 第二个就是在于飞机运行当中
[01059.42-01060.54] 我们需要掌握的几个
[01060.54-01061.18] 这是点
[01061.18-01061.90] 这几个这点
[01061.90-01062.62] 大家其实都知道
[01062.62-01066.62] 第一个就是飞机起飞口降落的时候应该是逆风还是顺风
[01066.62-01069.02] 大家注意一下无论是起飞还是降落
[01069.02-01073.02] 都应该是逆风逆风起飞我们所说的
[01073.02-01074.62] 可以借助它的这个力量
[01074.62-01076.94] 我们飞起的速度叫快也不要平稳
[01076.94-01079.82] 逆风降落相当来说会比较安全
[01079.82-01082.62] 这是第一个大家注意一下无论是起飞还是降落
[01082.62-01083.66] 都要逆风
[01083.66-01085.82] 第二个就是我们前面其实讲过
[01085.82-01087.42] 当飞机起飞之后
[01089.90-01090.62] 我们说了
[01090.62-01094.74] 當飛機起的時候每一個就是比如說我們抓了一下飛那麼高
[01094.74-01097.26] 你會發現你的這個耳朵就開始而明了
[01097.26-01099.98] 對吧或者是感覺那個頭感覺要開始帳
[01099.98-01102.66] 那這種情況之下一般情況之下我們要怎麼辦
[01102.66-01106.82] 當它快速升空的時候我們都會有一個方法就是腳口相躺
[01108.02-01111.14] 那有的好空空災空間也會給你發
[01111.14-01113.62] 那在腳口相躺的目的是什麼呢
[01113.62-01117.42] 就是通過這種張嘴閉嘴這種運動來減小
[01117.42-01122.42] 我们所说的这种压力差带来的影响
[01122.42-01128.42] 简小这种压力差带来的影响
[01128.42-01131.42] 这是我们所说的关于它的起配和降落
[01131.42-01133.42] 这是第一个我们只要掌握的
[01133.42-01136.42] 第二个点就是我们在飞机运行当中
[01136.42-01140.42] 大家都知道它有一个飞机运行的进入的这个系统
