[00000.00-00005.38] 聊件了新法的構成以及他每個內容如何去考察之後呢
[00154.08-00155.80] 而四种情况大家注意一下
[00155.80-00158.28] 也是我们经常会考察到的情况
[00158.28-00161.76] 所以形容的空间效率会考察一些理解形的题目
[00161.76-00162.80] 也就是给你感觉了
[00162.80-00165.12] 比如说一个外国人在中国领土上
[00165.12-00167.76] 也我们所说的女性的
[00167.76-00170.48] 这种逻力的身份也好或者是美女的身份也好
[00170.48-00171.88] 它去炸片男性
[00171.88-00173.20] 对吧经常咱们在网上
[00173.20-00174.00] 能看到很多人
[00174.00-00175.20] 它就经常受骗了嘛
[00175.20-00176.72] 在网上跟人微信聊天
[00177.60-00179.12] 然后经常就是那种搞
[00179.12-00180.16] 那种网友认识啊
[00180.16-00180.72] 或怎么样的
[00180.72-00182.72] 大家就要现在可以手的这么发的
[00182.72-00184.48] 真正会出现这种情况
[00184.48-00185.92] 反而不知道有没有在那个
[00185.92-00187.40] B站上看到过一个
[00187.40-00189.12] 这是他当时做了一个
[00189.12-00192.28] 就是和警察做了一个防炸片的这样一个宣传
[00192.28-00194.12] 那个人叫做张李普追你
[00194.12-00197.56] 这是他的那个B站的那个ID
[00197.56-00198.64] 他这个人比较有意思
[00198.64-00199.68] 我比较喜欢看他
[00199.68-00201.24] 他是拍的视频比较简单
[00201.24-00202.56] 他其实又拍到有意气
[00202.56-00205.24] 就是他在网上认识了一个女孩子
[00205.24-00207.20] 然后那个女孩子经常也发哥哥哥
[00207.20-00208.32] 然后他就怎么样
[00208.32-00209.56] 然后说他需要钱
[00209.56-00212.24] 但是他这句本头他设计好的
[00212.24-00214.20] 然后他就不停了给他转钱
[00214.20-00215.64] 然后最后就发现什么呢
[00215.64-00217.32] 最後就發現他對面的那個人
[00217.32-00218.04] 其實是個難的
[00218.04-00219.56] 這個在網上也經常會看到
[00219.56-00220.08] 對吧
[00220.08-00222.28] 那這裡面如果我們把對面的那個難性
[00222.28-00223.56] 待換成外國人的話
[00223.56-00225.04] 那就變成說一個外國人
[00225.04-00227.04] 在中國領土上實施債騙
[00227.04-00227.80] 那
[00227.80-00229.04] 他能不能適用
[00229.04-00231.52] 我國型法規定的債騙最於處罰呢
[00231.52-00232.44] 那這種情況之下
[00232.44-00233.48] 就會設一道什麼
[00233.48-00235.44] 形容法使用的空間效率問題
[00235.44-00237.52] 那像我剛才所說的這種案例
[00237.52-00238.36] 他就會考
[00238.36-00240.28] 那如果說在
[00240.28-00242.12] 中國領土上實施這種行為
[00242.12-00243.08] 那我們要及於處罰
[00243.08-00246.56] 他属于空间效力当中的哪一个
[00246.56-00248.68] 这个就要做理解性题目的考察
[00248.68-00250.48] 我们会详细来讲到
[00250.48-00252.28] 那第二个呢就是除了
[00252.80-00254.08] 理解性题目考察之外
[00254.08-00255.68] 考案例让我们继续去分
[00255.68-00257.64] 他属于空间效力当中的哪一个
[00257.64-00260.00] 他会考察很多实际性的题目
[00260.00-00262.24] 大注意这些实际性的题目
[00262.24-00265.64] 不是针对于我们所说的法条的理解
[00265.64-00268.28] 而是针对于法条背后的一些续解
[00268.28-00270.04] 比如说我们在空间效力当中
[00270.04-00272.00] 会讲到属地关闪原则
[00272.00-00273.80] 那属立管還能責他強調
[00273.80-00278.14] 說反在中華人民共和國領域內犯罪了
[00278.14-00280.12] 那這種情況之下出法律特別規定
[00280.12-00281.84] 因為都是有本法
[00281.84-00284.54] 那在中華人民共和國領域內犯罪
[00284.54-00286.92] 那什麼叫做中華人民共和國的領域
[00286.92-00290.08] 他所謂的犯罪指得到底是拿這種情況
[00290.08-00293.08] 那這裡面就會考察到一些背後的細節
[00293.08-00296.80] 那這些細節特别喜歡考遍細理解行的題目
[00296.80-00298.42] 或者就是單純的實際
[00298.42-00301.00] 那這裡面同樣把這些細節掌握住
[00301.00-00302.20] 這是空間效率
[00302.20-00302.92] 那第二個呢
[00302.92-00303.96] 做的設計到叫做
[00303.96-00305.80] 形劃的時間效率
[00305.80-00307.64] 那形劃的這個時間效率呢
[00307.64-00309.00] 就是我們所說的
[00309.00-00310.28] 那形劃內容可太多了
[00310.28-00310.68] 對吧
[00310.68-00311.80] 其實是形劃的
[00311.80-00313.04] 修正案時
[00313.04-00314.04] 實意也等到
[00314.04-00314.44] 又很有
[00314.44-00315.08] 又有很多
[00315.08-00317.72] 我們所說的這種形劃的這種解釋
[00317.72-00319.24] 那你看這些形劃出生
[00319.24-00321.08] 也好這些形劃的解釋
[00321.08-00322.92] 它都是不同時間出台的
[00322.92-00324.68] 那它出台的這個時間
[00324.68-00326.52] 比如說它在200
[00327.40-00328.52] 九個簡單的例子吧
[00328.52-00330.20] 比如說今天是200
[00330.20-00332.20] 二三年的十月幾號
[00332.20-00334.62] 那他今天出台了一個箱的修正
[00334.62-00335.80] 或者是司法檢視
[00335.80-00337.42] 那這個司法檢視
[00337.42-00340.92] 會不會針對他出台之前的一些分子行為發揮中呢
[00340.92-00342.46] 那這個時候就會睡一道
[00342.46-00344.56] 行法的時間效率問題
[00344.56-00345.90] 所以行法的時間效率呢
[00345.90-00346.66] 他也會考
[00346.66-00349.66] 但是從考察的難度強度
[00349.66-00350.86] 以及考察頻率來說呢
[00350.86-00352.84] 他只能做一個醫興級的知識點
[00352.84-00354.36] 那這個呢就是行法
[00354.36-00355.80] 我們要從三個方面掌握
[00355.80-00356.58] 是什麼
[00356.58-00357.66] 遵徐什麼原則
[00357.66-00360.74] 以及在什麼時間,什麼空間使用
[00360.74-00362.34] 那這個就叫做新法的
[00362.34-00363.06] 該書
[00363.06-00365.50] 那了解了新法的該書的框架之後呢
[00365.50-00368.10] 我們先來看看第一個新法的概念
[00368.10-00369.62] 新法的概念呢他說
[00369.62-00373.54] 是以國家免疫規定什麼行為是犯罪
[00373.54-00375.34] 核復核種形式責任
[00375.34-00378.26] 並給犯罪分子與核種處罰的
[00378.26-00380.54] 法律規犯能總稱就叫做新法
[00380.54-00381.90] 所以我們前面給來說了
[00381.90-00383.42] 新法就是在規定兩問題
[00383.42-00385.34] 第一個到底什麼是犯罪
[00385.34-00387.58] 我们把的称之为叫做反追录
[00387.58-00388.02] 对吧
[00388.02-00389.18] 那反追录呢
[00389.18-00390.46] 我们会讲到
[00390.46-00391.34] 四个内容
[00391.34-00392.38] 就是第一个
[00392.38-00393.62] 反追的过程要加
[00393.62-00394.30] 第二个
[00394.30-00395.26] 排除市油
[00395.26-00396.34] 第三个形态
[00396.34-00397.22] 以及第四个
[00397.22-00399.42] 我们会大家讲到共同犯罪的问题
[00399.42-00399.86] 对吧
[00399.86-00400.70] 在后面
[00400.70-00402.14] 我们会反复给大家讲解
[00402.14-00402.66] 第二个
[00402.66-00405.02] 他既然犯罪了给他什么样的称法
[00405.02-00407.18] 那这个叫做形法录
[00407.18-00408.06] 形法录呢
[00408.06-00409.34] 我们要讲两个部分
[00409.34-00409.78] 第一个
[00409.78-00410.90] 既然叫形法录
[00410.90-00411.66] 咱们最新发辖
[00411.66-00413.46] 知道中国的形法也哪些
[00413.46-00414.70] 我们会讲到形法
[00414.70-00416.10] 有主型有副家型
[00416.10-00419.62] 那第二个就是在级域它相应的触发的时候
[00419.62-00421.94] 要不要考虑到一些特别情况
[00421.94-00425.14] 它的这个犯队行为应该是从中触发
[00425.14-00428.38] 应该是渐清触发还是可以免除触发
[00428.38-00430.94] 这时候就会考虑到亮行问题
[00430.94-00434.66] 所以刑法刑法就是为了个犯罪和亮行展开的
[00434.66-00435.46] 明白了吧
[00435.46-00436.90] 犯罪怎么去评判
[00436.90-00438.18] 就看它的行为
[00438.18-00440.50] 所以你分析它是否过程A罪
[00440.50-00443.30] 就看它是不是过程A罪的过程要加
[00443.30-00445.74] 服服和他的行为模型就OK了
[00445.74-00449.70] 这个就叫做我们所说的这个形务的
[00449.70-00451.62] 感受大家知道形务是什么
[00451.62-00452.78] 那有很多同学
[00452.78-00456.34] 他其实这对这个形务会存在一个物区的
[00456.34-00457.90] 这是大约绝的说形务法
[00457.90-00460.46] 就一定说对于我们所说的这种可恨的人
[00460.46-00462.50] 就必须与叛出死刑
[00462.50-00464.54] 大家经常会在网络上身上证一下
[00464.54-00467.54] 我每次看到一些不公的事件出现的说有很多人
[00467.54-00469.26] 在网上去进行平顿的时候
[00469.26-00472.54] 我还是很感动的就无论他的言刑
[00472.54-00474.86] 相对了说是否是特别的过击
[00474.86-00475.76] 但是这期满
[00475.76-00477.02] 它大部分人
[00477.02-00478.42] 它是怀扯这一颗正义的信
[00478.42-00480.66] 去进行问题的这个审事的
[00480.66-00483.38] 但是大家也经常在网上看到这样一个情况
[00483.38-00485.22] 又与一个人发了一个事
[00485.22-00485.74] 对了
[00485.74-00487.10] 这些事之后大家都说
[00487.10-00488.62] 这种人就应该拉出去牵弊
[00488.62-00489.62] 或者是怎么样
[00489.62-00490.90] 然后大家就在网上调卡
[00490.90-00493.34] 说网络审判启布死刑
[00493.34-00493.78] 对了
[00493.78-00496.34] 大家最期满就在网上看到这样的调卡
[00496.34-00498.90] 很多人就是针对于这种刑法
[00498.90-00500.42] 它其实就会认为
[00500.42-00502.90] 說形法名人是保護老百姓權益的
[00502.90-00505.02] 能為什麼針對於我們所說的一些
[00505.02-00506.82] 讓我們覺得特別分開的事情
[00506.82-00508.42] 沒有辦法直接判出死刑
[00508.42-00509.70] 大家一定要知道
[00509.70-00511.30] 形法他的存在
[00511.30-00515.14] 他本身是約束形法權的
[00515.14-00517.50] 就是形法就是人類社會
[00517.50-00518.58] 為什麼有形法呢
[00518.58-00520.90] 其實大家能夠看到
[00520.90-00524.10] 就是形法他從某種程度上來說
[00524.10-00526.02] 他不僅要惡之犯罪人
[00526.02-00527.30] 他在另一個角度來說
[00527.30-00528.62] 他也是要惡之國家
[00528.62-00533.10] 大家知道这个叫什么生杀大权或者形杀之前
[00533.10-00535.46] 这种权力跟老百姓不会有的
[00535.46-00539.06] 这种权力是完全隆断在国家的暴力机关手中
[00539.06-00540.66] 也是隆断在国家手里
[00540.66-00543.74] 如果针对于这个国家的形杀之前
[00543.74-00546.38] 生死大权他不家里约束的话
[00546.38-00549.22] 那在这里面这是一个非常可怕的一个情况
[00549.22-00551.42] 如果说这个权力一旦出现了
[00551.42-00553.02] 相当的运行上的什么样的问题
[00553.02-00554.94] 它是不是可能出现权力亂用
[00554.94-00557.14] 那如果一旦出现权力亂用的话
[00557.14-00560.72] 那這種刑察之前他可能發生在任何一個人的身上
[00560.98-00561.86] 所以刑法
[00562.00-00564.46] 他一方面要懲罰犯罪
[00564.56-00566.50] 綠方面他要保護罪犯
[00566.50-00569.04] 也就是我們在刑法的機制當中經常會說的
[00569.18-00570.70] 他一方面保護
[00571.22-00572.74] 經了一方面保護
[00573.02-00573.32] 罪犯
[00573.32-00575.30] 綠方面又懲罰犯罪
[00575.46-00578.00] 所以他其實是兩個方面病存的
[00578.14-00581.16] 所以我們經常會看到一些案例在生活當中
[00581.16-00584.46] 比如說大家經常提到的一個案例就是1998年深圳的
[00584.46-00587.14] 动保军案,我不知道大家没有听过这个案件
[00587.14-00591.42] 他那个动保军那个案就是这个动保军当年非常地年轻啊
[00591.42-00593.94] 他在两年之内,你才能做了什么事
[00593.94-00597.26] 他在两年之内就贪污了公款2.3.1
[00597.26-00600.18] 这个数个是我这并不有办法起机到的
[00600.18-00602.38] 你别说2.3.1,哪怕给我点零头都行
[00602.38-00604.98] 所以你看他贪污了2.3.1
[00604.98-00607.34] 而且在此期间的包养了多个秦夫
[00607.34-00611.58] 那最后在審判的时候只判了他多少年的只判了他15年有去图形
[00611.58-00614.98] 但是就网上就很多人说说 才15年
[00614.98-00618.42] 就人我们都恨得压恋两年 对不对 恨不得他死刑
[00618.42-00620.02] 但是在这种情况之下
[00620.02-00622.98] 因为他不是国家工作人员 所以不能够成他无罪
[00622.98-00627.66] 只够成职务侵赞 只够侵赞最高型法是15年
[00627.66-00630.74] 那你看这种情况之下 很多人就说他才15年
[00630.74-00635.14] 对吧 这个形法到底是保护了他 成法了他呢 还是最的话
[00635.14-00638.14] 这形法他一方面要成法罪犯
[00638.14-00644.58] 这是必然呢 因为它侵犯了社会法医我们必须要保护社会法医以及人民群众的权益
[00644.58-00651.62] 但是另一方面 大家就也一个人 它犯了犯罪之后 它站在我们所说的这个 什么案听上的时候
[00651.62-00655.66] 它的国 它这个人的对面就是我们所说的整个国家
[00655.66-00660.34] 比如它的对面是我们所说的公诉人代表国家体区也公诉
[00660.34-00662.58] 那它面对的就是整个国家
[00662.58-00664.12] 如果在這種情況之下
[00664.12-00667.18] 不對相應的刑法的使用加以定限制的話
[00667.18-00669.80] 很有可能在這個過程中出現什麼
[00669.80-00673.38] 出現一些我們認為不好的情況
[00673.38-00675.48] 所以我們說了這種刑法權
[00675.48-00678.44] 他一方面是要約束最範
[00678.44-00679.92] 另一方面也是要什麼
[00679.92-00680.90] 約束國家的
[00680.90-00682.56] 所以這也是刑法存在的意義
[00682.56-00684.08] 然後隨著現在
[00684.08-00685.54] 我們所說的越來越多的人
[00685.54-00687.04] 他掌握了一定的法律知識
[00687.04-00689.10] 越來越多的我們所說的這種專家
[00689.10-00689.82] 學者
[00689.82-00691.14] 一些老百姓的呼聲
[00691.14-00692.78] 越来越多的被国家所对
[00692.78-00694.18] 我们所说的接受
[00694.18-00695.70] 才不断推动整个
[00695.70-00697.50] 我们所说的刑法体系
[00697.50-00698.50] 不断的晚上
[00698.50-00700.06] 其实它是这样的一个过程
[00700.06-00702.10] 这个就是我们从红关上
[00702.10-00704.06] 了解什么是刑法
[00704.06-00705.38] 两点的刑法之后
[00705.38-00707.50] 接下来看一下第二个问题
[00707.50-00709.30] 就是我们所提到的
[00709.30-00711.06] 刑法的基本原则
[00711.06-00712.10] 刑法的基本原则
[00712.10-00713.46] 需要同学们第一部分
[00713.46-00715.34] 给它背充下来由几个
[00715.34-00716.34] 刑法的基本原则
[00716.34-00717.10] 大家注意一下
[00717.10-00719.30] 有且只有三个 说了
[00719.30-00721.46] 他是一个两星期的实际性格
[00721.46-00723.58] 理解性的病村考点
[00723.58-00725.42] 首先第一个我们来开一下
[00725.42-00728.78] 第一个基本原则就做最型法定原则
[00728.78-00730.46] 什么叫做最型法定
[00730.46-00732.02] 同时把这个原则画下来
[00732.02-00733.46] 好吧 最型法定
[00733.46-00735.74] 最型法定原则下面给到了解释
[00735.74-00739.30] 说法律名文规定为犯罪行为的
[00739.30-00741.10] 依照法律定罪处罚
[00741.10-00744.30] 法律没有名文规定犯罪行为的
[00744.30-00746.18] 叫不得定罪处罚
[00746.18-00747.70] 也就是我们常说的什么
[00747.70-00748.26] 一句话
[00748.26-00752.30] 现在旁边就是法无名文规定不委罪
[00755.26-00758.10] 法无名文规定不委罪
[00758.42-00760.66] 法无名文规定不出法
[00762.82-00764.98] 法无名文规定
[00768.54-00769.22] 不出法
[00769.38-00771.86] 那这种情况这下就叫做最新法定
[00772.06-00773.30] 欢迎话说的就是
[00773.30-00775.74] 你到底够不够成犯罪
[00775.74-00777.40] 够成何种犯罪
[00777.40-00780.34] 他必须有刑法的名文规定
[00780.34-00782.06] 比如说他够成了道歉罪
[00782.06-00783.02] 那这个时候你就看
[00783.02-00784.50] 刑法当务没有规定道歉罪
[00784.50-00785.14] 有
[00785.14-00787.30] 现在当中规定的道歉罪的够成要借
[00787.30-00789.10] 他的行为服务服合符合
[00789.10-00791.50] 那这个时候才能定什么
[00791.50-00793.14] 才能给他定了道歉罪
[00793.14-00794.18] 所以在这里面你看
[00794.18-00795.78] 叫罪刑法定
[00795.78-00797.70] 所有的犯罪刑为刑法
[00797.70-00799.62] 他适合够成以及排除市有
[00799.62-00801.22] 都是有法律文规定的
[00801.22-00803.58] 那这种情况之下就要做最型法定
[00803.58-00808.82] 最型法定原则的本质就是限制国家的形法权的大助理下
[00808.82-00810.30] 这叫做最型法定原则
[00810.30-00811.98] 觉得简单的例子比如说
[00811.98-00813.70] 你看我们经常看电视剧
[00813.70-00815.54] 我特别喜欢的电视剧就那几步
[00815.54-00816.58] 他又知道了
[00816.58-00818.42] 我一方面喜欢之环之亚 对吧
[00818.42-00819.46] 什么如意转
[00819.46-00822.02] 这些就这两部电视剧看了好多变
[00822.02-00823.50] 然后还有五零外转
[00823.50-00824.90] 就跟转稿上了
[00824.90-00826.98] 还有一个就是我天天看的
[00826.98-00828.18] 就是有的时候吃饭也看
[00828.18-00830.54] 我的睡觉的时候有波的就是龙门标局
[00830.54-00833.98] 聪明标局里面有一集就是大张家文叫路三金
[00833.98-00839.54] 当时他和那个电视剧里面的官方随体
[00839.54-00842.18] 就是聪秋月回到了广东里面
[00842.18-00844.22] 然后聪秋月就给他讲出了一个事
[00844.22-00846.14] 然后这个时候就讲
[00846.14-00848.82] 聪秋月这就是武林外装的后面这部分
[00848.82-00851.30] 然后那个聪秋月就给路三金
[00851.30-00853.34] 也就是大张家的去给他去描述
[00853.34-00856.62] 说他的妈妈想要去杀死另外一个女孩的余过程
[00856.62-00858.86] 然后就把这个案件说了一下
[00858.86-00861.10] 最後他就沒有下手
[00861.10-00863.20] 我說我那你看我也沒有下手去殺他
[00863.20-00865.66] 那這個時候我翻了什麼罪
[00865.66-00868.30] 然後當時那個路三天就說了一句話說
[00868.30-00869.60] 閃 翻了什麼罪
[00869.60-00871.40] 說反射會沒文化罪
[00871.40-00873.02] 那你看 像這種罪名
[00873.02-00875.26] 我比如說就剛才這間裡當中出來的
[00875.26-00877.30] 反射會沒文化罪
[00877.30-00879.58] 那能不能就定這樣一個罪名呢
[00879.58-00880.62] 指定是不能的
[00880.62-00884.06] 因為在這間裡當中反射會沒文化罪
[00884.06-00885.94] 是不是刑法 名文規定的
[00885.94-00888.46] 不是 竟然不是刑法 名文規定的
[00888.46-00891.74] 那就不是犯罪所以叫法務名文規定不委罪
[00891.74-00893.14] 你既然都不是犯罪
[00893.14-00895.10] 会被级你相应的情事处罚
[00895.82-00898.70] 不会的所以叫法務名文規定不处罚
[00898.70-00900.10] 所以最型法定原则
[00900.10-00901.98] 大家就记住这一个核心的点
[00901.98-00904.02] 它如果一旦出理解型的题目
[00904.02-00905.46] 那征刷能给它选出来
[00905.46-00908.90] 这是第一个原则叫做最型法定原则
[00908.90-00912.66] 那第二个原则叫做法名面前人人平等原则
[00912.66-00914.42] 不僅是型法面前人平等
[00914.42-00916.62] 而且也是在法定面前人平等的
[00916.62-00920.82] 也就是我们常说的说任何人犯罪在法律事用上一率频道
[00920.82-00923.98] 不于需要超越法律的特权
[00923.98-00925.26] 这个点大家很好理解
[00925.26-00925.78] 对吧
[00925.78-00929.26] 叫做天子犯法与书民统罪
[00929.26-00932.74] 天子犯法与书民统罪体现的就是什么
[00932.74-00935.74] 就是形反面前人人平等
[00935.74-00937.22] 这个没有啥好说的
[00937.22-00938.94] 就是在立法司法形反
[00938.94-00940.18] 各个环节上
[00940.18-00942.42] 尽可能做到了就是我们所说的平等
[00942.42-00944.42] 就记得天子犯法与书民统罪
[00944.42-00946.70] 这个时候强调的就是人人平等
[00946.70-00948.66] 这个相对来说比较好理解
[00948.66-00949.90] 不做过的这说
[00949.90-00951.22] 第三一个就是
[00951.22-00952.62] 最主要行
[00952.62-00954.62] 相识应把这几个死划出来
[00955.62-00956.98] 叫做最主要行
[00956.98-00958.02] 相识应原走
[00958.02-00959.34] 他们行法的庆祝
[00959.34-00960.86] 应当与翻词分子所翻
[00960.86-00961.94] 最型和承担的
[00961.94-00963.14] 行识则认相识应
[00963.14-00964.86] 在旁边的标诺一下就行了
[00964.86-00967.18] 就是重罪重法
[00970.34-00971.46] 重罪重法
[00971.46-00979.62] 清罪 清罪 清罪 清罪 清罪 吴罪 不法
[00982.90-00983.90] 吴罪 不法
[00984.14-00987.98] 经常在考试当中体现出来的理解性题目就什么呢
[00988.14-00990.46] 不同的人 算了不同的罪
[00990.46-00992.78] 我们几育不同的形式出发
[00992.78-00995.78] 这个就是我们所说的叫罪则形象式的原则
[00995.78-01000.22] 罪则形象式的原则被称为叫罪形 相当原则
[01000.22-01001.46] 这是一个意思
[01001.46-01003.18] 所以在这 大家要明确
[01003.18-01006.30] 这是我们所说的它的基本原则
[01006.30-01007.30] 它基本原则
[01007.30-01009.58] 好 那我们就来看一下它到底怎么考
[01009.58-01011.98] 说下令实际形停了
[01011.98-01015.94] 说下令属于我国形法的基本原则的有哪些
[01015.94-01017.74] 那这个基本原则在这里面
[01017.74-01019.58] 我们来看一下 最新法定是不是
[01019.58-01022.02] 是法文明文规定部位罪
[01022.02-01024.38] 法文明文规定不处反
[01024.38-01025.86] A选上是第二个
[01025.86-01028.86] 我们所说的 平等是用形化原则是不是
[01028.86-01031.68] 是叫刑法面前人平等
[01031.68-01033.58] C選項储分原則是不是
[01033.58-01034.66] 储分原則不是
[01034.66-01036.26] 大眾也储分原則
[01036.26-01038.94] 它其實是訴訟法當中的原則
[01038.94-01041.34] 不要常見在民視訴訟當中
[01041.34-01042.04] 我們說了
[01042.04-01043.06] 說方當時
[01043.06-01044.46] 它都有相當的储分
[01044.46-01045.26] 储分權
[01045.26-01047.22] 這個時候是储分原則的體現
[01047.22-01049.86] 所以它不是刑法的基本原則
[01049.86-01050.86] 第四一個叫做
[01050.86-01052.54] 最形相適用原則
[01052.54-01053.42] 沒問題
[01053.42-01056.18] 所以這要提選的是ABD
[01056.18-01058.54] 你看這個就是單純的實際型的
[01058.54-01061.36] 的考虑问哪一个是哪一个不是
[01061.36-01062.90] 收相个来说不要简单
[01062.90-01066.10] 所以第一体打注意选APPD
[01066.10-01067.50] 第二体来看
[01067.50-01070.06] 讲一番道气罪被判三年
[01070.06-01073.14] 反故意杀人罪被判五年
[01073.14-01075.70] 不同的罪名据不同的刑法
[01075.70-01077.74] 道气相对来说
[01077.74-01078.78] 刑法财产法议
[01078.78-01081.58] 对吧相对来说比生命法一样
[01081.58-01083.62] 清罪清法
[01083.62-01085.34] 重罪重法无罪
[01085.34-01085.94] 不反
[01085.94-01087.42] 那正时候不同的罪名
[01087.58-01089.14] 据不同的形怀是为什么
[01089.42-01090.86] A選校仍然平等吗
[01090.86-01093.30] 不是把人平等叫做天子犯法语
[01093.30-01094.38] 数名同罪
[01094.38-01095.30] A選項不行
[01095.50-01096.58] 罪行法定吗
[01096.70-01099.06] 罪行法定叫法无名文规定
[01099.06-01100.02] 不为罪
[01100.02-01101.54] 刑法没有规定的
[01101.54-01102.22] 不是罪名
[01102.22-01104.14] 比如说A做了一个什么什么事
[01104.26-01105.50] 但是在刑法当中
[01105.50-01107.42] 没有找到合适的罪名和的罪名
[01107.58-01109.78] 那这时候A是有罪还是无罪
[01110.10-01110.66] 无罪
[01110.66-01113.06] 那你看这个就叫做罪行法定
[01113.06-01114.94] 所以B選項也不对
[01114.94-01117.74] 隨選項,來看一下著最型相當原則
[01117.74-01121.74] 我說了最型相適原則,以叫做最型相當原則
[01121.74-01124.78] 種罪眾法侵罪,侵犯,避選項
[01124.78-01128.62] 罪則自負,有沒有這原則沒有,也可以直接排除掉了
[01128.62-01130.42] 所以第二題選擇的是什麼?
[01130.42-01131.30] 隨選項
[01131.30-01133.86] 在這裡,給同一名俱正一個概念,什麼概念呢?
[01133.86-01135.70] 這是違反和犯罪不一樣
[01136.74-01139.50] 大俱意,違反和犯罪不一樣
[01139.50-01142.26] 違反,那可多了去了,你的違反行為
[01142.26-01144.62] 他可能是為了什麼 微背了民法
[01144.62-01146.70] 比如說咱俩之間勤定了買賣合同
[01146.70-01148.94] 然後呢 我最後就不是人 對吧
[01148.94-01150.30] 我最後就不把東西賣給你
[01150.30-01151.30] 我賣給別人 對吧
[01151.30-01152.54] 他給我的價格更高
[01152.54-01153.70] 那這種情況下你看
[01153.70-01154.90] 咱們兩個勤定的事
[01154.90-01156.18] 買賣合同我為被了
[01156.18-01158.22] 微背了民法算算違法呢
[01158.22-01160.78] 算 微背了形狀算算違法呢
[01160.78-01163.78] 也算 所以違法的範圍會更快範圍一點
[01163.78-01164.66] 大家注意一下
[01164.66-01165.98] 而什麼叫範圍
[01165.98-01167.94] 範圍筋筋子的是違法的什麼
[01167.94-01169.66] 範圍筋子的是違法的
[01169.66-01170.82] 形範
[01170.82-01173.50] 只有違反形法才叫做犯罪
[01173.50-01176.38] 比如说我现在闯红灯了
[01176.38-01177.94] 我闯红灯違法了吗
[01177.94-01179.02] 違法了
[01179.02-01180.90] 我闯红灯是違法行为
[01180.90-01183.22] 但是我闯红灯是不是犯罪行为
[01183.22-01184.50] 不是犯罪行为
[01184.50-01185.54] 因为在
[01185.54-01187.38] 形法规定当中
[01187.38-01189.18] 没有规定闯红灯罪吧
[01189.18-01191.18] 法文明文规定不为罪
[01191.18-01192.90] 所以在这里没有闯红灯罪
