[00000.00-00002.60] 好的 那我们接着往下看
[00002.60-00008.20] 咱们讲完了自愿配方式 讲完了市场经济 那我们接下来来看一下第三个问题
[00008.20-00013.20] 是市场与市场体系 因为我们说了无论是什么样的经济
[00013.20-00018.68] 它在运行的时候 它都是要在市场当中运行的 那我们就来看很到底什么事
[00018.68-00023.56] 市场 那我们来看一下首先第一个就是市场的含义
[00023.56-00027.56] 他市场是交换关系的总合后面给到了
[00397.58-00398.74] 那合伙制的话
[00398.74-00400.78] 就是我们常见的合伙企业
[00400.78-00402.46] 那最为常见的合伙企业
[00402.46-00403.74] 快击时数所
[00403.74-00404.06] 对吧
[00404.06-00407.22] 随便大学快击学才快的
[00407.22-00408.62] 你知道你要考随便
[00408.62-00410.06] 你要拿到那个千字权
[00410.06-00411.34] 然后你就享有
[00411.34-00412.42] 相当的这个权利
[00412.42-00414.90] 就可以在那里面去进行什么审查审绩
[00414.90-00415.22] 对吧
[00415.22-00417.62] 那你去了就叫做快击时数所
[00417.62-00420.26] 那还有比如说像我通过了酸汉市之后
[00420.26-00421.30] 那我可以去干嘛
[00421.30-00424.50] 我就可以去进到一个律所当中
[00424.50-00429.42] 然后进到立所当中之后在那一段时间一年拿到直夜律师的这样一个指赵
[00429.42-00433.02] 然后我做大座墙在创回黄我最后成了其合会人
[00433.02-00435.98] 那你说律师的宿所他也是什么合伙之
[00435.98-00438.06] 所以合伙之是我们比较长见的
[00438.06-00440.50] 但是这两种他有一个问题
[00441.14-00442.02] 什么问题呢
[00442.02-00446.42] 比如说个人也组织叫自主经营自复营愧的这种形式
[00446.42-00446.90] 对吧
[00446.90-00448.74] 比如说我在楼下开的那个小超市
[00448.74-00450.74] 我突然卖的是一个过去的东西
[00450.74-00451.90] 感人家吃坏了
[00451.90-00452.50] 对我住院了
[00452.50-00453.42] 然后陪一百万
[00453.42-00454.58] 那就是我怎么办
[00454.58-00456.46] 那我就只能给人陪一百万
[00456.46-00456.74] 对吧
[00456.74-00457.70] 有多少陪多少
[00457.70-00458.30] 那说老师
[00458.30-00459.50] 你的个超市你都关键
[00459.50-00460.38] 你都陪不起
[00460.38-00461.18] 那咋办呢
[00461.18-00462.62] 那我就有生之年
[00462.62-00464.82] 我就是拼命打工还钱卖
[00464.82-00465.10] 对吧
[00465.10-00465.78] 那这种情况
[00465.78-00466.50] 这下一个发现
[00466.50-00467.06] 个人业主
[00467.06-00468.06] 这他承担的是
[00468.06-00469.22] 无限责任
[00469.22-00471.02] 就是你千人多少
[00471.02-00471.98] 你就在陪多少
[00471.98-00472.94] 那这无限责任
[00472.94-00474.42] 那何国之企业是什么呢
[00474.42-00475.10] 何国之企业
[00475.10-00475.74] 大家注意一下
[00475.74-00476.74] 他对外承担的
[00476.74-00477.42] 也是什么
[00477.42-00479.06] 他对外承担的也是
[00479.06-00480.08] 五线责任
[00480.08-00482.82] 而且他就五线责任是五线连代责任
[00482.82-00483.94] 比如说五
[00483.94-00485.14] 和我的火霸
[00485.14-00485.46] 对吧
[00485.46-00486.80] 我们两个都是律师
[00486.80-00487.14] 对吧
[00487.14-00488.74] 我们两个都是律师在这个时候
[00488.74-00490.54] 我俩搞了一个律师宿所
[00490.54-00492.34] 然后我们在对外代理的时候
[00492.34-00494.66] 又因为我们之间的重大过程
[00494.66-00495.82] 牛肉酸业的嘛
[00495.82-00497.50] 但是审东有人没审清楚
[00497.50-00498.46] 给人造成了
[00498.46-00500.06] 价值1000万的这样一个损失
[00500.06-00501.86] 这就说这1000万的损失怎么办
[00501.86-00502.78] 但我俩陪啊
[00502.78-00504.66] 那说我那个后人不靠过他跑了
[00504.66-00505.58] 那跑了怎么办
[00505.58-00508.14] 合国企业五线连代责任
[00508.14-00510.46] 那就有请问他跑的就在我还买
[00510.46-00511.94] 就是把钱还上没指
[00511.94-00513.38] 这个是合伙制
[00513.38-00514.78] 所以大家能看到
[00514.78-00516.98] 个人业组织和合伙制
[00516.98-00519.26] 他其实风险相对人说比较高
[00519.26-00522.42] 所以在现在就在这两个
[00522.42-00524.50] 我们所说的这种企业记忆物质上
[00524.50-00526.06] 都推生了另外一种形式
[00526.06-00527.62] 就叫做公司制
[00527.62-00529.90] 通常在这里去掌握个人业组织
[00529.90-00532.42] 个人业组织和合伙制和公司制的时候
[00532.42-00533.86] 不如那么叫这儿出老师
[00533.86-00534.86] 你看讲的怎么感觉
[00534.86-00536.70] 和我在商法当中的学习内容上
[00536.70-00538.06] 会稍微有点出路
[00538.06-00540.58] 因为我们这个地方主要是经济直射的内容
[00540.58-00542.82] 所以大家不用去扣得那么死
[00542.82-00544.98] 只要在这里面能够去分个人夜主和后
[00544.98-00545.86] 直就行了
[00545.86-00549.78] 以及在他们两个旧物上又产生了一种新的模式叫公司智
[00549.78-00551.30] 而这个公司智能大家注意一下
[00551.30-00553.78] 我们讲的是我们国家的公司形势
[00553.78-00556.54] 因为公司法规定我们国家在公司智当中
[00556.54-00558.58] 只有两种公司形势
[00558.58-00559.86] 这个点同们注意一下
[00559.86-00562.74] 这个就是要主体当中需要大家所掌握的第三点
[00562.74-00563.78] 就是要知道
[00563.78-00565.30] 在我们国家公司法当中
[00565.30-00567.02] 公司有两种形势
[00567.02-00572.02] 第一种叫做有限责任公司,也被称为叫做有限公司
[00573.22-00575.02] 也叫有限公司
[00575.22-00579.62] 第二种叫顾分有限公司,也被称为叫做顾分公司
[00579.62-00584.22] 我们经常在电视上看到,什么有限责任公司
[00584.42-00586.42] 什么什么顾分有限公司
[00586.42-00589.22] 其实就是我们所说的,顾分和有限
[00589.42-00593.82] 他们两个之间,和相对于我们刚才所说的个人业主制
[00593.82-00596.88] 和我们所说的这个合伙之来看
[00596.88-00598.48] 最明显的就在于他什么
[00598.48-00600.22] 他的责任的有限性上
[00600.48-00601.18] 他们没有
[00601.18-00603.30] 他们两个都两个字叫做有限
[00603.30-00604.82] 那具体是怎么会事呢
[00604.82-00606.22] 咱们一个一个来看
[00606.22-00609.44] 咱们首先来看一下第一个叫做有限责任公司
[00609.44-00610.64] 有限责任公司
[00610.64-00611.90] 他一般情况这些也是
[00611.90-00613.02] 你找了几个人
[00613.02-00614.42] 然后一起来跟你合伙
[00614.42-00615.30] 做一件事
[00615.30-00616.90] 那你们在做这个事的时候
[00616.90-00618.90] 想要把这个公司去办成
[00618.90-00620.58] 在这里面就可以会发现
[00620.58-00622.38] 这个公司里面可以是很多元的
[00622.38-00626.98] 有人出錢,有人出技術,有人出地匹,反正出什麼都行,對吧?
[00626.98-00630.58] 大家一起把這個公司給他做起來了。
[00630.58-00635.82] 這個公司裡面達到有人出錢,有人出地匹,然後有人出什麼呢?
[00635.82-00637.18] 有人出技術等等。
[00637.18-00641.38] 最後共同組成,這公司他的一些運用那些資本。
[00641.38-00644.38] 我們來看一下在這裡面,他的資本話題形是什麼呢?
[00644.38-00651.58] 他說,在有現公司當中,他說這個公司他的運行,資本是不化分為等額顧分的。
[00651.58-00653.58] 什么叫话分和不话分呢
[00653.58-00654.38] 大家注意
[00654.38-00655.70] 我们去在市场当中
[00655.70-00657.54] 大家总会接触过说
[00657.54-00658.94] 你的身边的朋友好
[00658.94-00659.54] 你自己也好
[00659.54-00660.14] 会你家人好
[00660.14-00661.34] 是不是总会去买股票
[00661.34-00662.10] 没有股票的话
[00662.10-00663.26] 是不是每一手
[00663.26-00664.70] 一手等于多少股
[00664.70-00665.22] 对吧
[00665.22-00666.70] 然后一股价是多少钱
[00666.70-00668.34] 它其实在那里面是吧
[00668.34-00669.50] 这个公司里面的
[00669.50-00670.82] 所有的这些资本
[00670.82-00671.74] 话分出来了
[00671.74-00672.74] 等俄的股份
[00672.74-00673.78] 这个时候你就能够
[00673.78-00675.18] 每一股去给它
[00675.18-00675.78] 股价
[00675.78-00677.14] 或者给每一股定价
[00677.14-00679.14] 但是有限公司不是这样的
[00679.14-00680.10] 有限公司
[00680.10-00682.66] 他是不化和为等俄谷分的
[00682.66-00684.22] 若老师这是怎么回事呢
[00684.22-00686.82] 就是因为有现公司和谷分公司
[00686.82-00688.02] 他们两个在本身上
[00688.02-00689.70] 其实有一个非常大的区别
[00689.70-00690.94] 这是有现公司
[00690.94-00693.02] 他的人和性会更强一点
[00694.42-00695.82] 什么叫做人和性呢
[00695.82-00697.34] 就是这个公司的成立
[00697.34-00698.98] 他更看中的是人
[00698.98-00701.38] 而不是更加看中的是他的钱
[00701.38-00703.46] 这个就叫做人和性
[00703.46-00705.62] 比如说我和另外一个人
[00705.62-00707.18] 和我开了一家公司
[00707.18-00708.90] 我们两个在开公司的时候
[00708.90-00709.94] 他说你来吧
[00709.94-00710.22] 对吧
[00710.22-00711.26] 我跟你一起
[00711.26-00713.06] 咱们两个把这个公司去做好
[00713.06-00714.38] 那这种情况就像你看
[00714.38-00716.82] 我说完也那么多钱
[00716.82-00718.98] 然后我就怎么入主到这个公司里面
[00718.98-00719.98] 他说都没有关系
[00719.98-00720.34] 对吧
[00720.34-00722.42] 我看中的是你的专业性
[00722.42-00724.26] 那我就可以这种专业性来入股
[00724.26-00725.62] 他是看中的是什么
[00725.62-00726.46] 我的这个人
[00726.46-00729.50] 于是他给我分了30%的股权在里面
[00729.50-00730.46] 那你看在这里面
[00730.46-00733.78] 他更加认诊的是我这个人的专业性
[00733.78-00736.18] 那我们两个成立的这个公司就叫做什么
[00736.18-00737.58] 有限责任公司
[00737.58-00739.74] 那其实他是人和性会比较强的
[00739.74-00741.46] 那股分有些公司是什么呢
[00741.46-00742.34] 股分有些公司
[00742.34-00743.94] 更加看中的是钱
[00743.94-00745.58] 所以他资和性比较强
[00745.58-00747.70] 他才不管这个公司的股东是谁
[00747.70-00749.10] 劉公司的创始人是谁
[00749.10-00750.14] 谁来都一样
[00750.14-00750.78] 明白吧
[00750.78-00751.66] 有些在这个
[00751.66-00753.46] 我们所说的这个有些
[00753.46-00754.94] 股分有些公司当中
[00754.94-00756.34] 就是谁来都一样
[00756.34-00757.54] 你谁来谁走
[00757.54-00758.58] 你这个总经理是谁
[00758.58-00759.54] 我都不在意
[00759.54-00760.82] 你只要是在这个里面
[00760.82-00762.70] 这个公司都拼我允认下去就行了
[00762.70-00764.22] 所以他更看中的事情
[00764.22-00765.54] 因为更看中的事情
[00765.54-00767.54] 所以他不看中人
[00767.54-00769.50] 所以他可以在这里把他画分成吗
[00769.50-00773.64] 画分成弱干的等个股份方便对外转让
[00773.64-00775.50] 所以在这里原于这点这儿
[00775.50-00776.64] 那资本画分呢
[00776.64-00779.14] 大家就知道第一个就是有限制人工丝
[00779.14-00781.14] 是不画分为等个股份
[00781.14-00783.14] 因为不画分等个股份
[00783.14-00787.50] 所以他的股票是不对的发行的
[00787.50-00788.14] 明白了吧
[00788.14-00789.94] 就是因为我是相信你
[00789.94-00792.14] 我才找你跟我一起来办公司的
[00792.14-00794.34] 所以我就认诺这个人咱俩
[00794.34-00795.94] 分你这本这三十
[00795.94-00798.34] 他这我再练了这三十的他这两只七十
[00798.34-00800.58] 那在这个地方我们两去做的这个事
[00800.58-00802.90] 是因为他继于对我的信任
[00802.90-00804.90] 所以我们两说那公司无论怎么也行
[00804.90-00805.94] 就是咱俩说了算
[00805.94-00807.14] 是不是继于人核性
[00807.14-00808.98] 我们人人之间的这种关系
[00808.98-00810.18] 所以在这里面我说了
[00810.18-00812.02] 那根本就不需要对外发行
[00812.02-00815.14] 因为对外发行股票就因为这有新的股东
[00815.14-00815.94] 会进来
[00815.94-00817.22] 所以在这里面你看
[00817.22-00818.42] 因为他的人核性
[00818.42-00820.34] 导致他不对外
[00820.34-00821.62] 不化分为等了股份
[00821.62-00824.10] 导致他不对外发行股票
[00824.10-00826.78] 那说老实那还帮你绑出了你就不能走了吗
[00826.78-00828.30] 那这时候其实也不是的
[00828.30-00830.54] 如果我现在因为一些特殊的原因
[00830.54-00832.74] 我要退出这个公司那怎么办呢
[00832.74-00834.70] 我说我手里是30个股票
[00834.70-00835.62] 我要对外转上
[00835.62-00836.90] 我妹给别人他说
[00837.62-00838.18] 那不行
[00838.18-00840.30] 原本我是看着你这个人让你来的
[00840.30-00841.26] 你现在想要退股
[00841.26-00842.30] 那就是怎么办
[00842.30-00843.30] 那这种情况之下
[00843.30-00844.78] 他不让我妹给外人
[00844.78-00846.30] 因为外人他不放心
[00846.30-00847.14] 那他就怎么办
[00847.14-00849.02] 他就收购我的股份就行了
[00849.02-00850.74] 所以我对外所以
[00850.74-00852.62] 就是在有限制的人公司当中
[00852.62-00856.02] 这个股票不对发行,但是可以怎么办,但是可以转仗
[00857.18-00871.02] 不对发行,但是可以转仗,但是如果你对外转仗的时候,要看一下你原本的和你一块创业的同步同意,也就是这些原始股东们它同步同意,就是股东出让股分要取得其他股东同意
[00871.02-00882.42] 那如果它同意存在了,你卖给别人,然后那就是我就把我的这个股分转给其他人,但是大家知道,其他股东也是原本有限公司的股东,它有优先过满血
[00882.42-00887.82] 也是原始股東,有線公司股東,他是公司股東
[00887.82-00891.06] 我現在想要把它轉讓給C,那這種情況之下呢
[00891.06-00894.30] 我給C條件是什麼C給我100萬
[00894.30-00896.66] 然後我把我的這個股份轉給它
[00896.66-00899.82] 如果同能條件之下,你說那你等到你要100萬
[00899.82-00903.18] 你還不是100萬,每給我它也出100萬現金
[00903.18-00908.02] 這有說同能條件,我就要把股票優先轉讓給同公司的A
[00908.02-00912.38] 所以这个就叫做古东出让古分其他古东同意
[00912.38-00914.38] 切为优先贡买的权利
[00914.38-00916.26] 这是古票的发行员
[00916.26-00918.08] 转让大家注意一下这是
[00918.76-00919.98] 我们所说的第二点
[00919.98-00922.02] 第三个点的是有限责任公司
[00922.02-00923.14] 他的这个成立
[00923.14-00924.02] 他说有限责任公司
[00924.02-00925.18] 五十个以下
[00925.18-00926.78] 古东共同出的设立
[00926.78-00928.46] 也就是了人一上五身以下
[00928.46-00929.22] 在这里面
[00929.22-00931.38] 其实就可以成立有限责任公司
[00931.38-00932.62] 你说老师一定要两人吗
[00932.62-00933.10] 不一定
[00933.10-00934.22] 你也可以是一人
[00934.22-00936.46] 所以他给到的就是五身以下
[00936.46-00937.86] 所以这是我们所说的
[00937.86-00940.68] 那他的设立程序是什么
[00940.68-00941.96] 设立程序比较简单
[00941.96-00942.72] 大家注意一下
[00942.72-00944.52] 因为有限责任公司
[00944.52-00947.34] 他其实就是内部的这种人和性会比较强
[00947.34-00948.62] 他看着我这个人
[00948.62-00949.64] 信任我这个人
[00949.64-00952.96] 所以只要我们内部保持一个良好的这样的一个平衡状态
[00952.96-00954.50] 我们的照目也好
[00954.50-00955.52] 我们的自委也好
[00955.52-00957.32] 只要我们几个人知道就行了
[00957.32-00958.60] 不需要让外人知道
[00958.60-00959.88] 所以在这里你看
[00959.88-00962.44] 他的照目几字上进化无需向什么
[00962.44-00963.20] 公众公开
[00963.20-00964.48] 因为股票都没给你看
[00964.48-00966.02] 我刚才要把这些东西给你看了
[00966.02-00966.52] 对吧
[00966.52-00968.06] 所以在这里大家要出道一下
[00968.30-00969.92] 那最后它承难的责任是什么呢
[00969.92-00970.56] 这个点啊
[00970.56-00971.18] 大家注意一下
[00971.18-00972.42] 需要同们去画现来
[00972.74-00973.98] 那有限责任公司
[00973.98-00975.28] 它承难的这个责任
[00975.28-00975.80] 你看一下
[00975.80-00979.24] 叫做古东以出自俄为限承难
[00979.24-00980.10] 有限责任
[00980.10-00982.12] 所以在这里大家知道古东以什么
[00982.12-00983.04] 画出自俄
[00983.16-00984.74] 以出自俄为限承难
[00984.86-00985.92] 有限责任啊
[00985.92-00987.26] 所以在这里面这个叫
[00987.26-00988.14] 有限公司
[00988.14-00989.56] 比如说绝简单例子
[00989.64-00991.32] 假设公司设立
[00991.32-00992.96] 它的资本是多少钱呢
[00992.96-00994.20] 它说公司设立
[00994.20-00996.48] 我们这个任角的资本是100万
[00996.52-00999.72] 100万他认较了70万我认较了30万
[00999.72-01000.20] 对吧
[01000.20-01004.24] 如果在这公司运行当中稍微出了一些问题
[01004.24-01007.40] 那在公司后许运行的运行起康当中
[01007.40-01010.60] 如果公司出现了200万的这样的一个债务
[01010.60-01014.96] 在这里面我们两个要不要把这200万都还
[01016.12-01019.08] 从我俩的这个因为公司正面上就100万
[01019.08-01020.96] 但是公司付在整体上是200万
[01020.96-01023.64] 要不要从两自己的要报当中再去逃100万
[01023.64-01025.32] 去把这200万的互动填上
[01025.32-01025.84] 不用
[01025.84-01028.64] 什么叫做古东一句出色为现成员有限责任呢
[01028.64-01032.20] 就是我在这里面只成员30万
[01032.20-01034.24] 他只成员70万的责任
[01034.24-01035.32] 这个就叫什么
[01035.32-01037.36] 以出色为现成员有限责任
[01037.36-01039.04] 不需要像前面的
[01039.04-01040.44] 个人业主政也好
[01040.44-01041.56] 或者是和我企业也好
[01041.56-01043.20] 拖自己的要包袖还钱
[01043.20-01044.04] 不需要了
[01044.04-01045.48] 所以古东就躲在了什么
[01045.48-01047.16] 就躲在了这种保护的背后
[01047.16-01049.88] 叫个以出资格为现成员有限责任
[01049.88-01051.20] 你认较多少钱
[01051.20-01053.48] 你就成员多少钱的责任就行了
[01053.48-01055.32] 那公司的其他的那些负债
[01055.32-01056.84] 你说说问千万两百万说老师
[01056.84-01058.04] 是千两百万那时候咋办
[01058.04-01059.28] 那这有时候我们到时候
[01059.28-01060.16] 你在看嘛
[01060.16-01060.56] 对吧
[01060.56-01061.88] 你就不用偷个人要包了
[01061.88-01063.52] 公司有其他的这样的一个财产
[01063.52-01064.96] 你就清算其他财产就行了
[01064.96-01066.64] 所以在这里大家注意下
[01066.64-01068.24] 这是有限责任公司
[01068.24-01070.00] 所有限责任公司两句话
[01070.00-01070.52] 第一个
[01070.52-01072.12] 话不花分为等了股分
