[00000.00-00003.28] 同一们好 欢迎大家来学习今天的内容
[00003.28-00008.52] 我是权威老师 那今天我们要给大家去讲解的是经济学当中的第三个
[00008.52-00011.08] 大的板块就是红官经济学
[00165.28-00167.08] 这个主要目标一般请一下
[00167.08-00169.12] 做一个一星级的实际型的
[00169.12-00171.24] 单选题或是对面提出现
[00171.24-00173.72] 叫做两增一文保平红
[00175.64-00177.84] 两张一文
[00178.56-00179.56] 暴偏红
[00179.56-00182.56] 两张指的是经济增长
[00182.56-00184.16] 这个就叫做两张
[00184.16-00186.64] 第二叫一文叫稳定物价
[00186.64-00189.20] 暴偏红就叫保持国际收支平红
[00189.20-00191.84] 所以在这里面同时需要实际的第一点就是
[00191.84-00194.84] 红官挑控他最维重要的一些工作
[00194.84-00196.60] 或者就叫做他的主要目标
[00196.60-00198.84] 是促进整个国家经济的两张一文
[00198.84-00199.92] 暴偏红的运行
[00199.92-00202.04] 那这里面我们回过头来来看一看
[00202.04-00206.64] 这里的经济增长就约增加稳定物件以及保持国际平衡
[00206.64-00209.84] 对于一个国家来说哪一个点运行是最主要的
[00209.84-00213.76] 因为国家发展的基础都来自于它强大的经济实力
[00213.76-00215.36] 所以在这四个目标当中
[00215.36-00218.16] 我们注意下出现了第二个一回小的点
[00218.16-00221.84] 这是红官调控当中最主要的目标是什么
[00221.84-00222.80] 标注
[00222.80-00224.52] 叫做经济增长
[00224.52-00228.08] 因为这里面的稳定就约增加就约稳定物件
[00228.08-00229.44] 保持国际收拾平衡
[00229.44-00232.98] 它本質上其實都是要回歸促建經濟增長的
[00232.98-00235.18] 因為經濟是低動力嘛
[00235.18-00238.70] 所以在這裡面我們提到了最主要的目標是經濟增長
[00238.70-00243.62] 考試的時候就在這裡面容易給我們設置一個混小像
[00243.62-00246.36] 所以在這裡面說主要目標和最主要目標
[00246.36-00247.96] 一叫給它去分開
[00247.96-00252.26] 但這些是我們所說的紅彎條控它的一些主要的一些任務
[00252.26-00253.86] 我們可以這麼去理解它
[00253.86-00257.74] 但是紅彎條控或者是我們所說的紅彎經濟的運行
[00257.74-00259.98] 它其实自身有一个基本目标在
[00259.98-00263.14] 也就是无论你想要达到什么样的
[00263.14-00265.42] 任务实现什么样的主要目标
[00265.42-00268.50] 它有一个点是任何一个目标都不能设处的
[00268.50-00270.66] 这个就叫做基本目标
[00270.66-00272.06] 这个基本目标是什么呢
[00272.06-00273.42] 同们写在旁边
[00273.42-00275.66] 红官经济运行或者红官调控的
[00275.66-00279.50] 基本目标叫维持社会总攻击
[00279.50-00280.54] 写旁边
[00280.54-00283.86] 叫社会总攻击
[00283.86-00287.06] 预约社会总需求的平衡
[00290.26-00293.86] 社会总共几一社会总需求的平衡
[00293.86-00296.26] 这个地方同时给他补充在旁边
[00296.26-00298.06] 然后写上圈三
[00298.06-00301.26] 通论文发现他其实都是经济朝空的目标
[00301.26-00303.58] 但是这三个目标的表说不太一样
[00303.58-00307.38] 你说老师社会总共几和社会总需求到底是怎么回事呢
[00307.38-00310.38] 通论可以把我们的思路往前延伸一下
[00310.38-00313.18] 咱们在讲立关经济的时候是不是给大家讲过
[00313.18-00314.98] 我们在讲微观经济的时候说了
[00314.98-00317.78] 微观经济研究单个生产者的行为
[00317.78-00319.54] 我们当时说了单个生产者
[00319.54-00322.14] 对应的一个概念叫做供级
[00322.14-00324.54] 有生产就必须有需求
[00324.54-00327.78] 所以在这里面市场当中还有消费者
[00327.78-00331.38] 那这里面的消费者的概念对应的就是需求
[00331.38-00332.90] 但是我们刚才说了
[00332.90-00336.38] 微观经济学研究的是单个个体的经济行为
[00336.38-00339.38] 也是市场当中的一个你是好当中的一个我
[00339.38-00340.58] 我们去买东西
[00340.58-00343.46] 他卖给我们多谢这样的一个单个的经济行为
[00343.46-00347.30] 但是我们前面也说了市场当中有无数个泥稿
[00347.30-00349.34] 那无数个泥稿就够成了什么
[00349.34-00352.50] 就够成了攻击的家总和需求的家总
[00352.50-00356.50] 而把这种攻击的家总就称着为叫做社会总攻击
[00356.50-00360.50] 我们把这种需求的家总就称着为叫做社会总需求
[00360.50-00362.42] 说老实我以前学过经济
[00362.42-00365.78] 我们讲社会总的总需求就是可不是说简单的家总
[00365.78-00367.70] 但是我们考试的说同媒的要注意
[00367.70-00372.30] 我们在考试的时候不会去深纠社会总共结合总训组的概念是什么
[00372.30-00375.62] 你只需要在这个地方能够理解社会总共结合总训组
[00375.62-00377.86] 它大概是一个什么样的感觉就OK了
[00377.86-00379.30] 所以不用去深纠它的概念
[00379.30-00380.38] 我刚才那么解释呢
[00380.38-00382.66] 就是为了变于同学们去理解
[00382.66-00384.42] 所以在这里面我们就发现
[00384.42-00386.90] 初进经济增长增加就业稳定物价
[00386.90-00388.42] 以及保持国际收拾品号
[00388.42-00390.30] 它有一个内在的底线在
[00390.30-00391.18] 就是这些目标
[00391.18-00392.34] 它都有一个
[00392.34-00393.98] 割部下的一个任务要完成
[00393.98-00397.14] 就是我们所说的要实现社会总共结合总训组的
[00397.14-00399.70] 平衡 所以社會總共警告總需求
[00399.70-00402.26] 稱之為紅官條控的基本目標
[00402.26-00405.34] 這身每一個政策要實現的最中目標
[00405.34-00406.46] 我們可以這麼理解
[00406.46-00408.66] 就是國家實行一系列的政策
[00408.66-00409.78] 它的第一道線
[00409.78-00411.22] 逃完成的任務是什麼呢
[00411.22-00413.02] 就是共需平衡
[00413.02-00414.66] 那在共需平衡的基礎之上
[00414.66-00415.98] 我們還要出界
[00415.98-00417.86] 經濟增長就業增加穩定物價
[00417.86-00419.66] 保持國界收支平衡
[00419.66-00420.94] 所以才區分出來了
[00420.94-00423.66] 叫做基本目標和主要目標
[00423.66-00425.30] 這個地方我也同意說一下
[00425.30-00430.52] 在考试的过程当中你要区分这三个目标的表述
[00430.52-00432.58] 它分别都涵蓋什么样的概念
[00432.58-00436.72] 第二个就是在这个地方有一个地区的世界单位考卫到底
[00436.72-00438.04] 当时就考了一道铁
[00438.04-00441.48] 所以以下关于红官经济运行说法正确的是
[00441.48-00444.22] 给到了1,12,13,4,15
[00444.22-00445.30] 给到了5个选项
[00445.30-00447.24] 其中有一个选项给到就说
[00447.24-00453.30] 说红官条控的目标包括两张一文保评红核社会总公序的平衡
[00453.30-00454.68] 当时红什么就说了
[00454.68-00456.64] 是我们当时没有学过社会总统学
[00456.64-00459.24] 所以大家就默认为圈一那个说法是错的
[00459.24-00460.88] 那你如果这么想就不对了
[00460.88-00461.88] 因为我们说了
[00461.88-00462.80] 基本目标
[00462.80-00464.80] 它使不住于红官条控的目标
[00464.80-00466.80] 它当然也属于红官条控的目标了
[00466.80-00468.56] 所以在这里面同位调注意
[00468.56-00472.44] 它一般情况之下不会单独的出体
[00472.44-00473.80] 但是它一旦出体的话
[00473.80-00476.20] 它往往都是我们所说的综合性的体目
[00476.20-00480.72] 所以同位们在这里要去去分红官条控的目标
[00480.72-00483.16] 红官条控的主要目标
[00483.16-00486.40] 红官条控的基本目标以及最主要目标
[00486.40-00489.80] 他们其实是一些相伙进合的一些概念
[00489.80-00493.24] 所以在这里面一定要把这三个点去理它去分清楚
[00493.24-00495.88] 我在这里就给大家标注的很清晰了
[00495.88-00499.00] 它在考试的时候怎么去考大家一定要注意
[00499.00-00500.68] 那这是第一个 我们要知道
[00500.68-00502.36] 我们搞了红官条控
[00502.36-00504.36] 就是政府去干与市场的阴行
[00504.36-00505.36] 它到底要做什么
[00505.36-00506.72] 那你不能下干与
[00506.72-00510.04] 所以在这里就给到了相应目标
[00510.04-00511.24] 那有了这几个目标
[00511.24-00512.60] 那我们就主意来看一下
[00512.60-00513.84] 先來看一下第一個
[00513.84-00516.80] 也說是紅官條控的最主要目標
[00516.80-00519.64] 紅官條控的最主要目標叫做經濟增長
[00519.64-00523.24] 我們來看一下有關經濟增長相的考察點
[00523.24-00525.04] 經濟增長到底是啥呢
[00525.04-00526.80] 他在這裡給到了一個定義
[00526.80-00528.80] 他說經濟增長是指
[00528.80-00534.08] 一國會一定是侵內生產的產品和提供老物的總量的擴大
[00534.08-00536.52] 表現了經濟總量GDP
[00536.52-00538.36] 或者是人軍總量的增加
[00538.36-00541.28] 他這個概念說的相對來說有一點龍頭
[00541.28-00543.64] 其实经济总统就像我们所理解的那样
[00543.64-00547.00] 就是今年比去年数量要多了
[00547.00-00548.12] 体量更大了
[00548.12-00549.80] 这种情况之下就叫做什么
[00549.80-00551.16] 就叫做经济总统了
[00551.16-00555.60] 所以它在这里面给到了是产品和老物的总统中间
[00555.60-00558.44] 比如说去年市场到时候产品产出
[00559.08-00560.84] 一千两百亿个相交
[00560.84-00563.88] 今年如果产出了两千亿个相交的话
[00563.88-00564.88] 那这样的话
[00564.88-00566.80] 是不是代表的是总统的扩大
[00566.80-00568.36] 那它其实就是什么
[00568.36-00570.76] 就是约经济增长
[00570.76-00572.20] 所以在这里面搭住一下
[00572.20-00573.60] 经济增长就是变多了
[00573.60-00574.40] 什么变多了呢
[00574.40-00575.64] 是总量变多了
[00575.64-00578.08] 它其实体现是在数量上
[00578.08-00580.04] 这个量变多了叫经济增长
[00580.04-00581.40] 但是考试的时候
[00581.40-00583.20] 考经济增长的含意的时候
[00583.20-00585.28] 不会把它的概念拿出来考察
[00585.28-00587.32] 而是会考察一些对比概念
[00587.32-00588.20] 所以在这里面
[00588.20-00591.00] 我在书上给大家设置了一个考点体验
[00591.00-00592.52] 同时把这个考点体验下面
[00592.52-00594.28] 是复体大流了比几专区
[00594.28-00597.80] 在这里需要透明补充两度之事点
[00597.80-00599.32] 这两个支隐分别是啥呢
[00599.32-00600.36] 第一个我们要知道
[00600.36-00602.68] 经济增长和经济发展
[00602.68-00605.00] 它其实本身是不同的概念
[00605.00-00605.96] 所以在这里
[00605.96-00607.44] 谭谭边标主一下
[00607.44-00608.84] 叫做经济发展
[00610.52-00612.84] 不等于经济增长
[00613.96-00617.04] 如果老师这不就是应该了嘛
[00617.04-00617.44] 对吧
[00617.44-00619.44] 经济发展只得不等于经济增长
[00619.44-00620.92] 在这里面大家注意一下
[00620.92-00621.96] 考试的时候
[00621.96-00622.52] 这句话
[00622.52-00623.72] 出过一个选项
[00623.72-00624.72] 一定要注意
[00624.72-00626.52] 经济发展不等于经济增长
[00626.52-00629.92] 搭住一下经济增长是总量上的扩张
[00629.92-00631.64] 而经济发展更加强调是什么
[00631.64-00633.56] 更加强调的是经济发展的品质
[00633.56-00636.12] 比如说我们经常在国家提到的说什么
[00636.12-00638.04] 说什么高质量发展
[00638.04-00640.88] 高质量发展其实强调是经济发展的质
[00640.88-00645.44] 而我们经常会看到国家出现一些同机的数据
[00645.44-00647.96] 比如说今年经济增速5.2%
[00647.96-00651.36] 然后我们预测明年经济增速6.7%
[00651.36-00653.64] 这个经济增速体现的是什么
[00653.64-00655.04] 量上的增加
[00655.04-00656.58] 所以在这里面大家注意一下
[00656.58-00659.52] 经济发展不等于经济增长
[00659.52-00661.18] 因为经济增长
[00661.18-00662.28] 你看这个注意
[00662.28-00664.78] 因为经济发展它体现的是
[00664.78-00667.68] 至而经济增长体现的是什么体现的实量
[00667.68-00668.52] 这句话
[00668.52-00670.32] 和对于他们两个理解
[00670.32-00671.96] 考过一个判断选项
[00671.96-00673.36] 同时一定要注意一下
[00673.36-00675.94] 我们可以从某种程度上来说
[00675.94-00679.36] 经济发展必然能够推动经济增长
[00679.36-00680.84] 这是他们两支线的关系
[00680.84-00681.66] 大家要注意一下
[00681.66-00683.20] 这是第一个
[00683.20-00690.88] 那么知道了经济增长它其实有一种体现的就是经济发展能够推动我们所说的经济增长
[00690.88-00696.26] 但是经济增长经济增长它是一种亮的扩张那这种亮的扩张它有什么具体的表现呢
[00696.26-00699.58] 在这里就考察到了经济增长的类型
[00699.58-00703.42] 经济增长的类型大家注意一下 考过理解型的题目
[00703.42-00707.02] 当然它考理解型的题目的时候呢 有两种考察
[00707.02-00711.82] 第一种就是把它放在一个综合型的题目里面 让我们去变息经济增长
[00711.82-00713.58] 第二個就是給了一個案例
[00713.58-00716.82] 讓去判斷它屬於經濟增長的哪一個類型
[00716.82-00718.94] 那剛才這個點是一個實際型的
[00718.94-00719.94] 綜合性的點
[00719.94-00720.74] 大家注意一下
[00721.46-00722.94] 後面真的考理解
[00722.94-00724.50] 考理點題目的話
[00724.50-00726.62] 它就要和什麼結合在一塊了
[00726.62-00728.26] 它就要和我們國家的
[00728.26-00731.66] 中特理論當中所提到的一些基本概念結合在一起了
[00731.66-00733.22] 那經濟增長的類型
[00733.22-00735.98] 在我們國家其實分成兩種形式的
[00735.98-00737.10] 那第一種形式
[00737.10-00739.82] 就是我們所說的叫做粗放形的經濟
[00741.82-00745.78] 现在旁边第一种就叫做粗放形的经济
[00745.78-00749.74] 第二种同学们一定听过就叫做级月形经济
[00751.02-00752.86] 叫做级月形经济
[00753.42-00755.22] 那个月约会的约
[00755.22-00758.02] 我这个字总写联币就够在块了
[00758.02-00759.86] 叫做级月形的经济
[00759.86-00761.98] 粗放形的增长模式
[00761.98-00763.18] 什么叫粗放呢
[00763.18-00764.86] 搭住一下粗放粗放
[00764.86-00767.26] 就是很粗很开放
[00767.26-00768.82] 那这个话
[00768.82-00770.86] 解釋过来就是最开始的
[00770.86-00772.54] 这种经济增长的这种类型
[00772.54-00773.50] 它就是靠什么
[00773.50-00774.50] 它就是靠简单
[00774.50-00776.26] 粗暴的方式发展出来的
[00776.26-00778.66] 所以粗暴型的经济一般就是简单粗暴
[00778.66-00780.14] 简单粗暴体现在什么呢
[00780.14-00781.38] 就是国家我们说了
[00781.38-00783.74] 经济增长我们只要靠亮增长
[00783.74-00785.58] 所以你只要是数值
[00785.58-00787.02] 或者数字上来了
[00787.02-00788.38] 我们就认为经济增长了
[00788.38-00790.06] 那你可以通过什么样的方式
[00790.06-00791.22] 来促进经济增长
[00791.22-00792.86] 那就可以往里杂东西吗
[00792.86-00794.78] 你可以往里杂钱杂人杂物
[00794.78-00796.62] 一比如说像改革开放初期
[00796.62-00797.94] 那时候改了开放初期的话
[00797.94-00800.30] 中国经济其实是上位开发的
[00800.30-00802.92] 所以一旦提到改了开放政策之后
[00802.92-00804.74] 大量的企业有劳中国
[00804.74-00805.86] 那那个时候中国
[00805.86-00807.22] 资源相当丰富
[00807.22-00809.00] 我们有丰富的人口红利
[00809.00-00811.12] 我们的地匹那是相当制度了
[00811.12-00811.38] 对吧
[00811.38-00813.50] 资源也是相当丰富了
[00813.50-00815.26] 中国有非常完善的产业力
[00815.26-00817.30] 且运行成本调地
[00817.30-00819.14] 那你看这么多好的这种优势
[00819.14-00819.90] 对于国外企业
[00819.90-00821.40] 它是一个极大的限力
[00821.40-00823.16] 所以那个时候改了开放
[00823.16-00824.18] 当刚开始
[00824.18-00826.66] 中国的经济迅速就发展起来了
[00826.66-00830.06] 美国端时间中国就从我们所说的叫做上
[00830.06-00832.46] 叫做低收入国家转向了中等说入国家
[00832.46-00834.06] 这发展速度非常快
[00834.06-00836.46] 你看我们这么快是靠什么高起来的
[00836.46-00837.66] 这是靠杂人吗
[00837.66-00840.26] 我们有我们所说的这种人口红利
[00840.26-00843.26] 对吧在世界当中广位流传的一首迷游
[00843.26-00845.46] 在山的那边海的那边有一群中国人
[00845.46-00848.06] 他们每六聪明他们情统不要命
[00848.06-00848.26] 对吧
[00848.26-00849.26] 你看在这里面
[00849.26-00852.06] 我们有人口红利对他们来说是一个系列
[00852.06-00855.46] 我们就可以投入人口来代动进装长
[00855.46-00857.14] 中国资源非常丰富
[00857.14-00858.78] 那个时候我们就以山西维练
[00858.78-00860.02] 山西的美态
[00860.02-00861.70] 资量又高又便宜
[00861.70-00864.42] 山西作为中国的中部城市
[00864.42-00866.10] 它向外服车到全国
[00866.10-00867.74] 东西南北都有它的美态
[00867.74-00869.74] 你看我们就可以靠杂资源
[00869.74-00870.98] 让经济发展起来
[00870.98-00872.42] 所以这种粗帮型的经济
[00872.42-00873.22] 它就是靠什么
[00873.22-00874.86] 靠单纯的要素投入
[00876.06-00877.26] 纯纯的要素投入
[00877.26-00878.22] 就是你有啥
[00878.22-00879.22] 有案理杂啥
[00879.22-00880.18] 你杂计学
[00880.18-00881.94] 只要投进你它有产出
[00881.94-00884.02] 那经济就一定能发展起来
[00884.02-00886.22] 那这个就叫做单纯的要素投入
[00886.22-00887.94] 那同一会来看一下这种简单
[00887.94-00890.26] 出报的单纯的要素投入的方式
[00890.26-00891.34] 建讷确实是快
[00891.34-00892.66] 因为它猛对吧
[00892.66-00894.74] 但是它会带来一些不利的后果
[00894.74-00896.06] 这不利的后果是什么呢
[00896.06-00898.38] 你确实是有很好的这种资源
[00898.38-00899.98] 咱们就以山西的美态为例
[00899.98-00900.38] 对吧
[00900.38-00901.58] 那时候山西的美态
[00901.58-00903.42] 支援全国经济的发展
[00903.42-00905.50] 哪一个地区没有用过山西的美态呢
[00905.50-00905.74] 对吧
[00905.74-00908.58] 所以那个时候确实是带动了一些人的发展
[00908.58-00910.10] 但是山西的美态
[00910.10-00912.38] 他也他的支援全国
[00912.38-00913.40] 它也有一个问题
[00913.40-00913.98] 什么问题呢
[00913.98-00914.50] 就是
[00914.50-00916.86] 因为山西美汤自然非常非常丰富
[00916.86-00918.26] 所以我们用了用着觉得
[00918.26-00920.50] 这个美汤自然这么丰富
[00920.50-00922.10] 我们就不用珍惜了
[00922.10-00923.14] 因为你只要用
[00923.14-00924.70] 我就能够供应上
[00924.70-00926.18] 你看导致的结果就什么
[00926.18-00928.58] 大家对于这个资源没有什么珍惜度
[00928.58-00931.02] 99是山西的美汤日业哭解
[00931.02-00933.14] 这是山西现在经济发展面临的
[00933.14-00934.50] 非常严重的一个问题
[00934.50-00934.90] 对吧
[00934.90-00937.22] 我们就对于山西的经济发展说什么办
[00937.22-00938.34] 资源哭解了
[00938.34-00939.78] 要经济转型
[00939.78-00941.50] 你看除了像美汤这种
[00941.50-00942.78] 我们所说的石油
[00942.78-00945.22] 它是非常典型的这样子的自然
[00945.22-00947.50] 原来有大庆的小伙伴不知道有没有
[00947.50-00948.66] 大庆的那个石油
[00948.66-00950.90] 我们都说了紧盼式的石油对吧
[00950.90-00952.14] 你看像现在
[00952.14-00953.50] 如果不结约使用的话
[00953.50-00955.06] 它在未来的几十年之间
[00955.06-00957.66] 也可能是处在一个酷节的一个状态
[00957.66-00959.10] 所以在这里面我发现
[00959.10-00960.62] 单纯的要素投入
[00960.62-00962.10] 它带来的就是什么
[00962.10-00963.46] 资源的过度使用
[00963.46-00965.22] 资源的酷约你资源的浪费
[00965.22-00967.70] 那已经造成了线了这样的一个状况
[00967.70-00969.54] 中国的资源也要好人口红力
[00969.54-00970.50] 好土地也好
[00970.50-00972.30] 已经没有了之前的优势了
[00972.30-00974.86] 那你想要以前上那种靠走
[00974.86-00978.26] 量来代动经济发展在现在的中国行不通
[00978.26-00979.98] 那如果行不通怎么办
[00980.22-00983.50] 的经济中涨方式就要换一换
[00983.50-00985.94] 就不能说单纯的靠数量
[00985.94-00987.34] 咱不能以量取杀了
[00987.34-00988.86] 而要转向一致取杀
[00988.86-00989.90] 而这种以致取杀
[00989.90-00990.94] 它就属于什么
[00990.94-00992.90] 级约型的经济中涨方式
[00992.90-00994.06] 那级约型的葬上方式
[00994.06-00994.82] 说主要靠什么呢
[00994.82-00996.10] 只要靠科技
[00996.86-00998.42] 主要就是靠技术
[00998.42-00999.18] 靠技术
[00999.18-01001.54] 靠我们所说的是吗
[01001.54-01002.58] 利用效率
[01004.46-01005.34] 利用效率
[01005.34-01007.42] 所以你只要在体验当中看到他什么
[01007.42-01011.26] 搞什么科技创新提高资源的利用率等等
[01011.26-01012.10] 他没跑了
[01012.10-01012.98] 一定是什么
[01012.98-01014.30] 几约形经济
[01014.30-01015.74] 所以在这里没有刚才说了
[01015.74-01017.02] 他考理一些形题目
[01017.02-01018.46] 如果给按例的话
[01018.46-01020.14] 同时在这怎么去变形
[01020.14-01021.58] 看他有没有提高科技
[01021.58-01023.34] 有没有提高资源利用率
[01023.34-01024.02] 如果有
[01024.02-01025.10] 属于几约形
[01025.10-01027.02] 如果他说我就单纯的靠藥素头
[01027.02-01028.22] 如果靠走亮的话
[01028.22-01029.86] 我就起了在直播一点
[01029.86-01031.90] 单纯的靠走亮的话
[01033.02-01034.02] 这个是走自
[01034.02-01035.42] 单纯的靠走亮的话
[01035.42-01036.98] 那它就属于我们所说的什么
[01036.98-01039.26] 那它就属于我们所说的这种
[01039.26-01040.90] 粗放行的经济
[01040.90-01041.70] 所以在这里面
[01041.70-01043.94] 大家要把它两分开
[01043.94-01045.02] 然后它一分开
[01045.02-01045.46] 好
[01045.46-01046.86] 这是我们所说的
[01046.86-01050.18] 从它的含义推演出来的两个细节的考虑
[01050.18-01051.54] 以前我们再去做
[01051.54-01053.46] 这个题目的时候可能不太会再议
[01053.46-01057.02] 但是我们说了细节决定成绩
[01057.02-01058.66] 多一个细节的考察点
[01058.66-01061.46] 我们就对于这个支点理解的掌握透车一分
[01061.46-01062.98] 对于在考试上用事
[01062.98-01064.98] 它就可能会更方便一些
[01064.98-01067.94] 这是第一个我们叫做经济增长
[01067.94-01070.14] 从这里面演示出来的这两个点
[01070.14-01070.94] 但经济增长
[01070.94-01072.54] 我们刚才回屋到这个含映上
[01072.54-01074.22] 它说就是总量的擴大
[01074.22-01075.34] 那这个总量的擴大
[01075.34-01076.42] 可不是你上嘴球
[01076.42-01078.22] 碰下一球一碰碰出来之后
[01078.22-01079.98] 我们这经济没随了
[01079.98-01080.38] 对吧
[01080.38-01082.02] 经济相当之可以了
[01082.02-01083.70] 那不是你用嘴球是碰出来的
[01083.70-01085.26] 你经济到底有没有增长
[01085.26-01087.18] 它是用客观数据说话的
[01087.18-01088.06] 换个话说
[01088.06-01089.02] 经济的增长
[01089.02-01091.06] 它是需要通过很量的
[01091.06-01092.98] 于是我们就来看一下
[01092.98-01096.38] 我们从哪几个方面来很量经济的增长
[01096.38-01098.78] 可不是你随口一说就可以的
[01098.78-01101.90] 那很量经济增长其实是通过三个东西
[01101.90-01102.86] 也就是我们所说的
[01102.86-01104.82] 叫拉东经济增长的三个动力
[01104.82-01105.62] 来看一下
[01105.62-01107.30] 在这里它提到了说
[01107.30-01109.54] 经济增长靠三架马车来拉度
[01109.54-01111.22] 这三架马车分别是啥呢
[01111.22-01112.10] 同一标注意下
[01112.10-01114.70] 三架马车的分别叫做投资消费
[01114.70-01115.42] 和出口
[01115.42-01119.70] 所以投资消费和出口被称着为拉动金增长的三架马车
[01119.70-01120.90] 这个点大家注意一下
[01120.90-01124.70] 它只能作为一个判断选项或判断去出现
[01124.70-01126.30] 而且目前相对来说
[01126.30-01128.18] 它的可好性也比较低了
[01128.18-01130.82] 它是和另外一个点相区分的
[01130.82-01132.90] 另外一个点我们在后面会打讲到
[01132.90-01135.26] 叫世界经济的三架马车
[01135.26-01137.86] 世界经济的三架马车对应的分别是
[01137.86-01141.30] 国际货币金组之我们所说的WTO
[01141.30-01143.26] 以及世界银行WB
[01143.26-01144.66] 这两个点是相区分的
[01144.66-01146.98] 但是这对于国内的经济发展来说
[01146.98-01151.42] 我们只要靠投资消费和出口来去戴东京的增长
[01151.42-01153.26] 那其中在这里同标主一下
[01153.26-01156.38] 投资和消费被称着也叫做内需
[01156.38-01159.26] 而出口被称着也叫做万需
[01159.26-01160.50] 这个点大家注意
[01160.50-01163.26] 他如果单纯的从经济学来考察的话
[01163.26-01164.18] 不可能说了
[01164.18-01165.78] 单纯的从经济学来考察
[01165.78-01168.42] 他的本身的考察性已经很低了
[01168.42-01171.50] 因为这个点在这里面调料的只是一个基本概念
[01171.50-01174.26] 但是可以从经济学演身出来这个点
[01174.26-01174.90] 干嘛呢
[01174.90-01175.78] 结合
[01176.66-01177.86] 时正来考察
[01181.22-01182.50] 结合时正来考察
[01182.50-01185.94] 但是这种结合时正来考察也是走它的基本概念
[01185.94-01187.06] 这个基本概念在什么呢
[01187.06-01189.02] 我们要知道什么是内需什么事
[01189.02-01191.22] 外需内需是对于一个国家
[01191.22-01193.46] 内部经济增长来看它的内生动力
[01193.46-01194.34] 叫做内需
[01194.34-01196.14] 这里叫做投资和消费
[01196.14-01197.86] 尤其是中国的消费市场
[01197.86-01199.46] 是个相当之旁耐
