[00000.00-00003.34] 好 那我们今日来看一下 犯罪论郎中的最后一个问题
[00003.34-00005.26] 我们在整个犯罪论郎中
[00391.82-00396.18] 就是我们所说的这个主观要介绍他要求犯罪
[00396.18-00399.18] 我们所说的这个共犯人就共同的故意就行
[00399.18-00402.94] 就是我们两个故意而为之咱们两个说故意去杀人 对吧
[00402.94-00406.46] 这种情况之下我们强调他有共同故意
[00406.46-00408.70] 那这个共同故意其实就意味着
[00408.70-00411.82] 他们之间的这种共同故意必须要求有什么
[00411.82-00414.34] 相互写作的意思表示
[00414.34-00417.46] 如果在这里面没有相互写作的意思表示的话
[00417.46-00419.30] 那指定是不醒的
[00419.30-00421.26] 所以在这里面大家一定要注意一下
[00421.26-00423.12] 这里面就会区分出来两个点
[00423.12-00423.98] 哪两个点呢
[00423.98-00425.30] 这是第一个我们说了
[00425.30-00426.82] 如果是过失犯罪
[00426.82-00428.10] 走不够成共同犯罪
[00428.10-00431.34] 因为我们要求了在这里必须是有共同故意犯罪
[00431.34-00433.46] 所以在这也生出来了两个细节
[00433.46-00434.74] 同时标注在旁边
[00434.74-00437.66] 也是在我们做理解性的题目当中必须要注意的
[00437.66-00438.50] 那就是第一个
[00439.46-00441.14] 叫做过失犯罪
[00442.98-00444.66] 叫做过失犯罪
[00446.78-00447.74] 不够成
[00449.90-00450.90] 共同犯罪
[00451.26-00454.26] 一定是要怎么样
[00454.26-00455.94] 一定是要故意
[00455.94-00460.18] 所以在这里过失犯是不能够成共同繁罪的
[00460.18-00464.06] 过失犯不能够成共同繁罪
[00464.06-00465.74] 所以在这里面待一注意
[00465.74-00467.38] 举个简单的例子说的比例说
[00467.38-00468.18] 我和你
[00468.18-00470.26] 咱们两个都是建筑公司的工人
[00470.26-00472.50] 那建筑公司的工人一天就要拉货
[00472.50-00474.54] 然后去搞很多的这种气财
[00474.54-00476.82] 所以咱们两个作为建筑公司的工人
[00476.82-00479.70] 就经常会涉一到一些台的东西
[00479.70-00481.76] 进入材料甚至搭简行牧巧
[00481.76-00483.54] 咱们两个在有一天工作的时候
[00483.54-00485.34] 咱俩就抬着这个专头
[00485.34-00487.06] 就要去通过一个牧板
[00487.06-00488.14] 搭简的一个通道
[00488.14-00488.92] 然后呢
[00488.92-00491.52] 大家都知道现在就是因为你在金注工历史
[00491.52-00492.76] 它有很多的那种
[00492.76-00494.04] 比如说郎巧
[00494.04-00495.20] 什么它其实没有搭借好
[00495.20-00496.86] 其实就是铺了铺头的板子
[00496.86-00498.50] 就是变于我们所说的
[00498.50-00500.44] 时光人员它能够来够度过就行了
[00500.44-00500.94] 对吧
[00500.94-00503.50] 这一天我们说咱俩一块把这个专头
[00503.50-00505.44] 去搬到我们所说的另外一边
[00505.44-00506.06] 对吧
[00506.06-00507.34] 然后专头太多了
[00507.34-00508.38] 我一个人都抬不过来
[00508.38-00509.38] 我说你过来帮我一下
[00509.38-00513.62] 然后咱们两个就台上专头要走过那个木板搭建的那个通道
[00513.78-00516.98] 但是大家都知道木板搭建通道它的成就能理事什么
[00517.06-00519.86] 有限的假设这个木板搭建的通道呢
[00519.86-00523.06] 它每次只能负担100块担头的重量
[00523.06-00524.10] 如果再给多了的话
[00524.10-00526.10] 它操重了那个木板就要使得了
[00526.18-00529.38] 咱俩呢当时候就说这个活还挺急的
[00529.38-00531.54] 我说咱俩吐省事你跟我一块去担专
[00531.62-00535.14] 然后呢咱俩一次搬多少呢一次搬200块转
[00535.14-00538.18] 然后再就图省事台这200块转就往那儿走
[00538.18-00541.86] 結果那一天我走的時候就走啊走啊走啊走啊走啊走
[00541.86-00544.62] 對吧在小小的木橋上走啊走啊走
[00544.62-00546.14] 那個木板一下斷了
[00546.14-00547.90] 那個木板斷的時候咱俩那個
[00547.90-00549.54] 你都知道一斷他手裡的串頭
[00549.54-00550.54] 壺了花拉的
[00550.54-00551.66] 全都掉下去了
[00551.66-00553.06] 那很高的那個樓層啊
[00553.06-00554.82] 所以那個木板斷裂之後呢
[00554.82-00556.10] 串頭落下去
[00556.10-00558.02] 就把路上的形容人砸死了
[00558.02-00559.70] 那你看在這種情況之下
[00559.70-00561.02] 我們能不能說
[00561.62-00562.74] 在這個裡面
[00562.74-00563.78] 我們所提到的
[00563.78-00565.14] 他們兩個對於
[00565.14-00566.58] 我們所提到的這個事情
[00566.58-00567.82] 它處於什麼樣的太多
[00570.10-00572.58] 他們兩個是故意消百熱行人雜死的嗎
[00573.54-00576.82] 他們兩個絕對不是想要故意把人雜死的
[00576.82-00580.50] 所以在這裡面他們兩個能不能構成共同故意犯罪
[00580.82-00582.98] 不行他們兩個分別認為是什麼
[00583.14-00584.54] 他們兩個都是過失嘛
[00584.54-00586.34] 你已經遇見到了這個事
[00586.34-00587.58] 但是你怎麼樣
[00587.58-00589.78] 你清醒能夠避免受報告信心派
[00589.94-00592.50] 所以在這裡他們兩個是什麼是過失犯
[00592.50-00595.22] 那既然是過失犯罪的話能不能成立共同犯罪
[00595.22-00599.78] 不行,那这个时候给他来订所的罪,分别去订过世之死亡就行了
[00599.78-00602.02] 所以在这里,大家一定要明确第一个
[00602.02-00605.46] 这是过世犯罪,不可能够成共同犯罪,这是第一个点
[00605.46-00607.38] 因为要求的是共同故意
[00607.38-00611.78] 那第二个点就是,跟我们说了共同的故意,你怎么能够看得出来
[00611.78-00615.06] 他俩是共同故意呢?在这种情况之下,他要求说
[00615.06-00617.46] 他们之间要有相用的意思写作
[00617.46-00621.54] 也就是在犯罪过程当中,你俩是什么商量这来的
[00621.54-00625.50] 那一定是在去做按的過程當中商量的來
[00625.50-00627.70] 那如果說你去做按了我不知道了
[00627.70-00629.54] 然後咱俩是鐵哥們
[00629.54-00631.30] 咱俩是把子咱俩是好朋友
[00631.30-00634.14] 對吧當年咱俩背板子立事的時候說
[00634.14-00637.22] 有服同享有那你當咱俩當時都說得好好的
[00637.22-00638.70] 突然有一天我就看到
[00638.70-00639.34] 看到什麼呢
[00639.34-00641.62] 你去到了你連駕去實行道歉
[00641.62-00643.22] 我當時一想你小子行
[00643.22-00645.42] 有前途監去連駕偷東西
[00645.42-00646.18] 我當時一想
[00646.18-00647.46] 我是你的背板兄弟
[00647.46-00649.34] 我能眼睛認得看著盡監獄嗎
[00649.34-00650.18] 就不醒
[00650.18-00651.78] 然后你不知道
[00651.78-00654.34] 我其实就是在原院的观察着你
[00654.34-00655.66] 上你林嘉投东西
[00655.66-00657.14] 然后你进到林嘉之后
[00657.14-00658.38] 我就在门口给你放风
[00658.38-00660.26] 我想你林郡主要是回来的话
[00660.26-00663.82] 我知不在帮你打个我们所说的照应吗
[00663.82-00665.50] 对吧 给你打个帮手
[00665.50-00666.74] 所以你就进投东西
[00666.74-00669.26] 进通行之后我就在门口给你放风
[00669.26-00670.18] 我再门口给你放风
[00670.18-00672.38] 对的时候你家这个林郡主要果然
[00672.38-00673.26] 他是回来了
[00673.26-00674.82] 我当时一看到林郡主要是
[00674.82-00676.30] 我说你这不是老张吗
[00676.30-00677.06] 我说我呀
[00677.06-00678.14] 我是老刘
[00678.14-00680.94] 对吧 每个人生命当中都几个信仗的信留的
[00680.94-00681.86] 他其实不记得我
[00681.86-00683.78] 他说 原来是老流 问家干吗
[00683.78-00685.06] 我这来来他去喝茶
[00685.06-00686.82] 说还有这么多年没见你了 怎么样
[00686.82-00687.94] 我就把他吃走了
[00687.94-00689.50] 结果你在里面偷的
[00689.50-00692.10] 一时清起 把人家偷的家图司令
[00692.10-00694.22] 然后就出来了 还说好幸运
[00694.22-00697.18] 那这种情况下 我也没有像提供帮助作用同学们
[00697.98-00699.58] 我提供了帮助作用
[00699.58-00702.42] 但是能不能定我和你之间是
[00702.42-00704.10] 道气的最多共同犯罪
[00704.10-00704.90] 不行
[00704.90-00705.82] 因为说了
[00705.82-00708.90] 共同犯罪的成立条件是要共同故意
[00708.90-00714.18] 就共同故意就体现在他们之间有相互写作的什么意思表示
[00714.18-00718.82] 那也就因为人在这里面他们两个一定是世中的通谋
[00718.82-00721.54] 而在这个地方我有没有帮你
[00721.54-00724.74] 就是在试者就是在你按发过程当中
[00724.74-00726.70] 我们有没有是商量的一个过程说
[00726.70-00728.34] 我给你在门口方方
[00728.34-00729.86] 然后你进头通写没有
[00729.86-00733.62] 所以你看我们说了他们之间有相互写作的意思表示
[00733.62-00736.30] 但是在刚才我给你的这种帮忙当中
[00736.30-00738.06] 我也没有给你相当的意思表示
[00738.06-00738.80] 没有
[00738.80-00740.30] 所以在这里面就意味着
[00740.30-00741.62] 没有通某的
[00741.62-00743.26] 没有供某的这种帮助行为
[00743.26-00744.90] 能不能成立共同犯罪
[00744.90-00745.94] 是不幸的
[00745.94-00746.54] 明白了吧
[00746.54-00748.94] 所以这个时候就会接近经常出现我们
[00748.94-00750.26] 所考察到的什么呢
[00750.26-00751.70] 比如说经常会考察到
[00751.70-00752.86] 事情帮助
[00753.86-00756.26] 我们所说的事后帮的这种行为
[00756.26-00758.70] 它其实都不能够成什么
[00758.70-00759.54] 共同犯罪
[00759.54-00761.14] 所以在这里面我解一个
[00761.14-00762.82] 比如说像事后帮
[00763.62-00768.30] 是后方的行为也不能够炒共同犯罪
[00771.82-00773.66] 或者是像我刚才所说的什么
[00773.66-00775.58] 不知请的主帮助
[00775.58-00779.70] 不知请的帮助能够成共同故意犯罪
[00779.70-00781.82] 或者是能不能成立共犯也不行
[00781.82-00784.58] 因为它一定要是中的同谋
[00784.58-00785.70] 是中的同谋
[00785.70-00787.86] 这个消息的意思表示一定是在市中
[00787.86-00790.62] 那就因为在市前和时候都不行
[00790.62-00792.38] 所以在这个地方大家要注意一下
[00792.38-00793.70] 这是第2个点
[00793.70-00795.10] 就是在主观要介绍
[00795.10-00796.82] 第3一个就是在这里他说了
[00796.82-00801.74] 他们两个必须使是具有共同的犯罪行为
[00801.74-00802.86] 所以在这里他说
[00802.86-00804.98] 共同犯罪必须二十一上
[00804.98-00806.70] 具有共同的犯罪行为
[00806.70-00808.54] 记个共犯人经过意思
[00808.54-00811.22] 连落相互协助形成一个有机整体
[00811.22-00813.02] 共同指向犯罪结果
[00813.02-00814.62] 这个就叫做我们所说的
[00814.62-00816.10] 具有共同的犯罪行为
[00816.10-00818.78] 这种共同的犯罪行为都包括哪些
[00818.78-00822.30] 大助一下共同犯罪行为包括实行行为
[00822.30-00825.58] 比如说到切罪你去偷那你就是什么实行者
[00825.58-00827.54] 那你做的就是实行行为
[00827.54-00829.14] 还包括我们所说的什么
[00829.14-00832.90] 帮助行为比如说你去偷我在门口给你放风
[00832.90-00836.18] 那这种情况之下是个咱们两个是搭包的
[00836.18-00840.42] 那这种情况我的帮助行为也算做共同犯罪行为
[00840.42-00841.26] 还有什么呢
[00841.26-00843.98] 组之行为你说走咱干一票大抖说需要
[00843.98-00845.74] 你等我去找几个地球对吧
[00845.74-00848.46] 在这里面你看我们的组织行为
[00848.46-00850.06] 它也属于共同犯的行为
[00850.06-00852.66] 还有我们所提到的 我现在下面就说
[00852.66-00853.50] 我说
[00853.50-00854.98] 好久没犯罪了吧
[00854.98-00856.18] 我是新鸟南奈巴
[00856.18-00857.46] 我说没透过东西心
[00857.46-00858.70] 手手养的不行了吧
[00858.70-00859.34] 我说
[00859.34-00860.86] 走啊 走啊 整票大等
[00860.86-00861.78] 我说别给别
[00861.78-00863.50] 对吧 你说我都把行法听了二百
[00863.50-00864.18] 二百二百三美变了
[00864.18-00864.74] 我知道
[00864.74-00866.34] 抱歉最怕也要判刑呢
[00866.34-00867.74] 我说你胆子那么小
[00867.74-00869.30] 我说你强下你是什么处成的
[00869.30-00870.34] 这倒是什么处成的
[00870.34-00870.94] 对吧
[00870.94-00871.98] 你看你从小
[00871.98-00873.10] 你就早在贼物里
[00873.10-00873.90] 你不去偷
[00873.90-00875.78] 都对不下对不起你家的族传
[00875.78-00877.30] 你看我山洞你
[00877.30-00878.94] 然后让你跟我一块去道歉
[00878.94-00880.54] 我是会有一个叫做行为
[00880.54-00882.42] 那叫做行为他也属于什么
[00882.42-00883.50] 共同实行行为
[00883.50-00885.02] 又会让我们常见个照什么呢
[00886.02-00887.38] 叫做共谋行为
[00887.38-00887.94] 对不对
[00887.94-00891.06] 这些其实都属于共同犯罪行为
[00891.06-00892.54] 所以在这里面我们说了
[00892.54-00894.86] 共同犯罪不一定都是去做
[00894.86-00895.66] 同一个事
[00895.66-00896.90] 不是不一定都去偷
[00896.90-00897.74] 就是怎么说
[00897.74-00899.26] 不一定是比如说道歉
[00899.26-00900.38] 都是去偷
[00900.38-00901.54] 那不是这样的
[00901.54-00903.30] 你可以一个偷一个放风
[00903.30-00909.70] 或者是你一个偷,一个帮你,找人,或者是一个帮你去做杀后工作等等这些都算
[00909.70-00914.30] 又或者是比如说像抢节,是个两个人一块都去抢财算是共同犯罪的不是
[00914.30-00920.90] 可以一个抢,一个帮助控制人,或者是一个抢,一个帮助方风万一警察来了怎么办?对吧
[00920.90-00925.70] 所以在这里,他所说的共同犯罪行为,他包括的总练比较多
[00925.70-00931.70] 所以大家注意一下,所谓的共同犯罪行为不一定都是实行方哦,所以在这里面大家注意一下
[00931.70-00935.42] 所以这是我们所说的叫做共同犯罪行为
[00935.42-00936.50] 叫共同犯罪行为
[00936.50-00939.10] 所以在这个点里面大家一定要明确
[00939.10-00941.74] 但是这里面会吃起到一个点什么点呢
[00941.74-00943.66] 就是在这个共同犯罪行为当中
[00943.66-00945.50] 它可能会出现一个情况
[00945.50-00946.74] 就是第一个
[00946.74-00950.06] 那我说了共同犯罪行为要是成立共犯的话
[00950.06-00951.66] 我们在这里是强调
[00951.66-00954.74] 说如果咱们两个商量一块去刀器
[00954.74-00957.10] 那这个时候我在门口给你放风
[00957.10-00958.62] 你在里面偷的挺黑的
[00958.62-00959.46] 把东西偷完了之后
[00959.46-00961.70] 咱俩都去賣 把錢一分為二
[00961.70-00964.34] 那這個時候咱俩鐵幼成立什麼
[00964.34-00966.30] 成立到切對的共同犯罪
[00966.30-00968.10] 但是會不會存在一種情況呢
[00968.10-00970.30] 就是我在門口給你放風的時候
[00970.30-00972.74] 你在這個屋子裡面去實行到切的時候
[00972.74-00974.18] 你突然看見
[00974.18-00975.86] 屋子裡面有人在試鏡
[00975.86-00976.82] 你倒是個毛了
[00976.82-00978.46] 你說咱俩才有點的時候
[00978.46-00979.10] 這個點
[00979.10-00980.26] 他家裡應該沒人
[00980.26-00981.98] 怎麼家裡現在還有人試鏡
[00981.98-00983.82] 你現在是心裡就慌了
[00983.82-00984.82] 有命了
[00984.82-00986.42] 然後偷東西的時候
[00986.42-00988.66] 你就想千萬別發主人操心了
[00988.66-00990.26] 千万别把主人朝醒了
[00990.26-00992.14] 结果你特别的不争气
[00992.14-00992.66] 然后呢
[00992.66-00993.94] 大家地上有一个乱罐
[00993.94-00995.86] 你一脚就财在那个一个乱罐上
[00995.86-00997.06] 跨拉一声
[00997.06-00998.74] 这个房间里的主人就醒了
[00998.74-01000.18] 他看到你在头东西
[01000.18-01001.70] 他看到你太多呼吴起他会怎么样
[01001.70-01002.98] 他会大声喝吃粮
[01002.98-01004.82] 你是你们两个就在里面朝起来了
[01004.82-01005.86] 然后我在外面
[01005.86-01006.86] 听着歌
[01006.86-01008.50] 然后看着有没有人来
[01008.50-01009.10] 还挺开的
[01009.10-01009.66] 我都没有听到
[01009.66-01010.46] 无里面朝
[01010.46-01012.82] 然后你染在这个拉扯的过程当中
[01012.82-01015.58] 你不想暴露你抱歉的这个意图
[01015.58-01016.38] 让外人知道
[01016.38-01017.58] 外人几台来抓你呢
[01017.58-01018.62] 你就拿起
[01018.62-01020.10] 随手超起雷尖东西
[01020.10-01020.86] 什么东西呢
[01020.86-01022.30] 比如说拿起雷克同像
[01022.30-01023.34] 拿起雷克版本
[01023.34-01024.26] 把转之类的
[01024.26-01025.46] 就把这个主人
[01025.46-01027.02] 一下子忽斗在地
[01027.02-01027.78] 这个主人
[01027.78-01028.74] 就被你打烧了
[01028.74-01029.86] 就怕在地上起不来
[01029.86-01031.34] 然后你把东西打包赶进出来
[01031.34-01032.30] 我说怎么要设立嘛
[01032.30-01032.62] 你说
[01032.62-01033.34] 太设立了
[01033.34-01034.22] 屋子里面有人
[01034.22-01034.94] 那你看
[01034.94-01036.22] 你在咱们两个
[01036.22-01037.82] 原本共同实行
[01037.82-01038.98] 到切的基础之上
[01038.98-01040.38] 你又多做了一个什么事
[01040.38-01041.42] 你说又多做了一个
[01041.42-01042.98] 故意商害的件事
[01042.98-01044.22] 那我们一下大家
[01044.22-01046.30] 你在屋子里面去做的这种
[01046.30-01048.50] 故意商害的这件事情
[01048.50-01051.66] 他算不算咱們兩個之間的共同犯罪呢
[01051.66-01054.06] 也就因為這你在抱歉的之餘
[01054.06-01055.14] 你還發了一個什麼罪
[01055.14-01057.06] 你還發了一個故意傷害罪對不對
[01057.06-01058.46] 那你這個故意傷害
[01058.46-01059.78] 能不能算到我的頭上
[01059.78-01061.66] 算做咱們兩個的共同犯罪呢
[01063.06-01064.02] 大家注意想啊
[01064.02-01066.38] 這個時候就不行了
[01066.38-01067.70] 在旁邊標準一下
[01067.70-01068.98] 如果現在存在什麼呢
[01068.98-01070.78] 實行過限的行為啊
[01070.78-01073.10] 那這個時候就說你故意
[01073.10-01074.74] 商人的商人的重行為
[01074.74-01075.86] 他屬於過限行為
[01075.86-01080.34] 過線行為它是不夠酬共同犯罪的
[01080.34-01083.90] 因為我們說了共同犯罪是要有具有共同的犯罪行為
[01083.90-01086.82] 這個時候你實行過線的這個行為
[01086.82-01089.70] 可不是在咱俩之前商量的犯罪當中
[01089.70-01093.10] 所以過線行為它不夠酬共同犯罪
[01093.10-01093.90] 打出一下
[01093.90-01097.02] 因為共同犯罪它一定是有一個分工在裡面
[01097.02-01099.50] 是有一個有機整體的中感覺
[01099.50-01102.94] 就是咱們就是這個犯罪整個犯罪
[01102.94-01105.76] 要完成的各个这个翻罪上的一个练条
[01105.76-01107.70] 这是这种情况之下我们是共同犯罪
[01107.70-01109.26] 但是你实行过陷的行为
[01109.26-01112.16] 它是咱们要原的图谋的那个犯罪吗
[01112.16-01114.30] 不是的所以实行过陷的行为
[01114.30-01115.66] 不够成共同犯罪
[01115.66-01117.40] 那还有一种情况是什么情况的
[01117.40-01118.18] 比如说
[01118.70-01122.64] 会出现咱们两个缺乏意思连落的表示
[01122.64-01125.68] 但是在这个时候会出现比如说在爱的东西超市偷东西
[01125.68-01127.88] 我去超市偷东西我肯定给你打招呼
[01127.88-01130.58] 咱们两个还是拜法子的哥们对吧
[01130.58-01132.98] 然后我去操日通动器我没有给你打招呼
[01132.98-01135.30] 你去操日通动器也没有给我打招呼
[01135.30-01137.38] 然后在规徒 去操日通动器的时候
[01137.38-01138.58] 大家都看过那个电影
[01138.58-01139.86] 想想那个电影的情景啊
