[00000.00-00007.24] 好,我们讲完了生学之后,我们就把我们所提到的内几大生光电力热都给大家说完了
[00140.32-00141.86] 所以安排的符号是
[00142.88-00145.18] 后面这三个其实我们不太见
[00145.44-00146.98] 就是我们在这上生活当中不太见
[00147.24-00149.80] 所以通常把后面这三个格外去记一下
[00150.30-00152.36] 在后面这三个当中首先第一个叫热度
[00152.60-00155.16] 说老实热力首先第一个是热力学温度
[00155.42-00155.92] 就是温度
[00156.18-00157.22] 热是温度我手外
[00157.48-00159.52] 现在是0上32度
[00159.78-00161.06] 现在是0下32度
[00161.32-00162.34] 对吧 那是不是度呢
[00162.60-00163.88] 其实不是大致一下
[00164.12-00166.38] 国际基本单位当中的热力学
[00166.42-00167.72] 他的符号是替
[00167.72-00171.72] 这个T就是英文单词温度的那个这么开头
[00171.72-00175.22] 它的单位名称我们的话一下叫做Care文
[00175.22-00178.82] 然后在这个情况之下它的单位符号叫做K
[00178.82-00182.32] 而不是叫做度不是这个C社事度的度
[00182.32-00184.92] 大家注意一下这个其实不太常见的
[00184.92-00186.72] 这是我们所说的第一个温度
[00186.72-00189.52] 第二个提到的就是物理物质的量
[00189.52-00193.62] 大家注意一下这个是量而不是智量物质的量用恩来表示
[00193.62-00195.32] 它的单位是模耳
[00195.32-00196.72] 大家应该听过模耳丢率
[00196.72-00199.54] 对吧 所以在这里他是模耳这个模
[00199.54-00202.04] MOL 这是我们所说的
[00202.04-00204.04] 第2个叫误实的量
[00204.04-00206.12] 第3个就是发光抢渡
[00206.12-00207.76] 在这里发光抢渡
[00207.76-00209.44] 它用AI表示
[00209.44-00210.84] 大家注意它的名称
[00210.84-00212.08] 标注一下就做
[00212.08-00213.00] 砍得了
[00213.00-00215.36] 然后它的符号是CD
[00215.36-00217.32] 前面的几个因为我们太熟悉了
[00217.32-00218.48] 同一段就不用说
[00218.48-00219.92] 老实我在去背那几个
[00219.92-00221.72] 反而是不太常见的这几个
[00221.72-00223.56] 大家一定要格外注意
[00223.56-00223.96] 好吧
[00223.96-00225.52] 所以在这里大家知道
[00225.52-00230.44] 這是我們所說的有關於國際單位的內容
[00230.44-00232.56] 這個是第一個叫做基本單位
[00232.56-00235.16] 這三個無論如何倒給它記住
[00235.16-00237.08] 好 知道了基本單位之後
[00237.08-00239.44] 我們再來看一下基本單位的基礎
[00239.44-00240.88] 這上了一些其他的位
[00240.88-00242.68] 我們說的這個倒出單位
[00242.68-00243.68] 這個倒出單位
[00243.68-00244.52] 它再去考的時候
[00244.52-00246.40] 我來給它說一下它怎麼考
[00246.40-00248.08] 它這裡如果要考的話
[00248.08-00250.56] 它要如果考試的單位的話會比較簡單
[00250.56-00252.12] 但它如果考過深考的話
[00252.12-00254.52] 這裡面就會出現一個難點
[00254.52-00267.02] 在这里面,大家要考的第一个点,就是在导出当的那一当中,第一个同学去掌握的就是这些单位,它都是红凉什么的,以及它是以谁的名字来命名的。
[00267.02-00271.42] 所以在这里面,大家要明确的第一个就是它是红凉什么的。
[00272.92-00278.02] 这些单位是红凉什么的,以及是以谁的名字来命名的。
[00278.02-00282.22] 換句話說第一個考察方式在這裡考的就是對應
[00282.22-00284.82] 在這個點大家要面確就是對應
[00284.82-00287.92] 第二個點就是在這個倒出單位當中
[00287.92-00290.92] 有一個是需要我們作為重點掌握的
[00290.92-00294.12] 所以第二個就是它會雷肉某一個
[00294.12-00297.32] 我們必要常見的一個單位展開來考察
[00297.32-00301.12] 那就是時候就要掌握這個倒出單位當中的重點
[00301.12-00303.02] 它如果說展開來考察的話
[00303.02-00304.42] 它就可能考察得很難
[00304.42-00307.62] 以後我們去給它去說它考的比較多
[00307.62-00309.16] 那我們先來看一下第一個
[00309.16-00311.46] 就是在整個导臣單位當中
[00311.46-00313.76] 我們先來看一下它的對應考察方式
[00313.76-00315.38] 首先第一個就是我們所說的
[00315.38-00317.22] 河滋 蓬把河滋話出來
[00317.22-00319.30] 河滋 它是紅糧啥的
[00319.30-00320.66] 紅糧片綠的
[00320.66-00323.16] 河滋這個人大家應該很熟悉
[00323.16-00324.66] 我們在前面去講到
[00324.66-00327.08] 電磁學的時候提到了電磁理論
[00327.08-00328.60] 電磁理論當中
[00329.14-00331.18] 發現了電磁波的人是
[00331.18-00333.74] 河滋 而且河滋還提到了光電效果
[00333.74-00335.54] 就一數光打到一個金屬物
[00335.54-00337.74] 上的这时候PILO-PA LA会产生电
[00337.74-00337.94] 对吧
[00337.94-00339.50] 那就是光电效应
[00339.50-00340.78] 我们前面给大家讲过
[00340.78-00341.50] 所以你看
[00341.50-00345.26] 说赫资是首个正时电子国存在的德国物理学家
[00345.26-00345.58] 对吧
[00345.58-00348.30] 所以赫资频率就以他的来命名
[00348.30-00350.46] 所以在这里面知道赫资两个电
[00350.46-00351.10] 第一个
[00351.10-00352.30] 橫凉频率
[00352.30-00354.10] 第二个他的成就
[00354.10-00354.90] 咱们强调了
[00354.90-00358.42] 叫做正时火发现了电子国的存在
[00358.42-00359.30] 这是第一个
[00359.30-00360.18] 但叫注意的
[00360.18-00361.30] 那第二个扭击
[00361.30-00363.58] 扭击典典的力学体系的电机人
[00363.58-00365.14] 所以在这里面有说了扭击
[00365.14-00368.32] 它是利的基本单位
[00368.32-00368.62] 对吧
[00368.62-00370.46] 所以它的供现在于经典
[00370.46-00372.26] 利学经典典学
[00372.26-00374.86] 是不是我们所说的量子利学
[00374.86-00375.64] 其实不是的
[00375.64-00377.02] 所以在于经典的学上
[00377.02-00378.78] 所以第二个对应它要注意一下
[00378.78-00379.46] 第三个
[00379.46-00380.38] 同僚柱一个
[00380.38-00381.70] 这个点是一个两星
[00381.70-00383.02] 就是Pascar
[00383.02-00386.38] Pascar它本身是压强的单位
[00386.38-00387.54] 同于标注一下
[00387.54-00389.06] Pascar是压强的
[00389.06-00390.50] 在这个Pascar上
[00390.50-00393.80] 它说是以确定压强和争控概念的法国学者
[00393.80-00394.86] Pascar面明的
[00394.86-00397.10] 所以Puzz它的一个供现就在于
[00397.10-00398.66] 我们所说的出现了
[00398.66-00401.22] 或者是确定了两个新的概念
[00401.22-00403.22] 一个是压墙一个是真空概念
[00403.22-00405.46] 而考试当中考的最多的是哪个呢
[00405.46-00407.02] 是压墙这个点
[00407.02-00408.42] 压墙这个点在去考的时候
[00408.42-00410.58] 就会考到特别特别的细节
[00410.58-00412.98] 比如说我们在考试当中会强调
[00412.98-00414.74] 压墙调到底是怎么产生的
[00414.74-00416.18] 大企业是谁来很良的
[00416.18-00418.22] 标准大企业大概是什么样子
[00418.22-00419.70] 以及我们所说的相对
[00419.70-00420.46] 压墙的变化
[00420.46-00421.78] 它会带来那些影响
[00421.78-00423.66] 这些其实都是考试的
[00423.66-00424.58] 一个重点
[00424.58-00425.78] 所以大家一定要注意一下
[00425.78-00426.78] 这是Pastica
[00426.78-00429.50] 一会我们就把这个Pastica展开去讲讲
[00429.50-00431.54] 也是把鸭墙展开讲一下
[00431.54-00433.34] 然后再往下给给到了192
[00433.34-00434.62] 192是能量
[00434.62-00436.42] 你就在这里就把这个队友上进行了
[00436.42-00438.90] 就是192它是能量单位就可以了
[00438.90-00440.18] 后面就什么发现192
[00440.18-00441.58] 丢率这个简单看一下走
[00441.58-00442.22] OK了
[00442.22-00444.66] 好 这是我们所说的前4个
[00444.66-00445.50] 导出单位
[00445.50-00446.54] 前4个导出单位
[00446.54-00448.50] 张中的重点是鸭墙
[00448.50-00449.86] 我们接下来看一下
[00449.86-00451.70] 我们所说的鸭墙
[00451.70-00454.30] 关于鸭墙的这个点的同学们应该
[00454.58-00456.82] 并不是没有见过的
[00456.82-00458.10] 你看压墙在生活当中
[00458.10-00459.30] 其实随初可见
[00459.30-00460.34] 我觉得简单的例子
[00460.34-00462.70] 比如说现在有一个针皮砂发
[00462.70-00464.66] 那个砂发真的超级软哦
[00464.66-00465.46] 非常舒服
[00465.46-00467.38] 然后你屁股做的这个砂发的时候
[00467.38-00470.10] 你感觉那个屁股好像现在杀发里了
[00470.10-00472.50] 然后你从这个砂发起开之后
[00472.50-00475.50] 你发现那个砂发是不是被做起为烟
[00475.50-00477.54] 然后那个烟慢慢就回它起来了
[00477.54-00478.02] 对吧
[00478.02-00479.06] 那个这个过程当中
[00479.06-00481.34] 其实当我们做在砂发上的时候
[00481.34-00483.38] 然后把这个砂发当中的海棉也好
[00483.38-00487.22] 这个杀哈 它的那个真皮的那个杀发那个感觉要反正它碰起来
[00487.22-00490.10] 你给它做下去的那一刻其实就产生了什么
[00490.10-00493.30] 其实就产生了我们所说的这个压墙
[00493.30-00495.38] 所以有关于压墙的话大家就知道
[00495.38-00498.22] 你给一个事物它施加外利的时候
[00498.22-00501.90] 那在这个事物的表面上就会产生压墙
[00501.90-00504.82] 比如说现在你把两个手撑在桌子上
[00504.82-00505.90] 然后往下去压
[00505.90-00508.70] 那这个时候桌子就会受到来自你的压力
[00508.70-00511.54] 那桌面上就可能会产生压墙
[00511.54-00515.26] 所以壓墻在生活中是非常常見的
[00515.26-00516.78] 我們有關於壓墻
[00516.78-00520.18] 首先同學需要第一個掌握的就是壓墻的原力
[00523.14-00526.58] 產生的就是第一個要掌握的就是壓墻的原力
[00526.58-00529.14] 我說了壓墻其實就施加外力
[00529.14-00531.78] 然後這個事務它就能夠受到壓墻
[00531.78-00535.50] 所以壓墻的大小首先你要對一個事務施加外力
[00535.50-00538.46] 我們用F表示的是對這個事務施加的力
[00538.46-00540.46] 而這個事務所感觉到的
[00540.46-00543.02] 它所受到的压墙的大小和什么有关呢
[00543.02-00543.94] 大家注意一下
[00543.94-00547.62] 这个事物所感受到的压墙的大小和这个事物的
[00547.62-00548.98] 受力面具有关
[00548.98-00551.02] 所以一个事物的压墙就等于
[00551.02-00553.02] 外力比上它的收力面积
[00553.02-00555.66] 我在这里用iPhone代表的是
[00555.66-00559.78] 利用我们所说的iPhone代表的是我们所说的上
[00559.78-00562.86] 代表的是这个事物它的收力面积
[00566.22-00567.22] 收力面积
[00567.22-00570.30] 这个就是我们所提到的关于压强的原定
[00570.30-00572.06] 这个点它有什么应用呢
[00572.06-00572.86] 大家注意一下
[00572.86-00574.66] 这个点的应用就在于
[00574.66-00576.26] 它会通过这个公式
[00576.26-00578.34] 烤很多的案例
[00581.50-00582.58] 烤很多的案例
[00582.58-00584.34] 这里面我们来分析一下
[00584.34-00586.02] 那屁是我们所说的
[00586.02-00587.54] 受所感受到的压强
[00587.54-00588.58] 在这个过程当中
[00588.58-00589.86] 导致的结果是啥呢
[00589.86-00591.30] 如果同们注意
[00591.30-00592.38] 我在下面认识鞋
[00592.38-00592.66] 好吧
[00592.66-00593.58] 一会咱们插掉
[00593.58-00595.82] 假设夕再是当S不便
[00595.82-00598.02] 有些一个事务的受力面气補变
[00598.02-00599.92] 我当iPhone增大的时候
[00599.92-00601.62] 也是不是就是分子增大的
[00601.62-00602.80] 分子增大的话
[00602.80-00603.76] 这种情况之下
[00603.76-00605.54] 压墙就会增大的
[00605.54-00606.56] 这个能力界吧
[00606.56-00609.02] 因为就是跟着一个公式它的具体情况
[00609.02-00610.62] 我们所说的去分析的
[00610.62-00613.14] 所以想让一个事务的压墙变大
[00613.14-00616.66] 你的方法就是可以增大的事务的压力
[00616.66-00619.02] 除了能够增大的事务的压力还可以干嘛呢
[00619.02-00620.40] 如果现在我们说了
[00620.40-00624.02] 如果现在是我们也可以让历補变
[00624.02-00626.14] 假設我現在給收入施加的壓力不變
[00626.14-00627.74] 當F不變的時候
[00627.74-00628.82] 我可以怎麼辦呢
[00628.82-00631.06] 想我可以讓收力面積減小
[00631.06-00632.62] 如果分母減小的話
[00632.62-00634.26] 這個壓墻是不是也會變搭呀
[00634.26-00637.46] 也就是我們想要改變壓墻
[00637.46-00639.38] 網網就是從哪兩個因素的觀
[00639.38-00642.82] 網網就是從F和F下手
[00642.82-00644.78] 如果想要增大壓墻的話
[00644.78-00647.38] 你的選擇要么就是增大壓力
[00647.38-00650.66] 要么就是我們所說的減少它的收力面積
[00650.66-00651.78] 是不是這麼一個略
[00651.78-00653.34] 這個地方它的考試的時候
[00653.34-00654.50] 就是这个公式
[00654.50-00655.94] 我说了他考案里怎么考呢
[00655.94-00658.00] 给你 A, B, C, D, S, X
[00658.00-00660.38] 然后说一下哪一个选项
[00660.38-00664.42] 他的压墙变动原理和其他的几个不同
[00664.42-00666.90] 我在说一下就是一下
[00667.46-00668.82] 哪个选项
[00669.42-00671.26] 一下哪个选项
[00671.26-00673.06] 他的压墙的变动
[00674.26-00676.26] 压墙变动原理
[00677.06-00681.66] 与其他三个不同
[00681.66-00682.98] 那这种情况怎么办
[00682.98-00685.14] 就分析它改变得到底是厉
[00685.14-00686.58] 还是改变的是
[00686.58-00687.70] 收离面解
[00687.70-00688.26] 明白了吧
[00688.26-00689.34] 就是去分析嘛
[00689.34-00691.74] 它如果说现在你要做什么事情
[00691.74-00694.26] 你在这时候说要把这个厉加大和怎么样
[00694.26-00696.34] 就在体验当中很明显就能够变出来
[00696.34-00697.12] 它到底是
[00697.12-00699.66] 总在厉上还是总在收离面解尚
[00699.66-00703.26] 你这种情况之下就知道它这个话问的是啥意思了
[00703.26-00705.38] 所以在这里面它要明确第一个点
[00705.38-00706.86] 在这里就是要知道
[00706.86-00708.78] 我们所提到的压墙
[00708.78-00710.46] 它的一个影响因素
[00710.46-00712.26] 要么和他的壓力有关
[00712.26-00713.52] 要么就是和我们所说的
[00713.52-00714.36] 收理面就关
[00714.36-00716.26] 这个地方就经常会考案例的
[00716.26-00719.22] 比较大直到这是第一个
[00719.22-00721.66] 那第二个除了考察案例的比较之外
[00721.66-00723.66] 他会考察到一些应用
[00723.66-00726.36] 比如说像压墙在生活当中的应用
[00726.36-00727.66] 也是比较多的
[00728.66-00729.86] 我把它写的旁边
[00729.86-00731.86] 在这上生活当中的应用
[00731.86-00733.84] 比如说这个应用当中就是
[00733.84-00735.26] 常见的破窗垂
[00738.06-00738.96] 破窗垂
[00738.96-00739.90] 这个破窗垂大压
[00739.90-00745.50] 在公交汽车上或者是在我们所说的公共交通上
[00745.50-00747.90] 其实都能看到有这么一个小崔子
[00747.90-00749.50] 然后前面是监的
[00749.50-00751.90] 然后这个地方是有一个手饼的
[00751.90-00754.10] 那这个就是我们所提到的这个破创筹
[00754.10-00755.50] 上面是这个
[00755.50-00757.30] 那样是红色的
[00757.30-00758.50] 那你看像这个破创筹
[00758.50-00760.50] 它为什么这个头是监线的
[00760.50-00763.10] 原因就是因为当你施加一定厉的时候
[00763.10-00765.50] 你对玻璃施力当头是监的
[00765.50-00767.90] 就代表当你厉义一定的情况之下
[00767.90-00771.94] 这个头越坚代表就是加里面接受里面几月小
[00771.94-00774.04] 当受里面几月小说压强就越大
[00774.04-00777.12] 压强入一大这个窗的玻璃是不是就可以被砸碎
[00777.12-00778.92] 所以破窗丑利用的就是什么
[00778.92-00780.96] 破窗丑利用的就是我们所说的
[00780.96-00783.52] 受里面几小增大一样强的这个方法
[00783.52-00785.26] 第二个就是菜刀切菜
[00786.74-00787.74] 菜刀切菜
[00787.74-00789.26] 菜刀切菜
[00789.26-00792.84] 它其实也是这样的一个原理吧
[00792.84-00794.64] 菜刀切菜也是这样的一个原理
[00794.64-00795.90] 菜刀切菜就是你看
[00795.90-00799.04] 你施加的历史一定,但是那个菜刀的刀日
[00799.04-00801.58] 大家能看到刀日是非常地保望
[00801.58-00804.86] 那个刀日如果是这么保的话,那切相当于什么比较小
[00804.86-00808.18] 相当于我们所说的这个,收拾力、面積比较小
[00808.18-00811.46] 那如果说收拾力面積比较小的话,那在这种情况之下
[00811.46-00814.26] 我们就知道面積越小,压墙越大
[00814.26-00816.62] 你切断东西是不是就会更容易呀?
[00816.62-00820.06] 那这个就是我们所提到的压墙的这个原理
[00820.06-00822.70] 你甚至包括你出去买东西的时候,你会发现
[00822.70-00824.58] 当你买了很多东西从超市
[00824.58-00827.86] 你要给他另一个那个塑料带抓了很多的东西
[00827.86-00830.14] 你会发现那个说的带是我有点累手
[00830.14-00832.34] 那这个时候如果你不想让他累手怎么办
[00832.34-00835.66] 你可以把那个塑料带和那个东西不都扭成一块了吗
[00835.66-00836.78] 你可以给他打开
[00836.78-00837.62] 或者在这种情况下
[00837.62-00838.78] 你给他变装紙
[00838.78-00839.86] 那这样的原理是什么
[00839.86-00841.42] 你看到物体
[00841.42-00843.42] 他的购买的你的这些物品
[00843.42-00844.90] 他的重力一定的时候
[00844.90-00848.34] 他说就代表着那个带子对你手的压力是一定的
[00848.34-00849.78] 那如果现在你把那个
[00849.78-00851.82] 塑料带的那个手提的带子那个地方
[00851.82-00852.78] 他的面系变宽
[00852.78-00854.54] 是不是对你手的压墙就可以減小
[00854.74-00855.90] 其实这些都是什么
[00856.10-00857.22] 对于压墙的应用
[00857.38-00859.06] 所以我说了他口安利的时候
[00859.22-00860.18] 往往就会考察
[00860.18-00862.58] 要么就是考刚才的原理的比较
[00862.70-00864.50] 要么就是考察他的一个应用
[00864.70-00866.34] 所以在这里大家掌握第一个
[00866.46-00867.98] 只是压墙的基本原理
[00867.98-00869.66] 这个地方在国生靠考试的时候
[00869.66-00871.42] 去出过题目的
[00871.42-00872.18] 这是第一个
[00872.18-00872.78] 大家要知道
[00873.10-00873.78] 那第二个呢
[00873.78-00875.86] 就是聊起了压墙的原理之后
[00875.86-00877.94] 我们还要看一下和我们所说的
[00877.94-00879.94] 压墙有关的实验
[00880.14-00881.58] 它到底有哪些
[00881.58-00883.86] 这个和压墙有关的这个实验呢
[00883.86-00886.58] 我们其实是分成两个来说的
[00886.58-00888.38] 第二个我们来看一下相关实验
[00893.26-00896.50] 在这个相关实验当中我们要讲三个实验
[00896.50-00898.38] 那这三个实验的分率是第一个
[00898.38-00900.38] 就是我们所说的Pas卡实验
[00905.18-00906.18] Pas卡实验
[00906.18-00908.02] 这个Pas卡实验就是刚才我们说了
[00908.02-00909.06] Pas卡卡怎么样
[00909.06-00912.70] 他在这里确定了压墙的存在
[00912.70-00914.98] 所以怕死亥首先第一个大家都知道
[00914.98-00916.82] 他是确定了压墙的实验
[00916.82-00918.94] 确定压墙实验的这个怕死亥
[00918.94-00919.98] 他主要用的是什么呢
[00919.98-00921.54] 是业体压墙的测量
[00921.54-00923.70] 他当时就是这个怕死卡
[00923.70-00925.78] 他找了一个类似于这种品质
[00925.78-00927.22] 其实像这种实验的
[00927.22-00930.18] 咱们在以前上出中的时候
[00930.18-00931.46] 老师其实都一讲过
[00931.46-00932.74] 他其实找的不是品质
[00932.74-00933.46] 咱们就感受一下
[00933.46-00935.30] 其实他当时是找了一个荣气
[00935.30-00936.86] 他找了一个荣气之后
[00936.86-00939.26] 然后它就把这个融器里面装板的水
[00939.26-00941.18] 然后如果把融器里装在水的话
[00941.18-00943.90] 其实在一般情况下我们的理论就是因为
[00943.90-00946.70] 如果这个事物它有压墻的话
[00946.70-00947.98] 那这个压墻呢
[00947.98-00950.62] 我们就认为在水中的压墻可能都是一样的
[00950.62-00951.98] 在没有进行实验之前
[00951.98-00954.78] 但是这个码字卡当时说我到底要去
[00954.78-00956.54] 证使一下这个压墻到底是什么样
[00956.54-00958.94] 它就把这个平子里面装板的水
[00958.94-00960.70] 把平子里装满水之后
[00960.70-00964.14] 然后它现在就在这个平子的不同的高度的地方
[00964.14-00965.82] 撒了很多的孔
[00966.86-00969.68] 在这个平均的高度的地方扎了很多的孔
[00969.68-00971.20] 然后它就发现了一个问题
[00971.20-00973.00] 就是如果说越网上
[00973.00-00976.08] 它在这个孔放出来的水就越近
[00976.08-00978.64] 然后往下一点水放出来就远一点
[00978.64-00981.20] 然后再往下的水撮出去的就更远
[00981.20-00982.58] 然后它就觉得奇怪了
[00982.58-00984.52] 同样都是一个容器里面装满的水
[00984.52-00985.80] 而且水都一样
[00985.80-00987.34] 为什么在这个过程当中
[00987.34-00990.40] 这个水它撮出去的远件不一样
[00990.40-00992.46] 后来它就意识到了一个问题
[00992.46-00993.24] 什么问题呢
[00993.24-00996.50] 它又意识到说在夜庭内部的各个方向上
[00996.50-00998.30] 可能都会存在压墙
[00998.30-01004.06] 只会压墙它会深度变化
[01004.06-01006.22] 他们来看一下在这个位点的时候
[01006.22-01007.42] 它是深度比较前
[01007.42-01009.54] 所以当它深度比较前的时候
[01009.54-01012.38] 在这种情况之下它的压墙就会很小
[01012.38-01013.66] 如果再往下一下
[01013.66-01014.94] 深度就会变大
[01014.94-01016.46] 到了ABC点
[01016.46-01018.70] 到了C点的时候是深度最深
[01018.70-01021.18] 因为距离我们所说的水面越远
[01021.18-01022.10] 它深度最深
[01022.10-01023.50] 所以在这里面它就会发现
[01023.50-01024.78] 深度越深
[01024.78-01028.46] 这个时候这个这一点水受到的压力就会越大
[01028.46-01029.90] 它測水就会很远
[01029.90-01031.42] 所以这个时候它就认为了
[01031.42-01033.90] 在整个我们所说的事物当中
[01033.90-01035.42] 尤其是在业体内部
[01035.42-01037.50] 我们认为在业体当中
[01037.50-01039.90] 现在旁边在业体中
[01040.78-01042.38] 它就认识到了第一个点
[01042.38-01045.02] 就是深度越深压强越大
[01045.02-01046.78] 所以它就是压强
[01046.78-01047.58] 随
[01050.14-01051.90] 深度的增加是增加
[01054.78-01058.06] 深度的增加而增加
[01058.06-01059.90] 这是它发现的第一点
[01059.90-01062.22] 也就是受到压墙和深度有关
[01062.22-01065.02] 第二个在这里面就会遇到另外一个问题
[01065.02-01065.86] 什么问题呢
[01065.86-01069.10] 就是它发现这个事物所受到的压墙
[01069.10-01070.30] 不仅和深度有关
[01070.30-01071.50] 还有一什么有段呢
[01071.50-01074.58] 压墙还与密度有一定的关系
[01076.18-01078.30] 物质的密度有关
[01078.30-01079.86] 密度越大
[01079.86-01081.78] 它其实相同条件之下
[01081.78-01083.90] 它的压墙就要越大
[01083.90-01085.66] 我直接寫好吧
[01085.66-01087.58] 它不解育深度有关还有密度有关
[01087.58-01088.66] 就是密度越大
[01088.66-01089.46] 压墙越大
[01092.58-01094.94] 密度越大
[01096.14-01097.22] 压墙
[01099.02-01099.70] 越大
[01100.02-01101.06] 所以在这里面
[01101.06-01102.86] 其实对于我们所说的这个
[01102.86-01103.62] 泡泡鲜的东西
[01103.62-01104.86] 它所测量的
[01104.86-01106.38] 我们所说的压墙
[01106.38-01108.14] 其实是我一个公式在的
[01108.14-01109.26] 这个公式是啥呢
[01109.26-01110.26] 就是在这
[01110.26-01114.10] 就是一个事务它所受到的压墙我们还用P来表示
[01114.10-01114.62] 对吧
[01114.62-01116.14] 它和事务的什么呢
[01116.14-01118.46] 和事务所受的密度有关
[01118.46-01119.74] 我们用肉
[01119.74-01122.18] 这个字幕来表示的是密度
[01122.18-01123.82] 对吧肉来表示密度
[01123.82-01127.42] 而我们所受的记得代表的是重脸或者是重脸加速度
[01127.42-01129.70] 那一般情况就是我们所受的大级小级
[01129.70-01131.26] 叫肉成以记
[01131.26-01132.82] 那它还和什么有关呢
[01132.82-01134.82] 还和事务的深度有关
[01134.82-01136.30] 也就是还和H有关
[01136.30-01138.86] 所以在它所撤凉的压墙当中
[01138.86-01141.10] 这个事务的压墙有些是在业体上中
[01141.10-01143.36] 就是P等于肉成一季成业
[01143.36-01146.26] H.这个H代表的就是深度
[01146.26-01148.42] 这个点它其实是考卫到体道
[01148.42-01150.70] 一会其实我们能够去看到
[01150.70-01153.36] 当然那个体道说那个鱼在水里
[01153.36-01157.16] 它在水里之后说突然这个时候重力渐小围原来的一半
[01157.16-01160.50] 然后就问这个鱼他受到的压墙发生了什么样的变化
[01160.50-01162.70] 在这呢 咱们一会儿在做这道体之前
[01162.70-01164.30] 我们先把这个原力搞清楚
[01164.30-01166.66] 好吧 这是拍子卡它的一个测量
[01166.66-01168.86] 所以得出来的这样的一个结论
[01168.86-01169.58] 大家注意一下
[01169.58-01170.86] 这怕发时间当中
[01170.86-01172.70] 所给到的这个公式
[01172.70-01174.90] 那这个公式里面其实还有一个点
[01174.90-01176.66] 就是我们刚才提到了
[01176.66-01178.58] 就是随着深度的增加
[01178.58-01180.58] 这个事物所受到的压强有会增加
[01180.58-01183.46] 这个点它其实会考很多的应用
[01183.46-01185.02] 这个应用最常见的是啥
[01185.02-01186.74] 大家都知道大巴序水
[01186.74-01188.10] 大巴序水的时候
[01188.10-01189.50] 或者是我们所说的
[01189.50-01191.10] 大巴它序水发电的时候
[01191.10-01192.46] 它考虑的是什么问题
[01192.46-01194.94] 它考虑的网网是我们所说的
[01194.94-01197.50] 水位而不是考虑水量
[01197.50-01199.54] 大家都知道现在水位深度是多少
[01199.54-01200.74] 是水位深度是多少
[01200.74-01203.38] 所以你看像这种大霸序水的时候
[01205.82-01207.86] 往往考虑的是水位
