[00000.00-00004.36] 那我們了解了行政法的蓋數之後我們接下來來看一下
[00360.88-00363.60] 他说行政处发指的是行政机关
[00363.60-00364.60] 依法对
[00364.60-00366.88] 为反行政管理秩序的公民法人
[00366.88-00368.56] 或其他组织以监损钱
[00368.56-00371.00] 一或增加一物的方式加一成阶的
[00371.00-00372.72] 行为这个叫行用处罚
[00372.72-00376.40] 那么首先来看下第一个就是行政处罚是谁来行事的
[00376.40-00377.80] 刚才已经让大家去标注复来
[00377.80-00379.52] 他必须是由谁来行事
[00379.52-00382.12] 必须是由行政机关来行事
[00382.12-00384.60] 也就是说想要有处罚的资质
[00384.60-00387.12] 你必须是国家的行政机关
[00387.12-00390.80] 比如说我现在为反市场监督管理规定
[00390.80-00393.00] 这时候去进行非法经买卖
[00393.00-00394.64] 那这个时候就只能是什么
[00394.64-00397.64] 有关于是监布门对我进行相当的处罚
[00397.64-00398.96] 那如果现在呢
[00398.96-00400.96] 我在生產經過程當中
[00400.96-00401.96] 我經用不規範
[00401.96-00404.32] 那可能是工商部門來對我經處罰
[00404.32-00405.28] 那我在外面
[00405.28-00406.32] 柔論是會住血
[00406.32-00407.72] 那這個就是工恩部門
[00407.72-00408.64] 對我經處罰
[00408.64-00409.32] 明白了吧
[00409.32-00410.52] 你看像這些裡面
[00410.52-00412.32] 對我經行政處罰的一定是什麼
[00412.32-00413.44] 行政機關
[00413.44-00414.60] 事業單位
[00414.60-00417.16] 比如說大學能不能隨便出去抓人呢
[00418.04-00418.68] 直接不行
[00418.68-00419.80] 因為他沒有相應的
[00419.80-00420.56] 直權
[00420.56-00421.40] 那第二個
[00421.40-00423.04] 這是我們經常會看到的
[00423.04-00423.80] 比如說
[00423.80-00426.24] 法院他做了一個什麼拘留
[00426.24-00428.36] 或者是檢查院他做了一個
[00428.36-00431.44] 什么样的拘留或者是真查行为
[00431.44-00433.48] 那他属不属于行政图法呢
[00433.48-00434.28] 他也不属于
[00434.28-00436.36] 因为这里面我们限定了行政图法
[00436.36-00437.56] 他的一个资质
[00437.56-00439.76] 首先第一个必须是谁来行事
[00439.76-00442.36] 必须是我们所说的行政机关
[00442.36-00444.12] 这是第一个点大家注意一下
[00444.12-00444.92] 那第二个呢
[00444.92-00446.28] 就是行政机关对
[00446.28-00448.16] 违反行政管理秩序的
[00448.16-00450.20] 坏下叫做公民法人
[00450.20-00453.36] 或者是其他组织进行的成结行为
[00453.36-00454.76] 所以第二个大家注意一下
[00454.76-00456.68] 行政图法针对的对象
[00456.68-00458.68] 能不能是内部的人员的
[00460.08-00462.88] 能不能是形成机关内部的人员不行
[00462.88-00464.48] 他针对的一定是什么
[00464.48-00466.80] 一定是外部人员
[00466.80-00468.88] 用我们说了他具有一定的什么性
[00468.88-00470.40] 就有一定的外部性
[00470.40-00471.48] 对吧还记得咱们再讲
[00471.48-00472.48] 具体形成形为当中
[00472.48-00473.04] 我们说了
[00473.04-00475.20] 不能是针对内部人员的处分
[00475.20-00476.84] 不能说我作为这个
[00476.84-00478.00] 社会局的工作人员
[00478.00-00478.76] 我做错的事
[00478.76-00479.92] 你给我一个警告
[00479.92-00480.32] 对不对
[00480.32-00481.92] 你给我了一个批评通报
[00481.92-00483.68] 你针对国家社会局
[00483.68-00484.84] 内部的工作人员
[00484.84-00489.18] 他做出事情及育的相当的批评通报以及警告
[00489.18-00491.24] 他属于内部处分
[00491.24-00492.78] 他算算处访呢
[00492.78-00493.94] 他不算处访
[00493.94-00495.84] 因为处访一定要针对的是什么
[00495.84-00498.28] 是外部的公民法人和其他组织
[00498.28-00501.16] 比如说交警对于我的处访
[00501.16-00502.76] 交解是国家形成局官
[00502.76-00504.04] 因为他是官局部门嘛
[00504.04-00504.40] 对吧
[00504.40-00506.00] 第二个针针对的是什么
[00506.00-00508.52] 是他这个系统之外的我公民
[00508.52-00509.48] 所以在这里你看
[00509.48-00511.98] 他其实也符合我们所说的具体行为的什么
[00511.98-00513.10] 外部行的特征
[00513.10-00514.80] 所以在这里面大家要知道
[00514.80-00517.04] 我们针对的是公民法人或其他组织
[00517.04-00519.92] 他一定是行政机关外部的
[00519.92-00522.36] 因为行政机关内部的叫做行政处份
[00522.36-00524.52] 而行政处份不属于行政处份
[00524.52-00528.56] 所以我把这个考点 行的旁边 好的 就是内部处份
[00531.28-00533.20] 尽内部工作人的处份
[00533.48-00535.28] 他其实不叫做什么
[00535.28-00537.00] 他行政处份不叫做行政处份
[00537.00-00539.44] 所以大家注意一下 这是第二个小的细节
[00539.44-00541.44] 我在这里标注 这是圈一
[00541.44-00542.96] 这是圈二
[00542.96-00544.40] 那第三个呢 就是
[00544.40-00547.68] 我们说了他针对的是外部人为反管理智序
[00547.68-00550.54] 既然他为反管理智序就要对他进行相对的
[00550.54-00553.36] 是吗?就要对他进行相对的成借
[00553.36-00555.48] 所以在这个成借当转他提到了一个点
[00555.48-00559.76] 就做以监损前一会增加一物的方式预成借
[00559.76-00562.58] 同时标注一下这个就是他成借的方式
[00562.84-00564.36] 我们如何去判断
[00564.36-00566.42] 他到底是不是一个形容主法呢
[00566.42-00568.98] 就看他是否具有成借性
[00568.98-00571.02] 也就是这个成借性就去判断
[00571.02-00573.58] 他有没有去增加新的腐单
[00574.40-00578.74] 就是有没有对相对人增加新的扶单
[00580.74-00585.88] 如果他做的这件事是我们所说的行政相对人产生了新的扶单
[00585.88-00587.72] 他就属于行政出发
[00587.72-00591.80] 你就是想他有没有让你多做一些什么东西
[00591.80-00594.48] 这种情况之下就叫做增加新的扶单
[00594.48-00597.40] 这个地方你说老师你在这里去强调他
[00597.40-00599.06] 比如说给他增加新的扶单
[00599.06-00600.52] 然后目的是什么的
[00600.52-00603.20] 目的是让我们能够去去分一些基本概念
[00603.20-00606.84] 所以去问一些基本概念最常见的是两个概念
[00606.84-00611.04] 第二个概念呢 同时来看一下一个叫做彻秀
[00612.22-00615.34] 一个呢就做调修
[00615.34-00618.00] 这两个字咱们总听吧 彻秀和调修
[00618.00-00620.46] 彻秀和调修很香啊 对不对
[00620.46-00624.14] 但是你想一下彻秀和调修虽然很像单本之上一味样呢
[00624.14-00626.48] 什么叫做彻秀 彻秀很简单
[00626.48-00629.32] 比如说你要申请一个什么什么正书 对吧
[00629.32-00631.14] 如果你要申请这个正书
[00631.14-00632.54] 你为了获得这个证数
[00632.54-00634.70] 你在这里搞了一系列的账片手段
[00634.70-00636.50] 对吧你需要什么一些
[00636.50-00637.54] 虚假情况
[00637.54-00638.90] 你隐瞒真是情况
[00638.90-00641.50] 然后你爆了很多的这种材料
[00641.50-00642.42] 就是满爆嘛
[00642.42-00644.06] 然后最后拿到了这个许客
[00644.06-00645.06] 同样的想一下
[00645.06-00647.86] 如果说你在这个申请过程当中
[00647.86-00649.86] 满爆材料获得许客之后
[00649.86-00651.10] 我查实了以后
[00651.10-00654.34] 你本来并不应该拿到这个证
[00654.34-00655.78] 你本来不应该拿到这个证
[00655.78-00655.98] 对吧
[00655.98-00658.58] 因为你是偏我的证本来就应该是你的
[00658.58-00659.62] 所以我在查证
[00659.62-00660.62] 这个证有问题的时候
[00660.62-00663.54] 我就会把你这个证怎么样 给你课销
[00663.54-00666.22] 那同时想一下 课销的这个行为
[00666.22-00668.42] 他有没有增加新的负担给你呢
[00669.26-00672.66] 没有吧 因为你本身上就不应该拿到这个证
[00672.66-00675.98] 所以课销这个行为 并没有给你增加新的负担
[00675.98-00678.10] 所以课销没有增加新的负担的话
[00678.10-00681.30] 同时想一下 它属不属于行政处发
[00682.22-00684.94] 那它就不属于行政处发
[00684.94-00687.30] 因为这个证本来就不应该是你的
[00687.30-00690.10] 我只是让它恢复原状而也
[00690.10-00691.64] 所以给他撤销了 对吧
[00691.64-00692.92] 他没有增加新的负弹
[00692.92-00694.70] 所以撤销不是形容处罚
[00694.70-00696.76] 但是掉销属不属于形容处罚呢
[00696.76-00697.78] 什么叫个掉销
[00697.78-00699.94] 这是女个贞本来没有问题 对吧
[00699.94-00702.44] 但是因为在做事过程当中
[00702.44-00704.38] 你出现了一些违法经的情况
[00704.38-00706.82] 那这个时候 这本来就应该是你的
[00706.82-00708.88] 这个时候我把你的政给你掉销了
[00708.88-00710.98] 是不是你原本的钱意怎么样了
[00710.98-00713.02] 你原本的钱意是不是结算了
[00713.02-00714.68] 那结算了你现在我的钱意
[00714.68-00716.38] 是不是给你增加了新的负弹
[00716.38-00718.42] 那这时候掉销属于处罚
[00718.42-00720.06] 掉消失出于出发了
[00720.06-00723.06] 所以我们经常会看到什么掉消虚可政和營业指照
[00723.06-00724.82] 它属于形状出发
[00724.82-00727.34] 是拿走了本应该属于你的这个政
[00727.34-00729.50] 是减損了你的权益
[00729.50-00733.34] 所以在这里面它是属于形状出发的
[00733.34-00735.14] 还有两个比较像
[00735.14-00735.94] 一个是什么呢
[00735.94-00738.34] 一个是我们所说的取地行为
[00740.82-00742.18] 一个是取地行为
[00742.18-00743.06] 还有一个是什么呢
[00743.06-00744.98] 还有一个是责令停产的行为
[00748.42-00750.02] 无论是取地还是责任平坦
[00750.02-00751.74] 在本质上对其来说
[00751.74-00752.90] 都不让你干嘛
[00752.90-00754.70] 不让你进行进一步的生产了
[00754.70-00757.50] 那同来看一下这里的取地和责任生产
[00757.50-00759.26] 哪一个算做处罚
[00759.26-00760.50] 哪一个不算是处罚呢
[00760.50-00761.30] 分析一下
[00761.30-00762.62] 什么叫做取地
[00762.62-00764.38] 取地其实就是意味着什么
[00764.38-00765.26] 意味着你
[00765.26-00766.46] 非法经营了
[00766.46-00768.38] 比如说未取得行易循可证
[00768.38-00771.06] 你本来就没有这个开真所的资质
[00771.06-00772.26] 你费带去开真所
[00772.26-00775.26] 大家不知道有没有看过那个电影
[00775.26-00776.42] 那个电影就是
[00776.42-00778.42] 省城和马利之前演为一个电影
[00778.42-00780.10] 叫做一念天堂
[00780.10-00781.86] 我当时特别喜欢这个电影
[00781.86-00783.74] 因为我特别喜欢十马祖和
[00783.74-00785.62] 当时在这个一念天堂里面
[00785.62-00788.66] 省城是不是一个人事严多个角色
[00788.66-00792.18] 然后他这个人又是一个隐藏的这种高手
[00792.18-00794.46] 在这个里面是不是就有出现过什么
[00794.46-00795.90] 一个黑一整索
[00795.90-00797.02] 包大海几个
[00797.02-00799.22] 黑一整索最后把所有的坏人都举起了
[00799.22-00801.94] 后来日本人然后也来到这个里面了
[00801.94-00803.14] 然后最后打起来了
[00803.14-00803.86] 就这样
[00803.86-00805.58] 那你看像这个整索
[00805.58-00806.90] 他本身就沒有什麼
[00806.90-00808.54] 他本身是沒有行醫
[00808.54-00810.10] 或者是行醫學會這樣
[00810.10-00811.66] 也說他沒有開設資質
[00811.66-00814.58] 那如果一旦被關機關查時
[00814.58-00815.78] 或者是被工商局查時
[00815.78-00817.30] 他沒有行醫學會這樣
[00817.30-00818.42] 但是違法開診所
[00818.42-00820.26] 那這時候就會把他的爭挫怎麼樣
[00820.26-00820.98] 取定
[00820.98-00822.06] 那同一位想一下
[00822.06-00823.34] 這一種取定
[00823.34-00825.98] 他是給他增加了新的負擔沒有
[00825.98-00826.58] 沒有
[00826.58-00828.46] 因為他本身就沒有資格
[00828.46-00829.94] 本身就沒有資質
[00829.94-00830.54] 明白了吧
[00830.54-00831.78] 所以這種取定
[00831.78-00833.58] 他沒有減順權益
[00833.58-00834.90] 沒有增加新的負擔
[00834.90-00837.10] 所以他不属于形成触发
[00837.10-00838.86] 但是责任停产是什么
[00838.86-00842.02] 责任停产是你原本的生产经营是正当的
[00842.02-00846.26] 只不过在经营过程当中你出现了一些违反秩序的行为
[00846.26-00849.42] 你本来是具有营业资格和营业资质的
[00849.42-00853.10] 只不过在这里面那你做事情的时候你走完路了
[00853.10-00855.50] 那这个时候就告诉你什么你停下来
[00855.50-00858.74] 那你看你原本是有经营资质的
[00858.74-00862.38] 我现在教你停下来是不是已经从某种程度上
[00862.38-00864.54] 显索了你笑的什么 全一样
[00864.54-00866.22] 因为你继续开这一种政权
[00866.22-00867.30] 我现在告诉你白台
[00867.30-00868.58] 对吧 你看给你告着啥事
[00868.58-00869.54] 人你给我告这种
[00869.54-00870.78] 没法乱记得重视
[00870.78-00872.62] 我叫你责利用停产
[00872.62-00873.90] 责利用停产的话
[00873.90-00875.58] 是不是减搓利用的全一样
[00875.58-00877.62] 那就消灯于增加了你的负担
[00877.62-00879.18] 所以它属不属于形容主买
[00880.18-00882.38] 它是属于形容主买的
[00882.38-00883.90] 所以在这里面大家注意一下
[00883.90-00885.10] 如果说形容主买
[00885.10-00886.94] 它最重要的一个特征是什么
[00886.94-00887.98] 大家一定要注意
[00887.98-00889.26] 它最重要的一个特征
[00889.26-00892.46] 它就是能力相对人带来新的负弹
[00892.46-00895.98] 这种新的负弹要表现在是你现有全一的渏少
[00895.98-00898.50] 要么就是给你增加了什么新的一无
[00898.50-00900.50] 我在这里给大家强调了这个点
[00900.50-00901.78] 这个点非常地使用
[00901.78-00905.02] 就是你判断就是当你没有背下来
[00905.02-00906.58] 比如说我们一会儿会讲到
[00906.58-00908.30] 行中处罚的这种种类对吧
[00908.30-00910.62] 当你没有背下这些行中处罚种类的时候
[00910.62-00912.70] 它问你它到底是不是处罚你怎么办
[00912.70-00913.74] 你就去分析
[00913.74-00915.90] 它有没有让你增加新的负弹
[00915.90-00918.90] 如果有的话它就属于行政处罚
[00918.90-00921.42] 你把屋住它这是对它来说
[00922.18-00923.82] 最重要的一个特征
[00923.82-00925.26] 这是行动处法的概念
[00925.26-00927.42] 所以大家就知道行动处法本身就干嘛
[00927.42-00929.82] 成绩就是以成绩为目的了
[00930.62-00932.82] 这是第一个行动处法的概念
[00933.02-00934.42] 跟行动处法的概念
[00934.42-00936.86] 其实就能够抽象处行动处法的特征了
[00936.86-00938.14] 特征感觉不说了
[00938.14-00939.50] 刚才在概念当中
[00939.50-00940.62] 这个说了
[00940.62-00943.14] 第一个是国家行动机关行使的
[00943.14-00945.74] 第二个是针对的一定是外部的
[00945.74-00947.42] 而不能针对云内部的人员
[00947.42-00951.66] 針對於形狀器官內部的比如說以後各位局長考上我要公園了
[00951.66-00953.42] 對吧 只有時候給你的照什麼
[00953.42-00958.08] 你這個時候因為一點點工作上的小瑕疵被警告了
[00958.08-00961.78] 被批評了 對吧 那這種情況下給你的叫做內部處分
[00961.78-00963.38] 而不能叫做形狀處法
[00963.38-00965.34] 所以他其實是內外有別的
[00965.34-00968.18] 所以大家注意一下 這是第二稿 交代不幸
[00968.18-00972.22] 第三一個就是這種形狀處法是針對違反
[00972.22-00974.30] 是會管理秩序的這種進行的
[00974.30-00976.34] 這個點裡面有個小的細節 你看
[00976.34-00980.42] 多形容處法是為維護國家形容管理秩序的具體形容形為
[00980.42-00984.10] 對吧 叫做不同於重罰犯罪的形犯
[00984.10-00985.90] 你把這個點可以標上圈刺
[00987.58-00991.66] 形容處法 它是不同於重罰犯罪的形法
[00991.66-00995.82] 所以在這裡大家知道 它其實是和形法是兩回事
[00995.82-00997.10] 和形法是兩回事
[00997.10-00999.42] 這個形法真的是什麼
[00999.42-01001.94] 大家注意一下 形法在形法當中會講
[01001.94-01003.98] 这里面的形怀的针对的是犯罪
[01003.98-01005.98] 有时候故意杀人,故意伤害,
[01005.98-01008.62] 强节抢夺,道歉,亲戚,亲戚,对吧?
[01008.62-01010.30] 这种他针对的是什么?
[01010.30-01012.18] 是犯罪而犯罪我们说了
[01012.18-01014.42] 他是极端的反射规竞的行为
[01014.42-01016.86] 他对社会的侵害是非常分尚严重的
[01016.86-01018.82] 所以才要几肯相应的形犯
[01018.82-01019.86] 就相应了什么?
[01019.86-01020.58] 打击
[01020.58-01022.42] 所以他的危害程度比较大
[01022.42-01024.42] 但是到了行政处罚这一块
[01024.42-01026.34] 他相对来说,危害程度就会怎么样
[01026.34-01027.46] 就会比较低了
[01027.46-01030.18] 比如说,你偷东西,对吧?
[01030.18-01031.66] 那你看像偷东西这种事
[01031.66-01033.10] 如果你只偷一百块钱
[01033.10-01034.66] 那这种时候爆警了
[01034.66-01036.34] 你这种时候就把你怎么样抓起来
[01036.34-01037.90] 那抓起来是关你几天钟
[01037.90-01038.94] 你放出去了
[01038.94-01039.98] 对吧真正偷一百
[01039.98-01041.26] 但是如果偷一万
[01041.26-01042.14] 你偷一万的话
[01042.14-01043.30] 这种数个叫大
[01043.30-01044.82] 是为已经非常严重了
[01044.82-01046.10] 受个缘现性表演中
[01046.10-01047.34] 因为你已经够成了
[01047.34-01048.98] 刑法上的道歉罪
[01048.98-01050.78] 那这个时候也要给你关起来
[01050.78-01051.66] 那这种时候关起来
[01051.66-01052.86] 可不就是关几条了
[01052.86-01054.30] 这是关几年问题了
[01054.30-01054.62] 对吧
[01054.62-01057.06] 那这种时候对应了这杀有期徒刑
[01057.06-01058.58] 所以你看在这里面
[01058.58-01060.90] 我们所说的形状处罚和形状
[01060.90-01062.86] 它其实是不是一回事
[01062.86-01065.38] 有很多同月在这就开始打扣办了
[01065.38-01066.70] 如果是反正都是抓人
[01066.70-01067.54] 我就会点分布轻
[01067.54-01069.58] 你要知道是关多久的问题
[01069.58-01070.34] 没办法
[01071.06-01072.02] 所以在这里
[01072.02-01074.66] 这是我们所说的不同于分罪的形状
[01074.66-01075.94] 不同于分罪的形状
[01075.94-01078.06] 所以这是它的第四个特征
[01078.06-01078.54] 好
[01078.54-01081.10] 这个就是形状处罚的概数
[01081.10-01081.94] 不要简单
[01081.94-01083.66] 同学们只要能够把握住
[01083.66-01084.58] 这个形状处罚
[01084.58-01086.02] 大概是什么喊异
[01086.02-01086.94] 它的特征
[01086.94-01088.38] 你稍微有意义上就行了
[01088.38-01092.30] 特徵当中最重要的就要知道形容厨发自为核心的一个点
[01092.30-01096.58] 就是要么是检损权益,要么是增加新的一五
[01096.58-01101.10] 反正就是通过这样的方式增加新的负担一达到成借的目的
[01101.10-01105.78] 那他你说他成借干嘛呢,为了为反社,为了为货,是会支持
[01105.78-01109.18] 我看说了为了为反社为支持,我的天然太下人了
[01109.18-01112.90] 好,那这个是形容厨发的干出,所以一共四个小店
[01112.90-01114.82] 所以一星级的之前就掌握
[01114.82-01117.30] 那了解了行政處罰是什麼之後呢
[01117.30-01118.70] 那第二個我們來看一下
[01118.70-01120.66] 那處罰呢他畢竟是什麼
[01120.66-01123.06] 他畢竟是一種成界性的一種行為
[01123.06-01126.66] 觀眾話說他就是讓你去增加一些新的負擔
[01126.66-01128.82] 這個新的負擔要不是把你人抓起來了
[01128.82-01131.46] 要不是不讓你生產了
[01131.46-01133.22] 一會我們會講到要不是幹嘛呢
[01133.22-01134.26] 要不是警告
[01134.26-01135.82] 要不是批評通報
[01135.82-01137.22] 反而都不是傻好事
[01137.22-01138.98] 所以他在實施處罰的時候
[01138.98-01142.02] 他必須要有相應的規則作為引導
[01142.02-01143.94] 所以第二個呢我們就來看一下
[01143.94-01146.30] 有关于形容处罚的基本原则
[01146.30-01148.54] 有的是形容处罚的实体贵则
[01148.54-01151.02] 所以有点激动了
[01151.02-01153.02] 大家也会发现我一激动我就说话的时候
[01153.02-01155.14] 就说容易平常说不分了
[01155.14-01157.70] 刚才就是一口圈没上来唱相证
[01157.70-01160.82] 我们来看一下在这里形容处罚的原则
[01160.82-01163.14] 形容处罚的原则的大家可以给它理解为
[01163.14-01165.02] 就是在你实施处罚的时候
[01165.02-01167.30] 你要遵守什么样的规则
[01167.30-01168.66] 那首先第一个呢
[01168.66-01169.46] 大家注意一下
[01169.46-01171.86] 第一个呢就做处罚法定原则
[01171.86-01174.10] 同们来看一下 处发法定什么意思
