[00000.00-00005.00] 好的 那我們既然來看一下第三個部分的內容叫做高興技術
[00005.00-00010.00] 我們說了在整個科技場史 我們要講技術的昨天叫做科技發言史
[00010.00-00016.00] 技術的今天也去研究一些技術科學 那最後一個就是展望技術發展的明天
[00016.00-00021.00] 就是我們所說的高興技術 高興技術 我們以國要給大家講七節的內容
[00021.00-00026.00] 這七節內容的包括第一個 就是高興技術 他到底是怎麼回事 講一個大概的概數
[00026.00-00029.24] 但是這個概數它不是一個考察的一個重點
[00182.72-00183.88] 我就能夠研究的
[00183.88-00185.80] 所以他必須有一定的治理之稱
[00185.80-00186.56] 那你就意味著
[00186.56-00188.88] 他是需要國家的高經間的人才的
[00188.88-00189.88] 就要高制力
[00189.88-00191.88] 第二一個叫做高投入
[00191.88-00193.52] 大家都知道高興技術
[00193.52-00195.36] 本身就怎麼樣很收起來
[00195.36-00196.56] 那大家其實應該都知道
[00196.56-00198.80] 中國的航空航天的發展
[00198.80-00204.60] 对吧,咱们从神州以后到神州四号都是无人,到神州五号是在人费天
[00204.60-00208.08] 那几年从神移到神物就花了200亿元
[00208.08-00210.88] 那你能够看出来这个投入相当之高的
[00210.88-00212.88] 对吧,这是第二个叫高投入
[00212.88-00215.36] 那第三个呢,就是高风险和高效益
[00215.36-00218.36] 那一般情况,这下我们说了风险越高,需要越高嘛
[00218.36-00220.04] 那这高齐墙说的那句话
[00220.04-00222.28] 这是风浪越大,于越贵
[00222.28-00225.28] 对吧,所以在这里面我们所说的这高兴技术
[00225.28-00228.04] 它就是半岁这高风险和高收益的
[00228.04-00232.20] 風險就體現在它是一個新的或者說是一個科技前眼
[00232.20-00234.68] 別人沒有開透過的能不能承認
[00234.68-00235.44] 咱也不知道
[00235.44-00236.44] 這個就要個風險
[00236.44-00237.76] 那一旦是承認了
[00237.76-00239.52] 它能夠帶來的影響
[00239.52-00240.88] 無論是至於國家發展
[00240.88-00242.04] 還之一老闆性的生活
[00242.04-00243.80] 都會帶來反天復敵的變化
[00243.80-00245.12] 這就是為什麼我們說了
[00245.12-00246.68] 一定要把握著科技前眼
[00246.68-00248.88] 這就是為什麼我們之前在中特當中
[00248.88-00250.04] 反復給大家提到
[00250.04-00252.52] 叫科學技術是第一生產力
[00252.52-00253.36] 大家回想一下
[00253.36-00254.72] 我們再講科技革命的時候
[00254.72-00255.68] 其實提到過
[00255.68-00257.16] 把握著科技的前眼
[00257.16-00258.32] 就掌握了什么
[00258.32-00260.96] 就掌握了国家发展的一些命卖
[00260.96-00263.60] 你看第一次科技格面发生在英国
[00263.60-00267.40] 所以英国一月崛起成世界上发展最快的国家
[00267.40-00270.64] 第二次和第三次共有个名主要发生在美国
[00270.64-00273.40] 美国至今在科技上发展是否一就很快
[00273.40-00276.80] 保证了美国他几百年的领先地位
[00276.80-00278.80] 所以在这里面我们就能够看到
[00278.80-00280.28] 这是高兴技术
[00280.28-00283.12] 高风显 别人办碎这高收益
[00283.12-00283.96] 高效益
[00283.96-00285.96] 那最后还有两个
[00285.96-00289.52] 一个叫高深透,一个叫做高竞争,对吧
[00289.52-00291.36] 往往是越新的领域
[00291.36-00292.36] 他往往就是什么?
[00292.36-00295.36] 先战资源,越明显的这种
[00295.36-00297.48] 你比如说这个领域当中没有人去开脱
[00297.48-00299.36] 你比如说中国研究的量子
[00299.36-00302.36] 对吧,或者是中国现在再去搞的
[00302.36-00304.96] 我们所说的这些高铁灯弄这些内的技术
[00304.96-00307.96] 在这些行业当中,越没有人就意味着
[00307.96-00311.96] 我进去之后,这个场地就是我的了
[00311.96-00313.76] 对吧,但是这也意味着什么呢
[00313.76-00315.16] 我们所说的这种
[00315.16-00317.86] 没有人去开发的这样的一些技术
[00317.86-00319.76] 他往往就意味着是仙镇
[00319.76-00320.96] 优势非常明显的
[00320.96-00322.06] 大家都想来搞一搞
[00322.06-00323.16] 这个就知道做什么
[00323.16-00324.56] 高静周头高盛头
[00324.56-00325.92] 所以做了这个六高
[00325.92-00328.06] 同学的稍微有一个印象就可以了
[00328.06-00329.46] 不要求大家去备送啊
[00329.46-00331.06] 这个地方的可考性很低
[00331.06-00332.16] 偶尔的时候
[00332.16-00335.16] 会在判断体或者选项当中出现
[00335.16-00337.56] 这时候我们所说的高兴技术的特征
[00337.56-00339.16] 说了这么多高兴技术
[00339.16-00340.66] 我们现在来回头看一下
[00340.66-00342.96] 在咱们天天在西文上看到的
[00342.96-00346.26] 或者是我们经常播报的这些高兴技术主要包括哪些呢
[00346.26-00350.56] 在这里他给到了比如说我们常见的信息啊生物啊心裁料
[00350.56-00353.02] 新能源空间技术和海洋技术等等
[00353.02-00356.46] 对吧那这是我们所莫认的就做高兴技术啊
[00356.46-00360.20] 那这几书我们在后续会的大确详细地讲到
[00360.20-00363.94] 那这个就是我们所说的高兴技术他主要的领域啊
[00363.94-00367.74] 那所以在第一节当中其实就是从概念和含映上
[00367.74-00370.96] 让我们去掌握了高兴技术到底是什么样子
[00370.96-00374.36] 我们只需要把握住两个细节上的考脸就行
[00374.36-00376.52] 且这两个考脸靠性表弱
[00376.52-00378.52] 第一个高星技术不是固定的
[00378.52-00380.24] 而是不对变化的
[00380.24-00383.88] 第二个在这里面要知道高星技术体现出来的特征
[00383.88-00386.12] 叫做六高收前呢
[00386.12-00387.16] 收人呢
[00387.16-00388.12] 高风险
[00388.12-00390.36] 高收一高盛透和高星征
[00390.36-00394.88] 那这是我们要从红官上去了解高星技术
[00394.88-00397.00] 高星技术主要包括六大领域
[00397.00-00400.08] 接着我们就主意来看一下这些领域的内容
[00400.08-00401.88] 我们首先先来看一下第一个
[00401.88-00404.44] 我们常说的生物技术
[00404.44-00408.00] 生物技术其实是一个比较红观的战略
[00408.00-00410.32] 而我们在这里面考察的生物技术
[00410.32-00412.56] 主要是以生物工程为主
[00412.56-00415.24] 我们要在这里给大家去讲四个方面的
[00415.24-00416.48] 生物技术那种
[00416.48-00420.24] 首先第一个我们来看一下就叫做基因工程
[00420.24-00424.00] 我们之前在基础科学当中给大家讲过基因
[00424.00-00427.68] 基因就是基因就是移传物质
[00427.68-00430.76] 所以我们在前面去讲到我经这个概念
[00430.76-00433.56] 我们所说的经工程主要指的是什么呢
[00433.56-00435.36] 我们来看一下它的具体那种
[00435.36-00436.64] 首先第一个基础
[00436.64-00441.24] 它说经工程又称着为叫做DNA重组技术
[00441.24-00444.32] 它是指对收入采用工程设计的方法
[00444.32-00446.64] 从而创造这个思很重要
[00446.64-00449.64] 创造出研究者所需要的
[00449.64-00451.36] 生活心品种
[00451.36-00453.28] 所以在这里面同时第一个点
[00453.28-00454.92] 标注却一就知道
[00454.92-00457.12] 经工程主要的目的是什么
[00457.12-00458.76] 是创造新的东西
[00458.76-00460.76] 或者说是把一个原本东西
[00460.76-00461.36] 它所救了
[00461.36-00462.92] 特别真从根源上
[00462.92-00463.96] 就给它改掉
[00463.96-00465.88] 这个就叫做金工程
[00465.88-00467.04] 那所有的金工程
[00467.04-00468.40] 又要了颠预从组继说
[00468.40-00469.96] 就是从我们所说的
[00469.96-00471.20] 这个一传学上
[00471.20-00472.76] 或者从金的根本上
[00472.76-00474.20] 把这个东西的性装
[00474.20-00475.04] 给它改变掉
[00475.04-00476.96] 说老师这么说有一点抽象
[00476.96-00478.76] 我就给简单的例子来说
[00478.76-00479.80] 所有的金工程
[00479.80-00480.76] 比如说现在
[00480.76-00482.64] 我的长相其实和我的
[00482.64-00484.00] 爸爸妈妈有一点相的
[00484.00-00484.24] 对吧
[00484.24-00486.04] 比如说我的父亲是单元匹
[00486.04-00487.24] 我的妈妈是摔皮
[00487.24-00488.60] 那导致我现在的结果呢
[00488.60-00490.68] 我的眼睛就是一个代表皮而有摔皮
[00490.68-00491.28] 对吧
[00491.28-00493.16] 那我的长相呢
[00493.16-00494.80] 脸呢效果的母亲
[00494.80-00495.16] 对吧
[00495.16-00496.28] 但是我的鼻子
[00496.28-00497.96] 要或者怎么样的像我们父亲等等啊
[00497.96-00498.56] 这一系列
[00498.56-00500.32] 那你看我为什么和她家长的如此
[00500.32-00500.80] 消死
[00500.80-00502.44] 或者是有一些消死度在
[00502.44-00504.16] 就是因为什么的原因
[00504.16-00505.60] 就是因为基因的原因
[00505.60-00507.24] 而所谓的金工程是什么呢
[00507.24-00510.00] 金工程是从根源上修改我的基因
[00510.00-00510.68] 比如说
[00510.68-00512.32] 我原本是踏异了
[00512.32-00513.68] 那如果金工程
[00513.68-00514.88] 我只是举个例子
[00514.88-00519.08] 这有情况这些改变生物的形象可以通过这种我们所说的
[00519.08-00521.24] DNA重组技术把有变成高比两
[00521.24-00524.92] 这种情况这些这些我们所说的叫做创造新物种
[00524.92-00526.76] 所以所谓的DNA重组技术
[00526.76-00528.24] 同们在旁边标主一下
[00528.24-00530.60] 所谓的基因工程它在本质上是什么呢
[00530.60-00532.80] 是改变基因的形状
[00536.00-00537.96] 改变不能叫基因的形状
[00537.96-00539.96] 就改变生物的形状
[00539.96-00546.68] 现在旁边叫做改变生物形状
[00546.68-00549.48] 也就是让我和之前变的不一样了
[00549.48-00554.00] 而这种不一样它是从根源上从基因上从根上来改变了我
[00554.00-00555.20] 那这个就叫做什么呢
[00555.20-00556.88] 就叫做基因工程
[00556.88-00559.96] 所以有为什么要在这里给东西们去强调说要改变金形状
[00559.96-00561.92] 就是让它变得和之前不一样了
[00561.92-00564.64] 因为我们后面还为大家再讲到一个系包工程
[00564.64-00566.48] 系包工程和金工程很像
[00566.48-00568.48] 但他們兩個的本質區別就是看
[00568.48-00570.60] 它有沒有改變生物的性狀
[00570.60-00573.44] 就是有沒有讓它變得和之前不一樣
[00573.44-00574.92] 所以金工程大家注意一下
[00574.92-00577.20] 第二一重組技術改變生物的性狀
[00577.20-00579.92] 創造新的東西讓我和之前不一樣了
[00579.92-00583.56] 所以就是因為它是從最根源上去進行改變
[00583.56-00586.48] 所以金工程它的地位就變得有位重要了
[00586.48-00587.48] 同僚主意下
[00587.48-00590.28] 所以金工程是生物工程技術的上
[00590.28-00591.92] 同僚把核心化下來
[00591.92-00595.08] 叫金工程是生物技術工程的核心
[00595.08-00597.08] 所以在这里我给同一们其实也在展示了
[00597.08-00598.36] 你看像这个图片
[00598.36-00599.56] 这个图片给大家展示的
[00599.56-00600.40] 就是我们所说的
[00600.40-00603.24] DNA双列尔的双螺旋的结构
[00603.24-00606.60] 而所谓的金工程就是把这个DNA
[00606.60-00609.04] DNA的机音也就是我们所说
[00609.04-00611.16] DNA片段剪出来
[00611.16-00612.92] 或者是给它加点东西进去
[00612.92-00613.72] 那这种情况之下
[00613.72-00615.64] 你后去分裂的每一个西胞
[00615.64-00617.64] 它是不是都带有新的心装了
[00617.64-00619.64] 这个就叫做金工程
[00619.64-00622.16] 所以大家注意下这从还一上来看
[00622.16-00624.28] 而从金工程也身出来的
[00624.28-00626.42] 我们也出现了叫第二代金工程
[00626.42-00627.76] 同们在这里看到了
[00627.76-00630.20] 我也大家标注了一个考点脱展
[00630.20-00631.96] 那第二代金工程是什么呢
[00631.96-00633.68] 同们在旁边标主一下
[00633.68-00635.54] 第二代金工程就是我们所说的
[00635.54-00637.68] 叫做蛋白制工程
[00640.92-00642.36] 叫蛋白制工程
[00642.36-00646.16] 它是在金工程的基础之上所搞出来的
[00646.16-00648.00] 在这里面同时没有标主一下
[00648.00-00649.12] 叫蛋白制工程
[00649.12-00651.24] 所以金工程从海一上来看
[00651.24-00652.76] 以及从它的地位上来看
[00652.76-00654.76] 同学就把握住三个点就行了
[00654.76-00656.04] 这三个点大家住一下
[00656.04-00657.96] 网网夸出现在实际行的
[00657.96-00658.96] 判论体
[00658.96-00661.40] 或者是选择体当中
[00661.40-00662.28] 同学没有知道
[00662.28-00663.80] 他作为综合性的考察
[00663.80-00664.84] 给你一段表述
[00664.84-00666.32] 你要知道说的是对
[00666.32-00666.96] 还是错
[00666.96-00668.44] 那这是金工程
[00668.44-00669.60] 那我说的金工程
[00669.60-00670.52] 他的本质的
[00670.52-00671.64] 低了一重组
[00671.64-00673.64] 或者说改变生物的性状
[00673.64-00674.76] 那这个金工程
[00674.76-00676.04] 他在现实生活当中
[00676.04-00677.96] 或者我们常见的案例当中
[00677.96-00679.52] 他有一些具体应用
[00679.52-00680.92] 那我们接下来要看一下
[00680.92-00683.92] 第二方面就是金工成他的具体用用
[00684.68-00686.72] 那在金工成的具体用当中
[00686.72-00688.92] 它其实是有三个具体的表现
[00688.92-00691.72] 同时先可以把金工成的具体表现先在旁边
[00691.92-00693.52] 第一个呢就是我们要给大家
[00693.52-00696.12] 第一个强调的就叫做转机音
[00696.92-00697.92] 龙作物
[00698.92-00700.12] 转机音龙作物
[00700.12-00702.72] 或者是我们也经常提到叫做转机视频
[00702.72-00704.52] 我们要了解一下这里面的转机音
[00704.52-00705.72] 它到底是怎么一回事
[00705.92-00708.12] 第二个呢就是要给大家一起强调一下
[00708.12-00709.72] 就是和转机龙作物很像的
[00709.72-00711.72] 还有一个据叫做雅交水道
[00714.04-00716.20] 还有一个就是我们所说的雅交水道
[00716.52-00718.12] 这里面的雅交水道
[00718.12-00720.08] 它也是金工程当中的一款
[00720.40-00721.88] 第三个就是要在这里面
[00721.88-00725.32] 还有给大家提到的一个据叫做基因治疗
[00725.60-00729.44] 所以在整个我们所说的有关于金工程当中
[00729.44-00731.08] 一共是有这三个方面内容
[00731.36-00732.76] 那我们首先来看一下第一个
[00732.76-00734.04] 据叫做转金作物
[00734.04-00735.68] 我们来看一下转金作物
[00735.68-00736.60] 它的概念是什么
[00736.60-00741.58] 他说要转机做过是利用金工成江原有做物的基因
[00741.58-00744.80] 加入其他生物的一传物指
[00744.80-00748.86] 并将不两尽一处从改造成什么更好的品种
[00748.86-00750.70] 这里面的第一个考点出现了
[00750.70-00752.40] 在这里我们要知道转机转机
[00752.40-00754.68] 它一定要是要转入一个基因的
[00754.68-00755.86] 那他转的这个基因
[00755.86-00757.76] 它代表的是其他的生物
[00757.76-00760.06] 那就意味着它再去转的这个基因
[00760.06-00761.24] 可以是谁的
[00761.24-00763.06] 可以是动物的
[00764.06-00766.26] 也可以是植物的
[00766.60-00770.58] 還有一個就是我們所說的可不可以是細菌的機業
[00770.58-00771.26] 可以
[00771.26-00775.58] 還有最後一個就是我們所說的它轉的這個機業可以是病毒的
[00775.58-00778.06] 所以它有的時候在考試的時候在這裡面
[00778.06-00781.06] 金工城就會考察一個綜合性的考察方式
[00781.06-00783.96] 只是以下關於轉金做物或轉金食品
[00783.96-00785.58] 說法正確或錯誤的是
[00785.58-00787.50] 這裡面它就會給到一個選項說
[00787.50-00789.60] 轉金英轉的是動物的機業
[00789.60-00791.54] 或金英轉的是植物的機業
[00791.54-00792.78] 這種說法都怎麼樣
[00792.78-00794.36] 都是不正確的
[00794.36-00795.64] 在这里面大家就要明确
[00795.64-00798.12] 这是第一个有关于我们在转金当中
[00798.12-00799.40] 小达去掌握的点
[00799.40-00801.48] 第二个点就是在这里没有说了
[00801.48-00803.12] 除了转金做物之外
[00803.12-00804.60] 我们还会讲到另外一个
[00804.60-00805.48] 就是把这种转金
[00805.48-00808.04] 据出应用到人的食品当中去
[00808.04-00809.72] 那这里面就会出现另外一个概念
[00809.72-00810.28] 据到什么
[00810.28-00811.96] 就叫做转金食品
[00811.96-00814.28] 所以我们在这来看一下我们所说的
[00814.28-00816.36] 转金食品
[00816.36-00818.12] 在转金食品当中
[00818.12-00819.56] 你看它搜尝怎么说的
[00819.56-00821.24] 但说1996年转金
[00821.24-00823.00] 利属優於食品
[00823.00-00827.12] 目前沒有證據證明轉接人體健康有害
[00827.12-00829.56] 但是也沒有充足證據證明
[00829.56-00831.28] 它就是50%了
[00831.28-00833.64] 所以有關於我們所說的轉接食品
[00833.64-00835.52] 它會提到很多的限制要求
[00835.52-00837.48] 一會會大家去詳細的去講解
[00837.48-00840.32] 比如說在這裡面它會明確的提出
[00840.32-00842.32] 沒有證據證明對人體有害
[00842.32-00845.00] 但是要不要吃轉接食品
[00845.00-00847.72] 它必須要給消費者足夠的選擇權
[00847.72-00849.00] 所以它在這裡面會說了
[00849.00-00852.84] 转金食品製造的转金的这样一个技术製造的食品
[00852.84-00854.30] 它必须要进行相打
[00854.30-00855.14] 标记
[00855.14-00857.70] 所以这是我们所提到的转金作物
[00857.70-00858.74] 或转金食品
[00858.74-00861.66] 但是我们会发现无论是转金的作物
[00861.66-00863.72] 还是转金的什么食品
[00863.72-00866.66] 它在本身上都是把其他的基因拿过来
[00866.66-00868.52] 家里的方在你这个上面
[00868.52-00870.12] 它本身上其实还是什么
[00870.12-00872.22] 它是改变了生物的性状的
[00872.22-00875.36] 这个就是我们所提到的转金的内容
[00875.36-00876.20] 这是在这里面
[00876.20-00878.12] 那还有一个就是我们提到的
[00878.12-00881.04] 金工程当中除了转基因的这些像进入之外
[00881.04-00883.56] 还有一个就是我们经常提到的杂交技术
[00883.56-00885.50] 就是在这里面我们所提到的什么
[00885.50-00886.44] 杂交水道
[00886.44-00887.84] 那这里面的杂交水道
[00887.84-00889.44] 大家在这儿要明确一个点
[00889.44-00890.94] 同时在旁标注意下
[00890.94-00892.12] 杂交水道呢
[00892.12-00895.84] 它其实整体上我们所说的这样的一个形成
[00895.84-00896.92] 或者是我们所说的
[00896.92-00898.92] 它的一个工作的这样的一个机制
[00898.92-00901.14] 它本身上就是我们所提到的
[00901.14-00903.12] 有两个水道
[00903.12-00903.64] 对吧
[00903.64-00904.24] 那这个呢
[00904.24-00905.44] 我们都看得出来
[00905.44-00906.48] 他是水道的什么
[00906.48-00907.84] 定位的双料
[00907.84-00908.84] 所以在这里面
[00908.84-00909.88] 我们会发现假设
[00909.88-00912.68] 第一个水道是抗衡的
[00912.68-00913.68] 第二个水道
[00913.68-00914.92] 他是我们所说的什么
[00914.92-00915.68] 抗衡的
[00915.68-00916.44] 那大家的水道
[00916.44-00918.44] 我只是假设计的例子
[00918.44-00919.76] 当然了具体的科学
[00919.76-00921.52] 可能比这个要复杂的很多
[00921.52-00924.92] 那这里面我想培养出一个新的水道的这种品种
[00924.92-00925.92] 它几不同的去抗衡
[00925.92-00926.76] 也不同去抗衡
[00926.76-00929.16] 而且它们两个什么特性的结合
[00929.16-00929.96] 那我怎么办呢
[00929.96-00932.28] 我就可以把这个片段怎么办
[00932.28-00933.40] 去给它剪切下来
[00933.40-00935.32] 然后把这个剪切下来的片段
[00935.32-00937.72] 去放在我们所说的这样的一个
[00937.72-00939.00] 另外一个水道上
[00939.00-00940.96] 这个时候你就会培养出一个什么
[00940.96-00941.76] 新的水道
[00941.76-00942.92] 这个新的水道
[00942.92-00944.96] 它属于一金工程数语
[00944.96-00946.20] 因为我们说了金工程
[00946.20-00948.12] 它就是改变生物的性状
[00948.12-00949.52] 我记不像我第二个不像我
[00949.52-00950.64] 我就是另外一种了
[00950.64-00952.16] 所以在这里面我们来看到
[00952.16-00954.12] 这里面所给到的金工程
[00954.12-00955.76] 它其实也包含我们所说的
[00955.76-00956.40] 咱就水道
[00956.40-00957.96] 那培养出来了这个芯片种
[00957.96-00959.32] 就可以可能是什么
[00959.32-00961.20] 可能是抗韩的
[00961.20-00968.00] 也可能是所说的什么 抗洪使抗洪另外一个就是拍还同时抗洪
[00968.00-00972.32] 这个就是所说的这样一个杂交水道的这样一个技术
[00972.32-00974.88] 所以我们就知道在转金租物当中
[00974.88-00978.32] 在整个经工程当中我们要长得的第一个转金
[00978.32-00980.32] 我们要知道转路的基因是什么
[00980.32-00984.16] 第二个就是转金它可以形成转金租和转金食品
[00984.16-00988.32] 所以我们在转金食品这一块给大家就说了没有明确的证据
[00988.32-00989.40] 对人有伤害
[00989.40-00991.64] 但是我们也知道在我们所说的
[00991.64-00993.52] 金工程中除了转金之外
[00993.52-00995.88] 还有就是我们比较常用的杂交水道
[00995.88-00997.32] 大家有明确杂交水道
[00997.32-00999.68] 它在本质上也是改变了我们所说的什么
[00999.68-01001.80] 生物的这样的一个形状的
[01001.80-01003.56] 这是它们第二个用用
[01003.56-01006.88] 但是说完了这些在应对考试当中还能不能不够
[01006.88-01008.28] 我们还要去了解
[01008.28-01010.68] 有关于刚才所提到的一个一路问题
[01010.68-01013.04] 就是转金10品
[01013.04-01015.56] 它再具体的用用过程当中
[01015.56-01017.68] 我们要注意哪些事项
[01018.32-01021.40] 轉經時品它其實單獨考過一個點
[01021.40-01022.52] 所以在這裡面
[01022.52-01023.72] 我們可以標準一下
[01023.72-01025.72] A就是沒有證據證明
[01029.32-01029.80] 我不顯了
[01029.80-01030.92] 就書上的一幅
[01030.92-01031.84] 沒有證據證明
[01031.84-01033.36] 轉經時品的對人球害
[01033.36-01034.52] 它如果在選上當中
[01034.52-01036.48] 給到說任何轉經時品
[01036.48-01037.48] 都是有害的
[01037.48-01039.80] 那證說法就一定是錯誤的
[01039.80-01040.60] 大家注意一下
[01040.60-01042.68] 這是第一個需要我們去掌握的電
[01042.68-01043.96] 那第二去掌握的電
[01043.96-01045.56] 就是轉經時品
[01045.56-01047.84] 它雖然沒有證足夠的證據證明
[01047.84-01048.86] 它是有害的
[01048.86-01052.18] 但是在之前的相關的報導當中
[01052.18-01055.20] 有一些國家拿到這個問題
[01055.20-01058.58] 就是比如說用轉經這個食品的這個東西
[01058.58-01059.98] 在我們國家作文章
[01059.98-01062.48] 所以在這裡面我們也會給大家去提到
[01062.48-01064.26] 雖然它沒有足夠的爭取證明
[01064.26-01065.52] 它一定對身體有害
[01065.52-01067.62] 但是國家有相關的規定
[01067.62-01069.20] 就是轉經食品
[01069.20-01073.10] 現在旁邊就是轉經食品
[01074.20-01077.20] 它在對外消售的時候
[01077.20-01080.54] 一定要有标注转金箱的这样
[01080.54-01083.84] 一定要有金行
[01086.28-01087.08] 标记
[01088.84-01090.68] 一定要有金行标记
[01090.68-01093.68] 就是在这里面你要在你的这个视频上
[01093.68-01096.84] 去标注它是否是转金的东西
[01096.84-01098.28] 所以一定要有金行标记
[01098.28-01101.12] 标记的字幕可能就是我在图验当中给大家去
[01101.12-01102.96] 展示的什么GMO
[01102.96-01104.44] 等冷这些系列的
[01104.44-01106.12] 那就要对它进行标记
[01106.12-01108.20] 但是它又不标记的情况
[01108.20-01109.76] 这个不标记的情况是什么呢
[01109.76-01114.00] 如果这个视频它本身生产时注意
[01114.00-01117.96] 如果这个视频它本身生产时没有使用转金技术
[01120.96-01122.60] 没有生产金技术
[01122.60-01124.64] 但是它在生产过程当中
[01124.64-01126.64] 它里面整体上
[01126.64-01128.16] 在去生产的过程当中
[01128.16-01130.96] 可能是生产加工的条件因素
[01130.96-01132.56] 有可能是其他一些因素
[01132.56-01135.16] 導致我們所說的可能會出現一種
[01135.16-01139.40] 我們所說的轉擊的含量達到0.9%的狀況
[01139.40-01140.36] 那這種情況呢
[01140.36-01143.04] 他本身生產沒有我們所說的使用
[01143.04-01144.56] 但是他測出來確實是
[01144.56-01146.76] 可能會檢測到有一些其他的
[01146.76-01147.56] 成分在
[01147.56-01150.36] 如果這個成分是小於0.9%的
[01150.36-01152.96] 那我們就認為這可能是在生產過程當中
[01152.96-01155.16] 他是一種偶然的情況
[01155.16-01156.16] 或者說是什麼呢
[01156.16-01158.16] 或者說由於你的生產幾乎條件
[01158.16-01159.76] 他可能會導致一些
[01159.76-01160.76] 我們所說的
[01160.96-01163.48] 生物它出現了一些金上的突變等等
[01163.48-01165.04] 是不可避免的情況
[01165.04-01167.60] 那這種情況之下就無需標準
[01171.44-01173.12] 這無需標準就認為
[01173.12-01173.92] 就默認
[01176.72-01179.16] 不是轉金視頻
[01183.60-01186.00] 證明就認為它不是轉金視頻了
[01186.00-01187.56] 所以在這裡面大家注意一下
[01187.56-01189.12] 他說如果檢測到
[01189.12-01190.28] 就一定要標準
[01190.28-01191.16] 是否说法对不对呢
[01191.16-01191.64] 不对
[01191.64-01192.84] 就是你可以证据说
