[00000.00-00004.90] 好了,那我们了解了三大国税当中的中英和国务化之后呢,
[00204.52-00207.52] 有时间上的这样的一个我们所说的教高的
[00207.52-00209.96] 让一个一叫高下的这样一个特色
[00209.96-00211.96] 中国的细群最开始的时候
[00211.96-00216.04] 他在时间上大致一下他最早其实出现在先请时期
[00216.04-00219.66] 就已经有了中国细群的这样一个初步的模样
[00219.66-00222.54] 当时的细群其实不是为了唱给百姓听
[00222.54-00226.34] 也不是像我們現在這樣說把這個戲曲文化傳承下去
[00226.34-00229.14] 當時戲曲他的目的是幹嘛呢
[00229.14-00232.44] 他的目的主要是為了與神
[00232.44-00235.54] 換句話說他其實可以回神有關的這樣一種
[00235.54-00238.44] 在上書有一點當中有張一段話
[00238.44-00240.84] 其實就是強調計刺
[00240.84-00244.84] 或者是我們所說的計神歌舞戲曲的這樣的一個種類
[00244.84-00248.94] 在我們所說的上書有一點當中寫的是這樣一個事
[00248.94-00254.32] 说呢,地约在这个时候,就是皇帝,这个不能叫皇帝,就是摇,他就说了,
[00254.32-00257.48] 回,大家都知道亏是上古时期的一个神秀,
[00257.72-00263.28] 长得像牛一样,对吧,头上有脚,但是他只有一条腿,我们把这种神秀叫做亏,
[00263.52-00270.82] 他说亏,命如点约,叫致子,指尔文,然后刚而无约,然后后面,失言之歌用,
[00270.96-00278.00] 言,生用一,八个八十多里大堆,他其实这的话在描述什么呢,就是当时的这个统治者,就跟这个亏述说,
[00278.00-00282.64] 说我想让你去作为我们所说的是长管
[00282.64-00284.92] 点月的 这样的一个官员
[00284.92-00287.40] 让你去干嘛呢 让你去交未成年人
[00287.40-00289.48] 叫叫重子 叫他们干嘛呢
[00289.48-00291.48] 让他们温候宽人
[00291.48-00293.56] 然后政治紧政
[00293.56-00295.60] 刚强而不暴运
[00295.60-00298.76] 相对来说政治而不怎么样而不交
[00298.76-00300.92] 在这里面这个亏就说了说
[00300.92-00302.44] 可以可以可以对吧
[00302.44-00304.68] 我怎么样能够通过音乐
[00304.68-00307.00] 通过音乐呈现的正如形式
[00307.00-00310.08] 让他们学到你所要求这些亏约
[00310.08-00311.08] 就要干嘛呢
[00311.08-00314.04] 后面就说那我就有节虑的
[00314.04-00315.76] 有节奏的去拍打
[00315.76-00316.96] 叫几十嘛
[00316.96-00318.88] 所以拍打这样的一些石头
[00318.88-00320.32] 然后摆受摄舞
[00320.32-00322.24] 让他们感受到
[00322.88-00324.48] 我们所说的这样的一个
[00324.48-00326.64] 我们要传递通过音乐所传递
[00326.64-00328.08] 大家的这样的一种精神
[00328.08-00330.04] 所以这是中国在心情时期
[00330.04-00332.80] 有关系绪它最初步的这样的一个母子
[00332.80-00335.44] 其实除了像在上述当中的瞭写
[00335.44-00338.98] 对于继续的这一套描写之外
[00338.98-00341.00] 其实在师傅和处似当中
[00341.00-00343.12] 有很多关于继续的歌词
[00343.12-00344.50] 同样不知道还记不记得
[00344.50-00346.04] 我们在讲师傅的时候
[00346.04-00347.04] 我们讲过
[00347.04-00348.50] 叫什么叫商宋
[00348.50-00349.00] 对不对
[00349.00-00350.82] 叫天命玄鳥
[00350.82-00352.00] 降而生商
[00352.00-00353.60] 那你看从那个时候开始
[00353.60-00355.60] 已经有关于我们所说的这种
[00355.60-00356.64] 继续
[00356.64-00357.48] 继续
[00357.48-00358.52] 有关系细
[00358.52-00360.28] 它的这样一类的相的描写
[00360.28-00361.16] 所以我们说了
[00361.16-00362.48] 中国细续
[00362.48-00363.08] 历史
[00363.08-00365.76] 优酒真是它的特色的体现
[00365.76-00367.40] 不仅是历史优酒
[00367.40-00369.80] 它也怎么样总内反夸
[00369.80-00372.44] 大家知道我们的中国的气血
[00372.44-00375.24] 巨统界大概有360多种
[00375.24-00376.44] 老师能有那么多
[00376.44-00378.04] 我们有很多地方显
[00378.04-00379.32] 比如说像山东的这边
[00379.32-00380.76] 就律居嘛 对不对
[00380.76-00382.52] 你看像很多地方显
[00382.52-00385.16] 像在360多种细群当中
[00385.16-00388.52] 我们要知道其实有五大和新细群
[00388.52-00391.48] 这五大和新细群就是今天要给大家去讲到的
[00391.48-00395.96] 經具 越據 黃美系 品具 還有 預舉
[00395.96-00398.92] 搭訓下 坤取不是中國武大序種之一
[00398.92-00400.64] 所以在這裡面我們要能夠知道
[00400.64-00403.76] 中國的戲曲 時間長 種類多
[00403.76-00405.44] 而360多種當中
[00405.44-00406.96] 第二個考點就出現了
[00406.96-00408.44] 同樣可以標準在旁邊
[00408.44-00411.16] 這是在中國360多種戲語當中
[00411.16-00413.48] 我們有武大 核心戲曲
[00415.84-00418.32] 這是第二考點 標準在你的獎硬上
[00418.32-00419.64] 在武大核心戲曲
[00419.64-00424.20] 这五大回血节分别是我们所说的经济越据
[00426.76-00427.96] 黄美系
[00432.76-00433.76] 品据
[00435.92-00437.84] 还有我们所说的语句
[00437.84-00439.72] 这里面大家一定要明确
[00439.72-00441.64] 这里面是没有坤取的
[00441.64-00444.48] 昆取它不是五大续种之一
[00444.48-00445.84] 所以大家一定要注意一下
[00445.84-00447.32] 这次在这地方
[00447.32-00448.84] 我们需要掌握了第二个点
[00448.84-00454.64] 從那種種種的感覺到中國細緻的時間長
[00454.64-00455.56] 總了多
[00455.56-00458.92] 接下來主義取代去詳細介紹一下
[00458.92-00462.04] 有關於我們所提到的主要居種
[00462.04-00464.92] 我們所說的經料之處
[00464.92-00466.92] 我們先來看一下第一個
[00466.92-00469.68] 我們所提到的叫做經具
[00469.68-00470.52] 大家都知道
[00470.52-00473.52] 其實下一生的單純拿出來經具的
[00473.52-00476.00] 經具也被稱為叫做果粹
[00476.00-00477.80] 其实经济被称为国粹
[00477.80-00480.20] 不单单仅仅是因为它的时间9月
[00480.20-00482.60] 也不单单就是因为它的唱唱精妙
[00482.60-00485.40] 而是因为经济这个东西它在古随利
[00485.40-00490.20] 就运喊了我们这个古老活动当中与生具来的气质
[00490.20-00492.60] 我们经常说说罗古宣天
[00492.60-00495.00] 同时后面可能要借去变炮其我
[00495.00-00497.80] 是罗古宣天端栗完全
[00497.80-00500.60] 这个经济听起很热的
[00500.60-00504.20] 但是呢 谢谢品来却是独想的一说古纪
[00504.20-00506.56] 我们经常对经济有一个形容
[00506.56-00508.44] 这是需要投入你去掌握的点
[00508.44-00509.12] 有的时候呢
[00509.12-00510.08] 在经济这个地方
[00510.08-00510.84] 它考察的时候
[00510.84-00513.24] 往往就会考察一些对应和细节
[00513.24-00515.36] 那么有的时候怎么去形容经济呢
[00515.36-00517.40] 我们经常说要叫三五部
[00517.40-00520.60] 变形天下67人百万雄兵
[00520.60-00522.80] 在那样一方舞台上
[00522.80-00525.68] 几部就能走出天下的这样的一个感觉
[00525.68-00526.16] 对吧
[00526.16-00528.28] 在台上的几个人通过演唱
[00528.28-00531.00] 我们就能够感受到它的种着觉的气氩
[00531.00-00531.88] 所以在这里面
[00531.88-00533.44] 我们经常会用这样的一句话
[00533.44-00536.24] 去形容金具 同版它 标准在旁边
[00536.24-00538.60] 叫做三五部
[00538.60-00541.80] 变形天下
[00541.80-00544.80] 六七人百万雄兵
[00544.80-00546.04] 这就画一旦出来
[00546.04-00548.04] 大家注意一下 考察一个什么呢
[00548.04-00550.56] 考察一个描述的对应
[00550.56-00552.32] 描述的对应 就是一下
[00552.32-00555.24] 它的描述和它对应的一说
[00555.24-00557.00] 总练对应正确的是
[00557.00-00559.04] 那这里面一旦出现的话就知道
[00559.04-00561.04] 这就画一出来 其实形容的中什么
[00561.04-00562.36] 形容的就是我们所说的
[00562.36-00564.14] 所以大家注意一下
[00564.14-00566.46] 这是第一个需要我们去掌握的
[00566.46-00567.74] 有关经济的点
[00567.74-00569.28] 第二个我们就来看一下
[00569.28-00570.30] 那了解了经济
[00570.30-00571.32] 咱们其实
[00571.58-00573.36] 总能在电视上去看到
[00573.36-00574.64] 我说了李源春
[00574.64-00576.18] 对完总能看到在武壇上
[00576.18-00579.00] 然后吹拉谈唱然后表演的中形式
[00579.00-00580.28] 我们知道经济呢
[00580.28-00582.58] 它是中国国粹的一种表现形式
[00582.58-00584.12] 但是经济的形成呢
[00584.12-00586.18] 其实并没有我们想象的那么简单了
[00586.18-00588.46] 咱们来看一下书上它是怎么说的
[00588.46-00591.28] 它说经济是中华民族的国粹
[00591.28-00593.84] 它是在18世紀的下半夜
[00593.84-00597.24] 金灰系 形成和调的交融
[00597.24-00599.92] 并借借稀收昆取金槍之朝
[00599.92-00602.76] 而形成最中的這種驅撞
[00602.76-00604.24] 就是我们所说的什么
[00604.24-00605.08] 金具
[00605.08-00607.28] 大家知道其实金具的前身
[00607.28-00610.12] 它其实是清楚留下于江南地区的
[00610.12-00612.76] 也吹一唱吹一唱
[00612.76-00614.52] 还有二皇为主的灰板
[00614.52-00615.80] 也是最开始的时候
[00615.80-00617.80] 大家把金具的发展流程
[00617.80-00619.60] 要前前地去听一下
[00619.60-00622.16] 我在这里回来给大家标注一些细节点
[00622.16-00623.64] 他在考试的时候呢
[00623.64-00626.64] 经常就是以综合理解形的题目去考察
[00626.64-00629.80] 一下关于经济说法正确或者是错误的事
[00629.80-00631.20] 所以在这儿大家知道
[00631.20-00632.52] 经济的钱身呢
[00632.52-00635.80] 它是灰般就是江南地区的这种灰般戏
[00635.80-00637.44] 所以这是经济的权生
[00637.44-00640.48] 而到了我们所说的1796年初天的时候
[00640.48-00642.52] 差不多就是前龙年间的时候
[00642.52-00644.04] 咱们1840年亚片战争
[00644.04-00645.96] 在往灰波浩的十年
[00645.96-00646.72] 那个时候呢
[00646.72-00648.36] 大概是前龙十七
[00648.36-00652.44] 在1990年為慶祝前龍80歲的獸臣
[00652.44-00656.04] 當時杨州的眼傷就要江客庭
[00656.04-00660.24] 就在安慶組織了一個名為三慶班的灰細
[00660.24-00662.44] 細胞就是搞了一個這樣的細胞子
[00662.44-00664.92] 幹嘛呢?給皇上住售了
[00664.92-00668.64] 所以在前龍那個年代的時候就有了我們所說的一個事
[00668.64-00670.76] 就要做啥呢?就要做呼一般進京
[00670.76-00673.56] 當時的呼一般就是三慶班
[00673.56-00675.24] 現在北京是還有三慶元
[00675.24-00678.56] 所以当时在1970年的时候三庆班进行了
[00678.56-00681.20] 当时的眼上带着这样的一个对我
[00681.20-00683.64] 然后来进进去给强隆去唱售
[00683.64-00686.08] 当时获得了一只的好品
[00686.08-00689.16] 所以三庆班成功进行之后后来有了什么呢
[00689.16-00692.38] 有了四起班和春班和春台班
[00692.38-00693.52] 回彎进行了
[00693.52-00697.16] 这个时候就逐渐的在我们所说的这个北京
[00697.16-00700.32] 慢慢的就有了更多的回彎流唐进来
[00700.32-00704.88] 所以这个时候就有了四大回彎进行的这样的一个说法
[00704.88-00709.64] 而与此同时各个地区除了我们所说的这个灰细开始发展之外
[00709.64-00714.72] 地各地区它的其它的一种细取的一树形式也在不断的发展
[00714.72-00718.80] 所以那个时候就出现了我们叫做花亚之争的这样一个景象
[00718.80-00724.16] 所以在这里面有关于我们所说的经具它的发展的具体的流程
[00724.16-00726.40] 同时在这要做一个简单的标准
[00726.40-00729.24] 你可以标准一下圈一就是刚才我们所说的
[00729.24-00730.92] 这是经具的前身
[00730.92-00737.28] 现在旁边就是经济的前身
[00737.28-00739.68] 它其实是江南地区的
[00742.68-00744.68] 江南地区的我们所说的
[00744.68-00746.92] 唱吹乡二皇为主的灰板
[00750.56-00752.36] 所以这个点同们注意一下
[00752.36-00753.52] 这是经济的前身
[00753.52-00754.80] 有的时候考试的时候
[00754.80-00757.44] 就会说说经济的前身是昆许
[00757.44-00758.52] 这种说法对不对
[00758.52-00762.94] 不對,經濟的錢是,它其實是最開始從壞班開始的。
[00762.94-00765.26] 如果到了什麼時期,我們注意一下,
[00765.26-00769.82] 只會到了我們所說的錢龍年間的時候,我們說了皇帝要過生日,
[00769.82-00772.02] 這個時候你地方就不再表示,
[00772.02-00773.76] 所以在這裡前龍過生日的時候,
[00773.76-00778.42] 我們可以標準在旁邊,我說了,剛才是不是有一個壞班進京的情況。
[00779.42-00782.02] 所以你就在旁邊寫上錢龍,兩個字。
[00782.02-00790.98] 然后在旁边标注一下在他这个时候就出现了我们所说的第一个就做回班进京
[00790.98-00793.74] 这个时候的回班就是我们所说的什么
[00793.74-00795.82] 三庆班你现在还有三庆元呢
[00795.82-00798.54] 大家去听象上的时候在北京买票的时候
[00798.54-00800.86] 各大小元子里情是不是就有一个三庆元啊
[00800.86-00802.82] 而三庆班我们所说的
[00802.82-00804.22] 我应该写三庆班啊
[00804.22-00806.06] 像这个三庆班唱得特别好
[00806.06-00810.10] 那这个时候其实是给各地的我们所说的这个回班戏创造了一个条件
[00810.10-00814.58] 所以到了后期的时候就出现了我们所说的四大回弯进行的情况
[00820.58-00821.62] 四大回弯进行
[00821.62-00825.14] 而与此同时各个地区它的系终也不断的发展
[00825.14-00826.74] 也在路路续续的来到哪的
[00826.74-00829.66] 路路续续的来到我们所说的当时的经济
[00829.66-00831.22] 这就为经济的形成
[00831.22-00833.46] 打下了一个非常良好的机处
[00833.46-00834.50] 所以大家注意一下
[00834.50-00835.38] 只能在这
[00835.38-00838.34] 而到了我們所說的真正的戲曲的形成
[00838.34-00840.26] 或是真正的經具的形成
[00840.26-00841.46] 它是在什麼時候呢?
[00841.46-00842.26] 大家注意一下
[00842.26-00844.26] 經具的真正的形成
[00844.26-00845.38] 它其實是在
[00845.38-00847.06] 道國和嫌風年間
[00847.06-00848.66] 經具最終的形成
[00848.66-00850.74] 它其實是在壓騙戰爭之後
[00850.74-00852.74] 就在1840年到1660年
[00852.74-00854.34] 就道國和嫌風年間
[00854.34-00855.38] 我現在這好吧
[00856.82-00858.26] 這是在道國
[00858.26-00860.02] 只嫌風年間
[00860.02-00864.02] 这个时候大家都知道
[00864.02-00866.52] 这个应该怎么说呢
[00866.52-00869.02] 应该是灰细 形枪还有汉掉
[00869.02-00871.02] 才出现了我们所说的书上的这个什么
[00871.02-00874.02] 可留同时吸收了困曲和精枪的
[00874.02-00876.02] 长处最终形成了什么
[00876.02-00877.02] 精具
[00877.02-00879.02] 所以你看在的书上你可以在这标注13
[00879.02-00882.02] 在18世纪下半夜经过我们所说的
[00882.02-00885.02] 各种区域的融合形成了我们所说的
[00885.02-00886.02] 精具
[00886.02-00888.02] 所以这个才是精具的一个完整的
[00888.02-00890.02] 一个完整的发展流程
[00890.02-00891.82] 那这里面的细节上的考电
[00891.82-00892.50] 就在什么呢
[00892.50-00893.14] 同没有知道
[00893.14-00893.66] 第一个呢
[00893.66-00895.34] 就是我刚才给大家强调的
[00895.34-00897.90] 经济的前身到底是不是昆许
[00897.90-00900.18] 不是第二在前龙年间出现了
[00900.18-00901.94] 四大灰般进京的情况
[00901.94-00903.38] 主要一口低的对应
[00903.38-00904.14] 第三个呢
[00904.14-00905.62] 就是到了18世纪下的
[00905.62-00908.18] 也经济才正式形成
[00908.18-00909.78] 但是这里面有一个细节的点
[00909.78-00911.58] 就是到了18世纪下的
[00911.58-00913.62] 也是经济形成了
[00913.62-00915.66] 但是最开始的经济
[00915.66-00916.82] 并不叫做经济
[00916.82-00917.66] 大家注意一下
[00917.66-00918.98] 他这个时候形成了
[00918.98-00920.48] 但是最开始的时候
[00920.48-00922.04] 经济并不叫经济
[00922.04-00923.36] 所以在旁标注一下
[00923.36-00925.88] 这是最初形成是
[00928.18-00929.22] 不叫做经济
[00929.22-00931.54] 最初形成是被称之为
[00932.58-00934.06] 叫做乱谈
[00936.38-00939.02] 或者是我们所说的叫做皮黄
[00940.90-00942.88] 刚开始的时候没有经济这个词
[00942.88-00944.58] 经济这个词什么时候出来的呢
[00944.58-00945.74] 我们标注在旁边
[00945.74-00949.90] 經具這時候是1876年在上海的深暴的時候
[00951.74-00953.58] 說到深暴大概沒有很熟悉
[00954.54-00956.94] 應該很熟悉吧 抗求人生有什麼猛 對不起
[00957.10-00959.34] 所以1876年的時候在上海深暴的時候
[00959.54-00962.14] 正是命名為我們所說的經具
[00962.34-00964.30] 所以在這裡面才有了我們所說的
[00964.30-00967.14] 最終的這樣的一個曲意的名稱的命名
[00967.14-00968.98] 所以在這個地方大小注意下
[00969.14-00972.14] 這是我們所提到的關於經具的形成
[00972.14-00974.02] 有關經具的形成 大家注意下
[00974.02-00975.02] 這是第一個點
[00975.02-00976.18] 这个细曲啊
[00976.18-00976.86] 大家注意
[00976.86-00978.42] 我们在各地去考试的时候
[00978.42-00980.82] 确实有出现考过特别细的地方
[00980.82-00981.58] 所以这里面
[00981.58-00983.38] 所给大家去实际的这细节
[00983.38-00986.02] 同时一定要给它清晰的标注出来
[00986.02-00987.94] 这是我们所说的有关于
[00987.94-00990.34] 第一个我们所提到了这个经济
[00990.34-00991.90] 它的一个搭配的发展
[00991.90-00994.22] 请说到经济第二个比较喜欢考的
[00994.22-00995.46] 知识考察一个对用
[00995.46-00996.34] 什么的对用呢
[00996.34-00998.38] 第二个就喜欢在这里考察
[00998.38-01000.02] 经济它的代表做
[01000.02-01001.06] 大家来看一下
[01001.06-01002.26] 经济的代表做
[01002.26-01003.62] 在这里有很多
[01003.62-01005.22] 同样在收上做一个标注
[01005.22-01006.44] 他有的时候就会在这儿
[01006.44-01007.98] 以下关于细继说法
[01007.98-01009.26] 正确或错误的是
[01009.26-01011.66] 把很多经济毒用的这些内容
[01011.66-01013.62] 就给你放到其他的细继当中
[01013.62-01014.62] 那就不对了
[01014.62-01015.66] 那说老师
[01015.66-01017.18] 经济的群模那么多
[01017.18-01018.46] 我记不住怎么办呢
[01018.46-01019.30] 同样知道
[01019.30-01020.30] 如果我们记不住的时候
[01020.30-01021.10] 我们就记什么呢
[01021.10-01023.66] 我们就记每一个细继的风格
[01023.66-01025.18] 以及它的主要特征
[01025.18-01027.70] 你记住了它的风格和主要特征之后
[01027.70-01028.82] 你相对来说
[01028.82-01030.82] 到后面的时候去分剧种的时候
[01030.82-01032.74] 就会相对方便很多
[01032.74-01035.98] 我們來看一下在京聚黨中他的一個代表的巨目
[01035.98-01038.54] 你看像這裡面長板脫和關於有關的
[01038.54-01040.42] 對吧 全英會打進支
[01040.42-01044.02] 傾向連也諸林空城機後面最為主要的
[01044.02-01045.22] 你看一下這三個
[01045.22-01046.66] 霸王別機
[01047.22-01048.86] 梅蘭方大師創的
[01048.86-01050.66] 對不對 他自創的那段
[01051.18-01052.74] 五件自稳的那個地方
[01052.74-01053.46] 那簡直了
[01053.46-01054.10] 那只是
[01054.50-01055.86] 可以說是一絕 對吧
[01055.86-01056.50] 然後再一個呢
[01056.50-01058.34] 就是我們所提到的貴非最久
[01058.34-01059.62] 還有志祺為五山
[01059.62-01061.54] 大家都知道現在不多說
[01061.54-01063.34] 中国人山长对岸号
[01063.34-01065.14] 中国人山对岸号当中
[01065.14-01066.92] 致维股山当中是不是就有一个
[01066.92-01067.42] 阿号
[01067.42-01068.70] 小天王盖地虎
[01068.70-01070.18] 现在人说小激动模糊
[01070.18-01070.76] 对吧
[01070.76-01072.02] 我们说天王盖地虎
[01072.02-01073.18] 包塔政合妖
[01073.18-01074.34] 大家又听过这个
[01074.34-01076.14] 说连怎么黄了
[01076.14-01077.66] 房冷图了
[01077.66-01079.20] 连怎么又红了
[01079.20-01080.24] 精神换发
[01080.24-01082.34] 这里面其实是来自我们所说的
[01082.34-01083.30] 只学义虎山
[01083.30-01085.22] 甚至包括我们所提到的
[01085.22-01086.12] 沙加帮
[01086.12-01087.14] 包奏云没有听过
[01087.14-01088.82] 什么人意走查就凉
[01088.82-01089.70] 像这一种
[01089.70-01091.30] 经典的这样的一个唱端
[01091.30-01094.34] 且都属于我们所说的常见的精具类的
[01094.34-01095.02] 所以在这呢
[01095.02-01096.86] 同们对于精具的代表做
[01096.86-01097.86] 稍微有一个印象
[01097.86-01098.66] 只是第二个
[01098.66-01100.30] 需要同们去实际的
[01100.30-01102.30] 那第三个需要同们去记忆的呢
[01102.30-01103.46] 就是我们要知道
[01103.46-01104.10] 精具呢
[01104.10-01105.22] 它其实相对来说
[01105.22-01107.34] 它的城市化要求很多
[01107.34-01109.62] 它每一个地方都有一个标准
[01109.62-01111.54] 包括在精具的行道上
[01111.54-01112.86] 所以今天来来来来看一看
[01112.86-01114.42] 有关于精具的行道
[01114.42-01115.66] 精具的行道呢
[01115.66-01116.78] 是四大行
[01116.78-01117.78] 以前的是五个
[01117.78-01119.82] 叫生蛋精末仇 对吧
[01119.82-01121.62] 后来默尾吸收了
[01121.62-01124.18] 我们现在就变成了生蛋静丑
[01124.18-01126.30] 需要同时在生蛋静丑当中
[01126.30-01127.90] 这个地方去掌握的是什么呢
[01127.90-01129.42] 同时在旁边标主一下
[01129.42-01130.82] 有关于他的行道
[01130.82-01133.02] 他考察的网友就是对应
[01133.02-01134.90] 在这里就会考察他的对应
[01134.90-01135.54] 比如说
[01136.42-01137.58] 他在这里生
[01137.58-01138.74] 指的是哪些人呢
[01138.74-01140.82] 是男性觉在还是女性觉色呀
[01140.82-01142.62] 然后我们所说的蛋觉
[01142.62-01145.26] 他是在对应的是男性还是女性觉色
[01145.26-01146.86] 这里面蛋觉当中的
[01146.86-01149.06] 比如说我们经常看到在续续当中
[01149.06-01152.06] 头带猪罐的 看起来非常用容滑贵的
[01152.06-01154.66] 它属于担绝当中的哪一种呢
[01154.66-01156.18] 所以关于它的行道
[01156.18-01157.50] 它在考察的时候
[01157.50-01158.98] 它就会具体和考察
[01158.98-01160.78] 第一个就是行道
[01161.90-01163.62] 它的一个角色
[01165.70-01167.02] 性别的对应
[01168.78-01170.02] 这是第一种考察
[01170.02-01172.82] 第二种考察就是会在这里面去考察
[01172.82-01174.14] 具体的角色
[01177.74-01178.90] 具体角色
[01178.90-01181.14] 遇越具体
[01182.94-01183.74] 好像
[01185.14-01187.54] 他的一个具细节的画本
[01187.54-01188.70] 就是考的会更细
[01188.70-01189.82] 就像我刚才所说的
[01189.82-01191.54] 我说头上带出关的
[01191.54-01193.98] 他属于担绝当中的哪一种
[01193.98-01194.46] 对吧
[01194.46-01195.54] 如果在这个地方
[01195.54-01196.66] 他给到的竞绝
[01196.66-01198.02] 我们都知道竞绝是花脸
[01198.02-01200.10] 他代表的人物的性格
[01200.10-01201.58] 特色是什么样的
[01201.58-01204.14] 这里面就会考察更多的是细节
[01204.14-01206.38] 所以第一种考察是考察的相对来说
[01206.38-01207.34] 很关系
[01207.34-01208.22] 第二种考察
[01208.22-01210.86] 會扣住在我們所提到的細節考察
[01210.86-01212.70] 既然我們在這裡知道
[01212.70-01213.82] 經濟的航道
[01213.82-01215.18] 也是它的角色
[01215.18-01216.86] 它包括聲淡鏡頭
[01216.86-01218.74] 在這裡就要了解一下
[01218.74-01221.30] 這裡面的聲淡鏡頭分別是什麼
[01221.30-01222.58] 我們首先來看一下
[01222.58-01223.58] 在這裡面給大家
[01223.58-01224.74] 寫是一個圖片
[01224.74-01226.58] 這個圖片其實就是展展示的
[01226.58-01228.38] 我們所說的第一個航道
[01228.38-01229.78] 就叫做我們所說的聲
[01229.78-01231.02] 同樣在這裡把聲
[01231.02-01231.86] 標準出來
[01231.86-01234.90] 聲哪一般指的是男子的角色
[01234.90-01236.78] 它在這裡包括老聲
[01236.78-01240.92] 小生、五生 当然还有什么 像小孩一样的角色
[01240.92-01242.92] 麻化生 这也是有的
[01242.92-01243.94] 我们就来看一下
[01243.94-01245.68] 你看这里面有大白胡子的
[01245.68-01248.26] 一般大白胡子的这种 还有头带
[01248.26-01251.38] 也记得有那种 你看穿的就是很气
[01251.38-01252.38] 很有气迫 对吧
[01252.38-01254.70] 你看还有这里 在这里有个红色的
[01254.70-01256.14] 身上插着靠体的
[01256.14-01258.74] 还有这种我们所说的短靠五生
