[00000.00-00004.80] 好的,那我们在接在里来看一下无意体当中的第四个方面的一种
[00131.32-00134.92] 如果是在考試中特也好實正也好
[00134.92-00136.72] 他出現這些此的表述
[00136.72-00139.40] 你就選一個和人民有關的此就行了
[00139.40-00142.48] 那何人沒有關的子可能會出現人民本身這個子
[00142.48-00144.26] 或者出現民生
[00144.26-00147.20] 對吧 會或者出現我們所說的共同富裕
[00147.20-00149.64] 或者出現人民根本利益等等
[00149.64-00151.68] 反正出現一些定位子就要知道
[00151.68-00154.00] 你在選項中就一定要找一個何人沒有關的
[00154.00-00156.28] 那像這些定位子他其實都哪些呢
[00156.28-00159.12] 首先第一個我們來從頭往後旅
[00159.12-00160.40] 我們前面講到
[00160.40-00161.66] 無說我們國家的發展
[00161.66-00162.88] 除了到平提到的
[00162.88-00164.24] 以經濟建設為中心之外
[00164.24-00166.72] 我們一般提到說發展是以身為中心
[00166.72-00168.32] 我們都知道發展是也
[00168.32-00170.88] 人民美中心,所以谁谁谁谁谁为中心
[00170.88-00173.68] 除了到平的以经济建设为中心的那个动论
[00173.68-00176.76] 最开始在提到国家经济发展工作转移当中
[00176.76-00178.56] 是以经济建设为中心
[00178.56-00181.24] 其他在提到以生美中心都以人民美中心
[00181.24-00184.00] 最常见的,可能在现在呢我不太考了
[00184.00-00187.40] 在前进院的时候呢,我们再讲到文化建设的时候经常提到
[00187.40-00192.20] 说文化建设要以人民美中心推动文化体制的这样的一个不断创新
[00192.20-00193.92] 那你看,其实强调就是也
[00193.92-00197.40] 人民美中心,因为人民并就是这个国家的主人
[00197.40-00199.58] 是这个国家发展最起点
[00199.58-00201.88] 最根源最本质的这么一个东西
[00201.88-00203.20] 所以第一个我们提到
[00203.20-00204.20] 以身身为中心
[00204.20-00205.80] 打直到一人为中心
[00205.80-00207.64] 第二个我们看到了什么呢
[00207.64-00209.80] 什么叫做核心立场
[00210.52-00212.12] 同学们立场是什么
[00212.12-00214.72] 立场就是站在谁这一边
[00214.72-00216.36] 那你要站在谁这一边呢
[00216.36-00217.12] 提到立场
[00217.12-00218.56] 你就要站在人民这一边
[00218.56-00220.04] 所以提到核心立场
[00220.04-00222.36] 立场提到政治立场
[00222.36-00224.84] 你都要知道立场就是站在人民这一边
[00224.84-00226.60] 所以你就再提到那种选一个
[00226.60-00227.76] 和人民有关的
[00227.76-00229.16] 又或者我们提到什么
[00229.16-00230.16] 本质要求
[00230.16-00230.76] 你看
[00230.76-00233.24] 社会主义的本质是解放生产力
[00233.24-00234.36] 发展生产力
[00234.36-00236.20] 消灭博学消除两级分化
[00236.20-00237.24] 最重实现什么
[00237.24-00238.36] 共同富裕
[00238.36-00240.68] 共同富裕的本质是为了谁
[00240.68-00241.56] 为您
[00241.56-00242.84] 所以你看我们在
[00243.16-00244.64] 新发展里面当中提到了
[00244.64-00247.04] 叢心协调绿色开放共享
[00247.04-00250.96] 共享是实现社会公平争议的本质要求
[00250.96-00253.56] 所以本质回归到本人上合身有关
[00253.56-00254.44] 和人民有关
[00254.44-00256.28] 那这里可能就会考到我们所说的
[00256.28-00257.28] 共同服裕
[00257.28-00259.10] 又或者我們經常在體驗當中說
[00259.10-00261.00] 說我們國家政策一切的
[00261.00-00263.18] 根本出發點和落腳點呢
[00265.50-00266.92] 根本出發點
[00266.92-00269.12] 還有我們所說的落腳點
[00269.12-00271.56] 從誰出發又落到誰的身上
[00271.56-00272.18] 我們都知道
[00272.18-00275.00] 我們國家充分貫徹群眾路線
[00275.00-00275.44] 對吧
[00275.44-00277.40] 從群眾中來到群眾中去
[00277.40-00280.28] 所以我們國家政策的根本出發點和落腳點
[00280.28-00281.70] 也是落在誰身上
[00281.70-00282.76] 人民身上
[00282.76-00284.36] 又或者我們經常說說
[00284.36-00285.90] 在改革开放当中
[00285.90-00288.20] 我们在全民社会改革当中给大家提到过
[00288.20-00288.52] 对吧
[00288.52-00292.30] 全民社会改革要处理好改革发展和稳定之间的关系
[00292.30-00293.40] 因为我们说了
[00293.40-00295.20] 改革能够推动发展
[00295.20-00297.00] 但改革力度越大
[00297.00-00298.30] 社会稳定性越差
[00298.30-00300.08] 它是存在一个矛盾在的
[00300.08-00301.66] 那如何平衡这个矛盾呢
[00301.66-00303.50] 我们当时就可以给大家说到
[00303.50-00304.08] 我们说了
[00304.08-00307.04] 处理好改革发展云稳定关系之间的什么点
[00307.04-00308.16] 结合点
[00309.88-00312.16] 他们之间的结合点也在时的身上
[00312.16-00319.58] 人民身上,我们在前面10个名确到中给大家说了,我们在后面4个全面还会在给大家说,那这个是根本结合点
[00319.58-00322.92] 又或者我们提到了,我们国家发展的根本目的是为了谁呀
[00323.94-00327.26] 目的不是为了谁吗?对吧,根本目的也是为了谁
[00327.26-00334.70] 为了人民,所以你看,实现高制量发展要业解决,要隐瞒族人民日日一增长的美好生活需要为根本目的
[00334.70-00339.30] 对吧,所以看出现像根本目的章子,它一般也和谁有管,人民有管
[00339.30-00342.12] 朋友们要注意,这个点对我们来说帮助很大
[00342.12-00346.46] 帮助很大的原因就是第一个,它能帮助我们去巧妙的时间很多的
[00346.46-00347.50] 相应的支持点
[00347.50-00352.62] 如果说有一些内容,你灵散的去备,你发现它出现在不同的正测的建里面
[00352.62-00355.42] 我们再去备送和记忆的时候,压力就会比较大
[00355.42-00360.94] 但是我们如果把这一系列支持点,它的一个内在逻辑给它输立清楚之后
[00360.94-00364.14] 你再回头去备送和实际上,相对来说就会变得怎么样
[00364.14-00365.30] 比较简单了
[00365.30-00369.10] 所以在这里面,大家要明确,这是第一个,我们为什么要关注
[00369.10-00370.90] 民生在这里提到了
[00370.90-00374.30] 为民造福是立脑利工执政为民的本质要求
[00374.30-00376.70] 国家在发展政策的本质上
[00376.70-00378.06] 就是人民
[00378.06-00379.82] 所以我们才强调以人民为中心
[00379.82-00382.98] 我们才灌车群众路线是绑工作的根本路线
[00382.98-00384.14] 原因是在这
[00384.14-00385.94] 所以这是我们所说的第一个
[00385.94-00387.74] 为什么要关注民生
[00387.74-00390.22] 第二个我们就要在这里来详细看一看
[00390.22-00391.22] 我们所说了
[00391.22-00393.54] 民生民生就是老百姓的生活
[00393.54-00395.46] 老百姓都关注哪些问题
[00395.46-00397.26] 你看一下在收上他给到我们
[00397.26-00400.06] 說要必須堅權不用化這個不靠
[00400.06-00402.60] 必須堅權又有所藝學有所叫
[00402.60-00403.90] 老有所的並有所藝
[00403.90-00405.34] 老有所要住有所局
[00405.34-00407.50] 若有所服等方面
[00407.50-00409.14] 國家基本公佈服體系
[00409.14-00410.94] 建立而為亮利而行
[00410.94-00412.30] 然後增強
[00412.30-00414.78] 譜會性基礎性和多體性的民生建設
[00414.78-00415.50] 換句話說
[00415.50-00416.94] 我們所謂的這些民生建設
[00416.94-00418.10] 就是七個有所
[00418.10-00419.26] 從出生
[00419.26-00420.66] 一直到我們所說的什麼
[00420.66-00422.70] 到工作一直在到住房
[00422.70-00424.10] 一直在到我們所說的
[00424.10-00425.66] 最後國家針對於
[00425.66-00431.66] 比如说,全体应该怎么去帮服,都要去怎么样,都要去加野关注,这些都是民生建设,
[00431.66-00439.66] 你看在这些又有所欲,学有所叫老罗所的等等这几个方面,这些内容就是老百姓所最关注的什么,民生领域。
[00439.66-00446.66] 我们就来看一下,具体在这些老百姓最关注的民生领域当中,我们应该怎么做,首先来看一下第一个。
[00446.66-00450.66] 那对于整个名声教育来说现在我们比我关注的就是什么
[00450.66-00451.66] 就是教育的问题
[00451.66-00455.66] 说到教育的呆也知道这一年在政策上其实有很大的这样的一个变动
[00455.66-00457.66] 那最为明显的就是我们说的叫做T12
[00457.66-00459.66] 他进行了相一个改革
[00459.66-00461.66] 其实早在多少年前国家就要提到要什么
[00461.66-00463.66] 要双检政策
[00463.66-00464.66] 对吧
[00464.66-00465.66] 然后在双检政策之后呢
[00465.66-00466.66] 我们又开始提到了
[00466.66-00468.66] 有关于T12这种教育机构要全部都拿下
[00468.66-00470.66] 虽然他在落实的过程中呢
[00470.66-00472.66] 要一点一点去落实
[00472.66-00474.66] 但他其实是在本身上去解决
[00474.66-00476.46] 身上解决或回应了一个问题
[00476.46-00477.22] 什么问题呢
[00477.22-00479.98] 就是养运男和教育男的一个问题
[00479.98-00482.02] 大家都知道现在的这个教育资源
[00482.02-00483.78] 他在本身相对来说
[00483.78-00485.50] 他是不太平衡的
[00485.50-00487.14] 我们经常会看到说
[00487.14-00489.38] 我们普及了9年1.5的这样的一个教育
[00489.38-00491.78] 大家不要觉得说9年1.5这个教育普及
[00491.78-00492.98] 他就是应该的
[00492.98-00495.62] 我们来看一下现在在世界上的大多数国家
[00495.62-00497.62] 有很多地区上学
[00497.62-00499.22] 还是一些非常困难的事
[00499.22-00500.78] 对于我们现在来说
[00500.78-00502.58] 大家应该和我一样
[00502.58-00505.82] 相信大家家裡有相對來和家庭條件特別不錯的
[00505.82-00507.22] 但是應該和我大多數以後
[00507.22-00508.42] 一樣都是一個普通人
[00508.42-00509.98] 那對一個普通人來說
[00509.98-00512.34] 我們能夠在生活中
[00512.34-00515.10] 相對來說比較遍解的同時在其點上
[00515.10-00516.66] 也比較公平的情緒是什麼
[00516.66-00518.10] 就是我們所說的這樣
[00518.10-00520.18] 國家所給到的這樣一個教育機會
[00520.18-00522.90] 我們就讓提到說教育改變命運
[00522.90-00524.78] 其實本身不是教育改變命運
[00524.78-00526.62] 而是教育他其餘每個人
[00526.62-00528.42] 一個平等的這樣的一個機會
[00528.42-00530.02] 給了我們改變自己的可能
[00530.02-00531.46] 那如果說你說老師
[00531.46-00534.54] 那你看 我確實是上了這樣的一個大學了
[00534.54-00536.06] 對吧 我這個大學位上了
[00536.06-00537.42] 然後上了這個大學之後
[00537.42-00540.50] 我發現這個學校當中有很多的這個學生
[00540.50-00541.58] 他和我不太一樣
[00541.58-00543.22] 對吧 我是非常努力
[00543.22-00544.90] 我才靠上了這個清華北大
[00544.90-00546.30] 但是人家同小學的時候
[00546.30-00548.62] 就上了社國際學院等等
[00548.62-00549.74] 那承認我們會
[00549.74-00551.98] 所以才在後來的時候出現了一個詞
[00551.98-00554.26] 大家應該還記得就叫做小正作體家
[00554.26-00555.46] 但是大家注意啊
[00555.46-00557.14] 這個所謂的小正作體家
[00557.14-00560.34] 我們不應該把它變成我們生活當中
[00560.34-00561.66] 這樣的一個加速
[00561.66-00563.82] 就是說我們必須要承認的是教育資源
[00563.82-00566.02] 他確實是存在這樣的一個差異的
[00566.02-00568.34] 但是如果沒有這樣的一個教育的普及的話
[00568.34-00570.58] 人們改變生活和改變命運
[00570.58-00572.98] 這樣的一個突進其實就會變少
[00572.98-00574.42] 讓大家有說了
[00574.42-00575.70] 說老師們教育這個東西
[00575.70-00578.58] 他不會無非不就是要提高國民的基本素質
[00578.58-00580.94] 他也是為於變為了變於他的統治
[00580.94-00582.54] 但是同學們你反過來想想
[00582.54-00584.42] 他提升國民基本素質的本質
[00584.42-00586.70] 回歸到我們的日常生活當中對我們也是什麼
[00586.70-00587.46] 有意的
[00587.46-00589.94] 所以我們來看現在這個教育來看的話
[00589.94-00592.14] 我们会发现他非常的重要
[00592.14-00595.14] 他打破了某种程度上的信心冷断
[00595.14-00598.14] 给更多的平凡的人提供了更多的是吗
[00598.14-00598.94] 教育机会
[00598.94-00602.34] 而教育也恰恰是在这个国家发展过程当中
[00602.34-00603.54] 非常重要的
[00603.54-00605.34] 促进国家发展的这么一个点
[00605.34-00607.54] 所以你看无论是从国家发展层面上
[00607.54-00609.14] 还从老百姓生活来看
[00609.14-00611.34] 教育它都是非常重要的一个办法
[00611.34-00612.54] 所以在民生当中
[00612.54-00613.94] 我们现在就会提到的怎么样
[00613.94-00616.74] 要建设高治量的教育体系
[00616.74-00617.94] 那么就在第一个点
[00617.94-00619.22] 来看一下在教育道中
[00619.22-00620.82] 他都提到了哪些内容
[00621.86-00623.26] 首先第一个我们来看一下
[00623.26-00624.22] 同时标主一下
[00624.22-00627.58] 都是教育是民族陈星国家进步的什么
[00627.58-00628.58] 重要机尸
[00628.58-00629.90] 同时把教育化出来
[00629.90-00631.54] 把机尸化出来
[00631.54-00633.42] 那他同时又提到了说
[00633.42-00634.58] 建设教育成果
[00634.58-00636.18] 把教育成果标主出来
[00636.18-00639.18] 说是民族陈星的基础工程
[00639.18-00640.78] 同时把基础化出来
[00640.78-00643.26] 这两个点其实都在论数一件事
[00643.26-00645.78] 无论是对于教育这件事本身来说
[00645.78-00648.60] 还是我们国家想要打造教育强国这件事来说
[00648.60-00652.42] 这个教育在国家整体的发展当中起到的都是一个什么作用
[00652.42-00655.06] 都是一个基础和根基的这样的一个作用
[00655.06-00657.62] 因为我们都知道教育一方面改变我们的命运
[00657.62-00660.66] 但是教育它能对我对国家未来的发展来说
[00660.66-00664.62] 它还是培养下一代承弹这样的一个重要的责任
[00664.62-00665.02] 对吧
[00665.02-00666.50] 所以我们经常会说到一句话
[00666.50-00667.82] 同时在旁标主一下
[00667.82-00670.42] 就是教育它是民生之机
[00670.42-00676.56] 教育民生之机
[00676.56-00681.42] 对我们来说他其实就是我们所提到的一个基础性的工程
[00681.42-00684.38] 我们经常听到教育是公在当代的
[00684.38-00686.04] 对吧 百年数人的
[00686.04-00687.78] 他其实就是为了国家发展
[00687.78-00689.62] 去配合了很多的下一代
[00689.62-00690.90] 国家什么样子
[00690.90-00693.98] 之前我们经常看到在网上
[00693.98-00695.64] 很多人都有那种剪辑
[00695.64-00697.56] 在必在上经常说了这是什么呢
[00697.56-00699.04] 比如逼战解枋戴
[00699.04-00701.72] 就是简道和委人有关的一些视频
[00701.72-00703.84] 或者简道我们红阳社会主义
[00703.84-00705.76] 和一下如果让我们感到非常正好的这些
[00705.76-00707.76] 他还都不免回典局看一看
[00707.76-00709.44] 但是在这些视频当中
[00709.44-00711.24] 大家应该看到当面的毛约
[00711.24-00713.44] 也其实在有那么一个视频
[00713.44-00715.24] 也经常会在逼战上去有
[00715.24-00715.92] 他说什么呢
[00715.92-00718.44] 他说国家未来是你们的
[00718.44-00721.04] 那国家将来是你们的
[00721.04-00722.80] 以后也逼江是你们的
[00722.80-00723.08] 对吧
[00723.08-00724.12] 那他指的你们
[00724.12-00726.76] 其实恰恰就是指的这个国家的未来
[00726.76-00730.00] 國家是怎麼樣?就在於中國人民什麼樣?
[00730.00-00733.98] 國家的未來什麼樣?就在於中國未來的青年
[00733.98-00737.26] 中國未來的我們所說的國家的這一批又一批的
[00737.26-00739.56] 不斜了這些國家的人民是什麼樣?
[00739.56-00741.40] 那這個國家才是什麼樣子?
[00741.40-00744.60] 所以教育他就起到了這樣的一個培養的一個作用
[00744.60-00747.18] 所以在這裡無論從哪個角度來說,我們都說了
[00747.18-00749.96] 教育他是即使他是基礎
[00749.96-00753.12] 所以我們得出來一個解論,我們標準一下第一個,權益
[00753.12-00755.68] 我们说了教育叫做民生之机
[00755.68-00758.12] 他被称之为叫做百年大计
[00760.36-00761.88] 叫做百年大计
[00761.88-00765.52] 所以大家注意一下这是第一个我们所提到的教育的重要地位
[00765.52-00766.44] 大家要明确
[00766.44-00769.32] 第二个就是我们要明确
[00769.32-00771.24] 我们讲了这么多年的教育
[00771.24-00771.56] 对吧
[00771.56-00773.56] 我们以前老师说了教育要怎么样
[00773.56-00775.76] 要立得要交书预人
[00775.76-00777.48] 这是对老师提出来的要求
[00777.48-00779.40] 但现在跟家强教的是什么
[00779.40-00781.40] 教育要立得数人
[00781.40-00785.40] 那对于社会主义国家对于中国特色社会主义国家的我们
[00785.40-00788.60] 也就是对于中国来说中国教育的根本问题是要解决什么呢
[00788.60-00789.24] 话一下
[00789.24-00792.60] 中国教育的根本问题就是要解决培养人的问题
[00792.60-00794.20] 叫做培养什么人
[00794.20-00795.48] 怎样培养人
[00795.48-00797.80] 为谁培养人是教育的什么问题
[00797.80-00798.60] 根本问题
[00798.60-00799.24] 这个点呢
[00799.24-00801.56] 它其实不是出自于我们所说的十九大
[00801.56-00804.44] 它是在以后路路续续的文件当中取出来的
[00804.44-00808.20] 所以需要大家第二个明确的就是教育它解决的问题是什么
[00808.20-00810.20] 是培养人是制培养人的问题
[00810.20-00812.20] 第一個 培养什麼人 我們都知道
[00812.20-00814.36] 培养社會主義 接班人
[00814.36-00818.04] 第二個 怎樣培养人 我們提到了
[00818.04-00821.64] 德志提魅老全民發展 第三個
[00821.64-00824.12] 為誰培养人 為社會主義國家
[00824.12-00827.00] 建設培养人 為人民培养人才
[00827.00-00829.88] 所以對於國家來說 希望我們培养出來的人
[00829.88-00832.44] 是能夠扎跟在中國的土地上的
[00832.44-00834.44] 也希望我們新興苦苦培养出來的人
[00834.44-00836.84] 是能夠為老百姓 辦事事的
[00836.84-00839.24] 這才是教育的什麼 根本問題
[00839.24-00842.96] 所以教育上他要和社会主义方向保持一致
[00842.96-00846.80] 社会主义要求我们有为人民服务的人
[00846.80-00848.80] 教育教育培养出仗的人
[00848.80-00851.60] 所以在这里我们说了教育的根本问题就在于什么
[00851.60-00853.08] 就在于培养人
[00853.08-00855.12] 而培养人要解决的就是三个方面
[00855.12-00856.88] 培养什么人为谁培养人
[00856.88-00859.52] 以及怎样培养人的这个问题
[00859.52-00860.48] 那这是第二个
[00860.48-00863.68] 小达去明确达就教育的根本问题在于立德
[00863.68-00865.60] 那第三个就是在教育的
[00865.60-00867.24] 在教育的根本问题在培养人
[00867.24-00871.08] 第三个就是教育的根本 根本和根本问题不一样了
[00871.08-00873.38] 教育的根本问题是要解决派人的问题
[00873.38-00874.92] 而教育的根本是要什么
[00874.92-00878.00] 教育的根本是在于利德
[00878.00-00879.78] 我们经常说
[00879.78-00882.08] 在国家现在的用人标准上教的什么
[00882.08-00885.16] 叫做以德尾鲜任人为险
[00885.16-00886.96] 所以强调的就是什么 就是德行
[00886.96-00889.52] 你看包括现在我们在学习的时候
[00889.52-00891.06] 经常会听到老师
[00891.06-00893.10] 经常给大家说的一句话就是什么
[00893.10-00894.12] 就是告诉我们
[00894.12-00899.24] 说你要想做成功的人,你要做事,你要先学会做人
[00899.24-00904.88] 我们在之前的比如说在南黑大学当时有一个教授,他就讲过一句话
[00904.88-00909.04] 对吧,他说有得无材,什么呢?
[00909.04-00912.76] 叫有得无材,就是我们所说的正常人
[00912.76-00916.64] 我们像现在这样一个平反的人,所以他那个时候提到了
[00916.64-00920.04] 有关于人才的好像标准,他提到了三种情况
[00920.04-00921.32] 这三个情况就是
[00921.32-00922.34] 为他说一下
[00922.34-00924.28] 第一个情况就是他说的有德无材
[00924.28-00924.84] 对吧
[00924.84-00926.44] 第二个呢就是我们所提到的
[00926.44-00928.08] 他是有德有材
[00928.08-00930.28] 然后第三个呢他提到的就是什么
[00930.28-00931.24] 德材监辈
[00931.24-00934.76] 他当时能开大学他的这个教授
[00934.76-00936.28] 他当时做的这个课程
[00936.28-00937.20] 其实就是讲到了
[00937.20-00938.72] 叫做做人的层次
[00938.72-00940.52] 他说了德材监辈
[00940.52-00941.92] 胜人也
[00941.92-00943.48] 有德无材
[00943.48-00944.68] 均责也
[00944.68-00945.88] 无德无材
[00945.88-00946.84] 拥人也
[00946.84-00948.60] 无德有材
[00948.60-00949.76] 小人也
[00949.76-00953.00] 所以他後面才說了 孔子說了什麼 微小人難养
[00953.00-00956.08] 所以在這裡面你看 從做人的層次來看
[00956.08-00958.52] 德財堅對方為勝人
[00958.52-00961.92] 但是你還有德有財的人其實在大日常生活當中
[00961.92-00965.56] 像孔子像所受的尋子 孟子上的人
[00965.56-00967.80] 他都是幾百年可能能出那麼一個
[00967.80-00969.48] 對吧 所以像這種做勝人
[00969.48-00971.84] 他很難 他要求德財堅對
[00971.84-00974.56] 但大部分人可以做到什麼 可以做君子
[00974.56-00977.36] 君子是有德無財 君子也
[00977.36-00979.12] 如果無德無財 像我這種人
[00979.12-00980.40] 那我就是一个普通人
[00980.40-00981.68] 那可能可以做个拥忍
[00981.68-00984.32] 但是有才无得
[00984.32-00985.36] 变得小人
[00985.36-00986.80] 真是很危险的一种情况
[00986.80-00989.12] 所以无论从以前的文化演写
[00989.12-00992.40] 我们老组综对于人的这样一个品评来看
[00992.40-00994.80] 还是到现在国家的用人角度来看
[00994.80-00997.60] 在整个教育根本问题上他解决的这是在什么
[00997.60-00998.96] 就是在于德的问题
[00998.96-01000.80] 所以在这里他调调的就是什么
[01000.80-01002.48] 就叫做立德
[01002.48-01003.36] 这次立德
[01003.36-01005.92] 所以在这里大家要明确有关于教育的
[01006.72-01007.92] 三个方面问题
[01007.92-01010.08] 第一個 教育被稱為民生之機
[01010.08-01012.16] 第二個 教育要解決的根本問題
[01012.16-01014.24] 培養人就計關鍵詞
[01014.24-01016.12] 第三個教育的根本在原
[01016.12-01017.00] 例德
[01017.00-01018.00] 所以在這個地方
[01018.00-01019.68] 大家要知道這是我們所說的
[01019.68-01021.76] 有關於教育體系
[01021.76-01024.24] 建設的蓋數這三個方面問題
[01024.24-01026.24] 但是我們說了教育居然這麼重要
[01026.24-01027.84] 它承擔這位國家
[01027.84-01031.36] 培養後期發展人才的這樣一個重要責任
[01031.36-01032.84] 接下來我們要來看一下
[01032.84-01034.36] 在最新的使用文件當中
[01034.36-01035.64] 也是在二十大當中
[01035.64-01037.68] 它是如何論述教育的
[01037.68-01039.98] 在二十大的照那一个相应的观点里面
[01039.98-01042.86] 它没有单独的把教育这个词哪出来去说
[01042.86-01044.72] 反而是在国家未来发展建设当中
[01044.72-01046.92] 提到了一个点,这个点非常重要
[01046.92-01048.62] 同一们去给它做一个补充
[01048.62-01051.46] 说的是什么呢?说教育科技和人才
[01051.46-01053.60] 是全民建设数主义,现在化国家
[01053.60-01055.52] 英文国家的下一步就在于什么?
[01055.52-01056.42] 现在化上
[01056.42-01060.08] 说是全民建设数主义,现在化国家的基础性
[01060.08-01061.18] 战略性
[01061.18-01063.24] 知识偷兴的照那一个作用
[01063.24-01065.58] 所以在这里面,来看一下它说了
[01065.58-01070.70] 这三个内容是国家线的化界社的基础
[01070.70-01074.80] 叫基础性战略性的基础性战略性的支撑
[01074.80-01076.84] 首先教育刚刚说完
[01076.84-01079.66] 培养下一代的社会主义接班人
[01079.66-01081.20] 所以他起在一个什么
[01081.20-01083.00] 他起到一个基础和战略的作用
[01083.00-01085.80] 通知教育强国也是我们国家一向非常照顾的战略
[01085.80-01086.32] 对吧
[01086.32-01087.60] 第二个他提到了
[01087.60-01090.16] 教育他提到了另外一个点
[01090.16-01094.24] 除了教育之外在国家发展过程当中他提到要科技监术
[01094.24-01097.48] 那科技我們也知道科技是第一生產力
[01097.48-01102.88] 但是大家要知道我們國家要求的這裡面所提到的人才也好
[01103.88-01107.24] 我們回味道本質上我們提到的科技也好
[01107.24-01109.36] 我們提到的人才也好都從那來
[01109.36-01111.36] 其實都從教育當中來
[01111.36-01113.24] 所以他在二十大的時候
[01113.24-01115.68] 我們再去做重要的工作館
[01115.68-01118.56] 做二十大的這樣一個論述的時候才提到的時候
[01118.56-01123.56] 教育科技和人才是現代化介設的基礎性戰略性質稱
[01123.56-01125.04] 所以在这里面大家要明确
[01125.04-01127.04] 这是第一个在二次大当中
[01127.04-01129.92] 需要大家有关于教育内容相关联道
[01129.92-01131.76] 第二个就是在这里面明确
[01131.76-01132.48] 第二个点
[01132.48-01136.08] 这是我们经常会在国家为了发展当中提到3个第一
[01136.08-01138.56] 这3个第一就是第一个科技是第一
[01138.56-01139.36] 生产力
[01139.36-01141.28] 这道平挺同志提出来的
[01141.28-01143.24] 第二个人才是第一支援
[01143.24-01146.92] 你看我们现在HR叫做人类资源
[01146.92-01147.28] 对吧
[01147.28-01148.20] 这是管人的
[01148.20-01149.84] 你有一个人类资源部
[01149.84-01151.92] 所以在这里就把人看错了什么
[01151.92-01153.00] 一种资源
[01153.00-01155.56] 所以在这里面他才提到在国家发展过程中
[01155.56-01156.56] 人很重要
[01156.56-01158.08] 所以在人才是第一
[01158.08-01158.72] 资源
[01158.72-01160.12] 而创新是什么
[01160.12-01162.84] 创新是引领发展的第一动力
[01162.84-01164.28] 我们在前面给大家在讲
[01164.28-01166.68] 10个明确里面提到了新发展里面
[01166.68-01168.96] 是不是提到了创新是第一动脸
[01168.96-01170.76] 所以在这里面我们在这
[01170.76-01173.00] 必须要明确说科技是第一生产地
[01173.00-01174.28] 人才是第一资源
[01174.28-01176.60] 而创新是第一动力
[01176.60-01178.36] 所以国家就没让这有方面搞
[01178.36-01180.96] 科叫新国和人才强国战略
[01180.96-01182.96] 所以在这个地方大家要能够明确
[01182.96-01187.72] 就是有关于20大当中可能会和教育联�通的热点
[01187.72-01189.32] 所以在这,大家明确
[01190.00-01193.00] 这是民生当中,老百姓票关注的第一个问题
[01193.00-01194.48] 这是读书上学的问题
[01194.48-01196.12] 对吧,所以这个叫教育
[01196.12-01198.12] 那第二个呢,就是我们知道了
[01198.12-01200.24] 你读了这么多年的书上了这么多的学
[01200.24-01201.72] 你的本质还要回归到什么
[01201.72-01203.28] 社会发展当中去
