[00000.00-00003.00] 同一瞬好 我是結束新年的解瑞
[00003.00-00007.00] 今天我們就進入法律當中的刑法短塊的學習
[00124.72-00128.72] 第一个就是我们要知道形法针对的是犯罪行为
[00128.72-00132.60] 那不同的行为过程不同的犯罪要遇不同的行法
[00132.60-00134.76] 所以我们所说的这个形法
[00134.76-00136.76] 其实一直在讨论什么问题呢
[00136.76-00140.00] 就一直在讨论到底什么是犯罪
[00141.00-00142.80] 它到底是犯了哪些罪
[00142.80-00146.28] 这个就是我们所说的从他的行为来分析出来的
[00146.28-00147.00] 第二个
[00147.00-00148.68] 他如果共诚的这种犯罪
[00148.68-00151.04] 我们要对他试一什么样的形态
[00151.04-00152.32] 所以整个形态
[00152.32-00156.08] 他就是为让犯罪行为以及形态展开的
[00156.08-00157.84] 而我们了解什么是犯罪
[00157.84-00161.04] 我们把这个部分称之为叫做犯罪论
[00161.04-00163.72] 在犯罪论中我们就讲到什么是犯罪
[00163.72-00166.64] 小共诚犯罪他要哪些共诚要家
[00166.64-00169.12] 第二个我们知道了什么是犯罪
[00169.12-00171.12] 有没有一些事有的存在
[00171.12-00174.04] 可以阻振这个犯罪的成立呢
[00174.04-00177.64] 这个就叫做犯罪的什么排除市有
[00177.64-00181.36] 那么都知道犯罪它有时间上的构成有空间上的构成
[00181.36-00183.16] 随着时间的不断的推荐
[00183.16-00184.80] 犯罪的形态不一样
[00184.80-00187.36] 所以在犯罪当中我们来看一看在时间上
[00187.36-00188.80] 犯罪的哪些形态啊
[00188.80-00192.72] 如果在实施犯罪比如说我在实施抢节实施到切的时候
[00192.72-00194.32] 我找人一起来帮我
[00194.32-00197.68] 和我一起去实施犯罪抢节帮我的这个人
[00197.68-00199.76] 我应该怎么去评价他的行为呢
[00199.76-00202.98] 那这个时候就会在空间上出现分工问题
[00202.98-00206.12] 那这里就会涉及到我们所说的叫做共同犯罪
[00206.12-00207.96] 所以在整个形怀总论当状
[00207.96-00211.84] 我们最为核心的内容就是去了解什么是犯罪
[00211.84-00214.74] 在犯罪论论的当中要知道它的过程要加
[00214.74-00215.76] 怎么样做
[00215.76-00218.10] 那我虽然看起来实施了犯罪行为
[00218.10-00220.04] 但是出现什么样的情况
[00220.04-00221.96] 我可以把这个犯罪组确掉
[00221.96-00223.80] 我们叫做犯罪排除室游
[00223.80-00224.26] 对吧
[00224.26-00225.92] 那这个叫做犯罪论
[00225.92-00228.20] 那如果一旦根据犯罪论按照
[00228.20-00229.36] 相当的要件推定
[00229.36-00230.56] 它就是构层的犯罪
[00230.56-00232.84] 我们要几率它什么样的刑法呢
[00232.84-00235.12] 这个时候就会出现另外一个概念
[00235.12-00237.36] 就叫做我们所说的刑法论
[00237.36-00239.28] 所以刑法论的第一个就告诉我们
[00239.28-00240.64] 它如果实施了犯罪
[00240.64-00241.76] 我们可以怎么判谈
[00241.76-00242.72] 怎么处罚它
[00242.72-00244.84] 我们经常再网上看到杀人
[00244.84-00246.36] 怎么样一般都要诏命
[00246.36-00249.04] 所以我们常见的规杀人罪
[00249.04-00250.36] 情节严重惡劣的
[00250.36-00251.76] 我们可以出业死刑
[00251.76-00252.04] 对吧
[00252.04-00254.40] 大家经常听到死刑有757
[00254.40-00256.84] 那这些其实都是我们所说的什么
[00256.84-00259.66] 行法都守不所說的行法
[00259.66-00261.96] 那除了行法之外我們說了
[00261.96-00265.02] 一般情況之下我們考慮
[00265.02-00267.08] 他說如果實施了一個犯罪行為
[00267.08-00268.50] 非常嚴重情惡劣的話
[00268.50-00270.92] 比如說故意殺人罪署的基因財人的
[00270.92-00273.74] 這種情況之下我們就考慮可以給他定什麼
[00273.74-00275.28] 可以給他定死行
[00275.28-00276.56] 但是我們說了
[00276.56-00278.84] 法不外乎人情
[00278.84-00280.40] 法不外乎理
[00280.40-00283.72] 一個人是殺人行為的情況可能有很多
[00283.72-00286.92] 最近我看了一个电影就是同样太演的
[00286.92-00289.12] 同样他演了一个电影就是反对加报的
[00289.12-00290.32] 这个电影本身一般
[00290.32-00292.48] 但这个题材相对来说还不错
[00292.48-00295.44] 就是这个里面叫做我经历过风泡
[00295.44-00297.64] 然后在这个电影当中其实就讲了
[00297.64-00299.92] 这个长期经受加报的七字
[00299.92-00302.64] 以及同样是现在这个角色最后把它账互杀死了
[00302.64-00305.24] 然后在法庭省胖的时候最后判什么
[00305.24-00308.00] 你看他在这里也实施了一个什么
[00308.00-00310.16] 也实施了一个杀人性味
[00310.16-00312.48] 但是是不是一定要判出死刑呢
[00312.48-00313.36] 也不一定吧
[00313.36-00317.72] 因为在这个时候我们还要考虑到其他的一些影响形法的因素
[00317.72-00320.04] 这里面就会睡到另外一个问题叫做什么
[00320.04-00321.64] 就叫做亮形
[00321.64-00323.08] 所以在形法论当中
[00323.08-00325.80] 我们要知道我们国家的形法到底有哪些
[00325.80-00327.16] 第二个在亮形当中
[00327.16-00330.32] 我们要考虑到哪些因素或者是哪些情解
[00330.32-00333.68] 所以在这里面在形法论当中叫做定罪亮形
[00333.68-00337.12] 而在整个形化总论大家要明確
[00337.12-00338.84] 在总个形化总论当中
[00338.84-00339.96] 它在考试里面
[00339.96-00343.48] 他整体上在考察的题目当中会比较多元
[00343.48-00348.64] 他撤重在实际性的题目和理解性的题目并存考察
[00348.64-00352.76] 他如果考实际性的题目就是考察简单的背宋
[00352.76-00355.16] 比如说他记得这里面会考察我们
[00355.16-00357.12] 犯罪的过程要介绍那些
[00357.12-00359.76] 你下属于犯罪排除市油的事
[00359.76-00364.16] 你下属于犯罪形态的是他会考察一些基本概念
[00365.88-00368.16] 或者说是一本级些基本高策
[00368.16-00371.16] 那这些就是单纯的被送的只是
[00372.16-00373.96] 那小把这些支持点被送好
[00374.16-00376.96] 那我们还是一样的小被送清楚就必须待有一个什么
[00377.16-00379.16] 必须待有一个明确的狂价
[00379.36-00381.76] 这是他的基本购乘靠被送体
[00381.96-00384.96] 但是更多的会考一些理解型的题目
[00385.16-00386.76] 那这些理解型的题目当中
[00386.96-00388.96] 他就会给你赶励让你判断
[00389.16-00392.76] 说他到底属于犯罪寄罪还是犯罪未罪
[00392.76-00394.76] 还是犯罪中指还是犯罪于未呢
[00394.96-00396.36] 然后他就会又给你一个
[00396.36-00399.18] 说一个人他说是谁谁做了什么事
[00399.18-00401.02] 那他是属于间接证犯
[00401.02-00403.08] 还是属于我们所说的叫缩犯
[00403.08-00405.18] 还是属于我们所提到的帮助犯
[00405.18-00409.06] 那这里面在刑发总认当中又会考察一个案例
[00409.06-00412.74] 给你给案例让你去判断他到底属于拿着行为
[00412.74-00415.56] 所以在这里面就需要我们去理解了
[00415.56-00417.72] 所以针对于刑发总论来说
[00417.72-00419.00] 大家一定要明确
[00419.00-00420.94] 我们小做对理解刑的题目
[00420.94-00423.66] 在这里面一定要把知识点被送清楚
[00423.66-00424.80] 那还是一样的
[00424.80-00427.16] 对于形发总论我们要求的是什么
[00427.16-00429.48] 要求的是掌握它整体的
[00429.48-00430.44] 黄架
[00430.44-00433.64] 在这个框架当中你要掌握着相应的考验
[00433.64-00434.88] 也就是这个地方
[00434.88-00436.36] 我们要求权
[00436.36-00437.80] 有尽可能的吧
[00437.80-00440.40] 形发总论当中所涉及到的细节的考虑
[00440.40-00441.64] 全部都打通
[00441.64-00443.16] 而我们再去贝松的时候
[00443.16-00443.80] 一样的
[00443.80-00446.00] 就是沿着框架体序序序序序
[00446.00-00446.76] 这是第一个
[00446.76-00448.76] 是形发总论它的款式方式
[00448.76-00451.28] 而在形发分论的形发分论当中
[00451.28-00452.44] 它的考察方式
[00452.44-00455.12] 其实基本上就测动在理解形状考察了
[00455.12-00457.24] 而看它的网络就是给案例
[00457.24-00458.32] 让我们去判断
[00458.32-00460.08] 它到底属于什么罪
[00460.08-00462.12] 那在这里面我们要去分析
[00462.12-00463.92] 它属于什么样的犯罪
[00463.92-00465.36] 那我们在考试当中
[00465.36-00468.64] 就必须掌握住这些罪名的行为模型
[00470.20-00473.20] 而头前面有的时候再去去分的时候
[00473.20-00475.16] 就很容易把很多罪名搞毁
[00475.16-00477.16] 那我们怎么去去分这些罪名呢
[00477.16-00478.08] 同时一定要注意
[00478.08-00479.08] 它给你个案例
[00479.08-00480.56] 可能这一干案例当中
[00480.56-00484.24] 他会设计到多个行为人实施了多个行为
[00484.24-00487.36] 比如说我想要正常落户
[00487.36-00488.88] 我想要正常落户
[00488.88-00490.60] 你支持不给我办户口
[00490.60-00492.80] 于是我会给警察送钱
[00492.80-00493.64] 送了多少呢
[00493.64-00494.48] 家里不缺钱
[00494.48-00494.72] 对吧
[00494.72-00496.52] 假热给他送了100万
[00496.52-00498.72] 这里就要分别去分析
[00498.72-00500.80] 针对不同的行为人
[00500.80-00502.68] 他实施了不同的行为
[00502.68-00505.00] 他就可能够成不同的犯罪
[00505.00-00505.96] 所以在这里面
[00505.96-00506.88] 大家要注意一下
[00506.88-00509.56] 你想要分析他是否够从某种罪名
[00509.56-00512.00] 除了记住他的行为模型之外
[00512.00-00513.56] 同时们一定要记得
[00513.56-00514.60] 我们所说的
[00514.60-00516.04] 这个里面的行法分论
[00516.04-00517.40] 一定针对的是什么
[00517.40-00520.20] 一定针对的是行为去分析
[00520.20-00523.04] 所以我们才说了要记最名的行为模型
[00523.04-00525.48] 不同的人会实施不同的行为
[00525.48-00527.40] 体验当中如果出现了多个人
[00527.40-00528.92] 你想要把体验做对
[00528.92-00530.76] 你只要去把不同人的行为
[00530.76-00532.28] 都抽象玻璃出来
[00532.28-00534.48] 然后针对于这个人的行为
[00534.48-00536.68] 去看他构成什么样的罪名
[00536.68-00538.52] 同样有的时候在学行法的时候
[00538.52-00539.88] 会有一个很大围误区
[00539.88-00540.60] 就会认为
[00540.60-00542.48] 说老师我认为对象反昏
[00542.48-00543.76] 消色罪名
[00543.76-00546.28] 他就应该是没有什么区分或界限的
[00546.28-00548.24] 你如果把这个搞混小了声音味
[00548.24-00550.60] 你针对于这个犯罪的行为
[00550.60-00551.72] 没有理解头
[00551.72-00553.72] 所以一定要注意
[00553.72-00556.92] 形反他一定针对的是行为展开的
[00556.92-00558.52] 他针对的是犯罪行为
[00558.52-00560.92] 所以想要看他够不够称A罪
[00560.92-00562.16] 够够称B罪
[00562.16-00564.12] 一定是针对他的行为分析
[00564.12-00565.76] 而不同的行为人
[00565.76-00567.52] 实施不同的行为
[00567.52-00569.28] 可能会导致不同的罪名
[00569.28-00572.64] 所以体验当中出现了多个主体就要一个一个举分析
[00572.64-00577.24] 这是要打对或者做对刑法题非常重要的一个电案
[00577.76-00583.04] 所以这是我们所说的在这里给拉去讲书的整个我们所说的刑法
[00583.04-00587.96] 它的一个基本的框架以及如何去应对我们在考试当中
[00587.96-00591.36] 过程当中所见到的相当刑法题目
