[00000.00-00003.58] 好,我們看完了形法總論之後呢
[00311.12-00316.76] 基础的章子最继续刚才在刑法第一13条当中所说的第一种情况
[00316.76-00322.38] 就是因发生重大事故之中商货是死亡使公司财务
[00322.38-00324.44] 遭受巨大損失的
[00324.44-00327.00] 这个话确实是不太好好产塑
[00327.00-00329.56] 那这里面我们所说的就是这个
[00329.56-00335.70] 好吧 我在这里给大家画一个第一种情况就是这个就是我们所说的基础的这种情况
[00335.70-00339.78] 这种基础情况发生重大交通事故之中商货死亡
[00339.78-00342.30] 这里的重伤或者是死亡大家注意下
[00342.30-00345.26] 它一定是产生了相应的实害结果
[00345.26-00349.06] 如果发生交通照示没有产生重伤或者是死亡的话
[00349.06-00351.06] 它不構成交通照示罪
[00351.06-00355.66] 只是围反交通管理因数规定的行政相应的围发行为
[00355.66-00356.94] 所以在这里面我说了
[00356.94-00358.34] 小过程交通照示罪
[00358.34-00361.54] 第一个在这里面它一定会有实害结果
[00361.54-00362.34] 实害结果
[00362.34-00363.78] 这个实害结果的话
[00363.78-00365.34] 咱们在这里注意
[00365.34-00366.38] 它在这里面说了
[00366.38-00369.90] 想共成交通照示罪叫制人眾商或者死亡
[00369.90-00372.18] 他對於眾商或死亡的要求是什麼呢
[00372.18-00374.22] 大家注意一下一共分別三種情況
[00374.22-00378.06] 如果說發生了交通事故制一人死亡的話
[00378.06-00379.50] 那這種情況之下
[00379.50-00381.42] 共成交通照示罪
[00381.42-00382.94] 那如果沒有人員死亡
[00382.94-00385.34] 照成人員眾商那這種情況之下
[00385.34-00387.42] 要求的是眾商三人
[00387.42-00388.78] 所以我們一般情況說了
[00388.78-00390.18] 在十海界我當中
[00390.18-00393.58] 意思三種商共成交通照示罪
[00393.58-00394.90] 那還一種情況就是
[00394.90-00397.20] 如果他沒有造成
[00397.20-00399.46] 一人死亡也沒有造成三人種傷
[00399.46-00400.26] 在這種情況之下
[00400.26-00402.24] 他如果只是眾傷一人的話
[00402.24-00403.14] 他們注意下
[00403.14-00404.02] 眾傷一人
[00404.02-00406.00] 但是兵有嚴重情節的
[00406.00-00408.96] 也可以掉交通照時罪
[00410.24-00413.44] 眾傷一人兵有嚴重情節的
[00413.44-00415.18] 也可以掉交通照時罪
[00415.18-00416.90] 那這裡面的問題就在於
[00416.90-00418.70] 我們所說的這個嚴重情節
[00418.70-00419.42] 指的是什麼
[00419.42-00422.10] 比如說我們常見的酒店
[00422.10-00427.90] 那住一些是9架不是最下的或者是什么或者是独家
[00427.90-00430.86] 有人呢西岸独也可能去开车
[00430.86-00436.30] 但是那住一下西独容易治官呢所以他很容易导致交通照示或者是我们所说的什么
[00436.30-00437.50] 无照价是
[00437.50-00441.50] 你没有价照然后你在外面开车不小心把人装通通商了
[00441.50-00445.70] 这种情况之下被认为叫做重商医人并有严重清减
[00445.70-00448.10] 或者是我们所说的什么行为超在行为
[00448.10-00450.50] 这个车只能装5个人对不对
[00450.50-00452.50] 但是這個車看起來能裝無人
[00452.50-00453.98] 但在車裡裝了50個人
[00453.98-00455.06] 那這種情況
[00455.06-00456.78] 那造成了重大裝飾過
[00456.78-00458.82] 在行時的過程當中有人中商的話
[00458.82-00459.94] 也被認為是什麼
[00459.94-00462.02] 也被認為是嚴重情節
[00462.02-00463.98] 所以在第一種情況之下
[00463.98-00465.10] 發生重大交通社會
[00465.10-00466.62] 真中商或死亡的話
[00466.62-00468.86] 他要求必須產生實害結果
[00468.86-00470.58] 這個實害結果到底是什麼
[00470.58-00472.26] 需要同學們去給他記住
[00472.26-00473.62] 就是產生實害結果
[00473.62-00476.10] 要求一人死亡三種商叫一死
[00476.10-00478.90] 或三種商或一種商
[00478.90-00480.38] 半有特別嚴重情節的
[00480.38-00483.62] 这是在我们所说的第一个点 需要我们去掌握的
[00483.62-00488.70] 就是在我们所说的交通照示最当中的第一种基本情况
[00488.70-00492.86] 他要求符合第一个条件 就是要求我们有实害结果
[00492.86-00496.10] 所以这个实害结果 我在前面写了 在这里就为大家写了
[00496.10-00499.14] 我这把这个框架写在这
[00499.14-00501.90] 这是第一个要产生实害结果
[00501.90-00504.30] 那除了产生实害结果之外大家注意一下
[00504.30-00506.14] 共产交通照示最的话
[00506.14-00508.18] 他有要求 他的要求是什么的
[00508.18-00510.18] 他有主体和行为上的要求
[00510.18-00512.18] 如果说想要过程交通兆制罪
[00512.18-00513.26] 我们一般请按认为
[00513.26-00515.06] 交通兆制罪的行为主体
[00515.06-00516.98] 其实应该是司机对不对
[00516.98-00519.14] 就是比如说司机他在加车的时候
[00519.14-00521.22] 特别不小心把行人给撞上
[00521.22-00523.86] 撞成重伤或者是造成形式死亡的话
[00523.86-00525.46] 那正情向我们默认
[00525.46-00527.14] 开车的司机尾装价值
[00527.14-00528.90] 很容易召成交通事故罪
[00528.90-00529.86] 但是他注意
[00529.86-00532.10] 我们所说的交通事故罪
[00532.10-00534.34] 他的行为主体范围比较广泛
[00534.34-00535.54] 大家再旁边标一下
[00535.54-00537.30] 他不限于价实者
[00537.30-00541.30] 标准在旁边
[00541.30-00544.30] 他其实是不限于驾驶者的
[00544.30-00546.74] 也就是说非驾驶人员可不可能
[00546.74-00549.74] 够成交通照示罪也是可能的
[00549.74-00551.06] 同们想一下假设呢
[00551.06-00553.30] 我们经常在新闻当中看到正义情况
[00553.30-00555.30] 这是我做公交车
[00555.30-00556.74] 然后我做公交车的时候
[00556.74-00558.54] 公安车司机在另外开车
[00558.54-00559.98] 到战点之后他停了
[00559.98-00562.94] 他停了之后他提醒乘客下车
[00562.94-00564.70] 但乘客可能有一玩手机
[00564.70-00566.30] 打电话各种刚的原因
[00566.30-00567.72] 他就沒有下的了車
[00567.72-00570.12] 他沒有聽到司機師傅的提醒
[00570.12-00572.26] 於是隨時不以為沒有人下車
[00572.26-00573.44] 就把這個車繼續往前開
[00573.44-00575.78] 結果開到下一個戰點中間的時候
[00575.78-00578.30] 比如開到一個路口開到一個紅綠燈處
[00578.30-00579.94] 他不落戰點就不能停車
[00579.94-00582.10] 這時候有人發現我再上一個戰點
[00582.10-00582.94] 沒下車
[00582.94-00583.96] 於是他就開出來
[00583.96-00585.84] 師傅開車門收車不行
[00585.84-00587.76] 說我們這個規定不能隨便停車
[00587.76-00588.98] 但到下個戰點下了
[00588.98-00590.50] 結果腦袖承錄
[00590.50-00592.52] 只有玩不起的人在現生活當中
[00592.52-00594.26] 這種開玩笑的人是有特別的多
[00594.26-00595.78] 所以他就會去搶多
[00595.78-00596.62] 就放下牌
[00596.62-00597.26] 你看
[00597.26-00599.66] 就是经常我们在新的当中看到特别生气的
[00599.66-00600.38] 就是出现了
[00600.38-00601.62] 欧打加时人员
[00601.62-00603.14] 抢夺放下牌的情况
[00603.14-00604.86] 那这个他欧打加时人
[00604.86-00605.86] 抢夺放下牌的情况
[00605.86-00607.62] 数以造成一些意外交通事故
[00607.62-00608.82] 比如放下牌被抢走了
[00608.82-00610.14] 这个车他不受控制了
[00610.14-00611.50] 把行人给装商了
[00611.50-00612.46] 那这里面
[00612.46-00613.22] 你看
[00613.22-00613.70] 这里面
[00613.70-00614.78] 数是出现了
[00614.78-00615.86] 重大交通事故
[00615.86-00617.82] 是不是也在我们所说的什么
[00617.82-00620.58] 维反交通越书管理围定的情况之下
[00620.58-00622.10] 他出现了重大交通事故
[00622.10-00624.30] 如果造成一死三重上的话
[00624.30-00626.30] 这个时候也够成交红招式罪
[00626.30-00630.14] 只我这个交红招式罪大罪下是不是司机呀
[00631.14-00632.30] 不是 而是想
[00632.30-00634.66] 而是那个抢毒方向盘的人
[00634.66-00635.30] 明白了吧
[00635.30-00636.66] 就是这个成车人
[00636.66-00638.78] 所以司机在这种情况之下
[00638.78-00639.90] 大家注意一下
[00639.90-00642.58] 我们所说的不限于价视者
[00642.58-00643.42] 不限价视者
[00643.42-00645.02] 这个时候我们所说这个价
[00645.02-00647.10] 它是够成交红招式罪的
[00647.10-00649.42] 人家司机开水开个好好的
[00649.42-00651.10] 也是按照相应的规定来开的
[00651.10-00651.94] 这里面
[00651.94-00653.06] 你去强个人家方向它
[00653.06-00653.98] 有一位事故的话
[00653.98-00655.14] 那你就要承擅相擁
[00655.14-00656.14] 所以在这里面
[00656.14-00656.94] 大家明确
[00656.94-00659.54] 在整个交通照示最当中
[00659.54-00660.70] 它的行为主题里面
[00660.70-00662.34] 不限于价视者
[00662.34-00663.70] 也包括承车人
[00663.70-00664.70] 明确这个点
[00664.70-00665.58] 只是第1个
[00665.58-00666.98] 第2个它的行为主题
[00666.98-00668.18] 第3一个就是
[00668.18-00670.06] 想要顾承交通照示最
[00670.06-00670.62] 大家注意
[00670.62-00671.46] 交通照示最
[00671.46-00672.90] 它毕竟归纳道哪了
[00672.90-00674.98] 归纳道咱们形法大类当中的
[00674.98-00676.58] 危害公共安全罪
[00676.58-00678.42] 所以交通照示最
[00678.42-00679.78] 它的行程一般对于
[00679.78-00681.06] 它的行为地点
[00681.06-00682.26] 也是有要求的
[00683.06-00684.86] 同樣把它現在旁邊
[00684.86-00687.46] 對於它的行為地點也是有要求的
[00687.46-00689.86] 它的行為地點一定要求是在什麼領域
[00689.86-00692.46] 一定是在公共交通領域
[00696.06-00698.46] 把這個一定要不要就在旁邊
[00698.46-00702.26] 它的行為地點一定是要求在公共交通領域的
[00702.26-00704.26] 如果不是在公共交通領域
[00704.26-00707.26] 比如說不是在我們所說的告訴公路上
[00707.26-00711.86] 也不是在我們所說的城市當中的馬路上去形勢
[00711.86-00714.94] 这种情况之下我们被他把他称为叫公共交通留域
[00714.94-00717.24] 对吧就是看正常跑车的这些地方
[00717.50-00718.76] 都处于公共交通留域
[00719.02-00722.46] 如果你不是在公共交通留域什么国道相到省道
[00722.62-00725.18] 然后告诉公路上然后城市里面的正常记道
[00725.42-00727.48] 你不是在这些我们所说的
[00727.98-00730.42] 公共交通留域当中形使照人死亡的
[00730.54-00735.06] 那不能定为交通照示罪也就说只有在公共交通留域当中
[00735.16-00739.50] 你照示制众伤或死亡的才能够成交通照示罪
[00739.50-00743.42] 如果說你在一個道處都沒有人的鄉間小路上
[00743.42-00745.98] 對吧 或者是在你的小區裡面
[00745.98-00747.58] 然後你到車出酷的時候
[00747.58-00749.98] 你不小心把人給重傷了
[00749.98-00752.22] 或者是在這裡不小心把人給裝死了
[00752.22-00755.74] 那在這種情況下能不能構成交通照時最同一模像
[00755.74-00758.62] 不行 因為交通照時最大的要求非常明確
[00758.62-00760.62] 他必須是在公共交通的女兒
[00760.62-00762.38] 你自己那個小區的地下車庫
[00762.38-00763.26] 你家自己的車庫
[00763.26-00765.26] 他算不算公共交通的女兒不算
[00765.26-00768.54] 那說老師 那他如果不算公共交通的女兒的話
[00768.54-00770.18] 他在这里面把人众伤了
[00770.18-00771.42] 或者是质人死亡了
[00771.42-00772.74] 他就不承担责任了吗
[00772.74-00773.86] 要承担责任
[00773.86-00774.94] 只过这个时候
[00774.94-00776.46] 他承担的不是交通
[00776.46-00777.74] 照式罪的责任
[00777.74-00779.82] 而是过失质人众伤
[00779.82-00781.30] 或者是死亡的责任
[00781.30-00782.02] 明白了吧
[00782.02-00784.14] 所以在这里面大家一定要明确
[00784.14-00785.26] 在这个点里面
[00785.26-00786.30] 他所给到的
[00786.30-00788.94] 基础型的这种交通照式的这种情况
[00788.94-00789.78] 你一定要明确
[00789.78-00790.54] 他分成
[00790.54-00791.74] 他需要我们重点掌握
[00791.74-00792.98] 三个方面的内容
[00792.98-00794.90] 这三个方面的分别就是第一个
[00794.90-00796.70] 他必须产生实害结果
[00796.70-00798.30] 如果没有实害结果的话
[00798.30-00801.50] 他就不能进入到犯罪的领域 刑法不规定
[00801.50-00804.30] 那就是交通道路管理法的
[00804.30-00806.30] 想要求刑政法的要求了
[00806.30-00808.30] 所以第一个必须产生实在结果
[00808.30-00810.30] 你要知道实在结果是啥来
[00810.30-00812.90] 一死三重生 或者是一人中上
[00812.90-00813.90] 拌有严重刑结
[00813.90-00817.10] 严重刑结包括酒酱 而非最酱
[00817.10-00818.30] 这个点一定要注意
[00818.30-00821.10] 第二个就是毒酱 吸毒酱是
[00821.10-00823.70] 或者是无证加时 或者是什么 超在
[00823.70-00827.10] 这种情况之下 他造成实在结果的过程交通兆石罪
[00827.10-00829.82] 第二个就是交通照示罪的行为主体
[00829.82-00832.30] 我们在基础形容的这个犯罪当中认定了
[00832.30-00835.42] 交通照示罪的行为主体不限于价视者
[00835.42-00836.78] 也可以是承车人
[00836.78-00838.86] 也可以是价视者和承车人
[00838.86-00841.18] 购成交通照示罪的共同犯罪
[00841.18-00842.54] 这个点是有可能的
[00842.54-00843.66] 所以这行为主体
[00843.66-00845.02] 第三一个行为地点
[00845.02-00846.46] 因为毕竟交通照示罪
[00846.46-00848.94] 它是为还公共安全的犯罪
[00848.94-00850.70] 所以在交通照示罪当中
[00850.70-00851.98] 大家一定要明确
[00851.98-00854.22] 它要求是在公共交通的女余
[00854.22-00855.58] 如果是私人留与婚
[00855.58-00857.22] 這種情況之下可不行
[00857.22-00860.82] 所以這是我們所說的第一個交通照示最低於這種情況
[00860.82-00862.22] 大家注意一下 基礎情況
[00863.10-00863.98] 這是第1種
[00863.98-00865.34] 第2種情況是什麼呢
[00865.34-00866.98] 第2種情況在這裡他說了
[00866.98-00870.46] 說交通運輸照時候什麼
[00870.46-00873.62] 討議 討論把這個話出來標準一下 協商
[00873.62-00876.94] 話上播放線 叫做照時候討議
[00876.94-00879.94] 大家注意 照時候討議他特質的是什麼呢
[00879.94-00881.62] 我把它情況起在這
[00881.62-00885.02] 这个招式就不太好写
[00885.02-00893.66] 招式后讨议你要明确这个招式后讨议他会在体验当中给你提示的特别明显
[00893.66-00896.98] 招式后讨议就是你把人撞烧了对吧你还跑了
[00896.98-00903.58] 那这个时候只能是要从中处罚的所以他是交通招式最的法定生个法定型生个条件之一
[00903.58-00908.14] 就是叫招式后讨议所以你看他的基础形是三天以下
[00908.14-00910.96] 但是如果说你交通赵之后跑了啊
[00910.96-00912.30] 你这种情况之下怎么样
[00912.30-00914.50] 升格到三年到七年有趣图形
[00914.50-00916.34] 所以这个叫交通赵之后逃遗
[00916.34-00916.90] 大家注意啊
[00916.90-00918.50] 它的逃遗的目的是什么呢
[00918.50-00919.58] 你在旁边标注一下
[00919.58-00922.26] 它是为了逃遗法律追究而逃跑
[00924.26-00925.46] 为逃遗
[00927.42-00928.26] 法律
[00929.86-00930.82] 追究
[00932.74-00933.74] 而逃跑
[00935.42-00937.58] 就是明明知道啊
[00937.58-00939.38] 这个你明明知道你做的
[00939.38-00940.78] 你已经交通照示了
[00940.78-00941.66] 把人重伤了
[00941.66-00942.70] 你这个时候还跑
[00942.70-00943.94] 你是怕单子
[00943.94-00944.78] 那这里面
[00944.78-00946.78] 他会在提案当中写的非常明确
[00946.78-00948.70] 说谁谁在加车形式期间
[00948.70-00950.38] 由于什么他困了又怎么样
[00950.38-00953.90] 他不小心在那个路过这个空灯的时候
[00953.90-00954.94] 把行人给装了
[00954.94-00956.30] 他说把行人装上之后
[00956.30-00958.46] 他怕承担相的法律责任
[00958.46-00961.50] 于是他就把行人人放在那儿跑了
[00961.50-00962.86] 上车开车走了
[00962.86-00964.54] 那正情话这下开车属于什么
[00964.54-00966.30] 交通照时后讨议
[00966.30-00969.64] 他在提案当中会非常明确点
[00969.64-00972.42] 就是我们所说的交通照时候
[00972.42-00974.94] 这是我们所说的交通照示劲的第二种情况
[00974.94-00976.90] 就是他明知道他撞了人了
[00976.90-00977.72] 然后他还跑
[00977.72-00979.42] 明知道发生了交通事故了
[00979.42-00979.94] 他还跑
[00979.94-00982.86] 那正时候就变成了交通照示后讨议
[00982.86-00985.50] 交通照示后讨议他也属于
[00985.50-00986.98] 交通照示罪
[00986.98-00989.70] 只不过他的主观恶心会更大
[00989.70-00992.10] 这个时候他的主观恶心这么大的话
[00992.10-00994.82] 那这个时候他的形势就要严重一些
[00994.82-00995.74] 所以在这里面
[00995.74-00997.94] 他是未逃避法律追究而逃逃
[00997.94-00999.22] 这是第二种情况
[00999.22-01000.70] 就要招式后逃一
[01000.70-01001.94] 第三种情况是什么呢
[01001.94-01004.74] 我们标准一下叫因逃一支死亡的
[01008.46-01010.10] 叫因逃一支
[01010.10-01011.54] 支人死亡
[01013.26-01014.38] 那这种情况是下
[01014.38-01015.70] 是否主观恶心更大
[01015.70-01017.42] 因逃一支死亡的话
[01017.42-01018.62] 它这种情况
[01018.62-01021.14] 升个形式7年到15年有去图形了
[01021.14-01022.74] 就是它不是主观恶心更大
[01022.74-01024.50] 什么叫因逃一支死亡呢
[01024.50-01026.30] 這是你把人給撞了
[01026.30-01028.10] 對吧你明知道你把人給撞了
[01028.10-01029.62] 然後在這種情況之下
[01029.62-01032.30] 你複有一個就這個人的什麼
[01032.30-01033.90] 就住的義務
[01033.90-01036.02] 但是你沒有去救他
[01036.02-01037.58] 於是導致這個人因為
[01037.58-01039.46] 沒有辦法得到及時的就治
[01039.46-01040.06] 最後死了
[01040.06-01041.26] 那這有時候你就屬於
[01041.26-01042.42] 因討議之死吧
[01042.42-01043.06] 大家注意呀
[01043.06-01045.22] 交通照時候討議和因討議之死吧
[01045.22-01046.26] 它不是一回事
[01046.26-01048.50] 交通照時候討議的目的是為了什麼
[01048.50-01050.50] 是為了躲避反律追究
[01050.50-01051.82] 而因討議之死
[01051.82-01053.62] 當中這個討議討避的是什麼
[01053.62-01055.62] 是逃避救人一武
[01057.62-01061.62] 是逃避救人一武
[01062.62-01063.62] 而真死亡
[01067.62-01069.62] 因逃避救人一武
[01069.62-01070.62] 把救人一武给他花出来
[01070.62-01072.62] 因逃避救人一武而真死亡的
[01072.62-01074.62] 那这种就是我们所说的
[01074.62-01077.62] 交通照使叫因逃避之死亡
[01077.62-01079.62] 它其实在这里面是有一个
[01079.62-01080.62] 因果关系在的
[01080.62-01082.62] 比如说你看局设
[01082.62-01084.70] 举设加设计设举个例子
[01084.70-01086.90] 这个时候小假吧
[01086.90-01089.38] 小假在下班回家的路上
[01089.38-01090.58] 他熬了一个大晚上
[01090.58-01090.98] 对吧
[01090.98-01091.86] 就公司有项目
[01091.86-01093.14] 然后他有A加班
[01093.14-01094.06] 非常困扰特御了
[01094.06-01095.70] 但是还是想回家睡一觉
[01095.70-01098.18] 然后加班到0成2.3.0的时候
[01098.18-01099.18] 工作中一晚上
[01099.18-01100.42] 已经困得不行了
[01100.42-01102.26] 这个时候他就想按摄干净开始回家吧
[01102.26-01104.18] 结果没想到开上车之后更困
[01104.18-01107.54] 然后在这个红农下面就不小心闯了红灯了
[01107.54-01109.10] 这个时候这话有个形容如果
[01109.10-01112.58] 他就不顺把这个形容人给撞到
[01112.58-01114.58] 把这个形人撞到之后
[01115.58-01116.58] 他下车一看
[01116.58-01117.58] 一检查
[01117.58-01118.58] 刷要这个人
[01118.58-01120.58] 已经当时就躺在那儿一动不动了
[01120.58-01121.58] 他当时他就想把了完了
[01121.58-01122.58] 对吧
[01122.58-01123.58] 这下完了
[01123.58-01125.58] 这下他想就是把人给撞死了
[01125.58-01126.58] 然后他就私下看了一下
[01126.58-01127.58] 觉得怎么样
[01127.58-01128.58] 私下没有人
[01128.58-01130.58] 所以在这里面他就觉得
[01130.58-01131.58] 反正他也没死
[01131.58-01132.58] 对吧
[01132.58-01133.58] 他私下也没有人
[01133.58-01135.58] 然后也不知道有人是他撞的
[01135.58-01136.58] 他说
[01136.58-01137.58] 这个时候小姐就跟这个被撞到人
[01137.58-01138.58] 说对不起
[01138.58-01140.58] 说我也不是故意的不就你
[01140.58-01142.58] 你就是救了你賣贊和我呢
[01142.58-01144.38] 然后他就上车跑了
[01144.38-01146.58] 结果这个被撞的人当时没有撞死
[01146.58-01147.18] 对吧
[01147.18-01148.78] 他以为他没有确实怎么样
[01148.78-01149.86] 但是他就觉得他
[01149.86-01151.08] 你看他手动了一下
[01151.08-01152.38] 他就以为他没有撞死
[01152.38-01153.38] 然后这个人呢
[01153.38-01155.58] 就在这个大马路上躺一旗
[01155.58-01158.38] 然后因为没有得到即使的救治而死亡
[01158.38-01160.18] 那这种情况之下就属于什么
[01160.18-01164.08] 这种情况之下就是他属于逃避救助意误
[01164.08-01166.18] 就是他的照视行为在前面
[01166.18-01168.38] 他的照视行为在前面给他带来的结果
[01168.38-01170.28] 就是他必须复有一个救人的意误
[01170.28-01172.68] 他经过没救,经过没救这种情况之下
[01172.68-01176.44] 人家因为他的没救而死亡,那这种情况下就属于
[01176.94-01180.28] 银头叶直死亡,你还像这种案例
[01180.52-01188.40] 在现实生活当中,还是有的,有的时候我们想象不到,交通照时人,当时的心态是什么?
[01188.40-01191.48] 你看有的人他不解说是把人状况重伤了
[01191.48-01192.68] 他为了逃避救助衣服
