[00000.00-00006.54] 好的,我们看完了飞机属元素以后,我们来看一下第二个部分,就是常见的金属元素
[00435.72-00436.80] 這個時候
[00436.80-00438.00] 空氣潮食
[00438.00-00439.86] 同時空氣當中有充足的養氣
[00439.86-00440.72] 這時候鐵
[00440.72-00442.32] 它發生氧化
[00442.32-00444.96] 反映了這種程度就可以更加距離鞋
[00444.96-00447.16] 但西北地區天氣相對來說
[00447.16-00448.20] 乾燥很多
[00448.20-00449.40] 空氣當中的水分
[00449.40-00450.80] 其實沒有那麼充足的
[00450.80-00452.44] 就情況之下
[00452.44-00453.20] 鐵
[00453.20-00454.72] 它保存在
[00454.72-00456.00] 我們所說的西北地區
[00456.00-00457.60] 它的腐石速度就會比
[00457.60-00459.84] 西南地區要慢很多
[00459.84-00461.12] 所以在考試的時候
[00461.12-00462.88] 还考察过这样的一个电
[00462.88-00464.48] 就是有关于调的保存
[00464.48-00466.88] 大家知道这是我们所说的
[00466.88-00467.60] 第一个电
[00467.60-00468.88] 需要我们去掌握的
[00468.88-00472.08] 第二个电在体缘素或者是我们所说的铁
[00472.08-00475.24] 包括它的一些化和物等等
[00475.24-00476.24] 它要掌握的是什么呢
[00476.24-00478.16] 就是要掌握三个东西
[00478.16-00481.28] 这三个东西分裂是第一个叫做纯铁
[00482.56-00484.32] 第二个就是刚
[00485.04-00487.28] 第三一个就是生铁
[00487.28-00490.16] 在这里面会考什么呢?
[00490.16-00495.18] 考他们三个的特性,以及他们三个的韩摊量,以及他们三个的印度。
[00495.18-00499.18] 首先我们来看一下第一个就是纯币,说上其实有说到纯币。
[00499.18-00503.28] 他们的纯币,我们标注一下是隐白色的,有金属光泽,
[00503.28-00508.28] 所以在纯币这块写上隐白色,隐白色有金属光泽。
[00508.28-00512.48] 而纯币大家注意一下,它的制定其实是比较软的。
[00512.48-00514.78] 如果这个东西它是纯币的话,
[00514.78-00519.12] 我们其实可以用手就可以把这个纯贴去给它掰完
[00519.12-00521.00] 所以它的制地相当远是比较软
[00521.00-00522.38] 它为什么制地这么软呢
[00522.38-00524.78] 是因为它的喊叛量非常的低
[00524.78-00527.16] 纯贴的喊叛量大注意下
[00527.16-00531.58] 纯贴的喊叛量是小于0.02
[00531.58-00533.42] 所以喊叛量越低
[00533.42-00534.94] 用度就会越低
[00534.94-00536.80] 这个就是纯贴
[00536.80-00538.78] 那比纯贴用度高的是啥呢
[00538.78-00540.12] 是我们要提到的高
[00540.12-00540.58] 你看
[00540.58-00542.22] 这说高是喊叛量
[00542.22-00544.42] 质量喊叛的质量百分比
[00544.42-00545.76] 我们就解锁喊太亮了
[00545.76-00548.44] 喊太亮是在0.02到12.04
[00548.44-00550.78] 之间的啥铁的核筋
[00550.78-00552.36] 所以在这里面我们就知道
[00552.36-00554.16] 刚它是铁核筋
[00554.16-00556.04] 作为铁核筋的话
[00556.04-00559.74] 它的应度就一定会比纯铁要又很多
[00559.74-00561.78] 所以它的制地就应
[00561.78-00564.28] 那制地就应用就是因为它的什么比较高
[00564.28-00565.74] 它的喊太亮比较高
[00565.74-00568.12] 所以在这里我们注意喊太亮
[00568.12-00570.22] 在书上可以给它标注出来
[00570.22-00572.72] 我为了给大家去对比的比较清晰
[00572.72-00573.72] 所以我就写在这了
[00573.72-00576.66] 这00.0.2到我们所说的
[00576.66-00579.42] 数上给到的2.0.4之间
[00581.64-00583.84] 这个是我们所说的刚
[00583.84-00585.54] 我们常掉的刚案
[00585.54-00586.84] 它其实分成两种
[00586.84-00588.28] 一种是探数刚
[00588.28-00589.68] 一种是合金刚
[00589.68-00591.24] 我们需要在这里中年长度的
[00591.24-00592.56] 就是合金刚
[00592.56-00593.68] 合金刚
[00593.68-00594.68] 不要常见的
[00594.68-00597.28] 其实就是我们经常看到的
[00597.28-00598.30] 不需刚
[00598.30-00599.32] 家里应该都有
[00599.32-00600.28] 那种小刚盘
[00600.28-00602.16] 那种轻色
[00602.16-00604.36] 这个轻色有几书光泽的小钢盘
[00604.36-00605.56] 然后那个盘叫地上
[00605.56-00607.28] 就不然这一只这么想
[00607.28-00607.56] 对吧
[00607.56-00609.56] 这个其实就是我们常见的不修钢
[00609.56-00610.92] 所以它说是有句话
[00610.92-00612.00] 说不修钢
[00612.00-00614.40] 它在这里面是我们所说的核金钢
[00614.40-00615.36] 然后给到了很多
[00615.36-00616.56] 它很什么样的特性
[00616.56-00617.08] 不修钢
[00617.08-00618.16] 不容易上修嘛
[00618.16-00620.48] 所以在这里面就是内附时内热
[00620.48-00621.56] 所以在这个地方
[00621.56-00623.68] 大家注意一下第二个就是钢
[00623.68-00624.64] 那这个钢呢
[00624.64-00626.80] 它会有一个考察点在这里面
[00626.80-00627.92] 什么考察点呢
[00627.92-00630.56] 除了考察它的碳含量和它的治理之外
[00630.56-00632.00] 还竟然会考察一种
[00632.00-00634.00] 成余或者考察生物现象
[00634.00-00636.70] 这成余或生物现象就是百练成高
[00639.40-00641.90] 他说百练成高的原理是什么呢
[00641.90-00646.90] 说百练成高就是让这个金属当中的判和养弃
[00646.90-00650.50] 在高温断烧的情况下生成二花探
[00653.90-00655.04] 那这种情况之下
[00655.04-00656.38] 二花探生成之后
[00656.38-00659.50] 那判的海量就会下降
[00659.50-00665.10] 是不是这个道理当然是把接触当中的探让它和养气翻上反之后
[00665.10-00666.86] 是不是探的海量就会怎么样
[00666.86-00668.14] 就会下降
[00668.14-00669.38] 那同时来看一下
[00669.38-00672.70] 在这里面就是我们常说的叫百练成钢
[00672.70-00673.82] 这百练成钢
[00673.82-00675.82] 所以在这个地方大家要明确
[00675.82-00677.42] 这是我们所提到的
[00677.42-00679.10] 第二个点就是钢
[00679.10-00680.86] 所以在钢身上两个考订
[00680.86-00681.90] 大家一定要注意
[00681.90-00683.82] 第三个就是生体
[00683.82-00684.54] 大注意一下
[00684.54-00687.10] 我们总感觉说生体好像和纯接很像
[00687.10-00688.42] 但其实一点不一样
[00688.42-00691.10] 商铁是在这三种物质当中
[00691.10-00693.54] 它的汤汉量是最高的
[00693.54-00695.46] 所以它的汤汉量是多少呢?
[00695.46-00695.86] 是
[00695.86-00697.10] 我简单写啊
[00697.10-00698.50] 就是它的汤汉量
[00701.50-00703.66] 是大于百分之二点五的
[00703.66-00705.02] 当然也有的一些
[00705.02-00706.06] 书上写的说
[00706.06-00707.78] 它是大于百分之二点零四的
[00707.78-00708.66] 这个都没有问题
[00708.66-00710.14] 就知道它是最高的就想
[00710.14-00711.82] 它是百分之二点五到百分之四
[00711.82-00714.02] 所以它是在这里面是制定怎么样
[00714.02-00715.70] 比前两个好用的
[00715.70-00718.98] 所以它的制裂監用而它的考戀
[00718.98-00721.86] 其实就是在于这个寒太亮的多少上
[00721.86-00726.14] 寒太亮越高在这里面它的应度就会越高
[00726.14-00728.62] 那这个地方它会给到另外一种说法
[00728.62-00729.34] 同时注意一下
[00729.34-00731.90] 这是在这里面它给到还有一个考察点
[00731.90-00735.50] 就说纯体和刚它的借线在内
[00735.50-00738.22] 大家知道纯体和刚的借线就是0.02
[00738.22-00740.22] 百分比的寒太亮就可以了
[00740.22-00742.22] 所以这是在体也当中
[00742.22-00743.86] 我们需要掌握的三个概念
[00743.86-00746.74] 而当时考过一道题目考的是啥题呢
[00746.74-00747.82] 考的是判断题
[00747.82-00749.06] 当时判断题呢
[00749.06-00750.90] 说的就是这个刚和生体
[00750.90-00752.90] 它的喊叹量的这样一个比较问题
[00752.90-00754.10] 所以大家要注意一下
[00754.10-00755.70] 这是我们第三个技术
[00755.70-00759.30] 就是体验以及它的核斤
[00759.30-00761.78] 好 那这是我们所说的第三个
[00761.78-00762.98] 那么来做一道题吧
[00762.98-00766.42] 说下来各种现象原理解释的错误的事来看
[00766.42-00768.22] 而且想说百练成功啊
[00768.22-00772.66] 说体中的叹和养弃也经过反应生成二话叹
[00772.66-00774.34] 其函太亮降低
[00774.34-00776.06] 这说法是正确的
[00776.06-00777.22] 也就是把生铁
[00777.22-00779.22] 经过高温段烧之后
[00779.22-00781.22] 然后让它的函太亮降低
[00781.22-00782.66] 最后是不是就会变成刚
[00782.66-00784.62] 所以A选项说法正确
[00784.62-00786.42] 必须像彩虹
[00786.42-00788.66] 彩虹咱们在物理之时说讲过
[00788.66-00790.42] 说阳光射到空气当中
[00790.42-00791.70] 几乎求形的水滴
[00791.70-00793.10] 没问题咱们当时说了
[00793.10-00795.70] 空气当中的阳光射在水滴上之后
[00795.70-00797.86] 在空气和水的零件面上
[00797.86-00799.82] 会发生一次偏折
[00799.82-00803.10] 再水的内部会发生一次反射
[00803.10-00806.42] 又到了零件面的时候光显要出水
[00806.42-00808.46] 就会发生一次偏折
[00808.46-00812.10] 彩虹的形成是在零件点出发生折射
[00812.10-00815.10] 再水的水内发生反射
[00815.10-00818.82] 所以说它的形成是一次反射
[00818.82-00821.46] 两次折射形成的
[00823.90-00825.18] 一次反射
[00825.18-00826.74] 两次折射形成的
[00826.74-00829.10] 所以这里面一选项说话就是上
[00829.10-00830.38] 并说这是错的
[00830.38-00832.94] 所以也像说热张冷苏的原理是分子间
[00832.94-00835.24] 混细 随分度的身份儿变大
[00835.24-00836.26] 这种说法也正确
[00836.26-00838.82] 我们在讲热张冷苏的时候讲了三个点
[00838.82-00841.64] 第一点我们说了热张冷苏的原理是啥
[00841.64-00844.98] 是受热之后分子间的监剧变大了
[00844.98-00847.28] 而并非分子自身变大了
[00847.28-00848.56] 我当时专门强调的
[00848.56-00851.50] 第二个我们就讲了很多热张冷苏的现象
[00851.50-00854.44] 不说了他考现象和原理的对应
[00854.44-00856.50] 第三一个我们在讲的时候讲到了
[00856.50-00857.50] 是不是所有的物质
[00857.50-00859.26] 他都是用于热胶冷酥呢
[00859.26-00860.06] 不是的
[00860.06-00862.90] 他存在一种情况就是反浦障原理
[00862.90-00865.18] 所以咱们再讲反浦障的时候讲的是谁
[00865.18-00867.74] 讲的是零到四社属度的水
[00867.74-00869.54] 这个时候他不是热胶冷酥
[00869.54-00871.42] 而是热酥冷胶
[00871.42-00874.26] 所以思选项说法正确考的是原理
[00874.26-00875.70] 地选项三风点火
[00875.70-00877.14] 为什么要三风点火呀
[00877.86-00879.90] 三弄善子空气流动性墙
[00879.90-00882.34] 那这个时候火验人是要跟充分
[00882.34-00885.54] 所以这体大家注意下选的是ACD
[00885.54-00887.30] 那选的是他们错误了
[00887.30-00889.10] 他错误的就选第二个
[00889.10-00892.40] 你看其实就是考原列和现象的对应
[00892.40-00895.10] 好 这是我们所提到的照体
[00895.10-00896.70] 我们接着来往下看
[00896.70-00899.90] 我们看完体后我们再来看一下第四个
[00899.90-00901.70] 就是原素就是同
[00901.70-00904.10] 首先我们在同当中讲到最多的
[00904.10-00905.70] 其实就是轻同
[00905.70-00908.30] 轻同当中首先第一个同步要知道
[00908.30-00909.30] 圈一
[00909.30-00912.10] 轻同它是不是纯同不是大主意
[00912.10-00913.70] 轻同是纯同加入
[00913.70-00916.50] 逆个以外金属所形成的核筋
[00916.50-00918.50] 这个轻松也练技术
[00918.50-00919.32] 大家注意一下
[00919.32-00921.10] 是一样非常高超的技术
[00921.10-00923.30] 这个技术是我们没有把它想象的
[00923.30-00924.06] 我们总感觉说
[00924.06-00925.26] 还不就是轻松技术吗
[00925.26-00926.50] 这就读诱玩了之类的
[00926.50-00927.50] 大家注意一下
[00927.50-00929.10] 光是我们所说的
[00929.10-00930.60] 做成这个核击
[00930.60-00931.80] 就已经很难了
[00931.80-00933.30] 大家注意纯统
[00933.30-00934.42] 还有我们所说的
[00934.42-00936.50] 西、千、云
[00936.50-00936.98] 对吧
[00936.98-00938.70] 各等等这样的技术
[00938.70-00939.80] 他们的容点
[00939.80-00940.60] 一样的
[00940.60-00941.60] 他们的容点
[00941.60-00942.60] 其实不一样的
[00942.60-00945.70] 你想把不同容点的东西给它容在一块
[00945.70-00948.68] 那这个时候难度情是非常高的
[00948.68-00950.42] 所以在这里面他就给到了
[00950.42-00952.64] 青桶第一个他是合金
[00952.64-00954.36] 第二个青桶也练技术
[00954.36-00955.30] 他之所以
[00955.30-00956.54] 还有一个比较珍贵的原因
[00956.54-00958.86] 除了他在野脸技术对于温度的
[00958.86-00960.62] 把控要求很嚴格之外
[00960.62-00962.98] 第二个我们所说的问题在于啥
[00962.98-00965.06] 第二问题是在于所有的青桶器
[00965.06-00966.94] 他都是唇手工制作
[00966.94-00969.10] 而且我们国家所有的青桶器
[00969.10-00970.90] 是没有重复样式的
[00970.90-00973.46] 这个是非常精神的一个事情
[00973.46-00977.14] 所以能够看到它的这个机移高超
[00977.14-00979.02] 所以在这里打掌握的第一个点
[00979.02-00981.50] 就是轻松它本身是合金
[00981.50-00982.90] 第二个我们要知道
[00982.90-00985.06] 轻松它的颜色是什么呢
[00985.06-00988.18] 其实这个轻松器它最开始制作出来的时候
[00988.18-00990.18] 不是轻松的这个颜色
[00990.18-00991.22] 有很多人猜测
[00991.22-00992.66] 但是我们都没有见过
[00992.66-00993.78] 就是这个轻松
[00993.78-00996.26] 最开始它融入出来东西什么样
[00996.26-00997.78] 我们看到的都是
[00997.78-01000.70] 巴出来之后的轻松的颜色要是
[01000.70-01001.10] 对吧
[01001.10-01002.42] 所以在这里打来看
[01002.42-01004.66] 说轻统器本身的颜色
[01004.66-01006.42] 可能不是这种情绪
[01006.42-01008.02] 大家知道这种轻统器
[01008.02-01009.10] 它都是共期
[01009.10-01011.18] 尤其是我们所说的什么相定
[01011.18-01012.18] 这一类的东西
[01012.18-01012.82] 对吧
[01012.82-01014.22] 什么人用顶
[01014.22-01016.30] 这个顶的规格都是很讲究的
[01016.30-01017.90] 你比如说天子注定
[01017.90-01018.22] 对吧
[01018.22-01019.02] 天子注定
[01019.02-01020.38] 你把这个顶先给天子
[01020.38-01021.74] 你给它一个范绿的顶
[01021.74-01023.66] 这时候不算投影谈掉
[01023.66-01025.50] 所以在这里面它最开始
[01025.50-01026.54] 融住出来的东西
[01026.54-01028.02] 一定不是清色的
[01028.02-01029.90] 或者是一定不是清绿色的
[01029.90-01031.78] 而情绪所说是怎么产商的呢
[01031.78-01033.32] 是清同系画一下
[01033.32-01035.62] 埋在土里之后颜色银养化
[01036.64-01039.46] 而呈现了清律或清副依色顾免叫清同
[01039.72-01044.58] 有很多人猜说清同的颜色最看容住出来
[01044.84-01049.44] 很有可能是金黄色或者是偏向于金子的那种颜色
[01049.44-01052.26] 因为大家都知道金子它自古就是会计说
[01052.26-01057.90] 金眼所以最开始的时候可能说没有那么多的礦以及对于金的开采技术
[01057.90-01059.22] 也会有一定的限制
[01059.22-01062.02] 所以我们就在秋冬当中做了很多的努力
[01062.02-01064.54] 当然这只是其中那种猜测和说法
[01064.54-01067.26] 拿住一下这是我们所说的同
[01067.26-01070.06] 所以在同当中同就没有掌握住这两点
[01070.06-01072.38] 就是关于秋冬它的特性
[01072.38-01074.70] 这个地方就是一个基本原令
[01074.70-01076.54] 这是第四个同
[01076.54-01078.38] 那专统之后
[01078.38-01079.98] 在场间的金属元素当中
[01079.98-01081.26] 再来开吓其他的
[01081.26-01084.42] 那首先第一个就是我们提到的重金属
[01084.42-01088.50] 重新属比如說像千、像鞏、阿,這類東西都是重新属
[01088.50-01091.06] 重新属對人體有極大的傷害
[01091.06-01094.58] 這裏面經常會聽到一句話就是重新属重毒
[01094.58-01096.86] 重新属重毒應該怎麼去
[01096.86-01098.94] 我們所說的環境重度正妝
[01098.94-01100.38] 在書上接給導演一句話
[01100.38-01102.70] 他說,物質重新屬眼後
[01102.70-01105.06] 可敬快通過補充蛋白質
[01105.06-01107.62] 來環節重毒的這樣的一個情況
[01107.62-01109.90] 他說,老師還能重新屬重毒
[01109.90-01111.62] 你說直接吞這種遷和鞏固
[01111.62-01112.58] 其實不是的
[01112.58-01116.68] 大陸下中英促研的在生活当中有所随数可见
[01116.68-01122.82] 那这里面身体包括有很多那种化妆便利免我们现在都要说不能喊千骨这一类的东西
[01122.82-01129.98] 对吧 所以物实这种中英促的这种情况或者说是中英促中的这种情况在生活当中有发生
[01129.98-01133.58] 但是如果一旦发现中英促中毒之后应该怎么办
[01133.58-01138.38] 大陸的中英促它会破坏人体内部的这种蛋白
[01138.38-01142.54] 那就说蛋白一旦被破坏了之后身体会造成不可逆的损上
[01142.54-01145.22] 比如说损上干脏就会分长的眼中
[01145.22-01149.86] 所以一旦发现重新属中毒或50重新属之后要尽快的补充蛋白质
[01149.86-01151.10] 把蛋白这话出来
[01151.10-01154.18] 于是通过射入这种外来的蛋白
[01154.18-01159.26] 让这个重金属牌的离子先和15种的蛋白发生作用
[01159.26-01162.34] 然后让它尽可能的減少对人体的侵害
[01162.34-01165.02] 从而争取更多的急就时间
[01165.02-01167.26] 所以在重新属中毒之后大注意下
[01167.26-01169.96] 它的處理方式就是在於盡快補充
[01169.96-01171.96] 但擺置這是第一個點
[01171.96-01172.96] 那第二個點呢
[01172.96-01173.68] 就說有沒有知道
[01173.68-01174.96] 既然說到中寅鼠
[01174.96-01176.26] 我們就要提提
[01176.26-01178.16] 這個中寅鼠當中的第一個
[01178.16-01179.86] 就是我們所說的共鳴
[01179.86-01181.80] 共鳴太成為水鹽
[01181.80-01185.16] 這個點我們其實非常的熟悉
[01185.16-01187.16] 我們以前用的傳統的這種
[01187.16-01188.16] 玻璃體文器
[01188.16-01190.68] 它裡面那個那個顏色的那個
[01190.68-01191.76] 那個滾住
[01191.76-01193.16] 顏色的一個東西
[01193.16-01194.16] 它其實就是滾住
[01194.16-01197.56] 就是水沿水沿的同一面需要掌握的第一个点
[01197.56-01198.76] 就是水沿的特性
[01198.96-01202.76] 水沿在常门常压的条件之下是液态的形狩存在的
[01202.76-01205.76] 大家标注一下它非常容易回发
[01205.96-01208.36] 它的中气和化和物多有巨毒
[01208.36-01210.16] 所以在这里,大家注意下第一个
[01210.16-01214.16] 就是水沿常门常压之下是液态一回发
[01214.16-01214.96] 这是第一个
[01215.16-01216.76] 第二个就是大家要注意一下
[01216.76-01218.76] 我们传统的玻璃体文器
[01218.76-01222.16] 它里面的内容物其实就是水沿
