[00000.00-00006.28] 我们接着来看有关于第七个明确当中的第2个部分就是我们经常提到的三星
[00348.66-00353.74] 其实是和我们国家的经济发展模式有很大的这样的关系
[00353.74-00357.46] 我之前应该是获得获手都给大家讲过内容
[00357.46-00361.94] 主要是我们国家大家想一下1978年改革开放之后
[00361.94-00364.42] 我们国家的经济发展形势什么样的呢
[00364.42-00368.22] 我们国家的经济发展形势就是粗放型的经济发展模式
[00368.22-00370.02] 如果老是什么叫做粗放呢
[00370.02-00373.90] 你看在1978年改革开放之前同一样
[00373.90-00379.22] 有7000年改革开放之前中国其实是没有特别多的这种产业能够带动经济增长的
[00379.22-00381.46] 1978年以后改革开放了之后
[00381.46-00383.34] 我们对外开放的大门打开
[00383.34-00386.30] 这个时候其实无意义于像世界释放了一个信号
[00386.30-00388.34] 这是那个第1大物国的中国
[00388.34-00390.30] 它开始怎么样招商隐资了
[00390.30-00393.22] 那第1大物国对于投资商来说什么好处呢
[00393.22-00397.22] 就是中国的东西又多又好用又便宜
[00397.22-00399.22] 中國960萬平方公里
[00399.22-00399.72] 對吧
[00399.72-00400.88] 那麼大的一個地方
[00400.88-00403.02] 它的土地可用的一定特別多
[00403.02-00404.96] 那個時候一種七八年改革剛剛開放
[00404.96-00407.60] 中國勞動力人口也一定怎麼樣
[00407.60-00408.62] 非常的多
[00408.62-00411.42] 所以那個時候很多的外國的投資商
[00411.42-00412.96] 或者是我們所提到的
[00412.96-00414.46] 大陸以外的境外投資商
[00414.46-00416.56] 就會來到中國投資辦場
[00416.56-00418.76] 他們來中國投資辦場的目的只有一個
[00418.76-00419.30] 是什麼
[00419.30-00420.54] 就是多賺錢
[00420.54-00423.40] 為什麼他們能在中國的土地上多賺錢呢
[00423.40-00425.14] 因為我剛才說了生產
[00425.14-00426.82] 資料和生產要素
[00426.82-00428.62] 都非常的便宜
[00428.62-00430.22] 我們的土地很便宜
[00430.22-00431.58] 我們的勞動力很便宜
[00431.58-00433.10] 那時候勞動力人口又多
[00433.10-00437.42] 我們把那個時候秤著為叫做勞動人口的紅利
[00437.42-00439.10] 對方那個時候是有人口紅利的
[00439.10-00440.50] 中國的資源多不多
[00440.50-00441.06] 多呀
[00441.06-00441.86] 地大物國
[00441.86-00443.06] 中國的資源易度
[00443.06-00444.90] 他就會非常的便宜
[00444.90-00446.66] 所以在1978年改革開放之後
[00446.66-00448.06] 中國的經濟發展模式
[00448.06-00449.06] 是怎麼樣的呢
[00449.06-00450.10] 就是出放的
[00450.10-00451.38] 所謂的出放的就是
[00451.38-00452.10] 你地多
[00452.10-00453.74] 我就幫你打地
[00453.74-00454.50] 你人多
[00454.50-00455.38] 我就幫你投人
[00455.38-00455.78] 對吧
[00455.78-00457.06] 然后我还给大家说过
[00457.06-00460.14] 说在遥远的东方
[00460.14-00461.54] 有一群神秘的人
[00461.54-00463.78] 然后被西方人口口相传说
[00463.78-00465.90] 在山的那边海的那边有进中国人
[00465.90-00466.94] 他们每例又聪明
[00466.94-00467.94] 他们干活不要命
[00467.94-00468.14] 对吧
[00468.14-00469.62] 所以我们就投入人
[00469.62-00470.94] 然后我们还有什么
[00470.94-00472.54] 我们还有各种各样的资源
[00472.54-00473.86] 这是中国有什么
[00473.86-00475.18] 我们就投入什么
[00475.18-00477.02] 那这个时候你把所有东西
[00477.02-00478.30] 都投入了之后
[00478.30-00479.34] 你走的是什么
[00479.34-00480.18] 走亮啊
[00480.18-00480.42] 对吧
[00480.42-00481.90] 你人多的就忘理杂人
[00481.90-00483.62] 然后你低多的就忘理杂弟
[00483.62-00485.62] 那你开始忘理投入各种生产
[00485.62-00487.84] 要素的时候你投入进去
[00487.84-00489.02] 他就一定会有什么
[00489.02-00490.74] 他就一定会有产出
[00490.74-00492.42] 你投进去的越多
[00492.42-00494.02] 他产出的是不是就越多
[00494.02-00495.74] 所以最开始中国的这种
[00495.74-00497.38] 出放型的经济发展模式
[00497.38-00498.82] 他其实是一号什么
[00498.82-00500.50] 一号的是人口要素
[00500.50-00501.74] 我们所说的土地要素
[00501.74-00503.94] 对比所代动的经济增长
[00503.94-00505.34] 因为1978年之前
[00505.34-00507.14] 你想想那个时候多中国
[00507.54-00509.78] 在改革开放之前是什么颜色
[00509.78-00511.94] 就是我们所说的蓝色黑色
[00511.94-00513.58] 这是以前我们穿的那个衣服
[00513.58-00515.06] 我们看到改革开放之初
[00515.06-00516.26] 或是改叱方望之前
[00516.26-00518.10] 中国没有特别线量的颜色的
[00518.10-00518.58] 对吧
[00518.58-00519.66] 所以那个时候中国
[00519.66-00520.98] 其实在经济发展模式上
[00520.98-00523.10] 相对来说是比较落后
[00523.10-00524.58] 或者是比较之后的
[00524.58-00526.02] 所以我们最开始
[00526.02-00527.66] 带动经济增长的唯一方式
[00527.66-00528.74] 就是你有什么
[00528.74-00530.34] 你就往里头什么
[00530.34-00531.38] 所以最开始的时候
[00531.38-00532.82] 我们考调速投入
[00532.82-00534.26] 带动了经济的增长
[00534.26-00536.54] 但是我们不得不反思一个问题
[00536.54-00537.86] 这是我们单纯的一块
[00537.86-00538.74] 调速投入
[00538.74-00540.82] 带动经济增长的这条路
[00540.82-00542.66] 它能不能走得很长愿的
[00542.66-00544.38] 它其实走得不长愿的
[00544.38-00546.94] 同们想一下我们说了中国的土地很多
[00546.94-00548.98] 那是中国的土地很多
[00548.98-00549.90] 但是这些地
[00549.90-00551.86] 它是体制不接用之不接的吗
[00551.86-00554.10] 只令不是你想想你这些土地
[00554.10-00555.66] 你除了说你要搞工业化
[00555.66-00556.66] 你要盖工厂
[00556.66-00558.66] 然后你要去建各种干的场子
[00558.66-00560.14] 你要不要留一部分土地
[00560.14-00561.74] 去给老百姓重地吃饭
[00561.74-00564.34] 你要不要留一些土地去养和全中国的人
[00564.34-00566.34] 那这个时候矛盾就产生了
[00566.34-00567.62] 你一方面你想说
[00567.62-00568.90] 我靠药素投入
[00568.90-00570.66] 然后我戴东京纪增长
[00570.66-00572.22] 然后我就把土地都怎么样
[00572.22-00573.82] 政府就给他化不去卖出去了
[00573.82-00578.78] 那这个时候你老百姓吃啥 中国 老百姓 拿美化土地养换我们之间
[00578.78-00581.78] 所以可利用的土地就怎么样越来越少了
[00581.78-00584.30] 不仅越来越少而且这里面会存在一个矛盾
[00584.30-00585.22] 这是第一个问题
[00585.22-00586.06] 第二个问题
[00586.06-00588.86] 中国土地多会会召售土地最浪费的情况
[00588.86-00591.34] 当然有土地无人眼里面中有啊
[00591.34-00595.18] 土地研字化 对吧土地沙化等那种情况出现了
[00595.18-00598.54] 你以前说你土地多那是因为你这开始没有开发
[00598.54-00599.94] 但你开发了这么多年
[00599.94-00602.06] 在土地上的矛盾也彩声了
[00602.06-00603.86] 然后土地的数量也减少了
[00603.86-00606.62] 你在跟人家国外说说来不来
[00606.62-00607.50] 来我这投资来
[00607.50-00609.10] 我东西老多了我土地多
[00609.10-00610.82] 人家一看我的天能之地
[00610.82-00613.46] 正在减少能命的土地最练正在减少
[00613.46-00615.58] 你跟人说你地便宜人家信吗
[00615.58-00616.14] 不信啊
[00616.14-00618.18] 大家都知道物以西伟贵吗
[00618.18-00620.26] 这是第一个中国的土地
[00620.66-00621.90] 没有以前的数量
[00621.90-00622.66] 可利用的土地
[00622.66-00623.86] 没有以前的数量多了
[00623.86-00624.54] 第二个
[00624.54-00625.74] 中国我们以前是吗
[00625.74-00626.90] 勞动力人口
[00626.90-00627.62] 连家
[00627.62-00627.90] 对吧
[00627.90-00629.78] 我们是连家的勞动力人口
[00629.78-00631.34] 所以那个时候人口便宜
[00631.34-00633.24] 他越來投資外場的賺的多
[00633.24-00634.68] 那搞了這麼多年
[00634.68-00637.30] 你覺得中國可利用的勞動力人口還多嗎
[00637.30-00639.02] 不見得有那麼多了吧
[00639.02-00640.80] 你看最開始的這個人口紅裂
[00640.80-00642.22] 後來我們又開始
[00642.22-00643.02] 什麼
[00643.02-00644.76] 少生優生幸福一生
[00644.76-00646.46] 那導致的一個問題就是什麼
[00646.46-00647.86] 就是人口
[00647.86-00651.42] 我們所說的能可利用的這種人口在不斷的
[00652.30-00653.02] 減少
[00653.02-00654.10] 你看到了現在
[00654.10-00655.06] 是不是又出現了
[00655.06-00657.38] 我們所提到的一系列的這樣的一些問題在
[00657.38-00659.66] 所以你看最開始你的人口便宜
[00659.66-00662.48] 然后我才来 但是现在你劳动力人口下降
[00662.48-00665.30] 你现在在中国投资办场你顾用的老百姓
[00665.30-00667.02] 再去给他这个场子是大功
[00667.02-00668.86] 你和国外商比一点不比人便宜
[00668.86-00670.40] 你这个优势也没有了
[00670.40-00671.94] 你看你的资源
[00671.94-00674.38] 你资源也可能面臨哭解的这样的情况
[00674.38-00676.18] 尤其是我们所说的什么
[00676.18-00676.98] 山西
[00676.98-00678.58] 你看山西原本它的美
[00678.58-00679.66] 智杨又好
[00679.66-00681.38] 而且它的美量又很大
[00681.38-00682.94] 所以我们之前经常说
[00682.94-00684.06] 山西最开始
[00684.06-00685.46] 父亲的那些就是啥
[00685.46-00686.78] 美老板倒霉的嘛
[00686.78-00687.30] 对吧
[00687.30-00688.10] 逃脱没了
[00688.10-00689.10] 就是倒霉的
[00689.10-00691.92] 所以你看他这个时候他的那个没他
[00691.92-00694.74] 因为山西本身就是在什么中部地区
[00694.74-00697.88] 所以他整体上我们所说的这些没他就可以
[00697.88-00698.92] 辐射到全国
[00698.92-00700.36] 他到哪儿他都很方便
[00700.36-00702.36] 而其他地区买山西的没他干嘛呢
[00702.36-00703.38] 有钱我就给你
[00703.38-00704.46] 每天我先射照
[00704.46-00706.50] 那你一射照人家没换还看不开了
[00706.50-00708.04] 这个现入到了一个恶性循环
[00708.04-00710.34] 到这最后的结果就是山西的没确实
[00710.34-00711.04] 挖空了
[00711.04-00712.92] 但是他的钱全部都回流
[00712.92-00714.90] 到了山西的这个里面嘛
[00714.90-00715.78] 也不见得
[00715.78-00717.80] 所以你看自然也面临的什么
[00717.80-00720.62] 酷解在加上现在生怅怨化
[00720.62-00723.68] 所以你原本说我要靠单纯的要素投入
[00723.68-00725.74] 戴动经济发展的这种模式
[00725.74-00727.78] 还是不是用于现在的中国
[00728.80-00729.58] 不是用了
[00729.58-00731.36] 也就是意味着在这种情况之下
[00731.36-00734.70] 我们不能在走以前的那种经济发展的道路了
[00734.70-00735.72] 那问题就是
[00735.72-00737.76] 你以前是靠要素投入的
[00737.76-00739.30] 你现在不走这条路
[00739.30-00740.58] 你还能走哪条路呢
[00740.58-00743.40] 那这个时候中国经济何去合从
[00743.40-00745.44] 就灭了一个非常巨大的一个问题
[00745.44-00747.24] 中国从原来的低收入国家
[00747.24-00749.24] 據說轉入到中冷收入國家的時候
[00749.24-00751.58] 他面前就會擺著一個大空
[00751.58-00753.88] 這個大空就叫做中冷收入現景
[00753.88-00755.44] 這個中冷收入現景
[00755.44-00760.14] 就意味著很多國家再去進行經濟發展模式上的中轉型的時候
[00760.14-00761.48] 多出現了一個問題
[00761.48-00762.98] 這是你如何更進一步
[00762.98-00764.90] 如果你跳過中冷收入現景
[00764.90-00766.50] 越過這個現景之後
[00766.50-00769.08] 那你的經濟就可以實現一個全面的轉型
[00769.08-00770.62] 如果這個現景你跳不過
[00770.62-00771.48] 那不好意思
[00771.48-00774.44] 你一右的資源已經開始怎麼樣
[00774.44-00775.12] 沒有了
[00775.12-00776.72] 你原本能夠資源已經又完了
[00776.72-00779.24] 那有一个经济可能就是无限的回说
[00779.24-00780.92] 那中国现在就面臨这一问题
[00780.92-00783.28] 我们如何往前记忆过
[00783.28-00784.12] 如果不记
[00784.12-00785.32] 那就知道不进走退
[00785.32-00786.96] 那中国经济情况更糟糕
[00786.96-00789.76] 所以我们继续要去搞定的就是
[00789.76-00791.64] 找到一个新的动力
[00791.64-00794.56] 能够戴动中国经济现阶段的发展
[00794.56-00795.48] 而这个新的动力
[00795.48-00796.64] 它不单单只是说
[00796.64-00798.16] 靠数量去堆点
[00798.16-00799.88] 而且更加要求的是靠什么
[00799.88-00802.24] 我们想想怎么样能够靠技术
[00802.24-00803.84] 因为我们深刻的知道
[00803.84-00806.36] 如果说单纯的靠数量去堆点的话
[00806.36-00808.84] 对中国来说经济发展是不利的
[00808.84-00810.32] 你说老师他不利在哪呢
[00810.32-00812.80] 这是你看我们以前比如说
[00812.80-00814.20] 我们在人口红里上
[00814.20-00815.80] 我们投入各种各样的
[00815.80-00817.28] 劳动力去带都进行总终
[00817.28-00818.84] 但是我们干的都是什么缓
[00819.64-00821.00] 我们干的都体力火
[00821.00-00823.40] 所以在出放行经济之下
[00823.40-00824.56] 中国的经济呢
[00824.56-00825.76] 大部分都是什么
[00825.76-00827.72] 劳动密集形的这些差异
[00827.72-00829.60] 你比如说主庄手机
[00829.60-00832.16] 主庄手机你看像我们之前提到的
[00832.16-00833.20] 苹果手机
[00833.20-00835.08] 苹果手机他在中国
[00835.08-00837.62] 主張副實抗公司 對吧
[00837.62-00839.04] 那一部屏幕手機大家都知道
[00839.04-00840.32] 都手機賣的死了不會
[00840.32-00843.06] 你看我對這個不太了解
[00843.06-00845.32] 大概如果蔡一下
[00845.32-00846.26] 就是最新的手機
[00846.26-00848.28] 假設它賣14-15
[00848.28-00850.26] 這1萬4到1萬5的價格
[00850.26-00852.36] 中國老百姓去主張手機
[00852.36-00853.66] 我們到了最古最類的火
[00853.66-00854.56] 我們只能拿到
[00854.56-00856.62] 這1萬4到1萬5的多少率人
[00856.62-00857.82] 百分之10的率人
[00857.82-00859.32] 也就是我們之前單純的
[00859.32-00861.70] 考藥素投入的這種經濟發展模式
[00861.70-00863.74] 對我們來說有一點不合適
[00863.74-00865.74] 因为核心技术在人家那边
[00865.74-00867.22] 我们现在我们只有什么
[00867.22-00869.66] 我们只有劳动、组织
[00869.66-00871.90] 所以我们干了最苦最累的国人拿到了什么
[00871.90-00872.70] 最小的钱
[00872.70-00874.18] 所以从这个角度来看
[00874.18-00876.26] 中国的经济发展的动力
[00876.26-00877.82] 也必须面临着转型
[00877.82-00879.74] 我们的经济发展动力找谁
[00879.74-00880.70] 然后找得找去
[00880.70-00883.46] 我们发现能够盈领中国经济
[00883.46-00885.94] 在新疾段实现打踏不飞越发展
[00885.94-00886.94] 就是什么
[00886.94-00888.26] 就是创新
[00888.26-00889.42] 所以你还这些解释了
[00889.42-00890.98] 创新实行的发展的什么
[00890.98-00893.22] 第一动力解决了发展的什么问题
[00893.22-00895.50] 动力问题,所以原因就在这
[00895.50-00898.66] 那么说了创新的内涵,其实非常的多
[00898.66-00901.22] 或者是创新所包含的内容其实很多的
[00901.22-00903.66] 你比如说我们可以进行文化创新
[00903.66-00905.46] 我们也可以进行制度创新
[00905.46-00907.50] 当然我们还可以进行什么创新
[00908.30-00910.14] 我们还可以进行科技创新
[00910.14-00913.14] 所以在所有的创新当中,第二个考订就出来了
[00913.14-00914.74] 同时在旁边标注一下
[00914.74-00918.78] 在所有的创新当中,哪一个创新是处在核心地位的呢
[00918.78-00920.86] 大家注意一下,一定要是科技创新
[00920.86-00922.26] 科技创新
[00925.78-00928.32] 要把科技创新放在什么位置
[00928.32-00931.36] 放在整个创新领域当中的核心位置
[00934.82-00936.06] 那这个我不能多说
[00936.06-00937.78] 大陆该都能理解吧
[00937.78-00940.34] 因为无论是从世界的哪一个角度来看
[00940.34-00942.42] 我们会发现科学技术就是什么
[00942.42-00943.98] 第一 生产力
[00943.98-00945.94] 因为之前我们会发现英国
[00945.94-00947.54] 他爆发了第一次科技革命
[00947.54-00950.22] 所以英国以越成为世界第一大国
[00950.22-00953.70] 然后第二次工业革命发生在美国和德国
[00953.70-00957.42] 所以那个时候美国训组发展 德国经济也怎么样 快速发展
[00957.42-00961.34] 那第三次工业革命 我们有会发现发生主要发生在美国下
[00961.34-00964.30] 美国 所以美国在整个科技领域当中
[00964.30-00966.94] 至今来看的话 相对来说 依旧是什么
[00966.94-00969.58] 依旧是相对来说 比较强大的这样的一个局势
[00969.58-00974.54] 所以你看 正是因为他抓住了科技革命的这样的一个潮流
[00974.54-00978.46] 所以才保证了他在整个世界范围之内的发展是什么
[00978.46-00980.86] 有还会的话说就是要要领先的
[00980.86-00984.60] 所以对中国的发展来说科技应该就是我们国家的什么
[00984.60-00985.38] 核心为止
[00985.38-00988.06] 大鸡也我们对于科技创新的这个探索
[00988.06-00990.24] 他不是说像我们看到的说现在
[00990.24-00992.04] 我们健成了自己的空间战
[00992.04-00994.26] 然后我们不停地去发射航空航天
[00994.26-00996.00] 然后我们研究出了超算
[00996.00-00997.40] 我们有量子计算
[00997.40-00998.94] 然后我们又看到了什么
[00998.94-01002.14] 中国在和具变当中做出来的巨大空线
[01002.14-01005.22] 不是我们看到的说最开始就是这么一番风启的
[01005.22-01007.90] 中国的科技创新也是从泥谈当中
[01007.90-01011.94] 靠着一带用一带人的肩手逐步的实现了今天这个局面
[01011.94-01013.34] 大家可能想想不到啊
[01013.34-01015.14] 最开始在改革开放之处的时候
[01015.14-01017.62] 中国的这个科技创新
[01017.62-01019.34] 它弧到了什么程度
[01019.34-01020.78] 最开始的时候你比如说
[01020.78-01023.70] 你看我们现在经常是在飞机上吃飞机餐
[01023.70-01025.50] 我觉得那个吃的那个飞机餐
[01025.50-01026.50] 都还挺好吃的
[01026.50-01028.14] 就是无论它给我发到小面包
[01028.14-01030.50] 我觉得口感也还挺不错的 对吧
[01030.50-01032.14] 或者是它给我各种干的水
[01032.14-01034.66] 然后如果说有那种卡翻表
[01034.66-01036.66] 而不是这个飞机的这种小时的话
[01036.66-01037.94] 比如说你是中午的
[01037.94-01039.22] 或者晚上的航班
[01039.22-01040.62] 这个时候他说给你放翻
[01040.62-01041.70] 放的那个饭有面
[01041.70-01042.42] 也有菜
[01042.42-01045.02] 我就觉得吃起来可能和我点的外卖
[01045.02-01046.50] 就是他即使给我送到的
[01046.50-01048.06] 味道差别不会特别大
[01048.06-01050.90] 但是仅仅是飞机餐的这一项
[01050.90-01052.14] 在我们看来
[01052.14-01054.90] 这一开始在探索上就遇到了非常大的问题
[01054.90-01056.90] 当年中美最开始坚糕的时候
[01056.90-01057.62] 很大也知道
[01057.62-01059.26] 最近出了一个新闻
[01059.26-01060.98] 我们都知道是基金格
[01060.98-01062.46] 然后他去世了
[01062.46-01064.14] 所以你看就是这个事
[01064.14-01064.86] 就是最美
[01064.86-01066.18] 最开始的不说他
[01066.18-01068.42] 就是因为有这个新闻我想到了这个事
[01068.42-01070.82] 就足以能够证明科技创新的重要性了
[01070.82-01072.66] 最开始的时候中美间交的时候
[01072.66-01074.10] 大爱都知道中美间交了
[01074.10-01076.34] 中国和美国的距离还是比较遥远的
[01076.34-01077.38] 你不可能说
[01077.38-01079.78] 我建交了之后说咱们怎么互相访问
[01080.34-01084.10] 土耳着去或者说是滑传去做传去做我车车
[01084.10-01085.06] 能够太慢了
[01085.06-01086.34] 所以中美间交之后
[01086.34-01088.42] 我们又画行线的
[01088.42-01089.62] 那画行线的话
[01089.62-01091.14] 中国能提供的是什么
[01091.14-01092.66] 中国能不能提供说
[01092.66-01094.66] 当时1970年刚刚改有开放
[01094.66-01096.70] 每多久,刚刚中美建交每多久
[01096.70-01099.14] 我能不能说中国提供飞机
[01099.14-01100.42] 提供核心技术
[01100.42-01102.22] 那个时候中国不具备这个能力
[01102.22-01103.70] 所以我们说我们提供什么呢
[01103.70-01105.10] 我们提供飞机餐吧
[01105.10-01106.70] 说警协是吃饭的话
[01106.70-01109.90] 你说咱们中国的大物国的美食多多
[01109.90-01110.98] 所以提供饭
[01110.98-01112.42] 对我们来说应该不是难题
[01112.42-01114.98] 但是恰恰就是提供飞机餐这种事
[01114.98-01116.30] 在最开始的中国
[01116.30-01119.10] 就成了一个非常大的这个难题
[01119.10-01120.62] 当时这个难题难在哪
[01120.62-01122.10] 大家知道其实对于飞机餐
[01122.10-01123.94] 它的要求是很严格的
[01123.94-01125.62] 他在飞机餐的厨里上
[01125.62-01129.58] 他几乎要求他的整个制作过程是无军的
[01129.58-01130.50] 而且呢
[01130.50-01132.06] 这个无军不单单指说
[01132.06-01133.94] 我的做菜的这个缓定很好
[01133.94-01135.46] 拿上说咱们出去点了外卖
[01135.46-01137.50] 然后咱们看一说老板给我来个朝鲁粉
[01137.50-01139.06] 他给我礒子换自己女草
[01139.06-01139.70] 这种嘛
[01139.70-01140.34] 不是的
[01140.34-01143.14] 他要求整个制作的环境相当于是服军
[01143.14-01145.42] 因为他的飞机餐要保证了怎么样
[01145.42-01146.86] 时间要长久一些
[01146.86-01149.78] 第二个就是他对于洗菜的水温
[01149.78-01151.26] 也有一个非常大的要求
[01151.26-01155.36] 要求非基餐擠彩的水温是很定在40度的
