[00000.00-00002.56] 那今晚合同说完了之后呢
[00145.62-00146.62] 假如我和你
[00146.62-00149.62] 我在这里面向你的接了什么?20万
[00151.62-00153.14] 接七十多少呢?
[00153.14-00154.60] 接七七
[00154.60-00155.60] 七线吧
[00158.60-00159.60] 接七
[00159.60-00160.60] 两年吧
[00160.60-00161.60] 对七两年
[00161.60-00162.60] 然后这个时候呢
[00162.60-00164.60] 咱们两个这些是不是就一个
[00164.60-00165.60] 我们所说的什么合同
[00165.60-00166.60] 我们所说的这个
[00166.60-00167.60] 借款合同
[00169.60-00171.60] 那这个时候你担心我还不上钱
[00171.60-00172.88] 不让我不敢把钱借给你
[00172.88-00174.16] 我说你少交不起人了
[00174.16-00174.92] 我说要不这样吧
[00174.92-00177.48] 我把我自由的一套房屋
[00178.76-00179.80] 干嘛呢
[00179.80-00181.08] 我把我自由的一套房屋呢
[00181.08-00181.84] 底压给你
[00181.84-00183.64] 并且给你办理了点啊
[00183.64-00184.92] 登记所以点啊全社立
[00184.92-00185.68] 对吧
[00185.68-00186.96] 那我就可以把房屋给你
[00186.96-00188.24] 这时候就什么
[00188.24-00189.52] 这个就是单宝屋权了
[00189.52-00190.28] 这是屋宝
[00190.28-00192.08] 除了我把我自己的房屋给你
[00192.08-00193.36] 还给怎么样
[00193.36-00194.64] 不说要不这样吧
[00194.64-00196.68] 我再给你找一个单宝人
[00196.68-00197.96] 找到了谁呢
[00197.96-00199.24] 找到谁
[00199.24-00203.04] 一个单寶人 找到了谁呢 找到了我的好朋友
[00203.04-00205.44] 也是特别有钱的 就是王大崔
[00205.44-00208.96] 每天早上在两万平米的大好在当中醒来 对吧
[00208.96-00210.56] 这种日子无聊太无聊了
[00210.56-00211.76] 大崔不差钱呢
[00211.76-00212.92] 于是我就跟大崔受说
[00212.92-00215.32] 我问你计了20万 大崔说去20万 说
[00215.32-00216.32] 我给你单寶了
[00216.32-00218.76] 于是呢 我就找到了大崔做的什么
[00218.76-00221.12] 保证人 于是大崔就和你之间
[00221.12-00222.40] 签条了一个什么合同
[00222.40-00224.40] 就叫做保证合同
[00224.40-00227.00] 那这种说大崔就是保证人
[00227.00-00229.28] 那这个时候就是什么 这是人的
[00229.40-00232.44] 如果到期的时候 我还不上你的钱 你可以怎么办
[00232.52-00234.12] 你可以把我的房屋拍卖掉
[00234.24-00235.96] 优先拍卖5的房屋
[00235.96-00237.04] 然后来搬的钱
[00237.16-00239.64] 如果房屋不够的话 生意就去找大学要嘛
[00239.72-00242.12] 那这个时候大学他是跟你签订了保重合同
[00242.24-00243.40] 对于债的实现
[00244.12-00245.24] 提问了一份保证
[00245.36-00246.96] 所以所谓的保证合同你看
[00247.08-00250.64] 说保证合同在这里没有几个细得点 同没有注意
[00250.80-00253.16] 说保证合同是为了保证在全的实现
[00253.16-00254.40] 我们你接的这二十万
[00254.52-00256.20] 说是在谁之间 画一下
[00256.20-00258.92] 是在保證人和戰權人之間決定的
[00258.92-00261.80] 主要不是和我和你之間
[00261.80-00262.92] 咱俩之間是什麼
[00262.92-00264.04] 借款合同
[00264.04-00265.24] 我是什麼人
[00265.24-00266.92] 我是借款人
[00269.48-00270.36] 你是什麼人
[00270.36-00271.72] 你是貸款人
[00274.12-00275.20] 而借款人
[00275.20-00276.96] 他如果從債的角度來看的話
[00276.96-00278.04] 大助一下借款人
[00278.04-00278.60] 他就是什麼
[00278.60-00279.88] 他就是債務人嗎
[00279.88-00281.32] 我是負擔債務的
[00281.32-00282.44] 而你是什麼人
[00282.44-00284.44] 你是債權人嗎
[00286.20-00288.20] 而大垂是什么人
[00288.20-00290.20] 大垂是保证人
[00290.20-00292.20] 所以合同是谁和人之间陈庭的
[00292.20-00295.20] 是王大垂和你之间陈庭的
[00295.20-00297.20] 你们两个之间是什么合同
[00297.20-00298.20] 是保证合同
[00298.20-00300.20] 所以保证合同大家注意想与数的是谁和人之间
[00300.20-00302.20] 保证人和债权人之间的
[00302.20-00303.20] 大家一定要注意一下
[00303.20-00305.20] 老是不是你找到王大垂吗
[00305.20-00307.20] 对呀是我找的大垂
[00307.20-00309.20] 但是我找大垂是为了干嘛
[00309.20-00311.20] 是为了要大垂丹保你的债权实现
[00311.20-00314.20] 所以我和大垂之间不是保证合同
[00314.20-00315.20] 而是你和大垂之间
[00315.20-00318.02] 如果最后我这二十万真还不起的话
[00318.02-00319.30] 我到时候我就跑路了
[00319.30-00320.82] 我这个人就是没有什么良心的
[00320.82-00322.88] 这个时候我千日前无不跑
[00322.88-00324.16] 我此时不跑更带何时
[00324.16-00325.70] 你找不找我
[00325.70-00327.22] 你就只能找谁来换钱
[00327.22-00328.00] 大腿呀
[00328.00-00329.28] 因为大腿是我
[00329.28-00330.82] 在悟的保证人
[00330.82-00331.58] 明白了吧
[00331.58-00332.36] 所以在这个时候
[00332.36-00334.66] 他保证何动是
[00334.66-00336.20] 越说保证人和战选人之间的
[00336.20-00337.72] 所以在这里面大家注意
[00337.72-00340.04] 所以这个点你一定要面去
[00340.04-00342.84] 说在保证人和战选人的约定
[00342.84-00343.88] 当战务人不理性
[00343.88-00348.92] 到期待会会发生约定或者发生当时约定的情形的时候
[00348.92-00350.52] 保证人人旅行在乌承担责任
[00350.52-00352.40] 这个就要做保证合同
[00352.40-00353.04] 大家注意一下
[00353.04-00353.80] 这是第一个
[00353.80-00354.84] 不要注意下圈一
[00354.84-00356.60] 这个点是要大家去实际的
[00356.60-00358.32] 知道了保证合同时
[00358.32-00359.60] 显个时间的之后呢
[00359.60-00362.08] 那第二个我们来看一下保证合同它的性质
[00362.08-00363.60] 同时不要注意下圈二
[00363.60-00364.80] 保证合同的性质
[00364.80-00366.76] 它属于从合同
[00366.76-00368.32] 你知道的是什么是从合同的
[00368.32-00369.60] 这个从合同就是
[00369.60-00371.40] 它不能补歷的存在
[00371.40-00374.40] 它的存在一定是一副于另外一个合同的
[00374.40-00375.66] 另外一个合同叫做什么
[00375.66-00376.66] 主合同
[00376.66-00378.44] 这里面的保证合同是从合同
[00378.44-00379.54] 它一副于什么呢
[00379.54-00380.36] 主合同
[00380.36-00382.48] 这个组合同是咱们之间的什么合同
[00382.48-00383.48] 建划合同
[00386.76-00387.92] 所以来注意一下
[00387.92-00390.16] 写上在这个点上
[00390.16-00390.86] 标注意一下
[00390.86-00393.66] 圈说保证合同是从合同
[00393.66-00395.12] 那顿我们所说的
[00395.12-00397.06] 单宝合同它就有什么性
[00397.06-00399.12] 它就就要从属性
[00399.12-00403.60] 所以他的效率去捐谁去捐与祝贺通的效率
[00403.60-00404.56] 面白了吧
[00404.56-00409.84] 保证贺通的单宝范围去捐与祝贺通的贺物俄读
[00409.84-00411.20] 所以在这里面大家注意一下
[00411.20-00413.44] 保证贺通是从贺通
[00413.44-00416.08] 它就具有一定的从属性
[00416.08-00417.44] 它就具有一定从属性
[00417.44-00419.28] 所以如果说保证贺通无效
[00419.28-00421.12] 比如在这些的这个计划无效
[00421.12-00422.88] 如果这个计划贺通无效的话
[00422.88-00425.76] 大处也还用不用承担保证责任
[00425.76-00427.92] 用不用承担我还不上钱的责任呢
[00427.92-00429.32] 我当然就不用了
[00429.32-00430.80] 所以在这个地方大家注意一下
[00430.80-00431.92] 它是从何通
[00431.92-00433.72] 它的效力就要衣服于
[00434.32-00436.12] 我们所说的这个组合通
[00436.12-00437.92] 所以这是第一个保证合通
[00437.92-00439.92] 它的一些基本的细节大家注意
[00439.92-00441.24] 既然我们说了
[00441.24-00442.24] 既然大垂
[00442.24-00443.80] 它承担的是保证责任
[00443.80-00446.04] 也是保证当我还不上你前的时候
[00446.04-00448.16] 这个时候你要像大垂圈讨债
[00448.16-00449.44] 这个讨债
[00449.44-00451.12] 它就会涉证一个问题
[00451.12-00452.52] 就是你讨债的时候
[00452.52-00453.84] 会不会涉证讨债的事情
[00453.84-00456.08] 是先像我这个债物人要
[00456.08-00457.60] 还是先像大垂要
[00457.60-00460.80] 还说你可以直接越过我这个债务人直接向大学要呢
[00460.80-00462.80] 这个就会睡一到我们所说的什么
[00462.80-00465.64] 保证的方式保证方式
[00465.64-00467.60] 所以咱们来看一下后区的那个
[00467.60-00469.80] 下面的话就给到了保证人的条件
[00469.80-00471.28] 就是不能成为保证人的
[00471.28-00473.72] 不能成为保证人的就是国家机关不行
[00473.72-00475.80] 对吧 这未经国院批证的国家机关
[00475.80-00477.56] 以公益为目的的非诱利法人
[00477.56-00479.04] 这些都不能成为保证人
[00479.04-00480.40] 这个了解一下就行了
[00480.40-00482.36] 我们重点来看一下保证方式
[00482.36-00484.16] 这个保证方式就是刚才我说的
[00484.16-00485.60] 如果我还不上你先
[00485.60-00494.00] 你先告我,再告大垂,还是可以直接越过我,告大垂,这个时候就和什么有关,就和保证方式有关
[00494.00-00498.80] 我们保证方式分为两种,一种叫做一般保证
[00499.40-00507.60] 一种叫做联带,左任保证,我们来看一下这里面的一般保证和联带左任保证,分别是怎么回事
[00507.60-00511.60] 我首先先來看一下這個叫做一般保證
[00511.60-00515.96] 這個一般保證他說是一世指保證人
[00515.96-00519.68] 警隊債務人不能旅行的
[00519.68-00523.72] 這樣的一個債務承擔的補充責任的問題
[00523.72-00525.36] 那這個就叫個什麼保證
[00525.36-00527.56] 這個就叫做一般保證
[00527.56-00530.44] 你說老師我還是有一點不太理解
[00530.44-00532.44] 他的這個一般保證是啥意思呢
[00532.44-00534.04] 這個一般保證的意思就是
[00534.04-00536.80] 如果到時候還不上錢的話
[00536.80-00539.04] 这个我们所说的还钱
[00539.04-00541.00] 它是有先后顺序的
[00541.00-00541.96] 也就是大家注意一下
[00541.96-00543.68] 在这个保证方式当中就明确
[00543.68-00545.12] 它是指责物人和保证人
[00545.12-00547.72] 像这圈承担责任适口有先后顺序
[00551.20-00552.72] 适口有先后顺序
[00552.72-00553.72] 这样的一个问题
[00553.72-00555.52] 如果说是一般保证的话
[00555.52-00556.16] 大家注意一下
[00556.16-00557.40] 它就是有顺序的
[00557.40-00558.80] 如果不是一般保证的话
[00558.80-00559.84] 就连代保证的话
[00559.84-00561.44] 它就是没有适序了
[00561.44-00563.48] 咱们来看一下一般保证
[00563.48-00564.36] 大家注意一下
[00564.36-00566.64] 这个一般保证他的确定的事情
[00566.64-00567.94] 根据他的电影来看的话
[00567.94-00571.54] 就是你再去想一般保证人让他去旅行
[00571.54-00573.18] 像他在我时候你怎么办
[00573.18-00574.44] 你怎么去行权呢
[00574.44-00575.56] 大家旁标注一下
[00575.56-00578.18] 一定是先找债权人
[00578.94-00580.92] 等债权人还不上的时候
[00580.92-00581.76] 然后怎么样
[00581.76-00583.04] 后着保证人
[00586.38-00587.86] 是先找债权人
[00587.86-00589.26] 等债权还不上的时候
[00589.26-00590.58] 在后着保证人
[00590.58-00593.54] 比如说还是我和你的故事
[00594.36-00596.36] 我和你的故事
[00596.36-00599.36] 那这里面我们不看混合单宝的问题
[00599.36-00600.36] 我们只看单纯的人宝
[00600.36-00602.36] 我向你介了20万块钱
[00602.36-00604.36] 然后继续两年
[00604.36-00606.36] 然后约定到期约还款
[00606.36-00608.36] 你呢因为担心我还不上你的钱
[00608.36-00610.36] 所以在这个时候让我提供了保证人
[00610.36-00612.36] 网大纯对不对
[00612.36-00614.36] 然后呢你和大纯在去约定的时候
[00614.36-00617.36] 大纯说我呢和你添定一个保证合同
[00617.36-00620.36] 这个保证合同约定的内容是什么呢
[00620.36-00621.36] 我起来这儿
[00621.36-00624.24] 保證和同約定的內容是叫做啥呢
[00624.24-00630.78] 叫做如果這個結瑞到期不能旅行還以無的話
[00632.52-00636.92] 到期不能旅行債務或者是到期無法旅行債務的話
[00636.92-00638.20] 然後這個時候呢
[00638.20-00639.36] 你再來找我
[00639.36-00640.96] 那你還他在這個體幹當中
[00640.96-00642.64] 他會收到這樣一話就是
[00642.64-00645.04] 我們所說的債務人到期不能旅行債務
[00645.04-00646.88] 他如果這句話一旦出現的話
[00646.88-00648.48] 他其實就在明視我們
[00648.48-00652.58] 我们在区邀钱的时候叫先找谁 先找债权人
[00652.58-00655.52] 债权人还不上的时候在找谁 再找保证人
[00655.52-00658.16] 所以这个时候他是一个有旅行的
[00658.16-00660.12] 顺序的 有旅行的顺序的
[00660.12-00662.96] 在这里面就会睡到两个问题
[00662.96-00663.92] 哪两个问题呢
[00663.92-00666.84] 第一个就是我如何判断他是一般保证
[00669.20-00671.68] 我在提案中如何判断他是一般保证
[00671.68-00674.04] 因为他在这里会考一个理解型题目
[00674.04-00675.84] 给你一个案例 让你去判断
[00675.84-00678.24] 他到底是一般保证还是联在保证
[00678.24-00679.56] 我如何去判断呢
[00679.56-00681.76] 这个时候我们要判断的时候就看
[00681.76-00684.60] 他在提案当中有没有提到这样的字
[00684.60-00686.52] 就是他的这个判断有两种形式
[00686.52-00688.48] 第一种呢就是名式的情况
[00690.52-00691.72] 他差点了
[00691.72-00693.16] 把我和你的故事差点
[00694.24-00695.64] 第一种呢就是名式
[00695.64-00698.68] 这个名式呢就意味着他一定会在合同当中
[00698.68-00700.44] 名确的去写清楚
[00700.44-00702.20] 说我们两个之间是什么
[00702.20-00703.20] 是一般保证
[00703.20-00704.92] 所以在这里他会选择
[00704.92-00710.80] 民事,這是提案當中會非常清楚的寫著,說約定為一般保證。
[00712.48-00714.92] 或者是在天當出現了,我們剛才所說的,
[00714.92-00716.96] 到期不能旅行債務。
[00720.60-00725.60] 到期不能旅行,債務的。
[00725.60-00729.16] 這有時候都是因為這你要先找誰,先找債務人,
[00729.16-00733.40] 先找債務人,我債務人,我債務人應該是債務人。
[00734.92-00737.00] 先找这五人后找保证人
[00737.00-00737.96] 这是名式
[00737.96-00740.52] 除了名式之外的黑总推定的形式
[00740.52-00741.96] 这个推定是啥呢
[00741.96-00744.84] 就是我在给你介细画了之后
[00744.84-00746.36] 我给你提供保证人的时候
[00746.36-00749.52] 你们两个之间没有约定或者约定不明确
[00749.52-00751.64] 就是保证方式没有约定
[00754.36-00755.24] 或者是什么呢
[00755.24-00758.56] 或者是约定不明的这种情况之下
[00758.56-00761.04] 没有约定或者是约定不明的这种情况
[00761.04-00762.24] 我们就默认为是什么
[00762.24-00764.36] 我们就默认为是一般保证
[00764.36-00766.92] 因为我们要知道这个一保证
[00766.92-00769.48] 保证合同他承担的责任很大
[00769.48-00771.08] 只是他是无限责任
[00771.08-00773.56] 所以这个时候你要尽可能的保证
[00773.56-00775.36] 保证人的权益
[00775.36-00778.12] 因为本来现在密保就难找人给你做的单保
[00778.12-00778.84] 找人给你做的
[00778.84-00779.72] 保证就很难
[00779.72-00781.32] 你这时候你还不保护他的利益
[00781.32-00782.68] 那以后没人也提供单保了
[00782.68-00783.24] 对吧
[00783.24-00784.84] 所以在这里面大家注意一下
[00784.84-00785.88] 只如何去判断
[00785.88-00787.08] 你就看体验当中
[00787.08-00789.08] 他要么就说了约定为一本保证
[00789.08-00789.88] 要么就说了说
[00789.88-00790.92] 到期不能旅行的时候
[00790.92-00791.48] 你再来找
[00791.48-00793.64] 或者是没有约定回约定不明的话
[00793.64-00795.88] 我们都没人为是一般保证
[00795.88-00797.20] 都没人是一般保证
[00797.20-00798.88] 而一般保证的保证人
[00798.88-00799.92] 他有什么权力呢
[00799.92-00800.52] 大家注意一下
[00800.52-00803.32] 一般保证的保证人有仙速抗变权
[00807.92-00809.48] 叫做有仙速抗变权
[00809.48-00811.96] 若老师什么叫做仙速抗变权呢
[00811.96-00813.80] 这个仙速抗变权就是说
[00813.80-00816.36] 如果我还不上你钱的话
[00816.36-00818.80] 你也作为我们所说的这权人
[00818.80-00820.32] 说要上法院起诉
[00820.32-00821.88] 你要像法院起诉的话
[00821.88-00823.76] 能不能说这个时候
[00823.76-00827.28] 只起诉保证人不起诉在无人不行的
[00827.28-00829.28] 也就是说在这里面的先诉靠面权
[00829.28-00832.24] 他就只得是说只一般保证人在主合同
[00832.24-00834.28] 就分位已经審判或重才
[00834.28-00835.68] 并就在无人的才才
[00835.68-00837.48] 依法强自职行
[00837.48-00838.96] 认理行不能钱
[00838.96-00841.16] 债权人可以拒绝承担保证责任
[00841.16-00844.08] 比如说如果你只起诉王大垂
[00844.08-00846.32] 大垂就可以指挣你的鼻子说什么
[00846.32-00848.28] 你败来找我对不对
[00848.28-00849.08] 因为什么
[00849.08-00850.08] 因为我呢
[00850.08-00851.60] 享有先诉靠面权
[00851.60-00854.80] 你要先去找谁先去找债务人去找杰瑞
[00854.80-00856.40] 杰瑞如果真的还不上了
[00856.40-00858.00] 你在来找我明白了吧
[00858.00-00859.72] 所以在这里面叫先速靠面权
[00859.72-00861.00] 所以先速靠面权呢
[00861.00-00862.68] 它的要求就是在程序上
[00864.96-00866.32] 那这是在程序上
[00866.32-00867.20] 程序上怎么样呢
[00867.20-00868.04] 不能
[00869.40-00870.40] 单独告
[00872.72-00874.40] 不能单独告谁呢
[00874.40-00875.16] 保证人
[00877.60-00879.64] 就是在程序上你要像法院去做的时候
[00879.64-00880.80] 不能单独告保证
[00880.80-00884.84] 如果弹度报告,弹度报告保证人的话,法院会判定什么?
[00884.84-00887.04] 不会采定不与受理了
[00887.04-00889.04] 因为你都没有合格的两高
[00889.04-00892.32] 所以在这里面,程序上不能弹度报告保证人
[00892.32-00896.36] 那实体上呢?实体上就是开始要陪你钱的时候
[00896.36-00898.68] 能不能先执行保证人的财杀
[00898.68-00903.68] 不行,所以在实体上就不能弹度执行保证财杀
[00907.28-00908.92] 不能弹度执行
[00910.80-00911.52] 其裁判
[00914.64-00916.40] 不能单独執行其裁判
[00916.40-00918.64] 你要是先執行
[00918.64-00920.52] 这五人,这五人还不上
[00920.52-00921.56] 你在来執行我的
[00921.56-00923.48] 或者是这五人一点钱没有
[00923.48-00924.44] 你在来執行我的
[00924.44-00925.16] 明白了吧
[00925.16-00926.52] 所以这是一般保证
[00926.52-00927.52] 一般保证你就知道
[00927.52-00928.72] 它是有先后设计的
[00928.72-00930.04] 它的设计就是什么
[00930.04-00930.72] 在这里
[00930.72-00931.84] 是一定要先找
[00931.84-00933.84] 这五人后找保证人
[00933.84-00934.28] 为什么
[00934.28-00935.88] 因为保证人想有先做
[00935.88-00936.56] 靠面权
[00936.56-00937.44] 那我如何判断
[00937.44-00938.44] 它是一般保证
[00938.44-00939.12] 你看
[00939.12-00940.32] 有没有明确的字
[00940.32-00942.32] 如果沒有允許這兒在天當中說
[00942.32-00943.74] 沒有約定會約定不明
[00943.74-00947.68] 那這個時候也是為一半保證
[00947.68-00949.08] 是第一種保證方式
[00949.08-00952.24] 那第二種保證方式就叫做聯带責任保證
[00952.24-00953.84] 說聯带責任保證是指
[00953.84-00956.88] 保證人在責務人不能旅行責務室
[00956.88-00959.04] 與責務人承擔聯带責任保證
[00959.04-00961.08] 這個責任就很大了
[00961.08-00962.84] 這個責任大到什麼程度呢
[00962.84-00963.64] 大家就知道
[00963.64-00967.36] 這是如果我到期不能還給你錢的話
[00967.36-00968.92] 你想怎麼起訴
[00968.92-00969.92] 就怎麼起訴
[00969.92-00972.20] 想怎么只想就怎么只想
[00972.20-00974.64] 你可以直接越过我直接起诉谁
[00974.64-00975.48] 网大崔
[00975.48-00977.96] 你也可以直接越过我
[00977.96-00980.16] 直接直接直接财差
[00980.16-00981.28] 网大崔的财差
[00981.28-00983.40] 所以这个责任怎么样就很高
[00983.40-00986.24] 所以联带责任保证一般球下没人愿去
[00986.24-00987.76] 没人愿去给人做人报的
[00987.76-00988.04] 对吧
[00988.04-00988.88] 风险太高了
[00988.88-00991.08] 所以联带责任保证就写句话
[00991.08-00993.20] 就是想怎么告
[00993.20-00994.24] 就怎么告
[00996.96-00998.36] 想怎么告
[00998.36-00999.44] 就怎么告
[00999.44-01000.84] 那不像一般保證啊
[01000.84-01002.72] 一般保證不能担度高保證人
[01002.72-01004.00] 你要么就夠債務人
[01004.00-01006.16] 要么就把債務人和保證你快高了
[01006.16-01007.20] 但這裡不一樣
[01007.20-01008.40] 連帶責任保證呢
[01008.40-01009.44] 就是說白了
[01009.44-01011.60] 就是我跟他從川一條褲子了
[01011.60-01013.00] 所以他搞不定的事
[01013.00-01014.40] 那你就來找我就行了
[01014.40-01014.72] 對吧
[01014.72-01016.56] 所以你想怎麼夠就怎麼夠
[01017.52-01018.80] 你可以夠我啊
[01018.80-01019.88] 你可以夠
[01019.88-01020.60] 王大蠢
[01020.60-01022.24] 你可以把我和王大蠢一起高了
[01022.24-01024.24] 那這個時候才產怎麼排
[01024.24-01026.04] 這是想怎麼執行
[01026.04-01027.04] 就怎麼執行
[01029.44-01033.78] 这种想怎么执行就怎么执行
[01037.12-01038.66] 想怎么执行就怎么执行
[01038.66-01040.96] 如果还不上钱你可以先执行我的财产
[01040.96-01043.78] 你可以直接越过我把王大传执行了
[01043.78-01046.08] 这种想怎么执行就怎么执行
[01046.08-01048.64] 所以他的责任会更高一点
[01048.64-01051.96] 那说老师我怎么判断他是不是连带责任保证
[01051.96-01055.04] 我们如果在世界大位考试的说明就反推
[01055.04-01056.58] 如果他提案当中
[01056.58-01058.68] 没有说是月定一半保证
[01058.68-01060.14] 没有说到期不能旅行
[01060.14-01061.72] 也没有说月定不明的情况
[01061.72-01063.24] 那我们就默认为它是什么
[01063.24-01064.50] 连代责任保证
[01064.50-01066.30] 连代责任保证一般情爱就说了
[01066.30-01066.82] 说什么呢
[01066.82-01069.48] 如果责任无人道期不能旅行责任的
[01069.48-01072.38] 本人承担所有责任
[01072.38-01075.02] 或者是本人无条件承担
[01075.02-01078.34] 责任或者说本人直接向责任承担责任
[01078.34-01081.30] 反正这种情况这就是要无条件直接
[01081.30-01082.78] 就看一下提案当中说了
[01082.78-01084.38] 我无条件怎么样
[01084.38-01086.02] 说我直接怎么样
[01086.02-01087.94] 这个时候就是我们所说的啥
[01088.94-01090.58] 连带责人保证啊
[01090.58-01091.74] 所以连带责人保证
[01091.94-01094.26] 同时只要去做这么两个维度
[01094.26-01096.50] 第一个就大家能够去判断出来
[01096.78-01099.14] 拿种情况是一般保证
[01099.14-01101.86] 拿种情况是连带责人保证
[01101.86-01104.22] 第二个呢就是一般保证当中的
[01104.22-01106.30] 一般保证人想有仙素靠面权
[01106.30-01108.10] 因为他旅行有些核甩血
[01108.10-01111.14] 所以在这里一定是先债务人后保证人
[01111.14-01113.38] 而连带责人保证没有任何的甩血限制
[01113.38-01114.34] 想怎么告诉我们高
[01114.34-01115.54] 相同的配怎么配
[01115.54-01118.34] 那这个就是我们所说的保证
[01118.34-01121.14] 这就把典型河通当中的无种河通
[01121.14-01122.34] 都给大家说完了
[01122.34-01125.74] 每一个河通它都有一些细节上的一些考察点
[01125.74-01127.34] 需要同行的回去的时候
[01127.34-01130.34] 在粉粉夫妇的甚至框架书理一下
[01130.34-01132.74] 这里面我们讲完了河通
[01132.74-01134.94] 接下来我们就来把这个题目
[01134.94-01136.34] 简单来看一下
[01136.34-01139.94] 说第一题说上某像革某借款算是万
[01139.94-01142.54] 同行们把借款化出来是什么
[01142.54-01143.54] 借款河通
[01143.54-01146.10] 那这时候呢有徐某
[01146.10-01147.60] 这个时候大家注意一下
[01147.60-01149.68] 你就画人物画事象就行了
[01149.68-01151.94] 杆上猛向杆某
[01151.94-01153.26] 借款30万
[01153.26-01156.58] 这个时候有徐某提供什么提供保证
[01156.58-01157.62] 然后他说了
[01157.62-01158.90] 说在这个时候呢说
[01158.90-01161.34] 如果杆某徐某在保证和同当中
[01161.34-01162.74] 位于定
[01163.50-01164.52] 保证方式
[01164.52-01166.20] 位于定会约定不明的
[01166.20-01167.10] 是为什么保证
[01167.10-01169.02] 是为一般保证
[01169.02-01172.78] 因为我们要尽可能保证保证人的利益
[01172.78-01173.28] 对吧
[01173.28-01175.22] 你说老是你在这个我说着考虑
[01175.72-01177.04] 因为我知道密保拿
[01177.04-01178.58] 所以尽可能都不要为那人家
[01178.58-01179.96] 所以第一体选择的是什么
[01179.96-01180.92] A选项
[01180.92-01181.60] A选项
[01181.60-01182.38] 所以大家注意一下
[01182.38-01183.10] 只第一体
[01183.44-01184.20] 第二体
[01184.20-01184.94] 来看一下
[01184.94-01186.60] 说原谋和方抹是夫妻
[01186.60-01187.80] 同把夫妻换出来
