[00000.00-00004.92] 上下課我們講了馬斯主義基本原理的導論了解了整個馬元說了什麼
[00781.56-00783.56] 他需要一些解体的技巧
[00783.56-00784.92] 这个就是埃二
[00784.92-00786.92] 如果在这里标助了一个埃似
[00786.92-00787.84] 那就意味着啥呢
[00787.84-00788.68] 那就意味着
[00788.68-00791.76] 这个点它就是一个被送实际的点
[00793.16-00794.80] 你就给它背下来就能拿份
[00795.24-00796.88] 那这里面我们来看一下
[00797.08-00798.08] 这个点第一个点
[00798.08-00802.28] 它是哲学师对自然支持社会支持思维之事的概括和总结
[00802.28-00804.00] 它是一个S 对吧
[00804.00-00805.08] S就是背下来
[00805.20-00811.08] 那它一般请我要会在这干嘛把这个概括和总结给它简单的认为加综
[00811.08-00812.28] 它就会给到一句话
[00812.48-00815.28] 哲学师对这三个方面的加综
[00815.28-00816.92] 政府说法就错了
[00816.92-00817.76] 大家注意一下
[00817.76-00821.64] 哲学是对一些内容的普遍性存在的东西
[00821.64-00824.44] 他背后共性东西的一种体恋
[00824.44-00825.00] 说白了
[00825.00-00827.04] 他其实是一种抽象和提纯的
[00827.04-00828.80] 就像咱们做数学的时候
[00828.80-00829.16] 对吧
[00829.16-00830.64] 你总会提取公应室
[00830.64-00831.64] 是这个感觉
[00831.64-00833.84] 所以哲学他不是简单的家总
[00833.84-00835.60] 他如果一旦说家总的话
[00835.60-00837.68] 这个说法就是错误的
[00837.68-00838.84] 大家一定要注意
[00838.84-00840.00] 这是我们所说的
[00840.00-00840.88] 第一个
[00840.88-00843.72] 我们所给到的哲学他的
[00843.72-00845.00] 另外一个定义
[00845.00-00845.84] 另外一个定义
[00845.84-00848.40] 那这个定义是从哪个角度来看的呢
[00848.40-00853.36] 这个定义就是对比哲学这个学科和其他学科之间的差距来看的
[00853.36-00856.48] 那和哲学对用的学科呢叫做具体科学
[00856.48-00857.60] 啥具体科学呢
[00857.60-00863.68] 但是具体科学是研究世界某一领域特殊规律学问的学科
[00863.68-00865.64] 那这个就叫做具体科学
[00865.64-00868.36] 所以具体科学我们常见的语文
[00868.36-00870.60] 是我專研究文字語言
[00870.60-00875.40] 話學生我物理等等
[00875.40-00877.52] 像這些我們所說的科目
[00877.52-00879.04] 它數據確訊
[00879.04-00882.16] 它只研究某一個特定領域
[00882.16-00883.80] 這個是的確訊
[00883.80-00885.08] 而哲學是啥呢
[00885.08-00888.08] 哲學的研究範圍是整個世界
[00888.08-00890.24] 它其實是把我們所接觸到的
[00890.24-00891.72] 物質世界和經熱世界
[00891.72-00893.08] 都放在一塊了
[00893.08-00895.20] 這個是哲學的研究範圍
[00895.20-00897.48] 所以就從學科角度來看
[00897.48-00898.52] 同一们来看一下
[00898.52-00900.68] 如果就从学科角度来看
[00900.68-00902.48] 具体科学是
[00902.48-00903.60] 学科
[00903.60-00904.60] 哲学也是
[00904.60-00905.60] 学科
[00905.60-00907.72] 他们两个在学科的地位上
[00907.72-00909.16] 没有谁高
[00909.16-00910.48] 谁第一只纷
[00910.48-00911.48] 能理解我的意思吧
[00911.48-00912.28] 你不能说
[00912.28-00914.12] 哲学就高数学一头
[00914.12-00914.96] 你也不能说
[00914.96-00916.44] 哲学就高生物一头
[00916.44-00917.12] 那这不行
[00917.12-00918.44] 因为他们都是什么
[00918.44-00919.68] 都是学科
[00919.68-00922.00] 只过他们之间的差距只是在
[00922.00-00924.00] 研究范围上不同而已
[00924.00-00928.16] 敬而因為研究犯了不同
[00928.16-00933.68] 所以他們在實際中的在實際過程中所發揮的作用不同而已
[00933.68-00935.56] 所以你不能說哲學別人就高一口
[00935.56-00936.56] 明白這個點嗎
[00936.56-00938.00] 這個服務一下按在這
[00938.00-00939.12] 因為它是一個考點
[00939.12-00940.96] 一會我們在後面會統一的重結
[00940.96-00941.92] 大家注意一下
[00941.92-00943.92] 那這次哲學和具體科學
[00943.92-00946.08] 那他們兩個之間的定義不用管
[00946.08-00947.20] 他們兩個利用意
[00947.20-00948.64] 幾乎不會考察
[00948.64-00951.92] 那這次我們所說的第一個基本概念
[00951.92-00955.00] 那了解了什么是具体科学 什么是折学之后呢
[00955.00-00958.52] 接下来我们要去做的 就是在这里要去看一下
[00958.52-00961.90] 折学和具体科学之间有什么关系啊
[00961.90-00963.40] 这个点同时标助一下
[00963.40-00968.00] 它是一个两星级的重点 它是一个两星级的重点
[00968.00-00971.04] 这个点它经常会考理解形的阿利体
[00971.04-00974.12] 也经常在这里会考一些实际形的题目
[00974.12-00975.28] 大家要注意一下
[00975.28-00978.68] 那么来看一下折学剧的关系 怎么说
[00978.68-00981.56] 叫做折学剧科学是公共性与各形
[00981.56-00984.84] 一般与个别直到与被直到之间的关系
[00984.84-00987.76] 在这里给他标注出来这个点非常重要
[00987.76-00988.84] 我们刚才说了
[00988.84-00991.48] 哲学研究的是整个世界
[00992.48-00993.04] 对吧
[00993.04-00996.88] 而哲学研究的是这个世界的某一个领域
[00999.48-01000.92] 就是特定领域
[01000.92-01004.04] 所以哲学体现的是整个世界的运行规律
[01004.04-01006.56] 而我们所说的整个世界的运行规律
[01006.56-01009.64] 一定是在特定领域之下才能展现出来
[01009.64-01012.00] 比如说我认为运动是有规律的
[01012.00-01013.76] 那你杂知道运动是有规律的呢
[01013.76-01015.76] 那无非就是你观察了原子运动
[01015.76-01017.00] 你发现是有规律的
[01017.00-01018.48] 你观察了分子运动
[01018.48-01019.56] 你发现有规律
[01019.56-01021.32] 你观察人类社会的运动
[01021.32-01022.96] 变化你发现有规律
[01022.96-01024.84] 所以我得出来一个结论
[01024.84-01027.40] 叫世界的运动是有规律的
[01027.40-01027.88] 对吧
[01027.88-01029.48] 所以在这里我们会发现
[01029.48-01031.64] 整个世界和特殊领域之间
[01031.64-01033.08] 他们之间就是
[01033.08-01035.84] 共性语 各性 一般 语 各别
[01035.84-01037.56] 知道 和背石老实际的关系
[01037.56-01038.76] 千万在这里
[01038.76-01040.76] 打住一下,有一个点是错的
[01040.76-01046.76] 千万不能认为,折血和具体科学之间是要整体和部分之间的关系
[01049.26-01055.26] 如果认为整血和具体科学是整体部分之间的关系,种说话就是错的
[01055.26-01060.96] 整体预约,部分是组成和贝组成之间的关系,是系统和要素之间的关系
[01060.96-01065.96] 他们两个可不是,因为我们刚才说了折血和具体科学,只是研究的范围不一样
[01065.96-01069.36] 但本身上都是学科没有谁包含谁这一说
[01069.36-01069.86] 对吧
[01069.86-01073.06] 所以在这里他如果说是整体和部分之间关系
[01073.06-01074.66] 你上学就给他打个差
[01074.66-01076.66] 那这种说法就是错误的
[01076.66-01079.86] 所以在这里面他经常会在判断提当中
[01079.86-01082.66] 或者是我们所说的判断选项当中
[01082.66-01085.76] 在这里面把整体和部分混小进来
[01085.76-01087.76] 如果一大马整体的部分混小进来
[01087.76-01090.26] 你一定是错的注意下这个小现景
[01090.26-01094.66] 这是我们所说的第一个总体上来判断一下他们之间关系
[01094.66-01097.86] 如果從他們的實際發揮作用來看的話
[01097.86-01100.58] 我們來看一下距離客學和哲學
[01100.58-01102.30] 分別起了什麼樣的作用
[01102.30-01104.90] 首先在這裡 哲學市議
[01104.90-01107.74] 距離客學為基礎
[01107.74-01109.94] 把這個距離客學為基礎發出來
[01110.94-01113.86] 這個點 它經常會考察案例
[01113.86-01116.14] 叫距離客學是哲學的基礎
[01116.14-01118.86] 比如說 我們之前在哲學研究的時候
[01118.86-01121.58] 我們就沒有研究過人工智能的問題
[01121.58-01124.86] 那人工只能到底属屎于人的意识呢
[01124.86-01127.78] 那这种情况之下我们之前是没有考虑过的
[01127.78-01129.14] 为什么之前没有考虑啊
[01129.14-01131.38] 因为在人的社会的发展当中
[01131.38-01134.06] 这几年人工只能採逐渐产生
[01134.06-01137.18] 而人工只能到底能能成为人超越人
[01137.18-01139.38] 这不是前几年在主持上的命题
[01139.38-01140.38] 而是现在才有的
[01140.38-01140.98] 对吧
[01140.98-01143.22] 所以我们会发现人工只能
[01143.22-01144.94] 这一项科学技术的发展
[01144.94-01147.18] 那人工只能是不是具体科学的体现
[01147.18-01148.50] 那他就推动了
[01148.50-01149.86] 哲学不断进步
[01149.86-01151.94] 讓措施折血去研究
[01151.94-01154.34] 人工智能和折血之間的問題
[01154.34-01155.30] 所以你看
[01155.30-01158.18] 人工智能的發展推動了折血的發展
[01158.18-01159.22] 那就意味著
[01159.22-01162.18] 具體科學是折血的基礎
[01162.18-01163.74] 在這裡面你要知道
[01163.74-01165.46] 具體科學是基礎
[01165.46-01167.54] 那第二個就在這裡說到了
[01167.54-01168.82] 說折血是啥呢?
[01168.82-01169.86] 在這裡標準一下
[01169.86-01171.94] 說折血為具體科學提供
[01171.94-01174.70] 是一關和方法論的直導
[01174.70-01176.58] 這裡面有一個非常重要的詞
[01176.58-01177.58] 同能標準一下
[01177.58-01178.90] 你甚至可以在這裡面
[01178.90-01180.50] 发商两个小点点
[01180.50-01184.78] 只是 具责学位具科学提供的节奋是直到
[01184.78-01186.34] 这种直到就体现在啥呢
[01186.34-01190.10] 就是体现在你现在做一件事情遇到困惑和民网的时候
[01190.10-01191.70] 你就可以翻一番哲学书
[01191.70-01193.82] 比如说学习的时候遇到了皮败
[01193.82-01195.30] 是突现了倒退的情况
[01195.30-01196.46] 你觉得学不下去了
[01196.46-01197.46] 累了毁灭了
[01197.46-01198.70] 那这时候对方分说
[01198.70-01199.62] 实话说的是啥
[01199.62-01202.46] 说15的发展是前进性和驱者性的同意
[01202.46-01203.90] 你一定会往前进的
[01203.90-01205.26] 大家一定会啥案的
[01205.26-01207.06] 我一定会一样抱富的
[01207.06-01208.58] 只不过是过程怎么样
[01208.58-01209.98] 如果过程比较驱着
[01209.98-01212.42] 所以我现在遇到一些问题怎么办
[01212.42-01213.82] 莫莫的忍受对吧
[01213.82-01214.74] 独自承担
[01214.74-01215.78] 我可以越包服
[01215.78-01216.50] 那你看
[01216.50-01218.06] 这都是哲学给我的直到
[01218.06-01219.18] 那你看这种直到
[01219.18-01220.06] 多半是什么样的
[01220.06-01221.10] 同样在标注一下
[01221.10-01223.58] 这种直到多半是红官的
[01226.06-01228.78] 多半是红官的方法上的
[01228.78-01229.54] 告诉你
[01229.54-01230.62] 大概你要怎么做
[01230.62-01232.38] 告诉你这个方向是好的
[01232.38-01233.66] 他都是红官的
[01233.66-01236.06] 他能能提供具体的方案同学们
[01236.38-01237.58] 哲学有没有告诉我
[01237.58-01238.78] 怎么样以后报复
[01238.78-01241.30] 哲学有没有告诉大家怎么样去伤害
[01241.30-01241.90] 没有
[01241.90-01244.30] 因为他只能给你是红官上的知道
[01244.30-01248.78] 而不能给你提供具体的方法和详细的规划
[01251.06-01253.98] 所以在这里出现了一个判断体
[01253.98-01255.54] 或者是判断选项
[01255.54-01257.14] 就是在这里经常会给到
[01257.14-01259.02] 说哲学为中国
[01259.02-01262.66] 马斯嘴哲学为中国的发展提供了详细的规划
