[00000.00-00002.68] 好的同学们我们讲完了
[00210.80-00213.40] 在四个全面战略不局的具体内容
[00213.40-00215.38] 首先来看一下第一个点
[00215.38-00217.50] 就是我们来看四个全面
[00217.50-00218.78] 它的表述
[00218.78-00221.12] 它说党的15节宋权会当中
[00221.12-00223.00] 将4个全面表述为
[00223.00-00225.28] 全面介绍15主习的画国家
[00225.28-00226.64] 全面身画改革
[00226.64-00227.72] 全面依法之国
[00227.72-00229.36] 一句全面同样知道
[00229.36-00231.56] 这已经是在这里面给我们提出了
[00231.56-00233.24] 叫最新的4个全面
[00233.24-00233.56] 对吧
[00233.56-00236.24] 我们在10有节宋权会以前
[00237.44-00239.76] 我们的4个全面用哪些
[00240.48-00242.36] 同学们这个应该非常熟悉
[00242.36-00242.88] 对吧
[00242.88-00244.88] 在售街五中全会啊
[00244.88-00246.56] 不应该四中全会最漂亮啊
[00246.56-00248.88] 你看我讲课的时候经常会最漂亮
[00248.88-00252.08] 那在这里面我们之前的四个全面分别是全面
[00253.12-00256.80] 然后建成小康社会对不对
[00256.80-00258.16] 这是第一个
[00258.16-00260.56] 然后我们又提到了叫做全面
[00261.36-00262.64] 深化改革
[00262.64-00263.60] 我简单显了
[00263.60-00266.40] 然后全面一法制裹
[00266.40-00268.80] 以及全面从言之道
[00268.80-00270.00] 一共是这四个
[00270.00-00274.10] 我们说了全民精神小唤社会的目标已经在那一年实现了
[00274.10-00276.14] 已经在2020年实现了
[00276.14-00278.96] 所以2020年全民精神小唤社会之后
[00278.96-00282.04] 中国的发展迎来了一个新的平台
[00282.04-00284.60] 这个时候在小唤社会完成之后
[00284.60-00286.00] 我们接下来要怎么做
[00286.00-00287.92] 我们前面给大家讲过对吧
[00287.92-00289.72] 到平同志的老三部
[00289.72-00291.26] 我们又讲了新三部
[00291.26-00293.30] 然后我们又讲了战略安排两部总
[00293.30-00295.86] 女发现这一系列的战略安排
[00295.86-00297.66] 它都是别让三个字展开的
[00297.66-00299.18] 都是别让什么展开的
[00299.18-00301.42] 都是为让现代化展开的
[00301.42-00302.34] 所以我们说了
[00302.34-00303.94] 全民经的小和社会完成之后
[00303.94-00305.86] 我们下一步的任务就是要干嘛
[00305.86-00308.74] 就是要实现现代化国家的建设
[00308.74-00310.26] 比如说在老三部当中
[00310.26-00311.90] 同学跟着老师去回忆一下
[00311.90-00313.66] 我们在老三部当中提到了
[00313.66-00315.82] 到21世纪的中业
[00315.82-00317.26] 有基本实现现代化
[00317.26-00319.10] 我们是不是提到了现在化的内容
[00319.10-00320.42] 你看又比如说
[00320.42-00321.98] 我们在新三部当中
[00321.98-00324.26] 是从我们所提到的
[00324.26-00326.58] 2000年到21世纪中业
[00326.58-00329.40] 那新三部的节点也是基本实验宪的话
[00329.40-00331.18] 到了战略安排两部走的时候
[00331.18-00334.52] 我们说了到21世纪中也我们要建成收主线的话
[00334.52-00337.08] 国家无论它的精程如何
[00337.08-00338.74] 它都是给肉什么展开的
[00338.74-00340.54] 都是给肉现在化展开的
[00340.54-00342.46] 所以我们就能够非常明确
[00342.46-00344.22] 全面这一层小床社会
[00344.22-00348.08] 这一个平台成阶的下一步就是什么
[00348.08-00352.58] 就是全面建设主要这里是建设不是建筑
[00352.58-00354.92] 全面建设收主线的话国家
[00354.92-00357.48] 所以他就在受接武动权回当中
[00357.48-00358.64] 完全了一个什么
[00358.64-00359.28] 转化
[00359.28-00360.28] 所以在这里面
[00360.28-00361.64] 大家要明确这么几个点
[00361.64-00363.52] 第一个就是四个全面当中
[00363.52-00364.92] 第一个全面是全面建设
[00364.92-00367.16] 受主现在化国家
[00367.16-00369.16] 所以同时们把重点放在什么上
[00369.16-00370.64] 放在现在化少
[00370.64-00371.92] 但是和全面全面建设
[00371.92-00373.00] 小块社会一样
[00373.00-00373.88] 大家要知道
[00373.88-00375.40] 现代化国家的建立
[00375.40-00376.76] 他一定需要一个什么
[00376.76-00377.32] 动力
[00377.32-00378.92] 而动力来自于什么呢
[00378.92-00380.84] 动力来自于改革
[00380.84-00382.16] 所以第二个没有提到了
[00382.16-00384.24] 叫做全面生化改革
[00384.24-00385.72] 为什么改革是动力呢
[00385.72-00388.44] 我们再讲改革开放理论的时候给大家说了
[00388.44-00391.92] 说改革呢 是中国的第二次革命
[00391.92-00395.00] 他把现有的一些救的体制机制所出了
[00395.00-00398.32] 这是哪一些阻挨了国家经济的发展这些咱都怎么样
[00398.32-00400.08] 咱都典气咱都不要
[00400.08-00402.28] 所以他所出了救的体制机制
[00402.28-00403.96] 触接了生产力的发展
[00403.96-00408.24] 所以现在化国家当中必须要通过什么来推动
[00408.24-00410.88] 必须要通过改革来推动它的发展
[00410.88-00412.32] 但这里面会有一个问题
[00412.32-00413.04] 大家知道
[00413.04-00417.64] 我们提到改革的时候我们经常会提到改革网网网网网网网网网就是破旧
[00418.54-00419.24] 理心
[00419.44-00422.52] 在破旧理心当中就会有一个问题存在
[00422.72-00424.56] 就是改革的力度越大
[00424.56-00426.86] 你破旧的程度就会越大对对对
[00427.12-00430.46] 这个时候你对于生产力的促进就会越快
[00430.70-00433.00] 但是在这里面同样或者存在另一个问题就是
[00433.26-00434.80] 你的改革力度越大
[00435.06-00436.60] 社会的稳定性就会怎么样
[00436.84-00439.40] 社会的稳定性可能相对来说就会越差
[00439.66-00441.72] 那在这里如何去平衡他们呢
[00441.72-00442.76] 那我们说了
[00442.76-00445.12] 一方面要通过改革
[00445.12-00447.86] 为现任化国家的发展提供动力
[00447.86-00451.96] 另外一方面我们要想方设法来维护这个社会的评论医性
[00451.96-00455.04] 这个时候来靠什么保障来靠法治来保障
[00455.04-00457.60] 所以我们又提高了叫全面依法治国
[00457.60-00459.38] 所以你看书上有一句话
[00459.38-00460.40] 这句话是什么呢
[00460.40-00461.68] 就是下面这句话
[00461.68-00467.84] 他说全面设法改革和全面依法治国被称率叫车支两轮、鸟支、两抑
[00467.84-00469.62] 这个点也单称的考试过
[00469.62-00470.94] 就直接问的是
[00470.94-00473.70] 四个全面当中被预约车之两个
[00473.70-00474.94] 你要我这两亿的是什么
[00474.94-00475.82] 我们刚才说了
[00475.82-00476.82] 一个是
[00477.18-00479.34] 现在话国家发展建设的动力
[00479.34-00481.14] 但是改革意味着社会
[00481.14-00483.10] 会稳定性教察
[00483.10-00484.46] 因为改革力度越大
[00484.46-00486.14] 你心地体制没有建立起来
[00486.14-00488.06] 社会智慧相对来说
[00488.06-00489.74] 不平衡因素就会多一些
[00489.74-00492.02] 所以有动力还要维护他的什么
[00492.02-00492.70] 稳定
[00492.70-00493.30] 那你看
[00493.30-00494.42] 他就相当运什么
[00494.42-00495.26] 你要这两亿
[00495.26-00496.14] 一个吃吧
[00496.14-00497.02] 是往前飞的
[00497.02-00497.30] 对吧
[00497.30-00498.62] 你要的吃吧是为了往前飞的
[00498.62-00502.02] 但是两个吃吧就实现了一个平稳发展
[00502.02-00503.74] 包括车的轮子也是一样的
[00503.74-00504.26] 对不对
[00504.26-00507.02] 所以在这里面他们被一位叫做车治两个
[00507.02-00508.02] 两只两一
[00508.02-00510.26] 但是无论是现代化国家的建设
[00510.26-00512.70] 还说全面生化改革还是全面一反治国
[00512.70-00514.22] 它都离不开谁的领导
[00514.22-00516.38] 都离不开中国共产党的领导
[00516.38-00517.62] 所以在这里没有提到了
[00517.62-00520.14] 叫全面从研案知道
[00520.70-00521.94] 早在前几年的时候
[00521.94-00523.42] 一直在现代化国家的
[00523.42-00526.06] 这个一个战狱目标提出来之前
[00526.06-00529.62] 比如在全面建成小康社會十七的四個全面
[00529.62-00532.62] 全面存在這當然是最晚提出的
[00532.62-00534.62] 但是現在有了收主意性的話國家
[00534.62-00537.58] 現在國家是四個全面當中最晚提出的
[00537.58-00538.78] 所以大家注意一下
[00538.78-00541.18] 這就給大家總結一個考點
[00541.18-00543.06] 考點的總結就在於第一個
[00543.06-00547.34] 大家要在這裡明確從之前的四個全面到現在的四個全面
[00547.34-00548.46] 它是一個轉變
[00548.46-00550.70] 是在全面建成小康社會之後
[00550.70-00552.22] 在什麼時候提出的
[00552.22-00554.70] 世界五中全會提出的
[00554.70-00558.46] 这是第一个伟度 大家知道的 会议哪次会议的转变
[00558.46-00561.82] 第二个就是现在的四个全面 他到底
[00562.46-00564.94] 有那些 这是第二个伟度的靠点
[00564.94-00569.74] 第三个伟度的靠点就是在四个全面当中有两个被称之为叫什么
[00569.74-00572.62] 被称之为车之两轮 扭之两义
[00572.62-00575.26] 或者被称之为叫现代化国家接受的啥呢?
[00575.26-00577.66] 子妹偏 样的 现在旁边
[00578.62-00583.26] 现在化国家接受 四个全面当中的子妹偏 它咋说都行
[00583.26-00588.06] 这个就是我们所说的一个提供动力往前走的
[00588.06-00590.30] 一个维护稳定保持平衡的
[00590.30-00592.26] 就是改革和法制
[00592.26-00595.74] 这个就是从红官上我们要能够去明确
[00595.74-00597.90] 我们所说的四个全面
[00597.90-00599.34] 它的第一个维度的考察
[00599.34-00602.74] 就是在这游纳线 它的会议是什么
[00602.74-00604.34] 在这里面 大家要能够明确
[00604.34-00606.10] 一共是三个维度的 这是点
[00606.10-00608.86] 在这 我用紫色的 比较注出来
[00608.86-00612.90] 好的 这个就是我们从红官上了解了四个全面的内容
[00612.90-00615.00] 从红外上掌握了四个权品之后
[00615.00-00618.60] 接下来我们就去详细的来看一下这四个权面的具体内容吧
[00618.60-00620.40] 首先第一个我们先来看一下
[00620.40-00623.64] 从权面建成大住一下是完成
[00623.64-00626.20] 从权面建成小方社会到权面建设
[00626.20-00628.50] 大家坐体的时候有的时候一定要注意
[00628.50-00630.00] 若是个别地去考试
[00630.00-00632.30] 它考得比较细致的话就喜欢扣字啊
[00632.30-00633.62] 这个时候它就会给到
[00633.62-00637.50] 四个权面指的是权面建成社会主义的化国家
[00637.50-00638.10] 不是
[00638.10-00639.70] 酸母的目标是完成
[00639.70-00640.90] 现在化国家的建立
[00640.90-00642.40] 但目前我们才
[00642.40-00643.64] 刚刚起步
[00643.64-00644.48] 刚刚起步
[00644.48-00645.68] 我们要用到的是什么
[00645.68-00647.32] 我们要用到的是建设
[00647.32-00648.36] 而编费建筑
[00648.36-00650.16] 所以在这里面大家要知道
[00650.16-00651.56] 第一个我们来看一下
[00651.56-00652.76] 它是如何推进的
[00652.76-00654.76] 在以前我们提到
[00654.76-00656.52] 全面建筑小床社会的时候
[00656.52-00657.52] 你看它提到了
[00657.52-00658.96] 说全面建筑小床社会
[00658.96-00660.56] 墙调的不减是小床
[00660.56-00662.84] 共折共难做到的是全面
[00662.84-00664.60] 小床是我们的追求
[00664.60-00665.16] 对吧
[00665.16-00666.88] 我们经常说小床不小床
[00666.88-00667.96] 关键看老乡
[00667.96-00668.28] 对吧
[00668.28-00669.76] 在追求小床过程当中
[00669.76-00671.08] 我们重点要看那些
[00671.08-00672.74] 要看領域甚至全面
[00672.74-00674.70] 要看人口是不是全面等等
[00674.70-00676.78] 所以他說更難做到的是全面
[00676.78-00679.58] 所以從19大到2020年
[00679.58-00680.88] 就生下沒幾年了
[00680.88-00682.60] 我們就進入到了全面小時候會的
[00682.60-00683.50] 絕生期
[00683.50-00685.88] 以及在後面我們通過不斜的
[00686.58-00688.56] 努力打贏了托平公經站
[00688.56-00691.48] 為國家的發展電訂了一個基礎
[00691.48-00693.08] 所以在這裡面大家要知道
[00693.08-00695.98] 在前面就提到了全面介紹小華社會
[00695.98-00697.58] 後面提到一個點
[00697.58-00701.06] 他说要紧扣社会的主要矛盾变化
[00701.06-00702.98] 坚决打好三大公舔站
[00702.98-00704.22] 这三大公舔站
[00704.22-00706.66] 你说他目前也没有客号星
[00706.66-00708.86] 有大家的客号星很弱
[00708.86-00711.70] 只是在个别的选项当中出现过
[00711.70-00712.70] 所以在这里面
[00712.70-00716.02] 同时把它做一个不重要的考虑去掌握
[00716.02-00717.86] 也就是说如果按照我们的老规矩
[00717.86-00721.14] 全面这三个它是两星级的知识点的话
[00721.14-00722.54] 在这个点里面
[00722.54-00724.46] 它就是一个医星级的知识点
[00724.46-00726.70] 就是你稍微有点印象就可以了
[00726.70-00729.64] 这个点的被称为叫做三大公监站
[00731.98-00733.82] 被称为叫三大公监站
[00733.82-00735.90] 这三大公监站分别是第一个
[00735.90-00738.86] 叫防饭化解重大风险公监站
[00738.86-00740.38] 把握住我们说了
[00740.38-00743.26] 现在国家发表过程中可能出现的
[00743.26-00745.42] 看得见得和看不见的这些风险
[00745.42-00747.18] 我们要想方设法把这些风险怎么样
[00747.18-00749.10] 化解掉比如说最常见的是吧
[00749.10-00749.98] 进入风险
[00749.98-00752.14] 进入风险属于重大风险呢
[00752.14-00752.94] 属于啊
[00752.94-00753.42] 对吧
[00753.42-00755.02] 这个时候银行如何去验血
[00755.02-00756.56] 如果控制这个赤资率呢
[00756.56-00758.10] 甚至包括我们前几年
[00758.10-00760.66] 影响国家经济发展进程的什么
[00760.66-00762.96] 疫情一情算算中大风险的
[00762.96-00763.60] 也算
[00763.60-00765.90] 在这里面防范化解中大风险
[00765.90-00768.08] 就是把这些不可空的因素
[00768.08-00769.10] 想法设法怎么样
[00769.10-00770.02] 给它控制住
[00770.02-00772.94] 所以在这里面大家一定要注意
[00772.94-00775.14] 这是第一个叫防范化解中大风险
[00775.14-00776.66] 第二叫精准脱品
[00776.66-00777.88] 前几点要提到了
[00777.88-00780.36] 第三一个就是不然防治共建战
[00780.36-00782.14] 不然防治共建战的目前
[00782.14-00784.58] 还有可能和生态文明建设放在一块
[00784.58-00787.62] 就是我们要打扬兰天必水晶土
[00787.62-00788.42] 保密山
[00788.42-00791.98] 所以在这里面大家知道这三大姑娘这稍微有个印象
[00791.98-00793.78] 他不可能单独出体了目前
[00793.78-00794.62] 同一位名曲
[00794.62-00795.46] 不可能想前面说
[00795.46-00797.34] 四个全面有哪些人就发控去选
[00797.34-00798.14] 不太可能了
[00798.14-00801.38] 目前他就只有可能出现一个选项而已
[00801.38-00803.90] 或者大家在做个别的列稀提的时候
[00803.90-00805.02] 可能会看到他
[00805.02-00806.46] 所以这是我们所说的
[00806.46-00808.26] 全面健成小床社会
[00808.26-00809.70] 到全面建设
[00809.70-00810.70] 现代化
[00810.70-00812.58] 你老老百物诸这三个字
[00812.58-00816.14] 到现在全面接受现代化国家
[00816.14-00817.62] 他的一个转变
[00817.62-00822.46] 这是第一个我们叫从小康到现在他建设
[00822.46-00824.50] 无论是小康还是现在他建设
[00824.50-00827.02] 想要走出当前的这样一个困局
[00827.02-00829.06] 实现下一个目标的发展
[00829.06-00830.50] 他其实都需要一个动力
[00830.50-00832.22] 那么说了这个动力原贼什么呢
[00832.22-00834.10] 这个动力就原贼员改革
[00834.10-00836.14] 所以我们来看一下第二个内容
[00836.90-00838.54] 叫全面是画改革
[00838.54-00840.10] 全面是画改革身上
[00840.10-00842.34] 其实是一共有三个考电的
[00842.34-00845.58] 第一個考點就是大家要明確標準一下圈衣
[00845.58-00847.38] 這是全面深化改革
[00847.38-00848.46] 他是如何
[00848.46-00850.18] 他是在什麼時候提出的
[00850.18-00851.58] 大家在旁邊標準一下
[00851.58-00854.82] 他考察一個會議和內容的對應
[00854.82-00857.14] 所以在這裡面大家要注意
[00857.14-00858.50] 提出考對應
[00858.50-00861.86] 他是在18屆三中全會的時候提出的
[00861.86-00864.66] 對於這個幾屆幾中全會同邊應該知道了
[00864.66-00867.26] 咱們在最開始的時候給大家去講過
[00867.26-00869.54] 18屆三中全會提出了一個
[00869.54-00871.86] 叫中共中央關於前面示化改革
[00871.86-00873.54] 若干重大问题的决定
[00873.54-00876.46] 然后在这里明确了全面声化改革的总部标
[00876.46-00878.46] 其实抛开全面声化改革来看
[00878.46-00881.26] 我提到改革大家应该一定知道是咱们是吧
[00881.86-00883.38] 那改革咱们提到
[00883.38-00885.70] 到平改革开放的时候就是那个改革
[00885.70-00889.54] 中国的第二次革命是受贵主义制度的做完上和发展
[00889.54-00892.86] 也就是把原本阻挨中国经济发展的那些
[00892.86-00895.02] 纠的体制机制全部破处掉
[00895.02-00897.06] 你比如说以前计划经济不好
[00897.06-00898.86] 计划经济阻挨了中国的发展
[00898.86-00899.94] 那怎么办改挨
[00899.94-00901.62] 我们把它改成市场经济
[00901.62-00904.18] 哪一个能够迎合生产力的需要
[00904.18-00907.02] 哪一个能够推动中和国力
[00907.02-00908.78] 哪一个能够让老百姓过程好日子
[00908.78-00909.74] 咱就改成哪个
[00909.74-00911.66] 那这个就是改革它的一个什么
[00911.66-00913.94] 它的一个最实质上的一个内容
[00913.94-00916.26] 但是我们会发现从1978年
[00916.26-00918.34] 到乔平统治提出改革开放
[00918.34-00919.38] 一直到今天
[00919.38-00921.82] 你看1978年提出改革开放
[00921.82-00924.10] 一直到今天 于是2023年
[00924.10-00926.90] 大家想一下改革已经过去好几十年了吧
[00926.90-00929.06] 改革过去好几十年 于意味着
[00929.06-00931.88] 你能改的都已经改的差不多了
[00931.88-00934.44] 所以在这时候就会出现一个情况
[00934.44-00935.34] 什么情况呢
[00935.34-00936.86] 就在改个开放领域
[00936.86-00939.18] 就出现了一些声音什么声音呢
[00939.18-00940.02] 就有人说
[00940.02-00941.60] 说那都改了一种差不多了
[00941.60-00942.82] 咱就别改了呗
[00942.82-00943.14] 对吧
[00943.14-00943.98] 还有一部分说
[00943.98-00945.18] 你看现在
[00945.18-00947.94] 反应这事会上的这个风起也不好
[00947.94-00949.38] 然后人心又不鼓了
[00949.38-00950.26] 老百姓之间
[00950.26-00951.66] 就没有以前那么轻进了
[00951.66-00953.22] 就人就开始提出要干嘛
[00953.22-00954.46] 其实早在多少年的时候
[00954.46-00955.46] 就有人提出要提出要提出
[00955.46-00956.42] 要提到改的开放了
[00956.42-00958.14] 但是改的开放能不能挺呢
[00958.14-00959.18] 大家知道不能停
[00959.18-00961.34] 这么多年的经济发展实现经验
[00961.34-00963.06] 其实已经从本身上告诉我们了
[00963.06-00963.94] 改革对不对
[00963.94-00964.98] 改革是对的
[00964.98-00967.30] 改革它到底对不对要不要进行
[00967.30-00968.38] 咱们之前说过
[00968.38-00969.74] 你不要看指标
[00969.74-00970.98] 不要听声音
[00970.98-00972.78] 你要看它有没有切割实施
[00972.78-00974.46] 符合三个有利于的标准
[00974.46-00975.58] 这是生产力
[00975.58-00977.42] 终合国力及人民生活水平
[00977.42-00978.54] 这么多年下来
[00978.54-00980.54] 我们能够从原本的穿的什么呢
[00980.54-00981.86] 穿的那种中山装
[00981.86-00983.06] 那种单调的颜色
[00983.06-00984.98] 到现在我们有更多的选择
[00984.98-00987.34] 中国的互联网中国的高速体验路
[00987.34-00989.94] 我們能夠吃上最先美的這些食物
[00989.94-00991.38] 那就是怎麼帶來的
[00991.38-00993.14] 改革推動經濟發展的
[00993.14-00995.50] 所以它符合剩下的發展的需要
[00995.50-00997.74] 也贏合了廣大人民群眾的需求
[00997.74-00999.50] 所以同時覺得改革能不能挑
[01000.78-01001.90] 改革不能挑
[01001.90-01003.46] 但是問題就是出現在這
[01003.46-01006.02] 這裡能改的領域已經改得差不多了
[01006.02-01007.58] 那你又說改革不能挑
[01007.58-01008.70] 那我們怎麼改呢
[01008.70-01011.58] 你看這個時候就到了我們所說的後面
[01011.58-01012.98] 新議任的國家領導人
[01012.98-01015.26] 就是現在大家都知道是誰對吧
[01015.26-01017.74] 我们现在的国家领导人他就提出了
[01017.74-01020.26] 说改革没有什么
[01020.26-01022.10] 改革只有进行时
[01022.10-01023.78] 没有完结的这个时候
[01023.78-01025.54] 所以改革永远都在进行
[01025.54-01027.54] 能改革领域都已经改得差不多了
[01027.54-01028.86] 接下来我们就怎么样
[01028.86-01031.10] 恒相的领域都已经剩一到了
[01031.10-01032.74] 我们就重生改革
[01032.74-01035.22] 所以在重生改革当中就提到了什么
[01035.22-01036.82] 全面身化改革
[01036.82-01039.50] 因为原本的改革能改革
[01039.50-01040.86] 方便改革的好改革
[01040.86-01041.82] 咱们就已经改了
[01041.82-01042.94] 现在怎么办
[01042.94-01044.98] 去改革能看的应古头
[01044.98-01046.30] 那些硬骨头难看
[01046.30-01047.78] 你的金融问题会有
[01047.78-01048.70] 那你就去改他
[01048.70-01049.02] 对吧
[01049.02-01049.86] 你的全面
[01049.86-01051.46] 我们所说的发展过程当中
[01051.46-01053.34] 你主意会暴露出来的一些问题
[01053.34-01054.14] 一些体制机制
[01054.14-01056.10] 不太符合现在需要怎么办改他
[01056.10-01056.46] 对吧
[01056.46-01057.86] 你看现在就要干嘛
[01057.86-01058.82] 重生改革
[01058.82-01060.58] 重生改革就要做生化
[01060.58-01062.58] 那在哪些领域当中生化呢
[01062.58-01063.66] 全生化
[01063.66-01065.34] 经济政治文化社会生态
[01065.34-01065.66] 对吧
[01065.66-01066.34] 全方面
[01066.34-01067.98] 所以在这里提到的叫什么
[01067.98-01069.34] 全面生化改革
[01069.34-01070.38] 其实同没有知道
[01070.38-01072.06] 他其实是有一个
[01072.06-01074.10] 这样的一个邏輯在里面的
[01074.10-01075.42] 你明白了它是什么意思
[01075.42-01077.62] 你今天就要知道它到底要干什么了
[01077.62-01078.98] 所以这是我们所说的
[01078.98-01081.66] 第1个点就是提到的全面生化改革
[01081.66-01083.82] 以及它为什么叫全面生化
[01083.82-01085.38] 它就原因这是第1个
[01085.38-01086.62] 那第2个我们说了
[01086.62-01089.26] 那改革它能为国家的发展提供动力
[01089.26-01091.02] 那我们说了全面生化改革
[01091.02-01092.18] 咱们改成什么样
[01092.98-01094.78] 它必须要有一个什么目标
[01094.78-01098.18] 所以第2个它提到了全面生化改革的总目标
[01098.18-01099.70] 全面生化改革的总标
[01099.70-01100.90] 咱们在前面给大家说过
[01100.90-01101.50] 我说了
[01101.50-01103.90] 我说改革从哪里开始改呢
[01104.10-01105.86] 你说你改生产关系不好盖
[01105.86-01107.82] 因为生产关系是有什么决定的
[01107.82-01109.34] 生产力决定的
[01109.34-01109.74] 对吧
[01109.74-01111.66] 生产力它是一定阶段人
[01111.66-01113.42] 利用自然改革在那种力
[01113.42-01115.70] 所以你改生产关系不好盖
[01115.70-01116.42] 但是我们说了
[01116.42-01117.42] 我们的改革的本质
[01117.42-01119.22] 是为了推动生产力的发展
[01119.22-01122.14] 因为改革当中的第一个有利约
[01122.14-01122.46] 对吧
[01122.46-01125.22] 我们说了就有利约生产力的发展效
[01125.22-01127.34] 在动论当中讲过
[01127.34-01127.70] 对吧
[01127.70-01128.78] 但是问题我们说了
[01128.78-01130.70] 我们回歸到本质叫做生产力
[01130.70-01132.70] 什么能够推动生产力的发展
[01132.70-01135.78] 生產關係能夠推動生產力的發展 對不對
[01135.78-01137.58] 但是生產關係好不好改
[01137.58-01138.94] 不好改 同分想
[01138.94-01141.62] 你要改變這個國家的所有這體制
[01141.62-01143.18] 能改嗎 不行了
[01143.18-01145.06] 收過主義國家必須保持什麼制
[01145.06-01146.38] 必須保持公有制
[01146.38-01148.66] 你要改變這個國家的分配制度
[01148.66-01149.74] 也不行啊
[01149.74-01151.26] 我們國家按照分配的主體
[01151.26-01152.86] 所以這些東西是國家的什麼
[01152.86-01154.78] 是國家的根基 你改不了
[01154.78-01155.94] 那生產關係改不了
[01155.94-01157.14] 生產力沒有辦法推動
[01157.14-01158.90] 那怎麼辦 取限就國
[01158.90-01164.26] 雖然關係的顧承 善關係的總和被稱為叫做經濟基礎
[01164.26-01167.62] 那我說了經濟基礎 是生產關係的總和
