[00000.00-00008.64] 好 那到这呢 我们就把三大非常重要的具体形容行为在这里给大家说完了 分别是形容出发形容虚可和形容抢质
[00008.64-00013.50] 同样要注意一下他们的实行的机关 第二个就是他们设定的
[00013.50-00019.64] 我们所说具体的设定 哪一层级的规判刑法文件对于用哪些设定 以及他的具体的总绪
[00019.64-00024.72] 说了这些之外呢 我们在具体形容行为当中还有一些其他场件的具体形容行为
[00024.72-00027.32] 那这些其他场见的巨型人行为呢 同学们
[00028.32-00031.36] 大概有一个概念 有一个印象就可以了
[00031.36-00034.92] 在这里面我们主要掌握其他巨型人行为的概念
[00377.94-00378.94] 他就屬於行政確認
[00378.94-00379.94] 所以行政確認的
[00379.94-00380.94] 他是對於你
[00380.94-00381.94] 法律關係
[00381.94-00383.94] 法律地位或法律事實於相應的
[00383.94-00384.94] 確定
[00384.94-00385.94] 並加以宣告
[00385.94-00387.94] 這樣一個行為叫做行政
[00387.94-00388.94] 確認
[00388.94-00390.94] 在於上生活當中比較常見的
[00390.94-00391.94] 就是他確認的
[00391.94-00392.94] 一定是已經存在的事實
[00392.94-00395.58] 存在的事实会已经建立起来的法律关系
[00395.58-00397.86] 给你一种法律上的一种保护
[00397.86-00399.30] 这种就要做行政
[00399.30-00401.42] 确认 比较常见的我居几个例子
[00401.42-00403.86] 同时们看到相应的例子能够知道
[00403.86-00407.30] 比如说土地使用全政
[00410.62-00411.90] 土地使用全政
[00411.90-00414.50] 又或者我们常见的护口登记
[00417.62-00418.78] 他们常说的
[00418.78-00421.72] 学历政名等等这一系列的
[00421.72-00423.02] 它其实都属于什么
[00423.02-00424.36] 都属于形状确认
[00424.36-00426.72] 它是对已经继续纷的
[00426.72-00428.44] 法律关系或者是试试
[00428.44-00430.44] 与也确认明确
[00430.44-00432.14] 即一种法律上的人可
[00432.14-00434.04] 是继续的这种试试
[00434.04-00435.68] 这里面大家要知道
[00435.68-00437.88] 它在这些概念到这些具体形状性
[00437.88-00438.88] 为在考译的时候
[00438.88-00441.18] 它其实考得会相对来说比较简单
[00441.18-00443.08] 一般情况就是给你按例
[00443.08-00445.60] 让你判断它属于哪一种类型
[00445.60-00447.86] 大家注意一下这是形状确认
[00447.86-00449.78] 那藏了像的就是行政起覆了
[00449.78-00451.94] 行政起覆就是行政物質幫助
[00451.94-00455.10] 說是只行政主體在年老級病不勞動
[00455.10-00457.06] 算是勞動力的情況之下
[00457.06-00462.10] 幾育的申請人向他提供那一種物質利益的幫助
[00462.10-00464.78] 那這種呢就是我們所說的叫做行政起覆
[00464.78-00469.02] 行政起覆比較常見的就是我們所說的這種類似於
[00469.02-00471.22] 我們所說的提供最低生活保障
[00471.22-00473.30] 我們都聽過低保護、無保護
[00473.30-00475.78] 還有對於遭遇自然災害的這些地區
[00475.78-00478.18] 它是不是会有一些相应的生活就即今呢
[00478.18-00480.26] 那这些它其实就要多形成几副
[00480.26-00483.90] 所以形成几副呢其实就是像公民提供物质宝账
[00483.90-00486.26] 或者像企业提供特定的物质支撑
[00486.26-00488.70] 最常见的你在旁边可以标助一下
[00488.70-00490.86] 尝考的也不过就这么几个例子
[00490.86-00492.02] 比如说低宝
[00493.22-00496.18] 那低宝或者是我们所说的农村的无宝
[00496.18-00497.54] 不知道大家有没有听过
[00498.18-00500.10] 农村的无宝户就即今
[00500.10-00501.66] 或者是我们所说的什么呢
[00501.66-00503.26] 对于遭遇在灾害
[00503.26-00506.94] 他所及育的相当的生活究竟就是这一类的
[00510.66-00511.98] 这种包服性的
[00511.98-00514.02] 他就属于形装几副
[00514.02-00515.94] 因为他也叫做形装物之帮助
[00515.94-00516.74] 这是在这
[00516.74-00519.38] 然后第四个常见的具体形装性味
[00519.38-00520.66] 就叫做形装协议
[00520.66-00522.46] 会叫做形装合同
[00522.46-00524.78] 大家知道形装协议或形装合同
[00524.78-00525.74] 他属于什么
[00525.74-00528.06] 他属于具体形装性味就可以了
[00528.06-00529.02] 所以在这一看
[00529.02-00531.18] 他说形装协议有成形装合同
[00531.18-00535.38] 是指形政机关为了实现形政管理或者是公共服务标
[00535.38-00537.74] 与公民法人或其他组织定力的
[00537.74-00541.18] 具有形政法上的权利一无内容的协议
[00541.18-00545.50] 这种就叫做什么形政协议或者又叫形政合痛
[00545.50-00549.54] 那场件的就是我和你签训了一个形政协议比如说
[00549.54-00551.26] 你要证用我的土地
[00551.26-00554.18] 你要证用我的土地的话你是不是在给我相当的标准
[00554.18-00558.26] 这种情况之下会签训了一个什么形政协议或形政合痛
[00558.26-00560.42] 形政协议和形政合痛解决的也是什么
[00560.42-00562.82] 是出于公务管理需要直接的关民关系
[00562.82-00565.50] 所以他也属于具体形状行为
[00565.50-00567.22] 所以像这一类的具体形状行为
[00567.22-00569.98] 大家稍微的有一个印象就可以了
[00569.98-00570.34] 好吧
[00570.34-00572.30] 所以在这里面这四个一旦出现
[00572.30-00574.42] 你一定要知道他属于具体形状行为
[00574.42-00575.90] 他如果给你乱描述
[00575.90-00577.90] 你企业要能够判断出来
[00577.90-00580.38] 他属于哪一种具体形状行为
[00580.38-00581.38] 明确这个意思
[00581.38-00583.38] 所以在整个形状法当中
[00583.38-00586.02] 我们就把整个形状法的内容给大家讲完了
[00586.02-00587.42] 在整个形状法当中
[00587.42-00589.10] 我们来回夕一下
[00589.10-00591.10] 我们先讲了行政法的概数
[00591.10-00592.42] 在行政法的概数当中
[00592.42-00594.02] 讲了行政法的基本原则
[00594.02-00595.66] 这是一个两星期的知识点
[00595.66-00599.06] 讲了行政主体也里面有很多的细节
[00599.06-00600.58] 然后就讲了行政行为
[00600.58-00602.90] 我们在行政行为当中给大家讲了
[00603.30-00605.66] 具体行政行为和抽象行政行为
[00605.66-00606.86] 我写一下好了
[00606.86-00608.02] 咱们在行政法
[00608.02-00609.10] 我们说了行政法
[00609.10-00609.94] 它是实体法
[00609.94-00613.74] 测动在关、管、民、对不对
[00613.74-00615.98] 所以我们在行政法当中就行了
[00615.98-00617.62] 行政法的概数
[00617.62-00620.02] 在干数当中,我们就学到了第一个
[00620.02-00622.88] 既然是关管民,他一定要有相应的原则规范
[00622.88-00624.54] 所以形容法的基本原则
[00624.54-00628.54] 第二个关管民和为关,这里面出出现了形状主体
[00628.54-00630.42] 有很多的细节的考虑
[00630.42-00634.74] 分为国家形状,机关还有各种各样的社会组织
[00634.74-00639.26] 你要知道哪种组织,他属于我们所说的形状主体
[00639.26-00640.66] 这是在这里的注意下
[00640.66-00643.86] 这个就是我们所说的关关管民管
[00643.86-00646.02] 它其实是一个什么形状行为
[00646.02-00649.22] 所以我们在形正行为当中就讲了两个
[00649.22-00652.22] 一个叫做抽象形正行为形正立法行为
[00652.22-00654.22] 对吧,一个叫做具体形正行为
[00654.22-00658.02] 然后呢,我们又给大家去讲了具体形正行为
[00658.02-00662.42] 我们讲了形正、处伐形正、许可形正、强制
[00662.42-00664.62] 还有刚才的一些其他具体形正行为
[00664.62-00668.02] 这些具体形正行为都是可以直接起诉直接呼吁的
[00668.02-00669.02] 大家要注意到
[00669.02-00672.22] 这个呢,就是我们所提到的整个形正法
[00672.22-00673.42] 它的一个框架
[00673.42-00676.82] 那了解这个框架之后咱们来做作题目来感受一下
[00676.82-00679.58] 说下列形容处罚当中形正法规
[00679.58-00682.42] 把形容法规划出来形正法规不能设定的事
[00682.42-00684.18] 那这里面考得就是处罚了呗
[00684.18-00687.34] 我们说了处罚他在设定的时候他可以有谁
[00687.34-00689.18] 有法律可以吧
[00689.18-00690.82] 还有形正法规
[00690.82-00692.62] 我简单写了还有什么
[00693.02-00696.06] 规章省政府规章和部门规章可以设定
[00696.06-00698.42] 法律全都可以设定
[00698.42-00700.30] 但是有一个在他手里就是什么
[00700.30-00704.02] 行政居留就是限制人生自由的對不對
[00704.02-00709.02] 而行政法規是可以除行政居留以外的
[00709.02-00711.66] 而我們所說的規章就是什麼法款
[00711.66-00714.26] 一定說的法款警告對不對
[00714.26-00716.38] 等等通報批評這些
[00716.38-00718.90] 所以在這裡面你看行政法規不得設定的
[00718.90-00721.54] 只能是行政居留行政居留
[00721.54-00723.42] 所以是行政居留以外的其他
[00723.42-00725.50] 所以第一題選擇的是四弟
[00725.50-00728.06] 你看他在考察上他的難度不大同學們
[00728.06-00733.44] 咱在考察上它的难度就停留在我们所说的第一层级的理解性的这种考察
[00733.44-00738.56] 或者说在这个时候我们所给到的我们的一些实际性的考察
[00738.56-00739.58] 所以大家注意一下
[00739.58-00741.36] 所以第一题选CD
[00741.36-00744.62] 第二题来看一下形容出发的种类包括多选题
[00744.62-00748.34] 警告是不是警告和通报批评精神法
[00748.34-00750.08] 调销许可证
[00750.08-00751.88] 贪扣许可证是不是
[00751.88-00754.30] 和将第一字等结束于资格法
[00754.30-00758.26] 对吧 昨天停业 限制生产经营限制同业
[00758.38-00760.34] 昨天关闭 他属于行为法
[00760.54-00762.34] 第四个形容拘留 人身法
[00762.34-00764.66] 所以照题选个是ABCD
[00764.66-00766.02] 所以这是第二题
[00766.22-00767.22] 第三题看
[00767.42-00770.10] 一是不再法的规定 说法正确的是
[00771.58-00772.50] 首先第一个
[00772.90-00773.78] 他这里说了
[00773.94-00776.54] 一个行为不能多种行动处法
[00776.82-00777.54] 不是吧
[00777.54-00780.54] 我们说了 一是不再法是不能法 两次款
[00780.74-00782.34] 第二个呢 要说一个为法行为
[00782.34-00785.42] 也不能有两个以上的机关处发也不是吧
[00785.42-00787.66] 是不能法款两次
[00787.66-00789.26] 如果一定要法的话
[00789.26-00791.62] 这时候要按最高速来看
[00791.62-00793.46] 对吧所以在这里面大住一下
[00794.50-00795.38] 我们所说的
[00795.38-00796.70] 所以是不在法院则
[00796.70-00798.82] 他说针对同一个行为不能进行两次
[00798.82-00800.86] 或两次以上的法款
[00800.86-00803.50] 所以这要提选择的是C选项
[00803.50-00804.42] 那C选项
[00804.42-00806.66] D-Sexion说不能依据同一法律规分
[00806.66-00808.14] 进行两次或两次以上的法款
[00808.14-00809.78] 没有要求同一法律规分
[00809.78-00810.74] 所以在这里面有说
[00810.74-00812.74] 就是不能两次或两岁上的法官
[00812.74-00814.74] 法款最多只能法一次
[00814.74-00816.74] 所以第三体选择的是
[00816.74-00818.74] 所以第四体来看一下
[00818.74-00822.74] 说限制人身自由的出法权
[00822.74-00823.74] 只能谁来决定
[00823.74-00824.74] 我们说了决定
[00825.74-00826.74] 限制人身自由
[00826.74-00828.74] 以及執行限制人身自由的
[00828.74-00829.74] 形容拒留只能是谁来做
[00829.74-00830.74] 只能公安机关来做
[00830.74-00831.74] 对吧
[00831.74-00832.74] 所以第四体选择的是
[00832.74-00833.74] 谁
[00833.74-00834.74] 第五体
[00834.74-00836.74] 不属于形容出法的事
[00837.74-00839.74] 责任停产停业
[00839.74-00841.22] 警告行政局劉
[00841.22-00842.34] 这都是你看
[00842.34-00843.62] 是不是考虑者人体吗
[00843.62-00844.70] 人家闻不属于的
[00844.70-00845.74] 那就是第四个
[00846.30-00847.34] 巴拉巴拉巴拉巴拉
[00847.34-00849.46] 申请做出不与徐可的决定
[00849.46-00850.38] 那这种是什么
[00850.38-00852.22] 是你本身就不符合这个条件
[00852.22-00854.06] 我不给你相应的资质
[00854.06-00855.90] 那这种情况之下不属于什么
[00855.90-00857.50] 不属于负担行为
[00857.50-00858.06] 对不对
[00858.06-00859.30] 所以不属于负担行为
[00859.30-00860.86] 没有增加新的负担意我
[00860.86-00862.10] 那他就应该是什么
[00862.10-00864.66] 他就不应该属于行政图法
[00864.66-00866.54] 所以第五题宣则四弟
[00866.54-00868.06] 所以到这儿我们就会发现
[00868.06-00869.54] 整个行政图法
[00869.54-00873.06] 行政實體法內容相對來說是比較多比較繁榨的
[00873.06-00874.86] 那就需要同學們在學習的時候
[00874.86-00877.94] 相應的只是把這個地方的框架樹里清楚
[00877.94-00881.18] 把相似的對比的考虑就給它樹里清楚
[00881.18-00885.54] 這個就是整個行政實體法當中全部內容了
