[00000.00-00001.80] 今天来聊聊
[00089.08-00092.42] 就咱们上节课讲到的唐朝末年
[00093.30-00099.32] 咱们上节课讲到唐朝末年的时候说唐朝的是到唐阿姨的时候唐朝就已经灭亡了
[00099.32-00102.68] 被谁所灭呢咱们都知道是被我们所说的截度是
[00103.08-00104.04] 朱恩所灭
[00104.20-00107.00] 朱恩灭到唐之后就建立了自己的朝代
[00107.00-00109.56] 我们把这个朝代称之为后聊
[00109.80-00114.44] 而在朱恩建立后聊之后的17年当转整个社会的政权
[00114.84-00116.72] 不停的更点不停的工具
[00116.72-00119.52] 在黄紅流域53年時間換了5個朝代
[00119.52-00122.18] 而我們這個5個朝代就被稱之為叫做
[00122.18-00123.98] 5代10國17
[00123.98-00125.80] 第一個考點就出現了
[00125.80-00127.08] 雖然它整體上
[00127.08-00130.64] 在可好性上只能做一個一星級的知識點來掌握
[00130.64-00131.96] 但是同學沒有要知道
[00131.96-00135.92] 我們所提到的5代10國當中的5代到底是拿5代
[00135.92-00138.24] 這個點需要同學在旁邊標誌
[00138.24-00139.44] 去理了做一個普通
[00139.44-00145.44] 這5代分別指的是兩厚糖,厚劑、厚汗以及厚州
[00145.44-00149.24] 以及厚州,这是我们所说的五代
[00149.24-00153.00] 这五代时果,一共是在黄后留育53年期间
[00153.00-00154.72] 冯出来了14个皇帝
[00154.72-00157.48] 这14个皇帝,就是我们经常说的
[00157.48-00160.76] 比如说每个朝代的开国皇帝
[00160.76-00165.28] 比如说两个开国皇帝是朱恩后逃的开国皇帝里存序
[00165.28-00168.36] 后近的所说的实际上
[00168.36-00170.72] 然后还有刘志元以及郭卑等等
[00170.72-00172.76] 那他对应的是我们所说的这些人
[00172.76-00176.24] 所以歷史上有人就對五代實過實際進行了一個平價
[00176.24-00177.24] 啥平價呢?
[00177.24-00178.24] 這句話不用記
[00178.24-00179.24] 有個印象就行了
[00179.24-00181.16] 叫做朱里石流郭
[00181.16-00183.00] 叫做梁堂靜漢州
[00183.00-00183.64] 也就是說
[00183.64-00186.92] 我們所說的這五個人開創了五代實際
[00186.92-00189.08] 開創了五代實際不停的更點
[00189.08-00191.72] 老實那為什麼這個時代這麼亂
[00191.72-00195.32] 主要的原因就是因為五代的每一個開握皇帝
[00195.32-00197.96] 那都是在打當中的夢人
[00197.96-00200.52] 也就是每一個開握皇帝其實都是前場的
[00200.52-00202.12] 要不是前朝的大將
[00202.12-00206.74] 要么就是前朝的翻证无论咋样就是手里有兵有权的这些人
[00206.74-00208.26] 守恶正重兵了
[00208.26-00209.68] 所以在证明方之下
[00209.68-00212.18] 那看别人当老大他行我咋就不行
[00212.18-00215.44] 所以在这种情况之下就是比一笔谁都全都用
[00215.44-00217.60] 谁都给我出谁就能当老大
[00217.60-00219.78] 所以在这个时期之下
[00220.04-00222.28] 证据平凡的更点
[00222.28-00223.44] 证据平凡的更点
[00223.44-00226.62] 而在这个舞带当中出现了一个非常重要的一个朝代
[00226.62-00228.32] 就是我们所说的后周
[00228.32-00229.56] 为什么他很重要呢
[00229.56-00234.64] 就是因为当时的后周有一个人开起了整个送原时代
[00234.64-00236.52] 那这个后周的这个人是谁呢
[00236.52-00239.96] 后周的这个人就是我们所说的照框印
[00239.96-00243.64] 老师这个人我熟悉看一下这个人是谁呢
[00243.64-00246.46] 你说老师他是真环乱当中的大胖局
[00246.46-00247.64] 对吧 其实不是
[00247.64-00250.76] 这个呢是在大胖传体当中的宋养照框印的这个人
[00250.76-00253.12] 其实这个形象的就是要走框印
[00253.12-00254.40] 当时的照框印呢
[00254.40-00257.76] 他是后周进军的最高统率
[00257.76-00259.30] 叫電錢獨點解
[00259.54-00262.10] 這是換句話說就是競軍的最高統領
[00262.36-00264.68] 中非人其實也是不要有意思的
[00264.94-00267.24] 當時召慌印他正好是誰呢
[00267.48-00269.72] 照時當時的後周的皇帝
[00269.72-00270.82] 召喪慌
[00271.08-00273.12] 很多同一對臣中應該會很熟悉
[00273.38-00274.66] 大家看過楊文女像
[00274.66-00276.44] 應該知道楊文女像當中
[00276.70-00279.78] 然後楊家有一個兒媳婦叫做臣軍主
[00280.04-00282.34] 這個臣軍主就是後世總
[00282.60-00283.62] 臣龍的女兒
[00283.88-00285.66] 所以當時的召慌印
[00285.66-00288.42] 他其实就是在这个材融首下
[00288.42-00290.92] 做我们所说的这样一个图领的
[00290.92-00292.52] 后来感到了材试宗
[00292.52-00294.62] 这个材融也就是材试宗
[00294.62-00296.02] 他加帮了之后
[00296.02-00298.46] 他的小儿子就级为了
[00298.46-00300.50] 而这个召喚运从小相当于
[00300.50-00303.06] 他就是在一个类似于像我们尝售的均虚大
[00303.06-00304.02] 而当中长大的
[00304.02-00308.18] 他的父亲和他的爷爷其实都是均虑的最高统率
[00308.18-00311.14] 而他的宗主当年也是地方的地方官
[00311.14-00312.28] 这类似于地方的
[00312.28-00313.58] 我们所说的父母官这样
[00313.58-00315.72] 说白了他本身是个高干子弟
[00315.72-00317.06] 但作为一个高干子弟
[00317.06-00318.66] 他不太在学习
[00318.66-00319.38] 喜欢干嘛呢
[00319.38-00320.50] 这个词人呢
[00320.50-00321.56] 京通武术
[00321.56-00322.34] 大家都知道
[00322.34-00324.66] 召框印的武艺其实是非常高强的
[00324.66-00326.28] 而且有非常地好爽
[00326.28-00328.04] 所以我们经常说什么
[00328.04-00330.02] 他创造了太主常权
[00330.02-00331.50] 这样那个武术套路不得来
[00331.50-00332.22] 因为听过
[00332.22-00333.58] 还有六十四路盘
[00333.58-00334.20] 盘龙吨
[00334.20-00334.48] 对吧
[00334.48-00335.70] 这都他搞出来了
[00335.70-00336.82] 所以就能看得出来
[00336.82-00337.38] 这个人
[00337.38-00339.10] 他武艺非常高强
[00339.10-00341.74] 而且他有非常地京通相的
[00341.74-00343.02] 军队统领的相的
[00343.02-00345.30] 这样的一些擅长的事情
[00345.30-00346.58] 知识和他的成长背景
[00346.58-00348.42] 有一定的相关写
[00348.42-00350.90] 为什么周康印会建立送朝呢
[00350.90-00353.26] 其实和一个事件有很大的一个关系
[00353.26-00354.38] 这个事件是啥呢
[00354.38-00356.06] 谁当时要答应来看一下
[00356.06-00359.22] 这个地方其实是当时厚州的这样一个统治
[00359.22-00361.70] 而当时厚州所面领的这些
[00361.70-00364.58] 我们看一下它所面领的这样的一些政权对立
[00364.58-00366.38] 一个是我们所说的聊
[00366.38-00368.22] 一个就是它在它北边
[00368.22-00369.50] 还有一个北汉
[00370.50-00371.10] 后来呢
[00371.10-00374.06] 就是等到材勢中材容去世之后
[00374.06-00376.58] 发生了一件事就是当时就传说
[00376.58-00379.46] 说啥说这个流谷呀和这个北汉
[00379.46-00382.10] 他们两个搞连手要攻打这个后周
[00382.10-00385.90] 而当时后周的这个小皇帝年紧七岁
[00385.90-00388.26] 这年龄特别的小根本就搞不定这件事
[00388.26-00390.42] 它的妈妈呢相对来说一比较年轻
[00390.42-00392.86] 然后来的当时的成像就说说那不行
[00392.86-00396.70] 如果说流和北汉一块来跟的攻打后周的话
[00396.70-00399.66] 咱们这就地位不宝了
[00399.66-00401.26] 那当然大成本就说那咋成了
[00402.14-00403.30] 这个成像就说
[00403.50-00406.30] 说我们来找一个人能够甩军去打仗
[00406.30-00408.10] 能够去对抗了和这个北汉
[00408.10-00411.18] 显定的人是显定的人就是当时的
[00411.18-00412.46] 我们所说的后周的
[00412.46-00414.90] 这样的一个大将军就是召唤印
[00415.02-00417.82] 当时这个成像去找到召唤印的说说你看
[00418.02-00419.90] 你作于军队的最高统甩
[00419.90-00422.38] 现在国家有你是不是在出手相助一下
[00422.38-00423.70] 当时这个召唤印
[00423.70-00425.62] 就说我去相助也可以
[00425.62-00427.30] 但是现在有一个小小的问题
[00427.30-00428.18] 啥有问题呢
[00428.18-00432.94] 就是我手里能够掉动的视兵人数拍少了
[00432.94-00436.34] 你看看人家是气单和北汉结合在块的
[00436.34-00438.62] 人家手里的兵是相当之多的
[00438.62-00441.66] 我现在要是跟人家搞胡搞八搞搞这么一痛
[00441.66-00444.30] 我这跟人应该我只能干不过人家
[00444.30-00447.10] 所以当时这个成像就说那你想要什么
[00447.10-00448.62] 才能够甩进去打仗
[00448.62-00450.86] 张克思说我想要的其实也不多
[00450.86-00453.82] 对吧我就想要你们手里剩下的那一半军权
[00453.82-00456.98] 你给了我我就一定能帮你把这个事情拿掉
[00456.98-00459.54] 那当时他们能够用的人其实没有啥了
[00459.54-00461.34] 就只剩下我们所说召唤一了
[00461.34-00463.90] 后来没有办法就把剩下那一半
[00463.90-00465.94] 军队的调工权数就给了召唤一
[00465.94-00469.02] 给了召唤之后呢召唤一就正好就出兵
[00469.02-00472.34] 想要去对抗我们所说的这个北汉和聊
[00472.34-00474.14] 在对抗北汉和聊的时候呢
[00474.14-00475.94] 召唤一的手下的这些人
[00475.94-00478.74] 当然都知道召唤一手下当时有人就照顾对吧
[00478.74-00479.78] 那历史上呢
[00479.78-00481.98] 这个地方就发生了很多种说法
[00481.98-00484.10] 比如说呢是召唤一民运制造手下的人
[00484.10-00485.02] 在上了这个事
[00485.02-00486.22] 他假裝不知道
[00486.22-00489.62] 還有一種說法的照困應和照鋪共同就商量
[00489.62-00490.98] 然後發生冰變這個事
[00490.98-00491.98] 但無論是怎麼樣呢
[00491.98-00492.78] 當時呢
[00492.78-00494.66] 就是在成條這個地方
[00494.66-00496.70] 也就是我們所說今天和那這個集結
[00496.70-00499.26] 發動了成條冰變的這樣的一件事
[00499.26-00501.74] 成條冰變的具體的經過是咋回事呢
[00501.74-00502.94] 其實是在當時
[00502.94-00505.54] 照片拿到了剩下的這一部分的
[00505.54-00508.42] 我們所說的軍隊的最高指揮權之後呢
[00508.42-00511.14] 他手下的這些兄弟們就覺得說
[00511.14-00512.78] 你看那個小黃隊有那麼小
[00512.78-00515.60] 他和妈妈那么年轻 对吧 打仗打仗谈不行
[00515.60-00517.12] 治国治国他们也不行
[00517.12-00520.14] 那与其他们都不行的话 那不如咱们自己上去行了
[00520.14-00521.74] 那大家说 那我们自己上的话
[00521.74-00524.82] 我们找谁做我们的大哥 做我们的同事 做我们的同理
[00524.82-00527.12] 大家就说 那就去找召唤业
[00527.12-00530.78] 所以就在成晓一这地方发动发生了一件事
[00530.78-00532.74] 就是我需要同学们去记得第一件事
[00532.74-00535.56] 就是成晓冰变黄淘加深
[00539.14-00540.94] 成晓冰变黄淘加深
[00540.94-00544.42] 當時大家都說說說你來你來
[00544.42-00545.78] 我沒有事跟你商量
[00545.78-00546.82] 商量說啥事
[00546.82-00548.02] 說馬上就打仗了
[00548.02-00549.34] 對吧 大家還不好就休息
[00549.34-00550.30] 就照慌應
[00550.30-00552.58] 明知他們要做什麼還是跟著去了
[00552.58-00553.58] 跟著去了之後
[00553.58-00555.62] 他們就把這個黃旁拿出來
[00555.62-00556.66] 這個照慌應說外上了
[00556.66-00558.74] 照慌應一開始說你們之處一造反
[00558.74-00559.90] 我不能統一這個事情
[00559.90-00561.10] 說不要不要我不穿
[00561.10-00563.02] 那所有人都說來問你是什麼
[00563.02-00564.42] 照顧說不出我不能穿
[00564.42-00565.54] 他是穿著穿一下
[00565.54-00566.74] 照慌應反應不穿下了
[00566.74-00567.58] 然後
[00567.58-00571.34] 所以人都拥他为我们所说的新皇帝
[00571.34-00572.54] 所以在这里就有了
[00572.54-00574.42] 和召唤业有关的第一个点顾
[00574.42-00576.58] 大家知道这叫做成晓兵变
[00576.58-00578.22] 黄跑家神一定要知道
[00578.22-00580.70] 这个事情是和召唤业有关系
[00580.70-00582.58] 那第二个成晓兵变
[00582.58-00586.02] 他当时是在成晓业发动的兵变
[00586.02-00586.34] 对吧
[00586.34-00588.06] 而在成晓业发动兵变之后
[00588.06-00590.94] 建立了我们所说的北宋送朝
[00590.94-00593.10] 所以他当时建立送朝之后
[00593.10-00594.70] 他的都成定在那儿
[00594.70-00596.14] 第二点需要同学掌握
[00596.14-00598.96] 它的多程定在我们所说的东京
[00598.96-00601.74] 你说老师这个东京是不是咱们现在所说的那个东京
[00601.74-00603.60] 不是小日子的那个东京
[00603.60-00604.46] 这个东京呢
[00604.46-00606.06] 它其实在这里指的是
[00606.06-00607.52] 河南的开封
[00607.52-00608.38] 河南的开封
[00608.38-00611.40] 所以第二的它的多程是在开封的
[00611.40-00612.66] 那我们都知道北松
[00612.66-00614.30] 它其实是有四个手度的
[00614.30-00616.42] 我们把这四个手度成之为
[00616.42-00618.90] 叫做北松的四京
[00618.90-00619.94] 叫北松四京
[00619.94-00621.08] 同时你们就要知道
[00621.08-00621.94] 这三个点
[00621.94-00623.60] 在这我给同时做了補充
[00623.60-00625.96] 北宋四京有着他四个手朵
[00625.96-00627.84] 除了我们所说的东京之外
[00627.84-00629.08] 还有哪里在这里
[00629.08-00630.84] 同意没有在旁边记一下
[00630.84-00633.84] 包括西京洛洋东京台风南京应天
[00633.84-00634.88] 有着商球
[00635.60-00638.04] 还有我们所说的北京大名
[00638.04-00641.12] 所以第三个点是要投门找握北宋四京
[00641.12-00642.88] 有哪些北宋四京哪些
[00642.88-00644.12] 这他的四个手朵
[00644.12-00646.40] 而我们所说的这个成僑兵面
[00646.40-00647.56] 其实我们会发现
[00647.56-00649.08] 他其实是下面的人
[00649.08-00651.12] 或者说是致抗应和他手下的人
[00651.12-00654.46] 就是在某種默契上達成了這樣的一個移制
[00654.46-00656.54] 然後最後去逼迫小皇帝
[00656.54-00658.46] 扇讓或是推薇這樣一個事情
[00658.46-00661.56] 沒有發動特別大的這種工廷的留學政變
[00661.56-00662.02] 對吧
[00662.02-00664.44] 所以後人對於我們所說的成僚
[00664.44-00665.76] 兵變有一個評價
[00665.76-00668.10] 叫做冰不血任事不意思
[00668.10-00671.54] 就是敲川摩摩爾的沒有大量的留學的政變
[00671.54-00673.44] 然後也沒有改變我們所說的
[00673.44-00674.72] 這樣的一個平靜的生活
[00674.72-00676.72] 它的這個潮蓋就建立了
[00676.72-00677.94] 所以在這裡大家注意
[00677.94-00679.18] 一旦出現一句話
[00679.18-00682.58] 說形容說並不確認事不意思
[00682.58-00685.82] 如果這塊出來它問是形容的哪一個事件
[00685.82-00689.54] 那在這裡其實要知道它其實對應的是我們所說的
[00689.54-00691.66] 成條冰變 成個變變
[00691.66-00693.74] 所以在這裡面送炒的建立
[00693.74-00696.10] 或者是和召唤院這個人有關係的
[00696.10-00698.74] 是三個事 第一個 一個點顧
[00698.74-00700.90] 第二個 對於這個點顧的平價
[00700.90-00702.98] 第三個它建立送炒的時候
[00702.98-00707.10] 這個送炒在哪裡 在東京要知道東京是今天的開封
[00707.10-00709.92] 第四个点就是在冬精之上
[00709.92-00712.22] 北送的四个手都我们称着
[00712.22-00713.24] 北送四经
[00713.24-00715.04] 要有哪四经 大家要知道
[00716.06-00717.86] 这是我们所说的第一个
[00717.86-00719.14] 有关于送炒的
[00719.14-00719.90] 建立
[00719.90-00720.92] 关送炒的建立
[00721.18-00722.72] 而送炒建立之后
[00722.72-00723.74] 大家就知道
[00724.50-00727.32] 召唤越后面去世的时候就到了它的地理手里
[00727.32-00728.10] 我们在
[00728.34-00731.16] 开始下一个历史的情节之前
[00731.16-00732.96] 我们先来看一下一道题目
[00733.22-00733.72] 说了
[00733.72-00736.20] 有句话就说 冰不学认识不意思
[00736.20-00739.28] 然后说 创造了不留血
[00739.28-00741.12] 而建立大王朝的一个奇迹
[00741.12-00743.56] 不留血 那就指的是我们刚才所说的
[00744.36-00745.64] 称巧冰辨
[00745.64-00747.36] 所以照题选择的是
[00747.36-00749.72] 第2个选项 选项
[00750.36-00752.20] 好 那我们接着来看一下
[00752.20-00755.28] 我们在整个送朝的建立的时候
[00755.28-00758.04] 我们都知道 他其实和一个人有一个很密切的关系
[00758.04-00759.68] 这个人就是照框印
[00759.68-00761.96] 但照框印他后来的时候就趋势了
[00761.96-00763.96] 他是北送的泰族皇帝
[00763.96-00765.46] 他的皇帝加工之后
[00765.46-00766.96] 他的弟弟照光意
[00766.96-00768.96] 他的弟弟原名叫照光意
[00768.96-00770.96] 但是因为和皇上没犯记忆
[00770.96-00772.96] 所以就变成了照光意
[00772.96-00773.96] 他的弟弟照光意
[00773.96-00775.96] 就继承了王位成为了我们所说的
[00775.96-00777.96] 送泰宗
[00777.96-00778.96] 他弟弟就是泰宗皇帝
[00778.96-00780.96] 所以就是当时候我们所说的
[00780.96-00781.96] 兄宗弟级了
[00781.96-00783.96] 而泰族和泰宗两代皇帝
[00783.96-00786.96] 其实结束了五代十国分裂的局面
[00786.96-00787.96] 大家注意一下
[00787.96-00788.96] 这个时候的中国
[00788.96-00790.96] 并没有完成统一
[00790.96-00794.16] 一 打一掉住一 只是在宋朝建立的時候
[00794.16-00796.86] 我們說了 宋朝建立了只是解釋了
[00796.86-00799.06] 我們所說的權利之間的這種中途
[00799.06-00801.56] 但是並沒有把中國的統一完成
[00801.56-00803.06] 所以我們經常會說到一句話
[00803.06-00805.76] 就是說當時在宋朝時期
[00805.76-00808.66] 他會有少數民族政權病例的情況
[00808.66-00810.16] 所以當時大家注意一下
[00810.16-00812.06] 這個點是需要否能去掌握的
[00812.06-00814.76] 當時和北宋病例的政權有哪些
[00814.76-00815.86] 我們來看一下
[00815.86-00818.76] 和北宋病例的政權有北邊的流
[00818.76-00820.26] 有西邊的西下
[00820.26-00825.18] 原南的大理 还有我们所说的回合和土波 在这里同行注意
[00825.18-00828.30] 这是和北松时期定立的政权
[00828.30-00831.38] 在这个里面定立政权当中 有没有金呢
[00833.14-00835.94] 有没有金 同美调制下没有
[00835.94-00838.94] 因为金果是在南松的时候的事
[00838.94-00840.42] 所以在这里大家一到知道
[00840.42-00841.98] 它如果出了一个判划的体
[00841.98-00844.06] 所以下观一送朝说法政却的说说
[00844.06-00847.10] 北松并立政权包括了松下基元
[00847.10-00848.94] 你正情完之下如果给到金
[00848.94-00851.14] 那重要是法律不對了 大家一定要注意
[00851.14-00853.02] 這是我們所說 在北送17
[00853.02-00854.18] 他所病率正確
[00854.18-00856.50] 而且這些政權的病率恰恰也說明了
[00856.50-00858.26] 當時的中國是沒有怎麼樣
[00858.26-00860.58] 是沒有完成統一的
[00860.58-00862.42] 當時的中國是沒有完成統一的
[00862.42-00863.66] 那這些病率的政權
[00863.66-00864.54] 同你們來看一下
[00864.54-00867.30] 他們當時是和送朝這件是什麼樣的關係
[00867.30-00868.86] 在這裡面我們能夠看到
[00868.86-00870.66] 當時的北送其實在這兒
[00872.38-00874.22] 當時的北送是在這裡 對吧
[00874.22-00876.18] 然後在這兒是東京的開封
[00876.18-00878.22] 然後呢和北送病率的政權首先
[00878.22-00881.22] 第一個在這裡有聊 第二個有西下
[00881.22-00884.86] 然後在這裡有回合回合 其實本身是一個
[00884.86-00886.86] 然後還有我們所說的土波
[00886.86-00889.10] 這個裡面還有我們所說的大理
[00889.10-00892.14] 同一般對於這個北松病權的政權的病量
[00892.14-00893.50] 應該不會感到墨生
[00893.50-00895.30] 大家應該看我那個電視劇
[00895.30-00897.38] 就是我們所說的天龍巴布
[00897.38-00898.54] 同邊應該有印象
[00898.54-00900.58] 如果大家對於天龍巴布有印象的話
[00900.58-00903.30] 其實就應該知道 天龍巴布那個電視劇
[00903.30-00905.90] 它其實就是北松當時的背景
[00905.90-00917.10] 听了马布当中,我们知道有乔峰,有断育,还有李秋水,对吧,还有修模制,那他们其实分别来自于和北松病例的政权的国家来看一下
[00917.10-00933.90] 比如说我们所说的这个乔峰,乔峰后来叫乔峰,他为什么信乔,同学们,当时的了谷,对吧,是不是乔,我们都叫了谷谷谷,所以当时你看,这个乔峰其实就是我们所说的了谷,因为它气大人,对不对,了谷谷的
[00933.90-00945.30] 而理秋水,理秋水可能在电视剧版里面没太有提到,但是如果大家看过那个零天下眼的天然同老,就是那个里面它其实有提到理秋水
[00945.30-00962.90] 理秋水它其实是西下王妃,它其实是西下的王妃,又或者我们在听了巴布当中看到有个核上特别能打救魔之,对吧,还有大理的断育,其实都是当时和北苏理历的政权,你说像这样那个情况,觉得北苏会会害怕呢
[00962.90-00967.16] 北松应该害怕 周边都是大那一种周边都是江湖高手
[00967.16-00970.02] 所以这就是北松所处的这样的一个情况
[00970.02-00973.74] 而这些和北松接让的这种政权
[00973.74-00976.70] 大家能够看到 当时发展的最大的应该是什么
[00976.70-00979.72] 应该就是刘 当时发展最大的
[00979.72-00981.32] 其实就是我们所说的刘
[00981.32-00984.26] 所以当时在整个冰里政权当中
[00985.26-00991.06] 期待人的我们所说的他的刘是相对来说比较实力强大的这样的一个政权
[00991.06-00994.78] 其他本身他是一个有木的名族
[00994.78-00997.14] 唐末的时候期待的时候开始发展起来了
[00997.14-01000.74] 看族在唐末时经常就牵到了长城一北的地方
[01000.74-01003.38] 就交回了期待人他们怎么中国两世
[01003.38-01004.82] 怎么搞过城市界社
[01004.82-01006.18] 怎么去搞个农宫
[01006.18-01008.82] 所以期待很快就发展起来了
[01008.82-01010.46] 期待发展起来之后
[01010.46-01015.50] 他必定会和他相见人北送发生很大的冲突
[01015.50-01016.90] 我们就在来看一下
[01016.90-01018.34] 在这里面我们所提到的
[01018.34-01020.46] 有关于正权跟跌当中的
[01020.46-01024.98] 第一个我们所说的北宋和了国之间的摩擦和矛盾
[01024.98-01028.06] 说到了国的话咱们就来看一下咱们刚才说了
[01028.06-01028.70] 这个了呢
[01028.70-01031.66] 它本身是一个有务民族
[01031.66-01034.46] 而当时我们所说的了国
[01034.46-01037.54] 它的一个开国者其实就是当时期待的手铃
[01037.54-01039.42] 叫做啥叫做耶旅阿宝基
[01039.42-01040.30] 耶旅阿宝基呢
[01040.30-01044.98] 当时统一了期待各部就是把期待内部完成了一个统业
[01044.98-01046.86] 而当时还领着大家搞了
[01046.86-01048.34] 我们所说的气单纷
[01048.34-01049.46] 对吧 大家应该不过生
[01049.46-01050.54] 天龙八部浪中
[01050.54-01051.98] 乔峰的帝帝人杀了之后
[01051.98-01053.22] 在强刻的那个字
[01053.22-01055.10] 其实就是我们所说的气单纷
[01055.10-01057.70] 所以它当时就带点气单人创造了气单纷
[01057.70-01059.22] 但是由于气单纷
[01059.22-01061.06] 这个文字很负责
[01061.06-01063.02] 它属于多引节文字
[01063.02-01064.78] 所以后来用钱不方便
[01064.78-01067.06] 等到我们所说的这个聊
[01067.06-01068.22] 被灭了之后
[01068.22-01070.22] 气单纷当时也就消失了
[01070.22-01071.90] 这是第一个我们所说的
[01071.90-01073.86] 一个略老导寄同一了气单纷
[01073.86-01075.38] 而同一气单纷不之后
[01075.38-01077.46] 内部统一了就可以对待征法了
[01077.46-01079.34] 所以到了伊利德国国史起
[01079.34-01081.30] 期待得到了烟原16州
[01081.30-01083.42] 改国号为了
[01083.42-01086.26] 这里面出现了在了和送之间
[01086.26-01088.26] 需要同一们记得第一个考察点
[01088.26-01090.30] 就是在这朋友在旁边标主一下
[01090.30-01092.02] 烟原16州的问题
[01093.18-01094.18] 烟原16州
[01094.18-01095.10] 有没有认识了
[01095.10-01096.90] 老师我总听到烟原16州
[01096.90-01099.06] 这个烟原16州到得指待的是哪呢
[01099.06-01101.18] 烟原16州具体指待的犯了
[01101.18-01103.18] 同学不需要去都给的背下来
[01103.18-01104.38] 单同学的最起码在这儿
[01104.38-01105.92] 收有印象来看一下
[01106.42-01108.48] 岸岸石六州其实在这里指待的是
[01108.74-01112.06] 由我们所说的北京和云州
[01112.32-01115.38] 在这里叫岸岸会叫约石六州
[01115.64-01117.44] 以他俩为中心的啥呢
[01117.44-01119.22] 以他俩为中心的石六州
[01119.48-01120.76] 叫做岸岸石六州
[01121.02-01123.84] 所以在这里同一们最起买要掌握着两个点
[01124.10-01125.88] 第一个点就是我们所说的
[01125.88-01127.68] 岸岸石六州他有别称
[01127.68-01128.96] 也叫做约石六州
[01129.22-01132.02] 是以大同和北京美中心的
[01132.28-01132.80] 这是第一个点
[01132.80-01135.32] 其他病例的这些州
[01135.32-01136.88] 统成为我们所说的
[01136.88-01137.72] 银元16周
[01137.72-01138.92] 而这个16周
[01138.92-01143.00] 它涉及到的地域包括北京天津和北山西等等这些地方
[01143.00-01144.08] 这些地方
[01144.08-01146.80] 它和我们所说的当时的河南
[01146.80-01148.08] 是仅仅爱在一块
[01148.08-01151.52] 所以银元16周的失去对于北送来说是一个巨大的挑战
[01151.52-01152.88] 这些地牌都不是你的
[01152.88-01153.76] 变成别人的
[01153.76-01156.76] 这有时候你变定的问题就会变得很多
[01156.76-01159.60] 这是我们需要打掌握的银元16周
[01159.60-01162.20] 那这个言约16周当中有一些细节
[01162.20-01163.00] 同时没有知道
[01163.00-01164.16] 我刚才给大家说了
[01164.16-01165.20] 那第一个细节呢
[01165.20-01166.40] 就是大家要明确
[01166.40-01168.28] 言约16周是一北京
[01169.44-01171.36] 和我们所说的大同
[01171.60-01172.64] 那种新的
[01172.64-01173.60] 这是第一个
[01173.60-01174.60] 第二个呢
[01174.60-01176.00] 言约16周这个词
[01176.00-01177.04] 最早
[01178.56-01179.44] 建于
[01179.84-01180.60] 宋使
[01180.60-01181.72] 地理制当中
[01181.72-01182.96] 比如宋的时候
[01182.96-01183.88] 才有了这个说法
[01183.88-01184.80] 言约16周
[01184.80-01185.60] 第三个呢
[01185.60-01187.04] 就是这言约16周
[01187.04-01189.56] 就是宋朝一直想把他收负回来
[01189.56-01191.56] 但是一直没有收付回来 对吧
[01191.56-01194.64] 而到了元朝的时候元朝是少数民族政权
[01194.64-01197.68] 因于石油洲其实也不同所中元广下
[01197.68-01198.66] 一直到什么时候
[01198.66-01200.84] 烟匀石油洲才算是彻底收负了呢
[01200.84-01202.24] 是明朝事情
[01205.36-01206.80] 明朝事情
