[00000.00-00004.08] 那我們就要開啟一個新的支持某塊的學習了
[00279.46-00280.30] 所以在这里面
[00280.30-00282.54] 大家一定要把这个框架体系输率清楚
[00282.54-00284.54] 大家知道西思想很重要
[00284.54-00287.44] 但是西思想的重要地位不但提现在
[00287.44-00288.94] 他在攻击考试当中
[00288.94-00290.14] 他战友一起知地
[00290.14-00291.04] 也提现在
[00291.04-00294.06] 西思想他其实和我们当下的实政热点相
[00294.06-00295.04] 连通的
[00295.04-00296.04] 还提现在
[00296.04-00297.84] 你充分理解了西思想
[00297.84-00300.24] 你就能够充分理解国家的政策
[00300.24-00301.94] 对于大家深论写作
[00301.94-00304.04] 无论是深论写作拆解论点
[00304.04-00305.44] 还是去激累素材
[00305.44-00307.44] 还是对于大家在日后的工作当中
[00307.44-00308.74] 以及在灭视当中
[00308.74-00311.14] 都会发挥特别大的作用
[00311.14-00316.26] 所以我们对于新思想的学写要把握住一 要做到巡序健康
[00316.26-00318.18] 所以的巡序健康就是在这里
[00318.18-00322.18] 我以为大家讲的是我们从最开始18岳以来到现在
[00322.18-00325.02] 我们的新思想它的一个框架体系
[00325.02-00329.46] 但是20大最新的内容并没有放在这一次的新思想讲解当中来
[00329.46-00331.46] 因为20大本身体量特别大
[00331.46-00334.70] 我们这个新思想的讲解时常也相对来说足够长
[00334.70-00336.22] 不想给大家增加技术单
[00336.22-00340.38] 所以同学们在整个把握最维全面的新思想的第一步
[00340.38-00341.40] 就是在这里面
[00342.18-00345.18] 去把他的框架以及我讲的内容去给他掌握住
[00345.38-00347.50] 第二步才是我们在实政当中
[00347.50-00350.74] 瞬着些有的这样的一个思想框架去学20大
[00350.74-00352.68] 你只有把心思想先有
[00352.68-00354.18] 我给大家讲的这些内容
[00354.18-00355.48] 你给他充分吸收了
[00355.48-00357.90] 因为发现20大对你来说不再画下
[00357.90-00360.34] 他就不再是一些文字的对几
[00360.34-00362.02] 而是有一些内在逻辑的
[00362.02-00363.68] 所以在这里面这个框架
[00363.68-00366.48] 我们会反复去体业反复去基硑
[00366.48-00370.28] 你就把这个框架深深的刻在你的脑子里就可以了
[00370.28-00372.94] 這是我們整個新思想在講解之前
[00372.94-00375.40] 給大家去進行的框架的書裡
[00375.40-00377.30] 分為總論和分論
[00377.30-00378.74] 分論講為體色全面
[00378.74-00381.48] 以及實現中華民族偉大夫性的中華保障
[00381.48-00383.36] 而總論當中要看看
[00383.36-00385.52] 第一個為什麼要提出新思想
[00385.52-00386.98] 第二個紅彎上
[00386.98-00389.98] 我們要看看新思想的具體內容包括哪些
[00389.98-00391.22] 這是他的框架
[00391.22-00392.82] 我們先來看一下第一個部分
[00392.82-00394.04] 就是我們來看看
[00394.04-00396.48] 我們為什麼要提出新思想
[00396.48-00397.72] 新思想的提出
[00397.72-00399.04] 他有一个特定的背景
[00399.04-00404.32] 这个背景就是中国特色社会主义进入到了新时代
[00404.32-00407.32] 那什么叫做中国特色社会主义进入到新时代
[00407.32-00408.60] 他有什么样的意义
[00408.60-00409.80] 他有预示什么呢
[00409.80-00411.24] 咱们先来看一下第一个点
[00412.24-00414.32] 咱们再收上做一个简单的标注
[00414.32-00417.52] 中国特色社会主义进入到了新时代
[00417.52-00418.84] 把新时代化出来
[00418.84-00422.48] 这是我们国家发展到新的历史方位
[00422.48-00423.36] 把这句话化出来
[00423.36-00426.32] 然后把历史方位去给他做一个特殊的标注
[00426.32-00427.74] 那所謂的西時代呢
[00427.74-00430.38] 如果從我們現有的這樣那個理論來看
[00430.38-00432.12] 它就是國家發展的一個什麼
[00432.12-00434.64] 一個新的發展奇點而已
[00434.64-00436.84] 所以在這裡我們叫做新的歷史什麼
[00436.84-00437.80] 風味
[00437.80-00440.12] 風味它其實是有一定的說法的
[00440.12-00442.84] 風味代表的就是方向和位置
[00442.84-00445.52] 所以的方向就是位來國家朝那走
[00445.52-00446.88] 我們說了社會主義
[00446.88-00449.28] 還是嚴重社會主義國家道路來走
[00449.28-00450.96] 來實現中華民族偉大附形
[00450.96-00452.60] 這是方向那位置在哪
[00452.60-00455.76] 位置就在於中國在整個經濟發展上
[00455.76-00459.16] 在國家的實徵大背景上進入到了一個新的時代
[00459.16-00460.36] 這是現有的位置
[00460.36-00462.86] 從現有新時代的位置回顧過去
[00462.86-00465.36] 那是中國經濟高速發展的一個時代
[00465.36-00469.16] 那是中國經濟在現有階段之前所打下的一個根基
[00469.16-00473.06] 展望未來我們就會發現在新時代展望未來
[00473.06-00475.76] 這是我們實現中華民族偉大和新中國夢
[00475.76-00478.06] 實現現代化建設的這樣一個起點
[00478.06-00479.06] 所以我們說了
[00479.06-00481.56] 叫進入新時代是中國新的歷史
[00481.56-00482.56] 方位
[00482.56-00484.56] 方位代表的是方向和位置
[00484.56-00486.72] 这个地方在考察的时候大家注意一下
[00486.72-00488.40] 它其实是两个考察点的
[00489.36-00490.48] 两个考察点
[00490.68-00494.08] 这样考察点第一个就是会考察新时代的地位
[00494.08-00495.84] 那我们知道新时代的地位
[00495.84-00497.20] 我们刚才给大家画出来了
[00497.20-00499.44] 叫新的什么历史方位
[00499.44-00502.08] 它考察的时候很容易把这个此给你改成
[00502.08-00504.08] 历史方向历史地位
[00504.08-00505.76] 历史阶段都不对
[00505.76-00506.96] 就叫做历史方位
[00506.96-00508.88] 因为它是方向和位置
[00508.88-00509.68] 这是第一个
[00509.68-00510.32] 第二个呢
[00510.32-00512.80] 它会考察一些相关概念
[00512.80-00515.88] 他會考察一些相關概念
[00515.88-00517.68] 這些相關概念是什麼呢
[00517.68-00519.64] 需要同學們在書上去做一個標誦
[00519.64-00521.44] 我又給大家在這個地方留百歐
[00521.44-00523.16] 我留百的地方都是讓大家去寫的
[00523.16-00524.32] 就是心實在
[00524.32-00527.32] 他到底後我們現在所提到的一些概念什麼關係呢
[00527.32-00529.32] 比如說他跟我們現在所提到的
[00529.32-00531.44] 社會主義出擊階段是什麼關係
[00533.04-00535.36] 我們前面在講到評理論的時候
[00535.36-00537.12] 講到社會主義出擊階段對吧
[00537.12-00540.80] 他又和我們所說的新發展階段有什麼關係呢
[00542.80-00546.46] 而这里面我们所提到的
[00546.46-00549.66] 售主义触义阶段和新发展阶段之间又什么关系呢
[00549.66-00551.50] 所以它会考察一些相关概念
[00551.50-00553.14] 也就是会考察每三个概念呢
[00553.14-00557.84] 就是新时代收费主义触义阶段
[00557.84-00559.14] 新发展阶段
[00559.14-00560.78] 它们直接的一些关系
[00560.78-00562.00] 可能是两个两个的
[00562.00-00563.14] 可能是三个三个的
[00563.14-00564.74] 而这个地方在考察的时候呢
[00564.74-00566.78] 就不单单只是让你背下来就OK了
[00566.78-00570.24] 这里面在考察的时候它就是一个组合题目的考察
[00570.24-00571.68] 这个组合题目的考察呢
[00571.68-00578.66] 就是以下关于新发展阶段和收入主义出几阶段缩法正确或者错误的事
[00578.66-00580.80] 这给你好几个选项让你去选
[00580.80-00584.10] 可能是单选 可能是多选 有可能是判断提
[00584.10-00586.78] 所以这个地方它会相对来说是哪一点
[00586.78-00591.14] 同样听到这三个点可能唯一有印象的对于这里面的收入主义
[00591.14-00592.28] 出一阶段有点印象
[00593.16-00595.24] 因为咱们前面怎么样讲过
[00595.24-00597.34] 那这里的新发展阶段和新时代
[00597.34-00599.18] 他们之间到底是一个什么样的关系
[00599.18-00602.22] 咱们如果单纯的用嘴去在这里大家突怒
[00603.22-00604.30] 突怒不出来结果的
[00604.30-00604.54] 对吧
[00604.54-00606.62] 因为我说的越多你就会越越越越越越
[00606.62-00607.54] 咱们怎么办呢
[00607.54-00610.30] 咱们做一个社会主义的办人
[00610.30-00610.66] 对吧
[00610.66-00611.98] 咱总归是有些办法
[00611.98-00613.70] 大家去理解的话突伴
[00613.70-00615.10] 咱们来看一下这里面
[00615.10-00616.10] 他们直接关键
[00616.34-00618.38] 我在这里给大家做了一个土事
[00618.58-00620.86] 这种土事就给大家去明确的书理了
[00620.86-00622.38] 社会主义出一阶段
[00622.38-00624.54] 心时代已经新发展阶段
[00624.54-00626.10] 他们之间的关系
[00626.10-00627.30] 首先我们先来看一下
[00627.30-00629.82] 第一个概念叫做社会主义初期阶段
[00629.82-00630.54] 在那儿呢
[00630.54-00632.06] 我在这里给他标注出来了
[00632.06-00634.66] 跟着我的俗路兰跟着我颜色的标注来
[00634.66-00637.94] 我们先来看一下这里面的社会主义初期阶段
[00637.94-00639.86] 社会主义初期阶段在这儿了
[00640.98-00643.70] 社会主义初期阶段咱们在到屏里的当中提到了
[00643.70-00646.30] 社会主义初期阶段什么时候提出来的
[00646.30-00649.38] 或者什么时候我们进入到社会主义初期阶段
[00649.78-00652.18] 开始在大老当中风黄的剪作
[00652.18-00653.06] 开始翻片了
[00653.06-00653.78] 开始翻鱼
[00653.78-00655.54] 社会主义初期阶段啥时候呢
[00655.54-00657.78] 好像提到是有社会主义的时候
[00657.78-00660.62] 中国什么时候是社会主义国家来着
[00660.62-00662.14] 1949年是不是呢
[00662.14-00665.62] 1949年不是1949年新中国刚刚成立
[00665.62-00668.14] 那个时候叫做社会主义国家
[00668.14-00669.86] 什么时候中国变成了
[00669.86-00673.06] 那个时候叫做新民主主义国家
[00673.06-00675.02] 什么时候变成了社会主义国家
[00675.02-00675.78] 我后翻
[00675.78-00677.54] 看一个时间
[00677.54-00679.78] 想起来了是1956年什么
[00679.78-00683.14] 1956年三大改造完成之后
[00683.14-00686.62] 三大改造完成之后 中国进入到社会主义
[00686.62-00688.30] 国家 中国
[00688.30-00690.82] 变成社会主义国家的那一天开始
[00690.82-00692.10] 就成为了什么
[00692.10-00694.14] 就进入到了社会主义的初期阶段
[00694.14-00695.54] 所以在这里有说了
[00695.54-00699.54] 社会主义初期阶段开始时间是1956年
[00699.54-00702.34] 那社会主义初期阶段什么手结束呢
[00702.34-00704.38] 我们说了社会主义初期阶段结束
[00704.38-00707.98] 按照以前到平理论的话来讲是到本世机的什么
[00707.98-00708.90] 中业
[00708.90-00711.82] 但是本世机中业他提出来的目标是啥
[00711.82-00713.82] 是基本实现现在化
[00713.82-00715.98] 现在什么时候基本实现的话
[00715.98-00717.30] 现在2035年
[00717.30-00719.42] 这个时候很多朋友说了说老师
[00719.42-00720.06] 完了
[00720.06-00721.42] 我开始有点举结了
[00721.42-00723.58] 走出社会主义触记这段
[00723.58-00725.42] 到底是到本世纪的中业
[00725.42-00728.30] 还是到基本实现现在化这样的一个时间
[00728.30-00730.06] 也是到现在的2035年
[00730.06-00731.42] 同时不要举结了
[00731.42-00732.30] 因为这个点
[00732.30-00734.86] 我们在官方没有明确的论数
[00734.86-00737.10] 因为我们在到平老三部当中
[00737.10-00738.06] 会大家讲到
[00738.06-00738.22] 对吧
[00738.22-00740.22] 我们要到本世纪中业
[00740.22-00741.50] 基本实现现在化
[00741.50-00744.86] 而基本实现现代化的时候就走出了收入主义初一阶段
[00744.86-00746.98] 而到了现任我们国家的领导人
[00746.98-00749.10] 以及咱们现在的大爆子上台之后
[00749.10-00752.34] 把整个现代化的进程提高提前了15年
[00752.34-00754.58] 到2035年基本实现代化
[00754.58-00757.10] 所以到底是走出收入主义初一阶段
[00757.10-00759.02] 到底是到哪一年没有定论
[00759.02-00760.14] 你不用管他
[00760.86-00764.58] 所以你就知道我们在实现基本实现现代化的时候
[00764.58-00766.54] 要走出收入主义初一阶段就行了
[00766.54-00768.66] 所以这个时间点不用纠结
[00768.66-00769.14] 明白吧
[00769.14-00770.18] 官方没有定论
[00770.18-00771.78] 没有订论的东西他是不一口的
[00771.78-00773.90] 我只是在这两大家有一个概念
[00773.90-00775.38] 就在这里能够明确
[00775.38-00777.38] 我们的收睁一出一届段比较长
[00777.38-00779.58] 如果按照原本到平理论来看的话
[00779.58-00781.18] 收睁一要持续段时间
[00781.18-00782.98] 收睁一要持续一百年
[00782.98-00785.98] 所以你看这叫做收睁一出一届段
[00785.98-00787.18] 从1956年
[00787.18-00789.38] 咱们就以本世纪中业作为接电
[00789.38-00790.58] 我们就理解
[00790.58-00792.58] 从1956年到本世纪中业
[00792.58-00794.38] 一百年长长长
[00794.38-00797.18] 一百年太久只蒸召气
[00797.18-00798.72] 那么这么长的一个借段
[00798.72-00802.30] 他不可能社会的情况是一遍不变的
[00802.30-00804.30] 所以随着国家的不断发展
[00804.30-00807.62] 国家的经济建设也在不断的网前感
[00807.62-00809.10] 对吧也在不断的进步
[00809.10-00811.62] 所以每一个时代每一个年份
[00811.62-00813.26] 每一个我们所说的
[00813.98-00815.34] 这样的一个时间节点
[00815.34-00817.62] 他都会呈现出一个不同的特征
[00817.62-00819.66] 那其中最明显的一个时间节点
[00819.66-00820.70] 是在什么时候呢
[00820.70-00822.02] 是在2012年
[00822.02-00824.18] 2012年18大召开的时候
[00824.18-00825.26] 那一年我们就说了
[00825.26-00829.10] 说我们现在的生活和以前好像是有了一个很大的差点
[00829.10-00832.62] 我们把这个使和之前不太一样的这个时间节点
[00832.62-00833.46] 认为为什么呢
[00833.46-00834.86] 认为为新时代
[00834.86-00837.62] 所以同时来看一下新时代是什么
[00837.62-00840.82] 新时代只不过是社会主义初级阶段当中
[00840.82-00843.62] 一个比较特殊的一个时间点而已
[00843.62-00844.38] 明白了吧
[00844.38-00849.06] 而这个时间点是不是在社会主义初级阶段当中的当然是
[00849.06-00849.62] 明白了吧
[00849.62-00850.86] 所以你知道新时代
[00850.86-00852.10] 新时代只是一个什么
[00852.10-00854.14] 只是一个相对来说的一个概念
[00854.14-00856.38] 他因于是中国经济的发展
[00856.38-00858.86] 和以往任何一个年份都不同
[00858.86-00860.62] 而且有了一个制的费月
[00860.62-00863.42] 所以我们把这个时期叫做新时代
[00863.42-00865.22] 那什么叫做新发展阶段呢
[00865.22-00866.22] 同样支援
[00866.22-00868.70] 新发展阶段他是在什么时候体出的
[00868.70-00871.74] 新发展阶段是在2020年体出的
[00871.74-00874.06] 新发展阶段是在2020年体出的
[00874.06-00876.30] 当时说的那个话和新时代一样
[00876.30-00878.78] 说我们进入了新发展阶段
[00878.78-00881.02] 就是中国在经济发展中
[00881.02-00883.02] 到了一个新的历史方位
[00883.02-00885.50] 所以他的地位和虚实带表说的是一样
[00885.50-00887.74] 虚实带只是一个时代的开端
[00887.74-00889.54] 比如说你看我特别喜欢马龙
[00889.54-00891.50] 打平方球流版形战士
[00891.50-00893.58] 在我们所说的苏州
[00893.98-00895.74] 那年打士拼赛的时候
[00895.74-00896.58] 然后就说了
[00896.58-00899.38] 说他一月到了球台上开起了龙时带
[00899.38-00901.54] 这个龙时带就是他所谓他
[00901.54-00903.82] 以他为主道作为我们所说的
[00903.82-00905.98] 拼当中的中留底住的一个代表
[00905.98-00908.34] 所以虚实带他不过就是一个名词
[00908.34-00912.38] 在这个时候就告诉别人我们这个时候和其他时间不一样了
[00912.38-00914.14] 明白了吧 他只割就是个命名
[00914.14-00916.54] 而新发展阶段他是一个时间段
[00916.54-00919.06] 这个新发展阶段是2020年提出来的
[00919.06-00921.98] 新发展阶段从2020年一直到什么时候呢
[00921.98-00923.70] 一直到本世纪的中业
[00923.70-00925.86] 我们说假设就一本世纪中业为力
[00925.86-00929.30] 那这个阶段叫做什么新发展阶段
[00929.30-00931.70] 所以我们会发现无论是新时代
[00931.70-00932.98] 还是新发展阶段
[00932.98-00935.22] 他都包含在哪一个阶段当中
[00935.22-00938.98] 他都包含在社会主义初期结短当中
[00938.98-00940.98] 这个点大家是能理解的吧
[00940.98-00944.38] 到这我们就把这三个基本的时间给大家说完了
[00944.38-00946.46] 但是考试的时候会考什么呢
[00946.46-00948.14] 考试的时候除了考
[00948.14-00950.26] 我们所说的社会主义初期结短的
[00950.26-00951.74] 骑子时间之外
[00953.02-00954.42] 他还会考察什么
[00954.42-00956.78] 他还会考察社会主义初期结短
[00956.78-00958.02] 和我们所说的
[00958.02-00960.50] 新发展结短之间的关系
[00962.34-00964.42] 还会考察社会主义初期结短
[00964.42-00966.78] 與新發展階段之間的關係
[00966.78-00968.58] 他們兩個的關係是什麼呢?
[00968.58-00969.82] 同時在旁邊標準一下
[00969.82-00971.54] 首先第一個我們剛才說了
[00971.54-00973.78] 社會主義出一階段與新發展階段
[00973.78-00975.18] 他們之間的關係是什麼?
[00975.18-00976.46] 是新發展階段
[00976.46-00979.90] 無非就是社會主義出一階段當中的一塊
[00979.90-00981.90] 因為社會主義出一階段那老廠
[00981.90-00984.06] 新發展階段是其中的一小塊
[00984.06-00985.74] 所以在旁邊標準一下
[00985.74-00990.02] 新發展階段是社會主義出一階段當中的一個階段
[00990.54-00992.82] 說老師你在這個我問口
[00992.82-00996.90] 每段口 寫在旁邊叫新發展階段
[00998.10-01003.54] 是社會主義
[01004.22-01006.70] 初級階段中的階段
[01007.70-01011.46] 是社會主義 初級階段中的
[01012.66-01013.74] 階段
[01013.74-01015.86] 既然新發展階段是社會主義
[01015.86-01017.54] 初級階段中的階段
[01017.54-01020.02] 因為新發展階段既有自己的
[01020.02-01021.78] 哥性也有什么
[01021.78-01023.86] 也有社会主义初期阶段的什么
[01023.86-01024.62] 共性
[01024.62-01025.26] 明白了吧
[01025.26-01026.82] 所以他们之间应该是什么关系
[01026.82-01028.54] 应该是共性以个性的关系
[01028.54-01030.26] 新发人阶段是代表着
[01030.26-01031.90] 现有经济发生模式的
[01031.90-01034.38] 这样的一个有这样的一个特征在的
[01034.38-01035.82] 而收主义初期之外呢
[01035.82-01037.78] 那就是一个整个
[01037.78-01039.34] 这个时期生产的相对来说
[01039.34-01042.78] 不发达的这样的一个中国特有一个阶段的体现
[01042.78-01044.10] 所以他们之间应该是
[01044.10-01045.10] 哥性
[01045.82-01048.10] 于共性之间的关系
[01048.10-01049.62] 这个点你要能够去明确
[01049.62-01051.86] 这个点要是理解透了那就没有问题了
[01051.86-01054.74] 因为我在这画的这个时间节点已经够清晰了
[01054.74-01057.18] 所以在这里这是第一个他们之间的关系
[01057.18-01059.18] 那他们之间的第二个关系在什么呢
[01059.18-01060.34] 在于就大概注意下
[01060.34-01062.94] 新发展阶段也好或者是新时代也好
[01062.94-01065.26] 他预示着中国和以前不同了
[01065.26-01069.22] 中国从战起来副起来做相什么 强起来
[01069.22-01075.14] 所以新发展阶段也是中国战复都强的
[01076.34-01077.62] 一个新阶段
[01077.62-01078.46] 我就不写了吧
[01078.46-01080.10] 所以在这里单应该能够明确
[01080.10-01081.62] 星二集段是站起来
[01081.62-01082.26] 付起来
[01082.26-01083.54] 谁让我们站起来
[01083.54-01085.42] 新中国成立让我们站起来
[01085.42-01086.46] 谁让我们付起来
[01086.46-01088.46] 改革开放之后让我们付起来
[01088.46-01089.74] 谁让我们强起来
[01090.62-01091.98] 此处应有掌声
[01091.98-01092.70] 听动掌声
[01092.70-01092.98] 对吧
[01092.98-01093.94] 我就不说是谁了
[01093.94-01094.62] 因为说了之后
[01094.62-01095.94] 咱们这个视频就上纯不上了
[01095.94-01097.10] 所以谁让我们强起来
[01097.10-01098.22] 这个不也而欲
[01098.22-01100.94] 所以强起来就意味着实现中华民族的
[01100.94-01101.78] 北大福星
[01101.78-01103.38] 咱们听了这么长时间
[01103.38-01103.94] 我的课了
[01103.94-01104.58] 这点默契
[01104.58-01106.38] 咱们应该有懂得都懂
[01106.38-01108.74] 所以这第二个新派已经断他的含疫
[01108.74-01110.86] 让战起来父亲到强起来阶段
[01110.86-01112.42] 第三个就是意味着
[01112.42-01113.42] 新派人阶段
[01113.42-01114.82] 它其实是意味着
[01114.82-01119.18] 我们要开启新时代的争成实现更高时代的
[01119.18-01120.70] 这样的一个时代目标
[01120.70-01122.10] 所以这个阶段也是什么
[01122.10-01124.70] 也是拥有循后物质基础的阶段
[01124.70-01126.30] 所以在这里我就简单显了
[01126.30-01127.10] 新派人阶段
[01127.10-01129.42] 它代表着我们国家的经济发展实力上升
[01129.42-01131.98] 有更加循后的物质基础
[01131.98-01136.34] 共加巡后的物质技术
[01136.34-01137.34] 这样的一个阶段
[01137.34-01139.02] 所以这是新发染阶段
[01139.02-01141.14] 它和社会主义初一阶段之间的关系
[01141.14-01143.26] 那具体的关系就是新发染阶段
[01143.26-01144.54] 和社会主义初一阶段
[01144.54-01146.06] 是共性和各性的关系
[01146.06-01148.06] 既有社会主义的共性
[01148.06-01149.14] 也有新发染阶段
[01149.14-01150.54] 当下的这样的一个特性
[01150.54-01151.62] 而新发染阶段
[01151.62-01154.18] 它本身是战富强和物质发展
[01154.18-01155.62] 不要巡后的一个阶段
[01155.62-01157.58] 这是我们所说的有关于
[01157.58-01161.22] 中国他进入到了一个新的时代
[01161.22-01163.74] 同时到2020年的时候没有提到了
[01163.74-01166.06] 中国又进入到了另外一个新的发展阶段
[01166.06-01167.86] 这是我们整个时代背景
[01167.86-01169.26] 这个是必须要了解的
[01169.26-01170.74] 周晴一为时代变化
[01170.74-01173.54] 那就意味着一前比如说毛东思想
[01173.54-01175.18] 到平旅论三个代表照思想
[01175.18-01176.34] 以及科学发展官
[01176.34-01179.18] 它有一部分内容是不太適应
[01179.18-01180.98] 当下经济发展的需要的
[01180.98-01183.58] 当然它大部分内容是对现在任由指示的
[01183.58-01184.66] 但是你比如说
[01184.66-01188.02] 小毛也也他有关于革命和介设理论当中
[01188.02-01189.56] 他革命了这一部分理论
[01189.56-01191.36] 他以前是要知道打仗的
[01191.36-01193.14] 要知道信任国城里了
[01193.14-01194.62] 能不能把以前毛也有关
