[00000.00-00003.28] Hello同行,好久不见了,我是几日老师。
[00244.78-00246.58] 那这里面一会设到什么问题啊
[00246.58-00247.98] 抵押去啊那问题
[00247.98-00250.78] 所以所謂的我們所說的這個務權呢
[00250.78-00252.64] 通常能給它學清楚啊
[00252.64-00254.82] 非常重要的幾個點就是第一個
[00254.82-00257.98] 要掌握著務權變動的一些基本原理
[00257.98-00261.26] 第二個就是要了解務權的到底有哪些
[00261.26-00262.70] 所以在整個務權當中
[00262.70-00264.90] 我們要給同學講務權的基本原理
[00264.90-00266.22] 講到所有權
[00266.22-00267.06] 用意務權呢
[00267.06-00269.02] 咱們在這兒不會以來去講到
[00270.02-00272.22] 最後一個就是要同學們去掌握的就是
[00272.22-00273.26] 單寶務權
[00273.26-00275.06] 那有同學就是說是老實際沒啥
[00275.06-00276.58] 不有我們講用意務權呢
[00276.58-00279.10] 就是因为咱们出于时间副席的考量
[00279.10-00281.70] 因为咱们整体的这个给大家去录制的车车
[00281.70-00284.82] 车体一套下来可能要100多个小时
[00284.82-00288.10] 所以在这里不可能是无居性的每一个点都也同时去讲到
[00288.10-00290.50] 而我在最开始的时候又给大家去说过
[00290.50-00292.46] 我们再去掌握这一部分内容的时候
[00292.46-00295.78] 我们先去搭借一个框架去搭借一个核心
[00295.78-00298.02] 去把它里面最核心的支点去掌握
[00298.02-00301.42] 即使对于同性的副席新加坏来说更高的
[00301.42-00304.02] 另外一个也是为后面我们在强化阶段
[00304.02-00306.38] 从此解决到打下一个凉号的基础
[00306.38-00308.78] 学习是一个巡学间境的过程
[00308.78-00312.94] 基于考试当中考得比较多的是两个大人不粉
[00312.94-00315.06] 一个是所有权一个是单老目前
[00315.06-00317.50] 所以我们在今天的误权将决当中
[00317.50-00319.50] 就给大家去讲解这两块
[00319.50-00321.58] 这是要给大家去说的
[00321.58-00325.54] 我们所谓的有关于误权的一个黄箭
[00325.54-00326.94] 那误权的框架之下
[00326.94-00328.54] 我们要讲到三大权数
[00328.54-00330.86] 对吧,所有权用有无权和单老武权
[00330.86-00333.38] 需要同时能不能把这三部分内容
[00333.38-00335.70] 先給他有一個搭給的乾淨
[00335.70-00338.62] 好,這個就是在正式開始之前
[00338.62-00341.70] 給我們做一個簡單的書裡和回顧
[00341.70-00345.14] 我們就正式進入到污泉的學習當中
[00345.62-00347.14] 我們在學習污泉之前
[00347.14-00348.74] 我們先要了解一下污泉
[00348.74-00351.14] 它的一個基本情況或基本原理
[00351.14-00352.34] 咱們在市場生活當中
[00352.34-00353.62] 經常會聽到污泉
[00353.62-00355.62] 經常會聽到所有權等等
[00355.62-00357.54] 首先就應該去明確
[00357.54-00359.22] 我們所說的這個污泉
[00359.22-00360.90] 它到底是什麼
[00360.90-00365.58] 咱們來看一下在法律上對於務權的定義是什麼
[00365.58-00370.14] 他說務權是指權力人依法對特定的物
[00370.14-00373.58] 享有直接支配和排他的權力
[00373.58-00375.90] 在後面我們標注一下第一個考點
[00375.90-00377.22] 那我所說的務權呢
[00377.22-00380.86] 他包括在法定份類上包括三種情況
[00380.86-00383.86] 這是包括所有權的用意務權和大寶務權
[00383.86-00386.18] 我們在這標注一下圈一
[00386.18-00387.70] 然後再蓬佩奧一個IC
[00387.70-00389.42] 他是一個醫生級的知識點
[00389.42-00392.64] 在之前的考试当中尤其是核辽考误
[00393.62-00397.68] 所以他如果给到说我们所说的这个误权包括哪三大
[00397.68-00400.08] 我们所说的这种权类或者是权数
[00400.08-00403.18] 你要知道包括搜权又一误权和单导误权
[00403.18-00404.34] 这是第一个
[00404.34-00407.22] 那有人同学可能在这里面会听到一个点
[00407.22-00410.74] 就是老师我经常也会听到什么字误权和他误权
[00410.74-00412.82] 那这个字误权他误权还有我们所说的
[00412.82-00414.82] 就准误权到底是怎么回事呢
[00414.82-00416.82] 那他其实本质上和什么有关呢
[00416.82-00420.10] 他接本质上和误权的分类有关系
[00420.10-00422.38] 根据误权归属的不同
[00422.38-00425.22] 我们把他分为自误权他误权和准误权
[00425.22-00427.22] 而根据误权的利用不同
[00427.22-00430.30] 我们分成了所有权又有权和弹保误权
[00430.30-00432.50] 而在考试当中比较长考的
[00432.50-00435.10] 就是所有权又有权和弹保误权
[00435.10-00439.10] 这里面想要把所说的误权体系
[00439.10-00440.06] 就给他掌握清楚
[00440.06-00442.10] 我们需要通过一个框架
[00442.10-00444.18] 我们来看一下误权框架
[00444.18-00445.54] 他的一个书里
[00445.54-00447.78] 武权他在整体的画分上
[00447.78-00448.42] 我刚才说了
[00448.42-00450.86] 他包括自无权和套武权
[00450.86-00453.26] 当然中间还有一个指物权
[00453.26-00456.46] 这个指物权他代表的是战友的事实和状态
[00456.46-00457.70] 这个咱们不说
[00457.70-00460.90] 那所谓的自无权就是说这个东西归谁吗
[00461.54-00463.06] 我们从归属上
[00463.06-00463.94] 画分出来了
[00463.94-00465.26] 自无权和套武权
[00465.26-00467.94] 这里面我们所说的东西归谁
[00467.94-00468.90] 归你自己
[00468.90-00470.62] 那就叫做自无权
[00470.62-00472.38] 那这个东西本身不归你
[00472.38-00474.02] 你只是使用这个东西
[00474.02-00478.38] 它的使用价值或者只利用这个东西的交换价值
[00478.38-00479.90] 这个东西它就不是你的
[00479.90-00481.38] 它不是你的它是什么
[00481.38-00482.78] 它就是它路权
[00482.78-00483.74] 而族权呢
[00483.74-00486.86] 我们在这里只有一个就叫做所有权
[00486.86-00487.98] 而它无权呢
[00487.98-00489.46] 在这里包括两个
[00489.46-00490.66] 一个是用一物权
[00490.66-00493.22] 一个是我们所说的单宝物权
[00493.22-00496.02] 那这里面我们先来看一下用一物权
[00496.02-00498.42] 用一物权它的内容还是比较多的
[00498.42-00501.58] 在这里它包括建设用地使用权
[00501.58-00505.64] 土地城包金文權 宅基地使用權 居住權 地義權 等等
[00505.64-00507.28] 這些都屬於用於武權
[00507.28-00509.98] 同位會發現 用於武權 它有一個特點
[00509.98-00510.88] 什麼特點呢
[00510.88-00515.08] 你看 既然是用地 土地城包金文權和宅基地使用權
[00515.58-00517.08] 我們就已經三個委利
[00517.08-00522.88] 我會發現 在這三項權利的 我們所說的土地都不是歸你所有
[00522.88-00525.58] 大家都知道咱們國家的土地 那是歸吉替所有的
[00525.58-00528.28] 那是歸 我們所說的全面所有的
[00528.28-00531.36] 那规权面所规及所他不规个人
[00531.36-00535.52] 所以从全数规数上来看土地不规你所有
[00535.52-00538.36] 所以这就回购了他叫过什么他不去
[00538.36-00539.80] 那这里面像我们所说的
[00539.80-00541.20] 接生用力使用确
[00541.20-00543.76] 不要吵件的就是城市接生用力
[00543.76-00545.20] 城市接生用力咱们现在
[00545.20-00547.00] 比如说你在家里坐着
[00547.00-00548.88] 或者你在办公室当中办公
[00548.88-00551.36] 对吧你总会要坐在那个办公楼里
[00551.36-00552.28] 办公楼呢
[00552.28-00554.52] 他其实是见在土地之上的
[00554.52-00555.72] 那我问一下大家
[00555.72-00557.56] 咱们的这个办公楼
[00557.56-00560.24] 你所住的城市你买的这个楼房
[00560.24-00562.48] 你的大别说我的思考院等等
[00562.48-00565.68] 它是否都是在中产人民共和国土地上建立起来的
[00565.68-00568.04] 那在我们土地上建立起来的
[00568.04-00570.68] 这个我们所说的这个房子
[00570.68-00572.08] 它其实本身就是什么
[00572.08-00574.88] 它本身是使用了国家土地
[00574.88-00576.28] 因为土地规规国家说嘛
[00576.28-00578.16] 我在这过程中只是使用它
[00578.16-00580.08] 所以像这一类的房子的建造
[00580.08-00581.72] 我们把它称率叫什么
[00581.72-00582.96] 叫建设用地
[00582.96-00584.40] 那建设用地使用权
[00584.40-00586.92] 比如说我刚才所给大家举的那些例子
[00586.92-00588.32] 他属于建设率
[00588.32-00590.24] 那这是第一个大家要明确
[00590.24-00591.00] 那第二个呢
[00591.00-00594.04] 叫土地成包竞争全和宅基地使用权
[00594.60-00595.64] 这两个点呢
[00595.64-00598.16] 在咱们整体的法律考试当中
[00598.16-00601.24] 其实他有一定的靠性单考的相当时不是很多
[00601.24-00603.04] 当然大家的总会去参加一些
[00603.04-00605.24] 比如说三支一副考试
[00605.24-00607.16] 或者大家总会去学到
[00607.16-00609.44] 像我们所说的周一后文件
[00609.44-00612.60] 现在已经到了我们的10月下雪
[00612.60-00613.80] 马上就要10月份了
[00613.80-00614.96] 到12月份呢
[00614.96-00616.96] 还召开周鲁村工作会议
[00616.96-00619.00] 那和这些使用热点相关过
[00619.00-00620.32] 总会看到两个
[00620.32-00622.16] 一个叫做土地成包金钱
[00622.16-00624.16] 一个叫做宅基地时务权
[00624.16-00627.12] 他们两个无论从法律层面上
[00627.12-00630.20] 还从时政层面上都会出现那个考量
[00631.20-00633.16] 就叫做三权分制
[00633.16-00635.44] 这个三权分制需要同学这掌握的
[00635.44-00637.76] 就是土地成包金钱的三权
[00637.76-00639.12] 只得是哪三权
[00639.12-00640.88] 宅基地使用权的三权
[00640.88-00641.84] 是哪三权
[00641.84-00644.00] 就是在这里面需要同学去基租的
[00644.00-00646.36] 第2个实际性的考虑
[00646.36-00649.24] 那这里面我先来看一下土地城报进去
[00649.24-00650.64] 土地城报进去
[00650.64-00652.72] 其实它主要讲的是
[00652.72-00655.00] 比如说我在老家农村
[00655.00-00655.36] 对吧
[00655.36-00657.00] 我中低的这种情况
[00657.00-00658.20] 这个地的归属
[00658.20-00659.80] 它到底怎么就花分的问题
[00659.80-00662.64] 这个会设议到叫土地城报进去
[00662.64-00664.08] 土地城报进去
[00664.08-00666.08] 它原本是两权的
[00666.88-00669.20] 就在我们国家有关于集体用力
[00669.20-00670.36] 它其实一般前来
[00670.36-00671.88] 在之前是两权
[00671.88-00674.40] 哪两拳呢,一拳呢叫做土地搜拳
[00676.28-00680.08] 土地搜拳另外一个呢叫做土地城包进去
[00682.88-00690.72] 以前呢是这两拳,那如果说土地搜拳的话,那情很明确啊土地城包进去主要是农村集体用地
[00690.96-00695.68] 所以土地搜拳呢,在以前是归集体搜的比如说我是
[00695.68-00698.20] 即利市擺山市江源區
[00698.20-00701.84] 什麼某某縣或者是某某街道下
[00701.84-00703.60] 某某村的這樣一個村面
[00703.60-00704.08] 對吧
[00704.08-00705.20] 這種情況之下
[00705.20-00707.20] 我們所說的在這個村裡面
[00707.20-00708.80] 我們所說的這些土地
[00708.80-00711.36] 比如說我家裡在西山有二十目地
[00711.36-00713.60] 在我們所說的家前面南邊
[00713.60-00714.40] 又十目地
[00714.40-00715.60] 我以為說三十目地
[00715.60-00716.80] 這三十目地
[00716.80-00720.24] 他總體上來說是貴村裡面的集體所有
[00720.24-00722.08] 但是為什麼這個地數我中呢
[00722.08-00724.00] 因為我牽了城貓金河痛
[00724.00-00725.04] 所以你看
[00725.04-00726.58] 我有的这三十目地
[00726.58-00728.68] 这三十目地是会穷级体所有的
[00728.68-00730.36] 也就是这是大家的工厂
[00730.36-00732.88] 另外把英文国家不成人土地所有的
[00732.88-00736.24] 所以这个土地的所有权是会穷级体所有
[00736.24-00738.24] 但是为什么这三十目地说我众
[00738.24-00740.44] 而不是我们村的毛儿狗来众呢
[00740.44-00741.48] 那原因很简单
[00741.48-00742.70] 因为我签了什么
[00742.70-00744.00] 城包金和透
[00744.00-00745.80] 如果签了城包金和透
[00745.80-00747.36] 所以会把土地发包给我
[00747.36-00749.84] 这个地就只能给我众
[00749.84-00751.32] 所以你看他叫什么权
[00751.32-00753.68] 第一个我包了这块这一输叫城包
[00753.68-00755.88] 第二个用这块地来干嘛来经营
[00755.88-00757.48] 所有的经营对农村来说
[00757.48-00758.60] 要么就是重地
[00758.60-00760.00] 要么就是我们所说的
[00760.00-00762.60] 训文业就是农业目于网这些
[00762.60-00763.00] 对吧
[00763.00-00765.20] 那像这些叫做成包竞权
[00765.20-00767.56] 他以前是把成包竞权放在一起的
[00767.56-00769.28] 就是我包了这块地
[00769.28-00771.00] 或者你把这块地发包给我
[00771.00-00772.12] 只有谁能重
[00772.12-00773.52] 只有我能重
[00773.52-00775.60] 所以那个时候叫成包竞权
[00775.60-00777.60] 但这几年出现了一个问题
[00778.48-00779.20] 啥问题呢
[00779.20-00780.60] 大家都知道现在呢
[00780.60-00782.28] 农村的他其实如果说
[00782.28-00783.40] 但一的重地
[00783.40-00786.04] 它不能满足農民收入的需要
[00786.04-00787.92] 所以越来越多年轻人
[00787.92-00789.52] 它就开始进程公工了
[00789.52-00790.72] 它一旦进程公工之后
[00790.72-00792.00] 家里的地
[00792.00-00793.28] 它还是在城包的
[00793.28-00794.32] 但是它进程公工之后
[00794.32-00796.28] 家里的地也不中了
[00796.28-00797.56] 现在就会有一个问题
[00797.56-00799.12] 就是你这个地不中了
[00799.12-00800.40] 它是不是就荒费了
[00800.40-00802.00] 而如果一旦荒费的话
[00802.00-00803.28] 实验场了居稳的傻
[00803.28-00804.20] 六荒地
[00804.20-00806.44] 咱们国家是严近六荒出现的
[00806.44-00808.36] 你从老师为傻不让他六荒
[00808.36-00811.40] 你想一下咱们与日剧增的人口数量
[00811.40-00812.00] 对吧
[00812.00-00814.44] 在加上咱们现在又城市建设用地
[00814.44-00815.72] 又各种各种物人
[00815.72-00817.60] 能中的土地就很少了
[00817.60-00818.48] 本来这个地
[00818.48-00819.68] 它就是西缺资源
[00819.68-00820.64] 相对来说
[00820.64-00822.48] 这时候你又给它控闲出来
[00822.48-00823.88] 你还放弹了六坏
[00823.88-00825.40] 这时候存存的一个资源
[00825.40-00826.72] 浪费的大动作
[00826.72-00828.04] 所以在这种情况之下
[00828.04-00828.92] 我们就会发现
[00828.92-00829.92] 以前的土地城包
[00829.92-00832.16] 就完全就可能会出现一个问题
[00832.16-00834.08] 这是我包了土地只有我能中
[00834.08-00835.96] 如果我现在一旦进程物宫了
[00835.96-00837.64] 我这块地是不是就六坏了
[00837.64-00840.04] 它就会造成资源的浪费
[00840.04-00841.00] 于是国亚就说
[00841.00-00844.72] 那我能不能把土地成包精全给它做一个调整
[00844.72-00845.60] 怎么调整呢
[00845.60-00848.36] 修全不变 修全还归集体所有
[00848.36-00851.56] 那我们在整个精油方式上让它灵火一点呆
[00851.56-00854.56] 所以我们就把整个土地成包精全
[00854.56-00857.20] 这个成包精全就拆开了两个部分
[00857.20-00858.52] 一个叫做什么全
[00858.52-00861.00] 一个叫做农村土地的成包全
[00861.00-00864.04] 还有一个叫做啥呢 还有一个叫叫做精英全
[00864.04-00866.88] 以前那是谁包了谁中
[00866.88-00867.36] 对吧
[00867.36-00871.56] 现在是我可以包我也可以进程去打工
[00871.56-00873.84] 如果去块地坡进程管打工的时候
[00873.84-00876.64] 我可以把它这么样给到别人来经营
[00876.64-00882.08] 也就是给到别人去中同村的其他人都可以中
[00882.08-00884.52] 那他就说包我的地也是要给我租金
[00884.52-00886.96] 那就只好城包全和京权分开
[00886.96-00889.88] 是不就很好的阻止了原本的那种
[00889.88-00893.32] 料汤或者避免了原本的阵物料汪情况的出现
[00893.32-00895.52] 所以在土地城包京权当中
[00895.52-00897.08] 我们以前是两权
[00897.08-00900.80] 那样的土地所有权土地成包竞权
[00900.80-00902.72] 但是出现了土地的浪费
[00902.72-00905.48] 于是我们把第二个权的去给它拆开了
[00905.48-00907.92] 就变成了成包权和竞权
[00907.92-00910.12] 所以在这里面大家要能够知道
[00910.12-00912.88] 我们所说的土地成包竞权
[00912.88-00915.28] 它的三权分制是哪三权了
[00916.28-00918.56] 同们回忆一下是哪三权
[00918.56-00920.96] 那这三权我在这里给大家写一下
[00920.96-00923.20] 第一个就是土地的所有权
[00923.20-00924.64] 所有权会不会个人
[00924.64-00926.32] 想得美 不可能
[00926.32-00929.08] 搜射规 集体 所以在这里搜射
[00929.08-00931.68] 第二就是土地了什么 城包权
[00931.68-00934.84] 城包权的话 就是按照你用没有这个错了呼口
[00934.84-00936.84] 然后按到相的标准去给你分地
[00936.84-00938.36] 这个就叫做城包权
[00938.36-00941.00] 这个地在未来30年 三十年
[00941.00-00943.28] 在未来30年当中规矩中
[00943.28-00945.68] 或者第二轮土地城包到期再延长30年
[00945.68-00947.24] 这60年都规矩中
[00947.24-00949.24] 那就时候你想要有城包权
[00949.24-00951.12] 但是这个叫做城包权
[00951.12-00953.52] 后来我们就把城包权和城包金钱
[00953.52-00954.92] 是否做了一个差分
[00954.92-00957.64] 所以在城堡权后面出现了一个进行权
[00957.64-00959.08] 这个地事你包的
[00959.08-00960.76] 但是不一定说你去重
[00960.76-00962.64] 你给谁重夺行的你们错历的
[00962.64-00963.88] 只要他不浪费就行
[00963.88-00965.64] 所以他也是极大的
[00965.64-00967.48] 第一个给農民增收了
[00967.48-00969.84] 第二个就是相对来说很靈活的
[00969.84-00972.04] 就是避免了土地最浪费的情况
[00972.04-00975.24] 所以他如果问到土地城堡进行权的三学分之
[00975.24-00977.44] 你要知道是这三学
[00978.32-00980.76] 那这是有关于经营问题
[00980.76-00984.20] 我们经常会在新闻闹看到什么经营性收入
[00984.20-00985.84] 提高农民的经营收入
[00985.84-00987.36] 有个同学就有点农圈了
[00987.36-00989.72] 说老师农民的经营收入的经常啥呀
[00989.72-00991.80] 开个小麦店 开个小朝事
[00991.80-00992.80] 那个补公经营啊
[00992.80-00994.80] 那个是商业意义上的经营
[00994.80-00996.84] 而我们所说的农民的经营收入
[00996.84-00999.28] 是和他自己的本业相关的
[00999.28-01001.76] 比如说我是东北的
[01001.76-01002.68] 那我重报免
[01002.68-01004.88] 那我的经营收入就是中报免
[01004.88-01006.52] 与中地所获得的收入
[01006.52-01008.00] 那我如果是南方呢
[01008.00-01009.12] 那南方我就干嘛
[01009.12-01010.12] 我就开于讨外
[01010.12-01013.06] 我在于堂里面养上什么的养上王位养上毕业
[01013.06-01014.72] 这时候我的经济收入是什么
[01014.72-01017.08] 就是我养王位养毕业换的线
[01017.08-01019.08] 所以它所谓的成包经营
[01019.08-01021.88] 经营也是是经营就是这块地
[01021.88-01024.28] 它原本就是用于农业哪个生产
[01024.28-01026.68] 过程当中的这个叫做经营
[01026.68-01029.68] 这事叫做土地成包经营权
[01029.68-01031.84] 那讲完了土地成包经营权之后
[01031.84-01035.48] 第二个三天分制就是宅基地的使用权
[01035.48-01036.84] 这个宅基地使用权
[01036.84-01038.64] 它和土地成包经营权一样
[01038.64-01040.28] 他以前也是两劝
[01040.28-01040.94] 那两劝的
[01040.94-01042.56] 第一就是土地的所有劝
[01042.56-01044.12] 土地所有劝都不用说
[01044.12-01045.04] 大家一定要明确
[01045.04-01046.32] 咱们国家的土地
[01046.32-01047.84] 要么是归集体所有
[01047.84-01048.88] 要么是归
[01048.88-01050.04] 全民所有
[01050.04-01051.20] 那龙村的土地
[01051.20-01053.04] 那一般情况就是归卸
[01053.36-01054.96] 就是归村集体所有
[01054.96-01056.48] 但是大家都知道
[01056.48-01058.00] 宅基地他本身是什么
[01058.00-01059.60] 世界农民用来蓋房子
[01059.60-01060.80] 就是我在这个村里
[01060.80-01061.48] 然后呢
[01061.48-01062.40] 也给我分地
[01062.40-01064.00] 然后我就在这个地上蓋房子
[01064.00-01066.56] 他是个给我蓋房子用的
[01066.56-01068.56] 那他给我该房子这个土地
[01068.56-01070.14] 他就会社一个问题
[01070.14-01070.90] 第一个
[01070.90-01073.28] 这是谁能分到这个地该房子
[01073.28-01075.40] 那这个时候就必须要求
[01075.40-01078.02] 你必须是在本村的村民
[01078.02-01079.92] 有这点户级在我这个村里
[01079.92-01081.84] 那这个时候我才可能给你分
[01081.84-01082.68] 宅基地
[01082.68-01083.08] 对吧
[01083.08-01084.08] 所以在这里面
[01084.08-01086.40] 分能不能分到这个该房子的地
[01086.40-01087.88] 他必须要有一定的什么
[01087.88-01088.58] 资格
[01088.58-01090.76] 所以以前在这里面就会提到
[01090.76-01092.92] 就做资格使用权
[01092.92-01096.52] 在以前宅基的当中的资格使用权也是要的
[01096.52-01099.20] 就是他们两个是放在一块的
[01099.20-01102.40] 一个是资格权就是你有没有权力分到这个地
[01102.40-01104.00] 你就是这个本村者才行
[01104.00-01107.60] 第二个你分到的宅基地只能你用来该房子
[01107.60-01110.24] 里面这一块所以那时候叫做资格使用权
[01110.24-01111.84] 但是问题还是一样的
[01111.84-01112.52] 同时想象
[01112.52-01114.04] 如果我分到了这个地
[01114.04-01115.28] 前面的高分地
[01115.28-01116.24] 或者要干嘛呢
[01116.24-01117.24] 进程互攻去了
[01117.24-01119.40] 我宅基地就放在这儿了
[01119.40-01121.80] 我也在这个时候也不拿到该房子
[01121.80-01122.88] 那个地就显下的
[01122.88-01125.84] 然后我们从来新来了很多的这个人口
[01125.84-01127.52] 然后把户口牵到我们村
[01127.52-01129.96] 然后在眼巴巴的就等着分展基地
[01129.96-01132.24] 我那个占基地的那么大一块就控在那儿
[01132.24-01134.24] 他们就干燈眼分不着
[01134.24-01136.48] 这个时候不太合理吧
[01136.48-01136.72] 对吧
[01136.72-01138.64] 社会也会造成土地最后的浪费
[01138.64-01141.12] 所以以前的资格使用全是放在一块的
[01141.12-01143.44] 就好像刚才那个城包精全是一样的
[01143.44-01145.92] 你有资格你能拿到土地
[01145.92-01147.76] 你能用这个土地盖房子
[01147.76-01150.00] 也就是你分下来的这互地
[01150.00-01151.28] 只能你盖房子
[01151.28-01152.16] 明白这个意思吧
[01152.16-01152.96] 但是我说了
[01152.96-01154.80] 是不是会造成一定的最后的浪费
[01154.80-01157.32] 在这里面国家说了咱们就灵火一点
[01157.32-01160.32] 一定要最近最大的线度把土地怎么样
[01160.32-01161.36] 充分利用起来
[01161.36-01163.44] 于是把资格权和使用权拆开了
[01163.44-01168.48] 就变成了资格权和使用权
[01168.48-01169.72] 以前就要资格使用权
[01169.72-01170.20] 对吧
[01170.20-01172.20] 最终资格权和使用权
[01172.20-01174.00] 这里面的资格权一样
[01174.00-01177.28] 就是你只有是本村的村民户级在本村的
[01177.28-01178.44] 才能分到宅基地
[01178.44-01180.32] 我们说了一户一宅正策
[01180.32-01180.76] 对吧
[01180.76-01182.88] 第二个就是你分到宅基地
[01182.88-01185.20] 你要是不用同错的其他的人
[01185.20-01188.08] 是不是可以租给他使用啊
[01188.08-01191.04] 那这里面就会出现什么权使用权啊
[01191.04-01192.96] 所以在这里面考试当中
[01192.96-01194.72] 我们只要能够去区分
