[00000.00-00004.90] 我们接着来看第三节的内容就是生物一学之事
[00461.14-00463.70] 他们两个一个叫和堂和酸
[00463.70-00466.34] 一个叫做脱阳和堂和酸
[00466.34-00468.82] 放在一块它俩就称着为叫做善
[00468.82-00470.32] 叫做和酸
[00470.32-00472.38] 同时对这个和酸这个词
[00472.38-00473.70] 应该不抹声
[00473.70-00475.86] 咱们都知道在2019年往后的时候
[00475.86-00478.18] 就是在口罩时代真正过准之前
[00478.18-00481.12] 我们之前的时候经常要做啥检测来着
[00481.12-00482.84] 今天还要做核酸檢測
[00482.84-00485.56] 它核酸檢測去本身上就测了就什么
[00485.56-00486.60] 就是这个东西
[00486.60-00489.68] 所以你看这个核酸这个东西我们并不沉了
[00489.68-00491.72] 所以在这里面我们要掌握的点
[00491.72-00494.44] 就是从概念当中能够推演出来一个点
[00494.44-00496.24] 就是一传物质就是什么
[00496.24-00498.22] 一传物质就是核酸
[00498.22-00500.08] 只割核酸分两种情况
[00500.08-00502.12] 一种情况是核糖核酸
[00502.12-00504.64] 朋友们在这里知道核糖核酸叫什么
[00504.64-00506.28] 叫做RNA
[00506.28-00508.60] 还有一根就叫做脱养核酸
[00508.60-00510.72] 突然核酸是DNA
[00510.72-00514.92] 所以在这里面我们需要掌握的就是他们之间的关联关系
[00514.92-00518.12] 因为他考试的时候他就给你玩这种文字有细
[00518.12-00521.48] 他不说了他不是像咱们初中和高中考弄的
[00521.48-00523.08] 就玩就玩文字有细
[00523.08-00526.48] 他说一传物质就是DNA
[00526.48-00527.32] 重说他对不对
[00528.44-00531.44] 一传物质就是DNA对不对不对不对
[00531.44-00532.92] 因为一传物质是啥
[00532.92-00536.84] 一传物质是核酸核酸包裹DNA和阿姨
[00536.84-00539.40] 他如果说一传物质就是DNA
[00539.40-00541.16] 那这种说法就错了
[00541.16-00542.48] 说法了就缩小了
[00542.48-00543.24] 你看这个地方
[00543.24-00544.76] 它其实就是给我们搞了一个啥
[00544.76-00545.92] 文字有细
[00545.92-00547.92] 我们就来看一下在这里面
[00547.92-00549.48] 他们之间的关系
[00549.48-00550.76] 首先我们刚才说了
[00550.76-00551.56] 一串物质
[00551.56-00553.64] 它就是这个地方的框架
[00553.64-00555.80] 它需要同学去写在笔记上
[00555.80-00559.40] 一串物质就是我们所说的核酸
[00559.40-00560.60] 在这儿写得点串
[00560.60-00561.80] 给一下
[00563.00-00566.12] 一串物质就是我们所说的核酸
[00566.12-00568.16] 而核酸的有两种情况
[00568.16-00570.16] 这个框架同们写在书旁边
[00570.36-00571.92] 一种就是我们所说的
[00571.92-00573.40] 第1个同时要知道
[00573.40-00574.72] 第1个定位叫什么
[00574.72-00577.60] 我们刚才说了叫做脱阳和汤核酸
[00579.92-00582.96] 就做脱阳和汤核酸
[00582.96-00586.32] 这个点你不要看他简单之前考过
[00586.32-00587.72] 是一单位考试的时候
[00587.72-00590.28] 当时说脱阳和汤核酸只得是
[00590.28-00592.48] 而我们所说的
[00592.48-00593.96] 和汤核酸是定位
[00593.96-00595.60] 当时就考了名称的
[00595.60-00596.80] 只错版了
[00596.80-00600.80] 所以拖阳和堂核酸是DNA
[00602.00-00603.44] 而我们所说的这个
[00603.44-00605.80] 而是核堂核酸
[00605.80-00607.40] 所以在这里面第一步
[00608.20-00610.86] 大家能够把他的字母和他的
[00610.86-00613.40] 鸣冲对上这是第一个点
[00613.40-00616.00] 大家要知道一床物子就是核酸
[00616.00-00617.00] 就是核酸
[00617.00-00617.60] 他说了
[00617.60-00619.52] 核酸又是有什么组成的呢
[00619.52-00620.16] 大助一下
[00620.16-00621.72] 他说核酸
[00621.72-00623.00] 也就是这个一床物子
[00623.00-00626.00] 他的基本组成单位是核干酸
[00626.00-00628.00] 你看像泡瓦一樣對不對
[00628.00-00631.40] 以核酸的基本主持生單位就是核干酸
[00632.90-00635.30] 沒什麼我在這裡說他就考一個基本框架
[00635.30-00636.64] 他不會考的特別難
[00636.64-00639.20] 就是因為他是一層套一層的
[00639.20-00641.50] 在這裡面核酸的組成部分
[00641.50-00643.00] 這是我們所說的電影也好
[00643.00-00644.70] 而也好他是有什麼組成的呢
[00644.70-00646.70] 他是有核干酸組成的
[00646.70-00648.00] 所以他經常會說
[00648.00-00651.30] 核干酸是核酸的基本主持生單位
[00651.30-00652.40] 證說法對不對
[00652.40-00655.44] 这种说法是对的对吧
[00655.44-00659.76] 核干酸是核酸的基本组成单位
[00659.76-00661.44] 这种说法是正确的
[00661.44-00662.76] 那他如果这么说呢
[00662.76-00664.76] 他说核干酸是一传物质的
[00664.76-00666.52] 基本组成单位可不可业
[00666.52-00667.64] 也可以
[00667.64-00668.72] 因为刚才说了
[00668.72-00670.88] 除我们刚才所说的一传物质
[00670.88-00672.12] 其实就是第二个二
[00672.12-00673.52] 也他要统成核酸
[00673.52-00674.88] 这会他会考这种
[00674.88-00678.00] 等量代换时的这样的一个文字游戏
[00678.00-00681.76] 所以在这里面我们就把他的基本的概念找不出去行了
[00681.76-00686.76] 那么说了,既然核酸的基本单位是核干酸,核干酸是有啥组成的呢?
[00686.76-00691.66] 核干酸是有三个部分组成的,这三个部分在这里面,同样看一下
[00694.06-00702.96] 他说首先,第一个核干酸包括是有物堂,还有我们所说的韩旦渏基,以及零酸三种物质组成的
[00702.96-00707.30] 而这个物堂,由于这个堂不同才使得,我们有了什么?
[00707.30-00708.90] DNA和RNA
[00708.90-00711.78] 你看他说物堂DNA 拖阳和堂
[00711.78-00713.42] 所以他是拖阳和堂和酸
[00713.42-00716.26] 如果是RNA的话他就是合堂
[00716.26-00717.74] 所以在这里大家注意一下
[00717.74-00719.78] 和干酸他是有什么组成的呢
[00719.78-00721.06] 在这个地方给到的
[00721.06-00724.42] 说和干酸他是有第一个叫做物堂
[00724.42-00726.30] DNA就是韩旦減肌
[00726.30-00727.50] 这个韩旦減肌
[00727.50-00728.90] 如果是DNA双料的话
[00728.90-00731.98] 大家知道他就是用来配置的 对吧
[00731.98-00733.06] 韩旦減肌
[00733.06-00735.62] 第三个部分就是林酸
[00735.62-00736.90] 就是林酸
[00737.30-00740.12] 所以在这里没有给大家搞了一个图
[00740.12-00742.94] 这个图就是我们所说的这个DNA
[00742.94-00744.26] 我们就一定要为力你看
[00744.26-00746.06] 首先第一个它有一个物堂
[00746.06-00747.80] 这是我们所说图样和堂
[00747.80-00749.08] 一个寒弹简机
[00749.08-00750.14] 一个我们所说的
[00750.14-00750.88] 零酸
[00750.88-00752.02] 在这种情况之下
[00752.02-00753.26] 它就可以配弄
[00753.26-00755.22] 如果DNA的话就找它那几多
[00755.22-00757.02] 然后就能形成双量
[00757.02-00760.10] 这就是我们所说的一传物质大家要知道
[00760.10-00763.10] 我们说到一传物质有DNA和安博
[00763.10-00765.14] 就来看一下DNA和安博
[00765.14-00766.10] 它是怎么回事
[00766.10-00768.34] 同时第一位首先答处一下
[00768.34-00769.48] 在书上标注一下
[00769.48-00772.28] 说第一位是说双螺选结构
[00772.28-00774.30] 我在前面给大家找了个图
[00774.30-00776.08] 看到没有这个蓝色的
[00776.08-00777.98] 你看它是两条量
[00777.98-00780.44] 这个就叫做双螺选结构
[00780.44-00783.42] 它说第一位是双螺选结构
[00783.42-00785.60] 首先第一个点就在于显然圈一
[00785.60-00787.00] 它是双螺选
[00787.00-00788.14] 第二个就是
[00788.14-00790.10] 我们经常说到的基因
[00790.10-00792.48] 大家都知道什么基因检测了
[00792.48-00793.70] 亲子肩定了
[00793.70-00795.70] 这次会设计到会用到基因
[00795.70-00797.54] 那这个基因到底说的是啥呢
[00797.54-00798.52] 他们来看一下
[00798.52-00801.84] 所以基因是带有一传信息的
[00801.84-00804.56] 定位片段称之为基因
[00804.56-00806.06] 你说老师完了
[00806.06-00807.48] 我现在有点迷惑了
[00807.48-00810.04] 只有一传物质又是基因的
[00810.04-00811.06] 他到底怎么回事
[00811.06-00811.82] 大家注意一下
[00811.82-00813.72] 你看在这里他说的非常明确
[00813.72-00815.16] 说基因是什么
[00815.16-00816.18] 基因是定位的
[00816.18-00819.08] A上协带一传信息的片段
[00819.08-00820.08] 举个简单的例子
[00820.08-00822.32] 比如说你看像这一条列
[00822.32-00823.56] 这条列是它是
[00823.56-00826.24] DNA-2它是一个双烈结构
[00826.24-00827.84] 或者它说的双螺选结构
[00827.84-00832.52] 而这个DNA-2并不是这个DNA-2的每一个片段
[00832.52-00834.60] 它都能够携带一串信息
[00834.60-00837.20] 欢迎它说它这个DNA-2上
[00837.20-00839.24] 并不是所有的这样的片段
[00839.24-00841.76] 我们就把这个把橙绿围叫一个有一个的片段
[00841.76-00842.76] 就我签起来这个
[00842.76-00844.04] 并不是所有的这片段
[00844.04-00845.64] 它都能够携带一串信息的
[00845.64-00849.16] 我们把这种携带一串信息的这一小片
[00849.16-00850.12] 橙绿团之为什么
[00850.12-00851.16] 橙绿团之为
[00851.16-00853.40] 所以他说今天是什么
[00853.40-00856.48] 今天是写传是写代一传信息的
[00856.76-00859.08] DNA片段
[00860.76-00861.40] 看到没有
[00861.40-00863.00] 他们之间的关系其实就是
[00863.00-00865.28] 一传物质是核酸
[00865.28-00870.88] 核酸上核酸里面的DNA上的片段才是基因
[00870.88-00874.52] 它这是这样的一个大圈和小圈的这种过程
[00874.52-00876.24] 当然考试的时候会怎么考呢
[00876.24-00877.28] 这是张关理代
[00877.28-00878.56] 它就考试的时候说了
[00878.56-00881.56] 说 基因就是一传物者 对不对
[00882.76-00886.16] 基因就是一传物者 种出还是对来的错的
[00886.36-00888.76] 同时 种出还是错的
[00888.76-00892.76] 因为基因是什么 基因是DNA片段
[00892.76-00897.56] 而DNA片段往上诉员是什么 DNA片段往上诉员是DNA
[00897.56-00901.76] DNA在网上诉员是什么 DNA在网上诉员是我们所说的
[00901.76-00907.36] 核酸 核酸才是我们在概念上的一传物者
[00907.36-00909.56] 所以同一般你看他们说的是一回事吗
[00909.56-00910.60] 不是一回事
[00910.60-00913.24] 他们之间是大夸小之间的关系
[00913.24-00915.32] 所以在这里面他经常就会考察说
[00915.32-00917.80] 一传物质就是纸纶
[00917.80-00918.84] 那就不对了吧
[00918.84-00920.40] 一传物质翻为更大
[00920.40-00921.80] 纸纶翻为更小
[00921.80-00922.52] 没办法吧
[00922.52-00924.32] 所以在这里你看他考试的时候
[00924.32-00925.28] 他就会在这
[00925.28-00926.72] 给你考一个判断体
[00926.72-00927.84] 或判断选项
[00927.84-00929.12] 所以大家注意一下
[00929.12-00931.80] 而如果说像这种基本概念的这种考察
[00931.80-00933.04] 比如说像我刚才所说的
[00933.04-00934.24] 玩这种文字有戏
[00934.24-00935.52] 他更测证的是在
[00935.52-00938.72] 世界单位考试当中考生物学这时候会这么考
[00938.72-00942.96] 有很多地区在这里就说了判断体也就说了判断选项
[00942.96-00944.08] 所以大家注意一下
[00944.08-00945.44] 这是我们所说的
[00946.24-00947.92] 有关于基因的内容
[00947.92-00948.80] 这是第2个点
[00948.80-00950.88] 第3个点就是我们来看一下
[00950.88-00954.32] 说电影分子双融选举够的发现者
[00954.32-00955.36] 发现者是什么呢
[00955.36-00958.52] 是战末斯获斯和西富朗西斯克里克
[00958.52-00960.96] 第3点可不好行非常弱
[00960.96-00962.96] 只需要同一个在这儿去给它去分
[00962.96-00966.28] 他和西包學說的提出者不是一個人就行了
[00968.34-00972.18] 西包學說是示範登和失望而這裡面是
[00972.44-00976.02] DNA的發現者很容易把這兩個張觀禮帶來考察
[00976.02-00981.64] 所以大家注意一下這是第一個叫做DNA,DNA叫脫揚和湯和酸
[00981.64-00985.74] 那第二個就是RNA在這裡大家就知道他是什麼結構
[00985.74-00988.82] 他是單量結構就行了,在這裡大家要明確
[00988.82-00992.40] 所以在這呢我們其實本質上就考慮這個框架
[00992.40-00995.22] 我们把这个框架在这儿给它办事好啊
[00995.22-00996.50] 你不要觉得我们恶急啊
[00996.50-00997.84] 我才墨极一遍就记住了
[00997.84-00999.02] 准第一个我们说了
[00999.02-01003.60] 一传误只能是斜带一传信息子带和侵賴这种能够一传的整东西
[01003.60-01004.96] 叫一传误只
[01004.96-01006.28] 一传误只是什么呢
[01006.28-01008.96] 一传误只就是合酸 对吧
[01008.96-01011.16] 而合酸的基本单类是什么
[01011.16-01013.24] 合酸的基本单类是啊
[01013.24-01015.16] 合干酸 对不对
[01015.16-01016.08] 而合干酸呢
[01016.08-01019.74] 它是由物堂、韩弹剪机和零酸组成的
[01019.74-01021.84] 而由于这个堂的不同
[01021.84-01023.76] 他就分成了两个
[01023.76-01024.08] 对吧
[01024.08-01025.16] 由于这个糖的不同
[01025.16-01026.56] 核酸就变成了两种
[01026.56-01027.36] 一种是
[01027.36-01029.68] 低NA叫做脱杨核能酸
[01029.68-01030.56] 一种是
[01030.56-01032.68] 二人叫做核酸核酸
[01032.68-01034.80] 这里面的重点在DNA上
[01034.80-01035.48] 我们要知道
[01035.48-01036.04] 第一个
[01036.04-01038.04] DNA是双畂结构
[01038.04-01039.60] 或者说是我们提到的
[01039.60-01041.48] 叫做双螺旋结构
[01041.48-01042.96] 第二个叫做
[01042.96-01044.20] DNA上的
[01044.20-01046.56] 鞋带一传信息的片段
[01046.56-01048.16] 我们称之为叫做什么
[01048.16-01049.64] 我们称之为叫做
[01049.64-01050.44] 极音
[01050.44-01053.92] 这个地方他如果说一传误者
[01053.92-01055.20] 一传误者在这
[01055.20-01058.16] 一传误者就是基因种说法对不对
[01058.16-01058.96] 就不对了
[01058.96-01061.48] 因为基因只是一传误者
[01061.48-01063.76] 下属两层的一个片段而已
[01063.76-01066.32] 他说的一传误者应该说的是什么
[01066.32-01067.88] 核酸明白了吧
[01067.88-01070.68] 所以他是就是一个框架的博物体关系
[01070.68-01072.80] 他这不会考的在南
[01072.80-01074.44] 就是他考的在南的话
[01074.44-01076.44] 就是属于那种不想人拿分了
[01076.44-01078.60] 但是这个地方通知需要把
[01078.60-01083.60] 这种基本知识找物柱就可以帮助我们解决很多问题了
[01084.60-01087.60] 所以大家注意一下就这一个框架就给老清楚就可以了
[01087.60-01091.60] 这是DNA那二人一咱们说的是单类二的
[01091.60-01093.60] 因为它单类而已
[01093.60-01096.60] 所以同时会发现二人一它有一个非常明显的特点
[01096.60-01098.60] 就是你看它可能是这个样子的
[01098.60-01101.60] 或者像我们看到的很多病毒都是二人
[01101.60-01102.60] 因为它是单类而已
[01102.60-01103.60] 所以它一选解
[01103.60-01105.60] 就是它特别容易发生变益
[01105.60-01108.94] 所以大家看到现在我们所说的这种病毒
[01108.94-01110.40] 它总是能分裂出来
[01110.40-01113.36] 一火流变成这个又或者变成那个又或者有了新的家族
[01113.36-01116.64] 就是因为它单烈就不稳定了先复道之的
[01116.64-01118.54] 所以大家注意一下 这是一旁物质
[01118.54-01120.74] 把这个框架长得住 就OK了
[01120.74-01125.00] 好 这是我们所说的生物它的一串信息
[01125.00-01126.60] 我们刚才在最开始的时候
[01126.60-01129.98] 其中给大家说到我们说生物它最明显的一个特点
[01129.98-01131.40] 它去为于非生物来说
[01131.40-01133.00] 就是它可以进行什么来着
[01133.00-01135.56] 他可以进行新成代谢
[01135.56-01139.56] 生物新成代谢最基本的两种形式是啥呢
[01139.56-01142.04] 一个是我们所说的光合作用
[01142.04-01143.80] 还有一个就是呼吸作用
[01143.80-01146.20] 我们先来看一下生物新成代谢
[01146.20-01148.44] 它的第一个就是光合作用
[01148.44-01150.76] 光合作用大家其实都熟悉
[01150.76-01153.64] 只是植物我们见到大部分都是植物
[01153.64-01155.20] 就是律色植物它照着太阳
[01155.20-01156.84] 之后给大家看的图
[01157.96-01160.12] 太阳当空振对吧小草对我笑
[01160.12-01161.44] 那这种情况之下
[01161.44-01167.40] 綠色植物照到太陽之後會把空氣當中的二花探轉化成氧氣
[01167.40-01171.20] 對吧 那這個時候產生氧氣的過程就是光合作用了
[01171.20-01174.04] 那你看光合作用在這裡我們要掌握這個點
[01174.04-01176.16] 他說光合作用就是光能合成作用
[01176.16-01177.24] 是一句話不重要
[01177.24-01179.08] 照顧是後面這句同標之一線
[01179.08-01184.00] 是植物早內和某些細菌在可見光的照射之下
[01184.00-01186.08] 經過反應和暗反應用
[01186.08-01190.16] 和利用光合色素将二化碳转化为水
[01190.16-01193.84] 将二化碳和水转化成氧气和糖的过程 对吧
[01193.84-01194.92] 或者是清气
[01194.92-01198.04] 所以在这里面大家要注意一下考试的所怎么考呢
[01198.04-01200.12] 第一个点 同时不要注意一下圈一
[01201.52-01203.44] 考试不考试 考变态
[01203.44-01207.24] 一般喜欢这下我们认为光合作用只是谁的作用
[01207.24-01208.92] 只是绿色植物的作用
[01208.92-01211.40] 但是大家注意一下除了绿色植物
[01211.40-01212.72] 也就是我们常见的
[01212.72-01215.54] 走累植物之外还有啥也可以经光合作用呢
[01215.54-01216.56] 吸军
[01216.56-01218.10] 所以他如果在考试当中说
