[00000.00-00003.00] 在之前把整个朝代根理讲完了之后呢
[00150.36-00152.28] 它就可以结合风神这个电影
[00152.28-00155.92] 考这一时期之下的相的历史长时
[00155.92-00158.36] 那这个就是我们所说的结合相的
[00158.36-00160.28] 热点以及影视剧作品来考察
[00160.28-00163.40] 然后问你关于这一步景是剧作品当中
[00163.40-00167.24] 然后一下ABCD色选项说法正确或者错误的事
[00167.24-00168.96] 这它的一种考察方式
[00168.96-00171.04] 那它的另一种考察方式就是
[00171.04-00173.80] 把它放在它所在的朝代当中
[00173.80-00176.04] 只做一个判断选项
[00176.54-00178.16] 让我们去进行变息
[00178.16-00181.28] 所以在这里它往往不会单独的挖控
[00181.28-00182.52] 不会直接问你说
[00182.52-00184.92] 那送朝的主要制度是什么制度
[00184.92-00187.36] A2.3C制 必三上六不制
[00187.36-00188.56] 它不会这么考察
[00188.56-00190.56] 所以这里面同意没有记住
[00191.28-00193.56] 我们去掌握这一个这什么块的时候
[00193.56-00197.64] 就要也理解加上我们所说的细节为主
[00197.64-00199.92] 单纯的被送或单纯的制造一个大块
[00199.92-00202.16] 不足以應付現在的世界單位考試
[00202.16-00203.68] 以及我們所說的
[00203.68-00205.04] 臉考過生考
[00205.04-00207.04] 包括有長時部分的考試
[00207.04-00208.56] 所以在今年考試當中
[00208.56-00211.12] 中和能力的應用變得有為重要
[00211.12-00213.04] 那這是他的初提角度
[00213.04-00213.84] 那你說老師
[00213.84-00215.12] 他問的五花八門
[00215.12-00216.24] 而我在這個過程當中
[00216.24-00218.08] 我又不知道應該怎麼去復習
[00218.08-00220.24] 那同樣就抓住一個點就行了
[00220.24-00222.40] 我們在理論課程的學習階段
[00222.40-00225.44] 無論同學們是跟任何的老師的理論學習
[00225.44-00226.48] 還是自學理論
[00226.48-00227.68] 同學沒必要把握住
[00227.68-00228.88] 我們的學習的王老師
[00228.88-00230.16] 把握這是主幹
[00230.16-00233.74] 這是主幹的就是尤其是科技文化長史
[00233.74-00235.78] 要也輸本為主
[00236.82-00239.12] 如果連輸本上的內容都沒有掌握的話
[00239.12-00241.16] 你想要去進行大面積的脫展
[00241.16-00245.00] 想要去單純去刷體來同藍整個文學長史
[00245.00-00246.04] 這是很難的
[00246.04-00250.64] 所以在這裡把握主持主幹以輸本為主也刷體補充
[00251.66-00252.44] 為服
[00255.00-00256.52] 這個是我們所說的
[00256.52-00261.64] 相对来说性价比比较高的有关于科技文史长时的学习方法
[00264.20-00268.00] 所以在这里同没有知道我们这些课是文史的内容
[00268.00-00269.44] 它的学习也是样的
[00269.44-00273.88] 把握知识主干把这里面需要强调的重点
[00273.88-00276.96] 去给它进行鲁利式的框下讲解就可以了
[00276.96-00279.60] 有时候我们讲完这些课同学们达到一个程度
[00279.60-00282.24] 这是对于这些课所摄到的知识点
[00282.24-00283.68] 它有一个明确的框架
[00283.68-00286.04] 框架是帮助我们更好的去记忆
[00286.04-00287.08] 这是点的
[00287.08-00288.78] 这是它的一个考察
[00288.78-00290.76] 以及我们的应试的要求
[00290.76-00291.76] 应试的要求
[00291.76-00292.12] 好
[00292.12-00294.88] 这是我们前面要给大家去介绍了这个内容
[00294.88-00296.32] 那讲了这个内容之后
[00296.32-00302.68] 我们就正式进入到我们所说的整个送源时期的政治和经济的学习当中
[00302.68-00303.60] 那么首先
[00303.60-00306.16] 先来看一下有关于送朝的问题
[00306.16-00308.48] 我们要讲送源时期的政治度
[00308.48-00310.96] 那先要看看送朝时期的政治度
[00310.96-00312.72] 那送朝的正日制度
[00312.72-00314.44] 他的一个基本框架的确定
[00314.44-00317.24] 其实是喝一场聊天有关系
[00317.24-00319.60] 那这场聊天是谁有谁之间的聊天呢
[00319.60-00322.64] 这场聊天就是我们所说的送太主
[00322.64-00326.88] 照框业以及他的爱情照顾之间的故事
[00326.88-00329.44] 那说到照顾这个人同学没掉注意一下
[00329.44-00332.20] 他身上的其实是有一个小的考电的
[00332.20-00334.52] 同学需要把它补充在书的旁边
[00334.52-00336.04] 我们经常会提到说
[00336.04-00337.92] 有一个人非常厉害
[00337.92-00339.28] 实际一些人才
[00339.28-00342.50] 可以说是在治理国家当中,是有一些天赋和采训在的
[00342.50-00345.80] 竟然会说到叫做半部轮语之天下
[00348.68-00350.88] 那这个半部轮语之天下
[00350.88-00352.00] 说的是谁呢?
[00352.00-00354.78] 大家就知道半部轮语之天下
[00354.78-00359.12] 说的是照顾,这是在这里笑同一们,记住的,第一个之间
[00359.12-00364.12] 而整个送朝的命运就从造破和造换印的聊天儿开始
[00364.12-00368.54] 他们之间聊天是想要的,如果他们之间有微信聊天儿的话,大概就是这个样子
[00368.54-00370.78] 當時這個召唤業有一個問題
[00370.78-00372.02] 說愛情在嗎
[00372.02-00372.94] 有一個問題要問
[00372.94-00374.14] 哪你做一個打工人
[00374.14-00375.34] 你必須馬上出來
[00375.34-00375.70] 對吧
[00375.70-00376.22] 召服就說
[00376.22-00377.22] 陛下情獎
[00377.22-00378.38] 那召唤運就說了
[00378.38-00379.98] 說我現在有一個問題
[00379.98-00381.02] 想要問了你
[00381.02-00381.86] 那這個時候
[00381.86-00383.18] 你做了一個成本
[00383.18-00384.22] 必須歸巧一點
[00384.22-00384.62] 說吧
[00384.62-00385.42] 等著皇上說
[00385.42-00386.98] 他想要要啥事
[00386.98-00388.26] 當時召唤運就說
[00388.26-00389.50] 說了這樣一句話
[00389.50-00391.46] 說字唐技以來
[00391.46-00393.42] 地方凡一巴性
[00393.42-00394.46] 慎放合也
[00394.46-00395.66] 無預期天下之邊
[00395.66-00397.14] 為國家機場久
[00397.14-00398.30] 提到合如
[00398.30-00399.06] 啥意思呢
[00399.06-00400.86] 说志堂朝以来啊
[00400.86-00402.34] 这事会不断更捷
[00402.34-00403.94] 因为堂之后无待时果嘛
[00403.94-00405.14] 他说这是为啥呀
[00405.14-00407.02] 为啥总是会不停的更捷呢
[00407.02-00407.90] 后面说了
[00407.90-00410.62] 无语期天下之兵为国家计长久
[00410.62-00411.54] 其道无合
[00411.54-00412.90] 我想要
[00412.90-00414.62] 指住这种争端
[00414.62-00414.94] 对吧
[00414.94-00417.18] 我想要让整个国家的发展
[00417.18-00418.06] 太平一点
[00418.06-00419.06] 我应该咋办呢
[00419.06-00420.22] 你又没有啥办法呀
[00420.22-00423.02] 这是它问这个照顾的话
[00423.02-00424.50] 那照顾听到这个照顾
[00424.50-00425.50] 因为问这样的一个话呢
[00425.50-00426.54] 当时表现出来
[00426.54-00428.54] 就是他给黄儿当时就贵了
[00428.54-00429.36] 贵着了之后呢
[00429.36-00430.62] 就说了这样一番话
[00430.62-00431.30] 啥话呢
[00432.06-00433.02] 请上配上高
[00433.02-00433.70] 说
[00433.70-00436.72] 陛下延级此天地人神之福也
[00436.72-00437.66] 此非他股
[00437.66-00438.98] 方正太重
[00438.98-00440.70] 居落成强而已
[00440.70-00441.66] 说啥呢说你
[00441.66-00442.22] 哎呀
[00442.22-00443.70] 黄儿你能说出这样的话
[00443.70-00444.42] 那简直了
[00444.42-00445.50] 那你就是明局呢
[00445.50-00445.86] 对吧
[00445.86-00447.86] 这上天地下老百姓
[00447.86-00448.10] 啊
[00448.10-00449.74] 这都我们的福气
[00449.74-00450.22] 说呢
[00450.22-00451.94] 为什么会出现刚才
[00451.94-00453.54] 你所说的这种
[00453.54-00454.30] 我们所说
[00454.30-00455.62] 草带不断更联情况呢
[00455.62-00458.18] 他说此非他顾 没有别的原因
[00458.18-00459.42] 只有一个原因叫做
[00459.42-00463.06] 方正太重 居若成强而已
[00463.06-00465.30] 有些地方哥哥是立太强大了
[00465.30-00467.10] 皇上作为中央的长控者
[00467.10-00468.14] 立掉太小了
[00468.14-00470.46] 所以翻证哥哥哥不断动的
[00470.46-00471.10] 那这种情况
[00471.10-00472.18] 大家都想做老大
[00472.18-00473.54] 咱们说了谁全都大
[00473.54-00475.22] 谁给我出谁到大哥
[00475.22-00478.02] 所以动到就会不断的去发生
[00478.02-00480.14] 那当时召唤印听到这样的话之后
[00480.14-00481.86] 表示你说的很对呀
[00481.86-00483.22] 对吧 我表示很暂痛
[00483.22-00484.76] 朝文英就想接着听他说
[00484.76-00486.18] 又没有什么样的方法呢
[00486.18-00487.78] 当时照不就说了
[00487.78-00489.02] 说今于制止
[00489.02-00490.64] 想要改变这样的情况
[00490.64-00491.40] 怎么办呢
[00491.92-00494.22] 这里出现了非常关键的三句话
[00494.22-00496.02] 叫做虚夺其权
[00496.02-00497.28] 至今前两
[00497.28-00500.28] 书其精彼则天下安议
[00500.28-00501.22] 说的是啥呢
[00501.22-00504.54] 说你想要微护这种比较平红的
[00504.54-00506.68] 我们所说的平纷的中统治
[00506.68-00509.08] 不想出现翻证各具这样的情况
[00509.08-00510.24] 只有三个方法
[00510.24-00511.62] 第一个 虚夺其权
[00511.62-00541.58] 把他的权力拿走,把他的形狀关掉了,第二个,这些权量,第一个提到的权,第二个,这些权量,他能够搞起来,就是因为他手里权太多了,收的,那在这时候他没有其他事情,能做了,想想搞搞造反嘛,所以把他的权拿过来,他没有权,他就不会搞事情,第三个,就收起精冰,让他的军队都做任能力,不是那么强,这样的情况之下,就可以解决,我们所说的,
[00541.62-00545.14] 他小要实现天下稳定发展的这种目标了
[00545.14-00547.10] 所以则天下安以
[00547.10-00549.50] 所以当时照顾给到了这个理念
[00549.50-00551.10] 就是从三个方面下手
[00551.10-00553.66] 就是全 前 军
[00553.66-00554.82] 这三个方面想着
[00554.82-00555.98] 只要这三个方面
[00555.98-00557.34] 从地方收回来了
[00557.34-00558.26] 让他手里
[00558.26-00559.82] 没有钱 没有全 没有军
[00559.82-00561.26] 那他小要造反
[00561.26-00562.58] 他想要去翻证各具
[00562.58-00563.46] 想要去做老大
[00563.46-00564.86] 他其实没有啥办法了
[00564.86-00565.26] 对吧
[00565.26-00566.42] 那这是他给的
[00566.42-00567.98] 相的应对措施
[00567.98-00568.86] 那召回一听
[00568.86-00569.86] 那这个简直了
[00569.86-00570.38] 对吧
[00570.38-00571.34] 爱情没随了
[00571.34-00574.74] 对吧 爱情最靠谱 因为爱情真不会背上
[00574.74-00577.14] 对吧 所以照昆运就远着他这个思路
[00577.14-00579.74] 他加强了他所谓的中央集权
[00579.74-00583.04] 也就电定了北宋治理的一个基本框架
[00583.04-00587.54] 那么来看一下 照昆运远着照普的这样的一个思路
[00587.54-00589.54] 他做了哪些具体的措施
[00589.54-00594.34] 那我们首先第一个来看一下 关于收起精冰这个措施上
[00594.34-00598.34] 他怎么做的 那收起精冰主要集中在就是要集中
[00598.34-00600.14] 我们所说的军权
[00600.14-00604.24] 那集中军选当中有这么两个点是需要同学们去注意的
[00604.24-00605.38] 那第一个点是啥呢
[00605.38-00607.04] 第一个点就是我们所熟悉的
[00607.04-00612.18] 想要我们所说的集中相的军选对军队有重要的同学能力
[00612.18-00613.46] 那还就搞了一个事情
[00613.46-00616.02] 也是和召唤业有关的一个非常召的点顾
[00616.02-00616.90] 大家要注意
[00617.62-00619.02] 召唤就叫做
[00619.02-00620.26] 悲久视频选
[00620.26-00621.46] 这被有视频选
[00621.46-00623.58] 这个故事大家应该听说过好几个版本
[00623.58-00623.94] 对吧
[00623.94-00625.18] 咱们上节课情书过
[00625.18-00626.26] 说召唤这个人呢
[00626.26-00627.38] 打造非常猛
[00627.38-00627.58] 对吧
[00627.58-00628.82] 因为他爸和他爷爷
[00628.82-00631.22] 一般都是均虛里面的高随长官
[00631.22-00633.74] 所以他从小就是在均虛大事长大的
[00633.74-00636.14] 那和他一起玩的朋友
[00636.14-00638.18] 比如说当时和他打天下的这些哥们
[00638.18-00640.34] 后来就成了朝型的重层
[00640.34-00643.26] 他们当时把照框印推斗皇上那个位置
[00643.26-00644.22] 是砸推上去的
[00644.22-00645.30] 大家应该还记得吧
[00645.30-00646.86] 就是我们上节课说的叫
[00646.86-00648.06] 成球冰变
[00648.06-00649.10] 黄泡加深
[00649.10-00650.58] 他们说那个小皇帝不行
[00650.58-00652.54] 我们跟着他还不如我们自己上
[00652.54-00655.42] 因为他们想要建功利业
[00655.42-00655.82] 对吧
[00655.82-00657.14] 想要我们所说的
[00657.14-00659.66] 而讓自己的生命 用大大的提升
[00659.66-00661.30] 於是他們把招魂運推上去了
[00661.30-00662.70] 其實這就是這樣的一個背景
[00662.70-00664.94] 這件事其實在招魂運心臉
[00664.94-00667.54] 埋下了一個種子
[00667.54-00669.22] 招魂運運就做在想一個問題
[00669.22-00671.94] 就是說他們當出位了他們自己的融化副
[00671.94-00673.78] 被把我推到皇上的這個位置
[00673.78-00675.82] 那未來有一天他們會被做反
[00675.82-00678.02] 那這是招魂運打了一個問號的地方
[00678.02-00679.38] 他想要解決這個問題
[00679.38-00681.86] 就把當出可在一塊打天下這塊人呢
[00682.38-00683.66] 交到一起來吃飯
[00683.66-00685.82] 交到一起來吃飯的時候就跟他們就說
[00685.82-00686.66] 和说你看
[00686.90-00689.62] 今天咱们不论均成指论兄弟
[00689.62-00690.78] 大家喝的进行
[00690.78-00692.38] 我还是大家大哥
[00692.38-00694.34] 你们还是我的这个兄弟
[00694.34-00694.58] 对吧
[00694.58-00695.58] 大决在的喝
[00695.58-00696.86] 9过三群之后
[00696.86-00698.42] 照顾你长泛一声
[00698.42-00699.30] 端着酒杯说
[00700.14-00700.94] 我最近呢
[00700.94-00702.14] 辣椒也睡不好
[00702.14-00703.58] 那大家就后期了说
[00703.58-00706.14] 你都已经是天下的网了
[00706.14-00706.42] 对吧
[00706.42-00707.82] 你为啥就睡不好呢
[00707.82-00708.86] 他说是这样的
[00708.86-00710.46] 我每天晚上睡觉的时候
[00710.46-00712.02] 我都特别的害怕
[00712.02-00713.06] 然后大家就后期
[00713.06-00714.38] 说那你害怕什么呢
[00714.38-00715.66] 他说我害怕呀
[00715.66-00717.30] 有人来杀我呀
[00717.30-00718.46] 我所有大臣就说
[00718.46-00719.46] 说谁要杀你
[00719.46-00720.26] 说谁要杀你
[00720.26-00721.14] 我们第一个
[00721.14-00721.94] 和他过不去
[00721.94-00722.14] 对吧
[00722.14-00723.70] 招呼性想怕的就是你们
[00723.70-00724.42] 说你
[00724.42-00726.30] 他要是谁要敢对你大不敬
[00726.30-00727.02] 那我们就
[00727.02-00728.02] 带回去打他
[00728.02-00728.98] 招呼性就说
[00728.98-00729.98] 说他其实是这样的
[00729.98-00730.78] 你们看啊
[00730.78-00731.74] 帮我分析分析
[00731.74-00733.58] 我现在想的问题是这样
[00733.58-00734.30] 他说
[00734.30-00736.90] 说当初你们为了你们自己的融化副贵
[00736.90-00738.78] 把我逼到了这个黄位上
[00738.78-00739.82] 是不是这样啊
[00739.82-00741.10] 所有人都说是
[00741.10-00741.94] 那第二个呢
[00741.94-00742.54] 招呼性就说
[00742.54-00743.10] 他说
[00743.10-00745.02] 那现在会会有这样一个情况
[00745.02-00748.42] 如果你们都手下也想要实现融化负贵
[00748.42-00751.02] 把你们逼到一个位置来推翻我
[00751.02-00753.02] 你们将会怎么做呀
[00753.62-00755.42] 当时所有的大臣听到这个话
[00755.42-00757.02] 都下得快下死了
[00757.02-00757.42] 对吧
[00757.42-00760.02] 当时所有人就说说我们绝无二心
[00760.02-00760.62] 怎么容易啊
[00760.62-00762.22] 就在那说了一大解释大堆
[00762.22-00763.42] 然后召唤就说
[00763.42-00764.22] 他说你看
[00764.22-00765.62] 其实这个样子的
[00765.62-00766.42] 什么样子呢
[00766.42-00767.22] 就就跟他说
[00767.22-00768.62] 他说你看你们与其
[00768.62-00771.02] 现在在这个朝堂之上
[00771.02-00772.82] 就是率领这样的一个重兵
[00772.82-00774.22] 那你说你们默不如
[00774.22-00775.24] 就是为什么
[00775.24-00777.56] 你们不谢假规田一样天年
[00777.56-00777.92] 对吧
[00777.92-00779.34] 大师傅都已经不小了
[00779.34-00780.86] 你看是不是这个道理
[00780.86-00782.42] 然后当时大家一看
[00782.42-00784.06] 就知道黄人是啥意思了
[00784.06-00786.70] 黄人这个意思就是想让他们把手里的什么
[00786.70-00787.80] 军选交出来嘛
[00787.80-00789.32] 所以第二天的时候
[00789.32-00790.34] 来喝酒的这些
[00790.34-00793.42] 他的军选大院的这些兄弟们就开始充满了
[00793.42-00795.16] 上标找朝代表兵了
[00795.16-00796.76] 要不说自己常见打照
[00796.76-00797.86] 要就监判突出了
[00797.86-00799.42] 就把要不就说家里
[00799.42-00801.22] 下有80岁的儿子
[00801.22-00802.50] 上有七八岁的楼母
[00802.50-00803.14] 要奉养
[00803.14-00804.70] 对吧 开玩笑 整饭了
[00804.70-00807.62] 反而就是各种干的这样的一个借口吧
[00808.34-00809.82] 不想做这个事情
[00809.82-00811.54] 所以招怀意啊 说那行
[00811.54-00813.38] 我就刺你们两天
[00813.38-00815.10] 然后给钱 你们就去杨老吧
[00815.10-00816.82] 所以他说通过这样的一个方式
[00816.82-00820.14] 你看 叫借除了静军降领的冰圈
[00820.14-00823.22] 所有军队的掉动的指挥的权力
[00823.22-00824.66] 都放到的谁都手里呢
[00824.66-00826.66] 就是军队的它的一个掉动权力
[00826.66-00828.46] 就放到了招怀力的手里
[00828.46-00829.18] 因为招怀意呢
[00829.18-00830.50] 就把静军一份为三
[00830.50-00833.10] 这个静军直接就对黄上复者
[00833.10-00836.46] 那这个时候是不是军权就收回到了自己的手里
[00836.46-00837.44] 所以这是第一个
[00837.44-00838.94] 那注意下就做悲久
[00838.94-00839.78] 视频权
[00839.78-00841.20] 那他解决了近
[00841.20-00843.74] 他解除了近军降领的军权之后
[00843.74-00845.90] 他把近军一分为三
[00845.90-00848.66] 那同时又把近军分成了
[00848.66-00852.30] 我们所说的数手中央和数手
[00852.30-00854.38] 边疆的两个部分
[00854.38-00856.74] 那在这里面这个就叫做什么法呢
[00856.74-00858.34] 这个就叫做更数法
[00858.34-00860.34] 比如说他把他的这个近军
[00860.34-00862.62] 有一部分是在中央长住的
[00862.62-00864.30] 有一部分是在邊疑殃住的
[00864.30-00865.58] 但是不能讓他們移住
[00865.58-00867.18] 就一杯子就在那家到底
[00867.18-00867.78] 幹嘛呢
[00867.78-00868.94] 每當年換一次
[00868.94-00870.46] 或者是每一年換一次
[00870.46-00871.18] 這樣的話呢
[00871.18-00872.54] 地方的這些
[00872.54-00872.98] 叫什麼
[00872.98-00874.66] 它就不會和地方太熟悉
[00874.66-00875.74] 中央的這些
[00875.74-00877.66] 競軍們也不會和中央太主
[00877.66-00878.30] 就不會形成
[00878.30-00879.58] 盤軍撤接重情況
[00879.58-00881.02] 只是防止他們
[00881.02-00882.34] 在一個地方待久了
[00882.34-00884.30] 在地方做大作强的雷影像到他
[00884.30-00885.58] 那這個就叫做什麼呢
[00885.58-00886.98] 就叫做公數反
[00886.98-00888.70] 那公數反到這個結果
[00888.70-00889.50] 同時就知道
[00889.50-00890.94] 在這裡标出來了
[00890.94-00893.10] 叫兵武常帅
[00893.10-00895.10] 帅武常师
[00895.10-00896.66] 这个就叫做公叔法
[00896.66-00899.30] 反正搞来搞去他的目的其实非常的明确
[00899.30-00901.66] 同学们应该知道在这里面其实就是
[00901.66-00904.54] 让他们对于军队的调动的权利
[00904.54-00905.54] 削弱一点
[00905.54-00907.34] 没有办法还威胁到黄地的权利
[00907.34-00911.02] 这个就叫做我们所说的集中军权
[00911.02-00914.18] 集中军权叫多期精兵
[00914.18-00915.90] 这是第一个军队的问题
[00915.90-00916.38] 搞定了
[00916.38-00917.34] 军队的问题搞定了
[00917.34-00919.38] 之后第二个搞什么搞权
[00919.38-00921.74] 第二个就给到了我们所说的权
[00922.58-00923.94] 虚躲起选
[00923.94-00924.86] 虚躲起选呢
[00924.86-00926.10] 它其实分成两部
[00926.10-00928.38] 一部是虚中央的权力
[00928.38-00931.10] 以加强我们所说的黄权
[00931.10-00933.34] 第二个是虚弱地方的权力
[00933.34-00934.50] 以加强装起选
[00934.50-00935.50] 我们先来看一下
[00935.50-00936.34] 在中央这一块
[00936.34-00938.70] 它不和加强黄权的
[00938.70-00939.98] 在加强黄权这一块呢
[00939.98-00940.94] 它搞了一个制度
[00940.94-00941.78] 这个制度是啥呢
[00941.78-00944.02] 你看叫做是书密使
[00944.02-00947.82] 参知正式和三思分别去掌管
[00947.82-00950.34] 军旋形政權和財政權
[00950.34-00951.30] 這個制度
[00951.30-00951.90] 大家就一下
[00951.90-00953.22] 就是我們所說的叫做
[00953.22-00954.74] 二腐三思制
[00959.14-00960.90] 叫做二腐三思制
[00960.90-00962.54] 這二腐三思制是啥意思呢
[00962.54-00963.30] 同時還記得
[00963.30-00965.06] 咱們在講隨堂制度的時候
[00965.06-00965.70] 我們說了
[00965.70-00966.86] 在隨堂制度的時候
[00966.86-00967.82] 皇上為了
[00967.82-00968.54] 薛若
[00968.54-00969.18] 宅相的權力
[00969.18-00970.30] 他搞的叫什麼制呢
[00970.30-00971.74] 叫做三省六部制
[00971.74-00972.26] 對吧
[00975.10-00977.22] 叫做三省六部制
[00977.22-00981.06] 這個三省就是我們所說的中書
[00981.06-00985.66] 然後我們門下以及我們所說的上書
[00985.66-00987.46] 這是我們所說的糖炒
[00987.46-00989.50] 但到了後期的時候我們會發現
[00989.50-00993.02] 就是到了糖炒後期的時候整個三省它的制度
[00993.02-00994.38] 其實都收回一個了
[00994.38-00996.42] 就是誰的權利最大的
[00996.42-00997.70] 其實就是中書門下
[00997.70-00999.30] 這是這三個合成一個了
[00999.30-01001.54] 叫做中書門下
[01001.54-01002.58] 而這種情況之下
[01002.58-01004.30] 中書門下在後期的時候
[01004.30-01005.38] 它質管什麼權利呢
[01005.38-01006.66] 它其實本質上質管
[01006.66-01008.20] 我们所说的民政权
[01010.76-01013.26] 你看原本的三省变成了一个
[01013.26-01014.34] 对吧直馆民政
[01014.34-01015.62] 那这种情况之下的
[01015.88-01019.20] 召唤叶就想把中央文化手里的这个民政权
[01019.46-01020.74] 再去削弱一下
[01020.74-01022.80] 然后就搞出了我们所说的叫做
[01023.04-01024.58] 二府三思制
[01024.58-01026.12] 叫做二府三思制
[01026.12-01028.42] 这二府三思二府制的是哪二府呢
[01028.42-01030.22] 大住一下一个是书秘史
[01030.48-01032.52] 书秘史呢管的是军事
[01032.78-01034.30] 有同学在这儿就点蒙了
[01034.30-01035.86] 说老师不对呀
[01035.86-01038.66] 你看刚才我们在讲集中军选的时候
[01038.66-01040.66] 调掉了悲久视频权
[01040.66-01042.34] 是被也讲到了军事
[01042.34-01044.66] 在这里面疏异是也管军事
[01044.66-01045.86] 这到底是咋回事呢
[01045.86-01048.94] 他们知道它其实是分两层去看的
[01048.94-01049.78] 哪让层呢
[01049.78-01050.78] 第一个在这里
[01050.78-01052.50] 它所说的集中军权
[01052.50-01054.22] 主要强调的是解除
[01054.22-01056.66] 进军手领的冰权
[01056.66-01058.50] 也就是说进军手领
[01058.50-01060.34] 或进军将军它主要是什么呢
[01060.34-01061.66] 进军手领后进军将军将军
[01061.66-01063.98] 主要是要動軍隊
[01064.98-01067.80] 不能說叫叫叫動啊主要說是指揮軍隊
[01070.10-01073.08] 什麼叫指揮軍隊呢就進軍手裡能夠讓軍隊去打招
[01073.08-01074.28] 比如說打哪人呢
[01074.28-01076.76] 對吧或者是你這個軍隊怎麼做戰呢
[01076.76-01078.12] 那這個軍隊啊
[01078.12-01080.74] 這個進軍同戀他主要是指揮軍隊
[01080.74-01082.72] 而我們所說的書密使
[01082.72-01085.42] 其實原則上來說應該叫做書密任啊
[01085.42-01087.76] 那這個書密院也好這個書密使也好
[01087.76-01089.14] 他對於軍隊的管後
[01089.14-01090.06] 他是怎麼樣呢
[01090.06-01091.54] 他是掉動軍隊
[01091.54-01093.54] 你说老是这有什么区别吗
[01093.54-01094.94] 区别其实住在于啊
[01094.94-01098.06] 就是这个军队它能不能被派出去打招
[01098.06-01099.46] 那是由谁说了算
[01099.46-01100.94] 由书命院说了算
[01100.94-01105.34] 书命院就有点像我们国家在军事体制改革之前的总参模部
[01105.34-01106.78] 它就有点这样的一个概念
[01106.78-01107.78] 而他说了
[01107.78-01110.18] 说书命院说想一个军队可以拉着打招
[01110.18-01112.74] 拉出去打招交给谁来指挥
[01112.74-01115.58] 那这个指挥的就是进军同键
[01115.58-01117.74] 所以汤两个之间的本身区别就是
