[00000.00-00006.68] 那么今日让我下看,那么说了南北朝之后我们说南北朝并历随堂武改传对吧
[00418.08-00419.28] 我刚才说的这句话
[00419.28-00421.12] 不是白说的考慍一个点
[00421.12-00422.00] 就是初堂司机
[00422.00-00423.76] 也怪他说法征就用错误的事
[00423.76-00424.96] 为什么是他们几个
[00424.96-00430.66] 推動時刻從公條走向世警
[00433.16-00434.16] 大家要注意
[00434.16-00437.76] 這是第一個我們要掌握的叫做初堂司警
[00438.26-00440.76] 這次也給大家收這麼多
[00440.96-00442.76] 在初堂當中的第二個
[00442.76-00444.36] 第二類的代表人物
[00444.36-00446.46] 這是我們所說的五中四世
[00446.46-00448.96] 一樣的五中四世
[00448.96-00450.36] 因為是在一個地區
[00450.36-00451.96] 就是五月之事
[00451.96-00454.56] 所以在這裡面叫五中四世
[00454.56-00456.08] 发音不太好发
[00456.08-00458.32] 大家要知道这四个人是哪四个人
[00458.32-00461.96] 包容和执张落区以及张续
[00461.96-00462.96] 把这四个人画出来
[00462.96-00464.40] 你最期骂第一个要掌握
[00464.40-00466.08] 这四个人是哪四个
[00466.08-00467.36] 在这个地方大家知道
[00467.36-00470.28] 这里面我们包容机会没太考察过
[00470.28-00472.08] 考得比较多的是后三个
[00472.08-00474.48] 和执张落区和张续
[00474.48-00476.96] 和执张被称度为叫做施狂
[00476.96-00479.08] 所以一般情况要考和执张的时候
[00479.08-00481.20] 考一下的施做考的道是不多
[00481.20-00482.48] 而是考的是什么呢
[00482.48-00485.24] 考的是赫志章在引中巴星各当中
[00485.24-00486.84] 从考察过他的弟弟
[00487.08-00487.96] 引中巴星呢
[00487.96-00489.24] 其实是肚腐血的
[00489.24-00489.88] 八个人
[00489.88-00491.24] 以后我们会详细说
[00491.24-00493.32] 所以排在第一个的就是赫志章
[00493.32-00493.92] 大家注意一下
[00493.92-00495.76] 就是第一个叫石狂
[00495.92-00497.40] 第二个叫张洛虚
[00497.40-00498.68] 张洛虚在这个地方
[00498.68-00499.32] 大家注意一下
[00499.32-00500.92] 张洛虚写了一首师
[00500.92-00502.20] 叫春江花业业
[00502.20-00503.68] 他的评价叫孤篇
[00503.68-00504.48] 概权堂
[00504.48-00506.08] 文明于是春江花业
[00506.08-00506.92] 大家都被过
[00506.92-00507.20] 对吧
[00507.20-00507.56] 春
[00507.56-00508.56] 叫做
[00509.40-00511.44] 叫春江朝水脸
[00511.44-00514.16] 也还挺还上面有共吵声啊就很长的一天
[00514.16-00518.56] 所以在这一片当中写了什么年年越越花香四 对吧
[00518.56-00519.96] 等等这一系列的
[00519.96-00521.80] 这个就来自于他的春年坏爷爷
[00521.80-00523.84] 所以一旦说骨篇概权堂是谁
[00523.84-00526.16] 你要知道是张若虚 这是第二个
[00526.16-00528.40] 第三个呢就张虚 张虚呢
[00528.40-00532.60] 除了会做失质外他的草书写得特别好
[00532.60-00534.44] 所以被称率就草售 对吧
[00534.44-00536.72] 所以这是我们所说的五中四世
[00536.72-00538.80] 就五中四世在四人
[00538.80-00540.94] 他身上的考虑大家知道是哪四个人
[00540.94-00542.76] 第二个就是张若虚
[00542.76-00544.36] 除了张若虚之外有说了
[00544.36-00546.72] 赫之张和张虚也经常会考
[00546.72-00549.36] 但他的考察不会是单独的考
[00549.36-00552.08] 而是往往会结合一些其他那种来考
[00552.08-00553.92] 比如说我们考察过一次
[00553.92-00555.60] 叫做引中八线歌
[00555.60-00557.68] 这个引中八线歌考察过
[00557.68-00560.80] 他的施剧的描写和人物的对应
[00560.80-00562.84] 这引中八线只得是哪八线
[00562.84-00565.44] 对于这八个人都分别有不同的描述
[00565.44-00566.68] 对应的是不同的人
[00566.68-00568.68] 那这八个人分别是哪八个人呢
[00568.68-00572.68] 知道,这是在肚腐、施割杠中所出现的
[00572.68-00576.68] 其实在这个场景当中,大家知道这个隐中发现
[00576.68-00579.68] 在有数剧作品当中出现过
[00579.68-00583.68] 在有数剧作品当中,哪个作品呢?就是常安三万里当中出现
[00583.68-00586.68] 常安三万里大家都知道,那个李白后来去了常安
[00586.68-00589.68] 对吧,去了常安之后的鱼多少时间做官了
[00589.68-00592.68] 然后在电视场景当中,电视场景当中不就出现了
[00592.68-00595.68] 高市的去九楼,去找李白
[00595.68-00597.00] 你为是李白典的写信了吗
[00597.00-00597.76] 但李白典
[00597.76-00598.88] 忘了这个事了
[00598.88-00600.40] 所以他去找李白的时候
[00600.40-00601.16] 发现李白
[00601.16-00603.80] 他和那个肚腐推门进去的时候
[00603.80-00605.52] 就发现大多灾的喝酒
[00605.52-00608.96] 然后有一个人从那个上面掉下来了
[00608.96-00609.36] 对吧
[00609.36-00610.60] 掉到那个池子里面了
[00610.60-00612.60] 然后还有很多人在那个很木杀
[00612.60-00613.96] 然后一边走一边坐时
[00613.96-00616.00] 就是这样的一个场景
[00616.00-00617.28] 在这个场景当中
[00617.28-00619.72] 隐中八线里面的人物出现了五个
[00619.72-00621.60] 而且非常非常的行像
[00621.60-00622.68] 我们今天来看一下
[00622.68-00624.64] 长三里当中的这个片段
[00624.64-00628.56] 同们注意一下这些人物的出场设许以他的特征
[00628.56-00629.76] 你记住这个之后
[00629.76-00633.04] 你相对来说对于后面的引中八线歌那里的八个人
[00633.04-00634.64] 你就就好理解了
[00634.64-00636.24] 咱们来看一下长三二里当中
[00636.24-00637.76] 他所对应的这个片段
[00654.64-00656.64] 好
[00661.64-00663.64] 二人 胡家
[00663.64-00664.64] 胡家
[00664.64-00666.64] 胡家
[00666.64-00668.64] 胡家
[00668.64-00669.64] 放开
[00669.64-00670.64] 胡家
[00670.64-00671.64] 你不看
[00671.64-00674.64] 混在这儿全都是着
[00680.64-00681.64] 看个
[00681.64-00683.64] 还得行就得上去
[00683.64-00685.44] 三庄在那居事什么
[00686.16-00687.84] 人出路好不一尽
[00687.84-00688.56] 花了
[00688.56-00689.44] 一尽
[00689.44-00690.24] 一尽
[00691.44-00692.04] 好近
[00692.04-00693.04] 好近
[00693.44-00694.64] 好连哦
[00694.64-00695.48] 好近
[00695.48-00696.60] 快连快连快连
[00696.60-00697.60] 快连快
[00697.60-00698.60] 快连快
[00698.60-00699.40] 快连快
[00701.40-00705.56] 明昭却在入华有案
[00705.56-00706.32] 不啊
[00706.32-00707.32] 不啊
[00707.32-00708.08] 不啊
[00708.08-00709.16] 不啊
[00709.16-00710.16] 一带闷入
[00710.16-00711.44] 不啊
[00711.44-00712.08] 不啊
[00712.08-00712.84] 写着着
[00712.84-00713.46] 好棒
[00713.70-00714.66] 嘴嘴
[00714.66-00715.60] 嘴 嘴嘴
[00715.60-00716.44] 這裡
[00716.44-00717.58] 嘴嘴
[00717.82-00718.54] 嘴嘴
[00718.54-00719.90] 嘴嘴
[00719.90-00720.94] 嘴
[00722.22-00722.26] 啊
[00722.26-00723.20] 啊
[00723.20-00724.12] 你翻個方條
[00724.12-00724.78] 啊
[00724.78-00725.64] 嘴
[00725.64-00726.60] 啊
[00726.60-00727.52] 啊
[00727.52-00728.18] 啊
[00728.18-00729.26] 啊
[00729.26-00730.58] 呀
[00730.58-00731.96] 啊
[00731.96-00732.46] 呀
[00732.46-00734.12] 呀
[00734.12-00735.48] 啊
[00736.18-00737.36] 啊
[00737.60-00738.50] 啊
[00738.50-00739.60] 啊
[00739.60-00741.60] 你来
[00745.60-00746.60] 哪一张
[00746.60-00748.60] 你发两肺
[00752.60-00754.60] 高师 高三十五
[00756.60-00757.60] 来来来
[00757.60-00758.60] 请来来
[00758.60-00759.60] 高师
[00759.60-00761.60] 好像都听说话
[00762.60-00764.60] 我跟二十高年的老板
[00765.60-00766.60] 来来来来
[00766.60-00767.92] 这一车印象
[00768.56-00770.56] 周洋王
[00770.96-00772.96] 这一宗皇帝强孙
[00773.20-00774.64] 我们是九平江
[00774.64-00775.76] 无暖和好
[00775.76-00776.60] 九洋九洋
[00777.00-00777.88] 要贴一
[00779.60-00780.64] 一太小
[00781.00-00782.32] 请输官
[00782.32-00783.48] 觉得特殊
[00783.48-00784.04] 九洋
[00784.04-00785.04] 贵九洋
[00786.24-00787.88] 这
[00788.36-00790.16] 这两位王朝零三山
[00790.16-00791.68] 一当朝华
[00792.00-00793.32] 协时美朋友
[00793.32-00794.88] 换十宫
[00795.08-00796.12] 万里长正
[00796.12-00798.12] 啊 想问王先生
[00798.12-00800.12] 剑剑后一
[00800.12-00802.12] 最后来
[00802.12-00804.12] 剑手万数
[00804.12-00806.12] 离花开
[00807.12-00808.12] 就要就要
[00808.12-00811.12] 你们都是编赛之中没有
[00811.12-00813.12] 就要就要就要
[00813.12-00815.12] 他从这儿找你一天
[00818.12-00819.12] 就要就要
[00819.12-00821.12] 从这儿那笔吧
[00821.12-00823.12] 砍出了破证去的行机
[00823.12-00853.02] 那这个片段其实就是在产相里当着我们说了
[00853.02-00856.10] 在長矮時期所呈現的這個
[00856.10-00858.26] 我剛才讓同一門注意了一下整個
[00858.26-00860.86] 我們所說的這個片段當中的這個人物的
[00860.86-00863.50] 處長涉及不知道大家有沒有注意的到案
[00863.50-00865.30] 所以在這個人物廠涉及當中
[00865.30-00867.98] 就非常直觀的
[00867.98-00871.10] 去跟我們呈現了引中8000當中的五個人
[00871.10-00873.86] 咱們來看一下這引中8000當中的五個人分別是誰
[00873.86-00875.38] 同樣能夠給它頂上
[00875.38-00876.86] 全第一個出場的就是
[00876.86-00879.14] 賀之章我們剛才說了時康
[00879.14-00879.74] 就做
[00879.74-00884.38] 只张起码四成传 落花 叫做眼花落井水地面
[00884.38-00886.10] 喝高了 掉水地了
[00886.10-00887.66] 是我刚才就对应了什么
[00887.66-00891.22] 对应了刚才 赫间掉到水里的那个场景了
[00891.22-00893.94] 对吧 所以在第一个人里面你要看到什么
[00893.94-00895.82] 所以眼花落井水地面
[00895.82-00897.06] 这个时候说的是谁
[00897.06-00898.18] 你要能够对应的上市
[00898.18-00899.90] 我们所说的这个 赫之张
[00899.90-00901.06] 这是第一个
[00901.06-00903.58] 那第二个就是礼拜去给高市介绍的是谁
[00903.58-00904.66] 入阳王
[00904.66-00907.18] 原王刚才说了是瑞宗皇帝之孙
[00907.18-00909.30] 所以这个时候就是入阳王
[00909.30-00912.70] 原来在这里看入阳三豆时朝天
[00912.70-00916.86] 叫做豆腐取车口流血恨不一风向酒选
[00916.86-00919.90] 就是主阳在去见到黄上的时候
[00919.90-00922.14] 到先和三豆酒然后再去
[00922.14-00923.42] 然后再去见黄上路上
[00923.42-00926.02] 如果在路上碰到了装酒的车子
[00926.02-00927.10] 这个就是取车
[00927.10-00928.18] 就是通这个去
[00928.18-00930.26] 这样见到了装酒的车子完了
[00930.26-00932.38] 走路到那口水花了花了只留
[00932.38-00934.30] 对吧恨不一风向酒选
[00934.30-00935.98] 就恨不得黄上给它风在哪
[00935.98-00937.26] 风在干塑的酒选
[00937.26-00939.06] 当年我们给大家讲过
[00939.06-00942.38] 或去病 她把那個酒到在那裡 聽說
[00942.38-00945.46] 她做了一個比喻 說恨不一風向酒旋
[00945.46-00948.06] 這第二個人就是剛才大家所看到那個主要網
[00949.06-00950.46] 第三個人是誰呢
[00950.46-00953.34] 第三個人是左向左向李世之
[00953.34-00955.30] 在這個裡面其實沒有出現的
[00955.30-00957.86] 只有左向李世之也比較喜歡喝酒
[00957.86-00960.98] 她說了叫做左向日行廢萬錢
[00960.98-00965.46] 也如長經西百川 叫前輩樂勝稱閉錢
[00965.46-00967.46] 这个左向理事之特别喜欢喝酒
[00967.46-00969.46] 它喝酒都不济花费的
[00969.46-00971.86] 它每天喝酒可能都要花小特别的大
[00971.86-00973.86] 喝酒酒量精人
[00973.86-00980.66] 它就说像大白精 大精雨 西 奶 百川的川水 海水 羊 孤冻 孤冻 只喝
[00980.66-00984.06] 所以就也如长精 西 百川 喝成这个样子
[00984.06-00986.66] 然后大家就说别喝了 对吧 怎么喝成这样呢
[00986.66-00988.06] 它就称什么 叫闭闪
[00988.06-00992.06] 说我现在不喝 以后怎么给退为让行给年轻人
[00992.06-00994.06] 所以这是我们所说的这个左向
[00994.06-00996.34] 吹冬汁在刚才里面出现了
[00996.34-00998.98] 就是刚才我们所说的张许
[00998.98-01000.98] 张许从上面下来之后
[01000.98-01001.98] 说中之来
[01001.98-01004.78] 均美的少年老吹冬汁
[01004.78-01006.58] 吹冬汁你看一句话
[01006.58-01008.34] 叫做消散每少年
[01008.34-01009.94] 长得非常好看刚才那个
[01009.94-01012.30] 后面一话叫叫如意树离风险
[01012.30-01014.54] 他是在所有人当中长造看
[01014.54-01015.30] 最帅的
[01015.30-01017.30] 是刚才谈皮牌的那个
[01017.30-01018.62] 在我下书记
[01018.62-01021.58] 书记其实在刚才的片段当中没有出现的
[01021.58-01024.86] 叫苏敬常在序服前最終王王愛逃查
[01024.86-01026.62] 他其實是參產的
[01027.10-01027.90] 幸福呀
[01027.90-01029.90] 但是他來參加參加參加參加去看到久
[01029.90-01030.78] 就殺得忘了
[01030.78-01032.78] 但苏敬在這裡面沒有體現過
[01032.78-01033.54] 禮拜
[01033.54-01034.30] 大眾一下
[01034.30-01035.34] 禮拜出現了
[01035.34-01036.86] 人物主要人物中禮拜
[01036.86-01037.38] 禮拜
[01037.38-01039.10] 他擅長寫實
[01039.10-01040.78] 所以對禮拜的描述是什麼
[01040.78-01042.86] 就要天子互來不上傳
[01042.86-01044.86] 自稱城市九中先
[01044.86-01046.66] 就是誰來的包食
[01046.66-01049.58] 當時賀之張稱禮來是哲學人說
[01049.58-01052.66] 世界哪有人能写写到如此
[01052.66-01055.38] 它目的是天上被别着到反间的仙人
[01055.38-01056.38] 所以叫折仙人
[01056.38-01058.62] 所以天子哭来不上传
[01058.62-01060.50] 自称城市九中仙
[01060.50-01062.90] 张续就是那个土头的老头
[01062.90-01065.66] 这是我们所说的草盛
[01065.66-01067.06] 散写狂草
[01067.06-01069.54] 所以你看说张续三杯草盛传
[01069.54-01070.94] 拖贸路顶网工前
[01070.94-01071.78] 你看它的头顶
[01071.78-01072.30] 对吧
[01072.30-01073.82] 然后灰毫落职
[01073.82-01074.66] 如影院
[01074.66-01076.78] 所以这是草盛张续出现了
[01076.78-01078.38] 最后一个没有出现的是谁呢
[01078.38-01079.22] 是焦碎
[01079.22-01082.02] 焦碎吴董方卓人高台雄变
[01082.02-01082.78] 京司炎
[01082.78-01084.62] 焦碎是一个熊变价
[01084.62-01085.70] 特别上场变乐
[01085.70-01087.74] 但是一定要喝酒喝开了之后
[01087.74-01089.54] 这个变怒的感觉才能出来
[01089.54-01092.70] 所以在这里叫做吴董方卓人说就他
[01092.70-01094.22] 所以在刚才的骗论当中
[01094.22-01095.58] 通面记得那个骗断
[01096.58-01098.62] 其实就能记住这些人物
[01098.62-01100.22] 这些人物和十个的对应
[01100.22-01101.14] 这里面需要大家注意的
[01101.14-01102.42] 这没有出现的这几个
[01102.42-01104.30] 你可能记得不是特别的深刻
[01104.30-01106.14] 要再看一下一个是左向
[01106.14-01108.66] 有些苏劲 还有一个是谁
[01108.66-01109.42] 是焦碎
[01109.42-01110.42] 还有是焦碎
[01110.42-01112.42] 这个就是我们所说的
[01112.42-01114.42] 有关于初堂当中的主要人物
[01114.42-01116.02] 我们给大家讲的初堂四节
[01116.02-01117.82] 网友努垂一他对用做
[01117.82-01119.62] 第二个如中四世
[01119.62-01120.94] 这四人当中
[01120.94-01121.98] 我们又给他延伸
[01121.98-01123.66] 破展到了引中八线
[01123.66-01124.98] 这引中八线哥呢
[01124.98-01125.98] 是度服泄的
[01125.98-01126.42] 好
[01126.42-01127.58] 这就是我们所说的
[01127.58-01129.30] 初堂时期的主要是
[01129.30-01130.94] 那除了初堂时期主要是
[01130.94-01131.90] 之外我们来看一看
[01131.90-01132.94] 到了第二世界就是
[01132.94-01134.66] 圣堂时期的主要是
[01134.66-01137.62] 生涼實際的主要是給大家介紹這麼幾個
[01137.62-01139.56] 第一個就是王雷剛才大家說了
[01139.56-01141.36] 他叫魔杰軍事
[01141.36-01142.82] 所以他叫自魔杰
[01142.82-01144.02] 施稱王又承
[01144.02-01146.62] 他說陰藝生愛號服
[01146.62-01148.56] 所以又被後施稱著為什麼呢
[01148.56-01149.32] 我們歡迎一下
[01149.32-01151.26] 又被稱著為叫做施服
[01151.26-01153.64] 王毀考察人物和他別稱的對應
[01153.64-01157.04] 比如說賀之章、施狂、王雷、施服
[01157.04-01158.02] 後面還要講
[01158.02-01161.78] 實現、施勝、施好等鬧這一系列的
[01161.78-01162.66] 大家要知道
[01162.66-01166.50] 那这是我们所说的第一个叫做师傅
[01166.50-01170.86] 而王为参福也是他的一生相对来说
[01170.86-01172.90] 遭受个人打击票多
[01172.90-01176.06] 像这里面的大堂的这些我们能够叫了上号
[01176.06-01179.30] 以及互都是我们所说的年少成名
[01179.30-01180.58] 相对而说比较多
[01180.58-01183.14] 尤其是王为在长三里当转大陆知道
[01183.14-01185.18] 可以说是一言万年的这样一个人
[01185.18-01186.98] 这个就是王为在现场谈情的时候
[01186.98-01190.30] 当时那个公主看着他都眼冒小心心的这种
[01190.30-01191.90] 王为二是一岁的时候
[01191.90-01192.74] 近世纪帝
[01192.74-01194.14] 关制上书又成
[01194.14-01195.90] 所以又被称为叫做王又成
[01195.90-01198.30] 听年的时候也是非常有理想爆腹的一个人
[01198.30-01199.06] 但是呢
[01199.06-01201.14] 关场生活不是很迅虽
[01201.14-01203.98] 所以一生关场成成服服的
[01203.98-01206.46] 后来因阿史之乱认为直
[01206.46-01207.30] 对关起来了
[01207.30-01210.02] 就是他认了一个假的职位
[01210.02-01211.26] 然后最后被下预了
[01211.26-01213.42] 所以他在后许的时候
[01213.42-01214.94] 个人生会遭到打击
[01214.94-01216.62] 比如说他整体上
[01216.62-01217.54] 又年伤负
[01217.54-01218.38] 加到中落
[01218.38-01218.98] 中年
[01218.98-01219.70] 放棄
[01220.10-01221.50] 他对他气得情感
[01221.78-01223.22] 特别特别的生产
[01223.22-01225.22] 所以爱了很深切
[01225.22-01227.10] 所以中年时候放棄不取
[01227.38-01228.58] 独居了30多年
[01228.74-01230.46] 后来王维就说自己这一生
[01230.46-01232.38] 说一生几取商心事
[01232.38-01234.18] 就是碰到那件事情都不开心
