[00000.00-00002.68] 今天我们要先来学习买员的第一个部分
[00476.00-00481.12] 马斯他就根据前任的理论创建了我们所说的变政为无主意
[00481.12-00482.60] 创建了变政为无主意
[00482.60-00483.68] 大家要知道
[00483.68-00485.48] 这是我们所说的第一个部分
[00485.48-00487.88] 叫做马斯主业折血
[00487.88-00489.20] 叫马斯主业折血
[00489.20-00493.76] 第二个部分就是折血机关去研究了整个世界运行的规律
[00493.76-00496.72] 那他必然也会研究资本主意的运行规律
[00496.72-00500.92] 于是他就运用他现有的马斯主意折血的论去研究
[00500.92-00504.04] 当时他所在的德国我们所说的
[00504.04-00505.40] 他的资本主意的运行
[00505.40-00507.32] 你是得出来了另外一个观点
[00507.32-00509.32] 叫马斯主义证据经济学
[00509.32-00511.76] 也是我们所说的马征经
[00511.76-00512.92] 刚才我也说了
[00512.92-00514.56] 他其实是运用马哲的这些
[00514.56-00517.64] 思维方式去观测自分主义的运行
[00517.64-00519.76] 所以马斯主义证据经济学
[00519.76-00520.84] 他在本身上
[00520.84-00524.60] 其实是马斯主义基本原理的一个具体应用
[00528.12-00529.44] 一个具体应用
[00529.44-00530.76] 而证据经济学
[00530.76-00532.84] 他也一定有自己的来源
[00532.84-00536.42] 政治经济学就来自于政治经济学
[00536.42-00539.80] 那就看是来自于哪个国家的政治经济学了
[00539.80-00542.56] 所以在这里面同样在这里标注一下
[00542.56-00549.56] 政治经济学来自于英国的古典政治经济学
[00554.84-00557.16] 来自于英国的古典政治经济学
[00557.16-00560.06] 这是第二个马正经来自于马正
[00560.06-00561.16] 来自于正经
[00561.16-00562.28] 这是第二个部分
[00562.28-00567.04] 而在马斯嘴正经济学当中,我们要注意这里没有一个核心的点
[00567.04-00569.84] 就是它提到了一个非常著名的论断
[00569.84-00572.52] 这个论断的就是生语家之学说
[00578.36-00580.72] 提到了一个点叫做生语家之学说
[00580.72-00584.16] 而生语家之学说和刚才另外一个点
[00584.16-00586.72] 就是在马斯嘴哲学当中,我们刚才提到了
[00586.72-00588.72] 是不是提到了变政为无主言
[00588.72-00591.24] 变政为无主义的研究的是
[00591.24-00592.56] 自然界的发展
[00592.56-00595.24] 但是马斯主义哲学不仅研究自然界
[00595.24-00597.44] 还研究人类社会
[00597.44-00598.60] 也就换句话来说
[00598.60-00599.56] 我把他写在这
[00599.56-00602.00] 就是马哲他其实是有两种观念的
[00602.00-00603.96] 一种是研究自然界的
[00603.96-00606.04] 他给他起了个名字叫做
[00606.04-00608.20] 变责为物主义
[00609.60-00611.76] 但是我们所生活的社会
[00611.76-00612.84] 不单单有自然界
[00612.84-00614.12] 是否还有人类社会
[00614.12-00616.72] 所以马斯主义研究人类社会的发展规律
[00616.72-00618.88] 发现了另外一种观念叫叫做
[00618.88-00621.00] 历史为物主义
[00621.24-00627.08] 同们在这里啊,你看,是不是有一个点呢?
[00627.08-00631.68] 来看,变责为屋主义这个点,是不是马斯主义的原创呢?
[00631.68-00635.60] 同们思考一下,变责为屋主义是不是马斯的原创?
[00635.60-00640.76] 很明显,不是他的原创理论,因为变责法是黑个儿提到的,
[00640.76-00645.12] 为屋主义是FIRBHA提到的,所以变责为屋主义只是什么?
[00645.12-00648.92] 变责为屋主义只是他把这两个理论结合在那块,
[00648.92-00651.16] 而它的原创理論應該是什麼呢
[00651.16-00653.92] 在哲學當中它的原创理論
[00653.92-00656.96] 應該是歷史維護主義
[00656.96-00657.92] 這是在這
[00657.92-00659.32] 而在馬征經當中
[00659.32-00662.12] 它又提到了一個非常驚人的學說
[00662.12-00664.52] 就叫做聖於價值學說
[00664.52-00666.92] 而這兩個理論可以稱之為
[00666.92-00669.72] 馬斯的兩大獨创理論
[00669.72-00672.12] 所以在這打住一下有一個考點
[00672.12-00672.92] 也能出來了
[00672.92-00676.12] 就是問馬斯的兩大獨创理論
[00676.12-00681.50] 或者是马斯主义基本原理的两大机时
[00681.50-00686.30] 又或者说它的两大发现
[00686.30-00691.86] 在这里问示啥你就要知道一个是历史为务主义
[00691.86-00695.50] 一个是生育、价值学说是这两个
[00695.50-00698.14] 所以在这同学们一定要明确这一个点
[00698.14-00698.98] 这个点呢
[00698.98-00704.78] 它如果说马斯主义的两大发现是变正为务主义和生育下治学说
[00704.78-00706.78] 这种说法很明显是对的还是错的
[00706.78-00707.60] 错的
[00707.60-00709.28] 什么叫做独创
[00709.28-00711.30] 就是我发现的
[00711.30-00712.82] 不是别人发现的
[00712.82-00713.74] 这种情况之下
[00713.74-00715.52] 才叫做独创
[00715.52-00716.24] 所以在这里
[00716.24-00717.12] 大家要知道
[00717.12-00718.44] 这个点延伸出来的
[00718.44-00720.28] 这个小点一定要给它把握住
[00720.28-00721.70] 这是我们所说的
[00721.70-00723.70] 在这里给到的叫马斯主页
[00723.70-00724.92] 正如经具血
[00724.92-00726.54] 马斯主页正如经具血
[00726.54-00728.22] 运用它的折血的女论
[00728.22-00729.98] 去观测资文主页的运行
[00729.98-00731.20] 得出来的结论
[00731.20-00732.42] 就是资文主页
[00732.42-00733.98] 中江走向
[00733.98-00734.82] 灭亡
[00734.82-00735.98] 那问题就在于
[00735.98-00738.18] 自分主义如果走向灭亡之后
[00738.18-00739.62] 那推翻自分主义之后
[00739.62-00741.54] 要建立一个什么样的社会呢
[00741.54-00743.38] 那这个时候他要提到另外一个理论
[00743.38-00746.22] 去叫做科学社会主义
[00748.50-00750.82] 要建立一个社会主义国家
[00750.82-00752.54] 最终实现共产主义
[00752.54-00753.70] 所以科学社会主义
[00753.70-00755.18] 是马斯在他的
[00755.18-00756.86] 基本理论当中提出来的
[00756.86-00757.70] 最终的目标
[00757.70-00759.46] 我们也可以把它称着为叫做
[00759.46-00761.46] 最终的结论
[00761.46-00765.66] 你看看这里面用了一个错词还是很精妙的
[00765.66-00768.26] 在这里叫做科学社会主义
[00768.26-00770.66] 既然有科学社会主义那是说白了
[00770.66-00772.86] 在科学社会主义旅论产生之前
[00772.86-00775.46] 有一些社会主义的观点是不科学的
[00775.46-00777.06] 那这些不科学的观点
[00777.06-00780.26] 我们就把它称着为叫做空想社会主义
[00782.66-00785.06] 叫做空想社会主义
[00785.06-00787.26] 在这里空想社会主义
[00787.26-00789.34] 那就看一下是哪些国家的败
[00789.34-00790.74] 那在这里面就叫做
[00790.74-00793.58] 英反两国的空响社会主义
[00793.58-00796.02] 而在英反两国的空响社会主义当中
[00796.02-00798.10] 主要第一个就是在英国的
[00798.10-00799.58] 我们所说的欧文
[00799.58-00801.62] 他所进行了探索失败了
[00801.62-00803.70] 而在法国有两个人
[00803.70-00805.42] 一个叫做福利业
[00805.42-00807.42] 还有一个叫盛西门
[00807.42-00810.62] 他们都在进行社会主义的建设和探索
[00810.62-00813.82] 但是最终都也失败而高中
[00813.82-00815.18] 最终都也失败而高中
[00815.18-00818.00] 这个就是我们所说的空想社会主义了
[00818.00-00821.84] 空挨社会主义他们当时的建立是怎么去做的呢
[00821.84-00825.68] 就是在整个社会都是资问主义高度发展的进入之下
[00825.68-00828.24] 他们就建了一个我们所说的工厂
[00828.24-00830.68] 在这工厂当中大家一块吃一块喝
[00830.68-00834.38] 你看这种我们所说的社会主义的
[00834.38-00837.38] 在某一个局部或者一个工厂里所谓探索的
[00837.38-00840.02] 和整个社会大环境是相伟卫卫的
[00840.02-00841.54] 既然和社会大环境相伟卫
[00841.54-00843.34] 就意味着它其实是搞不下去的
[00843.34-00845.74] 所以空下是否主意的失败原因
[00845.74-00849.26] 就是因为他和社会环境是脱节的
[00849.26-00852.78] 所以这是我们所说的马斯主意的理论
[00852.78-00853.82] 马斯主意理论
[00853.82-00855.98] 这个地方我告诉大家怎么考
[00855.98-00857.82] 这个地方一旦考察的时候
[00857.82-00859.90] 考察的就是对应
[00859.90-00861.18] 考察就是对应
[00861.18-00863.66] 所以马斯主意记得原理三个部分
[00863.66-00865.42] 来咱们一起背一下
[00865.42-00868.86] 第一个部分就叫做马哲马哲提供的是直到
[00868.86-00870.30] 叫做理论基础
[00870.30-00874.54] 那哲學來自於哲學,那他就來自於德國的古典哲學
[00874.54-00882.78] 德國典哲學當中,兩個人共享很高,一個是黑格爾的變成反,一個是分而發的,為無主義,這是馬哲
[00882.78-00898.14] 而運用哲學官策,資本主義生活的運行,得出來的結論叫馬正經,所以馬斯嘴正經學是具體應用,那正是經濟學,也有自己的理論來源,所以正是經濟學來自於英國古典,正是經濟學
[00898.14-00901.02] 在马征英当中最别核心的理论就叫做
[00901.02-00902.42] 盛余加政学说
[00902.42-00904.18] 于是从这里也认出来的点
[00904.18-00906.46] 就是马斯主义的两大独创
[00906.46-00908.30] 两大鸡十和两大发现
[00908.30-00910.02] 一是盛余加的学说
[00910.02-00912.10] 一个是歷史为务主义
[00912.10-00915.66] 在这里面这是马征英拍的一个说明
[00915.66-00917.22] 马斯主义正在经济学
[00917.22-00920.22] 得出来的结论是资本主义中央会走向
[00920.86-00921.42] 灭亡
[00921.42-00923.06] 资本主义灭亡之后
[00923.06-00924.90] 我们要建立一个什么样的社会
[00924.90-00927.10] 就要做科学社会主义
[00927.10-00932.66] 这个呢 其实可以说是马斯主义他的理论体系当中的核心
[00932.66-00937.70] 所以三个组成部分 三层对应考虑 大家一定要知道
[00937.70-00942.18] 这是我们所说的 第一个部分 叫马斯主义的科学内涵
[00942.18-00944.02] 知道他说了些啥
[00945.30-00951.10] 知道他说了些啥之后呢 咱们看一下第二部分 叫马斯主义的单声的标志
[00951.10-00954.50] 马上主义 带升了标志 其实和一个驻作有关系
[00954.50-00957.46] 这个驻作就是共产党 宣言
[00957.46-00961.62] 这共产党宣言同学们并无莫生 大家可能经常会听到一句话
[00961.62-00964.10] 叫全世界的无产者联合起来
[00964.10-00966.70] 这个其实就是出自于共产党宣言
[00966.70-00969.58] 它的本质上在强调团结遗智
[00969.58-00971.82] 在强调人民群众的力量
[00971.82-00974.74] 这个其实我们在日常生活当中经常会看到
[00974.74-00978.74] 中国的发展和新化的发展在本质上有一个不同的点
[00978.74-00980.98] 就在于我们更加强调的是集体主义
[00980.98-00983.10] 更加强调的是人民大株
[00983.10-00985.14] 而且西方买它更加强调的是什么呢
[00985.14-00987.86] 宣扬各形宣扬极端的个人主义
[00987.86-00989.10] 同一位威威夫考过
[00989.10-00993.22] 它为什么宣扬各形宣扬极端的自由主义呢
[00993.22-00994.62] 其实本身上很简单
[00994.62-00995.46] 他们想一下
[00995.46-00997.26] 如果一旦发生了一个事情
[00997.26-00998.70] 一个人去发生
[00998.70-00999.78] 这有情况之下
[00999.78-01001.98] 这件事情被大家看到的可能性
[01001.98-01003.54] 其实就是微糊齐微的
[01003.54-01005.82] 但是如果大家都去做这件事
[01005.82-01006.98] 这个就叫做什么
[01006.98-01011.22] 联合 你比如说像之前我们所提到的大熊猫
[01011.22-01013.66] 对吧亚亚回国的这件事情
[01013.66-01016.86] 全国国内国外海内外
[01016.86-01018.78] 那么多的人关注亚亚的情况
[01018.78-01019.90] 这个就叫联合
[01019.90-01022.18] 这段团阶一起所动发出来的力量
[01022.18-01023.30] 而在最开始的时候
[01023.30-01024.90] 马斯就在共产党宣言
[01024.90-01026.22] 去提到了这种力量
[01026.22-01027.34] 它的一种跑步
[01027.34-01029.94] 但是如果西方宣言的极端的自由
[01029.94-01031.22] 它甚至把这种思想
[01031.22-01032.94] 在某种程度上滞透给我们
[01032.94-01034.62] 我们不明就理的情况之下
[01034.62-01037.22] 然后把这种个人主义发人到极端的话
[01037.22-01038.26] 只强调自由
[01038.26-01039.26] 那这种情况之下
[01039.26-01040.90] 没有办法更好的团结
[01040.90-01042.62] 只有很多问题没有办法解决
[01042.62-01046.78] 所以在这里马斯在共产党宣言当中就把全世界无产者联合起来
[01046.78-01049.62] 把团结的力量提到一个非常重要的位置
[01049.62-01051.34] 那支持这个住作
[01051.34-01052.78] 那共产党宣言
[01053.66-01054.62] 他的发表
[01054.62-01057.18] 他其实有一些重要的考点在身上
[01057.18-01057.78] 第一个点
[01057.78-01059.26] 同们写上圈一
[01059.26-01060.54] 在书上标准出来
[01060.54-01062.78] 共产党宣言他标准者
[01062.78-01068.34] 科学社会主义的单声和马斯主义的公开论事
[01068.34-01070.34] 这个地方经常会考察一个点
[01070.34-01074.74] 就问马斯主义的公开论事是哪一个注做的发表
[01074.74-01078.18] 大家知道就是共产党宣言就行了
[01078.18-01080.58] 这是第一个大家知道它的地位
[01080.58-01082.18] 那第二个呢就是在这
[01082.18-01084.30] 我们要把靠电补充满者
[01084.30-01086.78] 共产党宣言它的发表呢
[01086.78-01088.30] 其实大家要明确
[01088.30-01091.50] 第一个单行本的论事是在英国
[01091.50-01097.50] 现在旁边叫做第一个单行本问试
[01099.50-01102.50] 第一个单行本问试是在英国
[01102.50-01106.50] 这个地方经常会对比一个考脸啊就是德国
[01106.50-01109.50] 那如果他在学校中给到我们德国
[01109.50-01111.50] 会在判刑体当中给到德国
[01111.50-01112.50] 这种说法都是错的
[01112.50-01114.50] 因为马斯是德国人啊
[01114.50-01115.50] 所以我们纯天然地就会认为
[01115.50-01116.50] 说那第一个单行本问试
[01116.50-01118.50] 应该是在他的母国了
[01118.50-01119.50] 其实不是啊
[01119.50-01123.42] 第一個 但新聞的位置是在英國這個臉代表注意一下
[01123.42-01127.18] 那馬斯主義或者是我們所說的共產黨宣言
[01127.18-01131.46] 他其實對於任何一個國家小去搞人民群眾運動
[01131.46-01133.18] 都起到非常大的推動作用
[01133.18-01134.74] 你比如說笑我們國家
[01134.74-01136.46] 中國共產黨的成立
[01136.46-01139.66] 他其實在前期也是因為共產黨宣言
[01139.66-01141.34] 他的翻譯和傳入
[01141.34-01143.50] 所以共產黨宣言他可以稱之為
[01143.50-01146.86] 叫共產主義的第一個鋼領新聞件
[01146.86-01151.86] 叫做共产主义的第一个
[01151.86-01155.86] 刚领性文件
[01155.86-01162.86] 因为它在这个文件当中提到了科学社会主义的问题
[01162.86-01164.86] 这是第三个点
[01164.86-01167.86] 第四个点有关于共产党宣言
[01167.86-01168.86] 我们就要明去
[01168.86-01171.86] 既然共产党宣言它在这里叫做标志者科学社会主义的
[01171.86-01177.66] 但是就意味着,它其实是在这个住座当中第一次
[01177.66-01184.02] 全面系统产数了
[01184.02-01188.02] 科学生活主义
[01188.02-01196.66] 这里面就是因为它是意味着是科学生活主义的
[01196.66-01199.98] 但是戒士戴生的话那就一定是第一次
[01199.98-01202.50] 为什么在这里要给大家去强调这个点呢
[01202.50-01205.38] 第一次全面系统产数科学社会主义
[01205.38-01210.22] 他会个后面马斯主义的其他住座形成先名的对比
[01210.22-01213.98] 会形成一些一混小的考点 反正要注意
[01213.98-01217.14] 所以在共产党宣言的身上四个考订
[01217.14-01220.02] 第一个标志的马斯主义的公开问试
[01220.02-01222.86] 第二个单行本在英国第三个
[01222.86-01225.42] 叫共产主义的第一个刚领性文件
[01225.42-01228.34] 第四个 既然他是科学社会主义
[01228.34-01229.54] 但生了标志
[01229.54-01233.46] 那就意味着他其实是第一次系统产说
[01233.46-01234.78] 科学社会主义理论
[01234.78-01235.66] 所以大家注意一下
[01235.66-01239.46] 这四个点经常会考察实际性的题目
[01239.46-01240.78] 要么就是判断题
[01240.78-01242.38] 要么就是选项
[01242.38-01243.18] 大家要注意
[01243.18-01244.06] 这是第一个
[01244.06-01245.78] 大家知道共产党宣言
[01245.78-01247.50] 他作为一个显处的标志
[01247.50-01249.06] 他所启到的作用
[01249.06-01250.34] 那么马斯主义
[01250.34-01251.98] 会是马斯他的住座
[01251.98-01253.46] 除了共产党宣言之外
[01253.46-01256.02] 其实还有一些其他非常重要的一些住座
[01256.02-01256.94] 那那些住座呢
[01256.94-01260.02] 以后我们要回家再去进行一些书里
[01261.06-01262.50] 那这是共产党宣言
[01262.50-01263.94] 那共产党宣言呢
[01263.94-01265.62] 它其实对于中国的发展
[01265.62-01268.14] 也有一个非常重要的一个影响
[01268.14-01268.98] 那大家也都知道
[01268.98-01270.10] 那它做了一个德国人
[01270.10-01271.70] 它怎么能有影响到中国呢
[01271.70-01273.86] 那这个其实是和一个人分布开的
[01273.86-01276.58] 那在这里面共产党宣言的第五点
[01276.58-01278.46] 在这里协商圈入
[01278.46-01279.98] 第五点就是在于啊
[01279.98-01283.32] 共產黨宣言他的中一本的翻譯者是誰呢
[01283.32-01284.44] 是陳王道
[01284.44-01287.02] 陳王道的本名叫做陳參一
[01287.02-01289.52] 後來他才給自己改名叫王道
[01289.52-01292.82] 叫望社會主義知道才有了這個名字
[01292.82-01295.94] 大家看一下他翻譯的這個時間節點其實很有意思
[01295.94-01299.68] 是在1926年的8月份去翻譯了共產黨宣言
[01299.68-01304.62] 而僅僅是在1921年首先就成立了共產黨上海黨小組
[01304.62-01307.16] 然後在1921年下半年的時候
[01307.16-01309.16] 中國共產黨就成立了
[01309.16-01310.96] 所以从某种程度上来说
[01310.96-01313.20] 共产党宣言的传络
[01313.20-01315.04] 对于中国共产党的成立
[01315.04-01317.08] 其实起到一个巨大的推动作用
[01317.08-01319.04] 所以这一切和一个人分不开
[01319.04-01320.64] 就是臣望到
[01320.64-01322.84] 而在臣望到翻译共产党宣言的时候
[01322.84-01324.36] 大家提醒你能看到
[01324.36-01326.04] 很多有趣的故事
[01326.04-01327.00] 对完比说
[01327.00-01328.28] 真理是甜的故事
[01328.28-01329.88] 他在家里去翻译这个
