[00000.00-00006.66] 好的,同学们,我们书接上回进入到第二节内容的学习,就是我们所说的先行
[00128.62-00130.26] 而有了实际制之后
[00130.26-00131.70] 下起建立下朝之后
[00131.70-00133.66] 我们就建立了我国立时上
[00133.66-00135.98] 第一个努力之国家
[00135.98-00138.02] 这个就是我们所说的下朝
[00138.02-00139.14] 我们所说的下朝
[00139.14-00140.02] 那下朝呢
[00140.02-00143.58] 其实在之前我们所看到的一些资料当状
[00143.58-00148.22] 我们都说下朝它其实没有很多的文字材料
[00148.22-00149.54] 来证明下朝的存在
[00149.54-00150.98] 但是它没有文字材料
[00150.98-00156.42] 我们其实又有很多的移植和移植能够证明下朝这个朝代是存序过的
[00156.42-00160.18] 那其中最有名的就是我们所说的二里头文化
[00160.18-00161.74] 那么来看一下二里头文化
[00161.74-00163.38] 同时要注意一下这么几个点
[00163.38-00165.86] 首先第一个我们要知道二里头文化
[00165.86-00171.96] 它是在哪里发现的在这个地方是在河南洛洋演示的一个村子里
[00171.96-00173.76] 叫做二里头村
[00173.76-00176.86] 我们上次和其他说过文明的签许
[00176.86-00179.66] 它是从长江留语过度到黄河留语
[00179.66-00182.86] 而在黄河留语当中中下有地区的河南
[00182.86-00185.66] 就被世伟我们所说的天下的中心
[00185.66-00190.36] 所以在这个地方我们所说的经常会有各种各样的草带建立
[00190.36-00194.66] 而二里头文化一指就是在河南洛洋发现的
[00194.66-00197.98] 而2020 文化移植 它其实是一个宫电移植
[00197.98-00200.14] 它的地位是什么 同学买住一下
[00200.14-00202.82] 它的宫电是中国期间发现的
[00202.82-00206.54] 最早的宫电建筑移植
[00206.54-00208.62] 是发现最早的宫电建筑移植
[00208.62-00211.82] 而根据我们所说的2020 时代考古发现
[00211.82-00213.62] 因为我们是在今年平出来的
[00213.62-00214.14] 对吧
[00214.14-00216.38] 根据2020 时代考古发现当中
[00216.38-00218.74] 其实在今年当中再次提到了
[00218.74-00222.18] 2020 文化 宫电移植它的不举情况
[00222.18-00224.38] 所以这个点的同学买稍微住一下
[00224.38-00227.66] 把他和我们所说的实正要能够结合在块
[00227.66-00230.26] 所以这是我们所说的第一个大家要掌握的
[00230.26-00233.22] 在二里头一指当中发现了最早的供电
[00233.22-00239.50] 那第二个就是在我们的一指看看当中发现了一个叫做大型律松时的龙行器
[00239.50-00243.70] 就是有很多的律松时给他拼充在块
[00243.70-00245.74] 然后发现了这样的一个龙行器
[00245.74-00247.90] 我们把他命令人连就做中国龙
[00247.90-00249.18] 这个点的同学要知道
[00249.18-00253.02] 这个大型律松时的龙行器命位是中国龙
[00253.02-00254.90] 而不是叫中華第一龍
[00254.90-00256.42] 那在有的我們所說的
[00256.42-00259.82] 選項當中會把中國龍給你偷換概念
[00259.82-00261.58] 變成中華第一龍
[00261.58-00262.78] 那這種情況下
[00262.78-00263.78] 說法就錯了
[00263.78-00264.50] 說法就錯了
[00264.50-00266.34] 其實從這裡不能看出
[00266.34-00267.46] 自下頭開始
[00267.46-00268.74] 我們的圖童崇拜
[00268.74-00269.66] 其實就是什麼
[00269.66-00271.54] 其實就是龍
[00271.54-00273.34] 中國龍到底長啥樣
[00273.34-00274.18] 我在這裡
[00274.18-00275.10] 給同學們
[00275.42-00277.02] 放了一張小小的圖片
[00277.02-00278.26] 大家可以看一下
[00278.26-00279.10] 在這個地方
[00279.10-00279.94] 我們所說的
[00279.94-00280.62] 中國龍
[00280.62-00281.14] 你看
[00281.14-00282.22] 這是龍身
[00282.22-00286.38] 对吧,这龙身,这呢是龙头,我们说是龙手
[00286.38-00291.06] 所以这是我们发现的最早的龙行器,发现最早的龙行器
[00291.06-00295.02] 那这是我们所说的第二个,就是二里头文换,二里头文换
[00295.02-00296.78] 那我们接着来往下看了
[00296.78-00300.10] 那我们都知道,当下起成为国军之后
[00300.10-00303.06] 其实下起到了晚年的时候,也传说
[00303.06-00308.02] 说下起就不在向之前那么情症了,也是相对来说的,比较喜欢玩
[00308.02-00312.18] 那下起死后呢,太康,也是下起的大儿子
[00312.18-00312.90] 太子嘛
[00312.90-00314.30] 就是太康激味了
[00314.30-00315.58] 但太康激味之后
[00315.58-00316.90] 太康不是啥好人
[00316.90-00318.42] 汪言无道吃喝飘毒
[00318.42-00319.42] 要样精通
[00319.42-00321.02] 所以在这种情况之下
[00321.02-00322.66] 太康在这个
[00322.66-00324.14] 他只证的期间
[00324.14-00325.34] 他的兄弟之间
[00325.34-00327.18] 就发生了这种权力的征度
[00327.18-00329.30] 因为当时下期有五个孩子
[00329.30-00330.74] 兄弟之间有打起来了
[00330.74-00332.78] 他们内部一旦内度
[00332.78-00334.46] 打得特别的这种热闹
[00334.46-00335.74] 不可开胶的时候
[00335.74-00338.02] 外部就开始继与他们了
[00338.02-00339.42] 所以在这种情况之下
[00339.42-00341.22] 给到了一个叫东一族的手脸
[00341.22-00341.86] 谁呢
[00341.86-00345.06] 后一在这种情况下就称他们内乱
[00345.06-00348.50] 然后即帮了太康 躲得了仇政
[00348.50-00351.82] 这种情况下我们所说的下仇
[00351.82-00354.26] 就从原本的太康的手里
[00354.26-00356.18] 这个王妹就到了后一的手中
[00356.18-00359.66] 这个事情就被称着为叫做太康失谷
[00359.66-00361.34] 就被称着叫太康失谷
[00361.34-00364.50] 太康我们所说的在被躲得政权之后
[00364.50-00365.42] 和他的弟弟
[00365.42-00367.30] 他的弟弟叫啥叫做重康
[00367.30-00369.58] 太康的弟弟叫做重康
[00369.58-00373.54] 和他的弟弟一起跑到了我们所说的东方
[00373.54-00375.14] 最后一些死在那儿了
[00375.14-00376.98] 而中康的儿子是谁呢
[00376.98-00379.38] 那就以中康的儿子叫做笑
[00380.50-00382.18] 也就是太康的植子
[00382.18-00384.58] 中康的儿子叫做笑
[00384.58-00388.34] 后来这个笑就被韩族捉到了
[00388.34-00390.66] 被韩族捉到了之后就刺死了
[00390.66-00392.14] 但相死了之后
[00392.14-00394.14] 他有一个妻子当时怀孕了
[00394.14-00395.62] 就是相的老婆
[00395.62-00397.42] 当时怀孕了之后跑掉了
[00397.42-00399.54] 跑掉了之后就回到了老家
[00399.54-00401.42] 回到老家生了一个孩子
[00401.42-00403.90] 这个孩子叫做售康
[00403.90-00404.90] 这个售康
[00404.90-00407.10] 售康就在老家这个地方
[00407.10-00409.90] 就一直带着当了地方小官
[00409.90-00412.10] 后来他就去到了我们所说的
[00412.10-00414.26] 有于事的这个世族部落这边
[00414.26-00416.70] 然后当了有于事地方的官
[00416.70-00419.06] 然后在有于事的帮助之下
[00419.06-00420.66] 夺回了下场
[00420.66-00422.58] 这个就被称为叫做山
[00422.58-00424.46] 叫做售康中心
[00424.46-00426.98] 这个就被称为叫做售康中心
[00426.98-00429.14] 在这里面大家注意的是什么呢
[00429.14-00430.62] 交通你们去实际的点
[00430.62-00431.74] 就是同学要记得
[00431.74-00433.90] 太康吃火和烧烫中心
[00433.90-00435.50] 他发生在哪个潮带
[00435.50-00437.10] 这里方一般在考察的时候
[00437.10-00438.90] 就会考察我们所说的
[00438.90-00441.06] 事件以及我们所说的
[00441.06-00442.18] 潮带的对应
[00443.46-00445.86] 事件以及潮带的对应
[00445.86-00447.58] 在这里面我们就知道
[00447.58-00449.10] 太康吃火烧烫中心
[00449.10-00450.38] 发生在我们所说的
[00450.38-00453.02] 下潮时期发生在下潮时期
[00453.02-00454.70] 这是我们所说的
[00454.70-00456.34] 有外下潮的相的事件
[00456.34-00457.62] 但是我们也都知道
[00457.62-00458.78] 任何一个网潮
[00458.78-00462.18] 他有商生期,他就一定会有默罗的这一天
[00462.18-00467.42] 所以下朝的灭网就是在下国的最后一个国军身上
[00467.42-00468.42] 这个人叫个什么呢?
[00468.42-00471.90] 同们把它标主一下,叫做下节下节
[00471.90-00475.22] 我们现在说说一个人他惨报荒言无读
[00475.22-00476.66] 我们经常怎么形容他?
[00476.66-00479.18] 我们说叫做有如节驵
[00479.18-00481.86] 有如节驵之后,这个节驵之后什么呢?
[00481.86-00484.90] 就是下节下节下节下节下节
[00484.90-00485.86] 下节这个人呢?
[00485.86-00487.62] 其实打造能力超级强的
[00487.62-00489.10] 就是非常擅长打仗
[00489.10-00490.50] 但是它不太擅长
[00490.50-00491.62] 这里这个国家
[00491.62-00493.22] 在下跌统至前期的时候
[00493.22-00494.82] 它可以个人的武力
[00494.82-00495.62] 就为此住
[00495.62-00496.98] 但到了后期的时候
[00496.98-00498.10] 就不太好事了
[00498.10-00499.30] 而且相传
[00499.30-00500.90] 下跌到了后期的时候
[00500.90-00502.02] 它有一个非责
[00502.02-00504.10] 它的非责就做墨席
[00504.10-00506.62] 也是大美女长得非常地好看
[00506.62-00507.62] 但是这个人
[00507.62-00511.62] 墨席本身也是不太喜欢笑
[00511.62-00512.42] 这种情况
[00512.42-00513.82] 下跌为了淘宽性
[00513.82-00515.70] 就是大肆的修剑工店
[00515.70-00517.34] 也是让百姓名不留生
[00517.34-00518.98] 所以老百姓热过不下去了
[00518.98-00519.82] 之后反了
[00519.82-00520.86] 这有情况之下
[00520.86-00521.70] 我们就知道
[00521.70-00524.22] 商唐连和各方讨发下节
[00524.22-00526.54] 在我们所说的明条这个地方
[00526.54-00527.78] 机败了下节
[00527.78-00529.26] 灭了下场
[00529.26-00531.46] 从而在三千株后的推
[00531.46-00532.50] 剑之下
[00532.50-00534.34] 就在三千株后的推剑之下
[00534.34-00537.46] 商唐就成为了我们所说的新的天子
[00537.46-00538.54] 那下场的灭网
[00538.54-00540.34] 其实是和一场战争有关系
[00540.34-00541.18] 这样战争的
[00541.18-00542.38] 同没有记在旁边
[00542.38-00543.14] 给他记住
[00543.14-00545.02] 就叫做明条之战
[00545.70-00548.22] 就叫做明條之戰
[00548.22-00552.62] 所以在這裡大家知道明條之戰是下朝滅王的戰役
[00552.62-00553.90] 是下朝滅王的戰役
[00553.90-00556.58] 那這次下朝到此結束
[00556.58-00560.26] 下朝被面我們所說的是由商唐啟兵推翻的
[00560.26-00563.38] 於是我們所說的商唐就建立了
[00563.38-00566.18] 我們所說的幾下朝之後的第二個王朝
[00566.18-00568.10] 就是我們所說的商唐
[00568.10-00569.66] 商唐定度在哪呢
[00569.66-00571.34] 同一邊在這裡的標準出來
[00571.34-00574.42] 叫做商唐定度在博城
[00574.42-00578.14] 实在现在的我们所说的河南的商修一代
[00578.14-00579.18] 河南商修一代
[00579.18-00582.94] 这是我们所说的商潮的开国 商潮的开国
[00582.94-00585.02] 在商潮建立之后
[00585.02-00588.02] 其实它出现了好几次千度的情况
[00588.02-00590.62] 其中有一次千度就是我们所说的
[00590.62-00591.94] 就是盘工千音
[00591.94-00593.74] 需要同一们重点掌握的
[00593.74-00595.94] 其实是这个盘工千音
[00595.94-00598.46] 盘工就是商王盘工
[00598.46-00600.94] 把都成千道了我们所说的音
[00600.94-00602.30] 这个音在哪里
[00602.30-00606.14] 大家知道是在我们所说的今天的河南的安阳
[00606.14-00607.42] 是在河南的安阳
[00607.42-00610.10] 所以我们所说的商朝也被称着为叫做
[00610.10-00614.18] 阴伤而安阳也被称着叫做阴区
[00614.18-00616.62] 所以在这里面会考察一个什么点呢
[00616.62-00618.78] 就给考察我们所说的这个阴
[00618.78-00621.50] 它到底是代史的今天的哪里
[00621.50-00624.22] 如果说到阴区它是指的是呢
[00624.22-00627.50] 大家要知道这个点是需要同学们重点去掌握的
[00627.50-00629.82] 而盘工把这个都成千盗了
[00629.82-00632.64] 和按揚之后商潮从此稳定下来
[00632.64-00633.82] 至于
[00634.32-00636.48] 盘当他为啥则要牵渡
[00636.48-00638.52] 其实他是有好具种说法的
[00638.52-00639.80] 其中有两种说法
[00639.80-00641.34] 第六说法就是说
[00641.34-00643.78] 因为他是在黄河流一监督
[00643.78-00645.34] 所以在黄河流一监督
[00645.34-00647.74] 这种情况之下咱们都知道母亲和
[00647.74-00648.96] 皮膝有点大
[00648.96-00650.82] 动不动就和水泛烂
[00650.82-00651.96] 这种情况之下
[00651.96-00654.14] 日子过不了了总要去牵渡
[00654.14-00655.16] 这种说法
[00655.16-00656.92] 相对来说没有什么睡复力
[00656.92-00660.64] 对吧 因为在黄和夫婧建的这种珠华国也好
[00660.64-00662.32] 或者是我们所说的国家也好
[00662.32-00663.56] 还挺多的
[00663.56-00666.08] 那这种情况之下也没见其他总签读
[00666.08-00667.24] 所以这种说法
[00667.24-00669.52] 就相对来说不太能够战斗住角
[00669.52-00672.72] 一种还有一种是比较靠普一点的说法
[00672.72-00673.56] 说的是啥呢
[00673.56-00674.40] 就是因为
[00675.04-00675.92] 商吵
[00675.92-00677.36] 它其实总内斗
[00677.36-00678.80] 而商吵一旦内斗的
[00678.80-00680.92] 它就是我把这个国王干掉了我上去了
[00680.92-00682.76] 第二天别人又把我干掉了
[00682.76-00683.80] 那这种情况之下
[00683.80-00684.52] 我们就知道
[00684.52-00685.40] 它这种情况之下
[00685.40-00686.88] 杀掉一个国王
[00686.88-00690.72] 那就有我们所说的新的说法就要牵到一个新的读程
[00690.72-00693.92] 所以它内乱不断的发生
[00693.92-00696.08] 所以导致它牵度比较频繁
[00696.08-00698.20] 那盘工把读程牵到阴之后
[00698.20-00700.08] 相对来说稳定了其实说白了
[00700.08-00701.96] 就是它的内不斗争
[00701.96-00703.24] 就不是这么明显了
[00703.24-00705.04] 所以这是我们所说的盘工
[00705.04-00706.28] 牵银的一种说法
[00706.28-00709.08] 大家要知道可能是有两种说法在里面
[00709.08-00710.80] 那这是盘工牵银
[00710.80-00711.96] 那盘工呢
[00712.48-00714.60] 牵银上早从市稳定下来之后
[00714.60-00716.64] 商朝就在不断的发展
[00716.64-00719.74] 到了商朝的最后一个国军是谁呢
[00719.74-00723.10] 大家都知道就是我们所说的商周往
[00723.10-00725.40] 我们都看过电视剧吗
[00725.40-00726.44] 风神宝
[00726.44-00726.84] 对吧
[00726.84-00728.48] 那我们都知道商周往
[00728.48-00729.24] 最后呢
[00729.24-00730.64] 和烧毁了路台
[00730.64-00732.44] 最后死在了路台之上
[00732.44-00735.12] 里面有很多的这种神话传说的故事
[00735.12-00736.60] 比如说江子亚
[00736.60-00737.64] 比如说打击
[00737.64-00739.44] 这个都是我们比较熟悉的
[00739.44-00742.24] 商朝灭亡是最后是由周往
[00742.24-00744.08] 然后摔金淘发商周往
[00744.08-00745.88] 最后呢两句截战于木野
[00745.88-00748.52] 所以在木野之戰之後 商朝面王
[00748.52-00750.52] 所以大家知道商朝面王的戰異
[00750.52-00751.96] 給他標準在旁邊
[00751.96-00755.32] 就說我們所說的木野之戰
[00757.64-00760.12] 就是我們所說的木野之戰
[00760.12-00762.60] 這是我們所說的商朝面王
[00762.60-00767.64] 而木野之戰之後 周五王就建立了我們所說的周五朝
[00767.64-00769.32] 就建立了我們所說的周朝
[00769.32-00771.72] 於是西州時期就開始了
[00771.72-00773.48] 那我們所說的周朝
[00773.48-00774.20] 同意沒有知道
[00774.20-00777.20] 我们所说的周 它其实是分两段
[00777.20-00779.68] 一段是我们所说的西州
[00779.68-00782.20] 还有一段是我们所说的东州
[00782.20-00786.20] 而东州在时间化分上又化分出来了两个时期
[00786.20-00788.20] 一个是春秋时期
[00788.20-00791.80] 还有一个是我们所说的战国时期
[00791.80-00798.60] 那么把西州也好 东州也好 统称为周朝 统称为周朝
[00798.60-00800.88] 而周朝 朋友要知道
[00800.88-00803.84] 这里面出现了第一个考点 需要我们去时记
[00803.84-00806.00] 这个州朝大家一定要记得
[00806.00-00807.96] 它是我国在历史上
[00807.96-00810.40] 就是存在时间
[00811.60-00813.20] 最长的朝代
[00816.20-00818.76] 存在时间最长的王朝
[00818.76-00820.92] 或者存在时间最长的朝代
[00820.92-00822.80] 那有多长的来看一下
[00822.80-00825.16] 它是从公元前10,46年
[00825.16-00827.12] 一直到公元前255年
[00827.12-00829.64] 是不江近了800年的时间
[00829.64-00832.04] 所以在历史上没有任何一个王朝的存在时间
[00832.04-00833.20] 像它这么长了
[00833.20-00839.00] 至于周朝或者周王天下八本年的小小的故事
[00839.00-00840.52] 然后大家也没有注意到
[00840.52-00844.40] 当年江太宫又于江上的时候
[00844.88-00848.68] 周文王就去拜议江子丫然后
[00849.28-00851.28] 最后就把江子丫请出山了
[00851.28-00853.80] 但是江子丫出山其实是有一个条件
[00853.80-00855.72] 江子丫说请我下山可以
[00855.72-00857.52] 但是我不能走下山去
[00857.52-00858.80] 于是大就说
[00858.80-00862.16] 文王可以说先生只要下山能帮我
[00862.16-00864.44] 我就把我的车念让给你做
[00864.44-00865.56] 那江格亚看了一下说
[00865.56-00866.68] 我不想做你的车
[00866.68-00868.32] 对吧 我做的车啥用呢
[00868.32-00869.44] 他说要不这样吧
[00869.44-00870.80] 你背我下山吧
[00870.80-00872.40] 当时所有人都非常惊议
[00872.40-00873.36] 说我的天呢
[00873.36-00875.64] 你这要闻网悲你下山
[00875.64-00878.00] 那当时周恩王就说没问题
[00878.00-00879.20] 我悲你下山
[00879.20-00881.04] 于是他就悲着江格亚
[00881.04-00882.24] 一直往三下走
[00882.24-00883.60] 然后走到后面的时候
[00883.60-00884.36] 闻王就说
[00884.36-00885.32] 说不行不行
[00885.32-00886.60] 我实在背不动了
[00886.60-00887.68] 江格亚就问他说
[00887.68-00889.04] 你真的背不动了呢
[00889.04-00890.56] 要不你再走两步呗
[00890.56-00891.88] 没事你就走两步
[00891.88-00892.38] 对吧
[00892.38-00893.76] 然后当时这个文王就说
[00893.76-00894.56] 说不行不行
[00894.56-00895.02] 说不行
[00895.02-00895.60] 上次入了
[00895.60-00896.56] 真的走不动了
[00896.56-00897.96] 然后就把江泽要放进来了
[00897.96-00899.68] 当时江泽要说了一句什么话
[00899.68-00903.60] 说周王带他多少步呢
[00903.60-00904.52] 八百步
[00904.52-00905.68] 那这种情况之下
[00905.68-00907.84] 就是周朝天下八百年
[00907.84-00910.08] 所以当时就有这么一个故事在里面
[00910.08-00910.44] 当然了
[00910.44-00911.80] 他是一个传说
[00911.80-00913.52] 但是这里面能够看得出来
[00913.52-00914.96] 周朝存去时间八百年
[00914.96-00916.32] 是相当之长的了
[00916.32-00918.68] 所以他是在历史上存在时间
[00918.68-00919.96] 最长那个王朝
[00919.96-00921.08] 那大家要注意一下
[00921.08-00923.08] 这是我们所说的第一个
[00923.08-00925.68] 我们所说的西州的存序时间
[00925.68-00928.04] 西州的建立我们都知道
[00928.04-00932.36] 其实是在文王搞了一系列的铺电的记录之上
[00932.36-00935.16] 然后五王绝战于木眼建立了猪炒
[00935.16-00936.44] 所以在这种情况之下
[00936.44-00940.52] 周炒定度在后津同圆把它标注出来
[00940.52-00945.40] 定度以后在津闪西西安是在闪西西安
[00945.40-00949.24] 所以大家注意一下这是第二个需要同们去实际的店
[00949.24-00951.04] 那我们在很多的考试里面
[00951.04-00952.64] 其实有考到过这个点
[00952.64-00956.04] 包括我们2023年的核南三制衣服考试的时候
[00956.04-00959.44] 都考过我们所说的这个朝代建立
[00959.44-00961.44] 并度在西安的西州
[00961.44-00964.44] 所以同时我们再去学习整个我们的
[00964.44-00966.04] 历史知识的时候
[00966.04-00967.24] 一定要注意一点
[00967.24-00968.44] 这个点就是
[00968.44-00970.04] 我们要把握中一些细节
[00970.04-00972.04] 最起码要知道他大概的时间
[00972.04-00974.84] 并度的多成以及中间的事件
[00974.84-00976.84] 这个是要给他穿下来的
[00976.84-00978.84] 好 那这是我们所说的西州的
[00979.24-00981.88] 建立,就是我們所說的西州建立
[00981.88-00985.38] 西州建立之後經過了我們所說的不斷發展
[00985.38-00987.58] 他總會出現一些所說的
[00987.58-00989.38] 一些不找私留的軍王
[00989.38-00993.20] 那這種情況之下就出現了我們所說的第二個世界
[00993.20-00994.76] 就是國人暴動
[00994.76-00997.16] 那同樣知道國人暴動出現在
[00997.16-01000.04] 哪一個我們所說的軍王的時期呢
[01000.04-01002.00] 是出現在我們所說的州立王
[01003.48-01004.56] 是州立王
[01004.56-01006.76] 州立王這個人有點奇怪
[01006.76-01008.30] 在他的人生信條當中
[01008.30-01010.54] 他认为天下的东西都是他的
[01010.54-01013.14] 那其实这也没有什么不对的地方
[01013.14-01014.74] 对吧 因为他是天下共主
[01014.74-01017.26] 但是他认为东西都是他的
[01017.26-01018.94] 所以人都不能动
[01018.94-01022.02] 也就是老百姓的不能上山去采集
[01022.02-01023.82] 也不能下海去打鱼
[01023.82-01024.94] 反正东西都是他的
[01024.94-01027.26] 12时上山采集下海打鱼
[01027.26-01030.26] 然后被他发现了他就要把老百姓出死
[01030.26-01031.38] 所以这样的日子
[01031.38-01033.10] 大家其实是过不下去的
[01033.10-01036.26] 于是老百姓就在那边就切削死予
[01036.26-01038.00] 死下就一輪州立網
[01038.00-01039.84] 在一輪州立網的時候
[01039.84-01041.88] 就被州立網直到了
[01041.88-01043.72] 然後就有大承
[01043.72-01044.78] 宣見立網
[01044.78-01046.50] 說你不能這個樣子
[01046.50-01047.00] 對吧
[01047.00-01049.32] 你看你如果說這個樣子的話
[01049.32-01051.36] 你不思不時謹證的話
[01051.36-01052.90] 大家都不喜歡你
[01052.90-01054.70] 就用情緩著大陸都會一輪你
[01054.70-01055.46] 州立網說
[01055.46-01057.10] 我可以不讓他們說
[01057.10-01059.94] 於是就拍我們所說的國家的物事
[01059.94-01061.60] 到處去監視老百姓
[01061.60-01063.02] 就監視他們不讓他們說
[01063.02-01063.78] 誰說了
[01063.78-01064.42] 讓我知道了
[01064.42-01065.46] 我就把他頭砍掉
[01065.46-01066.44] 我就杀了他
[01066.44-01068.74] 所以老百姓活得很不容易
[01068.74-01070.98] 在道路上都不能说话
[01070.98-01073.98] 互相只要如果对周里王表示不满的话呢
[01074.54-01076.62] 在这种情况之下不能说话
[01076.62-01078.62] 只能用眼神交流
[01078.62-01080.38] 我给你眼神你懂了吧
[01080.38-01081.26] 他不是人的
[01081.26-01083.82] 然后你这边给我眼神说我懂了
[01083.82-01085.02] 所以在这种情况之下
[01085.02-01085.98] 就出现了什么呢
[01085.98-01086.78] 大家注意一下
[01086.78-01089.14] 就出现了我们所说的这种情况
[01089.14-01091.46] 这也可以说是一个点顾了
[01091.46-01092.14] 大家注意
[01092.14-01095.54] 叫做啥叫做道路营
[01095.54-01098.14] 叫做道路营
[01098.14-01101.14] 只是互相没有办法用云言来交流了
[01101.14-01102.54] 只能用眼神来交流
[01102.54-01103.94] 而这种情况之下
[01103.94-01105.74] 周六王还感到很自豪
[01105.74-01107.14] 他就跟那个大臣说
[01107.14-01109.14] 他说你看你说他们意了我
[01109.14-01111.14] 我现在能让他们把嘴都闭上
[01111.14-01112.14] 他们都不敢说了
[01112.14-01115.14] 这种话也进不到我的耳朵里了
[01115.14-01117.14] 大臣就跟他说了也去什么
[01117.14-01119.14] 说你可以防止住他们说话
[01119.14-01121.14] 但是你要注意一个点
[01121.14-01123.54] 叫做啥呢叫做房民之口
[01123.54-01124.94] 審于房川呢
[01127.06-01129.54] 房民之口審于房川
[01131.38-01132.78] 你读是读不住的
[01132.78-01134.22] 总有一天会怎么样
[01134.22-01136.78] 总有一天老百姓会饭了的
[01136.78-01139.06] 但是当时周六王不听他的
[01139.06-01139.82] 后来呢
[01139.82-01140.98] 国人暴动
[01140.98-01142.10] 这里面的国人呢
[01142.10-01143.18] 他其实只得是
[01143.18-01144.62] 我们所说的后京
[01144.62-01146.22] 就是首都成内的人
[01146.22-01146.78] 造反
[01146.78-01148.74] 然后把周六王给干走了
[01148.74-01151.26] 周律王的最後死在了外地
[01151.26-01152.26] 周律王被干跑了
[01152.26-01153.90] 周律王被干跑了之後
[01153.90-01154.90] 大家知道
[01154.90-01157.50] 這個國家其實就沒有國王了
[01157.50-01158.78] 沒有國王了雜誌
[01158.78-01160.06] 這種情況之下
[01160.06-01161.34] 我就兩個人
[01161.34-01163.30] 一個是我們所說的周工
[01164.50-01165.90] 一個是我們所說的
[01165.90-01166.62] 少工
[01166.62-01167.98] 他們兩個就實行了
[01167.98-01169.98] 我們所說的共和行政
[01174.58-01175.62] 共和行政
[01175.62-01176.58] 也是我們所說的
[01176.58-01178.90] 叫周少共和
[01178.90-01181.18] 后来在共和行政之后
[01181.18-01183.50] 就是我们所说的周立王的儿子
[01183.50-01185.66] 就是周宣网几位了
[01185.66-01187.34] 宣网是个好皇帝
[01187.34-01188.54] 而且非常的秦政
[01188.54-01189.90] 国家一度非常富强
[01189.90-01192.06] 但是等宣网了去世了之后
[01192.06-01193.30] 他的儿子是谁呢
[01193.30-01194.94] 他的儿子就是周悠网
[01194.94-01195.86] 你听这个悠
[01195.86-01197.22] 他就不是什么好字
[01197.22-01198.54] 像这里面我们所说的
[01198.54-01199.82] 什么周立网
[01199.82-01201.22] 周悠网
[01201.22-01201.90] 大家都知道
[01201.90-01203.94] 这是他们死后的事后
[01203.94-01205.18] 他们死后的事后
[01205.18-01208.12] 这个厉力代表的是什么 杀路无辜远力
[01208.12-01209.92] 那这个优呢 也不是杀好词
[01209.92-01213.02] 所以果然到了我们所说的周优王的这个时期
[01213.02-01214.76] 我们就知道它从爱谁呢
[01214.76-01218.02] 同样知道它从爱的是我们所说的包刺
[01218.02-01220.14] 所以到了周优王时期从爱
[01220.14-01220.84] 包刺
[01220.84-01222.02] 然后不仅要从爱他
[01222.02-01223.54] 还要把包刺的这个
[01223.54-01224.98] 我们所说的孩子
[01224.98-01225.90] 立为太子
[01225.90-01227.18] 包刺也是一个名语
[01227.18-01228.34] 但是这个名语呢
[01228.34-01229.96] 相对来说有点高冷
