[00000.00-00005.92] 好,接着来学习一下马征英当中的第二章就是资本主义的本质
[00477.90-00479.50] 以前的时候市场当中只流通
[00479.50-00480.54] 我们所说的不笔
[00480.54-00481.98] 相流等等这东西
[00481.98-00484.10] 现在人都可以在市场当中卖卖了
[00484.10-00485.30] 所以这种情况之下
[00485.30-00488.62] 劳动力成为标志就意味着原本简单的商品生产
[00488.62-00490.94] 我就只生成简单的物品变成了什么
[00490.94-00492.74] 资本主义商品生产的阶段
[00492.74-00495.42] 也就是完全了一次经济转型
[00495.42-00497.26] 或者是经济模式的这种转型
[00497.26-00498.46] 所以同一面就知道
[00498.46-00499.38] 资本主义经济
[00499.38-00501.34] 它其实慢慢转化来的
[00501.34-00503.78] 它这里面就强调要雇用老动
[00503.78-00505.38] 那它雇用的这个老动从来
[00505.38-00506.54] 从市场当中来
[00506.54-00508.14] 为什么能在上当中买
[00508.14-00509.82] 就是因为原本的农面
[00509.82-00510.70] 啥都没有了
[00510.70-00511.74] 到了市场当中去
[00511.74-00513.50] 所以老动立场为了商品
[00513.50-00514.22] 所以它说了
[00514.22-00516.30] 老动立场一商品是雇用
[00516.30-00518.54] 劳动制形成的一个前提
[00518.54-00519.78] 大家在这里要知道
[00520.50-00521.94] 这是它的一个大背景
[00521.94-00523.50] 那这个大背景确定了之后
[00523.50-00524.50] 我们就知道了
[00524.50-00526.94] 就可以也输立出来这么几个考察点
[00526.94-00527.82] 那这个考察点的
[00527.82-00530.38] 第一个就是劳动力为什么会成为商品
[00530.38-00531.82] 劳动力成为商品
[00531.82-00533.06] 其实需要两个条件
[00533.06-00536.46] 这个点做一个一星级的实际型的点去掌握就行了
[00536.46-00538.10] 劳动力成为商品两个条件
[00538.10-00540.66] 第一个叫做必须有人身自由
[00540.66-00542.22] 在最开始的时候咱们说了
[00542.22-00544.30] 如果还是封建制经济的时候
[00544.30-00546.90] 那这个农民是老老的被绑在土地上
[00546.90-00549.58] 你想从市场当中去买给你干活的人
[00549.58-00550.86] 我们就送他两个赞
[00550.86-00551.90] 你做梦对吧
[00551.90-00553.34] 所以在这种情况之下
[00553.34-00555.78] 想要在市场当中买到老东里
[00555.78-00556.74] 因为他是商品
[00556.74-00558.06] 老东里成为商品
[00558.06-00559.42] 那这种情况之下首先
[00559.42-00561.54] 第一个他必须要在市场当中流通
[00561.54-00562.50] 那怎么流通呢
[00562.50-00563.78] 他必须是自由的
[00563.78-00564.74] 所以在这里面
[00564.74-00566.50] 第一个叫做人身自由
[00566.50-00567.82] 自由到什么程度
[00567.82-00569.30] 自由到依无所有
[00569.30-00571.18] 但反而我还能有一点方法
[00571.18-00572.62] 我都不会去卖我自己
[00572.62-00573.06] 对吧
[00573.06-00573.90] 的勞动力了
[00573.90-00574.66] 所以在这里面
[00575.66-00576.46] 提到了一个点
[00576.58-00578.02] 就是勞动力成为商品
[00578.02-00579.18] 它需要两个条件
[00579.18-00581.34] 第一个拿赵作人生自由
[00581.34-00582.98] 第二个就是我们所说的什么
[00582.98-00584.26] 依无所有
[00584.26-00586.34] 所以在这里面同行的一定
[00586.34-00588.66] 要把它去标注清楚
[00588.66-00590.50] 所以这是勞动力成为商品的
[00590.50-00591.98] 两个条件只是第一个
[00591.98-00593.94] 那勞动力成为商品之后
[00593.94-00595.06] 货币就干了呢
[00595.06-00597.06] 货币就转化为资本了
[00597.06-00597.98] 所以在这里面
[00597.98-00600.86] 勞动力成为商品是货币转化的资本的全体
[00600.86-00603.14] 这个点同时先不用去招级
[00603.14-00605.94] 你先把勞动力成为商品的两条件理解好
[00605.94-00607.26] 结合咱们的背景
[00607.26-00608.78] 勞动力成为商品之后
[00608.78-00610.22] 它会带来什么问题呢?
[00610.22-00611.10] 拿住一下
[00611.10-00612.74] 勞动力成为商品之后
[00612.74-00614.34] 它就会带来一个新的问题
[00614.34-00616.42] 就是我做一个勞动力
[00616.42-00618.42] 我和普通的商品
[00618.42-00620.94] 有着本人制上的差异
[00620.94-00622.22] 那有着本制上的差异
[00622.22-00623.26] 咱们来分析一下
[00623.26-00625.22] 如果现在是一个普通商品
[00626.42-00627.26] 同们看
[00627.26-00629.46] 如果现在是一个普通商品的话
[00629.46-00632.54] 假設現在這個普通商品中是礦圈說
[00634.06-00635.86] 這種情況之下這個礦圈說
[00635.86-00637.90] 它一定會具有使用價值吧
[00637.90-00642.26] 因為我們說了商品的二零素就是由使用價值和它的價值
[00642.26-00644.06] 如果現在這篇礦圈說
[00644.06-00646.86] 他們來說分析下礦圈說的使用價值在於什麼
[00647.62-00649.18] 如果是礦圈說用來幹什麼
[00649.18-00650.30] 快拿來喝的
[00650.30-00653.54] 所以它的使用價值在於喝能夠結可
[00653.54-00654.02] 對吧
[00654.02-00655.50] 它的價值在於什麼
[00655.50-00656.86] 它的價值就在於
[00656.86-00663.66] 你买宽圓市,比如说我大东北,不知道大家没有看得确高门传奇,有一个川方镜头,然后旁边有个圈圈宽市
[00663.66-00665.66] 那东北全球宽市有一块钱一片
[00666.66-00669.26] 不知道现在是不是两块,但是我记得是一块
[00669.26-00673.66] 那一看,宽圈市有一块钱一片,这个就是什么?这是他的价值
[00673.66-00677.66] 那对于普通商品来说,你看价值是一块钱,这个没想好说的
[00677.66-00683.06] 主要是普通商品的使用价值,一般情况都是怎么样,一般情况都是一次性的
[00683.06-00686.06] 如果说一次性的,也可能不太准确,大家去理解
[00686.06-00688.70] 我们所说的普通商品的使用价值
[00688.70-00690.70] 它是有限的
[00692.54-00694.26] 它是有限的 什么叫有限呢
[00694.26-00696.42] 比如说我买了这个框圈水
[00696.42-00698.30] 喝完了的时候 框圈水就没有了
[00698.30-00700.38] 对吧 是不是这个使用价值就完结了
[00700.38-00701.74] 我买了一支签比
[00701.74-00704.10] 这个签比我用到后面实在没有办法写字了
[00704.10-00705.38] 都已经写不出来了
[00705.38-00707.54] 那这个签比的使用价值是不是就完结了
[00707.54-00709.30] 所以从某种程度来说
[00709.30-00711.42] 我们会发现普通商品
[00711.42-00712.90] 它的使用价值是什么
[00712.90-00715.86] 普通商品它的使用价值是有限的
[00715.86-00718.02] 但是作为劳动力商品
[00718.02-00720.70] 比如说同们现在别把我看成一个人
[00720.70-00722.58] 同们现在就把我看成一个什么
[00722.58-00723.62] 看成一个劳动力
[00723.62-00726.58] 我现在在假设我在之前的时候
[00726.58-00729.26] 在某一家公司我的前东压认职的时候
[00729.26-00730.50] 就用情况之下你看
[00730.50-00733.66] 我对于前东压来说就是他买我的
[00733.66-00735.70] 我就是这个公司的什么劳动力
[00735.70-00739.14] 我就是我的前东压在市场当中买的什么
[00739.14-00740.70] 买的商品
[00740.70-00742.86] 你看我作为一个劳动力商品
[00742.86-00744.66] 我既然是商品了同学们
[00744.66-00745.74] 我竟然是商品了
[00745.74-00748.18] 我也具有使用价值
[00748.18-00749.42] 和我们所说的什么
[00749.42-00750.54] 和我们所说的价值
[00750.54-00751.62] 他们分析一下
[00751.62-00753.10] 我现在不是一个人
[00753.10-00754.50] 我现在就是一个劳动力
[00754.50-00755.86] 市场当中的一个商品
[00755.86-00756.94] 我做一个商品
[00756.94-00758.18] 我的使用价值在什么
[00758.18-00760.86] 对于我的前东价来说
[00760.86-00762.02] 我的使用价值在什么
[00763.02-00764.02] 我能干啥啊
[00764.02-00765.38] 我在巴巴尔的干啥呢
[00765.38-00766.78] 我在巴巴尔给人上课
[00766.78-00767.14] 对吧
[00767.14-00768.74] 所以我的使用价值在于
[00768.74-00769.58] 讲课
[00769.58-00770.90] 对于我的前东价值
[00770.90-00772.02] 我的价值在哪
[00772.02-00772.94] 我的价值就在
[00772.94-00774.42] 他给我开的公司
[00774.42-00776.98] 所以在这里隐藏了第一个小的细节的点
[00776.98-00777.82] 大家注意一下
[00778.30-00779.90] 劳动力商品的价值
[00779.90-00781.22] 就是公子
[00781.22-00781.82] 明白了吧
[00781.82-00783.50] 劳动力商品的价值就是公子
[00783.50-00785.46] 而我的手价值在于讲课
[00785.46-00786.82] 问题就出在这
[00786.82-00789.14] 我和普通商品最大的区别
[00789.14-00790.30] 就在于我的什么上
[00790.30-00792.14] 我和普通商品最大的区别
[00792.14-00794.14] 就在于我的手价值上
[00794.34-00795.74] 对于普通商品来看
[00795.74-00797.22] 它的手价值是有限的
[00797.22-00798.38] 但是对于我来说
[00798.38-00799.62] 我的手价值是什么
[00799.62-00800.98] 是无限次的
[00801.86-00802.78] 这个能理解吗
[00802.78-00804.22] 我的手价值是无限次的
[00804.22-00806.14] 这老师你的神家怎么出现此来
[00806.14-00807.30] 比如说我以前讲课的时候
[00807.30-00807.98] 我要代班
[00807.98-00808.30] 对吧
[00808.30-00809.58] 我代班讲课的时候呢
[00809.58-00811.18] 我这一周把这个班讲完了
[00811.18-00812.54] 我下一周还要讲下一个班
[00812.54-00813.70] 然后我在讲下下班
[00813.70-00814.66] 再讲下下班
[00814.66-00815.98] 我联系出差80一天
[00815.98-00817.46] 我是不是都在不停的上课
[00817.46-00819.14] 我说带过不同的班刺
[00819.14-00820.94] 那这里面我们就会发现
[00820.94-00823.18] 我的神家如在我的讲课
[00823.18-00824.82] 它其实无限循环刺的
[00824.82-00826.34] 这是我可以一直讲下去
[00826.34-00826.74] 对吧
[00826.74-00828.26] 如果生命没有中节的话
[00828.26-00830.02] 相对于普通商品的
[00830.02-00831.66] 神家值得有限性
[00831.66-00832.82] 那劳动力商品
[00832.82-00834.88] 他的手鸡只是什么无限的
[00834.88-00837.46] 我的手鸡之后不能说我讲了一个帮次
[00837.46-00839.38] 我批则打包了一下我的手鸡之中结了
[00839.38-00841.58] 我人为了这不太可能对吧
[00841.58-00843.70] 所以我的手鸡最劳动力上平来看
[00843.70-00844.74] 它是无限次的
[00844.74-00847.74] 而这种无限次的手鸡之无限次的奖克
[00847.74-00849.06] 我就可以怎么样
[00849.06-00850.38] 循环使用下去
[00850.38-00853.46] 从而给公司带来巨大的财富和收益
[00853.46-00853.98] 对不对
[00853.98-00855.62] 所以在这里面我们就会发现
[00855.62-00857.22] 劳动力成为商品
[00857.22-00860.10] 它的手鸡之是无限循环的
[00860.10-00861.54] 那既然是无限循环
[00861.54-00864.58] 他就能带来什么 他就能够带来
[00865.22-00869.10] 据据据他就能够带来更多的钱
[00869.10-00871.62] 咱就说得值得一点 我就能够带来更多的钱
[00871.62-00875.02] 那些更多的钱 跑去我公资以外的更多的钱
[00875.02-00877.70] 对吧 比如说我讲一个版此我这把我的工作转回来了
[00877.70-00880.82] 那我身体在讲第五第六第七个版此 是在干了
[00880.82-00884.34] 是在给公司循环不断的创造新的价值吧
[00884.34-00886.46] 所以在这种情况之下我们就会发现
[00886.46-00888.78] 所谓的劳动力的使用价值
[00888.78-00892.74] 就在於我能帶來比我公資自身以外更多的財富
[00892.74-00894.98] 那這個就是劳動力商品
[00894.98-00899.14] 他的一個區別與普通商品的一個最明顯的一個特點
[00899.14-00901.58] 那如果劳動力一旦成為商品的話
[00901.58-00903.58] 那貨幣就轉化成了資本
[00903.58-00905.94] 你說老師什麼叫貨幣轉化資本呢
[00905.94-00907.86] 咱們來看一下在這裡他所說的
[00907.86-00910.42] 首先第一個我們要了解什麼是資本
[00910.42-00914.14] 資本他說就是能夠帶來勝於價值的價值
[00914.14-00915.26] 那簡單的理解
[00915.26-00916.70] 因為我們會簡單去
[00916.70-00918.24] 所以大家想去自己想生意價值
[00918.24-00919.52] 在這裡什麼叫資本呢
[00919.52-00921.82] 資本就是能夠生錢的錢
[00924.12-00925.40] 就叫做資本
[00925.40-00926.38] 大家注意一下啊
[00926.38-00927.70] 你看他後面說了一句話
[00927.70-00929.76] 說貨幣所者貢獵到勞動裡後
[00929.76-00935.12] 在他的消費過程當中能夠收回他在支付這種商品時的價值
[00935.12-00937.30] 也就是商品所者
[00937.30-00942.80] 也就是公司在買到我之後能夠收回他買我時候的價值
[00942.80-00944.34] 也就是能夠收回他的什麼
[00944.34-00946.00] 能夠收回工資
[00946.00-00949.18] 而且在这个过程当中还得到了一个增值的盛余价值
[00949.18-00951.38] 也就是比如说的工资给我开20块
[00951.38-00952.80] 我去上课的时候呢
[00952.80-00954.18] 我上了100块的课
[00954.18-00957.02] 那你看这20块钱就是他支付给我的工资
[00957.02-00958.22] 也就是我的价值
[00958.22-00961.36] 但是我给他创造了多出这20块多了多少钱
[00961.36-00962.12] 80块钱
[00962.12-00963.80] 那这80块钱就相当于什么
[00963.80-00966.00] 这80块钱就相当于盛余价值
[00966.00-00967.12] 所以你看他说
[00967.12-00969.80] 还能得到一个增值的价值
[00969.80-00970.98] 那就是盛余价值
[00970.98-00972.10] 那这又说说了
[00972.10-00975.34] 所以一旦货币公美的劳动力带来盛余价值
[00975.34-00977.18] 貨幣就找他成了資本
[00977.18-00978.42] 所以在這裡面
[00978.42-00981.22] 原本他買我的那個錢就找他成了資本
[00981.22-00982.50] 你說老師我還是有點暈
[00982.50-00983.38] 你別暈
[00983.38-00984.10] 你別暈
[00984.10-00984.86] 我知道你暈
[00984.86-00986.02] 但你先別暈
[00986.02-00987.10] 我舉個簡單的例子
[00987.10-00987.82] 他是啥意思
[00987.82-00988.62] 搭註一下
[00988.62-00991.66] 資本就是能夠生錢的這個錢就叫做資本
[00991.66-00991.98] 對吧
[00991.98-00994.54] 比如說現在我花了20塊錢
[00995.06-00995.58] 幹嗎呢
[00995.58-00997.62] 花了20塊錢買了一瓶礦圈水
[00998.14-00999.90] 那這20塊錢買了礦圈水
[00999.90-01001.38] 礦圈水喝完了之後
[01001.38-01002.38] 說就沒有了
[01002.38-01004.26] 所以這個時候20塊錢買了
[01004.26-01006.26] 这跨年水这20块钱称率什么呢
[01006.46-01009.62] 这20块钱称率成本明白了吧
[01009.74-01010.40] 那这20块钱
[01010.40-01011.70] 因为一次性一完就没了
[01011.90-01012.96] 但是如果120块钱买了
[01012.96-01014.00] 劳动力呢
[01014.12-01014.90] 同学们注意
[01015.10-01016.80] 120块钱买了劳动力
[01016.98-01018.08] 那就我情况之下
[01018.20-01018.98] 劳动力
[01019.18-01020.58] 他给我上了一个课
[01020.58-01021.78] 把这20块钱赚回来了
[01021.78-01023.26] 那这是劳动力的工资
[01023.26-01024.34] 也这是劳动力的什么
[01024.34-01024.86] 价值
[01025.02-01026.02] 但是我去上课的时候
[01026.02-01027.82] 我一共上了100块钱的课
[01027.98-01029.98] 那我这个时候是我多少了80块钱
[01030.14-01031.38] 那多少了这80块钱
[01031.38-01033.14] 是不是就是多给他带来的什么
[01033.14-01034.42] 生余價值
[01034.42-01035.82] 那只有情況之下
[01035.82-01037.18] 這20塊錢
[01037.18-01038.46] 它買了勞動力
[01038.46-01040.34] 它就不能再叫做成本了
[01040.34-01041.06] 明白了吧
[01041.06-01042.02] 這20塊錢
[01042.02-01043.42] 它如果買了勞動力
[01043.42-01044.86] 這20塊錢就變成了什麼
[01044.86-01046.46] 就變成了資本
[01046.46-01047.02] 為什麼
[01047.02-01048.50] 因為資本的定義是
[01048.50-01051.62] 能夠帶來生余價值的價值
[01051.62-01052.34] 換句話說
[01052.34-01054.90] 就是能夠生錢的
[01054.90-01055.70] 那個錢
[01055.70-01056.30] 你看
[01056.30-01057.14] 它買了我
[01057.14-01059.06] 我是問能夠給它多生出來
[01059.06-01059.94] 80塊錢
[01059.94-01061.22] 那這種情況之下
[01061.22-01062.58] 原本的這20塊
[01062.58-01065.14] 在市场当中就变成了什么 资本
[01065.40-01069.74] 所以在这里面 大距像 资本就是能够生钱的那个钱
[01070.00-01074.62] 所以在这里 这二十块钱数多给 因为买了劳动力 所以多给他带来了80块
[01074.86-01075.64] 所以这二十块
[01076.40-01081.52] 现在就不叫成本了 就叫做什么 就叫做资本 因为他带来了更多的钱
[01081.78-01087.92] 这里面问题就在于 他货并能够变成资本 也是这二十块他之所以能够被称为资本
[01087.92-01088.72] 是因为什么
[01088.72-01090.32] 是因为它买到我
[01090.32-01092.36] 是因为劳动立成为了商品
[01092.36-01094.44] 如果劳动力不能成为商品的话
[01094.44-01097.80] 就不能对使用价值进行无限循环的使用
[01097.80-01098.68] 那这种情况之下
