[00000.00-00003.76] 好 那我们通过前面的讲点就把
[00003.76-00008.44] 在那明是全力能力 明是行为能力以及它的监户说完了
[00008.44-00011.52] 通过我刚才莫不及其的讲点给大家重复了和几遍
[00155.74-00157.74] 他吃和女主快樂的時候再化了
[00157.74-00160.26] 他家那边有一个事没有解决
[00160.26-00161.78] 他的父母找不见这个孩子
[00161.78-00164.22] 这个孩子都是公司的这个霸道总裁
[00164.22-00165.82] 对吧 你这公司的总经理
[00165.82-00167.46] CIO 你人没了
[00167.46-00168.74] 你公司三运转呢
[00168.74-00171.42] 你还有其他的一系列的权利武关销处理呢
[00171.42-00173.26] 你比如说你的财产如何去运游
[00173.26-00174.74] 你的微婚期到底是等你呢
[00174.74-00175.42] 还是不等你呢
[00175.42-00176.62] 还是不等你呢
[00176.62-00178.62] 这些问题是说一直都没有解决呀
[00178.62-00180.46] 那这些问题如果一直处在
[00180.46-00181.82] 学而略觉得状态的话
[00181.82-00183.10] 对于失踪人
[00183.10-00184.42] 他即是不利的
[00184.42-00187.06] 所以为了保护失踪人的权利
[00187.06-00189.66] 在法律上规定了一些特别的程序
[00189.66-00190.78] 其中有一个就要怎么
[00190.78-00192.74] 就要做宣告失踪
[00192.74-00195.22] 需要失踪的重点保护丝中人的利益
[00195.22-00197.62] 让很多学而未觉得事项能够什么
[00197.62-00198.50] 承语落地
[00198.50-00199.70] 那我们就来看一下
[00200.34-00201.30] 宣告失踪
[00201.46-00202.34] 宣告失踪
[00202.34-00203.22] 我们来看一下
[00203.22-00204.90] 宣告失踪的条件
[00204.90-00206.58] 需要失踪的条件在这里面
[00206.58-00207.50] 他给到了
[00207.50-00208.70] 说是指
[00208.70-00210.30] 在人下落不明
[00210.30-00211.70] 蛮两年
[00211.70-00213.66] 历害关系人申请宣告失踪的
[00213.66-00215.22] 像下落不明所在地的
[00215.22-00216.50] 机程备法院怎么样
[00216.50-00217.34] 提出
[00217.34-00218.80] 那這是我們所說的宣告
[00218.80-00219.38] 是中
[00219.38-00221.10] 那宣告是中的首先第一個條件
[00221.10-00222.06] 同標準一下
[00222.06-00223.22] 只是宣告是中
[00223.22-00224.90] 你不能說這個人第一天
[00225.30-00225.92] 沒回來了
[00225.92-00227.50] 他父母直接去關去包含
[00227.50-00228.54] 說這個人是中了
[00228.54-00229.54] 能不能想不想
[00229.54-00231.26] 宣告是中達到一年的年線
[00231.26-00232.70] 同樣壞一下第一個點
[00232.70-00234.10] 宣告是中的條件
[00234.10-00235.98] 就是下路不明滿兩年
[00235.98-00236.70] 比如說
[00236.70-00239.22] 這個電距當中的這個八個總裁男主
[00239.22-00240.90] 和這個女主快會生活
[00240.90-00242.70] 快樂樂再一塊生活了三年
[00242.70-00244.14] 也是達到兩年以上
[00244.14-00246.02] 他的父母還沒有等到這個人回來
[00246.02-00249.26] 这首就可以像法院去申请宣告始终了
[00249.26-00253.26] 这是第一个叫夏洛鳳明 瞒两年这是第一个点
[00253.26-00254.78] 第二个大助一下
[00254.78-00258.02] 第二个就是夏洛鳳明瞒两年
[00258.02-00259.82] 他要宣告始终由谁来申请
[00259.82-00261.06] 我们标助一下圈儿
[00261.06-00263.70] 就是历害关系人来申请
[00263.70-00265.46] 这个历害关系人同们注意一下
[00265.46-00267.30] 他其实是一个广欲的人
[00267.30-00270.02] 这个历害关系人包括他的配偶
[00270.02-00271.42] 父母子女
[00271.42-00272.74] 也包括他的什么
[00272.74-00273.66] 其他进进数
[00273.66-00274.86] 就是我们所说的
[00274.86-00278.08] 以塔尾中心上下左右,上两代下涨代
[00278.08-00281.20] 这些人其实都可以干嘛,其实都可以申请
[00281.20-00284.52] 也就是因为这和他有人生关系的人可以申请
[00285.40-00287.28] 所以在这里面,小达掌握的第一个点
[00287.28-00288.94] 就是厉害关系人包困哪些
[00288.94-00291.50] 第一个就是和他有人生关系的
[00291.50-00292.52] 人生关系的
[00292.52-00295.02] 就刚才我们所说,Pale父母子女人
[00295.02-00297.20] 祖父母外祖父母兄弟姐妹
[00297.20-00298.36] 等等这些
[00298.36-00301.20] 甚至包括他的什么,代位及承人
[00301.20-00306.20] 包括他的代位基成人
[00306.20-00310.20] 在基成法当中回答去讲道
[00310.20-00313.20] 包括他的代位基成去取代他的位置
[00313.20-00316.20] 在这种情况之下也可以宣告实宗
[00316.20-00318.20] 还包括我们之前所说的什么
[00318.20-00321.20] 我们所说的他的进傾署等等
[00321.20-00323.20] 进傾署
[00323.20-00325.20] 进傾署做广易的理解
[00325.20-00327.20] 我们前面讲道的内纪内
[00327.20-00329.20] 这个是和他有人身关系的
[00329.20-00330.88] 國語親密他這個人美
[00330.88-00334.08] 那指定是要可以去向法院申請事終的
[00334.08-00335.80] 那除了和他有人身關係的這些人
[00335.80-00336.60] 大家注意一下
[00336.60-00338.12] 和他所謂的厲害關選
[00338.12-00340.60] 還包括和他有財產關係的這些人
[00340.60-00342.64] 比如說作為一個大多種財
[00342.64-00342.96] 對吧
[00342.96-00345.08] 他主管那麼一大家的公司
[00345.08-00347.56] 那他還和其他的公司有一定的業務往來呢
[00347.56-00348.28] 他人美了
[00348.28-00351.52] 他公司可能在他父母的維持一下能夠繼續賺
[00351.52-00353.08] 但是這些業務往來
[00353.08-00356.00] 比如說他和A公司簽了一個二十億的大單
[00356.00-00356.96] 你現在人美了
[00356.96-00358.96] 那A公司這二十億逃誰要啊
[00358.96-00361.64] 那这种情况之下是不是我们所说的
[00361.64-00364.72] 这个A公司就是和失踪的总裁
[00364.72-00366.00] 他们之间有什么关系
[00366.00-00368.64] 有很密切的财劲关系
[00368.64-00370.68] 那这里和还有财劲关系的人就包括他
[00370.68-00372.28] 是什么 包括他的债权人
[00373.20-00374.84] 你人没了我前上的人啊
[00374.84-00376.76] 也包括他的什么 债务人
[00376.76-00378.80] 你人没了我前咋关啊
[00378.80-00380.96] 对吧 还包括他的合伙人
[00380.96-00382.20] 你人没了 对吧
[00382.20-00383.40] 你爸都阻挡财失踪了
[00383.40-00384.72] 哪儿咋整啊 对吧
[00384.72-00385.92] 所以在这里面你看
[00385.92-00390.04] 这是我们所说的所谓的厉害关系人包括战畅人在乌人
[00390.04-00391.16] 也包括他到何估人
[00391.16-00394.32] 这些人在达到法定期限情况之下
[00394.32-00396.16] 都可以像法院申请什么
[00396.16-00398.80] 申请他宣告师总
[00398.80-00402.00] 所以在这里面大家要找我的细节点除了
[00402.00-00403.12] 找问他的条件之外
[00403.12-00403.84] 还要找一些细节
[00403.84-00406.96] 就是厉害关系人包括哪些包括哪些
[00406.96-00409.28] 但是我们所说的这些战畅人
[00409.28-00410.64] 战畅人和何估人
[00410.64-00413.04] 他像法院申请我们所说的
[00413.04-00417.24] 大道总裁,失踪,它其实有一个条件,什么条件呢?
[00417.24-00421.56] 就是这些宣告失踪,一定是影响了它的权利意误的形势。
[00423.76-00430.04] 一定是影响了他们的权利意误的形势。
[00430.04-00433.56] 这种情况之下,他们才可以像法院宣告失踪。
[00433.56-00436.60] 而如果和他有人生关系的这些人就不限于说,
[00436.60-00438.84] 一定要影响到他们自身的权利意误了。
[00438.84-00441.00] 只要你和他有很亲密的人生关系,
[00441.00-00442.68] 你就可以直接像法院生情。
[00442.68-00444.68] 如果是台上關係的這些人
[00444.68-00449.08] 他必須影響了這些人權利用行使的條件之下才能申請
[00449.08-00453.18] 由於因為這個時候如果債權人相法院區申請
[00453.18-00454.98] 我們所說的這個人施工的話
[00454.98-00456.38] 那一定有一個前提
[00456.38-00459.08] 就是這個人施工導致他的錢要不回來了
[00459.08-00460.68] 是不是影響了他的權利的運行
[00460.68-00462.58] 那這裡面的合活人也是一樣的
[00462.58-00464.18] 合活人相法院去申請
[00464.18-00466.38] 前提一定是他沒有辦法旅行義務了
[00466.38-00468.48] 我這個錢還給誰找不到人了
[00468.48-00469.88] 是不是在這種情況之下
[00469.88-00471.92] 那贷物人 那合伙人也是一样的
[00472.00-00474.24] 合伙人就是影响了合伙人的权利物
[00474.24-00477.12] 比如说你走了这个风红怎么办公司怎么运行
[00477.20-00478.56] 能不能说一般情况之下
[00478.56-00479.88] 我们如果放在我相聚的话
[00479.88-00481.16] 合伙人一般都是什么
[00481.16-00482.28] 拿二位 对吧
[00482.28-00484.80] 那拿二他生气了
[00484.92-00487.28] 男主宣告失踪的前提
[00487.28-00489.72] 一定是影响了他的日常生活
[00489.72-00491.20] 经营他的权利行事
[00491.20-00492.80] 能不能以这个为前提
[00492.80-00493.84] 能不能以说
[00493.84-00495.44] 因为男主失踪了
[00495.44-00497.36] 拿二又按烈女二很多年
[00497.36-00500.16] 然后说他像法院申请失踪的原因是
[00500.32-00501.36] 因为哪儿失踪了
[00501.36-00502.92] 所以我想追求女儿对吧
[00502.92-00505.40] 所以尽快宣告他失踪让女儿死心吧
[00505.40-00507.48] 他能问一这种理由来不行
[00507.48-00510.80] 这不是法定法律长会定的权利用的越秀
[00510.80-00511.52] 没办法吧
[00511.52-00513.32] 所以在这里面的权体一定是什么
[00513.32-00515.04] 影响了他的权利用关系
[00515.04-00516.60] 所以在这里面这些金后
[00516.60-00518.48] 厉害关系人申请
[00518.48-00519.60] 厉害关于申请
[00519.60-00521.40] 那金后厉害关身申请之后
[00522.08-00523.12] 向谁申请
[00523.12-00524.04] 同标主一下
[00524.04-00525.96] 向下落不明人所在地的
[00525.96-00527.68] 基本上人民法院申请
[00527.68-00528.64] 所以第3个点
[00528.64-00529.64] 就是像
[00529.64-00531.48] 被施工人所在地的
[00531.48-00533.28] 基本上人民法院提出申请
[00533.28-00535.24] 这时候经过一定的公告期
[00535.24-00536.68] 就可以宣告他怎么样
[00536.68-00538.48] 就可以宣告他十宗了
[00538.48-00539.88] 所以像法院申请
[00539.88-00541.68] 法院能不能说申请了马上
[00541.68-00543.72] 就说这个人就没了
[00543.72-00545.48] 或者就宣告这个人十宗不醒
[00545.48-00547.28] 法院一定要先进行公告
[00547.28-00549.08] 公告期数多人时间的三个月
[00549.08-00551.16] 这个公告就是你要发在各个地方
[00551.16-00552.48] 说对有人在这个里面
[00552.48-00553.76] 就能找到他
[00553.76-00554.12] 对吧
[00554.12-00555.92] 所以他要进行三个月的公告
[00555.92-00558.12] 公告如果公告了之后
[00558.12-00559.48] 人还没有回来
[00559.48-00560.96] 这有时候才可以怎么样
[00560.96-00562.40] 宣告失踪
[00562.40-00563.24] 宣告失踪
[00563.24-00564.00] 所以不能说
[00564.00-00565.80] 你一句声请他马上宣告失踪
[00565.80-00568.40] 而且必须要经过公告三个月
[00568.40-00569.84] 必须要经过公告三个月
[00569.84-00570.56] 所以在这里
[00570.56-00571.72] 这是宣告失踪的条件
[00571.72-00572.48] 第一个人没了
[00572.48-00573.44] 短时间要年
[00573.44-00574.96] 第二宣告申请厉害官员
[00574.96-00576.60] 第三个向谁申请
[00576.60-00578.00] 所在帝个集成人的法院
[00578.00-00579.48] 基本上也法院如何处理
[00579.48-00581.24] 公告三个月之后宣告失踪
[00581.24-00582.64] 因为公告一旦发出去
[00582.64-00583.60] 就点类似于相
[00583.60-00584.56] 选人起事
[00584.56-00586.12] 他就发在各大网站上
[00586.12-00587.84] 周仁能够流亂去看到
[00587.84-00588.92] 所以这种情况之下
[00588.92-00590.48] 人家很有可能找回来的
[00590.48-00591.52] 所以在这里面
[00591.52-00592.52] 公告其三个月
[00592.52-00594.56] 如果三个月还没有任何的一句
[00594.56-00596.72] 那么OK宣告十宗
[00596.72-00597.84] 所以在这里面
[00597.84-00598.44] 大家注意一下
[00598.44-00601.12] 这是宣告十宗的条件
[00601.12-00602.56] 这宣告十宗的条件
[00602.56-00604.56] 这里面需要大家掌握的细节
[00604.56-00606.08] 时间满短时间
[00606.08-00607.04] 列还关心有哪些
[00607.04-00608.88] 公告其中二十件三个月
[00608.88-00610.24] 这是三个细节的点
[00610.24-00611.04] 一条明确
[00611.04-00612.40] 这宣告十宗
[00612.40-00614.64] 那你说老师咱们刚才说了
[00614.64-00616.48] 宣告师宗的意义是啥呢
[00616.48-00617.40] 咱们刚才说了
[00617.40-00619.04] 这个男主
[00619.04-00620.20] 这个霸道总裁
[00620.20-00621.40] 他人没了还失忆了
[00621.40-00624.08] 他说公司有一搭他的事等他去解决呀
[00624.08-00625.32] 他说还有很多的战权
[00625.32-00626.92] 这种人的关系要去处理呀
[00626.92-00629.20] 有时意旨让他的这个运营
[00629.20-00630.56] 他身边的原本的这些关系
[00630.56-00631.96] 除在学而为绝状态的话
[00631.96-00633.36] 对师宗人不好的
[00633.36-00635.36] 所以我们说了保护师宗人的利益
[00635.36-00636.24] 宣告师宗
[00636.24-00637.80] 而宣告师宗的法律后果
[00637.80-00639.84] 也就是他宣告师宗之后
[00639.84-00642.12] 我们如何保护失踪人的利益呢
[00642.12-00643.68] 那在这里就给到了一点
[00643.68-00647.16] 大家注意一下就是为他设立财察代管人
[00647.16-00648.04] 大家注意
[00648.04-00650.00] 宣告失踪的法律后果只有一个
[00650.00-00652.20] 就是设立财察代管人没有其他的了
[00652.20-00656.04] 因为这个点他要对比后面和宣告死亡进行相的
[00656.04-00657.32] 什么 进行相的对比
[00657.32-00658.24] 所以大家注意一下
[00658.24-00660.12] 宣告失踪的法律后果只有一个
[00660.12-00662.84] 就是给他设立财察代管人
[00662.84-00664.40] 设立财察代管人的话
[00664.40-00666.72] 他的这个财察代管人主要包团哪些人呢
[00666.72-00668.44] 他的配偶父母
[00668.44-00670.66] 子女 臭 臭面的子女
[00670.66-00672.90] 还有其他愿意带任财产代管人的人
[00672.90-00673.56] 这些人呢
[00673.56-00675.40] 他其实是没有人出现的
[00675.40-00678.18] 如果他的配合父母子女都不愿意管他那一他事
[00678.18-00679.92] 那这时候就有法院指定
[00679.92-00681.24] 谁来管他这事
[00681.24-00683.16] 那如果一旦收利了财产代管人
[00683.16-00684.40] 他的好出是什么的
[00684.40-00686.80] 财产代管人在实体地位上
[00686.80-00688.56] 所以善良的管理人
[00688.56-00691.24] 他就可以帮助我们所说的这个
[00691.24-00693.80] 师宗人去管理他的财产
[00693.80-00696.08] 比如说现在他的父母是他等不起了
[00696.08-00697.88] 公司那一他那事不能再等了
[00697.88-00700.04] 於是他的父母就像法院宣告了什麼
[00700.04-00701.68] 宣告了這個人始終
[00701.68-00703.68] 一旦社立宣告這個人始終之後
[00703.68-00705.52] 法院為他社立財產貸管人
[00705.52-00707.52] 財產貸管人假設指定他的父母
[00707.52-00711.84] 那他的父母就可以幫助他去管理他的財產
[00711.84-00713.52] 比如說還給誰多少錢
[00713.52-00716.96] 然後誰還給把錢還給他消除了這債權債務關係
[00716.96-00719.16] 對吧 那這是我們所說的第一個方面
[00719.16-00720.92] 第二方面的就是在這個地方
[00720.92-00722.12] 社立財產貸管人之後
[00722.12-00725.64] 財產貸管人也可以以自己的起床應述
[00725.64-00729.22] 有些变于去处理和这个人有关的一些官司
[00729.22-00731.40] 所以在这里面法律后果设立
[00731.40-00732.20] 财产带过人
[00732.20-00733.32] 拿到大家注意一下
[00733.32-00734.42] 这是我们所说的
[00734.42-00735.88] 有关于第2个点
[00735.88-00737.16] 宣告失踪的法律后果
[00737.16-00739.72] 大家也明确有确只有这一个
[00739.72-00744.08] 因为它和后面我们所说的宣告死亡
[00745.10-00746.12] 做对比
[00746.12-00747.92] 那这是宣告失踪
[00747.92-00751.00] 宣告失踪我们说了之后还会充限一种情况
[00751.00-00752.32] 这是宣告失踪之后
[00752.32-00754.00] 在按照电视剧的这个套路
[00754.00-00757.08] 南主和女主是不能顺利的再跨的
[00757.08-00759.08] 一定是有一天突然這個男主
[00759.08-00760.16] 这被他的媽媽發現了
[00760.16-00760.96] 突然這個男主
[00760.96-00762.32] 就被他的微婚期發現了
[00762.32-00764.52] 突然這個男主就恢復記了
[00764.52-00766.52] 那這種情況之下就會玩一個情況
[00766.52-00767.28] 什麼情況呢
[00767.28-00769.08] 失蹤人歸來的情況
[00769.08-00770.64] 那失蹤人歸來了
[00770.64-00771.52] 那就意味著
[00771.52-00773.92] 他宣告失蹤了這個事情
[00773.92-00775.52] 是不是就已經不成立了
[00775.52-00777.20] 所以失蹤人歸來之後
[00777.20-00777.92] 那怎麼辦呢
[00777.92-00778.80] 下面給到了
[00778.80-00781.92] 說失蹤人重新出現後面
[00781.92-00786.96] 叫精本人或者是厉害关系人生请法院应当怎么办
[00786.96-00789.48] 出了消它的十宗宣告
[00789.48-00793.44] 所以第一个我们所说的十多人重新出现
[00793.44-00798.24] 它的法律效果就是第一个叫做彻销它的十宗宣告
[00798.24-00799.16] 女人都回来了
[00799.16-00801.84] 这种情况之下你就可以去申请
[00801.84-00802.92] 我一看我现在
[00802.92-00804.04] 我这人怎么没了呢
[00804.04-00806.76] 我一上公告去看我一去做住酒店
[00806.76-00807.28] 或怎么样
[00807.28-00809.36] 他一直显示在去宣告十宗的这个状态
[00809.36-00810.40] 他就可以怎么样
[00810.40-00812.04] 就可以像法院去申请
[00812.04-00813.80] 因为影响到了他的日常生活
[00813.80-00815.36] 所以第一个就是可以申请
[00815.36-00816.16] 彻销第二个
[00816.16-00817.16] 深圳彻销之后
[00817.16-00818.40] 我们说了人都回来了
[00818.40-00819.20] 才能带过人
[00819.20-00820.72] 还有没有存在的必要了
[00820.72-00821.28] 没有了
[00821.28-00822.16] 所以在这里
[00822.16-00822.84] 大家注意一下
[00822.84-00823.48] 才能带过人
[00823.48-00824.96] 要即使一交相的财产
[00824.96-00826.56] 并做相应的报告
[00826.56-00828.44] 这事我们所说的宣告
[00828.44-00829.20] 施宗
[00829.20-00830.68] 他的一个情况
[00830.68-00832.28] 所以宣告施宗就三个方面
[00832.28-00832.92] 第一个
[00832.92-00833.80] 怎么宣告
[00833.80-00834.44] 第二个
[00834.44-00835.28] 后果是什么
[00835.28-00835.72] 第三个
[00835.72-00836.96] 人回来了怎么办
[00836.96-00838.00] 这事我们所说的
[00838.00-00839.28] 第一个叫做宣告
[00839.28-00840.82] 始终 宣传师总
[00840.82-00843.92] 宣传师总只是使学而未觉的这个状态
[00843.92-00845.04] 他确定下来了
[00845.04-00847.48] 撤重保护宣传人的利益
[00847.48-00849.72] 但是如果说有很多的这种情况
[00849.72-00851.92] 就是他始终的时间实在是太久了
[00851.92-00855.36] 这种情况之下已经确定这个人可能就是回不来了
[00855.36-00858.36] 在法律的特别程序上还有另外的一种程序
[00858.36-00861.36] 就是什么 宣告死亡 宣告死亡
[00861.36-00863.36] 那宣告死亡那我们来太想
[00863.36-00864.80] 他宣告死亡是指
[00864.80-00867.24] 自然人下落不明打法定期限
[00867.24-00868.64] 同们换一下第一个点
[00868.64-00871.58] 下落不明打法丢期限
[00871.58-00874.14] 这个就要和刚才的宣告失踪
[00874.14-00874.92] 想去分
[00874.92-00876.84] 宣告失踪他没有说法丢期限
[00876.84-00878.32] 而且下落不明的瞒几年
[00878.32-00879.78] 亮年大主意下
[00879.78-00883.20] 第二个是经历害关系人生情
[00883.20-00883.88] 对吧
[00884.40-00886.44] 前面是一样的和这个地方一样
[00886.44-00887.84] 都是经历害关系人生情
[00887.84-00889.52] 有法院推定其死亡的
[00889.52-00892.32] 宣告结束失踪人以前
[00892.58-00893.54] 他的什么
[00893.54-00896.24] 注锁地的集团中的法院去宣告失踪
[00896.24-00899.64] 所以第二个也是经历还关系人生情在这里
[00899.64-00900.40] 大家要注意一下
[00900.40-00904.44] 所以在这我们能看到它其实是有很多的相似之处的
[00904.44-00906.84] 那既然有相似之处和宣告失踪的话
[00906.84-00908.28] 那它就会考察一些什么
[00908.28-00910.44] 考察一些细节上的对比
[00910.44-00914.44] 那就简单去实际成续上走的成续流程度差不多
[00914.44-00916.84] 只不过在这里面会有些细节上的区分
[00916.84-00919.04] 第一个细节上的区分就是法电期间
[00919.04-00921.04] 同时在数上标注意下
[00921.04-00922.84] 这次需要大家实际的第一个点
[00922.84-00923.84] 法电期间
[00923.84-00927.24] 反电期间一般情况下不说了 宣告失踪
[00928.76-00932.84] 他的下路不明的期限是蛮多年 是蛮 两年
[00932.84-00935.24] 而我们刚才说了 在宣告所能说的
[00935.24-00938.64] 是法定 叫做下路不明达到法定期间
[00938.64-00941.64] 这个法定期间 它其实就有一些特别的规定
[00941.64-00944.44] 来看一下 说一般情况下是蛮多好
[00944.44-00946.84] 我们标准一下 一般情况下路不明蛮
[00946.84-00948.84] 四年 这是第一个点
[00948.84-00952.66] 如果说这个人他就是从我知道他失踪之日
[00952.66-00954.30] 或者是失去联系之日
[00954.30-00955.50] 我等了他四年
[00955.50-00956.64] 这种情况之下
[00956.64-00959.08] 我就可以直接下法院宣告死亡
[00959.08-00960.54] 一般情况下每四年
[00960.54-00961.72] 第二个是啥呢
[00961.72-00962.72] 我们来看一下
[00962.72-00965.68] 第二个就是因意外情况
[00966.96-00969.08] 因意外世界下的公民
[00969.08-00969.84] 瞒击年
[00969.84-00970.56] 瞒两年
[00970.56-00972.84] 意外世界一般情况下
[00972.84-00977.20] 就包括所说的宏水
[00977.20-00980.90] 台秀、地震、沉船、火车脱鬼、飞机虽示等等
[00980.90-00984.00] 那这是我们所说的一般事件不明下落慢几点
[00984.00-00984.60] 慢亮点
[00984.60-00986.56] 比如说它出差的时候
[00986.56-00988.70] 正好是坐在了某一阶了飞机上
[00988.70-00990.28] 然后这个飞机突然失脸了
[00990.28-00991.56] 达到了一阶的时间
[00991.56-00993.80] 比如说我们非常痛心的 对吧
[00993.80-00996.40] 马航艾每次三期领到现在都没有找到
[00996.40-00997.20] 那这种情况之下
[00997.20-00998.68] 飞机去哪了不知道
[00998.68-01000.00] 飞机上的人去哪了
[01000.00-01001.08] 也怎么样也不知道
[01001.08-01002.28] 那它就属于一个什么
[01002.28-01003.28] 意外时间
[01003.28-01004.92] 但是在这个意外时间当中
[01004.92-01006.72] 没有明确的官方说
[01006.72-01010.68] 这里面的人到底是活着还是去世的这样的一个状态
[01010.68-01015.68] 这里面这个就叫做一般请问一下叫意外世界项目不明满怎么样
[01015.68-01016.48] 满两年
[01016.48-01018.96] 或者是它在初菜的土中突然遇到了红水
[01018.96-01021.04] 然后也是两年没有找到
[01021.04-01023.08] 这个都叫做什么意外世界
[01023.08-01025.44] 那意外世界项目不明满两年
[01025.44-01027.48] 还有一种情况就是非常极端了
[01027.48-01029.60] 说意外世界项目不明
[01029.60-01030.36] 还是意外世界
[01030.36-01032.04] 但是后面画这一画
[01032.04-01034.84] 有极端证明不可能生存的
[01034.84-01035.48] 怎么样
[01035.48-01038.30] 武器限制
[01039.06-01044.70] 所以大家注意一下,这是我们所说的,这种情况,所以把这种情况的实现标出来,一般情况下4年
[01044.96-01055.44] 下路不明,如果是意外世界下路不明且,习惯正时不可能生缓的,这有时候武器限制,武器限制意外这是什么?
[01055.70-01062.36] 就可以随时去我们所说的法院身权宣告死亡,所以在这里它其实是随时
[01062.36-01065.36] 这个其实不太好举例子
[01065.36-01068.36] 因为一般情况下像这种例子都是比较悲伤或者被痛感
[01068.36-01069.36] 就是我们不太原调的
[01069.36-01074.36] 比如说像我们在今年上半年非常痛心的一件事情
[01074.36-01077.36] 就是东豪的飞机事实的那个事件
[01077.36-01078.36] 对吧
[01078.36-01080.36] 他就属于一个意外事件且
[01080.36-01082.36] 经由关习惯证明不可能生存的
[01082.36-01084.36] 那这种情况之下
[01084.36-01086.36] 这些遭受到了沉痛打击的
[01086.36-01088.36] 这些亲人朋友们
[01088.36-01090.36] 那他这时候就要想法原去
[01090.36-01092.92] 是从随时可以向法院去宣告
[01092.92-01095.48] 宣告宣告宣告宣告宣告宣告宣告宣告
[01095.48-01096.76] 宣告宣告宣告宣告的这样的一个状态呢
[01096.76-01099.84] 就是它也是要进行一定的我们所说
[01099.84-01102.40] 后序的一些法律关系的一些处理
[01102.40-01104.20] 所以在这里面代表注意一下
[01104.20-01105.84] 所以在这里面有三个时间
[01105.84-01107.92] 同时简单记就是42.0
