[00000.00-00004.08] 好,我们接下来看第六节就是新西技术
[00163.00-00165.04] 而且他給你預報說明天有預報
[00165.04-00166.60] 他給的也是下雨的什麼
[00166.60-00167.40] 概率
[00167.40-00169.20] 所以精準的預報天氣
[00169.20-00172.00] 他其实一照现有的我们所说的这种
[00172.00-00173.80] 记住来看的话呢
[00173.80-00175.20] 其实很难实现的
[00175.20-00177.80] 所以这是我们所说的人面临的低游问题
[00177.80-00178.40] 听句报
[00178.40-00179.60] 第二个比较大的问题
[00179.60-00181.20] 就是地震
[00181.20-00181.60] 对吧
[00181.60-00183.60] 我们所说的地震什么时候发生
[00183.60-00184.40] 怎么发生
[00184.40-00186.20] 他能造成的破坏程度
[00186.20-00187.00] 大概是什么样
[00187.00-00188.80] 他其实也是很难经准预测的
[00188.80-00190.60] 是包括生命的秘密
[00190.60-00192.20] 生命是如何淡生的
[00192.20-00193.60] 宇宙是如何演化的
[00193.60-00195.00] 如何实现科学治理
[00195.00-00197.20] 这些问题一号人类现有的这种
[00197.20-00199.88] 它其实很难改变的
[00199.88-00201.88] 或者是很难去进行预测的
[00201.88-00203.92] 所以又用什么超级纸算机
[00203.92-00205.32] 大家都知道超算了
[00205.32-00207.72] 都讲了特别特别的大
[00207.72-00208.92] 它其实整体上
[00208.92-00210.56] 因为它的算力要提升的话
[00210.56-00213.16] 它的我们所说的需要运用到的
[00213.16-00214.72] 它的占经面体就会很大
[00214.72-00215.96] 这个就是我们所说的
[00215.96-00217.56] 叫做超级纸算机
[00217.56-00219.20] 除了超级纸算机之外
[00219.20-00220.36] 大家一定要注意一下
[00220.36-00222.72] 我们还提到了一个叫做一级超算
[00222.72-00227.84] 叫做一级超算
[00227.84-00229.36] 这一级超算
[00229.36-00231.04] 它的算力其实更快
[00231.04-00235.32] 它的这算能力可以达到114美秒钟
[00235.32-00237.00] 我其实没有什么概念
[00237.00-00239.36] 我相信很多同约可能对于这方面的
[00239.36-00240.40] 真是比较感兴趣
[00240.40-00243.36] 但是在我来看114美秒钟
[00243.36-00246.28] 这是我没有办法想像的这个运算的速度
[00246.28-00248.92] 这个就是我们所说的这一级超算
[00248.92-00251.12] 一超算的它往往用于解决
[00251.12-00252.36] 因为它的算力很强
[00252.36-00254.80] 他往往又一解決是迫在媒體的問題
[00254.80-00256.64] 比如說現有的能源危機
[00256.64-00257.92] 比如說現有的去伙問題
[00257.92-00261.36] 往往是用他解決我們所說的複雜的執行情況
[00261.36-00263.36] 那還有一個就是近幾年比有熱了
[00263.36-00265.84] 在我們所說的量子領域出現了
[00265.84-00267.44] 量子積算機對吧
[00267.44-00268.72] 像量子積算的話
[00268.72-00270.52] 在這種情況之下就有人說了
[00270.52-00271.32] 說老師
[00271.32-00272.28] 量子積算
[00272.28-00274.68] 他是不是要代替超算和意算呢
[00274.68-00276.00] 但一定要注意一下
[00276.00-00277.16] 雖然量子積算的
[00277.16-00279.12] 他的一個計算能力是原點在於
[00279.12-00281.72] 超級積算機和意積超算的舊之上
[00281.72-00283.12] 但是大家要注意一下
[00283.12-00286.68] 他們之間沒有代替和背代替的
[00286.68-00287.72] 這樣一個關係在
[00287.72-00289.32] 考試的時候考我什麼呢
[00289.32-00292.32] 就考試他們之間是不是代替和背代替的關係
[00292.32-00293.12] 打注意一下
[00293.12-00294.92] 我先來這就說代替
[00296.52-00299.80] 或者是背代替或者被替代都可以
[00299.80-00301.64] 說他們之間是這樣的一個關係
[00301.64-00302.56] 眾說法對付對
[00302.56-00304.52] 眾說法其實不對的
[00304.52-00305.40] 這是每一個計算機
[00305.40-00307.72] 它其實在現有階段都自己的用途
[00307.72-00310.52] 比如說量子計算金督高算力強
[00310.52-00314.56] 他往往去进行箱的比如说金融数据的建模
[00314.56-00316.92] 用于去维护金融市场的一个运行
[00316.92-00318.32] 这些量子就算其他
[00318.32-00319.52] 现在能够做到的
[00319.52-00319.80] 对吧
[00319.80-00320.76] 而且我们说了
[00320.76-00322.04] 现在经常会提到说
[00322.04-00323.48] 掌握了量子的计算
[00323.48-00325.16] 其实就是控制住了
[00325.16-00326.12] 我们所说的什么
[00326.12-00327.60] 对于未来的这种预言
[00327.60-00328.48] 因为量子的计算
[00328.48-00331.52] 它代表是一种高精度的一种计算
[00331.52-00332.16] 和于所谓
[00332.16-00333.56] 而精度越高
[00333.56-00335.88] 就意味着你对未来的预测越精准
[00335.88-00337.24] 而你手里掌握了
[00337.24-00338.52] 对未来预测的信息
[00338.52-00339.76] 那一定是对你有力的
[00339.76-00342.50] 那这首量子计算他的一个情况
[00342.50-00344.80] 但是我们说了超低计算和意疾
[00344.80-00348.86] 超算他自身也有自己能够善长的领域在
[00348.86-00351.02] 所以在红官上来看达主一下
[00351.02-00352.66] 结合实正来看的话
[00352.66-00357.00] 一定要主义他们之间不是地带活被替代的关系
[00357.00-00358.88] 同门知道掌握到这就可以了
[00358.88-00360.36] 这是对于计算机计说
[00360.36-00362.56] 他的一个基本情况的一个概束
[00362.56-00363.76] 这是第一个问题
[00363.76-00366.16] 那了解了我们所说的计算机的基本情况
[00366.16-00368.84] 咱就回过头来再仔绪去看一看
[00368.84-00371.28] 咱们日常所熟悉的电脑
[00371.28-00373.80] 它到底是有哪些零部阶
[00373.80-00377.00] 我们先来看一下关于计算机当中的购成
[00377.00-00378.88] 这个点在考试的时候大舟一下
[00378.88-00381.28] 它就存在的考察实际
[00382.28-00384.52] 就是这个点它就是可定科冒的
[00384.52-00385.88] 就是直接去问
[00385.88-00387.32] 它考得比较直接在这儿
[00387.32-00388.12] 没啥可热的
[00388.12-00390.24] 所以同时你们把这些购成
[00390.24-00391.76] 去的掌握清楚就行了
[00391.76-00393.04] 那计算机的购成
[00393.04-00394.24] 其实分成两个
[00394.24-00395.92] 一个是我们所说的应接
[00395.92-00397.92] 还有一个就是我们所说的软件
[00397.92-00399.20] 什么叫做用家呢
[00399.20-00401.76] 用家就是祖城这个电脑的
[00401.76-00403.12] 它的一切的设备
[00403.12-00405.44] 比如说你想一下家里的台式机
[00405.44-00407.12] 那家里的台式机需要有什么呢
[00407.12-00409.28] 需要有主机需要有显示器
[00409.28-00411.04] 需要有简排需要有影响
[00411.04-00412.64] 就对外出出了这设备
[00412.64-00412.96] 对吧
[00412.96-00415.28] 那像这些都叫做过程电脑的
[00415.28-00416.00] 用家
[00416.00-00418.72] 那我们来看一下它的用家人具体内容有哪些
[00418.72-00422.56] 它说用家是指电子计算机的一些设备
[00422.56-00424.64] 主要包括运算器
[00424.64-00426.64] 控制器存出去
[00426.64-00429.28] 然后给到了输入和输出五个设备
[00429.28-00431.60] 在这里面同时要掌握了第一个点
[00431.60-00432.68] 同时标准一下
[00432.68-00434.20] 就是这里面
[00434.20-00435.40] 我们所给到的
[00435.40-00436.68] 其酸机的运行
[00436.68-00438.56] 它和中央处理器分不开
[00438.56-00440.12] 这里面的中央处理器
[00440.12-00441.80] 也被称率就做CPU
[00441.80-00443.88] 咱们经常再往上去上往的时候
[00443.88-00444.84] 你在逼在刷的时候
[00444.84-00447.76] 你不经常会看到那种特别搞笑的视频
[00447.76-00448.08] 对吧
[00448.08-00450.00] 就是人类和小动物的
[00450.00-00450.56] 这种护动
[00450.56-00451.60] 然后总是要小动物
[00451.60-00453.00] 呈现出摸摸的表情
[00453.00-00454.72] 这种情况下大家就会在
[00454.72-00457.36] 大木里面留言说完了CPU稍了
[00457.36-00457.72] 对吧
[00457.72-00459.84] 这个CPU主要指的就是什么
[00459.84-00460.92] 中央处理
[00460.92-00462.24] 那这个中央处理器
[00462.24-00464.52] 它其实指的是两个东西
[00464.52-00466.12] 一个叫做运算器
[00466.12-00467.56] 一个叫做控制器
[00467.56-00470.52] 这两个统称为叫做CPU
[00470.52-00472.00] 而不是我们所说的
[00472.00-00473.92] 单纯的控制器叫做CPU
[00473.92-00475.32] 这个点同一们掌握住
[00475.32-00477.80] 第一个就CPU它是两个东西
[00477.80-00480.20] 那运算器和控制器主要就是
[00480.20-00482.32] 去推动这个电脑的运行的
[00482.32-00482.60] 对吧
[00482.60-00486.32] 但是我们日常用到电脑我们会发现你总之会要干嘛呢
[00486.32-00489.08] 你总是会在这个过程当中要存一些东西
[00489.08-00491.00] 比如说你要把闻件保存一下
[00491.00-00494.84] 那如果说你在去电脑运行的时候突然之间电脑卡死了
[00494.84-00495.80] 电脑死机了
[00495.80-00498.20] 那你原本写了20万字的这个闻导
[00498.20-00500.40] 它到底会不会自动保存呢
[00500.40-00502.56] 那这些都会说一道电脑的什么问题
[00502.56-00504.20] 电脑的存处问题
[00504.20-00508.36] 所以电脑它的运行还需要的就是我们所说的存处器
[00508.36-00510.04] 它存处器在这里面
[00510.04-00511.62] 同们注意一下第二条条件
[00511.62-00513.02] 我在这里的标注一下
[00513.02-00514.12] 它说存储器
[00514.12-00516.40] 分为内存储器和外存储器
[00516.40-00518.54] 也就是我们朝说的内存和外存
[00518.54-00520.02] 外存没啥好说的
[00520.02-00521.52] 这里面的考解在哪
[00521.52-00524.16] 这里面的考虑在于内存
[00524.16-00525.30] 在内存当中
[00525.30-00527.18] 我们经常会听到两个点
[00527.18-00528.88] 一个叫做RAM
[00529.88-00531.88] 一个叫做ROM
[00533.64-00535.28] 这两个点在考试的时候
[00535.28-00537.90] 确实是也是考察过的
[00537.90-00539.40] 所以在这里我们来看一下
[00539.40-00541.70] 阿姨眼目指的是什么呢 同标助一下
[00541.70-00544.96] 阿姨眼目指的叫做 随机吋主器
[00550.08-00551.78] 叫做随机吋主器
[00551.78-00554.48] 那这种就是我们所说的叫阿姨眼目
[00554.48-00558.04] 阿姨眼目指的是啥呢 叫做 制读吋主器
[00561.56-00565.24] 那 制读吋主器 那制读就是 制读不写的这种
[00565.24-00567.52] 那这里面的问题就在原
[00567.52-00569.96] 像我们所说的阿亚和阿亚母
[00569.96-00572.48] 他们两个在考察的时候就只考察一个点
[00572.48-00573.16] 他们注意一下
[00573.16-00574.20] 就是这个电源
[00574.20-00575.76] 如果一旦切断了之后
[00575.76-00578.84] 他们所保存的这个数据到底会不会
[00578.84-00580.60] 就是大家旁标注意下
[00580.60-00583.00] 如果是阿亚母随机存储的话
[00583.00-00585.20] 如果一旦是断电了
[00585.40-00586.76] 我就不写关闭电源了
[00586.76-00587.52] 咱就简单点
[00587.52-00589.08] 如果一旦断电了的话
[00589.08-00590.52] 那这里面随机随机嘛
[00590.52-00591.80] 那它的问题就会比较多
[00591.80-00593.68] 所以它的数据就是会
[00593.68-00596.76] 就是我们所说的RAM
[00596.76-00598.20] 如果是制度
[00598.20-00599.48] 制度存存器的话
[00599.48-00601.40] 它如果一旦断电的话
[00601.40-00603.16] 数据不会就是
[00603.16-00606.04] 这个地方在这几年的世界单位考试
[00606.04-00607.24] 还有我们所说的
[00607.24-00608.48] 国生考考试当中
[00608.48-00610.48] 确实考察过选项
[00610.48-00611.88] 但这里面的选项就是
[00611.88-00613.12] 只是让我们去变形
[00613.12-00615.64] RAM和RAM这两个点
[00615.64-00617.44] 所以这是在计算机系统
[00617.44-00619.16] 应加上当中的第二个考点
[00619.16-00621.32] 大家要知道这个存储的问题
[00621.32-00622.48] 那这是第二个点
[00622.48-00625.82] 那电脑呢,我们在正常运用它的时候除了存储
[00625.82-00630.24] 对吧,你就是保存我们稳党啊,或者是把它存到本地的刺板上之外呢
[00630.24-00634.38] 你这个时候还会是要另外的问题,就是你现在想要写一个文件
[00634.38-00637.50] 你怎么把你的这个想法关税到电脑里呢?
[00637.50-00641.68] 那这个时候你就要通过什么,叫通过打字,是不是叫设计到运用到什么?
[00641.68-00643.46] 运动到我们所说的这个键盘
[00643.46-00646.56] 那这个时候你突然遇到一个问题,要写在你的稳党里
[00646.56-00650.04] 但是这个问题不是特别的清楚和了解,那这种傻的
[00650.04-00653.76] 没关系咱摆住一下,那这时候还会用到什么数标
[00653.76-00655.42] 我们刚才所提到的
[00655.42-00657.40] 你要把你的想法会纸料
[00657.40-00661.96] 书露到电脑里所运用的设备就叫做什么?就叫做书露设备
[00661.96-00665.40] 所以我们来看一下下面这个点,它给到书露设备
[00665.40-00668.40] 它书露设备,同们这句话很尴尬,关键
[00668.40-00673.08] 叫做把人的一图传达给几起,就是把你的想法
[00673.08-00675.48] 把人的一图话出来,把人的一图标出来
[00675.48-00679.84] 把人的一图书露到电脑里,什么叫书露,把你的想法
[00679.84-00681.32] 放到电脑里的
[00681.32-00682.88] 这个就叫做输入
[00682.88-00684.88] 这个地方叫考试的时候考什么呢
[00684.88-00688.28] 就是考输入设备具体的用哪些
[00689.28-00690.44] 考察实际的
[00690.44-00691.60] 那就是在考试的时候
[00691.60-00692.88] 就考察具体内容
[00692.88-00695.20] 就考察我们所说的这个输入设备
[00695.20-00695.92] 具体用哪些
[00695.92-00697.08] 需要同学们记得
[00697.08-00697.96] 就是这个
[00697.96-00698.68] 那么来看一下
[00698.68-00700.08] 输入设备到底有哪些呢
[00700.08-00700.72] 第一个
[00700.72-00701.36] 你就想
[00701.36-00702.36] 你这个时候
[00702.36-00703.20] 你就蒙你
[00703.20-00704.48] 你在打字的时候
[00704.48-00705.28] 你都需要
[00705.28-00706.28] 或者是你在
[00706.28-00707.88] 把什么画画啊
[00707.88-00708.52] 文脑
[00708.52-00710.60] 就是你做这种事情的说你想一下
[00710.60-00711.88] 你都需要什么设备
[00711.88-00713.00] 这些设备就是什么
[00713.00-00714.12] 就是书入设备
[00714.12-00715.88] 咱们来看一下都需要哪些设备
[00715.88-00716.60] 在书上
[00716.60-00718.76] 给大家做了一个非常全面的总结
[00718.76-00720.20] 在这里首先把字
[00720.20-00721.88] 你要把你的想法
[00721.88-00722.60] 陆入电脑
[00722.60-00724.28] 是不是在用到建盘会主标
[00724.28-00725.48] 这是我刚才所说的
[00725.48-00725.88] 对吧
[00725.88-00727.72] 那这种情况之下除了
[00727.72-00728.68] 建盘会主标
[00728.68-00730.28] 这个时候是有温倒生成
[00730.28-00731.24] 你需要用到的
[00731.24-00732.28] 你还可以用到什么呢
[00732.28-00733.96] 你还会用到适合头
[00733.96-00735.72] 只有说现在开始平会议
[00735.72-00738.28] 你要把你的想法传达给电脑的另一端
[00738.28-00740.08] 你要用到什么 身上抛头
[00740.08-00742.32] 还需要用到什么 掃描一益
[00742.32-00743.84] 所谓的掃描一比如说
[00743.84-00746.64] 我在刚开始上班入职的时候
[00746.64-00748.36] 在2017年的时候
[00748.36-00749.60] 你看只有挺玩之下
[00749.60-00750.76] 就用到了一个问题
[00750.76-00753.88] 就是我的公司问我要变正书
[00753.88-00755.84] 就是我的那个学历
[00755.84-00756.84] 和学历正书
[00756.84-00758.52] 那我不可能把学历和学历和学历正书给他
[00758.52-00759.16] 我说那咋办
[00759.16-00760.16] 他说你明天
[00760.16-00761.56] 把你一种正书带过来
[00761.56-00762.36] 带过来之后
[00762.36-00763.48] 跟那个机器上的小一下
[00763.48-00764.88] 成到电脑里发电过就行了
[00764.88-00765.48] 你看
[00765.48-00766.20] 这种情况之下
[00766.20-00768.04] 是要把我的正书路入给电脑
[00768.04-00768.76] 怎么路路呢
[00768.76-00770.80] 我不能把我正书塞到电脑里
[00770.80-00773.16] 我就通过宋谣也宋谣成
[00773.16-00774.84] PDIF的正宋谣戒
[00774.84-00775.56] 然后发给它
[00775.56-00775.88] 对吧
[00775.88-00778.12] 这种这是从外网里的过程
[00778.12-00779.52] 这就是宋谣谣谣
[00779.52-00780.96] 你看还有我们所说的什么
[00780.96-00782.16] 手写书板
[00782.16-00783.04] 游戏
[00783.04-00784.20] 我们所说的游戏感
[00784.20-00785.96] 还有遗煙的书装置
[00785.96-00787.36] 同们就把不住一点
[00787.36-00788.44] 就是电脑的
[00788.44-00790.00] 它的过程的要件
[00790.00-00791.04] 其实特别多
[00791.04-00792.88] 我们其实是没有办法在这里
[00792.88-00793.76] 评计的
[00793.76-00794.96] 你就只记得一个
[00794.96-00796.20] 所谓的书入书入
[00796.20-00798.44] 就是从外向内内过程
[00798.44-00801.12] 就是把外部的信息收入到电脑里
[00801.12-00804.24] 你比如说我们除了这里面的手写书板之外
[00804.24-00806.16] 你的混话板算算
[00806.16-00807.88] 混话板当然也算了
[00807.88-00811.16] 所以在这里就记得是从外把外部的东西
[00811.16-00813.80] 收到电脑里的都叫做书入设备
[00813.80-00816.36] 这个考试的时候就是考书设备有哪些
[00816.36-00818.80] 从而和书出设备做一个对比
[00818.80-00819.56] 大家注意一下
[00819.56-00822.24] 这是比三个点需要同时注意的
[00822.76-00823.96] 叫书入设备
[00823.96-00826.20] 那有输入就有什么就输出
[00826.20-00828.68] 那输入是从外输到电脑里
[00828.68-00830.36] 那输出就是从电脑里
[00830.36-00831.24] 输到外面边
[00831.24-00832.20] 于是在这里面
[00832.20-00834.00] 我们来看一下输出设备是什么
[00834.00-00835.24] 他输出设备
[00835.24-00838.08] 是把机器的工作情况怎么样
[00838.08-00840.44] 报告给有关的人员
[00840.44-00841.64] 同们在旁标注意一下
[00841.64-00843.16] 那他就是从那
[00843.16-00845.96] 到外把电脑里的相关的
[00845.96-00847.80] 你小的东西给他
[00847.80-00850.20] 发到你这边或者让你接收到
[00850.20-00851.64] 他是一个从那道外的过程
[00851.64-00854.28] 那这里面的考试的考察界和前面一样
[00854.28-00856.82] 也是在考察在这个过程当中
[00856.82-00858.42] 输出设备用哪些
[00858.42-00860.14] 比如说在这里面我们看到了
[00860.14-00861.80] 你小了获得你要的信息
[00861.80-00862.76] 你需要看什么
[00862.76-00864.06] 需要看显示频
[00864.06-00866.68] 不然你百度是什么呢
[00866.68-00867.52] 百度里面就
[00867.52-00870.84] 百度啊说结出青年或者公考结出青年
[00870.84-00872.62] 通过
[00872.62-00875.04] 健康打字和属标定位
[00875.04-00876.44] 看仇一下回车
[00876.44-00877.88] 然后电脑谈车了
[00877.88-00880.32] 说公考结出青年是一家什么什么
[00880.32-00881.48] 什么样的公司对吧
[00881.48-00882.68] 里面的亲目和节日
[00882.68-00884.24] 真的是大好人
[00884.24-00884.60] 对吧
[00884.60-00886.04] 你这里搜出来的结果
[00886.04-00887.16] 你看你看到的
[00887.16-00889.36] 刚才我所描述的这一垃圾
[00889.36-00890.08] 我们所说的
[00890.08-00892.16] 信息的那种是通过什么传绩给你的
[00892.16-00893.40] 是我通过显示器
[00893.40-00894.68] 就是咱们的电脑平
[00894.68-00895.24] 对吧
[00895.24-00896.16] 所以在这里面
[00896.16-00897.04] 它数约
[00897.04-00897.92] 数出设备
[00897.92-00899.56] 那还有打印机
[00899.56-00900.40] 它也数约
[00900.40-00901.96] 像这种打印机也数约
[00901.96-00902.80] 我们所说的什么
[00902.80-00903.68] 数出设备
[00903.68-00904.92] 在这里面的
[00904.92-00905.56] 这个过程
[00905.56-00906.36] 它是把
[00906.36-00907.88] 电脑当中的文件
[00907.88-00908.56] 放给你
[00908.56-00908.96] 对吧
[00908.96-00910.76] 这个是我们所说的打印机
[00910.76-00913.16] 还有我们所说的会图云云
[00913.16-00915.36] 说出语言 叔叔系统
[00915.36-00918.76] 还有我们所说的此技陆设备等等
[00918.76-00920.56] 包括我们所说的音箱
[00920.56-00923.16] 音箱是不是把电脑里的歌对外传达
[00923.16-00924.36] 音箱是
[00924.36-00926.96] 如果是从美网外的
[00926.96-00928.76] 它都属于我们所说的什么
[00928.76-00929.56] 叔叔设备
[00929.56-00931.56] 所以在这里面想给同学提个醒
[00931.56-00933.16] 这时候我们再去记书入
[00933.16-00934.56] 或说叔叔出的时候
[00934.56-00935.76] 你背不下来
[00935.76-00936.96] 或者是你背不过来
[00936.96-00938.00] 那这时候怎么办呢
[00938.00-00940.14] 你就把握住他的核心
[00940.14-00942.60] 从外往内的叫做舒入
[00942.60-00946.70] 然后把我们不太常见的去给他记录下来就行了
[00946.70-00948.08] 比如说设论头我们不常见
[00948.08-00950.02] 那就专门去记设头
[00950.02-00951.36] 那舒出设备也要
[00951.36-00953.76] 舒示备是把里面的东西拿到外面来
[00953.76-00955.94] 那把里面的东西拿到外面来的话
[00955.94-00957.24] 那在这里面是什么呢
[00957.24-00958.88] 比如说会图一一
[00958.88-00960.16] 把电脑的指令
[00960.16-00962.36] 然后打印出来的这种就会图一一
[00962.36-00962.72] 对吧
[00962.72-00964.24] 那你看这个不太常见
[00964.24-00966.24] 那像其他的什么影像
[00966.24-00971.84] 收出,那就来压音箱的很明显是我们所说的叔叔设备了
[00971.84-00976.88] 所以掌握这首就掌握核心,然后第二个不常见,不然对不下来
[00976.88-00982.36] 而且他有的时候考试的时候,他也不会就出咱们收上给到的这几个
[00982.36-00988.32] 因为电脑的主城掉下太多了,他没有干净一列举,所以同于他们寄他的手就几核心就行了
[00988.96-00992.48] 好吧,这个就是我们所说的,叫做硬件
[00992.48-00997.72] 但说了,硬家就是电脑的组成部分,除了硬家之外还有一些什么
[00997.72-00998.88] 还写软件
[00998.88-01001.12] 软件这些东西和硬家不一样
[01001.12-01002.56] 硬家几乎都是什么
[01002.56-01008.20] 几乎都是看的间摩的找的电脑的设备这种是可事化的东西
[01008.20-01011.12] 但是电脑如果只是说有什么电源
[01011.12-01012.56] 有什么显示品
[01012.56-01014.12] 有这些东西还原源不够
[01014.12-01015.52] 电脑的运行还需要什么
[01015.52-01017.12] 还需要软件
[01017.12-01018.84] 所以来看一下在这里面
[01018.84-01021.72] 我们所说的电脑的过程还需要软件
[01021.72-01025.56] 电脑枯成的软件是两种一种叫做系统软件
[01027.86-01029.08] 还有一种叫什么呢
[01029.08-01032.08] 还有一种叫做我们所说的成续软件
[01032.98-01034.40] 我们叫做应用成续吧
[01036.58-01037.58] 就是这两种
[01037.58-01039.08] 那什么叫系统软件呢
[01039.08-01040.36] 咱们出上也给到了
[01040.36-01044.12] 说系统软件是用于管理计算机系统
[01044.12-01045.36] 而专门设置的
[01045.36-01047.00] 也就是没有它不行
[01047.00-01047.76] 我就简单说
[01047.76-01049.58] 就是没有这个东西
[01049.58-01052.58] 没有它并行不了
[01052.58-01055.58] 没有这个没安装这个东西电脑就就不了了
[01055.58-01057.58] 这时候比较长见的这个就叫什么
[01058.58-01059.58] 叫做系统软件
[01059.58-01060.58] 我们最长见的就是什么
[01060.58-01061.58] 冰豆子系统
[01061.58-01062.58] 对吧
[01062.58-01063.58] 天天那个电脑就催着你更新
[01063.58-01065.58] 我现在已经升到第一了
[01065.58-01066.58] 对吧
[01066.58-01068.58] 你看像冰豆子、林内克斯等等
[01068.58-01069.58] 这些
[01069.58-01071.58] 它就是没有它这个电脑就已经不了了
[01071.58-01072.58] 叫做系统软件
[01072.58-01073.58] 大助一下
[01073.58-01076.58] 这是我们所说的这个系统软件
[01076.58-01077.58] 还有一些英文软件是什么呢
[01077.58-01080.26] 用用软件在这里面他都给到了
[01080.26-01083.14] 说为解决某一几体问题而编制的
[01083.14-01085.38] 常见的有Alpha 软件是平不放弃
[01085.38-01086.98] 那这里面的应用软件
[01087.98-01089.82] 同样们也不用专门去背
[01089.82-01091.14] 你就是用软件做什么
[01091.14-01093.78] 就是后下载的这些PC关
[01097.22-01099.78] 那就是后下载的
[01100.58-01101.74] 我就不写PC关了
[01101.74-01102.22] 好吧
[01102.22-01104.54] 后下载的这些丑续
[01105.66-01107.02] PC关的这种写
[01107.02-01110.96] 比如说你现在在电脑当中下载的WPS
[01110.96-01113.16] 那你下载WPS它属于什么
[01113.16-01114.32] 它属于英文软件
[01114.32-01115.72] 因为它是后下载的
[01115.72-01116.82] 英文于办公的
[01116.82-01119.40] 比如说你现在在电脑当中想看个电影
[01119.40-01120.98] 对吧,这一天风神
[01120.98-01123.36] 手发在网上六块钱
[01123.36-01124.60] 对吧,那这种情况之下
[01124.60-01125.84] 你下了一个同学呢
[01125.84-01127.00] 下了一个悠哭
[01127.00-01129.40] 那这里面同学也好悠哭也好
