[00000.00-00004.10] 咱們把前面的前和漢之間的這個更疊的順序
[00205.00-00206.28] 我估计都已经得建交了
[00206.28-00207.24] 就翻来翻去呢
[00207.24-00208.28] 后面都翻不动了
[00208.28-00209.92] 就在博字上挂个神儿
[00209.92-00211.08] 然后把手担在那儿
[00211.08-00212.08] 然后再翻啊
[00212.08-00213.12] 所以在这个地方呢
[00213.12-00215.52] 就形容它看我们所说的这个
[00215.52-00217.08] 作证看很钱
[00217.08-00219.60] 所以就有了这样的一个点顾啊
[00219.60-00221.88] 或者叫成立叫做橫旦梁书
[00221.88-00223.36] 或者叫选旦成书
[00223.36-00223.96] 那这个呢
[00223.96-00224.96] 就是我们所说的
[00224.96-00225.92] 有关于秦主王
[00225.92-00227.56] 它相应的两个点顾啊
[00227.56-00229.00] 大家注意 再在这
[00229.00-00230.08] 那皇帝制度呢
[00230.08-00231.88] 其实本事是明确了我们所说
[00231.88-00232.88] 他的皇帝
[00232.88-00234.88] 他的一个我们所说的中央集权的
[00234.88-00237.88] 所以皇上为了加强自己的集权
[00237.88-00240.88] 所以在中央又设置另外一个字竖
[00240.88-00241.88] 叫做三公九星质
[00241.88-00242.88] 这个三公九星质
[00242.88-00243.88] 三公九星质
[00243.88-00244.88] 三九星质
[00244.88-00246.88] 其实并非只有九个关职
[00246.88-00248.88] 这个九代表的是多的意思
[00248.88-00250.88] 所以我们也把这个关职
[00250.88-00253.88] 称是为叫做三公朱晴质
[00253.88-00255.88] 那需要同学们去掌握的是啥呢
[00255.88-00257.88] 九星大家不用去掌握
[00257.88-00258.88] 因为它特别多
[00258.88-00259.88] 所以在考试的时候
[00259.88-00260.90] 不太好考
[00260.90-00262.70] 所以需要同一们掌握的是在这个
[00262.70-00264.48] 里面所给到的三公
[00264.74-00266.28] 三公指的是哪三公
[00266.28-00267.94] 三公指的就是成像
[00267.94-00269.86] 太位以及玉士大夫
[00270.12-00271.40] 这个三公原本
[00271.40-00272.94] 其实就是我们所说的
[00272.94-00273.96] 把原本
[00274.22-00276.52] 归属于成像一个人的权利
[00276.52-00277.54] 一分为三了
[00277.54-00279.08] 所以在这里这个三公
[00279.34-00281.38] 那三公当中的成像主管什么呢
[00281.38-00282.16] 搭住一下
[00282.16-00284.20] 成像的主管是行政
[00285.74-00287.28] 成像主管是行政
[00287.28-00288.30] 我们常说的叫做
[00288.30-00290.30] 掌城天子 日理万街
[00290.30-00292.30] 那干的就是一些形成工作
[00292.30-00297.80] 那太位是我们所说的主管的是整体上的大住一下
[00297.80-00301.30] 太位主管是军事 就是我们所说的军事
[00301.30-00304.80] 而于史大夫相当于复象主管的是我们所说的
[00304.80-00306.30] 监察
[00306.30-00310.30] 所以三公需要同一们掌握的就是三公的职责分别是什么
[00310.30-00313.30] 那其实三公九层只在这里大家也能够看得出来
[00313.30-00316.30] 这是把以前归属于成像一个人的权力
[00316.30-00317.70] 你拆分雷3分
[00317.70-00319.82] 那拆分的月多相对来说
[00319.82-00321.16] 我们整体上
[00321.16-00322.82] 成像的权力就会越小
[00322.82-00324.22] 而谁的权力就越大
[00324.22-00326.82] 而黄地的权力就会越大
[00326.82-00328.46] 所以这是我们所说的三公
[00328.46-00330.70] 所以三公九星之也是加强
[00330.70-00333.62] 黄权的一种手段和方式
[00333.62-00334.98] 这个是我们所说的
[00334.98-00336.54] 为了加强它的中央集权
[00336.54-00339.66] 它在中央所实行的这样的一个关制
[00339.66-00342.54] 除了在中央搞这一套加强黄权之外
[00342.54-00345.90] 它在地方要搞一套来加强中央的权力
[00345.90-00350.38] 所以这时候出现了我们所说的叫做军线纸
[00350.38-00352.94] 军线纸其实我们之前站过的时候
[00352.94-00354.86] 有给大家去讲到过
[00354.86-00358.06] 军线纸最开始的时候其实在楚国
[00358.06-00360.70] 那个地方有了它的一个原型
[00360.70-00362.54] 后来我们所说的
[00362.54-00364.86] 请教宫是用商阳变法
[00364.86-00367.58] 然后推行军线纸使它对强大
[00367.58-00371.10] 而且其实黄营正建立了统一的国家之后
[00371.10-00373.26] 就到底是是有分封制
[00373.26-00374.54] 还是用浸现之呢
[00374.54-00376.66] 就进行了当时一个大头论
[00376.90-00377.34] 当时呢
[00377.34-00378.54] 清朝距离之后呢
[00379.26-00381.10] 清朝王小同一整个国家
[00381.26-00382.74] 他其实会有不同的想法
[00382.74-00383.86] 于是他就问了大臣
[00383.86-00386.54] 这个大臣当着有一个性王的大臣就说
[00386.70-00387.02] 说啊
[00387.02-00388.14] 咱们要不这样的
[00388.26-00388.78] 我觉得呢
[00388.78-00390.34] 还是要采用分封制
[00390.58-00391.62] 采用分封制之后呢
[00391.62-00392.98] 也可以把你的这些儿子
[00392.98-00394.82] 送到各个我们所说的这个
[00395.22-00396.06] 封地区
[00396.06-00396.46] 然后呢
[00396.46-00397.46] 这种情况之下呢
[00397.46-00398.74] 他们就可以帮助你
[00398.74-00400.06] 去振守那些封地
[00400.26-00401.34] 然后这个官员说完
[00401.34-00402.46] 这好其他官员都觉得
[00402.46-00403.86] 說得有道理
[00403.86-00404.86] 沒有啊
[00404.86-00407.06] 當時就紛紛數幾大門指
[00407.06-00410.10] 在這關聯當中有一個人是採取反對態度的
[00410.10-00411.22] 這個人是誰呢
[00411.22-00413.70] 這個人就是我們所說的理思
[00413.70-00415.42] 理思當時一致
[00415.42-00417.58] 反對我們所說的總紛紛指
[00417.58-00418.98] 他的理由其實很簡單
[00418.98-00419.66] 理思說
[00419.66-00421.18] 你搞紛紛只有什麼用呢
[00421.18-00424.66] 當年文網和武王一共紛紛風了71個主合國
[00424.66-00427.50] 其中有53個都是機性
[00427.50-00430.10] 但是到了最後的時候發現
[00430.10-00432.42] 有用的一点用都没有
[00432.42-00435.62] 然后李斯画风一转就开始给亲人画拍了
[00435.62-00439.26] 他说金海内来陛下10.1头
[00439.26-00441.22] 说现在能够同一天下
[00441.22-00442.26] 和所有官的
[00442.26-00443.66] 和那些风风没有关系
[00443.66-00445.70] 主要还是和皇帝你有关系
[00445.70-00447.18] 亲人还一听这话
[00447.18-00447.90] 愿没有听
[00447.90-00449.06] 实际还太愿意听了
[00449.06-00450.10] 李斯接着说
[00450.10-00451.86] 天下混乱莫只能一
[00451.86-00453.06] 就说那些风风之啊
[00453.06-00454.10] 其实没有什么用
[00454.10-00457.18] 所以在这里他强调推行俊善制
[00457.18-00460.54] 而青人皇也裁取了李斯的这样一个建议
[00460.54-00462.14] 在全国推行巨现质
[00462.14-00464.30] 所有的我们所说的这个
[00464.94-00467.54] 巨现当中的巨手和限力
[00467.54-00470.30] 都是由黄地直接认面的
[00470.30-00472.34] 当时的形容趋画是什么样子的
[00472.34-00474.42] 当时的形容趋画是在地方
[00474.42-00477.66] 是画分成我们所说的是贇有巨
[00477.66-00480.42] 然后巨现是画分出来了现
[00480.42-00484.26] 而现在往下是画分出来了相在往下
[00484.26-00485.50] 是画分出来了里
[00485.50-00491.90] 而相和理这两集 他的我们所说的管理人员是相和理自己选的
[00491.90-00495.58] 相和理就有点类似于今天的群众自治组织
[00495.58-00499.90] 相当什么具委会退归 直接类似于这种 都是他们自己选出来的
[00499.90-00504.30] 而在这里面的选合线打住一下 它是地方一集形容区画
[00504.30-00508.14] 所以地和选的官员必须要听中央的话
[00508.14-00512.70] 所以你看均手和线令是不是选出来的 不是
[00512.70-00513.74] 而是由谁呢
[00513.74-00515.94] 而是由我们所说的在这里出现
[00515.94-00519.50] 而是由黄地直接来任面的
[00519.50-00521.62] 既然归黄地一个人管
[00521.62-00524.10] 是不是所有人都听黄地的话
[00524.10-00525.78] 在从某种程度上
[00525.78-00528.30] 就加强了我们所说的中央集权
[00528.30-00529.50] 就加强了中央集权
[00529.50-00531.50] 这是我们所采取的俊限制
[00531.50-00533.54] 那俊限制的主要目的是什么呢
[00533.54-00534.94] 主要目的是为了
[00534.94-00536.34] 削弱地方的权力
[00536.34-00539.38] 管理好地方的人来加强中央的权力
[00539.38-00542.22] 所以俊限制的主要只能达住一下
[00542.22-00543.98] 在这里标主一下圈三
[00543.98-00546.98] 巨仙制的主要只能就是我们所说的什么
[00546.98-00547.86] 管人
[00547.86-00550.22] 巨仙制的主要只能就是我们所说的管人
[00550.22-00554.70] 所以巨仙制在很大成都上就加强了中央集权
[00554.70-00557.14] 共目了我们所说的黄权
[00557.14-00558.46] 广告我们所说的黄权
[00558.46-00560.18] 那这个所说的巨仙制
[00560.18-00563.38] 而巨仙制在秦国推行了一段时间之后
[00563.38-00565.78] 有一天前日黄就在公平当中
[00565.78-00567.30] 召开了一个大魄体
[00567.30-00569.70] 我们就说公平怕搞了个派对
[00569.70-00570.90] 在这派对当中
[00570.90-00572.26] 大多喝了很近性
[00572.26-00574.66] 其中有一个人就叫做纯粤粤粤粤
[00574.66-00579.22] 这个纯粤本身当时是本着学书探讨的这样一个精神
[00579.22-00581.14] 想去和这个亲手往去探讨一下
[00581.14-00584.18] 到底是据现之更好还是分红之更好
[00584.18-00586.98] 所以当时纯粤粤粤就说了这样一个话
[00586.98-00590.10] 他说你现在搞这个据现之有什么用呢
[00590.10-00594.26] 他说说是使陛下有海内而地子为皮膚
[00594.26-00596.74] 说你搞这个据现之搞了一搞去是啥呢
[00596.74-00598.26] 你告诉到了皇帝了
[00598.26-00601.54] 但是你家的那些人还是平头老百姓
[00601.54-00602.78] 他就说了这样一句话
[00602.78-00603.14] 对吧
[00603.14-00604.42] 他说他接着又说
[00604.42-00606.78] 说所有甜场六亲之臣
[00606.78-00608.34] 就无复复
[00608.34-00610.50] 那可以相救在
[00610.50-00611.46] 他说你看
[00611.46-00615.34] 像以前我们所说的这种春秋和战国的这种情况
[00615.34-00615.78] 对吧
[00615.78-00618.94] 那你看像甜时代气这种类似于这种情况出现了
[00618.94-00621.22] 你没有分封的兄弟姐妹
[00621.22-00622.54] 那谁来救你呢
[00622.54-00623.98] 可以相救在
[00623.98-00625.70] 这说到这儿就已经醒了
[00625.70-00626.10] 对吧
[00626.10-00627.38] 其实就是在探脱说
[00627.38-00629.98] 这分放制也还ok 都可以推行
[00629.98-00631.58] 但是他后来又说了一句话
[00631.58-00633.98] 这句话就导致了分数抗务的出现
[00633.98-00634.98] 他说的是啥呢
[00634.98-00637.98] 他说是不是诗谷能而能长者
[00637.98-00638.78] 非文意
[00638.78-00640.46] 就是我们所说的非所文意
[00640.46-00643.82] 他说诗谷就是不像以前去学习的
[00643.82-00645.18] 能长久的
[00645.18-00647.98] 这些军王能长久的这些统治
[00648.78-00649.58] 没听过
[00649.58-00652.38] 简直是天大的需要换这些搞需要的嘛 对吧
[00652.38-00654.58] 所以他就把这句话一说一说出来
[00654.58-00656.58] 信任方当时一下就不乐意了
[00656.58-00659.82] 心想说让你们这些无声干什么呢
[00659.82-00661.06] 对吧有什么用呢
[00661.06-00663.70] 所以在这种情况之下他就觉得这些无学者
[00663.70-00665.02] 想法太多了
[00665.02-00666.58] 于是亲皇就因为这个
[00666.58-00668.42] 纯粹和他之间对话
[00668.42-00670.70] 所以就搞了我们所说的叫做分输
[00670.70-00671.50] 就是本书
[00671.50-00672.74] 就是把我们所说的
[00672.74-00673.94] 除了一学点击
[00673.94-00676.10] 日常用书的这些去给他
[00676.10-00677.78] 我们所说的这些留下来之外
[00677.78-00679.22] 其他的全部都分烧了
[00679.22-00680.22] 全部都分烧了
[00680.22-00681.42] 所以就为了分输
[00681.42-00683.42] 而后面就有了空努艺说
[00683.42-00684.94] 空努就是亲皇要练单
[00684.94-00686.38] 但是速度超得差不多了
[00686.38-00690.34] 很多这种方数之事就没有输可以帮助侵划了
[00690.34-00693.62] 所以这种情况之下的造块东西侵划给他们都买了
[00693.62-00695.22] 所以叫做分输空辱
[00695.22-00699.30] 所以空辱大部分买的还都是我们所说的这种方式
[00699.30-00701.74] 如生只是其中的另外一部分
[00701.74-00704.18] 大部分都是我们所说的方式巨多
[00704.18-00705.90] 所以这是我们所说的分输空辱
[00705.90-00709.30] 所以大家知道在这里有关于分输空辱的点
[00709.30-00712.02] 它其实是均限值和分辱值讨论之下
[00712.02-00713.86] 最后所导致的这样的一个结果
[00713.86-00715.66] 而这里面的一个主要人物是谁呢
[00715.66-00717.70] 大家知道就是我们所说的纯约
[00717.70-00719.24] 所以一旦说到等数框鲁
[00719.24-00722.06] 说到纯约就知道和什么事件有关系
[00722.06-00722.82] 就可以了
[00722.82-00724.10] 那这是我们所说的
[00724.86-00726.26] 有关于秦朝
[00726.26-00728.46] 他所给到的我们所说的加强
[00728.96-00729.48] 黄权
[00729.74-00731.78] 他搞的叫做三公9枪纸
[00732.04-00734.26] 而想要加强中央的权力
[00734.26-00735.42] 搞的就是我们所说的
[00735.42-00736.14] 俊善纸
[00736.14-00737.42] 搞就是俊善纸
[00737.66-00738.26] 但在这呢
[00738.26-00739.46] 其实我们也会发现
[00739.96-00741.26] 从秦使黄之后
[00741.46-00743.54] 中国是一个统一的集权的国家
[00743.54-00747.02] 所以後面立炒力帶在制度的調整上
[00747.02-00749.86] 其實都是在其人網一有的模式上
[00749.86-00751.94] 進行相的修修不不
[00751.94-00753.02] 舉個例子來說
[00753.02-00753.70] 比如說
[00753.70-00755.38] 請我搞我們所說的
[00755.38-00756.10] 俊善制
[00756.10-00757.86] 最後我們所說的
[00757.86-00759.78] 大家把清朝推翻了
[00759.78-00760.90] 清朝推翻了之後
[00760.90-00761.86] 我們所說的
[00761.86-00762.98] 漢高組流邦
[00762.98-00764.18] 建立了漢朝之後
[00764.18-00765.38] 他就知道
[00765.38-00767.14] 前日黃吃了俊善的虧
[00767.14-00769.22] 因為當時大家天下都反他的說
[00769.22-00770.26] 沒人來幫他
[00770.26-00771.46] 所以在這裡
[00771.46-00778.02] 漢高族流亡就总结了 秦朝灭亡的一个经验 在整个我们所说的国家治理上
[00778.02-00782.06] 搞了一个制度 就是既有分封制 有由我们所说的俊限制
[00782.06-00786.90] 所以在这里 搞的就是我们所说的叫做俊国病行 俊国病行
[00786.90-00793.98] 就是既有分封 又有俊限 所以我们经常说到一句话 叫做汉城秦治 有所随意
[00793.98-00801.42] 但是它这个地方 它搞的这个我们所说的分封制 它又比之前的分封搞的又稍微的
[00801.42-00803.46] 高级了一些高级在哪
[00803.46-00805.90] 比如说我们所说的周朝的这个分封制
[00805.90-00807.02] 周朝的分封制
[00807.02-00809.66] 分封的是王妻贵族
[00809.66-00812.18] 还有我们所说的一些工程的后代
[00812.18-00812.50] 对吧
[00812.50-00815.18] 就是先族他们的这些贵族的后代
[00815.18-00817.42] 他担担这先分封的都是自己家人
[00817.42-00818.06] 然后分啊
[00818.06-00820.22] 那时候再去分和他打天下的这些人
[00820.22-00821.82] 但是到了我们所说的
[00821.82-00823.34] 汉高族流帮这个地方
[00823.34-00824.06] 大家注意一下
[00824.06-00825.58] 他搞的这个分封
[00825.58-00826.78] 分的只是什么呢
[00826.78-00827.62] 大家注意一下
[00827.62-00829.70] 分的只是统信王
[00829.70-00834.46] 牛的分封 只分封我们所说的性流的
[00834.46-00838.70] 这个就是和我们所说的西州的分封指有很大的不同的地方
[00838.70-00840.66] 因为在韩国组流帮看了
[00840.66-00842.82] 如果说到时候真的发生事情了
[00842.82-00845.26] 他也是老刘家内部在做这个事
[00845.26-00849.42] 对吧 所以自从他搞的这个分封指分封同性王之后
[00849.42-00851.90] 就形成了一个传统 什么传统呢
[00851.90-00856.26] 就是一性不往从汉朝的时候就已经确立了
[00856.26-00859.08] 所以当时在分封制当中
[00859.08-00860.86] 我们所说的汉朝的分封制里面
[00860.86-00861.64] 大家注意一下
[00861.64-00862.90] 还有一个点顾
[00862.90-00863.94] 这个点顾是什么呢
[00863.94-00865.54] 就叫做白马蒙式
[00865.54-00867.86] 就是当时流帮觉得自己要不行了
[00867.86-00869.84] 林子的时候就是展白马
[00869.84-00872.38] 让珠侯跟他一起去歧视
[00872.38-00875.20] 当时的白马在他那个时候还是很珍贵的
[00875.20-00877.38] 那是存着马就展白马蒙式
[00877.38-00879.30] 在妈妈蒙式说的一句话是什么呢
[00879.30-00882.46] 说非流氏而望着天下共激之
[00882.46-00883.40] 意思就是
[00883.40-00885.32] 如果不是咱们老留家的人
[00885.32-00887.52] 然后在这过程当中他在天下称王了
[00887.52-00889.76] 那裙天下人都要去公党他
[00889.76-00891.08] 所以在这时候我们说了
[00891.08-00892.36] 一行不王的传统
[00892.36-00894.44] 从他这个时候就开始了
[00894.44-00897.48] 所以这是在汉国组流帮当中所搞的分红制
[00897.48-00899.80] 但分红虽然分红的是同性王
[00899.80-00901.04] 但这个同性王
[00901.04-00903.28] 只是也像一个一个小的主侯
[00903.28-00906.88] 就是要当于在一个自己的风地当中的一个我们所说的
[00907.32-00908.64] 老大是要的
[00908.64-00912.40] 所以这些主侯慢慢的也会做大做强
[00912.40-00915.08] 所以在前面的时候咱们是不是讲过了
[00915.08-00917.40] 在我们所说的警地的时候就发生了
[00917.40-00919.08] 其国之亚无王劉弊
[00919.08-00920.48] 就是做的非常强
[00920.48-00922.68] 所以在这种情况之下发生了其国之亚
[00922.68-00924.04] 所以就能够看得出来
[00924.04-00925.20] 猪猴的力量
[00925.20-00927.32] 其实限制了天子力量的发展
[00927.32-00928.56] 那这种情况还要达角
[00928.56-00929.72] 你爱我眼了
[00929.72-00930.68] 我还能留着你吗
[00930.68-00932.00] 我只能不能留着你了
[00932.00-00933.56] 所以从文地的时候
[00933.56-00935.28] 开始削弱猪猴的力量
[00935.28-00936.28] 到了警地的时候
[00936.28-00937.80] 直接动手要削翻了
[00937.80-00939.28] 到了恨五地的时候
[00939.28-00940.12] 恨五地是谁
[00940.12-00942.92] 恨五地是汉警地的儿子
[00942.92-00944.08] 就是恨五地留车
[00944.08-00946.68] 哈喽地的时候就接受了大主意象
[00946.68-00948.48] 这是主副演的建议
[00948.48-00950.20] 要知道接受了谁的建议
[00950.20-00951.52] 主副演的建议搞什么呢
[00951.52-00952.48] 搞推力
[00952.48-00953.96] 推力的意思是啥呢
[00953.96-00955.76] 就是你看我说的有没有道理嘛
[00955.76-00956.04] 对吧
[00956.04-00957.04] 当时说的就是
[00957.88-00958.64] 你看
[00958.64-00960.08] 我那现在是一个出口
[00960.08-00960.64] 对吧
[00960.64-00961.08] 你呢
[00961.08-00962.24] 分了我做出口
[00962.24-00962.64] 我呢
[00962.64-00963.64] 孩子一大堆
[00963.64-00964.12] 对吧
[00964.12-00965.24] 那总不能说
[00965.24-00966.28] 我的大儿子
[00966.28-00967.60] 继承了我的红位
[00967.60-00969.16] 然后我的儿子三儿子
[00969.16-00969.64] 然后呢
[00969.64-00970.48] 没有什么红位
[00970.48-00971.52] 也老不着便宜
[00971.52-00973.36] 然后跑到大箭上去边草鞋
[00973.36-00974.40] 你觉得你好意思吗
[00974.40-00974.90] 对吧
[00974.90-00976.04] 你结婚你的哥哥
[00976.04-00976.50] 然后呢
[00976.50-00977.30] 是称王了
[00977.30-00979.00] 然后结婚的你在那边草鞋
[00979.00-00980.20] 白地带着电汤
[00980.20-00981.40] 那这说不过去
[00981.40-00982.50] 所以哈务率就说
[00982.50-00983.08] 说什么呢
[00983.08-00983.60] 推温
[00983.60-00985.64] 就是这个好处不能你独战
[00985.64-00987.20] 咱们都是老留家的人
[00987.20-00988.84] 所以你作为大哥
[00988.84-00990.32] 你成熙了这个王位之后
[00990.32-00991.68] 那你的那些弟弟咋吧
[00991.68-00992.24] 你是不在
[00992.24-00993.48] 分给他们一点好处
[00993.48-00994.88] 只有在把你的风地
[00994.88-00996.16] 去分给他们一些
[00996.16-00997.52] 那这样的一个结果是啥
[00997.52-00998.56] 这样结果就是
[00998.56-00999.72] 其他的那些弟弟
[00999.72-01001.00] 会对哈务力感恩代的
[01001.00-01002.00] 而黄人生命
[01002.00-01002.24] 对吧
[01002.24-01004.48] 还想着咱呢 黄真是个好皇帝
[01004.48-01006.24] 从时第二个就是
[01006.24-01008.60] 他把原本叫大的珠后果
[01008.60-01010.04] 又层层分个下去
[01010.04-01011.76] 说土地就会越来越小
[01011.76-01013.72] 那如果土地越来越小之后
[01013.72-01016.52] 那这个时候你也先取多大的浪花了
[01016.52-01017.84] 所以在这里面
[01018.36-01021.44] 他根据祖父演的建议去搞了一个我们所说的
[01021.44-01022.20] 团队
[01022.20-01023.64] 所以大家知道团队什么意思
[01023.64-01025.04] 是根据谁的建议来的
[01025.04-01026.72] 而班部的团队后
[01026.72-01027.64] 大助业
[01027.64-01029.44] 汉务地称热打铁
[01029.44-01030.92] 没有搞了另外一个
[01030.92-01034.96] 另外我们所说的方法叫做什么呢
[01034.96-01038.80] 另外这个方法就是搞了一个就是我们所说的叫做周金令
[01038.80-01040.32] 什么叫做周金率呢
[01040.32-01041.28] 这个周金率啊
[01041.28-01043.08] 这从他也是出来的点顾呢
[01043.08-01046.16] 就是我们所说的叫做周金时侯周金时侯
[01046.16-01047.32] 这有说的是啥事呢
[01047.32-01048.60] 就是在推令之后啊
[01048.60-01049.80] 大家都知道啊
[01049.80-01054.48] 它们其实有这个技线主的这样的一个传统席所
[01054.48-01056.72] 那技线主或者是技主线的话
[01056.72-01058.12] 你要就要金子的
[01058.12-01059.84] 它那个金子是有规格的
[01059.84-01062.08] 比如说我就规定你既先祖的时候
[01062.08-01063.92] 你必须给我24K的纯金
[01063.92-01065.72] 结果你拿过来是18K的金色
[01065.72-01066.48] 我这一看
[01066.48-01067.92] 你个另一子 对吧
[01067.92-01069.28] 你来死人都骗
[01069.28-01070.36] 你来先祖你都骗过
[01070.36-01071.36] 拿18K了
[01071.36-01072.24] 这种情况之下
[01072.24-01074.40] 如果你给到这个祝今
[01074.40-01076.64] 它如果不是特别纯的话
[01076.64-01078.00] 这有所怎么办
[01078.00-01079.72] 多你的红位
[01079.72-01081.40] 就是把你的绝位就给你多走了
[01081.40-01082.24] 所以在这里
[01082.24-01083.44] 就是称着我们所说
[01083.44-01084.92] 天令之后就搞了一个
[01084.92-01086.04] 祝今之后
[01086.04-01086.84] 这样的话
[01086.84-01088.32] 其实就把我们所说的
[01088.32-01091.40] 豬和王的力量就给他削弱了
[01091.40-01093.16] 这个就是我们所说的推力
[01093.16-01098.24] 从这样的话其实就从某种程度上加强了我们所说的中央的这个权力
[01098.24-01099.84] 这个就是我们所说的推力
[01100.88-01102.40] 除了推力之外
[01102.40-01104.64] 汉武地还接受了我们所说的
[01104.64-01107.44] 懂众书的建议提出了一个观念
[01107.44-01110.40] 叫做霸处百家讀尊如数
[01110.40-01112.08] 也就是在这个过程当中
[01112.08-01116.40] 如血就成为了我们所说的正统的这样的一个地位
[01116.40-01117.80] 就成了我们所谓的重统地位
[01117.80-01119.60] 那这霸出百家都在入宿
[01119.60-01121.46] 而同时的哈务地也接受了
[01121.46-01123.20] 董中数的建立设立了什么呢
[01123.20-01124.80] 这里第二个小达掌握的
[01124.80-01127.16] 就设立了我们所说的太选
[01127.16-01128.32] 设立了太选
[01128.32-01129.36] 那这是我们所说的
[01129.36-01132.96] 在思想或者是叫文化的统一上
