[00000.00-00004.08] 我們接著來往下看來看一下怎樣建設收主義問題
[00150.70-00153.02] 从1956年按照它的三步走
[00153.02-00154.78] 到基本实现现代化
[00154.78-00156.26] 一直是多少时间呢
[00156.26-00158.46] 大概是100多年的时间
[00158.46-00159.86] 因为它在三步走当中说了
[00159.86-00161.78] 到21世纪的中业
[00161.78-00163.78] 到平统治说叫基本实现
[00163.78-00164.34] 现代化
[00164.34-00166.26] 所以从那个时间规划上来看
[00166.26-00169.14] 它的骑士时间大概是100多年的时间
[00169.14-00170.66] 那这100多年的时间
[00170.66-00172.58] 我们一直要坚持收护主义
[00172.58-00173.42] 出几阶段
[00173.42-00175.98] 那这个初级阶段到底是什么意思
[00175.98-00177.82] 所以我们来看一下第三个部分
[00177.82-00179.98] 这社会主义出一阶段的内涵
[00179.98-00182.30] 这社会主义出几阶段的内涵
[00182.30-00183.22] 说几实话
[00183.22-00184.58] 他其实就是自面意思
[00184.58-00186.58] 第一个就是社会主义
[00186.58-00187.94] 第二就是初级阶段
[00187.94-00189.34] 说老是你这么废话吗
[00189.34-00191.62] 首先第一个咱们知道什么是社会主义
[00191.62-00193.54] 社会主义是一种社会发展的
[00193.54-00194.42] 一是请派
[00194.42-00196.54] 我们说了根据马克思来看的话
[00197.30-00198.18] 马克思说
[00198.18-00200.86] 人类社会他是从原始社会
[00200.86-00203.42] 每亥二度的属于是到努力社会
[00203.42-00204.70] 到封建社会
[00204.70-00206.24] 在我自问主义社会
[00206.24-00208.02] 在到社会主义社会
[00208.02-00208.80] 那你看
[00208.80-00210.46] 这是马斯做提到的什么
[00210.46-00211.98] 人类社会发展的立场
[00211.98-00213.28] 马斯一般请而认为
[00213.28-00215.58] 他们这几个阶段是按数据来发生的
[00215.58-00216.22] 那你比如说
[00216.22-00218.10] 先是原始在是努力
[00218.10-00220.58] 然后由封建地主建局推翻努力主
[00220.58-00222.22] 由资产借举推翻地主
[00222.22-00224.86] 然后再由无产借举推翻资产借举
[00224.86-00226.46] 它是按照这个数据来的
[00226.46-00227.82] 但是问题就是在于
[00227.82-00230.66] 咱们国家有没有经历自问主义社会这个期间
[00230.66-00232.42] 咱们国家是没有的
[00232.42-00233.02] 换句话说呢
[00233.02-00235.26] 咱们国家是缺失了一个部分的
[00235.26-00241.42] 也就是我们直接从半直名地办风际社会直接过渡到了什么社会主义社会
[00241.42-00243.98] 所以在这里面我们就明确了一个点
[00243.98-00247.54] 第一个点必须坚定不疑的就是我们国家是什么国家
[00247.54-00250.22] 我们国家是社会主义国家
[00250.22-00251.10] 那一种意味者
[00251.10-00253.18] 我们国家是社会主义国家就意味上
[00253.18-00256.26] 现在旁边就是我国已经是社会主义
[00256.26-00263.26] 已经是社会主义,然后怎么办,不能倒退
[00266.26-00269.26] 我们国家已经是社会主义国家,不能倒退
[00271.26-00274.26] 所以在这里,大家要明确这是第一个考点
[00274.26-00277.26] 这个点,经常就会考察一个判断体会判断现象
[00277.26-00282.26] 说社会主义初期阶段,就意味着,它是生产力确实的阶段
[00282.26-00285.06] 就以為這是社會主義的道退
[00285.06-00286.18] 能不能退
[00286.18-00288.98] 能不能說我們國家沒有經歷過資本主義
[00288.98-00290.18] 生產力水平不發達
[00290.18-00291.46] 所以我們跳過去
[00291.46-00292.98] 重新走資本主義
[00292.98-00294.34] 然後再過多少社會主義
[00294.34-00295.30] 只能不行的
[00295.30-00296.82] 社會主義出擊階段
[00296.82-00298.18] 他也是社會主義
[00298.18-00299.62] 我們國家立經千幸萬苦
[00299.62-00300.58] 進入到社會主義
[00300.58-00301.54] 我們不能道退
[00301.54-00302.42] 所以第一個點
[00302.42-00304.10] 社會主義當中的第一部分
[00304.10-00305.54] 就是我們已經是社會主義
[00305.54-00306.98] 國家不能道退
[00306.98-00309.62] 但是問題就出現在這
[00309.62-00310.34] 什麼問題呢
[00310.34-00311.14] 大家也知道
[00311.14-00313.54] 按照马斯里露进来看的话
[00313.54-00316.22] 为什么是先进入资本主义社会
[00316.22-00317.70] 在进入到社会社会呢
[00317.70-00320.34] 马斯的意思是在资本主义社会当中
[00320.34-00322.54] 进行了生产力的不断的发展
[00322.54-00324.66] 生产力水平极大峰富之后
[00324.66-00327.78] 我们才能怎么样才能过渡到社会主义
[00327.78-00330.34] 所以社会主义和资本主义之间
[00330.34-00332.78] 它有一个要求这是生产力的发展
[00332.78-00335.46] 生产力水平的极大峰富和体生
[00335.46-00337.46] 才能使资本主义上的过渡
[00337.46-00339.46] 才能使资本主义下社会主义过渡
[00339.46-00343.90] 但是問題就是咱們國家有沒有生產力機裂的這樣一個階段
[00343.90-00347.18] 沒有啊因為我沒有經過資本主義中間的這個環節
[00347.18-00348.30] 所以那怎麼辦
[00348.30-00350.46] 咱們其實處在生產力比較缺失的
[00350.46-00352.10] 所以在這裡面我們說了
[00352.10-00353.70] 那這種情況之下
[00353.70-00357.26] 我們把這種生產力水平不發達的社會主義稱為什麼
[00357.26-00359.90] 稱為社會主義出擊階段
[00359.90-00361.42] 所以你看它後面說的是什麼
[00361.42-00363.94] 他說是我國在生產力
[00363.94-00368.22] 在這啊我國生產力落後商品經濟不發達的條件下
[00368.22-00369.94] 社会主义必然要经历的什么
[00369.94-00371.02] 特定阶段
[00371.02-00372.82] 计从进入社会主义到
[00372.82-00375.18] 基本实验现在化的整个历史时期
[00375.18-00376.22] 那一种意味着
[00376.22-00377.66] 社会主义出去阶段
[00377.66-00379.38] 不是任何国家都要经历的
[00379.38-00380.38] 而是我国怎么样
[00380.38-00381.10] 不用的
[00383.90-00385.34] 而是我国所
[00385.34-00386.98] 特有的这样的一个事情
[00386.98-00388.06] 所以这两个点
[00388.06-00389.66] 就是对于社会主义出去阶段
[00389.66-00390.54] 内涵的解读
[00390.54-00392.50] 而这个点经常在考试的时候
[00392.50-00395.26] 就会考到非常的怎么说
[00395.26-00396.78] 类似于片向有一点点
[00396.78-00398.26] 理解性的这样一个题目吧
[00398.26-00399.86] 就是不会考原了
[00399.86-00401.90] 而是让你去通过你的理解
[00401.90-00403.26] 去变息他对于社会主义
[00403.26-00404.70] 出一期段的分析对不对
[00404.70-00407.50] 一会我们做题的时候会遇到稍微注意一下
[00407.50-00408.82] 那这是第三个点
[00408.82-00410.74] 我们明确了社会主义出一期段的意思
[00410.74-00411.50] 就是字面
[00411.50-00412.38] 先是社会主义
[00412.38-00413.66] 那就因为这不能斗退
[00413.66-00415.02] 第二个出击队
[00415.02-00416.54] 就是生产力血皮
[00416.54-00417.42] 不发胖
[00417.42-00418.70] 或者再出上给的话一下
[00418.70-00420.50] 就生产力血皮落后
[00420.50-00422.70] 这个队是我国社会所特有的
[00422.70-00425.10] 并不是任何国家都要经历的
[00425.10-00426.90] 这就是售主也出节
[00426.90-00427.66] 随段
[00427.66-00429.10] 它的第三个点
[00429.10-00429.90] 第三个点
[00429.90-00431.90] 第4个点的同时来看一下
[00431.90-00434.10] 我们要明确就是收贵主义出一阶段
[00434.10-00435.50] 我们明确这样一个阶段
[00435.50-00436.30] 它有什么用
[00436.30-00438.90] 我们来看一下售主义出一阶段的地位
[00438.90-00440.70] 售主义出一阶段什么地位呢
[00440.70-00442.10] 来看一下书上说的
[00442.10-00443.90] 说党的书大报告指出
[00443.90-00446.90] 说我们讲一切从实际处发
[00446.90-00449.30] 走最大的实际就是
[00449.30-00452.50] 我国正处于变成长期处于售主演出一阶段
[00452.50-00460.18] 所以我们把我国正处于变成长期处于社会主义充确端称为我国最大的实际最大的国情
[00461.20-00471.96] 现在旁边最大的实际最大的国情还有什么还有就是我国制定的一切政策方針的总一句
[00471.96-00478.12] 你看这个服务符合实施求施的要求
[00478.12-00481.96] 符合因为实施求施当要求我们一切从哪出发
[00481.96-00483.24] 一些从实际出发
[00483.24-00484.92] 而中国最大的实际是吗
[00484.92-00486.28] 就是社会主义出一切段
[00486.28-00487.96] 那社会主义出一段你要做什么
[00487.96-00489.64] 就是解放发展生产品
[00489.64-00492.36] 所以你看又回扣到了前面我们做提到的
[00492.36-00494.04] 我们要解放发展生产品
[00494.04-00495.16] 要进行改革开放
[00495.16-00496.20] 为什么改革开放
[00496.20-00497.72] 就是为了做这个
[00497.72-00498.76] 所以大家要知道
[00498.76-00502.16] 这是我们所提到的有关于社会主义初期队
[00502.16-00503.66] 所以它身上一共四个点
[00503.66-00505.72] 它的提出它的
[00505.72-00508.38] 其实时间它的内涵以它的地位
[00508.38-00509.58] 这是初期队
[00509.58-00511.18] 所以初期队很漫长
[00511.18-00512.58] 初期队这么漫长
[00512.58-00513.70] 我们怎么去办呢
[00513.70-00516.44] 我们要坚持到我们基本路线不动一样
[00516.44-00518.96] 所以在这里我们来看一下有关于
[00518.96-00520.52] 第一四个大的问题
[00520.52-00521.90] 就是党的基本路线
[00521.90-00523.26] 首先第一个大家要明确
[00523.26-00526.28] 到我们基本路线的提出是在哪次会议上
[00526.28-00528.78] 在書上標準一下是在13大
[00528.78-00530.38] 那第二個我們來看一下
[00530.38-00533.08] 到的基本路線的內容說的是啥
[00533.08-00535.44] 我們說了100年的初期階段
[00535.44-00537.48] 從到平統治那個視角來看
[00537.48-00538.78] 將近100年的初期階段
[00538.78-00540.08] 我們如何給它走好
[00540.08-00542.18] 必須要堅定一個方向路線
[00542.18-00543.88] 這個方向路線就叫做
[00544.78-00545.98] 到的基本路線
[00545.98-00547.48] 到的基本路線的內容
[00547.48-00548.56] 同樣大概留來一下
[00548.56-00549.68] 跟印象就行了
[00549.68-00550.38] 叫做
[00550.38-00552.08] 以經濟介紹為中心
[00552.08-00553.38] 堅持私人基本原則
[00553.38-00554.38] 堅持改動開放
[00554.38-00560.74] 所以跟生建股分斗 把我过建成副墙民主文明的社会主义现代化 国家而分斗
[00560.74-00564.98] 这里面其实它的内容如果该过起来就是我们常说的什么
[00564.98-00567.58] 一个中心两个基本点
[00567.58-00571.74] 一个中心是以身为中心 经济建设为中心
[00571.74-00575.50] 而两个基本点就是坚持自让基本原则坚持改革开放
[00575.50-00578.54] 所以经济建设为中心又回护了哪一点上
[00578.54-00582.54] 社会主义的本质上 解放生产力发展生产力
[00582.54-00585.34] 所以土地街段路線的內容
[00585.34-00587.94] 大概知道一個中心2基本點是什麼就OK了
[00587.94-00589.34] 可好性能相對來說
[00589.34-00590.34] 現在比較弱
[00590.34-00591.74] 大概了解下去行了
[00591.74-00592.34] 那我說了
[00592.34-00594.74] 走一個中心2基本點的基本路線
[00594.74-00596.94] 我們最重要實現的奮動目標是什麼
[00599.54-00600.54] 奮動目標
[00600.54-00601.74] 這個奮動目標
[00601.74-00603.14] 就是說上所說的
[00603.14-00604.14] 把我建成
[00604.14-00605.74] 富強民主文明核心
[00605.74-00608.54] 富強民主文明的社會主義現代化
[00608.54-00609.54] 國家的奮動
[00609.54-00610.54] 但是這個奮動目標
[00610.54-00612.34] 它是一個動態變化的過程
[00612.34-00615.10] 在旁邊寫上他是一個動態變化的過程
[00615.10-00619.74] 有這個奮動物不要會隨著時代的發展而不斷的完善
[00619.74-00621.62] 他是具體怎麼發展完善的
[00621.62-00624.02] 在這個地方需要同時沒有一個印象
[00624.02-00626.54] 在最開始的時候13大的時候
[00627.26-00629.14] 也是我們書上所給到
[00629.14-00631.74] 他幾只提到了幾位體的建設
[00631.74-00637.06] 三位體叫做富強民主文明的社會主義現代化國家
[00637.06-00638.54] 所以他那個時候只是什麼
[00638.54-00640.58] 只是三位體的三個
[00640.58-00643.58] 談到了經濟政治和文化
[00643.58-00645.98] 當然到了我們所說的17大的時候
[00645.98-00649.02] 也就是科學發展關係
[00649.02-00650.98] 他提到了四個方面的內容
[00650.98-00652.82] 這四個方面的內容是啥呢
[00652.82-00655.18] 是富強民主文明
[00655.18-00656.66] 他加了一個核血
[00656.66-00658.38] 所以有的時候會考試問
[00658.38-00660.86] 說核血社會是在誰時期提出來的
[00660.86-00662.10] 這個時候要知道
[00662.10-00665.38] 是在胡錦濤同志的科學發展關係提出來的
[00665.38-00668.06] 所以他在這個地方強調的叫做
[00668.06-00670.38] 富強民主文明和邪道
[00670.38-00672.40] 社會主也現代化
[00672.40-00673.96] 國家
[00674.96-00676.00] 這是我們所說的
[00676.00-00678.36] 他的分鐘不要再科學發展關係
[00678.36-00681.12] 但是到了我們所提到的19大世界
[00681.12-00683.16] 是有大那就是2017年的事了
[00683.16-00683.68] 對吧
[00683.68-00686.24] 那到了2017年已經是現任國家領導人
[00686.24-00688.02] 我們去探索建立這個國家了
[00688.02-00690.08] 所以現在不是我們所說的
[00690.08-00691.36] 三位體的建設
[00691.36-00692.64] 也不是四位體的建設
[00692.64-00693.66] 而現在是集理體的
[00693.66-00694.42] 為體
[00694.42-00695.70] 這為一體就是什麼
[00695.70-00700.04] 就是父强民主文明和弃美麗的
[00700.04-00703.96] 我们现在接受的目标也不单单只是之前的现代化国家了
[00703.96-00704.62] 而是什么
[00704.62-00708.10] 而是美麗德现代化强国
[00709.30-00711.80] 所以你看它的分动标就是这么来的
[00711.80-00715.34] 在每一次会议上它可能说体现的内容都不一样
[00715.34-00717.20] 13大就是输上这一个
[00717.20-00718.90] 而17大加了和弃
[00718.90-00720.90] 但是这个时候总的目标没有变
[00720.90-00723.98] 都是现代化国家而到了十柔大
[00723.98-00725.86] 我之前给大家讲过 对吧
[00725.86-00728.08] 我们在之前没讲
[00728.08-00729.36] 在后面会大家去讲
[00729.36-00733.26] 说我们现在所处的这个时代比热和油时代更有用气
[00733.26-00735.36] 更接近中华民族的伟大复性
[00735.36-00736.40] 那你要复兴的话
[00736.40-00737.46] 你就是全面的复兴
[00737.46-00738.70] 就要美丽了什么国
[00738.70-00740.78] 搅过而不是现在化国家了
[00740.78-00741.64] 所以这个点
[00741.64-00744.00] 它目前可能还具有一定的可好性
[00744.00-00746.00] 就是考察它的一个变化的动态
[00746.00-00747.08] 做一个单选体
[00747.08-00748.34] 或判更提来考察
[00748.34-00750.62] 但是它的内容一个中心两个基本点
[00750.62-00752.86] 就是老生长谈的点靠性非常弱
[00752.86-00754.46] 但是还有一个就是注意一下
[00754.46-00755.68] 党的基本路线的什么
[00755.68-00756.82] 提出有OK了
[00756.82-00757.20] 好
[00757.20-00759.20] 这个就是到平理论当中的
[00759.20-00760.68] 怎样建议社会主义当中的
[00760.68-00763.70] 第二个叫做党的基本路线
[00763.70-00765.14] 那明去了党的基本路线
[00765.14-00766.54] 我们强调以什么美中心
[00766.54-00768.38] 以经济建设为中心
[00768.38-00770.02] 那如何把经济建设好
[00770.02-00772.10] 这个时候就很大成都上一脱雨
[00772.10-00773.22] 我们所说的什么
[00773.22-00774.02] 改革开放
[00774.02-00776.02] 所以一会我们要讲一讲改革开放
[00776.02-00776.62] 那到这儿呢
[00776.62-00779.50] 我们就把这种主义初期队理论和基本路线
[00779.50-00780.86] 大家都说完了
[00780.86-00782.22] 这个点稍微注意一下
[00782.22-00783.98] 把他的框架收理庆统多行了
[00783.98-00787.42] 我已经给大家画分的相对来说比较清晰了
[00787.42-00789.98] 那就这个框架就不领大家回顾了
[00789.98-00791.38] 我们接着来往后看
[00791.38-00791.66] 好吧
[00791.66-00793.06] 我们刚才提到一个中心
[00793.06-00794.38] 以及接着为中心
[00794.38-00795.78] 那已经接着为中心
[00795.78-00797.50] 就要记住改革开放
[00797.50-00798.66] 我们来看一看
[00798.66-00800.42] 改革开放的理论
[00800.42-00801.94] 改革开放的大家注意一下
[00801.94-00803.18] 它其实是两个
[00803.18-00804.42] 一个叫改革
[00804.42-00805.22] 一个叫开放
[00805.22-00806.94] 我们对内实行
[00807.46-00808.30] 改革
[00808.30-00809.86] 然后对外实行
[00809.86-00810.38] 开放
[00810.38-00811.94] 于是才有了我们所说的什么
[00811.94-00812.78] 改革开放
[00812.78-00814.18] 那对内实行改革
[00814.18-00816.26] 我们来看一下到底什么是改革呢
[00816.26-00817.74] 在书上有一句话
[00817.74-00818.34] 说
[00818.34-00819.54] 邓小平同志
[00819.54-00820.90] 他明确地提到了
[00820.90-00823.74] 说改革是中国的第二次革命
[00823.74-00826.66] 是社会主义制度的做完声和发展
[00826.66-00828.18] 所以在这里到底什么是改革
[00828.18-00828.90] 其实改革呢
[00828.90-00831.26] 就是破除救的体制机制
[00831.26-00832.34] 比如说你原本
[00832.34-00833.86] 我们国家是计划经济
[00833.86-00835.10] 那计划经济体制
[00835.10-00836.38] 他不太适合中国的发展
[00836.38-00837.26] 怎么办改革
[00837.26-00837.98] 改成什么
[00837.98-00838.86] 市场经济
[00838.86-00841.02] 原本我们的政府是只能行政府
[00841.02-00844.06] 啥都管我们说上晚天下管地中间管空气
[00844.06-00845.22] 没有他不管的
[00845.22-00846.34] 所以他管得太多了
[00846.34-00848.38] 那明天的继续就很弱
[00848.38-00850.74] 那这种直动行当电骂的这种政府
[00850.74-00851.86] 咱说了也不太行
[00851.86-00853.50] 那怎么样改掉改成什么行
[00853.50-00854.58] 服务行政府
[00854.58-00856.62] 所以只要是哪些因素
[00856.62-00858.54] 他不是和生产利法者了
[00858.54-00860.58] 咱们就把哪些因素怎么样改掉
[00860.58-00861.66] 那这个就叫做什么
[00861.66-00863.10] 就叫做改革
[00863.10-00864.62] 那改革对于中国来说
[00864.62-00865.74] 它有什么样的作用
[00865.74-00867.30] 同时来看一下在这里面
[00867.30-00870.90] 第一個點就是改革它的性質
[00870.90-00872.10] 我把它寫在這
[00873.58-00874.58] 改革的性質
[00874.58-00877.02] 改革的性質在鄧老平爺爺看來
[00877.02-00879.30] 它是中國的第二次革命
[00879.30-00880.90] 在這裡面有一個觀念詞
[00880.90-00883.06] 同樣把這個第二次革命處理它畫出來
[00883.06-00885.50] 為什麼說改革是中國的第二次革命
[00885.50-00886.50] 原因很簡單
[00886.50-00888.66] 中國的第一次革命是什麼革命
[00888.66-00891.50] 中國的第一次革命其實是新民主主義革命
[00891.50-00894.42] 大家來看一下在新民主主義革命實際咱們做了啥
[00894.42-00896.34] 打倒軍法 除內亂
[00896.34-00899.46] 然後我們推翻了壓在人們身上的三個大山
[00899.46-00901.62] 我們迎來了新中國的成立
[00901.62-00904.66] 然後我們在這個時候去探索收主義的介紹
[00904.66-00906.90] 是否給中國帶來了翻譯覆電的變化
[00906.90-00908.34] 而到平同志認為
[00908.34-00910.26] 蓋格是中國的第二次革命
[00910.26-00911.86] 也就意味著蓋格
[00911.86-00913.30] 雖然沒有留學細身
[00913.30-00917.22] 但是他起到了和第一次革命同樣的重要作用
[00917.22-00919.46] 所以把他命沒有一叫做第二次革命
[00919.46-00921.54] 那這個第二次革命是從什麼看的呢
[00921.54-00922.50] 同樣表準一下
[00922.50-00924.90] 他是从生产力的解放角度来看的
[00927.62-00929.68] 从生产力的解放角度来看
[00929.68-00932.22] 被秘密为了一叫做中国的第二次革命
[00932.22-00933.50] 因为通过改革
[00933.50-00934.58] 我们实现了很多
[00934.58-00936.06] 我们不敢想的这些目标
[00936.06-00938.06] 是为迎来了生产力的极大发展
[00938.06-00941.46] 所以在这里他被称之为叫中国的第二次革命
[00941.46-00943.98] 所以在这个点上这个细节一定要注意
[00943.98-00946.86] 你先考察过判个体也考察过选项
[00946.86-00949.66] 说改革之所以被称之为中国的第二次革命
[00949.66-00951.94] 是因为他实现了
[00951.94-00954.62] 我们所说的政府的全面变个
[00955.62-00956.14] 是吗
[00956.14-00957.98] 你是把政府推翻了又搞的吗
[00957.98-00958.62] 不是的
[00958.62-00960.30] 你在这个时候说中国的第二次
[00960.30-00961.66] 都没是从什么角度来看
[00961.66-00963.50] 就是从生产力的解放发展
[00963.50-00965.26] 对经济的促进作用来看
[00965.26-00967.22] 所以他之所以被秘密为第二次革命
[00967.22-00969.06] 你知道他的签入角度是谁
[00969.06-00971.14] 如果他在这里跟你说了一些其他的
[00971.14-00972.54] 那这种说法就是不对的了
[00972.54-00974.02] 所以大家在这里要知道
[00974.02-00975.14] 这是第一个
[00975.14-00977.62] 那么说了既然是中国的第二次革命
[00977.62-00978.90] 那改革改的是什么
[00978.90-00979.74] 改的是制度
[00979.74-00981.70] 所以在这里他说的是制度的作弯
[00981.70-00985.70] 是制度不断创新体制不断创新的结果
[00985.70-00987.70] 但是有的考试他就会说了
[00987.70-00992.70] 说改革是中国的第二次革命是中国制度在细之末节上的修博
[00992.70-00994.70] 这种说法就什么就错了
[00994.70-00998.70] 人家是晚上和发展破旧力行破除舅的建立心的
[00998.70-01001.70] 而不是什么不是细之末节的修博
[01003.70-01006.70] 不是细之末节的
[01007.70-01008.70] 修博
[01011.70-01014.50] 而不是細直末節的修谷
[01014.50-01017.78] 所以在這裡大家注意想它如果在判斷體會判斷行動說了
[01017.78-01020.86] 改革是制度的細直末節的修谷不是
[01020.86-01023.58] 它是一個破就利心解放生產力的有過程
[01023.58-01026.82] 這是第一個我們所說的改革的一個性質
[01026.82-01030.42] 從時間上我們也能夠看出來改革給中國帶來了
[01030.42-01032.38] 非常大的這樣變化
[01032.38-01034.18] 這個點其實我們應該是知道的
[01034.18-01037.90] 正是因為有改革開放我們才原來中國經濟的建設
[01037.90-01040.38] 我們才能夠享受到現在經濟
[01040.38-01041.70] 給我們帶來到什麼
[01041.70-01043.26] 蓬勃的成果和生計
[01043.26-01044.70] 所以改革開放
[01044.70-01046.22] 或者是我們單純的說改革
[01046.22-01047.62] 這種事情對不对
[01047.62-01049.14] 這種事情實在是太對了
[01049.14-01050.34] 所以改革能不能挺
[01050.34-01051.02] 不能挺
[01051.02-01051.50] 所以你看
[01051.50-01052.54] 現任國家領導人說了
[01052.54-01055.78] 說改革只有進行時沒有完成時
[01055.78-01056.62] 原因就在這
[01056.62-01058.26] 所以改革對我來說很重要
[01058.26-01060.34] 因為社會體制不斷變化
[01060.34-01061.82] 社會情況不斷變化
[01061.82-01064.06] 約束生產力的因素也在不斷變化
[01064.06-01065.98] 那就一路批徵展擊
[01065.98-01066.62] 你就要把
[01066.62-01067.50] 約束生產力的
[01067.50-01068.46] 約束全都怎麼樣
[01068.46-01069.34] 不能破除掉
[01069.34-01071.74] 这个就是我们所提到的第一个
[01071.74-01072.82] 这个改革的性质
[01072.82-01074.58] 从生产力角度来看是什么
[01074.58-01076.38] 它是要玩善和发展
[01076.38-01077.98] 这是第一个点 大家要知道
[01077.98-01079.86] 第二个点就是我们来看
[01079.86-01082.62] 改革毕竟叫做破旧力心
[01082.62-01084.62] 改革到底改得好不好
[01084.62-01085.98] 怎么去判断
[01085.98-01088.70] 当时其实其实在最开始改革开放
[01088.70-01090.66] 去好像改革开放的标准的时候
[01090.66-01091.90] 就不同的声音
[01091.90-01093.42] 有人说那就走指标办
[01093.42-01094.94] 走指标风险高高
[01095.66-01097.26] 走指标风险可是太高了
[01097.26-01098.86] 朋友来想想咱们前面说
[01098.86-01100.54] 所以養三隻是社會主義
[01100.54-01101.94] 養四隻就會自分主義了
[01101.94-01103.30] 所以走紙標的話
[01103.30-01104.66] 這個風險可是太高了
[01104.66-01107.42] 又有可能進入到章話和形式主義當中
[01107.42-01109.14] 所以到底改革嗎
[01109.14-01110.90] 你畢竟說是和傳統義上
[01110.90-01111.90] 我們原本的社會主義
[01111.90-01112.66] 建設不一樣
[01112.66-01113.62] 你要進行改革
[01113.62-01115.78] 那這個改革大家都會存在一些什麼
[01115.78-01116.46] 一律
[01116.46-01117.98] 那你到底改到什麼程度
[01117.98-01119.02] 你改小了
[01119.02-01120.46] 好像沒有什麼太大多有
[01120.46-01121.90] 你改得太大了
[01121.90-01122.22] 對吧
[01122.22-01123.26] 就是說不自慢
[01123.26-01124.22] 賣得太開了
[01124.22-01125.86] 你下把中國給改垮了
[01125.86-01127.18] 那這種情況之下怎麼
[01127.18-01127.98] 也是不行
[01127.98-01129.84] 所以改革它必須有一個什麼
[01129.84-01131.02] 紅兩的標準
[01131.02-01132.64] 那這個標準到底是什麼呢
[01132.64-01134.34] 在這裡面來看一下
[01134.34-01136.00] 在1992年到平同志
[01136.00-01137.32] 在南方談話的時候
[01137.32-01139.32] 提到了改革的什麼標準
[01139.32-01141.12] 同學把標準標準出來
[01141.12-01142.62] 要知道這個標準是什麼
[01142.62-01143.72] 我們把這個標準
[01143.72-01145.90] 稱這個叫做三個有利於
[01145.90-01147.40] 那這三個有利於是什麼
[01147.40-01148.64] 同學來看一下第一個
[01148.64-01150.42] 第一個是否有利於生產力的
[01150.42-01152.06] 發展把生產力畫出來
[01152.06-01153.42] 因為最根源上
[01153.42-01155.88] 我們說了社會主義的本質還是啥
[01155.88-01158.08] 解放生產烈 發展生產烈
[01158.08-01159.28] 你都改革
