[00000.00-00006.92] 好,我们讲完了,第一个内部条件,加强国防和军队性的话的四个核心的要点之后,
[00200.40-00203.72] 那指定是什么 指定是一国是根两致是
[00203.72-00205.64] 也你看他有的时候他的表述
[00205.64-00208.84] 他不一定就是在现有的体系框架内的表述
[00208.84-00210.92] 但是你只要把我主意国是最重要的
[00210.92-00212.42] 两致派上预格的话
[00212.42-00214.52] 他在问你谁是根本谁是职业
[00214.52-00217.04] 你其实很明显就能够判断出来
[00217.04-00220.36] 所以这是有关于一国两致当中一国和两致
[00220.36-00221.64] 他的一个地位
[00221.64-00223.36] 所以在这里面需要大家掌握的
[00223.36-00227.16] 第一個點就是一國兩制的基本情況大家明確
[00227.16-00228.84] 那第二個大家就要知道
[00228.84-00231.16] 那一國兩制這樣的一個偉大共享
[00231.16-00233.80] 他的提出是要解決什麼問題
[00233.80-00235.12] 我們再說上話一下
[00235.12-00240.56] 說一國兩制偉大共享提出是解決台灣問題開始的
[00240.56-00241.96] 那這個點大家都知道
[00241.96-00243.52] 大家知道一國兩制的錢
[00243.52-00246.88] 聲音應該是專來總理所提到的一高四目
[00246.88-00249.72] 後來到了後面的時候就演變成了我們所說的
[00249.72-00250.80] 一國兩制
[00250.80-00252.88] 但是無論是一高四目還是一國兩制
[00252.88-00255.76] 它本質上都是要解決國家統一的問題
[00255.76-00257.08] 所以在一國兩制當中
[00257.08-00258.68] 它的北搭的這個提出
[00258.68-00261.88] 大概應該都知道它是針對於台灣提出的
[00261.88-00263.36] 雖然針對是台灣
[00263.36-00265.52] 這個意義是一六問題提出來的
[00265.52-00267.00] 但是在實驗當中
[00267.00-00268.48] 大家再旁飆住一下
[00268.48-00271.44] 在實驗當中去最先運用在哪些地方
[00272.32-00275.36] 最先運用在香港和澳門的回味上
[00275.36-00276.88] 所以同時我們剛才看到了
[00276.88-00278.88] 我們在這一個節
[00278.88-00281.60] 這個標題叫做堅持一國兩制
[00281.60-00283.60] 推薦祖國統一
[00283.60-00284.76] 其實堅持一國兩制
[00284.76-00285.60] 推薦祖國統一
[00285.60-00287.20] 他針對的其實是不同的問題
[00287.20-00288.84] 推薦祖國統一是目前
[00288.84-00291.44] 上位回歸到祖國母親懷抱的臺灣
[00291.44-00293.00] 而堅持一國兩制
[00293.00-00295.04] 針對已已經回到祖國母親當
[00295.04-00297.04] 懷抱的香港和澳門
[00297.04-00298.56] 所以你看他那個標題
[00298.56-00299.68] 在去設立的時候
[00299.68-00300.56] 是不是都有講究
[00300.56-00301.72] 所以我們說了實正文件
[00301.72-00303.12] 當中的任何一個字
[00303.12-00304.08] 都不是白給的
[00304.08-00305.64] 你想一下的是國家
[00305.64-00306.64] 相對來說
[00306.64-00308.32] 最了解國家發展
[00308.32-00310.80] 最相對來說很智慧的一些人
[00310.80-00312.34] 放在一块 专醒出来
[00312.34-00313.62] 所以他每一个子都不白给的
[00313.88-00315.14] 所以在这里大家要明确
[00315.66-00318.22] 我们就知道了这是一国两制基本国测
[00318.48-00319.76] 他的一个基本情况
[00320.02-00321.04] 那这里面我们说了
[00321.30-00325.14] 他的这个北大实际上他既然是針对于我们所说的香港和澳门
[00325.40-00327.44] 最先去见识行一国两制的
[00327.70-00329.50] 我们就来看一下針对一香港和澳门
[00329.74-00332.82] 推进一国两制行稳制员他提高了哪些要求
[00333.08-00335.88] 在考试当中針对一国两制最长考的
[00336.14-00339.48] 也就是放在香港和澳门来看的话他其实考察一个方針
[00339.48-00341.48] 和一个原则
[00341.48-00344.98] 針对于港澳推进一国两制行文支援
[00344.98-00346.18] 它的方针是啥呢
[00346.18-00347.38] 同时们谢谢的旁边
[00347.38-00348.58] 就是我们经常能提到的
[00348.58-00351.58] 就坚持一国两制
[00352.58-00354.98] 然后港人制港
[00356.98-00358.38] 港人制港
[00358.78-00360.98] 然后澳人制澳
[00364.98-00366.98] 高度自治的方针
[00369.48-00372.48] 高度
[00372.48-00374.48] 四致
[00374.48-00375.48] 這樣一個防徵
[00375.48-00377.48] 所以我們經常提到說
[00377.48-00378.48] 有關於港澳
[00378.48-00381.48] 它的有關於一國兩制方徵是什麼
[00381.48-00383.48] 那這就知道是一國兩制
[00383.48-00384.48] 港人是個二人知道一節
[00384.48-00385.48] 高度自治
[00385.48-00388.48] 如果老是他怎麼是體現的高度自治
[00388.48-00389.48] 這個高度自治
[00389.48-00391.48] 大家是在學相用的線法裡面
[00391.48-00392.48] 其實能不能看到
[00392.48-00394.48] 他小有相當的什麼
[00394.48-00396.48] 自治權比如說他有司法豬省的
[00396.48-00397.48] 這樣的一個權利
[00397.48-00399.98] 他的一個在整個財政的
[00399.98-00402.18] 我們所說的這個財政
[00402.18-00404.04] 他就要不要上交到我們所說的
[00404.04-00405.20] 張正符的國務
[00405.20-00405.98] 等等這些問題
[00405.98-00407.68] 他其實都有相的一個規定
[00407.68-00409.88] 所以我們從憲法的角度
[00409.88-00411.18] 能夠看得出來
[00411.18-00412.28] 其實極蕾的香港好
[00412.28-00413.26] 我們很大的什麼
[00413.26-00414.08] 高度自全
[00414.08-00415.98] 但是大家應該要明確一個點
[00415.98-00418.38] 就是我給他很高的這種高度
[00418.38-00419.78] 自治小的這樣的一個權利
[00419.78-00421.08] 並不意味著他可以怎麼辦
[00421.08-00422.08] 比如說預備
[00422.08-00423.88] 所以在最開始
[00423.88-00424.38] 今年的時候
[00424.38-00425.38] 我們其實還好
[00425.38-00426.86] 对吧 大家都知道香港
[00426.86-00428.46] 他其实是相对来说
[00429.46-00431.86] 之前不太听话的这样的一个小朋友了
[00431.86-00433.30] 来来应该都知道香港
[00433.30-00435.22] 他最开始的时候发展的时候特别好
[00435.22-00437.86] 因为他是得天独厚的港口优势
[00437.86-00440.22] 大家都知道中国的这个资贸港
[00440.22-00442.14] 在最开始的时候香港
[00442.14-00445.06] 其实是非常典型的资贸港的一个代表
[00445.06-00446.14] 因为我们现在能听到
[00446.14-00447.14] 什么最后一区
[00447.14-00448.50] 最后一事严区 对吧
[00448.50-00449.46] 那还有资贸港
[00449.46-00450.94] 那从资贸去到资贸港
[00450.94-00452.98] 他的开放程度是逐渐的增高的
[00452.98-00456.82] 而自忘搞他天然的德天堵後的港口優勢
[00456.82-00457.66] 金融優勢
[00457.66-00460.22] 這是香港他與生居來的這樣一些優勢
[00460.22-00461.86] 所以在最開始的時候大家都知道
[00461.86-00463.98] 香港的經濟發展的特別的好
[00463.98-00466.54] 但這幾年的時候香港的短白也暴露出來的
[00466.54-00467.78] 那麼小的一個地界
[00467.78-00470.34] 他要容納的人口的數量是相當之多的
[00470.34-00470.90] 對不對
[00470.90-00473.10] 所以這是第一個他的土地比較少
[00473.10-00474.14] 第二一個就是
[00474.14-00475.62] 經濟年的發展
[00475.62-00477.58] 他其實沒有探信出來更多的
[00477.58-00480.34] 這樣的一個香港有關當地的這樣的一個發展模式
[00480.34-00481.38] 你不說一下澳門
[00481.38-00484.14] 大家一提哦,我们就知道按摄老師,我们读程啊
[00484.14-00487.42] 对吧,然后那个内地方的读国业和旅游业非常的好
[00487.42-00489.06] 但是你没有发现的是,是
[00489.06-00492.14] 我们这几年他在我们大陆政府
[00492.14-00493.70] 中复的不断服势之下
[00493.70-00497.18] 他探索出来了很多新的经济发展的模式
[00497.18-00498.26] 而香港你去干嘛?
[00498.98-00499.82] 超本
[00499.82-00503.78] 所以香港问题的本身就是如何解决他现有的这样的一些问题
[00503.78-00506.70] 比如说香港历人的形成长官经常说的
[00506.70-00508.62] 就说要解决香港的住房问题
[00508.62-00511.02] 大家都知道啊,寸土寸金的一个地方
[00511.02-00512.70] 解决他的那个住房问题
[00512.70-00515.82] 提到了一个点说先安居才能乐叶
[00515.82-00517.98] 所以你还香港他自身的矛盾特别的多
[00517.98-00519.46] 但是在最开始的时候
[00519.46-00521.54] 前进的时候他有没有意识到自己的矛盾
[00521.54-00522.78] 他没有意识到自己的矛盾
[00522.78-00526.94] 他认为所有问题的来源是行政体制管理的这样的问题
[00526.94-00526.98] 但他没有意识到是行政体制管理的这样的问题
[00526.98-00529.34] 但他没有意识到是行政体制管理的这样的问题
[00529.34-00531.78] 所以就出现了非常不好的这样的一个现象
[00531.78-00533.82] 大家都知道在之前的新闻上
[00533.82-00536.46] 所看到的这一系列的这个问题就爆发了
[00536.46-00536.86] 对吧
[00536.86-00540.58] 所以我们会发现要针对于我们所说的一国两制的政策
[00540.58-00544.78] 我们是今可能的尊重他以前的这种发展的这种模式
[00544.78-00547.06] 给他了什么高度自治权
[00547.06-00548.78] 但是我能给你自由过了火
[00548.78-00550.78] 让你玩得太脱了 那只能不行的
[00550.78-00552.38] 所以在高度自治政府后面
[00552.38-00553.78] 我们后来又提出来叫什么
[00553.78-00555.78] 叫中央的管制权
[00555.78-00557.10] 所以他本身是在这
[00557.10-00558.38] 但是一国两制当中
[00558.38-00559.70] 我们说了在大的方向上
[00559.70-00561.30] 比如说在外交国防上
[00561.30-00562.18] 你不能给我胡稳
[00562.18-00564.30] 其他的一些地区我可以适当快送一些
[00564.30-00565.78] 这个叫做自治
[00565.78-00568.02] 我们在整个针对于一国两制当中
[00568.02-00569.06] 港人至搞人之后
[00569.06-00570.90] 針对于他不同地区的情况
[00570.90-00573.26] 我们就继续相对不同的方针就可以了
[00573.26-00576.08] 所以針对于港澳问题的方针叫做
[00576.08-00577.02] 四个字
[00577.02-00577.78] 按达也知道
[00577.78-00579.42] 如果一旦提到这四个字的话
[00579.42-00581.46] 你要知道它说的是正确的就OK了
[00581.46-00583.42] 所以在这里面大家要明确
[00583.42-00584.86] 但是我们刚才也提到了
[00584.86-00586.42] 就是给它高度资质的时候
[00586.42-00587.38] 它有的时候
[00588.10-00590.62] 它这种核心的这种理念观念
[00590.62-00592.66] 就会我们现在这种情况就点不复了
[00592.66-00593.34] 所以我们说了
[00593.34-00594.66] 不能给它自由过了火
[00594.66-00595.98] 所以在原本的
[00595.98-00597.06] 我们所说的高度资质
[00597.06-00598.34] 我们提到了中央管制
[00598.34-00600.90] 并且在近几年的国家政策们健康中
[00600.90-00601.78] 我们又提到了
[00601.78-00603.70] 不单单是港人之港
[00603.70-00604.74] 澳人之澳
[00604.74-00607.06] 而是提到了相应的关于港澳
[00607.06-00608.26] 他建设的一个原则
[00608.26-00608.82] 叫做是
[00608.82-00610.66] 现在旁边就是我们之前
[00610.66-00612.34] 再给大家做全国实正
[00612.34-00613.94] 四十提到的叫做
[00613.94-00615.46] 爱国者之港
[00617.62-00619.70] 叫做爱国者之港
[00621.06-00621.78] 后面一个
[00621.78-00622.58] 还有一个就是
[00622.58-00625.38] 爱国者之澳
[00627.06-00629.62] 你必须是我们所说的
[00629.62-00631.66] 优惑国家发展的
[00631.66-00632.54] 所以在这里面
[00632.54-00633.34] 大家注意一下
[00633.34-00635.10] 这是针对于香港和澳门当中
[00635.10-00636.98] 我们所提出来的方针和原作
[00636.98-00638.54] 这个地方不会挖控口
[00638.54-00639.94] 大家明确它不会挖控口
[00639.94-00641.78] 它是一个综合性的口达方式
[00641.78-00642.70] 关于它的说法
[00642.70-00644.62] 争求或者是错误的事
[00644.62-00645.38] 所以大家注意
[00645.38-00647.50] 这是有关于一国两制
[00647.50-00648.42] 基本的国策
[00648.42-00649.42] 它的基本情况
[00649.42-00651.70] 它的提出以及它的实现
[00651.70-00653.58] 这是第一个大家要明确的
[00653.58-00655.14] 那知道了第一个之后
[00655.14-00658.62] 那我們就來看一下有關於這個20大當中
[00658.62-00660.98] 說推薦一國兩制在港澳新聞支援
[00660.98-00662.10] 這我就不也大家說了
[00662.10-00664.42] 我說給大家在書上挖了一個框框
[00664.42-00666.22] 你就在框框裡面就補充就行了
[00666.22-00668.14] 就堅定不一的貫測一個風增
[00668.14-00670.18] 這個風增就是剛才所提到的
[00670.18-00672.26] 一國兩制港人支稿二人招
[00672.26-00674.86] 你看堅持一反治港招
[00674.86-00676.94] 中央叫落實中央全面什麼
[00676.94-00678.78] 管之前不能給他資過了火
[00678.78-00680.94] 所以就後面他又提到了一個
[00680.94-00687.82] 做做落實愛國者之港和愛國者知道的原則來推動港澳地區的發展
[00687.82-00689.78] 所以在這裡面大家要知道
[00689.78-00693.10] 因為這個點如果數級到他的歷史原源的話
[00693.10-00694.86] 它還是有很多的點可以講的
[00694.86-00698.86] 但是我們在香港好我們這個地區不太考察他的歷史原源
[00698.86-00701.98] 有相對來說的話題會稍微敏感一些
[00701.98-00705.58] 就是我們沒有辦法長開了在這個地方給大家去講
[00705.58-00707.82] 因為它不是一個考試的一個重點
[00707.82-00709.10] 所以在这儿呢我们执巴
[00709.10-00710.50] 他考试过程当中
[00710.50-00712.26] 可能要涉一道的点
[00712.26-00713.22] 大家去给他记住
[00713.22-00714.06] 就OK了
[00714.06-00715.74] 所以在这里面大家要明确
[00715.74-00716.86] 这是我们所说的
[00716.86-00717.62] 有关于
[00717.62-00718.34] 第一个
[00718.34-00719.22] 一国两制进行过程
[00719.22-00721.02] 我刚说他的话题相对明感一点
[00721.02-00722.50] 还不是说他不能讲
[00722.50-00723.18] 而说
[00723.18-00725.58] 这是他属于这一系列的社会
[00725.58-00726.98] 这一方面的热点问题
[00726.98-00729.66] 就是不是我们在整个政治维度当中
[00729.66-00731.02] 要维大去涉劣的考点
[00731.02-00732.62] 所以在这儿这维大去说了
[00732.62-00733.58] 所以大家执巴
[00733.58-00735.02] 这三个维度的执是点
[00735.02-00736.58] 就是一国两制基本情况
[00736.58-00738.06] 提出以他的实现
[00738.06-00739.26] 去找我清楚就行了
[00739.26-00740.38] 这是第一个方面
[00740.38-00740.94] 大家注意一下
[00740.94-00741.70] 叫推动
[00741.70-00743.62] 一国两制在港澳新闻支援
[00743.62-00744.78] 但是我们说了
[00744.78-00746.90] 有关于实现中华民族的伟大夫星
[00746.90-00747.94] 除了一国两制
[00747.94-00748.98] 它的落实之外
[00748.98-00750.22] 还有一个非常赵的点
[00750.22-00753.14] 就是要完成祖国的统一
[00753.14-00754.86] 所以我们来看一下第二个方面
[00754.86-00757.46] 就是推进祖国和平统一
[00757.46-00758.86] 它的这样一个进程
[00758.86-00760.82] 在这里面其实只有两个考点性
[00760.82-00761.74] 我们去掌握的
[00761.74-00763.02] 第一个大家知道
[00763.02-00765.30] 一旦提到推动祖国和平统一的话
[00765.30-00767.82] 咱们就要知道是针对的是台湾问题
[00767.82-00768.30] 对吧
[00768.30-00770.38] 那在针对我们所说的
[00771.02-00772.86] 有关于推进足够和民同一道路
[00772.86-00774.06] 我们有里面有两个内容
[00774.06-00775.90] 是我们在考试当中经常会看到的
[00775.90-00777.50] 第一个就是我们经常提到的
[00777.50-00778.06] 这个什么
[00778.06-00780.02] 一个中国原则
[00780.02-00781.74] 一个中国原则在这里面
[00781.74-00783.22] 大家标注一下它的地位
[00783.22-00784.62] 在旁边标注圈一
[00784.62-00787.06] 一个中国原则是两岸关系的啥
[00787.06-00789.62] 旁边标注一下叫做政治基础
[00789.62-00791.42] 所以推动两岸关系的和平发展
[00791.42-00793.78] 所以根本在这里标注一下
[00793.78-00796.50] 最根本就是坚持一个中国原则
[00796.50-00799.66] 所以他一旦在考试的时候就考他的定位子
[00799.66-00800.82] 非常直白
[00800.82-00803.66] 这是两岸关系的政治基础最根本的事实
[00803.66-00805.26] 你要知道是一个中国原则
[00805.26-00806.46] 并非卷而共试
[00806.46-00808.42] 这个地方很容易考一个颠导的点
[00808.42-00809.78] 大家注意一下 这是一个点
[00809.78-00812.14] 第二个点就是我们所说的
[00812.14-00814.06] 一个中国原则是原则于什么
[00814.06-00816.58] 当年王估会谈所达成的卷而共试
[00816.58-00817.82] 所以你看他后面说了
[00817.82-00820.14] 说体现一个中国原则的
[00820.14-00820.94] 卷而共试
[00820.94-00822.26] 把卷而共试画出来
[00822.26-00826.10] 是确保两关系和平发展的什么关键
[00826.10-00828.90] 所以在这里面大家知道九二共时时关键
[00828.90-00830.78] 这个地方就各自考它的地位
[00830.78-00833.86] 所以在这里能够把这个地位明确出就OK了
[00833.86-00836.50] 这个就是我们要试一大家所提到的
[00836.50-00839.90] 有关于坚持一国两制推进足够统一当中的两点
[00839.90-00842.46] 我们来简单的回顾一下非常的简单
[00842.46-00844.86] 第一个一国两制的基本国策在这里面
[00844.86-00848.30] 要知道一国的概念是前提的基础
[00848.30-00854.22] 两制的话派声于国所以一国是跟两制就是职业
[00854.22-00855.86] 所以有的时候也会这么考察
[00855.86-00856.70] 大家也能够知道
[00856.70-00858.14] 就知道谁最重要就行了
[00858.14-00861.02] 那一国两制他针对的是台文问题解决提出的
[00861.02-00863.42] 但是最开始的时间是在香港和澳门
[00863.42-00865.46] 所以有关于现在的热脸节当中
[00865.46-00869.02] 我们就练节到了有关于港澳他的治理的方针和原则
[00869.02-00872.50] 他的方针一国两制港人制港澳人制要高度自治
[00872.50-00875.70] 他的原则爱国者和爱国者
[00875.70-00876.18] 对吧
[00876.18-00877.94] 爱国者制港和爱国者制要
[00877.94-00881.52] 这两个点是在20大连接当中出来的
[00881.52-00883.12] 它和10重相连通了
[00883.12-00885.50] 除了要了解一个两次基本情况之外
[00885.50-00889.06] 我们要知道推进足够和平同一的话
[00889.06-00891.06] 我们常考得一点就这两个
[00891.06-00893.50] 这几年一直都是围绕这两个点来设题的
[00893.50-00896.26] 第一个就是一国一个中国原则
[00896.26-00898.46] 它是政治基础是最根本的
[00898.46-00902.02] 第二一个就是一个中国原则是在汪估会谈所
[00902.02-00903.66] 达成的九尔共识当中
[00903.66-00904.54] 也生出来的
[00904.54-00907.90] 所以我们在这里才说了九尔共识是两个和平发展的什么
[00907.90-00910.72] 关键所以在这个地方核心的点
[00910.72-00913.74] 就这么几个同样把它树立清楚就可以了
[00913.74-00915.46] 这是我们所谓大家提到的
[00915.46-00919.10] 实现中华民族也大扶心的第二个正好保障
