[00000.00-00003.02] 居然我们就进入到变认法的学习当中来了
[00227.44-00237.72] 以为进,这种乘跟朋友说,行了,到点了,明天带来还在上班,说吧,分开吧,然后就分开了,分开之前,你会说一句话说,有声没事常联一下。
[00237.72-00240.84] 这个联系其实是生活当中的联系。
[00240.84-00246.16] 那哲学当中联系和生活当中联系是不知一样的,其实是有本之上的差异的。
[00246.16-00248.92] 咱来看一下哲学上的联系,咱说的。
[00248.92-00252.72] 他说了联系是书内部各样俗之间
[00252.72-00258.72] 以及书之间的相顾影响相顾至于和相顾作用的关系
[00258.72-00261.12] 这个就是我们所说的联系
[00261.12-00263.52] 那说老师他说了这么多他想说啥呀
[00263.52-00264.72] 同样画一个词
[00264.72-00267.44] 这个词我们把的称度为达体关键词
[00267.44-00270.92] 联系他在本身其实就是一种什么
[00270.92-00272.92] 就是一种影响
[00272.92-00273.92] 如果他问
[00273.92-00276.32] 听完当日有体现联系,那你就看
[00276.32-00278.42] 天安当中15之间没有产生影响
[00278.42-00279.60] 如果产生影响了
[00279.60-00280.88] 那就叫做点心
[00280.88-00281.80] 所以在这里
[00281.80-00283.76] 从你们找到这个打体的关键子
[00283.76-00285.60] 把它圈出来
[00285.60-00286.88] 以后提到点心
[00286.88-00288.04] 就在脑海当中
[00288.04-00290.88] 帮助来一个就叫做影响
[00290.88-00291.92] 你说点心
[00291.92-00292.76] 它是一种影响
[00292.76-00294.68] 那种影响他有什么表现呢
[00294.68-00296.32] 在这里面它其实给到了
[00296.32-00297.08] 这种影响
[00297.08-00299.04] 第一个是产生于内部
[00299.04-00300.48] 各样素之间的
[00300.48-00301.04] 第二个
[00301.04-00304.80] 这种影响可能是产生在15之间的
[00304.80-00308.44] 如果产生在内部各素之间 啥叫内部各素
[00308.44-00310.64] 就是一个东西 他做一个整体
[00310.64-00312.60] 他一定是有多个部分组成的
[00312.60-00315.16] 他想要正常的运行下去
[00315.16-00319.72] 需要他这个事务当中的各个部分相互影响
[00319.72-00324.32] 共同推动运行才能使得这个事务的一完删发展
[00324.32-00326.72] 说老是你这说了些啥要干净去发糟的
[00326.72-00328.16] 凭简单的例子
[00328.16-00330.00] 比如说我做一个人对吧
[00330.00-00332.04] 我是一个活着的先活的生命
[00332.04-00335.96] 那我做一个人,我想要正常的生命机能运行下去
[00335.96-00339.48] 那就需要我身体内部的各个气观法会做法
[00339.48-00344.92] 所以我身体当中的各个气观或者是我这个人的所有的领部家的组成部分
[00344.92-00346.76] 他就属于我这个人的什么
[00346.76-00347.80] 内部要素
[00347.80-00351.48] 那我这个人小伙伴就需要我的这些领部家的相互作用
[00351.48-00353.40] 比如说我的眼睛在能看到东西
[00353.40-00355.20] 我的鼻子能能闻到味道
[00355.20-00359.00] 我的味,它能够消化食物吸收顏料分秘血清素
[00359.00-00359.40] 对吧
[00359.40-00360.60] 或者是我的心臟
[00360.60-00362.48] 他需要碰碰碰不停了跳
[00362.48-00364.88] 然后给我全身收受血液
[00364.88-00368.56] 那其实就是我们所说的各个领教之间的
[00368.56-00370.28] 他们之间会产生相互影响
[00370.28-00371.96] 正是因为他们之间影响
[00371.96-00373.96] 保证我是一个先活的生命
[00373.96-00374.76] 一个先活的人
[00374.76-00376.36] 而如果这些内部要素里面
[00376.36-00377.92] 任何一个不着春梯了
[00377.92-00380.76] 这个整体的事物可能就要打了
[00380.76-00381.32] 对吧
[00381.32-00382.20] 所以在这里面
[00382.20-00385.24] 这是叫内部各样素之间的影响
[00385.24-00387.40] 那除了是做一个整体
[00387.40-00389.96] 他內部各組成部分會產生上之外
[00389.96-00392.52] 事務之間獨立的各體之間
[00392.52-00395.32] 其實也是會產生影響的
[00395.32-00397.64] 這個就叫做事務之間的影響
[00397.64-00400.52] 比如說天氣會對大家的心情產生影響
[00400.52-00403.52] 我講的知識點會對大家的學習產生影響
[00403.52-00407.12] 這個就叫做獨立各體之間事務之間
[00407.12-00408.12] 相互影響
[00408.12-00409.48] 但是無論哪一種
[00409.48-00413.04] 同一種把關鍵子貼在影響之上
[00413.04-00414.16] 就可以了
[00414.16-00415.76] 所以這是從含一道種
[00415.76-00417.16] 我們需要掌握的點
[00417.16-00420.64] 那么既然默认为联系他就是一种影响
[00420.64-00423.60] 这种影响他有什么样的特点呢
[00423.60-00427.28] 在这里面我们来看一下叫做联系的特征
[00427.28-00429.32] 联系的特征有四个
[00429.32-00431.56] 这个点很难考
[00431.56-00434.68] 全责体或者说是我们所说的这种
[00434.68-00436.60] 判判体就是他直接问
[00436.60-00438.20] 说联系的特征主要的那些
[00438.20-00440.52] 这是在这几年考试当中不太考的了
[00440.52-00443.28] 但是他很容易在选强当中给你加几个
[00443.28-00444.20] 或坏一个
[00444.20-00445.96] 比如说联系具有四个特征
[00445.96-00447.50] 客观性普遍性
[00447.50-00449.04] 多样性和条件性
[00449.04-00450.18] 然后他就在这里说
[00450.18-00453.64] 他说连信是无条件的
[00453.64-00454.92] 就把这个选项放在这
[00454.92-00456.46] 那你上来就要能判诺出来
[00456.46-00457.80] 他是对来的错的
[00457.80-00458.50] 错的
[00458.50-00461.06] 因为人说连信是有条件性的
[00461.06-00464.14] 当然他在那个选项当中给你说了一个连信是无条件的
[00464.14-00465.92] 那你就知道他是错的
[00465.92-00467.58] 所以最起码我们第一步
[00467.58-00469.06] 就是要在连信推荣当中
[00469.06-00471.30] 大概知道他要哪些特性
[00471.30-00473.86] 以应对判断选项
[00473.86-00475.66] 应对判断选项的选项出现
[00475.66-00476.98] 那这是脸性的特征
[00476.98-00478.18] 那色特的当作
[00478.18-00480.66] 同时们作为两星期之间掌握的呢
[00480.66-00482.62] 是客观性和普面性
[00482.62-00486.30] 作为一星期之间掌握的呢是调建性
[00486.30-00489.02] 多样性 几乎没太考察过
[00489.02-00492.38] 所以多样性整体上客户性非常非常弱
[00492.38-00495.10] 那么主意来看一下这四个特性
[00495.10-00497.98] 那首先先来看一下第一个叫做普面性
[00497.98-00499.02] 咱们来看一下
[00499.02-00500.70] 它说普面
[00501.02-00502.70] 脸性是普面存在的
[00502.70-00504.78] 普面性体现在三个方面
[00504.78-00508.30] 第一個就是任何事務的內部不同組成部分
[00508.30-00510.50] 或者是要素效果連線
[00510.50-00512.86] 咱們剛剛是不是剛舉完例子
[00512.86-00514.50] 比如說你的手機
[00514.50-00515.62] 它正常運行
[00515.62-00518.34] 它需要手機內部的各個領步駕發揮作用
[00518.34-00522.30] 那第二個表現就是任何事務都不能鼓勵的存在
[00522.30-00523.14] 後面有句話
[00523.14-00526.38] 說都同其它事務處在一定的聯繫之中
[00526.38-00528.30] 這個強調的其實就是什麼
[00528.30-00532.70] 其實強調的就是事務之間會產生影像
[00532.70-00534.38] 事務之間會產生影像
[00534.38-00536.62] 你比如说我们经常会提到一个概念
[00536.62-00538.94] 也是放在今天是个非常赵的热点
[00538.94-00541.30] 就要做人类秘密院共同体
[00541.30-00543.34] 我们为什么要提人类秘密院共同体
[00543.34-00545.90] 原因就是因为世界是一个联系的整体
[00545.90-00547.74] 任何一个国家的经济行为
[00547.74-00549.50] 任何一个国家的政治行为
[00549.50-00552.22] 都可能会对其他国家或者人类的命运
[00552.22-00553.94] 产生巨大的影响
[00553.94-00556.58] 所以中国才制力提出人类秘密院共同体
[00556.58-00559.22] 就是从联系的观点出发
[00559.22-00561.22] 这是从国家的角度来看
[00561.22-00563.42] 我们知道国家和国家之间会产生影响
[00563.42-00565.14] 那从我们身边出发的话
[00565.14-00567.38] 其实你也能够非常明显的感觉到
[00567.38-00568.78] 事务之间产生的影响
[00568.78-00570.86] 比如说你今天特别心情特别好
[00570.86-00572.54] 打完的美美的就出门了
[00572.54-00574.26] 觉得我今天一天的好心情啊
[00574.26-00577.74] 对从我化完妆阳光明昧这一刻开始
[00577.74-00578.74] 但你出去的时候
[00578.74-00581.06] 你发现外面的人全部都算算的
[00581.06-00582.70] 整个人都提不起进来
[00582.70-00585.06] 你这种情况是善你的心境也会怎么样
[00585.06-00586.46] 也会被影响
[00586.46-00587.50] 你也觉得我的天
[00587.50-00588.82] 今天的阳光不在名为了
[00588.82-00590.02] 我的心情不在好了
[00590.02-00590.94] 那就说白了
[00590.94-00594.18] 你受到了周围人对你的一些什么影响
[00594.18-00595.66] 所以我们经常会发现
[00595.66-00598.30] 孟母为什么三千除了外部环境
[00598.30-00601.18] 之外是不是也是能够看到周围的这些人
[00601.18-00604.38] 受过习惯对当时孟子会产生一定的影响
[00604.38-00606.46] 这个其实就是我们所说的什么
[00606.46-00608.86] 事物之间的影响
[00608.86-00610.14] 事物之间影响
[00610.14-00613.18] 无论是从一个整体的内部要素来看
[00613.18-00614.98] 还从事物之间来看
[00614.98-00616.70] 他们这些都会产生影响
[00616.70-00618.38] 接着我们得出来了一个结论
[00618.38-00619.38] 什么结论呢
[00619.38-00621.78] 这个世界它不是孤立存在的
[00621.78-00625.58] 而是相互联系的统一整体
[00625.58-00628.02] 这个就是联系普遍性
[00628.02-00630.54] 它的一个具体体现
[00630.54-00632.30] 所以一共是三个方面
[00632.30-00635.18] 这三方面同时稍微有一点印象就可以了
[00635.18-00636.22] 重点在什么呢
[00636.22-00636.98] 重点在远
[00636.98-00637.90] 联系的普遍性
[00637.90-00639.10] 它在初提的时候
[00639.10-00640.14] 它一般情况之下
[00640.14-00642.14] 不考证三率化的原恶
[00642.14-00643.02] 而是一啥呢
[00643.02-00645.02] 而是以案例的形式来出
[00645.02-00646.98] 所以我们来把联系的普遍性
[00646.98-00648.18] 它的考察的角度
[00648.18-00649.26] 做一个体验
[00650.26-00651.94] 大家在书上找到那个
[00651.94-00653.74] 笔剧专区咱们来看一下
[00653.98-00655.86] 连新的普缘性他在考察的时候
[00655.86-00657.26] 其实一共有两个角度
[00657.26-00659.62] 第一个呢他考察理解性的题目
[00659.78-00662.30] 要么是结合案例来考察
[00662.50-00664.98] 要么是结合新闻热点来考察
[00665.26-00667.38] 要么就是结合我们所说的什么呢
[00667.38-00669.34] 比如说股文古语来考察
[00669.62-00670.98] 那他无论是怎么考察
[00670.98-00673.22] 你只要在挺按到那种能够独出这样的意思
[00673.22-00674.54] 比如说事务之间
[00674.66-00677.78] 或内部罪到素之间就要产生影响了
[00677.78-00680.06] 你只要读出这样的意思表数
[00680.06-00682.40] 那么OK它都可以选择什么
[00682.40-00685.76] 联系的普遍性
[00685.76-00687.86] 比如说结合按例来考察
[00687.86-00691.02] 结合按例来考察的话就像我们刚才所说的
[00691.02-00695.30] 人类命共同体或者我们经常会听到一句话叫做呼啟效用
[00695.30-00697.90] 呼啟效用说的是啥呢?一个小呼啟
[00697.90-00699.28] 然后在亚马孙内的话
[00699.28-00700.18] 怕了怕了
[00700.18-00701.34] 杀了几下翅膀
[00701.34-00705.08] 然后过一个时间就在南美中引起了一场巨大的风暴
[00705.08-00707.50] 我们觉得呼啟呼善一下翅膀能怎么样
[00707.50-00709.86] 还没有我眼睛毛使劲呼善的力度大
[00709.86-00710.42] 对吧
[00710.42-00713.90] 结果它能够在南美洲引发一场巨大的风暴
[00713.90-00715.18] 其实就说来了
[00715.18-00716.26] 一个小小的行为
[00716.26-00719.38] 会对世界其他产生相应的影响
[00719.38-00721.26] 这个案例体现的就是什么
[00721.26-00722.22] 产生影响
[00722.22-00724.62] 那就选联系的普遍性
[00724.62-00726.18] 这是结合案例来考察
[00726.18-00728.26] 结合设处来考察可能会结合什么
[00728.26-00729.58] 大家都知道这一天
[00729.58-00732.02] 有一些事情令人生气
[00732.02-00732.34] 对吧
[00732.34-00735.22] 恨不得是全类都在去反护的这件事情
[00735.22-00738.04] 就是日本排放核湖水这样的一件事
[00738.04-00739.44] 日本排放核湖水
[00739.44-00740.60] 网顧事实
[00740.60-00741.10] 对吧
[00741.10-00742.40] 网顧国际声音
[00742.40-00743.40] 所以在这里面
[00743.40-00744.70] 他排放核湖水
[00744.70-00746.14] 会对海洋产生影响
[00746.14-00747.38] 大家都看了那个直播
[00747.38-00747.76] 对吧
[00747.76-00749.04] 在直播的那个现场
[00749.04-00750.06] 那个核湖水
[00750.06-00752.38] 当时一排的时候整个海水
[00752.38-00753.14] 都和
[00753.14-00755.32] 就是他排放湖水的这个区域和
[00755.32-00757.62] 远处的海洋形成了些名的对比了
[00757.62-00758.90] 以及海水变黑了
[00758.90-00760.12] 而且它地方都是蓝的
[00760.12-00762.56] 湖水的范围不断扩大不断的影响
[00762.56-00763.88] 就会对海洋生命
[00763.88-00764.66] 对其他国家
[00764.66-00767.26] 對人類的命運都產生巨大的影響
[00767.26-00768.74] 那金融情況之下說了
[00768.74-00770.10] 那河武水的排放
[00770.10-00772.34] 對其他國家產生的就影響
[00772.34-00773.78] 它其實體現就是什麼
[00773.78-00775.46] 聯繫的普遍性
[00775.46-00778.18] 整任何一個國家在全國發展範圍之內
[00778.18-00779.74] 都不能獨善其身
[00779.74-00780.74] 大家想一想
[00780.74-00783.02] 暴雷的幾年的比较大的這個事件
[00783.02-00784.86] 比如說像歸古銀行寶壁
[00784.86-00787.02] 那就相當於當年雷亂兄弟寶壁
[00787.02-00789.50] 那他引擎到叫做全球的經濟威脅
[00789.50-00791.22] 所以任何一個國家的行為
[00791.22-00793.02] 都可能會對其他國家
[00793.02-00794.56] 对于人类命运产生影响
[00794.56-00796.82] 这个就是结合热点时间来考察
[00796.82-00798.14] 问题线了什么样的
[00798.14-00799.02] 哲学厉
[00799.02-00800.70] 老师他股文他咋考的
[00800.70-00802.50] 股文的话比于最常见
[00802.50-00803.90] 成文失火
[00803.90-00805.30] 洋几十亿
[00805.30-00806.58] 成智早火了
[00806.58-00807.30] 你怎么办
[00807.30-00808.58] 走水了就火
[00808.58-00809.78] 这个时候就从
[00809.78-00811.70] 我们所说的合理面去打水
[00811.70-00814.02] 一把合理水都拿去灭火了
[00814.02-00815.02] 成智里面的
[00815.02-00817.10] 这些附近的鱼堂里的这些鱼
[00817.10-00818.54] 最后就干死了
[00818.54-00819.82] 所以在这个里你看
[00819.82-00821.18] 成文失火洋几十亿
[00821.18-00823.42] 是5之间的影响
[00823.42-00824.50] 这是第一个
[00824.50-00825.78] 他考历节形的题目
[00825.78-00827.14] 从这三个角度来
[00827.14-00828.50] 除了考历的题目
[00828.50-00828.98] 大家注意一下
[00828.98-00830.62] 这里面还有一个细节的考点
[00830.62-00832.18] 受门很容易忽视的
[00833.18-00834.22] 这个细节的考点
[00834.22-00834.74] 往往
[00834.74-00836.38] 让我们出现在判断的题面
[00836.38-00838.50] 让我们出现在选项利
[00838.50-00839.86] 这个细节的考点
[00839.86-00840.70] 说的是啥呢
[00840.70-00842.02] 从来看一下这句话
[00842.02-00844.46] 就是普遍性的第二种表现
[00844.46-00845.70] 他说任何事物
[00845.70-00847.46] 都不能孤立的存在
[00847.46-00848.82] 都要同其他事物
[00848.82-00850.98] 处在一定的联系当中
[00850.98-00854.02] 那这个任何事务都不能孤立的存在
[00854.02-00856.10] 他本身是想表达是什么呢
[00856.10-00858.46] 整个世界作为一个整体
[00858.46-00860.34] 从红官上来看
[00860.34-00864.78] 事务他是必然会受到其他事务的影响呢
[00864.78-00865.84] 我作为一个人
[00865.84-00867.14] 存在这个世界当中
[00867.14-00870.34] 我一定会受到周围的某些因素的影响
[00870.34-00873.78] 就是任何人都不能孤立的活着
[00873.78-00875.78] 那这个是从红官的角度
[00875.78-00877.14] 这里面的官司就在于
[00877.14-00879.02] 它是从红官的角度来看
[00879.02-00880.82] 世界存在一个联系的整体
[00880.82-00885.74] 但马斯有没有把这种红官的这种影响具体到任何两个树之间呢
[00885.74-00887.02] 其实是没有的
[00887.02-00889.86] 它其实研究的是世间运行的普遍的规律
[00889.86-00890.94] 咱们还是那一块
[00890.94-00894.18] 它没有办法具体调具体的树身上
[00894.18-00896.78] 所以在这里它我给到一种说法叫什么呢
[00896.78-00899.18] 叫任何两个树之间
[00901.70-00904.70] 叫任何两个树之间
[00905.18-00906.94] 都能产生影响的话
[00908.34-00910.34] 都能产生联系
[00910.34-00913.22] 如果說任何兩個事務之間都能產生聯繫的話
[00913.22-00914.90] 這種說話本身就是錯的
[00914.90-00917.46] 錯在哪 任何兩個事務之間
[00917.46-00919.98] 任何兩個事務之間太過於巨銷化了同學們
[00919.98-00922.54] 在這裡這種巨銷化的說法是錯的
[00922.54-00924.46] 因為事務之間的這種影響
[00924.46-00927.26] 它需要通過一定的中介和條件的
[00927.26-00929.30] 所以我們只能從混亂上來說
[00929.30-00930.98] 事務不能孤立存在
[00930.98-00932.38] 事務之間是有聯繫的
[00932.38-00935.82] 但是沒有辦法具體到任何兩個事務之間
[00935.82-00939.02] 這句話經常容譽出現在判論體裡面
[00939.02-00943.18] 或者是判则选项里面同学们一定要注意一下这个细节
[00943.18-00943.74] 好吧
[00943.74-00945.66] 所以这是我们所说的第一个特性
[00945.66-00947.18] 叫联系的普遍性
[00947.18-00950.54] 3G的表现抽象出来了两个打提角度
[00950.54-00952.14] 第一个叫做普遍性
[00952.14-00953.74] 看一下这一道题目
[00953.74-00955.26] 这里有一道题
[00955.26-00956.54] 他说呢
[00956.54-00959.74] 下令关于普遍性说法错误的是选错题
[00959.74-00960.78] 来看一下A选项
[00960.78-00963.50] 说任何事务的内部的不同主持人部分
[00963.50-00965.82] 和要素之间产生联系正确
[00965.82-00967.58] 内部要素之间的影响
[00967.58-00972.18] 閉水象,說任何兩個事務都處在一定的聯繫當中嗎?
[00972.18-00981.02] 我們說可以說是世界是普遍聯繫的,或者是事務之間可能會產生聯繫,但能不能具體到任何兩個事務之間
[00981.02-00989.08] 不能所以閉水象說法錯誤,所以也像,說整個世界是相互聯繫的統一整體,就說法沒問題,第四個
[00989.08-00996.66] 說事務的普遍聯繫是通過中介實現的,眾說法也對,比如說我和大家之間會產生影響原本
[00996.66-00997.94] 咱們就是陌生人
[00997.94-00999.94] 對吧咱們是在網上都見不到
[00999.94-01001.46] 那為什麼在這種情況之下
[01001.46-01003.54] 我可能會對大家產生一下呢
[01003.54-01005.38] 就是因為有一個中介在發生這種
[01005.38-01006.42] 這個中介就是什麼
[01006.42-01008.34] 就是逼戰就是互聯網
[01008.34-01009.30] 所以在這裡面
[01009.30-01010.10] 大家注意一下
[01010.10-01013.38] 事務的普遍聯繫是需要通過中介來實現的
[01013.38-01014.58] 所以這裡有解答了
[01014.58-01017.10] 為什麼不能是任何兩個事務之間
[01017.10-01018.34] 都能產生一下
[01018.34-01019.14] 所以在這裡
[01019.14-01020.18] 這要提選擇的是
[01021.22-01022.02] 第二個
[01022.02-01023.14] 這要提選第二個
[01023.14-01023.54] 好
[01023.54-01025.62] 這是我們所說的聯繫的
[01025.62-01028.22] 那说了脸系的普遍性
[01028.22-01031.22] 咱们来看一下第二个点叫脸系的客观性
[01031.22-01032.54] 啥客客观性呢
[01032.54-01033.82] 数上给到了一句话
[01033.82-01036.42] 说世界上没有孤立存在的事物
[01036.42-01039.22] 每一种事物都与其他事物处在脸系当中
[01039.22-01040.62] 那这是普遍性的体现
[01040.62-01044.22] 说事物的脸系是本身所顾有的
[01044.22-01047.02] 而不是主观意乡的
[01047.02-01048.82] 同时这句话很重要
[01048.82-01050.82] 就是事物之间产生的这种影响
[01050.82-01053.02] 它不是主观意乡的
[01053.02-01056.58] 把这句话标注出来,标注一个两星写上一个L
[01056.58-01059.50] 这句话就是一个打提的关键
[01059.50-01061.86] 什么叫做是数本身所顾有的
[01061.86-01063.26] 而不是主观意义想的呢?
[01063.26-01065.74] 我们都知道数物之间会产生影响
[01065.74-01068.30] 但这种影响并不是我想让它产生
[01068.30-01070.66] 它就一定会产生的
[01070.66-01074.26] 我们不能用主观意造的联系代替客观真实的联系
[01074.26-01075.50] 都是大家去考试
[01075.50-01078.46] 大家去考试的话,你看之前的高考的时候
[01078.46-01080.22] 在网上不是有那种端子吗?
[01080.22-01084.42] 高考的时候加上去送孩子去高考热烤厂的时候
[01084.42-01086.10] 穿着那个起跑对吧
[01086.10-01088.10] 起跑里面泡的起它的衣服
[01088.10-01090.34] 然后穿着起跑之后的送孩子进烤厂之后
[01090.34-01092.38] 就是让你保柜你要加油
[01092.38-01093.78] 然后拿出那个剪子
[01093.78-01096.18] 插一下把那个起跑开到那个
[01096.18-01098.30] 就是一下的开到点对吧
[01098.30-01099.94] 然后当时遇一一一一一
[01099.94-01100.74] 起开得是
[01100.74-01102.14] 起跑开战开月高
[01102.14-01103.78] 那孩子考试成绩就月高
[01103.78-01105.42] 那真的就是这个样子
[01105.42-01106.70] 其实不是的 对吧
[01106.70-01108.78] 那你这个成绩很起跑开战
[01108.78-01110.58] 没有任何本质必然的联系
[01110.58-01112.74] 那他其实讨一个预一和彩头
[01112.74-01115.26] 当然他其实就是用主关意造代替了什么
[01115.26-01116.34] 客观真实
[01116.34-01117.54] 所以在这里面
[01117.54-01120.14] 我们来看一下在考栏系科丸性当中
[01120.14-01121.70] 他用三个出席的角度
[01121.70-01123.82] 第一个角度就是刚才让大家去标注的
[01123.82-01125.86] 他不是主观意想的
[01125.86-01127.74] 也就是我们所说的第一个
[01127.74-01129.74] 出席理解行的角度
[01130.46-01133.62] 就是不能用主观意造
[01135.86-01137.86] 代替客观真实
[01138.78-01144.48] 不能用主外移造代替客官真实
[01144.48-01147.18] 这个就是我们所说第一个出小度
[01147.18-01150.18] 他给到这个他们体现了什么指揮院里
[01150.18-01152.68] 其中有一个选项就一定会给到你叫
[01152.68-01155.58] 唯贝了联系的什么效客官性
[01155.58-01156.88] 唯贝了联系的客官性
[01156.88-01158.78] 所以这是第一个点了第一点
[01158.78-01160.58] 还真考过这样的一个体目
[01160.58-01162.18] 但是那个体说的是啥呢
[01162.18-01163.68] 所以一个人他去面试
[01163.68-01165.08] 然后在面试现场
[01165.08-01166.84] 和那个HR聊特别好
[01166.84-01168.76] HR当时他们招了好久的人
[01168.76-01169.84] 也没有招到这个人
[01169.84-01171.64] 然后就当时这个人跟他聊的时候
[01171.64-01173.32] 他觉得这个人就是懂我们公司
[01173.32-01175.32] 就是我们为我们公司而生的
[01175.32-01177.68] 无论是学历长像身高生意
[01177.68-01179.52] 反正都符合这个公司的要求
[01179.52-01180.96] 两人相谈身欢
[01180.96-01183.16] 当时面是谁觉得说成了
[01183.16-01184.44] 这事八九不理事成了
[01184.44-01186.04] 我已经把HR都拿捏了
[01186.04-01187.72] 就等了后面谈心资了
[01187.72-01189.32] 对吧谈心资签合途
[01189.32-01191.68] 然后走上人生顶逢赢取白富美
[01191.68-01192.08] 对吧
[01192.08-01193.64] 这是已经到了这种程度了
[01193.64-01195.32] 然后两人相谈身欢
[01195.32-01196.16] 谈完的时候
[01196.16-01197.92] 一场就能说说明天的说
[01197.92-01199.12] 你可以来公司
[01199.12-01200.32] 我们来千格透
[01200.32-01201.84] 然后谈谈这个新字的问题
[01201.84-01203.40] 然后当时这个面是者说
[01203.40-01204.64] OK 没有问题
[01204.64-01206.44] 然后结果这个面是者
[01206.44-01207.00] 站起来
