[00000.00-00003.04] 好 那我们今日来往下看第二节的内容
[00003.04-00005.24] 那第二节都没有给大家讲市场理论
[00274.52-00275.40] 在这里面
[00275.40-00277.04] 它其实有很大的灵火性
[00277.04-00279.80] 那导致的結果就是在這樣的一個市場當中
[00279.80-00282.30] 廠商的數量是非常非常多的
[00282.30-00284.16] 我們可以說是不計起訴
[00284.16-00286.60] 這是完全經常市場當中的第一個特徵
[00286.60-00289.04] 就是廠商數量是無數個
[00289.04-00291.88] 那第二個就是完全經常市場
[00291.88-00294.80] 在這個市場當中只有競爭因素
[00294.80-00296.08] 你說老師什麼叫競爭
[00296.08-00298.36] 競爭就是我們所說的搶戰嗎
[00298.36-00300.68] 你要麼搶戰市場要麼搶戰消費者
[00300.68-00302.24] 那這個就叫做競爭
[00302.24-00303.92] 那這個完全經常當中
[00303.92-00305.36] 它只有競爭因素
[00305.36-00306.72] 它競爭靠什麼呢
[00306.72-00308.24] 靠它自身的產品
[00308.24-00310.40] 但是對於完全經常來說
[00310.40-00311.84] 我們來看一下這裡面
[00311.84-00313.60] 這裡面有無數個廠商
[00313.60-00316.00] 但是它有一個非常明顯的特徵
[00316.00-00317.56] 特徵同樣標準一下
[00317.56-00319.20] 一個兩星級的支電
[00319.20-00321.04] 在完全經常適合當中
[00321.04-00323.04] 廠商數量虧上有無數個
[00323.04-00325.76] 但是每一個廠商所生產的產品是
[00325.76-00327.44] 完全一樣的
[00327.44-00328.40] 叫一模一樣
[00328.40-00330.40] 這個叫做完全同志
[00330.40-00332.40] 這個是它最顯著的一個特徵
[00332.40-00334.48] 你說老實完全同志是啥意思呢
[00334.48-00336.68] 比如說我現在是生下喜歡說的
[00336.68-00338.40] 大家也是生產喜歡水的
[00338.40-00339.28] 我叫做什麼呢
[00339.28-00341.44] 我叫做幸福喜歡水生產場
[00341.44-00343.52] 你叫做快樂喜歡水生產場
[00343.52-00346.04] 我們在這兩個場子裡面
[00346.04-00347.32] 生產出來的喜歡水
[00347.32-00348.72] 雖然廠家不一樣
[00348.72-00351.80] 但是咱們的喜歡水是完全一模一樣的
[00351.80-00353.40] 一模一樣到什麼程度呢
[00353.40-00357.00] 從氣味到顏色到它的原材料
[00357.00-00360.72] 再到它的一個名稱到它的獸後符合渠道
[00360.72-00362.72] 就是一點差別都沒有
[00362.72-00365.36] 你說老師咱們是不同的場子生產出來的
[00365.36-00366.24] 沒關係
[00366.24-00368.24] 只要是完全进入市场当中
[00368.24-00370.90] 咱们的产品哪怕是不同场的生产出来的
[00370.90-00372.64] 它的产品都是一模一样的
[00372.64-00374.50] 我们把这种称度的叫做什么
[00374.50-00376.74] 完全统治的产品
[00376.74-00377.76] 所以在这里面
[00377.76-00380.74] 完全就是市场除了有无数生产者的消费者之外
[00380.74-00383.74] 它的产品差别就是完全统治的
[00383.74-00386.60] 一模一样都分不清哪个
[00386.60-00388.38] 这时候就会产生一个问题
[00388.38-00389.44] 同一模思考一下
[00389.44-00391.74] 如果咱俩生产的东西是一模一样的
[00391.74-00392.24] 对吧
[00392.24-00393.64] 对于消费者来说
[00393.64-00396.32] 他每每家的东西是不是差别都不大呀
[00397.22-00400.04] 你说老师那这种情况之下如果差别不大的话
[00400.24-00402.04] 我又想卖的更多你怎么办呢
[00402.22-00403.64] 你能不能抬高价格呢
[00403.82-00405.92] 比如说现在咱俩生下洗髮水一样
[00405.92-00408.66] 你看我因为入场比你走
[00408.66-00410.54] 所以我抢着的市场份额比你大
[00410.80-00412.08] 所以在这种情况之下就像
[00412.32-00415.40] 我一定要在销售额上超过它
[00415.60-00417.96] 于是你就开始给你的这个洗髮水
[00418.22-00420.78] 台下原本就喜欢水呢是5块钱一片
[00421.80-00423.24] 现在你为了多赚钱
[00423.24-00425.24] 你说提到实块钱一片
[00425.24-00426.24] 从你们来看一下
[00426.24-00428.24] 如果在完全计判市场当中
[00428.24-00430.74] 你把洗发者提到实块钱一片的话
[00430.74-00433.74] 你在这里面能不能把洗发水卖出去
[00433.74-00434.94] 你只能是卖出去的
[00434.94-00436.04] 因为咱们刚才说了
[00436.04-00438.54] 完全计判市场他有一个非常明显特征
[00438.54-00439.74] 产品一模一样
[00439.74-00441.54] 别人家的洗发者都是五块
[00441.54-00443.24] 你平常是的实块
[00443.24-00444.94] 那如果你一旦抬家的话
[00444.94-00446.24] 你这时候不得陪似
[00446.24-00447.94] 你在这里面你根本就有怎么样
[00447.94-00448.74] 卖不出去
[00448.74-00451.04] 所以在这里面你抬高价格
[00451.04-00452.34] 你产品卖出去
[00452.34-00458.74] 那除了老師,我打低價的,我就比如說人都賣五塊,你現在賣多少錢呢?賣三回錢一片
[00459.00-00462.58] 同時,你看你賣三回錢一片能不能在完全盡量適合當中存貨呢?
[00462.58-00467.96] 你也存貨不了,因為完全盡量適合的,我們所說的產品,這個喜歡水的價格
[00467.96-00472.82] 它是有消費者和廠商達成合益之後形成的市場價格
[00472.82-00480.50] 也就是現在這個五塊錢,是消費者所能接受的最高價格,以及生產者所能接受的最低價格
[00480.50-00482.26] 如果比武块钱再低的话
[00482.26-00482.94] 那就说白了
[00482.94-00484.02] 陪伴买卖了
[00484.02-00485.74] 那如果一到陪伴买卖的话
[00485.74-00488.82] 你这个场子在完全经常里面能不能回来去呢
[00488.82-00489.94] 也活不下去
[00489.94-00491.78] 所以在这里面我们就会发现
[00491.78-00495.62] 完全竟正市场当中的假设够刚才所说的这个喜法说
[00495.62-00496.58] 这个喜法说
[00496.58-00497.82] 他的这种价格
[00497.82-00500.30] 他不是由生产者控制的
[00500.30-00502.58] 生产者抬价或者是降价
[00502.58-00503.74] 他都活不下去
[00503.74-00504.94] 那这种情况之下
[00504.94-00506.62] 也不是由消费者控制的
[00506.62-00508.14] 如果由消费者控制
[00508.14-00509.54] 我们所说的这个价格的话
[00509.54-00512.54] 那消息率有个想这习法者不要钱是最合理的
[00512.54-00515.14] 那他生产者也控制不了价格
[00515.14-00517.04] 那消费者也控制不了价格
[00517.04-00518.98] 那完全经过市场这个东西
[00518.98-00521.02] 到底麦多钱是由谁来决定呢
[00521.02-00523.66] 是由市场军恒价格来决定的
[00523.66-00525.70] 所以在这里面大家注意一下
[00525.70-00527.98] 完全经过市场的第三个特征就是
[00527.98-00529.14] 我刚才所调掉的
[00529.14-00530.74] 生产者和消费者
[00530.74-00533.54] 它是没有办法对我们所说的什么
[00533.54-00537.10] 这个产品进行控价的一点空价能力都没有
[00537.10-00539.10] 是完全由市场作主的
[00539.10-00540.50] 但是刚才我们也说了
[00540.50-00541.82] 像完全竞争市场
[00541.82-00543.74] 他有一个非常明显的一个特点
[00543.74-00545.26] 就是我们会发现
[00545.26-00546.54] 他只有竞争医肃
[00546.54-00548.06] 没有隆亚医肃
[00548.06-00548.70] 换句话说呢
[00548.70-00550.82] 他是没有其他因素存在的
[00550.82-00552.82] 既然没有其他因素存在
[00552.82-00554.94] 也就是一位这进入到这个市场
[00554.94-00557.06] 他是完全没有阻挨的
[00557.06-00558.02] 所以在这里
[00558.02-00559.70] 你如果觉得这个市场负责
[00559.70-00560.86] 你能够接受的了
[00560.86-00562.78] 那你就按照自己的一母三分店
[00562.78-00564.30] 在完全竞争市场当中
[00564.30-00565.78] 去卖你的这个产品
[00565.78-00567.10] 如果你觉得我不想
[00567.10-00568.74] 如果这么小的市场负责的话
[00568.74-00569.54] 我活不下去
[00570.34-00571.26] 那就可以怎么办
[00571.26-00572.14] 你就换塞到
[00572.14-00575.10] 所以你就可以从喜欢时转向其他领域了
[00575.10-00576.10] 那这种情况之下
[00576.10-00578.38] 你就可以从这个行业当中撤出
[00578.38-00580.58] 那你如果想从这个行业撤出的话
[00580.58-00581.26] 难吗
[00581.26-00583.62] 一点都不能同时们在这里看一下
[00583.62-00584.86] 完全竞争市场的
[00584.86-00587.50] 因为它有无数个厂伤
[00587.50-00589.06] 也就有无数个生产者
[00589.06-00590.86] 多你一个不多少你一个不少
[00590.86-00592.18] 所以在这种情况之下
[00592.18-00594.86] 你也在这和不在这差别不大
[00594.86-00596.54] 所以你想来就来想走就走了
[00596.54-00598.30] 也不会说因为你就快台了
[00598.30-00600.30] 所以他进出一个市场怎么样
[00600.30-00601.50] 很容易
[00601.50-00603.42] 所以在进出一个市场很容易
[00603.42-00605.10] 所以这首完全进入市场
[00605.10-00606.54] 他的一个特点
[00606.54-00608.30] 所以完全进入市场的第一个特点
[00608.30-00609.18] 大家英明确
[00609.18-00611.02] 场上数量无数
[00611.02-00611.66] 第二个
[00611.66-00613.02] 也是他最核心的一个特点
[00613.02-00613.34] 就是
[00613.34-00616.70] 完全进入市场当中的产品是一模一样的
[00616.70-00618.94] 第三一个就是他对于价格的控制
[00618.94-00620.30] 他想给这个产品定价
[00620.30-00621.10] 行不行
[00621.10-00621.66] 不行
[00621.66-00623.66] 所以在这里就说明了另外一个点
[00623.66-00625.02] 同时标准在旁边
[00625.02-00626.94] 在完全进入市场当中
[00626.94-00635.38] 生产者和消費者, 消費者只是價格的接受者
[00636.42-00641.02] 其他旁邊生产者和消費者只是價格的接受者
[00644.10-00647.94] 它沒有辦法進行定價只是價格的接受者
[00648.18-00653.06] 這是在這裡面, 大家要面確, 這句話也經常會考察到一個選項
[00653.06-00657.26] 所以在注意在这个控价无这个地方把这这句话写在旁边
[00657.26-00658.70] 就是它控制不了价格
[00658.70-00660.98] 价格完全是有市场来定的
[00660.98-00665.06] 那完全计则市场最好的一个点就是它可以即使直搓
[00665.06-00667.78] 就是我刚才说了如果你觉得在这里不赚钱了
[00667.78-00669.50] 那这时候就可以马上撤出去
[00669.50-00671.58] 那它进出一个市场很容易
[00671.58-00673.14] 那这也同时意味着什么
[00673.14-00674.90] 它为什么知道它自己不赚钱了
[00674.90-00676.42] 能够立马调整赛刀
[00676.42-00678.14] 因为在完全计则场当中
[00678.14-00679.14] 在旁边标注一下
[00679.14-00682.06] 信息是完全流动的
[00682.06-00685.74] 现在旁边因为是信息也是完全流动的
[00689.98-00691.90] 信息是完全流动的
[00691.90-00693.38] 所以在这里大家注意一下
[00693.66-00696.14] 但是同一们想像在现实活动中
[00696.14-00698.78] 会会存在完全就是市场的内行
[00698.78-00701.42] 就是尝试无数产品一模一样
[00701.42-00703.18] 然后信息是完全流动的
[00703.18-00705.98] 就是大家掌握的信息都是完全的各行业之间
[00705.98-00706.94] 没有信息必来
[00707.26-00708.30] 怎么可能
[00708.30-00708.70] 对吧
[00708.70-00710.70] 咱们现在都能看到每个行业
[00710.70-00712.18] 它的信息都是什么
[00712.18-00712.90] 有限的
[00712.90-00714.18] 我如果是卖喜欢使者的
[00714.18-00715.34] 我直接就不了解着
[00715.34-00718.14] 这房地产盗的具体内部什么样的消息
[00718.14-00720.94] 所以行业之间是有必累的
[00720.94-00722.70] 信息它的流通是不安全的
[00722.70-00724.70] 或者说是信息是存在不对称的
[00724.70-00725.18] 对吧
[00725.18-00727.22] 所以完全经济市场它是一种什么
[00727.22-00729.18] 它是一种理想化状态的市场
[00729.18-00731.38] 在现任生活当中根本不存在
[00731.38-00734.50] 它是在经济学研究上的一个假设
[00734.50-00735.78] 因为这种假设
[00735.78-00737.26] 完全经济市场我们刚才说了
[00737.26-00739.66] 信息完全流動進出很容易
[00739.66-00741.98] 他其實在整個這個市場當中
[00741.98-00744.66] 他的資源配置效率是最高的
[00746.26-00748.98] 現在旁邊資源配置
[00752.42-00754.18] 效率最高
[00754.18-00757.46] 因為這裡面你根據信息可以及時調整
[00757.46-00760.34] 你的這樣的一個什麼生產目標
[00760.34-00763.50] 然後把你的要素就流到不同的領域當中去
[00763.50-00765.02] 所以這次完全經了市場
[00765.02-00769.42] 所以他说在以下市场来行当中自然配置销率最高的是哪市场
[00769.42-00773.06] 就是这种假想的完全进入市场大家一定要注意
[00773.06-00775.54] 所以在这里面我给大家補充的这句话
[00775.54-00779.18] 也就是包括我们刚才所提到了完全进入市场这四个条件
[00779.18-00779.94] 考什么呢?
[00779.94-00781.66] 考中核心的题目
[00781.66-00786.06] 就是以下关于完全进入市场说法正确或者是错误的事
[00786.06-00790.82] 他会把刚才我们所介绍了这些特点变成AVCD四个选项
[00790.82-00792.66] 让我们从中去选大助一下
[00792.66-00796.14] 所以条件这个地方后面这几个思想考的都是一样
[00796.14-00799.86] 就是考中和性的判断体或者是选择体
[00799.86-00802.38] 所以大家注意这是条件
[00802.38-00803.86] 那符合这四个条件
[00803.86-00805.58] 那它就是完全经常市场
[00805.58-00806.58] 那我们刚才有说了
[00806.58-00809.46] 完全经常市场在现任生活当中怎么样不存在
[00809.46-00811.18] 那既然它不存在一模一样
[00811.18-00813.18] 它存存在类似的呢
[00813.18-00816.02] 你在这里面给到的下一个点就是
[00816.02-00818.74] 有在现任生活当中有类似的
[00818.74-00820.26] 我们所说的这种市场
[00820.26-00822.74] 那最维场接的就是农产品市场
[00822.74-00824.22] 除了农产品市场之外
[00824.22-00825.30] 同们在旁标注一下
[00825.30-00827.30] 还有一个就是海鲜市场
[00830.86-00832.58] 还有一个就是海鲜市场
[00832.58-00835.26] 海鲜市场他也尽私于完全竟然市场
[00835.26-00837.26] 那说老师你怎么就敢断言他是呢
[00837.26-00839.54] 咱们说了事不是完全竟然市场
[00839.54-00842.74] 要看他服服和这四个特征或者这四个条件嘛
[00842.74-00844.42] 咱们就以农产品为例
[00844.42-00846.62] 比如说是什么呢是大豆
[00846.62-00848.02] 我的老家是东北的
[00848.02-00850.98] 我老家都没中的大豆
[00850.98-00852.26] 和大家在山东
[00852.26-00854.10] 在河南在山西
[00854.10-00855.34] 对吧在安呼里
[00855.34-00856.34] 中的大豆
[00856.34-00858.30] 你看一下大豆的品种
[00858.30-00859.10] 指定是什么
[00859.10-00860.74] 指定是不一样的
[00860.74-00862.34] 但是在这里中大豆的
[00862.34-00863.34] 或者是那种虽然大豆
[00863.34-00863.82] 品种不一样
[00863.82-00865.02] 但本身上都是什么
[00865.02-00865.66] 大豆
[00865.66-00866.74] 所以在这里面
[00866.74-00868.10] 我们就可以去分析了
[00868.10-00870.02] 首先我们中的都是大豆
[00870.02-00871.10] 虽然品种不一样
[00871.10-00872.42] 但是我们的大豆
[00872.42-00875.46] 可以看四进乎完全同志
[00875.46-00877.18] 虽然有另一类的设计
[00877.18-00879.02] 然后有那个品种这个差异
[00879.02-00880.90] 但是重出来对于我们来说
[00880.90-00881.82] 几乎都是一样的
[00881.82-00882.06] 对吧
[00882.06-00883.10] 对消费者来说
[00883.10-00884.30] 那长得都差不多
[00884.30-00885.42] 所以在这个地方
[00885.42-00888.66] 我们的产品可以看似是同志的
[00888.66-00889.38] 第二个呢
[00889.38-00891.26] 就是中国农民的数量多不多
[00891.26-00891.90] 当然多了
[00891.90-00894.58] 中国接近40%的人口都是农民
[00894.58-00895.82] 所以我们可以尽四百
[00895.82-00897.58] 这么多的农民看成是
[00897.58-00899.38] 有无数个生产者
[00899.38-00900.74] 就是无数个场伤
[00900.74-00902.10] 在这里面我们会发现
[00902.10-00903.66] 农民对于它的两世
[00903.66-00905.62] 它有没有很强的空间权力
[00905.62-00906.90] 没有很强的电影下权
[00906.90-00910.30] 我不能说我家地理长出来的大豆,我卖100块钱一件
[00910.30-00912.78] 因为我只啥呀,我说这是先任品种,对吧
[00912.78-00915.42] 此豆只有天上有人间难得几回吃
[00915.42-00917.50] 所以在这里面,我们会发现
[00917.50-00919.26] 我没有办法说卖到100块钱一件
[00919.26-00920.10] 我订不了价
[00920.10-00923.62] 因为大豆的价格,它是有市场去来决定的
[00923.62-00928.22] 所以農民来说,消质来说都没有对这个豆子的定价权
[00928.22-00931.74] 農民进出農所说的农业
[00931.74-00935.06] 或者是进行農产品生产,它进出市场融种意
[00935.06-00936.70] 的相对来说是很容易的
[00936.70-00938.42] 就是你如果不想去重低了
[00938.42-00940.86] 那你这时候你就把你的地域租出去吧
[00940.86-00941.30] 对吧
[00941.30-00942.42] 你这个时候租出去之后
[00942.42-00943.66] 你就可以进程武功
[00943.66-00945.70] 所以你进出一个行业很容易
[00945.70-00947.30] 所以没有国家规定说
[00947.30-00948.10] 阿农民
[00948.10-00949.54] 不许进程武功
[00949.54-00950.62] 不许不重你的地
[00950.62-00951.54] 没有这样的规定
[00951.54-00954.22] 所以你还从他的进出自由度来看的话
[00954.22-00956.02] 他其实很自由的
[00956.02-00957.02] 所以在这里面
[00957.02-00958.22] 我们可以看得出来
[00958.22-00961.26] 他进出一个行业相对来说很容易
[00961.26-00964.02] 那他几乎就是符合了这四条条件
[00964.02-00966.02] 如果符合了4条件
[00966.52-00967.22] OK
[00967.22-00968.50] 它就是我们所说的
[00968.50-00970.82] 近四完全竞争市场
[00970.82-00971.78] 所以大家注意一下
[00971.78-00973.82] 说老实他考试的时候怎么考呢
[00973.82-00975.18] 这个地方在考试的时候
[00975.18-00977.38] 就是考理解行了题目
[00977.38-00980.02] 然后把那个提干给你描述的贼老场
[00980.02-00981.42] 有多长的说案
[00981.42-00982.78] 有这么一个市场类型
[00982.78-00984.86] 它是产品是完全统治的
[00984.86-00986.42] 然后销配者生产者
[00986.42-00988.34] 都是对于价格的接受者
[00988.34-00989.02] 那么问
[00989.02-00991.10] 一下ABCD4的选项
[00991.10-00993.74] 哪一个市场是它所描述的这一个
[00993.74-00996.02] 那他都说了产品完全统治
[00996.02-00998.30] 然后大家都是嫁格的接受者
[00998.30-00999.50] 那就是完全竞争
[00999.50-01001.14] 那你就在里面去选
[01001.42-01004.98] 还农产品市场还先市场就类传于这样的
[01004.98-01006.86] 你要去从选上当中一个选出来
[01006.86-01010.02] 所以在这里他考的是理解行的题目
[01010.02-01011.10] 大家要注意一下
[01011.10-01013.70] 这是我们所说的接接市场
[01013.70-01014.98] 除了这个之外
[01014.98-01016.82] 咱们还是要回味到一个点上
[01016.82-01019.58] 就是我们无论提到哪一种市场类型
[01019.58-01022.10] 对于场上来说对于生战者来说
[01022.10-01023.82] 它本質上還是要干嘛的
[01023.82-01026.26] 它本質上還是要賺錢的
[01026.26-01028.74] 那在完全經濟市場當中咱們剛才說了
[01028.74-01029.50] 說老師
[01029.50-01032.98] 它一記不能提價也不能降價
[01032.98-01034.58] 那這種情況之下它怎麼辦呢
[01034.58-01036.42] 我記不能提價也不能降價
[01036.42-01038.46] 那我現在我怎麼賺錢
[01038.46-01040.94] 那同學們在接近市場旁邊
[01040.94-01043.62] 在補充一了就叫做競爭手段
[01048.54-01050.14] 那對於完全經濟市場來說
[01050.14-01050.78] 咱們剛才說了
[01050.78-01052.32] 打架格战止的是不行的
[01052.32-01054.16] 你台价和降价你东西怎么样
[01054.16-01054.98] 都慢出去
[01054.98-01056.58] 那这时候它怎么样赚钱呢
[01056.58-01058.42] 同时在旁边标注一下
[01058.42-01059.78] 它如果想赚钱的话
[01059.78-01060.86] 它只有一个方式
[01060.86-01062.86] 就是提高生产效率
[01064.70-01066.38] 它提高生产效率
[01066.38-01068.66] 搶战更多的市场分额
[01068.66-01069.78] 那在这种情况之下
[01069.78-01072.42] 它的赚钱能力才有可能提升
[01072.42-01073.98] 所以在这里在旁边标注一下
[01073.98-01074.98] 提高生产效率
[01074.98-01077.46] 那你提高生产效率的手段就很多了
[01077.46-01079.86] 比如说你家墙可以技术研究等等
[01079.86-01081.66] 其实都有注意提高生染效率
[01081.66-01083.78] 所以它如果问完全经过市场
[01083.78-01084.98] 靠什么来去
[01084.98-01086.52] 我们所说的
[01086.52-01088.18] 想战上份额或者是
[01088.18-01089.58] 赚取更多的利润
[01089.58-01090.62] 那就只有一条路
[01090.62-01091.90] 就是生产效率
[01091.90-01092.66] 因为它不能打
[01092.66-01093.42] 价格战争
[01093.42-01094.18] 打价格战争
[01094.18-01094.98] 它脱不起
[01094.98-01096.70] 所以这是第一个叫做
[01096.70-01097.98] 完全经过市场
[01097.98-01099.06] 而我们刚才说了
[01099.06-01100.98] 完全经过市场最核心的一个特点
[01100.98-01101.62] 就在这
[01101.62-01103.94] 就是产品是完全统治的
[01103.94-01106.98] 但是在现实生活当中不可能产品一模一样
[01106.98-01109.62] 现实我当中的产品一定是有差异的
[01109.62-01111.62] 比如我们在市场当中所看到的
[01111.62-01112.82] 虽然都是方便面
[01112.82-01114.62] 那方便面的口味都太多了
[01114.62-01115.62] 虽然都是脚子
[01115.62-01117.22] 那脚子都口味也很多
[01117.22-01118.98] 所以在这种情况之下
[01118.98-01121.70] 产品在现实的当中会出现差异
[01121.70-01123.10] 而把这种差异性
[01123.10-01125.50] 就可以理解了商品的什么性呢
[01125.50-01126.86] 商品的冷断性
[01126.86-01129.70] 而如果一个我们所说的市场当中
[01129.70-01131.18] 它有冷断因素了
[01131.18-01133.18] 就是由你自己所游的因素
[01133.18-01134.82] 我们把撑嘴冷断因素
[01134.82-01136.66] 当它有冷断因素的时候
[01136.66-01137.98] 完全竟正市场
[01137.98-01141.04] 就演变成了另外一种市场类型就叫做
[01141.04-01142.58] 隆断竞争
[01142.84-01144.64] 但在隆断竞争市场当中
[01144.64-01146.94] 同一们离开下它其实涵蓋两个要素
[01147.20-01148.48] 第一个是隆断要素
[01148.74-01150.02] 就是你做一个场伤
[01150.26-01152.58] 你的独一无二行你就这么去理解就行了
[01152.58-01155.90] 同一无不用从我们的学理上去理解隆断
[01155.90-01158.20] 说老师啊隆断又是什么这个资本
[01158.20-01160.26] 结极剧然后又是正隆断那隆断
[01160.52-01164.34] 不用你在这里面就把隆断理解成为你的独一无二行就行了
[01164.34-01166.66] 你做一你的场伤你自己有自己的
[01166.66-01167.68] 獨特之處
[01167.68-01169.40] 你的獨特之處就意味著
[01169.40-01170.86] 你對市場有一定的空價選
[01170.86-01172.12] 所以隆斷就意味著
[01172.12-01173.56] 你有自己的獨一彎二星
[01173.56-01175.36] 那在隆斷競爭市場當中
[01175.36-01177.16] 它其實是存在兩位因素的
[01177.16-01178.66] 一個是隆斷因素
[01178.66-01179.46] 一個是什麼
[01179.46-01180.50] 競爭因素
[01180.50-01181.80] 隆斷因素跟說了
[01181.80-01184.06] 就意味著你的獨一彎二星
[01184.06-01186.20] 你的廠商的特性
[01186.20-01187.86] 你生產品牌的特性
[01187.86-01189.70] 但除了就隆斷因素之外
[01189.70-01191.14] 還有競爭因素
